ParlaMint-NL_2019-12-10-eerstekamer-3.u1	I would like to welcome the Secretary of State for Finance back to the First Chamber.
ParlaMint-NL_2019-12-10-eerstekamer-3.u54	At the different discounts I come back in the next block. I'd better get over there right away. Several members, for example Mr Schalk, pointed out that the reduction in the general tax rebate was continuing and the cabinet tried to increase the purchasing power of one and two earners equally every year. That's right. Mr Schalk asked whether it was not time to stop this and freeze the phasing-out. He also asked whether the income-dependent combination discount had not become obsolete and whether it could not be investigated whether this IACK could be stopped or used in such a way that the gap between one and two earners would not be further widened. Mr Schalk and I have discussed this issue a number of times. Last year, at his request, we had a larger study of the exact situation with regard to these developments, for example the developments concerning marginal pressure. That's also a theme that goes with it. I understand part of his analysis. It's all gotten really complicated. In the beginning the instrument can be very sharp, but over the years it can become less sharp. That's why you always have to evaluate. In a way, I understand his appeal, but you also have to look at the measures themselves. Both instruments continue to make work more rewarding. That's something this cabinet wants. Therefore, the IACK and the phasing out of the payability of the debt, which is a word of the general tax rebate, remain useful. It is not the cabinet's commitment to adapt it now. Moreover, in 2015, the Planning Office looked at the effectiveness of all tax measures in the area of participation policy. This showed that the IACK was a fairly effective instrument, also in comparison with other instruments. Our intention is to go back into the field of efficiency next year, including this regulation. The Ministry of Social Affairs and Employment will carry out a policy review of labour market policies, including this reduction. The point that we need to continue to look into this in order to see if they are still doing what they needed to do is quite right. We will continue with this next year.
ParlaMint-NL_2019-12-10-eerstekamer-3.u55	There is now a great deal of attention to the question of how the cake should be distributed. I hear the Gini coefficient coming in about every minute. I'd like to put this in a frame, including for the others. The Netherlands has a reasonable Gini coefficient. It's at the bottom. In the list of the World Bank of 160 countries, we are somewhere in place 140 or at least in those areas. The first issue in terms of inequality is South Africa, if I am not mistaken. I have a question for the Secretary of State about the marginal pressure. I just heard him talk about that. Instead of micromanaging at the last purchasing power rates behind the decimal place, it is much more important to facilitate growth. This marginal pressure is a huge barrier, a huge brake on activities. I mentioned this yesterday in my speech. I understand from the Council of State that this pressure can reach 127%. With every euro you earn extra, you go backwards €1.27. Of course, that can never be the intention. What is the Secretary of State going to do to solve this problem in the short term?
ParlaMint-NL_2019-12-10-eerstekamer-3.u56	I'm just looking. I was going to come back to it later, but let's talk about marginal pressure right now. That too is a debate which the Chamber is right to enter into. We've been doing that for years. The Netherlands has a system in which a lot of income support is given at the bottom. The moment you cut it down, you see the marginal pressure rising during the phasing-out pressure. If you no longer qualify for an income support measure, you have less left on balance and you see that the marginal pressure is higher. At the beginning, the cabinet appointed this as one of the most important spearheads. Several members have asked for it as well. Mrs Van Huffelen also said that this marginal pressure is really an issue. The single-earning families will feel that pressure stronger than other families. Of course, that has to do with the way in which we have built our system. We really need to do our best to get that marginal pressure down. In the past, we have seen that this marginal pressure has moved a little further into the wage building. As a result, the people who want to work a bit, who want to work extra hours, will not be punished for that. Sooner or later, you're gonna have to deal with the fact that you can't export that marginal pressure to Mars. Somewhere on that income line is the gap of marginal pressure. As long as we choose to do so, I am in favour of maintaining income support measures, and this creates marginal pressure at the point where those measures cease. We can, however, ensure that not all of these phasing-out routes fall together exactly in such a way that the sum total is a hugely high marginal pressure. I am only saying to Mr Otten that the low-hanging fruit has been picked. We really need to look at it. That's why we have the building blocks. The debate on this is about a lot of elements. Mrs Van Huffelen asked which elements were included. I'll get to that. This is incredibly important. The marginal pressure is one of the points where we need to see if we can't think outside the boxes.
ParlaMint-NL_2019-12-10-eerstekamer-3.u57	Unfortunately, I do not feel enough sense of urgency. This is extremely important, even when we look at education, where there is a shortage of teachers, at the care and you name it. This marginal pressure discourages more work. People are just gonna work part-time. They're thinking, "Education deficit? Fine, but I'm not going to work another day, because then I'm going backwards." So it is a source of many other problems in society that we talk about all day with all kinds of colleagues of yours. I would like to stress once again that the sense of urgency must be raised. This really needs to be dealt with in a concrete way. I'd like to hear from the Secretary of State how he intends to give it hands and feet.
ParlaMint-NL_2019-12-10-eerstekamer-3.u58	I do not disagree with Mr Otten that this is an extremely important point. I just indicated that one of the principles of the cabinet was to ensure that those high peaks in marginal pressure would at least go down. I think we've done that quite successfully. It's still high, but peaks well above 100% aren't there anymore. At the same time, the question is how to bring down the pressure even further. One option, which, by the way, I would not choose, is to reduce income support at the bottom. I'd say that's a bad choice, but that definitely solves the marginal pressure. But the question is, what did you really solve? Although a lot of problems are urgent and important, there is not always a simple solution, unfortunately. I'm just trying to say that if we want to look for another marginal pressure, just around incomes from €30,000 to €32,000 there you can see that top is coming up. We should also be willing to make really fundamentally different choices. That's what we do with the building blocks that will be known in a few months. Nothing tells us that the building blocks will only provide elements that we can do in ten years' time. To be honest, I hope, probably together with Mr Otten and a large part of this Chamber, that the building block debate really will bring something that we can tackle. If that's the case, there's no problem for me to start with. In fact, it would be wise to do so.
ParlaMint-NL_2019-12-10-eerstekamer-3.u59	Indeed, I have also noticed that the peaks are gone from marginal pressure. I heard the Secretary of State say that the IACK is considered effective. That depends on what you intend to do with it, but from a certain perspective it will. Let me come back to the general tax rebate and its transferability even more so, to the phasing-out. Let's go back in history. The Secretary of State says we've talked about this before. That's right. It started in 2009, you might say. That's when the phase-out started. It was 100% and we are now, ten years later, on 20% transferability. Each year, thanks to the government agreement, the government must have tried to ensure at least Christian Union and CDA that the gap does not widen, looking for around 6% in all kinds of measures to ensure that purchasing power is equal. But the gap is still six times bigger. A single earner who earns €40,000 pays €9,000 tax and two earners who earn the same amount pay €1,500.
ParlaMint-NL_2019-12-10-eerstekamer-3.u60	What's your question, Mr. Schalk?
ParlaMint-NL_2019-12-10-eerstekamer-3.u61	Now here's my question. Next year we will probably get another 6% reduction, because the government apparently wants to reach 0%. But isn't this the time to say 'let's freeze at 20%', which is not a high figure at all, and to take that as a starting point to prevent us from having to make a new arrangement next year in order to maintain purchasing power at least and to start a solution to the gap?
ParlaMint-NL_2019-12-10-eerstekamer-3.u62	This too is a very beautiful substantive tax discussion that we have had a number of times about on the one hand the question of how to best reflect the principle of carrying on and on the other hand a tax system in which choices have been made to activate, for example, the least-earning partner or the not yet active partner to start working. In the past, this has really led to a higher employment rate. That's what we wanted, and that's what's important. Important for the least-earning partner, often the woman, then and now, so that she can provide income, pension and independence herself. We consider that to be extremely important. The decision to opt for an individual concept of income, contrary to the concept of wealth which, as I believe Mr Ester said yesterday, can be extended, is a choice of cabinet that I still support. I think we should continue to defend it. Mr Schalk is right, when we started doing this, we promised that we would do everything we could to prevent that gap from widening further. After all, if you don't do something, you'll see that the gap between one and two earners is growing. We're trying to keep the gap steady. For the first two years, I believe that even made it past the decimal point. This year it was 2.2% versus 2.3%, I say out of my mind. So this year it didn't quite work out, but it almost did. And again next year it will remain our starting point. If, for example, dealing with the portability of the general tax rebate can be an effective measure, we will not fail to take it. Just saying "whatever happens, it's a good idea to freeze it and in August we'll look further" is something else. It should be the other way around. We must continue to defend our objective, which is not to widen the gap. The necessary measures will be discussed in August.
ParlaMint-NL_2019-12-10-eerstekamer-3.u63	I suppose this could also be included in the tax building blocks.
ParlaMint-NL_2019-12-10-eerstekamer-3.u64	Absolutely. The danger of the building blocks is that, if we are not careful, it will become a thousand things. But a number of elements, including the one and two earners and the marginal pressure, but also the income composition and the equality between income and wealth are typical things that we have rightly talked about in recent years, including in this Chamber. These are points where we are all not entirely satisfied with the way in which we dealt with it, apart from the complexity of all those building blocks. I will come back to this in a more detailed way, but these building blocks must offer apolitical solutions, which every political party says 'if it works out like this, we want to see the following blocks again in a new cabinet period'. Or, which would be even more beautiful, there are already a few cubes and there was an interrupting debate with Mr Otten on the subject of'maybe we can already find political majorities for blocks, so that we can get to work on them already. It is therefore absolutely an important issue. I'm sure it's going to be discussed extensively.
ParlaMint-NL_2019-12-10-eerstekamer-3.u65	Thank you to the Secretary of State for his recognition of the problem of marginal pressure. He has indicated that we will come back to this in the context of the building block discussion. That building block discussion is foreseen for next spring, but can elements of it already be included in the Tax Plan 2021? In particular, we are talking about groups of income. People who work in care or education are not now encouraged to work more. They make a choice for themselves, but it can also lead to the social problem that we have a shortage of labour in these two sectors.
ParlaMint-NL_2019-12-10-eerstekamer-3.u66	Absolutely. If pieces of useful material emerge from the building block discussion, I hope, of course, that is what we could already find political majorities for, then I think we should not fail to do so. That can be done through the Tax Plan, a bill, but it doesn't necessarily have to, given the opening of our discussion today. I'm sure you can. At the same time, I would say that for some problems, for example in the sectors you mention, taxation is not the only solution. If every problem is asked whether a solution can be promoted through taxation, you will get the structure that we now have and which we all think has become far too complicated. In defence of the feasibility of our own system, and also to talk it back politically, I say that sometimes solutions can also be found outside taxation.
ParlaMint-NL_2019-12-10-eerstekamer-3.u67	I am listening very carefully to the Secretary of State, also to what he said earlier about the reduction in working hours. I would like to call for these building blocks to be very precise about the extent to which, for example, such a reduction in working time, which used to have a very separate purpose, which applies to many fiscal measures, but which we have forgotten a little bit about, or at least a different frame, is effective in promoting participation in employment. You mentioned the planning agency earlier. If you read those studies correctly, there is also the sound: "They are actually a bit at the end of their fiscal Latin. They don't do what they were meant to do anymore. It's become too rude." The employment rate is already very high in the Netherlands. Could I ask you to look at this very clearly, seriously and out of the box now or in the context of these building blocks?
ParlaMint-NL_2019-12-10-eerstekamer-3.u68	Oh, yeah. Coincidentally, I was just getting ready for the labor discount. Mr. Ester beat me to it. It's true; you have to keep looking at the effectiveness of the instruments and you shouldn't assume that if an instrument was ever effective, it will be effective in the years after that. For example, the employment rate is already much higher than in the past. Logically, a reduction in working hours is likely to be less effective than a few years ago. So we have to look at that, too. We also ask the planning agency to pay attention to this every time in studies. Moreover, this reduction has contributed to the fact that the employment rate is now so high, but I fully agree with Mr Ester that we should not only look at past successes. We must continue to assess whether it is the most effective way to advance our economy as far as possible, including participation. So I think it's fine. I also intend to continue to review these fiscal instruments on a regular basis. As you know, we love that in the Ministry of Finance. The same applies to this issue, and I can assure Mr Ester that this issue of participation in the fiscal building blocks has been taken into account.
ParlaMint-NL_2019-12-10-eerstekamer-3.u69	I was delighted to read the letter from the Secretary of State in September on marginal pressure, but you have to read it all the way to the end. The last variant is brilliant, including CPB: zero budgetary effect, zero income effects. This confirms precisely that there should be no taboo on the top rate. Then you can flatten all the tax discounts again. Then the SGP and the Christian Union are also satisfied. This will restore the functioning of the labour market. So why didn't the Cabinet read through to the last variant in your letter?
ParlaMint-NL_2019-12-10-eerstekamer-3.u70	I suppose if it's my letter, at least I've read it through. Maybe we made another choice. It's not the same thing with variants. That brings me back to the answer I gave Mr Crone on this. In the end, you choose a set of measures that you think are best at the time. For me, there are never taboos on new arrangements. I did not just say this in the part about the fact that we can also look at the Vpb in August, for example, in response to Mr Vendrik's questions about this. At the same time, Mr Essens had a right point, namely that we should be careful that we make a kind of celebration of tariff adjustment every year, whether it is an income tax rate or a VPB rate. There was a cartoon in a newspaper that indicated exactly what I sometimes feel. There was a black box and you could pull a string, where you could see which Vpb rate is on the string. It's like, oh, today they do that. For investors in the Netherlands, too, we need to lay down something of a predictable path specifically for the Vpb. Again, if you go down a little bit with the Vpb every now and then, and maybe not by the path, we'll see. But to go up or down every year with certain rates, including opting for top rates, two discs and then three, then two more in a few years; we shouldn't want that. But there are no taboos.
ParlaMint-NL_2019-12-10-eerstekamer-3.u71	I also understand how politics is going, because then you get ideological choices and then you have to lower a second tax or a top rate, but this variant is purely analytical, and connects what all Members of Parliament are saying here. The last two were from the SGP and the Christian Union, but others also said: keep it transparent, and you just exchange the phasing out of all those tax rebates for a build-up of the tariff. How simple can it be? All the countries in the world are doing this. We have abandoned the principle of the fixed working discount. I've been through the introduction under Purple. Those were fixed discounts, transparent, free to spend by the citizens. And at the rate you saw very clearly: if I earn a little more, I'll pay a little more. That is a political choice, of course. But why not go back to that simple system and also a little less cramped?
ParlaMint-NL_2019-12-10-eerstekamer-3.u72	I don't think it's cramped at all. You just have to choose a system that you think is the best outcome. That is what I have just said: there are no taboos on that. I do think we should be careful that if there is a political majority in favour of a system, we should immediately opt for it, and that we should not do the opposite again two years later. So in general, the best way to do this is to decide all those elements at once. This is often at the beginning of a cabinet period. That is precisely why we have, of course, put those building blocks in place.
ParlaMint-NL_2019-12-10-eerstekamer-3.u73	Mr. Vendrik or Mrs. Geerdink, at this point?
ParlaMint-NL_2019-12-10-eerstekamer-3.u74	Mr President, I consider this to be a debate on marginal pressure. That's what my question is about, if you'll allow me. In the debate just now between the Secretary of State and Mr Schalk on the tax reduction of the non-working partner and its phasing-out, which started some ten years ago, it was not just about promoting participation in the labour market, but ultimately about economic independence, especially of women. The Netherlands doesn't have a very best track record on that either today. That was the greatest political interest that a majority at the time decided to reduce the tax rebate for the non-working partner. I think that interest is still standing today. I would like to hear that the Secretary of State explicitly confirms this. He is of course very kind to Mr Schalk, but this is a political priority. I hope it will remain at the top of this Secretary of State's agenda.
ParlaMint-NL_2019-12-10-eerstekamer-3.u75	It is my great intention in life to be nice to everyone, even though I do not always agree with people in substance. This is a discussion that we have had on a number of occasions. This is really the search for balance. On the one hand, you want an active labour market policy and, on the other hand, we recognise Mr Vendrik's points; that is also very important, and we know that this is and will continue to be so, and at the same time Mr Schalk has a point when he says that there are people who cannot choose it because of their family situation. I got a very nice book about that from the SP once. This is about people who could not choose to work with two partners, who wondered why they would have so much less of their income of €40,000 than in a situation where two partners work. That's a principle of standing that I have feelings about. It is therefore not the case that I agree with Mr Vendrik and therefore disagree with Mr Schalk. I think both elements are important. That is exactly why I say that we can all agree that the marginal pressure on some points is too high, but that it requires political choices to adapt it. I am trying to find a middle ground between Mr Vendrik's idea on one side and Mr Schalk's idea on the other.
ParlaMint-NL_2019-12-10-eerstekamer-3.u76	That was just an interesting discussion, particularly because Mr Crone advocated a number of things in a general sense, which, as you understand, the VVD absolutely does not agree with. That is also why I explicitly asked you to interpret your image of the living wave system as I told you in such beautiful English. That is not so much the high rate, but rather a lower rate, the goal in conjunction with Mr Schalk when I look at Mr Schalk is a sort of 'Maria supplement', to stay for a while in terms of Joseph and Mary, where everyone gets a standard fee. So I guess the system of "everyone a supplement" doesn't work. The difference between working and not working will then be facilitated, not by higher rates, but by lower rates. My question to the Secretary of State is to give him his appreciation.
ParlaMint-NL_2019-12-10-eerstekamer-3.u77	I don't know all the ins and outs of the proposal. I get the idea. Again, through these building blocks, we want to create a system in which you have active labour policies through taxation, and in which you maintain a principle of equality. In my opinion, there is also a list now that might add up to what the fraction of D66 brought in. These are all elements that we need to summarise in a single system. We know that. We also know that if you then look at the system, on the one hand there are people who think it is important to activate it, while others consider a principle of carrying capacity to be very important. I'm scared, and maybe I've also gotten a little bit wise in my more than ten years of working in taxation at the Ministry of Finance that anyone who presents something as an easy solution probably misses one part of the puzzle. That's okay, because you have to keep watching. But to comment on one part, as you did in your maiden speech... It sounds logical and sensible and I think I agree with it, but at the same time we can never fully see what that means for the rest. That is the big game of the tax system. It's all connected. The choice you make on one side of the Chamber has an effect on a measure on the other side of the Chamber. And just those building blocks, I hope, I think, I know, can help us enormously to keep those links between them. That is why it is so important to me that it should not become a political committee, but that it should be a technocratic administrative committee that can simply put the facts next to the story. If we were to consider such a system, what does this mean? What is the trade-off to say it in beautiful Dutch of a choice? That, in my view, is the issue. Every year, and especially at the beginning of a cabinet period, you really have to make choices about that. I am really in favour of that, and as far as I am concerned there are no taboos. I've said that twice before.
ParlaMint-NL_2019-12-10-eerstekamer-3.u78	To correct two misconceptions and, of course, to remain kind, it was, first of all, not about Mary, but it was indeed about Joseph from the Old Testament. Secondly, on what Mr Vendrik suggested, I would like to remind him that economic independence was obviously a political choice at the time, but that the problems outlined by the Secretary of State in his reply can be found in all political parties, because research has shown that about 20% of all political parties are earners. So we should not just put that in the SGP or in the Christian Union. My question to the Secretary of State on this point is, because it was actually reinforced a little bit here: did I understand him correctly that he indicated that it would eventually be possible for the government to make the phasing-out less rapid than anticipated?
ParlaMint-NL_2019-12-10-eerstekamer-3.u79	That is not our intention, I said. Only, I also say that it is not a taboo at the end of the day when in August you will see all the figures and developments you have. In any case, I am in the position, and I think the fellow negotiators in August, to see how we can get the purchasing power picture so that all these principles can be taken into account as different views or ways of looking at the August decision-making process. As far as I am concerned, the fiscal instruments, apart from all the execution tests and everything that goes with them, are at our disposal to make a choice. Mr. Chairman. I am not yet on a third of my first block, but that is also because some parts have already been brought up a bit. There were also some more specific questions that I think it would be good to answer. Of course, I run the risk of having another discussion, but let us do it for the sake of completeness. I will start with Mr Ester, who had a question about the gradual reduction of the self-employed deduction and the difference between the employee and the self-employed, on the one hand, and the self-employed and the entrepreneur, on the other. So the self-employed person is actually in between; he has a relationship with both. And how this related to the interim conclusions of the Borstlap Committee. Mr Otten also asked for the reduction of the self-employed deduction, and Mr Frentrop did not ask for it but simply asked for it to be waived. Let's get started. The aim is indeed to reduce the difference in tax treatment between the employee and the self-employed person. This was in line with the conclusions of the discussion paper issued by the Committee on the Regulation of Work, the Borstlap Committee, as well as previous studies, such as IBO Self-employed people without staff 2015 and an OECD country report from 2018 in which the OECD found that the number of self-employed people in the Netherlands has become very high compared to all other countries in the world, and indicated that this has to do with tax facilitation. So yes, with those things in mind, we did indeed want to remove that difference. The self-employed person's allowance applies to the entrepreneur who fulfils the hourly criterion. That's 1225 hours. This can be both a self-employed person and an entrepreneur with staff. Both are then eligible for an employment discount. There was the link with the discussion I had with Mr Van Rooijen earlier, so in choosing this measure we said: yes, but if you want to make this right, at least before we are in the cabinet, we are going to do something with that employment discount. As a result, this measure does not have a negative effect, in any case, but does not have an additional negative effect on the self-employed. Perhaps in order to reassure Mr Frentrop, too, I would point out that, partly as a result of the additional increase in the labour cost, the self-employed are not going to pay more tax than they already do. Then Mr Crone had a question about the Wajong benefits and people who would receive less labour discounts, namely whether that is true and what I am going to do about it. It is true that some people with a Wajong benefit have a lower working income if there is pay dispensation by the employer, an important political discussion as well. As a result, the employment discount may be lower. Wajongers are entitled to a young disabled discount. If they do not work full-time, they often also receive supplementary benefits. This benefit does not count for the employment discount, because it is not an income from work, so that simply does not fit in with the standard. Moreover, the increase in the tax plan led to an increase in the employment discount, which in euros is the same as for labour incomes between 10 000 and 100 000, i.e. a very long, flat line. That is, therefore, about the same level across the whole range in euros. Due to the changes in this Tax Plan, the employment discount will increase over the next three years by €285 for anyone who earns more than €10,000 but not less than €100,000. That's actually the starting point. Incomes below €10,000 are entitled to a part of this €285 additional discount, so the incomes that remain below will then receive a pro rata discount compared to that €285. However, they do not pay income tax. So couldn't you do this some other way, through income tax? Well, no, because in that group, you can see that they're not actually paying income tax anymore. Mr Ester asked about the ambition of marginal pressure and the one and two earners. I think I've had it.
ParlaMint-NL_2019-12-10-eerstekamer-3.u80	It is technically rather complicated, so perhaps it can be explained in writing. But I understand that this brings Wajangers down considerably, because they do not have the advantage of that higher employment discount. I can't see through it right now, so perhaps it is possible that you, of course, also with the Secretary of State for Social Affairs, will give an idea of the situation? Because it would be really bad if this group of people who work in a company that you don't even see on the outside that they're Wajonger get net less than someone who isn't Wajonger. So that's actually breaking from all those different bars to net.
ParlaMint-NL_2019-12-10-eerstekamer-3.u81	I wonder if that's possible, because not every Wajanger has the same income. So I think that this group, as Mr Crone says, is not fishing out of our system as one group. Depends on how much they make, whether they get pay dispensation or not. So I guess that way, frankly, that's not that easy. But what I can do is ask my officials to say a little more about it in the second term. But I suspect, so off the loose wrist, that's gonna be pretty tricky. I'll get back to you in second term. Mr Crone also asked about the possibilities of doing something about not being able to redeem the tax rebate. Mr Vendrik also had questions about it. He actually found that not all taxpayers could cash in their tax rebates and wondered why the cabinet would not simply lower the rates to meet them. The answer is that it is true that by 2020 a larger proportion of taxpayers will not be able to fully redeem their tax rebate. For example, almost 30% of taxpayers entitled to the general tax rebate will no longer be able to fully redeem this discount by 2020. These people no longer pay income tax. So they would not be able to benefit from a tariff reduction either, I say to Mr Vendrik. So that seemed to be a solution that does nothing, because they already do not pay taxes and we still apply the principle that the tax to be paid cannot be lower than €0. Most of the taxpayers benefit from the increase in the tax rebate in this Tax Plan. It is also the case that it is becoming increasingly difficult to reach the low-income workers with the increases in the tax rebate in general; indeed, we have seen this before. For this purpose, of course, a specific fiscal instrument is becoming less suitable for the coming years. This too is a part of which I think it is a good thing that it will also be mentioned in the building blocks, because this is a political discussion that we have had several times back, that people's income is going to be so low that we can no longer reach them with a tax reduction because they do not pay. And if they were, even those tax rebates are no longer cashable by them. Then Mr Van Rooijen had another question about the tax reduction for workers.
ParlaMint-NL_2019-12-10-eerstekamer-3.u82	This is somewhat unsatisfactory. This is also an issue that we have been pursuing for years. So I note that next year the problem is going to be much bigger. The modest increase in purchasing power which Mr Van Apeldoorn referred to earlier also has to do with the effect that the higher general reduction in taxes and the higher reduction in working hours will no longer reach the low-income group. After so many years of discussion, we would then have to take the step forward, because this discussion has been going on for 20 years, if we want to reach that group, that we really will open up a new perspective. Whether discounts can be cashed, or via a different route. Does the Secretary of State wish to take this political decision?
ParlaMint-NL_2019-12-10-eerstekamer-3.u83	It is exactly as Mr Vendrik said: this debate has been going on for two to three decades. The starting point is that the tax does not pass through zero. We're not going to charge any negative taxes. So we're not paying taxes. Let me say this separately from the supplement section that we will be discussing later. If people do not have to pay taxes, a tax discount is worth nothing. It's a discount on something you don't pay. By definition, that's what's going around. If you want to take a measure at the bottom of the income building that someone is enjoying, then you should stop thinking about tax regulations. That's exactly what I just said. As long as we continue to look for fiscal measures for that purpose, the answer is always that they are no longer effective. You need to see if we can't choose another system. We will soon get to the system that we opted for a year or fifteen ago, i.e. charges that are separate from taxation. Those choices are really not going to be made here one afternoon. These are super-structural choices in the way we build our tax system with surcharges. Hopefully the ibo will provide us with building blocks that we have something to hold on to. In all honesty, I must say that the idea that we can build a new system with some thought this afternoon is not reasonable. It is a fundamental problem that I too want a solution to. It would also be unfair to people's expectations to pretend here that I already have a system or that I can offer it quickly.
ParlaMint-NL_2019-12-10-eerstekamer-3.u84	Suppose next year the cabinet finds itself in a similar situation. This year it's about 300 million. That's serious money. As a result, the cash-in problem is getting bigger. If it happens again next year, history repeats itself. Should we have a new proposal from the cabinet to do something about this or are we going to postpone it again?
ParlaMint-NL_2019-12-10-eerstekamer-3.u85	Mr Vendrik pretends that we are not doing anything about it. At the beginning of this debate, I said that we are trying to look at the overall picture in August. The moment you see that a particular fiscal instrument no longer delivers what you want, you will have to look for something else. For my part, I agree with many of the people here. You can try to make up all kinds of new tax buttons for taxes that are not already paid, but then you get an even more complicated system that really nobody has any idea. We are also talking about further increasing marginal pressure. That's a price we'd have to pay for that. I'm really wondering if I should. I do agree with Mr Vendrik that there is this problem. It's been around for a while. Only guts and political choices can offer a solution.
ParlaMint-NL_2019-12-10-eerstekamer-3.u86	I would ask the Secretary of State to look at the British system. This has a personal allowance of 12,500 pounds, which is more than €15,000, which is not subject to tax. I think there is also a correction mechanism. If people make a lot of money, they have to pay taxes on the allowance afterwards. That's gonna straighten things out a little bit. This means that tens of millions of British people have very little to do with the tax authorities. In that system, they are not entitled to pay taxes at all. This is a fairly efficient measure for this complex system. We discussed yesterday that the system is far too complex in terms of implementation. People don't understand anything about it anymore, which also inhibits the economy. I really think that the solution should be sought in this direction. How does the Secretary of State view that?
ParlaMint-NL_2019-12-10-eerstekamer-3.u87	Kind of like I said in the direction of Mrs Geerdink. I will not claim that I can completely oversee all the ins and outs of the English system, but is really a different system. You can't transfer one element from that system to our system. It's a system based on some sort of basic income-like idea. You get money without a tax on it. If we wanted such a system, it would require political choices and political majorities. We all agree that the current system is definitely in need of a major renovation. We must also have the courage to talk about the elements put forward by Mr Otten if we want to build a better system. I made a promise to Mr Van Rooijen. I would like to address the question of whether there is tax age discrimination. He had a suggestion about this in connection with the reduction in working hours and the tax reduction that workers receive but older people do not. Before I get a question about that, it is good to say that labour market policy has different arrangements that are different for different types of households. I refer to high-income and low-income households, workers and non-workers, families and families without children. It's a little faint, but this does indicate that you can't easily compare everything with each other. People above retirement age get AOW. People who have not yet reached this age do not receive this benefit. People with children can benefit from child regulation and people without children cannot. People who work can get a job discount. People who don't, they don't. You could say that it is a conscious choice to treat different groups differently. But I do not think it is right to call this tax age discrimination. Let me give you an example. I call an income of €35,000. As an older person with that income, you only pay 19,45% in taxes and contributions. If you have exactly the same income, but you haven't reached retirement age yet, you pay 37,35% in taxes and contributions, according to the first disc. A worker who earns €35,000 is entitled to a maximum employment discount and pays, after deduction of all discounts, ultimately €7,300 in taxes and social security contributions. An older person with exactly that same income only pays €4,200. You need to be careful with this. People could keep the exact same story the other way around. Someone with the same income and a certain age pays far less taxes than I do, and is that right? Yes, it is true that a cabinet always makes choices and that tax measures sometimes focus on age and the composition of the family and so on. But to speak of age discrimination, I do not think it is entirely right.
ParlaMint-NL_2019-12-10-eerstekamer-3.u88	Let me make a point of order. I have four coins to suspend for lunch, and I will. I now give the floor to Mr Van Rooijen.
ParlaMint-NL_2019-12-10-eerstekamer-3.u89	Thank you, Mr President. I came forward because, before I went into the State Secretary's response on age discrimination, I wanted to say something about the silvering-up, in addition to Mr Vendrik. We will come back to that later in the debate or else some other time. The figures of the Secretary of State also showed that the problem of cashing out, particularly in the case of the general tax rebate combined with the old-age discount, is relatively large. In other words, the problem of cashing is also a relatively serious problem for the elderly. That's a little ahead of time. We will be very concerned about this subject in the coming years. I received more than a hundred pages of reply from the then Secretary of State who then said that my officials are almost dead under the Christmas tree in the Tax Plan of a few years ago in this Chamber. I will not, of course, repeat that. All those sums were made then. Also in the written procedure I have dozens of pages with tables... I'm apparently the only one interested in facts and figures. No criticism of colleagues, but I like facts and figures. It is true that because older people do not pay an AOW contribution, they are, on balance, lower with taxes and contributions. But you are forgetting about this, and you know very well that this is important, that the AOW is a public insurance policy. This means that you pay an annuity premium until the AOW enters and then you get an AOW benefit. Then, of course, you have to say that older people receiving AOW do not pay an AOW premium anymore and that this is not entirely true because they are going to pay less on balance than before as a working person. That is why we can give workers a working discount of €4,000 which, of course, we do not give to those who are no longer employed. In other words, you should not bring in the AOW premium. The Prime Minister does the same in the case of the reduction in working hours, and you are doing so now in the case of age discrimination. The AOW is a public insurance policy. I do know that there are a number of parties and groups who believe that it should disappear, especially on the left, and that the AOW should simply be paid out of taxes. You know what happens then. Then it'll be a welfare allowance and I'll be sure I won't get an AOW in the future. That Van Rooijen is in the First Chamber and is honored for it, although it is three times less than on the other side. I'd be happy to make that sacrifice. So that has nothing to do with it. The AOW is a public insurance and is independent of taxation. You should not defend an employment discount of €4,000 that the elderly do not get.... who get a tip... by saying "yes, but you no longer pay an AOW premium." The issue of tax age discrimination weighs so much for us that my group in the House of Representatives has said that age discrimination should be included in a constitutional revision if there is to be a clause on discrimination. It is simply certain that because of the fact that the AOW is a public insurance, the elderly pay far more taxes than the workers.
ParlaMint-NL_2019-12-10-eerstekamer-3.u90	Mr Van Rooijen, you have spoken for four minutes. It's exactly 12:30. So we're gonna suspend. Thank you for your announcements. I'm suspending the meeting for lunch until 1:30 p.m. Then we get hammer pieces and votes before we continue with the answer of the Secretary of State.
