ParlaMint-NL_2019-11-13-tweedekamer-7.u1	I'm reopening the meeting. We shall continue with the examination of the Foreign Affairs budget.
ParlaMint-NL_2019-11-13-tweedekamer-7.u61	It'll take a while. Thank you for your patience. I mentioned this as an example this morning. It is a point about which one holds each other in a kind of grip within the coalition. I know Mr Sjoerdsma's view. I feel better at this than at the view of some other members of the coalition. But nothing's gonna happen. Mr Sjoerdsma knows, as I do, that the cabinet has appealed against the judge's ruling. He says we have to get the kids back to the Netherlands.
ParlaMint-NL_2019-11-13-tweedekamer-7.u62	But your question?
ParlaMint-NL_2019-11-13-tweedekamer-7.u63	This is happening partly on behalf of D66. So Mr Sjoerdsma can ask a number of questions to the Minister here, but how does he qualify the fact that the cabinet has appealed against this ruling?
ParlaMint-NL_2019-11-13-tweedekamer-7.u64	Mr Van Ojik says that nothing is happening and that the coalition does not agree on this. But can I tell him that this coalition, even contained in the coalition agreement, has done an incredible amount of work trying to bring these terrorists to justice? We have tried to reach a tribunal in the Security Council. We were all agreed on that to see if local trial would succeed. We are all trying to do so under the right safeguards, even though those safeguards may seem a little more pragmatic for some than for others. We just heard. That has been a whole journey, and an incredible effort. Where we are now, is in a dilemma. I think Mr Van Ojik, despite the fact that we agree, must realize that there are two sides to the security dilemma. As much as I think we are right, I do not want to close my eyes to that other side of the security dilemma. For neither of us is absolutely right in that. It's a trade-off between two evils.
ParlaMint-NL_2019-11-13-tweedekamer-7.u65	That is the definition of a dilemma: that there are two sides to it and that it is difficult to choose between them. But Mr Sjoerdsma chooses. He may not have said it so literally now, but he has said very often: I do not think that these children should be the victims of the fact that their parents have made wrong choices. "From the point of view of humanity and security," I have often heard him say. Now, here's what I'm asking him. The cabinet has decided to appeal against the judge's ruling, which went very far in the direction of Mr Sjoerdsma. I ask him: how does he feel about that? Then he says, "The cabinet didn't do nothing." I ask him a very simple question.
ParlaMint-NL_2019-11-13-tweedekamer-7.u66	Let me get this straight: I think this is very similar to, for example, the Urgenda case. That is what the cabinet said, and that is what it has said, and we are going to carry out this judgment. That is what the cabinet has said: we are going to start the execution of the verdict. That was Urgenda, that was right here. The fact that the cabinet also wishes to appeal is a legal fact. But that there will now be a start on the execution of that judgment, which Mr Van Ojik and I agree on, cannot Mr Van Ojik deny? I'd say that's a bit of a silly word game. I don't really know Mr Van Ojik like that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u67	I am very pleased with the latter, but let us be quite honest: that appeal from the cabinet is not a legal but a political gesture. Mr Sjoerdsma knows that very well. That is a political gesture to delay the inconvenience that exists around this issue again for a while. Hence my question to Mr Sjoerdsma, from whom I thought we were indeed on the same side. How does he qualify? But then he says: yes, that is a legal step. Well, I really don't see it that way. I see that as a political step.
ParlaMint-NL_2019-11-13-tweedekamer-7.u68	I am looking for exactly what Mr Van Ojik wants. We agree. If he wants something to happen, something similar to what he and I want, he's gonna have to knock on the door at the VVD and the CDA. Unless Mr Van Ojik says: something must be done, there must be agreements; if necessary, D66 will give up his serious position in terms of safety and humanity in relation to children. Yes, that is possible, if Mr Van Ojik wishes, but that is of course the dilemma. If you ask Mr Koopmans or Mr Van Helvert, they will say the same thing. But I do think so, and let me finish by saying that if you look at reality on the ground, if you look at what is happening in the other Member States, there is indeed an increasing chance that we will have to pick up these people.
ParlaMint-NL_2019-11-13-tweedekamer-7.u69	Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u70	That's not good. That's not something I'm proud of or that I'm happy with, but if that's the alternative to chaos, then so be it.
ParlaMint-NL_2019-11-13-tweedekamer-7.u71	Good. Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u72	Secondly, Russia. It is only through European unity that we can make a fist against autocrats, or push Russia back to the negotiating table, to ensure that they meet those Minsk conditions, to ensure that Eastern Ukraine can become stable again. But this European unity is in danger of crumbling, while sanctions are the instrument here, to put pressure on Russia, to work towards a solution. I ask the Minister whether he can confirm that these sanctions will be renewed and that the European Union remains united until these Minsk conditions are met. Is the Minister in contact with his European partners on this matter and does the Minister perhaps also see opportunities to make these sanctions more personalised, to focus them more on Putin's cabal? Third, China. From China, too, the worrying reports continue to reach us about the systematic repression and rape of women in Uighur camps. The Minister has undertaken to call for an independent investigation mission to Xinjiang. I'm grateful to him for that. Has the Minister talked about how we could prepare this and how it could be advocated in the UN Human Rights Council? Mr. Chairman. This brings me to the Dutch commitment itself, which we can do as the Netherlands. This, of course, starts with ensuring that Dutch people abroad can count on our support for consular services and for the provision of passports. That needs to be digital as much as possible. People should not have to travel for hours, days and hundreds of euros to be able to renew their documents or count on support. We need to ensure that new embassies always have a consular department until such time as digitalisation is completed. We need to ensure that there is Dutch education abroad, so that children continue to be connected to the country and so that they can easily participate in elections abroad. This cabinet has, of course, taken a step in that direction. Where it was still a bit "out of sight, out of heart" under the previous Dutch cabinet, we now embrace those Dutch abroad. I'm okay with that. In the forthcoming general consultation Consular services will continue to be discussed, but at least I would ask this Minister to upgrade the existing embassy offices to embassies. In my opinion, this can be sober, it can be virtually free and we fail ourselves by calling something an office when it is just an embassy. Then also about what makes the Netherlands unique. Because we are a unique country. We are one of the few countries in the world where the majority of the population is not religious. We are the first country in the world to open marriage to all. Our freedom of the press is virtually unmatched and these freedoms also give us an international profile to be proud of. If there is one country that must stand up for lhbti'ers, unbelievers and journalists, then it is the Netherlands. But then we must do more, because human rights are of course universal, but our strength lies precisely in protecting these groups, which are so oppressed elsewhere. That is why my question to this Minister: is he prepared to make the protection of these groups a priority during the Dutch participation in the UN Human Rights Council?
ParlaMint-NL_2019-11-13-tweedekamer-7.u73	Those words of Mr Sjoerdsma go into me as God's word in an elder. I do have a question for him.
ParlaMint-NL_2019-11-13-tweedekamer-7.u74	I see Mr Van der Staaij shining!
ParlaMint-NL_2019-11-13-tweedekamer-7.u75	Yeah, everybody's really happy when I say that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u76	I'm glowing and Mr. Van der Staaij is smiling.
ParlaMint-NL_2019-11-13-tweedekamer-7.u77	Well, I made you both happy. That in itself is pretty handsome. This morning there was an opinion piece in the newspaper of a coalition colleague of Mr Sjoerdsma, Mr Koopmans. Let me say it in my own words. I'm really not trying to provoke him, but he felt that foreign policy, also promoted by this Chamber, didn't focus on the good things. He mentioned an example of questions that an MP had asked about a comic book that was banned in Brazil. That MP was me and that comic book was banned because there were two kissing men in it and people have been reluctant to do so in Brazil since Bolsonaro. There people experience more discrimination, more hate speech. Could I ask Mr Sjoerdsma how he looks at that? Is it not important that, as the Netherlands, as a Chamber, we continue to call on the Minister to stand up for the rights of homosexuals? The freedom, which is in the name of Mr Koopmans' party, should be dear to us all, right?
ParlaMint-NL_2019-11-13-tweedekamer-7.u78	The words of Mrs Ploumen go into me as God's words in an elder. I fully agree with her, as I have just tried to say. Human rights are universal. Let me say that. There is no human right that is more important than any other human right. But, of course, we are a unique country. If we do not stand up for non-believers, or for lhbti'ers, as Mrs Ploumen says here now, you may wonder who still does. Who's gonna do that anymore? So I think this is the ideal group for which the Netherlands should run a bit faster, for which this Chamber may make its voice sound a bit louder and for which our cabinet may turn on the words just a little bit more firmly.
ParlaMint-NL_2019-11-13-tweedekamer-7.u79	I do not know what Mr Koopmans thinks about that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u80	I believe that Mr Sjoerdsma will also regard it as God's words for an elder when you say that D66 fights with the VVD for the rights of lhbti and all other people who are discriminated against and expelled.
ParlaMint-NL_2019-11-13-tweedekamer-7.u81	Yes.
ParlaMint-NL_2019-11-13-tweedekamer-7.u82	But I also think that Mr Sjoerdsma agrees with me that focusing on a comic book in Brazil does not really meet the priorities, because you want to have an impact. I think Mr Sjoerdsma agrees with me.
ParlaMint-NL_2019-11-13-tweedekamer-7.u83	What Mr Koopmans and I firmly agree on is the point he started with, namely that it is important for the Netherlands to commit itself to this. That is why I think it is so good that we can jointly make a proposal to strengthen, for example, the capacity at embassies, not only in the area of security but also in the area of human rights. For example, in countries where it is difficult not only to support others, but also eyes, ears and a mouth to speak out to us. I think that's a win. That is perhaps also a little bit of destructive of what Mr Van Ojik has been saying all day.
ParlaMint-NL_2019-11-13-tweedekamer-7.u84	That's entrapment, but I'm not giving you the floor, Mr. Van Ojik.
ParlaMint-NL_2019-11-13-tweedekamer-7.u85	No, but Mr Van Ojik does not want the floor either.
ParlaMint-NL_2019-11-13-tweedekamer-7.u86	It's a good idea.
ParlaMint-NL_2019-11-13-tweedekamer-7.u87	It's gonna be okay. I'm just trying to keep Mr Van Ojik in the dark a little bit.
ParlaMint-NL_2019-11-13-tweedekamer-7.u88	That won't be necessary.
ParlaMint-NL_2019-11-13-tweedekamer-7.u89	We can differ on whether such a book is important enough to ask questions. Mr. Koopmans may not think so. Mrs. Ploumen may think so. It depends on how you look at it. A book like this could almost certainly lead many young people to the wrong idea. If you treat it that way, it might be very important. Perhaps Mr Koopmans will think of very different cases, which he would like to raise again. But the beauty of this Chamber, Madam President, is that these sounds only reinforce each other.
ParlaMint-NL_2019-11-13-tweedekamer-7.u90	I agree. Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u91	So does the chairman. Then I'll be the chairman. It shouldn't get weirder.
ParlaMint-NL_2019-11-13-tweedekamer-7.u92	No.
ParlaMint-NL_2019-11-13-tweedekamer-7.u93	Finally, Mr President. If we cannot look honestly at our own past, it is also impossible to face the world with credibility. I think the most recent example is the disillusionment we gave Northern Macedonia by once again closing the door to accession negotiations. That was, in view of the earlier promise, also of the Netherlands, strict and unfair. The result is a potential destabilisation of the Balkans, growing influence of China and Russia and actually just a historical error. I ask the Minister to see these problems as well. Does he see any possibility of restoring this in any other kind of connection with these countries? What steps has he seen France take to reform the accession process? Finally, as the very last one about the past of ourselves. If we really want to be honest, we must of course also dare to take the black pages of our own past. We must dare to open them up and we must dare to answer for the mistakes we have made, as in Indonesia. I ask the Minister whether he is prepared to answer for our actions in Indonesia in response to the ongoing investigation into this cabinet period. Mr. Chairman. Thank you.
ParlaMint-NL_2019-11-13-tweedekamer-7.u94	Thank you. Mr Van Ojik has another question.
ParlaMint-NL_2019-11-13-tweedekamer-7.u95	My question is not about the division in the coalition on a number of major points, but about a point on which we may agree. Mr Sjoerdsma began his speech with a plea for a fundamental rethink of Dutch foreign policy. He used those words. That appeals to me very much. As you may recall, I referred in my contribution to the review operation. That may sound a little lame, but this was a very interesting operation led by a D66- and a Labour Minister's Party. It paid off a lot back then, but that was 25 years ago.
ParlaMint-NL_2019-11-13-tweedekamer-7.u96	And the question is?
ParlaMint-NL_2019-11-13-tweedekamer-7.u97	Would it be a good idea to give this fundamental rethink, I have called it a rethink, a concrete organizational form? I propose to ask the Minister to initiate such a reflection at his ministry together with other departments.
ParlaMint-NL_2019-11-13-tweedekamer-7.u98	It is, of course, always difficult to be against something that was originally proposed by my party's founder, Mr Van Mierlo. On the other hand, it is also very difficult to do better than him. That's why I'm a little hesitant. It was indeed a D66 and a PvdA minister. I remember that debate when the D66 Minister was accused that Mr Pronk was a bit of a shadow minister who, with too high a voltage, shone his light on foreign policy. The question was whether that did not irritate the Foreign Minister. By the way, he didn't think so, because they agreed. It was a debate that, if I do have it, was held by former President of the Chamber, Mr Weisglas, Jaap de Hoop Scheffer... I see the clerk, Theo van Toor, watching. He really remembers this. I looked it all up.
ParlaMint-NL_2019-11-13-tweedekamer-7.u99	How old were you?
ParlaMint-NL_2019-11-13-tweedekamer-7.u100	I was too little to watch it live at the time. I was out playing soccer. But that was an important recalibrate. Mr Van Ojik asked whether this should also have an organisational resonance. I'm kind of wondering. I myself mentioned quite a few points which I say should change the direction of foreign policy there. But if Mr Van Ojik can give reasons why it should be organized, I am, of course, prepared to listen to it.
ParlaMint-NL_2019-11-13-tweedekamer-7.u101	The most obvious reason is, of course, that fundamental rethinking does not come naturally. You're gonna have to organize it in a way. That will be accompanied by a lot of debate. Listen to me. I keep telling you how different the views are today about all sorts of things. This requires a certain form of organisation. I'll think about that. I am also very curious as to how the Minister will respond to this suggestion. Maybe he's got some really good ideas about how that could be possible.
ParlaMint-NL_2019-11-13-tweedekamer-7.u102	Thank you. Mr. Van Ojik is going to think about it, Mr. Sjoerdsma. Mr. De Roon.
ParlaMint-NL_2019-11-13-tweedekamer-7.u103	Madam President, this seems to me to be a good thing, but I also think it would be a good thing if we were all to do that; I do not need to draw Mr Van Ojik into the direction in which you would like to change that rethinking, adjustment or whatever you would like to call it, simply to put it in motion. Of course, we are not dependent on what is going to be answered.
ParlaMint-NL_2019-11-13-tweedekamer-7.u104	Mr Sjoerdsma called for black pages from our history to be seen as well. I ask him whether he also counts on the way in which the Netherlands, under pressure from the international community, has extradited the Papuans to Indonesia. In the 1990s, a large report was issued on this subject, at the request of the Foreign Office, by a Mr. Kortenhorst. A thick report; destructive for the Netherlands. But that report is in a very deep drawer disappearing from the State Department, and here in the Chamber, too, no one had any contest to get it out. Would you support putting that report on the table and raising it in a debate with the Foreign Minister?
ParlaMint-NL_2019-11-13-tweedekamer-7.u105	I think that Mr De Roon has a very valid point. For the sake of time, I have just mentioned one example. I would have mentioned Srebrenica myself. Survivors had to sue until the Supreme Court and then had to learn from the media what the compensation they received for the suffering they had suffered.
ParlaMint-NL_2019-11-13-tweedekamer-7.u106	And now the answer to Mr De Roon's question.
ParlaMint-NL_2019-11-13-tweedekamer-7.u107	I agree with Mr De Roon that Papua is included. In fact, I asked written questions along the line suggested by Mr De Roon. But I have to say honestly that the answers of the cabinet have slipped my mind for a moment. No doubt Mr Van der Staaij has just given those answers, but unfortunately to the wrong person, because I need those answers, I say to Mr Van der Staaij.
ParlaMint-NL_2019-11-13-tweedekamer-7.u108	The name of the report, I take it?
ParlaMint-NL_2019-11-13-tweedekamer-7.u109	Yeah, it was Dry Liver. Thank you to Mr Van der Staaij!
ParlaMint-NL_2019-11-13-tweedekamer-7.u110	Also about those black pages. Does Mr Sjoerdsma agree with me that, in view of the judgment of the Court, the compensation scheme for the widows of those executed by law in Indonesia should also be opened up to their children?
ParlaMint-NL_2019-11-13-tweedekamer-7.u111	I have argued earlier that this regulation should be extended, because I did not agree with the time limit within which it had to be done and I thought it was unreasonable. I also agree with the enlargement proposed by Mrs Karabulut. From a human point of view, I find it almost unbearable that these people still have to come to the Netherlands at a very old age to tell their often poignant personal and emotional stories here in court, while the Dutch government can be expected to do justice there.
ParlaMint-NL_2019-11-13-tweedekamer-7.u112	I'm glad to hear that. Then tomorrow we can deal with this together with the Minister, just like the first point that we have dealt with together. Mr President, I have one more question, if I may. I have rightly heard Mr Sjoerdsma very often about sanctions, but in relation to Russia. What I haven't heard about is Israel. You know, Israel annexes... Well, the situation in Gaza: I explained it all. What do you think should be done to promote another credible two-state solution?
ParlaMint-NL_2019-11-13-tweedekamer-7.u113	If you look deep into my soul, I must confess that I fear that a two-state solution is finally dead. When I worked there myself between 2011 and 2012, there was still a glimmer of hope. Then there was talk in Jordan, then the settlements were not as exponentially expanded as they are today and the facts on the ground were not as terrible as they are now. To be honest with you. When I look at Israeli politics, at what Netanyahu has said and done, but also at what his opponent, Mr Gantz, who may now be Prime Minister, promises, I have very little confidence that there is anything that will change Israeli policy. That is why, under the previous cabinet, I found it so important to ensure that we do not just intensify these relations without reason. For the sake of clarity, this also applies to the Palestinians, because the time for elections is far behind us. The enormous corruption that is taking place there is equally terrible. So it actually applies to them as well. It is two parties that hold each other in a hold without any perspective.
ParlaMint-NL_2019-11-13-tweedekamer-7.u114	Finally, Mrs Karabulut.
ParlaMint-NL_2019-11-13-tweedekamer-7.u115	I do not think I need to explain to Mr Sjoerdsma what impunity is about. Noting this and noting that Netanyahu is far right-wing and doing everything possible to remain in power, is it insane that no measure is actually being taken? Does Mr Sjoerdsma agree with me that there should finally be a condemnation of the violence used? I would also like a response from Mr Sjoerdsma to my suggestion that we stop importing products from illegal settlements, because occupation is also an economy, a earning model.
ParlaMint-NL_2019-11-13-tweedekamer-7.u116	I'm saying this out of my head. The European Court of Justice delivered an interesting ruling this week. It has actually reconfirmed that products from the Israeli settlements should not be classified as 'from Israel'. I think that that is a fair and sensible statement, which the Netherlands must also maintain for the full hundred percent, but that is what the Netherlands did, by the way, is my impression. I see Mr Van Ojik having a bit of doubt, but I think his doubt is about the capacity for implementation. I think it would be good to talk about this a little further and a little longer.
ParlaMint-NL_2019-11-13-tweedekamer-7.u117	Okay. No, Mrs. Karabulut, I'm sorry. I'm going to see Mr. De Roon.
ParlaMint-NL_2019-11-13-tweedekamer-7.u118	I now hear Mr Sjoerdsma say that the two-state solution is dead. You can judge that positively, like I do. Maybe others are negative about that. But whatever it is, it means that the cabinet, which still believes in that two-state solution, is actually just pulling a dead horse. I would therefore like to ask Mr Sjoerdsma whether he is prepared to call on the cabinet with me to stop pulling that dead horse.
ParlaMint-NL_2019-11-13-tweedekamer-7.u119	No, I'm absolutely not prepared to do that, and I'll tell you why. Mr De Roon will probably be pleased that I said that, but I say that with great sadness. I am not saying that because I think the cabinet should stop its efforts. On the contrary, I think that the cabinet should perhaps double its efforts to give the two-state solution mouth-to-mouth, so to speak, so that it can be brought back to life by means of CPR. But I also think we should note that it looks difficult. That means a lot. At the end of the day, our paths are divided, those of Mr De Roon and mine, which means that faith in Israel, as a democratic state, is also slowly crumbling. It is a shame that the dream that ever existed was destroyed by Israeli leaders. That is actually the saddest thing that has happened in the Middle East.
ParlaMint-NL_2019-11-13-tweedekamer-7.u120	The concept of "God's Word" has already come a few times this afternoon. Apparently, Mr Sjoerdsma now believes that another miracle of God can happen, bringing that dead horse to life. I do not share that view.
ParlaMint-NL_2019-11-13-tweedekamer-7.u121	Optimism is a duty. However melancholy I was in my reply to Mrs Karabulut's question, I am nevertheless convinced that we will have to do everything we can to ensure that these gloomy words do not become reality. It's not gonna happen on its own. I think we should be realistic about that. Let that be the final word, Madam President, otherwise I will stretch it too long and it will cost too much of your patience...
ParlaMint-NL_2019-11-13-tweedekamer-7.u122	No, I've got plenty of time.
ParlaMint-NL_2019-11-13-tweedekamer-7.u123	...and we don't want that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u124	Thank you, Mr. Sjoerdsma. I now give the floor to Mrs Ploumen, on behalf of the PvdA.
ParlaMint-NL_2019-11-13-tweedekamer-7.u125	Mr. Chairman. We're worried about a world of insecurities. Are we safe? Is our freedom even protected? And how do we protect people in other parts of the world from inequality and violence? Mr. Chairman. Jacinda Ardern, the Prime Minister of New Zealand, recognizes that we are inevitably all connected in this world. She sees that as a force we can tap into. She sees it as a force we need to tap into. And compare that with the harsh words of President Trump who said: the European Union is about as bad as the United States, just a little smaller. Mr. Chairman. The Labour Party feels much more at home with the words of Jacinda Ardern, because we must continue to work together to defend freedom and protect peace for all of us. Our freedom and our security are under threat. Colleagues have already spoken about this. Other countries opt for flat self-interest and put our values at risk. Terrorists who seemed defeated regroup. Their victims deserve justice, but they don't get it. China and Russia become more powerful and receive far too little rebuttal. Russia is trying to destabilise countries in their vicinity and China is steadily working to strengthen their geopolitical position. In countries in the Middle East and North Africa there is instability or is ruled by extremely hard hands. The ideology of IS is not defeated so that all security risks for people in the region and for us still exist. Treaties that protect us have been terminated, think of the INF Convention, and treaties that protect our freedom are actively undermined by a coalition of the United States, Saudi Arabia, Iran and the Vatican. Friends of old are squandering our common values and pursuing unreliable and unpredictable foreign policy. Mr. Chairman. People go out on the street to let us know: we don't take it anymore. We don't want the oppression anymore. We stand up to inequality. Those people deserve our support: for freedom, against the servant! We want to let them know we're right behind them. We want them to know that we support their call for freedom. Mr. Chairman. All these developments call for an active and values-driven policy of power, because not all these developments need to be threats, but they will be without an adequate response from this cabinet. Because especially for the Netherlands, a small country with a large open economy, it is important to pursue an active foreign policy from the perspective that if things are going well with the world, we are also doing well. But we don't hear much from this cabinet. The Dutch foreign policy is mainly domestic bickering. Too often that leads to a surplace. As Mr Van Ojik said, the coalition does not agree on much and this leads to a lack of action. That doesn't make our country and our world safer. Mr. Chairman. That is why GroenLinks and the Labour Party have a progressive alternative, an assertive value-based foreign policy. I make a number of proposals that fit in with that approach. The Netherlands must take the lead in the formation of a new assertive international coalition against the erosion of international cooperation, against the undermining of the international rule of law, which promote authoritarian leaders such as Trump, Putin and Bolsonaro, for cooperation, for strengthening multilateral organisations and for the protection of universal human rights. We could invite countries such as South Korea, Sweden, Uruguay, Ethiopia, Germany and Canada to participate. The Labour Party and GroenLinks are very willing to approach parliamentarians in those countries so that they too can encourage their governments to respond to the request that this cabinet will make to their colleagues. I hope the Cabinet will do this. Build together a coalition that will protect our freedom and improve and strengthen the multilateral system! Mr. Chairman. The second proposal. The Netherlands will be a member of the Human Rights Council in the coming period. Human rights are under pressure. We've talked about that before. The Netherlands wants to stand up and protect these human rights, but sometimes it does not. We were talking about Saudi Arabia and I was talking about Brazil. That is why we would like to see a robust Dutch agenda for that period in the Human Rights Council. The Minister should continue to work to improve the Human Rights Council, by allowing, for example, the candidacy of countries to be more substantive, to invite more countries to participate and to prevent notorious human rights perpetrators from taking part in the Council. I would like a commitment from the Minister on this point. We also call on the Minister to continue and strengthen his commitment to two countries: Myanmar and Yemen. The Gambia has taken the initiative to apply Myanmar to the ICC. That's what I call it. Is the Minister prepared to support Gambia in this? And is the Minister prepared to continue along with other countries on the path taken to bring Yemen to the Human Rights Council, against the wishes of the Saudis and others but for justice for the innocent citizens who have fallen victim to the conflict? Finally, Mr President, on the Human Rights Council. I told you, people go out in a number of countries. Everyone deserves the freedom to demonstrate. Is the Minister prepared to give and defend that right in the Human Rights Council in a robust manner?
ParlaMint-NL_2019-11-13-tweedekamer-7.u126	I was very pleased with Mrs Ploumen's plea for such a coalition of like-minded countries. I've talked about that before. That's very nice. At the end, she mentioned Canada as one of the examples. Now I think: if you have such a coalition, you have to give a little bit and take a little bit, but you have to make sure that you find something together and that you are a reliable partner. How does Mrs Ploumen then assess that we can negotiate a trade agreement with Canada, but that Mrs Ploumen's party ultimately says: no, we do not want that. How is Canada supposed to be?
ParlaMint-NL_2019-11-13-tweedekamer-7.u127	The Labour Party has always said: a good trade agreement requires that not only companies and governments can turn to an arbitrator in disputes, but that trade unions and environmental organisations can do so. That doesn't have to be a surprise. In fact, a motion from the PvdA Group has been adopted by almost the entire Chamber. A multilateral court could do that. That wasn't realized. We're sorry about that. But that is why we are now saying that, and again, Mr Koopmans should not have surprised me that it is not enough. Just Canada is a country that felt that way. It is precisely this treaty that is presented as an example for the future, but it must be an example that is sustainable, because we will have to keep the Chinese and Americans much firmer. That's my answer to that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u128	Then it's clear. Mrs Ploumen pleads for coalition, cooperation and reliability when it comes to a trade agreement, but that does not mean that if you negotiate something with each other, it will also bring you to an end. Then I ask again: what does being a reliable partner mean? What do you want with such a coalition of like-minded countries if you can't even be like-minded within yourself because you're always coming back to your opinion? Then how do we become a reliable partner?
ParlaMint-NL_2019-11-13-tweedekamer-7.u129	Again, the Labour Party has always been clear about this demand. Of course, you have to build a solid coalition with each other. Of course, such a coalition is then the right group to set an example, to make sure that what you meet is better than the highest standard. Precisely like-minded countries should be able to do that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u130	To a large extent, of course, I agree with Mrs Ploumen's speech. It is improbably important that we conclude alliances in these difficult worlds and that we seek alliances and attract people. Mr Koopmans has a bit of a point with Canada. Mrs Ploumen is now referring to the dispute resolution mechanism. Mrs Ploumen herself said: I think this should become the standard for bilateral trade agreements between the Netherlands. It's not really realistic to use that now to ricochet it off in this world. Then I'd say not perfect, good enough, let's go.
ParlaMint-NL_2019-11-13-tweedekamer-7.u131	The Group of the Party of Labour has always said, and Mr Sjoerdsma should know this: it is extremely important that such a trade agreement does not only work for large companies, but that civil society organisations and trade unions are placed in an equal position if there is a difference of opinion as to whether the agreements are being complied with. That part hasn't been closed until recently. There has been no proposal that fits in with the view of the Labour Party.
ParlaMint-NL_2019-11-13-tweedekamer-7.u132	I understand this discussion very well, but there are other spokesmen who are also here. To involve CETA in Foreign Affairs now, while there is actually a debate on the list that would be held on this, a bit of grass is being... How do you say that?
ParlaMint-NL_2019-11-13-tweedekamer-7.u133	The grass is mowed at the feet.
ParlaMint-NL_2019-11-13-tweedekamer-7.u134	The grass is cut off from the other spokesmen, but also from another ruler.
ParlaMint-NL_2019-11-13-tweedekamer-7.u135	Agreed. Then I'll shut it down.
ParlaMint-NL_2019-11-13-tweedekamer-7.u136	Not about this, eh?
ParlaMint-NL_2019-11-13-tweedekamer-7.u137	You don't want to talk about this. Then I'll shut it down.
ParlaMint-NL_2019-11-13-tweedekamer-7.u138	Okay.
ParlaMint-NL_2019-11-13-tweedekamer-7.u139	I get it, Madam President. You have a point. We have to do that in another debate. Let me ask Mrs Ploumen whether, in general terms, but perhaps also with regard to this particular point, she will at least remain open to see if they can still participate. That is, I think, in the interests of this world of trade and cooperation.
ParlaMint-NL_2019-11-13-tweedekamer-7.u140	You made the point.
ParlaMint-NL_2019-11-13-tweedekamer-7.u141	I think it is clear what the Labour Party thinks is of paramount importance in this regard. Mr. Chairman. A third proposal. The Netherlands must actively contribute to disarmament initiatives. This is rather urgent, also concludes the International Affairs Advisory Council. If I am right, next year the Netherlands will be Vice-President of the Non-Proliferation Treaty Review Conference. That's a mouthful. It is a meeting where we look again at how to stop the proliferation of nuclear weapons. So that's important. That is why I call on the Minister, in the context of this dialogue, to examine all the possibilities for a new round of talks with nuclear powers and others for the sake of the security of all of us. Does the Minister see that possibility? The AIV also made that recommendation. Try a new path, is actually the call. Mr. Chairman. I have two more points. If I am right, there will be a meeting tomorrow in Washington, convened by the Americans, of the countries forming the anti-IS coalition, and all foreign ministers will be invited to discuss the current situation. The current situation is therefore about the so-called foreign fighters: the Dutch, the Belgians, the Germans, who are now rightly imprisoned because they have committed terrible crimes, and the Americans think that the Netherlands, Belgium, Germany should take those criminals back. The Minister will be here tomorrow to speak with us to my knowledge, but is the Netherlands represented? And what will be the commitment of the Netherlands? Mr. Chairman. Women's freedom is under threat. Women reporters are murdered. Every day, women are victims of sexual violence. In Iran and Saudi Arabia, women are not free to make their own choices. Female activists are being imprisoned. That is why I have three questions for the Minister. What about the motion for a resolution adopted to protect women journalists? What is the situation with regard to the inclusion of sanctions against sexual violence against women in the European Magnitsky Act? In Saudi Arabia, female activists are still incarcerated. In Iran, women are arrested if they want to take off their headscarf. The Netherlands must make a strong statement against this. What is the Minister going to do to denounce this continuing injustice? What sanctions does he see? Thank you, Mr. Chairman.
ParlaMint-NL_2019-11-13-tweedekamer-7.u142	Thank you, Mrs Ploumen. I now give the floor to Mr Voordewind on behalf of the Christian Union.
