ParlaMint-NL_2019-09-05-tweedekamer-7.u1	The next item is the law on the abolition of merger tests in basic education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u60	No, but of course I can't resist the temptation to say anything about it. I think Mr Rog is concerned about something I didn't say. I have said in the past tense that the fat lease boxes entered education. When? When I was talking about the history of the merger test. That's right, you're talking about the Amarantissen of this world. Then you're talking about the increasing scale and the educational factories that were the result of that. That's what I'm talking about. They entered education. I am referring to the start-up period for the introduction of the merger test. We want to prevent this happening in primary and secondary education too, and I think we share that. I think the merger test can play a role in that. Is that all you got? No, because Mr Van Meenen is right to say that it is not as if the scale increase has stopped. There are still very large school domes. The possibilities for reducing them are rather limited. Where was I? Yeah, you don't expect it: the merger test and those poor drivers, because they want to merge so badly. Then we shouldn't bother them with trivial matters as a basis. Any kind of emergency brake is now being invested in participation, while we are only going to talk in the future about the state of participation, about the level of knowledge and about the relationship with the school board, for example when we are talking about the law of consent budget. Then it is crazy to move such a heavy responsibility towards participation before we talk about it. For until we talk about that, we really do delete any provision that can serve as a stick behind the door. No more security. No provision for evaluation. There's no way to reverse a merger. Not a central place where mergers and reports are kept. No external check. We ask participation, and if it's okay with them, I'm sure it's okay. The SP is strongly in favour of strengthening the role of participation, but the participation of a school bears responsibility for the school itself. He doesn't have system responsibility, does he? The dramas at LVO in Limburg have already come a few times today. We have seen how things could get completely out of hand there, how a huge educational umbrella did not have any insight into the situation at individual schools. He did rake in the maximum salary. In fact, it had a separate administrative location separate from the educational institution. 'Cause imagine running an educational institution running into a student unexpectedly. Before the summer, we talked about the fact that the education inspection is going to look more closely at large curricula in its supervision. Why? 'Cause that's where the education inspector wants to keep his finger on the pulse. It is now two months later and we are discussing this bill as if nothing had happened. Then why are we giving this task to the education inspector? That's not employment, is it? Why, at the same time, make it easier to scale up and inspect more critically with educational authorities that are already so large? Can the Minister explain that to me? I've had some time to think about it from the summer, but I don't get it. But Mr Van Meenen is going to explain it to me, I believe.
ParlaMint-NL_2019-09-05-tweedekamer-7.u61	I will say one thing, because I know that Mr Kwint intends to talk about this for twenty minutes. He brings together a lot of things. Maybe I can go back to the genesis. Yeah, it was bad what happened. There was a lot of scaling up. We saw it in the MBO. We've seen it in higher education. It also originated there, I was there myself. You used to have the hts and the heao, and they all became big colleges with all the consequences of that. Finally, it was said in the merger test that we should look at how we can prevent this in primary and secondary education. But the path had already collapsed, people were already driving around in their lease boxes, at least some of them, and you name it all. And then came the fusion test, an instrument that was far too late. Then why would you abolish him now? You can say that you can leave an instrument that doesn't do anything. My point of view is that we are doing this now nine years later: because it has now become an instrument that has done nothing at all to increase the scale, but it is precisely on a small scale, precisely where mergers are needed, in shrinking areas, that it stands in the way. And that's why you have to remove it. It has become the instrument for the wrong purpose. That is my view. I am curious to see how Mr Kwint looks at that. We can, however, continue to work on the bad aspects of this increase in scale...
ParlaMint-NL_2019-09-05-tweedekamer-7.u62	Sure.
ParlaMint-NL_2019-09-05-tweedekamer-7.u63	But then I say, do something about it instead of...
ParlaMint-NL_2019-09-05-tweedekamer-7.u64	Yeah, we're gonna do that.
ParlaMint-NL_2019-09-05-tweedekamer-7.u65	Instead of wanting to maintain this instrument that leads to nothing, which only causes hassle at micro level.
ParlaMint-NL_2019-09-05-tweedekamer-7.u66	Thank you for this question, or actually series of questions. First of all, I don't think you can ever say that this didn't do anything. We do not know how many larger educational institutions would have been if we had not had this fusion test. I agree with Mr Van Meenen that there has not been very often an obstacle, but it has happened. Thus, the merger test has blocked economies of scale in education at times. Has he thereby stopped the overall trend of scaling up? No. Can we do something about that together? Yes. I'd like to make it easier to cut up school domes. In fact, I suggested that at LVO. Do it right now! Cut it up! First of all, you free them from the legacy they carry with them in the meantime. Secondly, I do not believe that it is in the interests of education to have 30, 35 educational institutions under one umbrella. That is how things work here: we did not have a majority, in my view, partly because you did not support it. So if you're saying that we're going to set a maximum of the size of a school dome, I'll be happy to write a motion for the second term. I think you should do one thing and not leave the other. You need to avoid further scaling and you need to make it possible to achieve scaling where possible.
ParlaMint-NL_2019-09-05-tweedekamer-7.u67	Sure. Any reasonable proposal can count on my interest. I myself said just now in the first term that I want to try to do something there by another way, through the money.
ParlaMint-NL_2019-09-05-tweedekamer-7.u68	Yeah, I thought that was a good proposal.
ParlaMint-NL_2019-09-05-tweedekamer-7.u69	But now we're talking about the merger test. I'm just trying to narrow it down to that. I will say: that instrument did not work. It didn't do anything about the scaling up. It didn't stop any scaling up either. We can ask the Minister later, but the seven things that stopped the test weren't megalomaniac operations at all, but situations where something wasn't right somewhere. The difference with nine years ago is that shrinkage is now super-current. That was not the case at the time. The instrument now stands in the way of movements that we all want. It makes things much more complicated. That's why we need to get rid of that thing. That is also in our electoral programme, by the way.
ParlaMint-NL_2019-09-05-tweedekamer-7.u70	There's a lot of things in there that I don't agree with. I am going to ask a question that I have just asked Mr Heerema, who is a nice little bridge to what I want to say next. Because if the merger test is really such an unbearable burden, if it's really so terrible what we do to the school boards, then why don't we adjust it? Why don't we just make it simpler? Of course, we do not want schools in shrinking areas to end up disappearing because they are drowning in the bureaucratic burden. Of course not! They must be able to work together and in case of emergency I am not in favour of it but I understand that in some areas it is inevitable that they should be able to merge. Then you ask the government, who then says that a simplified test still amounts to a test. Yeah, that's right, but what's wrong with that? What's wrong with proving the need for a merger? I think that's a perfectly normal thing to do. How many mergers have been ricocheted off by this key? How many schools have disappeared because we had a merger test? I didn't find it. Then we also know what problem the cabinet is solving here. I actually think that more parts of the law are poorly substantiated. As I said just now, the SP is a strong supporter of strong participation, not just in schools but everywhere. I find it problematic, however, that the cabinet cannot indicate whether participation at the moment has enough baggage to enable these serious decisions to be made. That is a rather essential question for the weighing of the bill. The cabinet says it's going to strengthen the position and support. That's what I'm here for. Let us indeed do so, but in that order: first ensure that participation is sufficiently defined and then leave the power there. Whether you want to abolish the merger test or not, it will be clear that my party is certainly not in favour of it. You shouldn't throw away the old shoes until you get new ones. It's not that hard. Is the government prepared to first demonstrate that participation can do this and then make the political choice here to abolish or not to abolish the merger test? That is not mistrust; that is in a responsible way picking up the signals that, among other things, the Education Inspectorate has already given about the extent to which the mr is now able and equipped to do this important work. Moreover, trust in participation in this bill is at best selective. Where they do have a voice in a merger, they should not indicate that they want to step out of a larger dome, because I found that the most amazing thing about the reasoning I encountered would be to intervene in Article 23. Yes, the freedom of education, which is repeatedly said to anchor parents' freedom to establish a school, is used here to undermine parents' position vis-à-vis a school board. You may say something in advance about a merger, but once you're part of such a dome, you can't get out. Mr Van Meenen has already mentioned it. You can check-in anytime you like, but you can never leave. How does the Cabinet see this? This is an inexplicable contradiction, isn't it? Why is participation the right place to decide whether to become part of a larger school umbrella, but not the right place to decide whether to step out of such an education umbrella? That is why we have tabled an amendment; Mr Van Meenen has just mentioned it. He and Mr Rog have tabled an amendment light. He calls it "rug," I call it "clear."
ParlaMint-NL_2019-09-05-tweedekamer-7.u71	Mr Heerema has a question.
ParlaMint-NL_2019-09-05-tweedekamer-7.u72	We are on our way in the twenty minutes of Mr Kwint's contribution.
ParlaMint-NL_2019-09-05-tweedekamer-7.u73	Eight and a half minutes.
ParlaMint-NL_2019-09-05-tweedekamer-7.u74	Eight and a half minutes?
ParlaMint-NL_2019-09-05-tweedekamer-7.u75	Yes.
ParlaMint-NL_2019-09-05-tweedekamer-7.u76	At least ten more.
ParlaMint-NL_2019-09-05-tweedekamer-7.u77	I look forward to it.
ParlaMint-NL_2019-09-05-tweedekamer-7.u78	I have a question about those school boards. If I distil it that way, it is not so much an edge against the merger test as against the big school boards in the Netherlands. Yes, we did have a big problem with the LVO last year, but does the SP want to see all the big school authorities in the Netherlands cease to exist? There are also very well-functioning big school boards, aren't there? In fact, I have an example from my own region with a medium-sized school board, which allows small schools to exist in the region. That's what we're supposed to keep going, isn't it? Do you have any idea what great school board is doing well and what big school board isn't doing well? How big can they be? What's to you, that big school board that doesn't do well?
ParlaMint-NL_2019-09-05-tweedekamer-7.u79	I think I just mentioned a few. I'm not saying a big school board can't, by definition, do its job. There are a lot of factors that make a school a good school. That is what we talk about here on a regular basis. I only think that, when it comes to the effectiveness of governance and the extent to which you are able to find your way within such an educational institution as a student or a teacher, further scaling up is indeed not always good. This leads to anonymity, which leads to the formalization of a lot of things that are easier in the practice of a smaller school to point themselves out. I do believe that this is a concern in terms of increasing the scale of education. Is that what I'm telling you to tell you to cut up all these things right away? No, that seems like something that requires a lot of care. Since I hear a lot of parties here that recognise the importance of small-scale education, it seems interesting to me to sit down together for once. Until then, at least we should not start pushing for economies of scale.
ParlaMint-NL_2019-09-05-tweedekamer-7.u80	I don't think we're chasing this scaling up at all. That has happened, and I do not think that goes much further than Mr Kwint's proposal to abolish the merger test, but we shall see that. Then a question about getting out. Do you have a whole mailbox full of schools that say: we really want to get out of the dome to which we now belong? I can't get those e-mails, so I don't see the need to set this up like this. I'm not tasting that interest in the field of education, although you seem to have tasted it.
ParlaMint-NL_2019-09-05-tweedekamer-7.u81	I'll get them. There aren't hundreds of them, they're a few. The question that precedes that is whether you think you should give schools the opportunity. I know you're looking at it differently, but it's my estimate that education is not going to be smaller in the next few years. I am concerned about that and I can imagine that schools are now becoming part of a larger dome and after a few years of thinking: yes, boys, this just didn't bring what we thought. For example, participation had been agreed. There was a nice presentation with all the benefits it would bring to the school. And after a year, we find that that school dome didn't deliver. Then I would say: at the moment that the participation has been nice and wants to get out, you will wave them out nicely. As far as I am concerned, the amendment does not need to be used when that is not the case. The moment everyone's very satisfied after the merger, I'm not gonna say, "You're gonna have to get out." I just want to say, when the participation notes after a few years 'boys, this is simply not what we expected; we do not have the idea that the things promised to us will eventually be delivered or we are disappointed in working with the dome', that we will be able to get out of it. I don't think that's crazy. The government's argument is this: it can do so in a way, because parents who do not want to can always set up a new school. I find that a little complacent. That is not a real participation; that is leaving the door of the cell ajar. 'Cause, of course, you're not just gonna start a new school. That's quite a job. And I think that Article 23 is being removed very quickly as an obstacle to this. What is also quickly taken out of the closet is the argument of increasing segregation. Good schools may well step out of a dome, the argument of this cabinet is put forward. What does a student notice? What's the segregation effect of one good school getting out of a dome? Segregation is about going to school together in one building, right? Segregation isn't about: I happen to be part of a dome and there are other schools with students that I don't find during my entire school career? What's the segregation effect of this? Again: I don't see it, but I like to hear it. In the note, the Cabinet states that an investigation is now being carried out into the possibility of "investing responsibility for the supply of education above administrative level in a region." I had to let that line work out for a while. What are we supposed to do with that? Is this going to be an extension of the tasks of the partnership, for example, or will there be an additional consultation structure for teachers? If something is not lacking in education, then it is consultation clubs for teachers. Finally... well, just a few more minutes. It is worthwhile for colleagues to take the old warnings of the Education Council from 2005 one more time. I'll mention a few. Freedom of choice is restricted. The co-determination can't handle it yet. The administration will stand at a distance, creating a lack of legitimacy. Scaling up is too often due to the status and career prospects of directors. I do not say that, that is what the Education Council says, and they know it! The percentage of money going to government rather than education is increasing. The involvement in the organization is decreasing. Defusion and independence are almost impossible, because the butcher, in this case the driver, approves his own flesh, in this case the dome. Fourteen years later, these arguments still stand like a house. These were the arguments that led the Chamber, for example, to support my predecessor Van Dijk's motion in 2012: let an individual school free itself from an educational umbrella. D66, GroenLinks, PvdA, Party for Animals, PVV, they all supported the SP back then. I ask them: support us today too. Support small-scale education and do not take any steps that will be evaluated in ten years' time. At least they will only be evaluated if you vote in favour of my amendment for an evaluation clause, which is not yet in the law. Nor are merger investigations, the so-called merger impact assessments, centralized anywhere. This is another amendment that we will be tabling. In any event, we will have these reports at our disposal afterwards, so that we can see what the promises of a merger were and what was ultimately achieved. At least when something goes wrong, we can look afterwards at where it went wrong. I can summarize the contribution of the SP, despite the fact that I have taken ample time for it, quite briefly: do not do this. Last night, I was reminded by a VMBO team leader of his own experience. He had a great plan. Vocational sections would develop their own methods. He said that was a lot of money. You could convert that money back into time and therefore teachers could make more development time for their own profession and their own methods. What was the response of the educational umbrella? Well, we already have an appointment with a big boy in the field of teaching materials, so no, don't. His conclusion: "big scale is hell for education," I quote. I'm inclined to agree with him to a great extent. Finally, on Tuesday this law will be voted on, and I have little illusions about the outcome. This is going to happen eventually. But can we at least agree that the parties who are going to help this law to a majority are not suddenly very surprised in the near future, when there is going to be a movement of economies of scale? Because it's not like they haven't been warned for almost 20 minutes.
ParlaMint-NL_2019-09-05-tweedekamer-7.u82	Thank you, Mr. Kwint. Mrs Van den Hul, PvdA.
ParlaMint-NL_2019-09-05-tweedekamer-7.u83	Mr. Chairman. We too find it incomprehensible that the cabinet chooses to delete the merger test. Because our reasons for proposing this merger test together with the SP in the Jasper van Dijk/Depla motion are at least as topical. And yes, of course we also have an eye for the importance of maintaining small-scale education in shrinking areas. This is why we, together with GroenLinks, have already argued for a shrink check. But shrinking problems and falling numbers of pupils should never be a free pass for unbridled fusion drive and unbridled scaling. We therefore call for the merger test to be maintained, for the maintenance of a human dimension, especially now that it is so often under pressure in our education. Look, for example, at the effects of the shortage of teachers or inequality of opportunity. Mr. Chairman. Scaling up is detrimental to our education, to students who are at risk of being lost in reverberating corridors of increasingly large domes, to parents who have questions or complaints, but do not know where to turn for a listening ear, and to teachers who often see their governance drift further and further away. We reach harrowing stories of teachers who are in danger of losing their passion, by getting less and less space to shape their profession and facing a management that is increasingly remote from the workplace. Does the Minister agree with us that this human measure, which has been mentioned earlier, should never be subordinated in education to school management and their managers, who, from a monopoly position, put the organizational interests first and not always the quality of education? The key question today when discussing this bill is, in my view, what kind of problem is it going to solve? To be honest, the answer to that question does not become quite clear to me on the basis of the arguments I read. The motivation still lingers a bit in the atmosphere of: feelings among school boards that would be obstructive. Can the Minister also justify his proposal with concrete cases where the existing merger test has constituted or would constitute an absolute obstacle to local cooperation between schools which is really necessary for future-proof education in the region?
ParlaMint-NL_2019-09-05-tweedekamer-7.u84	Mr Van Meenen has a question.
ParlaMint-NL_2019-09-05-tweedekamer-7.u85	Always good to ask which problem a proposal solves. But perhaps I could turn it around, too, and tell Mrs van den Hul what problem the merger test has now solved. At least not the problems she outlined for this about people who are losing their way in big school boards, because they already exist and they still exist.
ParlaMint-NL_2019-09-05-tweedekamer-7.u86	I will be the first to admit that the merger test could actually have been introduced earlier. Because then we might have been ahead of and prevented this great wave of the beginning of this millennium. But abolishing something under the guise of "the great wave has already been," I do not think the right argument. That is why I am asking the Minister what the real arguments are not to do it.
ParlaMint-NL_2019-09-05-tweedekamer-7.u87	Then we agree that the merger test did not prevent mergers, because they were already there. Does Mrs van den Hul agree with me that the only thing that stands in the way of the merger test is where we want to maintain small scale, namely in shrinking areas? There's a barrier. I have heard several examples, including the enormous delay that the merger test entails in a process in which it is clear that two small schools can only exist together. That's what the merger test still has for effect. The other effect, which was once intended, when the calf had now drowned, never occurred. Doesn't it make sense for you to quit?
ParlaMint-NL_2019-09-05-tweedekamer-7.u88	There's no way I'm going with that last one. I agree that this merger test should have been introduced earlier, which would have saved us a lot of reverberating domes. As Mr Kwint said, there are still examples in which the merger test has worked. There may be examples where that merger test will also work. I do not share the fear that the merger test will prove to be an unnameable obstacle in the problem of shrinkage, because I do believe that there are enough safeguards in the adapted form of the merger test that make that possible.
ParlaMint-NL_2019-09-05-tweedekamer-7.u89	One more question, Mr. Chairman. Mrs Van den Hul spoke of a teacher who felt extremely unhappy in a very large board. I can imagine. It depends very much on the board, but I imagine you don't know where the power is anymore and that you're losing yourself a little bit. My question to Mrs van den Hul is: what are her comforting words for this teacher? She says, "We still have a merger test?" Or is the PvdA also planning something else to make sure that such a teacher feels at home in such an organisation?
ParlaMint-NL_2019-09-05-tweedekamer-7.u90	I think more is needed right now to take teachers seriously. I call it investing in salaries, which we talk about at many times in this house, and strengthening the role of participation. We would also like to use some other instruments to counter this increase in scale. There is an interesting pile of amendments with some proposals that refer to them today. We will also come up with a proposal ourselves in the second term. Mr President, I would like to continue with the subject of pseudo-fusions. The Minister does nothing with the CFTO's warning other than to remove the threshold of the merger test. He expects school boards to opt for a real merger rather than a pseudo-fusion. Can the Minister further corroborate that expectation? Does he not just open the locks again for further scaling up, which has previously plagued our education? We just talked about that. On what basis does the Minister base his confidence that the fusion impact assessments will be carried out as seriously and carefully as his supervision is due to lapse? How do we ensure care? Finally, Mr President. The Minister insists on the final decision of the school board on the autonomy and opt-out of a school. What are the reasons for this choice? Does the Minister recognise the risk of perpetuating that schools are ultimately serving the school board rather than that school boards are serving the schools and teaching there? That's it, Mr. Chairman.
ParlaMint-NL_2019-09-05-tweedekamer-7.u91	Thank you. Finally, Mr Rog of the CDA has the floor.
ParlaMint-NL_2019-09-05-tweedekamer-7.u92	Thank you, Mr President. The CDA supports the Minister in his intention to abolish the merger test. This abolition responds to the major objections in practice to the way in which that merger test was organised. Moreover, the merger test had unintentional negative effects on school boards which, due to shrinkage problems, felt obliged to merge in order to maintain the educational supply in the region. By implementing this law, a carefully balanced merger process will be maintained by maintaining the compulsory fusion impact assessment and the right of assent of the participation councils. The latter was important for the CDA to be able to agree to this abolition. We have therefore asked questions about this in the written preparation for this debate. The CDA considers this important, not only because the participation council plays an important role and this role is guaranteed by this legislative proposal, but also because the board has to keep the participation council informed at an early stage of any merger plans and their intentions. The merger impact assessment, which remains mandatory, also helps the participation council to take an informed decision. The answer to our questions on this point shows that the government is also going to invest in the knowledge and training of the mr, including in terms of mergers and alternatives to mergers, but also in the context of the future right of assent on the broad lines of the budget. In the report, the CDA asked questions about the safeguarding of human standards during mergers. It is good to read that the human dimension will now become a mandatory element in the fusion impact assessments, in which boards will have to deal with the assurance of this after the merger and the question of how the administration will continue to ensure a clear, recognisable and accessible organisation for teaching staff, parents and pupils. We agree with the Minister's view that the way in which the school was designed is more decisive than the size of the overall organisation. I was just talking about the largest school board in the Netherlands, which is organized small and close to students, with its own identity in the schools, for example. A large school can also be organized small. We read that in the coming years the government will follow the effects of the mergers and this bill. We would like to ask the Minister if he can continue to inform the House of Representatives periodically. A question that has not yet been answered is what to do if it turns out that the administration does not comply with the terms of the fusion impact assessment, including the human dimension. I have tabled an amendment together with Mr Van Meenen of D66 which secures agreements between the co-determination council and the competent authority on what to do in the event of a negative assessment. This may also mean that in the event of a negative assessment there may even be another opt-out. It is good to read that the inspection, including in connection with the drama at LVO Maastricht, is going to carry out additional monitoring of the way in which large administrations carry out their tasks in terms of quality. Is it also possible, as I ask the Minister, to pay attention to the human dimension in the discussions between management and inspection? If it is not present enough and people work alongside each other and do not notice it soon enough when something is wrong, this can have an impact. One final point. If the food area in institutional fusion increases, will the Minister continue to monitor these effects in the coming years? Thank you.
ParlaMint-NL_2019-09-05-tweedekamer-7.u93	Thank you, Mr. Rog. This brings us to the end of the first term of office.
ParlaMint-NL_2019-09-05-tweedekamer-7.u94	I'm suspending until 1:30 p.m. Then we will listen to the Minister's answer in the first term.
