ParlaMint-NL_2019-09-26-tweedekamer-7.u1	This was requested by Mr Laçin. We'll suspend until the members are present.
ParlaMint-NL_2019-09-26-tweedekamer-7.u74	If I may explain the motion in such a way that you ask me to pass on the request... But of course it has to be possible. The RIVM itself must assess whether they can put that into their ongoing investigation. So, if I may explain the motion in this way, I'd like to give a ruling Chamber, but I'm not going to give a separate, separate order for this.
ParlaMint-NL_2019-09-26-tweedekamer-7.u75	That's not the point. The RIVM itself said to us during the technical briefing that it is possible. Hence the request. You can interpret it like this. If you transfer it to the RIVM, it'll be all right, I think.
ParlaMint-NL_2019-09-26-tweedekamer-7.u76	Well, fine. Then I can live with it and with that interpretation I can give the motion judgment Chamber.
ParlaMint-NL_2019-09-26-tweedekamer-7.u77	Judgment Room.
ParlaMint-NL_2019-09-26-tweedekamer-7.u78	I can't judge for the RIVM if that's possible. The motion in part No. 666 also belongs to Mr Laçin. It invites the government, as shareholder, to call on KLM's management to provide a better wage offer. Yes, then you will have the answer that I have given you every time: I am going to discourage this motion, because collective bargaining is conducted between social partners and we do not interfere in that as a government. Also the motion in part No. 667 by Mr Laçin. It calls on the government, when modernising the final regulation, to promote the inclusion of social inclusion requirements. I would also advise against this motion, not because I do not agree with the aim, but because the final regulation does not seem to be the right instrument for this. I work together with the SZW Minister on agreements in the EU on labour legislation. The final regulation is really aimed at capacity sharing and it does not fit in with that. Then the motion to part No. 668...
ParlaMint-NL_2019-09-26-tweedekamer-7.u79	Mr Laçin briefly.
ParlaMint-NL_2019-09-26-tweedekamer-7.u80	The question in the motion in part No. 667 is for the Minister to argue for that. If she does and it turns out she can't, I understand. Just to say in advance... It is actually a follow-up to the motion that Mr Paternotte and I tabled a while ago. I know the Minister is working on that. Well, then, isn't it up to this minister to at least try this?
ParlaMint-NL_2019-09-26-tweedekamer-7.u81	I do not think that the final regulation is the appropriate instrument for this. Once again, I am very willing to argue for this with a new Commissioner or with fellow Member States. We want to incorporate network quality and sustainability into the final regulation. The final regulation really focuses on capacity sharing. How can you decorate the capacity? It is really something quite different to add labour legislation requirements to that. That is also the case with very other ministers. I believe that this may only lead to the further development of our desired revision of the final regulation on sustainability and network quality, precisely because we make it unnecessarily complicated. Other instruments are more suitable for this.
ParlaMint-NL_2019-09-26-tweedekamer-7.u82	I don't think we're getting any closer on this subject. So we'll have to wait for the vote. The motion was tabled by Mr Laçin, who is the first petitioner to table the motion. You're not even under the motion, Mr. Paternotte.
ParlaMint-NL_2019-09-26-tweedekamer-7.u83	However, I was under the motion to which Mr Laçin referred, an earlier motion. So I'd like to give it a try. We do not have a Transport Commissioner for the time being either, but once he is there, the Minister will get in touch with it, not only on the final regulation but also on our desire to make it possible to divide traffic in Europe on a larger scale than at present. So my question would be, since it is a question of modernising European aviation policy, whether, in the context of the modernisation of European aviation policy, the Minister would like to argue for the possibility of including social establishment requirements. It does seem logical to me to do it outside the final regulation. Would the Minister argue in favour of it?
ParlaMint-NL_2019-09-26-tweedekamer-7.u84	If the motion were modified this way, I'd give judgment room. It just doesn't fit in with the final regulation, that's the point.
ParlaMint-NL_2019-09-26-tweedekamer-7.u85	Then the motion will be modified, I understand?
ParlaMint-NL_2019-09-26-tweedekamer-7.u86	I am going to discuss it with Mr Paternotte, but there is a good chance that I will change it to those words and then go back to them.
ParlaMint-NL_2019-09-26-tweedekamer-7.u87	Then we'll wait and see. The way it is now, is it dissuaded?
ParlaMint-NL_2019-09-26-tweedekamer-7.u88	Then it'll be dissuaded.
ParlaMint-NL_2019-09-26-tweedekamer-7.u89	Thank you.
ParlaMint-NL_2019-09-26-tweedekamer-7.u90	Then I come to the Amhaouch/Bruins motion on item No. 668. It calls on the government to examine the possibility of creating more rest in the early morning at the weekend and to inform the Chamber accordingly. That motion I can give judgment Chamber. The Amhaouch motion in part No. 669 asks the government to ask the sector to investigate whether a weather report is possible to give people a little more insight into the use of jobs. I agree with him that this is very important for people, so I can also give that motion a Chamber of Justice. Then the Van Raan motion to part No. 670. It states that all Dutch airports must have the right nature permits. Yeah, that makes sense. Oh, "spoken," so I shouldn't have said that. The Van Raan c.s. motion. in piece No. 671 requests the government, until the Remkes Commission advises in May 2020, not to take a decision on the opening of Lelystad Airport. I would ask Mr Van Raan to hold on to that motion, because as a cabinet we are going to consider the whole approach; how we will proceed with the report of the Remkes Committee. I do not think it is appropriate that I, as the only minister, should be ahead of this when we are going to discuss it as a cabinet, so I ask him to hold this motion.
ParlaMint-NL_2019-09-26-tweedekamer-7.u91	I understand that request. If the Minister here can guarantee that she will not make any decisions about the opening of Lelystad Airport until then, then that is definitely something to think about.
ParlaMint-NL_2019-09-26-tweedekamer-7.u92	I can promise you that, because we are going to talk about it as a cabinet first. We're not going to wait endlessly for that either, so that's not a problem.
ParlaMint-NL_2019-09-26-tweedekamer-7.u93	Let me get this straight: until Mr Remkes has produced his report on the aviation sector and has been discussed by the cabinet...
ParlaMint-NL_2019-09-26-tweedekamer-7.u94	No, that's about the advice given by the Remkes Committee this week. That's what we're going to consider as a cabinet. That is why I do not think it appropriate to make any statements about it at this time. First of all, I want to make sure that the decision-making process is properly conducted in the Cabinet. I would ask you to wait and see, and that is not going to take months.
ParlaMint-NL_2019-09-26-tweedekamer-7.u95	The specific question is whether you are holding the motion.
ParlaMint-NL_2019-09-26-tweedekamer-7.u96	That is a strange question, and I would like to explain this because this first report is not at all about the aviation sector. Nevertheless, I am also in favour of weird requests, so I'm going to think about it.
ParlaMint-NL_2019-09-26-tweedekamer-7.u97	I'll wait and see.
ParlaMint-NL_2019-09-26-tweedekamer-7.u98	We must have an opinion from you because we do not yet know whether it is being held.
ParlaMint-NL_2019-09-26-tweedekamer-7.u99	If Mr Van Raan does not hold the motion, I advise against it. I'm gonna have to have an orderly meeting in the cabinet first.
ParlaMint-NL_2019-09-26-tweedekamer-7.u100	The motion in part No. 671 is not recommended.
ParlaMint-NL_2019-09-26-tweedekamer-7.u101	Yes, and the same goes for the Van Raan motion in part No. 672, which calls on the government to include a shrinkage scenario in the Aviation Note. Shrimp is not an end in itself for us. I have told you several times that we in the PlanMER are looking at the effects of the norming of the Paris climate targets and that shrinkage could be a result, but it is not an end in itself that I am going to form a separate scenario for. The Van Raan c.s. motion. in piece No. 673 asks the government to propose more concrete measures which will lead to a demonstrable reduction of the nuisance caused in the Netherlands by Liège-Bierset airport. It is getting a bit monotonous, but I would really like to ask Mr Van Raan to keep it. We are in good consultation with the region, with experts from the region and with the Belgians. If we then come forward with an unsatisfactory result, I would think that you could still put this motion to the vote. The motion is basically superfluous, because we are working on it. Then the motion to part No. 674, also from Mr Van Raan.
ParlaMint-NL_2019-09-26-tweedekamer-7.u102	I just need to hear from the petitioner if he's going to make the motion in part No. 673 does want to arrest. Mr. Van Raan? Are you going to take the motion to part No. Hold 673? Otherwise, we're gonna need an opinion from the minister.
ParlaMint-NL_2019-09-26-tweedekamer-7.u103	I would like to say a few words about the motion on part No. 672. It has been dissuaded because shrinking is not an end in itself, but is it growth in itself?
ParlaMint-NL_2019-09-26-tweedekamer-7.u104	Well, that's what the coalition agreement says, and I'm sticking to it.
ParlaMint-NL_2019-09-26-tweedekamer-7.u105	The question was about the motion in part No. 673.
ParlaMint-NL_2019-09-26-tweedekamer-7.u106	I'm gonna think about that, too. Thank you.
ParlaMint-NL_2019-09-26-tweedekamer-7.u107	Yes.
ParlaMint-NL_2019-09-26-tweedekamer-7.u108	If this motion is not held, the verdict is: dissuade.
ParlaMint-NL_2019-09-26-tweedekamer-7.u109	Yeah, she'll be dissuaded. The motion in part No. 674 calls on the government to ensure that nitrogen emissions above 3,000 feet are as fully as possible. I should also like to advise against this, because we are following the system in force for the EIA. This is also being reviewed by the Commission. And I see no reason to deviate from that now. The motion in part No. 675, also by Mr Van Raan, the government requests that the ALARA principle be applied in relation to environmental pollution by the aviation sector. I'm quite prepared to look into that in the context of the Aviation Note. I would therefore ask Mr Van Raan to hold it until we decide in the Aviation Memorandum whether or not to do so. I don't want to anticipate that.
ParlaMint-NL_2019-09-26-tweedekamer-7.u110	I do not yet see any clear body language from Mr Van Raan. He makes gestures, but I can't bring them home. I can see enthusiasm. Is that right? Assent? Not yet.
ParlaMint-NL_2019-09-26-tweedekamer-7.u111	No? Then it is not recommended, because I think it is premature at the moment to anticipate that. The motion in part No. 676 also belongs to Mr Van Raan. Oh, he speaks from that. So I don't have to find any of that. The motion in part No. 677 states that the proposers wish to await the opinion of the Remkes Committee. That's the way it goes. The motion in part No. 678 is by Mrs Kröger's hand. It calls on the government to state, as a policy proposal, that aviation emissions and exposure to ultra-fine dust should at least not increase further. I don't want to advise them, because the Health Council has been asked to advise on how to deal with this. If we have more clarity about this, you will also receive a letter from the Secretary of State on my behalf. The investigation of the RIVM has not yet been completed. We do not want to anticipate this.
ParlaMint-NL_2019-09-26-tweedekamer-7.u112	I find this a bit difficult, as the Minister has also indicated in the debate that she is going to ask the aviation sector to reduce emissions of ultra-fine dust. The Minister therefore asks the sector to reduce, but does not want it to decline as a policy. How does that relate to each other?
ParlaMint-NL_2019-09-26-tweedekamer-7.u113	You're making it very clear now. There are also many considerations in it. I just want to see what the opinion of the Health Council is on this before we decide on it. We didn't ask that council for advice for nothing.
ParlaMint-NL_2019-09-26-tweedekamer-7.u114	But the request for the aviation sector to be reduced remains?
ParlaMint-NL_2019-09-26-tweedekamer-7.u115	Sure. We asked for an action plan.
ParlaMint-NL_2019-09-26-tweedekamer-7.u116	But the decision-making process of the government itself may lead to more emissions. That's completely schizophrenic, isn't it?
ParlaMint-NL_2019-09-26-tweedekamer-7.u117	Well, that could also be a question of timing. I do not want to anticipate that at the moment.
ParlaMint-NL_2019-09-26-tweedekamer-7.u118	Well, that's the judgment. You can also continue the motion, if necessary.
ParlaMint-NL_2019-09-26-tweedekamer-7.u119	If you have a stand still, it has to go in acutely and I can't see over it. So that's why we want to take a closer look at it.
ParlaMint-NL_2019-09-26-tweedekamer-7.u120	Then the motion to part No. 679.
ParlaMint-NL_2019-09-26-tweedekamer-7.u121	Yes. The motion in part No. 679 also belongs to Mrs Kröger. It invites the Government to provide the Court with an insight into how to provide a more complete picture of the total CO, NO, particulate matter and ultra-fine dust emissions from airport operations and aviation for the purposes of the EIA. There are several studies on emissions. We follow the current EIA system. I have just indicated this in the direction of Mr Van Raan. I just told you, we're taking CO with us in the aviation bill. A project-specific study of nitrogen is ongoing. We've just been over the Health Council's advice. I do not think it is necessary to include all these investigations in the EIA procedure. For this reason, I will discourage this motion.
ParlaMint-NL_2019-09-26-tweedekamer-7.u122	Mrs Kröger, briefly.
ParlaMint-NL_2019-09-26-tweedekamer-7.u123	This motion does not ask for it all to be included in the EIA, the motion asks for the Chamber to understand how a more complete picture can be sketched with these different aspects.
ParlaMint-NL_2019-09-26-tweedekamer-7.u124	Then I would say that the motion is superfluous, because I have just listed all these different elements in which investigations are being looked at. So I think we have a total picture.
ParlaMint-NL_2019-09-26-tweedekamer-7.u125	Perhaps the Minister could explain in a letter to the Chamber the possibilities for these three different aspects to make that picture clearer. We will then have a better idea of how these emissions can be more fully pictured.
ParlaMint-NL_2019-09-26-tweedekamer-7.u126	Actually, I've already listed it. I can't write down much more about that. We use the current EIA system. With regard to CO, I have just indicated that we have the Commission's opinion on the m.e.r. Take it to the Airline Note. We are going to have decision-making on nitrogen in the cabinet, but of course project-specific research is being carried out. The Health Council is asked for advice on ultra-fine dust. I think that's how we're gonna get everything in the picture.
ParlaMint-NL_2019-09-26-tweedekamer-7.u127	I really have to finish, Mrs Kröger, because otherwise we're running out of time. I therefore ask the Minister to complete the opinions on the motions.
ParlaMint-NL_2019-09-26-tweedekamer-7.u128	The motion in part No. 679 is therefore not recommended. Then I come to the motion on part No. 680 by Mr Bruins. It invites the government to identify the differences and to examine how the principles and guidelines for SMEAs, including growth guidelines, in the field of aviation can be specifically improved and specified. There is another point I would like to make on behalf of Mr Bruins, namely that it would not be complete and unambiguous in all respects. But I can, in itself, give a 'judgement chamber' at the request, so I would like to make it clear that I am leaving Mr Bruins' observation on his behalf. The motion in part No. Mr Paternotte's 681 calls on the government to put forward an ambitious approach in the Aviation Paper to significantly improve air quality around Schiphol. I would ask Mr Paternotte to hold this motion because, of course, we will deal specifically with this in the aviation note. Also in the Clean Air Agreement there will be explicit attention to this. I understand he doesn't. Then I'll have to discourage the motion.
ParlaMint-NL_2019-09-26-tweedekamer-7.u129	The motion in part No. 681 is not recommended. This brings us to the end of this VAO Aviation.
ParlaMint-NL_2019-09-26-tweedekamer-7.u130	I thank the Minister and the members.
