ParlaMint-NL_2019-04-04-tweedekamer-8.u1	We will continue the debate on social support.
ParlaMint-NL_2019-04-04-tweedekamer-8.u46	Knowing that we're not going to take that concern completely away from the front, we deliberately decided to create a monitor. If you're not willing to do anything with the results of that monitor, you shouldn't want to do a monitor at all. We deliberately chose to do a monitor. You may also conclude that, should the scheme fail, there is a willingness to do something with the results of that monitor at that time. That could be different things. They may be substantive measures and they might even be financial measures, but there is a reason why I am not getting ahead of them now. I believe that it is up to the municipalities to implement this regulation in an appropriate way. If I said in advance that we would fit in, that would be the best guarantee of exceeding the regime. So that doesn't seem like the way to go. It's about whether you're willing at any time to let the implementation practice lead you to want to change something. My answer to that question is simply: yes, I am prepared to do so. But I do not anticipate what measures we are taking at that time. Could these also be financial measures? Yeah, we could do that by then.
ParlaMint-NL_2019-04-04-tweedekamer-8.u47	I'm... I'm... I'm... I'm... I'm... I'm... Mrs Agema says that this is the point for her in this law. So I'm gonna allow her another interruption.
ParlaMint-NL_2019-04-04-tweedekamer-8.u48	I will not interrupt after this interruption either, Mr President. I want to take the step to higher politics right now. The Minister states: I'm not going to do that now, I'm not going to take action until after the monitor. But this morning we saw his colleague Koolmees of Social Affairs and Employment, who is already arranging a majority in the Lower House for his plans in the Upper Chamber when it comes to the Pension Act. So the Minister cannot say now: I am introducing the regulation, I am introducing the law, I come with a monitor and then we are going to see how we are going to adjust things. We are talking here in the Chamber about the left or the right.
ParlaMint-NL_2019-04-04-tweedekamer-8.u49	Your point?
ParlaMint-NL_2019-04-04-tweedekamer-8.u50	My question to the Minister is as follows. In what way will the Minister adjust if this arrangement breaks out? Is he going to do that through the method of GroenLinks, so income dependency, or is he going to do that about right-wing with the PVV, i.e. supplementing from the windfalls? That is a choice that the Minister must make here and not just at the end of the journey.
ParlaMint-NL_2019-04-04-tweedekamer-8.u51	Clear. That was a small addition by Mrs Agema.
ParlaMint-NL_2019-04-04-tweedekamer-8.u52	Thank you, also for the way in which the question has been asked. In fact, up to now, I have been living on the assumption that I was debating this wonderful proposal on the subscription rate by a large majority. In the end, of course, you will make the choice where you vote in favour or where you do not vote in favour. I think we really need to do it along the line of content. Its content is a system which fully meets the income situation of chronically ill and disabled people. I do not think that anyone is doing anything about it, and I do not think that is the controversial part of the bill either. Where in the first term of your Chamber there is the care, a concern that I have also tasted in the municipalities, is that the scheme is so attractive that it could easily be that the progress towards it is greater than expected and what this means for the municipalities. Next comes the care about the gap around the corner. There are different perspectives for this. Of course I can put on the other side that I think it's not that bad. Of course I can put it on the opposite side: look at the CPB estimate, that will be really not so bad. Of course, when it comes to client organisations that are concerned about it, I can put it on the other side: municipalities have and have a legal mandate to apply individual tailor-made work to which they are also approachable. So it doesn't make sense at all when you look at how the law is built. However, I have noticed in all the discussions I have had so far that I have not been able to take care of it, even in the light of your contribution in the first term. Not only from the opposition, but also from the coalition, I have heard those sounds. That is why I am pleased that we have decided to come up with a monitor that is going to give a very precise picture of the implementation practice. That is really the possibility to keep the finger on the wrist, and not one finger but, given the extension of the monitor, ten fingers on the wrist. That offers the opportunity to say with the results of that monitor: and now what? Then, of course, the follow-up question is: what will you choose? That is the question you are asking. You have a concern whether I would choose income dependency. Of this, I say in advance: that is not very logical, because we are abolishing this income dependency. So you're gonna have to put up a whole implementation device again, put up a very complicated arrangement to go back to income dependency. Municipalities can't just make income-dependent choices, because you don't know what the income of people in your congregation is. In short, you will have to settle that nationwide with income data from the Tax Administration, et cetera. So that's as complicated as it is right now. That is one of the reasons why we should abandon it. So is that a logical measure at the time? My answer is: no, that is not a very logical measure at the time. Then the follow-up option in your multi-choice menu is: more money. That's not out of the question. But it is also not a logical choice to say now: that seems fine to me. Because that just depends on what comes out of the monitor. It is, of course, about the fact that municipalities use their opportunities to have the right conversation with the people who call for municipal support. And that's no different than now, you could say. At the same time, a municipality may feel more compelled to do so at a time when expenditure in the Wmo is increasing significantly. It's possible. Do I then exclude financial measures at a time when there is a much greater recourse to this scheme? No, I'm not ruling that out. But I do want to be able to look at that in that context at the time. And I'm not going to anticipate that either.
ParlaMint-NL_2019-04-04-tweedekamer-8.u53	I had to dig what was the question again, because we have heard a lot of speeches from the Minister. But let's get back to the core. The Minister states: we simply do not yet know exactly how it is going to develop. I think that's the honest answer. An estimate of the influx around the subscription rate has been made, and an estimate has been made by the CPB. We have also seen that the first estimate was quite different from the second estimate which, I think, confirms once again that it is simply very difficult to establish. The Minister also points out that we rigged that monitor. This includes both quantitative and qualitative information. I do think that we need both kinds of information to indicate the influx. That's what the congregations assume, and that's what I get. I have already spoken in the first period of time about the care of the municipalities. 97% of all members present at the VNG meeting voted in favour of a motion against the subscription rate. Those that cause it to lead to an influx, are widely shared among the municipalities. The minister says: well, I still have to see it; is the millionaire going to use such a subscription rate? We also know of other forms of care that are now financed from the Wmo, for example. I refer to help in dyslexia that the richer postal codes, the prosperous postal codes, use such facilities intensively. So we should not be too naive about that, we should be aware that some people with extra luggage are able to find those facilities. Well, that said...
ParlaMint-NL_2019-04-04-tweedekamer-8.u54	I'll take a look at the time. It's 4:00. The debate is scheduled for 6 p.m. So your interruptions really need to be shorter.
ParlaMint-NL_2019-04-04-tweedekamer-8.u55	Sure, but this is the most important point. This is something we need to be reassured on. Where did these concerns come from? These are caused by the fact that the Minister's previous answer to questions put by all the political groups has not yet been made as explicit as the Minister is now doing. Financial measures are not excluded. It is not a licence for declarations of intent, which would also be crazy, and I do not argue for that either, but we must take a serious look at the causes and make a good analysis of the influx. Then it may be that we have to acknowledge together that the first estimate that has been made is simply not sufficient. The Minister has already said it, but this is a very important point. If I put it that way, does the Minister agree with this interpretation of the use of the monitor?
ParlaMint-NL_2019-04-04-tweedekamer-8.u56	Sure. For the sake of time, I will not repeat everything I have just said in my own speech, but we are not doing that monitor for nothing. We do that monitor to take care that this leads to something priceless or even to distortion. By the way, I find it strange when municipalities say this, because the same municipalities sit at the table to make those choices. It does not lead to any other claim to municipal support. This only changes the own contribution scheme, but it could be. It is precisely to know by that time which measure you have to take, whether that is a substantive measure or a financial measure or a combination of the two measures that can be done, that we have set up a very thorough monitor.
ParlaMint-NL_2019-04-04-tweedekamer-8.u57	The fact that there is so much doubt among municipalities and even some mistrust of this law naturally stems from what has happened in the past. Here in The Hague, policies are made in the context of decentralisation. Municipalities need to take on more tasks. They are given tasks by the Empire and do not receive enough money for that. That's the doubt there is now. I understand that a lot of administrators in municipalities say: very well that their own contribution is going down; we are actually very much in favour of that. However, the Council of State, like the municipalities, the SP and many other parties, says: be careful not to get into the situation that this measure will lead to less revenue for municipalities, while they will have to do more with less money, which generally means that the cheese bowl is about the facilities. I think it is important for the Minister today to stress that he too believes that this should never be the result of this law. The lowest incomes, which are the ones who make the greatest use of the Wmo, should not be the victims of this law. We really need that statement today.
ParlaMint-NL_2019-04-04-tweedekamer-8.u58	I think I can agree with what you're saying. The Wmo offers guarantees. First of all, the Wmo obliges municipalities to carry out careful research when someone reports for Wmo support. If it turns out that a client is dependent on it, and therefore depends on the support of the municipality, there is an obligation for the municipality to provide that support. That support must also be appropriate once again, both in terms of the own contribution and in terms of size. In short, that's how the law works. So the concern about divergence, to use that word for a while anyway, it wasn't my own term "b" has at least as an answer that it is special when municipalities themselves express that concern, because municipalities of course know that they also have to abide by the law. That law means that an appropriate tailor-made solution must always be provided after research has been carried out at the time when someone bangs for support on the door of the town hall. At the same time, I see that I do not take that concern entirely away from the municipalities or from you. That is also why we deliberately opted for a monitor. The easiest solution might be to add money, but I find that weird. I don't think it's necessary in advance either. So we said we're gonna do a monitor. We want to see what happens in the implementation practice. Nor should we in advance remove the incentive from municipalities to make serious work of it. If we were to do that, if we were to say 'fine, then we are going to compensate', we would, of course, take away any incentive. That would also be strange, because municipalities themselves always want to be able to decide in their entirety what they do with the total budget of the Municipal Fund and how they want to make those choices, also given the legal obligation on municipalities. They're right about that, too. That is why that would not make any sense. That's why we said we're gonna monitor it. Then there is the question that Mrs Agema provoked and which you all asked: are you prepared to get on your feet if that monitor shows you have to? Yeah, or we wouldn't have started that monitor in the first place. In addition to the substance, could this be even financial measures? Yeah, but I'm not getting ahead of myself. I don't run away from it when I have to.
ParlaMint-NL_2019-04-04-tweedekamer-8.u59	Mr. Hijink, briefly.
ParlaMint-NL_2019-04-04-tweedekamer-8.u60	That commitment is important. So the minister says he doesn't run away from it if he needs to. I have to think about those articles in the Volkskrant this morning, about the situation in Eindhoven, where people who need domestic help and who also get that help are asked to clear the cabinets, because then you can brush faster, where domestic help is no longer allowed to look in the refrigerator because it is no longer part of the tasks. These are also measures that the municipality can reduce costs, but that is not the type of measures I am waiting for. I hope the Minister is not waiting for that either. If, after such a monitor, the answer is that municipalities have to reduce the costs of the Wmo because otherwise they can't afford it, then I think we're on the wrong track. So I'd be very happy if the Minister stressed that that's not the route we're going on.
ParlaMint-NL_2019-04-04-tweedekamer-8.u61	My thesis is that in the kitchen table conversations also municipalities have a number of possibilities for having a substantive and meaningful conversation in which the basics of the WMO are what can you do and what can you do together with your social environment, for example? Debates of the European Parliament Those are actually already possibilities that municipalities have. I think that's enough for now. In order to create a possibility for further clarification or tightening up, we have introduced the possibility of the AMvB into the law. Again, I am not getting ahead of that and will not yet say what that might be. I was invited here again by Mrs Agema to answer the question as to whether it would be reasonable to introduce income dependency. To that I say: it seems very illogical to me to do so at that time.
ParlaMint-NL_2019-04-04-tweedekamer-8.u62	I don't want to.
ParlaMint-NL_2019-04-04-tweedekamer-8.u63	Sure. Neither does Mrs. Agema. Furthermore, I do not anticipate any substantive measures. Let that implementation practice show what's going on. Let's see what's going on and look at the difference between one municipality and the other municipality, for example. Of course, we will keep track of that and benchmark it in the monitor. There is now quite a difference between municipalities when it comes to whether or not they come up with the Wmo budget. That has everything to do with the way a municipality organises the care and support. That has nothing to do with pinching, as you put it. But that simply has to do with the question: what do you make of a generally accessible facility and what do you make of a tailor-made facility? What do you know in a neighborhood to connect wisely with what is already happening and what is there about social tissue in that neighborhood? Or are you going to finance everything through individual routes? For example, there are all kinds of daily spending options. You can see great differences between municipalities in what is available for daily use. It's really not like the most expensive is the best. On the contrary, I would almost say. There are so many variants in which you could shape that. I also want to leave that space and creativity at municipal level. Then where are the guarantees? They are simply in the legal provisions, in the legal mandate to municipalities to do both an investigation and then to arrive at an appropriate tailor-made provision. The way in which a municipality organises its regulation is always subject to what a city council decides. There is also a guarantee. Things don't just change all of a sudden. There's no sudden change of arrangements. There's a city council out there, I know from experience. The debates on a WMO regulation are very intensive debates, I can tell you from my own experience. In addition, we have that monitor, to be able to take appropriate measures when it all turns out to be a bit different than we thought.
ParlaMint-NL_2019-04-04-tweedekamer-8.u64	I've been holding on all this time, Mr. Chairman. I'm asking the Minister to help me a little bit. I see he's taking steps. He sees that you have to do something with the fear that the effects of the subscription rate might fall in a negative way on the people who can suffer the least, let's say: the people with the lowest incomes, the vulnerable. The Minister refers to a general measure of governance that will offer a perspective of action to municipalities, a monitor and so on. I have heard the general measure of governance passed as a possible measure. We are not going to get ahead of it, but I just want to get a picture of what measures it might be. As I and colleagues see it, there are, in fact, invitations to municipalities to raise additional thresholds, which perhaps the most vulnerable people are stumbled upon. We have heard the Minister talk about money and we have just heard him talk about a number of things that, if you are not careful, are going to intervene very much on the freedom of policy that municipalities have in the context of decentralisation. Assuming, apart from the money, that these thresholds and limiting that policy area are not the things we think of first, what more is left of action? I shall then remove that income dependency, which the Minister has already mentioned, at least in the spirit of the Minister. What's left?
ParlaMint-NL_2019-04-04-tweedekamer-8.u65	Clear.
ParlaMint-NL_2019-04-04-tweedekamer-8.u66	What remains of that which is positive and which does not lead to limitation, to limits, to containment?
ParlaMint-NL_2019-04-04-tweedekamer-8.u67	I understand the question quite well and it is also quite tempting to answer it. And yet the answer to that is not very easy, because we can only really give a good answer when the results of the monitor are on the table. That's one. Two, the substantive measures. We are thus creating an AMvB opportunity to take these substantive measures. In doing so, the AMvB option has been deliberately widely formulated and we have actually linked it to the legal provisions on access that are already in the law. What should a municipality involve in its research and how should a municipality achieve a tailor-made provision? I'm going to do something that I'm not supposed to do, which is to go with "what, if." I would find it logical to comply with those legal provisions, namely the assessment as already prescribed in the Wmo. What can you do for yourself? What can you do with support from your environment? What would be seen as common provision? These are the types of provisions that can now be included in the municipal inquiry. Do I think it will be necessary in advance? No, actually, I don't. It is my impression that municipalities can make use of this. I also see, of course, that local authorities are sometimes very limited in their case law. That may be a reason to specify the standard of the law at that time, for example per AMVB. We've done that before, by the way. The AMvB real price was in some sense also a clarification of the standard already in the law. I can imagine that this AMvB too is actually going to work as a clarification of the standard that is already in the law. Why am I saying it this way? I do that because I think that we have created an AMvB possibility and that we therefore need to move forward in the spirit of the Wmo. That is the spirit of the Wmo that we have deliberately established here too. We believe in this room for customization by municipalities, because that is what we have legally laid down. At the same time, we believe that this is not just space, but that it is also a legal obligation for municipalities to properly implement that space. We put a few guidelines in the law on how municipalities should do that. These are: to see what people can do themselves, to see what people can do with their environment, to see what belongs to a common provision. You can expect that from all people anyway. Look at a Wmo request in this way and if it is necessary, for example because case law has been created that limits that space, to give that space a more precise shape, you could use the AMvB for example. But perhaps we should not anticipate that situation, because what measure is most appropriate will be demonstrated by the monitor.
ParlaMint-NL_2019-04-04-tweedekamer-8.u68	A very long answer.
ParlaMint-NL_2019-04-04-tweedekamer-8.u69	There was also a lot in the answer. I get the point about the clarification. But of course you do have a clarification in one direction, in the right direction, when it comes to the possibilities that people have to get to that WMO facility, and a clarification in the wrong direction. That is a clarification that raises thresholds. Look, if you set some things in motion that are meant to take away fear, we won't be helped if we finally get out of the rain in the drip. That's why I want to get a little more picture. Are they just miserable things? Is it, apart from that extra money, only miserable things that then, in quotes, are brought as a solution? Another thing that I did not mention is that the Minister does not have to go into it. It is that municipalities feel obliged to go elsewhere in the social domain to cut back, so that the people with the weakest shoulders will suffer in another way. I'm just trying to get it clear and I think it should be a bit in advance, not in the sense that we're going to do it, but from here you can think about it as well. So we can take away the feeling that we're going to create something to remove a fear, the effect of which is that we're going to get hit by the rain.
ParlaMint-NL_2019-04-04-tweedekamer-8.u70	The Minister has just made an attempt to do this. Mr Van der Staaij.
ParlaMint-NL_2019-04-04-tweedekamer-8.u71	It is good that we should talk about this, because this was really a key point. I also appreciate the Minister's willingness to respond to a wide-ranging concern in the Chamber. At the same time, I also understand the need for nuance. The question of whether you want it even if it is going to cost more cannot be answered with a simple 'no' or 'yes'. The Minister doesn't want to write a blank cheque either. But I do taste a change from "I'm not getting ahead of it," which sounds a little bit more like a "no," to "I'm not running away from it," which means we're getting a little closer to a "yes." So at least I appreciate that development positive. My question is whether that monitor really helps to bring that into sight. Yes, we will see some of the costs later, but do we also see differences between municipalities? I see it as a key point when the average is exactly the same, but you see a number of municipalities that are falling terribly, and a number of municipalities where that is not happening at all. Does the monitor help with that?
ParlaMint-NL_2019-04-04-tweedekamer-8.u72	Yeah, 'cause you're gonna have to know that. The way you have designed your access and your offer is indeed important for how many people call on it. That too works both ways. Sometimes surprisingly few people use Wmo support, apparently also because they are not familiar with it, or don't expect so much of it. Then as a municipality you also have to get on your feet. I'm assuming city councils will keep their lectures sharp on that, too. The other way, too. If the door is very wide open and there is little selectivity in the access selectivity in the sense of "do you really need it?', Because the Wmo is a law for people who really need it.Then as city council you can expect from your college that it guards the entrance door a little better. That was actually how I was just trying to answer Mr Kerstens' question. I see that as a reason not to get ahead of it now. It just depends on what it turns out to be. And what appears from that doesn't even have to be national. It can also be something that appears only in a part of the municipalities, and not in another part of the municipalities. So yes, these differences between municipalities must also be demonstrated in all precision. That's gonna come in the picture, too. What we then get to answer that other question of yours from the first term is a quantitative picture about 2017 and 2018 as a kind of zero measurement. We get a first quality picture of 2019 in September, October of this year. That's the first part of the monitor. So qualitatively with regard to the development in 2019, because of course you haven't had a whole year and don't know what the impact has been on the numbers, and the zero measurement over 2017 and 2018. The first quantitative picture for 2019 will be available in September 2020. This is how we try to visualize it in all its sharpness.
ParlaMint-NL_2019-04-04-tweedekamer-8.u73	The December letter, which explains the criteria that this monitor should meet, indicated that it would soon be known who would manage that monitor. Is that already known and where are we with that? That was a question first of all from me.
ParlaMint-NL_2019-04-04-tweedekamer-8.u74	I had a week to do so and kept up with all the questions from the first term. I'm gonna answer them all, and the president is terrified. I'll do it a little bit shorter than I...
ParlaMint-NL_2019-04-04-tweedekamer-8.u75	I am going to be a little strict, because you have already addressed a very large part of the questions that have been asked on this subject, I dare to assume.
ParlaMint-NL_2019-04-04-tweedekamer-8.u76	Yes. I'm grateful for that, too.
ParlaMint-NL_2019-04-04-tweedekamer-8.u77	But perhaps not Mrs. Luck's question.
ParlaMint-NL_2019-04-04-tweedekamer-8.u78	I am going to answer the outstanding questions, and one of those outstanding questions is indeed Mrs Luck's. I think Mrs Bergkamp set it up as well. The setup of the monitor is ready. I sent it to the Chamber. This is a joint product of the VNG, of client organisations and of the Empire. It's offered to the Chamber. It is a major task, so that requires a European call for tenders and that European call for tenders is currently under way. The VNG is also involved in this. I expect the award to come in May. Then the start of that monitor can take place. Mr Segers asks whether there is an image of the extra influx that is already taking place. It's really too early to say. Of course I hear numbers, but then I think: yes, they are in the first few months. By the way, I have two images opposite each other and I am sure they are both not entirely adequate. On the one hand, a number of municipalities have significant percentages of additional inflow. But, of course, that could have been the people who are going to use it for the first time. Then it makes sense that there are even higher numbers. On the other hand, there is the CAK, which does not yet see that there is indeed a substantial increase in its use. My point is that it is still far too early to say anything meaningful about it. We will really have to wait a little while, and actually we just have to spend a whole year doing that; then you can really say something about it.
ParlaMint-NL_2019-04-04-tweedekamer-8.u79	I'll be brief, Mr. Chairman. I'm gonna go back two minutes. The minister said the quantitative monitor will come in September 2020.
ParlaMint-NL_2019-04-04-tweedekamer-8.u80	Yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u81	Surely I am right that municipalities, which would have to incur additional costs in 2019 and 2020, should not receive additional funding until 2021?
ParlaMint-NL_2019-04-04-tweedekamer-8.u82	It's not like we don't know anything. It's not like we don't know anything in September and October, because we do know the quality picture. You know the first quantitative image, but you also know that's never complete. However, you know the first qualitative picture. So it's not like we don't know anything. However, it is true that you will have to run for a full year before you know it. And yes, you will only be able to look back in the course of 2020. Then you can see: that's how it happened. But it's not like we don't know anything.
ParlaMint-NL_2019-04-04-tweedekamer-8.u83	May I summarize it as follows? The Minister says that from 2020 onwards municipalities could rely on this and that additional financial resources are not excluded.
ParlaMint-NL_2019-04-04-tweedekamer-8.u84	I understand you're looking for the brief summary of my overly long speech just now. I understand that, and yet I think the summary is a bit short. We have set up a monitor to know how the implementation practice develops. It will take some time for that monitor to provide a reliable quantitative picture, because the zero measurement still has to be done and because that year still has to be done on the quantitative side. At the same time, you already see a lot in the qualitative side. That monitor is actually meant to give the partnership that governments have at all in the social domain, form and content, by saying: together out, together at home. I can only shape that system responsibility if we do it together. That's what the monitor's for. And so, of course, in September, we will also see where this leads. Does this mean taking action? I have already said: yes, these could be substantive measures. Which ones are there, I can't anticipate. Is it not possible that they are also financial measures? No. And I actually like the summary that Mr Van der Staaij just gave: I am not getting ahead of it, but I am not running away from it either. I always feel at home with the political center, so here too I actually like it. So... that, Chairman. Mr Seegers asked whether the monitor also looked at the possible suction effect from the Wlz to the Wmo. The answer is yes. A number of questions have been asked that are more about the numbers.
ParlaMint-NL_2019-04-04-tweedekamer-8.u85	I see that Mr Kerstens wishes to interrupt, but I tend to allow the Minister to finish this part. Or has Mr Kerstens really heard a question he hasn't had an answer to, or something he doesn't understand?
ParlaMint-NL_2019-04-04-tweedekamer-8.u86	If that's the possibility of asking a question, I'll say it twice: yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u87	That's silly of me. I'm trying to get the Minister to finish this block.
ParlaMint-NL_2019-04-04-tweedekamer-8.u88	I have a very short question, which goes on to Mr Geleijne's question about monitoring. This monitoring has, of course, by definition been able to look at things in retrospect and do things afterwards. If the minister is going to do something from 2020, is it "unfortunate but unfortunately" for municipalities, but especially for citizens who may have suffered from the introduction of the subscription rate in 2019 or 2020? Am I getting that right? Of course, that would be very acidic.
ParlaMint-NL_2019-04-04-tweedekamer-8.u89	Now Mr. Kerstens is really turning it around. Will citizens suffer from the introduction of the subscription rate? Come on! 140,000 people who are now dealing with a high accumulation of care costs are making progress. So let's also have this conversation with a little more joy. I recognise and recognise the concern you expressed in the first term. However, the introduction of the subscription rate is of great benefit to people. That's why we didn't want to wait until 2020 and started in 2019. In 2019 we start with the monitor. We do that because we want to account for the concerns that seem to exist. But let's keep talking a little bit about the subscription rate, because that means so much to so many people in their wallets.
ParlaMint-NL_2019-04-04-tweedekamer-8.u90	Mr. Christmas, short.
ParlaMint-NL_2019-04-04-tweedekamer-8.u91	It is not about all citizens, but this fear is now recognised and recognised by the Minister. He wants to do something about that. At least, through a monitor. We're gonna talk about what that's gonna mean, when and for who. This fear is not only that municipalities are unable to move financially, but also that as a result they are going to take all kinds of measures that will make other people suffer again, for example people with a narrow scholarship or vulnerable people. So there are people who can also be the victims of this bill. That's why we're keeping that monitor. The Minister wants to do something about that. That's what he reported, and I'm happy about that. He's gonna do that from 2020. That's what we're assuming. Apart from the people who are happy about this, something bad can happen for people. Does the minister say: it's all in the game; I can't do anything about that anymore? Or does he say, by that time, we'll just have to see how we handle it in a proper way?
ParlaMint-NL_2019-04-04-tweedekamer-8.u92	Well, then I'd be very much in anticipation of what's coming out of that monitor. It seems to me to be rather imaginary that there would have been a negative consequence for citizens. I don't think that's as good as possible. Let's just outline the financial context. A number of questions have been asked about this. Let me just use this as a bridge. When we made the coalition agreement I was not there, by the way, so I learned that from the surrender, namely the coalition agreement itself, it was assumed that the introduction of the subscription rate would cost 290 million: part of the loss of revenue and part of the withdrawal effect. The coalition agreement stipulates that we will do so with cofinancing. There's an important reason for that. With regard to the financial arrangement between the Empire and the municipalities, we have said: in the social domain, as governments, you are also simply a partner. That is why we put the following question on the table in all the discussions at the time of the conclusion of the government agreement with municipalities. Are we going to set up a separate flow of money for each problem? Or do we not and agree that we are going to have an accressystematiek that will result in a structural increase in expenditure on municipalities and leave it to the municipalities in what way? The latter was chosen. So we did it with co-financing. We have said: we add 145 million surplus to the Municipal Fund and we assume that the municipalities will finance the other 145 million of these 290 million. Should they do that out of their own pocket and at the expense of something else? No, because in the same years the expenditure on the Municipal Fund also increases considerably, by broadening the basis of the calculation of the accres and by the expansionary expenditures, dixit the Minister of Finance of this cabinet. I've even heard our Prime Minister say that we buried as expansively as Den Uyl. I don't know if he was proud of that or not. If the Minister of Finance repeats these words, he looks at them much less enthusiastically. At least this cabinet spends a lot of money. That is good news for municipalities, because that means a lot more spending in their accressystematiek, especially because we have also widened the basis. This has always to do with the actual expenditure that the Empire then spends, but in general that amounts to about 1 billion per year growth, more or less. In short, we have not only provided surplus 50% of our part of the co-financing, but we have also greatly enabled the municipalities to do their part of the co-financing. Then there was a new estimate of the CPB, which said: it is not 290 million; it is actually only 190 million. Well, then we had the choice, I had the choice if I would adjust that 145 down, if I would make that 95. That could have been the linear effect. At that time there were already discussions, concerns about volume growth and so on. Then I thought: this is not the right time to say "we'll strip out the 145 million." So I left those 145. However, that does not alter the basic agreement in the coalition agreement. However, it is likely that the 145 and the adjusted estimate actually offset the additional cost of the subscription rate to a greater extent than was originally envisaged by the government agreement. Do municipalities still have the possibility to implement minimum policies? That is a question from Mrs Ellemeet. The answer is: yes, that possibility is not being dealt with. Mr President, I think I have just answered all the questions.
ParlaMint-NL_2019-04-04-tweedekamer-8.u93	That leaves only the response to the amendments.
ParlaMint-NL_2019-04-04-tweedekamer-8.u94	No, I mean from this block.
ParlaMint-NL_2019-04-04-tweedekamer-8.u95	Oh, from this cube?
ParlaMint-NL_2019-04-04-tweedekamer-8.u96	Don't get too excited.
ParlaMint-NL_2019-04-04-tweedekamer-8.u97	Ah. Mrs. Ellemeet?
ParlaMint-NL_2019-04-04-tweedekamer-8.u98	Short and concise is quite pleasant, but 'yes' to my question whether minimum regulations can still be applied in practice is very short. My question was, of course, another one. It can be done on paper and it seems a very generous gesture from the Minister, but we need to see in practice whether the subscription rate is not at the expense of minimum regulations. It could be that municipalities say: the cost of the subscription rate is higher than we thought; these minimum regulations require even more of us in terms of costs. Are we gonna monitor that properly? Are we going to keep an eye on whether minimum schemes are the child of the account as a result of the subscription rate?
ParlaMint-NL_2019-04-04-tweedekamer-8.u99	Here too, the answer is yes. We will simply monitor and visualise the municipal transactions resulting from the subscription rate. However, I would point out that there is no need to adopt minimum regulations. There is no obligation from the Empire. That's a choice that municipalities make themselves. Interestingly, I may have understood that the number of municipalities that opt for a minimum scheme increased in 2019 compared to 2018, despite the subscription rate. But we'll keep an eye on that. In fact, we are following municipal policies as a result of the introduction of the subscription rate. So this will be evident.
ParlaMint-NL_2019-04-04-tweedekamer-8.u100	That seems very important to me, because I am getting other signals, namely that municipalities are already saying, anticipating the subscription rate: we are going to stop doing so, because we cannot combine both. But I heard the minister right. It's important to have that in the picture. It should not at all be the case that minima should ultimately pay the bill of the subscription rate.
ParlaMint-NL_2019-04-04-tweedekamer-8.u101	I understand Mrs Ellemeet says so. But that sounds like municipalities shouldn't decide this. Municipalities can decide this. You think it's undesirable, but that's different. Municipalities are allowed to do this. Then, Mr President, I will deal with the questions of implementation and implementation. A lot has been asked about that by 50PLUS. In 2019, a first step was taken with the introduction of the subscription rate for customised services. This has kept the existing data exchange intact. The impact on this year's implementation is therefore actually very limited. We cannot simply stop the collection of data that is now expected under the law. But by 2020, the exchange of data between municipalities, providers, the CAK and the Tax Administration will be so greatly simplified that it will lead to a significant reduction in the implementation burden of the CAK. Following a question from D66, I note that both the CAK and the VNG passed an extensive implementation test in 2018, concluding that the remaining implementation time is simply realistic. As a point of interest, it has been mentioned that the design of the new data exchange had to be started quickly. From the summer of 2018 there have been quite a few steps in this direction. The implementation is therefore on track. In the last six months of 2019, the ICT landscape will be tested together with all players involved in the data exchange. Errors or risks regarding the continuity of the determination and collection of the own contribution can be resolved in the next six months. The test period ensures that everyone involved in the implementation is adequately integrated into the new systems. It sometimes happens that ICT is a bit slower to adapt than you would like. And just imagine what the ICT landscape isn't in order, then the current ICT landscape of 2019 can be used temporarily as a fallback option. We've assured ourselves of that. We've been exploring that. In addition, other relapse options will be developed.
ParlaMint-NL_2019-04-04-tweedekamer-8.u102	I am somewhat reassured, but is the Minister prepared to inform the Chamber at the beginning of 2020 about the state of the ICT landscape adjustment?
ParlaMint-NL_2019-04-04-tweedekamer-8.u103	Yes. I think I'm gonna have to be able to do that sooner. I think it will be possible this autumn, let me say about the budget. Is that a good idea? It is linked to a number of other questions that have been asked, particularly by the Christian Union, but also by D66 and also by you. Do we have to worry about the CAK? That is where I think this question comes from. The answer is yes, there are concerns about the CAK. By the way, these are concerns that do not immediately affect clients. However, there are concerns about the CAK as an administrative organisation and, in particular, its internal control. It is actually the case that this evolution of the subscription rate also makes it much less complex for the CAK. The potential concerns about the internal control within the CAK decrease precisely with the introduction of this subscription rate. But then things will have to go well and the preparation of the ICT landscape will have to go at the right pace. Let me send you an update on the budget on how these preparations are going. Then I'll do it a little bit wider than just the CAK. Then I'll see if the ICT adjustment even manages to be ready in time or if it's necessary to opt for a relapse option.
ParlaMint-NL_2019-04-04-tweedekamer-8.u104	Fine. It's nice that the Minister wants to do that. Does he indicate that, if it is likely to go wrong during the course of the journey to less complex areas, the Chamber will be informed at an early stage and not afterwards via the media?
ParlaMint-NL_2019-04-04-tweedekamer-8.u105	Yes. I'd rather not do that anyway, I understand by now. I'm trying to do that in time.
ParlaMint-NL_2019-04-04-tweedekamer-8.u106	A number of very good points have emerged from the implementation test carried out by the municipalities. The Minister pays attention to the subject of the CAK. I asked a question about the small healthcare providers. An option would be offered to provide data with less control pressure. My question is whether this option can be met.
