ParlaMint-NL_2019-10-10-tweedekamer-15.u1	We will continue with the second period of discussion of the Kingdom's budget relations.
ParlaMint-NL_2019-10-10-tweedekamer-15.u57	Now it's getting a little technical. In itself, I would like to do so, but the way the budget is designed has more parts in the post under which it is covered. This post is called "gathering post" to promote socio-economic structure. If I'm going to highlight one element there, I should do the same to the other. I indicated last year, also in the debate we had then, that if more resources were needed, I would also indicate that and make provision for it. That is not the case; there are still resources in that budget. I do not therefore see any problem at the moment in continuing with what the Chamber considers to be important, and I think that is also true because it is a question of protecting children's rights. We do this in good cooperation with UNICEF. Then there's the motions. First of all, the motion in part No. 16 by Mr De Graaf, in which the government is invited to pursue continuous and active policies with the aim of achieving the highest possible percentage of procurement of reconstruction projects at Dutch companies. Of course, these funds at the World Bank are indeed filled with Dutch taxpayers' money but, as I mentioned earlier in the debate, the own World Bank procurement rules do not allow them to actively favour companies over others. It's about best value. We will of course encourage and invite Dutch companies to participate in the tenders. To date it appears that the contribution of Dutch companies is about 50/50. You can imagine that not all companies in the Netherlands are interested in doing things at such a distance. We have also always said that we do not want to rule out local and regional issues either. In short, as firmly as the motion is, I must advise against it. Then Mr De Graaf has in part No. 17 tabled a motion calling on the government to put the interests of the people of the Netherlands first, which in itself is not bad, and to ensure the dismantling of the Kingdom of the Netherlands, so that the Netherlands can continue as an independent country. We have had a whole debate on this. It will not surprise Mr De Graaf that a lifting of the Statute would require the consent of all countries within the Kingdom, if you wish. I also said that I find it more constructive to focus first on a possible reform of the Statute rather than dismantling it. I have had a whole debate on this with Mr Bosman, among others. That's why I have to discourage this motion. President. - The next item is the motion for a resolution (Doc. 18, co-signed by Mr Van Dam, Mr Van Raak and Bishop and Ms Van der Graaf, inviting the government to come forward with a proposal before 1 October 2020 to establish clear, clear and workable relationships and responsibilities within the Kingdom. Mr Bosman himself gave a profit warning on the expected assessment. I must indeed discourage this motion for the following reason. That is not because I would have great reservations about the substance, because in fact that process with the Van Raak/Bosman or -Bosman/Van Raak motion has already started, but because I cannot commit myself to this period, simply because three autonomous countries also have to come up with a reaction and are also a player. That is why I must discourage the motion, despite the broad signature.
ParlaMint-NL_2019-10-10-tweedekamer-15.u58	Mr Bosman, a brief question on the motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u59	Yes, a very short question, of course. So we are stuck with the joint judgment of those other countries, while we simply, as a Dutch parliament, ask our government to set a deadline, even if it was only for the Dutch side of the story. We can then say on 1 October: what happened? So that is separate from the other countries. In principle, the Secretary of State could even say, "judge Chamber," because I'm going to stick to that deadline. But what those other countries are doing, I have just said: the Secretary of State is not kept to the impossible. If the rest of you don't cooperate, I can agree with that.
ParlaMint-NL_2019-10-10-tweedekamer-15.u60	Then it's an empty shell. I can, of course, come up with a vision on behalf of the Dutch Government, but if it does not respond from the other side, then we do not yet have the beginning of the path that Mr Bosman wants to follow. I have read the motion in such a way that the government is being asked to come up with a proposal on these relations as a kind of outcome to the process that is yet to take place. As far as the Dutch part is concerned, I am in favour of this, but not for the parts of the autonomous countries. I could say that I fully understand the motion in the context of the debate, but I must advise against it. Unfortunately, it doesn't change my judgment.
ParlaMint-NL_2019-10-10-tweedekamer-15.u61	Then I suggest you move on.
ParlaMint-NL_2019-10-10-tweedekamer-15.u62	Before I go into the motion Özütok c.s. in piece No. 19, I would like to say the following, also because Mrs Özütok has just gone into that and accused me of a somewhat distant attitude towards poverty and refugee issues. Earlier in the debate, I indicated that, as far as I am concerned, this aloof attitude lies mainly in the fact that being a coordinating ruler is really something other than that I want and can accept the ministerial responsibility of colleagues. That is not what the Council of State's opinion said either. There are now a number of motions before us, starting with those of Mrs Özütok, who really deal with matters for which I am not responsible at ministerial level. I coordinate, I enthusiasm and I encourage. I now have many colleagues in the cabinet who serve the same cause, but I do not think it is right to renovate Thorbecke's house at the moment and go shopping in other people's wallet. So whatever I think of the motion, in itself, it is not such a crazy motion at all. I must ask you to submit the motion to the SZW budget or to ask for the opinion of the person responsible on this point. You might be able to hold the motion and ask for a judgment in another place.
ParlaMint-NL_2019-10-10-tweedekamer-15.u63	Then I'll hold my motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u64	At the request of Mrs Özütok, I propose her motion (35300-IV, No. 19). That is what is decided.
ParlaMint-NL_2019-10-10-tweedekamer-15.u65	The same applies to Mrs Özütok's motion on item No. 20, however sympathetic the motion may be. That really is the responsibility of the Minister of LNV. Now the case of LNV's budget is to be dealt with in the near future. I'd say put the motion right there. I mentioned earlier that LNV is already looking at possibilities. It is not a substantive objection, but on formal grounds I would say that perhaps an opinion from the Minister of LNV can also be requested on this point. I therefore request that this motion be retained.
ParlaMint-NL_2019-10-10-tweedekamer-15.u66	I'll hold on to that too.
ParlaMint-NL_2019-10-10-tweedekamer-15.u67	At the request of Mrs Özütok, I propose her motion (35300-IV, No. 20). That is what is decided.
ParlaMint-NL_2019-10-10-tweedekamer-15.u68	To continue in the same category: we come to the motion in part no. 21 by Mr Van Dam et al, inviting the Government to examine whether POBB funds, for peace, security, stability and/or legal cooperation of the Foreign Affairs budget, can be used to contribute to the humanitarian relief of refugees in Curaçao and Aruba and to inform the Chamber thereof. The same goes for this: this affects the portfolio of a colleague in the cabinet, so I cannot give an opinion on this either, and so I would ask that the motion be retained or submitted to the relevant budget debate.
ParlaMint-NL_2019-10-10-tweedekamer-15.u69	I'm going to talk to our foreign spokesperson and tell him what I'm doing in time for the vote.
ParlaMint-NL_2019-10-10-tweedekamer-15.u70	Then the motion-Van Dam c.s. in piece No. 22, with very broad signature. It invites the government to consult with the government of St.Maarten on a separation of management and authority in the enforcement of the legal order, in order to see to what extent the Netherlands can play a stronger role in the management role for a period of five years. This could be a normal motion, if it did not touch on the discussion we had earlier on the Statute and the division of responsibility. So there's a lot more behind this. This means de facto restricting the autonomy of the country of Saint Martin in this case. Apart from whether or not I could have these talks and regardless of what the new government would look like, such a takeover or separation of management and authority requested by Mr Van Dam can only be arranged on the basis of a consensus settlement. Then it has to be very focused. The motion is very broad, quite apart from the fact that the financial consequences of this motion are completely unclear. At the moment the motion is actually uncovered. That is why I must discourage the motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u71	Well, Mr. Van Dam!
ParlaMint-NL_2019-10-10-tweedekamer-15.u72	I made it quite consciously with 'in consultation with'. I can imagine that the attention of the Secretary of State in the hecticness of the debate has not yet completely fallen on that. That's why I wanted to keep a little searchlight on that. Is that perhaps something else that could lead to a different judgment?
ParlaMint-NL_2019-10-10-tweedekamer-15.u73	It is true that I have seen well that it says 'in consultation with', but in particular the sentence afterwards becomes very concrete about what that should mean. I do not think this motion is appropriate at the moment, especially in view of the situation we are in, namely that we do not yet know what this new government is going to look like and that we do not yet know what the response will be to the request that I have made to the prime ministers of the countries to speak in broad terms about the Statute. You could arrest her, too. Maybe that's even better. Or you could put her to the vote. But if the motion stays the way it is now, then I really have to dissuade her.
ParlaMint-NL_2019-10-10-tweedekamer-15.u74	I shall put the motion to the vote.
ParlaMint-NL_2019-10-10-tweedekamer-15.u75	Okay. That's your right.
ParlaMint-NL_2019-10-10-tweedekamer-15.u76	Then the motion to part No. 23 by Mr Van Dam. I don't think it's up to me to judge it. Maybe to discuss in the IPKO, but I've indicated that before. The motion in part No. 24 by Mr Van Raak and Mr Bosman, in which the government is invited to come forward quickly with a proposal for the continuation of the TBO and to inform the Chamber thereof. I've mentioned before how important that TBO is to me. Thank you again for the initiative from the Chamber at the time. That has proved its worth and success, unfortunately, I must say. I'll leave the verdict on this motion to the Chamber. Then there is the motion by Mr Diertens/Özütok on part No. 25 on the position of older people, in which the government is invited to actively look them up and to design an additional scheme for vulnerable elderly people. This affects 100%, even though I feel a great deal of commitment to it, to Mr Van Ark's ministerial responsibility, so my opinion would be: to maintain and discuss with the colleague from Social Affairs and Employment.
ParlaMint-NL_2019-10-10-tweedekamer-15.u77	Given the urgency of the problem, I would still like to submit it.
ParlaMint-NL_2019-10-10-tweedekamer-15.u78	Then I'll have to make the motion in part no. 25 dissuade. In the motion in part No. 26 by Mrs Kuik and Mrs Van der Graaf, the government is invited to develop a debt relief scheme for the Caribbean Netherlands, together with public bodies. I'm assuming I can read her like this. Otherwise the weather will be 'The Hague determines what to do', but I had not understood that before. I have already indicated that Mr Van Ark and I are working on a number of proposals to support debt relief, which in itself is an island task. If I may read the motion in such a way that it supports the responsibility of the public body, then I could leave the opinion on this motion to the Chamber, although it is also on the brink of the SZW budget, but does not have direct financial consequences. Then it could be part of the governance agreement.
ParlaMint-NL_2019-10-10-tweedekamer-15.u79	You should read the motion in this way: together with the public bodies, a support in the back, and please let us know what progress has been made. Thanks for the "judge chamber."
ParlaMint-NL_2019-10-10-tweedekamer-15.u80	Thank you. President. - I call the Group of the European People's Party (Christian-Democratic Group). 27, in which the government is invited, in conjunction with all the organisations involved in Curaçao, I think that "organisations" should be read as "governments or government organisations" in addition to the existing growth agreement to explore the possibilities of a national programme. If I read that motion literally, I don't think she's quite tight. Then I would really like to propose replacing 'in addition to' with 'in line with', because that growth agreement includes both the spirit and content of what the Rotterdam-South Programme has done in Rotterdam. I think it is a very nice motion, but I would not want this to interfere with the growth agreement. I see it more as an extension of what we are already meeting with Curaçao. That could be further developed on this point. If I can read her like that, I can leave the judgment to the Chamber.
ParlaMint-NL_2019-10-10-tweedekamer-15.u81	That's how you read it. I'll read it myself. Once again, if the motion is adopted, I would like to be kept informed of the follow-up to it, indeed in the follow-up to the growth agreement. Thank you.
ParlaMint-NL_2019-10-10-tweedekamer-15.u82	Then the motion to part No. 28 by Ms Van der Graaf, inviting the government, in cooperation with the CBS, the SCP and the local authorities, to consider how to improve the data infrastructure on these themes and to submit a proposal to the Chamber before 1 March 2020. I think she is very sympathetic to that earlier, but here too, this actually affects three departments, namely EZK as a system manager for the CBS and the departments of VWS and SZW which are responsible for these additional tasks of the CBS. If things are to happen there, there will undoubtedly be financial consequences. I would therefore ask you to hold the motion and put it to VWS. I have already said that I liked her, so I will limit all the room my colleague has on this subject.
ParlaMint-NL_2019-10-10-tweedekamer-15.u83	Then you've gone a little too far with that, perhaps.
ParlaMint-NL_2019-10-10-tweedekamer-15.u84	Then I'll tell you who forced me to.
ParlaMint-NL_2019-10-10-tweedekamer-15.u85	I understand the Secretary of State's argument very well, but I think that in this particular area, we are seeing more data collection in so many other areas, the areas in the motion are examples and places where we need it in any case, the coordinating role of the Secretary of State in place, so to speak. This really concerns the coordinating role, so I would like to put this motion to the vote. It is important for the Chamber to express its views on this matter and for the government to take action on it.
ParlaMint-NL_2019-10-10-tweedekamer-15.u86	Then what's the verdict?
ParlaMint-NL_2019-10-10-tweedekamer-15.u87	I stand by the same judgment, but I have already said that I like her. I don't think I should say more than that.
ParlaMint-NL_2019-10-10-tweedekamer-15.u88	We don't know that.
ParlaMint-NL_2019-10-10-tweedekamer-15.u89	The Chamber is about the motions, of course.
ParlaMint-NL_2019-10-10-tweedekamer-15.u90	Then it's judgment room?
ParlaMint-NL_2019-10-10-tweedekamer-15.u91	No, no, no, no, no, no, no, no, no, no, I asked you to arrest her, so I'm gonna have to dissuade her.
ParlaMint-NL_2019-10-10-tweedekamer-15.u92	Okay. Then that's clear, too.
ParlaMint-NL_2019-10-10-tweedekamer-15.u93	Mrs Van der Graaf then had a motion in part No. 29. It deals with the gap, in its opinion, in the Civil Code and invites the government, in consultation with the public authorities, to come forward with a legislative proposal and so on, and so on. I have already indicated that child abuse is already a criminal offence and that this is actually a legal issue. The Civil Code is the responsibility of the Minister for Legal Protection, so as regards requests for legislative proposals in this area, I really must refer them to him. So I'm gonna have to dissuade the motion. You can also arrest her.
ParlaMint-NL_2019-10-10-tweedekamer-15.u94	Then I would like a letter from the government responding to the request made in the motion. I would like to continue the motion and I hope that the letter can be sent to the Chamber very quickly so that we can put the motion to the vote quickly.
ParlaMint-NL_2019-10-10-tweedekamer-15.u95	For my part, however, what question is asked which should be answered in a letter?
ParlaMint-NL_2019-10-10-tweedekamer-15.u96	I do not really understand the Secretary of State can give an opinion on this motion, so I would ask if the government could send a letter to the Chamber containing the opinion on the motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u97	And in the meantime, will you hold the motion?
ParlaMint-NL_2019-10-10-tweedekamer-15.u98	Then I can hold the motion in the meantime, but I would very much like to receive a letter on it. I don't know what a realistic term is. If we could do it in a week, that would be great.
ParlaMint-NL_2019-10-10-tweedekamer-15.u99	I'm gonna take a look at my officials. Can a letter be sent? I can't hear what they're saying. I think it's a little weird. Mrs Van der Graaf can always ask, of course, because the Chamber has a right of inquiry. So if she has this question, it is very easy to put it in the JenV budget. Because the Civil Code really is another minister's political responsibility. My argument is that there are sufficient guarantees and that it is sufficiently arranged. If Mrs Van der Graaf wants that to be different, that is something to be included in the JenV budget.
ParlaMint-NL_2019-10-10-tweedekamer-15.u100	Yes. Mrs. Van der Graaf.
ParlaMint-NL_2019-10-10-tweedekamer-15.u101	Is it possible for me to hold this motion until the budget debate on Justice and Security? Is that a possibility?
ParlaMint-NL_2019-10-10-tweedekamer-15.u102	Yeah, you can.
ParlaMint-NL_2019-10-10-tweedekamer-15.u103	Yeah? Then I'll just bring it in.
ParlaMint-NL_2019-10-10-tweedekamer-15.u104	Okay, well, at least that's settled.
ParlaMint-NL_2019-10-10-tweedekamer-15.u105	I feel a little uncomfortable because I disappoint people. But coordination is really something other than ministerial responsibility. So I simply cannot commit to this point now; it really has to be done by the Minister for Legal Protection. Finally, and concluding, the motion in part No. 30 by Mrs Van der Graaf, in which the government is invited to examine, together with the Secretary of State of the United States of America, which, as far as I am aware, is still part of the government, how the Caribbean part of the Kingdom can be supported in the implementation of the Convention, and what timetable can be used. Although the UN Treaty has no co-funding for the Caribbean Netherlands, it is currently being worked on. And this also falls entirely within the responsibility of the U.S. Secretary of State. So here's the same answer, Mr. Chairman.
ParlaMint-NL_2019-10-10-tweedekamer-15.u106	Yes, Mrs. Van der Graaf.
ParlaMint-NL_2019-10-10-tweedekamer-15.u107	We were already planning to hold this motion until the debate on the VWS budget.
ParlaMint-NL_2019-10-10-tweedekamer-15.u108	At the request of Mrs Van der Graaf, I propose her motion (35300-IV, No. 30). That is what is decided.
ParlaMint-NL_2019-10-10-tweedekamer-15.u109	I would like to thank the members of the Chamber for their involvement and input.
ParlaMint-NL_2019-10-10-tweedekamer-15.u110	I would like to thank the Secretary of State and the spokesmen for the fine debate on the Kingdom's budget relations.
