ParlaMint-NL_2019-09-11-tweedekamer-9.u1	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-09-11-tweedekamer-9.u55	Then these municipalities must really take the small effort to contact me directly in my ministry, which may be me. We have set out very clearly, also in connection with the information provided by the Council of State, the route we are now setting up. That's really important. The development of the model protocol, inspired by the Ried Protocol, is also very important. Because then you can also organise the information sharing within the municipalities well. The municipalities are really involved in this. That's what we do with BZK. I say quite honestly, we do this with diligence and care.
ParlaMint-NL_2019-09-11-tweedekamer-9.u56	As much as I appreciate all the efforts made by the Minister, I find myself a little hesitant about what is happening here. It's about the sharing of information. Friend and enemy Now GroenLinks is not my enemy, but I don't know if he is my friend directly when it comes to privacy protection. The Security Research Council has written a report on it. In the report we're talking about today, I read it, too. The Commissioner in Amsterdam talks about the fact that privacy simply goes too far. I can't talk to a mayor or it's about it. So of that whole element of goal-binding, when I listen to the Minister so much, I think it's too much in the old groove for a problem that really has a lot more heads. Then we'll have to have that debate when that law comes. I can see you looking at this: hello, the time, right. I would like to express my opinion on this point. I am not waiting for lyrics that it is all okay and that it can all be done now. Of course, there can always be more legislation than we initially understood, but there is a real problem here. I hope that law can change this.
ParlaMint-NL_2019-09-11-tweedekamer-9.u57	I'm not taking back anything I said. There's still a lot left. I've sent the Chamber the Council of State's opinion. That's what we've been talking about. Perhaps I was alone, but I believe that I concluded with the Permanent Chamber of Justice and Security that we need to work hard on the points made by the Council of State. Otherwise, when you return to the Personal Data Authority, you will be told: you do not meet the proportionality requirement. Mr Van Dam knows that, too. May I point out that this regulation was transposed by your Chamber just over a year ago. As I said, I am working very hard on this, but it has still taken ten months to reach agreement with the Personal Data Authority on the Data Processing Bill by collaborative partnerships. Let me say that this was an interesting but versatile and extensive discussion.
ParlaMint-NL_2019-09-11-tweedekamer-9.u58	I think I'm more on the side of the minister than he might think. That's the whole point of privacy. There is a kind of green table discussion of all kinds of well-educated and well-imported people who watch it all and all see lions and bears. In addition, there is the practice that has to work with the legislation and encounters all kinds of barriers. That's the huge dilemma. Let me give you an example. The Minister sent a letter to the Chamber together with the Minister of Finance. I was very happy about that. There was an annex that was actually only about information sharing, about what is and is not possible there. I believe it was an eight-page document. When I read it, I only went with recess. That is the situation we are talking about here. It was too much for me. That's the point. Somehow there are different realities in privacy. Again, when the bill comes to the Chamber, we're going to look into it, but this will be the discussion.
ParlaMint-NL_2019-09-11-tweedekamer-9.u59	Then that's clear. Then I'm going to see Mrs Yeşilgöz.
ParlaMint-NL_2019-09-11-tweedekamer-9.u60	I would like to join colleague Van Dam. I understand what the Minister is saying. I also understand the complexity of the things he's dealing with. At the same time, it is a very unsatisfactory situation. We are all told from different agencies, from private to public, that they have information, but that they cannot share it, which means that we cannot deal with those leaders. That's kind of what it's all about. Then we are stuck in privacy rules and laws. Something's coming to the room. There was a reason why I asked the Minister if we couldn't speed things up. Can't we say we're going to do a pilot in a demarcated area where we're going to exchange information? Then let's go find the boundaries and let the judge whistle us back. I'd rather we wait, wait for what's possible. In the meantime, we continue to hear that agencies are getting in trouble. They want to handle it themselves, but they can't share the information.
ParlaMint-NL_2019-09-11-tweedekamer-9.u61	As Minister of Justice and Security, I cannot bear the responsibility for having to be heard by the judge by means of legislation. Mrs Yeşilgöz will understand that. She may address me at the pace and things like that, but this legislation must be such that after the end of the day the Chamber says: we have had some of that and it is because of the test. That's one. Then two. I would like to emphasise this. When I was a minister not so long ago, there was a call for more information sharing. I have discussed this with the relevant authorities, including the Personal Data Authority. It was said back then that opportunities were still unexploited. The mayors of the National Council of Security and Police and I have decided together to submit it to the Council of State. The Council of State has made it very clear that there are still many possibilities and you must work them out together. That is what we are doing now with speed. You may constantly pull me in the vein of: friend how far along are you with it? We really do that with speed. We have clarity this year.
ParlaMint-NL_2019-09-11-tweedekamer-9.u62	Good. Yes.
ParlaMint-NL_2019-09-11-tweedekamer-9.u63	No, I'd like to make a commitment through you to Mrs Yeşilgöz...
ParlaMint-NL_2019-09-11-tweedekamer-9.u64	Oh. You can always do that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u65	...that that protocol is still there this calendar year. Then we are also a lot further on the point of the extra possibilities.
ParlaMint-NL_2019-09-11-tweedekamer-9.u66	Okay, then we're gonna watch it together this year. However, I do think that I can ask the Minister of Justice to look up the boundaries. I do not want the Minister to go over that, but he would have the support of at least the VVD to look up those boundaries. Because I think that's really urgent and really necessary. I look forward to having this discussion later this year, but I agree with what Mr Van Dam said: if we do not feel that we are getting closer to practice and the problems there, I will come up with my own proposal on this, because we are going to look for the boundaries as far as the VVD is concerned. We're just gonna do that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u67	But those boundaries have been really sought out, and I would like to emphasise that once again. Otherwise, I wouldn't have had ten months of discussion with the Dutch Data Protection Authority.
ParlaMint-NL_2019-09-11-tweedekamer-9.u68	Yes. Mr...
ParlaMint-NL_2019-09-11-tweedekamer-9.u69	That's what you should expect from me.
ParlaMint-NL_2019-09-11-tweedekamer-9.u70	Mr Krol.
ParlaMint-NL_2019-09-11-tweedekamer-9.u71	Speaking of the search for borders, I would like to give one example. There's a request from a bank for a mortgage. The bank manager thinks, "Hey, wait a minute, that might go to the wrong party." Where's he gonna get that information? This story really happened. That bank manager then stops a note stating what's going on under the wiper of the local mayor's car. That mayor can't answer that. He therefore writes the answer, which is best done by the bank manager, namely not to give a mortgage, also on that note and puts it back under the wiper. The next day the note is gone: fortunately, the mortgage was not provided. Can't we just make this a little easier? It's not supposed to be that way, is it?
ParlaMint-NL_2019-09-11-tweedekamer-9.u72	Let me say this. I find it very difficult to respond to anecdotal examples. But be assured that Mr Hoekstra and I are trying to break down some of the walls, as has been mentioned earlier, about the obstacles that remain in the information sharing with banks, within the limits of what goes with good privacy protection. You'll find that in the delivery note, too.
ParlaMint-NL_2019-09-11-tweedekamer-9.u73	I'm taking this as a commitment. Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u74	It's already in the letter. Anyway...
ParlaMint-NL_2019-09-11-tweedekamer-9.u75	Okay. I'd still like to ask if you could put some pace into it. There are still a few points to be dealt with.
ParlaMint-NL_2019-09-11-tweedekamer-9.u76	Let's see.
ParlaMint-NL_2019-09-11-tweedekamer-9.u77	On the previous point, Mrs. Chicken? I see that it is; go ahead.
ParlaMint-NL_2019-09-11-tweedekamer-9.u78	Carefulness is important, I get that. After all, a number of things have also been flagged back because they didn't comply with the privacy rules; for example, think of the traffic light model that suddenly couldn't. So I get that. But at the same time, we notice that it's all over the place. Whether it's the UWV, the care or the banks, it's all difficult. But there has been a request for solutions for five years. Legislation should not, in principle, take five years. That is my first point. My second point, and that is my question, is as follows. That model agreement that is now coming only regulates part of the information, in particular the intermunicipal, and not the information with third parties. How far are we going? Let me give you one small example. I know Minister Hoekstra is in the process of giving banks more opportunities to share information. Well, at least he does. But it's not an obligation. So each time we intend to regulate very small particles, then it takes a long time and then it doesn't happen or it happens halfway. I'd like a response.
ParlaMint-NL_2019-09-11-tweedekamer-9.u79	As far as the Hoekstra issue is concerned, we're in it together. We are faced with exactly the same obstacles. You know, I get it very well, and I even find it encouraging that people say: if you want to deal with it, make sure you get the information sharing really sharp. I have said a few things about this which I am not going to repeat here. But I told you once that privacy should never be the shield for organized criminals. Period. That's my starting point when I see how we get it right. But I also believe that I and Sander Dekker, the Minister for Legal Protection, also have a duty to ensure that, in the meantime, the privacy of non-villainous citizens remains in a good way.
ParlaMint-NL_2019-09-11-tweedekamer-9.u80	Finally, because this point has been sufficiently discussed.
ParlaMint-NL_2019-09-11-tweedekamer-9.u81	I get that. But it's incredibly essential at the same time, because everyone you ask calls this the biggest stumbling block. I'm just finishing up. I am concerned about the legislative process, because I think it only regulates part of it. That would be a shame to me, because that would be a waste of time again. It's really 5:12, maybe 5:12. So please take a look at that look and the assignment that we as Members of Parliament have given you here.
ParlaMint-NL_2019-09-11-tweedekamer-9.u82	Yes. There was a question following the Van der Staaij motion which was tabled at another debate. The Minister for Legal Protection will return to your Chamber on my behalf in the autumn. Very soon about the money laundering. 29 million will be made available to strengthen the fight against fraud, money laundering and undermining. The further distribution will be discussed in the framework of Princess Day. Then there's the 10-point money laundering plan-Van der Linde. We've written that plan of action. Your room has requested a response to that plan. It precedes the ongoing consultations on, among other things, the Implementation Act amending the Fourth Anti-Money Laundering Directive. I'll get back to you on that. Mr Van Nispen asked about the gatekeeper function of private money laundering institutions and the like. That's what we sent the plan of action for. We think there are three pillars for that gatekeeper function. One: the effectiveness needs to be increased. Two: barriers need to be raised to make it more difficult for criminals to bring their illegal income into the regular financial system. Finally, something that some of you have already said: we will really need to strengthen the detection and prosecution on these issues. The approach to criminal money flows, to which Mrs Yeşilgöz and Mr Van Nispen were right to draw attention, is really a spearhead of my approach. I am not going to discuss this with Mr Van Nispen today, and we have done so before about the numbers of recent years and so on. I agree with what he says. We need to make sure that in the years to come we are really going to be able to achieve results, because they are the ones most affected by the Follow the Money approach and the taking away. Soon GroenLinks' question about the real estate. Right now, we're working with the Home Office to investigate the criminal use of it. It also examines which tools are useful for private parties to prevent abuse. If we have the results of that investigation, we will return to your Chamber. The integral take-off...
ParlaMint-NL_2019-09-11-tweedekamer-9.u83	A brief question, Mr. Van den Berge.
ParlaMint-NL_2019-09-11-tweedekamer-9.u84	A brief question to the Minister. Is it also looking at administrative possibilities that could be created? I hear him talk about private law opportunities to deal with such abuse, but is that also considered in the same investigation?
ParlaMint-NL_2019-09-11-tweedekamer-9.u85	It is an investigation into useful tools for private parties to prevent abuse. The administrative powers are, of course, much more directed towards ourselves as a government to see how we can intervene. Mr Groothuizen had a question about the complete removal objective. Additional efforts are also being made to this end. We have also included in the Safety Agenda the agreement that an integral take-off monitor will be developed that will provide insight into its results based on existing registrations. We're working with all the parties right now to get to that pickup monitor. An integral objective is not yet included.
ParlaMint-NL_2019-09-11-tweedekamer-9.u86	I almost got very happy, but then the Minister said his last sentence. Why not? Why is this integral objective not part of this? That's a clear advice from the WODC. That advice, which has been available for a year now, I can at least follow it all myself. Because I'm pointing out to the Minister on page 52 and beyond. It says that in the workplace everyone is always convinced that you have to deal with this together, but that in organisations the management is mainly looking at how things are going in their own toko. That's just not a problem you're gonna solve. Then why doesn't the Minister do that?
ParlaMint-NL_2019-09-11-tweedekamer-9.u87	Well, the ultimate goal is, of course, an improved overall direction for the implementation of that Security Agenda and the realisation of the ambitions in the field of the taking away of criminal assets. But I will inform the Chamber at the end of this year about the concrete steps the working group has proposed to improve this monitoring, what follow-up actions there are and how we can then achieve an integral objective.
ParlaMint-NL_2019-09-11-tweedekamer-9.u88	Mr. Groothuizen.
ParlaMint-NL_2019-09-11-tweedekamer-9.u89	This isn't exactly an answer. It's nice that this monitoring is coming and that gives us insight. But the Minister himself says: there will not be an objective. I ask him, why not? Because the advice of actually everyone who knows about it is: do it, because that helps.
ParlaMint-NL_2019-09-11-tweedekamer-9.u90	Now Mr Groothuizen had not heard my last sentence, because I made a commitment in it. I can see someone walking to the microphone. I have promised that in that letter which I will write at the end of this year, I will also return to that question of the integrated objective.
ParlaMint-NL_2019-09-11-tweedekamer-9.u91	Yes.
ParlaMint-NL_2019-09-11-tweedekamer-9.u92	I'm just gonna put it in my pocket, Mr. Chairman.
ParlaMint-NL_2019-09-11-tweedekamer-9.u93	Well, that saves a motion, I hope.
ParlaMint-NL_2019-09-11-tweedekamer-9.u94	I do not know if that means that the commitment has been signalled.
ParlaMint-NL_2019-09-11-tweedekamer-9.u95	And now you're going through the following points quickly, Minister?
ParlaMint-NL_2019-09-11-tweedekamer-9.u96	This was quick for me, Mr. Chairman. Anyway, I understand I need to speak at your pace now. I don't know if I'm gonna make it to that level.
ParlaMint-NL_2019-09-11-tweedekamer-9.u97	Yes, you can.
ParlaMint-NL_2019-09-11-tweedekamer-9.u98	How is the impact of strengthening the approach measured? I would add that we have discussed this in detail with your Chamber before, but it is good to get that straight. The implementation of the reinforcement plan shall be monitored by the WODC over the duration. I also explained at the time that we did this on purpose in order to evaluate, as it is called, learning. During the implementation of these projects, in which a lot of money goes into them, we can also adjust them if necessary. For example, we can say: well, we need to adjust this part. We can therefore share interim findings. This also gives the partners an opportunity to learn from it. I have asked the regions and the national partners to report to me every year. I'm getting a first progress report by the end of the month. I will inform your Chamber of that progress prior to the budget debate. A further question was asked by Mr Van Dam about the coordination of the approach at the central level. I find this a very interesting thought. Of course, we have the Strategic Board of Undermining. There are a number of relevant government parties in this. But if I understand correctly, Mr Van Dam says: you should also put more foreign connections in there and you should perhaps also give it a more active role as a whole. So I say again: I think it is an interesting idea, but we must, of course, look at all the responsibilities between government officials in the cabinet. But, as I said, I certainly think this is a thought that perhaps, in the context of the budget debate, we should continue to work together.
ParlaMint-NL_2019-09-11-tweedekamer-9.u99	I see that Mr Van Dam wants to respond to this again, but I want to see how far the Minister is.
ParlaMint-NL_2019-09-11-tweedekamer-9.u100	I've only got four very thin files left, Mr. Chairman, where there's only one answer.
ParlaMint-NL_2019-09-11-tweedekamer-9.u101	Mr. Van Dam is asking a very short question.
ParlaMint-NL_2019-09-11-tweedekamer-9.u102	I would ask the Minister perhaps to send a brief letter on this matter prior to the budget debate, setting out the possibilities there. Then we have a little more content to talk about.
ParlaMint-NL_2019-09-11-tweedekamer-9.u103	Okay.
ParlaMint-NL_2019-09-11-tweedekamer-9.u104	I admit that I will write a letter indicating the framework of the Strategic Board Undermining, why this is so and what you could possibly change further. There has also been talk of pooling capacity and expertise. That is indeed an interesting thought. I must tell you that I am open to all the ideas that can further strengthen the approach in the future. I think I'll have to get a good look at the official proposal first. Because let's face it: nationally, the FIOD, the police and the D.A. are already working together in so-called combi teams, for example, on tackling more complex money laundering cases. But the elaboration of such a thought, if it comes, could certainly be a reinforcement. We are talking to Amsterdam, I say to Mrs Yeşilgöz. There are intensive contacts about the approach with that municipality but also with many other municipalities. I would like to stress that the triangle in Amsterdam is, of course, responsible for setting priorities and making choices in the fight against crime, but I was able to see in her speech that Mrs Yeşilgöz herself sees that as well. That is a very clear point. It has been said, I believe, by Mr Van den Berge or Mr Groothuizen, that I have lost it for a while, but I encourage it and I welcome the fact that this Amsterdam city council itself has asked for the relevant report, which has been produced. It is not just said that there should be cops, because then you come to the contradiction that Mrs Helder mentioned earlier. You're gonna have to look at what priorities you see and what you're sticking to, and then you're gonna move on. Mr. Chairman. Then the Bibob.
ParlaMint-NL_2019-09-11-tweedekamer-9.u105	Have you answered all the questions on this issue?
ParlaMint-NL_2019-09-11-tweedekamer-9.u106	Yes. I don't have much to say about that anymore.
ParlaMint-NL_2019-09-11-tweedekamer-9.u107	Okay. Mrs Yeşilgöz, short question.
ParlaMint-NL_2019-09-11-tweedekamer-9.u108	Sure. I fully agree with the Minister that it is primarily a power and a task of the triangle, in this case of Amsterdam, but I would like the Minister to remain in talks there. The moment the concerns about the prioritisation of the triangle or the board grow, I'll come back to the door. Of course, there will come some time when we are going to be very concerned about that. I wanted to give the signal here and ring the bell that I'm really worried about. It is now up to Amsterdam, but I hope the Minister will stay in touch. If those concerns grow, I'll come back to the Minister.
ParlaMint-NL_2019-09-11-tweedekamer-9.u109	I keep talking to my place of residence all the time, at least with the board of that place. Mr. Chairman. Then the Bibob procedure. Mrs Helder is asking for simplification by being able to reject a permit more quickly. The current amendment extends the scope and makes the application of that law more efficient and effective. This is also the subject of the second tranche of Bibob legislation. And then Mrs Helder pointed out a number of measures against shielding structures that make it easier to investigate stromand constructions. I agree with her rightful point. Then I'm almost through, but Mrs Yeşilgöz had another question about the pilot information sharing. I have already said a great deal about information sharing. Don't get me wrong: we are going to finish a few things together this year and then, as Mr Van Dam has already announced, we are going to look together to see if we have everything or if we still do not have any legislative options. Finally, Mr President. At the end, I would like to touch on Mr Krol's twelve points. I was gonna save it for the last time. The best part of it was used to be called. Some of you have mentioned the neighbourhood approach. I agree with your Chamber that we should not only fight but also reduce the social ground. For example, Mrs Kuik rightly pointed out the successful approach in Rotterdam-Zuid. This means a number of things in the reinforcement plans: removing the breeding ground and combating the recruitment of potential growthers in the criminal drug circuit. The top 600 approach has already been discussed a few times. At the moment, my colleague in the Interior and Kingdom Relations is already preparing for a further approach to problem areas. In the Strategic Board Undermining this is really high on the agenda. We will inform your Chamber more about that. Then all I have is Mr Krol's twelve-point plan.
ParlaMint-NL_2019-09-11-tweedekamer-9.u110	You're not gonna go one by one... Do you?
ParlaMint-NL_2019-09-11-tweedekamer-9.u111	For the next two hours, I thought.
ParlaMint-NL_2019-09-11-tweedekamer-9.u112	I'm going to see Mr Voordewind first.
ParlaMint-NL_2019-09-11-tweedekamer-9.u113	Now I'm sorry I only turned in five points. But I asked a question about the NCTV. Am I to understand that the Minister also takes that point into account in the letter he has promised?
ParlaMint-NL_2019-09-11-tweedekamer-9.u114	Yes, I'd like to include that in that letter. I should have mentioned that explicitly, you are right. Apologies.
ParlaMint-NL_2019-09-11-tweedekamer-9.u115	Then that's clear, too. Mrs. Chicken.
ParlaMint-NL_2019-09-11-tweedekamer-9.u116	Sorry, I also have a question about the process, about the neighbourhood approach. You refer to the Minister of the Interior and say that this will be returned to you. Could you make that concrete for me, please?
ParlaMint-NL_2019-09-11-tweedekamer-9.u117	Well, that's what the colleague of the Interior and Kingdom Relations and I will inform your Chamber. In the second term, I can be somewhat more specific about the deadlines.
ParlaMint-NL_2019-09-11-tweedekamer-9.u118	Then the Minister comes back to that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u119	Mr. Chairman. Then there is another piece by Mr Krol. He had a number of points I've studied with interest. I think we have to note that the proposals are very different in nature. In a number of proposals, I see opportunities to get to work on them. I am thinking here of the proposal for a landlord's register, or of the plea for measures to combat drug smuggling and drug dumping at sea. A number of proposals should be examined in greater detail. There was, for example, a proposal in the context of official corruption. But then you also have to look at a Constitutional change, which I am not the first to make. I would therefore like to say that I am going to respond in writing to Mr Krol's twelve points in good time for the budget debate. Then we can also take it in context. I hope he can live with that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u120	Madam President. I can live with that, but I would ask you to suspend for five minutes immediately between the Minister's term and our second term.
ParlaMint-NL_2019-09-11-tweedekamer-9.u121	Sure.
ParlaMint-NL_2019-09-11-tweedekamer-9.u122	Then I can get my head together to see which motions I'm going to file and which ones I'm not going to file.
ParlaMint-NL_2019-09-11-tweedekamer-9.u123	Then that's what we'll do. I think the Minister is ready. With which we have indeed come to the second term. But we'll do that after a five-minute suspension.
ParlaMint-NL_2019-09-11-tweedekamer-9.u124	We have arrived at the second term of office. I give the floor to Mr Krol on behalf of 50PLUS.
ParlaMint-NL_2019-09-11-tweedekamer-9.u125	Thank you, Mr. Chairman. As announced, I had twelve motions ready, but I put seven in the waiting room and now there are five left. I'll start with the first one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are billions of euros in the Dutch drug industry;]] [[calls on the Government to examine, before the forthcoming budget treatment of Justice and Security, the possibility of setting up a structural drug fund in which stolen money from drug criminals is earmarked to combat drug crime,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Krol and Mr Yeşilgöz-Zegerius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-430]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u126	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas citizens can make a decisive contribution to the detection of drug criminals;]] [[Whereas some of them prefer to keep their mouths shut for fear of possible reprisals;]] [[Whereas a reward can bring them across the line to report drug criminals;]] [[calls on the government to create a generous system of remuneration for those who have the courage to declare drug criminals,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-431]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u127	Yes, chairman, on the previous motion. It's complicated. I'll have to vote on it on Tuesday. I do not have the text in front of me, but this is my only chance to ask a question about it for clarification. Is it just the drug crime? Does it say in the operative part that the crime money that was taken is going into a fund and that it's only focused on drug crime? My second question is: what if, in a year, there was not enough crime money recovered by the government? Is this at the expense of tackling organised crime? That seems very undesirable to me.
ParlaMint-NL_2019-09-11-tweedekamer-9.u128	In any case, this motion aims to ensure that structuralally more money goes to those municipalities that are now running out of money. Of course, a basic amount will always be needed, but if this is added, I'll give you that on a note. It's going in the right direction. They're getting shorter, Madam President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in the Netherlands, it is not the drug criminals but the general interest and democratically elected parliament that should continue to serve;]] [[Calls on the Government to prohibit convicted drug criminals from running for election to public office, public office and public administration;]] [[calls on the Government also to impose a professional ban on officials, directors and representatives of the people convicted of bribery,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-432]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u129	And now two really short ones. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas vacant premises are rented out to drug criminals;]] [[calls on the Government to examine the possibility of creating a rental register register registering the private rental of business premises,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-433]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u130	And the last one, very briefly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas drug and money dogs make a fantastic contribution to the detection of drug crime;]] [[calls on the government to increase the number of drug and money dogs to 1,000,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-434]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u131	And that's only five seconds over time! Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u132	Thank you. I now give the floor to Mr Van Dam on behalf of the CDA.
ParlaMint-NL_2019-09-11-tweedekamer-9.u133	Mr. Chairman. I would like to thank the Minister for his comprehensive response to all the questions we have put to him. I welcome the commitment to receive a letter on the coordination of the fight against drugs. For the sake of clarity, this should not be an alternative to the very right local and regional approach, but should be precisely the roof on the house of that local and regional approach. I have one motion. It's about the alcohol and drug tests. Before I read the motion a little explanation. In view of the Minister's reaction, I have just looked at what Secretary of State Van Ark said, and it is true that Minister Dekker has also said a lot about it. But all this has its own perspective, such as the protection of privacy or working conditions at work. I believe, on the contrary, that these drug tests and alcohol tests can also contribute to the resilience of society in general in the fight against drugs. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas standardisation of the use of narcotic drugs in society needs to be stopped;]] [[whereas this is a task which is not only on the board of police and justice, but everyone in society must be able to assume their responsibilities;]] [[Whereas it is also important, in the interests of occupational safety, to have a drug-free workplace;]] [[noting that, since the introduction of the GDPR, employers have no longer been allowed to take alcohol and drug tests;]] [[noting that there is currently no legal basis for carrying out those tests;]] [[calls on the government to create a legal basis for employers' alcohol and drug testing,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Dam and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-435]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u134	In recent times, however, motions on prevention and public health have also been signed by Mr Voordewind of the Christian Union. Mr President, I would like to conclude by saying a few words. I believe that, in the fight against drugs and undermining, the whole discussion on privacy, which has also been discussed extensively in the debate, is a very important one. That is why I am very happy to look forward to the debate on the legislation that is coming to us in this area. Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u135	Thank you, Mr. Van Dam. I now give the floor to Mrs Helder on behalf of the PVV.
ParlaMint-NL_2019-09-11-tweedekamer-9.u136	Thank you, Mr. Chairman. First of all, a thousand excuses for the fact that I missed the Prime Minister's first term. No one will have missed the fact that my group chairman has to answer to the judge. That is why I missed this part of the debate because of activities elsewhere, which were unfortunately necessary. I regret to conclude that the coalition parties did not support the debate that my group chairman has just asked for. That comes only after the statement, which has deprived my group chairman of the opportunity to add some more content to the fantastic plea of the Knoops team. I'm very sorry about that. This also does not allow us to do our full job as a representative of the people, because I cannot divide myself into two. So again, excuse the fact that I wasn't there. As a result, I confine myself to tabling the motion I announced in the first term. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the scale of drug crime is spreading and, despite all the efforts of all those involved, including the police, the judiciary and the mayors, is still gaining ground with all the dangers to society;]] [[Considers that a long-term commitment on a broad front is therefore needed, both police, judicial, administrative and also financially, in order to successfully combat current drug crime;]] [[calls on the government to set up a structural undermining fund,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder, Mr Bishop, Mr Krol, Mr Van Nispen and Mr Kuik.]] [[She's getting No. kst-24077-436]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u137	Mr President, I would like to make a final point. I saw that Mr Krol has also tabled a motion on a structural drug fund, as he calls it. I've got the text right here. What's my surprise? In fact, it should not be surprising at all that this motion was co-signed by the VVD. Then I'll see we're gonna talk about a word game. You want a structural undermining fund. Mr Van Nispen was right to ask how that would be filled. My approach, supported by several colleagues, is that it is being filled. Indeed, you should not make it dependent on the stolen criminal profits, because if they stagnate once, the mayors are empty-handed. You can't make a policy like that. There must therefore be a structural fund. I see the orange letters of the VVD again appearing on Twitter: "The VVD supports a structural undermining fund." That's all bullshit. Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u138	Thank you, Mrs Helder. I now give the floor to Mrs Kuik on behalf of the PvdA.
ParlaMint-NL_2019-09-11-tweedekamer-9.u139	Mr. Chairman. I thank the Minister for his answers. I don't have any motions, because I'm filing motions the moment I feel that that's helping or that it's necessary to put a move in. But of many of the issues we have discussed, namely the sharing of information, the Minister says that we need to wait, because legislation is still coming. I am not going to do it fast enough, but then we will assess it, and then we will, by means of amendments and motions, adapt the legislation accordingly. The same applies to a structural undermining fund, although I have co-signed a motion. It is also a good thing that we can see whether there can be an additional collection fund. However, I do expect that we will be surprised by Princess Day and that a structural amount will be allocated for undermining, because we all see the importance of it. This also applies to the VVD and the CDA. The CDA has also spoken harshly today: that should come. That's what I expect. Finally, Mr President. I asked for something very strongly. You also have to do something on the preventive side. Marco Pastors is working on a good approach in Rotterdam-Zuid. We also need to do this in other cities, but we are still waiting for a plan of action. So what is the conclusion of this debate? Not so much yet, I regret to say, when the urgency is high. It still feels a little despondent and powerless. I hope that's not the impression the Minister wants to leave with us. Thank you, Mr. Chairman.
ParlaMint-NL_2019-09-11-tweedekamer-9.u140	Thank you, Mrs. Chicken. I now give the floor to Mr Bishop on behalf of the SGP.
ParlaMint-NL_2019-09-11-tweedekamer-9.u141	Thank you, Mr President. First of all, thank you to the Minister for answering the questions. I hesitated for a moment whether or not I would file a motion that we had prepared. The rule that we apply internally to the SGP is: if you have prepared a motion and there will be a clear and unambiguous commitment, then you do not submit the motion. We are relying on confidence in the govern ment. There has been a clear and clear commitment for an important part, only the tail did not quite satisfy. There is no doubt that the Minister intends to comply with this. So he'll be able to give a positive opinion on the motion later. It is not a lack of confidence in the Minister's acting, but I would like to have it put in place. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the standardisation of drug use has a significant impact on safety and public health;]] [[noting that the use of drugs among young people is nevertheless becoming more and more normal;]] [[calls on the Government to express the ambition to achieve a drug-free generation and to take appropriate measures to this end,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop and Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-437]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u142	The Minister has unreservedly expressed the ambition to create a drug-free generation. But in the case of the interruption, it was a bit stuck in the way of taking appropriate measures. Hence this motion. Thank you very much, Mr President.
ParlaMint-NL_2019-09-11-tweedekamer-9.u143	Thank you, Mr. Bishop. I now give the floor to Mrs Yeşilgöz-Zegerius on behalf of the VVD.
