ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u85	I see a broad wish in the Chamber to look far back and I have no problem with that. I have no problem with that, but I would like to outline the social context. I myself was the financial spokesman and thus responsible for budgetary policy when we had a deficit of 20 billion on the public budget. Now we have 10 billion in surplus. As a society, you can make different choices. My plea is aimed at achieving that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u86	No more reruns, Mr. Faster.
ParlaMint-NL_2019-10-02-tweedekamer-6.u87	No. If we looked back far, I'd be talking about the zero line that the Rutte/Asscher cabinet pulled through. Now I'm just talking about the election programme that the PvdA put down and the credit transfers from the Central Planning Office, which also included a surplus.
ParlaMint-NL_2019-10-02-tweedekamer-6.u88	I have just explained that we are in favour of a wide-ranging increase in salaries in education, that we are still in favour of this and that we are now in favour of giving extra wage increases to those primary school teachers and teachers in secondary special education.
ParlaMint-NL_2019-10-02-tweedekamer-6.u89	I don't want to go far back in time. I want to go back to the last year the PvdA was about education in our country. Then the Education budget was 37 billion. Next year, Minister Hoekstra will give 44 billion to education, i.e. 7 billion to it. 1.9 billion extra for education. We had to close the hole of the Rutte/Asscher cabinet before we could put money in it. So 1.9 billion extra and 7 billion since then. Really, modesty would adorn Mr Nijboer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u90	With D66, and by the way also with the Christian Union, Carola Schouten did so at that time as financial spokesman for the Christian Union, I was very committed to investing extra in education in financial difficult times. We did, and I'm still holding that plea. I remember Lodewijk Asscher being addressed here in our missionary period. People didn't think he was able to abuse his outgoing position in the cabinet because he refused to sign the education budget that was below par. That is the line we are going through now, yes. You don't have to be surprised.
ParlaMint-NL_2019-10-02-tweedekamer-6.u91	Please continue.
ParlaMint-NL_2019-10-02-tweedekamer-6.u92	So next year's budget is lower than this year's. That is very strange in these times, when there is also inflation and there is a need for more investment. That's why I'm so focused on this. Mr. Chairman. I was living. There the cabinet does something, but if you're honest it's less than announced beforehand. A large fund of 2 billion was promised. If you add it up in 10 years, that's right. Then there's $2 billion available. But assuming the way we normally talk, it's just 100 million a year, and also temporarily, for ten years, and four times 250 million. Indeed, part of this will be spent on nitrogen, as Mr Snels has pointed out in today's debate. Mr. Chairman. Well, that's a little shrill when it comes to what it takes. If you look at next year alone, I ask the Minister of Finance there to confirm that the landlord levy is ultimately higher than this year. Is that right, despite the $100 million? Does that mean that there will be less building next year instead of more affordable rentals? That's what we're talking about. Is that enough if you know what the problems of tenants are right now? A quarter can hardly pay the rent anymore; a quarter of the tenants can hardly make ends meet. Investors take over the cities. Starters don't get in anymore. Of course, investigations have been announced, but what's really happening? It keeps going on and on. I think it is a good thing that the cabinet is doing something, but I think it does too little to solve the real problems of the people. Mr President, I come to the municipalities and municipal facilities. I see that Mr Slootweg has another question.
ParlaMint-NL_2019-10-02-tweedekamer-6.u93	Yeah, he just came in. Mr. Slootweg.
ParlaMint-NL_2019-10-02-tweedekamer-6.u94	I was a little worried about that, because my teaching point was actually an important point. We were just having a little debate about it, and I may not be very flexible about the 100 million. It is a lot of pieces to read and sometimes I do not always have it ready, but I understand that this EUR 1 billion boost can be used flexibly. I do not know exactly what you want now, but I think what you are actually proposing is possible.
ParlaMint-NL_2019-10-02-tweedekamer-6.u95	I am very much in favour of this, because I would have understood that in the case of the four times 250 million, with the ten times 100 million actually in the budget. But is it true that the cabinet can promise that next year's landlord tax will go down by 250 million and the next three years as well? That is my request; that is also a very simple request. That was my proposal, so I am pleased that you want to go along with it.
ParlaMint-NL_2019-10-02-tweedekamer-6.u96	But I think the proposal is a cabinet proposal, so I need...
ParlaMint-NL_2019-10-02-tweedekamer-6.u97	No, there's ten times 100 million in the budget, in the millions we got.
ParlaMint-NL_2019-10-02-tweedekamer-6.u98	It says, on average, 100 million. I am just reading out what the letter says: the EUR 1 billion boost can be used flexibly over that period.
ParlaMint-NL_2019-10-02-tweedekamer-6.u99	I'm fine with it. I'm in favour of that. But there is just a series of ten times 100 million in the budget that we have been sent, and that is what we are talking about today. If that is different and can be 250 million four times, I think that is a good thing. As far as I am concerned, we will do even more in the next cabinet period, where we hope more will be done for living.
ParlaMint-NL_2019-10-02-tweedekamer-6.u100	We all want to do more for living, I guess. It would also be nice if there were indeed people who could realize the plans. Let us pass on this question, because then it will be clear, even to the cabinet, exactly how that is in the rules.
ParlaMint-NL_2019-10-02-tweedekamer-6.u101	So that's a question to the cabinet, through Mr Nijboer?
ParlaMint-NL_2019-10-02-tweedekamer-6.u102	Yeah, that question was already asked. Mr. Chairman. I come to congregations. Because because this cabinet has not spent its money, which is included in the budget for this year, municipalities now have a huge problem. In the middle of the year, they have to announce massive cuts at once. I do not think this is so much a pity for these municipalities, but I do think it is a great concern for the inhabitants, because libraries, swimming pools, village houses and social services are threatened with destruction. I would ask the cabinet to do something about this, because these municipalities really cannot help you failing to honour your promises made in last year's Million Note. Mr. Chairman. The final point on the budget is the workload and appreciation in the broad public sector. People who work in care and do important work there. Police officers, of which more were promised but which are currently less on the streets than before. That's something that needs to be dealt with. We have also earmarked 2 billion for this in the counter-budget that we have drawn up together with the SP and GroenLinks. Mr President, I come to the Wopke Wiebesfonds. What I, as a parliamentarians, always look forward to most when reading the Millions Note, is Chapter 2. Such a Millions note has been leaked nicely, it's popped up, it's sworn out in the media, so there's not much news in terms of investment anymore. But in chapter 2, the macroeconomic analysis of the cabinet reads: how does the cabinet view financial and economic policy at this time? I was looking forward to that, because I heard about this fund and thought: there will be a best analysis, as Groningers say, underneath it. What happens in a long-term low-interest environment? What do you have to invest in to keep the future earning capacity of the economy together? How do you prevent inequality from growing further in the world, with all those companies that are getting richer when the mbk is sometimes difficult to get along with? Actually none of that, none of that! An investigation of a fund is announced. Lessons are not even drawn from previous experiences with the Economic Structure Strengthening Fund. I expected: we learned these lessons; it was founded; therefore we do not do this. I even heard thoughts about a sovereign wealth fund. Officials seem to have already travelled to Singapore to learn from that. But that can't be the answer of this cabinet, a sovereign wealth fund? That's borrowing money to invest abroad. The Netherlands as one big hedge fund. If that's the bet, please throw your big plans right into the trash. Mr. Chairman. When you think about what's needed for the economy, everyone you talk about actually says that the most important investment in a well-educated population is in education and research. We have just had quite a debate on this. The PvdA doesn't think that's enough. But if you do, and if you think that's important, Minister Hoekstra also said it in his party speech: that's very important, then there must be structural money for that, and not occasional. But none of that analysis in the Millions note. Mr. Chairman. Then it is shabby to have to read in the media that tens of billions will be available for the distant future. That amount is nowhere in the Millions Note, in which Parliament should be informed. We should simply read that in the newspaper; with no thought, with no purpose, with no solution, just a claim of who owns this fund. Under a worse star, this fund could not have started. Of course, there are public needs and investment is needed, but start with what is needed and with an analysis of them. And then come up with a solution. This is the opposite. Mr. Chairman. I come to budgetary policy. The Council of State is cracking critical notes on that. To be honest, it has also become quite inimitable for budget speakers. I have seen three principles of Hoekstra's budgetary policy. The first principle is: you say one thing, but you do the other. Example 1. "I think the Compliance Act is very important," "understanding quality," "budgeting," "we're not going to make plans until we've really thought it through, and I'm going to stick with ministers." Announce a large investment fund, with no analysis at all. I don't know how you want to do it. Example 2. "I'm running trendy fiscal policies." This means that when the economy is at its peak, you don't have to cut back in bad times, causing unemployment to rise. That's what we stand for, that's what we feed. But what does the Cabinet do? That brings forward 3 billion relief at the moment. That is the opposite of trendary fiscal policy. Hence the debate on the salmon standard. Mr. Chairman. The second principle is that I do not do what is allowed under the budgetary rules. Last year we had a whole debate in the Lower House about the government's over 5 billion under-utilisation at that time. I made a strong plea at the time to fill in the targets that were still in the various budgets and to cover the interest rate increase for students. The increase in interest rates was already on the verge of dying in the First Chamber; anyone who could see that coming a little bit would have seen that coming. That was allowed under the budgetary rules, but Minister Hoekstra sat there like a Colin of the twenty-first century: reducing debts and building buffers are the most important thing, so we're not going to do that. Mr. Chairman. The third principle: what is not allowed, we do. We are putting the spending frameworks and burdens together; we are financing it with each other. The budgetary frameworks are being adjusted on five points, namely five points. This happens even for relatively small amounts. And then we say to the Chamber: but if you want to cover something and if you want to spend extra money, then you have to respect the budgetary rules, because you can't deviate from that. This does not improve the credibility of budgetary policy. I hear the minister muttering, but I'm really worried about that. Mr. Chairman. I'm getting on the IRS. I would like to highlight three elements on which the PvdA Group would like to see a change in the cabinet. First of all, the reduction in the tax on profits for large companies to 21.7%. When you think about the economy and who pays the taxes, you always have to think about where we make that money. Mrs De Vries had a lot to say about this. What are the problems in society and what is a reasonable tax that we all have to impose in order to pay our public services? Mr. Chairman. That analysis leads me, and I think even the Prime Minister, who is from the right, to the fact that the profitability of the big Dutch business is not the big problem. That really is not the macroeconomic problem at the moment. This is because people's incomes are lagging behind. So I find it inimitable that 2.4 billion is earmarked for it. That is a tax issue, but it is one of the biggest expenditures, one of the main priorities, of this cabinet. A second reason is that we are also taking the lead in Europe in the race to the bottom with regard to profit tax rates. If we do not want that, if we want companies to pay their fair share, then we as the Netherlands should not participate. Then we should not lead the way, because then France and Belgium will follow and Mrs De Vries' middle incomes will eventually pay the bill. So we shouldn't want that. In short, my appeal to the cabinet is: not only push through that reduction for a year, but take it completely off the table. Mr. Chairman. Then there is the second point on which I ask the cabinet to amend the Tax Plan. The main objective of the tax system is, of course, to raise money to pay for our public services. But it is also an instrument for fair income policy. Everyone recognizes that. As far as the PvdA is concerned, there really is a fundamental problem with the tax plan before us. You can see that the highest incomes benefit the most and the lowest the least. The cabinet seems to really embrace the theory of trickle-down economics: if things are going well with the workers, then the rest will go along. But that theory is completely out of date. It doesn't hang the PvdA. It's not a good theory either. You have to do something extra to get lower incomes to come along and benefit from economic growth. When you look at the flat tax, you see that the cabinet does exactly the opposite. The rate for the highest incomes goes down at one stroke by 2.25%, to 49.5%. That's what the Cabinet pays a lot of money for. That's what's gonna happen. And the rate in the first disc, where the people with the lowest income are in, goes up by 0.7%. That's exactly the wrong move. That's what you see in the purchasing power picture. I don't care about the numbers behind the decimal point. I agree with everyone that politics is not about that. But here's what I'm talking about. The most difficult people, such as the tenants, the disabled and the elderly, are on average improving €20. The Nibud figures showed that there are also people who only improve €6 in the month. With the highest incomes, that is €200 in the month. You can't expect a social-democratic party to sign it. I could have done those negotiations for years, and I never would have accepted this as a result. Mr. Chairman. I have already mentioned the third point. That's the landlord's tax. The problems of tenants are now increasingly shared in the Chamber. Only the VVD says there's no problem. You don't get there by raising taxes a little bit less. That is what the cabinet does in the end, but then there are not enough affordable social housing. Then the rents cannot be sufficiently moderated. On this point, therefore, we ask the cabinet to make an extra effort. Finally, Mr President. The PvdA is a reasonable opposition party. We will therefore continue to make proposals. We have done so with the counter-budget, together with GroenLinks and the SP, but we will also continue to make proposals ourselves to improve and adjust the policy. My own experience from the past is also that your policy and your legislative proposals will improve if you accept proposals from colleagues, including opposition parties. It can get better sometimes. We'll keep doing that. We will support the proposals that make the Netherlands stronger, that improve education, that improve investment in the quality of the public sector and that make the Netherlands fairer. If the opposite happens, the PvdA Group will not support the proposals. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u103	It's a good practice for the PvdA to break election promises. Now they're doing the same thing in the opposition. I saw in the counter-budget that one's own risk is halved, while the electoral programme states that it is completely abolished. Why do you break your promise there again?
ParlaMint-NL_2019-10-02-tweedekamer-6.u104	It's very simple. The election program is in four years. We want to eliminate the whole risk in four years. In a budget, you cannot include everything you want to achieve in four years. So we're taking one step towards halving. We recorded them last year, but last year of course it didn't happen. The following year, we would take the second step towards abolition. That's completely congruent. I thought you'd come up with a good painful remark, but this is just right.
ParlaMint-NL_2019-10-02-tweedekamer-6.u105	I understand the PvdA doesn't feel painful anymore if they don't keep election promises. In that respect, the lot has a thick skin. But do I see from this that you say that next year, in the next counter-budget, the own risk is completely gone? Then what do you do with the student debt system?
ParlaMint-NL_2019-10-02-tweedekamer-6.u106	With ChristianUnion, D66 and other parties, we are in favour of really adapting the current student loan system, because students get way too much debt. That's what we're gonna try to do. With regard to one's own risk, you can't do everything in one year. That's why we do it in four years. If the cabinet is not going to halve its own risk this year, it looks like it will, of course, be unable to take that step in one go next year. Then, just like last year's counter-budget, there will be another step towards abolition. It is also logical in the budgetary system that you do not include everything you want to achieve in increasing years. 'Cause it's true, isn't it? We've got a cover budget. Sometimes you have rising income and you can also step up in intensification. That's why you can't do everything at once. If the cabinet doesn't take half that step, it'll have another half ring in it next year.
ParlaMint-NL_2019-10-02-tweedekamer-6.u107	Finally, Mr Azarkan.
ParlaMint-NL_2019-10-02-tweedekamer-6.u108	They're wonderful words to say that you just don't realize what you write in your election program, even in a counter-budget. Even in the opposition, you're being cheated by the PvdA.
ParlaMint-NL_2019-10-02-tweedekamer-6.u109	This was rehearsed, because I think I have given adequate answers.
ParlaMint-NL_2019-10-02-tweedekamer-6.u110	I know Mr Nijboer as a sound financial spokesman, but I must honestly say that I think the opportunism about education and the budgetary rules are a bit far-reaching. Another point, as far as I am concerned, is the following. This morning it was announced with a lot of bombs that the PvdA will vote against all the government's tax plans. I am curious whether the PvdA is going to vote against increasing the healthcare allowance, against reducing the tax on the energy bill, against companies that are going to pay more for energy in favour of consumers, against the working costs of SMEs, against indexing the voluntary allowance, against raising the bank tax, against introducing a withholding tax on interest and royalties. Is that right?
ParlaMint-NL_2019-10-02-tweedekamer-6.u111	That is up to Mrs De Vries. I have just outlined three clear conditions, improvements, which are necessary for the PvdA to make movements and to support it. I'm happy to support it. I'm in politics to do something. I want to achieve a fairer tax system, more affordable rentals and no reduction in the tax on profits. We have 30% profit tax in our counter-budget. To ask me to go along with a reduction is too much to ask. I would like to talk about it, so it is up to Mrs De Vries whether she is seeking wider support in the Chamber. The minister's laughing, but he hasn't gotten the proposal through the First Chamber yet, so we'll see. It is up to Mrs De Vries to make that move. If that is not the case, then our position is clear. I think I have highlighted my three reasons very clearly.
ParlaMint-NL_2019-10-02-tweedekamer-6.u112	I understand very well that you stand for certain things and that you disagree with all the plans. However, I must say that I wish Mr Nijboer every success in explaining to him that he did not vote for a reduction in the energy bill and for raising the healthcare allowance.
ParlaMint-NL_2019-10-02-tweedekamer-6.u113	As a Social Democrat, I find it not at all complicated to explain that I do not support a tax plan in which the highest incomes get ten times more than the lowest. A Social Democrat will never support that in his life. We have never tabled such a budget.
ParlaMint-NL_2019-10-02-tweedekamer-6.u114	Thank you, Mr. Nijboer. I now give the floor to Mr Bruins on behalf of the Christian Union.
ParlaMint-NL_2019-10-02-tweedekamer-6.u115	Mr. Chairman. After a remarkably beautiful speech on Prince's Day, Minister Hoekstra added a little more to it on Sunday. In his church he held the King's talk about the double responsibility of a wealthy young man who was ordered to sell everything, to distribute the proceeds among the poor and thus to acquire a treasure of eternity, and thus also about the double responsibility of this Minister of Finance and about the double responsibility of me as a popular representative, financial spokesman and thus his controller. In this sense of double responsibility that we are not here first of all for ourselves, but because we want to do the right thing for the other, I am discussing three theories today. Number one. Returns from the past do not guarantee the future, but achievements from the past, on the other hand, are the best basis for policy. Policies are often formulated on the basis of models, estimates and dogmas, but they are often one-sided. An example. The ECB pursues price stability with inflation below but close to 2%, but inflation has not exceeded 2% in the euro area for years. Core inflation hasn't really recovered from that for two decades, no matter what the ECB does. It is time to face reality and let go of that model 2% fetish. DNB director Knot suggested a bandwidth between zero and 2% last week. That's fine. This prevents pension-destructive negative interest rates and reform-distorting buy-back operations. I know that Minister Hoekstra does not want to influence the central banks, but he is the one who co-determines the mandate and mandate of the ECB. Does he wish to support this message and convey it to his European colleagues? The second example in terms of realisation: where has the Netherlands completely failed in terms of investment in recent years? Exactly, and it has already been mentioned by Mr Nijboer, for example: knowledge, innovation and infrastructure. A lot of fine words when the top sectors policy was introduced in 2011 but in reality it was an empty shell because under Rutte I the specific innovation policy at Economic Affairs was completely reduced. Many fine words in the first two Rutte Cabinets about piety, but in reality about 25 billion were cut out of the infra fund and despite the impulse of this cabinet on infra, the fund was practically programmed up to 2030. What the Netherlands needs is a strong investment agenda. Let us prepare our country as viceroy Joseph better for lean years. Around 1960, Minister of Finance Lieftinck gave the wise warning about gas revenues: what we should not do is pay infinite expenses from that finite source. The same applies to borrowed funds. We are now 60 years ahead and 60 years wiser. I want to be able to rely on the fact that, if this investment agenda is to come about, frankly, its name does not interest me, then it is about finite, one-off investments in knowledge infrastructure and infrastructure and thus sustainable, profitable investments for the next generations. Does the Minister share this view? And yes, let politicians determine the frameworks in advance. Investing in the future, not the present. Investing all over the country, not just in the Randstad. Investing in knowledge and infrastructure, not in structural expenditure. Investing in innovative forms of transport, not in regular maintenance. Investing in the future of our children, not in the nostalgia of the 20th century. Yeah, let's fight a little political robbery over these conditions and let's all do so under democratic control, but let's have the courage as a political courage to let go of the substantive process afterwards for the sake of the future of our country, so that we don't have all kinds of gripping departments to cover structural spending again with one-off money. Mr. Chairman. Our country is on the verge of great transitions that are all interrelated. For example, urban construction means better and faster, less or maybe even less parking spaces, but also less emissions, less nitrogen deposition. This is good for housing, good for the climate and good for the quality of life of the cities. Actually, it's good for everything and for everyone. The major cities and regions outside the Randstad are bursting with concrete plans. But for now we drive here in The Hague with our buses and trams on average still with a snail corridor of 18 km/h. That's barely harder than the horse tram from two centuries ago. The trains still run less than 200 km/h. If you get to choose between the car, which is not going to be faster than 100 km/h, and a train that is at least double-driving, then the choice is made this way, isn't it? The second thesis: the absurd has become the new normal. I have already mentioned negative interest rates and quantitative increases. Last year I talked about the effects of the bubble on the housing market. But if it seems absurd to have become a rule somewhere, then it is the marginal tax burden. Last Friday, in response to the Stoffer motion, the Secretary of State finally sent the inquiry into marginal pressure to the Chamber. What everyone already knew, we read back in black and white: different groups have to deal with extreme maximum pressure. This has to do with how well we provide low-income households in our country, but also with many injustices in our tax system. This cabinet halves that absurd marginal pressure. Apparently, the measures in the coalition agreement inspired the officials in their investigations, but frankly, I found that a little disappointing as well. For where is the variant to decentralize part of the burden on labour to tax on the house, or to shift it to other tax sources? Where is the variant to reduce allowances in exchange for higher benefits and a higher minimum wage, so that the marginal pressure at the bottom of the income building can get a little higher and lower elsewhere? Where is the out of the box thinking of the officials? I think there was plenty of time for that in the past year, wasn't there? At the very least, I want to hear that these variants will be included in the building blocks. I'd like a response from the Secretary of State. My third and final theorem: do not reduce differences by increasing differences elsewhere. Let me begin by complimenting the Snels/Nijboer initiative and its adoption by the cabinet, which reduces differences. But on the subject of differences, I have two things to say. All the tax reform opinions of the last ten years say: lower tax rates by broadening the tax bases. In the case of corporate income tax, the cabinet continues to broaden the tax base. But the promised reduction of the Vpb is failing this year. Since the cabinet already considerably increases the burden on the business community, I wonder if you can do that without losing the stamp of trustworthy government in the entrepreneurial Netherlands. How do the rulers see that? What's really bothering me is this. Although the reduction of the self-employed deduction broadens the income tax base, in return the already high labour discount is increased by billions. By 2020, the employment discount will cover 21 billion. It is understood that this had perfectly fit under the thesis that the absurd is the new normal. Does the Secretary of State agree with me? Why does the government opt for lower tax rates for all Dutch citizens when it comes to reducing the burden on citizens? How does this relate to the objectives of the building block path in order to achieve simplification? And what does this do with the marginal pressure? Does the cabinet still intend to shape the increase in the working discount in such a way that, in particular, the roof structure is extended? I'd like a response from the Secretary of State. Can the directors still guarantee that the gap between one and two earners will not increase during this cabinet period, despite the measures just mentioned? After all, this cabinet has a policy commitment that the already large purchasing power differences between one and two earners do not increase any further. That seems to be almost successful next year, but not at all. I call on the Cabinet to make up for this next year and at least not to widen the gap. How is the cabinet going to do that, now that the general tax rebate and the labour rebate are being increased so enormously, when we know that these are precisely the difference magnifiers? I'd like a response. Mr. Chairman. Finally. I started with the Minister's King's speech about that radical mission of the rich young man. When you have money, you have friends. When you spend money on good, you create eternity value. I hope that both rulers take this beautiful story of the Gospel to heart, according to Marcus, when managing finances, when smoking out the mailbox companies, when maintaining our pensions, when building a prosperous Netherlands for our children and when designing a fairer tax system. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u116	Much of what Mr Bruins has said about our tax system appeals to me, even when it comes to the sole earners, because there is this very high marginal pressure. But Mr Bruins is also responsible for the choices this cabinet has made. The point is that the first disc is going up again and the top fare is going down. Then you see that all the marginal pressure, all the phasing-out routes of tax rebates including the surcharges, are put into an even smaller trajectory. We're only making the problem bigger. Then why do you choose to do that?
ParlaMint-NL_2019-10-02-tweedekamer-6.u117	Mr Snels knows that, as a Christian Union, we are basically in favour of broadening and lowering tariffs. In this coalition agreement and during this period beautiful things are happening in that area. Those are nice first steps. The burden on citizens is going down; the burden on businesses is going up de facto. All Dutch people see that this tax is getting better and better. But at the same time I also say that it is a first step and I would actually like to go further. I can go with Mr Snels in that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u118	Sure. Let us spend a few weeks on the tax system and then we come, I think, with a fairly minimal budget for better choices. But then the question is: why the first disc rate up? That's not consistent with your story, is it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u119	There are a lot of beautiful things that happen; there are also things in this Tax Plan that are less beautiful. And those are certainly not all Christian Union choices. The whole package looks pretty good. We are extremely pleased about the reduction in the burden on citizens of EUR 3 billion. At the same time, I would prefer to see a simpler tax system, not to put it all into discounts and actually spend it on reducing charges for all Dutch people through a tax rate reduction. That is not the case at the moment, but the first steps will be taken in the coming years. And I'm very happy about that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u120	The Christian Union is right to note that the gap between one and two-earners with this budget is not getting that much more than a little bit bigger.
ParlaMint-NL_2019-10-02-tweedekamer-6.u121	Yeah, a little bit.
ParlaMint-NL_2019-10-02-tweedekamer-6.u122	And he's yelling at........................................................................................................................................................................................................ I'd say one more scoop on top, narrow that gap a little bit. But what if the government doesn't? What will Mr Bruins do next year?
ParlaMint-NL_2019-10-02-tweedekamer-6.u123	I want to hear from the Minister that he will. That's the answer I expect from him tomorrow. If he says other things, I'm gonna start frowning my eyebrows first, and then we're gonna take action.
ParlaMint-NL_2019-10-02-tweedekamer-6.u124	That's where we're gonna stick together. And I'll hold you to that. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u125	I have a question about income policy. The Christian Union is very concerned about people who are having a hard time. We also got a good debt section in the government agreement. If we want to make proposals to give the people who have the least, a little extra, because they are left behind in relation to other income groups, is that what Mr Bruins is talking about?
ParlaMint-NL_2019-10-02-tweedekamer-6.u126	Let me begin by saying that it is good to see that all income groups are improving according to expectations. I find it rather difficult to put it that way here, because we always see that these purchasing power plates have an enormous appeal. I would prefer to draw less attention to this than more, because so much is changing over the course of a year. At the same time, we also know that many of the effects in the tax system are percentage; x percent of a low salary is less than x percent of a high salary. There are a few realities in it that make you a little despondent. At the same time, we can see that everyone is in the plus for next year. I find that very encouraging to see.
ParlaMint-NL_2019-10-02-tweedekamer-6.u127	But that's not really an answer to my question. I recognize everything that Mr Bruins has just said, but my question was: is Mr Bruins in favour of doing something about it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u128	In any case, I am going to look favourably at all the proposals of the PvdA, she said that we are already, of course, very satisfied with what lies ahead, given that all the Dutch are in the plus according to the expectations and the calculations. But for good ideas, there must always be time to look at them.
ParlaMint-NL_2019-10-02-tweedekamer-6.u129	A fine plea for further relief. That's consistent with the story I kept. I think we have also made good agreements on 3 billion additional burden relief. I said in my story: let's also look at the windfall formula. We could see how you could re-introduce it, how you could not only pay off the public debt, but also how you could use it to reduce the burden. Then, of course, you always have to watch how to arrange it and how to arrange it. What would the Christian Union be like?
ParlaMint-NL_2019-10-02-tweedekamer-6.u130	It's quite an exciting idea to agree with each other in advance on how you're going to distribute windfalls when there are windfalls. At the same time, I'm a little hesitant to record such a long year, because every time needs its own wisdom. If you know how volatile the Dutch economy is, something that seems to be jauching in the plus right now, can cause a damper in 2021 or 2022, then I don't know if you want to record those kinds of things strictly long-term. Talking to each other about what's wise if you have a windfall, we should definitely do it, but at the rate of recording I would have a spare.
ParlaMint-NL_2019-10-02-tweedekamer-6.u131	Of course, we agree on this kind of thing every cabinet period, so it wouldn't be for eternity. I would say, then, let's agree for the rest of this cabinet period.
ParlaMint-NL_2019-10-02-tweedekamer-6.u132	That is something that can certainly be considered. We're about halfway there. At the second half you go to the other side of the football field and then you can talk to each other about what the stadium looks like on that side.
ParlaMint-NL_2019-10-02-tweedekamer-6.u133	Mr. Azarkan, you do know how to play soccer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u134	Fair, I might add. I'd be happy to do it. We're back in competition tonight.
ParlaMint-NL_2019-10-02-tweedekamer-6.u135	Mr. Azarkan can play football very well.
ParlaMint-NL_2019-10-02-tweedekamer-6.u136	That's why I'm saying it.
ParlaMint-NL_2019-10-02-tweedekamer-6.u137	Don't flatter too much, because I had prepared a nice interruption.
ParlaMint-NL_2019-10-02-tweedekamer-6.u138	But you forgot.
ParlaMint-NL_2019-10-02-tweedekamer-6.u139	No, I'm not. I'd already shared it. Last year I heard a nice story from Mr Bruins about Joseph and the grain barn. Every time has its wisdom. That was applicable at that time, but now I wonder how Mr Bruins, from Joseph's perspective, looks at the way of budgeting this year.
ParlaMint-NL_2019-10-02-tweedekamer-6.u140	That's a pretty good question, because this cabinet is pretty generous. The Christian Union always wants to be very careful and prudent in dealing with the national finances.
ParlaMint-NL_2019-10-02-tweedekamer-6.u141	And the answer is?
ParlaMint-NL_2019-10-02-tweedekamer-6.u142	The answer is that from 2021 onwards, the big plus that we see on the rich budget is already threatening to go to a zero or even a minus. So if you want to spend, you have to spend it mainly on one-off investments and not on structural expenditure. Everything that was in structural space is spent. We do have a very generous Minister of Finance this year. It is good that we can and can, but let us be very aware of what a moving economy we are in.
ParlaMint-NL_2019-10-02-tweedekamer-6.u143	A little sharper, though. That was a nice story last year, but that's it. I will look at what Mr Bruins has done from his party to ask the cabinet in this case to be really more economical, to save a little more for those more difficult times. I notice that he says a little euphemistically "very generous," but that they have actually just spent too much money.
ParlaMint-NL_2019-10-02-tweedekamer-6.u144	I actually think it is a very nice compliment from Mr Azarkan that he actually says: 'This cabinet takes very good care of the public sector'. And it is. At the same time, we still see the cautious Hoekstra we have seen in recent years. It is very alert that occasional space is used for incidental expenditure and structural space for structural expenditure. If there were any structural space next year, that would be wonderful; that means that the economy is still thriving, and I stand with Mr Azarkan at the front of the microphone to see what needs to be done with it. I note that the sovereign debt is still projected to go down, and that's fine with me.
ParlaMint-NL_2019-10-02-tweedekamer-6.u145	To begin with, it is not. In my view, public debt is going up to 402 billion in 2021, 397 billion this year, and 397 billion next year. So I think it's just going up.
ParlaMint-NL_2019-10-02-tweedekamer-6.u146	I'm talking about percentages.
ParlaMint-NL_2019-10-02-tweedekamer-6.u147	I would ask Mr Bruins when was the last time he paid by percentage. I think we're just paying with pennies. So it's really about the government debt going up. We have thought together that this is a kind of ratio, but in the end it really goes up and our next generations, our children, have to cough it up.
ParlaMint-NL_2019-10-02-tweedekamer-6.u148	Fortunately, I also called on the Minister to invest in the future. I assume that our gross national product will continue to increase, and that is ultimately the percentage of gross national product.
ParlaMint-NL_2019-10-02-tweedekamer-6.u149	Let's get to the last point. I heard Mr Bruins say that he was happy that everyone was making progress. Then I wonder how he solves the problem of pensioners in metal, because they do not improve. They're in the point cloud somewhere else.
ParlaMint-NL_2019-10-02-tweedekamer-6.u150	Pensions are a very difficult problem. We have many debates about this in this house, and rightly so. Fortunately, we have the AOW, the first pillar, which the government is actually about, and the second pillar, pensions. I have talked about this absurdly low rate of interest almost half of my contribution to the debate. It is important that we do something about this as soon as possible, because that low interest rate, that negative interest rate, is artificial. That is a policy choice, as we heard from the experts in the technical briefing last week. That won't be necessary. As soon as possible, we must also ensure that normal inflation is restored and that normal interest rates are calculated so that pension funds can catch their breath.
ParlaMint-NL_2019-10-02-tweedekamer-6.u151	Thank you, Mr. Bruins. I now give the floor to Mr Van Raan on behalf of the Animal Party.
ParlaMint-NL_2019-10-02-tweedekamer-6.u152	Mr. Chairman. I'm sorry I was late.
ParlaMint-NL_2019-10-02-tweedekamer-6.u153	No, but you greeted everyone. I think that's very neat.
