ParlaMint-NL_2019-05-28-eerstekamer-14.u1	I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u47	No, of course, because then we'd get in the rain, just to stay in weather terminology. Of course, it is very important that we get an inventory of where the asbestos is. A national asbestos tracking system is going to keep track of where the asbestos has been repaired and where it has been taken afterwards. In addition, the landfill is excluded from the waste levy. Individuals are allowed to bring it for free if it's packed. Then it will be taken free of charge at the landfill. On all these points, too, we must ensure that the system is correct and waterproof. Some of you referred to State Forestry. That signal is not known to me, but we will certainly discuss with State Forestry about where they will see a possible risk of leakage. Indeed, if we carefully remove it, then we must also ensure careful processing afterwards. There too, all parties cooperate well with each other. Mr. Chairman. If we look at the cost side, we have just established that it is related to the capacity in the market. We will see if we can increase that capacity through simplification and innovation. If you have a certain picture of the cost picture, we are talking about what to do with the funding possibilities. I'll get to that later. But first, about the cost. A number of you have said that costs are rising. Whoever knows the most about that, VERAS, has also looked into it. They see a bit of an increase in costs, but not a radical increase in costs. Of course, there are always examples of here or there, but they give an average picture and I would like to join with that. On the other hand, it is also important to give us an account of what it means when you have a house with an asbestos roof that you do not clean. I would like to give you the example of Lelystad, the district of Tjalk. I asked the Land Registry for an example of what can be seen from the selling price of houses. Now you see that the effect is yes or no? That's a nice example of a neighbourhood with a "Funda" that stood on exactly the same houses, where the selling price varies between €170,000 and €175,000 and is not repaired between €125,000 and €150,000. Of course, there must have been a slightly nicer bathroom in one of them than in the other, but if you put a few houses together, you can really see that there is a difference between them. Of course, that makes sense, because if you buy a house yourself and you know that there is asbestos in it, you will have to think about the cost of clean-up. You're gonna take that in the price you're willing to pay for it. This is only going to get worse in the years to come, because you know that these roofs are getting more and more resistant, which may increase the risks and increase the cost of clean-up. So the risk that this will have a greater impact on house prices is something that we must of course include in the solution that we can offer people who might otherwise, in twenty years' time, be in a situation where there is no help and where the problems, including the financial ones, have actually only gotten much bigger.
ParlaMint-NL_2019-05-28-eerstekamer-14.u48	If dealing with an asbestos roof does something about the house price, has the Secretary of State considered what its impact could be on the autonomous clean-up? 'Cause I can imagine if you, as a homeowner, have the money you think it's better to do it, given the value of your house. Did you think about that, too?
ParlaMint-NL_2019-05-28-eerstekamer-14.u49	At the autonomous pace of the clean-up, of course, this kind of thing is included. You're assuming that people in the economy make certain trade-offs. But what you see is that the people who are actually hacking into that investment and wondering if they can afford it out of their small savings are not going to get it. Those people will be left with a problem that they cannot solve themselves. The step I would very much like to take with this Chamber is whether we can help those people from the disadvantage they are in to a plus situation, in which you get them off the asbestos roof and in which we make a link with sustainability, which also reduces the energy bill of those people. We do not leave people with a house with a roof that means substantial depreciation, because they cannot get a loan because they cannot be eligible for it from the banks. We are talking about these people, and we could help them with the system that we could actually put together, coupled with this legal basis. I shall deal with this later. It is also good to have a picture of the costs we are talking about. Sometimes the amounts go all the way. It's good to know what we're talking about. Reconditioning costs approximately between €9 and €30 m, depending on the size of a roof. The removal of an asbestos roof is about 25% more expensive than removing a normal roof. Because at some point, you normally have to replace a roof, just as well as you might have to change your window frames. Everyone knows: if you have a merchant house, you have to take into account maintenance at your home at some point in time. Of course, the roof is always a major cost, which we all postpone as long as possible. We could show that kind of behavior at that kind of big expense. But if you look at the extra cost of removing an asbestos roof versus a normal roof, you can see that that saves about 25%. Of course, when you set such a deadline, we ask people to remove something earlier than usual. But then it is important to know that all these roofs are already at least 30 years old and we are 50 years after the peak in delivery. So that means that for a lot of those roofs that moment when something has to happen is getting very close, or actually has already passed. Of course, prices per metre depend on size and circumstances. Some of you have referred to the slate roofs. That is indeed a specific category, a small group, for which it is indeed more expensive. So there are indeed situations where you can say: here is a specific problem. We must pay particular attention to this, so that those people do not feel that they are simply caught in a trap. So we have to do this through customization and support and with a programme-based approach, through coordination, through the programme agency, through a national fund. These are points I would like to mention.
ParlaMint-NL_2019-05-28-eerstekamer-14.u50	I hear the last comments made by the Secretary of State, who says that we are going to support the owner/inhabitants with asbestos slates, the problematic cases. You said the same thing in the House of Representatives. But I hear from that side the very pragmatic question of what amount they can get. In my first term, I proposed that this should be linked to what has happened in the agricultural sector. How do you feel about that? Are you willing to offer a subsidy in the form of around 40% of the costs for that category of housing in the Netherlands, we are talking about an estimated 5,000 homes in the Netherlands? How do you feel about that?
ParlaMint-NL_2019-05-28-eerstekamer-14.u51	The money we spend, of course, is always taxpayers' money. So you have to make sure it ends up with those people who really need it. Accross the board I see this group as a group that really has a lot harder time than the other homes, because the cost of this is just higher. I am not in favour of saying quickly that there will be a general 40% scheme, but what I do want to do is to ensure that the fund we have pays particular attention to this group. If this group needs something extra, there is also extra money. I have a budget of 5 million extra available for asbestos rehabilitation, which comes on top of the money I have available for the fund. I really intend to focus on those specific cases in which we ourselves see that the fund in the scheme in which we have it fits very much in there if possible would not provide sufficient outcome. So I want to bet on that, because I cannot rule out the fact that, besides this group that we now have on the retina, there are other cases that would just fall between shore and ship if we didn't have some kind of hardship pot. I would like to leave it to the person who manages the fund, the Dutch Housing Foundation, specialising in assessing what you can and cannot actually ask of people, to assess whether an additional contribution is needed. But I'm putting extra money aside for that. 'Cause I get the concerns, but we shouldn't be giving subsidies to people who don't need it, so we have money for those people who really need it.
ParlaMint-NL_2019-05-28-eerstekamer-14.u52	I can hear you using the words "suitable" and "program agency." I am not talking about the money, because you have answered that question. But all the individuals we talk about, written or in person, I never really hear about that programme agency. Is that working yet? How massive is that working already? We read that it is there, but in practice we do not really hear so much about it.
ParlaMint-NL_2019-05-28-eerstekamer-14.u53	That program office is there, absolutely. This is also aimed at achieving that common approach. If the ban is in place, a further acceleration will occur. Then I would like to further strengthen the programme agency, among other things to support municipalities in, for example, a district-oriented approach. Because what you want is for people to be taken care of as much as possible. That program agency will not be able to send a consultant to everyone to ask what it means. But we need to make sure that information and support is available in all kinds of ways, on the one hand through a very good campaign, with very clear what you do and what you don't. A question in between, I think, Mrs Fiers: if asbestos is weathered, even under 35, then you can't do it yourself anymore. Then it's just dangerous for your health. This is also the case in the Netherlands, as in Belgium, in the same way. However, I understand Mrs Klip's point that she is actually saying that this programme agency should be given a little more emphasis to ensure that the direction, as requested by the ambassadors, is strengthened and people know where to go.
ParlaMint-NL_2019-05-28-eerstekamer-14.u54	My question was above all: is it already in operation?
ParlaMint-NL_2019-05-28-eerstekamer-14.u55	Yes.
ParlaMint-NL_2019-05-28-eerstekamer-14.u56	Are they doing anything yet? That was somewhat invisible to our group. Thank you.
ParlaMint-NL_2019-05-28-eerstekamer-14.u57	They're in business. Mr Rob Ekkers of the Contact Group Owners Asbestos, says that the houses with asbestos have now been stigmatized. They're worse sellable, the value has dropped, and we have to get rid of it, he says. That is why we want it to continue, but under conditions that make it feasible. Then we could get rid of the asbestos problem in these houses in a good way. That's the representative of the people who own a house like that. With him, I just told you, we really want to look at the way we can do that. Mrs. Klip was still talking about price increases. I have just told you what the industry itself thinks, but we are also going to keep our finger on the pulse. In the half-yearly report we will include information on price developments. There are also factors that reduce costs, such as the exemption from the waste tax on asbestos-containing waste, which started on 1 January 2019. On the other hand, this is a reduction in costs. Another question had been asked by Mr Koffeman about compliance with the rules for the healthy removal of asbestos. My colleague from SZW is the ruler for this. She's on top of that, of course. In the policy response, the Secretary of State also mentioned the strengthening of this enforcement, because of course she is absolutely committed to healthy work. Then there was a question from Mrs Baay about insurance. Maybe we can't make insurance compulsory otherwise, but insurers themselves determine the conditions under which insurance is taken out. They can't even agree to this. It is, of course, a sign that the market needs legal clarity. Let us then help the people affected by this movement in the market to get out of this difficult situation. That is what all my efforts are aimed at. Mrs Stienen asked: what if the roof in Roermond that eventually caused so much nuisance had already been repaired? In that case, a lot of cleaning costs would have been saved. We haven't talked about that much. We are now, rightly, talking about making the costs for the individual owner bearable, but if the fibres end up in the environment, by weathering or fire, they become a social problem. Then they are much more manageable and then the costs are very high. The cost of the incident in Roermond was about 3 million. That was specifically asked for. That'll be one fire. That comes on top of the uncertainty that people in that environment are exposed to and wondering what effects it had on them. In that case, the cost of replacing the roof will probably have been several tens of thousands of euros. I don't know the roof specifically, but it must have been in that order of magnitude. Only a quarter of that is what you pay more on an asbestos roof compared to a normal roof. Mr. Chairman. Those were the answers to the questions relating to costs. Then I'll join the fund, because there were a lot of questions about that.
ParlaMint-NL_2019-05-28-eerstekamer-14.u58	I'm still trying to get a more concrete picture. Someone, let's say, a farmer with a barn has several hundred m to repair. That couldn't even be much. I don't know. On the one hand, it has to do with insurers and banks saying that there will be a ban and therefore no more insurance or funding. So there's gonna be a cost. In this case, therefore, this farmer could have to deal with a programme agency. He may be advised by the municipality and may rely on loans. In the end, that amount will have to be paid. What good is a program agency like that? What's the use of a municipality, which might at the same time charge landfill costs? What kind of loan could he get? You mentioned one type, namely a loan that he would have to pay only if the property was ever sold. Maybe there are more types. Could you paint that for a case like this?
ParlaMint-NL_2019-05-28-eerstekamer-14.u59	Yeah, sure. If you have a good farm, you also know that you have to replace your roof at some point. For a good company it is therefore perhaps just part of the modernisation of your stable at all, which concerns you and where you also take the roof with you. In doing so, you may immediately ensure better isolation or better climate control. There is a group of farmers who have a clear future and can take this into account in general financing. Then, of course, there is a group of farmers who may have a business operation that is at its end or with very little margin in it. If a farmer has to rely on the fund, then there are still different forms of loans within that fund that either have a very low refund or indeed a refund at the end. It is up to the Dutch People's Housing Foundation to see how they can ensure that the costs associated with this loan are bearable in that situation and for that company. It can even be a solution sometimes. We all know the images of the empty sheds that are no longer being used, where the company has already stopped and where you might be sitting with a collapsing barn that needs to be demolished. So that can also be taken with you. It therefore sometimes even offers a solution for companies that no longer have the possibility in their regular business operations to cope with this. There is one last possibility I would like to mention. I find them very hopeful and was also mentioned by one of you. Energy companies invest in them. They approach farmers, especially those with large roofs, to remove their asbestos roof if they are allowed to put solar panels on it and get the efficiency of it. There are therefore already concrete initiatives in the market throughout the process of sustainability which give this roof surface a value that can be repaired by asbestos. So there are a number of concrete examples. The tailor-made loan and the cash-flow are already covered by the fund in a very concrete way.
ParlaMint-NL_2019-05-28-eerstekamer-14.u60	Thanks for the answer. It sounds good. At least it sounds careful that all situations are carefully looked at. However, there can still be poignant cases that cannot be financed in any way out-of-pocket or in the future. Is there also a hardness clause for the really poignant cases?
ParlaMint-NL_2019-05-28-eerstekamer-14.u61	I have just given this answer to Mr Ruers. The ban is the basis. On the basis of the ban, we are making a state contribution, and on the basis of that ban and that state contribution, other parties are also prepared to put money into that fund. This creates a fund which is thus given into the hands of the Dutch People's Housing Foundation, with the State contribution intended to take into account the risk that some loans will not be repaid. The fund therefore takes this into account. That is an extra layer of guarantee for the risk that some people might not be able to carry it. Deletion is therefore part of the fund. In addition, as I have just said to Mr Ruers, there could be specific harrowing cases that we have not foreseen. That is why I would like to put another side to it, which can, if necessary, make a contribution on the basis of subsidies. I would like to do that again on the basis of co-financing with the municipality or province. Maybe we can make a link with subsidies for sustainability. In this way, we can join forces with the people who are in the ultimate disadvantage. That is what I said to Mrs Fiers... immediately with them to make their roof more sustainable and to reduce the energy bill. That's what gives people the air. In that combination I do indeed foresee a special game for the really poignant cases.
ParlaMint-NL_2019-05-28-eerstekamer-14.u62	I have two questions about funding. I had the impression the Secretary of State was finishing that.
ParlaMint-NL_2019-05-28-eerstekamer-14.u63	I'm still getting into funds. A number of questions were asked specifically about funds. I have already answered a few questions in between, but I just got to the other questions about the fund.
ParlaMint-NL_2019-05-28-eerstekamer-14.u64	I will ask those two questions, and then I will leave it to the Secretary of State when she brings them into her answer. The first question about financing concerns the possibilities for companies to invest in their business through tax and operating costs. Perhaps the Secretary of State could give up some further and more specific information. The second point concerns the example of Roermond. In my first contribution, I specifically asked if the Secretary of State could give an overview of similar incidents that occur every year, according to my total intuitive assessment, two, three, perhaps four times. If you do that times 3 million, it's about high costs. Now I'm doing a lot of wet fingering and that's why I'm asking the Secretary of State for a more specific overview. If you weigh social costs against the sometimes difficult costs that individuals or companies have to incur, that is a very important point for my group.
ParlaMint-NL_2019-05-28-eerstekamer-14.u65	I would like it to be as little burning as Mrs Stienen said. There are about 180 fires a year when it's released. They are not all equally large and not all lead to 3 million in costs, but it does indicate that it really is a risk factor, which indeed also involves high costs that you naturally avoid when you clean up in time.
ParlaMint-NL_2019-05-28-eerstekamer-14.u66	Following that, I have the following question. Secretary of State says there's a lot of fires every year. We also see them come by a lot. Is there any intention to develop policies to increase fire prevention, especially in companies that have asbestos roofs and do not remove them yet? This could encourage, if legislation is introduced, that those farmers, which are often involved in this case, are more willing to replace those asbestos roofs.
ParlaMint-NL_2019-05-28-eerstekamer-14.u67	I know the request of the Party for Animals, from their wide involvement in barn fires, of course. My colleague from LNV is indeed very keen on this. You want to avoid imposing an obligation on people first to take a measure in a stable while they then have to clean up the asbestos roof. This may also be a nice hook for the point differentiation, but I will say a little more about it later. We were just talking about the harrowing cases. There may also be cases where you say that it is obviously unreasonable to ask for that clean-up at the moment, for example when it is about to be demolished, for example because fire prevention measures are being taken in the context of renovating that stable, while the roof is going to be cleaned up two years later. Another example is that a clear sustainability plan has been implemented in a district in the context of the agreements of the climate agreement or the energy ambitions of the municipality. My goal is to include in the AMvB an exception for the municipalities, for that kind of apparently unreasonable cases, which are related to demolition, renovation or sustainability, in order to avoid forcing people to make an uneconomic investment, exactly around 2024. On the other hand, there must be a clear plan when it is realized, so that we do not create some kind of open end. I intend to work out that margin for a reasonable decision, at a reasonable time, in the AMvB.
ParlaMint-NL_2019-05-28-eerstekamer-14.u68	If a bill has been passed with an end date, what consequences will it have for liability? You have a stable with an asbestos roof and it burns and the asbestos spreads all over the area. Does that have any consequences for the liability of the person who hasn't repaired his asbestos roof?
ParlaMint-NL_2019-05-28-eerstekamer-14.u69	I shall come back at the end of the block to the question about the liability that Mr Earthema, I believe, had asked in the context of the municipality. Mr. Chairman. Mrs Stienen asked who is eligible for a loan from that fund. In principle, everyone can claim a loan through the fund. That is perhaps a good example that I thought: we still have some kind of hardness spot to provide. There could be people who shouldn't legally get a loan because they're in bankruptcy or debt restructuring and then there's a rule that you can't take out a loan. Then we have to make sure that there is a way that those people are not hanged on the one hand by that ban and on the other hand by the ban on taking a loan. These are the kind of cases we're thinking about. Mrs Stienen also asked about the VAT refund for entrepreneurs. Indeed, that is also an opportunity to help entrepreneurs make investments. Then the fund. We've reached an acceleration, and I want to hold it. I also want to ensure that people who cannot get access to a regular loan and who would not be able to clean the roof without support are able to do so. This path follows in general the approach that has been successfully implemented in a number of provinces, so in fact it is also a best practice that we continue. We do that together with the municipalities. As requested in the von Martels/Ziengs motion, my ministry is working with the People's Housing Fund and the local authorities on this fund. This will therefore provide loans to people who will not be financed in any other way. At the end of June, I want to establish the fund with the delegates of all provinces and banks. Then I formalize the foundation of the fund in a decision. This will allow the public authorities to participate formally. The first loans are expected to be available soon after the summer. We really want to make meters with this fund at a very fast pace, even for those people who are having a hard time. I have already mentioned that I want to use 5 million for distressing cases and to enable acceleration. I have also mentioned the specific concerns about asbestos slates. I mentioned customization and the cashing out. There are all kinds of different types of loans, with repayment at the end or whether or not interest payments. A lot of people look at what someone can wear. Then the question is to what extent it has been mapped out. The programme agency makes the asbestos map online and indicates that 75% of the municipalities now have it in view, so about 90 municipalities are not yet only 270, so we are really far away. As part of the programmed approach, I will, of course, encourage the municipalities to complete the inventory, because you do want to know where it all lies. The national map is constantly updated so that we have that insight. In addition, we keep track of where asbestos comes from and where it is located, so that we can keep an eye on these flows. Mrs Fiers specifically asked me if I can see the size of the group that we believe will not be able to afford. That's about 5% to 10%, according to the estimate that's been made. We have also had a second opinion on whether the size of the fund is sufficient to provide that group with a solution. The answer is yes, so the second opinion was positive. I will come back to this later, because in the evaluation I think this is a very concrete point to check whether the fund actually meets the concerns of those people, whether we can meet them sufficiently and whether their size is sufficient.
ParlaMint-NL_2019-05-28-eerstekamer-14.u70	The Secretary of State says in response to colleague Fiers: 5% to 10%. What is the reason why LTO is so firmly opposed to this bill and also indicates that she thinks she still has 80 million m on different premises, among members and others?
ParlaMint-NL_2019-05-28-eerstekamer-14.u71	This is one such example where I see that LTO has said very different things. I mentioned all the quotes made by Mr Smeenk, a while ago, in 2015, I think. He argued in favour of looking at the risks that to a large extent fall to farm families, because there are a lot of rooftops, even without gutter, where the fibers are literally in the front yard. We all know that once they lie there, it becomes very difficult to control and so there is a great risk of you walking them in.
ParlaMint-NL_2019-05-28-eerstekamer-14.u72	I take all these concerns very seriously. We've done an inventory, and it comes out that the picture is that there's 80 million left to clean up. That is the image that we now have and that is validated by the inventories that are being made.
ParlaMint-NL_2019-05-28-eerstekamer-14.u73	It's kind of hard to have a discussion about who's the spokesperson for LTO. As a Chamber and in the hearing, we are dealing with one party and he has provided these figures. I believe you, but we are dealing with those who have given us this information very recently and have not been contradicted by anyone.
ParlaMint-NL_2019-05-28-eerstekamer-14.u74	Yeah, but it's kind of complicated for me, too, when you talk to one person and say that's the only one I have to go after, because I'm based on the inventory that's been done in all the provinces and lots of municipalities. That may be a difficult situation for both of us, but we need to make our point of view on what we want to base ourselves on. I base myself on the inventory that is done throughout the country and on the advice of the Health Council and RIVM, and of course there are always different sounds.
ParlaMint-NL_2019-05-28-eerstekamer-14.u75	However, a little clarification on that percentage from 5% to 10%. I think I recall that the technical briefing on this 80 million m said that the estimated funding of 20 million m might be problematic. I have interpreted that as 25% and not the 5% or 10% mentioned, so please clarify that figure. Is it taken into account that some people cannot get a loan at all, or that for other people, the costs of repairing the roof are a significant percentage of the wealth or income they have?
ParlaMint-NL_2019-05-28-eerstekamer-14.u76	Thank you for this question, because it is very good that I can clarify that. I said it a little more broadly, so it's good to clarify that. I had interpreted the question as an insight into the size of the group that can't afford it. That's about 5% to 10%, so we'll take into account that there's a group that can't afford it. So that is different from whether there is a larger group that might want to use the fund.
ParlaMint-NL_2019-05-28-eerstekamer-14.u77	Mr. Ruers still at this point.
ParlaMint-NL_2019-05-28-eerstekamer-14.u78	I mentioned in the first term that, according to my information, the agricultural sector has all kinds of financial advantages. I mentioned those arrangements. It emerged from this that around 40% of the costs of agricultural operators are covered by these schemes. Do you think that's true? I have received this via-via, including from the House of Representatives and from people working in the agricultural sector. They were very proud to have achieved that. That seems to me to contradict what LTO is saying, so I would like to know what the real situation is and whether you would like to explain it.
ParlaMint-NL_2019-05-28-eerstekamer-14.u79	I think it is very difficult to give an average for all companies, because of course the exact costs also depend on the roof and the conditions, such as the extent of weathering of the roof, which can have an effect on the precautions to be taken when cleaning up. Across the board 40% is not a number of which I can make a very clear sum. It is true that in recent years, in order to achieve this acceleration, there has been a subsidy pot of EUR 75 million and a number of people have been able to rely on it, in addition to being able to apply the VAT deduction and the like as an entrepreneur, thus creating a more favourable situation to do so. As far as I'm concerned, the situation now stands. I have the fund with which I can help the difficult cases and a specific pot with which I would like to give extra support to the really poignant cases, in addition to what is possible within the fund.
ParlaMint-NL_2019-05-28-eerstekamer-14.u80	About 5% or 10%, because eventually you come to a percentage with some assumptions. What assumptions are under which to establish that someone can or cannot afford to pay for it? I also hear you saying that a second opinion has been carried out. Is it possible that we can see that research in order to see what foundations are underneath it?
ParlaMint-NL_2019-05-28-eerstekamer-14.u81	Of course. I'd like to be willing to do that. We are now forming the fund and are making all the information about it transparent. We have chosen the Dutch people's housing foundation, because it is ideally able to make that assessment. They do that in all kinds of other ways. Just to be sure, we had a second opinion on the volume of the fund, because we wanted to make sure that we got what we needed about each other. That's what the second opinion saw. For the rest, the fund looks like it is designed by the Dutch people's housing foundation. We are prepared to be transparent about that. I think I've answered a lot of questions on this point; sometimes they got in between at a different time. Then I'll get to questions that were there about care and facilitation. Sometimes I don't know in which corner I've already named the communication campaign. Mrs. Klip and Mrs. Baay had asked for this. How do we ensure that people are not surprised by the fact that there is a ban and are not surprised by the fact that action is needed? There will be this ban and they will need to know where the fund is and how to use it. People also need to know what they can do themselves, how to deal with it and how to deliver it to your environmental street free of charge. I would like to say once again to this Chamber that we will be carrying out a communication campaign for this. Another point that is going to be very important in the approach is that we really want to actively help municipalities with such a district-oriented approach through the programme office. A very nice example of semi-detached houses was mentioned earlier. In addition, a district-oriented approach from the people themselves is difficult to achieve, because it takes a lot of time and energy to achieve this. Perhaps there are people in the neighborhood for which it is particularly difficult and for which no loan is currently available. It is very logical that a municipality in such neighbourhoods should play a major role in ensuring this district-oriented approach and that there should be a programme agency that can support a municipality in it. So, that campaign needs to be strengthened and the programme agency needs to make it stronger on points such as the district-based approach. Mrs Klip asked if there is any possibility of differentiation for the moment that asbestos needs to be removed. If we don't be careful, maybe that's the so-called traffic light model that also came along in the hearing.We're going on a path where a lot of money is going to be spent on assessing the state of the roof every time, which costs about €300, instead of cleaning the roof. Then you'll lose a lot of extra money and it means a lot of enforcement for the municipality. And in the end, we still need to get cleaned up. It increases the cost of both controls and enforcement. I have already said that, from the point of view of efficiency, there will be a logical moment for the renovation of the roof for a limited period after the ban has entered into force. I have already mentioned demolition or large-scale renovation for which a permit has already been applied for from the municipality, and a district-oriented approach aimed specifically at repairing asbestos slates or specifically at a major sustainable operation. People should not be asked to trample their homes three times in connection with a renovation.
ParlaMint-NL_2019-05-28-eerstekamer-14.u82	I understand that if you chose three categories of the state of health of a roof, or two or five, that would cost money. I mentioned that the difference between a seduction strategy and a punishment campaign. You are, I presume, also in the process of creating support for your policy. In spite of all the arrangements, there must also be support. The risk-driven restructuring is the underlying idea of my group, although it costs extra money, we understand that. Then there's my other question. You are talking about logical moments; we have talked about this a few times. That could be anything, and you're willing to work it out in an AMvB. In our view, this should at least provide attractive financial arrangements from other programmes, but it should also provide additional time. Now, I understand from your point of view, in defending this bill, you're not saying, well, just 2050. But what deadlines do you think?
ParlaMint-NL_2019-05-28-eerstekamer-14.u83	Let's just say the nod 2025 goes in. If there is demolition, large-scale renovation, district-oriented approach in the context of asbestos or district-oriented sustainability, then you want to make sure that if you grant a postponement, this will also be done. So there really has to be a plan that will be implemented. I would then like to be a little cautious in offering a lot of time for that, because then there may be an endless delay and you will not get the concentration that is needed. I would think of a term of about three years. Then you keep concentration of all the efforts and also the use of funds, resources and people. You maintain the acceleration and focus, but at the same time you offer a little more space. 2028 was also included in the last year's accounts in the SMEA. That's what you're gonna join. The municipality and the province are of course very important partners. In addition to funding, I would like to say once again that information, knowledge sharing and care are also important elements. Then there was an important question from Mrs Fiers about the 35 m.
ParlaMint-NL_2019-05-28-eerstekamer-14.u84	Are you going to wait for that answer, Mrs Fiers, or do you want to ask a question?
ParlaMint-NL_2019-05-28-eerstekamer-14.u85	No, this was about the direction of the congregation, because I believe that block is now ready. In the hearing, a number of parties stated that precisely this role of the municipality is conditional on successful implementation. At the same time, we were all looking forward to the representative of the UNG sitting there: what is he going to say? It was a bit of a wrap around that, because it can of course never say 'we are going to do that' for all the municipalities. Then my question to the Secretary of State. Shouldn't you pre-order with congregations that they're gonna play that role before you implement the law?
ParlaMint-NL_2019-05-28-eerstekamer-14.u86	The law provides the legal basis for then an AMvB. Without law, there is actually no reason to enter into the conversation with the municipalities, you could almost say. They have a task we are faced with. By the way, municipalities already have a job to do. They have a responsibility to act when dangerous situations arise. Now all municipalities can do is punish. Soon we will be offering municipalities a toolkit with solutions that we can make sure that in those cases where it is not self-evident, we can help to bring it about. This means that with the whole package that we are putting together here, we also have more to offer municipalities to say together with them: let us now make sure that it is dealt with. It's a bit of a chicken egg situation in some cases. Municipalities can play an important role in supporting citizens in forming collectives. In such a district-oriented approach, they can then ensure that those who really can't afford it are properly connected to the fund, so that the whole can go on. Municipalities can also support with funding and communicate with. These are all important points. Mr. Chairman. Then the 35 m. It has been established in such a way as to reduce costs for individuals. That 35 mis determined by TNO. Mr Ruers asked for this too. It's just that under strict conditions. So it really must still be bonded asbestos: no slate and no sail, for example. You can't do all that. It shouldn't be weathered either. On the website of Environment Centraal there are also very good examples: "If you are going to remove, what should you look for and what precautions should you take? Pack it in plastic, then you can turn it in to the environmental street." A private individual can't just do everything. And that border is actually just chosen to keep the cost to the private person within limits, and so that it doesn't have to fly in a few lunar men for everything, like the roof of a bicycle shed. TNO therefore advised that that limit should be set at 35 m.
ParlaMint-NL_2019-05-28-eerstekamer-14.u87	You can make an assessment based on the safety risk. So you say: it's 35 m, because if you go up to 60 m, then the risk suddenly increases many times. Or you can make a trade-off in relation to the wallet. I assume TNO doesn't make the relationship with the wallet, but that's a weighting that belongs more to the Secretary of State.
ParlaMint-NL_2019-05-28-eerstekamer-14.u88	Of course, of course. The question has been asked to TNO to ensure that we do not unnecessarily cost people in our policies. And TNO said: 35 misses a limit that we say people should be able to do it themselves.
ParlaMint-NL_2019-05-28-eerstekamer-14.u89	One more question. Can the Secretary of State just explain to me in jip-and-janneketal why it's not 100 m?
ParlaMint-NL_2019-05-28-eerstekamer-14.u90	Then I should ask TNO to explain that in jip-and-janneke language, because we have asked them, the experts, to give us that advice. That was a while ago, by the way. I can look back to see if the foundation of that 35 m is still in easy jip-and-janneketal. I am concerned about this kind of thing that it is extremely important that you have independent advice from real experts. And they indicate: this is the border we advise you. The same goes for the 28 fibers. That too may be explained in jip-and-janneketal, but it is especially important that this limit is determined by independent experts. In this case, therefore, I fully rely on the advice of TNO.
ParlaMint-NL_2019-05-28-eerstekamer-14.u91	Maybe for the second term...
ParlaMint-NL_2019-05-28-eerstekamer-14.u92	Finally, Mrs Fiers.
ParlaMint-NL_2019-05-28-eerstekamer-14.u93	Yeah, finally. I have the request to the Secretary of State to try to do so in the second term, because when we agree to the law, we are also addressed outside by people who ask us: but why 35 m, because I have 50 m? And I'd like to be able to give you an answer.
ParlaMint-NL_2019-05-28-eerstekamer-14.u94	I understand that very well, and I'm very happy to see if we can do that. I told you it's an advice from a while ago, but that too should just be brought out. So I'll do my best to do that. Then there is the issue of illegal dumping of waste. That was a question, too. I've already said something about that. I'm going to have a specific conversation with State Forestry to see what they're worried about, and how we're gonna make sure we keep it tightly closed. I have no broad indications that illegal dumping of asbestos waste is more common than before. That may hopefully be reassuring, but of course we all think that every dumping is one too many. The Rural Asbestos monitoring system, together with the Landelijk Meldpunt Waste, can play an important role in monitoring flows in the asbestos chain. That Rural Asbestos tracking system also makes it really harder to break the rules. The companies that use the Rural Asbestos monitoring system, the bona fide companies, will not dump asbestos either, because they must be able to prove where it has gone. So together with the supervisors, we can make sure that the net is closed. By doing so, we discourage criminal behavior and otherwise we effectively tackle it. For I agree with your Chamber that we must also ensure that it is not only quickly and expertly removed from the roof, but that it is then processed.
ParlaMint-NL_2019-05-28-eerstekamer-14.u95	I actually have a combined question to the Secretary of State. It is about waste, illegal cleaning, but also about the level of information that exists in the provinces and municipalities on the number of asbestos roofs. That's what that's all about. I came up with this last year when I heard from the province of Limburg that they were actively working to get a picture of where the asbestos roofs were now. Then they told me that two or three years ago they had aerial photographs taken of the whole province, which depicted all the asbestos roofs. It seems to be very good from the air. They then compared that to photos from two years later. They made that comparison and then found: there are so many roofs away, on those and those and those places. I understand that the province of Overijssel has also undertaken such an operation. So they could see exactly what disappeared from rooftops. But they could also see at which locations that was. And then they checked with the municipalities and asked them: "Are you familiar with this reorganisation? If so, where did the waste go?" Then they ran into quite a percentage of what the municipality said: we don't know anything about that. And so they had a strong suspicion that there was illegal demolition and therefore dumping. Could that be something to watch from the government? For example, the government can order all provinces. It seems to be very effective, and relatively cheap and fast.
