ParlaMint-NL_2019-03-27-tweedekamer-6.u1	I shall be the first to give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2019-03-27-tweedekamer-6.u56	Mr. Chairman. Then I'd like to answer some questions about the Housing Act. Maybe I should start at the beginning. This also concerns Mr Kops' question: why is it necessary to delete the word 'cheap'? Do you have to do that with a law change? I have already said something about this in my introduction, but it really means that in practice there has been too much uncertainty for the municipalities about the use of the housing regulation in middle housing. And if there is any ambiguity, then municipalities are not going to do so. Thus, an instrument that is strictly applied is not used or used by municipalities. That is what this clarification is looking at. And if something is not clear and is not used in practice, then I think it also says something about the law as such. I therefore welcome the fact that we are introducing this clarification into the law. And if that happens, then it is intended that municipalities will use it. The clarification alone is of course helpful, because that is a threshold that we are dealing with now. In addition, municipalities should periodically review their housing regulations every four years. It seems to me to be a good thing, and I would like to make arrangements with the VNG to make this change known to the municipalities so that they can use it and involve it in their revisions. And perhaps even the model housing regulation of the VNG can play a role in this. Mr Smeulders' question on this point. He said: is it not really unnecessary that middle hire can also be regarded as scarce? Well, I don't think so. The system of the Housing Act indicates that it is necessary to look at where this scarcity lies at a local level. And of course it has effects; unbalanced or unjust. And it is the case, as I have just argued, that municipalities could actually designate housing in the middle hire segment as "scissors" by now. It is, and we have just said so, that local conditions are very different, so the local housing market is different everywhere. The Housing Act provides the opportunity to distribute the scarcity fairly. Then this happens in such a way that the municipality develops its own policy, appropriate to the local situation, to combat this scarcity. In doing so, this proposal will help. Mrs Van Eijs built on that. She said, what are these disproportionate and unbalanced effects? In practice, municipalities will often use search times and housing needs as indicators. The municipality is best aware of the local situation and can therefore best assess whether there is scarcity with disproportionate or unbalanced effects. So that differs from one municipality to another. I do not think you can set a standard for this at national level, because it would not be useful for the various municipalities. We do have research that shows that about 180 municipalities have housing regulations. This means that there is indeed a shortage of these municipalities which has unbalanced and unjust effects. The establishment of such a housing regulation would be a good tool for these municipalities to better distribute this scarcity. Mr. Chairman. Then I come to the questions that have been asked about affordability and the offer. These are all subjects that naturally affect the proposals that lie ahead, but they actually go beyond that. I referred just now to the letter that was on the doormat with you on February 22nd. We will soon have a wide-ranging discussion on this. I believe we have that meeting at the end of April. But since questions have been asked about it, I think it would be good to say something about it. There are several measures that all have a certain coherence. I would also like to get to work on this as soon as possible. The first measure concerns a legislative proposal that deals with the rent-based approach of housing corporations. It needs to be adapted in terms of content and there will be an opportunity to make local arrangements. That bill was announced in the letter. I'm trying to pass that bill around the summer recess to your room. The second bill deals with rent and income limits. These include the announced measures such as temporary rental discounts, differentiation in SGEI income limits, the movement on income-dependent rental adjustments and the very low rents. I hope to have that bill here this fall. The third bill follows from the review of the revised Housing Act. There, further efforts are being made to create local space by deleting all kinds of detailed legislation. And I will inform the Chamber before the summer about the position of middle income on the rental market and how it can be improved. Then I will also deal with the impact of the emergency button. So there is a whole series of proposals, effects, legislative proposals that have been announced in previous letters and that we are discussing with each other at another time in an AO. Then there are the specific questions on this point. By the way, I wanted to start with a question from Mrs Beckerman. She felt that, of course, because she is now standing at the interrupting microphone. Her concern is that more middle rent means less social rent. I don't think that should be the case. I told you, local conditions are very different. If it is found locally that more middle rent is needed, it can also be very good to say: and more social rent is also needed. So it's about the total. This is what municipalities make agreements with corporations and other parties. They also agree on the size of the social rental sector and on the size of the middle rent. In addition, tenants can also make agreements on this. So I think that it can be implemented locally in a good way. Mrs Dik-Faber asked: can we better monitor how mid-term rental actually comes about? I think we should do that. It's also tracked. I was just referring to what comes out next week from the CBS: WoON. That's a housing market investigation. I'd like to keep a close eye on rental development anyway. We have the monitoring lease policy. He keeps an eye on how it develops every year. We follow the new building developments through figures from the CBS. I am in contact with the regions, both through the housing deals and wider, across the country. So it is not just the cramped areas, but also the areas where, for example, shrinkage is taking place. So this monitoring is incredibly important. I am of course also reporting to the Chamber on this in the State of the Housing Market.
ParlaMint-NL_2019-03-27-tweedekamer-6.u57	I was a little hesitant, because I thought the Minister would go into the question of affordability a little longer. But it was a very short block, while at this point there is a very big concern of the House of Representatives, which is widely worn. The goal is not to build middle-rent houses. The goal is to ensure that people with an average income can also get a good affordable rental house. The Minister cut that loose. She announces a lot of conversations, laws and letters. I would like to put the question very simply: by when will the Minister ensure that the rents are actually affordable?
ParlaMint-NL_2019-03-27-tweedekamer-6.u58	Look, if there was such a thing as a silver bullet in the housing market for the problems, we would all put it right away. But of course there is no such thing. This requires a long-term commitment. This requires a whole range of instruments, which often require legislative changes, which also run through this Chamber. I realize that like no other. I have different goals in this regard. Many of these goals the whole Chamber shares with me, namely that there should be more offer. There must be local space to do what is necessary for the local situation. The rents have to be controlled. We have talked about excesses in the housing market in another debate. We'd like to deal with them with each other, too. So yes, there is a whole palette, of which affordability is of course an important part. I have said it many times, and Mrs Beckerman and I agree: the housing corporations have three important tasks. One concerns affordability. I just made a whole series of proposals that are coming up. They are all part of ensuring a well-functioning housing market and affordability, appropriate to the specific situation of different groups in our society.
ParlaMint-NL_2019-03-27-tweedekamer-6.u59	A long answer, but the short summary is: we really have no idea when we're going to do something about these bizarre rentals in the free sector. And they're bizarre. Of course, I'm not for a silver bullet. I'm not for bullets at all. Of course we have to change laws, but that's exactly what we're doing here today. We're proposing two. I would like to hear a substantive response from the Minister to the proposals we have put forward today. We can change the law today to make sure those middle rentals are affordable.
ParlaMint-NL_2019-03-27-tweedekamer-6.u60	Mrs Beckerman asks a short question in itself, but gets a long answer, because there is a lot to be done on the housing market. Then let's focus on middle rent and excessive rent increases. In fact, we have had another debate on this recently, because I do want to deal with these excessive rent increases. I have also announced that I am working on the emergency button, one of the opinions of the Van Gijzel working group. I also want to offer room locally to deal with that. I use the equation of the silver bullet, because I think everyone understands that this can't be solved at the press of a button. There is no simple solution. It requires a multitude of solutions. Just because the SP considers affordability important, I call on the SP to contribute constructively to those parts that are very important for the SP.
ParlaMint-NL_2019-03-27-tweedekamer-6.u61	Continue
ParlaMint-NL_2019-03-27-tweedekamer-6.u62	Then I come to the flow of tenants. That was a question from Mrs Dik-Faber. That actually has to do with the whole of the housing market, where the flow is stalling at the moment. That means there's got to be more offer. That just means building more homes. But it's also about specific groups. I think Mrs Dik-Faber might have mentioned that too. As a cabinet, we said: we have a line of action, living and caring. It sees that it should be easier for the elderly to move on to a suitable home for them. It sees that we support and promote specific housing concepts for older people. We focus on income-dependent rent increases and appropriate rents for high incomes in social rents. A motion for a resolution was adopted on that, by the way. This also creates space for other groups that need it. Here too, therefore, there is a need for a multitude of measures and instruments to improve this. Mrs Dik-Faber also asked if it is possible for municipalities to make agreements on middle rents that last longer than ten years. Municipalities have different possibilities, as Mrs Dik-Faber knows. She herself talked about the zoning plan, but there are other ways to do so. It may, for example, be used for the issue of tenders or land in debt securities. Then you can also set conditions at the rental price. The municipality can make arrangements in conversations with landlords to keep the house for the middle segment. I also think it is important for the municipalities to take advantage of these opportunities across the board. In order for municipalities to be able to do so, I have developed a factsheet together with the VNG to make it much easier for them to understand. Mr Nijboer was also looking for a way to further regulate the rent increases. I've just discussed that with Mrs Beckerman. In addition to what I just said, I mentioned all the excesses in the housing market generally. Of course, you'll see it too. I had lost sight of Mr Nijboer for a moment, but I found him again: he is in the room talking to a colleague. Continue quietly, Mr. Nijboer. The excesses often concern specific locations. If you look at the higher level here again, you can see that the rent increase around 2013 was already a while back. At that time, prices in the regulated sector increased by 4.1% and by 2.9% in the free sector, for incumbent tenants. That was pretty big. After that, the annual increase has been somewhat watered down. For example, in 2018, that increase in the free sector was 2% versus 1.8% in the regulated sector. So that rise has been watered down a little bit. However, there are individual specific situations in which there may have been high rent increases. That is why I believe that it is necessary to develop the emergency button to tackle these excesses, including in the middle rental segment, so that the tenant is better protected at the beginning of the rental period and so that we also distinguish between neat landlords and speculators. That is a debate I have had with Mr Nijboer on a number of occasions. Mr. Chairman. Let's see. Maybe there's some interruptions?
ParlaMint-NL_2019-03-27-tweedekamer-6.u63	I do want to give you some space. Mrs. Dik-Faber.
ParlaMint-NL_2019-03-27-tweedekamer-6.u64	Mr President, on the previous point. During the consultation on the bill, it emerged that municipalities would like to have more opportunities to make agreements on mid-term rentals for a longer period than ten years. Has the Minister now replied: in principle do municipalities already have this possibility? Did I get that correctly? Because I think that wish has not been put forward for nothing.
ParlaMint-NL_2019-03-27-tweedekamer-6.u65	I have just mentioned a number of options that may indeed apply for a period longer than 10 years, so that is true.
ParlaMint-NL_2019-03-27-tweedekamer-6.u66	Are we talking about a period of 15 or 20 years? The Minister indicated that she made a VNG factsheet available. Is that enough? I do have a few questions about this, because of course that question was raised in the consultation round for some reason. Is this now sufficiently addressed in all the steps we take together?
ParlaMint-NL_2019-03-27-tweedekamer-6.u67	Yeah, in my opinion, I do. The possibilities I just outlined are different. This means that municipalities also have a choice in which ones they want to use, which are best suited to them. Do you or don't you have land on land? That sort of thing. However, it is important for the municipalities to make real use of these opportunities. Hence the cooperation with the VNG, hence the insight into the municipal instruments for middle hire, so that municipalities can make their own assessment, which suits them.
ParlaMint-NL_2019-03-27-tweedekamer-6.u68	Okay, Mr. Nijboer.
ParlaMint-NL_2019-03-27-tweedekamer-6.u69	Mr. Chairman. I wanted to ask the Minister for a technical explanation of what the law for the free sector looks like now. Is it true that, if you want to raise the rents with a sitting tenant, it's actually unlimited, unless you ask for an amount that you're actually bullying someone away with? For something worth €1,500, you can't ask for €5,000, because that's bullied away. But is it true that this is allowed to continue, in fact unlimited and with a fairly short notice period?
ParlaMint-NL_2019-03-27-tweedekamer-6.u70	That depends very much on the contract, but of course Mr Nijboer also knows that. Often, of course, clauses are included in a contract that see a controlled rent increase.
ParlaMint-NL_2019-03-27-tweedekamer-6.u71	Asking about that, yes, if that's what you agreed. Then you agreed that the rent would increase up to 2% plus inflation or 3% plus inflation. Then they'll stick to it. But there are of course best landlords who just have open contracts, especially private landlords. Is it true that there's actually no limit to it, except you can't bully the tenant away with an idiot rent? Doesn't that have a huge impact on families, on people who can't go anywhere?
ParlaMint-NL_2019-03-27-tweedekamer-6.u72	As I said, there can certainly be specific situations where such a clause is lacking in the contract. Eventually such a tenant can of course go to the judge and then you can see what the purpose of the landlord has been to do this. So there are limits to that. Mr Nijboer himself called it bullying. You're right. You can't do that. Of course it is wise to make sure that you have such a provision in your contract, but I understand very well that in times of scarcity that sometimes goes wrong.
ParlaMint-NL_2019-03-27-tweedekamer-6.u73	Please continue.
ParlaMint-NL_2019-03-27-tweedekamer-6.u74	I think I've said enough about the emergency button. Maybe finally on this part the following. A few comments have been made on Utrecht and Amsterdam. Those are indeed the two cities where the pressure is perhaps the highest at the moment. Mr Ronnes asked about it and Mr Koerhuis said a few times about it. I think, however, that these municipalities, too, show how important it is to find a balance between giving opportunities to convert the market on the one hand, and, on the other hand, looking very closely at what is in the interests of the residents of Amsterdam, the residents of Utrecht. This also applies, of course, in other cities in the Netherlands. The fact is that these municipalities can't take care of that middle rent on their own. They need cooperation, they need market players, they need corporations for that too. The municipality needs to define where that balance is somewhere. And if that balance fails, it will take a while before we establish that with each other; that's the nasty thing, especially with the middle rent. But if that balance fails, if that happens, you'll be doing the middle income in your city a disservice. So I'm really calling on the municipalities to keep an eye on that. If institutional investors, i.e. the investors who are just looking for a normal return, at some point would say that they can no longer achieve such a return in a municipality, that is obviously a problem. I think that as a municipality, you should worry about the position of middle income in your city. Mr President, I would like to touch on a number of questions that have not been answered.
ParlaMint-NL_2019-03-27-tweedekamer-6.u75	Before you do so, I shall give the floor to Mr Ronnes.
ParlaMint-NL_2019-03-27-tweedekamer-6.u76	Is the Minister getting any signals about that? My group is getting signals, for example from Amsterdam. Institutional investors say that we are no longer living in Amsterdam with the demands that are being made there. Does the Minister receive these signals? Is she talking to the municipalities about that? And, if so, what are the results of that, or what is the state of play?
ParlaMint-NL_2019-03-27-tweedekamer-6.u77	The answer is I'm getting those signals, too. The answer is also that this is a subject of discussion with, for example, Amsterdam, but it is really also about other cities. And my main message is to keep an eye on how to handle that position of middle income in your city best. It is often said here: it is about the policemen, it is about the people who work in the care, it is about teachers. They are needed in the city, and for them there must be middle rent.
ParlaMint-NL_2019-03-27-tweedekamer-6.u78	The Minister says what her message is, but the crux of course is: is that message coming and is something going to happen to it? My concern is that we all see what is going on and all hope that something will happen to it, but that there will be no improvement. How can we be sure that these things are going to change and that these market players are also getting grounded? Because, in my view, this is the real reason why the market players are not getting a foothold. That's not because of the few corporations that are going to build some middle-rent housing.
ParlaMint-NL_2019-03-27-tweedekamer-6.u79	I think you should say that market players keep their feet to the ground. So we have said: I am going into the scarcity areas that are trying to close residential deals. This is also happening in the region of Amsterdam, also in the region of Utrecht. We're in the middle of a conversation with these regions. Those are really good conversations, by the way. And it takes a lot of work. I have said before: if we make such a living deal with each other, this is a long-term commitment, including from the Empire, including from the municipalities concerned and also from the parties that will soon be needed. So this is part of those conversations. I'm glad they're walking. I'm positive about what can come out of it. This is part of the deal.
ParlaMint-NL_2019-03-27-tweedekamer-6.u80	Mr Koerhuis, after all.
ParlaMint-NL_2019-03-27-tweedekamer-6.u81	Thank you. I taste a bit that the Minister shares the concerns of VVD and CDA about Amsterdam and Utrecht, which drive investors away. Is it perhaps an idea to involve investors in working out these housing deals? I refer to the National Housing Agenda, with which the sector association of investors has signed. Can the same happen with the residential deals of Amsterdam and Utrecht?
ParlaMint-NL_2019-03-27-tweedekamer-6.u82	I don't think it's necessarily necessary to sign with you, but I think it's necessary to speak with you. Indeed, as I have already said, all parties are required to do so. The party of institutional investors is needed as an investor. They must be able to cope with the conditions laid down. I am always talking about the balance sheet: we have to keep an eye on it, including regional and local. The houses are not realized by us, but by the housing corporations, by the market parties, by the developers. We're not doing it for ourselves, we're doing it for the house seekers.
ParlaMint-NL_2019-03-27-tweedekamer-6.u83	Finally.
ParlaMint-NL_2019-03-27-tweedekamer-6.u84	I understand from the minister that she won't let investors sign with her. But they're at the table. Can we hold the Minister that investors will at least be positive about the Amsterdam and Utrecht deal?
ParlaMint-NL_2019-03-27-tweedekamer-6.u85	My aim, of course, is to make a living deal with both regions with which all parties can get out of the way. The remaining questions. I'll find out later if I missed anything, but for the sake of time I'll answer a few final questions. Mrs Dik-Faber asked about dispute resolution in the free sector. She referred in her contribution to the recommendation of the Co-operation Table, which states that in the case of rental contracts between landlords and tenants, the rental commission can give advice in case of rental and service disputes. I joined Van Gijzel's recommendation. IVBN has also been sympathetic. So tenants and landlords have first focused on achieving the social rental agreement and now that there is, it is time to make these agreements. Then the conversation will indeed be picked up again. I support her efforts. Mrs Dik-Faber also had a question about the rental teams. I think they certainly have added value. They operate in a number of cities. They also share their knowledge, which also applies to information to tenants. In the approach of good landlordship I have also made agreements on the cooperation between the rental teams and the municipalities, which is further intensified. As an example, I mention the student cities, where the rental teams will facilitate. And also in the residential deals we just talked about, they come back. The Ronnes motion was also discussed in another debate. I informed the Chamber by letter of 9 March that I am currently mapping out the social and financial positions of housing corporations for the short and long term. I really need new figures for this, which I have already said to Mr Ronnes. These figures must be reliable, and we must involve all kinds of issues, such as sustainability and calibration of the new WSW model. Those figures can influence the results again. So it's a tricky, complex and technical whole, which has to be done very carefully. I said that where I could speed up, I would very much like to do that. But I'm afraid it really takes time. I will inform the Chamber about the results by the end of this year. Perhaps finally, Mr Kops' status holders. He comes back to that every debate, so I think I should give an answer in every debate. He knows, as I said yesterday, that the task of housing status holders has been laid down in the municipalities. I'll leave that to them. Some use a mandatory urgency and allocation, while others opt for agreements with housing corporations. I'd like to leave that to them. I think that's also the best way to deal with this. Mr President, I realise that I have skipped a few questions, but I hope I have answered the questions broadly. I felt a little bit haunted by time.
ParlaMint-NL_2019-03-27-tweedekamer-6.u86	Thank you, Minister. It's true, time is fast. I therefore propose that we limit ourselves to three minutes in the second term of office. I shall first give the floor to Mr Koerhuis of the VVD Group. I hear people say it's three minutes long. I would say that there is no need to use it in full.
ParlaMint-NL_2019-03-27-tweedekamer-6.u87	Mr. Chairman. Thank you for the debate so far. Indeed, the first term went fast. A number of questions have not been answered. As I said, today we are going to simplify the market test. Corporations need to get to work. The mid-rental branches of corporations have 4 billion cash on the shelf or are in the bank account. That 4 billion could lead to an investment of 10 billion in middle-rent housing. We've heard the Minister's response. Together with the CDA we have come to the conclusion that it may be even tighter. Especially in cities such as Amsterdam and Utrecht, the money should actually be used to the maximum for middle rent and not for even more social rent. We'll come up with a motion on that in a moment. I had another question about the following. The Waarborgfonds Sociale Woningbouw allows corporations too quickly to give social housing to investors as collateral. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that corporations can develop middle-rental housing in their commercial sector more easily by means of the Law measures;]] [[noting that corporates can provide collateral from their social branch to investors to attract funding for their commercial branch;]] [[Whereas, in the event of bankruptcy of the social branch of corporations, the WSW uses that collateral to reduce losses for the corporate sector;]] [[whereas the WSW now allows corporations to provide that collateral to investors if the funding compared to the WZ value falls below 50%;]] [[calls on the government to make the WSW give the collateral less quickly to investors and to strengthen the standard,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the House of Lords. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-16]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u88	I had already indicated in the first period that in practice the WSW often uses the 40% standard. Maybe that's a good standard to record. Finally, the amendment to abolish the lease tax, the Amsterdam tax, for middle-rent housing to allow corporations to build middle-rent housing and keep middle-rent rents low. Mr Ronnes and I have tabled an amendment on this. I hope the Minister will take that up in the second term. Thank you.
ParlaMint-NL_2019-03-27-tweedekamer-6.u89	Thank you, Mr. Koerhuis. I shall now give the floor to Mr Ronnes of the CDA Group.
ParlaMint-NL_2019-03-27-tweedekamer-6.u90	Mr. Chairman. For the sake of time, I will confine myself to the three motions I am going to table with a brief explanation. First of all, the motion which Mr Koerhuis has just announced about the funds available for the middle-rent industry, the free sector within the housing corporations, the so-called 'commercial branch'. The content of the motion speaks for itself. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the State of Housing 2018, the indicative spending area housing corporations (IBW) has been published for the non-DAEB branches of housing corporations, which shows that a one-off payment of 4 billion from non-DAEB to SGEIs of housing corporations is possible;]] [[noting that the coalition agreement gives priority to free-sector housing;]] [[calls on the government to agree with the corporation sector to explicitly use available funds in areas where there is a need for them for more middle-rental housing in the free sector,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ronnes and Mr Koerhuis. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-17]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u91	Mr. Chairman. In my first term, I introduced the idea of working with different SGEI limits. I would like to have a little more clarity about that and see more about the effects at the time you would differentiate with the SGEI limits. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas housing corporations primarily focus on services of general economic interest, such as building, renting and managing social housing;]] [[Considering that the SGEI borders are defined nationally while the Van Bochove Commission recommends that municipalities be allowed to vary the SGEI limits locally;]] [[calls on the government to examine whether the corporations invest more in rental homes with a rent between €700 and €1,000 if the SGEI limits are differentiated locally,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-18]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u92	I just had an interruption at the CDA about this. I understand that the CDA, like the VVD, also stands for the region and does not want the region to pay for higher social rental limits in Amsterdam and Utrecht. Then there is the question to Mr Ronnes: who is going to pay the higher social rental limits? Who's gonna vouch for that? Are these, for example, the municipalities that can do that locally? Are we going to compensate for this, so that the municipalities also guarantee the piece under €720?
ParlaMint-NL_2019-03-27-tweedekamer-6.u93	I am somewhat surprised by this question, because this is a repetition of moves from the first term. I am concerned that the effects will be made clear with this motion. You are actually asking for the answers to the questions that the motion will ultimately bring with it: what are the financial effects, if they are at all, and what are the effects of making homes more available?
ParlaMint-NL_2019-03-27-tweedekamer-6.u94	We're not going to do the whole debate again. A question's okay.
ParlaMint-NL_2019-03-27-tweedekamer-6.u95	The VVD thinks this is a dangerous motion, because you have the rest of the country pay for Amsterdam and Utrecht. I'm sorry the CDA is hiding now. I really have little to add.
ParlaMint-NL_2019-03-27-tweedekamer-6.u96	I didn't hear a question in there.
ParlaMint-NL_2019-03-27-tweedekamer-6.u97	I do not agree with Mr Koerhuis, but let us not repeat the discussion.
ParlaMint-NL_2019-03-27-tweedekamer-6.u98	Please continue.
ParlaMint-NL_2019-03-27-tweedekamer-6.u99	Finally, a motion on the subject of no market test for middle hire. We have discussed this at length, but I am still not convinced by the Minister's reply, in which she does not really say what the position of the corporations means in relation to the developers. I think that there is more freedom for the corporations, without causing any damage to the relationships. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the construction of middle-rental housing by market players is barely off the ground and that the need for such housing is high and urgent;]] [[whereas corporations can and want to realize middle-rental housing, but are placed for authorisation procedures and mandatory market tests;]] [[Calls on the Government to prepare a general measure of governance to allow the construction of rental homes with a rent of up to €1,000 per month by means of an exemption from the market test by corporations;]] [[invites the Government to examine the effectiveness of the general administrative measure after three years and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ronnes, Mr Dik-Faber and Mr Smeulders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-19]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u100	Thank you, Mr. Chairman.
ParlaMint-NL_2019-03-27-tweedekamer-6.u101	Thank you. I shall then give the floor to Mr Nijboer of the PvdA Group.
ParlaMint-NL_2019-03-27-tweedekamer-6.u102	Thank you, Mr. Chairman. In my term, I have particularly drawn attention to the problem of people sitting in a rental house whose rent can suddenly be increased by huge amounts: €100, €150, €200 in the month. I can do that. It's okay if you don't have it in your lease. Seriously, people aren't negotiating their lease all the way out, and certainly not now. They'll be happy when they find a house. The Minister's answer is, they'll go to court. But that's the problem: it's allowed by the law. I have tabled two amendments to amend the law so that this is no longer possible. Unfortunately, I have not heard a substantive response to that. By the way, I have heard this from fellow chamber members in this debate, who share these concerns. These are MPs of opposition parties and also coalition parties, from left to right. The PVV also indicated that this really is a concern she shares. I actually want the Minister of Housing to take this seriously at this time, in which so many people have these problems, and to do something about it. Then I do not get along very well with a schedule of 'then we are going to talk about it', 'then we will have a general discussion', 'there will be another study' and'maybe at some point there will be an evaluation'. I want something to change sometime. We're halfway through the reign. Maybe we've already gotten over that, because if you perfect the maximum reign, you're now halfway through. There's a housing shortage and something really needs to be done about it. So I really do not think there is enough work to be done on this. I didn't make those amendments for nothing. That has been considered and I have also indicated that I am quite willing to adapt them, because you can always discuss deadlines: do you have to freeze the rent on the basis of the last five years or do you have to do it for three years or two years? What is the maximum acceptable rent increase? Mr Koerhuis himself said that inflation plus 3% in the market is very common. Then let's put that in the law. We do the same for buyers: the law simply states that you can cancel a purchase contract for three days. You'll protect them with that. We simply have consumer protection for that. It's a fundamental right. These tenants are really outlawed. Of course, that doesn't apply to all tenants, because if it's in the rental contract, it doesn't work and it doesn't work if you have a decent landlord. But it's thousands of people who are really in a lot of trouble, ordinary families, decent people. I think we should do something for that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u103	I suggest you finish your speech first.
ParlaMint-NL_2019-03-27-tweedekamer-6.u104	I think we should do something about this and I think the Minister should do something about it. I'm asking her to do that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u105	I like that last sentence. There is an interruption by Mr Koerhuis.
ParlaMint-NL_2019-03-27-tweedekamer-6.u106	Yeah, my name fell. The Minister just endorsed what the VVD said, namely that housing policy is decentralised. I believe that Mr Nijboer of the Labour Party should be there, because they are left-wing lectures, in which the Labour Party sits, imposing on existing and new middle-rental housing against the backdrop of sustainability requirements. That's how you get the rent jumps. Mr Nijboer knows that very well. That's what makes these jumps of rent possible. Let Mr Nijboer be there and not here.
ParlaMint-NL_2019-03-27-tweedekamer-6.u107	I give Mr Nijboer the room for an answer. I don't want another discussion here. We basically did that in the first term. You can answer this, Mr. Nijboer.
ParlaMint-NL_2019-03-27-tweedekamer-6.u108	It's just about where you put the protection. In the social sector, we have very strict rules on points, which are also being broken; we also have debates on them. In the free sector it is completely free. I think that for a fundamental right such as living is unwise. The sale market is not entirely free either. There are also maximum standards for how much you can borrow. There's time to think, and you have to be honest about what you're offering. With the tenants in the free sector it is unregulated. That is being abused and we must do something about it. That has nothing to do with decentralised policy, nothing at all.
ParlaMint-NL_2019-03-27-tweedekamer-6.u109	I have a question on the amendment to item No. 12 by Mr Nijboer. That's about rent increases in the free sector. He wants to maximize it to inflation plus 3% a year. Then my question is: does that apply to the whole free sector?
ParlaMint-NL_2019-03-27-tweedekamer-6.u110	That amendment applies to the whole free sector. That's right.
ParlaMint-NL_2019-03-27-tweedekamer-6.u111	Okay. I can imagine that in cities like Amsterdam and Rotterdam there are very expensive rentals, penthouses, of €5,000, €6,000 or perhaps even more per month. Does this maximized rent increase apply to those rentals?
ParlaMint-NL_2019-03-27-tweedekamer-6.u112	Yeah, I've chosen not to take a line now, but if the PVV thinks it's ridiculous to protect this in general, I'm willing to take a line like that. I've also been looking at the market. There the three-day reflection period also applies if you buy a house of 1 million. We just have it for everyone. And what do you think is reasonable protection? So you could also say: up to a certain rent we do the inflation plus 2% and then we have an intermediate category. That's what I'm talking about. I just made a proposal. If we can make a majority or if you say that we are cutting it to €1,500 and if there is more support for that, then I would be happy to do so. That can be changed in the amendment. Thank you, Mr. Chairman.
ParlaMint-NL_2019-03-27-tweedekamer-6.u113	Thank you. I shall then give the floor to Mr Smeulders of the Group of the Greens/European Free Alliance.
ParlaMint-NL_2019-03-27-tweedekamer-6.u114	Thank you, Mr. Chairman. I think it is a bit of a special debate, in particular the discussions with the Minister on the market test. We all want more middle rent. I think we agree on that. That is also the purpose of the law that the Minister has submitted. The minister says: let's simplify the market test for housing corporations, because that way they can easily build middle housing. We can see that the market is not doing enough right now. A number of parties then ask whether, in the context of deregulation and speed, we are making what I believe we all want to do about the market test. GroenLinks has tabled an amendment to that effect. It is also asked whether we can at least abolish this test for the middle rental homes. We have tabled an amendment to that effect, and I have put my name under Mr Ronnes's and Mrs Dik's motion, because I simply think it is important that we take care of this. The way, namely by law or AMvB, I don't care very much. I think it is remarkable that the Minister actually feels very little about this and that, if you ask anyone, she comes up with the argument: that might drive the market players away. We had just found that the market players barely build in the middle segment. That's why we come up with an adjustment. If you ask the question what could go wrong, there will be no clear answer. The only thing I think can go wrong in this case is that there will be more middle-rent homes and corporations will build more homes faster. I think that's a good idea. Hopefully there will be more homes, because the market players feel challenged to build more in that segment, because corporations can become more active in that market. So here comes a little more competition. So I just don't understand the Minister's reasoning. Is it really true that the real argument is that the Minister wants to protect the market and the market players in particular? I get that feeling a bit on the basis of the answers. We hope that is not the case. I would like to have a response to that in the second term. As far as GroenLinks is concerned, it is clear that we choose to live instead of profit.
ParlaMint-NL_2019-03-27-tweedekamer-6.u115	Do you have a question, Mrs Van Eijs? Go ahead.
ParlaMint-NL_2019-03-27-tweedekamer-6.u116	Mr Smeulders has his own amendment and he has now also co-signed the motion by Mrs Dik-Faber and Mr Ronnes. I have to conclude from that that it is not so much about the means, but above all about the purpose. The goal is to have more middle-rental housing built by housing corporations. He says: something must be done about the market test. Isn't it true that the market test is correct in assessing whether there is a fair playing field? If that's the purpose or the means of that market test, then why is the market test the problem?
ParlaMint-NL_2019-03-27-tweedekamer-6.u117	In our view, the market test is the problem, because it is extremely delaying. That test is just complicated. I understand from housing corporations that even the simplified version is complicated. We have great confidence in our municipalities, in which GroenLinks and D66 also regularly sit together. In this respect, I simply cannot follow the Minister very well, because in the end it is not the case that only corporations are going to build more rental homes. That's said very, very black and white, but I'm looking for a balance. It is true that the corporations are made easy. In the end, it is up to the municipal authorities to make a choice. I am confident that the municipal authorities will make good choices about this.
ParlaMint-NL_2019-03-27-tweedekamer-6.u118	Finally.
