ParlaMint-NL_2019-01-31-tweedekamer-8.u1	We continue with the treatment of the Labour Market Act in balance, Room 35074.
ParlaMint-NL_2019-01-31-tweedekamer-8.u121	Mr Smeulders. You were done, weren't you, Mr. Wiersma?
ParlaMint-NL_2019-01-31-tweedekamer-8.u122	Yes. "Thank you" had to go after it.
ParlaMint-NL_2019-01-31-tweedekamer-8.u123	Okay. It's okay. Mr Smeulders.
ParlaMint-NL_2019-01-31-tweedekamer-8.u124	I have a question on the last point made by Mr Wiersma. That was about the committee on the future of the labour market. I think it is very positive that the VVD also says: let that happen as soon as possible. What I also think is positive is Mr Wiersma's reaction to my speech to see whether it is possible to have a single basis for all workers, regardless of the contract. I'm really curious how the VVD would see that base.
ParlaMint-NL_2019-01-31-tweedekamer-8.u125	That is why I said: if only we had the Borstlap Committee, because then we could have had the debate on this. We're all looking for that. Interesting reports have been published, for example from the AWVN, which is also looking for new ways to organise work, but also to ensure surety. I think there are a lot of considerations in that. I'm just afraid we won't make any real choices if we just stick Band-Aids. I would therefore encourage everyone to make real choices and to move forward with them. We see every day that it's crunching on the labour market. We also note that this law is going to do some things about it, but it does not really solve everything. We have to. So we have to make real choices. And what they are going to look like, that is actually Mr Smeulder's question I cannot anticipate now either, but I would say that I would like to do it quickly.
ParlaMint-NL_2019-01-31-tweedekamer-8.u126	It is very attractive to start that debate now, but let us not. I have one follow-up question on the five-month probation period. I am very pleased that the VVD is also critical about this. Does that also mean that you are going to support my amendment on that?
ParlaMint-NL_2019-01-31-tweedekamer-8.u127	It's possible.
ParlaMint-NL_2019-01-31-tweedekamer-8.u128	Good. Thank you, Mr. Wiersma. I now give the floor to Mr Edgar Mulder on behalf of the PVV.
ParlaMint-NL_2019-01-31-tweedekamer-8.u129	Mr. Chairman. Three years ago, the PVV predicted that the introduction of the Work and Security Act was a bad plan. We have warned that removing the protection of dismissals and the flexibility of the labour market would be bad for the Dutch employee. A lot of people have lost their jobs in recent years. They've been discarded. A lot of these people can barely make it to the end of the month. The Party for Freedom is consistent and clear: workers are not disposable napkins; stay away from our welfare state. Mr. Chairman. The PVV would have preferred not to be right. Because there's been terrible housekeeping. The uncertainty in large parts of the middle class continues to grow. The WWZ is a terrible law. That's all there is to it. And now we have to repair it already, after three years, because all the promises about narrowing the gap between fixed and flex have not come true either. That gap is only getting bigger and bigger. The market now shows that employers' choice of fixed or flexible staff is based not on the nature of the work, but rather on costs and risks. Really, employers looking at expenses? And that surprises anyone in this room? Mr. Chairman. So now we have to talk about a new law, the Labour Market Act in balance, but this new law doesn't fix anything. Everything's just gonna break down. And again, it's already clear where it's gonna go wrong. Take the probation. Why should there be an extension of the probation period from two to five months? What kind of bullshit is that? What's wrong with a two-month probation period? Anyone in this house who's ever had a real job knows that there's always a one-month probation period or two. That's more than enough; after two months you'll know what it's worth. And then there are the proposals on the annual contracts. What evidence of incompetence! First there were a maximum of three, then we went back to two and now it has to go back to three years. If we give employers the opportunity to actually apply a three-year probation period, doesn't anyone in this room believe that we are helping more people to get a permanent job? And then the right of dismissal. People with fixed contracts get less protection. It's gonna be easier and cheaper to fire permanent staff. The PVV is and remains against relaxing the right of dismissal. And why do we need to relax? Here in this house the VVD and D66 are always shouting that companies cannot find enough people and that there are far too few employees. Then why further relax and make dismissal cheaper? It is unbelievable: this minister comes up with some sort of crisis law at a time of high economics. This law mainly contains measures to make it easier to dismiss workers and to give workers a temporary contract more often in succession. This coalition, this minister, then says that it will be more attractive for employers to give someone a permanent job, because that is the reasoning that reduces the risk of having difficulty getting rid of a staff member. So, in the end, every job becomes a flex job. You'll never be sure of your job in this country again. If your boss wants to get rid of you, you can. Well, good! Is that what the Minister means by "shrinking the gap between fixed and flex"? It doesn't stop, Mr. Chairman, especially under Rutte III. We've had to work longer. The purchasing power of the common Dutchman is broken. Pensions are cut, unelected bureaucrats from Brussels take over power and soon meat and a warm house become virtually priceless. The certainty that people still have is now being demolished. Not only the labour market is out of balance. The whole society is gradually out of balance: through migration, through Islam, through declining purchasing power, through longer working, through street terror and by looking away politicians. There's no other way. The Freedom Party chooses freedom, purchasing power and security. The PVV wants to stop further deterioration. Stop the race to the bottom! The present law is not a solution to the current problems. In fact, many organisations are of the same opinion. The Council of State is even strongly opposed. I quote: "The proposal is so bad that Koolmees' apologize; that is what the Council of State says "should have swallowed it better'. The PVV understands that Minister Koolmees is desperately looking for a success. So far everything has failed, from pension law to betterzzp legislation, but the future and security of and for the Dutch employee are more important than the question of whether this ministership is going to fail. So we ask the Minister not to push through this law because he will be a little better on it. Look at Dutch society. This law doesn't make it any better. The Party for Freedom chooses the Netherlands. So should this minister and this coalition. Thank you, Mr. Chairman.
ParlaMint-NL_2019-01-31-tweedekamer-8.u130	Thank you, Mr. Edgar Mulder. There's no need to recover from your speech, I think we'll need a short suspension before we move on.
ParlaMint-NL_2019-01-31-tweedekamer-8.u131	I give the floor to Mr Kuzu, who is already ready, on behalf of DENK.
ParlaMint-NL_2019-01-31-tweedekamer-8.u132	Thank you, Mr. Chairman. It was a thick package and it took a long time, but finally it is here: the crown jewel of D66 Minister Koolmees, the Labour Market Act in balance. To begin with the title: what a total disenchanted title. The spin doctors of this D66 minister have probably spent months breeding this title to divert attention from the disastrous consequences. This bill does not create a balance at all. This bill plunges workers into the nightmare of uncertainty and is a fantasy of the caviar-loving and wine-sipping lobby of big business. VNO-NCW is satisfied with the pink cloud and is watching from the Malie Tower what is happening here in the Chamber. Mr. Chairman. While in recent decades the profits of large companies have been rising and rising and rising and while large companies have been rewarded by this cabinet with tax rebates, which means that multinationals have to pay less and less tax, while all this is happening, the ordinary, normal Dutchman for whom this cabinet said to do it, is looking at a vulgar increase in VAT, an outrageous increase in their own risk of care and an excessive increase in the energy bill. As a result, the people of the country fall short of purchasing power year after year. And as if that weren't enough, D66 Minister Koolmees, together with his right-wing friends of the VVD and the CDA, is tearing down the long-fated security of employees. Mr. Chairman. As far as we are concerned, therefore, this bill should not be called labour market law in balance at all. This cabinet opts for big business and distributes tax rebates to multinationals, while on the other hand, this government grabs the ordinary people and takes away workers' rights. Hence, DENK has tabled an amendment to amend the citation title of the law of Labour Market Act in Balance in Labour Market Act off balance. Mr. Chairman. We are right to ask the Minister. Why do you choose big business? Why do you choose the big money? Why do you choose the bicycle elite and not the normal Dutchman? Because with the blunt axe, D66 runner Koolmees cuts into employees in our country. It's not for nothing that all unions are fatal, fatal, against his law. I would like to mention a number of comments. I quote the FNV: We do not see how this law should create more permanent jobs; people are going to be in the flex mill longer; this law takes the labour market further out of balance. I take it this piece is not said by this minister. The CNV says: insufficient and disappointing; new dismissal law is outlawing workers; the new law accelerates flexibilisation and offers workers even less security than is currently the case; therefore, decline. The VCP, the Department of Professionals, is very critical of the bill. Following a careful assessment of the measures, the VCP concludes that this law will not lead to a better labour market balance. And that is why my questions to the Minister are as follows. What do these unmistakable reactions do to him? What does he think of all the unions he's put in his armor? How dare he go through with his law in this form while half the polder spits out his proposal? Is he prepared to sit down again at the table to come to a law that unions can live with? Mr. Chairman. In any case, a package of measures that DENK can live with has the following characteristics. One. We need to get rid of this D66 minister's erosion of the fire protection. In the previous cabinet period, besides the many disasters of Rutte and Asscher, there was a few good developments. The most important development was, of course, the creation of DENK. Another good development was to strengthen the protection of dismissals. With the introduction of the Work and Security Act, the reasons why dismissal can take place are included in the law. The result was a so-called closed termination system which sets out the route of dismissal to which grounds of dismissal had to be followed, and uniform rules have been laid down to check dismissal. An employer can only resign if one of the reasons listed in the law is demonstrably at issue. If that is not the case, then it is quite clear: no dismissal. It can't be any clearer. As a result, more certainty was offered to the employee. The dismissal of an employee was no longer allowed on the basis of small facts to fit on a paper. But what happens now? The clock is reversed in a manner of speaking. The fire protection will be thrown into the trash can. The single-fact structure will be abolished and the cumulation measure will be re-implemented. The accumulation of circumstances will provide a reasonable basis for dismissal, adding a new ground to the reasonable grounds for dismissal, the so-called i-ground. This ground means that there must be a combination of circumstances from two or more dismissal grounds. And what is the result of this? The times of stasi-like practices in which malicious employers diligently look for small dots to build a dismissal file are returning. The smartest and shrewd HR employees are going to rule the workplace. By sticking labels on workers' actions, they will sneak up on files to get rid of people. That's the end of the employee's security. Does the Minister share these concerns? Does he agree with DENK that the cumulation ground can also lead to dismissal if a land cannot be fully substantiated and that workers become more insecure? Does the Minister share the view that by making it possible to combine grounds, the right of dismissal is made more complicated and unclear? Why all this red tape? Why does this minister want to interfere with the current system while research by the University of Amsterdam shows that judges consider the grounds for termination of the contract of employment sufficient for the variety of cases that occur in practice? Why does this minister think he knows better than judges who experience everyday practice? Why is this minister interfering with the current system when the current system also needs time to be properly implemented? Aren't we too early? I would like a reply from the Minister to the questions mentioned above. Mr. Chairman. For DENK it is clear that this minister should not interfere with the current system, because the Netherlands is waiting for only one relaxation of the right of dismissal and that is about the dismissal of Mark Rutte. After eight years, the Netherlands is full of him. Fortunately, in March, voters can bring Mark Rutte a little closer to the exit. For the ordinary, normal Dutch, DENK does want the protection of dismissals to be maintained. Mr. Chairman. Then there are the proposals by which the government puts workers even more into uncertainty. The period after which successive temporary contracts shall enter into a contract for an indefinite period shall be extended from two to three years. The so-called chain clause, which was shortened under Rutte/Asscher from three to two years, is thus simply extended again. Here too, one of the good points of the previous cabinet is thrown overboard. Workers must therefore wait longer for a fixed contract if it is up to D66, CDA, VVD and ChristenUnion. Workers only know after three years what they are up to and whether they will get a permanent contract. If that is not the case, the chain will simply run all over again with another employer. Waiting endlessly for a little security on the labour market with all the consequences. I really wonder why the Minister is doing this. Why is the Minister going against the Council of State on this issue? For, according to the Council of State, the extension of the chain system lacks a convincing analysis that will lead to more stable jobs. Then why is the Minister going through with this? Mr. Chairman. Then the third point, the transition fee. Again, the worker is disproportionately affected. The structure of the transition fee is limited for employees on employment contracts that have lasted more than 10 years. After the tenth year of work, not half but a third month's salary is built up. By reducing the structure, the final transition fee for long-term employees will be lower. Is this group, because it is sometimes less likely in the labour market, not even more dependent on this compensation? Doesn't this group need retraining more often? Does this group not need additional income security? Doesn't this bother the Minister with this measure? Doesn't he just grab these people in their wallet and their developmental opportunities? I'd like a response from the Minister. Mr. Chairman. On the basis of the above considerations, DENK is extremely critical of the present legislative proposal. The enormous disadvantages for workers in the country do not outweigh the benefits of the proposal, because, honestly, there are indeed benefits. DENK is satisfied with the system in which a higher WW premium will have to be paid for flex contracts than for fixed contracts. By making flex more expensive than fixed, there is an incentive to offer fixed contracts. That is certainty that workers are waiting for. DENK is also satisfied with the protection of call workers: the employee must be called up at least four days in advance and does not have to respond to the call if this time limit is not met. The needless availability of the call terror is thus off the track. DENK is also happy that payroll workers are subject to the same conditions of employment as employees who are directly employed. Payrolling must not lead to less favourable working conditions for workers or to competition on employment conditions for employers. But any bill that seeks to achieve more fixed contracts is doomed to failure if no decisive measures are taken on the subject of pay-as-you-go payment in case of illness. For small and medium-sized entrepreneurs, the system of pay-as-you-go payment in case of illness is a major obstacle to hiring staff. Half of small SMEs indicate that they do not hire staff because of rules on pay-as-you-go payments in case of illness. That's a harsh conclusion from research. Insurance to solve this problem is too expensive for many entrepreneurs. As early as 2016, therefore, DENK proposed to amend the Disease Act on the second year to exempt SMEs up to 25 employees from the second year of payment of pay in the event of illness and disability and to ensure that the public authorities will take care of the costs. This was partially incorporated by the coalition into the coalition agreement. In it we can read that the pay-by-pay period for small employers, up to 25 employees, is reduced from two to one year. The collective costs of the second year are covered by a uniform charge-covering premium payable by small employers. DENK was not yet entirely satisfied with this, but it was a step in the right direction, which was, however, deviated from on 20 December of the previous year. What is now before us is a premium discount of 450 million and a kind of support group to improve the transparency of the system and the functioning of insurance. DENK is not sufficiently convinced that this will lead to significant improvements. How much of the 450 million, I ask the Minister, is actually falling down on small and medium-sized enterprises in the form of lower burdens? How much will the burden go down? Do these outweigh the costs and risks of payment of wages in the event of illness? Can the Minister convince us that his solution, compared to the proposal from the government agreement, will lead to more permanent jobs? Mr President, I should like to say a few words about this. The Labour Market Act balances the labour market, unfortunately, out of balance. The positive developments do not outweigh the relaxation of the right of dismissal, the endless temporary contracts and the limitation of the transition fee, which affect workers in the labour market. This bill is a step backwards in that respect, and DENK wants to move forward. As far as we're concerned, this minister can go back to the drawing board. Thank you.
ParlaMint-NL_2019-01-31-tweedekamer-8.u133	Thank you, Mr. Kuzu. I now give the floor to Mr Stoffer on behalf of the SGP.
ParlaMint-NL_2019-01-31-tweedekamer-8.u134	Mr. Chairman. It is never pleasant to have to point out culprits, but I would like to do so this afternoon with three culprits on the labour market. And no, it's not the employees. It's not the employers either. And, Mr. President, the Minister doesn't have to look anxious, because he isn't either. They are not individuals, but they are the legal rules: the rules on pay-through, the rules onzzp'ers and the rules on dismissal. These culprits keep the labour market seriously out of balance. Friend and enemy actually agree on that. The government also seems to think that the balance between fixed and flexible work is considerably lost. Otherwise, you don't send a labour market law into balance to this parliament. At the SGP, a labour market bill in balance responds very much to the need, because once you walk into the street, you literally run into the problems. Think of that meal delivery guy who got out of his contract. Think also of job-makingzzp'ers who are forced to refrain from a social safety net in order not to lose the competitive edge. But we also see a small entrepreneur moaning under the excessive payment of wages for which he has to pay in full in the event of illness of one of his employees. And I am thinking of the e-mails that continue to flow steadily from older unemployed people, who become despondent, distraught and angry with that endless job application. They want to be useful in the labour market, but they hardly get a chance. This has to be different. There's no other way. The problems are caused by rules which the legislator himself has created and which the legislator can therefore easily change itself. The SGP welcomes the fact that the government sees and wants to tackle the problems. The SGP also supports the Council of State's call for urgency and that we will not get away with delay and half-time work. And that's where the shoe in this government starts to wring a little bit. The bill suggests that the labour market is being fully balanced, but unfortunately the coalition agreement shows a different picture. With the bill, the government takes only one of those three culprits into the collar: the right of dismissal. There are plans to deal with the payment of wages, but we still have to wait for the results. The Council of State also notes that the tax treatment ofzzp'ers is in fact completely out of control by the government. Those discs are being manipulated, but the fiscal stimulus is hardly changing. Would it not be wise to open the coalition agreement on this issue, too, if the coalition is currently trying to change everything? Mr. Chairman. It is, of course, possible to argue as a defence that the legislative proposal is not yet enough, but at least a first step in the right direction. And let us be clear: the SGP likes to support every step in the right direction. But we're not sure about that in advance. The measures cannot be seen separately. For example, the government wants to discourage flexible work by introducing a high premium. The intention is that employers should opt for more fixed contracts. But why doesn't this stimulate morezzp'ers? Can the government explain why this risk would not be sufficiently real? Creativity in the labour market is boundless if finances are at stake. The SGP requires adjustments in order to be able to see the bill as a good first step. In the course of my speech, I focus on the following three themes: balanced dismissal arrangements, fair employers' burdens and increased opportunities for older unemployed people. First, the balanced arrangement for dismissal. Research into the new right of dismissal shows that the system of the law does not have a satisfactory solution for all situations. The SGP supported the change of direction of the Work and Security Act to assess more critically whether dismissal is reasonable. It was to be expected that this course would lead to more rejections, for example because employers do not have their files in order. At the same time, however, judges point out that sometimes they do not have enough room to do justice to the concrete situation that they see before them. It happens that there are all kinds of factors coming together, which lead to the conclusion that dismissal is actually inevitable. The SGP therefore considers it understandable that the government wants to create a new ground for this. My question is whether it is known in how many cases the current law continues to lead to lingering problems. And, which is very important to us: we would like to get more coloration of that new soil. My question to the Minister is therefore whether he wants to make a few practical examples clear when an allocation or rejection can be considered and what role the level of remuneration plays in it. Because something of the wrong color socks and so on, it shouldn't be. As far as we are concerned, it must be a solid ground. The SGP believes that the judge should have an unabated critical attitude on the new ground, because we are not supposed to take a walk with that new ground and we are about back in the old situation and the old system. Our question is whether the Minister shares that view. Does he consider, for example, that an application should be rejected in advance if it appears that the employer has not done enough to obtain dismissal on a full-time basis? And if the Minister states that the judge is not judging the new ground, what exactly is the difference? This additional fee also raises the necessary questions. Although the ceiling creates a framework, does the Minister recognise that the court will have to develop a new kind of formula with an additional remuneration? Why is this development left entirely to the courts in the event of additional compensation? The SGP sees as a problem that the unilateral possibility of additional compensation in the case of cumulation reinforces the idea that this land is less full-fledged and serious. I have heard colleagues say something about this before. It seems to us that the government is also undermining its own story, but I assume that it is not and that there is a very good motivation for that. In addition, it may also be desirable for other reasons to grant an employer more than the transition fee, we believe. I have therefore also tabled an amendment to give the judge full-scale customization. I would like to receive a response to that. In addition, can the Minister also explain the tax status of the additional remuneration if he is still working on it? Mr. Chairman. Then I come to the honest burden on employers. The Netherlands is unique when it comes to how we deal with employers. Unfortunately, this is not a compliment in this case, because Dutch employers are having a hard time. While the average pay for sickness in other European countries is two weeks, this is two years in the Netherlands. The SGP believes it is important for employers to assume their responsibility for workers, but the government has a responsibility for us to establish fair rules. Can the Minister explain why it takes so much effort to say goodbye to a regulation which, in our view, is excessive and which is not known anywhere else in Europe? Does the fear reign here, or are there studies that show that this is the great success factor of the Dutch model? The SGP considers it fairer that we as a society bear that second year of pay-through, provided that we have an extra critical test after a year or there is real ground for that. Does the Minister think that his new proposals can really take away the experience of pay as a millstone? The bill also creates new burdens and obligations for employers. Some of them think the SGP is really crazy. Take, for example, the rule that wages should be paid if working hours change within four days before the agreed time. Let me explain. Suppose student Wouter has the entire Friday off on Friday morning and plans to work on that morning. But on Wednesday before that, his boss calls asking if he can work not on Friday morning, but on Friday afternoon. "That's fine," says Wouter, "because then I'm entitled to a full day's pay." And he's gonna turn around in his bed one more time. Mr. Chairman. That is the situation we do not want to get into. That is actually what we see, as it is now in this bill, coming from it. As far as we are concerned, therefore, we should not want such arrangements in this law either. The SGP notes that the bill does not take sufficient account of additional jobs for students and students. That is why I have also tabled an amendment to protect the employer from additional obligations in this situation. The SGP also calls for specific attention to be paid to employers dealing with seasonal work. Think of agriculture and horticulture, but also sectors such as recreation.
ParlaMint-NL_2019-01-31-tweedekamer-8.u135	I see you're almost done.
ParlaMint-NL_2019-01-31-tweedekamer-8.u136	I'm at three-quarters, so to speak.
ParlaMint-NL_2019-01-31-tweedekamer-8.u137	Then I'm going to see Mr. Van Kent.
ParlaMint-NL_2019-01-31-tweedekamer-8.u138	I am very curious when Wouter will have to be heard on the SGP when he is expected to be in the workplace.
ParlaMint-NL_2019-01-31-tweedekamer-8.u139	At least before he has to be there, but let me say that the previous day seems very reasonable to me. Such a four-day period in a situation of a holiday job or a side job should not be so imposed by rules. Then you get the situation that you get paid a whole day for a few hours of work. I'd find a day reasonable.
ParlaMint-NL_2019-01-31-tweedekamer-8.u140	If Wouter wants to make plans for Friday on Thursday, can Wouter only decide on Thursday whether or not he can visit family on Friday or do any other activity, because he doesn't know whether or not he should work that Friday?
ParlaMint-NL_2019-01-31-tweedekamer-8.u141	Look, in most situations, this won't be such a point, but it's my point that someone can't demand that someone can't assume that if anything changes, he gets paid a whole day instead of half a day. Then you're gonna do this kind of work... You may have other examples in which this is very poignant, but in a side job it is often a matter of 'you have some'. I don't know what you used to have for side jobs, but I've had a lot of them, for example as a bikemaker. And then it happened all the time that it wasn't necessary in the morning and it was necessary in the afternoon. In situations like that, you shouldn't want it to be paid for all the time. To return to your question, I find a day in advance very reasonable.
ParlaMint-NL_2019-01-31-tweedekamer-8.u142	Mr Van Kent, finally.
ParlaMint-NL_2019-01-31-tweedekamer-8.u143	I worked at a hotel service on Saturday. That was every Saturday. The nice thing about that was that I could make plans for Friday and Sunday. Your plans on Sunday would probably be different from mine, but it was nice to know what I had to do. It seems reasonable to me that an employer should let an employee know when to show up. My party believes that it should be possible even two weeks in advance, because an employer can make schedules. The SGP says here: a day in advance you should be able to hear that you have to show up. I am surprised at that, and I certainly do not agree with that.
ParlaMint-NL_2019-01-31-tweedekamer-8.u144	Look, there's two differences. First of all, that "come out." It's not always gonna change every week. But the fact that you're paid for a side job when you haven't worked and that you can demand it, we think that goes too far.
ParlaMint-NL_2019-01-31-tweedekamer-8.u145	I heard a sweet baby voice in the public gallery.
ParlaMint-NL_2019-01-31-tweedekamer-8.u146	Yeah, that sounded kind of cute. Mr President, I will continue with the rest of my contribution, because I do not think that the SP and the SGP will agree on this. I was talking about agriculture and horticulture and recreation. In our view, this legislative proposal makes it even more difficult for them to do so, while they cannot do much about it themselves. As an alternative, the Minister mentions annual contracts, but also those which often offer no comfort to employees and employers and lead to all kinds of practical difficulties. That is why I have also tabled an amendment to extend the legal exception for this work in the chain clause to the new obligations. I would like to get a response to that amendment. I also call for attention to be paid to health criticism. There it is strange that the special accessibility services fall outside the Working Time Act on the one hand, while on the other hand they lead to a higher premium, because they usually exceed the 30% limit. My question is whether the Minister would like to respond to that. Mr. Chairman. I come to my final point: more opportunities for older unemployed people. Unfortunately, it is not news that the opportunities of older unemployed people for a new job are very bad. Here, too, pay for employers seems to be the greatest scare. I ask the Minister if he sees room for action for the elderly in the preparation of his plans. What does he think of the suggestion that at least for this group, for example from 55 years of age onwards, the payment of wages should be reduced or substantially reduced? To help this group really needs a lot of movement. Would the Minister once again urge employers to look more seriously at alternative functions rather than exiting older workers? The SGP is also concerned about the expiry of the transitional regime for 50-plussers in the transition fee. I believe that Mrs Van Brenk will say something about this later, but this is also an issue for us. The table provided shows that this group will get a big chew from next year on. The SGP would like the judge to be given the opportunity to provide tailor-made services as an alternative to this scheme. This additional allowance can take into account, among other things, the age and also the opportunities of people in the labour market. This customisation is not only necessary in the case of the new cumulation ground, but may also be desirable in the case of existing legal grounds. Why should an additional allowance not be possible if, for example, an employee is unfit for his job, while the dismissal is not seriously reprehensible? My amendment on the system of fees also provides a solution to this. I would like to hear the Minister's views on this. Finally, Mr President. The SGP still has the necessary questions open to it to make a final assessment of this bill. The SGP is happy to help solve existing problems in advance, but it must be absolutely clear that, on balance, this is a step, a real step, in the right direction. I hope that at the end of this debate we can clarify this. Thank you very much.
ParlaMint-NL_2019-01-31-tweedekamer-8.u147	Thank you, Mr. Stoffer. I now give the floor to Mr Pieter Heerma on behalf of the CDA.
ParlaMint-NL_2019-01-31-tweedekamer-8.u148	Thank you, Mr. Chairman. This legislative proposal is an important step in balancing our labour market, and it is an important task for politics, because the dividing lines in our society are getting sharper. Mr Smeulders also started by referring to last week's debate on the SCP. I am thinking of the dividing line between winners and losers, between high- and low-skilled people, between those who are insiders in the labour market and those who no longer intervene, and those who can come along and those who get caught up. When it comes to combating horizontal fragmentation in our society, the labour market is not the only challenge we have, but it is one of the most important. The status quo in the labour market currently has winners and losers and therefore breaking that status quo is something that raises resistance. This is something we have seen in the polder over the past few months: employers and employees are often opposed to each other in the assessment of this bill. For years, it was adagium, also of many parties in this house, "fast is too firm and flex is too flex." And now employers and employees often seem to be calling out the most loudly that only "fixed is too solid" is a problem, or just "flex is too flexible." With that both only tell half the story and that is a pity. I am convinced that the only way to combat this gap in the labour market, as well as the division of society, is to make a movement at the same time. And it is just important that people get more perspective on that permanent job, including those who do not have it now, in this economic tide, and that fluctuating flex, purely on financial grounds, is being combated. The central question next is: how do you do this? How do you manage that employers who want to feel more space to give that fixed contract and that the road to a construct is being taken a little less quickly in sectors where constructs are on the rise? In my opinion, you need roots and sticks for that, and that is what this bill is looking for. Incentives are being sought on both sides to bring that labour market more into balance. The risk of using only sticks is that sticks do scare away, but you don't know what to do. That risk was also mentioned in this debate; Mr Smeulders spoke about the effect of waterbeds. There's a risk. My point is that these roots also help to prevent this. A carrot lures somewhere. However, I share with several speakers in this debate that it is also very important that the measures we are taking to deal with freaked-out structures be implemented as a matter of urgency. From this point of view, I would therefore like to urge the Minister to keep up the momentum in this process and to put forward proposals as soon as possible to reduce the risk of a waterbed as much as possible. I will comment on many of the measures taken by the cabinet that I agree with, but I would like to start with a measure that I am convinced we should not do. That will not surprise you, since Mr Van Weyenberg, in his term of office, already took a bit of the tension by referring to me. I thought the extended probation period was an interesting idea, but we cannot ignore the fact that, even in the hearing that is organized, none of the experts thought it was a good idea. They mainly pointed to the risks of abuse associated with it. Then the conclusion is that an interesting thought is not yet a sensible idea. That is why I shall spare Mr Smeulders the run-up to the interrupting microphone. I would also like to support the amendment tabled to remove it from the law. That saves another interruption, Mr. President. I would also like to ask the Minister whether he would like to comment on whether he thinks that the risks it presents are greater than the opportunities it offers. My party is, however, in favour of the amendment of the right of dismissal. As far as the Work and Security Act is concerned, as I said to Mr Van Dijk, I had discussions with Minister Asscher at the time on whether the grounds of the new law are not too oppressive, the possibilities of dragging proceedings, and the head-wrestling of small and medium-sized enterprises, because it is not just small entrepreneurs who are trying to give people a chance at all on the labour market. The risk is, therefore, that selection at the gate becomes an answer, actually analogous to the risk that different parties see here also about pay in case of illness. Mr Smeulders was right to say that we are doing something about this. I think that should also be done here. The adjustment of the right of dismissal in the subsequent period was a very important step in trying to balance that labour market. Thus, this bill is not a total break with the past, but is in line with the thinking that was present at the time. The adjustment that we are making now, I think, is sensible, because it gives a little more room for the judge to dissolve, something I also advocated at the time. This makes it the barrier for employers to offer people a permanent contract, hopefully a little smaller. I also think it wise that the cabinet should choose to differentiate the amount of the WW premium according to contract form and that the transition fee should be introduced from day one. These are sensible measures that I believe GroenLinks advocated at the time. This has also been found in the coalition agreement and has rightly become part of this bill in the search to bring more balance to the labour market on two sides, to give more people the chance of a permanent contract, on a permanent job, and to give employers who wish to do so the feeling that they have the courage to do so. At the same time, you also have risks of waterbed effects here. I wonder whether the Minister would like to respond to this, also given the search that several spokesmen have already mentioned in their term. Mr Van Dijk already indicated, Mr Van Weyenberg joined, but Mr Stoffer is also looking for amendments, how to obtain more tailor-made work in the sector, for example in seasonal work. I think that's wise. Real seasonal work, I want to find a solution to that, too. This is also in line with the pleas made by many employers' organisations to do something about this. I would like to join previous speakers, who have also referred to sport, in saying that there are concerns there too. My question to the Minister is first of all: what room does he see for more sectoral tailor-made work and does he want to respond seriously to proposals that have already been made here? From the construction are...
ParlaMint-NL_2019-01-31-tweedekamer-8.u149	I am very curious to see where the CDA is defined in this proposal. Because there are a lot of risks here, plus the fact that there is also an increased influx into the WW during seasonal work. If people are fired every year and are not entitled to WW, it is not surprising that these employers contribute extra to that WW pot. I'd like a reflection on that.
ParlaMint-NL_2019-01-31-tweedekamer-8.u150	Every exception you make brings with it the risk of abuse. That's always the complicated thing about this. I find Mr Van Dijk's and Mr Van Weyenberg's quest for more sectoral space interesting. In the WWZ, also with adjustments and so on, there was already more space. I have seen Mr Stoffer look for opportunities to broaden them. I am charmed by that and I am also curious about the Minister's response to it. Also the search to look at small jobs among students, for example, I find no crazy way of thinking. I am also looking forward to the Minister's response to this.
ParlaMint-NL_2019-01-31-tweedekamer-8.u151	One of the reasons why the Social Insurance Bank functions well in terms of the AOW is because it is the same for everyone. At the moment we're going to make exceptions, you're going to have all kinds of demarcation problems and also implementation problems, I guess, at the Tax Office. We all know what the IRS is like. You also run the risk that employers will wrongly claim that there is seasonal work. Does Mr Van Weyenberg, sorry, Mr Heerma not see that in this law...
ParlaMint-NL_2019-01-31-tweedekamer-8.u152	They're so much alike.
ParlaMint-NL_2019-01-31-tweedekamer-8.u153	Well, Mr. Heerma is more handsome, isn't he, Mr. Chairman?
ParlaMint-NL_2019-01-31-tweedekamer-8.u154	Well, don't be unkind.
ParlaMint-NL_2019-01-31-tweedekamer-8.u155	Does he see that in this law that simplicity can ensure that it works well and that if we make the complex, there can be all kinds of problems?
ParlaMint-NL_2019-01-31-tweedekamer-8.u156	In any case, I am very pleased that you indicate that the law is going to work well.
ParlaMint-NL_2019-01-31-tweedekamer-8.u157	Here's to this part.
ParlaMint-NL_2019-01-31-tweedekamer-8.u158	I also take your question seriously. This is always a complicated consideration, but it's not new. During the previous period, I have been on the sidelines with your predecessor, Mr Ulenbelt, on a regular basis when, due to implementation costs, regulations were abolished which were, on the contrary, highly valued in the sector. Part of that came from the predecessor of the former Secretary of State. It was also often then: exceptions are difficult, hassle. So, yeah, there's that trade-off. But as your predecessor and I have sometimes been side by side in order to maintain exceptions which were about artists' arrangements, and that was all about frosts, I am looking for exceptions here just as well, because the labour market is not uniform. I see the risk. That is why I am curious about the Minister's response to how to give tailor-made work and at the same time keep the risks Mr Van Kent points out as low as possible.
