ParlaMint-NL_2019-10-29-eerstekamer-3.u1	I would like to welcome the Prime Minister and all the other leaders here today.
ParlaMint-NL_2019-10-29-eerstekamer-3.u131	Mr. Chairman. I dare to break into the maiden speech of someone who first entered the House of Representatives 30 years ago. So far, congratulations on the fine speech and the underlining of the maintenance that our rule of law requires in many respects. At the same time, Mr Rosenmöller mentions Amsterdam, the worrying state of serious drug crime and how the police are under pressure to get it back in order. Hard drugs play a very important role there. Now I hear from his party once in a while that you could, for example, legalize ecstasy and other forms of hard drugs and that that would work. The Netherlands is currently the world exporter of hard drugs. What does the serious crime finance? Drugs, especially hard drugs. Mr Rosenmöller has outlined a great deal about our dislike of neoliberalism. Isn't this actually a touch of neoliberalism that we thought: we leave it to the market, we legalize it and then we'll be okay? How does he look at his party's view of hard drugs over the past decades? Does he see any reason why he should take a look at certain points, as he congratulates the Prime Minister for that? Does he see any reason to correct something for GroenLinks himself at this point?
ParlaMint-NL_2019-10-29-eerstekamer-3.u132	Thank you for the idea at all that I could change my party's line. But anyway, I'll try to answer the question more seriously. We are dealing here with an extremely complex story. Everything that has been said in recent months about the legalisation of hard drugs, with everything that my colleague Cathelijne Buitenweg has said about this in particular in recent months, falls to the majority in politics as seed on the rocks, while that is what many experts say in society. Then there is the complexity of whether you do it in the Netherlands or do it internationally. We are, of course, dealing with the Netherlands, but then we are dealing with international treaties. So the complexity is such that we would prefer to see, for example, the Minister's letter, which presents a rather comprehensive picture, in such a way that we eventually control drug-related organized crime rather than the underworld in some areas.
ParlaMint-NL_2019-10-29-eerstekamer-3.u133	But the analysis is correct that this drug mafia in the Netherlands has been able to grow due to the years of tolerance policy. It is precisely the conditions in the Netherlands that make the port, the regulations and our fantastic infrastructure that make sure that serious crime likes to settle in the Netherlands. Even if we legalize drugs in any way... I'm sick of it. You think it's a solution, and that's why I want to talk about it, because I always want to think about solutions. But even if we legalize it, those other characteristics continue to apply to the Netherlands and the Netherlands is a paradise for criminals to export solid hard drugs that destroy lives. I do not see how GroenLinks can continue to think so brightly that we can change this complexity by talking about legalization, because that is how we normalize the use.
ParlaMint-NL_2019-10-29-eerstekamer-3.u134	Mrs Bikker calls the word rosy. I want to stay away from that. It is extremely complicated, but I am fighting against the fact that the criminals, the organized criminals, are able to find the Netherlands because of the tolerance policy. To a large extent, these criminal organisations are able to find the Netherlands because of the fact that it is an extremely attractive location to be able to do and continue illegal activities. That's what research is currently establishing. And so, in his letter, the Minister also says something about tackling these financial flows. That's exactly what I'm putting an extra emphasis on: follow the money. That's what we have to do. Again, it is not all we have to do, because we also have to do something about, for example, those often young children who are framed to do the crappy work, to do runner work. So there is clearly a preventive and a social side to it, but I am fighting that organised crime settles here because of the tolerance policy. See what the Italian experts say about this, which I have also quoted.
ParlaMint-NL_2019-10-29-eerstekamer-3.u135	Mrs Bikker, a third and final interruption on this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u136	Yes, Mr. Chairman. In the analysis carried out by the police academy on synthetic drugs, it is argued that the Netherlands had a rather naive policy on this element since the 1970s. Let's face that honestly. Then I'd like to talk to you about all the solutions. I'm not megadogmatic in that. But I do think one thing is important, and that is that we do not normalize this use, because it would destroy the children of our country when we say it is normal to use drugs. That's my big concern when we say things about legalizing parts of hard drugs.
ParlaMint-NL_2019-10-29-eerstekamer-3.u137	I don't think it's normal either. I welcome the fact that there is one element in this debate that affects the consumer's responsibility. Absolutely. I find it hypocritical in some way, but we had another solution in the policy of tolerance, namely: the back door is closed and the front door is open. Yes, that is the Dutch policy of tolerance for decades, criticized by your group on the one hand and criticized by us on the other, but it was not good. That has certainly caused problems. That is what I would like to say on this point. Let us continue this debate. It is more complex than many think, but we have to do it here with sufficient capacity.
ParlaMint-NL_2019-10-29-eerstekamer-3.u138	I enjoyed Mr Rosenmöller's speech, but I must say that I am a little shocked. He doesn't do himself any good if he says he doesn't have any influence on his party's policy. I hope not, because then we can all go home. Such an important man within GroenLinks must have influence. And I would say: especially in Amsterdam. I have also already started on Tops and Tromp's report, which has been a little under-exposed. This illustrates the situation in Amsterdam. It says Amsterdam is a failed state. I made the word 'a failed city', but I can say that Amsterdam is run by GroenLinks and you should have some influence on that.
ParlaMint-NL_2019-10-29-eerstekamer-3.u139	I don't see this relationship, unless you'd like to say it's been a failed state for 15 months.
ParlaMint-NL_2019-10-29-eerstekamer-3.u140	Mr. Cliteur, finally.
ParlaMint-NL_2019-10-29-eerstekamer-3.u141	If we're going to talk about the historicity of that failed state... I really liked that you were talking about 1989 and that Saviano guy. Saviano is a crime reporter who has been guarded throughout his life, at least in recent years, for criticizing the Mafia. Actually, a situation similar to Geert Wilders' situation with regard to jihadist terrorism. Very similar those two to each other, and also something that should give us some thought, which fits very well with the first part of my speech on the state. 1989 is also an important moment because in 1989 a fatwa is pronounced by ayatollah Khomeini about Salman Rushdie. An important event is the fall of the wall in 1989, but on the other hand this is also a very important moment. From that moment on, we have enormous problems with jihadist terrorism, and so in recent years we have also had a lot of problems with organised crime.
ParlaMint-NL_2019-10-29-eerstekamer-3.u142	What's your question, Mr. Cliteur?
ParlaMint-NL_2019-10-29-eerstekamer-3.u143	The question is: how are we going to do that and what is GroenLinks going to do about it, especially in Amsterdam? I have the impression that Amsterdam is, in a sense, a city where the problems are very great, but also where the political power lies, especially at GroenLinks, to do something about it. So what are we gonna do?
ParlaMint-NL_2019-10-29-eerstekamer-3.u144	The question is clear. Mr. Rosenmöller.
ParlaMint-NL_2019-10-29-eerstekamer-3.u145	The Green Left in the big cities are doing what they can when it comes to combating this issue, but ultimately the decisions here will determine what can happen locally in the big cities. There is indeed agreement between a part of your story and mine. We both talked about Tops and Tromp's report, which you explicitly mentioned and now by me. We share the concern that ensues from this. So let's stay away from the question of who is where the most local and who has the most influence on what or not. We believe that this is essential, and if that is something that also binds us, then we are going to have to take the reasons why organized crime settles here away from each other. And that's really part of the location factors. That's part of living and that policy, and it's in the lack of capacity to solve it. We need to do something about that.
ParlaMint-NL_2019-10-29-eerstekamer-3.u146	Would you like to continue your argument?
ParlaMint-NL_2019-10-29-eerstekamer-3.u147	I had stayed with the organisations of the rule of law that were or are run as a company, with too much focus on funding, on output. I would like to stress that the rule of law is not a business. Chief Akerboom said we need to put an end to the yo-yo policy. He is right to say that we cannot maintain the rule of law if we do not opt for more constant funding. We need a long-term vision, including budgetary frameworks, for the organisations that serve the rule of law: the police, the Public Prosecutor's Office, justice, including the legal aid financed. We ask the Cabinet to set up a wide-ranging independent committee of experts to advise us on this in such a way as to ensure the necessary independence, accessibility and strength of action and to sustainably strengthen the rule of law. Mr. Chairman. We want a government that directs the great transitions we stand for. One of them is a timely and effective response to the climate crisis. There is a great deal of international consensus to drastically reduce CO emissions. The lives of millions of people are already being affected by climate change, and the urgency comes further from those protesters who ask governments around the world to take action. The urgency comes from the Secretary-General of the United Nations who constantly urges governments to implement the Paris Convention. The urgency comes from our financial supervisors such as DNB that encourages financial institutions to take their role in that transition. With the Climate Act and the Climate Agreement, we are making real progress, but the Prime Minister says we have until 2050. It's like he's still there. That is exactly the wrong message, in all kinds of ways. Of course, the government can't do this alone. We will need the movement of citizens and their organisations very much. The same applies to sustainable business. We want to implement this transition in a way that adults can wear and young people ask of us. This requires direction and coordination of an active, fair and binding government. Active in the sense that its own instruments are being actively used, I am thinking of the investment fund. A fair government that lets the polluter pay and the strongest shoulders bear the heaviest burdens. Everyone will have to make their contribution, but it cannot be that the lowest incomes pay the highest price. Great transitions require a minimum of certainty. Does the Prime Minister agree with us? That government is also governed by the law. I ask the Prime Minister to confirm in clear language that both the Urgenda judgment and the Council of State ruling on nitrogen will be implemented. Mr. Chairman. We want a government that is a reliable enforcer, but what have we done to cut back and make it complex? The problems at the CBR, the Tax Office and the UWV are known. Decentralisations lead to shortages and chaotic scenes in urban areas, while we are facing huge transitions in the areas of climate, energy, agriculture, mobility and so on. Many of these transitions need to be established locally through the instruments of the Environment Act. Experts have told us here that we are on our way to another crisis in which we are threatening to overrule the implementation services and the municipalities. What is the government doing about the policy and implementation capacity in order to carry out the core tasks and necessary transitions properly? Mr. Chairman. We want a government that provides an attractive public sector. For decades, marginalising the government has also had an impact on the value of public work. Many people who nevertheless opted for a career in the public sector were faced with an enormous workload. Ask the people in the police and the judiciary, ask the teachers and nurses, and so on. People who are invaluable to our society; professionals who do not opt for the highest salary, but in many cases three strokes to work around. The appreciation for the public work does not match the performance delivered. That appreciation should always be there, deficits or not, high-conjuncture or not. This appreciation also contributes to a higher status and these people deserve it. If you choose education with two masters, you're supposed to be a hero and not a loser. I'd almost say the Prime Minister's a hero, too, because he's in front of the class every Thursday morning, but I think he only has one master. Mr. Chairman. This high status also includes an acceptable workload, a decent salary and confidence in professional autonomy. The Prime Minister's appeal to private employers to increase wages also creates obligations for the role of the government as an employer. We are confronted almost daily with poignant stories about drop-out; mostly young children who do not receive the education they are entitled to with additional consequences for children with fewer opportunities. They often live in vulnerable neighbourhoods of large cities. And we're talking about equality of opportunity. I will confine myself to my main role in education, but we urge the cabinet to solve the acute problems in basic education in particular. I'd like a concrete response. Mr. Chairman. I'm rounding up. We celebrate this and next year at many moments 75 years of liberation. Today in Breda. With a look across the border, we must recognise that many people do not have that freedom, that people are fleeing hunger and violence. I am thinking of the Kurds, but not just of them. We will often hear in the coming months that the trinity of freedom, democracy and the rule of law is not self-evident, that we must fight for it. The regaining of authority and trust in the government is very important. We want to remain a democratic rule of law, but too many people turn away from it. Apathy is death in the pot of democracy. We like to talk about one country, one society, but the hard reality is that there are parallel societies. The government, together with civil society organisations and civil movements, together with the benevolent business community, will have to direct major transitions, and this requires direction and reliability. After all, these trials last longer than a cabinet period. The government will have to protect the less resilient citizens. It will have to reduce unacceptable differences, improve its executive functions and comply with legal rulings. Mr. Chairman. On these lines, our group will assess government policy. The reformist in me doesn't pick up his nose for small steps. We will therefore support legislation which will take us a step forward on balance, but we will not hesitate to block backwards.
ParlaMint-NL_2019-10-29-eerstekamer-3.u148	Mr Rosenmöller points out that it is very urgent to reduce CO emissions. We as PVV are different in this film, I would like to emphasise that. But if you think it's so urgent, why don't you keep a story for nuclear power plants?
ParlaMint-NL_2019-10-29-eerstekamer-3.u149	Well, Mr. Chairman, how much time do you have?
ParlaMint-NL_2019-10-29-eerstekamer-3.u150	Not much.
ParlaMint-NL_2019-10-29-eerstekamer-3.u151	We do not do that because we are on our way to a sustainable society and we do not consider nuclear energy in the present state to be sustainable and unaffordable. That is why we reject it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u152	Can you explain why you don't think it's sustainable?
ParlaMint-NL_2019-10-29-eerstekamer-3.u153	I'd say read the pieces. There are some people who have said something about storage, that you have to do it underground, that it does not disappear there and that next generations suffer from it. I think, looking at you a little bit like that, maybe we're not anymore, but okay. That's not sustainable. Sustainable is that in a few generations you won't suffer from it. The problem of storage is such that it has not yet been resolved, is not sustainable and that you should not do so with those forms of radiation.
ParlaMint-NL_2019-10-29-eerstekamer-3.u154	Mrs Faber, third and last time on this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u155	I think it's fair to say that I'm doing it for the sake of time, a little bit of bullshit, because there are really good solutions. thorium plants are also coming. You probably prefer windmills. There was another piece in the newspaper this morning about the greenhouse gases released by windmills. That was already known by the Kyoto Convention, but it was deliberately removed from the Climate Agreement. So, in fact, it's a little hypocritical, I'm afraid.
ParlaMint-NL_2019-10-29-eerstekamer-3.u156	We disagree, but if you have a different opinion, do you swear or are you a hypocrite? Is that a bit of the PVV Group's assessment? Then I can get used to it a little bit, because it will happen more often that we may look at reality a little differently.
ParlaMint-NL_2019-10-29-eerstekamer-3.u157	I propose that we hold the debate in substance and that we do not take the same measure in these terms.
ParlaMint-NL_2019-10-29-eerstekamer-3.u158	I'm responding to the interruption, Mr. Chairman.
ParlaMint-NL_2019-10-29-eerstekamer-3.u159	I understand.
ParlaMint-NL_2019-10-29-eerstekamer-3.u160	I'm gonna have to respond to this.
ParlaMint-NL_2019-10-29-eerstekamer-3.u161	I had to respond. Would it be okay if we just put it down in a minute?
ParlaMint-NL_2019-10-29-eerstekamer-3.u162	President. - I call the Group of the European People's
ParlaMint-NL_2019-10-29-eerstekamer-3.u163	Mr Rosenmöller, the chairman has given me the floor and I am allowed to speak in this House at that time. Anyway, you're gonna have to get used to it, too, because this is your maiden speech. Okay, that happens. Of course, you may have a different opinion, but of course it is true that I am only going to use the words'somewhat gibberish' once again that there are no good solutions for radioactive waste. There are techniques in which we can very, very, very reduce radioactive waste.
ParlaMint-NL_2019-10-29-eerstekamer-3.u164	My conclusion is no different than that we disagree. I have only responded to the qualifications given by Mrs Faber herself. I won't mention them. In future, let us continue to discuss on the basis of content.
ParlaMint-NL_2019-10-29-eerstekamer-3.u165	I waited, because I have just learned from Mr Kox to wait at a maiden speech until it is finished. I congratulate Mr Rosenmöller and also Mr Cliteur on their maiden speech. Mr Rosenmöller has made a nice plea to the cabinet to stick to everything that currently exists around the climate situation. We note with each other that construction is still at the moment. This is about 18,000 projects and there are probably more by now. Earthmoving's jammed. The farmers have a huge problem. Does Mr Rosenmöller, in sticking to these measures, suggest to the cabinet how we can get the Netherlands out of this hold and get it off the lock again?
ParlaMint-NL_2019-10-29-eerstekamer-3.u166	Yes, we have talked a lot about this in recent weeks, also with farmers. We have to go to another agriculture. That's, I think, our both starting point. The legal statements we are faced with are the starting point for our action. We do not look backwards in this case, because that is the starting point. We have a huge nitrogen problem. I think we share that. How do you then deal with the future of agriculture separately from the question of the nitrogen problem? How can public money or money from farmers' financiers, such as banks, tempt farmers into other activities? Of course, we have all kinds of ideas about this, sometimes with farmers' organisations. So, yes, I do. It is not a question of supporting everything the cabinet says. We're talking about a big transition here where we have to get out of each other. You cannot say to farmers: boys, the way you produce in the present and have produced in the past is acceptable for the future. That's really... I can't do that anymore.
ParlaMint-NL_2019-10-29-eerstekamer-3.u167	Mr Rosenmöller's reply is aimed at farmers. Maybe it's something else with the builders and the earthmoving. Pfas is now a tricky extra problem. Should construction also be halved or otherwise organised, so that we get a completely different way of decorating the country or something like that? We cannot tell those people that we have discussed with the farmers that we have to do something else, because at the moment the country is locked. I mentioned the 18,000 construction projects. That's gonna cost thousands of jobs.
ParlaMint-NL_2019-10-29-eerstekamer-3.u168	There is a more concrete and a more general answer to be given. The more concrete thing is that farmers must be given a perspective. As far as construction and pfas are concerned, I heard something on the radio this morning about the cabinet's intentions to instruct RIVM to look at other standards. That's not what I'm gonna talk about here. That's all gonna end up here someday. The builders are also changing. In construction, in the nature of the work and the materials changes a lot. That's the situation we're in. Mr. Schalk, we are in an economy that is transforming from an old-fashioned economy to a modern, sustainable economy. This gives all kinds of effects and all kinds of uncertainty. I understand that uncertainty. However, we must be absolutely clear about the perspective we are working towards and then take people with us on that journey. Leaving everything as it is means burdening the new generation with a debt that is unacceptable. I hope you, your party and your supporters will understand this as well.
ParlaMint-NL_2019-10-29-eerstekamer-3.u169	Mr Schalk briefly and then we finish this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u170	When it comes to the economy, at the moment we are dealing with an economy that came out a few years ago, went full circle and is now crippled. I can follow Mr Rosenmöller when he says that we must look to the future to resolve this. That's the long term. We're gonna talk about that. But in the short term, it will not help the builders. There seem to be people coming from the earth moving towards The Hague tomorrow. This morning, one of the secretary of state said she was absolutely right. At least I understand that they are welcome and that she will address them. These people will not benefit if we now tell them that in a number of years it will have to look different. Right now, the case is locked. How do we get that off?
ParlaMint-NL_2019-10-29-eerstekamer-3.u171	Let me say one more thing about what has puzzled me over the past few months, if I may say so, was the question of how it was possible for the PAS law to pass the First Chamber. How did that happen? We are talking about problems that were discussed here years ago. With an overwhelming majority, this First Chamber has agreed to legislation of which we are today experiencing the consequences. The Animal Party, 50PLUS, SP and yours truly did not vote for it. I don't think I'm shorting anyone right now. Oh, the OSF, excuse. That was the handful of opponents. The vast majority, including your party, was for that. I would almost be inclined to use the faint you-bak by saying: is there also any reflection possible on why this could have happened in 2014, which meant that we now had to close things down in 2019 as a result of legal rulings?
ParlaMint-NL_2019-10-29-eerstekamer-3.u172	Mr Schalk briefly.
ParlaMint-NL_2019-10-29-eerstekamer-3.u173	I thought I was out of room, Mr. Chairman, but I was actually being addressed. Was there any reflection? Yeah, there's some reflection at the SGP. That is why my party recently voted against the Climate Law. In doing so, we will once again place some sort of percentage in the law that we will be faced with in the future.
ParlaMint-NL_2019-10-29-eerstekamer-3.u174	Thank you, Mr. Schalk. In your own term, you will be given an extensive opportunity to respond to this. I shall go briefly to Mr Van Rooijen.
ParlaMint-NL_2019-10-29-eerstekamer-3.u175	First of all, I would like to congratulate Mr Rosenmöller on his maiden speech. Those congratulations also apply to Mr Cliteur. In line with what has been said before, I have also waited until the end of the contribution. I missed something, and you can guess what that is. You did not use the words'retirement agreement' or 'pensions'. That is remarkable because GroenLinks supported the pension agreement with the Labour Party as opposition parties. My question is mainly based on what happened after the beginning of June when that agreement was signed. The interest rate fell and the discounts are increasing for millions of people. Do you not think that, in view of the further progress of the negotiations on a pension system, all reductions should be removed? I would remind you of the initiative I submitted last year in the Lower House together with colleague Smeulders van GroenLinks to extend the five-year period by two years in order to give more time to pension funds, who threatened to come under water because of this absurd calculation rate. Now we're months away. Do you not think that we should say in retrospect that, in order to succeed in these negotiations, we do not think that they are necessary, but that you should at least withdraw those discounts? Large cuts are, of course, very damaging to confidence, but there is also a good chance that the agreement will fail.
ParlaMint-NL_2019-10-29-eerstekamer-3.u176	Your question is clear.
ParlaMint-NL_2019-10-29-eerstekamer-3.u177	I say to you as my second colleague in a row that we cannot keep everything as it is. This applies to agriculture and construction, but also to pensions. When it comes to the threatening reductions, I say to Mr Van Rooijen that our Parliamentary Group, with other political groups and with the Minister, has discussed whether you cannot reasonably think of anything that would prevent these reductions from going ahead. We're in transition. It was precisely the intention of the pension agreement to avoid these reductions. You know what happened in the financial markets. You know what happened with regard to interest rates. You know what effect that has on the level of coverage. You know what coverage level is needed to avoid shortening. You know these boundaries as well as I do. Nevertheless, we have said to the Minister: look what you can do to avoid discounts on 1 January.
ParlaMint-NL_2019-10-29-eerstekamer-3.u178	Mr. Van Rooijen, one last question.
ParlaMint-NL_2019-10-29-eerstekamer-3.u179	I think I might even be able to ask a third question. Colleagues may, too.
ParlaMint-NL_2019-10-29-eerstekamer-3.u180	In this house, as under my predecessor, there are two interruptions and, exceptionally, three.
ParlaMint-NL_2019-10-29-eerstekamer-3.u181	Or sometimes four.
ParlaMint-NL_2019-10-29-eerstekamer-3.u182	We're gonna go through that line.
ParlaMint-NL_2019-10-29-eerstekamer-3.u183	I'm only my second and I'm almost being called to order. With the answer that you cannot keep to everything, I agree in general at least. But then you gave me an answer which gives me some of the confidence you have with us here in this Chamber. when proposals come to mind on how to avoid these reductions, especially in view of the new system. That was also the background and motivation of the joint initiative-law design with GroenLinks for young and old.
ParlaMint-NL_2019-10-29-eerstekamer-3.u184	It may be that Mr Van Rooijen is surprised, but then he really missed something. The well-known Paul Smeulders on the other side says exactly the same thing, for months. I see a non-verbal reaction from the Minister of Social Affairs who is doing me good.
ParlaMint-NL_2019-10-29-eerstekamer-3.u185	I didn't see that for a second.
ParlaMint-NL_2019-10-29-eerstekamer-3.u186	No, that's why I'm telling you.
ParlaMint-NL_2019-10-29-eerstekamer-3.u187	Thank you. Let's get this over with. Are you saying that at the end of November, when that letter comes, you expect all discounts to go off the table or something to be done only in the margin with unnecessary discounts, in particular helping ABP and Care and Welfare in relation to that critical coverage rate that they would just be covered by? Then you may have to reconsider the VEV discount. I am talking here about the discounts in metal at the end of the year. Do you think that, for the 2 million workers and pensioners in the metal industry, one and a half million workers and half a million pensioners, the discounts should be cancelled and that the Minister should decide at the end of November?
ParlaMint-NL_2019-10-29-eerstekamer-3.u188	I can't answer that question, and I'll tell you why. Do you think that in the General Reviews you should answer the question of what should happen to one of those dozens of pension funds we have, with all that variety, whether or not, when we don't even have the Minister's letter yet? Our group's policy here and on the other side is that everything must be done to work in the spirit of the pension agreement and continue to work to undo discounts. I can't make it any shorter.
ParlaMint-NL_2019-10-29-eerstekamer-3.u189	I'm going to see Mrs. Bredenoord now.
ParlaMint-NL_2019-10-29-eerstekamer-3.u190	Do you mind if I take a moment to respond?
ParlaMint-NL_2019-10-29-eerstekamer-3.u191	No, you've had four interruptions. That's one bonus. You will have your own speaking time and then you can address it. Mrs. Bredenoord?
ParlaMint-NL_2019-10-29-eerstekamer-3.u192	I have a short question, with an emphasis on'short', to Mr Rosenmöller. You've asked a lot of cabinet questions about drug policy. In your contribution and also in the contributions made by colleagues on this subject, I heard a considerable inconvenience about the current situation for a number of reasons. The back door of coffeeshops is forbidden, but the front door is tolerated. Now, next week when that bill is discussed, we have a very good opportunity to finally start a policy change. In ten municipalities we see if we can do pot experiments in a closed chain. My only gesture is an outstretched hand to Mr Rosenmöller: shall we try to change the situation there, shall we see if we can change the current policy?
ParlaMint-NL_2019-10-29-eerstekamer-3.u193	I quote the last sentence I said: the reformist in me is not getting his nose in small steps, and we will support legislation that brings us a step forward on balance. Our intention is to do so, but it is all next week to see this as a step forward and to support it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u194	For a reformist, Mr. Rosenmöller keeps a good story. I'm very happy about it. I am also very pleased that you are participating in the General Reviews. I think it is important to put one more question on the table. There's a lot of criticism coming as soon as you say here, even as a reformist, that we have to do something on the production side and that we can't go on like this. That's what I'm getting from the heart. Is it not my question to Mr Rosenmöller that was the big mistake of the last twenty years that we almost systematically did not look at the production and were only concerned with 'everyone can produce what he wants and then we are going to look at it in the consumer sphere'? We will now have to look at how we produce food, how we produce goods and what the consequences are. If we don't look at that, we'll never be able to solve the climate problem. If we agree, I will forgive Mr Rosenmöller's reformism and like to join his club.
ParlaMint-NL_2019-10-29-eerstekamer-3.u195	There's an opportunity for Mr. Rosenmöller.
ParlaMint-NL_2019-10-29-eerstekamer-3.u196	We agree, Mr President, I will help you.
ParlaMint-NL_2019-10-29-eerstekamer-3.u197	Then Mr. Coffeeman.
ParlaMint-NL_2019-10-29-eerstekamer-3.u198	I agree with many of what Mr Rosenmöller has said. He said he wouldn't make any statements about the PAS and about pfas, but luckily he came back to it by saying "how could the PAS have passed this house?" Our parties were shoulder to shoulder when we tried to stop the PAS. That didn't work. Now GroenLinks has announced that she wants to take a slightly different position vis-à-vis the cabinet. She voted in favour of the agricultural budget. Also with pfas and PAS it becomes very important what the position of GroenLinks becomes. Will GroenLinks still fight shoulder to shoulder against measures like PAS, or will it be different? Can Mr Rosenmöller clarify that?
ParlaMint-NL_2019-10-29-eerstekamer-3.u199	I'm not sure what you mean by looking at the cabinet differently. However, my colleague Jesse Klaver, at the General Political Reviews six weeks ago, held a story in the House of Representatives that included another political culture. I knew that story. Insofar as there is any concern for you that we may not have been aware of that, I can take that care away. That's one. Two. We stood and stood, I think, shoulder to shoulder when it comes to the PAS. With regard to pfas, we are at the very beginning. I wouldn't know what to say about that, now that the Secretary of State has given RIVM an order. We all see that coming along here; probably there first on the other side in the case of legislation and then here. I cannot therefore imagine that it will be any different to what has happened in the past and that we will continue to work together in this area.
ParlaMint-NL_2019-10-29-eerstekamer-3.u200	Mr. Koffeman, last comment.
ParlaMint-NL_2019-10-29-eerstekamer-3.u201	I'm glad. My concern was not, by the way, that you would not be aware of the extension of your second parliamentary group to the cabinet position. My concern was much more that you might do the same with regard to pfas. The Secretary of State has given RIVM an order: boys, could you please consider how to extend that standard? That's not normally the assignment you give to scientists. You ask scientists: can you say what a safe standard is? If you take an advance on the outcome and actually say "do everything to make the norm wider," I actually expect you to say shoulder to shoulder: but that can't be the focus of that investigation or that assignment?
ParlaMint-NL_2019-10-29-eerstekamer-3.u202	The point is clear. Mr. Rosenmöller?
ParlaMint-NL_2019-10-29-eerstekamer-3.u203	There's just been a small interrupt debate between scientists. I do not interfere in this category, because I have to acknowledge my superiors in the fellow professors. But I honestly think that RIVM has such a track record that it is not limited to an answer to the question "it is safe; give another standard so that we can go back to work." That's not how RIVM's gonna do it, I guess. If that were the case, we would meet again in the same quadrant of the political playing field.
ParlaMint-NL_2019-10-29-eerstekamer-3.u204	I'm looking forward to it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u205	Thank you. Mr. Rosenmöller. Congratulations on your maiden speech. It's strange, of course, to speak of a maiden speech in your case. But we do. Regardless of your record in that other Chamber, your first contribution to this house is considered "maiden." Allow me, therefore, to outline some of your background. Before entering into your political experience, I would like to take you back to 1978, when you became a student in the port of Rotterdam. This is gonna be a long story. A student or port worker is someone who loads and unloads the ships. As strike leader in the port and district director of Vervoersbond FNV, you have already gained some fame. In 1989 you were named Havenman of the Year, a title previously reserved for port entrepreneurs. You became a member of the Lower House for GroenLinks in the same year. From May 1994 to November 2002, you were political leader of the party and group chairman in the Lower House. In January 2003 you said goodbye. After an interruption of more than 16 years, you have been active in politics since 11 June as group chairman of GroenLinks in this Chamber. In the intervening years we also got to know you from other quarters. So you made for the IKON programs such as Speaking Affairs, in which you interviewed well-known Dutch people on current topics. In addition, you were a member or chairman of various working groups advising the government, such as the Commission's participation of women from ethnic minority groups, and you were an ambassador to young people on healthy weight. Since 2013, you have been chairman of the VO Council. Both inside and outside the Lower House, you have shown great interest and commitment in the Caribbean part of the Kingdom over the years. You were chairman of the permanent committee for Dutch-Antillian and Aruban Affairs in the Lower House. Outside the Chamber you have been a member of the Working Party on Administrative and Financial Relations Netherlands Antilles. It is therefore no surprise that you became chairman of the permanent Committee for Kingdom Relations in this Chamber, KOREL. In your autobiography A nice dog track from 2003 you wrote in the epilogue: "A return to The Hague? I don't have to think about it right now. But the saying 'never say never' also applies to The Hague." That has only been proven once more today. Once again, Mr. Rosenmöller. We're gonna suspend for lunch now. I propose that we start at 1.30 p.m., because we still have a large number of speakers, which we are all looking forward to.
