ParlaMint-NL_2019-11-05-eerstekamer-11.u1	The next item is the continuation of the debate on the Wet experiment closed coffeeshop chain.
ParlaMint-NL_2019-11-05-eerstekamer-11.u40	With the experiment we are talking about tonight, there is also something to choose. There is something to choose from the facts and figures we collect. That's what we call the effects. I think that is a good way to conduct that discussion on the basis of facts and figures and to look at what choice we want to make on the basis of measured effects. So there is certainly something to choose, but first the facts on the table. Mr. Chairman. Three more questions. Mr Rombouts' question was how it is ensured that cultivation meets market demand. The answer is that growers are expected to be able to continuously produce and supply various types of hemp and hash. Attention will be paid to this during the selection process and the preparation of the experiment. Following the designation of producers, they may start their growing plant. At this stage they will coordinate with participating coffeeshops on the species to be grown. The experiment can only begin after the designated growers have established a stock of hemp and hashish in such a way that coffeeshops can count on a stable supply.
ParlaMint-NL_2019-11-05-eerstekamer-11.u41	I would like to continue with the question put by Mr Van Dijk. From a scientific point of view, we also find it very interesting to look at the spectrum from both sides. There are countries where the experiment with liberalisation has taken place, but there are also countries where more stringent action is being taken. Is it also looking at countries like Sweden?
ParlaMint-NL_2019-11-05-eerstekamer-11.u42	I have already said that, apart from this experiment, we do not want to carry out any other experiments. However, we would like to take note of developments in other countries. I think we should do that fairly actively. At the moment, the list I have mentioned is still quite clear, but I predict that there will be many more countries in the coming period. Following international developments is therefore becoming an increasingly important task, but no less interesting.
ParlaMint-NL_2019-11-05-eerstekamer-11.u43	My question is, in fact, if the experiment were to fail, will other countries where there is a more repressive policy be looked at?
ParlaMint-NL_2019-11-05-eerstekamer-11.u44	Now Mr Van Wely's voice is falling a little, "if it would fail unexpectedly." But should we wait and see the effects first? Surely that should be the choice we would like to put to you in the legislative proposal? Let us first measure the effects and, on the basis of the measured effects, have an evaluation carried out by an independent party. Then we can go back to the political conversation to see what our conclusions are based on the facts that have been measured in the past few years. Mr. Chairman. I have another question from Mrs Bikker, who asked whether it would not be important to involve the CCMO, the Central Committee on Human Research, in this experiment. The Law on Medical Scientific Research with People, the WMO, lays down rules to ensure the safety of subjects, such as in the study with new medicinal products in medical research. The WMO prescribes in advance a medical-ethical review in those cases. The experiment closed coffeeshop chain is not medical-scientific research. It is really a subject that the CCMO itself says we have been in contact with, that they are not the designated party and that they do not see a role for themselves. Frankly, I do not see it on the basis of this WMO either.
ParlaMint-NL_2019-11-05-eerstekamer-11.u45	This is a very important point for my group. We are going to allow soft drugs on the market which the government has said we have approved. It is still soft drugs, with all the consequences, but we have approved them and people are using them. They have a certain confidence in that. We do this in the form of an experiment that we say is scientific. This is exactly how we can explain it internationally. And that is exactly how we can find supporters if the results are as the government intends. But if you make an experiment scientific, you have to answer for those ethical questions, too. The Knottnerus Consultative Commission says precisely on this point: concern that CCMO. I don't necessarily think it's the CCMO. However, I would like to say that we are carrying out ethical checks as is customary in science. So I'm not talking about the law, I'm talking about the scientific standard. Can the Minister say anything about that?
ParlaMint-NL_2019-11-05-eerstekamer-11.u46	That is a trade-off which is actually part of this debate. I have argued that I do not see a role for the CCMO and that the CCMO itself does not see it either. In this debate, as we did in the House of Representatives, we will have to decide whether we consider this experiment to be justified in order to implement it. The answer from the cabinet to that is yes. We want that. We will take all kinds of measures, such as prevention, but also many other measures, which Mr Grapperhaus will be discussing shortly.
ParlaMint-NL_2019-11-05-eerstekamer-11.u47	But that is not an answer to the question I am asking about the scientific content of the experiment. Politicians can find anything about that. I just said something about the THC content, and one of my colleagues mentioned the political argument. It wasn't about that, but that's how you see it: politics sometimes reminds you of the things we bring together. The cabinet thinks it's important that it's a scientific experiment. The Knottnerus Consultative Commission says in particular with regard to the AMvB: make sure that it has been ethically tested and complies with those scientific standards. That's why I'm giving the Minister this handshake. It doesn't have to be that committee for me, but every university has such an ethics committee in every research that has anything to do with psychiatry or behavior, just to validate science. The cabinet is now saying: we could do that here with each other. But that's not true, is it?
ParlaMint-NL_2019-11-05-eerstekamer-11.u48	Maybe I didn't understand the question. I think you should talk very carefully about whether we want to organise such an experiment in the Netherlands. We do so in the Second and First Chambers, because we do not want this to lead to a normalization of drug use. That is why we are careful about this and we are setting it up in countless ways. That is why we are discussing it. In the experiment we collect facts and measure effects, including in the field of public health. We accompany this with a research team and also with a guidance committee with scientists of different kinds. People are being recruited for that right now. These are experts who are outside politics. Afterwards, this report with the impact assessment, with the views of the advisory committee, will be brought back to politics. That is the moment when we will talk about it as a political one. To be honest, I thought that was a good choice.
ParlaMint-NL_2019-11-05-eerstekamer-11.u49	But I do not think that choice is complete. That's what I'm trying to put down to the Minister. All these experts in this discussion, if they do a study at their own university that is going on in this field, will talk to that ethics committee to see if it is indeed scientifically sound what they are doing, to validate it and to be able to share it with other countries, so that research is of international value. I do not see why this could be an obstacle to the cabinet, while contributing to the strength of the scientific strength of this experiment. This is really an important point for me.
ParlaMint-NL_2019-11-05-eerstekamer-11.u50	Yeah, but I can't do better than I answer. On the one hand, the design of the experiment is carefully prepared with the associated research team. Then there will be a guidance committee with several scientists who will express a view on this in all freedom and openness. Then it comes back to the political arena. That seems to me to be the right way of working: acting on the basis of the facts. Finally, Mr Van Dijk's question is whether hospitals and aid agencies should not share information on drug use. We don't need specifics or news for that, because health services and specific hospitals already collect drug incidents in the Latvian Information System. Information on drug use is thus already being shared. This is a standing practice and can be continued in the coming years. I take this information to the National Drug Monitor who regularly prepares the Trimbos Institute.
ParlaMint-NL_2019-11-05-eerstekamer-11.u51	Thanks for the response. I am pleased that you mention the Trimbos Institute, because my information is also extracted from the monitor of that institute. It says literally that in 2018 it was a thick 6,100 incidents. The Trimbos Institute itself adds that this is a fraction of the actual number. Indeed, the vast majority of emergency and ambulance services do not share the information on this issue. Have I read it wrong now, or is this a misunderstanding?
ParlaMint-NL_2019-11-05-eerstekamer-11.u52	The fact that this information is collected in a drug monitor that includes twenty health services seems very useful to me. This will enable us to have that information in the coming years, during the duration of the experiment. I would just like to emphasise in my reply that there are health services and fourteen hospitals that collect information and have a Latvian Information System. There are therefore measures already in place to this end. That's what I've been trying to say.
ParlaMint-NL_2019-11-05-eerstekamer-11.u53	It is true that it is about the purpose. If it is guaranteed that that information is on the table and the Minister is behind it, I agree.
ParlaMint-NL_2019-11-05-eerstekamer-11.u54	That's what I'm trying to say with my answer. That's right.
ParlaMint-NL_2019-11-05-eerstekamer-11.u55	Thank you, Minister, for your clear answers. I would like to ask you whether I have understood you in general as to the future. Are you saying that not this cabinet makes the political decision on progress, but the cabinet afterwards? Did I also hear you say that we have a deadline of one and a half years plus six months, sufficient to get the legislation in order, should it be decided to continue? Then there is the third point. Did I hear you say that at the moment we do not see any obstacles in treaties to achieving the continuation?
ParlaMint-NL_2019-11-05-eerstekamer-11.u56	Yes, you may draw that conclusion. I mentioned in my speech that I see tension between the experiment on the one hand and international regulation on the other, but that on the basis of the discussions we are having on both sides, i.e. within Europe and the UN, I think we should continue to explain it transparently. I have indicated that within Europe and the UN there are several other countries that are now addressing these issues. I therefore believe that the regulations and views of these international bodies have not been laid down in concrete form, even in the years to come. I'm not trying to add value to that. I think there is and remains tension, but on the other hand there is also room because many countries like to follow our experiment. We cannot exclude international or formal reactions, but I think we can organise this experiment in the Netherlands. I'm pretty sure of that.
ParlaMint-NL_2019-11-05-eerstekamer-11.u57	Thank you. That's good news.
ParlaMint-NL_2019-11-05-eerstekamer-11.u58	Mr President, so far.
ParlaMint-NL_2019-11-05-eerstekamer-11.u59	I now turn to the Ministry of Justice and Security. Oh, excuse me, Mr. Van Dijk.
ParlaMint-NL_2019-11-05-eerstekamer-11.u60	Excuse me, the Minister's stopping faster than I thought, Mr. Chairman. One of the Minister's headlines was the involvement of other organisations in the experiment. In that cup I asked the question to what extent the rather well-known organisation of Brave Mothers, who, of course, are working hard on the road to draw attention to their miserable experiences with drug-addicted children, is still involved in this experiment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u61	Yes. There are good contacts with the mothers you mentioned. Mr Grapperhaus has now, as I understand it, also had contact with Brave Mothers. Soon they will be visiting Mr Blokhuis, specifically on the issue of prevention.
ParlaMint-NL_2019-11-05-eerstekamer-11.u62	Thanks to the Minister for Medical Care and Sports. I call the Minister for Justice and Security.
ParlaMint-NL_2019-11-05-eerstekamer-11.u63	Mr. Chairman. I would like to begin with my congratulations and at the same time compliments to the maiden speakers, in this case your members Van Wely, Dittrich, Janssen, Bezaan, Meijer and Recourt. They have already shown with their critical considerations that we will not, of course, be facing interesting debates here with each other. Before misunderstandings arise, I would like to note that this does not affect the high content of the contributions of those who had already passed their maiden speech. You will understand that, given my portfolio, I would like to address the questions relating to public order, security and crime. Let me say a few words about the number of municipalities participating and the excellent advisory committee led by Professor Knottnerus. First of all, how this experiment relates to the broad offensive against organised undermining crime, which we used as a cabinet. I can assure you that at the end of the first term, when I respond to your Member Rombouts' motion, I will continue to address this point. After investing heavily in recent years in strengthening the fight against this serious undermining crime, the cabinet, as you have read at the beginning of this week, is giving an extra boost to its approach. There are a lot of urgent and sad reasons for this. The aim of the approach is to strengthen impact and intelligence, to process and share data, to monitor and secure the system to prevent drug crime and to counter standardisation. But the approach is, of course, mainly focused on what I have always mentioned, so rolling up, taking away and preventing this serious drug crime. A clear and unambiguous policy on cannabis also contributes to tackling undermining. There is no such clear policy at the moment. Some Members have already put that forward. This is also the reason why many mayors and other local leaders have called for the possibility of changing that policy. The experiment we are talking about today comes from that. It focuses on the inconsistency that has been in the tolerance policy for many years now: we tolerate the sale of cannabis in the coffee shop, but its delivery at the back door is illegal. And with that, it's in criminal hands. The purpose of the experiment is to examine whether the supply of coffeeshops can be withdrawn from the hands of criminals and what the effects of such intervention would be on crime, nuisance, safety and public health. A subsequent cabinet, Mr Bruins, has already considered it. On the basis of the conclusions drawn from the experiment, a decision will be taken on the future of cannabis policy with which both the fight against undermining crime and public health is best served. You will forgive me if I quote this as a recurring motive a number of times from the coalition agreement. If that experiment is over and evaluated, then the cabinet, the cabinet sitting, will see what it has to do. Then I'll come straight to the questions from your room. I will begin with Mr Rombouts and Mrs Bikker, who actually looked at me with a very profound report and said: does the cabinet really believe that crime is going to go down? Well, the experiment creates a closed coffee shop chain where legally grown cannabis is delivered to the coffee shops. It therefore focuses on what I have pointed out, that great inconsistency in that policy of tolerance, and aims to see whether the surrender can be taken out of the hands of criminals. The effects that that has, we are going to measure in broad terms on all parts. We do not want to create the illusion that this will completely eliminate illegal cannabis cultivation immediately. At the moment, it is part of organised undermining crime, and I am acting hard against it. But it's up to another cabinet to make the choices. As a result of 'do you really believe' I say that the experiment will have to show what the effects are on safety, crime, nuisance and public health. Then you need to see what comes out of it and how you should move on. As Minister of Justice and Security and as a lawyer, I would not do well if I were to associate certain beliefs or advantages with that experiment in advance. That experiment must have a pure character. I shall come back to the critical remarks made by Mr Janssen and others, among others: what about the scientific aspects? Mr Rombouts asked how you are going to ensure that illegal and legal flows remain separate. That is a very fair question. The most important thing is that the chain is closed. By this, I mean that no legally grown cannabis is sold to anyone other than the participating coffee shops and that coffee shops do not sell cannabis other than those of the designated growers. To monitor this, it is arranged that both growers and coffee shop owners provide certain data with a unique coding for the purpose of a track-and-trace system. That system is still being developed technologically. Monitoring of the closed chain is carried out by the Justice and Security Inspectorate. An enforcement arrangement will be drawn up with the participating municipalities, the supervisors, the police and the Public Prosecutor's Office on the cooperation and demarcation of supervision and enforcement, both administrative and criminal.
ParlaMint-NL_2019-11-05-eerstekamer-11.u64	Drugs are also sold outside the coffee shops. I am referring, for example, to the so-called drug couriers on scooters. How does the Minister intend to address this problem in the participating municipalities?
ParlaMint-NL_2019-11-05-eerstekamer-11.u65	It is quite clear that the experiment assumes that all coffee shops in a municipality participate. What the honourable Member, Mr Bezaan, has just pointed out is one of the many reasons for doing so with all the coffee shops in that municipality. You must then have one uniform situation in that municipality, so that you can also have one enforcement policy. Also the street trade, this motorized or electrified trade, I don't know, you must indeed have banned in that municipality.
ParlaMint-NL_2019-11-05-eerstekamer-11.u66	But how do you expect to do that?
ParlaMint-NL_2019-11-05-eerstekamer-11.u67	As has already been said, we have enforcement to ensure that this is already the case in the case of people who do not carry illegal goods in their courier service. At the moment, because of the inconsistency I mentioned, it is much more difficult to maintain than it will be in the future, if we say in the context of the experiment in each participating municipality: all coffeeshops must participate in the experiment, so that you are sure that the one with the moped cannot transport those drugs, because that is not allowed. By the way, if someone shows up on his moped from a distance, another municipality, to deliver those drugs, I think it's gonna be a valuable raise on the price. We have to assume that the market will then do its job. Is the government prepared to undermine the experiment in the form of fake news? The point here is, of course, that we are primarily committed to strengthening the self-corrective capacity of participants in the public debate, and through you I am addressing the questioner, Mr Dittrich. We should not initially place the content of disinformation in the hands of the public authorities, because then the public authorities will come into a domain which is once again very sensitive in terms of freedom of expression. You have to put that down especially with the journalism and science and the critics who come from those corners. However, communication about the experiment is essential to the success of the experiment. So we will do so in the field of public communication, including on the website of the government. Mr Rombouts raised the critical question of why we should succeed in what is not possible in Canada; 80% is for exports. Mr Bruins has already indicated that it is too early to draw conclusions on the consequences of legalisation in Canada. I have also read the report of the delegation that has been there. There are also a number of assumptions that we cannot really go forward with each other. I would like, through you, to assure all Members here that, of course, we will continue to monitor closely how it develops in some of these countries, including the United States, including Colorado. The situation in the Netherlands is not one-on-one comparable to that in Canada. We'll start an experiment to see if I can come back to the consequences of legalizing the production and delivery of cannabis in a chain. We are not blind to the illegal cultivation for export. That is an important part of organised undermining crime. We'll continue to bet heavily on that as a cabinet. Once again, the next cabinet must look at the conclusions of this experiment, including the fight against exports. Then the question is how the drug gangs themselves will react. Mr Van Wely referred to the word mafia. I must tell you that the serious crime in the Netherlands is already such that we do not even have to use an Italian reference word anymore. The experiment will take the supply of coffeeshops out of the hands of criminals in the participating municipalities. This is a small proportion of total drug production in the Netherlands. A large part is also exported abroad. It cannot be excluded that organised crime will respond to the experiment. That is why police and prosecutors are always involved in the establishment, will also be involved in the experiment and measures will be taken for the security of the closed chain. I should like to comment briefly on Mrs Bikker's important point about the emergency brake. It also plays a role in this, but I will come to that in a moment. Am I sure organized crime isn't gonna get a hold of the experiment? Let me begin by saying that, of course, we are all in favour of excluding any form of abuse of the experiment by organised crime. That's precisely why we have the police and the Public Prosecutor's Office closely involved in the facility. Those are the experts who can tell us where there might be weak spots that could get the water in. That is why we have also set up a working group with the participating municipalities and relevant services dealing with all safety aspects of the experiment. And that is why there is also a licensing procedure for growers. A form of comprehensive screening is applied at several times. A vog is not the only thing, there will also be a Bibob screening that will check whether there is a risk that the indication as a grower will also be used to commit criminal offences or gain financial benefit. That is to say, improper financial advantage.
ParlaMint-NL_2019-11-05-eerstekamer-11.u68	A question from Mr Dittrich.
ParlaMint-NL_2019-11-05-eerstekamer-11.u69	Yeah, I have a question about this. Are the cultivation communities also involved in this? We are talking about municipalities where coffeeshops are located, but there will soon be municipalities with plantations on their territory where they will be grown. They must of course also be protected, because they can also be part of organised crime. Are these municipalities also involved and are they sufficiently protected if necessary?
ParlaMint-NL_2019-11-05-eerstekamer-11.u70	The cultivation communities are indeed involved in the safety aspects. But the cultivation communities still have to be selected. Whether this is done in the form of a working group is still to be determined. But I want to say out loud that they too are involved. Mr Van Dijk asked if I was prepared to acknowledge that the opinion on drug use is tilting. I must always be careful, of course, because he refers above all to statements made by myself and then to the Prime Minister. Let me say this about it. In March 2018, the police chief, Mr Akerboom, made clearly harsh, confrontational remarks about yogasnuiers, as he called it. Moreover, I had a good discussion with one of your Members about whether Mr Paulissen, a very well-known chief of police from Brabant who has done a great deal there against undermining crime, had not brought that idea to Mr Akerboom. That's all Akerboom and he have to fight both of them, but at least I want to mention him. Not long after that, at an international drug conference, I myself used the expression that drug users had to look "in the mirror', which, above all, inspired De Telegraaf to all nice puns that I had apparently made unintentionally, because a mirror seems to be part of the toolbox of certain drug users. That was all in March 2018. I can tell you that Akerboom, myself, but also others were actually hoarded away at the time. Let's just say it out loud here. I said it on September 11, a week before the scandalous murder of Derk Wiersum, also in the House of Representatives. And we kept saying it. The group of people who have continued to say it has grown because it was clear to us who work with it in the field of Justice and Security, but also in the field of Health, Welfare and Sport of colleague Bruins, that this ever-increasing normalization of drug use... And then you have to remember that not even the group of users increases, but the group of people around it: parents, educators, teachers and others. They're starting to get something from: well, it's part of the deal. And that such a group of students uses a number of years, that's life. The collateral damage is then that two out of twenty in the xtc or cocaine no longer get away from it at all and are going to be among the 31 million people worldwide who have a psychosis to the use of hard drugs. Source: United Nations figures. It's a bit of an introduction, but I wanted to explain it again. In the meantime, I can inform Mr Van Dijk that there is indeed a certain amount of tilting. Drivers who may have refused to do so at first have also spoken out and said out loud that legalisation is not an option. You will forgive me if I have to correct Mr Dittrich, whom I consider to be very high. For what Tops and Tromp said, namely that the government should prepare itself for possible legalisation, they did not write in their report. Moreover, this is how they recognise themselves not a scientific report, but an overview and a summary of existing reports. In the light of 50 years of Abbey Road from The Beatles, you could compare it with some sort of greatest hits from existing scientific reports. But they didn't say that in there. I understand that your room wasn't ready at the time. They have written an opinion piece in the Volkskrant. Source: Volkskrant's opinion page of 11 September 2019. That's where they said it. I spoke to the gentlemen in the House of Representatives, which was a bit complicated, through the chairman and the members of the House of Representatives, and said: that is a shame, because you have made a very clear report of greatest hits, but this is an opinion, which is not supported by the report. Let me finish, but I still think that Mr Van Dijk, and indeed the other 74 Members, owe it: legalization of hard drugs is not an option. Let's make that very clear. I know that the vote in the United Nations for years has been unisono, not only from the United States, but also from large countries such as Russia and China, is that it is not on the agenda, apart from my conviction about the dangers of social disruption and health risks in relation to hard drugs. So I say to Mr Van Dijk: yes, perhaps it is gradually tilting. But we still have a lot to do to really get it done.
ParlaMint-NL_2019-11-05-eerstekamer-11.u71	I thank the Minister for his comprehensive reply. He said very nice, raucous things. Let's assume, and I'd like to assume, that he's right and the pendulum of drug tolerance is heading in the right direction, as the General Journal wrote, then it's just such a shame that we're going to do an experiment with which we're sending out an opposite signal, which is that drug use isn't so bad? Isn't it the government's stamp that we're cooperating in normalization? It's too bad we're going against that pendulum with an experiment like this, isn't it?
ParlaMint-NL_2019-11-05-eerstekamer-11.u72	Mr Van Dijk uses the word "sin." I do not want to make this evening's debate too difficult, but I have to think a little bit about the original sin. We have 50 years of tolerance here. If that tolerance policy calls into question, you'd almost cut a spacecake to celebrate. But we don't. We have that tolerance policy. As I said in my introduction, it is important that we carry out an experiment through this legislative proposal that will provide clarity for those who support it, but also for those who oppose it. Can we indeed decriminalise this production, without endangering public health and the like? Then a next cabinet will have to say what that means for later generations. But, therefore, I brought up this original sin we owe it to the generations after us to do something about this unclear situation and to do something about it. And to say, we're gonna do that experiment now. I understand very well that some of your group's members say that this is very good from the point of view of: who knows, we might be moving further towards possible thinking about legalisation. Who knows, but not under this minister, because in two years there will be a new cabinet. I also understand that there are groups that say: we will have to move in a different direction. That is why the experiment must be pure, because we owe it to the generations after us. Mr. Chairman. Are we gonna be in jail for five years? That was Mrs Bikker's point, and I think it is a very important point. In fact, I would find it terrible, as responsible for Justice and, above all, for Security, if we were to see, for example, that in two or three years' time the serious drug crime will develop in a number of these municipalities in such a way that it is not going well. In that sense, therefore, we clearly have a commitment within that time frame and we also have a very clear emergency braking system. I just grabbed it again, just as a result of the discussion. This emergency braking system offers the possibility to intervene immediately if things get out of hand in a municipality or if you really notice that something is not going well at all.
ParlaMint-NL_2019-11-05-eerstekamer-11.u73	Mrs. Bikker, you want to respond?
ParlaMint-NL_2019-11-05-eerstekamer-11.u74	Yes, Mr. Chairman, you felt very well. The Minister emphasized it: "to intervene in a municipality." It also seems logical to me that that is the first exit, namely if something happens to a municipality that we say: no, that was not the intention of the experiment and that cannot go on. However, my question looked at something broader, namely the policy of the cabinet. I have argued that this experiment should provide building blocks for a follow-up to soft drugs policy. But what if we already see very clearly that there are serious consequences with regard to serious crime or with regard to public health, which I have already mentioned with Mr Bruins? If we see in these consequences that this experiment is not the answer, but rather contributes to a deterioration, can the Minister intervene himself in a way that will stop the experiment? An emergency brake won't call it, but can it intervene in that way? Or are we, for five years, tied together, watching how this develops, without building blocks coming out of it?
ParlaMint-NL_2019-11-05-eerstekamer-11.u75	Let me read the article. That is what I am really doing just to clarify the discussion for the people who are following this debate. Article 6 (2) states: "In the event of urgency, our ministers for the protection of public health or in the interests of public order and security may impose a burden of immediate cessation of the experiment on a designated municipality." I think that it is decided that at that time the ministers can actually say: now we have to stop doing this. And, by the way, for those who are concerned about this, I would like to say that, in a state of law, it goes on to say: 'The imposition of the burden is made known in the Official Journal. After the decision to impose the charge becomes final..." And so on, and so on. There is therefore also a possibility of appeal. At that moment, this burden is immediately applied, and we can imagine it, but there is always a possibility of appeal. It sounds a little presumptuous, because it is a proposal that comes from us, but I think it is a very good and clear arrangement.
ParlaMint-NL_2019-11-05-eerstekamer-11.u76	Well, congratulations to the Minister for that feeling and for letting him share it. But for me, it's in that word "happiness." I can very well imagine that urgency is needed. Suppose something happens to the cultivation that we say: well, this all ends up with criminals immediately and we don't want that. Then we need immediate intervention. My question is a little broader. Suppose we see within two years that this does not produce building blocks and that the trend is negative. So there is no urgent situation, but we can see that the experiment does not contribute to the good that everyone in this room is looking for. We all have our own views on this, but everyone is looking for a different drug policy that is more effective. At that point, my quest is for another cabinet. Is this what we're defining policy for five years? Or is it also going to be honest to see if we can find those building blocks that are needed to draw conclusions from this? So I am referring to a trend rather than an urgent calamity that requires intervention.
ParlaMint-NL_2019-11-05-eerstekamer-11.u77	My answer to Mrs Bikker's question as to whether we are not at risk was in two parts. It's good to name it one more time. The first part is: this is very clearly limited in time. So that means we know: okay, we're gonna do it over that period. Then it can be extended for another six months and that's it. So four plus a half. Am I saying it right? Yes. That's one limit. It is true that as long as the experiment is going on, it will work as we have democratically established it with each other. Otherwise, of course, there's no point in an experimental law. If halfway through the experiment a new cabinet drains the valve, we all never knew what we were doing. In a good democracy, it's part of the way you set it up. But the second part is that emergency braking procedure. And the beauty of this emergency braking procedure is that it is separate from the policy. That is why I also stressed that there are those appeals. In this procedure, "our ministers" can be used, i.e. The Minister of Justice and Security, and those of VWS, are simply motivated: listen, there are now real dangers to public health and we cannot get it under control. I would like to give an example of how criminals are manipulated in this regulated cultivation, or whatever. The ministers can then say that we must now turn the switch into municipality X, and perhaps also into municipality Y. Most experimental laws don't have a very powerful emergency braking procedure. At least we have built them in here.
ParlaMint-NL_2019-11-05-eerstekamer-11.u78	I will come back to the emergency braking procedure in conjunction with the number of participating municipalities. Knottnerus and the Council of State say "more than ten" and "very tight." Now we're going to start with ten municipalities, if it goes on, which I assume. Let's say one or two municipalities are falling apart. What remains of the experiment and the data collected? Has it been considered what a critical lower limit is to make the experiment useful?
ParlaMint-NL_2019-11-05-eerstekamer-11.u79	Let me start with the next part, because then I immediately had that and the answer gets more context. We must, of course, realise that the committee has also advised on control municipalities. It is up to the evaluation committee to decide which control municipalities are to be established. And if you add the participating municipalities and the control municipalities together, you already come to twenty municipalities. I was told by someone who is more beta than I, that that is about a fifth of the municipalities with coffee shops in the Netherlands. As an ex-lawyer, I think that's pretty representative, but okay. I was just talking about City X and City Y on purpose. I come from that point of view on the situation that it is decided that municipality X and municipality Y no longer participate. Then the experiment will still continue as we agreed with each other, so with the other municipalities that are in it, and for the duration that has been agreed. And suppose that there will not be an appeal procedure which states that our ministers should not have taken that decision until such an immediate strike. Then the fact that one or two municipalities have failed will also be taken into account in the experiment. I'm not gonna throw away all the possibilities right now, because then it's gonna be "if the apples were pumpkins." However, we must realise that if there really is an emergency situation in the area of public health or crime, which I was talking about with Mrs Bikker, and then that municipality has to stop, it will play a part. Then the result in that municipality is of course the fact that stopped there, and the why and what happened then. Of course, that counts in your experiment. Finally, I would like to say the following, because otherwise we will be huge doom-thinkers and that should not be beautiful in life. In responding to these points, I have just begun to say that we have really built all kinds of safety measures, safety nets and safeguards into this experiment. So it is not that Mr Bruins and I are going to do a bit of an experiment with a blindfold. We have all those things like sealing, the track-and-trace, the very carefully selected growers, the control communities and so on. That's all built in.
ParlaMint-NL_2019-11-05-eerstekamer-11.u80	That is a long answer, which was partly an answer to my question. My question is that in every experiment with scientific justification you also have a critical lower limit. You can check that out in advance. That's not doomsday, because I hope it succeeds. I hope all ten municipalities participate. Control municipalities are not reserve municipalities. Let's be clear about that, too. They don't get in the moment another gets out. At least that's not how I understood it. But it's precisely me that you think about it in advance, so that you don't get mugged if at some point one or two congregations fall out, which I don't hope, and that the scientific data you collected at that time still have enough value. It's already tight to do it with ten. For such a long experiment and for everything we invest in it and all the effort and energy that goes into it, because we hope that it will come to a successful conclusion, my question is: can we think about it in advance, so that we have a picture of it? I hope it doesn't happen, but I do want us to map it and not get mugged.
