ParlaMint-NL_2019-02-19-eerstekamer-11.u1	The next item is the continuation of the policy debate on the state of the rule of law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u53	That is the opinion of the Council of State, but I am not going to go into that now, because then I will again prelude to Mr Blok's letter, which I find outside the context of this debate. I'm not gonna prelude in any way. The only thing is that Blok takes that advice from the Council of State and indicates what the timetable for the cabinet is.
ParlaMint-NL_2019-02-19-eerstekamer-11.u54	Mrs. Strik, finally.
ParlaMint-NL_2019-02-19-eerstekamer-11.u55	Just so we're clear, that means we'll be told whether the bill is being filed or not. The bill hasn't been filed yet, has it?
ParlaMint-NL_2019-02-19-eerstekamer-11.u56	No, but...
ParlaMint-NL_2019-02-19-eerstekamer-11.u57	The Minister, and then we finish this little debate, because you stay together...
ParlaMint-NL_2019-02-19-eerstekamer-11.u58	No, but, Mr President, this is a debate on the rule of law. I said: there will be a letter from Mr Blok, on an issue that has been going on for a very long time, where Mrs Strik indeed has a point...
ParlaMint-NL_2019-02-19-eerstekamer-11.u59	One dot.
ParlaMint-NL_2019-02-19-eerstekamer-11.u60	Yes, well, I do not think that I should anticipate that letter in the context of this debate, especially since there is now an opinion from the Council of State, as I have already said. That is just the case, and it will be discussed in the context of that letter. I do not think that, in this debate on the rule of law, it should suddenly be about a letter to be written, of which I have indicated the timetable within the timetable. So I'm not gonna say anything about that. It'll be there in four weeks, and that's all I'm saying about it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u61	Mrs Strik, all in all; a comment, not a question.
ParlaMint-NL_2019-02-19-eerstekamer-11.u62	Yes, one brief remark: I find it strange that the Minister seems to find it strange that this is being discussed in the context of the debate on the rule of law. The motion was tabled at the very first debate on the state of the rule of law in this Chamber. There was great support for this motion. I find it extremely disappointing that the various successive cabinets take the motion so little seriously and give so little openness as to what they really intend to do with the individual right of complaint in relation to human rights treaties.
ParlaMint-NL_2019-02-19-eerstekamer-11.u63	I suggest that the Minister continue his speech now.
ParlaMint-NL_2019-02-19-eerstekamer-11.u64	Yes, there will be a letter and it will clarify what the Council of State thinks, and that does not seem to me to be insignificant. Mr. Chairman. Then Mrs Duthler had a question that came up in the context of several questions to Mr Dekker for Legal Protection, about digitisation. That was a question about what the cabinet is doing in the context of the threats posed by new technologies, more focused on those near monopolies, as Mrs Duthler described it. The risks in this respect to vital infrastructure, national security and market conditions are addressed by the public authorities. This is clearly warned in the Cybersecurity image of the Netherlands. Those national risks in foreign acquisitions and investments and in awarding contracts are reflected in the Economic Security Programme and instruments are developed to reduce those risks and strengthen resilience. As part of the further development of this policy, the issue of the risks of high dependencies of strong technology companies or firms will certainly be taken into account. Almost monopolies. The cabinet will come back to this later this spring in a letter to the House of Representatives.
ParlaMint-NL_2019-02-19-eerstekamer-11.u65	Would the Minister, first of all, also like to send that letter to the First Chamber? The Minister talks about the effects. I understand that he takes the aspects of monopoly positions with him in procurement procedures. He's talking about national security, but what am I supposed to think about? That is not quite clear to me.
ParlaMint-NL_2019-02-19-eerstekamer-11.u66	I believe that this has already been highlighted in Mrs Duthler's speech and in the question. The risks are there for certain infrastructure but also for certain markets, when you are indeed dealing with parties with very high market power and especially when those parties have a certain relationship with state actors; that is what this is about. In this context, the Cabinet is developing a programme in the field of economic security. I shall return to that in the letter and I undertake to send it to your Chamber as well, so from now on to both Chambers.
ParlaMint-NL_2019-02-19-eerstekamer-11.u67	I'm just thinking about what the Minister is saying in concrete terms. I am certainly pleased with the letter that has been promised. Do I hear the Minister say, when he talks about the economic security of these companies, that he is thinking, for example, of eavesdropping?
ParlaMint-NL_2019-02-19-eerstekamer-11.u68	You can think about that, too.
ParlaMint-NL_2019-02-19-eerstekamer-11.u69	I'll wait for the Minister's letter. Thank you.
ParlaMint-NL_2019-02-19-eerstekamer-11.u70	May I ask the Minister how much longer he thinks he needs?
ParlaMint-NL_2019-02-19-eerstekamer-11.u71	I've got one more piece and I'll be all over it. That is the response to Mr Van Dijk's motion on the rethinking of the rules on the compulsory automatic appeal in Article 22a of the National Law on the Netherlands. Here's what I'm gonna do. Withdrawal of Dutch citizenship is a firm measure. This is why, during the parliamentary examination of the legislative proposal that led to that regulation, as well as during the consultation phase, several parties called for a role for the courts in that form of withdrawal of Dutch citizenship. The way in which it is now regulated also reflects the different interests: on the one hand, the importance of judicial review of a revocation decision, on the other hand, the importance of banning the person concerned from Dutch territory, with a view to protecting national security. It is also in the interest of the Dutch State to clarify in the short term whether a person still has Dutch nationality. This is achieved by the current regime, because there is always a judicial review. That is no longer the case with the removal of the regulation, so I must advise against the motion in that regard.
ParlaMint-NL_2019-02-19-eerstekamer-11.u72	First of all, I welcome the Minister's response, which has been considerably longer than the one we have received, with all due respect, so thank you for the answer. Just as basic, there is a report of 50 pages, in which it is very clear that a special construction has been chosen. Legally it is not necessary, because the AWB is sufficient, and Europe does not need it. Those were two decisive anchors. I quoted Minister Van der Steur. Do you share the conclusions of that report, which states that this is true and that we are not legally obliged to do anything, not even from Europe, so it is really a choice of how to give terrorists an additional form of legal protection in this respect?
ParlaMint-NL_2019-02-19-eerstekamer-11.u73	I have also just stressed that it is not so much an extra form of legal protection but that, so to speak, there is at least ex nunc a judicial review. This will save the kind of delay that could occur later in the procedure, because there has been no judicial review and all kinds of obstacles are raised. So I don't think it's an option to assume that you could do this without ever having any kind of judicial review. That would really go wrong in the state of the law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u74	That it would go wrong under state law, I absolutely cannot get it out of the report. I don't think we're legally committed to this at all. It is a political choice to choose. In the end, we decide whether or not we need to. Isn't it very ridiculous that for fear that such an involved jihadist himself doesn't recognize or discover that this is behind him, you are forced to fight your own decision which has been very carefully thought through? There's something ridiculous about it, isn't there?
ParlaMint-NL_2019-02-19-eerstekamer-11.u75	I didn't say "statutory law," I said "statutory law." I admit that Scrabble gets the same number of points, but it's really something else. Now let's talk about the constitutional issue. I am going to try to put it very clearly in other words. So if you don't do this, you'll get a decrease in Dutch citizenship in many cases from people who didn't appear at the hearing because they're somewhere else. So you can have at a much later stage all kinds of procedural objections or someone going to the European Court, no matter how popular we think about that court. As my old mom always calls it, you're even further away from home. Then you better do that test with a little time loss in advance, so you know at least that a judge has looked at it at the beginning. I do not have the copyright on this regulation, because it was there when I became a minister, but I think it is a very sensible solution, because it gives a judge a test in law. Besides, you do it in such a way that you don't get into the process later that people suddenly come on radar. So I'm okay with this putting together like this. Mr Dercksen asked why we let Algerians and Moroccans in at all. The Netherlands is a rule of law and we cannot refuse admission on the basis of nationality alone. That's not state law, but it's legal law once it's what it's like. Mr Dercksen also pointed out, as he also stated in a motion, that we should have rules for asylum seekers as soon as possible so that they would be placed in a completely closed establishment. In the event of a violation of the penal law, the primary aim is to pursue criminal prosecution with criminal detention where that is the case. Furthermore, it is possible to require residents to stay at the COA site for a certain period of time and a restriction of freedom may also be imposed. If a foreigner is not allowed to leave the area of the shelter by default, then that is a liberty-absorber and then the legal frameworks for foreign detention, as set out in international treaties, apply. The cabinet would like to see more room for earlier detention in a number of cases, especially in the case of harassing asylum seekers who commit criminal offences. That is also the current commitment to the negotiations that Harbers is conducting in Brussels on the European asylum system. I would also add that this is not something you can achieve from today to tomorrow, but I would like to stress to Mr Dercksen that this is our commitment. Then we also have a real solution. Mr Dercksen's solution is not that, because it goes legally, to speak in clubs, wet. I therefore advise against that motion.
ParlaMint-NL_2019-02-19-eerstekamer-11.u76	There's all kinds of table games coming along. Of course, that's very nice, but for the time being a lot of people are in big trouble. Last week we had not only the mayor of Weert on visit, but also a director of an azc with poignant stories. That meeting's online, so maybe it's an idea to take a look back. That mayor of Weert passionately pleaded for a wall around the azc where this scum is now housed and where the employees are hardly sure of their lives. I actually hear the Minister say: I do not care, because Brussels, because this and that. But you're sending our people on an aso-azc that their lives aren't sure. The gate is open. They're being put out on the street, and we're just going to have to face the fact that they're being robbed, abused, and I know all of them. Which side is this minister on anyway?
ParlaMint-NL_2019-02-19-eerstekamer-11.u77	I have already indicated in an earlier reply to Mr Dercksen that Mr Harbers and I recognise the problem of troublesome residents of asylum seekers' centres. I spoke about the solutions that are being worked on during a working visit to Groningen on 3 November last year. Because it's his wallet, Harbers is of course doing much more on a continuous basis. If we want to solve this problem properly, there are a number of measures that we need to take. With regard to the Public Prosecutor's Office and the migration chain, there really needs to be even better coordination and connection. A second thing is what Mark Harbers is doing in Brussels now, and that is to stand up for the extension of that foreign detention. However, we should not choose solutions that are not sustainable. If you want to put down some wall that will have to be broken down from the right, then we are not playing that, but an old Dutch expression is pushing the horse behind the cart. And we shouldn't do that to each other. We must recognize these problems, find meaningful solutions that will help us further. Moreover, I keep saying that you have a lot of visitors, Mr President-in-Office, that anyone who says that the services of the Minister of Justice and Security are dysfunctional on this point can turn to me. I insist that they do function properly and that the Public Prosecutor and the police are really looking for solutions.
ParlaMint-NL_2019-02-19-eerstekamer-11.u78	Mr. Dercksen, finally.
ParlaMint-NL_2019-02-19-eerstekamer-11.u79	One of the solutions would be to call the state's attorney's office tomorrow and say, "I'm actually going to prosecute every criminal asylum seeker." That would be the solution, because then we can at least put them in the ordinary prison. Is that the solution at least for the short term?
ParlaMint-NL_2019-02-19-eerstekamer-11.u80	I have indicated sufficiently what realistic solutions take account of the rule of law and state law. Mr. Chairman. I'm at the end of my third term.
ParlaMint-NL_2019-02-19-eerstekamer-11.u81	Before you sit down, I still see Mr Backer and Mrs Strik trying to interrupt.
ParlaMint-NL_2019-02-19-eerstekamer-11.u82	I listened to the Minister about the budget and how he's going to finance the prosecution. I see a form of synergy in that, because he learns from what is happening to his colleague. That's good. There were always many defenders of the synergy of Security and Justice; we did not belong to that, but well, I see an example here. But does it work the other way around? I see the Minister for Legal Protection with huge financial deficits. I see that Mr Grapperhaus's activities have involved a great deal of money in the budget. Are they going to be integrated together with the synergy that exists, improving the financial problem of the legal chain? If everything works as it should work on the OM side and the search side and there are the serious cases that Mr Dercksen is talking about, then they come before the multiple chamber. Then it must be able to be dealt with and the capacity must be there for it and then the funding must be there for it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u83	That is actually another game of company, because this question is "three in one." Let me make this very clear. In the context of, for example, the structural expansion of the police, extra money has been provided for further down the chain. Let's start with that! At least that's one thing. The second thing is that, of course, we look very closely at whether all the budget lines are in order, because in the end it comes under a single budget, that of Justice and Security, and I am the one who is ultimately responsible for that budget. I firmly believe that this is the case. That's another point. One final point, however, is this. We have, of course, also defended our budget here in your Chamber. It clearly indicates where the funds are going. Along this path, Mr Dekker and I are working in good cooperation with each other.
ParlaMint-NL_2019-02-19-eerstekamer-11.u84	Mr. Backer, briefly.
ParlaMint-NL_2019-02-19-eerstekamer-11.u85	You have also listened to the financial problems in this debate. They're mostly in your colleague's wallet. I was concerned that there too the synergy should be used if it is not for this budget or for the next budget to solve the structural problems. That's why it's a good thing you're both here. Mr President, this was not a question but a comment.
ParlaMint-NL_2019-02-19-eerstekamer-11.u86	Good. That is why the Minister does not need to react.
ParlaMint-NL_2019-02-19-eerstekamer-11.u87	I heard the Minister say at the beginning of the term that he would also answer the questions that actually come on behalf of Secretary of State Harbers. I asked a question about the motion adopted here on the legal protection of asylum seekers in the Kingdom, in Curaçao and Aruba. I do not know whether I can expect an answer from this Minister or whether Minister Dekker will answer the question. They're both just as sweet to me.
ParlaMint-NL_2019-02-19-eerstekamer-11.u88	That should be an answer from me, but I have to tell you that I... Mr President, I do not know whether this is possible under the Rules of Procedure, but I really need to... Oh, no, I understand from my officials that that is with my colleague Dekker.
ParlaMint-NL_2019-02-19-eerstekamer-11.u89	All right, let's wait and see. Otherwise, at the very end of the debate, the Minister will have a brief opportunity to answer that question.
ParlaMint-NL_2019-02-19-eerstekamer-11.u90	No, Mr President, I would like to give another opportunity.
ParlaMint-NL_2019-02-19-eerstekamer-11.u91	All right, I'll thank the Minister of Justice and Security. I call the Minister for Legal Affairs.
ParlaMint-NL_2019-02-19-eerstekamer-11.u92	Mr. Chairman. In football I learned that the third half is at least as important as the first and the second half. But where it is along the football field that the sharpness decreases in the third half over time, which often goes hand in hand with the glasses of beer that are knocked back, I have to say that the players here are unabated and to the point. I have three main issues: justice and everything around it, legal aid, the issue of digitalisation, and finally a number of questions that I could not bring under the three main themes. To begin with the case law. A number of Members challenged me with the question: where are we compared to nine months ago? The answer to that is actually a bit double. Of course, I can see that the problems have not been solved, but on the other hand I can see that we have a clearer picture of them now, regardless of the fact that we have done something in the previous budget to at least clean up own funds for this year. But we have also started to find a number of solutions together. In this sense, therefore, some progress has been made. For example, I have sent a number of letters on the funding system, in which I am quite positive and optimistic. With Peter van den Berg's research, for example, we have now realised that there are also negative aspects to the PxQ funding and that in the new funding system that should start in 2021, a little more differentiation, you want to see whether the fixed price components could not be taken out of the PxQ funding and you are moving towards a more stable funding. This is actually in line with what my colleague, Mr Grapperhaus, has just said. The D.A.'s office has had to make that kind of deal over the past year. As far as I am concerned, what we are going to do with justice is similar. The second important study is the review carried out by the Council for Justice, which became known a few weeks ago and which has also been sent to you. This makes it very clear where there is potential and what the nature and origin of the problem are. I would like to highlight the challenges facing justice. The case law has to do with an increasing number of cases, but also with a reduction in the total number of cases, so that the financial pressure on the organisation is simply very high. At the same time, this research also shows a number of possible improvements, which can lead to savings potential in business operations, and provides more guidance when it comes to the whole discussion about the matter's gravity. It has been claimed that things are becoming more complex and heavier, but this is now actually being validated in concrete terms up to the level you can say: that difference is in an amount mentioned in the report. I believe that's $10 million. It also makes it clear that the case-law will not be able to solve this financial problem on its own. Of course, I would have liked it to be different, but it's not. This means that we have to deal with this and that we are also taking concrete steps, together with the Justice Council, in the price negotiations that we have now started and which we will conclude with the 2020 budget, to see if we can resolve this financial problem as effectively as possible. Is that gonna work? I just can't anticipate that right now. You know the budget of justice. It's not like that's where the money goes against the skirts. It's not like I'm saying you're taking it away from another part of the Justice Department. If you also look at the rich, there are of course more themes and bottlenecks that require answers. Think about the climate, care and education, where there are also many bottlenecks. We will have to look at this in its entirety with the Minister of Finance. Mrs Van Bijsterveld asked: are we going to reverse the austerity or can the 50 million be made more structuralally? She took that in her motion, too. At the moment, I think it is too premature to give guarantees about this and make very definitive statements about it. Solving the financial problems of justice is, in my view, a top priority. You may call me on the budget to what extent that has been achieved. But I must discourage the motion as it has been tabled, because it is too far ahead of the budget debate.
ParlaMint-NL_2019-02-19-eerstekamer-11.u93	I have two questions for the Minister. One concerns the system of financing the case-law. Indeed, we have just proposed to do part of the lump sum and part of it on the basis of current business. In doing so, we have launched the idea of doing so on the basis of input, not on the basis of output. I have not yet heard the Minister, at least in such a way that it is realistic that sufficient time can be devoted to the matter. I'd like a response to that. The Minister is right that I spoke in my speech about reversing the cuts and making 50 million more structuralally. However, if the Minister had read the motion correctly, he would have seen that I did not mention that amount in the motion. I am talking about next year's budget. I would like to have the Minister's response on this point very precisely. Is he getting these things mixed up or not?
ParlaMint-NL_2019-02-19-eerstekamer-11.u94	The first is about the system. There are different variants. You could indeed think of an input system, but I am not in favour of that for two reasons. Then you've lost sync with the D.A., where you're also working on the basis of a part lumpsum and a part output cost. If you look at the judiciary, I also think it is important that there is an incentive for that judiciary not only to bring things in, but also to ensure that justice is spoken and that matters are done away with. I am thinking, for example, of the lead times and speeds, which really need to be improved for some things. I think it is important that there should be an incentive for this in the funding system too.
ParlaMint-NL_2019-02-19-eerstekamer-11.u95	My group is also very much in favour of increasing the speed of transition times. However, we have also seen in the counter-lights that there are very few minutes per case. Then the flow rate may be a little higher, but then the care is a little less. I hope, however, that this balance will also be monitored and that, when work is carried out on the basis of output financing, a realistic assessment of the time needed for careful treatment will be made.
ParlaMint-NL_2019-02-19-eerstekamer-11.u96	That is a very valid point. In the new price agreements, we will have to look very closely at what real time estimates per category of business are. We really need to re-assess that, if only because the BCG report shows that the complexity of things has increased compared to what we are now taking into account in our funding system. It's really time to recalibrate. Yes, we will. Mrs Van Bijsterveld's motion calls on the government to resolve the financial problems currently facing the Council for Justice in the 2020 budget. That's exactly what I have in mind. I'd really like to get on with it. I believe that we should look critically at what the Council can do for justice, what we can do and what this means financially. But if you take into account in the motion that I should have done the same, then you are way ahead of the budget negotiations. Nor would I find that fair in the direction of other colleagues who also have problems that need to be resolved. So I have no choice but to say: hold the motion until the budget. Otherwise, I'm gonna have to dissuade it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u97	Mr. Chairman. Also on the financing system. It is good news that the Minister points out that the existing system is in fact no longer in line with reality and that he acknowledges that the next budget requires a different way of agreeing on the budgets for justice. I have also listened carefully to what Minister Grapperhaus said about the funding system at the Office, 50% fixed and 50% flexible, and I would just like to say a few words about the main points. I am very curious about that, because Mr Grapperhaus also said that this was based on looking closely at the past experience of justice. How is that the other way around? What is the assessment of the Secretary of State for Legal Protection of the System at the State's Attorney's Office? I thought Mrs Van Bijsterveld asked for it, too. Is that a solution that could be workable for justice? Then there's a second question. The Minister now focuses on the 2020 budget and the 20-'22 period. Much earlier, there's a spring note. Where the problems are so urgent, I can imagine that this Minister is also committed to finding solutions in advance of the budget.
ParlaMint-NL_2019-02-19-eerstekamer-11.u98	I'll start with the systematics. I can imagine, but we are still at the beginning of the discussions on the new price negotiations, that we will come to the same sort of arrangement as my colleague at the D.A.'s office. If you look at the costs of the judiciary, the art is to make the best possible assessment of what costs are not well influenced, which costs are not directly related to the volume of cases, and which ones are. As you make that assessment as best you can, you've arranged the most stable funding possible. If the fixed part is too large and if there is a connection with the number of cases, you will see that if the number of cases increases and the fixed part does not grow, you will have problems again. The art in the discussions we are having with the Council of Justice is to make the best possible assessment of what is logically variable and what can grow with the increase or decrease in business, and what are the components that are actually separate from that. Whether it's fifty-fifty, 40-60 or 60-40, the other way around, don't pin me on that. My intention is to do it as sincerely and as honestly as possible.
ParlaMint-NL_2019-02-19-eerstekamer-11.u99	I don't doubt that for a second. I would like to give the Minister perhaps a little more room for the professional's own responsibility, and not to push it into a system that gives quasi-business certainty and clarity, but it is going to get stuck in effect. We have examples in the care, but also here. You can also read it in BCG's report. I hope that the Minister will allow the idea of more margin in the restructuring process. That'll be more discretionary. Public administrations often like this less, but in practice it sometimes works very well. There is also an encouragement towards the two ministers. In this house, Mr Hoekstra, our colleague at the time, spoke on 3 June 2012: "Good justice is one of the most valuable things we have in the Netherlands. So valuable that that value can't be expressed in money. This does not mean that the costs of the case-law do not matter, but it does mean that the costs of the case-law are of secondary importance to quality. This is an important starting point." That is how Mr Hoekstra found at the time, and I hope now too.
ParlaMint-NL_2019-02-19-eerstekamer-11.u100	Mr. Chairman. I would actually like to ask Mr Backer if he can give me a copy of that. Then I'll put it in my empty folder of budget preparation.
ParlaMint-NL_2019-02-19-eerstekamer-11.u101	I would like to ask the Minister whether he would like to respond to the comprehensive criticism of the funding and, in particular, of the existing output financing. The group calls this one of the crucial problems facing the judiciary. Conversely, I have also pointed out that the judicial organisation is governed by the aforementioned stranglehold on the basis of a false, essentially quantitative starting point. They want to move towards a qualitative starting point. They have given a number of directions for resolving this problem. The first one, which I would like to tell you, advocates funding on the basis of professional standards. They have explained this in detail. I'm not going to repeat that, because you can read it. That is a fundamentally different approach, those professional standards. How do you feel about that? Do you want to take over or not? I like to hear that.
ParlaMint-NL_2019-02-19-eerstekamer-11.u102	Let me begin by saying that I take the objections and concerns of the judges who have organised themselves under the umbrella of Counter-Light very seriously. I also feel, in part, where it comes from and why they point to the current funding system. For example, in the BCG report, I read that the funding of cases is actually a little too small, and then there is, of course, a huge pressure to do business in less time than what the judiciary is funded for. So I see it's pinching there. They propose to do this on a completely different basis, based on professional standards. However, I do not know whether that will work for two reasons. We have given extra money to the judiciary in recent years, even when it comes to professional standards, precisely to give some extra time and air to take things off. Nevertheless, despite the financial space provided, this has apparently had little effect on the experienced workload. I think we should talk about that part too. How exactly is that possible? That is all public money that we have earmarked for that purpose and which has apparently had insufficient effect. They propose this: give us the things, then we will determine the time we need to do so, and afterwards you will be told how expensive that has been. That is, of course, very complicated, because then you will not be able to estimate at all what the judiciary needs. Then it actually becomes a kind of open-ended financing, and I also see great financial risks for the entire Justice budget.
ParlaMint-NL_2019-02-19-eerstekamer-11.u103	I see Mr Ruers is trying to interrupt.
ParlaMint-NL_2019-02-19-eerstekamer-11.u104	I will conclude, Mr President, before Mr Ruers probably interrupts me again. My preference is therefore to estimate very real at the front: what is the average time you need for a particular case? Then one time you need a little more time than the other time, but you can really windows better than we've done at the moment. However, I would like to stick to a system of financing which, at least for a significant part, is based on the number of cases received by the judiciary.
ParlaMint-NL_2019-02-19-eerstekamer-11.u105	Mr. Ruers.
ParlaMint-NL_2019-02-19-eerstekamer-11.u106	I thank the Minister for his answers. It's good that he says it shouldn't be an open-ended arrangement, and so does the Counter-Lighting Group. They don't think so either. They have said: where possible, we must, of course, have windows in advance. You'd be a fool if you didn't. However, they say that this estimate can be done well if you look at the professional standards, the quality of the case law and the knowledge of the case law. Make use of it, and don't hang it on a case, because that's a much too rough way of working. Working with professional standards guarantees that you have the best possible estimate. I would argue that more attention should be paid to this. I'd say, let's see from your professional standards how that estimate can be, because we can learn from that. Can the Minister take that with him when he consults with the judges?
ParlaMint-NL_2019-02-19-eerstekamer-11.u107	Let me promise you I'll take that with me. I don't want to step away from the professional standards either. That is what the judiciary has been working on for a few years now, and that is precisely what is meant to give a little more space to spend time on cases. There is a second point I would like to mention, and that is also where I am going to meet Mr Ruers. If we use a system of funding to fund the entire judiciary, this does not mean that it should also be translated into individual judges or into sectors within courts. I therefore believe that there should be much more room within the judiciary to say: 'Okay, so this is the money we get for it, we have to do it, but that does not mean that there are so many minutes or so much time for every exact moment'. I do hear from individual judges that sometimes they feel that they are becoming more and more of a production machine. I understand that: that affects your professional autonomy. You just want to do a case right, and if a case takes just a little more time, you want to be able to spend that time on it. As well as I know, a judge will also say that it should not take longer than strictly necessary. If it can be shorter, it can also be shorter. I think we should just leave room for that.
ParlaMint-NL_2019-02-19-eerstekamer-11.u108	Madam van Bijsterveld, finally on this point, I think.
ParlaMint-NL_2019-02-19-eerstekamer-11.u109	Thank you, Mr. Chairman. I have to say that I am indeed intrigued by the debate so far, and I also feel that we are moving a step further together than nine months ago. I think that's a good thing. I have just listened very carefully to the Minister, and I think I have heard him say that the case law cannot at the moment save itself financially and that he would like to do otherwise, but he must acknowledge that it is. Let me come back to what I said in the debate and finally put it into that concept. I taste a little that the Minister sees it as a kind of obstacle, in his own work and in the discussions within the cabinet and also with the persons concerned of the justice system, but I would actually ask the Minister to see it as a push to achieve what he himself wants to achieve. At least I see this more and more, on the basis of the recognition he has just given, namely that the case law cannot be done on its own at the moment. I would ask the Minister to take that look at this motion.
ParlaMint-NL_2019-02-19-eerstekamer-11.u110	I can experience it as a push in the back. At the same time, Mrs Van Bijsterveld can hardly expect me to give a positive opinion on this, also because that would not be fair to other areas of justice that sometimes have financial problems, and to other colleagues who have problems. Politics and governance is also making choices in scarcity. That's what we're gonna have to deal with when all these problems are on the table. Then we'll have to see what we can do. Then I do not think I can give a positive opinion at the moment on a motion that actually instructs the cabinet to resolve this issue, without taking into account the other challenges facing the cabinet. So I see the support in the back, I am grateful for that, I am going to try very hard and I hope to have convinced Mrs Van Bijsterveld of that, but that does not change my opinion on this motion.
ParlaMint-NL_2019-02-19-eerstekamer-11.u111	I can well imagine that the Minister is not yet able to make concrete statements, but my group is also intrigued by his remark that justice alone cannot make it financially. What consequences does the Minister have in mind, which he would like to attach to that starting point? So I am not asking what he could do about it, but what he himself would like to do about it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u112	In the coming weeks and months, I would like to see what justice itself can do together with the justice system. Where could we possibly find savings if we changed laws and regulations? A number of suggestions are made for this. I also think that we should look at what is going to be the estimated development of things. We work with some kind of prediction about the influx of things, which is sometimes not so bad and sometimes disappointing. It can give air from time to time, or not, in the price calls you make. We all have to get that together. I, too, ultimately want a case law that is stable and financially sound. But I am also real: if you, as a cabinet, have to deal with a lot of other financial questions too, sometimes you have to say that you have to solve it step by step. So I feel the encouragement of your Chamber and it is a top priority for me. But if you ask me to have it all resolved later on Princess Day, I think it is a step too far and not fair to colleagues either.
ParlaMint-NL_2019-02-19-eerstekamer-11.u113	Mrs Duthler is still interrupting and then Mrs Strik, but then we go to the conclusion of the discussion on this point, otherwise we will not get any further. And time goes on.
ParlaMint-NL_2019-02-19-eerstekamer-11.u114	One last, brief question on this point. Is the Minister prepared to turn the button on output financing, to see how the justice system will be able to survive financially?
ParlaMint-NL_2019-02-19-eerstekamer-11.u115	Yes, we are looking at the systematic and, of course, at the adequacy of the funding. But if only it were so easy that, if we turned a little bit on the system, it would help the judiciary. The system is actually a way in which we have said: with that the volume of money is growing along with, for example, the number of things. This will not make the euros any more or less, if we talk about 2020, for example. So imagine you have a budget for 2020. Then you can work with an inputsystematiek, with an outputsystematiek or with a lumpsumsystematiek, but the amount in front of it does not change. The question is how this will develop in the years to come. That is why we both have to do and are both important, but it is not that it provides immediate financial relief when you turn a button like that.
ParlaMint-NL_2019-02-19-eerstekamer-11.u116	I am pleased that the Minister acknowledges that it might give individual judges the feeling that they are being dealt with in the way they deal with business and that he says that this is by no means the intention. It would also be good to see where that feeling comes from. This may well have to do with the way in which the Council is steered and the role of the Court of Justice. I hope he brings that. Now a very specific question. The Minister always points out, to the 2020 budget. But I can imagine that the urgency is greater and that measures may need to be taken in the spring note as well. Does the Minister take this seriously and is he going to do his best to do so if necessary? If there's a solution, is he gonna fix anything?
ParlaMint-NL_2019-02-19-eerstekamer-11.u117	The Spring note is about the current year. Then, of course, we have to look again at what is in the basket to other things, which also have to be solved. But that's where this comes in, of course. In the previous budgets, at least for the current year, we have provided some relief in addition to the short-term reserves with 40 million policies. The big challenge is much more in how we make it structuralally financially healthy.
ParlaMint-NL_2019-02-19-eerstekamer-11.u118	I suggest that the Minister continue his speech now.
ParlaMint-NL_2019-02-19-eerstekamer-11.u119	When it comes to justice, I have now completed the financial section. Mr Ruers asked if it would help if you made a separate budget for justice. Why does this Minister not come this way with proposals for this? The constitutional argument is: because the House of Representatives recently agreed a proposal, by the way, by Mr Ruers' party, to settle this and there is nothing to bring to this side. At the time, I questioned the desirability of a separate budget for justice in my advice. With the budget right of the House of Representatives there can always be placed, even over budgets. That was actually the argument put forward by the Council of State, which said: a separate budget number is not going to solve the problem, which is actually more of a symbol law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u120	I understand the point and, of course, I knew that the other side of the budget was dealt with and this proposal was rejected by the majority of the Chamber. But I have also said this in the context of the larger whole, which the judiciary has also pointed out. The independence of the judiciary can only really come to its senses if there is a separate budget. Just as the Supreme Court and the Council of State have a separate budget and a separate position, we should also place the rest of the judiciary, the courts and the courts precisely in that context. At that point there is no money, but it is also about feeling: where are we and what is our position? I don't really see what objection there is to that. It is not for nothing a fundamental part of our democratic rule of law: the trias politicians and, of course, the independent judiciary. So let them be independent and give them their own budget. That's the point. We need to see it not only in money, but also in the position and as a kind of confirmation of the special function that the judiciary has within the triad.
