ParlaMint-NL_2019-12-11-tweedekamer-11.u1	The next item is the Act on Language and Accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u71	I was a city councilman myself in Nijmegen. This may also explain why I am not fully aware of the situation in Amsterdam. We had that discussion in Nijmegen, too. At some point, people wanted to be able to convert offices more easily, even in the municipality, to meet students' desire to rent a house there temporarily or for a longer period of time. That was kind of complicated. There's a whole bunch of rules to it that couldn't do that. I know that we have also crossed the line of those rules. It seems very good to me to pick this up together. Of course, I have a lot of contact with those in my group who speak about Living, but let us also sit down with a larger group. I think that's a very good idea.
ParlaMint-NL_2019-12-11-tweedekamer-11.u72	You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-11.u73	Before we have a whole discussion here about the housing market, I'm gonna move on to the bill. We are, of course, debating today the Language and Accessibility Act, which lies ahead of us. Let me point out that we have also seen laws passed that were more clear than this one. This is a legal amendment of 16 pages with an explanation of 85 pages and then another 14 pages of further changes. They caused a lot of spit work in my group. I assume that was the case with the other colleagues. But also for policy makers who should implement this law, this does not necessarily improve clarity. This raised the question of how the law before us relates to the Compatibility Act. Article 3.1 of that law clearly states that the explanation of a legislative proposal should address questions such as what objectives should be achieved, what is the effectiveness of the law and what is the efficiency that should be pursued. I keep missing those criteria in the bill. In other words, we do not see very well what this complicated, big law is a clear answer to. The Council of State considers that the explanatory memorandum of the legislative proposal should also reflect more clearly "the specific problems which the proposal should solve and the causes of these problems." The financial consequences must also be transparent under the Compatibility Act. I have my doubts as to whether the Language and Accessibility Act also meets those criteria. We have also asked written questions about this. The replies to that written input show that the administrative burden for institutions wishing to use a numerus fixus is around €117,300, and then compliance costs are added. This would cost approximately €176,000. But the same answer also shows that the legislative proposal allows for a reduction in administrative burdens. However, this is not further quantified. I would therefore like to ask the Minister if she can explain what is going on. Mr. Chairman. The law intends to promote Dutch expression skills for Dutch and non-Dutch students. That sounds nice, of course. My group also believes that a good Dutch mastery of Dutch is very important for Dutch students. And my group also believes that international students should be able to take lessons voluntarily in order to learn how to master the Dutch language better. Because we just know that when people from other countries come here, it has advantages if they can speak Dutch. This contributes to a better stay. It also increases the chance that international students will linger here for a few more years. And it also makes international students feel more at home in this country. There's another side to it, though. Research carried out by the student organisations shows that two out of three international students in this country are lonely. I've always learned: the sun goes up for nothing. The bill does not provide additional financial resources to institutions to facilitate education in the Dutch language. No additional financial resources will be made available to further stimulate the expression skills of non-Dutch students. No additional financial resources will be made available to further stimulate the expression skills of Dutch students. That's what I just said. The latter is salient, because Article 1.3, fifth paragraph states that the Minister may, by general measure, give more details of the obligation to promote the Dutch expression skills of Dutch-speaking students. In other words, with this legislative proposal, educational institutions are given an explicit social mandate, one that can be further translated into, for example, a measurable language level by general measure of government. And is it going to be C1, or C2 or another level? I'd like to ask the Minister. And I also wonder how the Minister sees this additional obligation for institutions in the light of her recent ruling in NRC Handelsblad. In it, the Minister indicated that there might be 1 billion more in higher education. That is an appeal that I would like to support, but on the other hand, of course, we are imposing additional obligations on institutions. And, Mr. Chairman, there's more crooked. Because last week the PISA report was published, which contains an international comparison between several countries. The report shows that the language skills of Dutch 15-year-olds have been steadily declining since 2003. That PISA report first appeared in 2003. Of course, this decline also has implications for further education, i.e. for rocks, for colleges and for universities. Because because of this they need to get more and more started to teach Dutch young people, who are less and less mastering Dutch, the Dutch language better. The response of the Ministry to this report by PISA was that there should be a reading offensive. The Minister actually said: let parents, family members, grandparents read children more often, for example. I can only support that, but it does not alter the fact that much more needs to be done to stop that falling line, that decline in language skills. And that responsibility lies, of course, in the fundamental education system, but it must also be extended to rocks, colleges and universities. We see a field of tension there, because you can also see that almost two out of every three university staff indicate that they are suffering from physical or psychological complaints due to high workload. That is why I would like to ask the Minister a few questions about this. What should higher education do less to ensure that it can also promote Dutch expression skills? Why didn't the Minister attach extra funding to this extra task? Doesn't last week's PISA report show that it's time to invest in Dutch language skills? Mr. Chairman. I was just talking about Article 1.3 of this bill. Not in the proposal, but later by General Measure of Board can be included how institutions should implement the obligation to promote Dutch expression skills of Dutch students. Then we read: for example, a mandatory level of expression skills can be considered as part of the knowledge and skills that a student must have acquired at the end of the course. This is stated in the explanatory memorandum. It also states that the rules may also cover, for example, the provision of specific language guidance to the student. My group has quite a few reservations about this back door, because it is potentially giving the Minister an instrument to force a test of Dutch expression skills. Possibly, the Minister will also be given the instrument to impose a mandatory number of hours of Dutch lessons per year, for example. I see the minister shaking her head, so I hope she'll be able to explain why we're wrong. Because the way we read it, this is a central control. I'd like to ask the Minister to comment on that later. I would also ask her if, if she sets this standard, she would like to involve Parliament in detail. Isn't the bill much better off without this back door? Does the Minister agree that such a standard cannot be set without additional funding for educational institutions in order to achieve that standard? Then the numerus fixus. Because it would not be surprising if I said that my group is generally not in favour of this. Because this reduces students' freedom of choice or even worse: it also reduces the accessibility of training courses and leads to selection. We all know that every kind of selection also leads to a form of inequality of opportunity, except for lottery tickets. The legislative proposal before us provides that the numerus can only be introduced for courses of foreign language. Here the situation arises that with the same training within an institution the Dutch track can't handle numerus fixus, but the other language part can. Student associations indicate to us that they are afraid that this will lead to self-selection and elite education. In addition, many numerus-fixus courses have an extensive selection process. I've just indicated why we're opposed to that. For example, I have recently asked written questions about decentralised selection in medicine courses. What we see there, for example, is that commercial tutoring centres shoot out of the ground like mushrooms to offer special trainings for this purpose. You can even indicate at which institution you want to study, for which certain additional skills are needed. Then those commercial centers can make a customized trajectory for you, so you can practice very well for that test. No doubt that works very well, that leads to good extra test results and that leads to people getting through that selection easier. But if you look at the price tag, I don't find it so conducive to the equality of opportunity. That is why I am asking the Minister whether it is possible to apply selection not only to exceptional training courses. Is it possible to continue on draw? I also ask her why drawing lots is not included in the bill. Do you think she could respond to that? Mr. Chairman. Students and teachers are the closest to the training courses and also suffer the consequences of capacity problems, if there are any. As far as my group is concerned, it is quite natural to give students and teachers the right to vote before a capacity fixus is adopted. I would like to ask the Minister whether she is prepared to give this right of assent to training committees, in which students and lecturers sit together. Mr. Chairman. Then there is the feasibility, because a law must be enforceable for institutions. Too often it is invented here that policies do not fit in well with practice. That's what we call GroenLink's "sign table politics." Then it can be very good on paper, but in practice it is not always feasible. The Association of Colleges of Higher Education is an urgent indication that the current bill is not enforceable for them. They call for greater control of institutions, and urgently call on the Court to amend the law so that it is enforceable. For example, they say that by checking the numerus fixus not in advance, but afterwards for legality. The SP has tabled an amendment on this. My group certainly understands the amendment, but we would also like participation to have the right to consent to a numerus fixus. This could also be the case, for example, in the training committee. Is the Minister prepared to include this in the law? Mr. Chairman. Then the institution tuition fees. I was chairman of the National Student Union ten years ago, when former Minister Plasterk decided to introduce the institutional tuition fee for the second study. I can tell you, and I have told the Minister many times, that we were not very good at the time. I still don't quite understand that, because higher tuition fees - and that is institutional tuition fees - are contrary to the ambition to promote lifelong learning. I also found it incomprehensible, particularly during the financial crisis that began then, that students were not motivated to continue studying, but instead, applying for benefits became much more attractive. I can also assure you that it costs a lot more to provide a monthly benefit than to allow someone to study. That was therefore an incomprehensible and frustrating measure at the time. There is little this Minister can do about that, but that was my objections at the time, and they still are. Here in the Chamber I have already put forward a number of proposals on institutional tuition fees, including the proposal to allow students with a second education or care course to pay the low rate. These are sectors where there are incredible deficits. We have both a huge shortage of teachers, which goes on, and a huge shortage of care. We must therefore ensure that as many students as possible receive a second degree in one of these sectors, so that we can hopefully work there later. Together with Mr Van Meenen of D66, I have tabled a motion asking that students never pay more than the cost-covering amount. Of course, the fact that this is being performed is only very nice. At the same time, there will be a minimum rate for institutions to ask students from outside the EEA. This is what my group is frowning at, because this also means that students from developing countries, for example, will be given an additional financial threshold. Mrs van den Hul rightly referred to this. My group, GroenLinks, cherishes the fact that there are, for example, students from Bangladesh coming to the Netherlands to study water management here, so that they can make their country safer with the knowledge gained here. For example, there are many more examples of students from other countries who benefit greatly from training here, and then use the knowledge here or in the country of origin. My question to the Minister is: why is it imposing this minimum rate on institutions? Is it not better for institutions to decide for themselves so that they can distinguish between rich international students and students from developing countries, for example? What is the Minister going to do to prevent this from leading to a drop in students from poorer countries? With this increase in institutional tuition fees, does the Minister not negate all the efforts of her colleague, Minister Kaag? After all, it is working on various programmes to offer students from developing countries a perspective on education in the Netherlands. Mr President, my final point. True internationalisation also requires, of course, that we bring students into contact with each other. It's just a shame if students from another country go to the Netherlands, but above all have contact with each other and have little contact with Dutch students, or if Dutch students go abroad and go there together and live with each other. We see some very good examples of how institutions and training deal with this. I remember from my time that at one of the student complexes we had the famous gang-Spanjaard. Each hallway actually had its own Spanish-speaking student. Of course, that worked very well. If you live and study between Dutch-speaking students, this will lead to a nice collaboration with each other. This also makes students feel more at home in the Netherlands. Similar examples can also be seen in student organisations. For example, the football club where I played myself always had room for students from other countries, so that they could participate in the football matches in the Netherlands. We must also do everything we can to motivate international students to become part of our student community. My final questions are about that. Is it true that students from other countries are often not covered by the Profiling Fund, the fund from which grants are paid, because criteria are taken into account in the old study funding system? If you're from another country and you weren't entitled to study funding, you're not entitled to a scholarship now. At least that's how we read the law. If so, is the Minister prepared to delete this article of law, so that international students can also receive grants for participation work, for work at a student organisation or in the event of illness? Mr President, I think I was quite clear. My group is critical of the law before us. We have also asked a number of critical questions about this. We are very curious about the Minister's answers, because our agreement depends on that. Finally, I would like to stress that this law is about accessibility, about language, about workload, and all in all about equal opportunities. As far as GroenLinks is concerned, this is an essential part of our society and also of our internationalisation policy. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-11.u74	Thank you. There is a short question from Mr Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-11.u75	Yes, on the fixus and on the right of assent that Mrs Westerveld wants to give to the training committees. Is that instead of the consent requirement or the consent requirement? After all, we do not yet have the amendment. Then there's my second question. Suppose there is no agreement of participation, but there is a capacity problem. Then how are you going to fix that?
ParlaMint-NL_2019-12-11-tweedekamer-11.u76	I said in my contribution that if there is a capacity problem, those who suffer from it first, are the staff and the students. It would therefore be very strange for them to say, in the case of a capacity problem, that we do not want a fixus. If that happens, they will undoubtedly have a very good reason for doing so, and that is why I would like them to be more closely involved. I also indicated that I see a great deal in the amendment tabled by Mr Futselaar of the SP, which assumes that institutions can assess whether or not they want to set up the capacity fixus. I understand the considerations very well. A sudden increase in the number of registrations cannot be predicted two or three years in advance, but I would like the training committee to be better involved in this whole process.
ParlaMint-NL_2019-12-11-tweedekamer-11.u77	Thank you for your input. I shall now give the floor to Mr Van der Molen, who is speaking on behalf of the CDA Group.
ParlaMint-NL_2019-12-11-tweedekamer-11.u78	Thank you, Mr President. I'm looking at the clock, it's about 16:10 and we haven't even heard the minister yet. I notice in myself that I am very curious about all the answers to the many questions that have been asked. I had asked for a rather large speaking time and with this much too long introduction we are going to complete it. I would particularly like to focus on those points which are important to us. The Dutch language as an anchor point also in this law, but also the way we deal with language choices at universities and colleges are important points for the CDA. We see this as a point that has everything to do with accessibility. I had a very small discussion about it with colleague Van den Hul. Language is a key to a lot of things you could do in your life for your future career. By the way, not everyone makes such a distant international career. That image is sometimes displayed, but that does not apply to many people and does not have to apply to them. But it shouldn't be a way to shut the door for students who could actually do it but couldn't make this step. I was struck by an article that appeared at the BBC at the end of 2018. To use a little bit of English in this contribution, the title was "Dutch language besieged by English at university." It was written from some sort of wonder, because a journalist only writes about something that deviates. Especially that English word 'besieged', constantly under fire, was found very interesting. I agree with a point made by Mr Futselaar on behalf of the SP. He said that if you look at other countries, the full engeling as we see it in the Netherlands with the masters, is not the norm at all. We're not the norm. That was also the surprise with which the BBC looked at our higher education from a British and English perspective. How is it that people in the Netherlands are running after them like that? If you look at Germany, Flanders or Scandinavian countries, you will see that these countries do not allow for international reality at all. Yet they make a very different choice. I would like to say that it is particularly well-founded, of course, not everyone in the Netherlands can easily ignore it, because in our language there is not only what we need to know in order to function in society or to do a job. As demonstrated by the Social Cultural Planning Agency, it is also part of our identity. The Dutch think very different about a lot of things, but when the Social Cultural Planning Agency asks about the Dutch language, it is said across all layers: that is what we share with each other. I should like to look again at the wonder with which the British look at the Dutch situation. Then it seems to us to be very easy, as if language is just something practical that you need to be able to communicate. I would argue that higher education should be the key to opening up an international career, but these institutions should not only maintain a language level. They're also here to guard this with us. That is not a nationalist attitude at all, but these institutions make a wonderful contribution to our language and to keeping it alive. They also contribute that young people know enough Dutch to acquire a place in our society. I would like to give it to every international student to acquire as much Dutch as possible, so that they can work successfully here too. I was also not surprised that over 180 prominent people wrote a piece from political background, social, art, literature and educational institutions themselves a long time ago. They wrote that we do it very easily in the Netherlands: we easily ignore the language we speak with each other at the coffee machine; then we suddenly have to speak English to each other in a consultation. Something is lost in that, even more so than sometimes we cannot express ourselves at all in relation to each other. Mr. Chairman. I've been able to make a lot of work visits. I am quite critical of how we internationalise, not that we internationalize, but how we internationalise. Education institutions then say: Van der Molen is coming along, so we have to do a major part of internationalisation. That always goes quite well and quite well, and there is always one permanent part: the uncomfortable conversation with a group of Dutch students with one international student. I often have a member of the board sitting next to me trying to convince me that things are going well. That conversation is incredibly difficult, because everyone suddenly has to speak in a different language and, I confess, often it is also the members of the boards who do not score best in relation to other staff at participating in those conversations in English. I fully understand that, and it is not easy, but it shows that, fortunately, with internationalisation, we are now at a stage where we do not have to discuss with each other whether we want to internationalise. I didn't start this contribution either, because I think it's important. I don't think that's the point at all. Internationalisation in the Netherlands is mature. We didn't start it, we're doing it, and we can have an adult conversation about how we want to internationalise and what we do and what we don't do in there. The pavlov reaction is very often: yes, but if you are critical of it, you are against internationalisation. I don't get it at all. I saw a written piece by my colleague Paternotte from D66 together with another D66'er, in which he and passant gave a tap to my colleague from the SP because he has doubts about, among other things, the englishment in higher education, and to my colleague from the VVD, Mr Wiersma, who says that everyone is welcome, but also believes that as a country you have every right to make choices in policy. I don't understand. The moment you argue that you want to steer, that you have to have a talent program, that you also have to want to choose and that you make the influx qualitative, doesn't mean you're against internationalisation. Mr Futselaar is not against internationalisation, per se, because he questions what the englishing does with the accessibility of higher education. So that's what I wanted to start with, Mr. Chairman. I think that is a totally false contradiction. There are parties who are more nationalistic about this. Everyone says it as he wants to say it, but I want to remove that false contradiction. At least that does not apply to the CDA, but we are critical of the fact that it also has a number of shadowy sides that we will have to work on together with institutions.
ParlaMint-NL_2019-12-11-tweedekamer-11.u79	A brief question from Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-11.u80	The image presented by Mr Van der Molen seems to me to be a somewhat gloomy picture. He says there's a false contradiction. That'd be great. Then my question would be: do we agree that there is not really a problem? If you then outline such a situation where indeed one international student is present and it is proposed to speak English... I am proud that we in the Netherlands have the choice to say: okay, then we switch to the world language, then everyone can participate. Do you share that feeling with me? Or do you say: no, you should really leave that international student out of that conversation, because it is important that we speak Dutch with each other at that time?
ParlaMint-NL_2019-12-11-tweedekamer-11.u81	English is a world language, but I oppose the idea that we in the Netherlands need to speak English with each other because you can only be part of it. I think the key to participating in Dutch society is that you also master Dutch. I think multilingualism is the key that everyone wants and not just 100% English, and that would be my next point. The international student who can also make contact with the Dutch student because he masters Dutch to some extent, but also the Dutch student who knows how to express himself in English and German. I see another kind of contradiction there. Let me be honest: I find it ridiculous that we have entire university campuses in the Netherlands where you can no longer find a sign with a Dutch text. I've heard your colleague say that before. If you think that makes it easy for people to find a place here, I think you're doing it wrong. I think you should help them to get a place here and you do so in the Netherlands based on the Dutch language. I also think that the quality of education can be affected if you offer courses in full English. I think that we can talk about this very well, because we are maturely thinking about internationalisation.
ParlaMint-NL_2019-12-11-tweedekamer-11.u82	I will conclude by giving the floor to Mr Paternotte, but I would point out that interruptions will gain strength if they are shorter and more concise. I am looking at the clock, because a number of colleagues still have to have a debate after us. Mr. Paternotte, go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u83	Mr Van der Molen mentions a lot of things that I think are a little more English and we have solved that problem. Take, for example, those résumé members. Yes, they are often people who have been to university at a time when everything was still in Dutch and they didn't have the chance to learn a little English in their studies. So if we flush through a few generations, don't you think that we have solved that problem precisely because we have so beautifully anchored English in our academy these days?
ParlaMint-NL_2019-12-11-tweedekamer-11.u84	No, I do not agree with Mr Paternotte. Mr Paternottes' final picture is that everyone speaks English and that we can understand each other well. I disagree. I think we should all be able to speak English. I also think it is a good thing that this is done in secondary education and in primary school, because young people need to be able to control it. But it would be a scare if we in the Netherlands only had to discuss it in English. The majority of Dutch students do not work abroad at all. Most will not work at multinationals, but just work at a municipality of Etten-Leur. And then they suddenly find out that you have to write letters in spic and span Dutch and that they have a language disadvantage. We have also had discussions with students about this in this Chamber. I think that is a point that we should pay attention to. I think it is a gain from the Minister's bill that she states, for example, that we also want to give Dutch from a certain level to young people in higher education, so that they can work at that level in the Netherlands. I really think that's a win-win for this law. Because it was very strange that we had arranged this for all types of education, but not yet for higher education.
ParlaMint-NL_2019-12-11-tweedekamer-11.u85	Thank you. You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-11.u86	Mr. Chairman. I have already indicated that, as far as I am concerned and as far as the CDA is concerned, the starting point is multilingualism. Recently people have written a pamphlet or a thin book called Against English. They immediately had to deal with the pavlov reaction, as if they were against English. That wasn't exactly the point they made. The point that these people are making is that we are failing if we think that we should focus only on the Anglo-Saxon world and that we should only master English. Mr Wiersma has already said something about the control of German in secondary vocational education in the region. It is bizarre that we have thrown German out of the curriculum in favour of English. It is bizarre that in the press in the Netherlands there is endless attention to the daily rates of democratic primaries, while we are barely getting a page filled about what is happening in Germany, the country where we export all our goods to us. We think that is far too little. So with only that language comes a kind of can narrowing in. Of course, I am also talking to people in education about how we can deal with this. Administration students from the Campus Leiden don't go through questionnaires from home to home in certain neighbourhoods in The Hague because they don't know the Dutch language. I find it problematic that this kind of thing falls away. That is not a plea against English, but a plea for multilingualism. It is also a plea for a law that puts an end to the endlessly full English-languageization of education. That is exactly what we are advocating, and for that we see a very good step in the law: we are finally moving towards a law that limits it. We therefore believe that we should be consistent and very strict in the drafting of the law. We see very often that this kind of choice is motivated by the fact that I shall put it this way: it is not appropriate arguments. The CDA has had a discussion with the Minister about the choices that universities make, for example in psychology. It has been put forward many times here by other colleagues; I feel free to join. We have had the situation in Amsterdam, where they choose to offer psychology in English. Then a huge influx of students ambushed them, and they say 'you have to help me, Minister, to manage all this properly', while the key question is whether you are not making a certain choice of language too easily. If the debate is then held in Utrecht with the participation on whether it should be English speaking too, then it is said that we see it in the internal documents 'yes, but in Amsterdam they do it too' and 'if we do not; they do it there'. These are false arguments which the CDA hopes we can put an end to at least with this law. 'Cause you can't. The same applies to the idea that you need to bring in as many students as possible and that this is the key to this. That shouldn't be the key. Those are false arguments in making choices about language. Mr. Chairman. For the CDA, education in the Netherlands has to be arranged primarily for the Dutch student. That Dutch student has also been helped to have international students running around. I'll just say that in one sentence. I think that is a good thing, too, but the key task we have with each other here in the Chamber is to ensure that our higher education, HBO and university, is set up to provide the best education that we can offer our Dutch taxpayers and in all cases the Dutch young people. This is the reason why the government has been instructed in the government agreement to strengthen the use of language in higher education. The CDA is very pleased that this minister is also working on this. This is not the only thing we have done on this point. We have already mentioned in the Van Rijn Chamber when it comes to funding and incentives, for example, about the CDHO, which is assessing labour market needs, saying that we are going to test whether English training for the labour market in the Netherlands is of added value. The first signals I get from this are that it has indeed become a bit more difficult to start an English-language education. We've already taken that step. At least that's a route the CDA is very satisfied with. In this way, we are putting in place the bill that the Minister currently has in front of the Chamber. For us, a number of tightenings are incredibly important. First of all, the test of foreign language. Secondly, the fact that in the law we still lay down that we can expect a final level of Dutch from higher education. I would like to return to the Minister for Foreign Affairs, who is very important. As Mr Futselaar of the SP said, we also had "need" in the previous law. That was fine, and people are demanding it back. Yeah, I do. I'll ask you some more questions. But the important thing now is that, even if it says "value added," we have put a whole procedure on it. You can't just do it anymore. You can no longer easily make a false argument out of it as: "they do it there too, so it should be possible for us too." I think that's the profit of the law as it is now. I would like to make a number of points in this contribution, which we, as CDA, hope will make the law even more consistent in this area. I have heard other colleagues ask interesting questions about this and make proposals for it. Mr. Chairman. Let me start with the added value and the need. I said that the previous law said "need," but yet three quarters of the master's programmes in the Netherlands are now completely English speaking. Then you can write "emergency" down, but if you don't maintain it, you'll end up somewhere you don't want to sit. And yet the word "value added" has begun to lead its own life. Because with "value added" and "need" everyone feels that a sliding scale has been introduced that we should not sit on. By the way, we also have a little bit of a picture of this in the written contribution, because we should not now build in some sort of category that gives room to more of those false arguments, which we should not want to. I would ask the Minister to go to the Chamber on that point. How does it see this added value? Is that an extension to the law as we know it now? Or is this exactly a way to enforce more strictly? I'd like a reflection from the Minister. The 'added value' has yet to be worked out and presented to us. I would like to call on the Minister to make a strong effort when this point is being worked out. Can I give you an example that is also mentioned in the documents? In addition, there could be international research within the framework of training. But I would almost say that it fits everywhere. Mrs van den Hul has quite rightly said: in what field do you not deal with international investigations? As far as we are concerned, such a point is not an added value. I understand. But I don't understand if, in the end, the test on added value would give room for that. I would therefore like to have a further reflection from the Minister on this point. And I urge the Minister to complete this further development in an AMvB during this cabinet period so that we, as we are sitting here, can also be there when the proposal passes through the Chamber. So an AMvB with a front suspension procedure, as it is technically called, is good. As I said earlier in an interruption earlier today, the Minister may make his own list, but we still want to look over her shoulder in secret. Mr. Chairman. The Minister states that language policy must be formulated in the case of a foreign language training. That's actually what we know now. Many institutions have failed to do this so far, but they will soon have to formulate a proper language policy. The idea of the law is that that's especially when you're working on another language. I would like, on behalf of the CDA, to take the view that, at the moment when the Minister asks for a final level of Dutch institutions, it is very strange that not every university and every college as part of institutional policy, of central policy, has a language policy. And not only for how they deal with, for example, other languages or programmes in a completely different language, but also for how they can better shape the English-language support on their way to an English-language master's programme. Or policies for how they work together in the institution to ensure a final level of Dutch. So we do not support the idea that not every institution should have language policy. We propose to the Minister whether it is not a sensible direction to have each institution write down language policy, also in view of the final level Dutch for Dutch students.
ParlaMint-NL_2019-12-11-tweedekamer-11.u87	A brief question, Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-11.u88	So Mr Van der Molen never takes it for granted to make an English language course. Let me just get a...
ParlaMint-NL_2019-12-11-tweedekamer-11.u89	That's not right, by the way.
ParlaMint-NL_2019-12-11-tweedekamer-11.u90	... propose: the hotel school in Leeuwarden, Hotel Wyswert, the learning hotel of the Stenden University, of NHL Stenden. Need or added value?
ParlaMint-NL_2019-12-11-tweedekamer-11.u91	I think there is added value here.
ParlaMint-NL_2019-12-11-tweedekamer-11.u92	I fully share that attitude with Mr Van der Molen. Do you therefore agree with me that we can see for a lot of institutions that this added value is there?
ParlaMint-NL_2019-12-11-tweedekamer-11.u93	Sure. That is why I tabled a proposal and an amendment with Mr Wiersma, precisely to enable the Minister to deal with this kind of situation which is obvious, and we in the Chamber are also looking over the shoulder. There are training courses where it is simply necessary. There's no discussion about that either. It's just in the twilight area underneath, where everyone crawls towards some kind of similarity, like: if they do it, so do we. I think the test fits very well. But I see your point. That is exactly why I tabled that proposal with the VVD. Mr. Chairman. Let's talk about the previous point. I would like to hear the Minister's response to my question as to whether not every institution should have a language policy, also in view of the final level of Dutch. We are going to develop that language level even further during this period. As far as the CDA is concerned, what I just said about the test of foreign language also applies in this area. This too must, as far as we are concerned, be completed. This too should go through the Chamber. It seems to us appropriate to have a debate in the Chamber on the following considerations. What level are we talking about? How compelling is that? Aren't we going too much about how? Shouldn't we be talking a lot more about the target? As far as I'm concerned, it's the latter. Mr. Chairman. The Minister has introduced into the law an exception that I do not immediately see the need for, just to stick to that point. The Minister may make exceptions to compliance with the Dutch final level in certain training courses or groups. For Dutch students, let me add. I thought, why would we do that? With which courses should there be an exception for Dutch students, so not international students, at the final level Dutch you can expect at a university or college? Maybe the minister has a list of training courses. Then I'll be recommended. As far as the CDA is concerned, it could be removed from the law, but I would like to hear the Minister's response. Mr. Chairman. The test of foreign language is valid indefinitely in the bill as it now stands. Once you've taken the test and had a grant, we'll never come back to it, just to put it in English. As a CDA in the context of the reaccreditation, we find this in itself separate. I hope the Minister will take that up, because situations can change. There can really be a logic to english, but there can also be a logic, for example with the aim of quality, to look at it differently. Then a reaccreditation is not a very crazy moment and not an extra burdensome moment for an educational institution to come back to, or for the NVAO to say: we will return to it in your place. I think this is the quality assurance we can expect in higher education. Mr. Chairman. On behalf of the CDA, together with Mr Wiersma of the VVD, I have tabled a number of amendments which are very much about sending foreign students in. A while ago, the minister was confronted with a very large influx at TU Delft, where they sat with their hands in their hair. In the end, the Minister allowed them to intervene there with some kind of numerus fixus, i.e. by regulating more strongly. We as CDA are not a party of the tolerated. We are also trying to be consistent in this. This law and this proposal give us the opportunity to introduce a proper regulation. If the Minister can accept it, she has in a sense agreed with it. Otherwise, you can't do that. So there's a proposal with the VVD that, if they're robbed again by 2,000 Chinese students enrolling and masse, institutions can just get permission to apply that kind of thing on the basis of the law.
ParlaMint-NL_2019-12-11-tweedekamer-11.u94	I would suggest that you complete your speech first. Then I come to the final questions to Mr Van der Molen. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u95	I have one more point, Mr President. The second amendment I tabled together with Mr Wiersma of the VVD is in the same vein, namely to be able to place a cap on non-EEA students. This is a wish that lives in educational institutions. I appreciate the Minister's making some kind of fixus possible on an English-language track. That's a really big step. I think this is already a good way to regulate inflow and guarantee quality. However, I propose, together with the VVD, to include in the law a possibility that can also be targeted towards non-EEA students, i.e. non-European students, and a maximum. Given all the cases where it has gone wrong in recent years, I think it is a justified request from the institutions to make more legally possible. I believe that these matters are always subject to the rule of consent for the Minister as laid down in the law. I understand that very well. But the CDA also believes that educational institutions should be able to steer the influx of international students. We will have to get a grip on this, because higher education, which is increasingly full of students, is burdening itself with an almost impossible and often at the expense of the staff to attract as many people as possible. Someone said to me the other day: there is a kind of intensive animal husbandry in education. It cracks and it squeaks. We're really gonna have to make choices about that. As far as the CDA is concerned, as part of it, there should be opportunities for institutions to steer international influx.
ParlaMint-NL_2019-12-11-tweedekamer-11.u96	I have a few questions on these last two points by Mr Van der Molen. How exactly does he see this selection? I hear him say: we have to have institutions selected in a targeted way. But what does targeted selection look like? Based on what and with what instruments?
ParlaMint-NL_2019-12-11-tweedekamer-11.u97	When it comes to the emergency measure and we look at the design, you could send numbers in a short period of time. With the numerus fixus in itself, we accept that it is about hard numbers and that you can vary it with the groups you allow. If the influx of German students is so large that there is no capacity for Dutch students, such an arrangement can offer space to do something about it. A form can then be chosen, of which draw could be one. I can also imagine qualitative forms, but that is more real in large numbers. From the CDA I am not opposed to decentralised selection based on qualitative factors, but I see Dutch students as a side effect that certain groups will be systematically excluded. That is also the reason why, in an earlier debate, I indicated to the Minister that if that does not improve, at some point I will think again whether it should be changed. At the end of the day, access must be guaranteed.
