ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u68	No, because you heard the second part of my answer very well.
ParlaMint-NL_2019-10-09-tweedekamer-8.u69	I'm from the country. I'm from North Groningen. I would like to ask the following question. Is Mr De Groot aware that if he writes this type of ideas out in an attic by candlelight and now prescribes them to the agricultural sector, in rural areas there is a feeling that a study room scholar is going to prescribe how to run their business, when they have been doing so for decades?
ParlaMint-NL_2019-10-09-tweedekamer-8.u70	Clear. That was also Mr Stoffer's question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u71	I don't see that qualification. I've been in the agricultural circuit for some time. I see how, despite, for example, the recognition of the problems of manure in the 1970s and the Braks manure law of 1984, we have still not been able to solve the problems of intensive livestock farming. It's been a long time. At some point, therefore, a message that indeed arrives harder, I am very aware of that, but it has to be delivered. We've been at it too long.
ParlaMint-NL_2019-10-09-tweedekamer-8.u72	I would like to warn Mr De Groot of a European trend that we are seeing. In France, in England and also increasingly in the Netherlands, we see that the difference between rural and urban life styles is creating more and more tensions in society. I think we should not increase these tensions, but build a bridge.
ParlaMint-NL_2019-10-09-tweedekamer-8.u73	I would like to say something about that, because you are introducing something that is not at all about this. This is precisely about how we are going to live in this country, how we are going to produce food in this country in a way that does not undermine nature, in a way where farmers have a structurally good income and where not one in three farmers is consistently or annually below the minimum limit. That's what this is about. You can suggest anything, but this conversation is necessary to see in this country how we are going to produce food and save nature, clean air and clean water for all the people in this country, not just for the city.
ParlaMint-NL_2019-10-09-tweedekamer-8.u74	Well, there's Mrs. Lodders again.
ParlaMint-NL_2019-10-09-tweedekamer-8.u75	Yes, Mr. Chairman. A compliment to Mr Moorlag, because I really like his qualification. He talked about "student room theory" by Mr. De Groot, with his experience as director of a dairy organization. I step forward here because Mr De Groot indicates that nothing has actually happened for years, almost decades. I do not accept this qualification in the direction of our farmers. I said in my contribution that nitrogen has been reduced by 64% since the 1990s. I hope that Mr De Groot will take that percentage and, when he is back in his place, he will think about the message he has brought to these farmers again.
ParlaMint-NL_2019-10-09-tweedekamer-8.u76	I will not deny that there has been a significant reduction in nitrogen from 1990 to roughly 2013, 2014. Mrs Lodders is quite right about that. And the emissions of climate gases have also been reduced. Super good! Alone, it's been up since then. The sector would reduce 10 kilotons. That was part of the PAS. It has only increased since 2013, 2014. It even increased in 2017 and 2018 in such a way that we went beyond the limit set by Europe. So, Mrs Lodders, you also live in the rule of law here, and you also have to abide by the law. And what have you done in the years that you have been here to deal with these problems in agriculture, to provide real structural solutions for farmers instead of just repairing, repairing and repairing them?
ParlaMint-NL_2019-10-09-tweedekamer-8.u77	Those examples are there. How many times have I advocated the deletion or modification of legislation in such a way that farmers can be given more room for innovation? So far, I have not been able to do so. But I'm gonna keep fighting for it. I keep fighting for all those farmers who work seven days a week, 24 hours a day to produce quality and affordable food for us. And I'll be damned if I'm gonna let those peasants go and put them in a corner. I'm not in on that! And I would really ask Mr De Groot to have a little understanding of this sector. Mr. President, I'm sorry, I'm really angry.
ParlaMint-NL_2019-10-09-tweedekamer-8.u78	I have a warm heart for that sector, but sometimes it goes with you naming what we need to do. I'd like to have that conversation with Mrs. Lodders. This includes looking back on the direct actions from the VVD in the last ten years. I think there's some self-reflection there.
ParlaMint-NL_2019-10-09-tweedekamer-8.u79	I have been watching this debate between two coalition partners for some time now, and I am actually wondering the following. Does Mr De Groot feel that his idea of circular agriculture is the same as that of the VVD? It looks like two world views are incredibly colliding here, while it's about the same thing.
ParlaMint-NL_2019-10-09-tweedekamer-8.u80	It's kind of weird to ask me that. However, I do see a justified rise in this debate, and I believe that this is also true for the interests of today's farmers' families, who often do not have it easy. I see this in the contributions of my fellow Members. But I also hear Mrs Lodder saying that we should move on to other uses of feed and that we should use manure differently. So I do see attempts to get together.
ParlaMint-NL_2019-10-09-tweedekamer-8.u81	I see you see that. Only I see a very angry Mrs Lodders, so I do not see that it is very mutual.
ParlaMint-NL_2019-10-09-tweedekamer-8.u82	I think Mrs Lodder's been thinking about the last ten years.
ParlaMint-NL_2019-10-09-tweedekamer-8.u83	I, too, see that emotions are on the rise. But Mr De Groot is actually telling things the way they are today. When he calls on the VVD to put his own hands into his own bosom, I remember that in 2007 this Chamber received figures that now bring out D66: this number of animals is unsustainable and it is inevitable that the number of animals will have to shrink by 50%. D66 was then for that proposal, later made some crazy other choices, with the PAS and phosphate. But would Mr De Groot just acknowledge here that he should have held on to the line of that time, which the Labour Party was against, and the VVD, and the CDA? But what Mr De Groot is saying now, and what he is criticized for, was fully figures-based in 2007 and therefore inevitable.
ParlaMint-NL_2019-10-09-tweedekamer-8.u84	When there comes a compliment from the Party for Animals I always listen very carefully. Because you leave one aspect of what you mean by fewer animals unmentioned, namely that you are always talking about a cold clean-up. I'm not gonna go along with that. D66 isn't gonna go along with that. The point is that those farmers who want to stop will be helped in a good way. So all the talk about fewer animals is actually free when you don't pay for it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u85	Then we can clear up this misunderstanding immediately: the Party for Animals has never said that. I remember, for example, the end of mink breeding. Then the Party submitted an amendment for the Animals to do it with a bag of money so that they could stop earlier. That's what D66 was against. You can, then you opt for a longer transition period. But the Animal Party has never supported a cold clean-up, and we are not going to do that now. So good that that misunderstanding is out of the way. With what I wanted to help Mr De Groot is that, if there is so much criticism coming from now the coalition parties, but then also the Labour Party, who then also looked away from that numerical argument that you have to realize at least half the number of animals in the Netherlands to get your...
ParlaMint-NL_2019-10-09-tweedekamer-8.u86	Yeah?
ParlaMint-NL_2019-10-09-tweedekamer-8.u87	...to achieve environmental goals, he might say: right, that have...
ParlaMint-NL_2019-10-09-tweedekamer-8.u88	Yeah?
ParlaMint-NL_2019-10-09-tweedekamer-8.u89	...we then supported and other parties didn't. In the meantime, we have made some mistakes, we have supported the PAS...
ParlaMint-NL_2019-10-09-tweedekamer-8.u90	The question, Mrs Ouwehand.
ParlaMint-NL_2019-10-09-tweedekamer-8.u91	... we've co-caused the phosphates drama, but we're not gonna do that anymore, those numbers are inevitable: shrink...
ParlaMint-NL_2019-10-09-tweedekamer-8.u92	Okay.
ParlaMint-NL_2019-10-09-tweedekamer-8.u93	...of the number of animals and anyone who contradicts that, should simply go into the numbers that are just on the table.
ParlaMint-NL_2019-10-09-tweedekamer-8.u94	I have not limited the number of interruptions, because I assume that an interruption must be short. But if it's gonna be longer interruptions, we're gonna have a real problem. You may ask a question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u95	You're right, this was a long time. I'm not gonna do that anymore. Mr De Groot.
ParlaMint-NL_2019-10-09-tweedekamer-8.u96	Well!
ParlaMint-NL_2019-10-09-tweedekamer-8.u97	I didn't hear a question. But the Animal Party is talking about a cold shrinkage and we are talking about a warm shrinkage and warm investment in the sector. I will continue my speech.
ParlaMint-NL_2019-10-09-tweedekamer-8.u98	Yes.
ParlaMint-NL_2019-10-09-tweedekamer-8.u99	I have just indicated at what legal level the government should clarify what circular agriculture is, so that innovations can follow and, I say to Mrs Lodders, we can also break down existing tight regulations. On the other hand, there must be a private quality system for the other chain parties. Then I'm talking about the processing industry. It should focus on quality rather than quantity. Because you see very strongly that farmers themselves are not in contact with the market, all through a processor, a milk cooperative. That model is beautiful, of course, because then the farmers are the boss. Only, that's very much focused on quantity. For example, there are cooperatives that have a very nice strategy of added value for 70% of that amount. But because it is so supply-driven, they have to sell 30% at a loss, making that average payout price to farmers so low that they can all only respond with intensification and cost strategies. We need to get rid of that, and that is why the talk in these cooperatives will have to take place in order to match the amount of milk, meat or otherwise in this case to that strategy with which you can really make good money for the farmers. Then the banks. A number of things were said about this last week. This is a sympathetic idea, but banks should only invest in circular agriculture. There, too, it is necessary to clarify what that is. 'Cause if we don't, we're gonna keep beating each other up with vague sentences. Consumers tend to buy the cheapest piece of meat, but in the meantime they fill in surveys that they are for animal welfare and they vote for it. It's been a while, but there's once been a D66 proposal that means that every pack of meat has to have a QR code that allows you to scan for a camera in that stall, so you can see for yourself as a consumer how animals you have on your plate. Then you can decide for yourself whether you like it or not. As I said, there should be a quality system for supermarkets. Now the CEO, the boss, says "I'm totally green and I've got a niche for this and a niche for that" while the buyer puts the farmer on the nose and it's just about the lowest price. Something's going wrong. Such a quality system would be nice to really bring supermarkets into their policy to become completely green and thus contribute to circular agriculture. I also see in the Maij Committee and in the open letter from the supermarkets that everyone tells what the other should do. For this minister, it is the art of directing together. We're going from an uncertain no strings attached, which is what it is now, to clarity, courage and decisiveness. Without this clarity, the Minister's ministry failed with regard to D66. Mr. Chairman. I come to nature. D66 is concerned about the progress of the Dutch Nature Network. We have an international obligation to designate 17% of the area of the Netherlands as Natura 2000. We're at 13%. In addition, we are obliged to describe the good state of conservation, but also to talk to the provinces about the question of what that is and to send it. That's what we're worried about. We also have serious concerns about the coral in the Caribbean. That's gonna get worse soon. I would like the Minister's statement to prevent its decline from becoming irreversible in its period. What would be more beautiful than that? In this context, I also have a question about the amount of €600,000 in the budget. Is that structural for the coral in the Caribbean, or is that occasional? Mr President, I will conclude. The best nature policy is a good agricultural policy. Last week we saw an impressive demonstration. But the flowers and the bees don't go to The Hague. They don't block the roads. They die in silence. In Europe, Dutch nature is the worst in the world. That is why D66 would like the following statement by this Minister of Nature, similar to her statement on the Malieveld: as long as I am a minister, nature in the Netherlands will not deteriorate further. Thank you, Mr. Chairman.
ParlaMint-NL_2019-10-09-tweedekamer-8.u100	Thank you. Mr. Futselaar, a quick question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u101	A quick question. Mr De Groot said quite a few words at the end. In fact, he said that without the clarity I want, the Minister's ministry was not successful. If you make such a tough statement, it seems to me that at some point that should also have consequences for the position of D66 in the coalition if the proposals that Mr De Groot wants to see are not forthcoming in the coming year. That can't be a general statement, can it?
ParlaMint-NL_2019-10-09-tweedekamer-8.u102	At the end of each cabinet period you look at the question: how did we do it; did we not just write things down, make a nice story and have very nice, cozy regional meetings, but did something actually happen? That's what D66 will take care of this minister. It is also our job here in the Chamber to look not only at fine words, but above all at fine deeds. And then, in this case, it's about clarity. Yes.
ParlaMint-NL_2019-10-09-tweedekamer-8.u103	But I do not ask Mr De Groot to look back in a year and a half and say that we did or did not do well. Mr De Groot is here now. If he thinks things should be done now, then he must now make sure that they are set in motion. If they are not set in motion, then there should be consequences. Otherwise, Mr De Groot should not speak such harsh words.
ParlaMint-NL_2019-10-09-tweedekamer-8.u104	I have made the necessary suggestions to initiate actions. I've always done that, and I'll keep doing that. Some of them are fine, as I have also mentioned in my contribution. In another part we will remain critical as D66. The bar's high. This is a minister who can do a lot and who has already achieved a lot, so we have high expectations.
ParlaMint-NL_2019-10-09-tweedekamer-8.u105	Thank you, Mr. De Groot. I now give the floor to Mr Moorlag on behalf of the PvdA.
ParlaMint-NL_2019-10-09-tweedekamer-8.u106	Thank you, Mr. Chairman. We saw an impressive protest last week, a protest that was perfectly legitimate. Farmers stood up for their interests. They're worried about their survival. Mr. Chairman. A lot of farmers didn't exist well. We've seen that in the income figures. The farmers who do have a good life are constantly concerned about legislation and regulation and about another crisis that is flareing up again, such as the nitrogen crisis. The importance that is being pursued is highly legitimate. Mr. Chairman. A few days before, we also saw a demonstration of a lot of young people. They are also concerned about their security of existence. They are concerned whether there will still be sufficient natural resources and sufficient natural capital in the future to have a viable world. Those protesters also stood up for a perfectly legitimate interest. What I am concerned about a moment ago is how we are going to bring together that one section and that other section, which are going to bring together different worlds of experience. You can see that society is just polarizing hard. You can see it happening here in the Chamber. On the one hand there is the PVV, which simply denies that we have a problem with our nature and says: we have the most beautiful nature we can imagine; move all nature protection legislation aside. You can also see CDA and VVD, who say a bit: we must be very proud of our peasantry. We should be proud of that, too. I'm also proud of those entrepreneurs, but I'm not proud of the agricultural system as we have in the Netherlands because this simply does too much predatory work on our soil, but also on our nature and on our living environment. There should be a little more eye for that. Mr. Chairman. I do not think that Mr De Groot's approach is the right one either. Although you may be right in substance, that doesn't mean you're right. That's actually what I want to say to those protesters. Because the protesters are very locked up in their own right. RIVM figures are being called into question. I see there's a demonstration at the RIVM. I don't think that's right. Those are just scientists conducting investigations on behalf of this Chamber and the government. We are the ones to whom the protest must be addressed. Mr. Chairman. I'm also worried about where these actions are going to lead. For years, I've been a union manager. I myself led actions, actions that were incredibly emotional, but I always knew that those actions had to lead to something, namely that you end up at a table and that you're going to make a deal there, an agreement. After all, you know that you always come across each other as different parties, as different stakeholders in this small country. My question to the Minister is how she will organise it. Two years ago, I proposed a broad agreement on agriculture, food and nature, following the climate agreement. I'll make that proposal again. We can all think of it here, as Mr De Groot imagines, but it is other parties who have to take responsibility, which must be made owner. They have to stop fighting each other out of the shooter's pits and out of their own accord. They must stop pointing only at the other and tell them what to do. I am in favour of all those parties in the chain, such as nature and environmental organisations and fellow governments, being brought to the table in the same way as under the Climate Agreement. We need to create ownership. The Climate Agreement is not perfect, but what has happened is that parties who have been opposed to each other for years have sat down at the table. They came out of the shooter pits. We've seen Greenpeace sit at the table on one side and Shell and Esso on the other. They didn't do that as friends, but they did it as parties that stand up for their interests. The PvdA still has a lot of criticism of the Climate Agreement, because it is far from perfect and it needs to be brought much further. But to my taste, such a process needs to be set up here as well. Here, in the political domain, we are not going to solve it. The debate just now was a model of that. It is the parties themselves that we must give responsibility and space for that. So, in summary, is the Minister prepared to take that step and explore with all those different parties whether they are prepared to go into such a process? Mr. Chairman. Then the second point of the PvdA. Much is going to happen in the rural area, such as the approach to peat meadows and the relocation of farms. In addition, we need to find space for a few million trees, and the water must have a place. That means a lot of ground mobility. I understand that two colleagues from the Minister, Mr Hoekstra and Mr Wiebes, have a plan to create a large investment fund. As far as the PvdA is concerned, part of that fund is used to set up a land bank, so that you can promote ground mobility. Neighbor's land only comes for sale once. It just works when you have a good ground pot, when all those different functions need to get a place in the country again. If you have a large ground pot, you have a trade to facilitate it. Land may hold its value even better than the euro. So my question to the Minister is whether she is prepared to examine whether there is room for a budget to set up a land bank, to speed up a number of processes and to free up the stuck economic development space as much as possible. Mr. Chairman. My final point is a small point. We talked last year about national parks. A good step forward has been taken. I would like to compliment the Minister for that. Budget has been released until 2022. As we should be proud of our agriculture, we should also be proud of our national parks. It is good that the national parks will receive funds until 2022, but national parks will not cease to exist in 2022. I do not really think that we should wait until 2022 to answer the question of whether we can give more structural funding to the national parks. I.V. is now on. That's good. But as far as I'm concerned, I'm not gonna let that drip dry. If we do think it should dry up, I think it should be known to the organisation at an early stage. I would therefore like to ask the Minister whether she is going to examine early whether this funding can be made more structural and whether more continuity can be offered to national parks. That's all I'm gonna say, Mr. Chairman. Thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u107	Thank you, Mr Moorlag. I now give the floor to Mrs Dik-Faber on behalf of the Christian Union.
ParlaMint-NL_2019-10-09-tweedekamer-8.u108	Thank you, Mr. Chairman. Two words dominate the news of the last few weeks: nitrogen and climate. I walked with young people during a climate strike, which caused a traffic attack here in The Hague and overcrowded trains. I was there when there was a traffic infarct all over the country and farmers with their tractors went on their way to the Malieveld. What powerful signals. All too often, the solution to all these problems is put on the farm. My group finds that too easy. Combating climate change and protecting our nature are issues that concern our entire society and which are our responsibility. Last year, during the budget debate, I presented my own initiative "Connecting farmer-citizen" to the Minister and also to fellow chamber members. It is fantastic to see how much support farmers received last week for their action, but at the same time the gap between farmers and citizens and between urban and rural areas is greater than ever. Citizens have an opinion about their food, but they don't know how it is produced anymore. The connection between farmers, citizens and outsiders can help to better understand each other and work together towards a sustainable food system. I would therefore like to thank the Minister for her comprehensive response to my own initiative paper. There will be a real trade mission in our own country. I would like to see a lot more domestic products on the shelf of the supermarket and the supermarkets also benchmark each other on this. How are the talks the Minister has with the supermarkets? What concrete steps can we expect from the supermarkets themselves? In my opinion, the government can set a good example and include as many products as possible from its own country in the catering industry. Will the Minister take this step and extend it to provinces and municipalities? Mr. Chairman. The Christian Union welcomes the Task Force Korte Keten, which supports farmers in organising their own sales channels and thus literally and figuratively narrows the distance between farmers and citizens. For example, farmers, organised or not in platforms, do not have to invent the wheel themselves. One of the biggest challenges lies in logistics. What can the Minister mean in that?
ParlaMint-NL_2019-10-09-tweedekamer-8.u109	I hear Mrs Dik-Faber talking all the time about a gap between farmer and citizen, but I have seen in the surveys that the citizen is very much in favour of the farmer. So there is not so much a gap between the farmer and the citizen, but rather a gap between politics and the farmer. Do you understand?
ParlaMint-NL_2019-10-09-tweedekamer-8.u110	I found it heartwarming to see how much support farmers received last week when they came to Malieveld massively. Indeed, I have not heard anyone in my area say: what a strange action; I don't understand anything about that. On the contrary, society has appreciated this very much. I'm happy about that. At the same time, I see the following. Let me make it very personal. My parents were both from the farm. I used to work there as a kid. But my daughter won't be on the farm anymore. In a limited number of generations, therefore, there has really been a distance to the farm, to the knowledge of how our food is produced. I see now that there is a very large group of citizens who do have an opinion on food production and say to the farmers 'we want animal welfare and environmental requirements, we want this and we want it', and at the same time have no idea what is going on in the farmyard. I think it's important to bridge that gap. That is why I tabled this own-initiative proposal last year. I also see opportunities, precisely because society seems to have a great deal of appreciation for our farmers.
ParlaMint-NL_2019-10-09-tweedekamer-8.u111	I would just like to mention the fact that the gap between farmers and citizens is not so important right now. The protests do not focus on the citizens; the protests focus on politics. It is the policy of the last few years that has rightly angered the farmers. It'll make them impossible. It's the politics you have to point to. You must point to yourself and not to the citizen.
ParlaMint-NL_2019-10-09-tweedekamer-8.u112	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u113	Yes, Mr. Chairman, that's what I'm gonna do. Mr. Chairman. Social service is an initiative of Christian Union and CDA that is embraced by the Cabinet. There is a lot of talk about young people working at health and welfare organisations and recently also at the Ministry of Defence. But why don't we let young people go into the farmland or go into the stables? I spoke to a young farmer, who took her fellow students from Rotterdam to the stable in a village on the Veluwe to teach them how to milk cows. A world opened up to these young people. Of course, it is not an obligation for farmers and for young people, but let us at least allow social service to be provided to farmers. I'd like a response from the Minister. Mr. Chairman. Today I would also like to praise the critical consumer. They've been wasting less food: almost a third less since 2010. Of course, that's good news. Are we looking at the success factors? My group would also like to see the waste in the supermarkets and on the farmyard reduced. It is impossible for good vegetables to be rejected because of aesthetic requirements. Last year my motion on the removal of aesthetic requirements in marketing standards was adopted. What happened to that? Does the Minister also have European supporters to put this on the map and on the agenda in Europe? Mr. Chairman. The dot on the horizon is circular agriculture. The Christian Union is very keen to make this change, along with the farmers. A system change has not been realised from today to tomorrow. It requires approximation of legislation and consumer behaviour, and it cannot do without a good income for the farmer. The bill on sustainability initiatives also makes it possible for farmers to work together more than now to be stronger with large purchasing organisations. That's good. Does this bill also offer room for cooperation in the chain? Mr President, I see an interruption.
ParlaMint-NL_2019-10-09-tweedekamer-8.u114	You're so involved!
ParlaMint-NL_2019-10-09-tweedekamer-8.u115	I hear Mrs Dik-Faber say the word 'circular farming'. I'd like to hear from her if she's in the D66 camp or the VVD camp.
ParlaMint-NL_2019-10-09-tweedekamer-8.u116	I'm in the camp of the Christian Union.
ParlaMint-NL_2019-10-09-tweedekamer-8.u117	I am asking the question because as a viewer there was just a very big lack of clarity because of the clash between the VVD and D66 on the concept of circular agriculture and because you are also in the coalition. Do you ever talk to each other about exactly what that means?
ParlaMint-NL_2019-10-09-tweedekamer-8.u118	We have a wonderful vision Circle farming. The Minister has prepared it, and we have discussed it here in this Chamber. We have also discussed the development of this vision. I think we're going step by step to realize the circular vision. I see that one is perhaps a little more impatient than the other, but the circular vision is the dot on the horizon and that is where we go step by step with the farmers.
ParlaMint-NL_2019-10-09-tweedekamer-8.u119	We can be a bit laughing about it, but I think today the common concept of cycle that the coalition thought it had has fallen into furious elements. The coalition agreed: it is a black and white dog. For one part of the coalition it is now a completely white dog with a few small black dots on it and for the other part it is a completely black dog, with a few small white dots on it. Can't explain that to society, can it? So my question to Mrs Dik-Faber is whether the coalition's concept of circular agriculture is simply not clinically dead today.
ParlaMint-NL_2019-10-09-tweedekamer-8.u120	No, definitely not. We've laid down the circular vision. We discussed it in the Chamber. I have tried in this Chamber that the circular vision was not only supported by the coalition parties, but was widely supported. I have also seen this in society: support from farmers' organisations and support from nature organisations. I think it is very important that we now take action together, together with nature organisations, together with the farmers and with broad support in this political arena.
ParlaMint-NL_2019-10-09-tweedekamer-8.u121	My criticism of the concept of circular agriculture was that it was far too vague. As soon as it becomes clearer, division in the coalition arises, because it is far too process-oriented. I note today that circular agriculture is now a circular agriculture for the coalition.
ParlaMint-NL_2019-10-09-tweedekamer-8.u122	Mrs. Dik-Faber, please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u123	I leave that statement to Mr Moorlag. I want to start telling stories about a work visit I made to a pig farmer in the province of Overijssel. That was extremely interesting. The thick fraction and the mineral concentrates are processed in a compost tower, at the farm. They are processed into a dry fertilizer that can be used as a fertilizer substitute. The nitrogen is bound by the composting process, but unfortunately this product cannot be applied in the Netherlands. A missed opportunity. The use of fertilizers brings an additional stream of nitrogen into the cycle and its production costs a lot of natural gas. The Christian Union wants Dutch agriculture to be able to make much more efficient use of natural fertilisers released from the production of animal products as a high-quality fertilizer substitute. Until the end of this year, a study of mineral concentrate is ongoing. As far as my group is concerned, this has to be scaled up to the maximum. Is that what the Minister wants? Mr. Chairman. With the Brussels decisions on pulse fishing, fishermen have once again been very difficult. The most modern fleet in Europe, perhaps the most modern fleet in the world, is thrown back in the last century. It is good that the Minister has gone to the European Court of Justice to fight the ban on pulses, but we now also have the Brexit and there is a North Sea agreement that will certainly have an impact on fisheries. Now EUR 5 million has been earmarked for innovation in fisheries in the coalition agreement. What is the situation with regard to the allocation of these funds, how they are used and how the fisheries sector is involved? During our group days we took a walk with the ChristianUnion Group through the Speulderbos, also called the forest of dancing trees, together with a forest ranger of State Forests. The age of this forest, about 200 years, makes the Speulderbos particularly beautiful and impressive. Trees, forests provide clean air and help fight climate change. The Minister is coming up with a forest strategy and my group is very pleased with it. I also read about the plan of GroenLinks and the SP to plant a tree for every Dutchman. I still have to read that plan, but it sounds inspiring. The Christian Union considers it important that we, our generation, move forward for the future of our children. That is why my group proposes that a tree, a baby tree, be planted for every child born. I'd like a response from the Minister. With nature, God's creation, in our country things are not going well. For biodiversity all signals are red and according to the Health Council there is a blanket of nitrogen across our country. Fortunately, there is now a biodiversity plan and it is good that the cabinet has quickly responded to the report of the Remkes Committee. I welcome the government's proposed approach. We are going to help farmers if they want to stop farming or we are going to invest in circular agriculture and also innovation in agriculture. There will also be investments in nature recovery. We're reducing speed in those places where it has a positive effect on nitrogen emissions. But my group does not want us to just look at road traffic and agriculture in order to combat the excessive nitrogen emissions. Following the outcome of Remkes' second report in May 2020, measures for aviation and shipping are also on the table. For the balance sheet in our country, it is important that all sectors contribute to combating the problem of nitrogen, and that is certainly true in the case of aviation as far as the Christian Union is concerned.
ParlaMint-NL_2019-10-09-tweedekamer-8.u124	Can Mr. Von Martels intervene?
ParlaMint-NL_2019-10-09-tweedekamer-8.u125	Sure. I'd love to.
ParlaMint-NL_2019-10-09-tweedekamer-8.u126	Okay. Mr. Von Martels.
ParlaMint-NL_2019-10-09-tweedekamer-8.u127	Thank you, Mr. Chairman. It's supposed to be okay. For the sake of clarity, I would like to have a clear answer to the question whether it is about a baby tree or baby booming. That was not entirely clear to me.
ParlaMint-NL_2019-10-09-tweedekamer-8.u128	The latter, baby tree, is of course always very pleasing to the parents but today we really make a plea for a baby tree.
ParlaMint-NL_2019-10-09-tweedekamer-8.u129	Clear.
ParlaMint-NL_2019-10-09-tweedekamer-8.u130	Yeah, that's clear. Mr. Chairman. My group notes that there is a lot of unrest among farmers about the RIVM model that is being used when it comes to nitrogen deposition. Indeed, the RIVM model is not perfect and it is good that a better model is being worked on. I think that will be available at the beginning of 2020. It is important to measure more, which is ultimately more reliable than calculating. In order to be able to interpret data properly, transparency is also necessary about the model and the data used. How is RIVM going to provide transparency and what can the Minister mean in that? I notice that farmers are not only concerned about the RIVM model but that there are also a lot of questions about the future of their business. What exactly is going to happen? And I'm sure that goes for other entrepreneurs as well. Is the Minister prepared to set up a telephone and online help desk where people can go with all their questions? I believe that the CDA Group had already put that question to the Minister. Mr. Chairman. We will continue the debate on this next week. As far as the Christian Union is concerned, there is and remains a future for the agricultural sector in the Netherlands. Someone who wants to be a farmer in the Netherlands, someone who wants to pass his business on to the next generation must be able to do so. This requires a sustainable future-proof way of farming, which takes account of the boundaries of man and nature, but also of the potential of a sector that is a world leader in agricultural innovation. Let us therefore work quickly and seriously together with the farmers. Thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u131	Thank you very much, Mrs Dik-Faber. I now give the floor to Mrs Ouwehand on behalf of the Animal Party.
