ParlaMint-NL_2019-12-11-tweedekamer-7.u1	I'm suspending the meeting for a minute and a half.
ParlaMint-NL_2019-12-11-tweedekamer-7.u47	That is partly also a rhetorical question, because of course we always want to. We want to offer even more people who can do more. For that, I think it would be interesting if these universities or colleges from abroad would share their good offer in the Netherlands as well. At the same time, you should not confuse this with that everyone should always have access to it. Of course, selection is part of that, because that also means that you look closely at who comes into that classroom. What access requirements do we need for this? How do we offer the best quality? It's no coincidence that these universities are at the top. That is precisely because they are critical of who can study at their gates. If you want to go to Harvard now, you might not get in there. Maybe that's wise. Perhaps you will come in because you are very clever, but I would like these institutions to be able to weigh up. I would not want anyone in politics, for example, Mr Paternotte, to say: you must let them in, otherwise you will not be accessible. I think we're gonna be the middle class. That's a bit of a threat if we stop profiling. That is also the agenda that the Minister wants to keep: let universities excel in what they are very good at. But that also includes applying for admissions to the students. I can't say to Harvard: cancel the admission requirements, otherwise you won't be in the Netherlands. That's a little weird.
ParlaMint-NL_2019-12-11-tweedekamer-7.u48	Finalizing Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-7.u49	Those equal opportunities fit the Netherlands. We discussed the law of Mrs Westerveld and Mr Kwint on parental contributions last night. You can see that some schools have a parent's contribution so sky-high that there is actually no equal access there anymore and that they say: let's do something about it. At Harvard you do have selection, but you also have a tuition fee that I don't think comes under $50,000. This also means that accessibility is at stake. You say with me: we should never go to a system in which students have to invest so much money that most Dutch people think: is that never for me?
ParlaMint-NL_2019-12-11-tweedekamer-7.u50	And by "you" you mean Mr. Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-7.u51	Yes, Mr. Chairman. No, our education is a great asset and we want to keep it accessible to everyone, but that does not mean that everyone has to offer the same. If there are programmes that are more intensive, that are more small-scale, that are more expensive, that set very specific requirements, then that should be possible.
ParlaMint-NL_2019-12-11-tweedekamer-7.u52	Thank you. Mr Van der Molen.
ParlaMint-NL_2019-12-11-tweedekamer-7.u53	I think the latter is also the case, because with such a specific profile you can also ask for a different tuition fee. I find it interesting in itself how access to higher education is discussed by parties who have supported the lending system in terms of money and barriers. But I would like to make a point about that accessibility. It now seems as if Mr Wiersma, on behalf of the VVD, is strongly in favour of hordes being taken, whereas this law now has just as part of how we deal with the numerus fixus. On the contrary, this law restricts the freedom of institutions relatively. And I have heard Mr Wiersma speak quite positively about the law so far and I would very much like to hear from him how he will judge this point. There is still a lot of discussion about this.
ParlaMint-NL_2019-12-11-tweedekamer-7.u54	That's a bridge too. 'Cause I'm gonna come up with the law. I'll get the head of language first, then the head of accessibility. This was still part of the broader picture for me and these were the introductory shellings. So I'll come back to your points in a moment, if you'll allow me.
ParlaMint-NL_2019-12-11-tweedekamer-7.u55	Thank you. Mrs. Van den Hul.
ParlaMint-NL_2019-12-11-tweedekamer-7.u56	I would like to move on to the previous point. We heard Mr Wiersma speak to us about what one might call 'elite institutions'. I have a great concern about that. How do we ensure that not only students with parents with a very thick wallet can come to study in the Netherlands, but also, for example, students from low-income countries, students from countries in Africa, Asia or South America? We think it is very important that they can also study here, and not only if they contribute to the famous Dutch earning capacity. They should also be able to study here if they then return home after, for example, learning in the city of peace and justice, where we are today, about human rights or about the International Criminal Court. Or maybe they've been able to do an internship at another special institution in this particular city. How does Mr Wiersma believe that access to these groups of students can also be guaranteed?
ParlaMint-NL_2019-12-11-tweedekamer-7.u57	Two groups of students are mixed up. You are talking about groups of students coming from low-income families in the Netherlands and groups coming from developing countries. Those two groups are mixed up. For that last group, I think we now have a great deal of room in education. We see that, among other things, this increases the influx. This is not only because we offer space, but also because the Netherlands is attractive to students. At the same time, I say that there are limits to it. We have to be honest about that. There are limits to the capacity of institutions. There are limits to the workload of teachers and to the quality you can offer. Sometimes the influx of foreign students can express Dutch students from education. I'm just pointing out those boundaries. If we are able to make ourselves even more attractive abroad, then I think we should be honest and think about these limits as well. This bill is a step in that. I like that. I'm just saying, I think there are other steps you can take. We want to be extremely accessible, even for people from abroad. If we do this very well, it also includes that you are clear about the quality you want to guarantee in the Netherlands, and that you are also clear about the workload. So that goes for that. The other group is formed by, for example, people who come from Dutch families whose parents have not studied. I come from such a family myself. I am incredibly happy with the Dutch system. I could climb from the Mavo to the Havo, the HBO and eventually the university. I managed to do that, and we could have done that because we have this education in the Netherlands and because there were opportunities for an additional grant. You will not hear me say in any way that this would not be a good system and would distance itself from it. I can't hear you saying that either. We have an incredibly good system in the Netherlands to help people find the best education for themselves.
ParlaMint-NL_2019-12-11-tweedekamer-7.u58	Mr Wiersma has really misunderstood me, because I was talking about access for students from countries where less is earned. For these people not only the cost of study, but also the cost of housing and living here in the Netherlands are very high. With these plans ahead today, there will be a minimum rate for non-EEA students, but no maximum rate. I now hear Mr Wiersma outline a horizon of international institutions of topallure that should be able to spread their roots here and thus improve the attractiveness of the Netherlands as a destination country for foreign students. Certainly, hearing what Mr Wiersma just said about earning ability, my concerns go to students from Africa, Asia, Latin America and who do not all have a tech future ahead of them, but come here to study human rights, for example, or to study other humanities. How do we ensure that they are also welcome and have access to this fantastic system in the future that Mr Wiersma has outlined for us?
ParlaMint-NL_2019-12-11-tweedekamer-7.u59	Now I understand the question better, but the first answer is still valid. We cannot allow unlimited people to study here, because that has consequences, so we must also dare to set limits. All you're saying is, don't let those boundaries make sure that the people we're trying to help can't study here. You mention the lack of a maximum amount of institutional tuition fees. I get that, because I don't want that either. I don't want that to be a brake for people to study here. I would rather look at: who is it, what can he and what will he add to the Netherlands? I think that these are important criteria to send. I do not think financial criteria are important. This proposal proposes a minimum level of tuition fees for people outside the EEA. I can even imagine that there are sometimes students we would like to have so badly that we do not find that minimum interesting at all, that we would like to help them to get here and that we do not want to create financial barriers for them. There are scholarship programmes for that too. I'd like to discourage that group last. I'm sure I understand your concern. I would also like us to monitor whether this is going to be the truth, because that's not what I want either.
ParlaMint-NL_2019-12-11-tweedekamer-7.u60	Interrupts go in two, Mrs Van den Hul. I would like to give Mrs Westerveld the floor.
ParlaMint-NL_2019-12-11-tweedekamer-7.u61	Here too, Mr President. We hear from Mr Wiersma, not only here but also in the newspaper and in the written questions, that the VVD wants to send more to incoming students and actually want to look more at what they get us. This morning, he's getting the paper said we don't really need all these psychology students. I wonder what figures Mr Wiersma is basing himself on. Because if we look at recent figures from GGZ Nederland, among others, it turns out that we have more than 4,000 vacancies in the Netherlands, including 1,000 for psychologists. On what figures does Mr Wiersma base his story?
ParlaMint-NL_2019-12-11-tweedekamer-7.u62	Just on the figures that can be found in the recent Nuffic reports. I've got them right here. Those figures show which courses are popular. Of the 85,000 international students there are about 14,000 who choose the beta angle. The rest chooses alpha studies. I mentioned the 6,000 psychologists, but the question is whether we are going to offer unlimited space for that. Or do you run into borders that affect our students in the Netherlands? Can they even study here and get good quality? In turn, the teachers, whatever your concern, should be given the space to manage things properly. When I speak to the institutions, they say: give us the room to manage that well, we are not going to say that in advance. That is not what the VVD says either, from which countries the students are welcome or not. That is totally out of the question. We want to ensure that you keep education well, but then you have to be honest: there are limits to that.
ParlaMint-NL_2019-12-11-tweedekamer-7.u63	Thank you. Mrs. Westerveld.
ParlaMint-NL_2019-12-11-tweedekamer-7.u64	But then you have to be honest and show that the labour market of the future is difficult to predict. It's very difficult to tell which students we want. In any case, I am not participating in the calculation that the VVD seems to make of: well, we do want to bring in the students who give us the most money as a country. I would like to ask Mr Wiersma again what he is basing this on and how he wants to properly calculate which students we would like and which, above all, not.
ParlaMint-NL_2019-12-11-tweedekamer-7.u65	I am confident that the institutions will be able to make that choice. I base myself, among other things, on Nuffic's figures, which simply give an overview of the number of students coming to the Netherlands. Furthermore, in its opinion on the Strategic Agenda, the Economic and Social Council made it very clear that I asked the Minister just now that we should also look at what our Dutch labour market needs most. We can see that this is not always happening. My concern is that, if we do not consistently do so, our Dutch education will be under great pressure, and that we will in the meantime fail to think about how we can help our labour market with this. I think it's quite logical that you look at what someone in the Netherlands can do. It's not just free development work and charity, it's a way to build a more beautiful Netherlands. That is what we all do, and that is what we do with teachers who can handle the workload and students who are entitled to good quality education. Let everyone come in and see how things go, that doesn't make the Netherlands any better. It is precisely because talent is so beneficial that we also need to think about protecting our security, our good and accessible facilities of higher education, the workload of teachers and the capacity of education. That is precisely why we are critical of a number of elements of the legislative proposal. I'll walk them by, starting with the language, followed by accessibility. The measures taken in the context of language are sensible. There are also risks, because of course things still have to be worked out. Language policy should not discourage the VVD from coming here to study. Because that affects accessibility, and we want to be attractive to people in order to learn and take over our knowledge and experience here. Then how is the Minister going to ensure this? The ISO points out that this choice must lie with the student. The SER also says: a choice for English belongs to that student and to that institution. Does the Minister agree with us? How are we gonna make sure this is properly secured? The choice of language is also something that should be tested by the NVO. This can lead to a considerable, and unnecessary, workload. Let's not make things any harder for each other than it already is. It should simply not be unworkable for the NVO and the institutions. That's what the VSNU says. But how are we gonna guarantee that? For example, can we not simply exclude programmes that are obviously English, such as honours lectures, university lectures and double degrees, so that you avoid unnecessary bureaucracy? Could we work that out in the AMvB?
ParlaMint-NL_2019-12-11-tweedekamer-7.u66	There is a question from Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-7.u67	I agree with Mr Wiersma that unnecessary bureaucracy must be avoided. As someone who's had to do accreditations from the teacher's side, I know how terrible they can be. But on the other hand, if you cannot explain the added value of English-language education as a programme, then you are totally wrong? Obviously, that shouldn't be a very complicated process at all, should it? You have to be able to argue that, don't you?
ParlaMint-NL_2019-12-11-tweedekamer-7.u68	That seems to me to be the case, but the NVO has placed critical notes on the criteria, from one third to two thirds. He said that bureaucracy is complicated for us. I could imagine, I just think for a moment that there are training courses where it is obvious and where you do not need these tests at all. Could you make that easier? That is actually the question to the Minister. But if you can't, you can. I have also tabled an amendment with Mr Van der Molen to take a closer look at the criteria for each AMvB, so that we can put something workable and not push things through in advance that may not be necessary.
ParlaMint-NL_2019-12-11-tweedekamer-7.u69	Rounding off, Mr. Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-7.u70	I agree. Ultimately, it will depend on the criteria. We need to assess the impact. But that is also why I am not very inclined to say: we are going to exclude groups in advance before we know what those criteria look like.
ParlaMint-NL_2019-12-11-tweedekamer-7.u71	Okay.
ParlaMint-NL_2019-12-11-tweedekamer-7.u72	Okay. Mr Van de Molen.
ParlaMint-NL_2019-12-11-tweedekamer-7.u73	The CDA, together with Mr Wiersma of the VVD, is indeed putting forward a proposal to make this list, but the charming thing about that proposal is that the Minister cannot make her own list but can also take a look at the Chamber. That might be good to notice. But I do have a question for Mr Wiersma, and it is about the Dutch language among international students. He made a plea earlier in his speech: they should stay here in particular. One of the most important preconditions for this is the mastery of the Dutch language. But I hear Mr Wiersma say now: if they come here to study, we should not bother them too much with Dutch, because that could be quite compelling. Could Mr Wiersma put those two things together for me? 'Cause they seem to be kind of conflicting.
ParlaMint-NL_2019-12-11-tweedekamer-7.u74	I said "I have a limit" and that limit is that it must not lead to discouragement to come here. I would find it a shame if the talent from Oxford, which we are about to get here even more quickly because of Mr Paternotte's brexit emotion, thinks in advance: well, I don't, because Mr Van der Molen is making me compulsory on Dutch lessons. I would say: order that beer in English, but in the meantime offer Dutch at the institution. Make sure you offer it as best you can. I have a tip for that, by the way. There are a lot of moocs, online courses, also in English. Moocs in English are offered on institutions, but let's make them centrally available on one website, so you can already use all those good best practices in Oxford that have settings to teach you the language. I would like to make it attractive in that sense. I wouldn't say it's a hurdle you have to get over right away, but I do think that if you want to work here, we should teach you Dutch. That's what we think is very important. But let's try to do that right by seducing people and not by pushing it right through, at the risk of scaring off talent.
ParlaMint-NL_2019-12-11-tweedekamer-7.u75	Clear. Finalizing, Mr. Van der Molen.
ParlaMint-NL_2019-12-11-tweedekamer-7.u76	I do not think it is entirely consistent. Mr Wiersma tries to send a kind of qualitative influx every time, which should above all ensure that people stay here. The point that I make and that Mr Wiersma himself made, namely that we have to make another kind of program, a kind of make it in the Netherlands! ... In the past there was money to help people who stayed here, while they had studied here. The problem is not that someone from Oxford in the Netherlands can no longer order beer. The problem is that in very large numbers of cities in the Netherlands as a Dutchman you can no longer order a beer in English, because the people who work there are not powerful in the Dutch language. So I invite Mr Wiersma once again: what is his idea of giving people enough Dutch, so that if they stay here, they can get out of their way, in their work and in society?
ParlaMint-NL_2019-12-11-tweedekamer-7.u77	That is the point that institutions also organise things for that purpose. That's what's in this bill, too. I have also asked for good examples of the moocs, which some institutions already offer on one website, such as the Study website in Holland. You could use that website as some sort of site. You see now that everyone is developing their own programs, but some things we can also make available to everyone. Such a website might be a little better to find than the websites that the institutions themselves have for that purpose. Mr. Chairman. Participation has the right of assent to language policy through the training committees. That's nice, important and good, but how are we going to make that work? The Council of State rightly points to a number of challenges, including the occupation of training committees. Those challenges are not new. I'm curious about the Minister's approach. How is it going to inform them specifically so that they can take this task seriously? Perhaps a course should be organised for them at the central level. The Minister has undoubtedly thought about this. I wonder how she'd want to do that. Mr. Chairman. I come to the language skills of teachers. I think a lot of students recognize it. You're in a class and the teacher you're hearing may have had a course, but some of the technical concepts you don't quite understand, while the teacher does his best. That's what we call "coal angels." Stonecoal, you might say. I believe that the institutions should not only offer Dutch to foreign students, but that they should also have the English offer in order. I think there's an offer for students, but it could be better for teachers. Would the Minister also like to bring that to the attention of the House? There are standards on how to be in control and what you have to comply with. I've heard that one has to meet C1. I also see that this standard has not always been formally laid down everywhere, and that it is also, I would ask the Minister if that is true, only in the case of people in permanent employment. It happens that staff who are not on permanent duty is in front of the classroom. That must, also important, be able to speak English. I think it's too skinny if we trust this is enough. I would like to ask the Minister what is true of this. How are teachers' language skills? What kind of studies do we have in which students reflect what they think about it? Can't we get a plan of action on that?
ParlaMint-NL_2019-12-11-tweedekamer-7.u78	Mr Wiersma said in this debate on a number of points that he had difficulty in imposing new questions and obligations on institutions. Now there is a point where a standard already exists. Teachers need to reach C1 level. Institutions are watching over that. Mr Wiersma does not say that we should entrust this to the institutions, but that we should have a plan of action. Can you tie those two things together for me?
ParlaMint-NL_2019-12-11-tweedekamer-7.u79	Yeah, I can do that very well, I guess. You hear me say that the C1 standard applies only to people in permanent employment. A lot of people in education do not teach in permanent service. You're actually saying I don't have to look at that. I call for that standard to be applied to anyone who teaches in education. I wonder if you disagree, because that's what you're suggesting.
ParlaMint-NL_2019-12-11-tweedekamer-7.u80	You're both talking through the chairman.
ParlaMint-NL_2019-12-11-tweedekamer-7.u81	Mr Wiersma puts all these things in my mouth that I did not say at all. I feel that institutions are taking this very seriously. There's a standard. Even when people temporarily stand in front of rooms, institutions now believe that the level should be reasonable. The situation of 15 years ago, in which everyone had to get used to it, is in itself over. My question is very simple: why does Mr Wiersma not trust the institutions on this point and why does he impose additional bureaucracy and accountability and a plan of action on them to achieve this? On other subjects, he says that he has no need to give any direction to it.
ParlaMint-NL_2019-12-11-tweedekamer-7.u82	If there is a party that sits in the chair of the educational board, then you are doing so with the proposals you make. I understand that you want to push back with that confidence, but at this point I see that there is an offer of institutions. I wonder if this is always offered and made possible by everyone, including teachers in non-permanent service, whether we also help them to do so and whether we also know how students appreciate English. A survey I have here shows that 16% of international students complain about the language skills of the teachers. I think we should take these signals seriously. I would therefore ask the Minister whether she is talking about this with the institutions and whether she can see how we can improve it. What standards should we perhaps make more widely applicable? I don't think that's a weird question. You're making a trick out of it by saying that I put things on institutions. I'm in the process of improving education. If you don't want to do that, you don't want to do it, but I'm just gonna ask.
ParlaMint-NL_2019-12-11-tweedekamer-7.u83	Mr Wiersma also spoke through the president.
ParlaMint-NL_2019-12-11-tweedekamer-7.u84	Apologies, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-7.u85	Thank you. Mr Paternotte, very briefly.
ParlaMint-NL_2019-12-11-tweedekamer-7.u86	You can call it a trick, but my question is very simple. You want a plan of action.
ParlaMint-NL_2019-12-11-tweedekamer-7.u87	Mr Wiersma wants a plan of action.
ParlaMint-NL_2019-12-11-tweedekamer-7.u88	There's a problem here and the Minister can look into it? Only you say: can the Minister make a plan of action and can we apply standards more widely? This means that we are imposing a little more on institutions. I am indeed asking how this is consistent with what you said earlier in the debate. You don't have to whack back right away; you can also just answer. In other words, Mr Wiersma can answer that question.
ParlaMint-NL_2019-12-11-tweedekamer-7.u89	Thank you. Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-7.u90	Do you mind if I take a moment to respond?
ParlaMint-NL_2019-12-11-tweedekamer-7.u91	It was actually a short reaction, and otherwise we'll talk about it again and again. Well, then you're definitely gonna challenge me again.
ParlaMint-NL_2019-12-11-tweedekamer-7.u92	No, we're not gonna do that. I have just asked a number of questions to hear more from the Minister about this, so I thought it was a bit short on Mr Paternotte's bend.
ParlaMint-NL_2019-12-11-tweedekamer-7.u93	I would now like to go to Mr Futselaar for his question. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u94	As I said to Mrs Westerveld at the start of this debate, this is mainly going to sit back and watch coalition parties take each other's weight. It's a good thing I'm right. I have a broader question that is not just about specific C1 level or not, but more about English-speaking education. That is what I am asking as someone who himself has followed and taught English. Each study shows that if a non-native speaker teaches in another language, or if a non-native speaker receives education in another language, there is a loss of information transmission. That's right. Sometimes that's limited, but that's just what it is. You can compensate for that by, for example, giving more hours, but then you have to. Should we not also look at this in English-speaking education? How do you guarantee that, for example, an English-language variant that in theory has just as many hours, will maintain the same level of education?
ParlaMint-NL_2019-12-11-tweedekamer-7.u95	I think that's an interesting question. You are actually saying that if we really take the language seriously as a way of conveying education optimally, we must also ensure that it is done. I also ask this question because I am not always sure that it will happen, although at a different level of abstraction than you, because I am a little woodier in it. I often hear from students that this is still a challenge. So how is this being worked on at institutions? Can't we see what that standard does and make a plan of action for it? I find it interesting that you say that we should check whether the quality is still in order in the translation into English. I think that's something the NVAO should or could do. I am also curious whether they will do so, so I would like to put that question to the Minister through the President.
ParlaMint-NL_2019-12-11-tweedekamer-7.u96	In conclusion, Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-7.u97	Suppose there is an education with a Dutch language and an English language variant whose programme states that the curriculum is exactly the same and where the same teacher does both the English language and the Dutch language variant, then I think you have something to explain as an education. I think the NVAO should look into that.
ParlaMint-NL_2019-12-11-tweedekamer-7.u98	Yeah, interesting. I'm curious to hear the Minister's answer. Then I'll get to the access block. At the heart of the matter for us is that this minister does not want to select people we desperately need for our labour market, but instead opts for measures that might make our teaching for foreign talent, but also for our own students, more unattractive. I like that "maybe"; I find that complicated. That is why I have put forward a number of proposals with amendments and I shall also table a number of motions. I am curious about the Minister's answers, but I will go through our points on this part of the law. It is the hardest part and we are critical of it. First of all, there is a national committee of international students in higher education. It notes that there is actually a great deal of uncertainty in the field about the existing possibilities in current legislation and regulations, which allow educational institutions to define their admission policies. This is the result of a combination of the WHW and the Aliens Act and there is uncertainty about that. My question is whether we can help them by communicating it more clearly. Can we give an instruction or information about this, because this is seen by several people who have provided input to the law? The aim should also be to create measures that create sufficient opportunities for the institution to shape an admission policy and thus also to avoid capacity problems. Does the Minister agree that that should be the goal? The same national committee notes that there are still too few instruments available to manage the influx. Does the Minister agree with that? Furthermore, the ibo also notes a number of points. Some of the ibo's proposals are not taken on board here. Why doesn't the Minister choose that? The measures now included in the legislative proposal for accessibility are actually tricks to prevent us allowing students to study on the basis of selection. The Council of State also points out that this in turn leads to unnecessary complexity, because you now have to ask the Minister for permission in advance for a fixus on a non-lingual route. I'd say that's all about the hot stuff. I will give a few examples in the law regarding the consent requirement. The criticism of the domes and the Council of State is that two years may be unworkable and the necessity is not convincing. What is the story to the people with whom they can be convinced and they get the confidence that this will work for them? How's the Minister gonna do this? This is a serious question, because we are making an important law of which this is a major part, and there is criticism of it. I wonder how the Minister wants to parry it. How do we prevent these two years of unnecessary hassle and bureaucracy? Is the Minister talking to them, to the Association of Colleges and the VSNU, to make this workable for them? What's coming out of this conversation? There's gonna be a committee that's gonna do the review. What's he gonna look like? How is it brought together? There will be a ministerial arrangement with criteria. Is that gonna be a front? We would then like to see them, because those criteria are still unclear. There is a description of efficiency and the labour market, but we are not clear how that is being looked at. I would like information on this from the Minister. Mr. Chairman. Two points are important for the VVD. One: we must, of course, always want to avoid student stops on training for deficit sectors. That is why we have this bill, but I am curious to see what guarantees the Minister will put in with that committee in order to test extra when it is really a deficit sector, for example in beta and technology, so that we really do not go so easily to that fixus. I understand that capacity discussions and funding play a role, but we do this for a reason. So it really has to work for that. I'd like to get guarantees from the Secretary of State. I mentioned the labour market component, i.e. efficiency. How is it taken? In the letter of amendment, the Minister mentions this as a matter of consideration for the committee, but how should we see it in practice in the near future? The minister only allows a numerus fixus on a different-language track. Student organisations express the fear that this Dutch track can also become a drain. I understand that fear, but I can't see it fully substantiated either. I am looking for this and I therefore ask the Minister to keep a close eye on it so that we can see if this is the effect. Is there anything known about previous situations in the Netherlands or elsewhere, for example, about a track with numerus fixus? What did this do for the accessibility and how it was experienced, but also for the quality of such a track? Was that a drain or not? What opportunities do training courses have to make additional demands if they want to do so in order to make that track more attractive and, for example, to ask for motivation for it? Do they have opportunities to do so and, if not, why not? Why shouldn't we give them a little more space to choose for themselves so that they can both keep their tracks attractive? Mr. Chairman. Then the institution tuition fees. There will be a minimum rate for students from outside the EEA. I have already said to Mrs van den Hul that this may also have disadvantages. This is true of the maximum amount of subsidy, as the LSVb also points out because we do not know how that will work out. Can we monitor that? That's how I'm asking the Minister. We don't know how much these amounts are going to go up. There may also be situations where the level of entry is too high at all. The question is whether there are enough opportunities to get a scholarship, so that we can also offer it to talent that we would like to get here. What room is there for customization in this area? Is that also something that the Minister can give further form, so that there is a possibility to say: I really do not think this is useful, in this way we miss talent? I think it would be important to call on the institution to do so. The VVD aims to make it more possible for institutions to set admission requirements. Specifically in the case of foreign language training, this is the way to control inflow and workload and to maintain quality. That's obvious. We are now missing a strategy, and I said it at the beginning when I spoke about the motion that we tabled with the CDA last week in order to steer that quality and, at the same time, to focus on international influx into studies that are actually contributing to our labour market. It's en-and. You have to do both right. We're choosing to do both, and I think that's unwise. That is why I call this proposal a missed opportunity.
ParlaMint-NL_2019-12-11-tweedekamer-7.u99	What is the VVD thinking about with these admission requirements? Should we throw up the tuition even further? Or should there be other admission requirements? I would like to tell Mr Wiersma of the VVD that, of course, there is already an admission requirement, and that is the diploma. Nuffic and all kinds of institutions among themselves are doing very well when it comes to looking at the quality of that diploma. Everyone here agrees that this quality must, of course, be sufficient. What further admission requirements, apart from that diploma, should there be?
ParlaMint-NL_2019-12-11-tweedekamer-7.u100	As far as I'm concerned, it's not financial. I'm not sitting on that. I am thinking of the fear of a drain on such a Dutch track. I can imagine that an institution wants space.I'm not gonna decide what it is to think about how to make that track just as attractive. I studied in Groningen. There was indeed an English-language psychology course in which the influx was very strong. It actually became almost a German language education. The course was given in English, but there was only German influx. I think it is wise that you look at the Dutch component: is that in balance or are we attracting many more people who are going to do the English language training? Would you just ask for a letter of motivation? Would you like to take a good look at the numbers? There may be opportunities for institutions to find that they should make that attractive or that they should be more selective. I think it is right for us to allow institutions to do so. I understand you don't, but that's my decision.
ParlaMint-NL_2019-12-11-tweedekamer-7.u101	Finalizing, Mrs Westerveld.
ParlaMint-NL_2019-12-11-tweedekamer-7.u102	We always see that certain students have priority if you continue to select, for example by means of a motivation letter. I would like to ask Mr Wiersma if he agrees with me. For example, we now also see that students whose parents are doctors always have priority when writing a letter of motivation, because then the parents can do so for them. There is always priority when selecting. I would like to ask Mr Wiersma whether he really agrees with this for the equality of opportunity of all students in the Netherlands.
ParlaMint-NL_2019-12-11-tweedekamer-7.u103	You're making it very big. I think it is important that the quality of an education is good and that you help each other to move forward when you do an education. It's not for nothing that the big programs like psychology say on the first day: look to the left and look to the right; the one on your left will be gone in two months and the one on your right may not be there in a year. It's not for nothing that these training courses have a huge breakdown. I think it's important that you can make agreements with each other and manage expectations in advance and thus help to get better education. Then I don't think it's crazy for an institution to think about that. I'd like to give them that space. You don't want to offer that space. I can see that I am not getting a majority for that, but I would think it important to offer it. That's what I'm giving you. Then you know why I want to.
ParlaMint-NL_2019-12-11-tweedekamer-7.u104	First of all, a teacher who starts the first lecture with "look to the left and to the right, because they all go away," as far as I am concerned, has to leave higher education. That's a thought. Teachers do indeed have to pay for their achievements. That can be very easy because they almost all have a temporary contract, which is a disgrace, but we'll talk about that later.
ParlaMint-NL_2019-12-11-tweedekamer-7.u105	Your question.
ParlaMint-NL_2019-12-11-tweedekamer-7.u106	Actually, we're doing the selection debate a little bit here. One of the thorns in the eye of the anti-selection party is a proliferation of tests and motivation letters. All kinds of settings hobby when it comes to selection. I'm saying it a little loud, but that's the bottom line. Isn't Mr. Wiersma afraid he's opening a new gate for hobby? And specifically, I would like to ask him if, if he does, he is at least willing to say that you should only do it if the selection method you use is scientifically sound. And so not: well, I had a teacher and he wanted to make a language test.
ParlaMint-NL_2019-12-11-tweedekamer-7.u107	Yeah, I agree on the last point. I think you should do that with instruments that work. We're not putting things through people's noses because one person happens to think they can't. You have to take that very seriously in such a case. I just think that if you do your best to be attractive to talent, and if you do, it can't be any different than taking the consequences seriously and thinking about how you're going to control the influx and guaranteeing the quality of all those students. That's one-on-one. I agree with you that you need to find the right instruments for this, but we cannot get around that discussion. It's all around the hot stuff.
ParlaMint-NL_2019-12-11-tweedekamer-7.u108	Thank you. You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-7.u109	Yes, Mr. Chairman. I told you that this bill does not do either and that it also opts for the risk of education becoming more unattractive for everyone. We do not want to steer through discouragement policy, but precisely at the gate already controlling the influx. That is why we also have two amendments which I would like to explain. One has already been submitted, and the other hopefully will follow soon. One is to enable a cap on non-EEA students at specific training courses and also in specific circumstances. You sometimes see the influx increase sharply. There are well-known examples. Computer science in Delft is an example of that. Normally there are 200 to 300 places and suddenly there is a large number of entries from outside the EEA up to 1,000 or 1,200. In such cases, such an institution must take action. Those measures are not legal now. The question is, shouldn't we help them do that legally? Not to make sure that an emergency restriction is needed every once in a while, but so that, if necessary, it can and it is legal. For that we have an amendment for the Minister. We also have an amendment on not only this emergency restriction, but on the possibility of setting limits at all for students from outside the EEA. Institutions also say they're more erratic. This is particularly true in universities. The influx sometimes increases faster than usual. That makes it very difficult to plan. And something you wouldn't want is just to steer with an emergency control. So you would like to give the institutions room in advance. They can estimate a very large increase of students from outside the EEA. Institutions can do this because their training is so well written that people from outside Europe really make lists and actively seek them out. This affects the quality of education and the workload, but it also gives that institution virtually no opportunity to anticipate it. So we are also proposing that the amendment should be followed up in order to create opportunities outside Europe to set limits.
ParlaMint-NL_2019-12-11-tweedekamer-7.u110	I see a question from Mrs Westerveld. I'll look your way, too, but if I cheat, I can see you're getting along.
ParlaMint-NL_2019-12-11-tweedekamer-7.u111	If I were to look at education in the same way as the VVD and think about who gives me the most and what I have to use, and when I see that the CPB has recently calculated that students who do not come from the EEA, on average during the time they are here, will produce almost a tonne of money. We will calculate the costs and benefits, and then they will deliver us a tonne of money in the EU instead of restricting the influx, we would not have to invest on getting the more to the Netherlands, for example by broadening the funding of institutions?
ParlaMint-NL_2019-12-11-tweedekamer-7.u112	I find this an interesting argument from GroenLinks. It's a good thing you're looking at what we can make money with. That's good. I'd say hold that. But that money that students need doesn't go directly to students. Students need good education. I want us to help those students get the best education of the best teachers. When you say everyone's welcome, you have to be honest about that, too. You also know that these pre-proposals can really be outliers. That's just trouble at an institution like this. Then you have to be honest. Then you must help them to control the influx, to secure the workload and to guarantee the quality and not, on the other hand, to evict Dutch students. That's what happened in Delft, in computer science. At some point there will be a numerus fixus. It is completely filled with Chinese and Indian students. And the Dutch students are watching that and can't do anything. I think that's an undesirable situation. So, no, I'm not just looking at whether it's working. I'm also checking to see if it's really good education. So it's a combination. I am convinced that in the long term this will bring the Netherlands the most benefits.
ParlaMint-NL_2019-12-11-tweedekamer-7.u113	Thank you. Finalizing, Mrs Westerveld.
