ParlaMint-HR_2014-01-23-0.u64071	[[CONTINUE AFTER MEETING IN 11.50 HOURS]] On behalf of Croatian Labourist fellow Tušak, please.
ParlaMint-HR_2014-01-23-0.u66397	Honored representative Stjepan Milinkovic's replica.
ParlaMint-HR_2014-01-23-0.u66398	Thank you, Mr. President. Well, I'd like to respond to my colleague Vuksic, but it's not in line with the Rules of Procedure, but when you let him speak a little about agriculture in his replica, Mr. President, I'd say that my colleague Vuksic agriculture is a layered problem and the fact that in the last two years after those shifts that have been made that have progressed and so on. But if you'll excuse me, Mr. President, I don't want to talk about it. I want to apologize for what I said to my colleague Grubisic. Col. Grubisic asked who would control the quality of oil and in accordance with Article 8 I saw in Article 8 the quality and quantity of oil derivatives placed on the market and controlled by a legal person accredited to the requirement of the norm... etc. and that it is good that this article indicates and that the quantities are indicated so that they do not accidentally leave the tanker because there are many and many supplies. But the other thing, since you were talking about gas, and also about quantities since the large amount is 60%, and I'm holding on to the right that the largest quantities come from my county are, in fact, almost the largest majority of them here I'm interested in how to control the quality because we see that these days many consumers appear to have been damaged in some way... But another thing that's important to point out is what I particularly care about, the quality of environmental impact, those adverse effects on the environment, because I've been following this study for years. They're always perfect, zero points, and we, first of all, all our locals, they're all terrified. A lot of times there's that smell of rotten eggs, and the studies are always perfect. This question should be given in a way of giving attention and giving attention to the importance and health of people, we run certain statistics, of course in certain ways at risk. Here's what I'm interested in. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66399	We will now hear in response to the replica of the respected representative Bora Grubisic.
ParlaMint-HR_2014-01-23-0.u66400	Thank you very much. Comrade Milinkovic, you have involved everything, both eggs and oil and milk and the amount of AFA toxin. You know who controls the amount of aflatoxin in milk? Who's in charge of this? Who? Milklers. Therefore, milk processors, they determine the amount of aflatoxin in co-operatives, not veterinary inspection or state. So when the milkman comes into some difficulty, she writes to the milk producer "you have an increased amount of aflatoxin". Then he implements the measures prescribed by Minister Jakovina and despite all the measures, as long as the milkman does not get away with it, this one writes that he has an increase in the amount of afl. So you'll be able to see, in this moment, to compare how you compared it to Article 8 in which paragraph 3 states "quality and quantity of oil derivatives that place on the market and warehouse, controlled by a legal person, accredited to the requirement of norm and HRN, EN, ISO, etc. What legal person? Who controls the quality of oil? As for the quality of the gas for which we got the bills for the 12th month, it's not about the amount of gas, it's about the amount of air in the gas.
ParlaMint-HR_2014-01-23-0.u66401	We're going to an individual debate. Honorable representative Mirela Holly. Duration of 10 minutes, please.
ParlaMint-HR_2014-01-23-0.u66402	Thank you, Your Honor. So today's presentation on this topic will start with the comparison of Minister Vrdoljak recently where he compared Croatia with Norway, motivated by the alleged results carried out by Spectrum investigating the Adriatic submarine. Well, since he compared Croatia with Norway, I would like to remind you that the Norwegian state in Europe is the most oil and oil-derived, but it also has the best policy regarding the use of so-called. alternative means of transport, i.e. electric cars in road transport. So Norway, with its largest number of electric cars, continues to conduct a policy that citizens interested in buying electric cars do not have to pay any taxes on those vehicles, get subsidies, have free parking in all cities and can still drive on those lanes that are otherwise reserved in road traffic for public urban transport. What am I talking about Norway for now? So Norway is very rich in oil, but Norway is obviously preparing for a post-fossil period, and I think wise countries should also prepare for a post-fossil period. Although the idea of liberalisation and, in general, of a third European energy package and liberalisation that they bring for the overall energy activities in the EU has been motivated and raised, so as to say competitiveness and fair competition of different market entities, and in order to address the mono-political position of large mega-energy companies because this was not only the case in Croatia, but this is the case almost across Europe which should gradually lead to a decrease in energy prices, I highly doubt that this will happen in this area. So we have to accept the fact that we are slowly entering a post-fossil period and that the wise state should start preparing for the scenario when we no longer have fossil fuels at our disposal. And for this reason, I believe that Norway has made a smart decision when it decided to invest in the purchase of electric cars, and should also bear in mind the fact that Croatia has committed itself to negotiations with the EU that by 2020 it will have 9% of alternative energy in total road transport. And now I'd like to start with some observations on the subject of this bill, and the first observation is tied to the biofuels. This law, namely the Bill of Law, is called the Law on the Market in Oil and Oil Products, but also covers the area of regulation of the biofuels market. I would like to point out here that biofuels are not oil or oil derivatives, so the law is in principle, the name of this law is a little imprecise because it also refers to biofuels, although in a very small part, and biofuels as can be seen and from the very explanation of the termology is not an oil derivative or oil. So, I think that in the future of road transport a very large role will be biofueled, and Croatia is very unprepared in that part for the future that is coming, so as far as I know, not one gas station in Croatia can buy biofuels. You have biofuels intermingling, but you do not have biofuels by yourself, and we have quite a lot of obligations in that part, so I think that the government of the Republic of Croatia and the resolution ministry should pay much more attention to the ways in which we can achieve these objectives from what we have negotiated with the EU in road transport. There's been a lot of words about liberalisation. The liberalisation, as I have already mentioned, is foreseen with a third European energy package and of course it could lead to what is shown in some other sectors to reduce energy prices, or we can specifically talk about electricity, or if we compare it to other things, if we talk about telecommunications, market liberalisation has led to reduced phone prices from mobile networks. Also, if we are talking about the liberalisation of taxi services, we have seen that the liberalisation of taxi services has also led to a reduction in taxi prices, so of course it is possible for liberalisation in this segment of the market to come to price cheaping, but I am afraid, as I said, as we step more and more towards the post-fossil period that it will not be like that. In the new circumstances where a very large role is given to the market, the most significant role is actually an independent regulator, it is in particular in the Croatian case HERA and HERA must be independent not only of the policy, it must be independent of the influence of the large players on the market and I hope that HERA will be able to meet these challenges ahead and that it will indeed be an independent regulator that will determine the rules of the game in a transparent and independent way in Croatia. In short, I still have this one objection to a specific article of the law relating to the director of the agency. For the purposes of Article 24, you shall have paragraphs 4 and 5. Article 4 talks on what conditions the Director of the HANDA should have and then it is said that it should have, in addition to the professional capacity of ten years of working experience, of which at least five years of working experience on executive operations and when talking about the Deputy Director of the HANDA then it is said that the Deputy Director or Deputy Director should have at least five years of working experience but in the activities of the oil economy. I really believe that a person headed by the HANDA other than experience in business management should also have certain experience in the oil business in order to manage this important agency in a competent manner. And there were a lot of words that Handa would no longer be a public institution, that she had lost her independence. We have heard in previous amendments to the laws that regulated the new position of the HANDA that it was taken in order not to actually hit Croatian consumers because all of this part of the EU is shown as excise duties, as it had not been before, so here it is, of course, that there are arguments for and against such decisions but if it will in some way protect Croatian consumers I think it was worth such a step, and I hope that the EU has accepted such an argument by the Croatian Government.
ParlaMint-HR_2014-01-23-0.u66403	Thank you very much. Dear Representative, Josip Boric Replica.
ParlaMint-HR_2014-01-23-0.u66404	Well, colleagues Holly, in your debate, you mentioned this research conducted by the Norwegian company and announcements that Croatia could be little Norway, however, although there are some similarities by approximately, equal population etc. There is one small difference, Norway does not have such a government and such a minister of the economy. It's one small difference and it's very important. That makes a big difference between us and them. And as for small states, given that they can have oil, then they must find ways to share it with the people. We have an example of Venezuela that has a lot of oil but a poor people. And for example, water where we as Croatia are among the richest countries in Europe, and even in the world, we show that we do not even know how to manage this resource. We have the most expensive water in almost all of Europe. So it doesn't take much, because it's shown time to be able to do it anyway.
ParlaMint-HR_2014-01-23-0.u66405	Replicate response, the esteemed representative of Mirela Holly.
ParlaMint-HR_2014-01-23-0.u66406	Well, I think that there is not only the responsibility of one minister, that we can talk about the responsibility of general policy and those policies from before, and also this policy now because the smart and wise state knows what its strategy is and where it is going and what it wants to achieve, in which way it wants to position itself as a state, in which strategic sectors and how it plans to develop certain economic branches, it is my impression that even your colleagues in previous mandates have not been very successful in that part, and of course it must not be an alibi for those who are now in a position to do something different but here, there is another two years until the end of the term, we will see that the situation is going to develop by the end of the term. I must admit that I am very skeptical of this oil and gas business in the Adriatic because I have received information at the end of the Ina experts that there have been very detailed research and that it has not been quite such an optimistic picture associated with it, and I think it would be wise for Croatia to forget maybe some major fossil sources in Croatia and try to exploit the maximum of what we really have and these are some alternative energy sources, renewable energy sources, and here I would like to remind that a German research motivated by the European Commission has shown that, because it is constantly said that renewable energy sources are very subsidized that they are not how to say cost-effective if they are not under subsidies. What's sad is the fact that we subsidize fossil fuels, but that's not at all public talk.
ParlaMint-HR_2014-01-23-0.u66407	Thank you very much. Dear Representative Branko Vuksic, replica.
ParlaMint-HR_2014-01-23-0.u66408	Dear colleague Holly, the government wants a tape of optimism, and then it talks about how we're going to have big oil sources in the future, and we're probably going to export oil. I will refer to your discussion of HERA or independent regulators. You said that an independent regulator should be independent of large systems. However, you know what our practice is, from large systems to independent regulators come and from regulators return to large systems. So this, independence when it comes to our agencies, when it comes to our funds, the councils that are independent, it's played on vervain because everything that's going on, what's going on at the E-media Agency and in other agencies, the independent regulators are all connected, everything is targeted, we're a small country, it's very difficult to deny. Just remember when we're here for some agencies, when some SDPs went out when they voted for what was imposed, it's not like anyone else's man Sanader set up and SDP chose. Well, I think it's illusory to expect anything to improve. You were also talking about Norway. Norway behaves like a poor country, like a country where everything will disappear tomorrow. But we're rich, when we talk about hydrocarbons then we'll discuss what happened in the Adriatic, which isn't, and there's some cards here, we've got some conflicting results, but we'll take care of it.
ParlaMint-HR_2014-01-23-0.u66409	The reply to the replica of the esteemed representative Mirela Holly.
ParlaMint-HR_2014-01-23-0.u66410	So unfortunately, I have to find out that you are right and that unfortunately this process of liberalisation or strengthening the role of agencies as independent regulators in Croatia has not gone very well and has not gone in the direction in other European countries where regulators are indeed regulators. But here it is, with regard to HERA, I hope that the European Regulatory Energy Agency will put little pressure on it, and that things will not, because this is indeed strategic activity, and they need to really rule out how to say the principles of equal rules, play for all, very precisely defined and procedures and procedures, and so on. But I don't like to be how to say pessimistic and I always want to hope that we'll realize that it really won't be true that Einstein's that only human stupidity is boundless, that even the universe isn't boundless. And that it will prove different and that we will realize that politics must be a business in the public interest and that we cannot think about short paths, it is motivated exclusively by some particular, party or interest of certain groups and lobbys and that such a way of conduct and governance in the long term is worth it to everyone.
ParlaMint-HR_2014-01-23-0.u66411	Thank you very much. It's up to the Honorable Representative Branko Bačić. Here you go.
ParlaMint-HR_2014-01-23-0.u66412	I would like to thank the esteemed president, the esteemed deputy with his associates, his esteemed colleagues and colleagues. So in the past two years, the government has changed the Oil and Oil Market Act twice. This second amendment of the law is essentially down to two reasons. The first is the free formation of oil and oil prices and the second reason is the reconstruction of the Croatian Oil and Oil Agency. On behalf of the Croatian Democratic Community Club, a colleague, Popijac, spoke about the reasons that led the government to go into free formation of oil products prices and said the position of the Croatian Democratic Community Club which disagrees because it believes that the existing solution is better for the citizens of the Republic of Croatia. I would just like to add that the Association for the Protection of Consumers of Croatia has made an observation during the debate with the interested public saying that it is not acceptable for energy operators to form in mutually different areas within the Republic of Croatia where there are no conditions for competition and these are the islands and areas of less supply of oil and oil products. by... The station. [[The speaker doesn't understand.]] Therefore, they proposed to introduce in Article 7 a new item which reads that the retail price of oil derivatives of an individual energy entity is equal in the territory of Croatia as a whole. I believe that this would be correct for the inhabitants of the island and also for the inhabitants of less populated areas where there are neither a large number of energy entities nor a large number of gas stations, and then clearly because of the inability of competition, the inhabitants of these areas will certainly pay a higher price for oil and oil products in the Republic of Croatia. And I think it should be accepted that a single energy entity when it forms the price of oil to be unique throughout Croatia rather than dependent on the pump, to the pump station. But I'm going to say something else and that's this second reason why the government started to change the law and that's the status of HANDA. It seems to me that this law makes HANDA go down from its current structure to the level of the records. What was in the former army was chat. So far, according to the 2006 laws, the Law on the Market in Oil and Oil Products has been established as the Croatian Agency for Mandatory Oil and Oil Products. These laws, which were in line with the third energy package in full with the HANDA, became the central state body for mandatory supplies of oil and petroleum products, and until 1 January 2013, when this first amendment of the law proposed by the Government in December 2012, the HANDA was also a regulatory energy body, since it was the only independent, independent and non-profit public institution to form, maintain, store, renew and sell mandatory oil supplies. Therefore, the 2012 amendments to the law by HANDA were a completely independent and non-profit public institution that had public authority, which had its own sources of income and which were not small. According to the HANDA Annual Financial Report 2011-2012, HANDA has arrived annually between billions and 150 billion and 250 million kuna. After the government started amending the law at the end of December 2012, and the HANDA took over its original assets, 700 million kuna was foreseen in the 2013 budget at the position of the HANDA. Therefore, by amending the law, the Government of HANDA took over 400 million kunas according to the 2013 draft budget to reduce the two budget rebalances and those 700 million kunas necessary for the operation of the HANDA and for the formation of mandatory oil and petroleum products to 430 million kuna. So, last year, the HANDA lost 700 million kuna on the basis of amendments to the 2012 law, which led to amendments to the Excise Tax Act becoming revenue to the state budget. So the finance minister is a skilled maneuver, one regulatory, independent, independent state body formed under the 2009 European Directive, which was meant to build what we forget, the construction of storage facilities for mandatory oil supplies took over and became part of the state budget, and in this way, we reduced the deficit of the state budget by 700 million kuna in a way that we put the HANDA into the state budget, took over its original financial resources, reduced its powers, and we seem to have made a questionable security supply of oil that was provided for and in the hands of an independent regulatory operator with public authority. And now this law goes one more step further and we change the shape of the Handa. Not only are we changing the shape of the HANDA, we've changed even its name. To date, HANDA has been the Croatian Agency for Mandatory Oil and Oil Products, as of today HANDA is becoming the Croatian Oil and Oil Agency. So the part that's mentioned in the mandatory stock in her name is no longer listed and it's not just that. This is indeed a significantly reduced role for Handa, which is now completely becoming dependent on the resources of the state budget and, in his opening statement, Mr Popioč spoke. It is not permitted, that the original funds which are in line with the third European energy package implemented in the Croatian legislation are no longer respected, although the funds paid by Croatian citizens when buying oil and oil products are now being changed, are no longer originally intended for the creation of oil supplies and for the construction of a storage facility for mandatory oil supplies in the Republic of Croatia, but become part of the income of the state budget and thus Croatian citizens are practically paying a higher price of oil than it should be if HandA exercised its original powers under the Law on the oil and oil products market, and according to European directives and intended for them. Therefore, I would like to say that these amendments to the law on the one hand do not contribute to the quality and security of the supply of oil and oil products in the Republic of Croatia, we are giving up the project of building a storage facility for the needs of mandatory oil supplies in the Republic of Croatia. When the Government proposed the 2013 budget, the position of the HANDA capital transfers was planned for the need of only 40 million kuna, and in the budget adopted in December of this year, the HANDA even the 40 million kuna was abolished and therefore more at the position of HANDA. For the purpose of building such capacities, storage facilities are not intended for any single June. For this reason and for these reasons, it seems to me that such and I am sure that this bill makes us virtually untraceable to respect the European directive, on the basis of what the third European energy package has come up with, but we are giving up because, in the very directive to which the third energy package is attached, it is said that Member States should have such central stock bodies which must have special legal status, which this legal status is almost annulled by this law and the government remains as I said the role of the HANDA in relation to its earlier role, descends to a level of ordinary registrant who no longer has those regulatory rights and, above all, the public powers that it had to the proposal of this law. Thank you.
ParlaMint-HR_2014-01-23-0.u66413	Thank you, too. We have one replica, Boro Grubisic.
ParlaMint-HR_2014-01-23-0.u66414	Thank you very much, Mr. Vice President. Comrade Bačić, you have well noticed that although the text of this legislative proposal does not make it clear whether the HANDA involved in how you said it yourself in the Treasury and the Ministry lost its independence which, according to the definition of the draft or the justification, should have been held as a body, completely independent, regulatory body, as something which, as a public institution, has public authority. Whether it ceases to exist and then on page 2 it is said that it is necessary for the new law to determine the procedure for the establishment of the Croatian Agency for Mandatory Oil Stocks. Is that former Handa, is that a brand-new agency that might be called Hasna after this, by the way. I really don't know if those two agencies are then Handa plus Hasna or if it's Handa becoming Hasna. After all, it's very common for this government that everything that's here begins with h slightly destroys itself, so we have HINA which we also know in what situation it is. I think the hydrants will soon cease to exist because they are called hydrants, not hydrants. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66415	Thank you, too. And you didn't announce your colleague Tušak? Is it?
ParlaMint-HR_2014-01-23-0.u66416	Thank you, Vice President.
ParlaMint-HR_2014-01-23-0.u66417	Here, just give me a second. Here you go. Replication response. But I didn't notice.
ParlaMint-HR_2014-01-23-0.u66418	Thank you, Mr. Vice President. My colleague Grubisic, that you also spoke on behalf of the HDSSB club about the fact that we have three agencies now, so you said that we have HANDA and we have this one, counting that the HANDA is not being abolished, but that this law creates a new agency. And this would be possible if news on radio stations were to be heard this morning, because it says today's law liberalises the formation of prices of oil and oil products on the Croatian market and creates assumptions for the establishment of a Croatian oil and oil products agency, which would be to conclude that it is now some new agency, as you have concluded. But it's not. This law changes the status of an existing agency, which until yesterday was the Croatian Agency for Mandatory Oil and Oil Products. Its name now casts out the part relating to mandatory supplies and becomes the Croatian Oil and Oil Products Agency. Not only does it in its name lose the part relating to the mandatory stock. It is much more important to lose the status it had until today, perhaps until December 2012. We are now only doing this in a certain way to supplement the 2012 amendment of the law when we took public authority from the HANDA, when it was no longer an independent regulatory body in the Republic of Croatia. Now these affairs are being taken over by the ministry through the commission provided for by this law. And that's not good. We should have stayed on that solution stemming from the 2009 Council Directive, based on which HANDA has indeed become an independent institution in Croatia.
ParlaMint-HR_2014-01-23-0.u66419	Thank you. Comrade Tušak, here you go.
ParlaMint-HR_2014-01-23-0.u66420	Thank you, Vice President of the Croatian Parliament. On behalf of the Croatian Labourists – I am looking for a 10 minute break because we received information that the Croatian Government put the Labour Act in session without agreeing with the social partners.
ParlaMint-HR_2014-01-23-0.u66421	I'm determining a 10-minute break. Here you go, HDZ. Same reason. HDSSB too. Thank you. Ten-minute stop. We're continuing the debate. Final word on behalf of the HNS Club, Petar Baranovic, please.
ParlaMint-HR_2014-01-23-0.u66423	Thank you very much, Mr. Vice President, Your Honor, Deputy Assistant. Dear colleagues and colleagues. In my presentation on behalf of the club, I explained very briefly and very simply why the HNS Club is for this law, among other things, except for the fact that we are part of the ruling coalition. And now I would like to comment on some of the things that have been imposed as topics during this debate, and as regards the functioning of the market, the consequences that market liberalisation will eventually have on the end consumer and the very fact that, by virtue of this law, the situation of HANDA is changing and that HANDA is going under the state budget. I'll start with this HANDA, the agency and the fact that it goes under the state budget. Why? So I believe there is no important link between the process that is happening at the level of the unit of local self-government and regional administration and what is happening with the Croatian State budget. Taking into account the fact that in the last few years, the process of forming treasures in cities and counties is in progress, which takes place quite rightly with the rationalisation of business savings and more optimal use of financial resources. As cities and counties form treasures to pool funds and use funds in the most optimal way within their budget and treasury, so certainly that logic goes to the state budget. And what makes the state budget difficult to fill? It's a very long story and it won't stop in five minutes. It's a story of the failure and leadership of the state without a strategy in the last 20 years and the fact that today we have such a structure and economy and all of those factors formed in the way that they've been formed over these two decades in which the state hasn't been able to function for 20 years without reaching for borrowing every year. It's not the invention of this government, it's not even the past one. It's a matter of continuity, mistakes in the Republic of Croatia. The question of the functioning of the market, the determination of the price of oil. Unfortunately, a few years ago, we experienced a change, a concept of the price of oil that has a very certain link to the fact that we once controlled INA as a large company that was also researching and extracting and processing oil and oil derivatives, and at that time it was important how much INA was extracting from domestic wells in the context of the final price itself, there is... space. [[The speaker doesn't understand.]] It even mattered how much the price of barrels of crude oil actually cost. In 2008, we had a record jump to $146 per barrel of crude oil in a situation where the dollar rate was even much stronger than it was today, so the retail oil prices were much less than the prices in 2009, especially in 2010, after we lost concrete control of INA management. INA has become a company like all other major oil companies that are in line with those that supply crude oil, process crude oil and put it on the market. The price of oil derivatives on the Mediterranean market of the Republic of Croatia cannot be affected. It's something that won't change after this law, nor have we had any influence before this law. This law is an opportunity by liberalising the market for consumers, by enabling consumers to function according to the principle of free market and giving them the chance for the effects of the electricity market to happen in Croatia. The electricity market responded positively. We have a fact of cheaping the entry of other players into the market and the liberalisation of the electricity market or the possibility of free price formation. Indicating that this government has capitulated and lowered control simply is not true because the government has left the protection mechanism that gives it time to intervene and that it will eventually correct this decision if it does not show practical and useful for consumers and consumers on the Croatian market. Article 9(2) states that, i.e. Article 9 "the price of oil and petroleum products is determined in accordance with the rules governing market relations", i.e. the free market. Exceptionally from paragraph 1 of this Article, the Government of the Republic of Croatia may, in order to protect consumers from market regulation or other justified reasons, prescribe a maximum level of retail prices for certain petroleum products for an uninterrupted period of 90 days. So the government has a mechanism if things get out of hand, as a responsible government react, and has a 90-day period to look at the situation to eventually make moves if the consequences of this law are negative. For this reason, the HNS Club will repeatly support this law. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66424	Thank you, too. We have two replicas. Branko Bacic. Here you go.
ParlaMint-HR_2014-01-23-0.u66425	Thank you, Mr. Vice President. A colleague of Baranovic's, you're intro on behalf of the club, and now, finally, in the name of the club, you've repeated the same thing. So you're trying to defend the fact that until yesterday's dedicated funds that were the original income of the HANDA and which were intended to secure oil and oil supplies and which was no less important for building storage facilities in the Republic of Croatia, which would have opened up in a certain way an investment project and in such investments in the Republic of Croatia, so you're defending what now was the means that could have encouraged some investments to open up new jobs to become part of the state budget and what was until 2012. This is what we got from the Law on Amendments and Supplements to the Law on Market Oil and Oil Products. If you think it's good it's okay but then we can't defend the position that this is a good solution because HANDA before this law and after this law is not the same. It was an independent, regulatory agency with public powers that had its original income and which revenues were in line with the European directive intended for the security of the supply of oil to the Republic of Croatia and on the other hand to create the necessary capacity to store these same oil and oil products in Croatia. That was until today, after this, we don't have that kind of money in the state budget. And knowing what kind of situation the state budget is in, we can't expect to invest anything from the state budget at this investment position in the construction of our own warehouses because I say last year there was still 40 million kuna planned on capital investments this year, either.
ParlaMint-HR_2014-01-23-0.u66426	Thank you. We have a colleague Baranovic's answer. Here you go.
ParlaMint-HR_2014-01-23-0.u66427	Thank you very much, Mr. Vice President. Dear colleague Bačić, you're prejudicing things. It doesn't matter whether HANDA is dependent or independent, it's important that HANDA performs its task. That's the essence of my colleague Bacic's business. It's important that Handa carry out his mission. In parallel, the state budget has to work. We can't elaborate in these two minutes' response to the replica which is why and how it came into this situation I repeat, but the fact that it's all relevant for us today is not simply to ensure the functioning of the state budget. In this we must be rational and any possible variant of the optimal use of funds within the budget, the state resources must absolutely be the priority of each responsible Government. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66428	Next replica, Đuro Popiè. Here you go.
ParlaMint-HR_2014-01-23-0.u66429	Thank you very much, Vice President. A colleague, the whole world and the EU of course thinks and argues and so is organised that this agency cannot be part of such a system as only you obviously claim to be and whether it is dependent or independent. It is not the case, otherwise such regulations would not be adopted at the level of the International Energy Agency and at the level of the EU Directive at all because it would be the same. Well, that's not why they're being brought in. And it's not the same thing and you can't combine the pooling of the funds of those who can and those who belong to the state budget and the budgets of local self-government with something and with incomes that aren't meant to be the hoarding of the state budget. This must not be explicitly and they say, obliging Member States to separate the whole area from the competence of any political influence at the end of the day, is there any common interest in any common objectives. When you talk about price liberalisation and mention, you boast that you did something with HEP with the price of electricity and everything that was made possible when the market opened, and therefore you forced HEP to increase the price of electricity in 2012 by 30%, so you put it in a particularly unfavourable position compared to the market that opened next year. and for half a year HEP could not react because of the tampering and the unwillingness to regulate other regulatory relations within the system so that HEP could do the same. Then you said that HEP was destroyed because it was not allowed to increase electricity prices during a two-year crisis period. Now it's suddenly good to cut the price of electricity, you consider it a great achievement. [[Intruder: Thank you.]]
ParlaMint-HR_2014-01-23-0.u66430	Thank you. My colleague Baranovic's answer.
ParlaMint-HR_2014-01-23-0.u66431	I'll start with HEP, my colleague Popič, the electricity price has been adjusted by 30% because for political reasons, regardless of HERA's recommendations, you haven't adjusted the electricity price and you've put HEP's business at risk, and among other things, you've been jeopardizing him in years before withdrawing HEP's profits for the state budget. Therefore, there are also a number of tactical details in HEP that would be better off not discussing in this House. and as for your presentation on the practice of the EU countries, it and many others in the context of the room for manoeuvre... the EU gains vary from country to country, and this is very likely to tell you something in its final review by Mr. Deputy Minister. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66432	Thank you. And the closing word on behalf of the promoter, Deputy Minister Allen Leveric. Here you go.
ParlaMint-HR_2014-01-23-0.u66433	Thank you very much, Mr. Vice President. There is no esteemed representative Grubisic, but just to inform him, means according to the general conditions issued by HERA National Journal 158/13, it is defined that the quality in the gas area is and who follows the transport system operator and the distribution system operator. I think that's just because he asked who was monitoring the quality of OTS and ODS gas. The other important thing that's mentioned here today is the data on hydrocarbons, not carbohydrates. There are hydrocarbons in the structures of both the Adriatic and the Dinarids and the continent. What turns out that the data that is recorded and coming out is old before this survey in the Adriatic area is 30 years old. The technology that was used 30 years ago only in the platform area, so I'm getting a lot worse. For example, 30 years ago, you couldn't form floating platforms for the Adriatic area, which means that any global company if it wanted to enter the Adriatic area couldn't because the costs of floating platforms were high compared to the stocks that were in the structures. And at that time, more platforms were used that were attached to the bottom or fixed. Also, the data 30 years ago and the analysis should have been an integral part, i.e. they should have been owned by the Republic of Croatia. And now I'm going to relate to Mr. Boric. All laws in mining, starting from the independence of the Republic of Croatia to this last law that this government has changed, means before the Kukuriku coalition, strictly stands, the ownership of seismic data is the Republic of Croatia. We're the owner. Never did this data come from the INA property of the Republic of Croatia until now, this government has gone into their collection. I wonder which responsible state can let the 15 and more years of data owned by us, the citizens of ours not come under the auspices of the Republic of Croatia. We've downloaded the data, believe me, it's been difficult. All data is under our control and they are now actually owned by the Republic of Croatia. The other important thing that's mentioned here is that the investments in hydrocarbons were not in the previous years. Exactly if you remember the debate on the Mining Act from last year and later the Law on Carbon Research and Exploitation has been pointed out here several times that then the law was anything but friendly for investors. That law had three contests for us, you weren't sure if you found oil or gas, otherwise the gas was before the oil went, you weren't sure it would be able to exploit it. It's precisely with the existing hydrocarbon research and exploitation law and the existing database that we're about to come up with is that it becomes potential and becomes a possibility for them to be exploited. It is also very important to say here that for the members of the Board of Directors, it is clear that I should remind the Agency Act or the HANDA that it was adopted in 2006 then I think that Article 18 strictly states that members of the Governing Council have been elected for 5 years as well as now. We have not changed anything because we believe that just for the safety of the supply of members should be selected for 5 years because the security of supply in any segment should not be compromised. It is also mentioned several times whether the HANDA is in this way through this law to reduce the powers of HANDA and that the security and independence of HANDA is questionable, no, and that European directives do not know it, we do not need to go far into the European Union to have neighbouring Slovenia which has the exact same law, the component of the HANDA budget is functioning. The European Directive does not require an explicit form of functioning, but for Europe it is an important time for supplies, 90 days or other types of supplies. Also, as far as the budget is concerned, there is something called tickets and you have an article in the 15th of this Law and in general known that the tickets are one of the forms of supplies. So the European Union knows the tickets. So they don't have to be everything in crude oil, we don't have to keep as counterpart Radjenovic said in Germany oil, there are tickets, it's possible that Croatia has what's called a reserve for 90 days. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The government of the Republic of Croatia price regulation, follows, etc., in Article 2 there is a nice thing about you called Plac European Markekken and Plac Krub Oil Markets, so the Government of the Republic of Croatia continues to follow prices on the market, follow them on a daily basis as we have done just as we have done until now only because we have published maximum prices every two weeks and have been minimally defined. This time we shall also continue to monitor and at any point we shall see that the supply, i.e. that prices went beyond all frameworks together with the Competition Protection Agency, will be used by the mechanism referred to in Article 9(2). I think I've answered all the questions, yes, okay, thank you very much.
ParlaMint-HR_2014-01-23-0.u66434	Thank you, too. If you didn't, there'd be a chance, there's a replica. Ivan Shuker. Here you go.
ParlaMint-HR_2014-01-23-0.u66435	Thank you very much. It's not good to throw away statements and ignore facts. So when you're talking about this government being the first to withdraw those documents, then you need to know that in 2003 there was some kind of process of the one who's had all this paperwork and who's been doing research. And that file was supposed to be excluded then, before privatisation. And that's the key thing. Therefore, you cannot say state-owned, because if INA gas was then 100% state-owned, then it was meant to be state-owned. However, the one who was doing the privatisation process of the INA had to at that moment... Some INA stuff. [[The speaker doesn't understand.]] And rule out a particular INA file because at that point, the state was no longer a 100% owner. And the logical thing about strategic documentation was to be eliminated. And in this privatisation of the INA in 2003, fairy tales could be talked about but only one area is very interesting. Therefore, it is very important at the time when INA was sold at 900 kuna per share, even less than there was unused wealth left in that INA, at which point there was exploitation, which happened later and who made the bus pipeline from Fažana to Zagreb that practically we could benefit fully from the location in the northern Adriatic because until this highway pipeline from Fažana to Lučko we had virtually no God-knowing benefit except the financial from the location in the northern Adriatic. Why? Well, because we had to use other countries' capacities to bring that gas to Croatia, and they let us in as much as they had free. Therefore, it is not good to throw hard words at someone else and praise themselves rather than take the complete process simply because nothing begins or ends with one government, but because of political correctness you simply have to think about it.
ParlaMint-HR_2014-01-23-0.u66436	Thank you. Here you go, Deputy.
ParlaMint-HR_2014-01-23-0.u66437	Thank you very much. Mr. Shuker, I agree with you that nothing begins and ends with one government, but I would disagree that since 2003, or we can say since 2004, you haven't seen exactly what you just said, that the data has been taken from the INA, so... today we had data and were prepared much earlier for the investment cycle than we are now.
ParlaMint-HR_2014-01-23-0.u66438	Next line, Djuro Poppie.
