ParlaMint-HR_2014-05-23-0.u77720	Looking for a club? Yeah.
ParlaMint-HR_2014-05-23-0.u79350	Thank you very much, Madam Vice President, Mr. Secretary with the associate. Wasn't this case for the state's attorney's office also about the Great Gorica south or in another state's attorney's office,... Zagreb, that's right. [[You can't hear the intruder.]] Because these things that are happening here and brought out by the representatives of the opposition, the biggest opposition parties, I would really say crime, those who decide. If the exact finding Mr. Mlakar made here is correct. But that's not all it is. Today it's about the areas and headquarters of the state's attorney's office. Although a talkative debate has developed here, from which much can be read. So there was talk of settlements, of the settlements of those who sinned, and when the investigation was launched, they repented. Those who took part in criminal acts and understood in due time until the investigation began that they were criminals and did crimes or corrupt acts if they remembered and reported it before any investigative proceedings or repressive measures took place, that would be then, and asked for a settlement, it would be a real settlement. It's not like this. About me already insisting, for years, that I've been here in two terms, about launching a criminal trial against known and unknown perpetrators who bombed Slavonski Brod for seven months, killed 200 civilians, not people in uniforms of military, but killed 200 civilians of them 28 children and bit a wolf of donkeys, not to mention. And when he was Mr. Bajic and here he is now Mr. Cvitan. We would like to see this indictment, so at least to say that the Croatian State and Croatian State Attorney's Office are also taking care of the dead, about the dead Croatian citizens. And those who were killed in '45, '46, and '47. And so on in the name of the people that we do not speak. I said here it would be good if someone repented, then we would easily make a deal, but we would forgive, but we will never forget. And we'll never forget. But today it's not really about these things, even though the debate I say is going towards it. In 2000, he was in power of the SDP with his coalition partners by 2003. Do you know why you lost the election after that? Because it wasn't promised, and that's the process of criminal privatisation and conversion. That's why you lost the election if you want to know. Because the privatisation lustration that was to be carried out has not been implemented until today, and today we have a constitutional provision that there is no obsolescence of crime in privatisation and conversion. One vain norm in the Constitution of the Republic of Croatia that brings nothing and doesn't move anything. Where's whoever's been processing any privatisation? Some circles are tied up so I don't say lawyers, etc. who, along with others, caused this criminal privatisation and conversion. Politics and the judiciary and it led to it. But there is no processing even though, with great pomp, we introduced the Constitution of the Republic of Croatia non-depreciation of criminal acts in privatisation. As I was already speaking, the opportunity to tell me when it comes to state attorneys is a good saying that I read on a monument about what died in Slavonski Brod 200 civilians and 28 children. He says dead eyes open. Unfortunately, we're sleeping. Dead eyes open. But unfortunately, our eyes obviously haven't even seen the eyes of the state's attorney yet. Now, shall we vote in favour of this law as a HDSSB club? I know that rationalization and all the judicial authorities, the headquarters of state lawyers, municipal courts, etc. the measure necessary because of the situation in the country. There are interesting reasons why, which are mentioned here in the text which explain what three main measures are, or why such a law is passed which is further rationalisation from 2011 when the Government seems to me to have rationalised the network of courts, i.e. the state's attorneys again under some scheme known to the Government, the then Government of the Republic of Croatia. It is therefore that there is an unbalanced working burden on certain state attorneys, i.e. state lawyers and their deputies. That's number one. Number two is about insufficient mobility of state lawyers and three insufficient use of existing resources. These are the three main measures that lead to this law, which will save 5 million and 100 thousand kuna in the Republic of Croatia's budget for the Ministry of Justice when it comes to the application of this law, according to the assessment of the necessary funds for law enforcement. Therefore, for employees, savings will be made at staff expenditures in 2015. 2 million and 400 and savings in 2016 Two million and 700. When you add it up, it's 5 million and 100 kuna. It's okay, we can say it's a little bit, it's a lot, etcetera. Or a grain for a grain of cake, but a stone for a stone for a palace. Yesterday we talked about saving about 50 million kuna from municipal courts and County courts, their locations or the network that was proposed yesterday. So here, when all of this is summed up plus indirect benefits after there are likely to be fewer people who are going to sue the European Court of Human Rights for an unreasonable period of trial, those who will be costs of dislocation or a delegation of trials in some other places, so there will probably be less costs. So when we take these indirect benefits in cash, we hope that the Ministry of Justice will save an increase in the amount, perhaps up to 100 million kuna a year, which is good. However, it is said that the law or the network of state attorneys in 2011, since 2011, the law number, the "National Journal" number 130, in the Republic of Croatia, has established 33 municipal state attorneys and 15 county state attorneys. 15 County stays, and the municipality now shrinks to 21, from 33 to 21. But I have to say, they stay so-called. Permanent services, so I will count them because there are not many, there are only 16 permanent services as parts of the municipal state attorneys' offices in, for example, Zadar Benkovac, Bjelovar in Daruvar, in Dugi Sel, then in Djakova for Osijek, for the County State Attorney's Office in Osijek, in Metković for Dubrovnik, Našice also Osijek, Pazin, Crikvenica, Kutina, Sinj, Makarska, Knin, Vinkovci, Ivanić City and Velika Gorica, Samobor too. Unfortunately, there is no New City which would also be some sort of permanent service in court in, excuse me in county ZDO let's say so briefly, the County State's Attorney's Office in Slavonski Brod, which is a real damage to the county that has a specific appearance, a geographical position, a length of 150 kilometers along the Sava River. We're not going to mention the floods now, it's already HDZ's use. But such a form of county geographical and geographical accommodation and distance from Gradiška from Slavonski Brod about 54 kilometers depends on which road you take on the highway or the ordinary, county road. So here is Nova Gradiška, although Nova Gradiška compared to these 16 permanent services there are also more inhabitants than many of those listed, named here or listed whatever you want already, so far she's had some kind of state's attorney's office or tradition let's say. So when the reduction started, and I say the reduction and the new network of state attorneys, so the number of municipalities is reduced from 64 to 33, and here is now 21, and the number of county clear by the number of counties that have 20 plus the City of Zagreb 21 has the property of the county is now reduced to 15. And so there remains 15 county attorneys' offices. With that it must be pointed out that in this later part of the text of this law I must say again that there are also permanent services in these places that I have explicitly counted. Someone here asked and replicated the minister why there are no permanent services in HAC, Croatian railways? It would really be a job for at least a year, two days maybe temporarily receive a certain group of those experienced in the State Attorney's Office, for example in HZ, mainly in Cargo or in facilities, the supply facilities for which we know what's going on and how the pubs in this situation are at this point with HZ supply facilities. Well then in HEP and all others, Croatian forests etc. Maybe I could be a cartoonist, but maybe some flying squad of the State's Attorney's office from any city or county state's attorney's office on these state-owned firms wouldn't be so bad if they ran into these data that both employees and trade unions have, and not just them, but to see a little trace of the money and to start going through a little bit of this and not only in the places we've listed but also in the companies is it mainly state-owned companies. Croatian waters for example, they are very current etc., I already told HZ about. I'm not going to say what I know about Croatian railways, so I don't go back to the information talks as it happens these days. Mostly this law was to be discussed today in this debate. It may also be voted on today if clear conditions are met. We'll think about it. Here's what I'm saying in these 16 permanent services, there's no New City, and here's what we're looking at, I'm not going to mention the name of any city that's numbered here, and I think Nova Gradiška in that sense, given some things she deserves, she doesn't deserve any credit, does she? I wish the state's attorneys had no idea we didn't need them except in the defence of the interests of the Republic of Croatia when we had certain items, when opinions were given on state agricultural land as they were previously given. But when we look at what he told us and told the late Bruno Busic then the number of state lawyers and lawyers in this Croatia is really not as big as it is here and it is said to be reduced, but the number of state lawyers and assistants remains the same. I even think it needs to be increased because everything that happens in this country, all the corrupt acts and everything that happens in local self-governments. Mr. Dinko Cvitan used the term local sheriffs, we as politicians cannot even say it here because some of us here are immediately angry that the leaders of the local self-government units were the mayors of the municipalities, whether the mayors who are members of the Croatian Parliament. But here's to the state's attorney's statement, no sheriff, or the local self-government's excused head has responded. When we say it here as representatives of the local sheriff, then the whole crowd gets up because we used an inadequate expression like someone said. Here, we'll discuss this legal proposal at the club and we'll arrange for a vote. And there's one more thing I wanted to say about the settlement, so we have a whistle-sniffing institution. That's when someone but also those who are not participants but have discovered or exposed the situation criminally, corruptly in their firm. But unfortunately, the experience with whistles tells us that it shouldn't be a whistle. What are whistles going on in Croatia? Real martium, torture, torture. Here are the examples, I'm not going to say INA names and so on. I'm bringing the end, thank you very much. [[Intruder Zgrebec: Bring the end.]]
ParlaMint-HR_2014-05-23-0.u79351	Josip Djakic, replica.
ParlaMint-HR_2014-05-23-0.u79352	Thank you very much, Madam Vice President. So here's my colleague Grubisic talking about the Law on Areas and Headquarterss of State Attorneys, so he mentioned their work and efficiency in certain war crimes cases and said that so far there are no ones responsible for 200 civilians, of which 28 children in Slavonski Brod. There's no such thing as 100 civilians in our county of Virovitica-Podravska. There is no sign of what has been signed between the Croatian and Serbian state lawyers. So, the legal aid that these judicial bodies should cooperate with, The state's attorneys have no red warrants issued under Interpol to bring justice to those who are suspicious, but also those who have witnesses that they are perpetrators. There are some punished who have been tried in absentia, but have never been brought to justice, not faced with them, have not experienced the maintenance of punishment or have suffered a satisfaction. As such, and in this law, the only objective that this law really achieves is the proposed legal text to facilitate the supervision of the work of state attorneys, so we believe that real work, work, use of all inter-state signed agreements and legal cooperation agreements will take place next. So, through this legal cooperation, it is likely that those who have not been sanctioned, punished or processed will come to order.
ParlaMint-HR_2014-05-23-0.u79353	Replication response, Boro Grubisic.
ParlaMint-HR_2014-05-23-0.u79354	Mr. Djakic, I am aware that in Virovitica-Podravska County, in the towns of Humljani, Balinci, Cetekovac, Čojluk, Kraskovic, Hum and Voćin were killed and massacred 100 civilians. We also have a book that talks about it, along with the 200 in Slavonski Brod. We don't have a second look left, but to press charges to the military prosecutor's office in Belgrade, they might be prosecuted, that agile in the process are therefore those who participated in the crimes, but our prosecution, I don't see them doing anything, I don't see the consequences of their work. That would have been known in Croatia if anyone had been charged. Unfortunately, we do not have any choice but to file a lawsuit in a military court in Banja Luka or Belgrade, which is a real paradox for such a developed state's attorney, the State's Attorney's Office of the Republic of Croatia.
ParlaMint-HR_2014-05-23-0.u79355	Jadranka Kosor, replica.
ParlaMint-HR_2014-05-23-0.u79356	Thank you very much, Madam Vice President. Your colleague Grubisic, you said, mentioned the rationalization of the network of courts, i.e. general rationalisation in the judicial system and of the previous government. That is true, however, you said one thing that is not true, that the rationalisation of courts and everything else was carried out by the scheme, and I quote: "which was known only to the government.". No, because it was not known to the public, it was known to the Croatian Parliament because the laws changed in the Parliament. These were our obligations, but our decision during our accession to the European Union, that is what we decided, that that is not what we decided, that we should not have agreed to, and then we should not have been a member of the European Union today. And you said that, with great pomp, we introduced a provision on the non-deprecated crime and war profits into the Constitution. I wouldn't say pomp. I'd say yes. As far as I know most MPs, almost all voted for amendments to the Constitution in 2010.
ParlaMint-HR_2014-05-23-0.u79357	The answer to the replica Boro Grubisic.
ParlaMint-HR_2014-05-23-0.u79358	This provision, my colleague Kosor, on the non-depreciation of crime in privatization is, in fact, in some ways, so it turns out that he did not have any procedure in which he did not have any of the procedures, to rub the public's eyes on the Croatian constitution about it. But what I was about to say, and what you said to me was not true, of course the government is building a plan and a program of rationalization of courts and state's attorneys and everything. And you did it as Prime Minister together with your co-workers and the Minister of Justice, as today's Government does. Which are the reasons to abolish, according to yours, the Criminal Court in Nasice. Well, if the people of the Friscans were to travel to Djakovo in a 70km misdemeanor court, I don't know. If you know that, you tell me now or we'll clear it up in the hallway. In order for 2800 citizens of Nash to sign their signature, it would require that some service be infringing, whether the court itself is in violation of something that remains and survives, which has happened. So, on request, to the intervention of the citizens of Nasic. So they didn't know why it was being abolished either, if they didn't and we didn't, then it remains that you were the only one who knew why it was being abolished. And there are a number of other examples, but I'm saying this because I'm from Slavonia, so I know about the Nashes quite reliably that's what happened.
ParlaMint-HR_2014-05-23-0.u79359	On behalf of the HDZ Representatives Club, colleague Davorin Mlakar. Here you go.
ParlaMint-HR_2014-05-23-0.u79360	... What do we do now, here's what I'm gonna say out loud. [[You can't hear the intruder.]] I see our club break has turned a lot more attention off the subject that we should be talking about. I apologize for that, because he sits in order and waits for us to say what we have on his regulations, but it's interesting that we are now from the ruling SDPs getting different information about the composition of the Ethics Commission that you already knew from before and you haven't told us. I must warn you that it is my fault that you address. What you have to say is that possibly the Labourists were wrong in proposing their members, you had to tell the Constitutional Court which the Ethics Commission appointed. Davorin's Mlakar really doesn't have any influence. But I can note that the facts are very interesting, especially because more than one member of the Ethics Commission is able to do so, not to translate that it is morale in the electoral process, under suspicious circumstances or with suspicious qualifications put in that position. Since Sunday's European elections, in two days' time and we expected to receive such an understandable response, we urge you again to share them with us in the benches, not from the information you have, but from the competent institution to intervene, not from the spot in this election. And I'd like to thank everyone who complains to the Laburists who aren't here, and I won't represent them, and I have no right to do so. Let them speak, if you want to speak please answer the word I will gladly leave it to the stage. I'd go back to what the subject is that we're here today, and that's the law that goes on de facto to the Court's Headquarters Act and I'm going to say right away, some of them say that every misunderstanding goes away, the HDZ Club will pass a law like this. Of course, we will not now use the Law on State Lawyers’ headquarters to discuss specific subjects and work as some other colleagues have taken advantage of the opportunity. We will say, in conclusion, that we think that every network that goes after it, that it leads to more quality work of the state's attorneys is what we will always welcome as a proposal from the government, regardless of who it came from and that we share the view that there is room for the work of the state's attorneys to be rationalized and probably raise their quality. What we must say in this regard as a general finding that has nothing to do with this network is the fact that the state's attorneys have become, to the greatest extent, institutions that are probably pressed against public opinion, and in particular to the media, atrocity of their own responsibilities, and this is a criminal part of the right, because it is obviously the media's most interesting. And here we have an objection because it seems to us that the state's attorneys are in good shape, so to speak, less emphasis has placed on the civic part of their responsibilities, and especially on the administrative functions in which they also participate in the process. And when you listen to reports on the work of the state's attorneys, the smallest emphasis will be on civil matters, and especially on administrations. However, in one and the other, there are very big problems that the state's attorneys, I would say, are easily solved because they have concentrated on one branch of law, and in this we have objected that we have expected much more, not for the mandate of this government, but for the mandate and earlier governments and state lawyers to solve much more war crimes problems than is finally the solution that we have today. It seems to us that in their function, as far as war crimes are concerned, they have failed the most. We are aware that this problem is great, that it is difficult to carry out procedures, but we are convinced that it could have been done significantly more. That we can't be satisfied with the work of county state attorneys and that they don't act in the same way or the same quality, they can only illustrate this classic example from the county attorney's office covered by Sisak-Moslavina County, which speaks of the work of the county attorneyship covered by the city of Rijeka or if you want the responsibilities of the county state attorney's office in Vukovar-Srijem County. That standard, here's a colleague of Anticevic's, has something to say. This standard is lower than that seen in the work of some other state attorney's offices, and we would like this network in some way, sublimation of quality to lead to a greater quality of work of these state's attorneys. How much does human policy play in this? Very likely, I'd say even crucial. What's the impact of the state's attorney general? Immeasurably big because he's got a lot of tools that can affect the quality of work, but on the other hand, human resources policy shows that in the state's attorney's office by the attorney general, and in every case, I'd say the pore of our lives. The last example for you is the Ethics Commission for Elections for the European Parliament in which we violate the laws that we ourselves adopt, thereby opening up the space of doubt, not only in that classical corruption, political corruption, in the trade of influences or any other work that we do not consider to be found, that it is worthy, that it is even spoken of when we are in human rights positions, one of the most certain of these human rights is the electoral right that this government, and I will take another chance to say, has trampled about all those voters who do not have a residence in the Republic. I am afraid today and ask, but we will soon get results how from that bubble of soap that has been there for a long time is a concrete result achieved in these elections for the European Parliament where we will see that the voters outside the Republic of Croatia have again, I would say in a number that represents less than a statistical error, and we are aware that this is far from the real situation. Therefore, to conclude, the HDZ Club supports the rationalisation of courts and state attorneys, we do not have any major objections to the text of this law, and I believe that by the second reading some other things will be arranged for the satisfaction of all and then we are ready in such a form and to support such a law. And before the end of this session, we would also like to hear the opinion of the parliamentary majority, as we will enter Sunday's elections in view of the problems that arose 2 days before the elections.
ParlaMint-HR_2014-05-23-0.u79361	Ingrid Antičević-Marinović, replica.
ParlaMint-HR_2014-05-23-0.u79362	I'm going to rephrase this part for you, I can't answer your question exactly how, I don't know why you're using a press release for the European elections, so here's why I'm telling you that we're going to go out safely because Europe is at a turning point where it needs more sociality and more solidarity. It is therefore clear which parties represent such an idea, unlike the conservatives who have brought us into all this trouble and where national authorities are having a hard time struggling with the consequences of such authorities. As for the very subject that you've spent a lot of time on these surrounding matters, as far as the law debate is concerned, you're saying that our State's Attorney's office is paying a little attention to the civil department. Rarely done by the state's attorneys and this civil segment, but you will see if you have and if you follow, and I believe that, perhaps, you have added a little bit, annual reports on the work of the state's attorneys and you will see that almost 50% of this report is said exactly about the work in civil matters, in the affairs of representation, the disputes of damages, the giving of opinions, the process of chartering ownership and what is most important in protecting the exploitation of mineral raw materials of the maritime goods. There we had six, seven years ago a terrible theft of state property. Good, and if it hadn't been for the State's Attorney's Office and such protection certainly not, although it can be agreed that it's still not satisfactory, but almost a lot would be worse. As for the county attorneys themselves, you named Rijeka, it seems to me to be Sisak-Moslavina County in which your state's attorneys do not work. That's what we kept saying that DORH works but that the biggest problem is the county state's attorney's office and here's what's obviously reached those that need to be reached. However, I would disagree that you list some, and that is why you are always putting yourself in danger in that list because you have not listed some who are much worse and less working than those you have listed, and apparently because they are doing little or no good for you.
ParlaMint-HR_2014-05-23-0.u79363	Thank you very much. The answer to Davorin's Mlakar's replica.
ParlaMint-HR_2014-05-23-0.u79364	Thank you very much. My colleague Antičević had several thesis but I will try to explain it to you by example. The County State Attorney's Office of Sisak-Moslavina County received a report in 2009 and the opinion of the Administrative Inspectorate on the facts you read about today, but for 5 years it did nothing, it was my motive to tell you about the specific State's Attorney's Office what it was doing. There were also indications of criminal acts in the area of the city of Vukovar, but the Rijeka case is already so familiar that I don't have to explain it specifically to you. In the end, he fell into oblivion and the files from the Trade Court were missing, which were actually evidence in the process. But that may be less important, you took this opportunity to say something about promotion for the upcoming elections. I wanted to tell you that I didn't promote elections here, and I didn't even invite citizens to respond to a larger number because they were pressured by such problems that they are probably at the very least concerned with the process of European elections. I was talking about ethics or morale in a policy that certainly is this example of the Ethics Commission's election significantly damaged, but I can tell you that we have never used the difficult situation, the accident of the population that has suffered to use it for cheap political points, so someone was driving around as James Bonds in amphibiouss or Sean Connery with sunglasses and held government meetings in private companies where there are state and local government bodies and thus used the most primitive form of political promotion the upcoming elections, enjoying almost the accident that hit the whole of Slavonia.
ParlaMint-HR_2014-05-23-0.u79365	And Zlatko Tušak, the replica.
ParlaMint-HR_2014-05-23-0.u79366	Thank you, Vice President. In your discussion, you said and mentioned the Croatian Labour Labour Party that they are manifested as a member of the Ethics Committee, so in that part I have to be clear that Croatian Labourers have proposed a member of the Ethics Commission but who is not a member of the party is Berto Shalaj. He is president of the council as a non-partisan body and is not a member of the party, so within that, because of the truthfulness and information of the public and parliamentary representatives, Croatian Labourists did not make a mistake when it comes to proposing members to the Ethics Commission. Thank you.
ParlaMint-HR_2014-05-23-0.u79367	Thank you very much. The answer to Davorin's Mlakar's replica.
ParlaMint-HR_2014-05-23-0.u79368	Thank you very much, Mr. Tušak and I apologize for calling you in some way, and I called you because this nervousness that has culminated already among the SDPs motivated them to come and talk to me even from the chair about facts that are obviously not correct. I referred them to the competent authority and made their objections about any problems in the qualification of candidates to deliver where these candidates are elected, I said that, it is the Constitutional Court. However, all those people who were appointed in the process seem to have had to sign a declaration that they were not members of any political party. It is hard to believe that someone who is president of some of the party organisations is not a member of that same party, and especially if it is as in this case that I have presented even the main assembly. But that time will show accurate or incorrect information. I'm glad you spoke publicly about your candidate here because I think you've at least in some way increased your anxiety with your SDP colleagues because they don't have an adequate response to their proposals.
ParlaMint-HR_2014-05-23-0.u79369	There is no anxiety, and you should have also made such a complaint to the institution, not to put it here. Just like you've instructed us now. We're moving on to an individual debate. A colleague of Mile Horvat. Here you go.
ParlaMint-HR_2014-05-23-0.u79370	I would like to thank the Vice President of the Croatian Parliament. Mr. Minister with an associate. I apologize I'll take Mr. Minister two minutes from the topic so I'll go back to it, because simply we in our Rules of Procedure obviously don't have a mechanism to respond to something that's simply not true after the break and the debate. We've been trying to figure out ethics here, about morality, about the SDSS in a very bad context. What's this about? Snježana Vasiljevic is a professor at the Faculty of Law of the Department of European Public Law, a respected professor. Snježana Vasiljevic, professor at the Faculty of Law, is not a formal member of the SDSS. Snježana Vasiljevic, professor at the Faculty of Law, made a statement to her dean, Kusic, where she did not, where she claims to be not a formal member of the SDSS, she is a fan of the party. And as a prominent citizen, she probably participated in the forum. I repeat, she is not a formal member of the Independent Democratic Serb Party. Next thing you know, I've been listening to you. In addition, the SDSS did not propose its membership because it is neither a formal part of the coalition for these elections. Our candidate, Professor Pupovac, is a candidate on the list as a prominent citizen and not as a member of the Independent Democratic Serb Party, and on this basis we could not even propose an Ethics Commission member. Here's my colleague, Mlakar, so much for this topic in terms of ethics and morality and all that. So let me get back to the debate. Proposal for a Law on Areas and Headquarterss of State Lawyers. I won't be long, just as long to say the position of the Independent Democratic Serb Party and our club on this subject as well as yesterday's subject when we talked about the rationalization of courts. We absolutely support the ministry's initiative and efforts to rationalise these two systems within the judiciary. We know that the process of rationalization in a way that certain state attorneys are abolished or deployed, etc., has never been a popular thing. There's always perception, there's something going on in the field that people are taking, there's some comformation being taken and local self-government is saying, right next to the school, next to the post office, next to this, there's a court of law. So, of course that's not so, that's a simplified perception of this whole problem. We think you're on the right track, we think you should also relieve the work of judges and state attorneys, so a delegation of cases from more-loaded institutions to less-loaded ones. If in some way a more correct distribution were made in solving these cases, then we would probably avoid those non-compliance suits within the appropriate time limit, probably the quality of solving these first-degree things would be, I'm also talking about trial. So she'd be much more quality. We think that there are other tools such as information tools to be introduced, thought there was another set of alternative ways of resolving disputes and developing systems such as free legal assistance that we have to talk about, which is only in the beginnings of our experiences and which should in any case be better quality and human and materialized so that they are then in the function of dispensing the trial in the Republic of Croatia. What I want in this debate is two things highlighted. The first thing is therefore the problem that is opening up to us, perhaps not even a problem, perhaps not even a problem, I suppose it will not be, and that is the employment of these high-level, highly educated people, members of the Serb national minority. But if colleagues were here, this could probably be a question for members of the employment and other national minorities. Namely, the data suggests that in the state's 589 lawyers, only 15 are members of the Serbian Nationality. In municipal courts of 887 such is 18. In county courts of 406 such, there are 11, Trgovski has none. There are no members of the Serb national minority in the High Violent. There are none in the Administrative Court, no members of the Serb national minority are present in the High Commercial Court. And we see in general by some indication that otherwise the employment of members of national minorities is in regression, so in decline. It also opens the question of how to replace someone who is leaving for a well - deserved pension. Does the same key replace it with a member of the national minority who is retired? We think and we have information that we don't and we think we should work on that thing. So we think that this rationalization that we absolutely support and we think that you are on a good path, both the courts and the DORH, should be taken into account to maintain this minority structure of employees if not to lead to the level that they are looking for. However, we are fully aware that there is a certain ban on employment in the authorities of the state administration. Next thing you know, I'm talking about here, and I'm gonna say something, so I'd like to give you some data, and my predecessor is also talking about the non-treatment of state's attorneys in the case of criminal punishment, war crimes. Data are quite different, data say a total of 3495 criminal charges have been filed, of which 112 criminal charges against members of the Croatian people, so 2.5% and 3383 charges against members of the Serbian nationality are therefore 97.5%. Of these 3495 criminal charges, 1090 court cases were formed and resulted in 636 indictments against 3432 people. Of these defendants, 3432 even 2999 were tried in absentia. That's the problem, people are in 99% of cases destined in absentia, which those who practice law know is a very slippery terrain and that often in repeated procedures, the whole thing is questionable. Finally, I would say that we have an indication that in front of the European Court of Human Rights and in processing 21 lawsuits against Croatia brought by families of victims killed in the 1990s war in the Republic of Croatia. Of these 21 lawsuits, 18 are due to unexplored and fined cases, murders and the disappearance of citizens of Serbian nationality, and 3 are related to the death of Croatian nationals. Almost half of the lawsuits refer to crimes against Serbs in Sisak in the early 1990s, and lawsuits for inefficient investigations and lawsuits have also arrived for crimes in Kiev, Osijek, Vukovar, Brod, Vinkovci, Podcrnic, Brloška Dubrava, Topolica etc. etc. Therefore, there is no claim that DORH did not do his job on this matter. Of course there is a certain very visible disproportionate in the charge. Of course it's not good if this number of lawsuits comes before the International Court of Human Rights. It means that these parts question the credibility of domestic judgments and should be discussed. Yesterday we talked about it, and what is the negative financial effect of such judgments before the Court of Human Rights. Of course it's such a matter that we need to talk about it seriously. All in all, we think this job of yours should be supported. And the SDSS club will vote for both the first and this second bill.
ParlaMint-HR_2014-05-23-0.u79371	We now have a breach of Rules of Procedure Davorin Mlakar.
ParlaMint-HR_2014-05-23-0.u79372	Thank you very much. Madam Vice-President, although not some new representative of counterpart Horvat has experience in the work of this House, he has injured Article 238 in his speech. The Rules of Procedure, even by his own admission, because he said that he would not talk about the subject, but would speak to me too, replicating something that I was talking about. I think that, not that he deserved a warning, it doesn't matter. But maybe you should direct him because he was wondering how he might come to the opportunity to speak, so tell him he was sitting here all the time even for a break on behalf of the club he could talk about the subject for five minutes. I think that's what hurt our Rules of Procedure, and that's why I think it should be noted.
ParlaMint-HR_2014-05-23-0.u79373	He did not harm the Rules of Procedure but spoke about the practice of many MPs in this House. And at the beginning of the few minutes, you used it to talk about an issue that wasn't discussed. This was a violation of the Rules of Procedure, you have no right to reply to a replica, but you have replicas. Davorin's Mlakar, replica.
ParlaMint-HR_2014-05-23-0.u79374	Well, thank you very much, this is another good interpretation of yours that is actually continuing to be a very inspired interpretation of my colleague Mile Horvat. I will therefore read to you for the sake of the Croatian public, otherwise I apologize to all those people whose personal names we use, I don't know them. But the facts say that the law was broken and that it was to be taken care of. Therefore, at the meeting of the Ethics Committee, one of the proposed and later elected candidates warned that Snježana Vasiljevic was a member of the commission, which, based on Article 68(2) of the Law, should be a party independent performs a high function in the SDSS, the chairman of the SDSS City Committee and is highly engaged. In addition, the members of the commission signed a written statement before the appointment of the office that they are not party members and are not party candidates in the elections, and Snjezana Vasiljevic is not an ordinary member of the party but performs a high party duty and is extremely engaged. Resume what my colleague Horvat said. Yes, Mrs Vasiljevic is not an ordinary member of the party, she is the president of one of your organizations. I appreciate the freedom in your party that you claim it is possible to be the president of the city organisation member of the party's main assembly without being a party man. But I have to tell you, colleague Horvat, that's very hard to believe, and I don't think you believe that yourself either. Unfortunately, our laws are so inaccurate or can't be precise that every situation of life can predict. But defending something that's indefensible is only doing you harm. It would be better if you withdraw the proposal instead of these calls and resolve the issue because of the legality of the choices ahead.
ParlaMint-HR_2014-05-23-0.u79375	Comrade Mlakar, you are warning me of the Rules of Procedure here. You always have observations about how the session is being held, and now you've used one very incorrectly again by calling one person you say someone said was a member or president. Oh, please! If the representative who's a member of that party says he's not, then I have to trust him. And here you appeal to us to report to the Constitutional Court. Replication response, Mile Horvat.
ParlaMint-HR_2014-05-23-0.u79376	My fellow Mlakar, I respect you as a colleague and I see and you have today quite inspiredly tried to instruct us with some things. We didn't propose anyone to the Ethics Commission I'm telling you because we didn't have a basis, because we're not a nominal member of the European elections coalition. So we had no right to suggest. She was proposed by her house, so the Faculty of Law and she signed a statement that she was not a member, a formal member of the SDSS, neither ordinary nor unusual. So, none. She's a sympathiser and she'll probably be talking to... No, I don't. [[The intruder doesn't understand.]]
ParlaMint-HR_2014-05-23-0.u79377	Don't yell from the bench.
ParlaMint-HR_2014-05-23-0.u79378	Please, please. I mean, this is not a way to bid, please, this is not a way to bid on the name of a serious legal expert. If you have a problem with that you complain, there are institutions some Electoral Commission, or let the Ethics Commission just solve it. So why are you bidding on the name of such a serious lady? So when did we do it compared to some of your personnel combinations? What's this about? If you think something is wrong, that choice is illegal, there are illegal ways to solve it and not to label a serious legal expert that I repeat again is not our proposal.
ParlaMint-HR_2014-05-23-0.u79379	A colleague Đurović, a replica.
ParlaMint-HR_2014-05-23-0.u79380	Thank you. Representative Horvat you have said on several occasions that you are not a party member of this coalition but are informal and we are all testifying to this in this 2.5 year that you systematically and permanently support all the legal solutions that come from the ranks of this coalition and that your prominent or most respected member is on their Euro elections list and that many decisions in this House have been on your votes at some point. Therefore, you too bear great responsibility as a party for these 2.5 years and for the results of this government. And you can't get away with it or get away with it. So history should be recorded and we here need, yes, you are a very active but informal member of this ruling coalition and share responsibility with them for all results. And for success, and for failure. On the other hand, when you talked about the quotas of some minorities or some peoples in public bodies, so forgive the Constitution of the Republic of Croatia, all citizens are equal independent of religion, nation, sex, age, race, and I don't know what. Is there any law by the Republic of Croatia that states that someone in public bodies is elected to the State's Attorney's Office in court according to some nationality? And let alone that eventually when a Croat retires that a Croat must come to his place in the State's Attorney's Office? Or when the Czechs retire that the Czechs must come to change him in the State's Attorney's Office or a Serb Serb? So please, don't keep pushing us those thesis. In the Republic of Croatia, the Constitution is clear and the laws are clear in state attorneys, courts, health care, public administration there are no national quotas as far as I know about anyone.
ParlaMint-HR_2014-05-23-0.u79381	Replication response, Mile Horvat.
