ParlaMint-HR_2014-02-28-0.u64252	And now I see a colleague of Mile Horvat reporting, no. Mr. Pupovac, come in.
ParlaMint-HR_2014-02-28-0.u72892	Thank you. We've reported nine replicas, so with that one notice. The debate will now lead to 12:00 p.m. then we'll move on to the vote, when we're done with the vote, we'll continue on this agenda item until we've exhausted the list of speakers. We're moving on to replicas. First respected Davor Bozinović. Here you go.
ParlaMint-HR_2014-02-28-0.u72893	Mr. Salapic mathematics is of course an important discipline, but I think it's wrong if we come down to mathematics because mathematics has followed these discussions for years and has not led us to some satisfactory solutions. We need to talk about principles. Europe realized decades ago that the economy cannot be stimulated from above, which is why centralisation is the reason. So we can talk about real reform of the state administration only when we start talking about real decentralisation, when we get closer not to services but rather to making decisions for citizens concerned. This means transferring political responsibility to local and regional self-government and giving them opportunities to take care of their own development. The region didn't make sense she didn't even know how many tens or thousands of people if she couldn't come up with a model of her development. I'm not saying growth, growth is just one dimension, social, economic dimension, institutional adjustment is the essence of decentralisation. Without that, we're not going anywhere. You said you needed analysis, but where are those analyses? We're faced with some ad hoc solutions, so the inspectorate is abolished, so this is abolished, it's transferred, and there's actually no comprehensive discussion of principles. The principles are those that pushed Europe forward, and that is exactly what it is to create conditions for development, and there is no development if things are centralized either on state, regional or on any other basis.
ParlaMint-HR_2014-02-28-0.u72894	The replica corresponds to the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72895	Mr Bozinovic, you said it nicely, I really congratulate you, but were you not a representative of the Republic of Croatia in the EU in NATO bodies, whether you lived in the EU and worked for Croatia for a time. How does the EU rest, EU countries? Are the regions of Europe regions, some EU member states divided into regions? Is there an EU member state if you haven't heard me from the regional system of functioning? They do. I'm surprised you just said that. I'm in favour of decentralisation right now, but for fiscal decentralisation that by introducing regions or counties, some county called the region doesn't matter, it's important to make the system effective. And decentralisation is not only territorial by name but also in financial and tax terms that what should not go to the state register, remain in the local cash register or in the county or the region but that the system works. If we repeat ourselves, repetition is the mother of wisdom. We'll be smarter both of us. Something will happen to the party where you learn. And we have sent you to the EU as I recall you are one of the advocates of the European path of Croatian politics. If a system of regionalism works in the EU and the administration and administration are more efficient and local, then all we need to do is learn. I'll repeat, Denmark did it by 50% cut its local self-government units and succeeded. We don't need to be smarter. We just need to learn from those. Where did we go? We went from home to the EU. We have made our country the EU's member with the most difficult route from one of the last countries to join the Union, which is us, and you know it very well. And if we're just going to politically just lamentate it then it doesn't make sense then we'll know very well how it works where we think about why we're protecting this system from introducing regions. I know that very well.
ParlaMint-HR_2014-02-28-0.u72896	Now we'll hear the replica of our colleague Branko Bačić. Here you go.
ParlaMint-HR_2014-02-28-0.u72897	Thank you, Mr. Vice President. Comrade Salapic, you say your club will support this law, because this law reduces the bulky state apparatus. So I'm asking you to, since the minister didn't say that to explain if you already support the law, where do you see that this law is going to reduce this massive state apparatus? For example, in the Office of State Administration one for Split-Dalmatia, Sibenik-Knin County, Zadar County and Dubrovnik-Neretva County so far were 4 offices now going to be 1 state office instead of 4 presidents will now be 1, but also in Dubrovnik-Neretva County, Split-Dalmatia County, Zadar County remains the office of state administration which may now be called the establishment units whether to establish or something I do not know. At the head of those units, the president as he's been named so far, will be called a leader. He may have a slightly lower salary for that, I don't know, but that's why the head of the entire office is going to have something bigger because he's going to become a state official. I don't see where this law will cut down on that bulky machine. Will there be a smaller number of employees, will it cost less for Croatian citizens to arrange in terms of pay cuts in terms of efficiency, what is important to happen? Will there continue to be a state administration on Visa, will it continue to be in Vodice, Korcula, will it continue to be the same number of employees? If it's going to stay, because I don't see that it won't end, for example, in Komiža or somewhere else, manage the state administration that we're getting, except for what's now going to be called one state administration office number one. The government didn't have the courage to say that it would be called the Office of the Government of Dalmatia. So I really don't see what with this important in terms of the reduction of the depth apparatus as you called it, in terms of reorganisation, in terms of efficiency, the urgency of the state administration, in terms of financial savings, this law achieves that you would then be so supportive of it.
ParlaMint-HR_2014-02-28-0.u72898	Reply to the replica Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72899	Well, Mr. Bacic, where do you get the arguments to defend what's indefensible, now let's do it exactly like this. So yours would be a future region or your state administration's office... Dalmatia whether it will be called Dalmatia or, say, Dalmatia includes Zadar, Sibenik-Kninska, Split-Dalmatia, Dubrovnik-Neretva County with 857 thousand 743 inhabitants in your area. [[The speaker doesn't understand.]] I was saying your replica was more directed to the minister because I wasn't talking about names. Whether it's the head of one or it's going to be called another, whether it's going to be the name of a job like this or what I'm talking about is functionality. Could you say responsibly as a representative in the Croatian Parliament and you were also Minister of Government that the system we now have of state administrations is functioning. If you say that it works, you have arguments to keep it that way, then let it stay. I think it doesn't work, it needs to be changed. Unfortunately, certain unnecessary jobs will be lost because they are unnecessary and some people there have nothing to do. And in some major units, say, don't make a fuss, be polite or don't answer any lines, don't make a fuss. Mr. Vice President, just be polite if you're gonna talk... If they won't shut up. [[The speaker doesn't understand.]]
ParlaMint-HR_2014-02-28-0.u72900	You go ahead. Go on.
ParlaMint-HR_2014-02-28-0.u72901	I'm begging you, I've been listening and I've been keeping my mouth shut, throwing it to somebody else, it's at the meetings of your current. So it's important to make the system functional and that should be the intention of every policy, and that's where we have to agree. If someone has the courage to go public today and say this works and it's good then the ministers go back to the government have better jobs, look for jobs, save the unemployed and talk about the hard life of the citizens. If we don't start with reform, if we forget this has nothing to do with politics alone, then we're wrong. So, these throws, the mix-ups, what do I care what they think about it, if you have arguments, say it.
ParlaMint-HR_2014-02-28-0.u72902	Thank you. New replica, esteemed Jadranka Kosor. Mrs. Kosor, Representative Kosor, you've reached out to the replica.
ParlaMint-HR_2014-02-28-0.u72903	Excuse me. Excuse me, colleague. Comrade Salapic, among others, mentioned that if a referendum was called on whether the state administration should be reduced to assume that most citizens would vote for it. And I agree probably that, people think, people who live as it is said in a jargon on a state manger have too much. But I remind you, and you were actually talking about what some constant of all policies and every policy, so everybody would like reforms but no one would reform themselves. Everyone would like reforms but no one would want to start reforms from him. Everyone would like to change, and I remind you, here at the last government, of the attempts, i.e. some steps in terms of the same merger of the court's seat in judicial reform, the hospital, Ergel, remember the merger of Ergel administrations in Đakov and Lipik as the storm caused, it was also about reducing those who are managing the fit, so those who are officials, i.e. getting higher salaries. So the fact and that I agree with you, we have a large number of municipalities, not only is there a large number of municipalities, cities, or counties, but they always and most often rely on the state budget. So, I've been faced often with demands from the municipalities, give us dear government to finish the road to a cemetery that's 500 meters long, to finish the morgue, one big historical city that couldn't pay off three aunts in kindergarten, so he couldn't pay his salary, so the government had to intervene. So what kind of city is that if he can't pay for three kindergarten raisers? So, you have to do I want to say clear criteria, historical and each other. Through these criteria, to push through municipalities, cities and counties and make a decision. But it's a political decision that needs courage.
ParlaMint-HR_2014-02-28-0.u72904	The replica corresponds to the esteemed Josip Salapic. Here you go.
ParlaMint-HR_2014-02-28-0.u72905	Dear Mrs. Kosor, it's a political decision and it needs courage. You've launched certain reforms in your term, and I'll mention some of them and then I'll compare that to why you're sitting in the back seat today. We remember, we worked together on this, and it's a reform of the judiciary, a system of courts, a system of state's attorneys, a law on criminal proceedings, criminal laws, and we even tried to reform local self-government, but we stopped because of the pressure of the people who were HDZ leaders back then on those units. When you started the fight against corruption, you all, some said that, don't be angry under quotes "you're not normal". When you raised issues of different relations in politics, when politics wanted to introduce humanity, when you decided who would sit here and represent the interests of the Croatian people then you were good and now they laugh at you when you talk, it's early Croatian politics, there's no humanity. In addition to political will, humanity is needed. I personally don't care who thinks anything about it but I don't need to be quiet. And those who dare to say and do things like that and know very well then better not to say anything. Because it is necessary to be honest and open to everyone, even if we no longer sit in the Croatian Parliament. Well, this isn't a holy home. The Holy Home is a family, a church that believes in it and more when we don't have a home there, we only need two meters. And he should be an honest, honest man and loyal to his country and his people. This is what we need to do, we need to break reforms, throw away what's wrong, and see how much money we've saved. Then no one would blame us for why we sit here, what we do here when we don't have a relationship with the real world. And as soon as you say something that needs to be lifted or changed right now, boo, everybody's smart right now and when you say where the arguments are for that they don't have it. But unfortunately, we have important chairs. Until it's forgotten, and until we get away from it, there's no prosperity there.
ParlaMint-HR_2014-02-28-0.u72906	A new replica, the esteemed Sunhead. Here you go.
ParlaMint-HR_2014-02-28-0.u72907	Thank you very much, Mr. Vice President. Dear Salapić, I really ask you here, we may come to what we are constantly asking, and you are so lovingly supporting it, please give me a parameter that will convince us that this will mean savings and that it will be truly rationalization, that the proposed structure will actually bring a reduction of wages, we will have five new officials if I understand it well, we will have officials with new powers and in fact strengthen the role of the central state. I'll just remind you, we're already in the process of joining the courts' headquarters, police administrations, etc. and we had no valid argument for such processes nor was the specificity of the county respected. From your speech to me it is quite obvious that my Međimurje County will be abolished and that is very good for you, for me it is very bad and do not give me political criteria because unfortunately, in my county, HDZ is not in power for now. Therefore, that argument does not stand for you, and even though I am not here, I call on all MPs not to agree in this way to centralize the state. In addition, what my colleague Bozinović tried to tell you, and that is that at this point almost 90% of all finances related to the state in Croatia are in the hands of the centre. So such an example is not known to the European Union countries, it is simply not true. There's no argument for that. And finally, in what way do you think that this system of five counties as you finally called them or the region, what this is all about, is also going to mean fiscal decentralisation. Thank you very much.
ParlaMint-HR_2014-02-28-0.u72908	The replica corresponds to the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72909	Thank you, Vice President. First of all, we'll change the Constitution, change the laws, conduct a referendum, and we won't lift your Međimurje County. It would belong to our proposal in SZ Croatia where Međimurska, Varazdinska, Krapinsko-Zagorska, Zagrebačka, Koprivničko-Krizevačka, Bjelovarsko-Bilogorska County would be. They won't get lost, and that... The resident 976 491, no one will lift your county, it will be a part if it is on our proposal and it can be different, part of the Croatian, regional or Croatian counties. [[The speakers speak in the same voice, of course.]] As for your debate where you said we were introducing five new officials, right, we're introducing five new ones, but we have 20 exes. We're cancelling 20, and we're introducing 5, there's already savings. ... The savings will be if you just say where of the smallest things, we won't have that number of official cars for 20 presidents anymore, there won't be cell phone costs, there won't be any costs of big salaries from 15 to 20 thousand kuna. [[The intruder doesn't understand.]] It's already savings, small savings but significant. And when we go into real reform with political will, I would not want to offend the citizens of your county, I love and appreciate your Međimurje County, I think we should have the courage and wisdom to tell the Croatian people and citizens that the time has come to finally implement the real structural reforms, not to drill into our backs and say we need a new one, we need a new one, we have a vision, we want to come to power, we want to win, blah blah blah, and there's nothing from that. Finally, it is necessary to amend the Constitution of the Republic of Croatia, either to give more power to the president or to return to the semi-presidential system or to give dignity and dignity to the Croatian Parliament in a way that parliament functions as parliament, with the state being a parliamentary state, and that powers be really in the hands of those who pass the laws. So don't be afraid, we'll pass a law that your Međimurje County will preserve, we'll change the Constitution that will make the state functional, and all that you said was my evil intention towards your county with great responsibility and honesty I reject because it's not true.
ParlaMint-HR_2014-02-28-0.u72910	Now we'll hear the replica of counterpart Branko Vuksic. Here you go.
ParlaMint-HR_2014-02-28-0.u72911	Dear counterpart Salapic, two key words you said about me in your presentation were analysis and you mentioned one country, which is the state of Denmark, that they were doing reform in a way that reforms in Croatia would not have done anything. You said they cut the local self-government units in half. They've been preparing this for seven years, Denmark has been reforming local self-government for seven years. We haven't made a single bill as much as it costs, which is what we're going to get. We pushed our hand into a haystack, pulled one straw out and said, "Here's a rescue." It's a straw of salvation. I fully agree with you that local self-government needs to be rationalized, and I agree with the regions, but I would like some calculations, I would like to see. We're too small a country for nearly 600 units of local self-government, you count how many cities 428, municipalities, cities, 127 etc. We are a poor country for 600 units of local self-government and are now passing the Law on Amendments and Supplements to the Law on the System of State Administration, which should also be reformed, the State Administration. Did anything happen to any reform in the state of Croatia in two and a few years as far as Kukuriku coalition? It didn't happen. First of all, you should ask yourself, what you have set up, who will pay for all this, as Arsen Dedic says in his song. We steal the future from our children, our grandchildren because we're wasting what we don't have, and no one thought of it, although there was a promise that we would rationalize that it would no longer be spent. It's being spent so much, unfortunately this isn't going to bring much savings either, you'll see.
ParlaMint-HR_2014-02-28-0.u72912	The replica corresponds to Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72913	I agree with you, colleague Vuksic, that this probably won't bring much savings. They will be small because this is a small procedure, and the minister explained why, due to a neutral proposal. And the neutral proposal is you know why, we understand it best because we are here in parliament, which is that the ruling Kukuriku coalition has partners, parties that are coalition partners, when you look at you go into reform, you always see who is where, in which area, from which party it comes. So first we should forget the party principle when it comes to Croatia's interests. You see how he caused the indignity. And when you say something and you say it honestly, then you think that they laugh at you, they say you're a fool, that you're a monkey, blah, blah, blah, blah, what this story is, and in fact you need to be honest. Let anyone get angry, and I'm sure you agree with me that this system that we have doesn't work, that it shouldn't be a neutral proposal, but should be clear. We're focused, we should be focused on a clear proposal. The Republic of Croatia needs reforms, we respect Croatian history and tradition. Let historically some units play their part in Croatia. We'll give them funds from either the state budget or the local budget that needs to be preserved. The national identity of every country, every nation, every national minority in Croatia should be preserved. Croatia should be preserved as such, the Croatian state of all citizens, Croats, Serbs and all national minorities. We are an EU member state and it is only my appeal as a representative in the Assembly that we live better. I don't want anything bad to any foreigner, not one in Croatia unless there's a good program. And in order for a good program to have a real head and tail, it has to have honest and honest people. If that doesn't work, then it doesn't work, then we're still neutral, then we're still distracted. Let whoever gets mad, we just need to be honest. Here we would find ourselves on a common path to saving the interest of Croatia's future. Unfortunately, it all comes down to human, low passion.
ParlaMint-HR_2014-02-28-0.u72914	Follow the replica of the esteemed Miroslav Tudjman, please.
ParlaMint-HR_2014-02-28-0.u72915	Mr. Vice President. In your debate, you have actually been going with the the thesis that we have a bulky system of local administration and self-government and that we need to reduce it to five regions, and you have advocated as a major argument the financial criterion, that this system is too expensive. What's my objection is that it's just not good to take a financial criterion, because if we go logically, then why the five regions. We can also eliminate those five regions, and then there'll be fewer officials and fewer cars and fewer cell phones. The problem is something else that's already been said. We don't have the principles on which we have to reorganize the state administration and we don't have the criteria to do it. On the other hand, there is one very in my opinion uncritical or dangerous use of the term. All this is about politics, because politics doesn't want to change that. Behind that stands the people who want to participate in politics, wants to decide for themselves about the development of their municipality, their city, their village. Therefore, we here need to combine the criteria to say we can introduce this financial criterion, so say those who do not have the means, which have the means, can also have their own local administration and self-government. And those who can't finance their own commissioners, the mayors or whatever they call themselves, they'll be volunteers, but don't take away their right to decide on the development of their local environments. So let us take one example of another that is resolved in Germany. They were when they determined the centers they said one city could be the administrative center, another city in the triangle of education and science. And the third is the church center. [[Intruder Stazic: Time.]] Thus, there are different criteria and principles. We don't discuss it at all.
ParlaMint-HR_2014-02-28-0.u72916	The replica corresponds to the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72917	Thank you very much, Reverend Tudjman. You're primarily a reasonable man and I just like your debate. The arguments for this are as follows: the analysis needs to be done and that is where we all agree. Once we've analyzed the situation as we now have, we'll come to some conclusions. I have put emphasis on the financial aspect of the debate, because it is always said that money from units, counties or cities is left in the central state register. I thought of the emphasis that those funds are being made in the area of the county or the future regions if they stay in Croatia for investment, for investing in new jobs, the economy in the region or the region where one of us lives. I'm sure your late father, President Tudjman, would do very well at a crucial moment for Croatia, too, to understand whether this is a good thing that we have now or not. At least we'd do an analysis and a reasonable human conversation. I think we all need to agree in one thing that if you're in good intentions and you want good, then you need to hear all the arguments. Finally, no one guarantees that politics or any political party represented in the Croatian Parliament is quite right about everything he proposes. That's why there's democracy, parliamentaryism. Finally, on this important and sensitive issue should come up for a referendum and directly ask the citizens of the Republic of Croatia what they think about it. I said, we'll spend 50 million kuna, and maybe in 10 years we'll save 50 billion kuna, maybe not. But we need to be honest and do an analysis of whether the system we have is working, whether the efficient and operational state administration we have today, whether reducing the state offices from 20 to 5 will be more effective and better if no one is angry, no city, no city in Croatia, resident of any city. We just need to admit we are going to reform to make Croatia better. That's the most important thing.
ParlaMint-HR_2014-02-28-0.u72918	Now he will present his replica with a respected representative, Ante Sanader, here you go.
ParlaMint-HR_2014-02-28-0.u72919	Thank you, Mr. Vice President. Mr. Salapic, I absolutely support you and I agree that you have your own position on the regions and that you want to regionalise Croatia and that you are very much representing it. And it's absolutely your right. However, arguments should be respected. Because look, it's not a problem for Croatia whether it's going to be in 3, 5, 7 or 12 regions. The problem is power. Our counties, if they had powers now, would have worked. Let's not underestimate those 20 mayors that they're the lame ones. They know what to do, they're professional people. But they don't have any powers, they don't have financial decentralisation. I couldn't agree with you when you say, you should now, I think you should cut 50% of the municipalities now, and now you said in your replica, so you need to run an analysis. Well, then don't go out with one like that. It should be 50% of the municipalities now. We need to run an analysis of what you said and your mayor that I respect. You say our mayor came forward first and said he needs regionalization but he also doesn't have any analysis, the only analysis he has, has a county community and she's done an analysis, ordered and received from an economic institute and that analysis is the only one I know right now. I don't know if the government has any analysis now, and it's not good when you say Mr. Salapic, it's time to punch your hand on the table and solve that thing, let's not worry about that, it's some time or some situation that shouldn't be repeated here in the Croatian Parliament and say that we need to deal with problems with the table hand. The problems need to be solved that some institutions and professions and knowledge that we have 20 years provide a subport to help, to make quality analyses, this is what you are talking about, and not to knock on the table and underestimate people down there because when someone from Osijek or Split comes to Zagreb, then he knows what to do and while in Split he does not know it. So people know that what to do, what to do, decentralisation the system and we see and that's the best way to solve the problem, not with any hands on the table and no threatening situations of anyone.
ParlaMint-HR_2014-02-28-0.u72920	The replica corresponds to Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72921	Dear Representative Sanader, your hand on the table is just a picturesque message that you need to be determined, in fact over most people who would slap their hands on the table, so this way, you have to be determined, have political will. So the arguments spoken in the Croatian Parliament should have their own counterargument in the time and space where we live. Just run an analysis in your county of income per capita, per employee of how much money it is. I agree with you that we need to run an analysis. I mentioned in the debate in Denmark, I said perhaps 50% of local self-government units should be abolished in Croatia and perhaps not. I said we should do an analysis. You were the mayor of Mr. Sanader and you well know how the current structure of the county works. Can you confirm, responsibly say that what is focused on the county budget is enough for investments and for development, there is not enough space, should be given more. We're just going through our program, through a party in Slavonia and Baranja, not to have the concentration in the city of Osijek, let it be the city of Požega, let it be Virovitica, let it be the Vukovar, let it be the Vinkovci, let it be Nashica, let it be Djakovo, Belisce, it doesn't matter, it's important that the system works and that's the intention, let no one be offended. What I was saying, I believe those who need understanding understand, which is the people, the citizens of the Republic of Croatia. If we do something that's good, we think it's good, we have an analysis based on something, then we'll go outside to the citizens and ask them to confirm our intention for Croatia, is that good, do you support it. I'm sure 90% and more would support it because what we have today doesn't work. If we are a young member of the EU, we don't need much philosophy here, we learn from some countries that have longer experience in such a function that it is good, that more money is being held back, that less tax burden, greater fiscal decentralisation where people live better, then we are on the right track.
ParlaMint-HR_2014-02-28-0.u72922	Followed by the replica of the esteemed Danesh Shaw.
ParlaMint-HR_2014-02-28-0.u72923	Thank you very much, Mr. Vice President. My colleague Salapic, when I listened to your exposure and also by reading this material in a certain way, you elaborated it very nicely. I tried to imagine after the adoption and this law how it would work specifically in our county of Baranja to say so, right? And it's been hard for me, even though I support it absolutely, and certain findings are particularly likable to me in that explanation where it says so. The new state administration office model will allow for a stronger and more rational deconcentration of the state administration's affairs. I think it's okay for our citizens. However, there is one sentence in the further explanation, the bill also proposes the establishment of a single administrative post, the state administration's office in all the state administration's establishment units. This is something new to me, a unique administrative place, and I'm a little afraid because, as a rule, if the legal regulation brings something new, let the new jobs rarely be sought by new people. But if it's going to be filled out by those 20, etc. What you've elaborated then it's quite fine and I think the point is, the point is that the problem is that the machine is being reduced, that it's cheaper because as long as we're in our offices from the municipality to the Parliament to say so in the office where there's work for two employees we're keeping five at all costs, I mean with that fact until we've cleared up both in large state systems and in the state administration, I don't think there's a word about progress, and I'm particularly interested in how it's going to work in the area of our county. Thank you.
ParlaMint-HR_2014-02-28-0.u72924	Time's up. The replica corresponds to the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72925	Dear Representative Shoja, you are the head of the Municipality of the Princes of Vinograd and you know very well how it works, you are a valuable chief and you have done a lot for your municipality, a lot of you do, I know it. But you've detected it well in this bill, but this is the first reading, so we're going to fix the final one with the best solutions. It's important and that's where we agreed, that's what I understood. Reform is necessary, you know what it's like to have a person who's busy and has nothing to do, it's a greater psychological burden, there's nothing worse for a man when he doesn't do anything, there's no vision of his life and the future. So people working at the local administration should first of all be given a job to have something to do, that is, to make this reform in the state. There will be 20 former heads of state administration's office with various rights that they had and that's not demeaning nor the President God save, let alone the mayor of some current God save, it's just a message that we should go to reform. A new competition should be called for these five places and it is necessary to select the highest quality people, whether they will be party members or not, it is no longer important. It is essential that, in one hand, these heads of state administrations are managers under allegations that even future leaders of the region that will introduce Croatia, hopefully or the county are also managers, not only politicians and capable people, and then when we go into politics, Mr. Soja, it is not important that the coalition has received power, it is important that this coalition, whether it is a large party or a small one, gives the most quality of people, and that it is not a floscule, but that it is experts who handle the area in which they are placed. I wouldn't dare be a health minister, I don't know anything about it, Minister of Culture, I don't know so much about it, but I can talk about justice, I can talk about administration, and I can talk about the need to reform the state administration, in this case, tomorrow we'll talk about regions, the day after tomorrow about municipalities, and then the cities and the best will understand us, the people will be more satisfied and Croatia will be a better state, that is the conclusion.
ParlaMint-HR_2014-02-28-0.u72926	The last replica, the esteemed Ante Babic.
ParlaMint-HR_2014-02-28-0.u72927	Thank you very much, Mr. Vice President. Dear Salapić, I have well followed your presentation and writing down all of what you have said, about decentralisation, decentralisation, a large number of municipalities and counties, there would be no time to explain some things that I think you are wrong about, but from economical, especially for demographic reasons when you look at these municipalities in the Republic, from... let's say up to Vukovar, each of them has its own reason for being. However, you spoke of fiscal decentralisation, but to do so should talk about functional decentralisation and only then fiscal decentralisation. Is it necessary, in your opinion, that the offices of the state administration do not operate the county? They can do it, after all, and I am telling you, and also here to present Minister Bauku, we have this example in the city of Zagreb. Why could this example of the city of Zagreb not apply to all of Croatia? Why not? You now have local self-government and county units in one place in Zagreb, so it can be done in other counties. Why don't we just go with that model? What's the state's interest in keeping it, say, in state administration offices? And I'm sure the vast majority of citizens don't even know what jobs are being done in the offices of the state administration. And in the end, you will see that this division of regions will also cause major disputes in local self-government and county units and with the reason that Professor Tudjman spoke to you, and if you respect the European Charter in local self-government and the principle of subsidiarity, it has its logic. Thank you.
ParlaMint-HR_2014-02-28-0.u72928	And this replica is answered by the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72929	Mr Babic, it will not be extinguished... decentralisation, however, we are just pushing for it and I see that you have not, or perhaps not had the opportunity, and one of the parts of the programme that we have exposed when discussing constitutional changes related to... and the introduction of regions into the Constitution was, among other things, the first to implement fiscal decentralisation towards units of local and regional self-government and to ensure at least 30% of tax revenues to future regions, while taking over certain powers and obligations, transform state offices by county by taking over all their responsibilities by regional regional regional self-government. That's exactly what you were talking about. So transform state offices by county by taking over all their responsibilities by regional regional self-government, etc., etc. I don't want to read. That's exactly the point. If I said fiscal decentralisation, I support and functional, we're on our way. So most importantly, Mr Babic, and all we need to talk about here is whether we are going to make Croatia a better country for our citizens' lives. It does not matter which party it is, it is important that politics is honest with its citizens. Imagine me coming home, I'm going to Bizovac, I'm going home or I'm going to Osijek, it won't be nice for my chief to say this, but he'll understand because he's a reasonable man that it's necessary, necessary. The one who is in Valpo, and in Belišt, and in Petrinja, and Nasice, and in Djakov, will understand it, if it will be better. Let this one or the next 5 or 7 leaders of the region or the future county that will be the right hand to the prime minister and the Prime Minister or the State, and those 5 heads are smarter than 1, let them have 50 thousand kuna a month, and make it effective, let the people benefit from it. No one's gonna be mad. Let them be managers, not politicians. We created a state poisoned by politics and we belong here, we well know how it works,...you, there I was, how the system works. It's not an insult to anyone, we just need to change the way we think, it's gonna be okay. Let's be honest with the people, that's it.
ParlaMint-HR_2014-02-28-0.u72930	Thank you. The word has now been made by the Minister of Administration, the Honorable Arsen Bauk. Here you go.
ParlaMint-HR_2014-02-28-0.u72931	Thank you, Mr. Vice President. Ladies and gentlemen, I don't think the world has started with this government, nor will it end with it. What was good in previous periods should be mentioned, so when we talked about the analyses, on page 3 of the arguments, that is, on page 3 of this law, the final report of the functional review in the 5 offices of the state administration conducted by the Institute of International Relations during 2008 in the framework of the Public Administration Reform Project, states the possibility and variants of the future development of the state administration's office and is listed as one of the variants of strengthening the state administration's office in the county. According to the report, the current situation marks a number of irregularities in doing business, now part of these transactions are done through the Office of State Administration, part through very numerous regional units of different central bodies, part through legal entities with the public authority of local and regional self-government units. Where a large part of the transactions, as well as in other parts, are carried out by either first-degree general government or local self-government and administration units in their own division, they shall be carried out within the scope of the regional units of the various state administrations. Itd., etc. So the analysis was carried out and this is definitely the first step. What Mr. Babic said, and probably someone else will say, is a matter of business being done. So, are any of these, can some of the jobs that are now being done by the state authorities be transferred to the county or to cities or municipalities? That's a good question and it's decentralisation. What, what? ... Well, yes, but it's always a matter of authority which is part of the local self-government, which is part of the state administration. [[You can't hear the intruder.]] That's what Mr. Babic just said. What has caused and is always causing special attention is the issue of territorial reconstruction. I believe that the issue of territorial reconstruction is not, in no party there is a unique position, so there are people in all parties who would retain the current county structure and those who would introduce regions as larger counties, so with a smaller number of units of local, regional self-government. As far as municipalities and cities are concerned, I don't think we should reveal hot water. We have a system with 550 municipalities and cities that has been since '93 and we have a system with 100 and some municipalities that were until 1993. To be precise about the island of Brac can function as one municipality or as eight municipalities, as three municipalities cannot function. My colleague Bacic will probably agree with Korčula, so if we put Lumbarda and Korčula together, they would not be satisfied with each other, if they combined Blato and Smokvica would not be satisfied with each other, they would have a smaller number of municipalities that would function worse. So it's not just a reduction in the number of units of local self-government, it's a new system. If 100 municipalities were to be abolished, they would come to a system that was '93 between 1993 and 2006, 2007, which formed 100 new municipalities in 2008. So this story is always good to talk about. As far as neutrality or seats are concerned, which are also mentioned, so I said the next sentence. I don't mind the state administration's headquarters being in the largest cities and applying that principle to all offices. And secondly, I don't mind, and that's what Agent Tudjman said, that in one region or county or territorial area as one institution is proposed, one institution has its headquarters in one city, the other in another. Of course, the largest number of institutions would have headquarters in the largest city, and one part of the institutions would not. And I don't think the biggest city would lose anything because it would still be the biggest one, and in order for these other cities, the other centers to get one kind of recognition that they're centers and I don't see the reason why there's exactly that there's too much passion and that's why I've made that statement. As far as territorial reconstruction is concerned, the Constitutional Court of the Republic of Croatia has put out of force an amendment to the law by which the settlement Prekrišivičko was transferred from one municipality to another or from one city to another because no citizens were questioned. These things should certainly be asked to the citizens. I'm going to use an expression that was more popular yesterday, and it's coming out so when someone asks me what I think about it, I said that as a citizen, if it were a referendum to get the four southern counties to join in one whatever it was called that I would vote for, and of course I respect if most of them were against or if in some area the vast majority were against it and we're going to argue again in 20 years, but then it's a good point to end it. Thank you.
ParlaMint-HR_2014-02-28-0.u72932	The debate is now continuing through replicas. The first one came from the esteemed Dragan Montenegrin. Here you go.
ParlaMint-HR_2014-02-28-0.u72933	Thank you. Well, here's whether it's good or not, I don't know about the others, but I'll say for us minorities it's not good. I know that the minister, as the mathematician has already said, I don't know if he was counting, but let's say that if I were to compare here, I only calculated some things, say, the office of the state administration number 1 that would be run by the Split-Dalmatia, Sibenik-Knin County, Zadar, Dubrovnik-Neretvanska so the total number of members of all national minorities would, for example, be 11.5% for the Sibenik-Knin County or for Zadar 6.5% if this were accounted for by the Office of State Administration No. 1 it would be that the total number of members of national minorities would be 4.5%. Therefore, the number of proportional representations or employment would be reduced. That's the question, you'll certainly think about it this is the first reading, so you probably haven't thought about it before, but up to a reduced number of members of the national minorities. And this is a question not only for the Club of National Minorities, because let's say we can speak for the Istrian County, which then drowns in Primorje-goranska, Ličko-Senjska and there is a growing number based on 558 thousand 585 of the total population of 72 thousand members of national minorities, which is 13% and more members of national minorities, let's say, in Istria County. It's a big problem for us, and the question is if this or not is arranged differently, but given that other reforms have started, I think this will have to be resolved by a comprehensive procedure. Otherwise, it will even question the support of such laws and reforms from members of national minorities. Thank you.
ParlaMint-HR_2014-02-28-0.u72934	Minister Arsen Bauk responds to the replica.
