ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u74	There was another question about ventilation.
ParlaMint-NL_2021-10-28-tweedekamer-10.u75	Very briefly, as the last contribution to the budget debate. I had asked if the Minister would be prepared to make very short-term radio and TV commercials about the home situation, where two out of three infections are currently taking place. It would be very good if we could get good radio and television spots about how we can get the infections down there using a window open and air through. It really has to come between people's ears that there are most infections there.
ParlaMint-NL_2021-10-28-tweedekamer-10.u76	A specific question.
ParlaMint-NL_2021-10-28-tweedekamer-10.u77	I think the answer might be "we're already doing that," but I'm going to look into that very precisely for you. I sometimes skip a day of radio or television, so I haven't seen it come by myself. But I think we've set up a very intensive campaign. In next Tuesday's letter, I will return to what kind of communication we are doing and whether it is in the form of radio and TV commercials.
ParlaMint-NL_2021-10-28-tweedekamer-10.u78	There is a short question from Mr Van Haga, and I would like to conclude on the subject of corona. One more question from Mr Van Haga and then from Mrs Simons on corona, and then we move on to the next issue.
ParlaMint-NL_2021-10-28-tweedekamer-10.u79	But we agreed that we would ask ten questions... I really want to keep them short, but...
ParlaMint-NL_2021-10-28-tweedekamer-10.u80	Sure. I'm sure you'll have the opportunity. I just want to say that next week we will also have a corona debate.
ParlaMint-NL_2021-10-28-tweedekamer-10.u81	I'm gonna keep it as short as I can, but I do have a few more questions. Why is a test only valid for 24 hours? That is very brief, as far as I am concerned. It's very annoying. It is also illogical, because vaccinees can of course be contagious. Belgium operates 72 hours, France 72 hours, Great Britain 72 hours, Germany 48 hours for an antigen test and 72 hours for a PCR test. You say we can't do this for more than 24 hours, because then the chances of getting contagious are too great. What are the chances and why can't we just join the countries around us?
ParlaMint-NL_2021-10-28-tweedekamer-10.u82	Mr President, may I make a point of order? We've been talking about corona for over an hour now. Some questions I understand; they are topical. But we also have two corona debates next week. I think these are questions that can also be asked next week. In the VWS budget, there's an incredible amount of money, almost 100 billion. I find it rather complicated that we spend so much time here on corona questions, when we have a very important task, namely that as a Chamber we can properly control the VWS budget with so much money in it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u83	I agree with you. I have asked colleagues a number of times, but colleagues are also concerned about their own content. One asks a number of questions about corona, the other about zoonoses, the other about homeless people. So it's hard to steer the content from this side, but I do appeal to you to be short and powerful and not to ask a lot of questions in an interruption.
ParlaMint-NL_2021-10-28-tweedekamer-10.u84	A brief reaction to that. I'm in charge of my own input. It's right on the department of VWS where we've dislocated the whole society on the subject of corona and spent 80 billion on support packages. So it's very good that corona here, in this budget, is returning outbursts. So I would like an answer to my question.
ParlaMint-NL_2021-10-28-tweedekamer-10.u85	Yes. The Minister.
ParlaMint-NL_2021-10-28-tweedekamer-10.u86	The answer is that this is the content of the advice of our experts. That answer has also been given to you several times. We have had a somewhat longer period of validity. In addition, the risk of contamination was too high. We saw that in the disco peak just before the summer. That's why we're very tight on those 24 hours. In fact, if I change it, I'll make it shorter and no longer. What other countries do in this respect requires other countries to know. I want the system we use, the 3G system, to reduce the risks as much as possible. The risk for non-vaccines is much greater than for vaccinees, including with this system. That's certainly not why I'm going to extend the test duration. I'm going to shorten it rather than extend it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u87	I find that a very disappointing answer, because other respectable countries seem to be able to do so. I would like the Minister to give me the following undertaking. Then I would like to see the odds of 24 hours, 48 hours and 72 hours, because apparently the Minister has seen and calculated all of this. Then I'd like to see that, too, and then I'd be able to judge that.
ParlaMint-NL_2021-10-28-tweedekamer-10.u88	Thank you.
ParlaMint-NL_2021-10-28-tweedekamer-10.u89	Then...
ParlaMint-NL_2021-10-28-tweedekamer-10.u90	Wait a minute. That's another question. The Minister.
ParlaMint-NL_2021-10-28-tweedekamer-10.u91	I will see what is available at that point, but I believe you have everything I have.
ParlaMint-NL_2021-10-28-tweedekamer-10.u92	That is the answer that Mrs van der Plas has just been sent into the forest. I guess I just get it. If it's there, I'd like to have it again, because I don't remember ever seeing that differentiation. Then I have one last question, if you don't mind. It's about my adopted motion on the 180-day period of validity of the recovery certificate. Now there's a wonderful advice that says we're going to 12 months. Well, of course I don't agree with that, because I actually want indefinite time. Because if you have natural immunity, you're seven to eight times more protected than you are when you have such a reducing vaccine. Anyway, a quick question. Will this one-year period also be available retroactively for people who, for example, already had corona seven months ago and who now have no green check mark? Do they get a green check mark again?
ParlaMint-NL_2021-10-28-tweedekamer-10.u93	I have also written a long time ago saying that I want to do so, that I am going to amend it, but that this also requires an adaptation of the European regulation. I am in the process of agreeing to this with colleagues, because if the Netherlands applies different standards in this respect than abroad, it may be that people at the border get into trouble.
ParlaMint-NL_2021-10-28-tweedekamer-10.u94	Thank you. Then I give the floor to Mrs Simons from BET1.
ParlaMint-NL_2021-10-28-tweedekamer-10.u95	There is no one, no member of this Chamber, who is more looking forward to the forthcoming Corona debates than I am. And I very much agree with Mrs Westerveld: we are discussing the VWS budget here. Yet I have a question that is related to corona, especially to long covid. I asked the Minister for Health, Welfare and Sport about the status of the research into long covid in the context of and under this budgetary procedure, namely: when can the victims be recognised of their problems? He replies that he is committed to research, support and recognition, that he recognizes from conversations with patients that recognition of the picture of long covid is of great importance and that he is aware that we are closely following developments regarding long covid. My question is: what exactly do people who now live with long covid, some of whom have had this answer for almost a year? What about specific instances like the UWV? Is lung covid recognized and recognized? Is there enough knowledge to provide these people with the care they need? What can they claim? That is my specific question. I would like a concrete answer to that under this budget debate.
ParlaMint-NL_2021-10-28-tweedekamer-10.u96	You do not believe it, but it is unfortunate that my next sub-block under corona is exactly long covid, because Mrs Paulusma has also asked questions about this. We've been doing support for long-term covid patients for a long time. I found it striking that when Mrs Paulusma spoke yesterday, you could just see how much long covid can hold people in his grasp. That, of course, is why you are calling for attention to be paid to this. Last year, before the summer, the motion of D66, among others, was filed to set up C-support. That's for patients who have lung covid symptoms, which is a very varied range of complaints, to help them as practically as possible, namely with good access to care, but sometimes also with good conversation with either UWV or the employer. So it's about work-related concerns. It is very practical help close to home, where you will find a listening ear and also have a practical guide to how to deal with care and support. That's one, C-support: incredibly important and wonderful work. I've been to work; it's really very beautiful. Two is that there is a lot more research to be done. That was also Mrs Paulusma's question. A lot of money has been set aside for research, because we don't know a lot of things yet. At the same time, as you probably do, I say that people cannot wait for research and the results of research. But it is important that we gain more knowledge. ZonMw opened the call for this. The extra money has been made available. That's what we're gonna do. It is also necessary to adopt a multidisciplinary directive, a health-related directive on how to deal with corona patients. That's just necessary. In addition, that was the point made by Mrs Paulusma. Long covid patients will increasingly need contact with peers, mutual contact. I can do better than that, I must say. By the way, C-support is already quite possible, but at the moment I am talking to various organisations, including the Long Fund, about how we could better organise that fellow lottery contact, namely better accessible and less fragmented. From the Ministry of Social Affairs there is additional effort in the field of employment support, such as grant for the programme COVID-19 and work of the Foundation Centrum Werk en Gezondheid. A wide range of subjects, because we are not finished with long covid for the time being.
ParlaMint-NL_2021-10-28-tweedekamer-10.u97	It is very good to hear that so much is already being done, especially when it comes to the contact of fellow fate. I can imagine anything that's important. However, my question remains: if I report to the UWV tomorrow because I can no longer work because of lung covid, will my illness be recognized? Do I have the right to all the financial compensation and facilities that we have designed for sick people in this country? I am very much looking forward to all those developments that are going to make it even better, which are going to make it even clearer, with even more focus on what lung covid patients actually need, but there are poignant stories of people who have been fighting not only the health problems they have, but also the practical conditions they face for more than six months, if not almost a year. I would very much like to confirm that more specifically.
ParlaMint-NL_2021-10-28-tweedekamer-10.u98	Very specific. The UWV looks at the degree of work restriction, so that is not so much on disease labeled. It is absolutely true that lung covid symptoms are not always so easily identified as such. So we need more knowledge about this. Then how will that knowledge become available? Among other things, through C-support. Even before we have done and completed all that research, we have to get to work and by getting to work you learn a lot of new things. What C-support does, therefore, helps us to talk to the UWV with those experiences under the arm. Very practical for people: if they apply for support via C-support, they can also be supported if there is a complicated conversation with an employer or with the UWV. So we offer very practical support and we are working to build up more knowledge, so that precisely the agencies that need to know this, including the UWV, have knowledge of the disease itself.
ParlaMint-NL_2021-10-28-tweedekamer-10.u99	I'm gonna try one more time. I'll report to the UWV tomorrow or my insurance company. I've got lung covid. I've had corona and I've gotten all kinds of complaints about it. I can only come to one conclusion together with my GP: this is the result of the fact that I had corona. In other words, this is long covid. Can I then trust that my insurer and the UWV together will ensure that I have an income and have the right to benefits, as well as all kinds of other patients, so people who suffer from all kinds of other medical conditions? Can I then trust that I can address my insurer to the responsibilities he has instead of having my insurer say to me: yes, we are all not sure yet whether this is because of it? I like it all: that research, that we're monitoring it, that we're getting better and better and that you can bring someone from a foundation when there's difficult conversations to be had. That's beautiful. But quite specifically: can I trust that the UWV and my insurer recognize, recognise, and therefore act as necessary my condition, long covid?
ParlaMint-NL_2021-10-28-tweedekamer-10.u100	First of all, the insurer. You're just entitled to care. I don't know if it really concerns you, but people with long covid are just entitled to the care they need. That's not the point. It's an important part of just insured care, so that's not the point. All care that is insured for everyone is, of course, also insured for lung covid patients. We just had a whole discussion about the causes, the why. Whether you need certain care is irrelevant at all. If you need care, it's there for you. That's how insurance works. That's one. Two. When it comes to the accessibility of all kinds of schemes, there is of course no labeling of disease. They're looking at the work restrictions you have. That's how it's looked at. So here too, the why is not necessarily necessary. However, it is necessary to understand who is on the other side of the counter and why he has the complaints with which he walks under his arm. For that, more recognition and more recognition naturally helps. That's exactly why we're doing it this way, through two ways. First, we start the practical support via C-support. That's one. Two: more research. We're getting more knowledge from that research. These two experiences lead to an improvement in the knowledge and experience that people have in all kinds of evaluating bodies. I can't rule out the fact that if you report yourself with lung covid complaints at a counter, the person on the other side of the counter doesn't have a very good understanding of the why of the report. With so many counters in this beautiful country, I cannot completely rule that out. But I do know that we'll do what we have to do about it. Practical support and experience is provided through C support. That's one. And we're doing research. That's two. It both leads to an improvement in knowledge at the point of contact.
ParlaMint-NL_2021-10-28-tweedekamer-10.u101	It was about me for a moment, so I'm curious about the Minister's response. I have also tabled an amendment concerning the professionalisation of this contact. I am very pleased with Mrs Simons' involvement, so I also invite her to support the amendment. I am therefore curious about the Minister's response.
ParlaMint-NL_2021-10-28-tweedekamer-10.u102	It concerns the amendment in respect of item No. 32.
ParlaMint-NL_2021-10-28-tweedekamer-10.u103	I have just received a huge, bulky pile of amendments. I'm gonna go through them all.
ParlaMint-NL_2021-10-28-tweedekamer-10.u104	Yeah, should we do that at the end?
ParlaMint-NL_2021-10-28-tweedekamer-10.u105	I understand your commitment to more peer contact. I share that, but I will take the amendment in a moment if you will allow it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u106	It is the amendment in part No. 32.
ParlaMint-NL_2021-10-28-tweedekamer-10.u107	I'll see if I can freestyle now. Yes, I can. I leave the judgment to the Chamber. As has just been said, we are already in consultation with the Long Fund and other patient organisations on additional financial support, broadening the Corona Square to the broad target group complaints of long covid and organising physical fellow contact for long covid patients. It takes into account hard-to-reach target groups such as low SES groups and people with digitalism. This amendment supports that line. In fact, it provides extra money for that. That's why I support that line and leave the verdict to the Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u108	Then we go to the next theme, namely the theme varia. But that's what you've already started.
ParlaMint-NL_2021-10-28-tweedekamer-10.u109	No, I really need to deal with one more topic under the cube of corona. These are the questions raised by Mrs De Vries, who normally come up in a corona debate not so much, but are very much part of a budget debate. Mrs De Vries spoke about everything to do on the subject of pandemic preparedness. We're going into the stage where we're drawing all kinds of lessons. You see all kinds of research coming up and of course we also have the evaluation of the OVV, which we focus on and where we hope to learn a lot from. For all these evaluations too, I think we can all agree that we would like to be better prepared for a next pandemic than we were prepared for the last pandemic, which we are still in the middle of. This means that we need to be more ready and that we need to be more agile in order to act quickly in the event of an outbreak. This also means that we have work to do on pandemic preparedness. I would like to mention a number of issues because Mrs De Vries also mentions them. It is very necessary to keep them in order and to develop them in a pandemic preparedness agenda. The first is the strengthening of public health: just the basis on order with the GGDs. You could say that we haven't had enough of them in recent times. We have not sufficiently enabled the health services to do their important work in the field of infectious disease control. That is why I would think: strengthening public health and disease control in the health services should be part of this work. By the way, more clarity in the way in which we direct the GGDs, helps in a great way. That is what I mean, for example, in terms of the same ICT. We have seen that this is very important in the context of pandemic preparedness. The second is the whole scalability of care capacity and the way in which we allow a clear and central direction and direction in times of crisis. I would really give my successor, whether I am myself or not, at a next pandemic, which I hope he or she will not have to deal with, the fact that there is a much easier and much more direct line of direction in everything related to care capacity. When it comes to managing the health services, when it comes to controlling the care capacity within the hospital, and when it comes to controlling the capacity outside the hospital, you really want to have a form of central control in such a pandemic, especially in such a crisis that concerns us. A little less polder can't hurt in a crisis. Anyone would redecorate a little more control and central control. By the way, it's all worked out. Just, the energy it costs... Well, let me put it this way: it turned out okay despite and not thanks to the system. Three is the security of supply. I think Mrs De Vries was right to say that we are far too dependent on all kinds of foreign countries for what we need for ourselves. Take the vaccines. That is, of course, a world-wide industry, so it is also logical that such a vaccine is produced on the basis of various subcontractors and production plants that are scattered around the world. But this can be the subject of geopolitics, and other countries can have a "own people first" strategy if the need is real, which means that the whole supply chain is interrupted. We can't let that happen again. This means that we must at least be able to retain our own pants in Europe in terms of security of supply, both in the case of vaccines and in the case of medicines. I hope that this can even be done to a large extent on Dutch soil, so that the Netherlands also makes a major economic contribution to the security of supply of devices and medicines. In short, I can only agree with you very much. I'll make one more point. You also made a comment about the national healthcare reserve. Of course, this has everything to do with the scalability of care. That's the kind of element we've already started with. A whole pandemic preparedness agenda is currently being drawn up on the way to the end of the year. I hope to inform you of this just before or just after the end of the year. I hope that by then I will also have something of an evaluation which would enable us to take further steps. Now I'm really going to go to the block of varia. Mr President, the great thing is that you have already heard a number of issues about it, because Members have raised them earlier.
ParlaMint-NL_2021-10-28-tweedekamer-10.u110	There is an interruption by Mr Van der Staaij, SGP.
ParlaMint-NL_2021-10-28-tweedekamer-10.u111	To reassure you, it is only a shift from the block of amendments to the subject of pandemic preparedness. In fact, I had tabled an amendment to that very subject. In the written reply, I have already seen that the Minister has discouraged that amendment. That is why I would like to come back to this because he says that at the end of the year, the first guidelines for the policy agenda are available to strengthen the pandemic preparedness of the Netherlands. My concern is that the coming year, if you're not careful, is a lost year in taking steps to strengthen pandemic preparedness. Hence the amendment. Suppose concrete steps should be taken, for example, for training places and the like. Well, then there's no finances for that yet.
ParlaMint-NL_2021-10-28-tweedekamer-10.u112	This is about the amendment to item No. 21.
ParlaMint-NL_2021-10-28-tweedekamer-10.u113	Ah, great, thank you, Mr. Chairman. I had, of course, seen the amendment. Then I thought, "What a big amount of money." And then I thought, "Oh, my God, that cover." At that time I also thought: we have already allocated a lot of money in the budget so that we can at least get a start. Before that start, people are being recruited. For example, we are already in the process of setting up the rural facilities that must be able to take over the management of the GGDs in times of an A-disease. We are already working on those types of elements. In the meantime, we're gonna work out that agenda. At the moment, it is very difficult to estimate how much money is involved. At least it's not a small beer. It really is serious money, even more serious and bigger than the amendment says, I think. So for the start we need, we have already allocated sufficient resources to the budget. For the answer to the question of how much we really need, I should first have the working agenda in order to be able to weigh that properly. I am very quick to look through my stack, but I see that the amendment in part No. Twenty-one isn't in there. Couldn't it be a different number, Mr. Chairman? Or is 21 with a colleague, maybe?
ParlaMint-NL_2021-10-28-tweedekamer-10.u114	No, it's really 21.
ParlaMint-NL_2021-10-28-tweedekamer-10.u115	In itself, the Minister gave a good summary of what he had already indicated in his written reply.
ParlaMint-NL_2021-10-28-tweedekamer-10.u116	Consistent.
ParlaMint-NL_2021-10-28-tweedekamer-10.u117	Sure. That is why the magazine is not even necessary to continue our exchange of views. My point remains. It is indeed a first step in my opinion. A much larger amount has been mentioned by GGD GHOR. But I do hear that the money that is now available is precisely not for this structural strengthening and that the danger is threatening. I would like to hear a further response on that point now or later. How do we prevent a hole from falling? And isn't it necessary now?
ParlaMint-NL_2021-10-28-tweedekamer-10.u118	I understand very well what Mr Van der Staaij has to say about this. That reaction of the GGD was in my opinion also towards the formation or the formation table. Let's just leave that there for a while. This is about being able to make a start, while we do not yet fully know what is needed for much stronger pandemic preparedness than we have now. People need to be recruited for this and you need to have money on the budget, otherwise you can't recruit people. That is why we are putting this series in the budget. We can make a start, but that's what it is. If we wanted to turn it into some kind of Delta Works, it would really require more than is currently in the budget. How much space there will be depends on the assignments we get from the formation table, which is one, and on the content that will put the pandemic preparedness agenda on the mat, that's two. I would therefore advise against this amendment by Mr Van der Staaij. We're gonna make that start with that agenda. Let us speak again when that agenda is ready and then do what is necessary. My experience is that at Corona we have never been reluctant to release the resources that are simply needed.
ParlaMint-NL_2021-10-28-tweedekamer-10.u119	Finally. I understand what the Minister is saying, but I am responding precisely to the GGD GHOR's message that it has also become more extensive in the media, that more is needed in the coming years, but also that there will be too little on the budget for the coming year to start this structural strengthening. There's still a discrepancy there. We do not need to vote on it right away, but I would like to suggest to the Minister that he consult with the GGD GHOR on this, to see whether that is true and whether it is not necessary to put more on the budget for these training places for the coming year.
ParlaMint-NL_2021-10-28-tweedekamer-10.u120	Yes, of course I would like to consult with the GGD GHOR, if only because an important element of the work agenda for pandemic preparedness involves strengthening the basis of disease control in the GGD. People will have to be trained for that, I understand that very well. In fact, we must avoid unnecessary delays in this respect. I'm going to have that consultation, but that does mean I'm still betraying this amendment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u121	Perhaps I have not heard it or the Minister has said it very gently, but I am assuming that pandemic preparedness is also a European matter. I'm curious about the Minister's response.
ParlaMint-NL_2021-10-28-tweedekamer-10.u122	You have indeed heard it or not, or perhaps I have said it very quietly or in an intermediate sentence. It is about the security of supply of medicines, of vaccines, to ensure that we have a European production chain, so that we as a Europe can be self-sufficient in the field of all the stuff you might need in healthcare. There is a very nice European initiative in the pipeline, which is called HERA. We've talked about this before. My commitment towards European colleagues is also always to support the full-fronted Hera initiative to ensure that it is implemented quickly. We do have questions about governance, about the exact scope of Hera's mission, but we draw it and are enthusiastic about it, because we think it should be done. Apart from HERA, I think that the Dutch activities should be linked to the various production plants that need to come somewhere and to the distribution of the assignments resulting from HERA. Then I hope that they will choose the Netherlands, as they have chosen the Netherlands for the EEA. EEA, ECDC and HERA should be the trinity of the European institutions that strengthen the European Health Union. That is the idea at the moment, and we wholeheartedly support it, with all kinds of comments and nuances. Then I'll go to the last block: varia. I've already done a number of topics, and I've only got a few left.
ParlaMint-NL_2021-10-28-tweedekamer-10.u123	My request is that this be done in a really short and forceful manner.
ParlaMint-NL_2021-10-28-tweedekamer-10.u124	Yeah, you can. First of all, the GP consultation. I should have responded to that in an earlier block. So I'm just gonna do that now. The SP asked for this, but also the PvdA asked for it. What we want is for the general practitioners to continue with what they are doing now, because we know that the experiences are good. For general practitioners it is already possible to schedule a longer consultation for patients for whom this is necessary. Pilots have been set in motion, and partly completed, to encourage the use of the opportunity to provide longer consultations. The lessons from these pilots are currently being used and rolled out in the regions where these longer consultations were relatively rare. The pilots are there, the pilots have been used and it has been ensured that those longer consultations are actually rolled out in the regions where it is most needed. I don't think there's any reason to extend the consultations generically. You can't just do that. That is also because of the money, but not only because of that, because in general it would indeed be very much more expensive. The point is, if we were generically extending all the consults, we'd be short of general practitioners to help the same number of patients. And finally, it is again a limited group of patients for whom this actually has added value; that does not apply to everyone. In short, what we want to do is continue the evaluation and continue the roll-out of the lessons, so that in all regions the general practitioners will actually make use of the possibility of extending the consultation, which is already possible for the patients for whom this is also necessary. "For whomever" that is necessary, I must say.
ParlaMint-NL_2021-10-28-tweedekamer-10.u125	What we see now is the classic mistake of thinking that is made every time in the care. If we want to make the consultations longer with the general practitioners, the Minister says: yes, why should we do that; of course that costs way too much money. The general practitioners say: no, just by giving us a little more time for the patient, we save a lot of money for the care, because if we can continue talking about where complaints come from, all these people will no longer have to be referred to the hospital and not take that medicine; in this way we can make more complaints before people go to the hospital. The general practitioners simply ask for a payment title, so that the longer consultation can be applied nationally. This is precisely how they relieve hospital care and thus reduce the cost of care.
ParlaMint-NL_2021-10-28-tweedekamer-10.u126	No misunderstanding: I share that. I am merely saying that this does not require a generic extension of the consultations, but that this requires the possibility for general practitioners to write out a double consultation if they think it is necessary for the patient they have in front of them. That possibility is already there. That's one. And two: we saw that this possibility was underutilized in a number of regions. That's why pilots have been set up to see how you could expand that. Some of these pilots have already been evaluated and some of them are still being evaluated. The lessons are already being learned and the pilots are already being rolled out in the regions where they are lagging behind. One of the elements learned from these pilots is that it is sometimes difficult for the general practitioner to make that type of arrangement in a good way, for example with the insurer. That's one of the lessons from those pilots. And that's what they're working on. In short, I think we agree. It's work in progress. And yes, indeed, if you do it for the good group, then it can indeed prevent heavier care. So it can just be great help.
ParlaMint-NL_2021-10-28-tweedekamer-10.u127	Let's make a correction. A double consultation lasts twenty minutes, but is requested for a consultation of fifteen minutes. That's one. Two. There are already results of pilots, but now only 118 general practitioners are involved, while in the Netherlands there are 5,000 practices. Is it not possible to scale up at least in certain areas of interest? I understand you're not rolling this out nationwide right away, but a scaling-up should be possible anyway. It's gonna need a lead time after all. The effects are there. There are positive results. The first evaluations are there. Now only a very limited group can participate. We really think this can be scaled up.
ParlaMint-NL_2021-10-28-tweedekamer-10.u128	Keep me for the better; I wouldn't be against it, not at all. If you want to make that proposal, I would even like to go along with it. I believe there are seven projects in total. You say that around 100 general practitioners are involved. My only point is that at the moment I do not know what reason it is limited to these general practitioners and these projects. Is there a financial reason for this, for example? Or is the way we run that pilot not gonna get it manned or something? I just don't know. So I'd like to work on it to see if we can scale it up a little faster and firmer. I do think that we should want to learn lessons from these pilots and also to go ahead with those lessons. Of course, you are not opposed to this either, but you say: do not wait until you have had the very last evaluation to put it a little bit wider. I'd like to see how we could do that.
ParlaMint-NL_2021-10-28-tweedekamer-10.u129	I like to grumbling, but I see an opening here. I cannot estimate exactly what scale, what amount, it should be, but it does not require an amendment, because I have a motion in preparation for a national roll-out. Maybe the SP has something lying around and we'll do it together. But if we can arrange for some of the scale and we can find out together what that would mean in terms of cost, I am more than willing to table the motion to that end, so that this arrangement can be extended.
ParlaMint-NL_2021-10-28-tweedekamer-10.u130	Let me also think about it on the way to the second term and ask for a moment what is the obstacle at the moment to scaling it up a little faster. I just don't know. I really need to check that out. Mr. Chairman. Then I'm gonna move on to the block of varia. A number of members referred to the financial management on VWS. I get that, because it's a big and important theme. I would also like to say a few things about this, because when that conversation is held, it is often said that 5 billion is either lost or lost or whatever, but you know that this is not the case. 5 billion is the whole amount spent on the fight against corona in 2020. That's one. Two. Yes, when we had to act very quickly in this crisis, for example, the procurement rules have sometimes not been followed. That's right. There is also sometimes a lack of proper record of why there would have been an urgent issue, for example. That's right. This, of course, leads to unlawfulness in its assessment. Another thing is that, of course, in the relationship between Cabinet and Chamber, it is very relevant that in part, at about 2 out of 5 billion, for example, we were already doing the expenses before the Chamber had mandated those expenses. Then there is formal budgetary injustice and conflict with the Compatibility Act. The Court of Auditors has made a sharp and critical report on this. I think that's right. By the way, it was just as right, I would say, that at the time we put the speed of action above the last correctness of the administration, but I do think 2021 should look better in terms of accountability than 2020. I say honestly: I think that in 2021 some of the legal errors from 2020 will continue. I say that with little joy. I'm just saying that because I see that it is. We're doing an incredible amount to improve the whole legitimacy. We also have a lot of work to do in the financial management of the corona expenditure in particular, but I think it will not go smoothly. I hope it will be better than in 2020. One example: informing Parliament on time. That's what we're trying to do very precisely. I believe that this year you have already had 12 isb's, incidental supplementary budgets. We are doing this on purpose to ensure that, at least on formal budgetary law, we comply with the Compatibility Act. We are also trying to get management in order, because there is a lot of work to be done. Completely spotless it will not appear in 2021. That is what we are going to debate again at all these moments. We will continue to inform you in accordance with the motion Sneller filed. Then I have one final question about...
ParlaMint-NL_2021-10-28-tweedekamer-10.u131	Mrs De Vries, VVD.
ParlaMint-NL_2021-10-28-tweedekamer-10.u132	The fact that there is good financial management at the Ministry may not be a very sexy subject, but I think it is crucial. Last time we discussed it extensively in the annual report. I also think that we should continue to follow it critically as the House of Representatives. So I am glad that there is another report from the Audit Service, but I am a little nervous when I read that story. I think there are also a number of simple things in it, because I think something like EUR 3.5 billion was probably illegal again, because the justification for why it is urgent is not good. I think that would be relatively easy to solve. I wonder what the bottlenecks are in the Ministry, because additional officials are also attracted to settle this properly. It's community money, and we just have to spend it in a good way. It must also be clear what we are spending it on. Especially if it is urgent and there is already money being spent in anticipation of the approval of the Chamber, I think that support should be really top.
ParlaMint-NL_2021-10-28-tweedekamer-10.u133	That's absolutely true. I can only agree with Mrs De Vries. For the sake of urgency, you may need to act. With regard to budgetary law, i.e. the Compatibility Act, we have to ensure that the Chamber is informed in good time. By the way, no department can make it to 100%. I believe that we are now at 98%, but the sport is to get as close to 100% as possible. That's one. Two. It is also about another method of timely motivation, namely whether or not you use urgency, so you would not have to tender. I really think that is a matter of basic management. If you're right to use an emergency, you don't have to spend. Then you have to motivate yourself at least now; last year we really had an excuse, but now we don't, I think you don't do a tender for a good reason. It may still happen that you urgently have to contract something.............................................................................................................................................................................. The point with that legality is that you can't motivate afterwards why you didn't tender a month ago. That's a non-repairable mistake. The audit service found a number of errors and said that part of the management is still not good enough in 2021. I honestly say to you, Mr President, that is what I wrote to you in the letter, that I can no longer fix it if it concerns this mistake. Sometimes you can fix it. Sometimes, when it comes to putting a file in order, it can be repaired, but not all mistakes can be repaired. But it's just not good. That is why we have just adopted additional people for financial management. In the meantime, I believe that the counter is 16 fte extra ones who properly monitor the control mechanisms in the department. That's what's needed. Mr. Chairman. Then I'm actually just at the end, because I've had all the other questions from the varia block, I see. Yeah, we can have lunch!
ParlaMint-NL_2021-10-28-tweedekamer-10.u134	I would like to look at Mrs Ellemeet van GroenLinks.
ParlaMint-NL_2021-10-28-tweedekamer-10.u135	I asked a question about the healthcare pay. There is 675 million available for salaries. We see that this mainly goes to higher incomes: people who earn twice as much as twice as much and work in health care receive money, and people with the lowest incomes get no money. To give you an example: if you are helping or caring and you earn €13 per hour, you have a net income of €1,800. An average rental house in Utrecht alone costs €1,300. You just see that we should meet much more in the basic needs of people who work in care, especially those on lower incomes. How does the Minister feel about that?
ParlaMint-NL_2021-10-28-tweedekamer-10.u136	I have just had this debate with Mr Hijink, in any case, in an interrupting debate. We had this debate very, very, very extensive in a general discussion a few weeks ago. On the contrary, I think it is a really good idea to see if we can use the extra money we make available on top of the oval contribution, which is available anyway to conclude a good collective agreement, to close the gap with the other collective agreements in the public sector and the market sector. That's been investigated. A number of passages are also devoted to this in the ESC opinion. This opinion included a study which also showed that, particularly in the medium-sized sectors, the gap with the market and other salaries in the public sector is greatest. The additional 675 million for next year, which is structuralally above the 1.6 billion already available, therefore offers employers and workers in the care the possibility, in particular for those mid-scales, of entering that gap with the rest of the sector in order to do something extra. That's very nice. What is also true, of course, is that there is a need for a good collective agreement for everyone in the care at all. And that is exactly what the sector is trying to do at the moment, at least. It's not easy, but it has to be. So I think this has been a legitimate choice. It was the task of the General Political Reviews and we have given substance to it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u137	Indeed, we see a gap between what the market offers and what the government offers. We also see a gap precisely in the lower incomes, at the lowest incomes. You can also look at another major problem, namely staff shortages and scarcity. On the contrary, we can see that the deficits in the worst paid sectors are greatest in the care sector. That's nursing care and home care. We also know that pay does play a part. It is not the only element, but it plays a part in making working in care more attractive. I shall now start again, because we do not yet have the solution to this problem. As far as GroenLinks is concerned, the most important thing is that people at the bottom of the incomes that work in the care sector are indispensable and that we should take good care of it. We're understaffed. I would therefore like to ask the Minister again: if he looks through these glasses and has this amount available, should we not make another choice?
