ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u67	Well, maybe I'll have to go through my questions in a moment, because you've asked this question before. Of course, I'd be happy to answer that. I think that Jesse Frederik raises two issues in his article, both of which I would like to discuss with you. One is about people getting money when you'd think they shouldn't have gotten money. I think that in the past period I have always discussed with the House of Representatives, but certainly with your Chamber, that we want to be generous, that we want to maintain a high speed and that we also want to work in a way that ensures that people get out of trouble as quickly as possible. This means that I have also said before that money goes, or can go, not necessarily deliberately, to people who are not entitled to it. It could be the other way around. The speedy approach may also mean that someone who does have a right will not get through that light or first test at first. We know these situations, too. I do not know all the individuals mentioned by Mr Essers, but there will certainly be people who have wrongly received €30,000. There are also people who may not get that money until later. But it is of course important to know where that is in line with what we have seen before. Have we seen in advance that that could happen? That's right. We have just said that some compensation also takes place for people who, for example, have received such a label o/gs, intent/great debt. Recovery may have been justified in itself, but we can often no longer see whether it was. We can often no longer see whether this label has been given rightly or wrongly. Our research has shown that, in 94% of cases, we are unable and unable to find it anymore. That's why someone who has such an o/gs label gets compensation from us automatically. So there is a percentage of the group of people who are reporting to us that money can be received, so I am not saying that this is always happening, which we think should not have happened afterwards. We have communicated in advance, including to your Chamber, that that percentage is between 2% and 10%. So far, we're about at that 2%. So we know that there are cases where this is the case. That can be the case if someone is part of such a CAF case, or in case of such an o/gs or something else. But we are very strict when we look at people who, for example, have had a criminal conviction or a fine. That is also one of the themes covered in that book. They are not dealt with automatically, but they are examined carefully first. So this story is based on trust. That's in line with my intro. We are not blind to fraud signals, but we realize that there will be people who will get money even though they may not be entitled to it. Another theme that Jesse Frederik describes in his article is the issue that is much more about the comparison between this recovery operation and other government recovery operations. I actually think that's a theme that belongs more in your room. That is the question of whether we are much more generous here than elsewhere and what lessons we draw from it. I think that another government should think about that too. Perhaps further contemplation will be needed in your Chamber as well. Because yes, we have chosen in this recovery a route that is about being generous and wanting to listen to the story of the parents. We're not going to check everything again, all the receipts, all the situations, because it's often a long time ago and it's not at all to be expected that someone still has all that information. We're gonna check it out. This means that, in some cases, we actually give too much compensation. Once again, however, we have deliberately opted for this approach. Another issue is what we learn from it for possible other recovery operations in the future, which I hope will not be too many. Again, there must be further discussion on this.
ParlaMint-NL_2021-12-14-eerstekamer-8.u68	Finally, Mr. Essers.
ParlaMint-NL_2021-12-14-eerstekamer-8.u69	Thank you for this answer, but it doesn't comfort me at all. I understand that, of course, in the rush and in the enormous complexity, things are falling apart. I think that these examples are serious enough. Jesse Frederik even says that the residents of the village of Ivanski, who are known for the famous focal point documentary about Bulgarian fraud, can report as a duped of the supplementing affair because they have a stamp on / gross debt. Well, that may be a bit charged, but I'm asking this question to the Secretary of State. Is there a time when those cases, which we later find should not have been eligible for the €30,000, will be restored? If we let that go, it will be extremely bad for people to realise that we live here in a rule of law. We need to compensate the parents who have suffered real damage as quickly as possible, but I also believe that it should be restored to a rule of law if it is demonstrated afterwards by parents that they were not eligible for the €30,000.
ParlaMint-NL_2021-12-14-eerstekamer-8.u70	The question is very clear and, of course, we have considered this issue very carefully in advance. We have said: if we give someone €30,000, we will never recover it. The importance of this is that we want to provide security. If we give an older €30,000 and say, "If it turns out to be wrong afterwards, then we will recover it again," then we will do to these people exactly the same thing that caused them to get into trouble in the first place. We have therefore said very consciously in the recovery operation: we accept a certain degree of overcompensation to people who are not really entitled to it or who are not actually entitled to it, otherwise we will find ourselves in a situation where we are going to recover money again. It has been very consciously chosen in this organisation to help these parents as quickly as possible, in the context of speed and in the context of generous help. So we will not do that, but of course people will no longer be eligible for additional compensation, because that would be wrong.
ParlaMint-NL_2021-12-14-eerstekamer-8.u71	The most commonly used words of the Secretary of State are, I believe, 'fast' and 'careful'. Now it's a bit difficult to quantify, but I think speed can be quantified and I haven't heard of it yet. Are we talking about a ten-year plan here? Are we talking about solving the problems within a year? Within what timeframe should we imagine that the problem as a whole has been resolved?
ParlaMint-NL_2021-12-14-eerstekamer-8.u72	That is a good question, because every day and every week people report to us as victims of child care problems. This means that people need to be helped every week. Some of the people who come forward do not appear to be eligible, but some of them do. We also know that we have to work with children, with ex-partners, with the people who are suffering from the care or rent allowance or the child-related budget, and with parents abroad. So we're not done. If you ask me exactly when we're done, I can't say. I do not expect it to last another ten years, but I do think we need the time to ensure that we do indeed continue to carry out this very serious problem until the last person has been helped.
ParlaMint-NL_2021-12-14-eerstekamer-8.u73	I hear the Secretary of State say that there are still new problems. But on the basis of what is now going on, I think it should be possible to make a timetable of this kind.
ParlaMint-NL_2021-12-14-eerstekamer-8.u74	We've done that before. We've indicated how many people we're helping before the end of the year, how many people we can help in the first quarter. But we have also said in the context of the review: we want to see if this method will help us to speed up. If we were to continue at the current rate, we would still have a few years to go. But we want to see if we can somehow shorten that. That's what we're gonna do. That's why we're doing those execution tests. Then I can tell you more. For now, we know what we're gonna do this year, those 8,300 parents we've already announced. And for now, we know that in the first quarter of next year, we're going to help the first thousands of parents again. But I can't give you an exact deadline right now. I shall now turn to the questions raised by Mr Essers and Mr Schalk. The question was, how are things going with the progress? I've already said more about that. It was about those supplementary arrangements. You asked whether we should not wait until these new arrangements have been put in place to compensate those parents. I think that is a complicated issue, because of course we want to ensure that these new arrangements do not, in any case, cannibalise on the implementation of the recovery of parents. But to wait, perhaps a few more years, with helping children and ex-partners, which I just said weren't the applicants at the time when people were together, and waiting to help people who have been duped by other fees, I wouldn't like that. But it is important, and in that respect, your Chamber is very much in line with what the House of Representatives considers important and what I personally consider very important to see on the basis of good execution tests what could possibly be done together and not what should be done by the Implementation Organization Recovery Fees, i.e. by the Tax Administration. What could possibly be done by other implementing organisations? How can they still help? The House of Representatives has an express wish for this too, for example in the implementation of the child regulations. But it seems very undesirable for these groups to do it all on a temporary basis. I find that very undesirable. At the same time, it is, of course, good to ensure that it is not at each other's expense. I would then like to move on to Mr Ester's questions. He asked: what are the most important bumps to be taken in the context of recovery? I think we've got a couple of bumps in the picture. There is, of course, a large group of people that we still have to help and that we still have to get the full assessment. We want to see how we can make sure that we can help people faster who are probably not eligible for more than €30,000. We want to ensure that we guide people who are not eligible at all to the right place. At least we want to make sure they don't stay in the process with us. We also want, of course, to ensure that the delays we are seeing at present in the case of objections and in the case of the Committee on Actual Damage are resolved as quickly as possible. We've taken all kinds of steps to do that. At the same time, we also see that there is still a lot of work to be done. We see that this personal and careful approach takes time and we also see that additional arrangements are needed. The Kinderombudsman sent me a letter yesterday and said: get on with the child arrangements, because we see that there are a lot of children and especially young adults; most of the effects have arisen with the children who are now older, who are in their early 20s or mid-20s; make sure that you can actually do something about it. That means we still have a lot of work to do to make that recovery happen. I would then like to ask Mr Vendrik and Mr Ester about the legislation. Mr Vendrik asked: what would you like to do with the law on the delegation provisions, which is in the House of Representatives and which has not yet been voted on? This is a subject that, I think, belongs very much in this Chamber. This is about the form in which you bring together the regulation in the context of recovery. In recent years, I have chosen to work very clearly with the idea: I want a basis for helping people as soon as possible. On the basis of the opinion of Mr Donner and his committee, we have begun to make a law. We have always complemented them with policy decisions to ensure that we are able to implement several new regulations. The Council of State has said that Mr Ester also referred to what he really no longer wanted. You need to bring that together in one legislative proposal, a legislative proposal consisting of an existing law and the addition of the policy decisions that are already in it, and you need to ensure that any new regulations, for example for children and ex-partners, are included in that law. I agree with the Council of State. I have therefore indicated in the House of Representatives that I intend to make such a law, i.e. a comprehensive law in which the construction of recovery is indicated. But I need some time for that, because that law still needs to be written and it must then be submitted and dealt with in the House of Representatives and, of course, here too. I was worried that we would be able to implement such a child scheme in time. Nor do I want to work with policy decisions, because of which the Council of State has rightly said that it is a very short-sighted way of regulating this area, in which Parliament is not mentioned at all. That is why I said: let me try to make a law that allows me to make AMvBs, which I can use in anticipation of that legislation. This law is meant to be a safety net, not a law that I actually want to use. I prefer the integral law, but if we get into trouble before then, I'd like to start anyway. That law is now in front of the House of Representatives. We're waiting for the treatment there. He'll come this way if it's okay. As far as the criticism of the Council of State is concerned, I have discussed it extensively with them. I am mainly trying to overcome it by making that one all-encompassing recovery law. It will probably be able to be dealt with in this Chamber in the course of next year. I shall now turn to Mr Van Strien's question on the timetable. It's already been answered. Mr Vendrik's question on the derailment of the trias politician. I tried to say something about this in my introduction. The essence is that there are still many lessons to be learned. Some of them have been drawn as a result of the parliamentary questioning. The cabinet sent a comprehensive letter on this subject. Further investigations have then been carried out, including from the case-law. There is a very readingable examination by the Council of Justice. The Council of State has also looked at its own role. I understand your room is also going to look at the role you played there. Again, of everything we can learn, it is important to bring forward the lessons that are not so much related to the way we make or implement laws, but to the way we work in this country, namely: if you make something and then start doing something, then make sure that you speak to those for whom the policy is intended and continue to evaluate it. Moreover, this is also stated in our cabinet response to parliamentary questioning together with the people involved in the implementation. I am referring not only to the Tax Administration in the case of surcharges, but also to people in the judiciary. For example, I have agreed with the Court of Justice to discuss with the courts, once or twice a year, with the judiciary, what they see going wrong in practice with regard to supplementing legislation. Mr Ester asked how I judge the Council of State's self-reflection. As very important and very good. It is also good to see that the council also makes it clear: what went wrong with us, what happened and how are we going to ensure that we do not let that happen anymore? I think that is a very important subject. But again, I think it is important that everyone who is involved in this should do so, because there are expensive lessons to be learned. Mr Van Apeldoorn's question is whether I agree that we should get rid of the supplement scheme. Perhaps there is something about this in the same piece that has been referred to a few times today and which will be presented tomorrow. I personally think it is very important that we should say this to the cabinet as it has said before, saying goodbye to the supplement system as it is now. I sent a report on this matter to you in December last year, i.e. a year ago, which clearly sets out the possibilities for doing so. We shall see the intentions of the new cabinet. But it is clear that the current system is not doing the right thing and, more importantly, is putting a lot of people in trouble to this day, despite everything we do to prevent it from happening. Then there was a question from Mr Vendrik about the connection with the FSV, which has already been partly answered by my colleague. You asked about the people who FSV did not have access to friendly debt relief. Some of them concern parents who are known to us as part of the recovery of the allowances. What is important is that of the small 50,000 people who have reported to us, about 10,000 also have an FSV registration. On the basis of our recovery schemes, we can help people who did not only have an FSV registration, but are also affected by the childcare allowance. That's about 3,600. For those who are not yet able to help, it is important that we look at this together, above all, whether there has been damage and what compensation arrangements are needed. But that is something that needs to be worked out in the near future. Because if you're disabled from the childcare allowance and didn't qualify for, for example, the Msnp or you're already in legal debt relief, then our arrangements are for supporting you. Those were the questions I got.
ParlaMint-NL_2021-12-14-eerstekamer-8.u75	Thank you, Secretary of State. Then we now come to the second term of office. I give the floor to Mr Vendrik on behalf of the Group of the Greens/European Free Alliance.
ParlaMint-NL_2021-12-14-eerstekamer-8.u76	Thank you, Mr President. I would like to thank the two directors for their reply. In my case, it was a lot more generous than in the last General Financial Reviews. Yeah, I'm easy to glue, too, I'm just saying to the Secretary of State for Finance. So that's okay. Mr. Chairman. However, a few points for this second term. The Secretary of State will return to my request for an annual tax avoidance report. I have also looked at the state of affairs of what he sends annually to the House of Representatives. I understand that this mainly controls withholding tax and rulings and that this may be extended to, for example, ATAD 1 or 2. Let me put it in my words. I am actually looking for an annual report that takes a broad view. I refer to the national policy agenda, international relevant developments, such as OECD, BEPS, etc., standing policy, possibly new options for policies that arise, which the cabinet is thinking of, which are being researched, suggested by outside organisations. That's, like, the policy agenda. That needs a good wrap-up: what's good, what's not good, what's good, what's not good? A data and research leg should also be attached to this. That is box 2, where new data, new data that becomes available, for example from country-by-country reporting or CPB-studies are involved. New data from the CBS can also be involved and made relevant to the current policy agenda. Perhaps we could also consider deepening research which is being deported or planned or which has already been carried out, etcetera, etcetera. In short, also the recommendations made by Ter Haar I and II on this point. As dessert, I would also like to establish a relationship with everything that will be done by the Cabinet on the basis of my motion adopted by the AMvB on money laundering. Well, I'd appreciate that kind of annual report in the spring. Could that be possible? Mr. Chairman. I would also like to see a little more precision in replying to the Wiersma package in the second term. Is that really enough to reach out to the people most affected by this energy bill increase, people with energy poverty? Are they really achieved with this package or is it a little less bad again, but has the problem not yet been solved for those people? Mr. Chairman. I missed something in the Secretary of State's reply when it comes to phasing out subsidies on fossil fuels. Let me say that the answer on that point was a bit fluffy. To be honest, that also applies to the answer of the Secretary of State to my questions concerning the legislative proposal on mismatches. It is good that this step is taken, but there are a few crucial choices in this tax avoidance not blocking, but almost legitimising. We are talking about the starting date, the type of loans that have been brought under the bill and the capital injections that have not been brought under. These are sensitive choices which free some of the tax-negligent groups. We know the examples. So I think that the Secretary of State is really allowed to do something more in his reply, because I did not think that it was sufficient. Then there is my most important point. This concerns the extension of the first disk Vpb. We can find out what we think about corporate tax. Whether it should go up or down, whether it's a pinching load or not, I'll leave that for a while. I make the point from the First Chamber that it cannot be the intention in this House, in this House, to launch a proposal for a tax facility that encourages tax avoidance. We have serious suspicions of that and the Secretary of State confirms that. He feels wet and he's gonna do more research. He's also been alerted by his own officials. If that's the case, we're not doing something right. Then we don't help entrepreneurs who work hard and make beautiful products and keep the economy running, but then we help companies that split up businesses purely for tax-driven reasons and thus gain a tax advantage. That can't be what this is for. It is also contrary to the agenda advocated by the Secretary of State in his first term of office, namely that he wants to combat forms of tax avoidance, because it affects fiscal morality. But, Mr President, this proposal is now in the Upper House in full disclosure. The Secretary of State refused to do anything about this in his reply. So I honestly feel entitled to file the next motion. The: Mr Vendrik, Mr Crone, Mr Van Apeldoorn, Mr Prast and Mr Van Rooijen proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the extension of the first disc encourages Vpb to enter into constructions in order to reduce the tax on profits;]] [[considers that this is undesirable;]] [[calls on the cabinet to send a proposal to Parliament this week to reverse the extension of the first Vpb disc on 1-1-2022,]] [[and goes to the order of the day.]] [[She's getting No. kst-35927-H]]
ParlaMint-NL_2021-12-14-eerstekamer-8.u77	I'm also looking at my friends on this side of the room. I am not talking about the political debate on the tax on profits, but it must be worth something to make it clear to the cabinet...
ParlaMint-NL_2021-12-14-eerstekamer-8.u78	Your speaking time is over, Mr. Vendrik. Mrs. Geerdink, go ahead.
ParlaMint-NL_2021-12-14-eerstekamer-8.u79	Mr. Vendrik wasn't looking at me, so I guess I'll just have to do it this way.
ParlaMint-NL_2021-12-14-eerstekamer-8.u80	You have the floor now, so go ahead.
ParlaMint-NL_2021-12-14-eerstekamer-8.u81	The question is whether this appeal, this motion is not actually an amendment via the back door and whether we should go along with it as the First Chamber. I'd like your reflection on that.
ParlaMint-NL_2021-12-14-eerstekamer-8.u82	Amendment is reserved for the Lower House. There are points in the fiscal package that the cabinet has put here in the First Chamber, all of which I have different views on, but I leave them to the Lower House. This is another point. We say that the First Chamber wishes to take a special look at legislation which is permanent and enforceable, which also does justice to what is supposed to happen in society. We have here a provision in the tax on profits that promotes tax avoidance, and that is also recognised. Then the First Chamber would do well to say that this is not the intention. I have put it very broadly; I call on the cabinet to make a proposal by means of this motion not to go down this road. That gives the cabinet room to give further details on this motion.
ParlaMint-NL_2021-12-14-eerstekamer-8.u83	Thank you. I call Mr Van Apeldoorn on behalf of the SP.
ParlaMint-NL_2021-12-14-eerstekamer-8.u84	Mr. Chairman. Would you mind if I made another final comment?
ParlaMint-NL_2021-12-14-eerstekamer-8.u85	Oh, I thought you were done. Excuse me. Your speaking time is well over. You requested it yourself. It was 4 minutes and you're almost at 6. If you can finish very briefly, please.
ParlaMint-NL_2021-12-14-eerstekamer-8.u86	Mr. Chairman. My final point concerns feasibility. We read in the newspaper today that the new coalition agreement presented tomorrow has not been or has not yet been passed on by the CPB. I leave that on the other side, but I can assume that this Secretary of State has insisted on the formation of the parties, if not offered that the whole fiscal agenda, which is part of the coalition agreement, will be properly tested for feasibility. Is that the case?
ParlaMint-NL_2021-12-14-eerstekamer-8.u87	Thank you. Mr. Van der Linden.
ParlaMint-NL_2021-12-14-eerstekamer-8.u88	I would like to ask Mr Vendrik about this motion. This proposal to increase the lower level at the lower rate is good for SMEs and for those who benefit from it. Mr Vendrik points to evasive behaviour. In practice, how does he see such an extension or reduction of the tariff for himself without avoiding behaviour? If you adjust those percentages, can't you always be pushed? Isn't that inherent in extending a disc like that?
ParlaMint-NL_2021-12-14-eerstekamer-8.u89	This debate also took place last year, albeit slightly less large, in this Chamber and across the street, because that extended disc was announced for 2022. In the meantime, there is clear information available that this most likely encourages constructions. Then I would say that it is not a sensible proposal from solid legislation. And then there can be all kinds of ideas about how to organise tax relief for companies in a different way. I'm gonna leave that for a while. My motion says that we should stop doing this when we find that this disk extension is causing undesirable behavior on a large scale. That is what this motion is about.
ParlaMint-NL_2021-12-14-eerstekamer-8.u90	Thank you, Mr. Vendrik. I call Mr Van Apeldoorn, on behalf of the SP. Mr. Vendrik, would you hand the motion to the messenger? Otherwise we won't be able to process it, and that would be a shame.
ParlaMint-NL_2021-12-14-eerstekamer-8.u91	Did you say "Mr Van Apeldoorn of the SGP" or did I get that wrong?
ParlaMint-NL_2021-12-14-eerstekamer-8.u92	No, you may have taken it that way, but it's the SP.
ParlaMint-NL_2021-12-14-eerstekamer-8.u93	You don't make that mistake every time. The SP, anyway. Thank you, Mr. Chairman. Thank you to both Secretary of State for the answer, which is indeed more detailed in my case than last time with the Minister. That doesn't mean all the questions have been answered. To begin with, I would like to come back to the dividend tax. I and Mr Vendrik had an interesting debate on this with the Secretary of State. The Secretary of State says that there is now new thinking and new politics. He says, "We're no longer going in that race to the bottom. We don't really want anything to do with that anymore." But then there was the plan to come to an ultimate attempt to abolish the dividend tax in the injury period of this triple-demissionary cabinet. Then the Netherlands would have joined the little illustrious or notorious list of a few countries that do not tax dividends. I think that's what you're gonna do in the race to the bottom. This raises the question, as with the Group of the Greens/European Free Alliance, to what extent the cabinet really means with this new thinking, with this new policy, with regard to tax competition, tax avoidance and business tax. Are you sure that advanced insight is going to go deep? I also had that little debate about the attractive investment climate and how the Secretary of State defines it with regard to the Vpb. As far as the extension of the first disc is concerned, I fully agree with what Mr van GroenLinks said, which I think is all very well put. We also wholeheartedly support his motion. But that actually enhances the feeling I just described. The same applies to the legislative proposal on mismatches. No misunderstanding, we are very happy that the bill is there, but the arguments of the Secretary of State why it started as of July 2019 instead of 1 January 2017 really do not convince. It is said that it cannot reasonably be assumed that companies could already know at the time. And that while there was already a BEPS report on this in 2015 and this form of tax avoidance was already under discussion. I would also like to remind you that there are also a number of forms of double non-taxation which have been deliberately excluded from the legislative proposal. I said this in the first term, but the Secretary of State did not go into it. Maybe he can reflect on it briefly. I quoted Professor of Tax Law Jan van de Streek, who says that for that reason it is a wash nose. I also said that, apart from the BEPS report, the avoidance of taxes in itself is very undesirable in society. So companies that are guilty of this should not assume that there will never be any legislation in this area. That is why I find the answer given by the Secretary of State to this question to be unconvincing. I hope that something can be done about it, at least by the new cabinet. Because we're just gonna see that there are loopholes in the law that need to be closed. So there is still a long way to go in the area of tax avoidance, so I hope that the successor of the Secretary of State will continue along that road. Thank you, Mr President, that's it in my second term.
ParlaMint-NL_2021-12-14-eerstekamer-8.u94	Thank you, Mr. Van Apeldoorn. Mr Van Strien has the floor on behalf of the PVV.
ParlaMint-NL_2021-12-14-eerstekamer-8.u95	Thank you, Mr. Chairman. I thank the Secretary of State for answering the questions. Unfortunately, it was largely evasive, in so far as the questions have already been answered, referring to the plans of the new cabinet which we do not yet know, for which I am holding my heart. Unfortunately, I do not see any way of getting a reasonable answer from this Secretary of State to a number of fundamental questions. Mr Vijlbrief has even made it clear that we do not have to expect these answers even after the second-term questions have been repeated. I am therefore not going to repeat them with mention of my disappointment. On one point, however, I make an exception. That is that I have co-signed and will co-support the motion that Mrs Prast is about to table on box 3. Thank you.
ParlaMint-NL_2021-12-14-eerstekamer-8.u96	Thank you, Mr. Van Strien. Then Mrs Prast has the floor on behalf of the Party for Animals.
ParlaMint-NL_2021-12-14-eerstekamer-8.u97	Thank you, Mr. Chairman. Thank you also to the Secretary of State for his answers. I said yesterday that I had high expectations of the level. On the whole, the Secretary of State did not disappoint me in that respect. Thank you for his unexpected mediatorl in the discussion with Mr Schalk; I do not see him for a moment. Of course, I was not always happy with the content of the answers. The Secretary of State's assertion that an extra low VAT rate would be as complex, at least as I have heard it, as income-dependent rates and surcharges, I dispute. I would point out that quite a few EU countries even have three low rates. Mr Van der Linden and I understand that the Secretary of State has already asked the Tax Administration to prepare for an extra low or even zero rate, for which I thank you. The motion previously announced is therefore superfluous and we will not table it. Then the protection of savers. I have already mentioned in my first term that my group is even more concerned about this because employees will be entitled to take up 10% as lumpsum in January 2023, if it goes well. I have checked how high the average amount will be that employees will take in if they do all that. That's $28,000. We shouldn't think about them taking them to the stock market because they think that's what you should do. There is a hurry to put an end to the levy on savings. We understand that an overall change takes time, but we are only asking for the rate of return on savings to be set at zero and also for as long as the rate of return on savings is lower than the fictitious rate of return. Of course, the real return on savings is now negative. Then I'll come to the motion. I'll read it to you. The: Mr Prast, Mr Van Strien, Mr Koffeman, Mr Nicolaï, Mr Van Apeldoorn, Mr Vendrik and Mr Crone proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas continuation of fictitious returns is poorly related to financial consumer protection policies;]] [[whereas the AFM warns that more than one third of retail investors take risks in financial markets with money that they can't miss now or later;]] [[Whereas, according to the AFM, many of them may face serious financial problems;]] [[Whereas employees will soon be able to take up 10% of their pension capital as a lump sum at pension date;]] [[calls on the Government to put an end to the taxing of assets held as savings on the basis of fictitious returns as soon as possible,]] [[and goes to the order of the day.]] [[She's getting No. kst-35927-I]]
ParlaMint-NL_2021-12-14-eerstekamer-8.u98	Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u99	Thank you, Mrs. Prast. I call Mr Van Rooijen on behalf of the 50PLUS Group.
ParlaMint-NL_2021-12-14-eerstekamer-8.u100	Mr. Chairman. I shall begin by saying that I am very pleased to hear the answers from the Secretary of State, who have not yet been given in the first term, but are still coming in the second period. There is a cabinet after nine months of hard labor and I am now in happy expectation today. Mr. Chairman. I had not received an answer to the full speech. Apparently, the questions were a bit bull's-eye too, perhaps in the middle of the bull's-eye, which led the Secretary of State to be tempted not to comment at all. I told you before, I'm not asking what's in the coalition agreement. But on the basis of what is now the case with income policy, with age discrimination over the past many years, I ask the Secretary of State what he thinks of that. I'm not going to repeat what I meant by age discrimination. I have indicated this in detail. Of course, new clouds, which I mentioned briefly, are threatening even in the event of interruption. Mrs Prast also mentioned them, I believe: the AOW tax system and the unpaid wage we already had. In particular, the house could also be housed in box 3. Old people get hit hard. Of course, I am not going to say anything about the coalition agreement as it now appears in the media, because I do not know it. I read in the media a bit that it has already come out sweetly, but not yet the acid. I'm sure I'll make a prediction: the sweet will go to the workers and the acid to the AOW'ers. The past is a clear example of this. Of course, I would not have maintained that argument if inflation had been 1.5%, as on average over the last ten to fifteen years. Now we have a flying inflation in a few months. In two years, 2021 and 2022, we have to count on top-level inflation of one percent or eight and yet on average at least twice 3%. Then, of course, the non-indexation of pensions is a dead end, especially for people with a small pension. If you have a pension of €10,000, you already miss €2,000, i.e. 20% missed indexing. That goes very quickly to 30% missed indexing. That would be a third, i.e. even €3,000. That happens in two years, because of that high inflation. The AOW is being increased, but is far behind due to the system we have on the basis of the Mrs, the CEP and the estimates. Formal inflation now leads to the AOW being increased by €36 per month in two tranches in one year. That is 3%, but much less so than an inflation rate of 6%, 7% or 8% in those two years. That is why we believe that something needs to be done. I have already indicated in the debate that we actually believe that there should be a one-off additional increase in the AOW benefit, because the elderly are most affected. They don't get a raise and their pension's been frozen for a long time. If the AOW reacts slowly, the fall in purchasing power is almost no increase in income, but a huge inflation thump, very heavy for all those people with a small pension. I would like to point out that I have said this before, and I myself was shocked by the fact that the median pension in the healthcare and welfare sector for our hard-working care workers is €8,000 gross. That's €640 gross per month, next to the AOW. €640 gross next to the AOW! for people who have worked in care for 40 years. My sister didn't work in health care. She has been a teacher in primary education and, after 40 years, has a pension of slightly more than the median in care. I believe from €9,000 or €10,000. 40 years in primary education, never absent and hard work in a difficult disadvantaged neighbourhood in Amsterdam. I'm talking about those people. Not about my sister, but about people with such a small pension, of $600. Or much less, because the median means that half is below the €8,000. They have €3,000, €4,000 or €5,000. That's a few hundred euros gross a month. That's why I'm tabling the next motion. There's a Purchasing Power Arrangement. It is now €26 per month for all AOW'ers. I want to increase it by a limited amount, €200 per year. That amounts to €15 on top of that purchasing power meeting for AOW'ers we have. The: Mr Van Rooijen, Mr Raven, Mr Crone, Mr Van Apeldoorn, Mr Otten and Mr Vendrik proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that inflation in 2021 is significantly higher than the inflation forecast of 1.9% in September 2020;]] [[Considering that the government now estimates inflation in 2021 at 2,7% on the basis of the inflation explosion in the last two months;]] [[Whereas inflation is also expected to be higher in 2022 than the 1.8% increase estimated in the draft budget;]] [[Considering, therefore, that AOW's purchasing power is significantly lower than estimated purchasing power for 2021 and 2022 in the draft budget;]] [[Whereas, for the time being, the latest inflation rates and trends justify and require at least occasional compensation for the fall in purchasing power in 2022;]] [[calls on the cabinet to pay a one-off payment of €200 to AOW beneficiaries through the existing purchasing power meeting AOW in 2022,]] [[and goes to the order of the day.]] [[She's getting No. kst-35927-J]]
ParlaMint-NL_2021-12-14-eerstekamer-8.u101	Thank you, Mr. Van Rooijen. Mr Essers has the floor on behalf of the CDA.
