ParlaMint-NL_2021-05-20-tweedekamer-7.u1	I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u45	What I can look at is, however, I do not know whether we can simply have that information at our disposal, which Member States have asked the European Commission to amend their legislation because it is not in conformity with the directive. I could check to see if there's any information. If so, I can certainly send it to you. Some of the European legislation should have been transposed into our legislation, but that has not yet been done. The Commission believes that this will disrupt the level playing field in the Netherlands. We'll fix that with this law. We just have to do that. We don't have a choice. In addition, there are a number of issues which are reflected in the decision, in which some of the concerns come back. The Minister is still talking about this with the sector. No decision has yet been taken on this, which would then now be unworkable. This is a repair that we are making on the basis of the directive, which we, as the Netherlands, did not comply with, while some countries around us do. But I am quite prepared to see if we can find out which countries have been called upon by the Commission to amend their legislation if we have access to them.
ParlaMint-NL_2021-05-20-tweedekamer-7.u46	The discussion about all these types of oils and seeds, which are used for oil production, is complicated, but we can assume that anything that competes with the food supply is not good. In my information I have just found that in 2019 the Netherlands used even more than half palm oil for biodiesel. I just read that: half of the biodiesel production in the Netherlands in 2019 would consist of palm oil. Now I don't care whether it's palm oil or anything else. It's not all right, because we want to get rid of the whole biodiesel mix. But I just heard the Secretary of State say that the Netherlands does not use palm oil or soya oil to mix in biofuels. Then I wonder: what do we use? And is that share going to increase or decrease in the coming years?
ParlaMint-NL_2021-05-20-tweedekamer-7.u47	What Mr Madlener refers to is the residual flows of palm oil production. Those residual flows are used, but not the food crop palm oil. I think that's where the confusion arose. We were just asked to make sure that we keep a close eye on whether there is no suction effect, namely that you are going to produce palm oil peels or fatty acids for the incorporation. That was a concern of Mr Van Raan. In the Netherlands, therefore, there is no pure use of palm oil, but there are reflows from palm oil production. That's where the difference lies. It is important to clarify this, because otherwise there will be very wrong images of what we are using in the Netherlands. We must also be vigilant, I say with Mr Van Raan. We have to watch that with each other all the time.
ParlaMint-NL_2021-05-20-tweedekamer-7.u48	Well, there's a need for vigilance. What is certain is that it is not good if we increase demand for palm products from those countries. In the Netherlands few palm trees grow, at least not large-scale. So we are talking here about whether the Netherlands will contribute to a higher demand for vegetarian oil in the coming years. Is it going up or down? And for what crops does the question go up? Whether it's subfluxes or not, it's from palm trees. If we increase demand, by increasing the obligation to mix, then we will contribute to additional deforestation. What is the Netherlands going to do? What's it look like in a couple of years? Is it going up or down?
ParlaMint-NL_2021-05-20-tweedekamer-7.u49	We in the Netherlands have said that growth, as proposed in the Climate Agreement, must come from advanced biofuels and not from food crops. That's the deal we made. This is not going to attract additional palm oil, which Mr Madlener is talking about, because the growth comes from advanced biofuels, that is, from waste and waste streams. That's where we want to get the growth out of in the Netherlands.
ParlaMint-NL_2021-05-20-tweedekamer-7.u50	It is a huge amount of fuel that we produce and consume. So this is about such large quantities. You can't get it out of fry fat, can you? This requires production, often in countries such as Brazil, Indonesia, the Philippines, you name it. That's not a residual product, is it? It comes from its production.
ParlaMint-NL_2021-05-20-tweedekamer-7.u51	Mr Madlener, together with me, must make a distinction between palm oil produced specifically for biofuel in competition with food and palm oil which is already used for all these other products. Because it is in virtually everything, from ice cream to shampoo, all those products from which Mr Madlener may also enjoy some daily. Lots of products contain palm oil. Then it is extremely important that the production of that palm oil is certified, preserved. That's crucial, just because it's in everything. A residual stream of that palm oil, which we use in all those daily products, can be used to make biofuel. That is quite different from the fact that we are going to produce palm oil in competition with food, because that is what the Chamber rightly has concerns about here and which it would not want to see any growth in it.
ParlaMint-NL_2021-05-20-tweedekamer-7.u52	In conclusion. It's just about increasing demand for palm products. You do this either by mixing the reflows or by mixing the main product. I don't care if it's a by-product or not, because it increases demand and the use goes up. It's gonna turn around. Then the by-product has become the main product and the by-product goes into your soaps.
ParlaMint-NL_2021-05-20-tweedekamer-7.u53	But precisely from the discussion we are having here about food versus fuel, the distinction between main product and residual product is actually the crux. That's what it's all about. Now saying that it doesn't matter doesn't do justice to the discussion we're having here or to the fact that we're also very keen in the Netherlands on the use of fodder for biofuels. In addition, we need to be alert actually find the Party for Animals and the PVV each other here; that doesn't always happen, but in this case it happens on the question of whether there will be a moment when the residual product becomes more interesting than the main product. If you were, you'd be in the wrong place. But when you see how big the production of palm oil is for all kinds of other products and where it's all in, Mr Van Raan can explain that even better than I do; he's pretty much graduated from palm oil, I think you understand that you're also left with a huge amount of residual products. You can either dump it or burn it, or you can turn it into biofuels that replace fossil fuels. Because, of course, that's the replacement we have here. We have to keep looking at it under the line. I also appreciate the sharpness of the Chamber in this. If anything under the line doesn't work, we shouldn't do it.
ParlaMint-NL_2021-05-20-tweedekamer-7.u54	Speaking of sharpness, I understood that the Secretary of State had come a little to the end of her reply in the first term, and this also fits in with the discussion of the net. Because I had one more question open. I had pointed out that combating fraud was an important element of this legislation. I had asked if the Secretary of State could indicate how public and private supervision is given hands and feet, and I also asked for current examples. I haven't heard that yet.
ParlaMint-NL_2021-05-20-tweedekamer-7.u55	For example, we have really strengthened the role of the Dutch Emission Authority in the public oversight of the chain. So far, that has been mostly private supervision. We have strengthened public oversight through the Dutch Emission Authority to ensure that we have better controls on the actual substance of what is happening.
ParlaMint-NL_2021-05-20-tweedekamer-7.u56	That is only partly because I also saw in the note on the report that the Secretary of State is committed to extending public oversight at European level. What else is needed, and can we give examples of this? A concrete example is, of course, that there is no fraud with these flows.
ParlaMint-NL_2021-05-20-tweedekamer-7.u57	One of the issues related to certification is the question: who then checks the certification bodies? It is therefore a question of public oversight of the parties who are entitled to certify that a company certify a certain flow according to sustainable criteria? That is one such example of something that I actually think we should strengthen at European level.
ParlaMint-NL_2021-05-20-tweedekamer-7.u58	Rounding up. Do I understand from this that it is mentioned, also in a directive, and that it is a bit translated into Dutch law, but that the Dutch situation is not yet prepared for situations that may arise, as the PVV Group has just indicated?
ParlaMint-NL_2021-05-20-tweedekamer-7.u59	As a result, I asked again how the European Commission is doing this. It is a shared concern of the Chamber and Cabinet to remain alert and vigilant as to whether what we are doing really leads to an improvement. The Commission has a number of things to say about this. They've got those lists. Those lists shall also be updated at regular intervals. So these are lists of what's advanced, what's residual flows and what's residues. The question of whether you are reaching a tipping point can, of course, mean that something falls off such a list. That can play a role in such an actualization. The European Commission looks at the impact on the existing market, the risk of deforestation and the principles of circular economy. I can see if I can give some further information on this in the second term. If Mr Geurts wishes to have some more precise information on this, I will take care of it in the second period.
ParlaMint-NL_2021-05-20-tweedekamer-7.u60	If we have this discussion, with the large numbers of open ends remaining in this whole proposal, shouldn't the Secretary of State's conclusion be that this is just premature? Just consider the way in which the required amount for incorporation is, as it were, trivialized as "residual flows." It's about billions of gallons, you really want to do something with this. And then you haven't achieved your ambition yet. So the system isn't ready. Does the Secretary of State agree with me, at least in view of the stated ambitions? This means that you have to choose a different route to keep it feasible, feasible and affordable. Does the Secretary of State agree with me?
ParlaMint-NL_2021-05-20-tweedekamer-7.u61	Unfortunately, I do not agree with Mr Bishop. This is precisely what we are doing in relation to the current situation, in which biofuels are already being used, following European commitments and our commitments in the Climate Agreement to achieve the 49% target. We want to strengthen that guarantee. Mr Bishop asks: is that already ideal? No, it's not ideal yet. But it's an important, strengthening step. Some of the issues raised in the debate are covered by the law and are further developed in the decision. Mr Bishop is very familiar with this, also because of his good knowledge of the relationship between legislation, AMvBs and regulations. He also knows that we are going to talk about this further. This bill is really an important strengthening of the system that is now in place and offers a number of necessary steps to move forward, actually in the direction he is also setting out.
ParlaMint-NL_2021-05-20-tweedekamer-7.u62	That legal story will all be true, but I am concerned about the feasibility. If you want to take these measures, take these steps and try to imagine what more is needed, then I share with Mr Madlener that there is no other way than to increase the pressure on the market on the demand side, that the risk that rainforests will indeed be demolished for it, and that there will be a huge pressure on it to commit fraudulent acts, to improve it or to comply with it. But I am concerned about the practical effect of this. I would like to add a few more points, which I would like to add. I should look up the source, but Germany and Belgium are currently excluding inland waterway transport from the obligation to mix. Of course, inland waterway transport also has to meet certain requirements; they have their own ways of doing so. But these countries are acting differently from the Netherlands in relation to this sector. So you're gonna disturb the level playing field again. I would like to make these two points very clear.
ParlaMint-NL_2021-05-20-tweedekamer-7.u63	First things first. In fact, I hear Mr Bishop say that he understands that this legislation strengthens the system. That's what this law is about, too. But he has concerns about whether there can be sufficient monitoring of the total pool of biofuels that we are going to use with each other in the light of incentives that might be there. I would be able to follow Mr Bishop in that if we really were to put maximum, maximum, maximum effort on that biofuel. I've been reluctant to do that. We had the Climate Agreement map out what the potential would be for increasing the biofuels target to reach 49%. Mr Bishop also remembers that these were sometimes quite difficult discussions, because in industry, in agriculture, in the built environment and in transport, you have to take measures to achieve that 49%. An easy solution would have been to assume the maximum potential yield, of which the PBL said: you could fill it in through biofuels. That was about five megatons. We sat down on 2 just because I want that caution. In theory, I also understand that such a system can be created. If the pressure gets too high, fraud becomes extra attractive. This is therefore a sector in which we need to continue with cautious growth, avoid unnecessary commitment, and hence the emphasis on electrification, and in parallel we need to strengthen the guarantee of this whole system. That is what we are committed to in the Netherlands, and that is what I am committed to in Europe.
ParlaMint-NL_2021-05-20-tweedekamer-7.u64	The last words of the Secretary of State merely confirm what Mr Bishop says. Why do we start this already if we still have to do a lot of things? As I've already graduated from palm oil, I've graduated even more from certification of certifiers and residual flows. I would nevertheless like to try to see if the Secretary of State is inclined to hang out with Mr Madlener and me, and now with many others in this Chamber, on the following. The moment it becomes clear that the residual product becomes more important than the main product..................................................................................................................................................................................... Does the Secretary of State at least agree with us? If we show that, and there are already sounds in that direction, is the Secretary of State prepared to withdraw at least this part for that pfad and the like?
ParlaMint-NL_2021-05-20-tweedekamer-7.u65	As far as the withdrawal is concerned, the question is what you're moving in. Let me address Mr Van Raan. Mr Van Raan knows the commitment with which I am doing this work. I do that because I want to improve something. If there's really serious evidence that something is going to be counterproductive at some point, we need to get rid of it. It's as simple as that. I do think we're a trustworthy government. That is the point I wish to make. After all, we ask entrepreneurs to invest. So I think that if we come to the conclusion... we have done the same with the coal plants. I have been told a number of times that it was a D66 minister who thought at the time that these coal plants might be in the interests of the stability of our electricity supply. Later, we began to recognise that these were a major problem for achieving our climate objectives. We then came to a phase-out of it again, but in a way that did justice to investments that have been made. If Mr Van Raan says 'I think that is a good point, and we are going to look together for a carefully phased-out path', I can imagine. For the use of woody biomass for heat combustion, the Chamber has also adopted a motion asking for it to be looked at precisely from that perspective.
ParlaMint-NL_2021-05-20-tweedekamer-7.u66	Funny that the Secretary of State calls that example of woody biomass and the phasing-out path, because that path is something that is still not coming and is still not there. We are still spending 9 billion to 2030 on woody biomass. But thank you for the commitment that the Secretary of State is prepared to return to her steps when we see that things are going wrong. The thesis is, of course, that we already know that things are going wrong. So I'm still looking for what evidence the Secretary of State is looking for to make that turn with us.
ParlaMint-NL_2021-05-20-tweedekamer-7.u67	If we had the impression that it is not a residual product but a main product, that is actually the tipping point Mr Van Raan is talking about. And if we came to the conclusion that production along that road, where there really is land-use change, should fall under the same category as palm oil or soya oil, you would just have another discussion with each other.
ParlaMint-NL_2021-05-20-tweedekamer-7.u68	I have a question along the lines of the construction or the phasing-out. From the past, of course, we have also learned that by creating a demand, such as with our homes, which were equipped with gas, but also with our cars, which run on fossil fuel, we are creating a market and also a path dependency towards the future. Maybe the Secretary of State could take us into the path of winding down again? We have heard it from EV, but what about the other sectors? We have all said here in the Chamber that we see it as a transition fuel. So can the Secretary of State say anything about that?
ParlaMint-NL_2021-05-20-tweedekamer-7.u69	Yes. I believe that certain agreements have been made in the climate agreement. This also applies to the use of biofuels. These are also the objectives that we need to achieve together. Also in the context of the discussion I had with Mr Van Raan, I said that, of course, we must ensure that we continue to meet the objectives we have agreed on. Of course, the choices you make in it must be in tune with that great path that you want to fill out with each other. On the phasing-out path, I will have to come back in second place, because we simply did not agree on any specific dates for this. Of course, we have put an important dot on the horizon with the phasing-out or, in fact, the cabinet wants to stop selling new fossil fuel cars from 2030.
ParlaMint-NL_2021-05-20-tweedekamer-7.u70	I am particularly concerned about the following. Look, passenger transport is already electrifying. But I am particularly curious to see how we can ensure that we not only create a market but also offer a future perspective, especially to those sectors that are not yet electrified. It's fine if that comes in the second term.
ParlaMint-NL_2021-05-20-tweedekamer-7.u71	Fine. So much for the first term. The Secretary of State's gonna put it on an appetizer right away, so we're gonna get all those answers in second term. Is there a need for a second term for members? Yes, that's the case. That's the wrong answer, but okay. I would like to give the floor to Mrs Hagen from the D66 Group. Like everyone else, she has a third of the first-term time spent.
ParlaMint-NL_2021-05-20-tweedekamer-7.u72	Mr. Chairman. This is a really special day, of course. Beautiful, beautiful maiden speeches, for which much thanks. I have just indicated it in an interruption, but in my first term I have mainly pointed out that it is important that we also look at how we are going to reduce this again. We're about to create a market for this biofuel and demand it. I just want to build something that we can take down again. I welcome the somewhat positive response of the Secretary of State to my amendment. I think it is good to hear what the request for amendment is, so that it is clear to the rest of the Chamber which has already expressed its support. Compliments for the stakes on EV and the positive against factor 4. The faster we electrify, the less biofuel we use. That's it, Mr. Chairman.
ParlaMint-NL_2021-05-20-tweedekamer-7.u73	Thank you. Then I would like to give the floor to Mrs Bouchallichh van GroenLinks.
ParlaMint-NL_2021-05-20-tweedekamer-7.u74	Thank you. Thank you to the Secretary of State for replying. It has been discussed more often today and we do not want to use food for biofuel either. We have co-signed the D66 amendment on the eradication of soya. We hope that this amendment will receive a majority. We will also support the amendment by the Animal Party on the eradication of food. We too are in favour of encouraging the electrification of transport. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas electrification of the transport sector can use all aid;]] [[noting that the Renewable Energy Directive offers this possibility, both for road and inland waterway transport, using the multiplication factor 4 in the Directive;]] [[calls on the Government to apply the multiplier of 4 for electric transport, both for road and inland waterway vessels,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Bouchallichh.]] [[She's getting No. kst-35626-15]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u75	My next motion is about palm oil. I learned today that Mr Van Raan has done a study on this. I'm very curious about that. I would like to make a motion on this. Fortunately, many steps have already been taken, but we are still concerned about the by-products of palm oil. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that residues of palm oil are not phased out;]] [[Whereas these residual products are used as raw materials for other industries, which threatens to increase the demand for palm oil;]] [[calls on the Government to examine the negative effects of the incorporation of these residual products on the production of palm oil and, where this has been demonstrated, to take steps to prevent this,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bouchallichh and Mr De Hoop.]] [[She's getting No. kst-35626-16]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u76	When should that study be completed according to GroenLinks? We are going to vote on this and this is a rather essential part; we have just had that debate. Is this investigation a condition before we can vote on the law? Or can the Group of the Greens/European Free Alliance also express an opinion on this law without the investigation being conducted?
ParlaMint-NL_2021-05-20-tweedekamer-7.u77	I don't have a date for that yet.
ParlaMint-NL_2021-05-20-tweedekamer-7.u78	Okay. So that means that GroenLinks can also form an opinion on this law, in which that research is an important part, namely to see whether this law is sustainable or not. It could also turn out very wrong. That was an important debate with the government just now. But according to GroenLinks, we do not have to wait until we can vote on this law?
ParlaMint-NL_2021-05-20-tweedekamer-7.u79	I don't have an answer for this right now.
ParlaMint-NL_2021-05-20-tweedekamer-7.u80	Thank you. Then we will listen to Mr Van Raan.
ParlaMint-NL_2021-05-20-tweedekamer-7.u81	Thank you, Mr. Chairman. I would also like to say that I do know the Secretary of State as someone who wants to make the world a better place. That has to be said, but it is a law that raises the question on all sides whether you should start introducing it, because there are so many risks. For the sake of time, I won't repeat them all. Thank you for the commitment to continue the question to the Minister as to how much energy is involved in 4.7% of e-fuels for aviation. Thank you for the beautiful maiden speeches, again. We have heard that the risk of land use is increasing. We share Mr Madlener's analysis. There's fraud sensitivity. Mr. Chairman. This law is throbbing in a dead end. That is why we have tabled the following motions and the amendments we have tabled. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands does not have sufficient sustainable sources of biofuel;]] [[noting that the Netherlands is obliged to import raw materials due to this shortage;]] [[Whereas NGOs warn that the import of raw materials could contribute to ILUC risks and human rights violations and land robbery;]] [[calls on the Government to actively monitor these external risks and inform the Court thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the raw materials referred to in Part A of Annex IX to the Renewable Energy Directive may be used for biofuel per ministerial arrangement will be determined;]] [[Whereas not all the possibilities set out in Part A of Annex IX to the Renewable Energy Directive are truly sustainable;]] [[calls on the Government to attach a suspension procedure to the above-mentioned ministerial arrangement,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the use of woody biomass is not excluded for the production of biofuel;]] [[Whereas woody biomass presents a major risk of deforestation;]] [[calls on the Government to exclude all forms of woody biomass from use for biofuels,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the use of food and fodder for fuel is not a long-term sustainable option;]] [[Whereas the Environmental Management Act lays down that food and fodder may be used for biofuels;]] [[calls on the Government to phase out the use of food and fodder for biofuel as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan and Mr Bouchallichh.]] [[She's getting No. kst-35626-17]] [[This motion has been proposed by Mr Van Raan.]] [[She's getting No. kst-35626-18]] [[This motion has been proposed by Mr Van Raan.]] [[She's getting No. kst-35626-19]] [[This motion was tabled by Mr Van Raan and Mr Bouchallichh.]] [[She's getting No. kst-35626-20]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u82	That's it, Mr. Chairman. Thank you.
ParlaMint-NL_2021-05-20-tweedekamer-7.u83	Thank you. Then we're going to listen to De Hoop of the Labour Party's group.
ParlaMint-NL_2021-05-20-tweedekamer-7.u84	Thank you, Mr. Chairman. I'll be brief. I would like to table two motions because my group is concerned about the use of biofuels. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas biofuels produced from food and forage crops lead to the use of scarce soil and deforestation;]] [[calls on the Government to include in the Energy Transport Decision a phasing-out path for biofuels from food and fodder, so that they may not be used from 2023 onwards,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Hoop.]] [[She's getting No. kst-35626-21]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u85	I also have a motion on the impact assessment, which we asked for in the first period. This motion is co-signed by Mrs Bouchallichh van GroenLinks. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas sustainable biomass is limited and should not be subject to a disproportionate burden on the Netherlands;]] [[Whereas the use of biofuels in traffic, shipping and aviation planned by the Cabinet is substantial and its consequences have not yet been properly assessed;]] [[calls on the government to carry out an impact assessment of the expected increase in demand for biofuels by taking into account, if possible, the expected origin of biofuels in the government's government's policy (proposed) policy;]] [[Calls on the Government to forward this impact assessment to the Chamber for implementation of the Energy Transport Decision,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Hoop and Bouchallichh.]] [[She's getting No. kst-35626-22]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u86	Thank you.
ParlaMint-NL_2021-05-20-tweedekamer-7.u87	Thank you. Mr Grinwis from the Christian Union Group.
ParlaMint-NL_2021-05-20-tweedekamer-7.u88	Thank you, Mr President. Thank you to the Secretary of State for replying. Let's start with a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that electricity is much less often entered in the Energy for Transport Register (REV) than biofuels;]] [[Whereas administrative and financial thresholds make it difficult for small players in electric transport to enter electricity in the register;]] [[Whereas in Germany small players in electric transport may designate a third party to collect electricity aggregated;]] [[Whereas aggregated booking of electricity makes investments in charging infrastructure more attractive;]] [[calls on the Government to examine the possibilities of aggregated electricity booking in the Energy for Transport Register and to inform the Chamber of the results,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grinwis.]] [[She's getting No. kst-35626-23]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u89	This motion is actually part of the amendment that has created a possibility clause in the law. Mr. Chairman. One more point on inland waterway transport. The Secretary of State indicated that she is in conversation with the sector. Ah, the Minister! I hear the minister's gonna do that. Fine. Safety shall be actively monitored and monitored. Is the Court reported on these talks and on the safety of mixtures in inland waterway transport before the obligation to mix in inland waterway transport? The point is that we are not taking a step that is irresponsible. Then the final point. The Secretary of State addressed me at the megatons in the mobility sector and chose a new base year, namely 2005. Yeah, that's how I can do it. The base year generally used in climate country is 1990. And compared to 1990 emissions have still not fallen. This is the case compared to 2005. That's right, but first we made a spurt from 1990 to 2005. In this respect, it is not good with what we all emit when we move, with all that mobility. In my view, we agree on this and we agree on the need for it to be different and less. That's it, Mr. Chairman.
ParlaMint-NL_2021-05-20-tweedekamer-7.u90	Thank you. Another question from Mr Alkaya. Would you like to return to the cathedral?
ParlaMint-NL_2021-05-20-tweedekamer-7.u91	I actually have a question similar to that I just asked GroenLinks. Now I hear from the Christian Union that inland waterway transport is important. The minister talks about it and the Christian Union likes to hear what comes out of it. But it's pretty important what comes out of it, isn't it?
ParlaMint-NL_2021-05-20-tweedekamer-7.u92	Sure.
ParlaMint-NL_2021-05-20-tweedekamer-7.u93	Then we can form an opinion on what we have to decide. We're not gonna lay down the law first and then listen to what's been done with our concerns? Or is that order logical according to the Christian Union?
ParlaMint-NL_2021-05-20-tweedekamer-7.u94	We are indeed going to vote on this law, but at that time the obligation to mix inland waterway transport does not yet apply. It doesn't actually come into effect until after a while. Before it comes into force, I would like to hear the outcome of those talks on the monitoring and safety of these inland waterway vessels. What is the situation with regard to the supply lines, fuel tanks, moisture problems and the safety situation on these ships? Then I would like to hear whether it is justified to go into the mixing of biofuels in inland waterway transport at that time. I think that's a good order. So at the moment we say: wait a minute, we want to be informed as a Chamber before that mix-up has to take place.
ParlaMint-NL_2021-05-20-tweedekamer-7.u95	So it seems to the Christian Union conceivable that we should establish a legal duty here and then refrain from maintaining it, because it is not good, because it simply cannot? I think that's crazy. We have just asked the government with the SGP Group to rule it out. Some Member States do. I have that information, too. The Secretary of State could not confirm or deny that. They simply don't have that information. So it is now an option to completely exclude inland waterway transport. But for the Christian Union, that's not an option, I understand?
ParlaMint-NL_2021-05-20-tweedekamer-7.u96	Right now, we're not going that far. We have confidence... the Secretary of State has promised two things that we have asked for, namely that they will monitor it and that they will talk to the sector. At the moment, it is not yet on the agenda that this incorporation is going to take place. So I'd like to wait and see what's gonna come out of it first. I am confident that this outgoing cabinet will not send inland navigation with unsafe ships.
ParlaMint-NL_2021-05-20-tweedekamer-7.u97	Thank you. Then we are going to listen to Mr Madlener of the Party for Freedom Group. The floor is up to him.
ParlaMint-NL_2021-05-20-tweedekamer-7.u98	Mr. Chairman. I started this debate very sceptically and praised the newcomers for their new, fresh courage. And I have to say, I've become a little less skeptical. I started with the fact that twelve years ago, 2011 or so, I had some intense discussions here about biofuels, biomass and the burning of wood in plants. I was about the only opponent then, maybe along with the Party for Animals but then I can't remember. GroenLinks was very much in favour of doing so in the context of CO-neutral et cetera. In the meantime, we have learned from these mistakes. It has proved to be a huge mistake, but it has happened. I am now so afraid that we will have to put our policies back on track and say in ten years' time that this has led to enormous deforestation and rainforests. Then we're accomplices to that. That doesn't change the fact that I'm a little hopeful right now. A number of motions have been tabled which are very sceptical. Mr De Hoop has also tabled a fine motion on that point. So I do feel we're on guard. So we will support the critical motions. We are not going to vote for this European legislation, because we know that the use of vegetarian oil to burn is bad for the jungle and the world. So we shouldn't do that. And the PVV is in this Chamber to fight mass immigration and not to destroy jungle forests. We like to leave that to others. So we will vote against the law and for the critical motions. I thank the Chamber and the new people for their efforts in the right direction.
ParlaMint-NL_2021-05-20-tweedekamer-7.u99	Thank you. I call Mr De Groot of the VVD Group.
ParlaMint-NL_2021-05-20-tweedekamer-7.u100	Thank you, Mr. Chairman. From this point of view, I would like to congratulate my colleagues on their maiden speech and thank them for their fine words. I would also like to thank the Secretary of State for the answer and in particular for the question of HBE shipping and the possible administrative burden that this will entail. The VVD considers it important that we have a clear view of where the raw materials come from and, above all, how they are used in the context of biofuels. That's why I'm coming up with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is now not sufficiently clear how the use of renewable energy per final destination, and in particular maritime transport, develops during the year;]] [[Whereas such an understanding is desirable in order to be able to steer it in good time;]] [[Calls on the Government to examine the possibilities for a quarterly booking of supplies of renewable energy in maritime transport;]] [[invites the Government to examine whether the Dutch Emission Authority can report regularly, for example once a quarter, on the use of renewable energy per final destination and to take the impact on the administrative burden into account in both studies,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Peter de Groot.]] [[She's getting No. kst-356262-24]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u101	Thank you, Mr. Chairman.
ParlaMint-NL_2021-05-20-tweedekamer-7.u102	That was your contribution? Very good. Then Mr Bishop of the political group of the Reformed Party.
ParlaMint-NL_2021-05-20-tweedekamer-7.u103	Thank you, Mr President. Let me begin by thanking the Secretary of State for her commitment to answer the questions. The nature of the reply was not entirely satisfactory, I say immediately. All in all, the aftertaste of the handling of this bill and the discussion surrounding it at the SGP leaves a somewhat bitter aftertaste. We have a strong impression that the cabinet and the environmental movement are a little confused. Climate ambitions are increasingly being stepped up without too much concern about realism and its feasibility and affordability. The environmental movement is not too bad to say what they do not want. No nuclear power, for example. While I think, well, dot, dot, dot. In our opinion, the cabinet is also a bit rushed, including the application of additional Dutch cups to EU requirements. To keep it a bit feasible and affordable, much is expected of biomass. How it stands with that... Gradually, more and more eyes are opening. What about biofuels? How it stands with that... Exactly. You're not responding because nobody knows. What about CO2 storage? Well... Mr. Chairman. How durable is all this? Isn't this just running from incident to incident and hoping that you're doing some good things, even if it's undoubtedly with the best of intentions? There are serious doubts for us. That is why we say: opt for sustainable measures, and simply adapt your ambitions to them in complete sobriety, and take steps forward in this way. The fact that something has to be done is not the point of discussion, but the point of how. Finally, I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government intends to include inland waterway transport under the obligation to mix biofuels;]] [[Whereas incorporation of biodiesel may involve risks to marine engines and that no targeted investigation has yet been carried out;]] [[Whereas, according to the Cabinet Plan, inland waterway transport is confronted at once with the regular, high rate of matching and associated price risks;]] [[calls on the Government to carry out a short-term investigation into the risks posed by different types of biofuels for marine engines in inland navigation;]] [[calls on the Government, in consultation with sectoral organisations, to consider how the introduction of the obligation to mix inland waterway transport can be carefully designed and to inform the Court of Justice on this matter for the consideration of the proposed draft decision for the revision of the Energy Transport Decision,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bishop and Mr Alkaya.]] [[She's getting No. kst-35626-25]]
ParlaMint-NL_2021-05-20-tweedekamer-7.u104	Mr President, thank you very much.
ParlaMint-NL_2021-05-20-tweedekamer-7.u105	Thank you. The last speaker on the side of the Chamber is Mr Alkaya of the SP Group.
ParlaMint-NL_2021-05-20-tweedekamer-7.u106	Mr. Chairman. Whether this law will ultimately lead to the objective of contributing to combating global warming depends too much on things that are not clear today. Hence the motions we have seen today, on impact assessments, on further research, on discussions with sectors that are still taking place. However, we must already vote on a law in which we define ambitions and yet also a path. That worries me. I actually have a lot of doubts as to whether it will ultimately lead to a contribution to combating global warming, or perhaps even have a counter-effect. As a result, I do not think it is ripe enough to vote on it now. The decisions that follow have a huge impact on what the effect will be. If it is to come to this point that we are going to adopt that law as a Chamber, then I think it is important that sectors should not suffer from it. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is considerable uncertainty as to the incorporation of biofuels into inland navigation with regard to both safety and suitability as well as sustainability;]] [[Whereas enforcement and compliance on the biofuel supply chain is complex and should be avoided;]] [[calls on the Government not to maintain the obligation to mix inland waterway transport as long as safety, suitability and durability are not guaranteed,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Alkaya and Mr Bishop.]] [[She's getting No. kst-35626-26]]
