ParlaMint-NL_2021-12-01-tweedekamer-6.u1	Then we continue with part two of the budget for Agriculture, Nature and Food Quality.
ParlaMint-NL_2021-12-01-tweedekamer-6.u28	Then the goats.
ParlaMint-NL_2021-12-01-tweedekamer-6.u29	Yes. I actually have to think a little bit about the interruption that took place earlier today. So that question has already been answered. I would therefore like to answer this question in the same way. Read the report carefully. You will see that there are risks not only of pneumonia but also of the emergence of a new zoonoses in goat farms. The minister says we put public health at number one. If you do, you make sure we don't keep four times as many goats as we did ten years ago when we had the Q fever.
ParlaMint-NL_2021-12-01-tweedekamer-6.u30	Before I ask my last question, I say again: Q fever is a bacteria. That's a whole different thing. It was a terrible disease, of which many people are still suffering a great deal today. Lessons have also been learned from the Q fever. I am not going to go into the facts, because I had another question for Mrs Vestering. She said: we are committed to the plant protein transition and to supporting farmers who are going to produce vegetable proteins. If we do that for 17 million, or perhaps for billions of people, for the Animal Party, is that the biggest utopia of all how are those crops going to grow without animal manure? Sunlight and water is not enough.
ParlaMint-NL_2021-12-01-tweedekamer-6.u31	First of all, I will respond to what has just been said about Q fever, because I really do not think it is acceptable. There are so many people who are still suffering from Q fever. It's been ten years. You obviously learned little from it ten years ago, if you are still asking this question. I'd like to learn the lessons. I say put public health at number one. Then about the transition to vegetable food. It's nice that we're finally getting rid of the crazy food waster, the livestock farm. Then we can finally invest in Dutch farming on healthy soil, ensure that we work together with nature and that we can provide food for everyone.
ParlaMint-NL_2021-12-01-tweedekamer-6.u32	A small remark has just been made by Mrs Vestering that the CDA wants to go back on its feet and leave everything to the old. Then I would like to ask you what you have done over the past eight months, because I have been quite busy turning the Stevens around. How does Mrs. Vestering look at that? Does that make you optimistic, or does that leave you a little sour?
ParlaMint-NL_2021-12-01-tweedekamer-6.u33	I would very much like to see the words you have said about the fact that things may be different in agriculture also become true. I'm not at your table.
ParlaMint-NL_2021-12-01-tweedekamer-6.u34	You're not sitting at Mr. Boswijk's table.
ParlaMint-NL_2021-12-01-tweedekamer-6.u35	I'm not sitting at your table and I'm not sitting at Mr. Boswijk's table. I'll read some things in the paper and on the train. Then I'm very curious as to where this is going. It's not that far. Today we are talking about a budget of a cabinet that does not have a budget to solve the problems we face.
ParlaMint-NL_2021-12-01-tweedekamer-6.u36	Mr Boswijk's last interruption.
ParlaMint-NL_2021-12-01-tweedekamer-6.u37	It is true that the formation is still running. You may have read a little more than I have, because I haven't even read the whole part of the train myself. We have put forward quite a few proposals over the past eight months. I just mentioned one. We want to give the farmer a different role, not only because there are ecological challenges, but also because we see that there are economic challenges. We are seeing a new role for farmers. That is a role that you can sometimes be happy about, but I have a very strong feeling that it is never enough and that you will always be a little sour. To be honest, I'm very sorry about that. I don't think that's necessary.
ParlaMint-NL_2021-12-01-tweedekamer-6.u38	I have just spoken very extensively about the suffering caused by 600 million animals in Dutch livestock farming every year. Did you expect me to stand here with a big smile? Did you expect me to give applause for what might possibly be done about the nitrogen crisis now, when cabinet after cabinet caused these problems? Sorry, I'm not very excited about that. If you can't see that with me, then I think it's a little justified. Then you can ask yourself and your own group how it has come to this.
ParlaMint-NL_2021-12-01-tweedekamer-6.u39	Mr Bishop is through his interruptions. So much for your contribution. Then we will listen to Mr Wassenberg.
ParlaMint-NL_2021-12-01-tweedekamer-6.u40	Mr President, I am making a preliminary announcement. I'm gonna compliment the Minister. I don't do that much. Most of the time, there's no reason for it at all. But if I do, it's serious. It's not coming right away. It comes later in my lyrics, so I'll keep it exciting, but I'll mark it up. Mr. Chairman. I'll start with the Crown Domain. We discussed this in detail during the King's budget. We heard the King say three weeks ago that he would ask again for funding for the Crown Domain Het Loo, but that that was still a whole puzzle. Since last week we know what he meant by this: a puzzle to drag into the millions grant but still close a large part of the Crown Domain during the hunt. So-called to give nature peace, but during the breeding season it is really the moment that nature can use peace and quiet.The Crown Domain is simply open. It is closed during the hunting season, so the Crown Domain is not closed to give nature peace, but to give the hunters peace and quiet during the hunt. No peekers, please. There is also a lack of funding for the Crown Domain. According to emeritus professor of notarial law Van Mourik the status of the King here is unclear. In 1959, Wilhelmina donated the Crown Domain to the State, on condition that the proceeds of hunting and forestry remained for its heirs. It's called, somewhat cloaking, "fruit use." Professor Van Mourik doubts whether it is legally sustainable for the King to apply for a grant for management because he is not a landowner at all; that is the State. And also Van Mourik doubts whether the King is really the fruit user, because usufruct exists in the grace of a notarial act. But as far as I know, there is never a right of usufruct on the Crown Domain. Recently we received the so-called gift certificate of the Crown Domain, but that is not the same as that notarial deed. Can the Minister promise that that notarial act will still be shared with the Chamber? If there is no deed, can the Minister also let the Chamber know? And can the Minister indicate how many acres the King can close on the basis of this application? Mr. Chairman. Then the avian flu. Animal ambulances and wildlife centres have lost a great deal of time and money to caring for the victims of the avian flu and the clearing of carcasses. The Minister has promised a one-off grant of 50% of the costs, but because avian influenza can be present all year round, dead animals need to be disposed of quickly. Is the Minister prepared to supplement the budget in advance while we are waiting for the opinion of the Animal Affairs Council on the duty of care for wild animals in need and to provide structural compensation for animal welfare and shelters for this work? I now turn to the subject of animals kept and start with the Dolfinarium. In France, the government made the sensible decision to finally stop dolphin shows. That is fantastic news for the animals there, but in the Netherlands it is not yet there. However, the Minister indicated that he would see to it that the agreements with the Dolphinarium were observed. How's the Minister gonna do that? And can the Minister promise that if the first deadline is not reached in 2024, it will be finished, finito, and that the zoo permit of the Dolfinarium will be revoked? Because I really have very little faith in the arrangements made with the Dolphinarium. I went there myself last year, at the invitation of the Volkskrant. What I saw there was really staggering. The animal shows would have been adapted, education would play a greater role. But I've seen what that means: dolphins had to swim hard in a concrete bin, with loud music in the background and light effects. What about education? An animal was shown with the statement: "Don't throw plastic on the ground, because it will end up in the sea." That's the education, the education that would justify the dolphin shows. Last month we saw at Zembla how the export of orka Morgan to a Spanish amusement park resulted in a drama. Appointments were violated and many of the parties involved, including the minister's predecessor, are now looking back on them with shame. I want to save the Minister from having to look back in shame on what is now at risk. Because if it's up to the minister, the Dolphinarium will soon be able to sell eight dolphins, two sea lions and two walruses to a Chinese amusement park. Yeah, they're gonna have to jump through hoops there, and they're gonna have to do tricks there, just like all the other Chinese theme parks with dolphins, and there's a lot of them. The case is still under trial, but I would like to ask the Minister when these animal export licences expire to say that no new export licences are being granted, especially since the Dolphinarium has already indicated that in the long term it will continue to breed with these dolphins. So it's not to make room, it's to make money. Sell now, later on, then maybe sell again: is that the new cynical earning model of the Dolphinarium? I'd like a response from the Minister. Mr. Chairman. Then the positive list. As far as my group is concerned, we can solve a large number of animal welfare problems at once by quickly introducing the positive list. That makes supervision much clearer and it puts an end to the dragging of exotic pets. In 1992, almost 30 years ago, the positive list was already part of the Animal Health and Welfare Act. 30 years ago! Apart from a lively talking circuit, it hasn't produced anything tangible yet. Does the Minister find 30 years of talking about the positive list long enough? When will that list be published? In response to questions from Mr De Groot, the Minister wrote to the Chamber that we would receive an update in the autumn. Well, today has officially started winter, meteorologically seen, so that fall is already not made. When are we gonna get that update? Why hasn't the Belgian system been chosen? In Belgium, there has long been a positive list for mammals and for reptiles for two years. That list of mammals came after the judge torpedoed an earlier version. That version was repaired and the list has been in existence for ten years. Why not use the Belgian expertise? Mr. Chairman. Then the trade in pets, the dog trade. The trade in pets exploded during corona. After the first lockdown many purchased animals were dumped just as quickly. The problem has existed for a long time, but has grown considerably last year. Three years ago, the Chamber adopted a motion from the Party for Animals asking for an investigation into a mandatory period of reflection for the purchase of pets. I think I filed that motion on 5 December 2018. If we had then taken steps, we could have prevented part of the suffering. So I ask the Minister once again: when can the Chamber see the results of that investigation? In what time can we follow up? After all, the animal suffering goes on, missionary cabinet or not. You order an animal as easily as a pack of kitchen rolls these days. You look around the Internet a little bit, you pick an animal and you pick it up. They are all stock photos with all very cozy families where the puppies are born and in which the cheerful owner seeks a nice boss for the puppies. But in reality, they are grey breeding sheds, often in former Eastern Bloc countries, Hungary is notoriously ungrateful and there is common bread breeding, where profit is not the welfare of the animal. The government isn't doing anything about that. Mr. Chairman. Earlier this year, NVWA's animal welfare inspector tweeted about the rogue dog trade: "The problem is far too big to go everywhere. Stop buying puppies. Then the crooked trade is over. Please retweet as much as you can." This illustrates the absolute powerlessness of the NVWA, boned to the bone. Last year the NVWA did not carry out any inspections on breeders and in domestic situations. This would be due to corona measures and other priorities, but what other priorities on earth? Because two thirds of the tasks are not the responsibility of the NVWA at all. The NVWA had already announced in advance that it would not carry out any controls. The message was implied: "Bad breeders, go ahead! We do not bother you with controls." On animal day we heard a promoprat of the NVWA in which it was said that the service would suddenly check for that European animal passport. Now what? Now there are stricter corona measures. Does that mean that there are fewer NVWA checks again? That's impossible, isn't it? Can the Minister explain what is actually going to change now? Can she give guarantees that illegal dog trafficking is now being dealt with? The Minister also indicated that buying an animal you have seen is not without risk. That is true, but does the Minister agree with me that ordering animals increases the chance of wrongdoing if it is so easy on the Internet? How will the NVWA and the National Inspectorate for Animal Protection monitor this usury trade over the internet? I'd like a response. Mr. Chairman. Finally in this cube about the pets the sickening appearances. Dogs and cats are still bred with a snout so flat that they can't breathe properly and often die prematurely. Airlines in America refuse to transport dogs of this kind, because there is a greater risk of death in flight. They don't want to do that because of the insurance. There are also dogs with such small bulbous skulls that the growing brain no longer fit in and the animals develop epilepsy and other diseases. I understand it is not possible to prohibit the sale of certain dog breeds or cat breeds, but a ban on the sale of dogs with sickening external characteristics should be possible. I ask the Minister: is she prepared to ban the sale of animals with certain sickening appearances, such as those extremely flat snout or those extremely small bulbous skulls? I am considering tabling a motion along with my colleague Mr Van Campen on this subject, for which an interrupting debate cannot be good enough. But first, I'd like a response from the Minister. Then the exotic fairs. Mrs Beckerman mentioned it as well. During the last three years, five out of six checks on exotic fairs have been carried out. Why are there so few checks being carried out? Those alleged abuses are serious. Snakes are kept rolled up in food trays. Many animals show extreme stress. The Minister writes that she has seen unacceptable cases and that she has carried out a reconnaissance at animal fairs. Fine, but if the Minister sees that there are unacceptable abuses and that this is the case with virtually every exotic scholarship, then you can't leave the place until such a reconnaissance is over. Then you'll put enough enforcement on that, won't you? If you don't, you're gonna send out the signal... and you're gonna hit those animals. So, in concrete terms, is the Minister prepared to step up control and enforcement in advance while awaiting that reconnaissance? Implicitly, the Minister states that there is every reason to do so. Not only from the point of view of animal welfare, but also from the point of view of public health, it cannot be explained that these exotic fairs still exist. The Bekedam Committee was clear: stop markets with live animals. The Minister takes it off as a warning to the horrible web markets abroad, but also in the Netherlands we put a lot of different species together in small containers and on top of that there are traders travelling all over Europe. Does the Minister agree with me that, because of its international character, but also because of the large number of exotic animals, with sometimes unknown pathogens, such grants could be a danger to human and animal health? Let me remind you that viruses, bacteria and other pathogens were not missionary in 2021. They will not be missionary in the coming period either. Mr. Chairman. Now to the moment everyone has been waiting for: the compliment.
ParlaMint-NL_2021-12-01-tweedekamer-6.u41	I'm gonna have all the television stations in the Netherlands turned on. I can do that with the push of a button, and I will do that here.
ParlaMint-NL_2021-12-01-tweedekamer-6.u42	No, no. My last block is about fishing. I am really starting with a heartfelt compliment to the Minister, because the Minister has fought in Europe for a ban on fishing mackerel shark. That's to be commended. That was the compliment, by the way. Small but fine: it was a heartfelt compliment. I hope that the Minister will soon receive a compliment, because I also hope that she will take steps on another topical issue: pain perception in lobsters and octopuses. I can see Mr De Groot nodding. Because yes, even those animals can feel pain, but still in the Netherlands it is allowed to cook crabs and lobsters alive. That's barbaric and extremely cruel. The death of these animals lasts for minutes. However, the Minister still does not want to prescribe that octopuses and lobsters are killed in a less cruel manner, with anesthesia. The Minister said about this in 2018: let me point out that the Netherlands is at the forefront when it comes to developing stunning devices for aquatic animals. Get ahead of me? On who? Last week we read that the United Kingdom has decided to include lobsters, crabs, octopuses and squid under the Animal Welfare Bill, such as the British Animal Protection Act. This is generally considered to be a step one in banning the live cooking of lobsters. The United Kingdom would not even be the first European country to have such a ban, because Switzerland has had it for a long time. Not a part of the European Union, but of Europe. Such a ban is also perfectly understandable, given the insights in the field of pain perception in vertebrates and invertebrates. As early as 2005, sixteen years ago, the European Food Authority recommended that these animals should be better protected. Lobsters have a consciousness, exhibit complex behavior and may experience pain, wrote the Food Authority in 2005. On the basis of that research, which was then sixteen years ago! .................................................................................................................. Since then, there has only been more evidence, now more than 300 studies. This means that additional research is no longer necessary for policy-making. This cruel practice does not fit in a civilized country. Can the Minister promise that she will take steps to ban the live cooking of lobsters and crabs? Together with Mr De Groot, I will consider tabling a motion on this subject in the second term, but of course we will wait for the Minister's answer first. Mr. Chairman. Then the eel. It's very bad. In Dutch waters, the number of provisions has decreased by 97% over 50 years. ICES biologists have been calling for a full ban on fishing for some time now, hoping that the species will be able to recover. Now the International Council for the Exploration of the Seas, which is ICES, also advises a complete stop on eel catch. This means that eel farms also have to stop, because all eels that are supposedly grown are not soaked, but caught in the wild and then fattened in eel farms. Those eel farms are not farms, they are fattening. As a solution to the decline of eels, the Netherlands has drawn up a recovery management plan. The idea behind it is completely crazy. I'm sorry, I don't have another word for it, namely to put out part of the caught young eel again. So you're gonna catch some provisions and then you're gonna let go of some of them. It's called recovery, but it's not recovery. It doesn't help either, and that's what needs to be stopped, ICES advises. According to the Minister, the European Commission has given the Dutch management plan a sufficient amount, but with the recent ICES advice this has become obsolete. How does the Minister view that ICES advice? What does she think of ICES biologists saying: ban eel fishing and eel farming, which is not eel farming at all? Does it recognise that additional measures are inevitable in the Netherlands? I'd like a response. Mr. Chairman. As a last resort, I am already a little over my time, the NVWA and fisheries controls, or the lack of them. The Minister writes in her letter that control and enforcement are difficult, because there are many rules and fishing practices at sea are not transparent. That's bullshit, isn't it? You don't believe that, do you? As if the police didn't dismantle a drug lab, because the drug production is not transparent and the rules complex! The fact that it is not enforced is simply because the NVWA does not have the place in order. There are two NVWA inspectors in the Netherlands who have to monitor 400 million kilos of fish every year. Yes, then you do not see that fishing rights are being tampered with, that unwanted fish is being thrown overboard and that checks in ports consist only of a single sample, not least carried out by the company itself. What can these two inspectors do? Yeah, see if the stamps are neatly inside the box, but that's not gonna work. The European Commission also believes that it is not working in this way, as the Netherlands did last year for this undersized physical and digital control. Chances are it's not gonna end there. Indeed, there is an enforcement request from NVWA, filed by Client Earth, stating that they will go to court when necessary. Can the Minister state what concrete measures have been taken by the NVWA in response to that letter of formal notice so far? And can the Minister undertake to put that enforcement of the fisheries legislation in order? Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-01-tweedekamer-6.u43	Thank you. You have gone a little over your time, but you have to deal with that with your group. Thank you very much. Then we will listen to Mr Van Meijeren of the Forum for Democracy Group. I had rented this room until 3:30, because after that there is a corona debate. Of course we're not going to make it by a long shot, but I'd still like it if we could finish it quite clearly. I call Mr Van Meijeren.
ParlaMint-NL_2021-12-01-tweedekamer-6.u44	Thank you, Mr. Chairman. Some time ago, this outgoing Minister of Agriculture was still called "the assassin of the agricultural sector." Although the term'sneak killer' again led to the necessary outrage, it was, in my opinion, a very striking indication. Those who look at the dictionary see that the term "sneak killer" has not only a literal but also a figurative meaning. That figurative meaning is: "something that is not or hardly noticed and inevitably leads to the destruction or destruction of something in the long run." No matter how you turn or turn, whether or not you agree with the policy of this outgoing minister or of the entire Rutte cabinet, no one can deny that the consequence of that policy is, among other things, that our agricultural sector is being sneaking away. In 2010, when Rutte cabinet started, there were 73,000 farms in the Netherlands. In the meantime, this has decreased to 53 000 farms. So the Rutte Cabinets simply managed to destroy 20,000 farms in ten years' time. As if that were not enough, forecasts show a further decrease of 30% over the next ten years. If that can't be called a murder, then I don't remember. Today, however, one may wonder to what extent there is still a murder, because the attack on the agricultural sector is increasingly being conducted openly. When that disastrous nitrogen law was dealt with, the Democracy Forum already talked about the final declaration of war on the agricultural sector. But our warnings, which, with the knowledge of today, proved to be entirely justified, were flung away with great ease. According to the Minister, the objectives could also be achieved without coercive measures. Technical measures, such as low-emission farm floors, air scrubbers and low-protein feed, would be used in particular. But six months later, FVD also got right on this point. Unfortunately, I would add. For the PBL had to acknowledge that achieving these absurd nitrogen targets would be impossible without "an unprecedented transformation of the rural area in the Netherlands, with a large part of agriculture in North Brabant, Gelderland and Overijssel to disappear," I quote. In the meantime, it has been revealed that the outgoing minister is already busy with far-reaching plans to expropriate farmers. That's what the Demissionary Minister does. Let's not forget that she's a missionary because she filed her resignation when it turned out she was no longer trusted. Demissionary therefore actually means something like "not to be trusted." It would be appropriate for an untrustworthy minister to go to the department every day with shame to do nothing but look after the shop. But instead, this outgoing minister is working on far-reaching, far-reaching plans to take our farmers away from their land. That's pure stealing. It is also very characteristic that the legislative proposal is first submitted with the absurd nitrogen targets up to the year 2035. Then, during the debate on this matter in December last year, we were pretending that we saw ghosts and things weren't going that fast. And once that bill is passed, under false pretenses, and even before the ink is dried up well, the monkey comes out of the sleeve. It turns out that compulsion and expropriation are suddenly no longer taboos and that we are hiding behind the reasoning that we all find it very annoying, but that we have to meet those nitrogen targets. It's devious and hypocritical. And what does the outgoing minister say to those hundreds of thousands of farmers, including their employees, their staff, who work hard on a farm 365 days a year, day in, day out, weather or no weather, with passion and dedication, to ensure that the rest of the Netherlands, all of us, can enjoy vegetables, fruit, meat, cheese, milk, eggs and much more delicious food every day? Recently, I have visited several farms. What always stands out is not only that all these farmers work very hard, but also that they do so with the greatest possible care for people, animals and the environment. I continue to be amazed, positively surprised, at the way our farmers work, who are not satisfied with less than absolute top quality. Everything is being done to further optimize the processes. Thanks to their efforts, the Netherlands is proud to call itself the world's leading agricultural country. We are at the top of many rankings, in terms of innovation, sustainability and animal welfare. In the whole world, people are amazed at how we manage to manage that as a small country. It hasn't been easy to acquire that position either. It's the result of hard work, generation by generation, for centuries. Forum for Democracy says: cherish this fantastic sector, be proud of our farmers, ensure that they can continue to farm, of course in view of animal welfare and the environment. The farmers I have spoken to are only too willing to cooperate. They have, for many decades. A lot of them have already been asked. In fact, the only thing farmers are asking us for is a clear, follow-up policy that can be built on for the longer term and, of course, if possible, a little respect and appreciation for their hard work. Is that too much to ask? Well, apparently it is, because the cabinet does the opposite. Farmers are placed on the assembly line in a negative light in this country. I also heard it again during the introduction of various other groups today. It is as if they were evil polluters who would destroy our climate and nature. For many years farmers in the Netherlands have been overloaded with new rules, from phosphate to nitrate, then climate, animal welfare, land-use planning, fire safety. It is always new rules, which demand substantial investments, but which turned out to be for nothing just a little later because the political wind had turned again and new rules came in and everything suddenly had to change again. No respect for the hard work of our farmers, but smell for thanks. Anyone who thinks that, however painful that situation is for farmers, all this is necessary to save the climate or nature is wrong. In fact, anyone who thinks the Demissionary Cabinet gives a damn about our nature is wrong. If the cabinet cared about nature, there would be no CO policy or nitrogen policy at all. Climate policy is a major threat to our nature, not only because CO emissions create more greenery, but above all because many natural areas in the Netherlands, including even protected natural areas, are destroyed by megalomaniac wind turbines, toxic solar panels and polluting biomass plants. Trees hood in protected nature areas to set up heavy industry, for nature. This is not only against common sense, but also against all logic. Nitrogen is even a nutrient for trees and plants. As nitrogen emissions increase, this is good for trees and plants. However, certain species, which do well on a low-food soil, could possibly be reduced. But is that a problem for nature? No. It only takes care of other natures. The heath, which does well on a low nitrogen soil and could therefore disappear if a lot of nitrogen is emitted, is not even nature. What exactly is "nature"? Before people arrived in the Netherlands, there was no heath in the Netherlands. It's a cultural landscape. What we call protectionable nature is therefore largely also a political choice. It's important to keep that in mind. Another strong indication that this policy is not at all intended to improve nature is that the construction of homes, renewable energy projects and many other construction and construction activities are exempted from that nitrogen legislation. For everyone, exemptions are invented, but the farmers will bleed. How credible is it that, if this cabinet really thought that nature in the Netherlands was seriously threatened by nitrogen, nothing would be done about mass immigration? Farmers are forced to stop and their land is then used to build a million homes for people who aren't even in the Netherlands yet, but are expected to live in the next ten years. Now one may wonder why this outgoing cabinet would push through all these absurd and very radical measures if it were not in the interests of climate or nature. I do not have a ready answer to that, but it is striking that all these measures do not improve the climate or nature, but they all result in the government gaining more and more control and power over our way of life. It is, of course, a totalitarian state in the making that this policy will gradually place the food system under total government control and that the power of one of the strongest sectors in our country, the agricultural sector, will be greatly reduced. The farmers have a lot of private property, lots of land. They can even take care of their own food. They have a strong and independent position vis-à-vis the government. That is, of course, not tolerated by a government which itself pursues total power and control. The policy is also in line with the international agenda to which the Netherlands has committed itself. Under the guise of the United Nations Sustainable Development Goals, a global food transition would be necessary. Our current eating habits would be very bad and lead to climate change, water scarcity and loss of biodiversity, and so, if it were up to that globalist world elite, it would have to change radically. Those who read between the lines feel that if we were to meet these objectives, we would only be consuming food that was made in factories and genetically crafted to allow it to be CO-neutral, and that for a nice piece of meat or fish or for other fresh products there would be no room anymore, because oh, oh, what an incredible threat that would all be to the climate. Klaus Schwab's World Economic Forum also called for a global food transition and launched an initiative for food innovation hubs. Big deal, you might think, because the World Economic Forum has no democratically legitimized mandate and no regulatory power at all. However, our outgoing Prime Minister was present earlier this year in Davos, where he expressed his full support for this shady project, while it is completely unclear what its consequences are for Dutch farmers and our food supply. Why aren't my parliamentary questions answered? It's been over six weeks. I would have liked the answers to be included in today's debate. But my questions just don't get answered over and over again. And then there are plans to build one world city of 30 million inhabitants from all over the Netherlands together with Flanders and North Rhine-Westphalia. All over the Netherlands filled with towering office buildings and megalomaniac apartment complexes under the name "TristateCity."
ParlaMint-NL_2021-12-01-tweedekamer-6.u45	You've run out of time.
ParlaMint-NL_2021-12-01-tweedekamer-6.u46	Yes, Mr President, I would like to speak for two minutes. I have just e-mailed that, but that may not have come through any longer, which then comes from my second term.
ParlaMint-NL_2021-12-01-tweedekamer-6.u47	Okay.
ParlaMint-NL_2021-12-01-tweedekamer-6.u48	Thank you. You could also say about TristateCity that this is only an initiative of the business community, but this plan has been presented to three ministries and has been welcomed to my great surprise. How does the Minister see the future of our food supply if the Netherlands becomes a large city without rural areas, without farmers? It is of course very easy to say that we can then import all our food. Because why use Dutch soil to graze cows when you can just as well import steak from the United States that was grown there in a pharmaceutical laboratory? But apart from the fact that many Dutch people prefer to eat fresh products from their own soil and are not waiting at all for cultivation meat or other genetically modified junk from abroad, there is a much more fundamental objection: the farmers provide for our most primary need for life, namely food. For our food, we must never become dependent on foreign superpowers. It is therefore of fundamental and even vital importance that our Dutch farmers are at all times able to provide the food security of all Dutch people. Does the Minister agree with me? Mr. Chairman. I'm rounding up. The Forum for Democracy notes that the current policy will inevitably lead to the end of the Netherlands as an agricultural country, speaks shamefully of the ruthless way farmers are treated, warns against the enormous risks of this policy to our food security and advocates giving our farmers room to continue to farm with a view to people, animals and the environment so that our farmers, as in the past centuries, can continue to provide us with great food. Thank you.
ParlaMint-NL_2021-12-01-tweedekamer-6.u49	Fine. Thank you. Then we'll listen to Mrs. Koekkoek of Volt.
ParlaMint-NL_2021-12-01-tweedekamer-6.u50	Mr President, I would like to say something of a domestic nature. I've tracked the number of interruptions from the PVV to know how many are left. Mr. Mulder did four or five, I think, but I only did two, but now it turns out that the number of questions has been counted and not the number of interruptions. So that must be clearly stated in advance, because if you ask three questions in an interruption, you will lose all your interruptions at once.
ParlaMint-NL_2021-12-01-tweedekamer-6.u51	No, that's not how we counted it.
ParlaMint-NL_2021-12-01-tweedekamer-6.u52	Mr. Bishop also said something wasn't right. This can't be happening, of course. I've been sitting here the whole time, keeping track of the numbers. It can't be that I missed that, can it?
ParlaMint-NL_2021-12-01-tweedekamer-6.u53	We're just counting the number of times people say anything at the interrupting microphone, so per speaker unit, I'll just say. We're gonna count it for you, and if you're disadvantaged, you're gonna get a bonus interruption for free tomorrow. Thank you to Mr Van Meijeren. We are going to listen to Mrs Koekkoek from the Volt Group.
