ParlaMint-NL_2021-02-09-eerstekamer-11.u1	We need the response of the initiators and the government in the first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u34	I didn't think I was suggesting that that was the case, but if I quoted you wrong, I apologize. I would now like to address the questions that have been asked about the age of the ground. In the House of Representatives we also exchanged this with each other extensively. Today, among others, 50PLUS and the Party for the Animals asked questions about this. At the request of the House of Representatives, the Section gave advice to the Council of State on the Krol amendment, which explicitly concerned whether or not to add the basic age. I would like to point out that age discrimination is also a serious social problem for the proposers. I hope that we all agree on this in this Chamber today. However, the Advisory Section of the Council of State points out in its information that age as a non-discrimination ground is of such a nature as to be different from the non-discrimination grounds set out in Article 1 of the Constitution and the grounds of disability and sexual orientation, that addition of age to that list of named grounds is not reasonable. This has to do, among other things, with the fact that age-based distinction is not suspicious in advance, but can often be a functional criterion that justifies distinction. It leaves the legislator more room. Think, for example, of voting rights, student funding or pension. Therefore, in the light of the opinion of the Council of State, it does not reflect the ratio of the grounds contained in the Constitution to add age to it. Then there's the relationship with freedom of speech. Among other things, the PVV referred to the discussion that took place a few decades ago, including under the direction of Mr Fortuyn, about the relationship between Article 1 on the one hand and freedom of expression on the other. Freedom of expression is already restricted by different legal rules, including through the Code of Criminal Law. The addition of the grounds for discrimination and disability and sexual orientation in Article 1 does not restrict that freedom of expression, nor, for example, the grounds specifically mentioned in Article 1, race and religion. However, the ideas arising from Article 1 of the Constitution may give rise to the criminalisation of certain expressions of expression. That criminalisation is laid down in Articles 137c and 137d of the Code of Criminal Law for insult and hatred. In fact, disability and heterosexual orientation have already been included. In addition, in criminal law, the balance between the prohibition of discrimination and freedom of expression, the European Convention on Human Rights and thus the case law of the European Court of Human Rights is particularly relevant. Expressions which I hope the President will excuse me for just a moment that I will pass on to English 'offend','shock' or 'disturb', are protected by Article 10 of the ECHR, freedom of expression. However, in some cases an infringement of that freedom of expression may be justified by the court. In those cases, however, Article 1 of the Constitution is not applied by the Dutch courts. We therefore believe that this legislative proposal does not affect criminal law in this respect. I would like to go into the questions that have been raised about sexual orientation and the practice of discrimination. A lot has been said about this. Mr Verkerk said very nicely: equality of people must be rooted in the rule of law. Mr. Rombouts from the CDA indicated that there's still some space between paper and practice. Mr Koole of the PvdA said that it should actually be self-evident, but unfortunately it is not yet. And Mr Kox of the SP pointed out the problem and said: we are unfortunately still a long way from being there. My colleague, Mr Özütok, will discuss discrimination against people with disabilities. I shall confine myself to examples of discrimination based on sexual orientation, which Mr Dittrich of D66 also mentioned. Persons with a non-heterosexual orientation have different types of discrimination on the grounds of their homosexuality or bisexuality. Those are, for example, violent crimes, which some of you have pointed out are harassments in the neighborhood, in education or in the workplace, or are being shouted at in the street. Discrimination based on sexual orientation forms a relatively small part of the cases submitted to the Human Rights College, the judgments of which are based on the AWBG and thus concern discrimination, including employment and access to services. In 2019 almost 10,000 times, to be precise 9,868 times, notification or declaration of discrimination was made. That was over 5,000 times in the police force and over 4,000 times in anti-discrimination agencies. The police recorded relatively often the ground sexual orientation, namely 1.603 times. It is precisely for this reason that we, as initiators, believe that accompanying policy - some of you referred to - is so incredibly important. The Minister will say something about this later, we understand. I say here, in particular to the PVV, that we, as proposers, believe that any discrimination based on sexual orientation should be rejected, regardless of who discriminates. It has been asked: why not heterosexual and homosexual orientation, as described in an earlier version? Mr Schalk of the SGP specifically asked whether the constitutional maturity would have arisen during or after the debate in the Lower House. It is true that the draft law has been amended in this respect compared to the original proposal of 2012. This has to do with the fact that this wording is more inclusive, and, for example, lesbian women and bisexuals recognise themselves better in the chosen wording. That is a point that has indeed been appointed by Mr Van Dijk in the Lower House. Mr Kox has already referred to this. A bill is currently under preparation to review the AWGB in the Criminal Code on this issue. The term sexual orientation, or sexual orientation in English, is also used internationally by, for example, the United Nations Human Rights Council and the European Parliament. The term therefore corresponds to the terminology used internationally. It is also more consistent with the existing five grounds in Article 1, which are also generic, i.e. without any further clarification. It is a broader formulation. Since the College of Human Rights already understood the current wording in the AWGB to be broader than the binary contradiction of heterosexuality and homosexuality, one could also speak of the codification of that development. The Advisory Section of the Council of State stated that the specific mention of heterosexual and homosexual orientation does not fit in with the systems currently used in Article 1, and that therefore a more open wording would be preferable. The opinion of the Council of State also gave rise to this amendment. Mr Bergkamp has previously considered the concept of constitutional maturity. In the opinion of the initiators, there is constitutional maturity for protecting individuals on the basis of their orientation, whether heterosexual, asexual, bisexual or homosexual. The amendment concerned in particular an improvement in the present legislative proposal. It was only the way in which this group should be formulated. Mr Schalk also asked a question about the risk of overinclusion and about possible inclusion of, for example, pedosexuality. Let me be very clear about this. Pedosexuality is a criminal offence. This proposal does not change anything. We have been very clear about this in the House of Representatives. So was the Minister. That is what we are again today. As initiators, we are concerned with sexual orientations towards another, regardless of the sex of the other. This includes, for example, lesbian women, homosexual men and bisexuals. It is not intended to protect attractions because of other characteristics of the other person, such as minors. Article 1 of the Constitution refers to discrimination. We talked about that before. Discrimination is an unauthorized distinction. Pedosexuality, if implemented, is punishable. We are keen to be very clear about this again today. Mr. Chairman. Among others 50PLUS, but also GroenLinks and the PVV asked about discrimination based on sex, which is precisely what this means, and in particular about discrimination against trans- and inter-sex individuals. A number of examples were also mentioned. These land are covered by gender, as has also been specified in the AWGB. We are, of course, aware of serious discrimination affecting transgender persons and intersex persons. That discrimination is unacceptable. Some of you, including Mr Dittrich, have also mentioned this. However, a separate soil would not be obvious to us as initiators, as they are already covered within the present, explicated soil sex. In a further reply, this was discussed in detail. Moreover, the Constitution's system means that the grounds are not further explicated, as is the case, for example, with religion. Then I would like to conclude, Mr President. My colleague, Mr Özütok, will then answer the questions on the basic disability. Thank you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u35	Thank you very much, Mrs Van den Hul. Mrs Özütok has the floor. The cathedral will be cleaned.
ParlaMint-NL_2021-02-09-eerstekamer-11.u36	Thank you, Mr. Chairman. I will look at the questions of disability and discrimination in practice in my contribution. People with disabilities are certainly still often victims of discrimination. This is largely about accessibility, but also about labour market discrimination. This is also reflected in the annual reports of the College of Human Rights. But the discrimination ground disability has been the basis of most complaints coming in for years. People with disabilities still have a lot to do with the fact that they sometimes literally don't come in. That prevents them from fully participating in society. Interest groups have been asking for this addition for decades. Mr. Chairman. Questions have been asked about the different concepts and the definition of "disability" and "chronic disease." Let me be the first to think about that. In terms of the interpretation of the basic disability, the initiators will join the UN Convention on the Rights of Persons with Disabilities (hereinafter referred to as "the UN Convention'). According to the UN Convention, the concept of persons with disabilities includes persons with long-term physical, mental, intellectual or sensory disabilities that may prevent them from participating fully and effectively in society on the basis of equality with others in interaction with various thresholds. Chronic illness is undoubtedly a ground-breaking handicap. That was also Mr Dittrich's question. I refer immediately to his question about that. It is good to look at how we are doing in the Netherlands in relation to international law and international law on the basis of the previous definition. The question is whether the Netherlands is actually in breach of international law. I can assure you that we have looked at this as initiators. But it is not up to us to determine whether the Netherlands is currently failing to comply with treaty obligations regarding discrimination based on sexual orientation or disability. The proposal does not see that either. In any case, the initiators are not familiar with the case law of, for example, the European Court of Human Rights or the European Court of Justice, which shows that the Netherlands does not fulfil obligations in this area. That's reassuring. However, several sources of international law have also explicitly included "disability" and "sexual orientation" as non-discrimination grounds. The European Convention on Human Rights and the International Covenant on Civil and Political Rights do not mention the two grounds, but there is no discussion that they are covered by non-limitative grounds. The Charter of Fundamental Rights of the European Union and the EU Working Convention do specify both grounds. These apply within the scope of European Union law. According to Article 21 (1) of the EU Charter of Fundamental Rights of the European Union, any discrimination, in particular on grounds of sex, race, colour, ethnic or social origin, genetic characteristics, language, religion or belief, political or other views, membership of a national minority, property, birth, disability, age or sexual orientation, shall be prohibited. The UN Convention on Handicap can also be referred to as encouragement. I would also like to mention the 1998 Convention on the Rights of the Child. However, international law does not create an obligation to amend the Constitution in this respect. But it is an important encouragement. Then I would like to dwell on Mrs Baay-Timmerman's question. She asked why people talk about "disability" and not about "limitation." As far as definitions are concerned, we have joined the existing treaties, because this gives better recognition in our system. That said, I'm gonna...
ParlaMint-NL_2021-02-09-eerstekamer-11.u37	That does seem very clear to me. The term "disability" is also widely used in treaties. Is it also clear to everyone that this includes "chronic disease"?
ParlaMint-NL_2021-02-09-eerstekamer-11.u38	That is an important point indeed. Of course, not everyone is familiar with all those grounds. I agree. When it comes to information on this amendment and the law, it is important to bear this in mind. I absolutely agree with you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u39	Do you therefore agree with me that it is a pity that "disability" and, in particular, the specification "chronic disease" has not been included?
ParlaMint-NL_2021-02-09-eerstekamer-11.u40	"Chronic disease" has been included. It's called "disability." It is not explicitly stated in the text. That's right.
ParlaMint-NL_2021-02-09-eerstekamer-11.u41	That was indeed my point. Do you think that you can make that clear, in the sense that every citizen, who is supposed to know the Constitution, and in particular this very important Article 1, will be fully aware that "disability" must also be understood as "chronic illness"?
ParlaMint-NL_2021-02-09-eerstekamer-11.u42	That's a fair question. I think that this is something that needs to be taken into account in information. Under the Constitution, religion is not explicitly clear which religions or sound beliefs are meant by it either. In this sense, it is common practice for such terms to be used and for further clarification and information to be required. Mr. Chairman. Then there were a number of questions. First of all, I would like to address Mrs Karimi's question on social counterweight. Ms Karimi asked how the initiators look at the social counterwind experienced by trans-, inter-sex and non-binary individuals and what should be done in the area of accompanying policies. First of all, it is good to note that initiators were overwhelmed by the huge influx of positive reactions as far as this proposal is concerned. Apart from that, it is unfortunately the case that emancipation rarely happens to never without any counterweight. Unfortunately, that's true. If we as a society accept a standard, such as that we do not discriminate against people on the basis of their sexual orientation or disability, then it is important to remain in favour of that standard as a society and also as a government. This is also done through accompanying policies. It is important that the government and therefore we, as legislators, are aware of how that decision will work out in every decision. Are we dealing with blind spots? Or maybe we're assuming a stereotyping after all? It is also up to the authorities to establish, in addition to the standard, that discrimination should not be allowed and, where necessary, to act positively to guarantee minority rights. This also includes the accessibility of public services. Mr. Chairman. There were also questions from Mr Schalk.
ParlaMint-NL_2021-02-09-eerstekamer-11.u43	I still have a question for the initiators about discrimination against people with disabilities. More and more municipalities I have already referred to it in the written round now use very strict parking standards. Here in The Hague, for example, they already have a parking standard of zero for some housing projects. A person with a disability who is dependent on, for example, a car adapted to a handicap or other forms of transport, and who wants to live in such a housing project or who already lives in such a housing project and becomes disabled during that period, may have to move because otherwise he will no longer have transport. How is that supposed to be seen? Isn't a municipality discriminated against if they set such a strict parking standard that there is no longer a suitable transport system for people to live in such a complex?
ParlaMint-NL_2021-02-09-eerstekamer-11.u44	This question is really about local policy and how a municipality expresses it. So it doesn't have much to do with our proposal, which we are working on today.
ParlaMint-NL_2021-02-09-eerstekamer-11.u45	But that is precisely what I find intriguing, because I heard your colleague, Mr Bergkamp, say that municipalities should also be able to take into account aspects of this article of the Constitution in their regulations, rules and decisions. So let's say I buy an apartment in a housing project with parking standard zero. I'm getting disabled and I'm out of transport. Can I say to such a municipality'sorry, but you discriminate against me because there is no more transport'? What is the practical effect of this article? Or do you immediately say 'it is local policy' and with that also 'the addition of these categories is of zero and general value in this practice'?
ParlaMint-NL_2021-02-09-eerstekamer-11.u46	I think it is an important signal to indicate what is in the Constitution and how we want policy on people with disabilities to be dealt with. But it is not up to us to go from here to settle what policy needs to be pursued within such a municipality. You can agree with me, can't you?
ParlaMint-NL_2021-02-09-eerstekamer-11.u47	Mr Van Hattem, your third interruption.
ParlaMint-NL_2021-02-09-eerstekamer-11.u48	That is precisely what I think is problematic about the addition of these categories. It all sounds very nice that this is done and that people with disabilities are helped with it, but in practice, when the municipality puts down its housing project and someone with disabilities says "wait a minute, I can't go forward in this way," such a municipality says equally loudly: "Sorry, but you have had bad luck. We cannot do anything about that in practice, because this appeal to the Constitution sounds nice, but it is above all a symbolic law that we have here." How can you justify this to those people who think they can take this one step forward?
ParlaMint-NL_2021-02-09-eerstekamer-11.u49	I keep saying the same thing: this is an important signal to our local authorities. The PVV must also realise that in a number of cases it is also the distribution of scarcity. However, it is the role of local authorities to decide on this. They do so democratically, along with their municipal councils. If you don't mind, I'd like to answer the questions of the SGP. They were about medical-ethical issues, embryo selection and abortion, in relation to our bill. Mr Schalk asked questions about the impact of the proposal on unborn children or prenatal selection. This proposal has no impact on the issues of embryo selection or abortion. The legal fact is that there is only a carrier of rights and obligations, a legal subject, if that person is born alive. Provisions have also been included, including in our legislation. So the answer is no. Also provisions from, among other things, the UN Convention on Handicap have no impact on the issues you referred to. You also referred to the registration in the BRP of stillborn children. I would like to add that that is of a very different order. It was about a petition. There was a long struggle by a number of parents to get the recognition of stillborn babies. With a petition 82,000 signatures were collected to make that possible in that municipal registration. That law has come of it; I am glad of it myself. It is about institutional recognition of parents' suffering. It has no further legal consequences. In that sense, it is good that our legislation also takes account of what is happening in our society.
ParlaMint-NL_2021-02-09-eerstekamer-11.u50	I fully agree with Mrs Özütok that it is very nice that the petition at the time led to a legislative proposal. However, in dealing with this bill, my group has explicitly asked what consequences that might have. It's not just about lifeless children. Also children who have been aborted, I speak about abortion provocatus, which can be registered in the Basic Registration. So that means they have a right. That unborn child has a right, namely to be registered as a child, as a human being. Shouldn't you be willing to look at the consequences by saying: okay, then such a child also has rights? It is a great time within your legislative proposal to point out that this applies to all people, and not just to those who are already here in this Chamber.
ParlaMint-NL_2021-02-09-eerstekamer-11.u51	That's right. In the registration in the BRP I have indeed found that there are also municipalities that register miscarriages. But it's still the same. This registration is a piece of recognition and recognition for the parents of the pain and suffering suffered. It has no legal consequences. I understand you're looking for legal consequences, but there are no legal consequences.
ParlaMint-NL_2021-02-09-eerstekamer-11.u52	We agree on that. I've seen the answers. The proposers spoke of "unborn fruit." Let us first establish that it is not about a fruit, but about a child, a human being, even if it is not born. Is that also Mrs Özütok's opinion?
ParlaMint-NL_2021-02-09-eerstekamer-11.u53	No, that's your opinion. I already told you how I see it. There is only a carrier of rights and duties, a legal subject, if that person is born alive. The registration in the BRP obviously has an emotional meaning for parents. That is indeed of a different order, but I fear that we will continue to disagree there.
ParlaMint-NL_2021-02-09-eerstekamer-11.u54	Let me return to my specific question: is unborn life about a child, a human being, or not?
ParlaMint-NL_2021-02-09-eerstekamer-11.u55	It's not about a child. You had a question about unborn children or prenatal selection. My colleague tells me something, but... I keep saying that there is only a carrier of rights and duties when that person, or a child, is born alive. We are talking in the BRP about born, but perhaps shortly afterwards deceased children, but perhaps also a miscarriage. That's covered by the BRP.
ParlaMint-NL_2021-02-09-eerstekamer-11.u56	You can always come back to this in the second term, if you wish.
ParlaMint-NL_2021-02-09-eerstekamer-11.u57	It is not just children who died after birth or miscarriage. The law also mentions aborted children. Just for the record, Mrs Özütok also says that it is about unborn children. My simple question is, is it a child or is it not a child?
ParlaMint-NL_2021-02-09-eerstekamer-11.u58	You asked a question about the BRP. I didn't know we were gonna figure that out right now. Our proposal is not about that today, but I would like to return to that in the second term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u59	It seems very good to me that we have complete clarity as to whether we are talking about children, people or not, and what consequences this could have.
ParlaMint-NL_2021-02-09-eerstekamer-11.u60	Perhaps a little further away from the political debate, but in my view it is legal that Article 1:2 of the Civil Code indicates that an unborn child can already be a legal object. The initiators say that an unborn child cannot yet be a legal object, but I do not think that is legally correct. I'd like to be corrected if I'm wrong.
ParlaMint-NL_2021-02-09-eerstekamer-11.u61	I will come back to that in the second term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u62	I spoke in my speech about the power of the rule of law. As far as I am concerned, this is demonstrated by compliance with the law. My question to this whole thing is: are we not going to make a dead letter out of Article 1? How do you prevent the new additions from becoming a dead letter?
ParlaMint-NL_2021-02-09-eerstekamer-11.u63	I wanted to come back to Mr Baljeu's question. In fact, you had already indicated that point in the first period. I'd like to start with that now. You asked about the legal value of Article 1 of the Constitution in the light of the prohibition of scrutiny. That was your question in the first term. Article 120 of the Constitution prohibits the courts from examining formal laws against the Constitution. Lower rules can be tested. It is also a role of the legislator to review the Constitution when making legislation. The Council of State also plays a role in this as an advisor. That is the legal protection against the legislator. You also had a question about designation. All Dutch people can be named on an equal footing in public service. There is no hierarchy between the constitutional articles. The initiators agree with Mr Baljeu that every Dutchman can be named on an equal footing, specifically with regard to mayors. Every Dutchman from the age of 18 can apply and the municipal councils nominate a candidate. Mr President, I think I have answered most of the questions.
ParlaMint-NL_2021-02-09-eerstekamer-11.u64	Thank you, Mrs Özütok. Mr. Raven.
ParlaMint-NL_2021-02-09-eerstekamer-11.u65	I don't think I asked those questions. They were good questions, but not the right answers to me yet. I have established a relationship with the new legislation, the additions to Article 1, and found that there are some problems in compliance here and there. If we establish that today and add it to Article 1, then the question is what guarantee we have that Article 1 will not and will not become a dead letter.
ParlaMint-NL_2021-02-09-eerstekamer-11.u66	I did mix up the names, didn't I? I apologise to Mr Raven. That was indeed a good question. There is, of course, still a lot to be done in terms of enforcement, enforcement and implementation in society. This is a matter of legislation and regulation, but it will also have to be addressed in policy and accompanying policies. This is an important start. It is an important recognition, especially for people who have been waiting for it for years. I can say that they have to deal with discrimination day in and day out. This is recognition and recognition for them. We're not here yet. There is still a lot to be done to really exclude discrimination from our society.
ParlaMint-NL_2021-02-09-eerstekamer-11.u67	I am told that you agree with me that there should be a strengthening of compliance at least on parts in order to encourage this. If we write it down and don't respect and enforce it in the rule of law, that means you're actually writing a dead letter. I have particularly challenged you to strengthen it in the future at that point. We want to support it, but we need to have the assurance that it really makes sense to establish it in this way.
ParlaMint-NL_2021-02-09-eerstekamer-11.u68	We must insist at all times that discrimination is prohibited. Of course, there is also a need for design and inclusion in policy and regulation. However, this is a very important signal for people who have been waiting for this for years.
ParlaMint-NL_2021-02-09-eerstekamer-11.u69	Thank you, Mrs Özütok. Then I give...
ParlaMint-NL_2021-02-09-eerstekamer-11.u70	I had a final word. I can do that in the second term. Thank you, Mr. Chairman.
ParlaMint-NL_2021-02-09-eerstekamer-11.u71	That choice is yours. It's okay. It's okay. It's okay. It's okay. I now give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2021-02-09-eerstekamer-11.u72	Mr President, thank you. I am back in your midst today, and that is a great pleasure. On this initiative proposal, I am an advisor to Parliament and today from the Upper House. Much has already been said about the fact that an initiative legislative proposal is being defended here by three MPs. It often happens to us all that we realize that we are on the shoulders of giants and that thanks to our predecessors we can sometimes do beautiful things. I think that's true today, too. An initiative proposal to amend the Constitution by adding two grounds of discrimination to the list of grounds that together reflect the core values of Dutch society as described in Article 1 is special. The cabinet believes that the initiators are quite right on this point. It is one of the core values of Dutch society to say that discrimination based on disability and sexual orientation is not tolerated. The Cabinet also believes that it is appropriate to explicitly anchor this in Article 1 of our Constitution. That is why the cabinet is happy to support the initiative legislative proposal. This is also reflected in the coalition agreement. Of course, that has lost meaning since the cabinet was decommissioned, but I would like to remind you of that. So I think it is the crown of emancipation of people with disabilities, lesbian women, homosexual men and bisexuals, as the initiators say. But in the opinion of the cabinet, it also contributes to the emancipation of these groups. This emancipation is not complete, because we still see today that discrimination is a problem for these groups. It is good to stress that there should really be no doubt that discrimination against people because of their restriction or sexual orientation is prohibited. By including an explicit ban in the Constitution, this becomes even clearer for everyone; for employers, for service providers, for people who see two same-sex people walking hand in hand on the street and for people who see someone in a wheelchair. Those are people like everyone else who have the right not to be discriminated against. And, frankly, it is also the government's expectation that inclusion of these grounds in the Constitution will raise awareness among victims of this form of discrimination. They don't have to let this go on their side, which sometimes still happens. They have a right on their side if they take action against it. So that is the value of the initiative proposal for the cabinet, because discrimination on these grounds has already been prohibited, in equal treatment legislation, criminal law, and that is what it has been about today. However, as far as the expression, and the emphasis on its importance, is concerned, there is nothing like the inclusion in Article 1 of the Constitution. Mr. Chairman. I would like to answer the questions put to the government in two. First of all, I would like to comment on the questions raised by the constitutional review and any additional legislative changes that lie behind it. And in the second part I would like to comment on the 'low-level policy'.
ParlaMint-NL_2021-02-09-eerstekamer-11.u73	I have a question about the Minister's remark that victims should really be able to look at this provision and also to work on it if they feel that they have been discriminated against on these grounds. In the Netherlands we have Pink Police in Blue. But it is always on a voluntary basis that the police people receive complaints, receive reports. Then they hand it over to others within the police organization. And you often hear that it actually gets a bit bogged down. Does the Minister agree with the D66 Group that this needs to be handled in a much more robust way, and that Pink in Blue really needs support to do the job well?
ParlaMint-NL_2021-02-09-eerstekamer-11.u74	Mr Dittrich asks for one specific point: the police. That is, of course, important. I am familiar with Pink in Blue and I also know that sometimes questions are asked about it. Can't it be firmer? Do the police have enough possibilities at all? Can we also do more, for example, about the willingness to report on the problem I also mentioned and, of course, to which Mr Dittrich is right to draw attention? I am going to go into all the areas that are at stake, because of course this is true in many areas. We see this with the police and the willingness to report, but there is also discrimination against homosexuals in many other ways. Can we do something about that, too? I would therefore like to comment a little more on Mr Dittrich's question later. Mr. Chairman. First of all, I come to the constitutional review itself. Mr Koole and others referred to constitutional maturity. If I have listened to Mr Koole correctly, he wondered whether this constitutional maturity, i.e. the broad acceptance of society, is not already contained in the heavier procedural requirements of a constitutional revision. I think that Mr Koole has just put it very well, because that is of course the case. At the same time, several Chambers and Cabinets have repeatedly found it useful to give some hands and feet to all these heavy procedural revision requirements. This is done through the use of criteria such as "constitutional maturity" and "wide social acceptance." So those criteria actually give some coloration to the heavy review procedure, which is governed by Article 137 of the Constitution. The process of constitutional reform and therefore the question of constitutional maturity go hand in hand. I believe that Mr Koole actually said so and that is what he meant. And if you look at history, we don't have to be so scared of cherrypicking. That word fell this morning. We are now talking about Article 1 of the Constitution, an article that has been carved into stone for about 40 years; in this case, we can also take it literally. So that's been the way it is for a long time, so it's not really going that fast; I think we're doing this very carefully in the Netherlands. Mr Baljeu of the Otten Group, whom I also congratulate on his maiden speech, asked whether other grounds would be less priority. These grounds are really about themes that are based on a long process of emancipation. There is therefore constitutional maturity to include those grounds, disability, sexual orientation. That's different on other grounds. It was also about age, for example. These grounds have already been included in that equality legislation, the General Law on Equal Treatment. I'll get back to you on that. The Equal Treatment Act on the basis of Disability or Chronic Disease already provides for this. Then there was the question of Mr Verkerk, Mr Koole and others: what is the legal effect of explicitly naming these grounds in Article 1 of the Constitution? I thought it was again Mr Verkerk who made that trip, which I heard a few times today: legal effects for the legislator, social consequences and legal effects for the judge. I share the conclusion that the explicit designation of non-discrimination grounds for the legislator and society is of great importance. This does not necessarily lead to greater legal protection in the courts, but in individual cases courts may attach some importance to it, especially now that the distinction between one of the explicitly mentioned grounds will soon be regarded as suspicious. This has just been explained by the initiators. However, I agree with the Commission's position on legal effects that the judge assesses each case on its own merits and is more guided by the material gravity of the discriminatory act or expression than by whether the ground is included in Article 1 of the Constitution. What is the legal value of Article 1 of the Constitution in the light of the prohibition of scrutiny? That was a question from Mr Baljeu. Article 120 of the Constitution prohibits the courts from examining formal laws against the Constitution. Lower forms of regulation and de facto action can be judged by the courts under the Constitution, i.e. also under Article 1. And then, of course, it is important that the legislator himself should actually be us as we are here, and the Council of State is also involved in the process of reviewing legislative proposals under the Constitution, and in so doing Mr Verkerk pointed out that it is of particular importance that certain grounds have beenexplicated. That is the legal protection against the legislator. Mr Schalk said that the wording "sexual orientation" carries the risk of overinclusion and asked me to reflect on it. I think I can agree with what has just been said by the initiators. The interpretation of the concept of "sexual orientation" is in line with the internationally accepted interpretation given to this concept. Thus, the emphasis is on sexual orientation towards individuals regardless of sex. And it's also explicitly excluded by the initiators, and it's also very clear, I think, what that means, so it doesn't mean that focus on factors other than sex would suddenly be protected. And, as you know, when it comes to sexual acts that result in a criminal offence, Mrs van den Hul said that, in my view, this is a criminal offence, and that is in no way protected by inclusion in Article 1. Then there is the movement between citizens. Mr Koole asked for that. Does it also apply to citizens themselves? The prohibition of discrimination is for the most important horizontal relationships, and then it is about work, living, training, transport, all regulated by the General Act on equal treatment and in the Act on equal treatment on grounds of disability or chronic illness, and in the General Act on equal treatment when it comes to that sexual orientation. In addition, the provisions on discrimination in the Code of Criminal Law may apply to discrimination in horizontal relations, and the prohibition of discrimination in Article 1 may act as a legal principle in civil legal relations through the tort. A constitutional change is not enough, I think, to combat this discrimination, but for those who are discriminated against because of disability or sexual orientation, it may be an incentive to fight it and, for example, to refer a case to the Human Rights College. "What practical consequences does that have?', was a question from Mrs Teunissen. But perhaps first, Mr Koole?
ParlaMint-NL_2021-02-09-eerstekamer-11.u75	Do I hear the Minister say about the horizontal effect that it can actually be found primarily in ordinary formal legislation, rather than in the Constitution? Or does the amended Article 1 already have a horizontal effect?
ParlaMint-NL_2021-02-09-eerstekamer-11.u76	I would say: yes, there is also a direct effect of it, just because of what I outlined. So it is not enough as such. And at the same time, the fact that it is recorded naturally has a direct effect on people, sometimes not so much because of the legal effect, but because it can be an incentive, because it is in that Article 1, to do something with it. In this sense, it also has a cross-cutting effect, between citizens. But again: actually, you could say that it was already regulated in legislation for that horizontal effect, so in ordinary laws.
ParlaMint-NL_2021-02-09-eerstekamer-11.u77	I fully agree with the Minister on that last point. In fact, this means that, strictly legally speaking, the amendment of Article 1 does not mean so much for this horizontal effect, but, as I have said, it has a very significant symbolic and recognizable meaning, which will enable citizens to use it in their mutual relations. But they cannot rely on Article 1 in the legal sense.
