ParlaMint-NL_2021-11-18-tweedekamer-4.u1	We shall then proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2021-11-18-tweedekamer-4.u37	Before you proceed, Mr Brekelmans has a question.
ParlaMint-NL_2021-11-18-tweedekamer-4.u38	I had another question about the sanction package. I fully understand that it is now being finalized, so the Minister cannot say anything specific about it. However, I am concerned that you will see some reports coming out on the left and right that there will still be negotiations on which organisations will be included in that sanction list. These seem to be details, but the power of such a package is ultimately in these things: who gets on the list, which sectors are hit and what are the consequences? What I am concerned about is that we now have the time to make a strong move and stop the smuggling of human beings and those abuses at the border. We have seen that it took the European Union about four months to put together a new sanction package. Four months from here we're in February/March and we've had all winter. We cannot allow these abuses to continue all winter. So my question to the Minister would be to work, one, to ensure that things are not nibbled off in the elaboration of the details. And two, if it does seem to be disappointing, what is the reaction and the first commitment that the Netherlands is going to make to arrive at a really solid package anyway?
ParlaMint-NL_2021-11-18-tweedekamer-4.u39	I understand very well. I hear the assignment behind it and I'm happy to accept it. Last Monday, I myself called for the start of preparation for a next package, so that you do not really lose months when it is necessary to effect that next package. Honesty commands me to say that not everyone was equally enthusiastic about this, but we are trying to exert as much pressure as possible. In favour of those who are now working on the final elements of this package, I must also say that it must be legally sustainable. If you put an institution on that list, you don't want to be flogged back in court two months later. So it all has to be true. The whole complex of these leasing companies and so on is still legally quite complicated, who is responsible for what and what ultimately goes where for what reason. So for the time being, I'm still pretty optimistic that a strong package like we agreed on Monday will come out of this. But we will see that at the end of next week.
ParlaMint-NL_2021-11-18-tweedekamer-4.u40	I understand it has to be legal. Only, of course, it is also true that sometimes a state of emergency or an unusual situation requires unusual measures. I think the political assessment is: has that situation been achieved? On the basis of what we now see at the border, not only for the people there but also for how we as Europe are being blackmailed, I think that this is the time to come up with firm measures and to use everything that is possible in them. For example, Mr Ceder asked about SWIFT. That is indeed a gross measure, but I believe that now is the time to use this kind of measure.
ParlaMint-NL_2021-11-18-tweedekamer-4.u41	Your question?
ParlaMint-NL_2021-11-18-tweedekamer-4.u42	My question to the Minister is whether he also thinks that the situation and the situation are such that, even though it is legally difficult, we should take everything out of the box and that that moment really is now.
ParlaMint-NL_2021-11-18-tweedekamer-4.u43	I agree with that, but we have 27 Member States that have to agree with it. That is why there is, of course, a discussion about it. You taste gradations when it comes to the question: how full is the size? That is simply the reality with which we have to deal in Europe. I cannot prevent that either, but our input is entirely in the spirit of what Mr Brekelmans is saying here. As I said on Monday, I advocated starting now with the preparation of the next package, so that there is no misunderstanding that we do not allow ourselves to be constantly called into question in this way.
ParlaMint-NL_2021-11-18-tweedekamer-4.u44	I thank the Minister for his reply. I have indeed asked what is also mentioned in the European Parliament by a number of parties, namely the SWIFT system. I fully agree with you that you need to look closely at what works, but we also note that what we have done over the past few months, including working together, has not yet led to a certain pressure that the President says: and now I stop. I wonder when the point will be reached in order to take that step. You have great confidence in the sanction package that is to come, but we still have to see how long it will take. I wonder when you, as Minister, have reached the point of introducing such measures. In line with Mr Brekelmans, what does that mean in the coming weeks for the people at the border because there is not enough pressure?
ParlaMint-NL_2021-11-18-tweedekamer-4.u45	When I listen to what my colleagues are saying about this that have been directly affected... We are, of course, a little less directly affected, although in the end it also affects us. When I look at what Germany and Central European countries think, you will see that it has been gradually reached at the border, but as has been said, we have a number of Member States in the European Union and we need to agree on it. My commitment is very strong measures. As far as I am concerned, the next package may also come soon. As far as SWIFT is concerned, I would just like to point out that you have to be extremely careful, simply because you are hitting people who are already suffering from everything that regime is doing to bad things. That would be a highly unfair, sad consequence of your need for action. You can't do that. I think that's something we have to pay attention to. However, I also agree with the urgency indicated by Mr Ceder. I'm tasting his question like, can't we do more? Actually, I agree. We have to do what's possible. I am also trying to convince my colleagues as much as possible. As I said, I'm not alone. But just after last summer, when I arrived, I noticed that there are nuance differences in the pace and the sharpness with which they want to respond. This simply has to do with where a country lies, how urgent you feel and what interests and networks there are. That's what it's like to have a country in here. But I totally agree with you. We are, in fact, committed from the outset to putting a stop to this.
ParlaMint-NL_2021-11-18-tweedekamer-4.u46	The fact that the Minister is already talking about a sixth package makes me walk to the microphone. I do have a dilemma. The question is to what extent you need to discuss all this in detail. It is also clear that the Chamber prefers a package that is so heavy that it really leads to the desired results. From the Minister's answer, I conclude that it is his assessment that, because you have 27 Member States, the strength of this package may not be enough and one more will follow, perhaps one more. We're in an escalation. Part of what happens at the border may also be the result of previous sanction packages, as you are in an escalation with each other. Does this also mean that the government's vision is that we should continue to build it in time and that the final package in that sense is not yet on the agenda?
ParlaMint-NL_2021-11-18-tweedekamer-4.u47	Well, I'm not saying that because I already dare to give a value judgment on the effectiveness of this fifth package. It's not exactly on the table yet. There is agreement that this will be a tough package that bites. We will have to wait and see if it has the desired result. I brought that up because I thought: I can't look into the future; I can't predict if it actually works exactly as we think it works. If that is not the case, I would regret it if we did not actually start to prepare again until after we have established that. So consider it a bit like a stick behind the door in case the stick that is now polished up and thrown into the arena does not achieve the desired effect. I am confident that this sanction package will work, but I am not sure about that either.
ParlaMint-NL_2021-11-18-tweedekamer-4.u48	Mrs Piri and then Mr Van Dijk.
ParlaMint-NL_2021-11-18-tweedekamer-4.u49	We are now talking about the fifth sanction package, specifically focused on what Lukashenko is doing to migrants and, therefore, specifically targeted, I believe, on those sectors. My question is actually about the four previous sanction packages, because ultimately the cause is Lukashenko. He gets air and oxygen from state companies, allowing him to continue paying his people and civil servants. When we look at the trade figures between the Netherlands and Belarus, I believe that those four sanction packages may well have had no impact on our trade relationship. How does the Minister see that? Does he see similar movements throughout the European Union, which show that these four sanction packages did not actually contribute to Lukashenko's pressure?
ParlaMint-NL_2021-11-18-tweedekamer-4.u50	It's a good thing Mrs. Piri is asking. We've talked about it before. I think we need to distinguish a few or three things. One thing is that we have to look closely at what we're comparing. The sanction package we are talking about, which is relevant, actually did not begin until this summer, in June. If we compare trade figures from last year, January-August, with trade figures from this year, January-August, it might seem as if nothing happened, because that larger package that looks at these companies actually did not go into effect until June. So it's still premature to draw the conclusion from those figures that it doesn't work. The second thing I want to say about it is that later on in the analysis we should also look at whether it actually means that it is just business as usual or that trade flows have come from elsewhere than the companies we targeted. We don't know yet. So I would like to make two comments. They make me think it's premature to say it doesn't work. The third is that we have committed ourselves to analysing as quickly as possible how the current flows are running, so that we are sure that this does not involve bypasses that undermine those sanctions, because that is of course the last thing you want.
ParlaMint-NL_2021-11-18-tweedekamer-4.u51	I welcome the last comment, because it must not be the case that these sanctions are being avoided. But we're now 16 months after that fraudulent election, stolen by Lukashenko. If we add everything together, even when we are talking about the fifth sanction package, I have to say that there have never been so many political prisoners in Belarus. We see what Lukashenko does to his own people. We cannot introduce, 16 months later, effective sanctions. In fact, we see a German Chancellor who sees him as a legitimate interlocutor in the debate that has now arisen because of the migration situation at the border. I know the commitment of this Chamber and this cabinet is to hit that man hard. I hope, if necessary, that we can do this with a number of like-minded countries if we do not succeed together with the EU.
ParlaMint-NL_2021-11-18-tweedekamer-4.u52	Perhaps a detail, but I understand that Chancellor Merkel has never spoken to and to Lukashenko as "president" but always as "sir." It's a detail, but of course it also indicates the embarrassment with the situation, which makes sure that you really don't want to have contact with him. But sometimes you have to, because you're thinking, what the hell can I do to make sure that that drama at that border is reduced as soon as possible? So I don't only blame Mrs Merkel, but I think that, given the possibilities, the Chancellor has acted well by looking at whether they are now two, I think, with Mr Lukashenko, something that gives some relief. 'Cause what's the biggest need right now? Is that the people who are at that border, or is that our general disapproval of the suffering that people in Belarus suffer from because of that regime? So I can follow that assessment.
ParlaMint-NL_2021-11-18-tweedekamer-4.u53	At that very point, I wanted to ask a question. Lukashenko's a villain. We initially supported the sanctions for electoral fraud, but, of course, there have been a lot of developments, especially in the case of migrants at the Polish border. I also ask the Minister to look at the very recent developments. That's right. Merkel called Lukashenko. And now you're seeing some developments in a different direction. Airlines stop flights to Belarus. A warehouse has been set up to accommodate migrants. Things change. I am not against sanctions, but I think the Minister said some sensible things earlier. The VVD now says 'even more sanctions, even harder', but I think that Merkel's diplomacy has been successful so far. Does the Minister see that, too? Or am I wrong about that?
ParlaMint-NL_2021-11-18-tweedekamer-4.u54	I cannot comment on Mr Lukashenko's considerations, whether it is a phone call from Mrs Merkel, a call from Mr Putin or an insight into the impact of the new sanctions that are coming on land. Such a man also has friends, who may have children who study somewhere in Europe or in America. You don't know what all the considerations can be that make something happen here. The fact is that this threat of sanctions combined with the European Union's diplomacy towards Baghdad, Beirut and Amman has also had an effect. People are confronted with what they are doing, but also with possible repercussions. What exactly has been the reason, I don't know, but pushing, threatening and still holding a door is often a package that gives you the most options to see if you can do something good. So what exactly is the key element? I honestly don't know.
ParlaMint-NL_2021-11-18-tweedekamer-4.u55	I fully agree with what has been said about sanctions towards Belarus. What happens there, the way Lukashenko deals with people, is incredibly disgusting. It also threatens to escalate further, although diplomacy and sanctions seem to be having an effect now. But we are still facing a humanitarian crisis there at the border. We are now reading again that Poland has arrested 100 migrants. Of course, we can only look at what is happening on the side of Belarus, what Lukashenko is doing, but in Europe we have also agreed certain guarantees about dealing with migrants. If you look at what is happening in Poland at the moment, then I think we can also disagree with each other. I wonder how the Minister looks at the actions of the Polish Government.
ParlaMint-NL_2021-11-18-tweedekamer-4.u56	I have already said that I do not have a certain degree of hesitation, but I have caution in the use of great words in this regard. I'll tell you why. On the one hand, and it's gonna happen to you, you suddenly see as a country what's coming at you. You have the duty not only to have the right, but also the duty as a government to protect your borders from threats from outside. That's one way. The other side is that we all adhere to the rules of human dignity. I am a little afraid of being too easy... I think we should address Poland on Monday I also did so with the Polish Minister on what we have all agreed with him and what binds us within the European Union. Those are rules of law. But I also think that we should be aware of what is happening to them. That is why we always say that we understand that Poland is protecting its borders, but that we do believe that if people apply for asylum there, they have that right and Poland has a duty to deal with it as we have agreed here. I have a feeling that this message will gradually come across in Poland as well.
ParlaMint-NL_2021-11-18-tweedekamer-4.u57	I may understand the Minister's struggle in part. At the same time, I believe that certain fundamental rights should be guaranteed with each other, just when it is difficult. We are now in a situation where the Polish government is spraying away migrants trapped there with water cannons. Then I doubt that's really defending the border. I have a feeling that you will leave out the humanitarian duty we have with each other. But I am glad to hear that the Minister is already addressing the Polish Government. If the Minister can promise me that he would like to do so again at the Foreign Council next time, I believe, 23 November, and I would be delighted if he would agree to do so within the European Union.
ParlaMint-NL_2021-11-18-tweedekamer-4.u58	I can easily make that commitment, because it goes without saying that we will do so if there is reason to do so. I also asked for access to humanitarian organisations in that area. Au fond is the case that those people who are on the Belarusian side must go to Minsk and return from Minsk to where they come from. That is what I said to the Polish College together with my German colleague. Iraq has already indicated its willingness to do so. There are signs that Belarus may also cooperate in this. That is, of course, what needs to be done if you want to face this threat, because that is what it is: it is a humanitarian disaster and a threat at the same time. Then it must be clear that if you buy a ticket to Minsk by a recruiter in Baghdad for $4,000 or $5,000, that is not the route by which you apply for asylum in Europe. That's not the way it's supposed to be.
ParlaMint-NL_2021-11-18-tweedekamer-4.u59	In any case, I welcome the commitment. I would also like to draw the Minister's attention to the fact that, in his reply, he is now moving in the opposite direction and moving away from the duty that we, as Europe, have. I would like to point out to the Minister that 100 migrants are now in detention. I hope he will continue to follow that process closely in his direction for Poland.
ParlaMint-NL_2021-11-18-tweedekamer-4.u60	Thank you. I call Mr Eppink and Mrs Mulder. Mr. Eppink.
ParlaMint-NL_2021-11-18-tweedekamer-4.u61	I appreciate that the minister keeps the church in the middle, looks which way it goes and which way it has to go. I would like to ask whether there are any measures that Poland has now taken that do not comply with European law. Is there a point, or are there moments, when you think Poland is violating European law, yes or no? And I agree with the solution he suggests, namely that these people should go back to where they came from and that Belarus, or Belarus, is actually a sort of recruiter in Europe.
ParlaMint-NL_2021-11-18-tweedekamer-4.u62	As far as the first question is concerned, the most important thing I wish I could give a clear answer to that. That is not possible because Poland has declared a state of emergency and has actually declared the area a prohibited area. Journalists can't go there that easily either. So that makes me feel a little uncomfortable. De facto, therefore, I cannot answer Mr Eppink clearly because we do not know. Actually, you'd like to know. You should actually be able to be open about that so that you can watch with each other how we're going to solve this.
ParlaMint-NL_2021-11-18-tweedekamer-4.u63	I couldn't agree more with the Minister's description. I can also imagine that, in this way, it has also taken Poland by surprise that people are being pushed across the border like live bullets. Maybe Poland needs some help from us, too. I don't know, but it might be. I've seen the British send some people that way. Is that something that also emerged in the talks with the Poles? Do they need that too? And the Minister is investigating that, too?
ParlaMint-NL_2021-11-18-tweedekamer-4.u64	That's what we've been talking about. We offered that. The European Union has also offered this. It has not been requested so far, but it has not been done by Poland by Lithuania. Frankly, we regret that, because it would help if you could help.
ParlaMint-NL_2021-11-18-tweedekamer-4.u65	Please continue.
ParlaMint-NL_2021-11-18-tweedekamer-4.u66	Then I answered this part about the humanitarian aspect, except for the point that we do indeed see that there seems to be access for the Red Cross on both sides. There was also a suggestion that UNHCR and IOM, the International Organisation for Migration, were already on the border on the Belarusian side, on the Belarusian side. I understand now that this is going to happen, but not at the moment. In this context, it is good to point out, also in the direction of Mrs Mulder, that we are constantly looking to help the Baltic States alongside Poland. We are. Mr. Chairman. When it comes to security on the eastern flank in general, as you can see, we are involved...
ParlaMint-NL_2021-11-18-tweedekamer-4.u67	Before you do that, Mr Van der Lee has another question on the previous point.
ParlaMint-NL_2021-11-18-tweedekamer-4.u68	Yeah, I still do. I understand that this issue is complex, but the humanitarian situation is becoming increasingly acute as winter approaches and this situation perseveres. It is very important that the Red Cross gets access, but there may be a time when the humanitarian crisis is suddenly accelerating. The minister says we don't know exactly what's going on. But there are images and there are already evidence of forms of pushbacks. There may be such a bad situation that the other Member States too should be prepared to help Poland to take care of people who can no longer be prevented, because they could literally die of cold. What about that scenario? Is that being prepared? Is this already being considered on the basis of solidarity?
ParlaMint-NL_2021-11-18-tweedekamer-4.u69	Sure. Sure. If you're very cynical, you can say: there's an interesting eye opener in this too. Because until now Poland has had a position in this whole debate that may be tilting now, because Poland sees what it means when it happens, when, translated into a year ago, people are in camps in Greece and it does not manage to distribute them neatly, orderlyly among the European Member States. That could still be manifesting itself. I do not want to anticipate this, because that also depends on the situation. I am making it a little bigger: the question of how we can shape a common European asylum policy has been given a different couleur locale now that this is happening. Without me knowing what the outcome will be, but you'll find out. Mr. Chairman. Maybe I'll finish up when it comes to the east flank. Some of you have seen how we are involved in enhanced forward presence. They are not permanent military bases, because that was not agreed at the time when NATO was enlarged. But it is a presence that indicates that we are present. We want to build on that. The amount of the Dutch contribution has even increased, as we have told you. Look, we are also willing to contribute, if Poland asks for support in border control. Then we will certainly see if the Royal Marechaussee can play a role in this. But that is not the case so far. When it comes to other help, here's what I'm gonna say. What bothers me personally about what is happening now is that we completely forget that this all began with gross misconduct by Lukashenko, last year on the eve of the elections, during the elections and after that. That is what it started and that is, of course, where the central pain lies for the people who live there. We have already tried to support and support human rights activists and NGOs. Following the fraud in last year's elections, this support has been increased. We support the Belarus opposition movement, simply by talking to them. That is actually the most important thing we can do at the moment: to get them to hear here, to plead for their cause and to hold stages to argue for their cause, so that they also know that we are not abandoning them, given the opportunities we have. Mr. Chairman. I now come to the subject of democracy and human rights, as we had called it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u70	That's right. Mr Brekelmans had another question, I think on the previous point.
ParlaMint-NL_2021-11-18-tweedekamer-4.u71	I have another question that concerns this issue. The Minister said, also in the written reply, that there are first signs that the countries of origin are prepared to stop the flow and that there may be a flight back to Iraq. But these are first signals from a select group of countries. We have also seen that, if you look at which migrants are in Belarus and Eastern Europe, you can see that they come from various countries, including Africa. Let us not rejoice too early and continue to exert pressure on those countries to stop the power and take people back. My question is therefore for the Minister to make a commitment to this within the European Union, so that the European Union will use its means to do so. That is the signal: the Netherlands, the European Union, is committed to this, because it is supported by the Netherlands.
ParlaMint-NL_2021-11-18-tweedekamer-4.u72	That warning is right, and it will be. I myself had the impression that last Monday the High Representative was rather optimistic about everything that had already been achieved in the four previous days. Of course, it's a global waterbed: you think you've solved it here and then it comes back up there. So you're not here when you've visited Baghdad, Beirut and Amman and you've been successful there. In that sense, I agree with this plea. We have to keep hammering on that. It is interesting to note, however, that the European representation, the ambassadors, has been greatly mobilized in a large number of countries in a short time to work on this and to draw even more attention to it. They are attacking the media about this in the various countries where they are. Then you can see that such a device with combined power can do something. I always thought: there is a lot of discussion in the European External Action Service. But you can see that the device can still move a bit. We have to wait and see, but it's not all trouble and torment.
ParlaMint-NL_2021-11-18-tweedekamer-4.u73	I would like to speak briefly about the eastern flank and the Balkans. One of the questions I asked was: is it not necessary for the Netherlands and the European Union to be more concerned about their own backyard? I refer to the threat that the Balkan countries will break up or be torn apart, sometimes by domestic influences and sometimes by external influences, which happens at our eastern border. This minister just made a plea for investment in Defense. That also seems very sensible to our group. You can't use a rusty toolbox to strengthen your own boundaries. But I would also ask him to reflect on the capacity that is now available at the Ministry of Foreign Affairs, in general terms but also specifically when it comes to our own backyard. Is that enough?
ParlaMint-NL_2021-11-18-tweedekamer-4.u74	I am not really so pessimistic about that, especially when it comes to capacity in the department. We have been able to see some reinforcements in the various posts by you and by Mr Van der Lee in recent years. That's important, because you have to be there. If you only operate with branches, you're not there. So it is important that we are well-present. There has also been a necessary improvement in this regard. Since I've been dealing with it, I haven't noticed that people are running into a shortage of people. That may be different for one country than for another, but if I compare it to ten years ago, then really great steps have been taken. Then the ambience was that diplomacy was a little out of date. That is no longer the case, so I am not so gloomy about it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u75	What the minister said about ten years ago, I remember. Let us not go back to that, for the bald blow that took place at that time has been repaired with great difficulty. Human expertise can't just be replaced after it's been removed. That is what the Minister agrees with. I'm also asking because it's my own feeling that... When I listen to the Minister's answer, I hear that we are around the world, but as the Minister said in his own introduction, if you are always principled, you may never be relevant. As long as you're present everywhere, you're rarely effective. At least it'll be harder, because then it'll be overflowing with people. My question to the Minister is to reflect on our own backyard, on the attention and on the human force that this requires, both within the European Union and beyond. Is the jacket comfortable and sufficient, as he says now, or is there some wear?
ParlaMint-NL_2021-11-18-tweedekamer-4.u76	I'd like to take it with me in the discussions within the department itself. I myself have the impression that the Balkans are also doing very well. Perhaps it is also going very well because after all these years we have become very used to working with other Member States. The ease with which things are taken over from each other has of course also changed a bit in the way many posts work. You can certainly see that in the Western Balkans. There you can see that it has actually been used in such a way that, of course, that helps. But I'd like to tell you something, too. Because when I say a bout portant here "I feel comfortable with it," that actually says relatively little, in the sense that I also want to hear something back. So I'm gonna take that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u77	Before you go any further, I would like to ask you to step up the pace with a view to the clock. I know a lot of questions have been asked.
ParlaMint-NL_2021-11-18-tweedekamer-4.u78	Most of it's been treated, I think. Right?
ParlaMint-NL_2021-11-18-tweedekamer-4.u79	There are three more themes on my list, but they might be a little faster.
ParlaMint-NL_2021-11-18-tweedekamer-4.u80	They're getting shorter.
ParlaMint-NL_2021-11-18-tweedekamer-4.u81	Go ahead.
ParlaMint-NL_2021-11-18-tweedekamer-4.u82	Human rights. That, of course, has been discussed by all of you. I will leave everyone who is referred to here to review. Mr Eppink quoted a thesis by Voorhoeve. That was in English. It's called Peace, profit and principles. He asked: isn't there too much respect for principles? I said a few words about this in my introduction. I think that when you talk about nothing but human rights and the rule of law, you do indeed run the risk of not being effective at all. But if you do not always allow it to be an important pillar of foreign policy, then you also harm other things. In the context of lawlessness, a company cannot flourish either. That company can't go to court and runs into corruption. So it's also important to see where it crosses and hits, and where it strengthens each other, instead of where it's just the vicar versus the merchant. I think that's a dichotomy we've all gotten used to, but it's also a little slutty when it comes to everyday reality. That is why I also say that human rights need not be seen as the starting point for foreign policy, but as one of the two or three fundamental pillars without which the roof called foreign policy does not hold. What I do think is important, and I mentioned this earlier, is that we are not pulling up on our own, because then we are failing ourselves so much in terms of effectiveness. We agree with many of the proposals you have made, and we welcome them. Mr Ceder insisted on supporting the victims of religious persecution. That's what we do, and that's what we care about. I say this not only because Mr Cedar is of the Christian Union, but because that is a fundamental starting point of human dignity. We are also looking to broaden the partnerships in this area. In this context, Mr Van der Staaij asked whether it was not even time to extend human rights policy to include democracy. It would be a bit cowardly to say that a next government can find out. Of course it is, but I also think we should agree. When we talk about human rights and the rule of law, we talk about freedom of religion and belief, freedom of opinion, media freedom, the fight against impunity, and the promotion of equal rights of minority groups in society. All these are the building blocks of a democracy. For the last 20 years, you've had, I'll just say, populist democracies. A part of the people is hunted down, emotionalized, opts for a strong leader, who has the power over all the media, and in four years' time there are elections again and he usually wins a "he" again. That is not what we call democracy. Democracy is in civil society, it is in the areas I have just mentioned. If these areas of rule of law are served, then there is room for the creation of a democracy. In that sense, I think that from the approach that we have so far maintained, that we are looking very closely at all the elements of the rule of law, we are nevertheless touching the right building blocks for something that ultimately leads to democracy. Mr. Chairman. Another point I would like to emphasise is that we have to ensure that our own democracy continues to function. In that sense, I would like to say to Mr De Roon that we are also very much in favour of the interests of you, of Dutch parliamentarians, such as Mr Wilders. If there are threats there, then I think we should point out that these are thresholds for us that should not be exceeded. That is unacceptable to us, and we have to stand for it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u83	I had to get the Minister's words on human rights settled. He says: they are one of the main pillars and we must also stand up for them, but never alone; we must always do so together with others. Then I thought about Boris Johnson, not really a Social Democrat. When things went wrong in Hong Kong, he said that these people are welcome here. Then I had to think about Portugal, which recently recorded the Afghan women's football team. But I also had to think of Angela Merkel, who, when it went wrong with Navalny in that hospital, allowed one of the opposition leaders from Russia to be transferred to Berlin on a private plane. Those are exactly the examples that I want the Netherlands to take first place. Sometimes you have to do it alone. Does the Minister agree?
ParlaMint-NL_2021-11-18-tweedekamer-4.u84	I couldn't agree more. I spoke more in the context of taking action. If you want to achieve something in front of another country, it's wise not to be alone. But the kind of actions that Mrs Piri calls are taken from my heart. It adorns a country when it manifests in such a way. There's no misunderstanding about that. Mr. Chairman. Then I come to a subject that concerns this. That is the restriction of freedom of the press, which Mr Dassen spoke about, among other things. We talked about the expulsion of that correspondent of the Volkskrant from Russia. We have tried to do what we can, and we still do, but the possibilities are limited. But we do want to use resources from the Human Rights Fund generously to protect journalists. Mr Sjoerdsma has pointed this out in previous debates, I believe.
ParlaMint-NL_2021-11-18-tweedekamer-4.u85	There is a question from Mr De Roon and then one from Mr Van Houwelingen.
ParlaMint-NL_2021-11-18-tweedekamer-4.u86	It's actually about the previous point. It is, of course, to be appreciated that the Minister says that the government believes that parliamentarians in the Netherlands should be well protected, even if there are threats from abroad. But I pointed out yesterday what is happening in Pakistan. I do not hear the Minister say so much about this. I would therefore like to ask him whether he shares the concern about what is happening in Pakistan and whether he is also talking about this with Pakistan and expressing our displeasure at what is happening there, namely the legalisation of an organisation that had always been considered a terrorist and the release of 2,000 members of it. Then you can't say: we'll wait and see what happens there?
ParlaMint-NL_2021-11-18-tweedekamer-4.u87	I thought I would take a look at what I said to Mr De Roon. I do not think we really disagree on what Mr De Roon says about this. We have indicated that we find the threat of politicians unacceptable. That's what we transferred to the authorities. It is still unclear at the moment where the negotiations between the Pakistani Taliban and the Pakistani Government lead and what they may mean for the release of Pakistani Taliban. We are following this closely, like our colleagues in Islamabad from other European countries, but we are also talking to the Pakistani authorities for all kinds of reasons, for example to ensure that Pakistan helps us to bring people to the Netherlands through Pakistan that we have promised to bring from Afghanistan to the Netherlands.
ParlaMint-NL_2021-11-18-tweedekamer-4.u88	Mr. De Roon, I'm going to ask you to do the interruptions a little bit shorter. I also ask the Minister to do the answers a little bit shorter. Then at some point we can go to lunch break.
ParlaMint-NL_2021-11-18-tweedekamer-4.u89	I'm hearing this. I'm not reassured. The Minister must assume that we will at least keep a close eye on this. If terrorists in Pakistan are released who have made serious threats to the Netherlands, sometimes towards my own group chairman, then I think that this should be followed up. I will remind the Minister of this matter over and over again.
ParlaMint-NL_2021-11-18-tweedekamer-4.u90	Thank you, Mr. De Roon. Then there is a question from Mr Van Houwelingen.
ParlaMint-NL_2021-11-18-tweedekamer-4.u91	Yeah, just in case. Yesterday I asked a number of questions to the Minister about democracy in Latvia. That is what Mr Van der Staaij has done. I think you're coming to the end of your democracy block.
ParlaMint-NL_2021-11-18-tweedekamer-4.u92	Almost.
ParlaMint-NL_2021-11-18-tweedekamer-4.u93	Are those answers still coming?
ParlaMint-NL_2021-11-18-tweedekamer-4.u94	Some of these questions have also been answered in writing, but I would like to ask the Minister whether we are almost at the end of this issue.
ParlaMint-NL_2021-11-18-tweedekamer-4.u95	Yes, Mr. Chairman.
ParlaMint-NL_2021-11-18-tweedekamer-4.u96	And are these questions about Latvia still on the agenda?
ParlaMint-NL_2021-11-18-tweedekamer-4.u97	I thought we had answered it in writing, but if not, I'd like to get back to you.
ParlaMint-NL_2021-11-18-tweedekamer-4.u98	Maybe right now? The questions have indeed been answered in writing, but Mr Van Houwelingen has a question about them.
ParlaMint-NL_2021-11-18-tweedekamer-4.u99	Maybe I can come back to this in ten minutes? Then I have to dig in my mail very quickly, because I just haven't read those answers yet.
ParlaMint-NL_2021-11-18-tweedekamer-4.u100	The written answer contains a comprehensive answer to your question. If you have any further questions, you can ask them.
ParlaMint-NL_2021-11-18-tweedekamer-4.u101	Yes. So that's what happened yesterday.
ParlaMint-NL_2021-11-18-tweedekamer-4.u102	That's been handed out, too. It's still on paper here. So that's what you can see.
ParlaMint-NL_2021-11-18-tweedekamer-4.u103	Thank you to the Minister for the answer to the question on journalists. We were already familiar with the answer given by the Minister, because we have had that answer before, including on the Human Rights Fund. The Dutch government also has Shelter Cities where journalists can be welcomed. The problem with this is that journalists who are in acute distress and in a life-threatening situation cannot use it because the application often takes months to do so. The question that we have, and which we hear from the world where journalists are under pressure, is to include journalists in the Netherlands in case of acute emergency, following Denmark and Canada. I wonder what the Minister thinks about that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u104	Then I repeat what we did exchange earlier. Firstly, a person who is threatened and in danger in his own country can always apply for asylum here. You can always do that. So that's unrelated to someone's profession. That is why Mr Dassen laughs, but if you are really in danger, it is not clumsy that that is possible and that you can find safety somewhere. Well, that's kind of a primary thing. Furthermore, we have the arrangements we have. We can offer a stay of 90 times 2, so 180 days. I understand very well that this is not a solution to acute danger. This is the legal area that we have at the moment. It is also not my responsibility, I say cowardly as I am, but it is not. The fact is that this is a matter of Justice and Security.
ParlaMint-NL_2021-11-18-tweedekamer-4.u105	Mr. Dassen. This is your last interruption.
ParlaMint-NL_2021-11-18-tweedekamer-4.u106	Yes, Mr. Chairman. I like to use it. I had a laugh because you said that people in need can always apply for asylum here. The procedures for this are now a year and a half. So the moment you're in acute distress, it's gonna take a pretty long time. But I would prefer to use my last interruption for the Media Freedom Coalition, of which the Netherlands is chairman. We are chairman of this and say that we want to guarantee the security of journalists worldwide. Surely it is distressing that we do not want to come up with a solution ourselves for journalists who are in acute need? I would like to ask the Minister one more time, otherwise I will also come up with a motion in the light of the Media Freedom Coalition, of which the Netherlands, together with Canada, is chairing this proposal on the 50 journalists per year who are in acute need.
ParlaMint-NL_2021-11-18-tweedekamer-4.u107	I said what I said. So there is little left for me but to leave it at that, even in the spirit of your recommendation to be brief.
ParlaMint-NL_2021-11-18-tweedekamer-4.u108	I get it, but I'm still going through it. On this day, yesterday and in other debates, we have found that there are many problems and conflicts in the world. In Europe too, emergency situations are being declared and the press are not being admitted, or the press is taking risks to get to areas where things are going on, where we need to know what is going on there. I understand the Minister is not about the department of colleagues. However, I would like to ask him to reflect on the fact that for the future, especially for democracies under pressure, it is important that free media, in all places in the world where it matters, try to bring out news that is relevant to us. Does he also want to reflect on the fact that journalists may be permanently willing to do so if they know that there are democracies that help and absorb them at times when it is absolutely necessary? From this point of view, would the Minister not consider it desirable for this to be considered carefully and for negotiating parties to take this into account in their discussions? Does he think that it is also in the interests of Dutch foreign policy in the future that we are doing more than we have done so far?
