ParlaMint-NL_2021-03-16-eerstekamer-15.u1	I give the floor to the initiator, Mr Nijboer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u37	I think I would've handled the low rents. Mr Van der Linden also asked whether we expect a better flow in the housing market as a result of this legislative amendment. Now this system, with that income-dependent higher rent increase, is mainly to ensure that those tenants can also contribute in proportion to the payment of an appropriate rent, so that that money can then be invested again in improving the quality of the rentals, construction, etc., because those larger rental jumps are possible. But I can also imagine that after some time many tenants also experience it as an incentive to look at a property outside the regulated segment. That effect could therefore be entirely dependent, of course, on the price they could pay, on the offer that exists and on the composition of their household. So it's very custom-made. Career prospects do indeed play a role in this and the offer, as I said: is there anything at all to move to? We are of course fully committed to more new construction, so that more offers are made in the middle hire and in the purchasing sector. So it is indeed a side effect, but it also has the effect of ensuring the rent income, which are also needed. Mr Van der Linden also asked about social cohesion. He could imagine that, if people were to leave with a slightly higher income, this could affect social cohesion. I think that this is a very broad policy question, in which municipalities, residents' organisations, project developers and, of course, housing corporations are needed. It's about building middle housing and social housing, which we're working on right now. We're gonna shut down the market exploration so the housing corporations can do a little more. Those are all things that help. I also mentioned the Housing Fund. This has been agreed with the Labour Party and GroenLinks and has broad support. That's something you invest in the most vulnerable areas. It is also good for quality of life and social cohesion. So we have to use all these instruments to do that. I agree with Mr van der Linden that it is important to improve social cohesion. Finally, a question from Mr Van Rooijen on the Van Otterloo amendment. He pointed that out. The amendment was rejected. It was about the exception for AOWs to the income-dependent higher rent increase. As a cabinet, we have ruled that it is not really necessary, because in different ways the affordability of rents for AOW'ers is secured. We set the income limit at such a level that households can pay that higher rent increase. These income limits are about €30,000 above the AOW level, so only older people with a large supplementary pension could be eligible for this rent increase. A distinction for AOWs is also difficult to justify, because then you actually get unequal treatment with equal incomes. Finally, and perhaps somewhat reassuring 50PLUS: we are broadening the relapse option. In other words, the right to a reduction in rent due to a decrease in income, for example through the death of a partner, is extended. That right goes from two to three years. Now the tenant can correct the higher rent increase over the last two years to the future. This will therefore be extended to a correction over the last three years. Then the questions about the temporary rent discount. There weren't many of them. Mr Kox asked me if I could consider mitigating the effects of the catching-up increase. Allowing a catch-up rent increase removes the obstacle for landlords to grant that temporary discount. That is at the heart of the proposal. We want that discount to be given. If there is no catch-up increase, that discount will not be given. That is, of course, related to each other. In the House of Representatives it has been proposed to remove that increase in rentals from the proposal. When it is removed from the proposal or moderated, you automatically create an obstacle to what we want to achieve. Then landlords will be less likely to grant that temporary rental discount, because they know that it would actually become structural. I really think that temporary rental discount is important, because it helps tenants with payment problems, because they can be offered customised by their landlords. But I'll keep an eye on it. The House of Representatives has therefore asked for this and a motion on it has been adopted: the Terrstra motion. So I'd like to monitor and look at that effect. Then there was the question, too. I thought Mrs De Boer who put it on the Koerhuis amendment to this proposal. Mr Koerhuis has indeed tabled an amendment which makes it possible for tenants and landlords to agree to temporarily extend a rental contract during this period of time. That amendment has been tabled with this proposal. It does have effect at this time. Landlords and tenants who are in need of this because of corona can make use of this possibility.
ParlaMint-NL_2021-03-16-eerstekamer-15.u38	My question is mainly about the timing of things. I think that the previous possibility of temporary extension is over.
ParlaMint-NL_2021-03-16-eerstekamer-15.u39	Yeah, that's right.
ParlaMint-NL_2021-03-16-eerstekamer-15.u40	The question is when this bill will come into force, so that this amendment will also come into force. What about that hole? How does this temporary extension fit the previous one? Is that gonna fit? If this bill comes into force on 1 July, I would like to mention what does the amendment still have practical significance? So my question is more about timing than about content.
ParlaMint-NL_2021-03-16-eerstekamer-15.u41	I'm sorry, I wouldn't have quite understood. It's true what Mrs. De Boer says. The previous temporary emergency law ran until November last year. As far as I am concerned, this law should enter into force as soon as possible, but there is indeed, in a sense, a gap. If this Chamber agrees, the law could enter into force on 1 April.
ParlaMint-NL_2021-03-16-eerstekamer-15.u42	This amendment will therefore have a further three months' effect.
ParlaMint-NL_2021-03-16-eerstekamer-15.u43	This amendment...
ParlaMint-NL_2021-03-16-eerstekamer-15.u44	I believe that the amendment implies that this possibility exists until 1 July.
ParlaMint-NL_2021-03-16-eerstekamer-15.u45	I thought it was a six-month extension, but let me check that out.
ParlaMint-NL_2021-03-16-eerstekamer-15.u46	Perhaps you could say something about it in the second term.
ParlaMint-NL_2021-03-16-eerstekamer-15.u47	I'll tell you exactly what I'm gonna say later. Mr. Chairman. Then I can move on to the questions that have been asked about the freezing of rents. Mrs. De Boer asked me to reflect on the past period and the rent freeze. I remember, of course, as the day yesterday the Kox motion of 21 April last year, which asked for an overall rent freeze. A similar motion was tabled in the Lower House, which was not adopted. It has been for me how I could accommodate this Chamber, knowing that the House of Representatives was different. I'm not gonna go through all the details here again. The Chamber knows that I have chosen to try to give priority above all to the tenants with a high payment risk. I wanted to make a targeted rent reduction wherever possible. We finally managed to give 260,000 tenants a rent reduction; of course this Chamber was also pleased with that. That was close to 40 euros a month for these people. I think it was a very important step. I've made arrangements with landlords about customization in the prevention of home evictions. But the coronacisis continues. The House of Representatives has now adopted a motion to freeze the rents in the social sector. Well, that of course creates a new political reality. The motion was adopted at a time when I could inform the landlords in good time about the effects of the execution of this motion. It was known to them in good time so that they could take it into account. In addition, I think that is also an important argument that the cabinet has indeed, thanks to Mr Nijboer, opted for cover. Of course, you don't want that rent freeze at the expense of maintenance, construction, new construction and sustainability. In this way, I can at least ensure for the housing corporations that it does not have to have that effect. So much for the reflection that Mrs De Boer asked. There are a few specific questions about this.
ParlaMint-NL_2021-03-16-eerstekamer-15.u48	But Mr. Kox has the first question for you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u49	I don't run to the interrupting microphone all the time, not because I don't want to, but because I have it in my back. So I'm gonna sit here as long as I can. I've been working. You shouldn't do that as a politician. The Minister states that the rent freeze in the social sector is possible at the moment. That's good. I'm not very fond of the mea culpa; I've heard too much of that before in church. It's a good thing we're ready. The motion of this Chamber called for a temporary freezing of the rent for the entire sector. So the question to the Minister is: is there still room in it? The problem also applies to at least a large proportion of people in the free sector. I also asked a second question. We have adopted a motion here on the one-off rent reduction. The question was whether it would also have potential in the free sector. The question I asked in the first term is: how far has the Minister gone? The motion was left to judge Chamber and passed. So is there any development in that?
ParlaMint-NL_2021-03-16-eerstekamer-15.u50	Thank you. As Mr Kox himself says, the motion adopted in the House of Representatives calls for the freezing of rents in the social sector, not in the free sector. However, even with Mr Nijboer's own-initiative proposal, we are taking measures to improve affordability in the free sector. Think of the maximum rent increase, the temporary rental discount in the free sector and the maximum number of WZ points in the housing valuation system. That is, I think, a big step and an intervention in that market in the whole context, in the interplay. But in this way I think that we have gotten quite close together and that the First and Second Chambers have also gotten a bit closer together. I am glad for that, because I think it is important that we try to do what is good for the tenants and at the same time make sure that new construction is still taking place. Then there's the one-time rent cut in the free sector. I have indeed promised your Chamber to investigate whether that would be possible. My plan is to come back to this before the summer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u51	Thank you for that last answer. I must point out to the Minister that there has been some inconsistency in her first reply. We did not agree on how the government should relate to both houses. It's possible. But the House of Representatives did not say that it was against a freeze on rent in the free sector. The House of Representatives had given a ruling. But now this Chamber has made its ruling: rent freeze, including for the free sector. I think the Minister could also get room in the House of Representatives for that. Isn't it worth looking into that at least? I know that it is more complicated to order a freezing of rent in the free sector than in the social sector. However, I would like to call on the Minister to examine whether these possibilities exist, so that the three-time motion adopted here can also take place in its full width, and not to say 'well, I have done quite a lot; it is so good'.
ParlaMint-NL_2021-03-16-eerstekamer-15.u52	I admire Mr Kox for his perseverance; that has to be said. I actually thought that the First and Second Chambers would at least touch each other in the Beckerman motion. The Beckerman motion has been adopted, which I am implementing and which calls for a freeze on rent in the social sector. In addition, I am here today with Mr Nijboer, because the cabinet has agreed with the initiator on his proposal to substantially limit the maximum rent increase in the free sector. With these two elements we have come very close to what Mr Kox wanted. The overlap is indeed not 100%, but I think we have gotten very close. That's how I look at it. As I said, I promised the Chamber that I would investigate this one-off rent cut. I do. I'll get back to you on that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u53	Mr. Kox, last meal.
ParlaMint-NL_2021-03-16-eerstekamer-15.u54	I do indeed like to insist, especially when I know that this Chamber has said three times: Madam Minister, we want a temporary freeze on rent for the whole sector. Now it is no longer on the table that the House of Representatives says that it is not allowed at all, I say: investigate the possibility of supporting the implementation of the motion on the other side. What needs to be maintained is that passed motions, especially in this house, should be carried out. So I am not saying that I will not therefore table a motion in the second term, and that you should do so now. But now it seems reasonable to ask you to ask, now that that barrier is gone, if the House of Representatives is okay with that. Then you can try to carry out the motion, at least.
ParlaMint-NL_2021-03-16-eerstekamer-15.u55	I'll tell you how I see it. I see two sets that didn't overlap. One was the Second Chamber and the other was the First Chamber. Now I can put those two sets together. Some of them overlap. That's the implementation of the Beckerman motion. This means that for the rest it does not necessarily overlap completely. But I think, when I go away from politics and look at policy again, that is why I always mention Mr Nijboer's initiative proposal that we have come a long way towards what Mr Kox wants. Again, this is the last debate before tomorrow's election. I think I'll come back to this Chamber more often than not. I would like to say that we are very close to each other at that moment. At least I cherish that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u56	Please continue your speech.
ParlaMint-NL_2021-03-16-eerstekamer-15.u57	Mr. Chairman. I think I have already said a few things about compensation. So it is true: the cover of that is found in the BIK. It's coming in next year. Then you first get the BIK and then the envelope intended for future reliefs for companies to structurally cover the rent freezing, because it is of course about a structural series. Speaking of structural issues, Mr Crone also asked: is this a structural measure in the sense that there can be no catch-up increase? I will do it as follows: from 1 July to 30 June next year, I will set the rent increase to zero over the entire width by ministerial arrangement. This means that none of the tenants, including the students, will get a rent increase in the social sector. After this one-year freeze, the rent may indeed be increased again by the annual rent increase within the space set out in the ministerial arrangement for next year. As far as I'm concerned, that's how it is. So, as far as I'm concerned, it's a one-time freeze, but it's working. You'd normally expect that. That's what I wanted to say about the rent freeze. Then I'll go to the last part: other. First of all, Mr Kox's question has also been raised by others: are temporary contracts going to be the norm? That is a point which is also addressed in the Lower House, including by the party of Mr Kox and the Labour Party. I believe that Mr Crone has said something about this too. Mr Crone asked how the bill worked out. I'd like to go into that. This was also the subject of an amendment to the House Act review in the House of Representatives. That amendment was adopted. We are going to speak in this Chamber about the amendment of the House Act. I did not recommend the amendment referred to earlier in the House of Representatives, but it was accepted. I mean, that's how it goes. We must, of course, go through a proper process, but I can very well imagine that attention will be drawn to this from this Chamber. To be quite specific, Mr Crone asked in anticipation of the debate that we are undoubtedly going to have, how it works. The legislative proposal following the review of the Housing Act provides for the entry into force by component. We'll wait and see. I believe you will have a procedural meeting shortly. I suggest that if we deal with the bill, we come back to this point.
ParlaMint-NL_2021-03-16-eerstekamer-15.u58	But I had also asked for a more political opinion from you, including on the Kox motion, which is now being taken over by that letter. The coalition, the VVD, I will now say it broadly, you have dropped, because Koerhuis is doing something here in violation of the electoral programs of CDA, D66 and Christian Union. These are all marvellous political movements, which I certainly do not charge you with, because you did not recommend this amendment. But that's got to do something to you, isn't it? You're trying to do your best. I have already praised you for the finish you are making here in a positive way, the final sprint, but I would like to hear a political opinion from you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u59	I try to do what is possible and wise in all circumstances. The cabinet has become a missionary. At the moment when a cabinet becomes a missionary, the more or less mandatory cooperation in a coalition context is abandoned. Strictly speaking, there is no coalition from that moment on. But of course there is still the responsibility of the cabinet for all kinds of things, if the Chamber gives that space and has not declared it controversial. Then you try to do what is wise, but you have to accept, of course, that groups take a certain political space.
ParlaMint-NL_2021-03-16-eerstekamer-15.u60	I hope that in the second term we will hear at least from CDA, Christian Union and D66 why they are already giving away things from their election programme before the elections. Today we are used to that happening the day after the elections, but this is something special. That, of course, has put the Minister in trouble. You were no longer bound by the coalition agreement, but it was not in the coalition agreement at all. I looked into it. There was nothing in the government agreement on free rentals and so on. You have now been put in your shirt, because you said "I'd advise against it" and there would be another evaluation. Minister Blok, whom I spoke to in the corridors because he had just had that debate here for Foreign Affairs, remember precisely: no, that temporary rents were for specific groups. I would therefore ask you, in the preparation of the legislative procedure, to carry out that evaluation in good time and to make it clear whether this is only for specific target groups, students in offices or whatever, or whether it has become a generic erosion of fixed rental rights.
ParlaMint-NL_2021-03-16-eerstekamer-15.u61	Mr Crone is now partly asking for political groups through me. We'll find out in the second term. Again, I did not advise; I think I have been consistent in this. But in the end, I have to accept the outcome.
ParlaMint-NL_2021-03-16-eerstekamer-15.u62	One last meal, Mr Crone.
ParlaMint-NL_2021-03-16-eerstekamer-15.u63	Do you expect the evaluation you announced to be completed in good time? That's also a question of research work, so maybe we can't, but I'd prefer to suspend the legal treatment until we have that evaluation. That is our task: careful legislation on the basis of facts.
ParlaMint-NL_2021-03-16-eerstekamer-15.u64	Careful legislation also means looking at what has landed here in this Chamber. Of course, you can always indicate whether you consider yourself sufficiently informed. But I do hope that we can talk to the Chamber soon about this bill. I also think it would be a good idea to have that debate with each other on the basis of all the questions put by you and the data I have. That's what I'm hoping for.
ParlaMint-NL_2021-03-16-eerstekamer-15.u65	Please continue your speech.
ParlaMint-NL_2021-03-16-eerstekamer-15.u66	Mr Crone, Mr Pijlman and others raised some questions about the points system. There was also reference to a motion by Mr Van Eijs asking for an investigation into possible forms of rent regulation in the free sector. Of course, I hear everyone who asks for regulatory measures to keep the existing stock of middle rental homes affordable by regulating, among other things, the initial rental price. Then it's often about the housing valuation system and the question of whether you could go through with that. I have always said that you should always check whether it is not at the expense of investment in housing. Whether such measures should be taken, or, for example, to increase the liberalization limit, is, of course, a prime political question. I told you, this is a missionary cabinet. Tomorrow's elections, or they're actually already going on. I think that this really is a task for a formation table and a next cabinet. It is true that I am carrying out the Van Eijs motion. I identify the options and the consequences of different options in terms of rent regulation. I will also pay attention to the balance between the interests of tenants on the one hand and the willingness to invest in housing on the other. This study must be completed at least before the summer. I'll inform both chambers of progress. GroenLinks and the Labour Party asked about the bill of purchase protection and the landlord's permit. You may have seen that, when considering the amendment to the Housing Act, an amendment was also adopted to enable this protection to be applied. This amendment takes over the regulation of the legislative proposal that I gave in consultation, and actually overtaken it. The House of Representatives has been very energetic here and has ridden this by amendment in this bill. So that's going to speed up a little bit. That's actually good news. A question was also asked about countering malicious rental. We've done pilots in the big cities to limit these crooked practices, those house milkers and so on. I think Mr Pijlman said that Groningen is a good example. That's right. Several aspects that affect a landlord's permit are also part of it. The legislative proposal on this issue is now in preparation and could be consulted by the summer. Mr. Chairman. I come to Mr Van Hattem's question on priority allocation to asylum seekers. I have many discussions about housing status holders with my colleague from JenV, with the VNG and with the municipalities, as well as with the IPO and the provinces. Timely housing of status holders is, of course, in the interests of all of us, because this ensures faster integration, participation and therefore also a contribution to our society. The municipalities are mainly looking for a solution for status holders, but also for other target groups, in cooperation with the corporations. There are also other target groups that they need to work with. Think of the homeless, for example. Indeed, that mandatory urgency status no longer exists; it was already removed from the Housing Act in 2017. Municipalities have to a large extent their own hands in how they want to do that; it is really determined locally. But, yeah, they have to help. We must work together to ensure that the licence holders can be housed. In practice, this has led to the fact that, even though it is no longer legally necessary, most municipalities choose to do so, i.e. to consider the status holders as a priority category. That's their right and their choice.
ParlaMint-NL_2021-03-16-eerstekamer-15.u67	I hear the Minister say: it is their right to do so as a municipality. But I heard the Prime Minister of the cabinet of which this minister is a member say from the week to the municipalities that he wants to get rid of it. Now I ask the Minister: has this intention perhaps already been discussed in the Cabinet and does the Minister see opportunities for doing so? We're dealing with this Housing Act, which forces the municipalities to house all those status holders. Does the Minister see any possibility of getting rid of that? The way we now have to redistribute all asylum seekers across the municipalities is an unsustainable model. That just has to stop. In fact, as far as the PVV is concerned, we are stopping the asylum shelter altogether. But if the Prime Minister had such a policy idea, how did it land within the cabinet?
ParlaMint-NL_2021-03-16-eerstekamer-15.u68	I just think the Prime Minister was speaking in his capacity as a list leader. As a member of the cabinet, of course, I have nothing to do with that. Mr Van Hattem often comes back to this subject. In practice, I work very well with Mrs Broekers-Knol, also member of the VVD, to find solutions for this together with the municipalities and the provinces. And as I said, the municipalities are massively choosing to treat this group as a priority category.
ParlaMint-NL_2021-03-16-eerstekamer-15.u69	Well, then it's clear. Then the Prime Minister's obligatory election talk was just before the election. After the election, we probably won't hear about it. Maybe his VVD colleague here will think otherwise, but I don't think so. I hear from the minister: the municipalities choose it themselves. No, those municipalities do not choose, because this is simply imposed on them by the Housing Act. We just notice that the waiting lists are getting longer and longer, that Dutch tenants need to be on the waiting list for longer and longer...
ParlaMint-NL_2021-03-16-eerstekamer-15.u70	What's your question?
ParlaMint-NL_2021-03-16-eerstekamer-15.u71	...that fewer and fewer houses are available. When can we expect action from the minister to make houses available to the Dutch tenants rather than to those status holders, who now get that priority position every time through the municipalities?
ParlaMint-NL_2021-03-16-eerstekamer-15.u72	There's gonna be another election debate later. So we can see if it's still on there. There's a shortage of homes. That affects a lot of people. That is what the debate is about today. There are many people who cannot find a place to live with them. There are people who don't have a home at all. There are people who have status when we talk about refugees and asylum seekers who cannot come out of the asylum shelter because there is no place for them. In short, there is a shortage. We have to try to fix that. Municipalities get to choose how they do it. It should no longer be the law and yet for most municipalities it is apparently the most practical and obvious to do so as they do with priority status.
ParlaMint-NL_2021-03-16-eerstekamer-15.u73	No, Mr. Van Hattem, you're not gonna get another answer. You tried twice. Please continue your speech.
ParlaMint-NL_2021-03-16-eerstekamer-15.u74	Mr. Chairman. I was working on the other category, so I'm going from the status holders to the mortgage interest deduction. So there is no logic behind it, but questions have been asked about it by GroenLinks and the OSF. Questions have also been asked about the effects of the measures. House prices are rising. That's obvious. That's obvious. What's that all about? Well, mostly due to low interest rates. People can borrow more for their homes. That has a price-raising effect. Of course, it is also due to the shortage of housing. This also leads to rising house prices. That leads to a difference between the people who can afford it and the people who can't afford it. Those high price increases are undesirable. The tax-friendly treatment of the home also has a price-driven effect in itself, but the reduction of the mortgage interest rate deduction is against it, which again has a price pressure effect. But at the same time, because of that very low interest rate, we see what the reality is. In short, it works in different directions, but on balance there are currently more things that lead to higher prices than the opposite.
ParlaMint-NL_2021-03-16-eerstekamer-15.u75	I do not want to make it too faint, but the Minister is so clear that there are two reasons for this price increase, namely the deficit and the low interest rate. I assume she also agrees that climate policy should be very expensive. The gas-free homes for new construction also provide a stimulating price effect.
ParlaMint-NL_2021-03-16-eerstekamer-15.u76	Indeed, it was decided at the very beginning of this cabinet period by the Chamber that new buildings should be built without gas. This can indeed play a role in the new building. But there it is again a combination in the cut in the entire construction market that plays along. But I admit it certainly played along. The same applies, of course, to the effect of the nitrogen problem, which means that fewer permits have been issued, which means that less has been built. This in itself also leads to even more shortages and a price-raising effect. So indeed, those are factors that play a part. Then I think Mr Raven of the OSF said that it shouldn't all be in the Randstad, that there are a lot of other places in the Netherlands with many possibilities and that that would also be good for livingability. I think that's right. If you look at where the need exists, it is of course in the urban areas. Moreover, this need does not only exist in urban areas in the Randstad, as Zwolle is also an urban area where there is a need for living. Arnhem, Nijmegen, Groningen ditto. We are mainly trying to look at regions where we can realize many new homes. That's how I closed the housing deals. For example, we also do regional deals with Parkstad Limburg and with Zuidoost-Drenthe. So we are looking at the whole country, and we are also looking at the shrinking areas. The housing fund as we are now setting up, with the 450 million, is also specifically about border and shrinkage regions and about the restructuring of housing in the most vulnerable areas in our municipalities. So I very much agree with him that we need to take a very broad approach.
ParlaMint-NL_2021-03-16-eerstekamer-15.u77	Thank you for the answer. On the basis of Datawonenen and the data from the sheets, I found that for Zuid-Holland, Noord-Holland and Utrecht alone 0.5 million homes are already in the planning capacity. When we talk about the million for the next ten years, that's 50%. That is not really in balance with the rest of the Netherlands. You are suggesting that there are quite a few places to build, but we have proposed that we also look at the communities and, in particular, the cores, the villages. There's often a construction stop on that. Couldn't you add 5% or 10%? Then you have a larger distribution and then the Randstad is actually relieved, while you now see a planning capacity of 500,000 homes for the next ten years.
ParlaMint-NL_2021-03-16-eerstekamer-15.u78	We have to build so much for the next ten years. For the next ten years, we're actually talking about a million extra homes. Of course, the really large numbers will also be realized in the Randstad. You can see that now. Due to the scale of Rotterdam, Amsterdam and The Hague, many new homes can be built there. On balance, therefore, a large part of this will also be realised here. But much will also be achieved in the region. Those are the cities and the regions I just mentioned, and there are more that I know have very ambitious plans. I am certainly willing and interested in looking at these possibilities in the conversations I am having, and hopefully my successor will also be doing so if they are to be discussed further. We do, of course, want the planning capacity that is now available everywhere to be converted into real projects and housing. So I like the suggestion. This will be part of the talks I have with all the regions.
ParlaMint-NL_2021-03-16-eerstekamer-15.u79	I would like to draw attention once again to the research carried out by Maastricht University and RIVM on the viability aspects of the Randstad. This has shown that this is one of the difficult areas in Europe. If you're talking about "borders closed," you could also say that in the future we need to set a limit to the Randstad to save that area, because we should have lifeability and health at the top. With the extra burden on an area, as it is now planned, you can see that there is actually a controversy. We should split up more. I would like to hear from the Minister that she is more committed to this.
ParlaMint-NL_2021-03-16-eerstekamer-15.u80	In my opinion, there are also people who think that we should keep an eye on the viability of other parts of the Netherlands. I am also responsible for spatial planning through the National Environment Vision. In its development, we are actually doing much more on planning and spatial planning than we have done in the Netherlands for years. This is indeed about living, but also about accessibility, the energy transition and also about the point that Mr Raven is making about the viability of the whole country, and about what you should or should not do for it. It's all over the place. I get the point, but I don't think you can simplify it by saying that not building in the Randstad, and that somewhere else, by definition, is in favour of livingability. I believe that this has to do with many more factors, such as accessibility and the wishes of people themselves. Because where do people want to live? We do not know whether this corona crisis, the working at home and all the ways we have now to be productive without having to go to work if you have that type of work offer opportunities for what Mr Raven says. So I think it is wise to take this into account, but I do not think it can only be done on the drawing board.
ParlaMint-NL_2021-03-16-eerstekamer-15.u81	Last time, Mr. Raven.
ParlaMint-NL_2021-03-16-eerstekamer-15.u82	I also asked a question about making use of it. It's about emptiness. This is a considerable investment in housing, but I do not see in your letter of 21 February that this is taken into account.
ParlaMint-NL_2021-03-16-eerstekamer-15.u83	That's right. You asked that question and I did not prepare the answer to it by mistake. I will certainly come back to that in the second term. Mr Kox looked ahead to a new cabinet and perhaps a new Minister for Housing. I think he even mentioned a new ministry. That's not up to me. That should be decided in the formation and the new cabinet. I think we should focus on making sure that it is built, and not a new ministry, but just housing. That's what I think it takes. It is a major task: nearly a million homes in the next ten years. I think I've set up a few things. We know that working with the Housing Impulse works very well. I think that the Housing Fund for Restructuring is also a good step. The direction from the Empire together with the other governments and other parties to get more control over the actual realization of the plans is in any case what I can give to a next cabinet and a next minister. But what they get for title and exactly how they are supported is not up to me. In any case, I am leaving it to you that, as far as I am concerned, a flying start can be made. Mr. Pijlman asked about the housing impulse and the distribution between the cheaper housing, middle rent and purchase. I announced the second instalment of the Housing Impulse about a month ago. That is a contribution of 266 million. This concerns 30 projects, almost 45,000 homes, of which 67% are affordable. We evaluate this now and then we're on our way to a third tranche. I hope to be able to inform both Chambers about the outcome of the evaluation this month. It would be nice if we could learn lessons from the second tranche and then move on to the next one as soon as possible, so that we can build on it. Mr Pijlman also asked about the landlord levy and how we could deal with it. That's really something for the next cabinet. Of course, I have tried to prepare as many things as possible here too. I will also inform the Chamber shortly about the possibilities of restoring balance between tasks and resources. We simply know that the housing corporations face a huge challenge. We know that in the longer term they will no longer have investment capacity with the landlord's tax, so it will be eroded. I think that at the formation table a knot must be cut, but it is no longer up to me to do so. Mr Van Rooijen asked what corporations in the middle rent can do for households whose income is rising. The corporations still have a lot of money in the non-DAEB section. This can of course be used to build for the low middle incomes; therefore, rental homes for people with those incomes. If that succeeds, it will of course also promote the flow. That would be a good thing. That is why I am pleased that we can suspend the market exploration, at least for three years. This is again part of the amendment to the Housing Act which we hope to discuss here shortly. The rent reduction for tenants of... I'm sorry, I've already had it. I'm already running it. No, I meant the Beckerman motion on the Nibud's investigation. I have already said that we want to further examine the financial situation of tenants. That was also requested here by Mr Crone. That motion by Mr Beckerman is actually asking that question. So we're gonna do that and that's gonna be done by the summer. Then I can inform both Chambers about that. So that'll come back. Finally. Mrs De Boer asked about the regulation and maximisation of the shares of the WPA value and the intended date of entry into force. The general measure of governance with which this is determined depends on both chambers. The entry into force therefore depends on the treatment in both Chambers, but I would like it to take effect on 1 October. The housing corporations also informed me that this would be workable for them. Mr. Chairman. I hope I have answered all the questions that the Chamber has asked me.
ParlaMint-NL_2021-03-16-eerstekamer-15.u84	Thank you. Then we shall proceed to the second term of office. First of all, I give the floor to Mrs De Boer. Just a minute. I have to set the clock and I can't do it yet. I'll just give you the floor.
ParlaMint-NL_2021-03-16-eerstekamer-15.u85	Mr. Chairman. Thank you. I've got a sound now, too. Thank you for that last answer, because I can now cross that off my list of questions that have not yet been answered. I would also like to thank you for the answer on the income limit and the fact that what is regulated in the law and what is regulated in the ministerial regulation. I looked into it and I had indeed confused those two income limits. In this respect, we are also reassured that it is well arranged, so that it is not going to be increased for the singles. I can say that our questions have been answered satisfactorily. I must also say that I like the tone of the debate and what is to come, so how everyone is in the game. As far as that's concerned, what comes last is fine. Let's put it this way. But I would also like, with Mr Nijboer, to endorse once again that it is still necessary and still remains to work structuralally to improve the affordability of social and middle rents. In addition to building, building, building in these sectors, we are also concerned with abolishing the landlord's tax, allowing rental permits, buying-in protection, regulating tourist rentals, maximising the share of the WPA value and thus also extending the points system. I am pleased that the Minister has agreed to at least ensure that the investigation requested by the House of Representatives on the Van Eijs motion is there before the summer and that steps are taken. I also heard her say: I leave it so that a flying start can be made. I think that was about the construction assignment. But I hope the Minister will carry that through to all these files. I also hope that it will be ready, even if there are dossiers on which legislation can no longer be introduced, so that that flying start can be made by a next cabinet. I think that room for this room should be taken. We can't lose six months in which to form.
ParlaMint-NL_2021-03-16-eerstekamer-15.u86	Mr. Van Hattem has a question for you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u87	I hear Mrs De Boer from GroenLinks talking about regulating tourist rental. Maybe the other way around: does GroenLinks also see opportunities in expanding the possibility of living permanently on recreational parks? Of course, this can also give some air to the housing sector in the Netherlands.
ParlaMint-NL_2021-03-16-eerstekamer-15.u88	That's a whole different debate, Mr. Van Hattem. I'd like to have that with you some other time. We see very limited opportunities for this. That depends on where it is. But we do not see that as the solution to the housing problem.
ParlaMint-NL_2021-03-16-eerstekamer-15.u89	That is a pity, because as PVV we do see opportunities there. Hundreds of homes can become available at such a park, which now often go to migrant workers. The Dutch can also live there with great pleasure. So there are also opportunities to solve the housing problem at least. Too bad GroenLinks doesn't want to go along with that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u90	Mrs. De Boer, your time was up.
ParlaMint-NL_2021-03-16-eerstekamer-15.u91	Yes.
ParlaMint-NL_2021-03-16-eerstekamer-15.u92	I now give the floor to Mr Kox.
