ParlaMint-RS_2017-10-06-0.u21951	Honorable President, Honorable Ministers...
ParlaMint-RS_2017-10-06-0.u22043	Dear Presidents of the National Assembly, distinguished ministers with associates, distinguished fellow MPs and MPs, we have very important laws ahead of us. These are four laws that are, in fact, the strategic definition and definition of the previous Government of the Republic of Serbia, whose prime minister was Aleksandar Vukic, for further rationalisation, for further more efficient public administration, and for further improving the quality of the accessibility of these services by citizens and by the economy. First of all, I have to point out that knowledge is the highest value of the 21st century. Of course, when we finish our education, many of these skills are already being overcome, and that is why we need to keep working on improving our knowledge, our skills, our competences throughout our lives. One of the laws that just implies continuous training and continuous improvement of knowledge and skills is the Law on Amendments and Supplements of the Law on Civil Servants, which is in a causal and consequential relationship with another law, as regards the Law on the National Academy of Public Administration. In fact, I want to point out that for efficiency, for economic reasons, to save time for citizens, but also savings in the economy of public administration should be effective and be a real and true service for citizens. What I want to point out is that it is a continuous education, i.e. continuous acquisition of additional knowledge and skills of civil servants, which is particularly relevant from the aspect of equal access in the administrative matters of citizens, regardless of which city, from which municipalities and what state authority they address. This equality in the treatment of the same legal matters, of course, is achieved through the acquisition of additional knowledge and training of civil servants, concerning issues and administrative procedures and the development of an administrative act and additional knowledge and skills relating to the prevention of corruption and financial management, as well as, of course, issues concerning and respect for human rights. What I particularly want to point out is that this law provides for training for executives. Why is that significant? It is very important for the adequate management and management of the full work process, but also for improving the quality of work of each state body, because in this way citizens will be made available in an efficient and quality way by state authorities, i.e. in a more efficient way, their rights will be met. I would also like to point out that the Ministry of State Administration and local self-government, according to a 2016 survey, has shown the largest openness index among the Western Balkan countries, and in fact how open it is to citizens and society in general. Of course, I would like to stress that, by analysing the accessibility index, this openness relationship refers to openness to citizens and their involvement in public debates, in round tables, when the legislation is passed, it is almost 100%. When it comes to the criteria of integrity, it is almost, and it is about preventing corruption, it concerns further evaluation of the Ethics Code of Officers, also at an envious level and almost 100%. I'd also like to say something about open data, which is this data that is used in electronic form. In fact, these are data that are suitable for computer processing and exchange via the Internet. Open data in modern countries of the world – they are referred to as new oil, because they are the driver and initiator of many social changes, i.e. raising and standards of citizens, as well as raising the capacity of the entire state. In Voting Day, the Serbian Progressive Party will support all proposed laws.
ParlaMint-RS_2017-10-06-0.u22044	The word has been made by Parliamentarian Olivera Pesic.
ParlaMint-RS_2017-10-06-0.u22045	Dear Presidents, distinguished ministers with associates, ladies and gentlemen Members of Parliament, I will talk about the Bill on the National Academy of Public Administration, whose basis is the establishment of a National Academy as a central institution for professional training of public administration employees. So far, there has been no systemic approach in the Republic of Serbia to address the issue of professional training of public administration employees. The competence in the area of professional training of civil servants in the adoption and implementation of the professional training programme has been achieved by several bodies and organisations, as well as by government services, and it was therefore necessary to ensure a comprehensive system of professional training of public administration employees, which is precisely achieved by this draft law. The fact is that public administration employees do not achieve the same level of professional training, resulting in an insufficient level of knowledge and ability of public administration employees, and thus a insufficiently efficient administration. The establishment of bodies in the system of state administration, which will give equal right to all to professional training, but also to the training of bodies and public administration organisations, will achieve the general objective of reforming public administrations, which implies high quality of services to citizens and economic operators. The establishment of the National Public Administration Academy has been defined by the Public Administration Reform Strategy in the Republic of Serbia, as well as by the Professional Training Strategy of Civil Servants in the Republic of Serbia, and by the reputation of other countries that have good practice, related to the area of professional training. Almost all EU member states have one central institution dealing with the issue of professional training of employees, and in most countries, the central institution has the character of a legal person, and it is supervised by the competent ministry or the government itself. This bill provides for the National Academy to be established as a special institution, which has legal personality, which will provide it with the independence and publicly recognised organiser of the activities of informal adult education, and supervision will be carried out by the competent ministry, in this case by the Ministry of State Administration and local self-government. The National Academy is organized so that it has special professional working bodies, software advice and permanent programming committees and we have heard enough about the composition of these professional bodies in previous exhibitions. What is important is that these bodies are composed of experts who will help with their knowledge and experience to achieve the key objectives of the establishment of the National Public Administration Academy. Given that all public administration employees are given equal opportunities for professional training, a high degree of competence will be achieved and thus we will get public administration in the service of citizens and businesses, because modern public administration is actually a service of citizens, capable of providing businesses and citizens with the necessary level of services. A unique assessment of all stakeholders in the preparation of this law, i.e. of all representatives of bodies whose work is linked to this law, and above all to the state authorities and then to the non-governmental sector, the Permanent Conference of Cities and municipalities, the National Alliance for Local and Economic Development, as well as the professional public, but also the public administration staff themselves who participated, was necessary to form a central institution for professional training of employees in Serbia. The reform of the state administration is an essential condition for the success of the reform of all other segments of society and is in an unbreakable relationship with them and therefore I call on you to support this bill in the voting day, as well as all the other laws that are on the agenda today. Thank you.
ParlaMint-RS_2017-10-06-0.u22046	Thank you. The word has a national letter from Studenka Kovacevic.
ParlaMint-RS_2017-10-06-0.u22047	Thank you. Ladies and gentlemen of the People's Parliament, there's a whole set of important bill proposals on the agenda today, but I would like to focus on the draft Law on Amendments and Supplements to the Law on Civil Servants. Given the importance of the matter that this law regulates, we can freely say that the amendments to the laws that give great attention to both the professional public and the wider audience, which is certainly understandable, since citizens often have problems with the tromic and inefficient administration and the services it provides. In order to create an effective and efficient state administration in the service of citizens and businesses, a complete and clear legal framework must be created, which will act on the basic cause of unquality doing business, which is a low level of expertise in these modern conditions. Therefore, the professional development of civil servants and their professional training have special importance in solving the identified problems in the functioning of the administration. Why does it matter? Therefore, officials must continuously acquire competences and skills in order to carry out their work responsibilities in a quality way. For example, we've all had the opportunity to see how slow some process is going on that requires, say, computer work, and the clerk on the counter doesn't get along with it, so the lines are increasing, and that's how chaos occurs. Given that the state-run official system of the Republic of Serbia is a relatively closed system in which it is primarily based on personnel located within that system since the very beginning of its career, professional training of officials, both those in unmanageable positions and those in management positions, but also state authorities, the level of efficiency of the entire system is significantly increased. It is clear how much quality services will improve towards citizens when everyone in their workplace is professional in what they do. What else is foreseen by this bill? The possibility of officials being able to change positions within the body or service, with the consent of the manager, is foreseen. In addition to facilitating the functioning of the service, this solution achieves a more consistent achievement of the principle of equal availability of jobs and thus contributes to the development of public administration professionalisation. All in all, one good law and I ask my fellow Members to support a whole set of laws in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u22048	The word is made by MP Dragan Veljkovic. Here you go.
ParlaMint-RS_2017-10-06-0.u22049	Thank you, President. Dear Ministers with Associates, ladies and gentlemen Members of Parliament, first of all, I would like to express the satisfaction of the quality of the material that we have received and which contains all relevant arguments and elements that make the proposed laws affirmative and I am sure that it will be adopted in the day to vote. However, in my further presentation, I would like to refer briefly to the Bill on Amendments and Supplements to the Law on Civil Servants and Part of the Law on the National Academy of Public Administration. The basic strength of every society is predominantly human resources, i.e. people whose abilities, knowledge and skills depend on progress in all areas of society. Generally speaking, dealing with human resources in recent decades has been significantly evaluating. At the beginning of the last century, it prevailed over the importance of technology and absolute indifference to human needs and specificities. Today, it is no doubt that in light of the new organisational and technological conditions, changes cannot be realised without a precise, comprehensive knowledge of human resources. Man is no longer a marginal organisational resource, but a significant source of new value. Starting from the above, public administration reform is a lasting process and is a particularly important condition in modern conditions for the successful implementation of reform principles and objectives in all areas of society. The overall aim of the reform is to further improve public administration, which will provide high quality services to citizens and business entities, and I would set out from a number of specific objectives: establishing a harmonised public notary system based on merits and improving human resources management, increasing legal certainty and improving the business environment and quality of public service provision and strengthening transparency, ethics and accountability in public administration operations. Realisation of the stated objectives expressed in the Public Administration Strategy in the Republic of Serbia is not possible without professional training of employees as a permanent process through the creation of a new legal framework through changes and addition of regulations and the adoption of new ones. It is precisely in this direction that the proposed laws are going to ensure that the level of knowledge and skills of the state authorities is raised. The bill represents an improvement of the system of professional training of civil servants and of the action plan for its implementation. Based on the current legal rules and identified problems, the proposed laws should address the following problems. Through the formation of the National Public Administration Academy, a central institution of professional training in the public administration of the Republic of Serbia is obtained by precision of the scope and type of authority in the business of professional training of civil servants. Also, the draft legislation sets out professional training programmes to be systematised through several forms. Also, the existing legal framework almost does not address the issue of criteria, criteria and ways of identifying the need for professional training, which goes beyond new law proposals. The limitting provisions of the existing law also apply to who implements the professional training of civil servants. This bill removes these barriers and determines who can be a lecturer, i.e. trainer, selection and accreditation conditions, competences to conduct the selection process, fees for their work and how to register and manage the permanent list of lecturers. The relevant law does not regulate the question of the verification of the professional training programme, so the amendments and additions to the provisions of Article 97k are provided for to issue, for all professional training programmes accredited by the National Academy, assurance to the user of the programme, and, if the knowledge is carried out and verified, then the assurance of the success achieved shall be issued. Finally, this proposal is based on compliance with the provisions of the Law on employees in autonomous provinces and units of local self-government with regard to how to fill jobs in state bodies through transfer. The proposed amendments and additions to the Civil Service Act achieve a general objective relating to ensuring integrity, comprehensiveness and sustainability of knowledge and skills of civil servants and more specific objectives relating to improving the right to professional training, improving the quality and effectiveness of professional training, improving the efficiency of the professional training process. In the expectation that all these objectives will be met, I will support the proposed laws in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u22050	The word has a folk MP, Stanja Komirovic.
ParlaMint-RS_2017-10-06-0.u22051	The President-in-Office, honourable ministers and his fellow Members, ladies and gentlemen of the People's Parliament, today we have before us a bill on amendments and additions to the Law on Civil Servants and a bill on the National Academy of Public Administration. The objectives that we pursue as a modern society and reforms that follow our society include changes and additions to existing laws and the adoption of new and significant laws that will contribute to a faster and more effective solution to the existing problems and difficulties we face. The key principle for the overall improvement of the state administration is its professionalisation, raising the level of expertise and ability of civil servants from a particular impact on the successful and quality performance of jobs, changing working methods and organising culture in modern conditions. In this respect, organised and continuous professional development of civil servants and public administration employees is based on real needs and opportunities and has special significance. The system of professional training, in addition to the planned selection of staff, evaluation, award and promotion, is one of the key elements and contributes significantly to the accelerated process of European integration and meeting the criteria for establishing a modern and professional state administration system. Taking into account the obligation of the State Administration to co-operate with each other on common issues, the only other authorities shall give the notices they need for work, so that the National Academy should ensure and achieve co-operation with all public administration structures, in a more economical way, to exercise its rights and obligations of professional training. The application of the law has a positive impact on citizens and the economy and since the process of professional training should contribute to a better and more efficient provision of services, economics, stability and raising of living standards. Although some MPs, unfortunately, here think that they are professionally perfecting and bringing stone to the Assembly, and this stone that comes from KIM, they can say that Serbs in KIM know that Serbia is institutionally present there through the system of education, health care, local self-government, cultural institutions, and these laws apply in places as well, and Serbian citizens know perfectly well that they are perfecting other methods and principles and respecting their president and government and know that they are making decisions and who they trust. In voting day, I will uphold the laws. Thank you.
ParlaMint-RS_2017-10-06-0.u22052	The word has a folk MP, Ivana Nikolic.
ParlaMint-RS_2017-10-06-0.u22053	Thank you. Dear Ministers, distinguished representatives of the ministries, ladies and gentlemen of the People's Parliament, today we have a set of good bill proposals, and I will pay special attention to the bill of law, which in one systematic way regulates several very important areas of society in today's society, which is the proposal for a law on electronic element, electronic identification and trust services in electronic business. Such a bill is indeed an organised and comprehensive approach to emerging situations in one system, in one society, and all in order to address the shortcomings observed by the application of the laws. Of course, here I must immediately say that, given the way changes take place in the way modern technologies work, it is necessary that the law be flexible in order to move forward with the challenges that modern society poses. I'm sure for Serbia, electronic business is a developmental opportunity. The intention is, of course, to monitor developed systems, to use experience from developed European countries with good business systems, which aim to enable faster and more efficient business, to reduce business costs, to provide better services to citizens and to ensure that there is safe and cheap document keeping. Digitalisation of documents achieves greater accessibility to documents, provides easier search, use and publication of documents, as well as access to information of public importance. I would add that it is an excellent example of how digitisation affects the development of the country of Estonia. I had the opportunity to stay in that country recently, in a country of digitization, which records positive results and benefits from the application of modern technology in business. For example, a citizen with his ID card not only owns personal data, but can also use it to pay public transportation through that card, to have a health card, to have children in school in grades. Thus, the number of departures to various institutions is reduced, the number of use of unnecessary paper is reduced, costs are being spent and time is being saved. I would like to point out that these proposals for legislation on the agenda today achieve the continuity of the work of the previous government, especially in these areas, the emphasis is on the comprehensive reform of public administration. However, the use of electronic services in Serbia remains unsatisfactory, although growth is recorded. Serbia is heading towards resolving these problems with several of its moves, such as, among other things, the adoption of these laws, the inclusion of electronic business in the National Strategy for the Development of the Information Society, as well as the e-Government project. I would also point out that the draft laws on the agenda, and from the domain of the Ministry of State Administration and local self-government, are necessary for the law I was talking about to be applicable. I think it is very important to establish a permanent, sustainable system of security and professional training of civil servants and to continuously improve their skills and skills. At the very end, I would like to say that in order to remove the perceived shortcomings and to record the best results, I will definitely support the proposed laws in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u22054	Olivera Ognjanović has a word.
ParlaMint-RS_2017-10-06-0.u22055	Dear Ministers with Associates, ladies and gentlemen of Parliament, I come from the Municipality of Grock where, in the last few years, with the great efforts of municipal leadership, a new municipal department for the northern part of the municipality and several postal offices has been opened to allow citizens to get the necessary documents faster and easier. This is why I am going to talk today about amending the Information Security Act and the Proposal for a Law on Electronic Document, Electronic Identification and Trust Services in Electronic Business. The fact is that these two laws are closely linked, i.e. to each other, because it is essential that the highest levels of data protection and information systems are provided through an electronic business reform. In order to improve the detection of high-tech crime, and in accordance with international standards and regulations in the field of information security, other than the training of civil servants and employees in the state administration, this law also provides for a range of protection measures, as well as the responsibilities of legal persons when using, managing and using information and communication systems. What is, of course, the goal is to achieve, in addition to increasing security protection in these systems, a parallel increase in citizens' and institutions' awareness of the dangers in these areas. Also, we are witnessing that all countries of the world, including Serbia, are facing this kind of problem, which means we are struggling with a kind of global problem. So it means that the security of information systems and the takeover of standards that already exist are, in fact, the only way to reduce the risks of counterfeiting and abuse in this area. The question arises what will the paper bring us in electronic business? Citizens are able to feel big changes already today to extract some document, and now we will have public services of an even better quality, which will further simplify communication between state administration, economy and citizens. It will bring us cheaper and easier access to public administration services, bring us growth of the ICT sector, as one of the sectors that records the largest growth, the fastest and makes over 10% of the total GDP. It is absolutely necessary to accept electronic acts as legally credible and binding. Serbia is now allowing citizens and legal persons to complete complex bureaucratic procedures without any paper through this digitalisation process. The e-business law introduces a qualified electronic signature, which, by simple procedure, will replace the complicated procedure of the present electronic signature, introduce an electronic document, which is equidistant with a paper document. We're introducing an electronic signature, which is extremely important for legal persons. We introduce electronic delivery and electronic document storage, which is very important because of the savings of large costs of archiving, i.e. keeping documents. The result of these newspapers will bring a lot of savings to citizens in time and relief from stress, walking from counter to counter, collecting documents, extensive paperwork, paying bills slowly going into history. Thanks to changes to the rules, economic operators will achieve serious financial savings, not only for the purpose of obtaining documents, but also for printing documents. In conclusion, I would like to say that these draft laws show a serious and committed work by our government, which allows Serbia to go further on the development path towards meeting European and world trends in the field of information security and electronic business. That's why I commend you, and in the voting day, I will support all the proposed laws. Thank you.
ParlaMint-RS_2017-10-06-0.u22056	The word is Jelena Žarić Kovacevic.
ParlaMint-RS_2017-10-06-0.u22057	I thank the esteemed chairman. Dear Ministers with fellow Members, ladies and gentlemen of the People's Parliament, it is my great pleasure to hear today that a lot of MPs have been focusing today on the draft law on the National Academy of Public Administration and I will say something about it. I'll try not to repeat myself and make it brief. First of all, I would say that I will talk about this bill not only for the reason that I would always put the profession first, but for the reason that, by applying the provisions of this law, a primate will be given expertise and professionalism, and that ultimately, with the more efficient work of civil servants, it will be for the benefit of citizens only. The legal framework governing this matter is diverse, which is precisely due to one general non-systemic approach to the problem of professional training of public administration employees. We now have several different state authorities and more government services in the area of professional training of public officials. Also, employees do not achieve the same amount of professional training, which also leads to an understanding of knowledge and skills acquired by state administration employees, but ultimately costs are being incurred for a country that is growing, so that costs are then disproportionate to the effects of improvement. Today, trends in professional training in the public administration include the process of improving existing knowledge, gaining new knowledge and skills, and all to ensure legality, competence in work and integrity in performing public administration jobs. I would like to remind you of one paradox, which is that this problem was solved only during the government of Aleksandr Vukic and now during this government of Ana Brnabic. So much has been said before about the need to modernize public administration in this regard. Even when the Constitution was adopted in 2006, citizens, businessmen and international partners were promised that Serbia would be modern, a European country in which the law rules. If that had happened then, we wouldn't have had a chance to talk about it right now. Also, by 2012, nothing was done, or only what was done was done contrary to the promises made to the citizens and what the citizens really needed. Today, Serbia in the area of professional training of employees has drawn close to the countries that have developed to the end. As good examples of practice, I would take France and Hungary. Hungary for the reason these institutions became part of the military and police academy. In the end, I'd just say that this law is expected to happen. First of all, it will have a positive impact on all users of the National Academy services employed by state authorities, in local self-government units, in companies, institutions entrusted with public authority. It will also have a positive impact on higher education institutions, scientific and research organisations, and on the great and positive impact of the law that will apply to citizens and businesses, I think it is too high at this point. For all of this, I would like to invite my fellow Members and fellow Members of Parliament to support these laws in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u22058	Thank you. There are no more entries on the lists of MPs for the word. (Maria Janjušević: There are reported. Let the Dwarry talk. ) Can you hold on much longer? (Maria Janjušević: Yes, I can. All right. Go on. (Maria Janjušević: As long as you need to start respecting the law. Come on, don't yell, let me work. Do they want the word of the president, or authorized... Not you. You haven't learned yet, you can't do that. I'm not doing it, neither are you.(Maria Janjušević: Don't work. Of course you're not doing what needs to be done. Respect the Rules of Procedure. That's all I ask. It's a little boring, you're repeating yourself. (Maria Janjušević: You do not have the same arches. Let's keep working. Is there anyone else who hasn't used his right to Article 96? Rules of Procedure? (Maria Janjušević: Yesterday you threw people out because of much worse things. Don't be a pain in the ass. (Maria Janjušević: I am not yelling at all, I am using my right. Now all MPs have the right to behave like this without being thrown out. Are you aware of that? I'm aware of that, yes, as soon as I let you go. Goran Ciric, come in. (Maria Janjušević: I am watching and how you prepare to dirty me, to rub me, to listen to you all, as you insult me, throw me away. I'm ready for anything, just to hear from you. I get it. The word has Goran Ciric. (Maria Janjušević: All the lies and slanders you have prepared I am waiting. It's your way of defense when someone defends the truth like I defend it. Respect the Rules of Procedure. I apologize to Ambassador Goran Ciric, who wants to speak. Here you go.
ParlaMint-RS_2017-10-06-0.u22059	And at the beginning of the debate, we talked about the need to strengthen the capacity of institutions, from local self-government through public administration, and obviously to strengthen the capacity of the National Assembly of the Republic of Serbia. Obviously, this atmosphere shows that we have not been very successful in building the capacities of the National Assembly. The president of the Assembly and the ruling majority bear the greatest responsibility. We, as MPs, must go from our own responsibility. I think it's important that we do something so we can talk about the laws. As we discussed the topic of forming the National Academy, in an attempt to standardise some of the practices in local self-government, I spoke and I think it is important that the Minister of State Administration and local self-government hear it, and above all, Mr. Minister, the need to make a preliminary selection in all local self-government, in public administration, in a way that all people with fake diplomas are discovered, to prevent people from being admitted with fake diplomas, with fake PhDs, and this will be the first contribution to what the Anti-Corruption Agency has been talking about, and that is primarily the job of the National Academy to work on training, ethics and the integrity of people working in public administration. So people are the key resource of every system, every state, especially these institutions, and I think it's the first step. The next step is to select the most successful students and those who can contribute to their quality in this work. Only then is this step that we are talking about, which is still, I think, a good idea, but above all, working on practical solutions because very often we have an example in practice where different local self-governments apply the same laws in a completely different way and, of course, this is not allowed primarily because of their responsibility to citizens living in Serbia. When we talk about the Law on the Electronic Document, the Electronic Security Act, which needs to modernise and provide infrastructure, part of the infrastructure in modernising our country, I think it's one of the key things about security. Exactly, we get, and above all thanks to the technological development of the most developed countries, we put in place new services like the electronic signature, what is the time stamp. We have the way of storage and the ability to preserve an electronic document and strengthen people's trust in the application of an electronic document, but I think it's a very important issue and some of our colleagues have talked about security, in order to have the right security, we need to have trained people, and with the reduction of the salaries of IT engineers, people who work in public administration and who can't resist the safer offers of private companies, where there are multiple higher salaries, we won't have a sustainable system in the state, nor will we be able to build a sustainable system in which we have a high level of security in the IT sector. Another important thing is the attitude of the DS that I've repeated here many times. It's a matter of infrastructure, it's a question and servers, it's a question and telecommunications networks and how to control and how to manage a telecommunications network. What happens tomorrow to the large number of solutions implemented by the state administration if it is going to privatise telecommunications infrastructure and when the telecommunications infrastructure is managed by a foreign company? I think it is important to point out that even if it is going to privatise public systems and systems whose state owns it needs to separate infrastructure from operations and should insist that the state remains a majority owner with a minimum 51% of the infrastructure ownership in order to safeguard security in such an important sector. So these are our thoughts, and I would like this debate to bring forward a reaction from the ministers, especially on these issues and topics that MPs have raised. Thank you.
ParlaMint-RS_2017-10-06-0.u22060	You've wasted your group time. Here you go. Injury of the Rules of Procedure, Zoran Radojicic.
ParlaMint-RS_2017-10-06-0.u22061	I refer to Article 107(2). – at a session of the National Assembly, it is not permitted to address the MP directly to the other People's Parliament, to use offensive expressions, as well as to present facts and assessments relating to etc. ... Article 112, then I will explain - if the president of the National Assembly cannot hold the session regularly, he will set a break until the work is in place. My colleague, Maria Janjusevic, was recently addressed in a very ugly way by some MPs, obtaining her, insulting her, cursing her. She has the right to her political position. He has a right to explain it. Please don't insult me. We can't expect any of this. Yesterday, we were deprived of time from the time of our parliamentary group when we asked questions.
ParlaMint-RS_2017-10-06-0.u22062	Injury of the Rules of Procedure.
ParlaMint-RS_2017-10-06-0.u22063	If you are unable to hold a session, withdraw, resign.
ParlaMint-RS_2017-10-06-0.u22064	Thank you. If you are unable to be an MP, I expect the same, to restore your mandate to the citizens of Serbia. Does anyone else appear under article 96 before the conclusion, and that he has time left, that he's head of the parliamentary group, that he's authorized, etc., since I can see there's also ignorance after months and months of work? Based on this and in the time left only Marijan Risticevic.
ParlaMint-RS_2017-10-06-0.u22065	Thank you. Ladies and gentlemen of the People's Parliament, as Orthodox and as a believer, I beg your understanding of my colleague. I must tell you that I will speak in these conditions that are not quite normal precisely because a woman comes from my city. Please give her her cabbage stone back. Don't laugh. I apologize to Bosca Obradovic. We thought it was his stone. But it's not. You must understand that Orthodox believers, especially women, keep their word. Without a scarf, he won't go to church, say, and if he's...
ParlaMint-RS_2017-10-06-0.u22066	MP, please on the agenda. Let it go.
ParlaMint-RS_2017-10-06-0.u22067	It's the agenda.
ParlaMint-RS_2017-10-06-0.u22068	Come back.
ParlaMint-RS_2017-10-06-0.u22069	Please understand for a public servant from India who has been involved in his time... (Maria Janjušević:...) Are you going to let me get dirty now because... ..... as a U.S.ID surveyor. Please understand her.
ParlaMint-RS_2017-10-06-0.u22070	Ambassador, I apologize deeply to you. I have to speak to Maria Janjusevic this time after such a long time, according to article 111 of the distance from the session.
ParlaMint-RS_2017-10-06-0.u22071	I'm asking for your understanding. (Maria Janjušević: Take me away from the session. I'm not touching you. Don't lie that I spit on you, cursed you or anything else... )
ParlaMint-RS_2017-10-06-0.u22072	Calm down. Let me work.
ParlaMint-RS_2017-10-06-0.u22073	I'm totally calm.
ParlaMint-RS_2017-10-06-0.u22074	Okay. You're holding a meeting of the Parliament...
ParlaMint-RS_2017-10-06-0.u22075	The second day in a row you interrupt the session.
ParlaMint-RS_2017-10-06-0.u22076	... and with regard to Article 109...
ParlaMint-RS_2017-10-06-0.u22077	So, please, get me out of the session.
ParlaMint-RS_2017-10-06-0.u22078	... As I came across an understanding of a MP whose time is left, I conclude a joint principled search of the bill's proposals...
ParlaMint-RS_2017-10-06-0.u22079	It's a surrender. It's a surrender. It's a surrender.
ParlaMint-RS_2017-10-06-0.u22080	... The shame really, the law of point 1, 2, 3 and 4 of the agenda...
ParlaMint-RS_2017-10-06-0.u22081	And violence against the opposition.
ParlaMint-RS_2017-10-06-0.u22082	Dear Members of Parliament, you will have to understand that it is very difficult to hold a session when we have MPs like this who...
ParlaMint-RS_2017-10-06-0.u22083	To respect the Rules of Procedure, it's not hard.
ParlaMint-RS_2017-10-06-0.u22084	We'll continue our work, just to finish our consultations with the ministers when we can continue our work. We have another point. We have another agenda point. So Monday at 10:00. Thank you very much and thank you for understanding today's work.
