ParlaMint-UA_2017-04-06-m1.u1	Colleagues, please come into the hall and prepare for the registration in the evening session.
ParlaMint-UA_2017-04-06-m1.u63	Andrew Lozovy, Radical Party. Today, Ukraine has been given a visa-free regime, but much. It's beautiful, of course. More importantly, the European standard of living. And including the human attitude, it is humane toward people with special needs. The whole country was hit by the story of Anatoly Bartholomew, the blind, the disabled and the group that was not allowed on the subway in Kiev with the guide dog. The story of Eugene Gabrieluk, who can't get into a wheelchair, is that there's no way to get on the subway properly. And it's a shame and a great shame. I urge you, colleagues, to now support this bill unequivocally, to gather votes. And all the local authorities in every city, region of Ukraine, work every day to ensure that people with special needs do not feel unnecessary and feel that they are the same people we are. Thank you.
ParlaMint-UA_2017-04-06-m1.u64	Thank you. Please, Vladimir Ariev of the BP.
ParlaMint-UA_2017-04-06-m1.u65	Dear colleagues, I have often had to observe that in Ukraine people with disabilities are well fed and healthy car owners. And they don't care about these badges at all. We will now do a very important job by increasing the responsibility for parking in places reserved for people with special needs. But we, I want to emphasize, we're doing a fragmented thing again. We were all very happy today with the visa-free regime, and today we are all wearing this tape that supported the visa-free regime. But we have not yet been able to accept – already the third attempt in the Supreme Council – a bill that will generally make parking in Ukraine according to European standards. Bill 5364 to be adopted. And finally, in Ukraine, to stop the "parking Armageddon," that's when it will be.
ParlaMint-UA_2017-04-06-m1.u66	Thank you. Please make your last speech, Eutusek.
ParlaMint-UA_2017-04-06-m1.u67	Sergey Eutuszek, "The Fatherland" faction. Dear colleagues, I will now say that the Fatherland faction supports this bill, which improves the ability to move for the disabled. We're clearly saying now that the bill provides for a system of fines for those people who have no disability, but try to park their cars in places that are equipped for the disabled. This system of fines is also intended for unscrupulous operators who are to set up parking sites, places where disabled persons can park. Therefore, a fine of 120 to 150 untaxed minimums is imposed for the repetitive, neglect, or resubmission of a protocol to such owners. And one more point, chief, is that representatives of public organizations are given the right to fine, to make a protocol.
ParlaMint-UA_2017-04-06-m1.u68	Colleagues, discussion is over. Please come into the hall. And I want to answer that. I hear a statement every day about the bill that needs to be put in place. I propose as a reform of Parliament that we do not do two, but three weeks of work, there are no votes in the room. I suggest we cancel break 12-12. 30 — no votes, no colleagues. So I'm asking that we have a causal link. I propose more effective work for Parliament and ask for support for those initiatives that will enable us to consider more legislative acts. By the way, we're going to put the daily bills back in order, and there's going to be bills for reform of parliament and a bill to cancel the break of 12-12.30. Please be supportive. And in this way, we will all make the work of Parliament more effective. Now, colleagues, let's move on to making a decision. And I am voting on the draft Act amending some of Ukraine's legislative acts to increase the responsibility for parking, parking, parking, parking of vehicles to places designed for people with special needs, on a base, just on a basis (room 5629). Please vote and please support. Vote please, colleagues. Please be supportive. [[17:01:47]] For 266 Decision taken. This is the basis. I've read the name like you, between the first and the second readings you'll be able to make your report. Now, colleagues, before the next bill came a statement from two factions on the break, from the People's Front faction and the Radical Party. They're ready to replace the break with a tribune. And I invite you to speak from two factions of Anton Heraszczenko. Please, Anton Gerashchenko.
ParlaMint-UA_2017-04-06-m1.u69	Dear colleagues! Dear Ukrainian people! As for the self-help faction, it was reported that Colonel Yuri Goluban of the Ukrainian Police was a member of illegal military formations and was involved in terrorist activities in the spring of 2013. Yuri Goluban, who, along with other police officers, was beaten down by the National MP Parasuk a few weeks ago, wrote a statement on March 16th on behalf of the Attorney General asking to check false information about his involvement in terrorist activities in the spring of 14. On March 17, the application was registered at the Office of the Attorney General of Ukraine. Following this statement, the Attorney General’s Office, along with the Security Service, should verify all the facts presented by Mr. Douban. This statement is widely used by the media. If we're here, in the Supreme Council Hall, we're going to slander each and every one of us from the words of the terrorists and use a video that's not tested that can be faked, then we're going to play with you and we're going to fight and we're going to lose this country. That's why there's the Attorney General's office. She's running a background check. This will be followed by an official statement by the Attorney General, which has led to the knowledge of the people's deputies and of the people of Ukraine. Thank you.
ParlaMint-UA_2017-04-06-m1.u70	Thank you. Replica, Parasuk, one minute. It was called a last name.
ParlaMint-UA_2017-04-06-m1.u71	I haven't spoken here since the beginning of this whole conflict, but I'll tell you. A group of people who were on a commercial roadblock were stopped at one of the roadblocks. They checked all the documents, checked the cars, checked all the people, rewrote the data, photographed it, and released it. Then a group of strangers blocked the road, started shooting at my head, using gas, tear gas. Tell me, please, you men, who are most of you here, how would you behave if your sister or your father were simply beaten or put face to face in the ground, I think your behavior would be the same as mine. I want to apologize for my uncensored speech and not for my actions. Because half-Don police are latent separatists who gave up our state in the 14th year. Thank you.
ParlaMint-UA_2017-04-06-m1.u72	Colleagues, we move on to the next issue of the agenda, this is the bill amending the Ukrainian Law on Pensions for Special Credits to Ukraine (number 4556). And I would like to vote in favour of the summary procedure. Please vote, please support the consideration of the reduced procedure. Colleagues, we vote. [[17:05:11]] For-152. Decision taken. And I invite you to the report of Deputy Minister of Social Policy Shambir Mikola Ivanovich. Please, Mikola Ivanovich.
ParlaMint-UA_2017-04-06-m1.u73	Dear Andrew Volodymyrovich, distinguished national deputies! The bill that I'm introducing is designed to simplify the procedure for granting special merit pensions. If, today, a pensioner who is entitled to a special merit pension has come to file a pension, he will submit a pension certificate to the Pension Fund, and in addition, he will have to submit documents that grant a pension for special merit, to the District Administration of the Pension Fund or in some areas, to the Social Security Authority. In order to make the procedure simple, we propose that all documents be placed in one place: to submit to the Pension Fund Administration, which according to the regulations, according to the order for the assignment of pensions will assign a special benefit at the same time and together with the general pension. In addition, the bill foresees that the size of the special merit allowance will be determined by the scheme for determining the size of the allowances. Such a scheme was approved before the 12th year by the Commission at the Cabinet of Ministers. This committee is not working today. And we're proposing that this scheme be approved by the cosmopolitans. In addition, the bill contains some technical standards that are regulated, clarifying the procedure for the complaint of the Pension Fund's decision to appoint or refuse special merit pensions, aligning other issues that are now referred to the assignment of pensions and for simplicity, so that a person can simply and quickly assign such a pension. Thank you for your attention.
ParlaMint-UA_2017-04-06-m1.u74	Thank you. Before inviting a co-rapporteur, I want to inform you that we have, in fact, people's deputies coming up to me and stressing that there is today a block of "inclusion in the agenda of the day session." After that, we will vote on them. I ask you to reconsider, they are all in the order of the day marked in advance, after which there will be no discussion, but only a vote. There, if I'm not mistaken, 12 draft laws, and each of them will be voted on after this bill. The co-report invites the head of the Social Policy Committee Committee Drauk Sergey. Please, from the rostrum. Please.
ParlaMint-UA_2017-04-06-m1.u75	Dear colleagues! Dear Chairman! The bill only regulates legislatively the mechanism for the appointment of a special merit pension. That is, the project does not apply to the re-size of pensions, the conditions of their appointment, or to persons entitled to pensions for special merit before Ukraine. The Committee on Social Policy, Employment and Pensions reviewed and supported the draft law at its meeting on June 1, 2016. According to the committees, the bill meets the requirements of anti-corruption legislation and does not have an impact on the budget. The main scientific and expert administration of the Supreme Council of Ukraine generally supports this legislative proposal, but it gives some observations. While sharing the authors' opinion on the adoption of a bill that would simplify the procedure for the appointment of special merit pensions, the committee decided to recommend to the Supreme Council of Ukraine a draft bill to be adopted as a basis for the first reading. Thank you for your attention.
ParlaMint-UA_2017-04-06-m1.u76	Thank you. Colleagues, are they willing to discuss the bill? Yes. Turn two in, two in, please. Scissor, please.
ParlaMint-UA_2017-04-06-m1.u77	Yuri Chizmar, faction of the Radical Party of Oleg Lášk. Dear colleagues, it is clear that we should respect our pensioners, especially those who have done much for Ukraine, both in labour and in military activities. Sadly, though, we keep talking about some well - deserved pensions, even though I remember how Korczak was here yesterday, who deserved to pay 200 thousand dollars for a job she did not do. And I have a feeling that half of the pensioners with earned pensions were getting about the same. So we need to figure out what's worse, let's say, the railroad worker who's been putting up 30 years, she's getting a social pension, and the person who was sitting in the office wasn't making a high salary, she was doing a lot of credit to the state. The Radical Party requires a different approach. We have to raise pensions, we have to think about those who get it today, those half a million people who only get 947 pensions that they can't live on at all. We have to think about people who haven't been counted for a long job since 2012. We have to think about what today we have to raise, as a minimum, up to 2-2.5 thousand dollars of pension for every pensioner, because on such pensions a pensioner can't survive, he can't work. And we're thinking about what? On the rise of retirement, we're thinking about freezing social spending on pensioners. This is not social policy. Our Constitution clearly stipulates that Ukraine is a social state, and worrying about the weaker is the first task of our parliament. So without denying that this law should be upheld. I would like to draw the attention of the Ministry of Social Policy to the global issue of pension reform. And if they're looking at these issues, we have to move away from merit pensions to a normal, high-quality, secure pension for each retiree. Thank you.
ParlaMint-UA_2017-04-06-m1.u78	Thank you. Melnik Sergey Ivanovich from Peter Dustenk's Block.
ParlaMint-UA_2017-04-06-m1.u79	Dear colleagues! I mean, it's not about the size of pensions, it's about the procedure. And as a former city head, I want to say that earlier, as it was before. They bring you a catalogue, a commission, everyone. a person submits all the documents, then submits to the district commission, and this procedure lasts. I think that's very correct: we simplify the procedure, that's the pension fund issue. The only thing I'd like to add is that from the time we define special merit, the Pension Fund has to do it automatically without submitting a human claim. Thank you.
ParlaMint-UA_2017-04-06-m1.u80	Semenha Roman Sergiyovich.
ParlaMint-UA_2017-04-06-m1.u81	Semenha Roman, "The Self-Help Union" faction. Fellow Members, the bill determines that the Pension Fund should remain the only body that sets pensions for special merit before Ukraine, which is paid from the State Budget. In addition, it is necessary to clearly determine who is applying to the Pension Fund for special merit pensions and what may be the basis for refusing such a pension. The difficulty of assessing the acceptability of further presence in one list with war heroes, war veterans, with Ukraine’s heroes former MPs and government officials of the former U.S.R. What might be the special merit of those who actually represented the authority of the vertical. the former Soviet occupation regime in Ukraine? If we're going to talk about specialty, why don't we include in this list of heroes of the modern Russian-Ukrainian war for independence? Next, I have an impression of some "parallel reality": how can we talk about specialty without cancelling a disgraceful, actually, 15 percent tax on working pensioners? In this session room, we were promised in 2015 that this is an exceptional temporary measure to stabilize the financial situation in Ukraine. The year 2017 is already coming, and even the government is shyly silent about it. Next, if we're talking today about the absence of a transparent register of so-called "pecpension" allowances, in fact today this situation is completely not transparent. In 2017, according to various estimates, allowances and special benefits amount to 62 billion dollars. How many extras are hidden in other articles? I don't understand. Therefore, reforming the solidarity system, verifying pensioners in a single register, and making the process of counting and paying pensions absolutely transparent for Ukrainian citizens. Thank you.
ParlaMint-UA_2017-04-06-m1.u82	Thank you. Eutusek gives to Odarchenka. Please.
ParlaMint-UA_2017-04-06-m1.u83	Dear colleagues, the proposed bill contains one positive innovation and a large number of negative ones. At the moment, the Ukrainian Pension Fund has set up a pension allowance for special credits to Ukraine. But there are a few cases where it's set up by the central executive authority or local government administrations, it refers to pensions for heroin mothers and pensions for persons who have won war medals. The drafters plan to establish a single order for the establishment of allowances through the Pension Fund of Ukraine. And this unification, from our point of view, is correct, but it should be noted that this money is the only money that is justified in the explanatory note to the bill. All other positions in the note are not mentioned at all, and the reasons for their acceptance are unclear. Thus it is proposed that the Pension Fund be empowered to determine the specific amount of the allowance on the basis of a legal act. It is not clear whether the act will set specific amounts of allowances for each important case or whether the official of the Pension Fund will be given corrupt powers, deciding whose merits are greater and how much should be assigned. Also unfavorable is the position that a person himself should apply for a special merit pension. At the present time, government authorities or local self - government have given special credit for the granting of pensions, and this is true, since modesty does not allow all to write a claim on their own that they have special merit before their Father. The bill also allows the reduction of pensions for special merit before Ukraine. This will be possible if the legislation provides for smaller amounts of allowances than they.
ParlaMint-UA_2017-04-06-m1.u84	Thirty seconds, please.
ParlaMint-UA_2017-04-06-m1.u85	Dear colleagues, this bill can be adopted in the first reading, but it needs to be seriously worked out in the second reading. Thank you.
ParlaMint-UA_2017-04-06-m1.u86	Thank you. Colleagues, this is our final speech, and we're moving on to making a decision. Please come into the hall and take your jobs. From the Opposition Block, Natalia Kraljevska. Please.
ParlaMint-UA_2017-04-06-m1.u87	Ladies and gentlemen, I would like to point out that a government bill in general deserves support. But I have an important addition, which relates to the list of individuals to whom a special merit pension is established before Ukraine. So far, there are eight categories in this list. These are heroes rewarded with appropriate medals and medals; they are Olympic and Paralympic champions; they are cosmonauts; many child mothers who have given birth and are worthy of raising five or more children. But in addition, there are two completely inappropriate categories in this list, in my opinion, which are national MPs and four or more appeals to local self-government authorities. Obviously, it's a completely socially unfair norm: assigning pension allowances to deputies. No pension benefits from national deputies, the local authorities today have no right. Let's be.
ParlaMint-UA_2017-04-06-m1.u88	Thank you. 30 seconds, please finish.
ParlaMint-UA_2017-04-06-m1.u89	And so I propose to add a complement to Project 4556, and delete paragraph 5 and article 1, paragraph 7, of the Pensions and Pensions Act. For special thanks to Ukraine. So we're now going to cancel the allowances for the pensions of the national deputies and the deputies of four or more appeals to local self-government bodies. That's what we're doing, and it's really going to work.
ParlaMint-UA_2017-04-06-m1.u90	Thank you. Colleagues, let's move on to making a decision. I'm asking you, colleagues, all to take up jobs. Now we're going to vote in favour of the bill, and then we're going to vote in favour of the day-to-day session. I ask the heads of factions to invite deputies to the Hall, and I ask the Secretary of the Supreme Council to invite the deputies to the Hall. I would like to point out that draft Law 4556 is only a basis. All the suggestions and corrections that have been made can be sounded and added between the first and the second readings. Just on the ground. And I ask everyone to support this bill. So I'm voting on the draft Act amending the Ukrainian Law on Pensions for Special Credits to Ukraine (No. 4556) as a basis. Colleagues, just on the ground. Please vote. Please support 4556 on a base. Let's vote, colleagues. Please be supportive. Please be supportive. [[17:19:54]] For 217 I'll put it back once. Invite the deputies into the hall, I'll put them on the way back. Please invite deputies and take your seats in the hall. So, colleagues, we're taking up jobs, and I'm voting on the proposal to go back to voting for Law 4556. Please be supportive. Please vote, colleagues. Back to 4556, please support. Not enough votes, each vote matters. Please vote. Please be supportive. Vote, colleagues. Vote. Please be supportive. [[17:20:59]] For 225 [[B in m in s a l in]] One voice. I see. Please take the job. Yes, please. Colleagues, I'm going to go back to 4556, and then I'm going to put it back on the ground. Please support the return to 4556. Please vote and please support. Let's vote, colleagues. Please vote. Please be supportive. Vote. [[17:21:37]] For 221 Second reading, to be sent to the committee to prepare for the re-reading. I'm asking you to support this proposal. I think it'll be acceptable for everyone. I propose that Law 4556 be sent to the committee to prepare for the rereading of the first reading. Please support, let's save the bill, let's unite around this proposal. Please vote. 4556 to the committee to prepare for the re-reading. Please support, we vote. [[17:22:25]] For 225 Last offer. Return the subject to the right of legislative initiative for further development. I'm asking you to take up jobs. We have every voice that matters. Colleagues, according to the Rules, we go in this order. And now I'm voting on draft Law 4556 to get the subject of the legislative initiative back on track. Please vote, please support. Please vote. Return the subject to the right of legislative initiative for further development. Vote, please. [[17:23:16]] For 247 Decision taken. Colleagues, let's move on to the agenda of the day session. I would stress that this is not a discussion. All of these questions were raised on the site, and each of the national deputies was able to get to know them. Moreover, I would like to point out that when we approved the order of the day session, we included all the laws, all of which were named, in the order of the day session. So I think it'll be fair if we're all of the proposals that were offered by the deputies, so let's also put the agenda of the day session. It's just getting into the agenda of the day session. I'm going to call you one by one, and I'm going to urge you to support them. Please prepare for the vote. I'm going to call it in that order, as indicated in our agenda. So the first one. It is proposed to include in the agenda the draft Act amending article 31 of the Ukrainian Act on the Rehabilitation of Persons with Disabilities in Ukraine (6155 and 6155-1). Please vote. And I'm asking you to back me up. Vote. [[17:24:47]] For 252 Decision taken. Next is a draft Act amending some Ukrainian legislation on increasing the resistance to trafficking and protecting victims (number 6125). Please vote. Please be supportive. Please be supportive. Vote. [[17:25:21]] For 238. Decision taken. Next is a draft law amending the Ukrainian Act on State Registration of Civil Status Acts and some other legislative acts on decentralization and the approximation of administrative services to citizens in the area of civil status registration (6150). Please be supportive. Please vote. Let's vote, colleagues. [[17:25:59]] For 208 The decision is not made. The next is the draft Law on State Control in Social Support (6159, 6159-1 and 6159-2). Please vote. Please be supportive. Vote. [[17:26:34]] For 176 The decision is not taken. Next. Oh, it's very simple. 6232, that's it. Come on, I'll get right on it. 6019, right, now? So we just voted him out, he didn't pass. He didn't make it. Next. Didn't you vote? Okay. I would like to vote on the draft Act amending Chapter VIII of the Act on the Finality and Transitional Positions of Ukraine "On Collection and Accounting of the Only Contribution to the General Compulsory State Social Insurance" (6019). Please vote, please support. This is the Social Policy Committee's proposal. Please support 6019. [[17:27:44]] For 196 The decision is not taken. The next is 6232, a draft law amending the Ukrainian Code of Procedure, the Ukrainian Civil Procedural Code, the Ukrainian Code of Administrative Judiciality and other legislative acts. 6232 please support the inclusion in the agenda of the day session. Please vote. Vote. [[17:28:22]] For a hundred and The decision is not taken. 6233: Draft Law amending Article 540 of the Customs Code of Ukraine concerning the enforcement of the decision of the income and assembly body or the court imposing a fine (6233). Please vote, please support. Vote, colleagues, 6233. [[17:28:59]] For 155 The decision is not taken. Colleagues, I remind you that when we formed the agenda, all the laws were included. I think there has to be some moment and solidarity here too. Next is a bill amending the laws of Ukraine on the Committees of the Supreme Council of Ukraine and on the Central Executive Authorities on optimizing the work of the Committees of the Supreme Council of Ukraine (6256 and 6256-1). A working group on parliamentary reform worked for two months, and the bill worked for two months. In the final stages, all members of the working group from all factions confirmed the support of the bill. This is an initiative for reform of Parliament, in our joint work with the European Parliament. And I hope that all the factions that supported the working group are now supporting this by voting. Colleagues, I ask you very much to support this bill, two bills for reforming Parliament. Please support the inclusion in the agenda of the session 6256, 6256-1, colleagues. Please vote and please support. Let's vote, colleagues. Please be supportive. This is Peter Cox, our partner. [[17:30:24]] For 205 What are you guys doing? 205, let's see the factions, colleagues. Peter Prashenko Block 84, People's Front 55, Opposition Block 0. I would like to point out that a member of the working group confirmed these efforts and said that he would support them. Self-help: 17, Radical Party 13. Also, the working group said it was confirmed. "Paternity" is 10, "Will of the People" is 10, "Party of Rebirth" is 4. Guys, I'll put it back on. I'll put it again. Not everyone here understands what the vote is about. I'm asking you to take up jobs. And I'm re-entering the agenda for the 6256 and 6256-1 sessions. I think the result of this vote will be very significant to me as the Head of Parliament. And to me as the Head of Parliament. I'm warning you. 6256 and 6256-1, please support the joint working group, please vote. Please vote, colleagues, and please support. Vote. Please be supportive. Please vote. [[17:31:51]] For 216 Colleagues, 10 votes, does that make sense again? There's another point. And then I'll warn you what's going to happen. I'll warn you what's going to happen, and I'll tell you what's going to happen, there's going to be an identical vote on other bills. Colleagues, third time, we put three times, I'll put the third time to the vote. [[B in m in s a l in]] Don't yell, there won't be any money. I ask, colleagues, for the joint work of the working group of all the committees, groups and factions that have confirmed, to vote in favour of the inclusion in the agenda of the session, of the colleagues. So that we don't blush in front of our European partners. I'm asking you to get organized. I'll put it to the vote again. I'm asking you to support me, colleagues. And I put it to a vote, just to put it in the order of the day session, a colleague, not as a basis, not as a first reading, not as a second reading, but as a mere inclusion. So 6256 and 6256-1 please support the inclusion in the agenda of the session. Please vote, please support. Please vote. [[17:33:11]] For 215 The decision is not taken. Please show by factions. Block of Peter Poshenko – 88, People's Front – 61, Opposition Block – 1, Self-help – 16, Radical Party – 14, Father's Party – 10, Will of the People – 13, Rebirth Party – 2. Thank you. Again, the draft Law amending article 19 of the Supreme Council of Ukraine Rules (6281). This is the committee heads' bill, in which they propose to cancel break 12-12.30. It is also a reform of Parliament and an increase in the efficiency of our work. I ask for your support and I ask you to show who really wants to work fully in Parliament. I'm putting 6181 into the agenda of the day session. If you'll excuse me, I'd like to vote. Let's vote, colleagues. [[17:34:15]] For 196 The decision is not taken. Colleagues, this is a demonstration of our level of work. Does it make sense to bet again or not? I won't. Let's move on.
ParlaMint-UA_2017-04-06-m1.u91	Dear colleagues, the following bill is 6227, the draft Act amending the Ukrainian Act on State Service (for the clarification of individual provisions). Please vote for him to be in the order of the day session. Integrating into the agenda. Vote. [[17:35:08]] For 178.
ParlaMint-UA_2017-04-06-m1.u92	The decision is not taken. The next one is 6265, a bill amending the Ukrainian Natural Gas Market Act. 6265. Please vote for inclusion in the agenda of the day session. Please be supportive. Please be supportive. [[17:35:42.]] For 158. The decision is not taken. Next, 6220, the draft Act amending the Criminal Procedural Code of Ukraine to include information in the Single Register of Procedural Investigations and Grounds for the Closure of Criminal Conduct. 6220, who supports the inclusion of the day-to-day session, please vote. [[17:36:16]] For 245 Decision taken. The next is 6212, a draft Act on the restoration of the capacity of state-owned coal companies (6212) requesting that the inclusion of the day-to-day session be supported. Please vote. [[17:36:45]] For 193 Maybe not everyone understands, this is the draft law on the restoration of the capacity of state-owned coal companies, this is the draft law of National Deputy Bondar (6212). I hope they've all learned. I'll put it again, please support 6212. Please vote, please support. [[17:37:20]] For 216 One last time, colleagues, and please mobilize. For the last time, I'm going to put 6212, because there aren't many votes. The draft Law on Restoration of the Payability of State Industrial Enterprises (6212) is requested to support the inclusion of the day-to-day session. Please vote, please support. [[17:37:53]] For 226 Decision taken. The following is the latest, 5350 draft Decision on measures to protect national interests, national security, sovereignty and territorial integrity of Ukraine, countering terrorist activities (number 5350). Please vote and support the inclusion in the agenda of the session. Please be supportive. Please vote. [[17:38:32]] For 221 Colleagues, please come into the hall and take up jobs. I'll put it again, colleagues. Take up jobs. I am voting on 5350: a draft decree on measures to protect Ukraine's national interests, national security and territorial integrity. Just getting into the agenda of the day session, just getting involved. Please vote. Please be supportive. Let's vote, colleagues. Please be supportive. Please vote. [[17:39:12]] For 224 Two votes. I'll put the third time, the last one. Please, take your jobs. I'll set it one last time. And I'm putting 5350 into the agenda of the day session, just putting it into the agenda of the day session. Please vote and please support. Let's vote, colleagues, the agenda for the day session. Vote. [[17:39:45]] For 226 Decision taken. And, colleagues, I've been approached by a committee. Today we voted back on Ukraine’s electricity market for the second time. The committee requests that the proposal be made by a summary procedure. Let's support the committee. Short procedure for second reading. Colleagues, let's vote, let's support. I'm voting on a motion to review the shortened procedure of the Ukrainian Electricity Market Act. Vote, please. Please vote. Please be supportive. Please be supportive. Review of the simplified procedure. [[17:40:38]] For 229 Decision taken. Colleagues, let's move on to the next question of order of the day. This is next in line with the daily draft of the Law on Amendments to Article 11-1 of the Law on Humanitarian Aid (for the operationality of decision-making) (5480). And I'm asking you to support his consideration of the reduced procedure. Please vote. Please be supportive. Vote. [[17:41:17]] For 171 Decision taken. And I invite you to the report of Deputy Minister of Social Policy of Privalov Alexander Vitaliyovich. Please.
ParlaMint-UA_2017-04-06-m1.u93	Dear Mr. Head! Dear National Deputies! Your attention is given to the draft Ukrainian Law on Amendments to Article 11prim. 1 Ukrainian Humanitarian Aid Act. The current mechanism for providing disabled persons is that a disabled person receives a 10 - year - old car and can use it to obtain a new car. In doing so, a car is recognized as a humanitarian aid that has been exploited for more than 10 years at the request of a disabled person, a child with disabilities is sold to him or her in the event of his or her death as property of members of their families. The relevant decision on the transfer of a car is taken by the Ministry of Social Policy of Ukraine. In view of the very large number of appeals and decisions being made not promptly, the draft Law proposes to delegate to the Council of Ministers of the Autonomous Republic of Crimea, the district of Kyiv and Sevastopol City Administration the respective functions of the Ministry of Public Affairs to take decisions on the transfer of cars recognised as humanitarian aid, property of persons with disabilities, children with disabilities or members of their families. The proposed changes in general will contribute to the timely adoption of appropriate decisions and the implementation of State social security guarantees in the area of the provision of disabled persons by road. Please support this bill.
ParlaMint-UA_2017-04-06-m1.u94	Thank you. Please, from the profile committee, deputy head of the Committee on Veterans, Fighters, ATO participants Maxim Burbak, please.
ParlaMint-UA_2017-04-06-m1.u95	The main objective of the 5480 bill, as has already been said, is to ensure that the decision on the transfer to the property of people with disabilities of light cars is made available to them through social protection bodies as humanitarian aid and, in the event of their death, owned by a member of a family of the deceased with disabilities or his heir. To that end, it is proposed that such decisions be made directly at the local level, the government. Today, such decisions are made by the miscreants. The main scientific and expert office supports the adoption of the law as a basis for the first reading. Decisions of the Committee on Veterans, Actors of War, ATOs and Persons with Disabilities: Recommending Bill 5480 to the Supreme Council of Ukraine as a basis and generally as laws. Please support the committee's decision. Dear colleagues, this is a problem in every area. Last year, we decided that it would be the humanitarian aid given to people or families of a deceased disabled person. But the regulations weren't developed, and every time, I'm addressing myself, the car number and the body number, so that these cars can give them to families who buy these cars themselves abroad and import them as humanitarian aid. Because the state had no opportunity to provide them with free transportation. There's a lot of cars like that. And that's why we've made a decision, and we're proposing that we make a decision not just in the hands of the Minsopolitics, but in the hands of the government to take this decision quickly, we're going to deal with these issues more quickly on the ground. And they know better who to give to, who to whom this car can be taken back to government property. Please support as a whole. Thank you.
ParlaMint-UA_2017-04-06-m1.u96	Thank you. Please sign up to discuss the bill, Your Honor. There is a proposal to vote immediately. Is there no objection? He's denying two factions. Please sign up for the discussion. Three factions deny. Please sign up. Please, from the Radical Party of Oleg Lazko.
ParlaMint-UA_2017-04-06-m1.u97	Oleg Lazko, Radical Party. Our faction will support a bill that simplifies the procedure for allowing cars to remain heirs to the dead. I remember when we chose the law so that people with disabilities or their relatives would have the right to keep their cars. Because there used to be a situation in which a half - life person, a half - life person, waited for a car, then died, and this car was removed from the family and passed on to another. It was totally antisocial. So today it is necessary to make a decision so that district administrations have the opportunity to consider these issues and decide to leave the disabled car in the family. But we need to look more closely at the social policy of supporting people with disabilities. Already, my esteemed colleagues at the Radical Party faction have told us that people with limited capabilities do not have any adapted infrastructure for living and moving. God forbid, if a person is in a wheelchair, he can neither reach the store nor to the pharmacy nor to public transportation. Because our building standards provide equipment for people with special needs, and there's really no such thing. Another huge problem. These are meager pensions, including social assistance for the care of the disabled and the meager pensions of the disabled themselves. That's why the Radical Party faction requires the government, the President to vote, to support our initiatives to increase the pensions of so-called social workers, to recalculate pensions for people who have a lot of jobs, but unfortunately have copious pensions. We call on the authorities to cancel the robbery bill for counters that are suffering, including disabled persons and people with very limited needs. We insist on meeting with the President to resign the NCREKP and the rosins.
ParlaMint-UA_2017-04-06-m1.u98	Please, Natalia Weselova from Self-Help. [[B in m in s a l in]] Well, Maxim, I'm in, but there are your colleagues on the hall who want to say another hot speech. Please, Mrs. Natalia.
ParlaMint-UA_2017-04-06-m1.u99	The Self-Help faction will support this bill because we consider it fair to simplify the procedure for the transfer of cars used by people with disabilities and with disabilities from childhood to heirs, because such cars are usually bought at the expense of the disabled themselves. But in order to simplify the procedure for the purchase of such cars abroad, they are recognized as humanitarian aid and are charged with the management and social protection of the population. So we're going to support this bill in order to simplify the process of getting heirs to such cars. Thank you.
ParlaMint-UA_2017-04-06-m1.u100	Please, Yuri Soloway of Peter Dustenka's Block.
ParlaMint-UA_2017-04-06-m1.u101	Yuri Solovay, 89 constituency, Gutzulščina, and Pocust. Dear colleagues, clearly this bill needs to be supported. But besides taking advantage of the opportunity that we are considering social issues today, I think that we should all understand and draw attention to the key social problem that is in society today -- that is the state of Ukrainian citizens' pensions. I want to give you a few figures from this high rostrum, including 80 percent of Ukrainian citizens today receiving a pension of less than 2,000 dollars. It's quite obvious that today's pension system is the only function of aid from poverty. It is therefore clear that in the near future, the Ukrainian Parliament should consider a pension reform that should restore justice in receiving pensions. But today the work I hear is in the top of the government, only about reforming the solidarity pension system. Clearly, this work is needed in time. But we believe that fellow national MPs, more than 15 people, are apparently inadequate. Today it is time to talk about starting a second level pension system called the accumulation of a pension system. And today we've developed a new agenda for a new pension policy that includes this level. And I want to go to the government from this rostrum so that we can have the necessary consultations as soon as possible in order to review the changes to the solidarity pension system and implement the accumulated pension system since 2018. Thank you.
ParlaMint-UA_2017-04-06-m1.u102	Please, Matvienkov from the Opposition Block.
ParlaMint-UA_2017-04-06-m1.u103	Please pass the word to the Queen.
ParlaMint-UA_2017-04-06-m1.u104	Debt. Yes, please, Dudenkov.
ParlaMint-UA_2017-04-06-m1.u105	Royal.
ParlaMint-UA_2017-04-06-m1.u106	Sori, the Queen. Please, Mrs. Natalia.
