ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u1	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u23	WOMAN (M5S). Thank you, Madam President. This motion, as I said, is a reminder and also a warning for the realization of a common plan, which places a firm point, from the point of view of protection and aid, towards all those who, humanly and materially, have suffered these tragic and irreversible circumstances. The past 5 and 6 September, in Gargano, there has been an alluvial event with catastrophic dimensions: two deaths, hundreds of wounded, about 300 million euros of damage. Many in those days were the (your) catwalks, the selfies and the tweets, but nothing, I repeat, nothing concrete was done by the government to really help the citizens who suffered the events. The film is always the same: at the turning off of the spotlight and the lights of the political limelight, the media promises of the moment, as well as the pathetic parades of hypocrisy, come to an end in order to give way to the grotesque ripple of responsibility and, finally, to the condemnation of oblivion and forgetfulness of a territory torn from within, pierced to death. In addition to the widely understood citizenship, the most penalized band was that of the farmers: there has been a ruinous impoverishment of the land, rendered sterile and probably polluted by the disastrous and dragging power of the water, as well as very serious damage to the crops and olive groves, the green gold of Puglia. Entire crops of various species literally swallowed by the mud. Added to this is the mockery of insurance policies: before the calamitous event, many farmers, but also simple citizens (and this applies everywhere, throughout Italy), had concluded insurance policies including damages for natural disasters and atmospheric events. However, in spite of the reasonable and urgent need for protection and refreshment, at the time of the claim for compensation, the policyholders received the refusal of the reference insurance companies, due to the non-formal declaration of natural disaster of the competent institutions. Many municipalities have been hit in the Gargano: in Peschici the town beach has disappeared and the tourist villages have been literally disemboweled; not to mention the stadium Maggiano, whose infrastructure pours into a condition to say the least ruinous. Ulse and Kalena, two important territorial canals, have invested the bay of Peschici, carrying to sea everything: slag, shrubs, debris, scrap of all kinds, pieces of real estate, waste of all kinds. In San Marco in Lamis there were dozens of landslides, hundreds of displaced. In Vico del Gargano, the estimated damage was about 40 million euros and the scenario was chilling: blocked roads, non-existent roads, as well as a disastrous compromise of the precious citrus groves and local olive groves. Rodi Garganico, Vieste, Carpino, Rignano Garganico, San Giovanni Rotondo, San Menaio, Cagnano Varano: villages reduced to heaps of mud and debris, destined for isolation due to landslides and road blocks. The list of culprits is very long and the actions carried out in the hours immediately following the water bomb - as you called it - have been inadequate and untimely. The government, as proof of its pathological inadequacy, made only announcements and proclamations, without concluding anything. And this neglect refers, with memory, to the sad past: the situation of discomfort and abandonment in Emilia after the earthquake of 2012, L'Aquila and the terrible earthquake of 2009. Not to mention even more events dating back to time, more precisely 1997, with the earthquakes of Umbria, a region where there is still - absurdly - an emergency situation, almost twenty years later. Even the unacceptable alluvial events of the Gargano could be avoided: it would have been enough to visit the normative section of the website dissostopuglia.it to understand that the damage could at least be predicted and limited. As a demonstration of the existence of a substantial danger, in November 2010, between the Puglia Region and the Ministry of the Environment, a programme agreement was signed for the programming and financing of urgent and priority interventions for the mitigation of hydrogeological risk. The location of the interventions invested mostly the areas affected in September, namely the province of Foggia, between the Gargano and the Dauni Mountains, with the forecast of an appropriation of approximately 210 million euros. Well, in four years it has never been possible to convene the Conference of Services to gather the necessary documentation to start the works of mitigation of the hydrogeological failure. Still at a territorial level, the news released by the press has not been comforting. While last 9 September the Apulian Regional Council asked the Government to initiate procedures for the state of emergency, the regional authorities made known the necessary amounts for the support of the expenses already incurred for the urgent activities of safety, for the restoration of both the damaged infrastructures and the drainage grid, as well as those concerning the damages to the private and productive activities: a colossal amount equal to a total of 274 million euros. As if that were not enough, in relation to the whole issue, it also emerged the reasonable existence of criminal elements and Foggia's attorney opened an official file on manslaughter, manslaughter, violations of urban laws and omission of office acts. It is absolutely necessary to find those responsible, who cannot and must not remain unpunished. On 19 September last, the government promised that it would deal with the matter, but neither in the Council of Ministers of 19 September nor in the subsequent ones, even mention was made of the Gargano and the terrible flood that hit it. Yet, ironically, the Council of Ministers of that same day had dealt with the foggiano, but not in the desired terms, rather dealing with the construction and operation of wind power plants: it was thinking of the construction of wind farms and not the disaster of the Gargano. That's crazy. Gargano, in essence, has been removed from Renzi's list of priorities. He took it all back into the facts, earning himself the title of champion of rhetoric from scrambled. The statements made on September 13 sound, in fact, like real tricks to the backs: We must value what is beautiful in Italy and again: I won't leave you alone, the government will do its part. But when? Eighty euros to those who already have the money, eighty euros to future moms and eighty face of bronze! That's the truth. A vast area of the Mezzogiorno, severely damaged by an unexpected and problematic calamitous event, is waiting for urgent public funding. An estimated EUR 274 million is needed. Proclamations of facade without any consistency. Solidarity does not surround the emergency, nor does it heal the territory. It is time for the Commission to take real action. We need a real commitment. In the first place, and first of all, it is necessary to carry out a serious, thorough, reliable, but above all univocal reconnaissance of the damages that has suffered every single Municipality of the territory of Gargano. An investigation, this, which must not only be carried out with the use of every useful power in the possession of the Executive, but must also be done in immediate times: 30 days from the approval of this motion, and no more. Secondly, all the funds needed to restore damaged infrastructure must be allocated, both at national and European level, with a related assessment of the use of the Armed Forces. The priority must be given to civil housing, roads, bridges and all those structures that can accelerate the revival of productive activities, put to the test by what has happened. In this sense, it is essential to draw on the National Emergency Fund, with a simultaneous start to work which must be completed clearly and precisely: 60 days for start-up and 180 days for completion. Thirdly, there is an unbreakable need to have a reclamation, rehabilitation and maintenance plan for the canals. As my time is running out, I will announce that I will hand over the full text of my speech to the Presidency. In any case, I think it is appropriate to point out the incipit of every point. As a fourth point, the Commission must use all the powers at its disposal to fully implement the programme agreement of 25 November 2010, the one signed between the Ministry of the Environment and the Puglia Region. As a fifth point, it is essential to create a special tax relief scheme for people affected by disasters, through appropriate and effective action towards the Revenue and Equitalia Agency. In the sixth point there is the time factor: we ask for a strict respect for the timing of implementation of all the interventions described so far. As a seventh point, the Government will have to provide for exclusion from the internal stability pact for works planned by municipalities and regions. That's what you ask, what you have to do. There are thousands of people, families, small entrepreneurs, farmers, who are asking for and waiting for concrete help. Turning to the other side could be an unforgivable mistake. Do you feel like doing it again? Do you feel like stepping on all these people? If you feel sorry for yourself, do not vote for this motion. Don't vote for anything. Keep going like tanks. Sooner or later your conscience will ask you why. [[Applause from the M5S Group.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u24	The Presidency authorizes you to deliver the full text of your speech so that it is annexed to the Minutes of the sitting. I refer to the continuation of the discussion on the information of the Minister of the Environment and the protection of the territory and the sea and the related motions on the protection of the soil at another session.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u25	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u26	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u27	PALMA (FI-PdL XVII). Madam President, I am speaking half, if I may say so, on a point of order, on a personal note and on a point of order. I would like to inform the House today that I have made a request to the Presidency Council of the European Union to ensure that the sanction of the deploration which was to be imposed on me on 14 October last year is lifted or cancelled. For this sanction there is no form of appeal in our national law, in stark contrast to constitutional jurisprudence and - most important - with the jurisprudence of the European Court of Human Rights. Having said that, which is clearly not the content of my speech, I would ask you, Madam President, to be able to attach to the report of the sitting a copy of the note which I have sent, in which all the innumerable violations of the Rules of Procedure which, in one way or another, have characterized the decision to impose a sanction not provided for in our law, in stark contrast to Article 7 of the European Convention for the Protection of Human Rights and Fundamental Freedoms, as well as Article 25 of the Constitution. In the letter, which I hand over to the Presidency to be attached, all the macroscopic procedural violations are expressly indicated. I would like to make this request in order to avoid tedious reading of a text which can only be referred to those willing who, in the case of tomorrow, intend to read it. Having said that, Madam President, I come to my request. I formally request that the Committee on the Rules of Procedure be convened in order to decide on the correct interpretation of Rules 12, 66 and 67 of the Rules of Procedure, in the light of the procedure followed by the Council of President in imposing the above-mentioned sanction. Why do I say that? From the reading of the Rules of Procedure - it certainly does not require a scientist or an apprentice of the law to say so - certain circumstances emerge. As for the first - and I shall begin quickly to conclude - the Presidency Council has no competence to impose censures on the events that have taken place in this House. Secondly, the procedure provides for the recall of the order, first, and the censorship, later, as a time of contestation of the accusations. This is so true that the senator concerned is guaranteed the right to intervene immediately to justify it. Precisely on the basis of those justifications, the President of the Senate, the only person entitled to exercise the power of order and censure for the facts committed in the Chamber, may, at his sole discretion, revoke the measure. I believe that, to keep quiet about other things, it is absolutely necessary to convene the Committee on the Rules of Procedure. Someone will shake their shoulders thinking: "What, at the end of the day, is a lamentation; it doesn't exist, what importance it can have," and so on. This, however, can be said by those who have a low regard for their own person. I strongly demonstrate that in disciplinary proceedings the rules must be respected punctually, not because I have (probably have it) a particular consideration of my person, but because, at the moment of letting free the power, whatever it is, to imagine and impose sanctions outside of any rule of law (despite the constitutional cover that assists the matter), inevitably affects the autonomy and freedom of individual parliamentarians. If tomorrow, for example, I were to address someone with the term 'useful idiot', would this be disciplinaryly sanctionable or would it be covered by the European Court of Human Rights which, in the case of Eon against France, considers this statement absolutely unappreciable, being legitimate exercise of the right of criticism? If we do not put rules to the exercise of disciplinary power, the freedom and autonomy of all the Members present here would obviously be undermined. [[Applause from the FI-PdL Group XVII, M5S and Misto-SEL]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u28	The Presidency takes note of what you have said and authorizes you to attach to the report of the sitting the note you referred to.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u29	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u30	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u31	FALANGA (FI-PdL XVII). Madam President, I agree with Senator Palma's request that I also add a note to the documents, sent to all the members of the Presidency Council, with which I have limited myself briefly to highlighting the violations of the Rules of Procedure which have been put in place in the context of the motion of censure which was communicated to me at the last sitting of the 14th. I believe that the reasons are basically the same and, therefore, I just refer to the reasons set out by President Nitto Palma, but I would like to make a clarification. President Palma was right when he remembered that someone said, shrugging their shoulders, that in the end there was nothing wrong with censorship. I have no problem saying that these words were addressed to me by Vice-President Gasparri, who urged me not to be sorry, reminding me that in his political career he has received several complaints, and therefore considers little to be the target of a censure measure. I do not know the sensibilities of Senator Gasparri, but I know mine and I cannot imagine being the recipient of a measure, however, disciplinary that goes to harm my goodness and my stature as a politician without being given the opportunity to defend myself. What President Palma says is extremely correct, and I say it in a much simpler way: if the Presidency has the power to remove a number of senators from the Chamber or, in any case, to impose disciplinary sanctions that provide for the removal from the Chamber, this can alter the balance of political forces in Parliament. Some of the last measures have passed with a small majority. Well, as would be the case with a careful and studied examination of the measures and the outcome of the votes, the assumption by the Presidency and the Bureau of this power is likely to alter the balance of political forces in Parliament. I have presented this note, as well as undoubtedly to protect my goodness, also so that it does not remain in this Senate precedents and practices that can seriously and seriously compromise the progress of the work. That chair, President, is becoming, in my opinion, contagious. It is not by chance that even the impeccable, the majestic, the authoritative President Calderoli, to whom goes the recognition and appreciation of the entire Senate of the Republic, even she, at the last session, at the end of my speech in the discussion of the bill of conversion of the decree-law, let herself go to a comment, for the unusual truth and completely free. I believe that that chair authorizes you, Madam President, and all those who govern the House, but never go beyond the powers that the Rules of Procedure, the law, our country and the State attribute to you. I therefore believe that criticism of an intervention, and whether or not it was pleasing, is not possible for a President and I am concerned about this virus which is perhaps spreading within the framework of the Presidency Council. I do not know, but perhaps many of the components do not have the scientific expertise to read these brief notes, which have been prepared by my study staff; I do not know if they have adequate scientific tools, but in that case they document themselves and ask experts and, after they have had any clarification, they express their opinions. Before that moment, before understanding and knowing things, they refrain from doing so, so that they can give the Presidency Council the authority it deserves from the scientific point of view as well. [[Applause from Senator Alicata.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u32	The Presidency authorizes you to attach your note. I just want to make it clear that fortunately the Constitution guarantees to every citizen, regardless of their qualifications, that they can participate in the elections in this country and that there are also full competences in the Presidency Council.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u33	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u34	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u35	Mr Albano (PD). Madam President, ladies and gentlemen, we join the chorus of hope and congratulations from all over the world for the Nobel Peace Prize awarded on 10 October to the seventeen-year-old Pakistani Malala Yousafzai. Already last year we had listened to his quiet and incisive words spoken at the UN in favour of education and children around the world without distinction of sex. For her ideas she was made the object of a terrible ambush taut by the Taliban, who shot her in the head. She miraculously survived, even though today she lives with a titanium plaque on her skull. The brutal attack immediately did not scratch one gram of its battle force in favour of the freedom of women and the education of all children. He gave evidence of this in front of the UN. He understood that the pen is stronger than the sword and that extremists are afraid of books and women. The award of the Nobel Prize was communicated to her in the classroom as she followed a chemistry lesson. He received congratulations from his teachers and comrades, and resumed his studies. She declared herself surprised at the award of the Nobel Prize, but also honored, proud and proud to be the first young woman to receive it. We thank Malala for reminding us that fate is in our hands. An example for all, especially for those who are losing the importance of universal values: peace and justice, overwhelmed by a society that gives more space to women half-cover than to a girl already woman. You have received congratulations from the Pope and the Italian Government, so I think it is appropriate that you also hear words of congratulation and sharing from this Chamber of the Senate and from Parliament. [[Applause.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u36	Thank you, Senator. The presidency of the Senate certainly supports the congratulations on this important fact. We all applauded the award of the Nobel Prize to Malala.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u37	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u38	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u39	PUGLIA (M5S). Madam President, today I have a story to tell about cyberbullying, which has been the victim of an overweight girl whom I will call Giusy, so as not to mention her name. I went to read the definition of cyberbullying, which is precisely defined as "any digital communication published or sent by a minor for the purpose of intimidating, embarrassing or hitting in any other way another minor." Well, in this case, alas, it is not a minor, but a "major" and I am here to speak for the last, because we are the saviour of the people against the arrogance of the mighty on duty. I read the message of Dad, who told what happened to his daughter: Politics and especially those politicians who play institutional roles should be an example for young people and fight to defend themselves against abuse and abuse. Yesterday my daughter, just 13 years old, posted a tweet in defense of Fedez, which has been the subject of attacks by Mr Gasparri and vice president of the Senate. The father continues by pointing out that: In this tweet my daughter simply tried to defend her idol, apostrophated by the honorable as a "colored thing." Obviously in the mind of a 13-year-old fan this offense was very serious, to the point that she herself tweeted: "Dear Gasparri, the colored thing is a clean and humble person unlike you that you are dirty and you believe it because you are a congressman." These are strong words on the part of a little girl, who thus considered to defend her idol, guilty of having realized the opening letters of the event "Italy 5 stars," emphasizing how a senator to attack her used her media force and her institutional power. Mr Gasparri, the father reports, replied with the following tweet to the girl: Less drugs, more diets, mischief. The father stated that he felt obliged to write a letter to Mr Gasparri. This gentleman called him "honorable"! "Dear" - I will not read the word "honorable" - first of all I wanted to say that my daughter fortunately does not use drugs. On the other hand, being a child could not make use of it since it mostly spends the time guarded by us parents. Ever since she was born, I have been trying to teach her respect for people and other people's ideas, just as I try to teach her how to defend her ideas and freedom with her teeth. I know, my daughter is overweight, just as I am overweight, but this, believe me, does not authorize you or anyone else to use this physical defect to make it the subject of ridicule. The message actually continues, but I do not go any further in reading. You, Mr President, were all too kind and kind to offer me time in this House, but I wanted to give voice to the latter, because they very often have no voice. In this regard I recall the time when the fiefs and barons were present, who with their strength oppressed and crushed the people even by committing unclean and deplorable acts. Fortunately we are not at that time, however, I do not know why, but this case brings back to my mind scenes of that reality. [[Applause]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u40	I am sure that Senator Gasparri, as well as Vice President of the Senate, will have the opportunity to clarify his position on this matter.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u41	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u42	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u43	VACCIANO (M5S). Madam President, it is a few days ago the news of the arrest of six directors of the Green Holding SpA Group on the charge of peculate, for having appropriated 30 million euros set aside for the rehabilitation, the so-called post-mortem, of one half of the landfill of Latina, managed by Indeco, a company controlled precisely by Green Holding SpA. The other half of the Pontina landfill is managed by Ecoambiente, creature of the garbage magnate Manlio Cerroni, arrested last January together with the managing director. Two companies, eight arrests. With this intervention I intend to solicit the answer to the act of inspection union 4-00909, deposited on 25 September 2013, centered precisely on the Indeco company, its dubious management of the landfill, its co-responsibility in the pollution of the aquifer for the weakening of the network of wells placed to control the area. There was also a great deal of concern about the inclusion of the Latina landfill in the infringement procedure already opened for the Malagrotta landfill because of the barbaric practice carried out by Indeco of the landfill of such as, i.e. undifferentiated and untreated garbage, contrary to regional, national and Community laws. Just last week the European Court declared Italy also failing for the two landfills of Latina (Indeco and Ecoambiente) located in Borgo Montello, for the burial of shredded waste and the failure to stabilize the organic fraction, endangering the environment and human health. I would like to take this opportunity to thank the President of the Region of Lazio Zingaretti, for having made statements following this report of condemnation, with which he reassures his voters and associates because, according to him, the savage spill at Indeco did not continue beyond 1 August 2012, expiry of the deadline set in the reasoned opinion of the European Court. Too bad that I myself am an eyewitness of outlawings at the Indeco plants well beyond the time limit considered by Community justice, as also reported on the act of inspection union for which I intervened. It is not necessary to trust only my word, since there are several videos on the net that testify to all this and constitute incontrovertible proof: I do not wear a jacket and tie, but I am the one who appears in the videos. In conclusion, to start giving answers I believe that it is an act due to those citizens who, in addition to being mocked by politicians and entrepreneurs, are those who materially live in contact with water, soil and polluted air. [[Applause from the M5S Group and the Senators Bencini and Bignami.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u44	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u45	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u46	Mr Bencini (Misto-ILC). Madam President, ladies and gentlemen, I am speaking on a matter which, to date, does not seem to have found a precise definition but, above all, a solution that takes account of the interests involved. I refer, in particular, to what emerged following the act of inspection union 4-00961, in the kind of written question proposed by Mr Bulgarelli, together with other senators - including myself - on 8 October 2013 and addressed to the Ministers of Labour and Social Policy, Equal Opportunities and Youth Policy, Foreign Affairs, Regional Affairs and Local Self-Government. The question in question, in fact, took note of how the Alisei NGO, in possession of the so-called suitability for the management of cooperation and development projects, in 2002 had activated a social building project in ways of assisted self-construction called "A roof for all" with the aim of offering a solution to the emergency housing of young Italian and foreign families with scarce economic resources. Moreover, what was meant by "self-construction" and "assisted," that is, on the one hand, a building initiative in which the house is built through the work of the future owners, men and women, even without experience in this field, who during their free time are on the construction site in order to build the house with their own hands, opposing the lack of availability of economic resources their own constructive capacity and their own free time; on the other hand, the presence of a permanent organization with the task of overseeing the project and ensuring the correct implementation of the constructive process. On that occasion, the House was reminded of the alleged responsibility of the Alisei NGO for the distraction of money in over a dozen sites in Italy for the self-construction of the project "A roof for all" and about the failure of other international projects of international cooperation, financed by public funds: moreover, this was how the protagonists of history, the self-constructors and the vice president of the cooperative "Mani Unite" were expressed. It was echoed, therefore, to the case raised in 2012 thanks to the obstinacy of the families of self-builders of Filetto (Ravenna), united in the cooperative Mani Unite, who, after having worked for more than two years to the realization of their houses and have been cheated for the disappearance of Alisei with much of the money necessary to finish the works, decided not to lose the hope of seeing one day recognized their rights and to occupy for 94 days and nights the dilapidated skeletons of the houses. There was also a light on the major irregularities committed by the Alisei NGO in relation to a considerable number of international and national projects, as well as a whole series of investigations and inspections undertaken against it and which, in some cases, led to the issuance of injunctions and or the withdrawal of contributions granted to it. PRESIDENT. - The debate is closed. Senator Bencini, I assume you're soliciting an answer and not reading what you've already filed for the record. I'm telling you this out of fairness. Mr Bencini (Misto-ILC). Yeah, I'm making a reminder. If anything, Madam President, I leave the text to the record, because I would like it to be reported in full. PRESIDENT. - The debate is closed. All right, you're authorized to do so. Mr Bencini (Misto-ILC). From now on, the NGO Alisei will no longer be able to receive public funds to operate abroad, but what will happen to the families of Filetto self-builders gathered in the joint Mani cooperative is not known. The news concerning this case, in fact, tell us of meetings with the mayor of Ravenna, legal paths undertaken by all the involved subjects (the Municipality of Ravenna, Alisei, Banca etica and the cooperative Mani Unite) but of no definition of the matter. PRESIDENT. - The debate is closed. Please finish, Senator. Mr Bencini (Misto-ILC). We would therefore like to have an answer and we are waiting for it. PRESIDENT. - The debate is closed. We will ask for that answer. Mr Bencini (Misto-ILC). Thank you, President.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u47	The motions, questions and questions received by the Presidency will be published in Annex B to today's report. I recall that the Senate will return to public session today, at 4.30 p.m., on the same agenda. The sitting was closed at 14.04 a.m.
