ParlaMint-RS_2001-12-06-0.u14854	It's a business thing.
ParlaMint-RS_2001-12-06-0.u14905	Here you go, Mr. Nikolic.
ParlaMint-RS_2001-12-06-0.u14906	Ladies and gentlemen of the People's Parliament, since we are MPs, we will certainly participate in this debate. But, please, when you talk about the violations of the Constitution that you have made in these years, about betrayals, about incompetences and crime over the past year, about handing over people to The Hague in political decisions and when you want to wash your dirty laundry, don't involve anyone outside the DOS coalition. What we heard from this pay phone is all your problems. Don't get mad - these are your shitty pants, and I don't have time to think about it, because you brought Serbia to the brink. Your conflicts have been going on for seven or eight months. What were you thinking? All of you are reminded of what you do. Are we gonna watch "The Diaries" every night and find out if you're in a fight today or not? But stay out of this Serbian Radical Party. What coalitions are you talking about here? How come you're transferring coalitions with someone else? The Serbian Radical Party is not in a coalition with anyone. You're talking about selecting the president of Irig municipality the day before yesterday. The vote was secret. No one knows how he's folding yet. When the municipal government is elected, if any of the radicals participate, there will be no more radicals. Wait till we see who's handling this against the orders of his political party. Maybe it's someone from the Democratic Party. Did you approve of him going to Raska for a coalition with the Socialist Party of Serbia? Yes, it is. Well, then what do you hate about that coalition with the Socialist Party of Serbia? How he can do it somewhere, and he can't do it somewhere. Do you have any principles? Don't get us involved in this anymore. I heard we're political rivals, and that's fine, but we're not bitter. We radicals are not bitter. We're normal people who do politics and want good for this people. If you act bitter as politicians, there's nothing about politics. Be reasonable. You chose one president of the assembly, you were in good relationships. We told the people that you were not one day, that you were gathered together to perform a task; behold, today we heard whose task was the task of the NATO Pact. Whoever of you is rebelling against a warrant coming from the West, even if they look like warrants, will be expelled, while there are 126 of you in this assembly, and then we will react to those of us who have never been to such collaboration with anyone in the world. And so once again, the SRS participates in this and has an obligation to participate in political life, but when you do this to each other, don't mention us at all. If we were wondering, the Serbian radicals, the Martian would not have been elected: the DOS asked. Had Serbian radicals asked themselves, citizens would not have voted for Kostunica, they would have voted for Serbian radicals, as the real representatives of a policy praised by Vojislav Kostunica, because it was obviously a big deception. But now, what's there is, you go on today, and we have a lot to say; whenever you put a point like this on the agenda, you're going to give us a chance to talk about you the way we talk about you in public at all. But for the first time in these few days, citizens have the opportunity to find out who they voted for and why in September and December of last year.
ParlaMint-RS_2001-12-06-0.u14907	He's got a word, Mr. Alexander Wolf, right on the line.
ParlaMint-RS_2001-12-06-0.u14908	Ladies and gentlemen of the People's Parliament, let me once again explain to you what it is: Mr. Mihajlov called me by name and last name, because I said we did not vote for any law proposed by the Government of the Republic of Serbia, not by vote, but by refusing to vote for the appointment of Judge Vasilic in any place; and we did not vote for any other proposal; and I do not see at all how the Serbian Radical Party found itself in all of this. I have to say a few things that are very important in this debate -- us, the SRS, someone likes, someone doesn't like. You can think of us as thinking of what you want, but it's perfectly safe to do everything publicly -- that there's nothing to hide; that what we think and say and what we say and what we do; all of us, with everything we think and what we do, we get to know the citizens of Serbia. We have no secret agreements, no negotiations, no secrets, no public, no such, no such support for any part of the government, for any proposal. I must remind you - therefore, not for the choice of the Serbian Government, not for the election of the National Assembly president, not for any single legal and sublegal act, as was the Rules of Procedure on the work of the National Assembly, the MPs of the SRS in the National Assembly of the Republic of Serbia did not vote. It's an absolute fact that no one can kill. So far, we have had a principled opposition attitude: no one has bought us for anything, for any law, for any vote, or talked to us about it; nor has he been able to negotiate, because he knows what our political opinion is. The best evidence for this is that, ladies and gentlemen, the fact that the SRS has been completely excluded in Serbia today, as the only political organisation, from many media; only representatives of Serbian radicals cannot appear anywhere. They show up, though, our pictures, but we can't show up on those TVs. I can't have Serbian radicals on RTS for a year, and I have to admit they're still the most correct ones in the journals, so sometimes they let us go on line two. You can't go to BK, you can't go to Pink, you can't go to Politics, you can't do any other TV. From all other parties, and ruling and opposition, I can't radicals, just because there are no agreements with them, no secret negotiations, no secret talks and no voting for DOS laws, no voting for what the Government of the Republic of Serbia proposes; not because we think we have to always be against all laws, but because all these laws have been bad so far. Those laws were written by someone else. I also refer to what Minister Milovanovic said in the paper, he published "National" two days ago, that this law was also written under direct pressure and by the IMF's order, which promised to give Serbia 80 million, and if there is no law, there is none of it. And why do they need that law?
ParlaMint-RS_2001-12-06-0.u14909	Mr. Wolfie, speak almost a minute longer, please finish.
ParlaMint-RS_2001-12-06-0.u14910	I'm finishing up, Mr. Shabic. I can see how different arches you have. Someone just spoke for four minutes and 50 seconds, so you didn't warn him. That's how much Mr. Michael said, Mr. Shabic, I don't lie when I say something like that. But I'm done. The question arises - who are the people who order the national representatives in the National Assembly to pass such or such laws? Now, that's the fundamental difference between us. It's never Russia or anyone else. We voted here for one thing, and that was the Declaration on Kosovo and Metohija, so you broke it, stepped down and invited Serbs to the elections. Now, now the Shiplars are humiliating them down there, training them to press the tasters, how they're going to vote, and what they're going to do. Shame on the assembly. We're not in it, and we're not in it.
ParlaMint-RS_2001-12-06-0.u14911	There's a word Mr. Martian.
ParlaMint-RS_2001-12-06-0.u14912	First, ladies and gentlemen, I will thank you for coming in great numbers, at least at the very beginning. I was appalled when I saw even Mr. Kasu, whom I especially warmly thank, as Deputy Prime Minister and MP, who was worthy to come to the congregation building. First, I will refer briefly to the text of the Proposal for Education, it remains here as a document, on the basis of which the resolution of the President of a Parliament, the National Assembly of the Republic of Serbia is proposed; because what we heard in the oral presentation of the absent Mr Jovanovic has nothing to do with what is standing here, so I will focus my attention on the written text. In short, it says that "from the election to the president of the National Assembly of the Republic of Serbia today, Dragan Marsican has repeatedly violated the coalition agreement of the Democratic Opposition of Serbia". This sentence, as one of the two that explains the resolution of the president of the assembly, points to complete ignorance -- of course not by Mr Jovanovic or Mr Djindjic, who is actually the president of this parliamentary group -- what is the state and what is the National Assembly; or at least what it should be. The president of the National Assembly of the Republic of Serbia, whoever he may be, must stick to the Constitution, the law and the Rules of Procedure on Labour; and to non-alilation agreements. What the proposer is talking about here, except for the complete ignorance of the institutions of this country. Then, it explains: "Dear Marsican has put his actions and work in the National Assembly of the Republic of Serbia into the role of exclusively representing the interests of the DSS, which has violated the role of the president of the National Assembly and has lost the confidence of DOS MPs." To a good extent, that is exactly what it is; precisely because the DSS remained the only protector of the DOS programme, as it existed a year ago, the programme with which it won the elections. I'll explain it later, if you're patient to listen. So, among other things, in this home, I advocated that the National Assembly carry out its constitutional obligation to control the executive authority, control of the Government of the Republic of Serbia. Is that what DOS wants or doesn't want? No, that's not what DOS wants. The fact that it is the DOS software commitment, once his and today's DSS, I have represented it in this assembly. You'll say it's not a DOS pledge. I agree that it is not, I agree that in that part, I have remained to represent only DSS's views, but thus the Serbian Constitution. I've been trying to make this National Assembly as much as I've been able to make an institution that will enjoy citizens' trust. On the occasion of the DOS proposal to abolish television transmissions, we as a party get that majority in the then joint parliamentary group to retain television transmissions, because it is one of the democratic fluids we advocated when we were opposition parties. We believe that Serbian citizens still, now that we are in power, should have insight into what is being done in this highest body. I'm up for it today, as president of the assembly for a while, and we'll see what the DOS will do later. In several other such and similar cases, where today's DOS has strayed from the programme's definition of the Democratic opposition to Serbia as we once did together, I have been alone and indeed represented in the work by the DSS, including the pronunciation of very critical courts to the work of the Government of the Republic of Serbia. I feel like we all used to, that the government has to be responsible, that it has to be under Parliament's control. MPs are obliged, regardless of whether they are in opposition or in the parliamentary majority supporting the government, not to give priority to the government's trust in everything it intends and does, but to do exactly the opposite - so that the Parliament can limit and control the government; and the parliamentary majority is precisely for its government to function responsibly because the only responsible government can be a good government. You, gentlemen of the DOS, forgot that. The DSS didn't forget that. Expressing harsh courts to the government of the Republic of Serbia was my duty. Finally, a little bit more about the procedure, about the Rules of Procedure, that there is no justification for the urgency of the proceedings due to possible adverse consequences, etc.; of course, I will not go into it because it only says that a large parliamentary group, which wants to rule Serbia, is unable to overcome any ordinary proposal to resolve the president of the Assembly. But it's in the end line less significant. More significant are the circumstances in which we are today discussing the resolution of a president of the National Assembly of the Republic of Serbia. I'm not going to talk about the opportunities in the country, but that Mr. Jovanovic actually forgot, if I'm not mistaken -- I'm sorry he's not here, he might answer if that's not the case -- that this is the President of the Assembly's resolution, but he was talking more about the DSS and the President of the SRJ, so at one point I'm completely confused and at which I'm actually in office right now and who he's actually talking about. But it's a good thing he went to focus, so he'll probably come back. I will talk about the circumstances in which we are discussing the resolution of the President of the National Assembly. The attacks, the harsh campaign, the organised campaign by, above all, the Information Bureau - the misinformation of the Government of Serbia, through the media and here in parliament, began, most strongly from the moment the DSS disagreed with the programme and way of work of the Republic of Serbia; with the fact that the Republic Government, more than willing to do so, actually daily violates the laws and the Constitution in its work; that it works untransparently, not to say untransparently, hidden from the eyes of the public, hidden from the eyes of this Parliament; that it works through the illegal formation of agencies etc. So, in such circumstances, when the DSS decided to withdraw its representatives from the government of the Republic of Serbia and boosted its legislative activity in parliament, attacks on us began at that time. The DSS submitted to this parliament a package of judicial reform laws, which were adopted in this assembly and received, later by representatives of the Council of Europe, a very high grade. The Council of Europe, among other things, requires our country, and that is also in our interest, to bring the laws in line with the legislation of Europe. It is one of the conditions to be accepted as full-time members of the Council of Europe and to open the way for us to enter the European Union. In addition to harmonisation of legislation, we are required to establish a rule of law, fight crime and corruption, establish institutions. These are European Union requirements, not what taxes will be; not how privatisation will be done; not what we hear from the mouth of the government of the Republic of Serbia daily. These commitments are made with appropriate arrangements with other institutions, which have nothing to do with our journey to Europe. These are relations with the IMF, the World Bank. Don't let them lie to us that these are the conditions for our entry into Europe. The conditions for our entry into Europe and our interest to enter there are the rule of law, sound institutions and legislation in line with European countries. Everything else is just fiction. So, when we stepped up our legislative activity in this particular section, when we proposed the reform laws here in the area of justice, highly assessed, supported by the professional public and (in that period) by the DOS coalition parties, but, above all, at the moment we gave the initiative, we came forward and came forward with a law on co-operation with The Hague tribunal, a fierce campaign against the DSS opened up, and a parliamentary crisis was launched in Serbia. Think about what this is really about? Who cares if this state doesn't get a co-operation law with The Hague? Think about it, don't learn, but think about what it is and why someone wants to open a parliamentary crisis in Serbia; to prevent the adoption of legislation on co-operation with The Hague tribunal, which would ensure the co-operation of this country; to meet the obligation to the international community and to that court; to ensure co-operation on legal grounds, but at the same time to protect the interests of the state and of any citizen who can be struck by this court, with whom we have to co-operate. At that moment, and at the moment when we were here having a debate about the labour law, until the moment we pointed out it - Ceda Jovanovic can say whatever she wants, whoever you think you think of when you remember that folk saying "when women lie," he can say whatever he wants -- there was no deal between DSS and DSS; there was no trade. The DSS in this temple, and by doing that, I'm going to finish my exposure, not a merchant, and he'll never be a merchant. The deal was, I stand behind it, and Chad can tell you whatever he wants, and you trust him with whatever you want, as follows: "Gentleman, don't stop making a package of reform laws, basically good ones. You have objections to certain members, you have amendments, that's fine. But don't stop the adoption of reform laws that this Serbia has been waiting for for a year, which are the condition of the international community. "From mere spite, protecting an incompetent minister of justice, who instead of doing his job, invents unconstitutional variations for taking down marks, as if the markings and symbols were important, not the essence in which we live today. Besides, as it's not a five-point star, a temporary mark could be a hecler. So that was the deal. The deal was: "Let's unblock the illogical, harmful blockade of parliament. Let's discuss it, bring justice laws in line, align our objections, our amendments to the labour law. "We said from day one: "The labour law is basically good, but the labour law, as proposed, does not protect the economy and does not respect social opportunities in Serbia. "There is enough space to remain reformal, to keep all its provisions in line with the International Labour Organisation conventions, but as proposed, it does not protect those who, in these circumstances, will have to remain jobless in a period of transition. This must, however, be determined by defining the minimum protection of these people, the criteria under which this will be done, by accompanying social programmes, etc., which cannot be regulated by this law. It was also our request, and it was a deal, not to go to spite, to unblock things; that instead of two basically good laws we get a set of good law in the field of justice and get a good law on labour. No agreement has been concluded, some key amendments to the labour law have not been adopted. After all, he is on the agenda and who tells you that he will not vote in this assembly; this will be discussed here. Maybe it would have already been settled today if someone hadn't decided that, the moment the theft was found here -- now I'm looking at you, don't bend your head -- deny it and start all this. Mr Jovanovic, as Mr Djindjic's link in this parliament, on his way to parliament and on his way to Surcin, can point out that the manipulation of the footage has been demonstrated. But that video, which is said to have been mounted by the Democratic Party of Serbia, was released from the original Serbian Radio-Television tape on a show that I participated in the night before last. When they played their original BETA tape self-initiatively, twice, and from that everything can be seen, as all of you, gentlemen accomplices in theft, clearly Mr. Novakovic was not here. Your silence, believe me, not as much as the applause from the back, tells me - and Mr. Jovanovic talked about stealing and manipulation - your silence and your silence while I was saying this gives me hope that we might one day be able to talk about these things in a way that can be discussed among correct people. Finally, when I was talking about these circumstances, when I was talking about a set of reform laws, when I was talking about what might be most important and important here, which is an attempt to prevent the adoption of a co-operation law with The Hague tribunal, then just to determine who, for God's sake, is the one who wants to challenge the crisis in Serbia. The crisis in Serbia today corresponds to those who are trying, and will not succeed, to stop the process of redefine by constitutional means, relations in the common state of Serbia-Montenegro that want to stop it, at the moment when such a process has been fully supported by representatives of the international community; at the moment when the process needs to get full momentum in order to finally resolve the issue of the common state; so that this state can get a new constitution, new elections, and by normal, regular means solve the deep political crisis that has existed in it for months. Also those who want Serbia to rule smoothly. Talks here about various moves: it is possible, with all the consequences that would be caused and with all the responsibility for the consequences caused. We'll pass that, we've passed the time of Slobodan Milosevic, so you don't think we'll hesitate in a time that someone's already called Zoran Djindjic's time, God forbid. We always enter these stories with a certain outcome, and that outcome is the victory of the Democratic Party of Serbia, that is, its political options. So, the parliamentary crisis in Serbia is caused by a violation of the Democratic Opposition of Serbia coalition agreement, which says that the post of Prime Minister of the Republic of Serbia belongs to the Democratic Party -- we are not making a question of who it is; we will create -- and the seat of the president of the National Assembly of the Republic of Serbia to the Democratic Party of Serbia. Never, for my great happiness and pleasure, have I been chosen by the Democratic Opposition of Serbia. I was chosen by the Democratic Party of Serbia and the citizens who voted for DOS, the then and the Democratic Party of Serbia that was in that then unique DOS. You voted by obligation, as we voted by obligation, for the President of the Republic government, under the coalition agreement. Finally, Slobodan Milosevic is guilty of all this, because if he and his rigid regime hadn't been, we would never have been in these coalitions, we would have gone our separate ways, we wouldn't have bullied each other, we wouldn't have combined incompatible concepts. And today, as at that time, we have two uncompromisingly opposed concepts, about which he tried to say something to Mr. Jovanovic, but went into details, not principles. These irreconcilable concepts (and there is indeed a question of how we can continue, and without the resolution of function, to watch) have long been known. One concept, remember, we entered it together a year ago as the Democratic Opposition of Serbia, is the rule of law in the first place. Look at the programme of the Democratic Opposition of Serbia, see the Government of the Republic of Serbia programme. First of all, the rule of law, institutions, strong and respected, solid. Legal state. Not lawlessness, not what's celibate, and what's allowed, no matter what's illegal. The target doesn't choose the means. What are we gentlemen talking about today after a year? Celebrities? It's all allowed. It's celibate for a killer to kill. Yeah, yeah. Are we gonna make it that far? We've had such examples, gentlemen. Let's think about the state of Serbia today. That's what we're talking about here, these different strategies: are we going to rule of law or law? Are we going to rule of law or do we want the rule of political oligarchy and the rule of organized crime? What do we want? What did we want a year ago? What we wanted a year ago, the Democratic Party of Serbia wants today, and wonder where you are with your views and with your concepts. When we talked about strong institutions -- again I'm telling you, look at the DOS program, look at the government program, look at the programs of your parties -- are we here as MPs, working to make this highest institution strong, respected, stable. No, we're not. Why? Because the executive government, the Republic government, does not want parliament to be, as it should be, older than it and to control its work, so that it can organise its concept of ruling Serbia completely equal to the concept of the rule of Slobodan Milosevic, without the support of the people, uncontrollably and as lastingly as possible. The concepts differ in that we, the Democratic Party of Serbia, advocated, and we advocated the election programme a year ago, signed with the people (if you remember the agreement with the people, signed at the "Sava Center" and the happiness that we felt, when we brought these documents together), for the common state. How do we advocate a common state today? He bothers you? He's breaking up the common state, not Mr. Zoran Djindjic? I really don't get it. If Mr. Djukanovic, Mr. Djindjic, Mr. Batic stands for the preservation of the common state, believe me, I have not discovered it. There's no limited time under the Rules of Procedure, but I'll be brief. Besides, I haven't talked much in a year. I will end by saying something, and I ask Mr. Shabic not to give me a reminder because it is a quote, so that if it comes to harsh words, it is not mine, but the bishops of Nikolai: "There are people who hold this life for a large exchange office in which everything can be taxied to one extent and as a taxi or buy. What helps is that the law opposes... " (that's that cellulity, you know) "... The traitor taxis his country and sells. The judge cabs justice and sells. In this life shift, everything there is, there's a slave to exchange and sell, everything to measure and everything to pay... "So was my poor colleague tonight, and she pulled you out, and accepted you, that's for those 12 votes. That's how some people understand life. It's a very large text, I just wanted to ask you if you recognize anyone in this text? (Milka Marinkovic, from the place: Kostunica. ) "And when these people, who are far from being good deceivers and come to parliament as the best people of the people, then it would be a miracle if the temple of the legislation had not turned into a store of sacred and exchanges, it would be a miracle if there were no blemish and clink of money from that temple. Or, what do you think, do you think they're coming with the intention of making the best laws for the people? You are mistaken, they come to lead for themselves the most right-hand shop" etc. That's what he wrote, it doesn't apply to DOS at all, Mr. Nikolaj Velimirović, a long time ago, and it does refer to some, so what are you angry about? So such merchants, and we said something about them at the very beginning, such merchants sitting in a legislative temple, the temple of the people, Jesus Christ, would drive through Nikolai, with a whip from this house, in the same way that he would drive the merchants out of the temple of God. Of course, we can't expect that, but it will happen in the first election. [[Applause in the O.R.]]
ParlaMint-RS_2001-12-06-0.u14913	Are any of the presidents of the parliamentary groups answering for a word? Here you go, Mr. Nikolic. Mr. Nikolic, excuse me, according to the Rules of Procedure or as head of the group?
ParlaMint-RS_2001-12-06-0.u14914	Ladies and gentlemen of the People's Parliament, today we have before us a request for the discharge of National Assembly President Dragan Marsicanin, signed by 112 MPs; it has included him in the 126 MPs' agenda. I have to read you a reason why the president of the National Assembly is required to be relieved. It is very short, core and points to the nature of the government that you are to date and perhaps another month together, in our dear Serbia. He says, "From the election to the president of the National Assembly of the Republic of Serbia to the present day, Dragan Marscanin has repeatedly violated the DOS coalition agreement. Dragan Marsican, by his actions and work in the National Assembly of the Republic of Serbia, has played a role in the exclusive representation of the interests of the Democratic Party of Serbia, which has violated the role of the president of the National Assembly and has lost the confidence of the MPs of the DOS." We submitted a proposal in October for the resolution of Parliament Speaker Dragan Marsicanin, but we really explained why Dragan Marsicanin cannot, according to us, be president of the National Assembly. It had not occurred to us to say that Dragan Marsican in the Assembly does not represent the interests of the SRS and that that is why he cannot be president of the National Assembly. We've been looking for all those examples where he hasn't treated us equally with all the other MPs. We've also been looking for examples of a harsh violation of the Rules of Procedure. DOS says Dragan Marscanin no longer represents DOS interests. When did DOS determine that? Only when Dragan the Martian caught DOS stealing. And then it's clear: DOS interests are theft. While Dragan Marsican represented DOS interests, he could have been the president of the National Assembly. When he first responded to our remarks that you were stealing votes here, using other people's identification cards, he faced DOS interests. I have repeatedly proven to you that even the Deputy Prime Minister, Joseph Kasa, steals and steals at the time when we were in power. That's when we took it out of the pay phone, a list of his estates and houses. He kept stealing with you, maybe that's why you took him to the coalition, to steal votes, to deliver his identification card to those in the O.R. so that some decision could be made. There were 176 of you, and you were burned at 126, but by serving the small parties that Vojislav Kostunica introduced into this assembly. Well, if there is any justice, then, let those small ones who will never participate in political life in Serbia again, because now the Democratic Party knows how dangerous they are. She won't drag them anymore either, because some of them showed it yesterday; or we'll be the president of the assembly, one of us, or you won't have a decision. That's how it's going to be -- either that cigarette picker for Kosovo Mitrovica is going to be from our party or you won't have a decision; or our dean will be at some college, or ours will be the head of some university, and I'm looking at them all in the eyes, or you won't have our support; or ours will be the head of the IMT Management Board, so he'll give sandwiches to the IMT workers to come here to discuss the opposite MPs or decisions won't be made. So, the train goes further, only there are small wagons in it. You have the support of the Serbian Unity Party, recorded, obvious, clear. Yesterday, they looked good in the footage, and they were sitting on the DOS, and they were sitting on the SS. When a DOS quorum needs, there's an SSJ, and when there's no quorum, there's no Soviet MPs. I know what you can hold in your hands. Thus, he held them in his hands and Slobodan Milosevic, but beware, "whoever plays the fire, the fire burns." That's what Serbia's history has repeatedly proved. Today in the National Assembly of the Republic of Serbia, we hear the brothers split; it is always a difficult process, always a tragic process. You had one house, a joint estate, and now I hear - created in conceptual differences. When we persuaded Serbian citizens in the election campaign, they did not believe us. It was a very beautiful story of yours. All the opposition gathered, all the minds gathered, the whole world gathered to bring Milosevic down and to live better in Serbia, so the Serbian citizens thought that the villains were towards their own children, if they didn't vote for it better, if they insisted on something else. Now we hear you've forced yourself to reconcile the terrible conceptal differences just to take power. To tell you the truth, there is no one among you who has fought against Slobodan Milosevic more bitterly than I have. As far as I know the political scene in Serbia, there is no such thing among you. But I'm now saying, clearly and loudly, however you realize it -- in the past year, ever since you won, it's only happened worse than in the years before that. It happened a lot faster up there. It may be that individuals among you are breathing easier, and the people are feeling more and more tormented. Here you are now in a request to replace the Martians with each other, accusing anyone who wants to co-operate with The Hague more quickly. The government is working very closely with regulations, and the president of the Martians is asking us to pass the law immediately, only to cooperate with The Hague. And what? Nobody can explain that to me. For money? Then why are you telling us about Reverend Nikolai, why you're telling us about the exorcism of the merchants from the church? Angels were also exorcising the bishops. Anyone who doesn't work should be expelled. You want the Martian to trade according to the first part of his last name. Think about it, all of you, all of you, all of you, the way you are, the way you've been stuffed, the tone between you was just 176 in January of this year. You have the same charge, you're doing the same job, only you're much less than in January. In a few months, there'll be even less of you. We heard here that your mandate was given to you by the people. Why don't you ask the people if he's ready to deny your mandates? People wonder when he's allowed to go to the polls. The fact that you treat your people with statements written in the Government of the Republic of Serbia has bothered me since day one. Some people will mind today. What some people are experiencing today is what radicals have experienced since you came to power. We have learned to fight, and you who have participated to this day will learn. You'll see, when you resist things, they look much easier. If you bend your back, if you let them hit you, if you whine and beg, they'll keep beating harder. We, radicals, have not allowed anyone to beat us without answering. Looks like the number of flogged will soon increase the number of those who whip. It's a dictatorship, then. Then when these whip dictatorships are lifted, there's no room left. Listen up, you DOS guys, you opened Pandora's Box. You've introduced the principle that a new government, past the law, is dealing with its predecessors. That principle is now applied to conflicts between each other. If those you call bitter political rivals, and I am not, that principle will be applied to you. Whenever you bring someone's children into a state that they can't sleep because you've done evil to their parents, think of your children who have children. You who don't have, make children, because you'll be more serious about the state than you think about right now. [[Applause radically.]]
ParlaMint-RS_2001-12-06-0.u14915	Replica, Mr. Michael? Then Mr. Ivkovic.
ParlaMint-RS_2001-12-06-0.u14916	Ladies and gentlemen of the People's Parliament, I am using the right of the president of the parliamentary group to report on this agenda. I can't argue with the previous discussion and still invite all of us to one formal, if you will as a representative of the people, but also with a moral obligation to broadcast a message to the citizens of this room that we can all politically differ from think, but that human beings should realize all those bridges that can be built and cooperate wherever possible. I'm going back to that replica I had. I simply cannot believe that there can be a ban on co-operation with neighbours, who in some place in Serbia (although politically different thoughts, but because most of them are needed), people can agree and run their own town, their own local self-government, right. We're the ones who need that message to broadcast. As for this item of the agenda, the SPS parliamentary group agreed on eight of its MPs to sign the SRS' request for Mr Marsicani's replacement. We have a lot of reasons for that. The Assembly is a place to resolve large, significant national and state interests. It's not just a place for law enforcement. What we found most difficult was the time when a registration was made for the election under Hekerup's condition. We felt, and we sent a request to parliamentary groups, everyone in this House, that we should really hold an extraordinary session of the Assembly of the Republic of Serbia and discuss Kosovo and Metohija, to discuss this - yes or no. Here, in this House, not between 5, 10, 15, 18 people. How to act, what to do and what advice to give to the citizens of Serbia from the territory of Kosovo and Metohija, especially those who have escaped. However, after the story of the late Gavrilovic, following the big wave of corruption and crime, in such a situation as the extraordinary session of the Republika Srpska Assembly was expected, to discuss corruption and crime, so if it should be in the past 10 years, to discuss Kosovo and Metohija, we again had an extraordinary session, where for the second time we discussed the Rules of Procedure on the work of the Republika Srpska Assembly. The first days of the assembly with the Dossovo majority also discussed the Rules of Procedure on the work of the Assembly in February. They have ruled out that the reduced rights of MPs, but this rules of procedure adopted in September, which drastically reduced the right of MPs of the National Assembly in relation to the rules of procedure adopted in 1994, is probably the greatest sin against democracy and the obligations that we MPs have before the citizens who have elected us. If we speak to the executive authorities, and there was indiscipline. It is true that the Serbian Parliament should exercise control over the executive authority. When I went out for this pay phone on March 30th and told you what was going on in front of President Slobodan Milosevic's residence, I got behind my back to lie and it wasn't true. Now we know it's true and that everyone who needs to know that in DOS knew what was going to happen. No one can say they don't know what's going on, and when they find out what's going on, say I don't agree with what's going on. Especially someone who wore a story to get DOS to power. Principleality is important, it is important when it comes to requests for committees. We asked immediately here for a survey committee to be put on the agenda as it all happened. It never came to the agenda, and when it came, expanded by extradition, everyone voted the same way: both the DSS, and DS and everyone at DOS. So, you know, for us socialists in this House there is no difference between you and him. You're also thinking about those questions where we disagree. We would like to consider the SRS request, strengthened by the signatures of the SPS MPs, to immediately vote for president Marsicanin's replacement, because it is a figure of the DOS regime and the DOS government. But since there's a debate here about you, about you who've learned that in your club, your college, the 18-man politburo you decide about everything and that this is actually a kind of farce, where 200, 220, 250 of us take the diaries and sit down, and most of us know in advance how to vote, we're not going to participate in this. You could have ended it with you without us coming out with a final decision. That is why we have decided not to participate in this vote, when it comes to the resolution of the president of the National Assembly of Mr. Martians, because we consider this to be a problem that has arisen in the DOS. It's a problem that didn't come up by accident. I'm sure you know a lot more about yourself, a part of it here for this pay phone you're telling both us and the citizens of Serbia. It is clear that this country is much harder to live in this year than it was in previous years; it is clear that we may be facing even harder days. It is clear that there are conversations between you about who needs and what part of the guilt to take. We will not participate in this. Thank you very much.
ParlaMint-RS_2001-12-06-0.u14917	Here you go, Mr. Pelevic.
