ParlaMint-BG_2020-11-27.u1	Hello, colleagues who are remotely involved in the meeting! Anna Alexandrova?
ParlaMint-BG_2020-11-27.u211	Thank you, Mrs. Nikolova. Answering the question please, Mr. Yordanov.
ParlaMint-BG_2020-11-27.u212	Dear Mr. Chairman, honourable ministers, honourable colleagues! Obviously, I won't get an answer today. It is very interesting in your reply that they are created by so-called laws and you do not mention at all the Law on Hospitals, which has the title of Hospital Services. This has obviously not reached and I do not blame you for your competence, your expertise, but I would recommend you to meet. I would like to tell you that the way you treat hospitals and their powers, you can ask your colleague, the Minister of Health, because your conclusions and your attitude are quite leish.
ParlaMint-BG_2020-11-27.u213	Thank you, Mr. Yordanov. We continue with the next question to the Deputy Prime Minister for Economic and Demographic Policy and Minister of Tourism Mrs. Mariana Nikolova. The issue is from the National Representative Rumen Gechev on specific measures of the government in the period February "November 2020 on the collection of penalties in favour of the Bulgarian state due by "Key G Maritaim Shipping" AD.
ParlaMint-BG_2020-11-27.u214	Mr. Chairman, Mrs. Nikolova, ladies and gentlemen! My question is about the specific measures of the government in the period February "November 2020 on the collection of penalties in favour of the Bulgarian state due by "Kay G Maritaim Shipping" AD. Dear Mrs. Nikolova, the company "Key G Maritam Shipping" AD, which has purchased 70% of the capital of Parahodship "Bulgarian Sea Fleet" AD on 8 August 2008, continues to fail to fulfil its obligation to the Bulgarian state and not to pay the calculated penalties under the privatisation contract of more than 53 million. lv. In this regard, I ask you to answer me: what concrete steps has the Bulgarian government taken in the period February 2020 to collect due penalties from the outstanding buyer? What specific public procurement and budget support have the buyer's company received under the stated privatisation contract, as well as related companies? What legislative and regulatory measures have you taken so that companies due to penalties to the state are not allowed to public procurement and budgetary aid? Thank you.
ParlaMint-BG_2020-11-27.u215	Thank you, Mr. Gechev. Mrs. Nikolova, come in for an answer.
ParlaMint-BG_2020-11-27.u216	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Gechev, in December 2019 the Agency for Public Enterprises and Control on the grounds of the arbitration clause laid down in the privatisation agreement brought before the Court of Arbitration at the Bulgarian Chamber of Commerce and Industry a judgmental action against the Bulgarian Chamber of Commerce and Industry against the buyer and guarantor. The amount of the penalty applied to the Court of Arbitration at BCCI is 53 million. Ninety-four thousand. BGN 290, including principal and interest. On the basis of the action brought by the Agency, Case No 173 of 2019 on the description of the Court of Arbitration. On 17 January 2020, the defendants received a reply to the application and, within the time limit laid down by the Court of Arbitration at the BCCI on 17 February 2020, the Agency submitted its opinion in response to the lodged reply to the application. In the meantime, by application of 12 February 2020, the Agency withdrew the selection of the arbitrator designated by it with a view to establishing, following the application, the existence of circumstances which call into question the impartiality of the arbitrator designated by the Agency. By that application the Agency provided the President of the Court of Arbitration with the Bulgarian Chamber of Commerce and Industry with the choice and appointment of an arbitrator on the basis of art. 14, para. 5 of the Rules of the Court of Arbitration at the Bulgarian Chamber of Commerce and Industry. By order of 4 March 2020, the President of the Court of Arbitration at the Bulgarian Chamber of Commerce and Industry ordered the Vice-President of the Court of Arbitration at the Bulgarian Chamber of Commerce and Industry to appoint a professional arbitrator instead of the Agency. In the light of that order, the Agency has expressed its opinion that the delegation of the rights on the occasion of the appointment of an arbitrator by the President of the Vice-President is unlawful. By a resolution of 3 April 2020, the Court of Arbitration ruled on the opinion of the Agency and ruled that the Vice-President of the Court of Arbitration at the Bulgarian Chamber of Commerce and Industry may be authorised by having already appointed an arbitrator of the party to the plaintiff, namely Arbiter Anna Staneva. Since the arbitrators of the parties have not reached agreement on the Chair of the decisive body, the latter has been appointed by the Vice-President of the Arbitration Court by the Bulgarian Chamber of Commerce and Industry as of 15 April 2020. The appointed President of the Service shall be the arbitrator Ruzha Ivanova. By application of 16 April 2020, the defendant in the case "Key G Maritaim Shipping" AD has submitted a request for an arbiter Anna Staneva, notified to the Agency on 8 May 2020. The Agency submitted its opinion on the request for a reprieve within the time limit set by the Court of Arbitration on 22 May 2020. On 1 July 2020, the Agency asked for a reprieve of the defendants' Ombudsman, Mr. Andrey Delchev. By order of 31 July 2020, which was notified to us on 7 August 2020, the determining authority in the composition of Anna Staneva, Andrey Delchev and President Ruza Ivanova left without consideration and without respect the requests for an arbiter Anna Staneva and arbiter Andrey Delchev without consideration. On 10 August 2020, within the statutory deadline, the Agency lodged a private complaint before the Sofia City Court against that order, requesting the suspension of the arbitration proceedings. Case 15-12/2020 under the description of the Sofia City Court, Chamber of Commerce, VI By decision of 1 October 2020, the court left the Agency's appeal without respect and the decision was final. By application dated 13 October 2020, the Agency requested the decisive authority to reopen the proceedings in Case No 173/2019. On a complaint against the order of the Arbitral Tribunal of 31 July, deposited before the Sofia City Court by the defendant, K. J. Maritaim Shipping.A.D., case 15-39 has been initiated since 2020, according to the description of the Sofia City Court, the Chamber of Commerce, VI "X" Chamber. On the complaint lodged, the Agency submitted an opinion on 18 November 2020. Following the final decision in that case, the arbitration proceedings should continue in the recovery phase. In parallel with the arbitrage proceedings described, the proceedings for the annulment of the security granted to the Agency for the claim by imposing a claim on the shares and shares in the capital of the Paramition of Bulgaria's fleet and the BFF Port Burgas Ltd. and the prohibition of property of Hadvans Properties in Sofia are developed in parallel with the proceedings described by the guarantor. On 21 February 2020, the Agency received a communication from the Sofia City Court of Private Civil Case No 15-531 of 2019, the Second Board of Appeal, which sent for a reply an application for annulment of the collateral granted by a final decision for the benefit of the Agency on the basis of art. 402 GPC. On 21 February 2020, the Agency submitted an objection to the application for annulment, arguing that it was inadmissible and unfounded. By order in the case of 26 February 2020, the Sofia City Court left the application for annulment without respect and the order given was appealed by a private appeal by "Advans Properties" Ltd before the Sofia Court of Appeal. A reply from the Agency to the private complaint was submitted on 18 May 2020. A private civil case 14-90 has been initiated on the basis of the description of the Sofia Court of Appeal, XVth Chamber. By order of 13 July 2020, the case was scheduled at an open court hearing to collect evidence concerning the over-security alleged by the applicant, and a judicial and economic expertise was also appointed with the task of assessing the property premises subject to the security granted. Thank you.
ParlaMint-BG_2020-11-27.u217	Thank you. You've been thorough, though you've exceeded your time a little. Mr. Gechev, come in.
ParlaMint-BG_2020-11-27.u218	Thank you, Mr. Chairman. Dear Mrs. Nikolova, you allow yourself the luxury of not answering my questions. I asked you how so the Bulgarian state allows to be played by a group of people and a major shareholder, who owes 53 million plus interest rates, must already be 54, to the Bulgarian state, you allow its companies to participate in public procurement and receive new tens and hundreds of millions?! What kind of country is this?! Aren't you going to take action? How will you, members of the cabinet, attend public events with this person, attend proms at one table, provided that he owes the Bulgarians 53 million when we do not have ambulances?! Where are you, I'd say?! You didn't answer those questions! You haven't done anything, and here other institutions will have to be interested in why, because there are some reasons for that. You are personally responsible for the Privatization Agency. How is it that you here report that the Privatization Agency, the state, withdraws its representative from the Court of Arbitration. Why? To be appointed to serve! How is it, Ms. Nikolova, that the Bulgarian state refuses to determine who to protect it? You're giving this right to someone else. What about the guy who owes 53 million, maybe he'll find a million dollars to hire a quarterback?! What do you think? How do you respond, the Bulgarian state gave up a defender that we choose and give to others? In addition, you should know that the European Court of Justice has ruled that, in the case of the interest of the Member States of the European Union, matters are settled in court and not in the Arbitration of some business association. But anyway, you've given up on our representative with some ridiculous arguments. I've met...
ParlaMint-BG_2020-11-27.u219	Your time is up, Mr. Gechev.
ParlaMint-BG_2020-11-27.u220	...that she had some publications in some magazine. This is where I burst into a stormy laugh. You've given up on a government representative.
ParlaMint-BG_2020-11-27.u221	Your time is up.
ParlaMint-BG_2020-11-27.u222	And secondly, why are you letting this guy run government money when he owes us?
ParlaMint-BG_2020-11-27.u223	Thank you, Mr. Gechev.
ParlaMint-BG_2020-11-27.u224	And I conclude with that from now on, and I told you before... [[The President turns off the microphones. The MP continues to speak with microphones off.]]
ParlaMint-BG_2020-11-27.u225	Thank you. I haven't heard such a detailed answer in a long time, but you have the right to disagree. You expressed it with a lot of extreme political qualifications, in my opinion, but it is your right. Mrs. Nikolova, the doppelganger.
ParlaMint-BG_2020-11-27.u226	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Gechev, I strongly object. I would like to assure you that all the rules regarding judicial action to protect the public interest in the proceedings are strictly followed, and I personally control this issue. I would also like to further inform you about the development of procedures in the last two or three months. On 30 July 2020, the Agency deposited in the last case a request for a reprieve of the President of the Chamber. Judge Daniela Doncheva due to doubt about its impartiality. The same was held at an open hearing in the case held on 3 August 2020. A number of applications and opinions have been submitted in the case, reflecting the Agency's arguments on the admissibility and unfoundedness of the proceedings and the collection of evidence of facts other than those referred to in art. 402, para. 2 of the GPC. The conclusion of the initial examination was challenged entirely by the Agency and the composition of the case allowed the appointment of a triple forensic and economic expertise, the conclusion of which was the hearing at an open hearing held on 12 October 2020. The case was scheduled for 9 December 2020. It should be pointed out that the conclusion of that expert report indicates that the persons concerned have found that one of the buildings covered by the security admitted, namely the administrative building with the CPC 3680 sq. M, has been destroyed after the imposition of the lien. In this regard and due to the conditions laid down in the Law, on 21 October 2020, the Agency issued an alert to the Sofia District Prosecutor's Office requesting verification of the existence of unlawful conduct in connection with the destruction of the prohibited property for the benefit of the Agency. Thank you.
ParlaMint-BG_2020-11-27.u227	Thank you, Mrs. Nikolova. If you'll excuse me, one copy of the material you brought out will remain here for me personally. Thank you. You can prepare a copy for Mr. Gechev as well. We're done with the questions for Mrs. Mariana Nikolova. Thank you and have a good day! The next questions are to the Minister of Health Mr. Kostadin Angelov. The first question is from the National Representative Georgi Yordanov and Ilian Timchev on the activities of hospital care institutions in public enterprises under the conditions of a pandemic. Mr. Yordanov, I'd like to ask you a question.
ParlaMint-BG_2020-11-27.u228	Dear Mr. Chairman, honourable Members! Dear Minister, we will continue the question that I have just asked. We have received an answer that makes it easier for me now to ask you the question slightly adapted. You know that we have had conversations with you on this topic, that a slight dissonance is being created, and it is not so light, thanks to the responsibility of the directors of hospital care facilities for subordination and receiving tasks. But anyway, according to what we accept as new orders for them, you know that you can assign them public tasks if you are ordered by the Council of Ministers. However, these tasks must be entrusted with the appropriate secured funding and that the funds must be spent under the Public Enterprises Act. In this regard, my question to you is: what is your practice, because my information and my analysis, which I do, is that nothing has changed about the attitude, and it should not change in times of crisis, but anyway, this is a violation of another law, along with many that are not respected on the basis of dealing with the pandemic? I would like to add something that is not in the written question to you: why weren't the necessary funds provided for the hospital in Plovdiv for St. Mina in Plovdiv the only kind of hospital in the country widely advertised by the PR of the Council of Ministers and not only by the Council of Ministers, and it had to come to these scandalous things that are happening today? Thank you.
ParlaMint-BG_2020-11-27.u229	Thank you, Mr. Yordanov. The last question is quite specific and it is possible that the minister does not have accurate information. Here you are, Mr. Secretary.
ParlaMint-BG_2020-11-27.u230	Mr. Chairman, ladies and gentlemen of the House! Dear Associate Professor Yordanov and Dr. Timchev, under the current legislation the medical institutions for hospital care are established by the state and municipalities as commercial companies or cooperatives and operate after obtaining permission. The subject of their activity explicitly includes the implementation of hospital care. CoVID-19 is an infectious disease caused by severe respiratory syndrome coronavirus SARS CoV-2. It is a case of an infectious disease, given by the orders of the Minister of Health of the hospitals are related to the activity they carry out, according to their statutory purpose, namely the implementation of hospital care. In accordance with art. 7 of the Law on Public Enterprises, the latter may be entrusted with public service obligations or for the fulfilment of public policy objectives by the authorities exercising the rights of the State or the municipality within the limits of their competences, or by order determined by law. The obligations shall be specified by reference to the public undertaking, the content of the obligation, the period and the conditions under which it should be met and other conditions, if any. According to the Rules for the Implementation of the Public Enterprises Act, the first policy for the participation of the State in public undertakings is adopted by 31 December 2020. To this effect, the Law on public undertakings provides an optimal period within which the procedures and mechanisms introduced by it, one of which is the mechanism referred to by you for the award of public service obligations or for the fulfilment of public policy objectives. Currently, in the field of health, the relevant activities are carried out in accordance with the procedure laid down in the basic laws in force for the sphere, namely the Law on Medical Institutions, the Health Insurance Act and the Health Act. The measures introduced by the Minister of Health in the context of an exceptional epidemic situation concern all hospitals, regardless of the form of their property, and not only those which are public undertakings within the meaning of the Public Enterprises Act. The interests of society in the current pandemic environment require joint action, and all medical institutions are obliged to interact with the resources at their disposal. In conclusion, I would like to point out that guidelines on the application of the Law on Public Enterprises under § 4 of the Supplementary provision of the Law give the Agency for Public Enterprises and Control, and under art. 51, para. 1 of the Law on Legislative Acts compulsory interpretation of the regulation gives the authority that issued it. Thank you.
ParlaMint-BG_2020-11-27.u231	Thank you, Mr. Angelov. A line? Here you go, Mr. Yordanov.
ParlaMint-BG_2020-11-27.u232	Dear Mr. Chairman, honourable Members! Dear Minister, you are extremely correct and did not allow yourself to take a substantial view of what is going on. I just want to say to you that with the newly adopted budget of the Health Insurance Fund, in the transitional provisions, a large part of the powers of your staff, to you and to your head of the Ministry, are entrusted to the regional managers, to the Regional Directors of Regional Health Inspections and Directors of Regional Health Insurance Fund to carry out substantial changes in the structure, to issue orders to make substantial changes in the structure of hospital care facilities, to punish them until they agree to this. However, there is nowhere to finance what they are assigning, whether these hospitals have the capacity to do so. The idea with which I ask you this question, and the line to you is, I believe that you should centrally manage the health system, imperatively, I would say, and transfer duties and responsibilities to the structures of the local authorities that are not ready, or to the structure of other enterprises, such as the Agency for Public Enterprises and Control, in my opinion, only bring dissonance to the management of the state machine, if I may say so, at the time of the pandemic. Thank you.
ParlaMint-BG_2020-11-27.u233	Thank you, Mr. Yordanov. Mr. Minister, you have the right to the back of your head. Here you go.
ParlaMint-BG_2020-11-27.u234	Mr. Chairman, ladies and gentlemen of the House! Dear Associate Professor Yordanov, I am familiar with the changes adopted by the Budget Act of the National Health Insurance Fund, they are absolutely synchronized. The Ministry of Health is working extremely actively and synchronized with all the authorities of the state, including the regional governors who chair the district seats, as well as with the directors of the RGI, who are directly subordinate to the Minister of Health. In this regard, I would like to point out that the changes made will enable the Minister of Health through the regional managers and through the directors of regional health inspections to carry out the single state policy for dealing with the situation. And with regard to the question that you are asking for funding, I would like to point out that the funds for financing all activities are available both under the budget of the Ministry of Health and in all the hospitals in the country that receive funds from the National Health Insurance Fund, regardless of the volume of activity they carry out. You know that the financing mechanism for medical institutions is 85% of the established monthly forecast budgets of medical institutions according to methodology, and in cases where medical institutions prove a higher cost above that, the Supervisory Board decides to finance their activities up to 100%, so there is no shortage. This is about the National Health Insurance Fund. With regard to the Ministry of Health, there are several mechanisms which are additional to providing funding for medical establishments under both Ordinance No 3 and the provision of state budget targets adopted by the Council of Ministers in November, providing additional funds of 50 million. lv. The Ministry of Health is also a beneficiary and provides by centrally purchasing additional quantities of personal protective equipment, disinfectants, consumables, preparations, including Remdesivir, as well as providing additional equipment for equipment to all the country's transfusion centres for providing recovalescent plasma. Thank you.
ParlaMint-BG_2020-11-27.u235	Thank you, Mr. Secretary. The next question is from the National Representative Manol Genov on the participation of the Municipality of Asenovgrad in the Investment Project BG16RFOP001-4.001-0001 Mr. Genov, I'd like to ask you a question.
ParlaMint-BG_2020-11-27.u236	Thank you, Mr. Chairman. Dear Minister, the Ministry of Health is implementing an investment project for full modernisation of the emergency assistance system in the country. Asenovgrad Municipality is included in this project and has for this purpose provided the Ministry of Health with the Treaty establishing a free right to use part of real estate. He has followed a technical project for a future new base of emergency aid in Asenovgrad, a construction permit of 21 August 2018. On 19 October 2020, you send a letter to the mayor of Asenovgrad, Hristo Grudev, after you have found out in another order and not from the Municipality of Asenovgrad, that the areas have already been used in 2020 for hospital housing. In your letter, you insist that the premises be released because they start activities on the emergency aid project. On 28 October 2020, the Municipal Council of Asenovgrad, on a proposal from the Mayor's team, decided that the Municipality should leave the Emergency Aid project in order not to have to release the Kozit compartment. On this occasion, my question to you is as follows: what will be the consequences for the future of emergency aid in Asenovgrad and for the access of the local population to it, after the emergency care branch in the town of Asenovgrad has virtually not existed because of the failure to meet medical standards of urgency? Have you been informed by the Mayor of the Municipality of Asenovgrad that by decision of March 2020, the Municipal Council on the same place, already provided to the Ministry of Health for Emergency Aid, is a ward for a species of patients? Have they been looking for options for the Municipality of Asenovgrad to provide another property for emergency assistance yet, given the obvious inability to empty these premises at the moment? Will the programme bear any financial corrections that will not be implemented one of the future emergency aid centres after the Municipality of Asenovgrad leaves it on the move and who bears the liabilities of these actions? Thank you.
ParlaMint-BG_2020-11-27.u237	Thank you, Mr. Genov. Mr. Minister, come in for an answer.
ParlaMint-BG_2020-11-27.u238	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Genov, I will answer the question which has been formulated in writing next to me. It's considerably shorter. You also added a few additional questions that I cannot answer at the moment. As regards the Ministry of Health and the Investment Project to support the development of the Emergency Aid System, yes, the project's total budget is 163 million. 897 thousand. BGN 815.62. and its implementation period shall be 23 October 2021. On the territory of the district of Plovdiv one of the sites of intervention under the Project is the Emergency Medical Medicine Philial (FSMP) - the town of Asenovgrad, and for this purpose are designated premises with a contract for establishing a free management right on part of the real estate private municipal property with No RD 06-67 from 3 May 2017, namely nine rooms with a total area of 341 sq. m, located at the first stage in Polyclinical base, a new annex to the Municipal Hospital of Asenovgrad. In the meantime, the Ministry of Health was informed by the director of CSM Plovdiv, Dr. Stoynev, by letter saying that in the above-mentioned premises a new ward was built in the Hospital "Asenovgrad," for the needs of the treatment of patients with COVID-19. In this regard, with this information, the Ministry of Health sent a letter on 19 October to the mayor of Asenovgrad Dr. Grudev in order to clarify the situation and request the municipality to take action to find other premises in the territory of the Hospital - Asenovgrad, suitable for the treatment of wards for patients with COVID-19. In response to our letter, the mayor of the Municipality of Asenovgrad informed us that at the beginning of the outbreak of COVID-19 in the country, Asenovgrad Municipality was faced with the need to build in a very urgent order a specialized ward in the municipal hospital, suitable for the treatment of patients with COVID-19 to meet the needs of this type of treatment of the residents of the municipality, as well as the neighbouring municipalities of Sadovo, Parvomay and Lucky. Asenovgrad Hospital is the only one in the city and the population that is served by it is more than 110 thousand. people from the four municipalities. For this purpose, funds have been allocated for the repair of premises and the purchase of medical equipment. By the letter referred to above, the mayor of Asenovgrad Municipality also informed us that in connection with the implementation of the Project for modernization of the branch, the Center for Emergency Medicine (CSM) in the city has taken measures to provide again for the Ministry of Health of other premises in the building of the municipal hospital in the town of Asenovgrad, meeting the requirements of the medical standard for emergency medicine. In this way, the reconstruction and repair activities of these premises will be able to be organised as required by the Project. The new premises will be of identical size and purpose as the previous ones, and the costs incurred by the Ministry of Health for a new investment project for the site will be at the expense of the Municipality of Asenovgrad. In this regard, the experts from the Ministry of Health will visit within the next week the Municipality of Asenovgrad to specify the necessary details in relation to the preparation of the materials that will be submitted to a meeting of the Municipal Council of the Municipality of Asenovgrad, planned for the holding of 16 December 2020. Thank you.
ParlaMint-BG_2020-11-27.u239	Thank you. Mr. Genov, come in.
ParlaMint-BG_2020-11-27.u240	Dear Minister Angelov, the big investment project for the introduction of emergency assistance in our country has great ambitions and this is good. The visible part of everything realized so far for two years since the start of the project, however, is reduced to buying ambulances. This is evident from official information about the implementation of this project, uploaded on the website of the Ministry of Health. It is there that we see that for the entire year 2019 there is not a single piece of information on the project, and for the whole 2020 exactly two news: for delivery of 20 plus 28 more equipped ambulances. That's nice, but I don't think that's enough. It's imperative that you give us information about something else. Do you know what the state is and how 174 branches function to the emergency services centers...
ParlaMint-BG_2020-11-27.u241	Mrs. Yankova, put on your mask, these young people around you... Mrs. Yankova, put on your mask, please! You'll infect these girls around you.
ParlaMint-BG_2020-11-27.u242	...in the moment of the pandemic? These are the emergency stations outside the district cities. Do you know what state emergency assistance looks like in Asenovgrad, which is the subject of my main question? And what kind of emergency services, as a team on site and equipment, can patients rely on if they don't have time to get to the district center? Do you know how many other affiliates there are that are in similar condition? Are there any other municipalities in whose territories this project should have branches of emergency aid, but on the move they have terminated their contracts with the Ministry of Health? If there are any, it'll probably slow the project down. By what measures, as we have seen here from the letter you sent, the Ministry reacted adequately and normally? And in this sense is the last clarification I expect from you: do the Ministry and municipal authorities bear responsibility for the fact that with the termination of such contracts for providing premises for affiliates the entire national emergency assistance project is compromised? More importantly: are dozens of Bulgarian citizens deprived of fast access...
ParlaMint-BG_2020-11-27.u243	Get it over with!
ParlaMint-BG_2020-11-27.u244	...to quality emergency services that meet all standards? Thank you.
ParlaMint-BG_2020-11-27.u245	Thank you. Minister, this fan of questions...
ParlaMint-BG_2020-11-27.u246	There were questions that came from patients.
ParlaMint-BG_2020-11-27.u247	Yeah. In line with so many additional questions?! If you're ready, you can answer some of them in your backhole.
ParlaMint-BG_2020-11-27.u248	Mr. Chairman, ladies and gentlemen of the House! I have no concerns about the implementation of the Project. In a few moments there is another question from a group of MPs there I will give full clarity about all the actions taken on the implementation of the project. On the contrary, all procedures related to construction, copyright supervision and construction supervision have been announced. They run according to the plan. Contracts are made, the constructions of the individual branches of emergency medical care in individual cities begin, as well as the repair of the wards, as set out in the Project. We have no data on other municipalities that have taken the same type of action as the municipality of Asenovgrad, and we have no worries that the project will not be implemented in time or will not be implemented in the desired volume, as is set by the start of the project.
ParlaMint-BG_2020-11-27.u249	Thank you, Mr. Secretary. The next question is from the MPs Veska Nencheva and Georgi Yordanov on municipal healthcare in the context of a health crisis caused by COVID-19. Mr. Yordanov or who? Here you go, Ms. Nencheva.
ParlaMint-BG_2020-11-27.u250	Dear Mr. Chairman, dear Members of Parliament! Dear Minister, the CIVID-19 crisis has further highlighted the screaming chaos in the health system. Much of the municipal hospitals are in a miserable state no longer just from the material base's point of view, from the lack of doctors, nurses and nurses. For this, the MPs of BSP are repeatedly alarmed by the parliamentary tribune. At the beginning of the Kovid crisis most municipal hospitals found their own salvation through donations of disinfectants, protective masks, equipment made by people living in the respective municipalities. MHAT Dr. Kiro Popov. The town of Karlovo was no exception. Appropriate and rapid support from the state was lacking once again. Immediately after the introduction of the emergency situation we asked a question to the Minister of Health? Then, Mr. Ananiev, with what means did the Ministry of Health provide for the hospital in Karlovo, as only defined outside the city of Plovdiv, and what measures did the Ministry take to help the hospital? Then, as of 27 March 2019, the Minister of Health responded, we understand that for the hospital in Karlovo, 500 surgical masks, 20 respiratory masks, 1000 safety glasses, 200 safety overalls and others, and, notice, disclosure of a donation account to assist medical facilities for the treatment of patients with COVID-19. A few months later, we were hit by a second wave of an even larger pandemic. Today again we have to go back to the same questions, because problems multiply, lives are lost, and you are unable to find a solution. We asked the question on November 10th. Since then, a lot of events have happened, and, yes, we know that the hospital is a municipal...
ParlaMint-BG_2020-11-27.u251	The question!
ParlaMint-BG_2020-11-27.u252	...so we wouldn't want to comment on what was done or didn't run out of local government. It will also give its answers elsewhere and another time.
ParlaMint-BG_2020-11-27.u253	Ask the question, Ms. Nencheva, your time is up.
ParlaMint-BG_2020-11-27.u254	I'm asking the question. Transferring the ball with responsibilities will not help patients in the area or doctors, nurses and nurses. Our question is: do municipal hospitals have readiness with material base and health staff to take over the load from the second wave of the health crisis, and what is this readiness? With what the Ministry of Health helps the activities of the small staff in the infectious ward of the municipal hospital in Karlovo and the newly discovered housing department in the hospital. Thank you.
ParlaMint-BG_2020-11-27.u255	Thank you. Mr. Secretary, come in.
ParlaMint-BG_2020-11-27.u256	Mr. Chairman, ladies and gentlemen of the House! Dear Ms. Nencheva and Associate Professor Yordanov, immediately after the announcement of the state of emergency in March this year the government's conditions were focused mainly on actions to support the hospital sector in dealing with the epidemic situation. First, amendments and additions to the National Framework Treaty on Medical Activities for 2020. 2022, and in this national framework contract to compensate reduced volumes of hospital activity during the epidemiological situation were increased the prices of all clinical pathways by 10% and a methodology for covering the values of the CIVID-19 tests was approved. This increase will also have a sustainable character in the next 2021? The payments by the National Health Insurance Fund for hospital care of municipal hospitals according to reported data on 30 September 2020 amounted to 234 million. BGN, including 12.7 million lv. to work under adverse conditions. The funding provided to municipal hospitals for the nine months of 2020 by the National Health Insurance Fund was increased by 8% compared to the same period last year, although the volume of the activities carried out decreased by 12%. Second, amendment and supplement of Decree No 3 of the Ministry of Health for medical activities outside the scope of the Health Insurance Act. In the hospital sector, including municipal hospitals there are significant additional funds from the budget of the Ministry of Health. By a decree of the Council of Ministers, additional expenditure on the budget of the Ministry of Health for the subsidization of these hospitals amounted to 6 million. lv. As a result, funds totaling 36,7 million were provided for hospitals in remote and difficult-to-reach areas under the budget of the Ministry of Health for 2020. BGN, including for MHAT, Karlovo, 679 thousand respectively. £390. In order to maintain the readiness of the structures for the treatment of infectious diseases under the budget of the Ministry of Health, additional funds of 9.6 million were provided, and for the Hospital of Karlovo, a contract was drawn up to finance the Department of Infectious Diseases for the period 11 August "December 31," amounting to approximately 150 thousand. lv. Given the rapid deterioration of the epidemic situation in the last month and the need to reorganise the health system to meet the increasing needs of hospital care with PMS No 30-07 from 10 November, an additional 50 million were approved. lv. to finance hospitals that will provide more than 50% of their bed capacity for the treatment of patients with COVID. The funds will be provided as subsidies for hospital aid for the month of November "December," according to Decree No 3. For unforeseen and urgent costs to address the consequences of the PMS crisis No 40 of 8 March 2020 under the budget of the Ministry of Health, 7 million have been provided. lv. for an effective response to the created...
ParlaMint-BG_2020-11-27.u257	Get it over with, Mr. Secretary.
ParlaMint-BG_2020-11-27.u258	...an epidemic situation. I'll keep going.
ParlaMint-BG_2020-11-27.u259	Like a doppelganger? Okay.
ParlaMint-BG_2020-11-27.u260	Yeah.
ParlaMint-BG_2020-11-27.u261	Ms. Nencheva or Mr. Yordanov, would you like a line?
ParlaMint-BG_2020-11-27.u262	Dear Mr. Chairman, honourable Members, Dear Mr. Minister! Let's save time and concentrate on the hospital Dr. Kiro Popov. A few weeks ago, the district governor of the town of Plovdiv requested the resignation of the director of the hospital Dr. Pelev, but the mayor of the municipality disagreed. What's this about? Karlovo Hospital serves between 70 and 90 thousand people as much as a small area. It does not have emergency rooms because you know very well that emergency rooms are the structure of district hospitals and are financed according to a methodology by the Ministry of Health. At the same time, Carlov Municipality is 60 km away. The remote points, such as the town of Klisura, about 10 km from the city of Plovdiv and the patients with COVID, which are driven in medium and heavy condition, should be refined in an emergency room, that is to say they must travel two hours to the city of Plovdiv, which is practically impossible. Then we have the resources of Karlovo Hospital. But I repeat, Karlovo Hospital does not have an emergency room. She has a reception office that should only serve the needs of Karlovo Hospital. And here the scandal was, which you as the Ministry did not intervene, to provide enough personnel and resources for the formation of an emergency ward in the context of a crisis with a pandemic, for the hospital Dr. Kiro Popov. The emergency department of the University Hospital is impossible for St. George in Plovdiv to assume this function due to the geographical distance of things. The only infectiousist in Karlovo refused to serve an emergency cabinet for the patients with the Kovid and the infectious separated, so here people also hoped the administration of the Carlov Municipality of your help with the promises of secondment of fellow medics, which did not happen. Therefore, my specific question is: how can we help our colleagues from the hospital... Dr. Kiro Popov.................... Karlovo...................................................................................................................................................
ParlaMint-BG_2020-11-27.u263	Thank you, Mr. Yordanov. Mr. Angelov, come in for the back.
ParlaMint-BG_2020-11-27.u264	Mr. Chairman, ladies and gentlemen of the House! Dear Associate Professor Yordanov, it is not true that it did not happen, and there are currently sent medical students and interns to assist the work of the infectious ward in the hospital in the way the commitment of the district governor of the city of Plovdiv was made. The additional measures taken by the government in this complex situation are as follows: Order No 40 of 8 March 2020 on the budget of the Ministry of Health provided 7 million. lv. for an effective response to the set epidemic environment. According to these funds, the following quantities of personal protective equipment are provided for free: 3800 single masks; 2270 specialized medical masks; 1185 single-use protective clothing; 90 jumpsuits; 1000 calsuns; 1108 number of safety glasses and helmets; 250 liters of alcohol and 120 liters of disinfectants. The next measure with grant funding under the project "Support of employees in the healthcare system" are the so-called 1000 BGN. For the first line, a total of 200 million were provided. lv. for additional remuneration of medical professionals at risk of infection, and from these funds funding is also provided to 57 municipal hospitals for hospital care. By September, additional funds of 10.6 million were paid to the first-line staff working in municipal hospitals. lv. For the month of October 2020, although the reported documents have not yet been received, an advance payment has been made to the staff of municipal hospitals of 8,6 million. lv. According to the reported documents until September this project was provided funding to the hospital "Doctor Kiro Popov" Ltd. of Karlovo, amounting to 225 thousand. BGN and advance for October more 154 thousand respectively. BGN, or a total of 379 thousand. lv. For the hospital in Karlovo. Thank you.
ParlaMint-BG_2020-11-27.u265	Thank you, Mr. Secretary.
