ParlaMint-BG_2020-12-18.u1	Good afternoon, fellow Members. Please, registration mode. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u48	Thank you. Are there lines? I can't see. We continue with the speeches. Any other speeches? You have the floor, Mrs. Atanasova.
ParlaMint-BG_2020-12-18.u49	Thank you, Mr. Chairman. Ladies and gentlemen of the House, ladies and gentlemen of the House! I listened with attention to the public addressed definitely by the socialist group or progressive socialists. Perhaps when you were preparing for these statements and attacks on the bill we have tabled, it was not bad to recall Nusic's heroine and a well-structured opinion of a leading Bulgarian lawyer, namely lawyer Dokovska. I rule that lawyer Dokovska has recently been a civil lawyer for the leader of your parliamentary group, but in order to introduce the other Members of the Chamber to the opinion of lawyer Dokovska on your great proposal for a change in the Criminal Court, I will only allow myself to quote part of her opinion. Now remember Nusic's character, who was offended when they called her the hypotenuse. If she turns to the prosecutor, for which there is no obstacle, he will refuse to initiate criminal proceedings because there is insufficient evidence of a common crime committed. However, if the lady is very offended, she will appeal the prosecutor's refusal before the first instance court, then before the appeals. If the court misjudges the ruling, it will be able to appeal the prosecutor's repeated refusal in a two-instant order. In this case, apart from the hypotenuse, the court will probably also assess whether there is any new material evidence. This is briefly the explanation of your proposal submitted, I think, a year ago in 2019, as regards judicial review in the event of the prosecutor's refusal to initiate a complaint by a lady called the hypotenuse, for example, and to initiate prosecution. Now you're offering us the same, only with regard to the Attorney General, and you're offering it as something extremely important to the right decision! I will not stop because my colleague Ivanov has already done so, at the opinion of the Supreme Court of Cassation, which I believe he quotes and you heard well. I will not dwell on the legislation 4,000 years ago, which you quoted, Mr. Zarkov, and Hamurapi's laws. Yes, 4,000 years ago, there were 288 laws in Babylon. At the heart of these laws, you know who was the call for equivalence of retribution: an eye for an eye, a tooth for a tooth. Then if a building collapses and the building owner dies below it, then the builder is punished by death. If the son of the building owner dies, the building builder's son is punished by death. If the owner's slave dies, the builder just gives a slave away. I don't believe you expect us to go back 4,000 years in legislation. On the contrary, we propose a radically different approach, yes, in order to meet the expectations of Bulgarian citizens, not only our European partners, not only the European Commission Report, not only the European Parliament resolution, but also the main reason for which it may be your former colleague. We're offering some sort of control mechanism to the Attorney General. Yes, you said it was a completely incompetent approach and you were entitled to that opinion. I think that only the Constitutional Court can give opinions as to whether these texts are unconstitutional and not Mrs Niva, as she tried to do from the parliamentary platform. I would also like to say a few words in relation to the speech of another Member who was former to your parliamentary group, namely Mr. Jankov, who skillfully served with the proposals for a change in the Constitution, although both you and the opposition DPS and those who left progressive Socialists opposed such a debate at all. Should we stress once again that the New Constitution project was only the beginning of a process? This process had to end with a decision by all of us to hold elections for the Grand National Assembly and only then did the next parliamentarians in the Grand National Assembly change the Constitution, including in the part of the Court of Justice, including with regard to the competence of the Prosecutor General and the supervision of his acts or the investigation of a possible crime on his part. I also said then that you were absent from this debate and it was important: it was not important for the majority, for the government, for GERB it was important for the Bulgarian state. And I join in what has been said that in another parliament, hopefully for a Grand National Assembly, such a debate should be held not only to be pat us on the shoulder or to praise us whether by the Venice Commission or by Europe, that we respect their recommendations and opinions, but because of the Bulgarian citizens and not only the protesters, but also everyone else. Thank you.
ParlaMint-BG_2020-12-18.u50	Thank you, dear Mrs. Atanasova. Are there lines? Mr. Tzipov, you have the floor for a line.
ParlaMint-BG_2020-12-18.u51	Dear Mr. Chairman, honourable Members! Dear Mrs. Atanasova, I think that you have missed something very important, which I hope you will confirm and explain to the MPs from the parliamentary group of the BSP for Bulgaria.......................... how many positive opinions there are on their bill and what was really underlined in the comments received regarding their proposal for amendments to the Code of Criminal Procedure and their constitutionality!
ParlaMint-BG_2020-12-18.u52	Thank you, Mr. Tzipov. Mr. Ivanov, second line. You have less than a minute.
ParlaMint-BG_2020-12-18.u53	Dear Mr. Chairman, honourable Members! Dear Mrs. Atanasova, I think you've missed some very important things you should have said from this tribune. First of all, that your constitutional reform has crashed, and don't tell us about such things here. Secondly, the Venice Commission very accurately and clearly told you what you should do with this project for the Prosecutor General................. just throw it in the basket. We have come to this, Mrs. Atanasova, that the Commissioner for Justice of the European Commission wants all our bills to go through them to say that they are fit. And second of all, speaking of Nusic, I think you've entered this fairy tale, his story of cucumber 90% water. We didn't hear anything else from you. Thank you. [[Single applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-18.u54	Thank you. I don't see anyone asking for a third line. A hole, Mrs. Atanasova.
ParlaMint-BG_2020-12-18.u55	Thank you, Mr. Chairman. Mr. Tzipov, of all the opinions received, there is nothing to support the Law on the change of the Code of Criminal Procedure, submitted by the MPs from BSP to Bulgaria last year. Everyone says they think he'll be, except incompetent and unconstitutional.
ParlaMint-BG_2020-12-18.u56	In the manner of conduct!
ParlaMint-BG_2020-12-18.u57	The way you're holding Mr. Zarkov. But I'm gonna have to ask you not to affect the matter.
ParlaMint-BG_2020-12-18.u58	Dear Mr. Chairman, my procedure is indeed in the manner of conduct. Since we have obviously finished discussing the GERB Bill, which they are not discussing, and we have moved on to the Bill submitted by the BSP for Bulgaria and more than a year and a half ago, please give us 30 minutes to explain it, including the opinions in it, because it is obvious that the MPs of GERB neither understand the idea of the Bill nor his philosophy! They couldn't say a single word in defence of their bill. They're talking about ours!
ParlaMint-BG_2020-12-18.u59	Here you are already drawing conclusions that are not relevant to the way of conduct.
ParlaMint-BG_2020-12-18.u60	Excuse me. I conclude my procedure with the following concrete proposal.. Once this bill is interesting, it has finally become interesting to the House. I am happy for this, give it and let us discuss it, with time for all the groups, so that we can express our positions. [[(Comments from GERB: We do not want it!]] Finally, Mr. President, I am glad that you are reading the opinions on our drafts. It is a pity that you do not read those on yours. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-18.u61	Mr. Tzipov, come in.
ParlaMint-BG_2020-12-18.u62	Dear Mr. Chairman, honourable Members! Today, once again, we are witnessing a debate on an extremely important issue in which colleagues from the parliamentary group of BSP in Bulgaria are offering absolutely nothing. Let it be clear today in the plenary that their bill has nothing to do with the issue of accountability and independence of the investigation against the Attorney General, a topic which has been discussed for more than a few years! So, Mr. President, there is no way these bills can be considered in the context of today's debate together! I repeat, the bill of amendments to the Code of Criminal Procedure concerning judicial control of the acts of the prosecution, with which pre-trial criminal proceedings are refused, has nothing to do with the currently debated bill! Let me do another flashback after I did it at the presentation of the Bill. The theme of the chief prosecutor's accountability was also the subject of the constitutional changes since the end of 2015. Let me remind the Chamber that it was also very clear then that there was also a need for a change of the Law. This became a fact at the beginning of 2016 and since then the prosecutor's office has not been a hierarchical structure! The claims that the career development of every prosecutor or investigator and the institutional control over their acts cannot be carried out, honourable Members, by the Prosecutor General, I think that this has become clear in the debate in the Committee on Legal Affairs and in the debate in the plenary on the Report, which the Members of the Parliamentary Group of BSP for Bulgaria insisted on and which we were discussing, Mr. President, two months ago! However, today we are again having a debate, in which there are no arguments, again with the political phrases learned, it is said that this is not happening, it is not that the project should be thrown into the trash can! Dear Members of Parliament, make a proposal at least one and let us debate on it! And this proposal to be related to this topic! [[Relations of MP Cornelia Ninova.]] We have made it very clear that we have a firm position that such a mechanism must be adopted. We have made it very clear that there is a basis for this project to be upgraded. We have made it very clear that we will listen to all reasonable remarks and suggestions that are made on the subject. It is for this reason that, even before the examination of the Draft in plenary, we have given a clear signal that we are ready to reconsider, including the question of who can make the proposal to the Plenum of the Supreme Judicial Council, which will choose this figure, and that we will put forward a proposal between the first and second votes every candidate for this position to be able to nominate himself. We believe that this is a proposal worth discussing. Indeed, the question has been raised in the public domain for several years about how the prosecutors' college has been leading the campaign policy. Dear Members of Parliament, the Constitution and the changes in it since 2015 are clear enough! We found it necessary, by preparing this bill, to comply, honourable MPs, and with the opinion given by the Venice Commission on the Draft Law of the Council of Ministers last year. It is for this reason that we felt that the decision to appoint this figure should be taken by the Plenum of the Supreme Judicial Council, because this is the only way to guarantee the independence of this prosecutor in the investigation against the Attorney General. After all, when we have received such a clear view, it is natural that we will comply with it. To conclude, honourable Members, once again I would like to reiterate our firm position that we intend to accept this proposal, to make it a fact before the end of the term of office of this National Assembly, at the same time to initiate the procedure for the election of a prosecutor in the investigation against the Prosecutor General.
ParlaMint-BG_2020-12-18.u63	Thank you, dear Mr. Tzipov. - What's the line? Mr. Notev, come in.
ParlaMint-BG_2020-12-18.u64	Dear Mr. Chairman, honourable Members! Dear Mr. Tzipov, I ask myself a few questions before we make a final decision with the vote on the proposed bill, one of the importers of which you are. I wonder if there is any specific information that you could provide us with about the European legal systems of representatives in the Venice Commission, and do these legal systems foresee such a figure? Is the figure of an observer, supervisor or examiner of the Attorney General in their countries familiar? It still seems to me that we owe such information, in so far as we accept their view as extremely valuable and mandatory, which is not the case with regard to our country, when we are discussing internal laws. I also ask myself, when we propose this procedure, which is remarkably similar to the procedure of the election of the Attorney General, a parallel election of the Attorney General, do we mean that there was no second candidate for the election, the last one held as a result of which the current one was elected? Since this choice proposed by you in this bill is the second in a row, the logical question is asked, where was this candidate who will now prove worthy as a person, as a professional, to check out the Attorney General? Why wasn't he a rival of the Attorney General? Are we sure we'll find such a person? However, let's say that this is where we enter into the sphere of subjectivism and personal judgment. As a lawyer, I ask the following question, and I would like to receive this answer after the procedure under which the Attorney General will be examined is subject to the procedural rules in the Code of Criminal Procedure in force, why are we abandoning a basic principle, a basic rule, namely the random selection of the examiner in relation to the one who has been examined, the random selection to which we have paid great attention both to the Prosecutor and the judge who will give the judgment? Is it not much easier to manipulate the pre-known examiner, generally speaking, to stimulate or repress him in a way that motivates and models his choice in a possible check? [[Noise and lines.]] I think we're in grave conflict with legal principles here, and it's a rude, inexplicable contradiction! People say, "If I know where I'm going to fall, a straw will be a bed, but we seem to be dealing with this...
ParlaMint-BG_2020-12-18.u65	You've been using a lot of time for a line, Mr. Notev.
ParlaMint-BG_2020-12-18.u66	...put a pillow in the event of a possible fall and soften the impact. Thank you.
ParlaMint-BG_2020-12-18.u67	Thank you. You made a whole statement, but it's on the group.
ParlaMint-BG_2020-12-18.u68	Ladies and gentlemen of the House! Dear Mr. Notev, yes, by preparing the bill, we have done what is necessary and I expect the Ministry of Justice to ask and see where, in which legal systems, in which judicial systems there is some similar figure. However, let me draw your attention, Mr. Notev, to the fact that there is no such figure as is at stake in many Member States of the Council of Europe, as an aid authority, as is the Venice Commission, that there is no such figure as is at stake in our legislation and in our Constitution. After all, after a matter has been debated for more than a few years, dear Mr. Notev, of course steps must be taken in finding the appropriate solution. If we're right, time will tell. I would like to draw your attention to how a procedure is conducted by the Supreme Judicial Council, which concerns a magistrate from the independent judiciary, is not the work of the parliament, dear Mr. Notev. To conclude, let me once again confirm our firm position that we must work in such a direction and find a correct solution to the issue that has been debated in public space for several years. We intend to do so by the end of this term.
ParlaMint-BG_2020-12-18.u69	Thank you, Mr. Tzipov. Any other speeches? There are no other speeches. I call off the debate and we proceed to the vote. I put to the vote the Law on the Supplement to the Criminal Procedure Code, No 054-01-110, tabled by the National Representative Krasimir Tzipov and a group of MPs. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u70	Yeah.
ParlaMint-BG_2020-12-18.u71	Yeah. Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u72	Absolutely.
ParlaMint-BG_2020-12-18.u73	Thank you. He's adamant. Vote 154 Members of Parliament and 2 Online s become 156 votes: for.98 in the House plus 2 online.............................................................................................................. The motion is accepted. We continue with the next item of the Work Programme: LAW FOR THE RATIFICING OF THE AGREEMENT TO HELP THE PRESENTATION OF AND BETWEEN THE REPUBLIC OF BULGARIA AND THE KINGDOM OF SWEDEN AND JANSSEN PHARMACEUTICA NV OF THE PROCEEDINGS OF THE BUILDING AND PROPOSAL OF AXIN AGAINST COVID-19 FOR BULGARIA AND THE AGREEMENT BETWEEN THE KINGDOM OF SWEDEN AND THE REPUBLIC OF BULGARIA FOR THE SALE OF VAXINE AGAINST COVID-19, DevelopED BY JANSSEN PHARMACEUTICA NV. Importer of the Council of Ministers. Mrs. Daritkova, please give us the Commission Report.
ParlaMint-BG_2020-12-18.u74	Mr. Chairman, ladies and gentlemen of the House! ♪ I can't believe for the first vote on the Draft Law on the ratification of the Agreement on the support of resale by and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV for the purpose of buying and supplying a vaccine against COVID-19 to Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 developed by Janssen Pharmaceutica NV, No 002-02-24, submitted by the Council of Ministers on 17 December 2020. At its extraordinary meeting held on 17 December 2020, the Health Commission examined and discussed the Draft Law on the ratification of the Agreement on the Assistance of resale from and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV for the purpose of purchasing and supplying a vaccine against COVID-19 for Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 developed by Janssen Pharmaceutica NV, No 002-02-24, submitted by the Council of Ministers on 17 December 2020. The meeting was attended by Deputy Minister of Health Mrs. Zheny Nacheva. Before proceeding to the presentation of the reasons, the President of the Committee on Health Dr. Daniela Daritkova drew attention to the fact that there is a Declaration on the absence of conflict of interest and respect for the confidentiality of acquisition by the Commission on behalf of the Member States of vaccines against COVID-19, while neither the accompanying letter nor the reasons for that declaration should be filled in and by whom. In this regard, she asked the importer to clarify how this declaration should be carried out by the Committee on Health, respectively, of the National Assembly, in order to respect the procedure for examining and voting the bill correctly. In response to the question, Ms. Nacheva clarified that in this case it is not necessary to sign the above declaration. The draft and its reasons were presented by Mrs. Nacheva, who informed the MPs that the Agreement authorising the European Commission to propose to the participating Member States and to conclude, on their behalf, preliminary agreements on the purchase of vaccines with their producers in order to provide Member States with vaccines in the fight against the pandemic of COVID-19 ( (prom., D.V., No. 71 from 2020) , and is in force for the Republic of Bulgaria since 12 August 2020. As provided for in art. 4 of the Agreement, the Commission shall notify the participating States that it intends to conclude an agreement with a producer on their behalf containing an obligation to acquire doses of vaccine. Where a participating Member State does not agree with the conclusion of a prior purchase agreement containing an obligation to acquire doses of vaccine or the terms of the agreement, it shall be entitled to withdraw participation by express notification to the Commission within five working days. According to the same text, if the States expressly do not give up, it is assumed that they agree with the conclusion of the agreement by the Commission on their behalf and on their behalf. The Ministry of Health on 8 October 2020 received a draft preliminary vaccination agreement to be concluded between the European Commission and the manufacturer of medicinal products Janssen Pharmaceutica NV. With a report to the Council of Ministers, with an ex. No 03-08-1685/14 October 2020, the Ministry of Health has proposed for approval refusal of inclusion in the pre-buying agreement with the pharmaceutical company Janssen Pharmaceutica. By letter No 99-00-792/14 October 2020, Bulgaria submitted to the European Commission an explicit refusal of inclusion in the Agreement on the purchase of vaccine by the manufacturer of medicinal products Janssen Pharmaceutica NV. In view of the pan-European vision for ensuring equal access to vaccines to the citizens of the European Union at its meeting, the Council of Ministers approved a protocol decision to take action by Bulgaria to provide supplies from the vaccine offered by the pharmaceutical company Janssen Pharmaceutica NV. The legal mechanism for receiving doses of this vaccine should be implemented through an agreement with another Member State to request and to provide Bulgaria with the requested quantities of the vaccine at the same price and under the same conditions that would have been achieved when participating in the Agreement. Taking into account the uncertainty regarding the results of the clinical trials for other vaccine candidates, Protocol No 64 of the extraordinary meeting of the Council of Ministers on 13 November 2020 approved the taking of action to conclude a contract for the supply of vaccines against COVID-19 by Janssen Pharmaceutica NV. By decision of the National Assembly of 3 December 2020. (prom., D.V., No. Council Regulation (EU, Euratom) No 966/2012 of 25 October 2012 on the financial rules applicable to the general budget of the Union and repealing Council Regulation (EC, Euratom) No 1605/2002 (OJ L 298, 26.10.2012, p. 1). approved by the Council of Ministers the participation of the Republic of Bulgaria in the preliminary agreements concluded by the European Commission and the manufacturers of drugs AstraZeneca, Sanofi and Pfizer Inc. and BioNTech Manufacturing GmbH for the purchase of vaccines in relation to the pandemic of COVID-19, as well as the taking of action for the conclusion of a contract for the purchase of vaccines by Janssen Pharmaceutica NV. Under the prior Agreement with Janssen Pharmaceutica, the distribution of doses of the vaccine for each Member State is set to be proportionate on a percentage basis of the population. Member States agreed to be made available for purchase by Switzerland, Iceland, Liechtenstein and Norway part of the total quantity. After further clarification with the European Commission and the Kingdom of Sweden as coordinator of the process of allocation of quantities between Member States, agreement was reached on the corresponding quantity for Bulgaria. The delivery of vaccines to the Republic of Bulgaria by the manufacturer Janssen Pharmaceutica NV will be implemented by means of an Agreement to support the resale from and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV for the purpose of buying and supplying the vaccine against COVID-19 to Bulgaria and by an Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of the vaccine against COVID-19 developed by Janssen Pharmaceutica NV. During the discussion, the members of the Committee on Health raised specific questions regarding the reasons why the Ministry of Health initially expressed an explicit refusal of inclusion in the preliminary Agreement with the pharmaceutical company Janssen Pharmaceutica NV, as well as the need to adopt the proposed bill for ratification of the Agreement with the Kingdom of Sweden. On the basis of the discussion and the vote carried out on the following results: for 13, without objections and abstentions, the Committee on Health suggests to the National Assembly to adopt, on the basis of the first vote, a bill for the ratification of the Agreement on the Assistance of resale by and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV for the purpose of purchasing and supplying a vaccine against COVID-19 for Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 developed by Janssen Pharmaceutic NV, No 002-02-24, submitted by the Council of Ministers on 17 December 2020.
ParlaMint-BG_2020-12-18.u75	Thank you. Statements, coworkers? I won't. I'm voting... [[Noise and lines. National Representative Georgi Mihailov wants the floor.]] Professor Mikhailov, come in. [[Noise and lines from GERB.]] I shut down my colleagues correctly. I put you to the vote, you'll have a second-point opportunity. [[Noise and lines.]] Don't worry, guys. It's my pass. I put to the first vote a bill for ratification of the Agreement. [[Noise and lines.]] Mr. Kirchev?
ParlaMint-BG_2020-12-18.u76	Yeah.
ParlaMint-BG_2020-12-18.u77	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u78	Yeah.
ParlaMint-BG_2020-12-18.u79	Thank you. [[Noise and lines.]] Guys, take it easy, please! An action by the chairman sometimes what emotion triggers?! Vote 94 MPs plus two remotes become 96: for 91 plus two remotes become 93, not against, abstention 3. The motion is accepted. Procedure Mrs. Daritkova.
ParlaMint-BG_2020-12-18.u80	Dear Madam President, on the basis of art. 80, para. 2 of the Rules of Procedure and Procedure of the National Assembly, I am making a procedural proposal that the bill adopted at the first vote should be reviewed and put to the second vote.
ParlaMint-BG_2020-12-18.u81	Please vote on the procedure so made. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u82	Yeah.
ParlaMint-BG_2020-12-18.u83	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u84	Yeah.
ParlaMint-BG_2020-12-18.u85	Thank you. Vote 98 MPs and two remotes become 100: for 95 plus two remotes become 97, not against, abstention 3. The motion is accepted. Here you are, Mrs. Daritkova.
ParlaMint-BG_2020-12-18.u86	THE LAW OF THE on the ratification of the Agreement to support the resale by and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV of the purpose of buying and supplying a vaccine against COVID-19 to Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 developed by Janssen Pharmaceutica NV Art. 1. Ratification of the Agreement to support the resale from and between the Republic of Bulgaria and the Kingdom of Sweden and Janssen Pharmaceutica NV for the purpose of buying and supplying a vaccine against COVID-19 to Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 developed by Janssen Pharmaceutica NV. Art. 2. Orders on grounds of art. 25, para. 2 of the International Contracts Act of the Republic of Bulgaria the agreements under art. 1 shall not be promulgated in the Official Journal Dear Madam President, on the basis of art. 84, para. The second sentence of the Rules of Procedure makes the following amendment proposal because of the technical error made in the text of the importer: in the name of the Law, the words of the objectives to be replaced by the
ParlaMint-BG_2020-12-18.u87	Thank you. Statements? I won't. I put to the vote first the editorial amendment in the title. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u88	Yeah.
ParlaMint-BG_2020-12-18.u89	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u90	Yeah.
ParlaMint-BG_2020-12-18.u91	Thank you. They voted 105 MPs plus two remote "s" becomes 107: for 101 and two remote.... no total................................................................................................................................................................................................................................................ I shall put to the vote the name of the Law with the corresponding version which we have adopted, art. Art. 1 and Art. 1 2. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u92	Yeah.
ParlaMint-BG_2020-12-18.u93	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u94	Yeah.
ParlaMint-BG_2020-12-18.u95	Thank you. They voted 101 MPs plus two remotes. They become 103: for 98 plus two remotes, they become 100, they don't mind, they don't hold back 3. The motion is accepted. Moving on to the next point: PROJECT OF A DECISION TO APPROVAL THE PARTICIPATION OF THE REPUBLIC OF BULGARIA IN THE EUROPEAN COMMISSION AND THE MANUFACTURERS OF CUREVAC DOCTORS AG AND MODERNA SWITZERLAND GMBH PREVERSION CONVERSION CONVERSION WITH THE PANDAEMIA OF COVID-19. It was introduced by the Council of Ministers on 17 December 2020. Here you are, Mrs. Daritkova.
ParlaMint-BG_2020-12-18.u96	Madam President, ladies and gentlemen of the House! ♪ I can't believe on a draft decision approving the participation of the Republic of Bulgaria in the CUREVAC AG and Moderna Switzerland GmbH medicines concluded by the European Commission in advance agreements for the purchase of vaccines in relation to the CoVID-19 pandemic, No 002-03-17 submitted by the Council of Ministers on 17 December 2020. At its extraordinary meeting held on 17 December 2020, the Health Commission examined and discussed the draft decision approving the participation of the Republic of Bulgaria in the CUREVAC AG and Moderna Switzerland GmbH, concluded by the European Commission and the manufacturers of medicines, preliminary agreements for the purchase of vaccines in relation to the CoVID-19 pandemic, No 002-03-17, submitted by the Council of Ministers on 17 December 2020. The agreement by which the European Commission is authorised to propose to the participating Member States and to conclude, on their behalf, preliminary agreements on the purchase of vaccines with their producers in order to provide Member States with vaccines in the fight against the pandemic of COVID-19 ( (prom., D.V., No. 71 from 2020) , and is in force for the Republic of Bulgaria since 12 August 2020. Under the Agreement, the European Commission is proposing to the Member States to conclude two types of preliminary agreements on their behalf. The first gives the right to acquire doses of vaccines according to art. 3 of the Agreement and the second obligation to acquire doses of vaccines according to art. 4 of the Agreement. At present, there is one proposed agreement allowing for the acquisition of vaccines, and all other agreements bind the Member States with an obligation to acquire the quantities of vaccines laid down on the basis of a percentage of the population. The agreement provides for advance funding for pharmaceutical companies that invest in production capacity before receiving a marketing authorisation for COVID-19 vaccines, which is at the expense of the European Union budget through the Emergency Support Instrument (ESI). The Agreement provides for the possibility that, when the ESI budget is exhausted, but in the interest of certain countries to conclude additional preliminary agreements with a producer, the ESA budget will be supplemented by voluntary contributions from countries which are interested in concluding the agreements. At present, the European Commission has already negotiated with a total of seven companies, of which there are three agreements concluded with AstraZeneca, Sanofi and Janssen Pharmaceutica NV and is about to conclude a fourth with Pfizer Inc. and BioNTech. Vaccines are divided into 3 main categories of Adenovirus vaccines are developed by companies AstraZeneca and Janssen Pharmaceutica NV, antigen vaccines are developed by companies Novavax and Sanofi Pasteur, and RNA vaccines are developed by companies CureVac, BioNTech and Moderna. The vaccines developed by pharmaceutical companies are in different stages of clinical trials and are expected to be authorised at different times. In the event of a positive opinion from the European Medicines Agency, a centralised marketing authorisation may be issued and it is expected to be issued under condition in accordance with European legislation on medicinal products. The delivery of all vaccines will be possible after obtaining a marketing authorisation and the European Commission has estimated information on the planned approval possibilities and the delivery stages of the vaccines. Taking into account the above uncertainty in obtaining a marketing authorisation for each of the following vaccines from the portfolio proposed by the European Commission, the European Commission actively defends the freezing thesis by each Member State of the quantities of vaccines from each of those manufacturers. The single European vaccine portfolio should ensure that safe and effective vaccines are achieved to all citizens of the European Union. Supporting a single vaccine portfolio from all Member States of the Union and declaring solidarity in efforts to exit the COVID-19 crisis is a major task of Member States in the face of an unprecedented pandemic crisis. The wide European portfolio will ensure secure access for European citizens to a CIVID-19 vaccine. On the basis of the Preliminary Purchase Agreement, the European Commission shall instruct the contractor to undertake to produce and deliver priority doses of vaccines to be ordered by the participating Member States at a price and under conditions, including a period agreed under the Agreement. Decision No 841 of the Council of Ministers of 2020 proposed to the National Assembly for the approval of the participation of the Republic of Bulgaria in the agreements concluded by the European Commission and the manufacturers of medicinal products AstraZeneca, Sanofi and Pfizer Inc. and BioNTech Manufacturing GmbH for the purchase of vaccines in relation to the pandemic of COVID-19 and taking action to conclude a contract for the purchase of vaccines by Janssen Pharmaceutica NV. The proposal of the Council of Ministers was approved by a decision of the National Assembly of 3 December 2020. (prom., D.V., No. Council Regulation (EU, Euratom) No Similarly to the above procedure, the National Assembly should also approve the participation of the Republic of Bulgaria in the CureVac medicinal products producers and Moderna preliminary agreements for the purchase of vaccines in relation to the pandemic of COVID-19. The CureVac AG vaccine should be stored at minus 60° C and the Moderna vaccine between minus 25° C to minus 15° C, therefore it will be necessary to provide additional minus refrigeration facilities with temperature monitoring at both national and regional health inspections, as the storage temperature is different, making it impossible to use the same refrigeration facilities. In relation to ongoing clinical trials and lack of authorisation for use, the inclusion of the Republic of Bulgaria in the CureVac AG and Moderna Switzerland GmbH concluded by the European Commission and the manufacturers of medicinal products will, at present, further guarantee the safe access of Bulgarian citizens to a vaccine for COVID-19. Preliminary agreements provide for the possibility under certain conditions for participating countries to donate, and to resell quantities of vaccines to other countries or public institutions with the consent of the contractor. The sale should be at the price paid for the vaccine. If resale is carried out to any third country, the participating country which resells doses shall have an obligation to reimburse the European Commission the advance payment for a dose paid by the Commission to the contractor. During the discussion the Chairman of the Committee on Health Dr. Daniela Daritkova made proposals for editorial amendments aimed at clarifying the text of the draft decision and to indicate the legal and factual basis for its adoption, namely art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to the Law on ratification of the Agreement, by which the European Commission is empowered to propose to the participating Member States and to conclude on their behalf preliminary agreements for the purchase of vaccines ( 71 from 2020) . It was proposed in the name of the decision after the word............................................................................................ is............................................................................................................................................................ The Members of the National Assembly unanimously supported the proposed editorial amendments, which should be reflected in the text of the draft decision under consideration. On the basis of the vote on the following results, the Committee on Health supports, in principle, the draft decision approving the participation of the Republic of Bulgaria in those concluded by the European Commission and the manufacturers of medicines CUREVAC AG and Moderna Switzerland GmbH, preliminary agreements for the purchase of vaccines in relation to the pandemic of COVID-19, No 002-03-17, submitted by the Council of Ministers on 17 December 2020, and proposes to the National Assembly to adopt the draft decision on the editorial amendments adopted by the Commission as follows: Project! DECISION approving the participation of the Republic of Bulgaria in the preliminary agreements concluded by the European Commission and the manufacturers of medicinal products CureVac AG and Moderna Switzerland GmbH for the purchase of vaccines in relation to the pandemic of COVID-19 The National Assembly on the basis of art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to the Law on ratification of the Agreement, by which the European Commission is empowered to propose to the participating Member States and to conclude on their behalf preliminary agreements for the purchase of vaccines ( 71 from 2020) HAS DECIDED Approves the proposed participation of the Republic of Bulgaria by the Council of Ministers in those concluded by the European Commission and the manufacturers of medicinal products CureVac AG and Moderna Switzerland GmbH in advance agreements for the purchase of vaccines in relation to the pandemic of COVID-19
ParlaMint-BG_2020-12-18.u97	Thank you, Mrs. Daritkova. I don't see any speeches. Let's move on to the vote. I vote on the draft decision that Mrs Daritkova has just read, along with the editorial amendments they made during a Commission meeting. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u98	Yeah.
ParlaMint-BG_2020-12-18.u99	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u100	Yeah.
