ParlaMint-BG_2020-12-17.u1	Colleagues, please register. Colleagues who are with us in the hall remotely: Mr. Kirchev?
ParlaMint-BG_2020-12-17.u97	Thank you, Mr. Kanev. An importer's opinion? Mr. Nenkov, you have the floor.
ParlaMint-BG_2020-12-17.u98	Thank you, Mr. Chairman. Honourable Members, the proposal is dictated by the situation we are in and the inability to implement the Law as it is currently regulated, namely to start the census of the population and the housing fund on 22 January and to end a month later in the next 2021. We all know that the situation now presupposes more flexible decision-making and that is why we propose with colleague Ivanov in art. 3 to add para. 4 in the Law on the Census of Population and Housing Fund in the Republic of Bulgaria. This al. 4 states that, in the event of an emergency epidemic situation, as is the situation we are currently in, the Council of Ministers may change the date of the start of the census, as well as the deadline within which the State and the National Statistical Institute must summarize the data, namely a year later than the so-called critical moment, the beginning of the census. Here, too, I thank my opposition colleagues, who also support this bill. We all know that at the moment this is extremely inappropriate, given the epidemiological situation, and given the fact that the census itself is necessary, according to the data of the National Statistical Institute, about 30,000 censusers, which we will actually have to put at serious risk, because in order for the census to be complete, these censusers have to visit the homes, and that, besides infected people, are also people placed under quarantine. We absolutely do not believe that at this stage in January, given the situation, this census should be rushed. That's our offer.
ParlaMint-BG_2020-12-17.u99	Thank you, Mr. Nenkov. I'm opening the debate. Colleagues, you have a say in this. Here you go, Mr. Zarkov.
ParlaMint-BG_2020-12-17.u100	Mr. Chairman, ladies and gentlemen of the House! I am beginning with the fact that we are dealing with the reasons that are the subject of this bill. Of course, the situation is such that there may be a risk in a census. This risk must not be allowed, so the necessary measures must be taken. This is also the reason why much of my fellow Members support this bill, but I would like to draw attention to two things. This is not just an act that should go without the proper discussion, and I think the way in which this is chosen to be done is wrong. I'll explain to you why and in my opinion what should be done. The issue of population census is of such importance that the National Assembly has adopted a special law, and that is very recently. On 8 March 2019 a special Law on the census of the population of Bulgaria and the housing fund in 2021 was published in the Official Journal of the European Union. In this law, apart from deadlines, the census authorities, methodologies, relevant European documents to be taken into account, and so on and so forth. With what has now been proposed by colleagues from GERB, we are actually repealing this law during the state of emergency, as in its para. 2 of art. 3 is said when the census begins and when it ends. And now it is proposed that this thing be replaced by the possibility of a decision by the Council of Ministers to change the deadline and the critical moment. The critical moment is actually the moment of the start of a census under the Law, which means that Parliament takes this responsibility away from itself and transfers it to the Council of Ministers, which can decide and may not decide whether to start on 22 January 2021 or not. This is, in my opinion, the wrong approach, and it had to be replaced by something else. Instead of guessing what the situation would be like and when the census could take place, it could have been in a normal period shortly before January, given that there is consensus and understanding in Parliament, to set the appropriate deadlines with legal amendment. Why is that important? Because population census, the latter is in 2011, is extremely important for practically all policies. It is important to know what the general demographic situation is, which we all know is quite disturbing, but is still constantly subject to various speculations. That is why we need this census for the social economic system, for the measures we take, for the administrative and territorial division of the country, for the pension system, for what else... Perhaps even for the political process after all, as there will be two choices next year. The data from this study provided for in the special law had to come out by 31 December 2021 and would have highlighted to a large extent the legitimacy of the previous process, the adequacy of the electoral lists and so on and so forth. In other words, as a conclusion, it makes sense not to rush and do not do the census immediately on 22 January, but this cannot happen by unloading itself simply out of responsibility and giving the Council of Ministers the opportunity to decide. This problem is essential. It had to be resolved in plenary and by law, as it was done in March 2019. Moreover, this debate would be useful, as there are other problems with counting in the way of recruiting volunteers, the way of recruiting people to do it and so on. Once again, I say a national issue from which Parliament cannot simply abdicate.
ParlaMint-BG_2020-12-17.u101	Thank you, Mr. Zarkov. - What's the line? Statements? Mr. Nenkov.
ParlaMint-BG_2020-12-17.u102	Thank you, Mr. Chairman. In a way, I agree with the previous one on the gravity of the Law, as I myself spoke at its adoption in March of the previous year. Indeed, such an act must be bound by such a decision in plenary. However, we are currently in a very delicate situation where you can see that any decision may prove to be a last resort due to a number of circumstances, not to go into the particulars. You see that this decision-making process and the need for flexible ones happens throughout Europe, not only in Bulgaria. Of course, the census of the population and the housing fund is extremely important. However, here I cannot agree with the argument that in any way it had a reflection on the upcoming elections next year, because the actual census itself in the current text of the Law, the end of the census and the generalisation of the data must end one year after its launch. Therefore, if hypothetically starting on 22 January, it will not be until the end of next year, when presidential and parliamentary elections have already passed, then this data will need to be summarised. I don't see any relevance or any connection to the election. The fact is, however, that this census should be done correctly, because all the reasons that colleague Zarkov listed are so. The other thing I wanted to say is that we are not actually repealing the Law, we are giving one such opportunity precisely for the reason that there is still some flexibility. I very much doubt that the month of January, as proposed by Parliament, is that in two, three, four weeks' time, the situation will be changed, so that we can set some date in parliament, which will then prove insufficiently appropriate. We have given the opportunity, as well as on many other topics, for the Council of Ministers to have this opportunity, if it considers it appropriate, to announce another date for the start of the census. There's no backstage in this proposal of ours. On the contrary, it is justified only by the appropriateness. You yourselves understand how absurd it is, and I apologize to the 22nd to start one of these censuses and 30,000 people to go to people's homes to interrogate them. Because I don't remember what the percentage was last time of the people who had electronically filled out I was one of them, of course, but the percentage wasn't that high to expect that the larger percentage of people would benefit from this opportunity to electronically fill out the relevant forms. So this is our view, and I don't see any problem. On the contrary, we should act in such an epidemic situation.
ParlaMint-BG_2020-12-17.u103	Thank you, Mr. Nenkov. - What's the line? Any lines or speeches? Come in, Mr. Angelov.
ParlaMint-BG_2020-12-17.u104	Mr. Chairman, ladies and gentlemen of the House! From our parliamentary group, we also believe that this proposal should be supported in order to have the opportunity to actually do a census, which is objective, not distorted data and not to criticize the Bulgarian state or the National Statistical Institute, that it has not done its job. We see no problem in the Council of Ministers deciding when the date will be, no matter who it will be, whether it will be the next Council of Ministers to be able to really react in this complicated situation. In recent years, I, too, have regularly monitored the activities of the National Statistical Institute, including the censuses. I can say that the problems that were in previous counting cards have already been removed and a good counting card has been made that really enables the population to be counted properly, including ethnic, religious and any other principle, and what are the children's origins. Because we remember in previous censuses when there were problems and it turned out that there are only four million Orthodox people in Bulgaria. So all these changes from the National Statistical Institute have been removed, thank God. The conversations I have had with them, including in the last few months, show that they are ready with all the materials, with people to start a census when it is scheduled by law, but ultimately their concerns are that because of the pandemic they will not be able to do the job as it should be, and they will not be able to make the data objective in a census. That is why I took the floor to say that from "United Patriarchs" we will support the proposal so that we can really give an institution in Bulgaria the opportunity to do its job properly and in the best possible way. Thank you.
ParlaMint-BG_2020-12-17.u105	Thank you, Mr. Angelov. Are there lines? I can't see. We continue with the speeches. I don't see any speeches. I'm closing the debate and moving on to the vote. I put to the vote a Draft Law amending and supplementing the Law on the Census of the Population and Housing Fund in the Republic of Bulgaria in 2021, with No 054-01-113, submitted by the MPs Alexander Nenkov and Alexander Ivanov. 100 MPs voted: 96, none, abstention 4. The motion is accepted. Mr. Nenkov.
ParlaMint-BG_2020-12-17.u106	Thank you, Mr. Chairman. Honourable Members, on the basis of the Rules of Procedure............................................................................................... 80, para. 2, I am proposing that the Law on the census of the population and housing fund in the Republic of Bulgaria in 2021 be adopted on a second vote in the Chamber.
ParlaMint-BG_2020-12-17.u107	I shall put the proposal to the vote. Vote 95 MPs: 90 against 2, abstention 3. The motion is accepted.
ParlaMint-BG_2020-12-17.u108	The Law on Population Census and Housing Fund in the Republic of Bulgaria in 2021 is amended and supplemented by the Law on Population Census and Housing Fund in the Republic of Bulgaria. ................................................................................... In (4) In the event of a declared emergency or declared emergency epidemic situation, the Council of Ministers may decide to change the term under para. Two and the critical moment. The decision is published on the websites of the Council of Ministers and the National Statistical Institute. § 2. In § 4, t. 3 the words "determine until 31 December 2021" shall be replaced by "one-year period of the census."
ParlaMint-BG_2020-12-17.u109	Thank you. Statements? I don't see any speeches. I'm closing the debate. I shall put to the vote the following texts: the name of the Law, the content of § 1 and § 2 by importer. 100 MPs voted: 96, none, abstention 4. The motion is accepted. Procedure Mr. Ivanov.
ParlaMint-BG_2020-12-17.u110	Dear Mr. Chairman, honourable Members! I am making a procedure for extending the deadline by seven days to 13 January, including the submission of proposals between first and second readings under the Law for amendment and supplement of the Railway Transport Act Thanks.
ParlaMint-BG_2020-12-17.u111	I shall put the proposal to the vote. Vote 98 MPs: 97, none, abstention 1. The motion is accepted. Let's continue with: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE CIVIL CODEX. Importer of the Council of Ministers. You have the floor to present the bill, Mrs. Alexandrova.
ParlaMint-BG_2020-12-17.u112	Thank you, Mr. Chairman! Before I present the Report to you, please, on the basis of art. 49, para. 2 of the Rules on Organization and Activity of the National Assembly for a procedure for the admission of Mr. Lyubomir Talev, Director of the Legal Service at the Ministry of Justice.
ParlaMint-BG_2020-12-17.u113	I shall put the proposal to the vote. Vote 87 MPs: 82, none, abstention 5. The motion is accepted.
ParlaMint-BG_2020-12-17.u114	The Law on the Amendment and Supplement to the Civil Procedure Code. The Commission supports the text of the importer on the name of the Law. The Commission shall, in principle, support the text of the importer and propose the following version of § 1: ................................................................................... In Article 4 (1) (b), point (c) is replaced by the following: 38 the following 1. So far, text becomes para. 1 and the second sentence is deleted. 2. They're creating an al. (2) The service may be carried out at the country's chosen e-mail address for service by: 1. the single portal for e-Justice; 2. qualified e-mail service according to art. 3 Paragraph 37 of Regulation (EU) No are replaced by the following: , hereinafter referred to as "Regulation (EU) No (3) Where no possibility of service under para. 2, but the party has indicated an e-mail address, the service shall be carried out at that address. (4) The consent to the service under para. 2 and 3 may withdraw at any time and the withdrawal shall be without prejudice to the regularity of the actions already carried out. (5) When service under para. The message is given at the country's current address and, in the absence of one, the country's permanent address. (6) The country may indicate an e-mail address for service to an expert, witness and third party obliged to submit a document to it. The Commission shall, in principle, support the text of the importer and propose the following version of § 2: ..................................................... Article 3 is supplied to indicate the e-mail address Art. 38a. (1) The person acting in an electronic form shall indicate an electronic address for the notification of the receipt of the electronic statement and of the result of the technical verification of the action carried out. (2) In carrying out an action in electronic form, the person may agree to accept electronic statements and electronic documents from the court in the case before the court or before all the courts. (3) The person who has acted in the single portal for e-Justice shall agree to accept electronic statements and electronic documents, communications, subpoenas and documents in the proceedings before the relevant court and before all courts. (4) The consent under para. 2 and 3 may withdraw at any time and the withdrawal does not affect the regularity of the actions already carried out.
ParlaMint-BG_2020-12-17.u115	Thank you. Statements? I won't. I shall put to the vote the text of the importer on the name of the Law and the version proposed by the Commission for the texts of paragraphs 1 and 2. They voted 93 MPs: 78, none, abstention 15. The texts put to the vote have been adopted.
ParlaMint-BG_2020-12-17.u116	Under § 3 there is a proposal of the National Representative Christian Mitev in accordance with Article 3. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal in principle. The Commission shall, in principle, support the text of the importer and propose the following version of § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 41 the following 1. In para. 1 a new sentence is created second: the country has such an obligation and when it has specified an e-mail address for service. 2. In para. 2 after the words................................................................................................ In the case of a Member State, the Member State concerned shall inform the other Member States and the other Member States of any change to the electronic service address referred to in point (a) of paragraph 1 of this Article and of any change to the electronic service address referred to in point (b) of paragraph 1 of this Article. Under § 4, there is a proposal of the National Representative Christian Mitev in accordance with Article 4. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal in principle. The Commission shall, in principle, support the text of the importer and propose the following version of § 4: ............................................ Article 3 is replaced by the supplied by e-mail Art. 41a. (1) When the service is carried out under art. 38, para. 2, the message containing information on the withdrawal of the subpoena, message or paper shall be deemed to have been served on the day of its withdrawal from the addressee. If the communication is not withdrawn within 7 days of its dispatch, it shall be deemed to have been served on the first day following the expiry of the withdrawal period. (2) When the service is carried out under art. 38, para. 3 and 6, the communication containing information on the withdrawal of the subpoena, message or paper shall be deemed to have been served on the day on which the addressee confirmed its receipt. If the receipt is not confirmed within 7 days of its dispatch, the communication shall be served in the general order. The Commission shall, in principle, support the text of the importer and propose the following version of § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by 1. Paragraph 3 is amended as follows: . (3) When the message is not delivered in accordance with para. 1 and 2, as well as in the case of disasters, accidents and other unforeseen circumstances, the court may exceptionally order that service be made by a court official by telephone, e-mail address for service, telex, fax or telegram. 2. Allinea 4 is canceled. The Commission shall, in principle, support the text of the importer and propose the following version of § 6: ........................................................... In Article 4 (1) (b), point (c) is replaced by The electronic service shall be certified by: 1. electronic recording by the portal information system, stamped with a qualified electronic seal of the court with certified time or with a qualified electronic time stamp at the service under art. 38, para. 2, p. 1; 2. electronic record of the service by the qualified provider of electronic certification services in the case of service under art. 38, para. 2, p. OJ L 268, 18.10.2003, p. 29. 3. confirmation that the message has been received in service under art. 38, para. 3 and 6. The Commission shall in principle support the text of the importer and propose the following version of § 7: .................................................... In Article 4 (1) (b), point (c) is replaced by the following: 45, second sentence after the word
ParlaMint-BG_2020-12-17.u117	Thank you. Statements? I won't. Let's move on to the vote. I shall put to the vote the version proposed by the Commission for the texts of paragraphs 3, 4, 5, 6 and 7. They voted 93 MPs: 77, none against, abstention 16. The proposals have been accepted.
ParlaMint-BG_2020-12-17.u118	Under § 8 there is a proposal of the National Representative Christian Mitev in accordance with Article 8. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal in principle. The Commission shall in principle support the text of the importer and propose the following version of § 8: ................................................................................... In Article . (5) The provision of credit and financial institutions, including those that collect claims against consumers, insurance and reinsurance companies and traders that supply energy, gas or provide postal, electronic communications or water supply and sewerage services, to notaries and private court contractors shall be carried out only in accordance with art. 38, para. 2 of an e-mail address specified by them. Under § 9 there is a proposal of the National Representative Christian Mitev in accordance with Article 9. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of § 9: ..................................................... Article 51 is amended as supplied by a lawyer Art. 51. (1) The service of a lawyer shall be carried out through the single portal for e-Justice or at any place where it is located by service. (2) The lawyer may state in the portal under para. 1 that it is absent and will not accept messages for certain periods of time which, within one calendar year, may not have a total duration of more than 60 days, except for the days of absence due to temporary incapacity, which shall also be stated. The messages sent in the requested period of absence must be withdrawn within 7 days from the day following the expiry of the requested period of absence. Messages shall be deemed to have been served on the day of their withdrawal or if they are not downloaded with the expiry of the withdrawal period. (3) The lawyer may not refuse to receive a message of his trust unless after withdrawal of the power of attorney according to the order of art. 35, refusal of authority under art. 36, as well as where the power of attorney clearly indicates that it does not apply to the instance or proceedings notified. The lawyer's refusal to accept the communication shall be made electronically in the single e-Justice Portal, respectively recorded in the receipt and certified by the handler's signature. The unfounded refusal shall be without prejudice to the regularity of service. Under § 10, there is a proposal of the National Representative Christian Mitev in accordance with Article 10. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of § 10: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 52 the following amendments and additions are made: 1. So far, text becomes para. 1. 2. The creation of para. 2: (2) The service of the state offices and of the municipalities shall be carried out only in accordance with the order of art. 38, para. 2 of an e-mail address specified by them. Under § 11, there is a proposal of the National Representative Anna Alexandrova in accordance with Article 11. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the The Commission supports the proposal in principle. The Commission shall in principle support the text of the importer and propose the following version of § 11: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 62 the following amendments shall be made: 1. Alinei 1 and 2 are amended as follows: (1) The last day of the term shall continue until the end of the twenty-fourth hour. If action is to be carried out or something is to be presented to the court, the time limit shall expire at the time of closing the working hours. (2) The time limit shall not be deemed to have been omitted when the sending of the application has taken place either by mail or in electronic form. It shall not be deemed to have been omitted when the application has been lodged in another court or in the prosecution. 2. The creation of para. 4. . (4) The electronic statement by which procedural action is carried out shall be deemed to have been received by the court to which it is addressed, with its entry into the system of the single portal for e-Justice. The Commission shall, in principle, support the text of the importer and propose the following version of § 12: ................................................................................... In Article 4 (1) (b), point (c) is replaced by the following: Paragraph 71 . (3) Where procedural actions are carried out in electronic form, the courts shall indicate clearly, intelligibly and unambiguously the obligation to pay fees and charges on their websites, respectively on the single e-Justice Portal, indicating how they are paid electronically. The Commission shall in principle support the text of the importer and propose the following version of § 13: ...... 13............................ 13. In Article 4 (1) (b), point (c) is replaced by the following: 73 the following amendments and additions are made: 1. A new para is being created. 4. . (4) The courts shall provide the parties with the possibility of payment of fees by electronic means. If the request for protection and assistance is made in electronic form under art. 102f in the single e-Justice portal, the state fee due is reduced by 15 percent. Upon withdrawal of the consent to service in this way, the difference to the full amount of the State fee due shall be paid by the debtor within 7 days. 2. So far, the Al. 4 becomes para. 5.
ParlaMint-BG_2020-12-17.u119	Thank you. Statements? I won't. Let's move on to the vote. I shall put to the vote the version proposed by the Commission for the texts of paragraphs 8, 9, 10, 11, 12 and 13. Vote 92 MPs: 80, none, abstention 12. The texts put to the vote have been adopted.
ParlaMint-BG_2020-12-17.u120	The Commission shall support the text of the importer for § 14, by: 1. In Article 4 (1) (b), point (c) is (a) in para. 1 the word "ingoing' is deleted; (b) in para. 3 after the word "address" is added for service. 2. In Article 4 (1) (b), point (c) is replaced by the following: 102z, para. 1 in the first sentence, the words with the corresponding device shall be replaced by the words in the order of art. 360g of the Law on the Judiciary, in a form and manner allowing its reproduction, and in a sentence, second, the words under Section 6 of Chapter III of Regulation (EU) No Under § 15 there is a proposal of the National Representative Christian Mitev in accordance with Article 15. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 15: ...... 15.................................................... In Article 4 (1) (b), point (c) is replaced by the following: 127, para. 1 t. 2 is amended as follows: "2." the name and address of the applicant and the defendant, their legal representatives or proxy, if any, the e-mail address for service under the conditions of art. 38 and 38a and an application whether or not he wishes to be served at that e-mail address, as well as a telephone number of the plaintiff and his representatives or commissioners, the plaintiff's single civil number and the fax and telex number, if any. The Commission shall support the text of the importer for § 16. The Commission shall, in principle, support the text of the importer and propose the following version of § 17: Seventeen. In Article 4 (1) (b), point (c) is replaced by the following: 131, para. 2 t. 2 is amended as follows: "2." the name and address of the defendant, his legal representative or proxy, if any, as well as the telephone number and e-mail address for service to the defendant and his representative, if any, and an application whether or not he wishes to be served at that e-mail address for service. Under § 18 there is a proposal of the National Representative Christian Mitev in accordance with Article 18. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 18: .............................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 183 the following amendments and additions are made: 1. So far, text becomes para. 1. 2. The creation of para. 2: (2) The copy certified by the country under para. 1 may also be presented as an electronic image certified by the country with a qualified electronic signature. The Commission does not support the text of the importer and proposes that § 19 be rejected. The Commission does not support the text of the importer and proposes that § 20 be rejected. The Commission does not support the text of the importer and proposes that § 21 be rejected. The Commission does not support the text of the importer and proposes that § 22 be rejected. The Commission does not support the text of the importer and proposes that § 23 be rejected. The Commission does not support the text of the importer and proposes that § 24 be rejected. The Commission does not support the text of the importer and proposes that § 25 be rejected. The Commission does not support the text of the importer and proposes that § 26 be rejected. The Commission does not support the text of the importer and proposes that § 27 be rejected. The Commission does not support the text of the importer and proposes that § 28 be rejected. The Commission shall support the text of the importer for § 29 which shall become § 19.
ParlaMint-BG_2020-12-17.u121	Are there any speeches, colleagues? I can't see. I shall put to the vote the following texts: the text of an importer for § 14 with the amendments proposed by the Commission; the version proposed by the Commission for the text of § 15; the text of importers for § 16; the version proposed by the Commission for § 17, the amendments proposed by the Commission for § 18 and the proposal of the Commission to reject the following paragraphs 19, 20, 21, 22, 23, 24, 25, 26, 27, 28 and 29, which shall become 19. Vote 87 MPs: for 73, against none, abstention 14. The proposals submitted to the votes have been adopted.
ParlaMint-BG_2020-12-17.u122	Under § 30, there is a proposal of the National Representative Christian Mitev in accordance with Article 30. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 30, which shall become § 20: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 436, para. The third sentence is created: "All documents can be sent to the court in electronic form. The Commission does not support the text of the importer and proposes that § 31 be rejected. The Commission does not support the text of the importer and proposes that § 32 be rejected. The Commission shall, in principle, support the text of the importer and propose the following version of § 33, which shall become § 21: .................................................................. Paragraph 1 of the Additional provision shall be amended as follows: § 1. Within the meaning of this Code: 1. "Videoconference" is a communication tool for simultaneous transmission and reception of image and sound between participants in the process located in different locations, allowing recording and storing of information on an electronic medium. 2. The e-mail address for service is a personalised space in the single e-Justice portal through which persons receive electronic applications, messages, subpoenas and documents from the courts, qualified e-mail service and e-mail address. 3. E-mail is the document within the meaning of art. 3 paragraph 35 of Regulation (EU) No are replaced by the following: 4. "Qualified electronic seal of the court" and "skilled electronic time stamp of the court" are seals which meet the requirements of Section 5 and Section 6 of Chapter III of Regulation (EU) No "Transitional and final provisions' The Commission shall support the text of the importer for the name. Under § 34 there is a proposal of the National Representative Christian Mitev in accordance with Article 34. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the The Commission supports the proposal in principle. The Commission shall, in principle, support the text of the importer and propose the following version of § 34, which shall become § 22: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss At the request of a lawyer registered until 30 June 2022 in the single e-Justice Portal, service may be carried out in accordance with the order chosen by him.
ParlaMint-BG_2020-12-17.u123	Are there any speeches, colleagues? I can't see. I shall put to the vote the following texts: the version proposed by the Commission for the text of § 30, which shall become § 20; the Commission's proposal to reject paragraphs 31 and 32 by importer, the version proposed by the Commission for the text of § 33, which shall become 21; the text of the importer supported by the Commission on the name of the division. Vote 85 MPs: 74, none, abstention 11. The proposals have been accepted.
