ParlaMint-ES_2020-02-04-CD200204.u1	Good afternoon, ladies and gentlemen. The meeting was called to order.
ParlaMint-ES_2020-02-04-CD200204.u86	Thank you, Mrs. Olona. For the People's Parliamentary Group in Congress, Mrs De Luna Tobarra has the floor.
ParlaMint-ES_2020-02-04-CD200204.u87	Thank you, Madam President. Ladies and gentlemen, Minister, I congratulate you on your appointment and wish you, for the good of all Spaniards, luck and success in your decisions. I anticipate that we are going to vote in favour of this real decree-law on urgent measures in the area of public sector remuneration that has just been presented to us, and we are going to vote in favour because it is an alternative to the Socialist Government's inability to present and approve General State Budgets for 2020, which is where these measures should really have been included. As I said, it is a technical alternative that complies with the agreement for the improvement of public employment 2018-2020 signed in March 2018 by the People's Party government with the UGT, Commissions and CSIF unions, an agreement on the remuneration of officials in which I will then go into detail. [[Applauds]] But I have to tell you, this is the end of the good news for you. Besides, I'm sorry to tell you that I have to give you two more news and that you're probably not going to like either of them. The first is that you are going to have a lot of work, and I hope that the eleven senior officials and the eight advisors in your ministry will not give enough to deal with everything that comes over you as head of the Ministry of Territorial Policy and Public Service. In the part of territorial politics I will not enter, but the meeting of his boss last morning with the disabled Torra, who continues to believe himself president, the balances to continue to have the support of those condemned by sedition, who, far from repenting, say with pride that they will do it again, or try to torpedo the autonomous communities ruled by the People's Party, of course, are not easy tasks. In the civil service part, you have more than enough to manage the Government of Sánchez: a President of the Government, 4 Vice-Presidents, 18 Ministers, 30 Secretaries of State, 50 Assistant Secretaries, 54 Cabinet Directors, 136 Directors-General, 21 Technical Secretaries-General and almost 250 Advisers. What is amazing is that this morning's employment data has been so bad despite such public-money hiring. 244,000 jobs have been lost, which has been the worst since 2013. By the way, minister, is it true that this government costs the Spanish 24 million more than the last government of the People's Party? And another question with regard to appointments: Is there really no one among the career officials prepared to assume any of the twenty-four directorates-generals that you have appointed to your finger, jumping over what is laid down in Law 40/2015 on the Legal Regime of the Public Sector, which, by the way, approved a Government of the People's Party? Does the minister have anything to say to Fedeca's accusations about her Government's lack of interest in having a professional and independent public administration? Let me also, Minister, tell you about other public servants that you have forgotten here. Why not include in this royal decree-law the 247 million euros for the salary equalization of the Police and the Civil Guard for the third tranche of the wage equalization agreement, as well as the 66 million euros for the salary increase of prison officials? Our group would like this royal decree-law to be treated as a bill including, as I say, this just historical wage claim that we have always supported from the People's Party. [[Applauds]] The second news I was referring to, which is not good either, is that you can no longer take advantage of the work of the People's Party. Almost two years later you can no longer stretch the rope, it no longer gives of itself; now it is you who have to bring something new. Let me explain. The penultimate thing a socialist government did for civil servants was to cut their Christmas extra pay and reduce, on average, 5% of the civil servants' remuneration in 2010; therefore, consolidate that down payment and cut the 2011 summer extra pay. It was the PP government that signed with the UGT unions, Commissions and CSIF a three-year public sector stabilization plan 2017-2019, the aim of which was to reduce the temporality to 90% in those three years, stabilising more than 250 000 temporary places that would become fixed: 129 700 associated with health, almost 99 000 teaching and 8600 to the Administration of Justice. It was the People's Party government that signed with the unions the agreement for the improvement of public employment 2018-2020 that you bring us here today, an agreement on the remuneration of officials that for the first time contemplated a fixed component and another variable that was linked to the fulfilment of the objectives of economic growth and deficit and that allowed wages to rise to 8.79 % in three years if certain objectives were met. With this agreement and with the increases of the years 2016 and 2017 the officials would gain purchasing power, partially recovering the cuts executed by Zapatero in 2010 and 2011, approved, by the way, with the vote in favor of Pedro Sánchez. And the last thing a socialist government has done for officials has been to generate uncertainty and contribute with its inaction to the slowdown in economic growth, from the 2.6 that we grew in 2018 to the 1.5 or 1.6 estimated for this year, which will prevent public employees from benefiting from an additional 1% increase that was foreseen in that agreement if we grew to 2.5%. In short, the only thing that depended on you is the only thing you can't do. These two three-year employment stabilization and pay agreements are a historic milestone, but they have already been overtaken, and now it is up to you to get to grips with further progress in recovering the rights of our employees, rights that have been cut short by a socialist government with the vote of which it is now president, and rights that have been trampled on by the nepotism of a left-wing and far-left coalition government that historically always pre-empts the affinity of the regime to merit and capacity. And that's why I'm telling you that he's gonna have us in front of him. My parliamentary group and the People's Party will always stand by our public employees, defending a professional, impartial and independent administration, where the principles of equality, merit and capacity, and not political affinity, are those that define the career of our officials. As I have already started, Madam Minister, I congratulate you on the appointment and, above all, since you do not have an easy task, as I said, but complicated, wishing you success and luck, for the good of all the Spaniards. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u88	Thank you, Mrs. De Luna. For the Socialist Group, Mr Sicilia Alferez has the floor.
ParlaMint-ES_2020-02-04-CD200204.u89	Thank you, Madam President. Ladies and gentlemen, good afternoon. Minister, welcome to this plenary. Congratulations on your job, in which I am convinced that you will do a magnificent job. Allow me, however, to say my first words to thank you for attending this debate and this plenary session of the trade union representatives of the Civil Service who are accompanying us from the rostrum this afternoon. Ladies and gentlemen, the adoption of this decree-law shows that the Socialist Party is fulfilling its word and that the progressive coalition government is fulfilling its commitments. The Government undertook, just to take possession, that one of the first steps it would take would be to raise the wages of employees and public employees in order to continue to comply with the agreement for the improvement of public employment. It is true, ladies and gentlemen, spokesman for the PP, that this agreement broke out with a government of the People's Party, the same government of the People's Party that punished public employees with wage cuts, with rights cuts, with staff cuts; that is, always with the excuse of the crisis, that excuse of the crisis that served them, in short, to impose their ideology, which is nothing other than the loss of public services. Because the right has never believed in public services, the right has always tried to weaken public services, and there is nothing more to see how they continue to do so where they govern. [[Applauds]] It was the former socialist government, that of Pedro Sánchez, that developed the agreement and it is the current progressive coalition government that continues to implement it and that is fulfilling it, as is demonstrated today by this royal decree. Ladies and gentlemen, not a month has passed since the formation of the new government and we already have that royal decree in this House to validate a 2% increase in the salaries of civil servants with effect from 1 January, a measure that, as you know, will benefit slightly more than 2.5 million public employees. It will benefit the employees and public employees of the State, autonomous, local and also the business public sector; a rise, ladies and gentlemen, which was not possible, as you well know, during the months in which the Government was in office, but which, as we have shown, was a priority for the Government and the Socialist Party, a priority that we already demonstrated on 21 December 2018 with the adoption of a similar decree, to which the spokesman of the PNV has already mentioned, which allowed the salaries of public employees to be raised during 2019 even though there was no budget, and which we also demonstrated in June last year with that additional rise of 0.25 % in relation to the GDP increase estimated at that time. Therefore, ladies and gentlemen, as I say to you, the commitment of the Socialist Party and this Government is clear to improve public employment, to improve the salaries of civil servants and the working conditions of public employees, because it is not only about raising their salaries. That is why the former socialist government has also managed to reduce public sector time by 8%, and I would like to remind you that it approved the largest public offer of employment in the last decade, more than 33 000 jobs offered to try to alleviate the damage that the People's Party has done not only by cutting civil servants' rights, but also by cutting the numbers that served the citizens of our country, because that is, ladies and gentlemen of the People's Party, what they did during their years of government. [[applause]] This agreement was taken out by the trade unions, they did not gladly do so; they were taken out after years of having to bear with public officials the maintenance of their work and, therefore, of a quality service to the citizenry despite the staff cuts and that those minimum rates could not be replenished, which in some services were not minimal, but non-existent; they were prohibited by law, ladies and gentlemen of the People's Party. Let me remind you, because I do not want to miss the opportunity, despite the fact that some people call it a gender ideology, and, yes, there is also a gender ideology here, which was the former socialist government that enabled the mobility, with full guarantees, of female officials who were victims of gender violence and who were victims of ill-treatment. [[Applauds]] Yes, ladies and gentlemen, the fight against macho violence has to be in all areas, and of course and much more in the field of public administration. Ladies and gentlemen, 'public employees are a priority because they are the basis of the welfare state and contribute with their personal effort to the defence and maintenance of public services'. These are the words of the President of the Government that we all share. That is why the programme agreement we signed with Unidad Podemos has a very important part to do with public employment, because for us, as I say to you, it is a priority. We are therefore, ladies and gentlemen, before an executive and a minister committed to public services and their employees, because they are the true guarantors of these public services and, therefore, of many of our rights and freedoms. Public officials are the guarantors of the right to education of our children and children, the guarantors of the health of our parents and mothers, the guarantors of the care of our elders or the guarantors of our security and our freedoms. That is why my group understands that this rise is fair, we will support the royal decree and ask the rest of the groups to do so. Finally, let me answer a few questions. The spokesman for the People's Party reported in this rostrum a large number of positions and senior positions of the Government. Let me tell this spokesman that they have all completed and are going to complete their declaration of property, which you did not do during the years of government, hiding those declarations of property from the citizenry. [[Applauds]] Look, the worrying thing is not the cost of a government for a democracy, the worrying thing is that you use one of the systems that our democracy has, such as the funds reserved, to pay for the concealment of the People's Party Box B. That is worrisome, ladies and gentlemen. [[Applauds.-Protests]] But we already know what the People's Party cares about the public, we already know what the public cares about the right. [[A lady MP: But what do you say?-Protests]] Yes, yes, you use the public, public land, everyone's, to give it to private schools. [[Protests.-Applause.]] You use the construction of public housing, yes, you, the one we all pay for, then give it to the vulture funds. [[Protests]] You use, yes, public tenders to nurture your illegal financing... [[Protests]]
ParlaMint-ES_2020-02-04-CD200204.u90	Ladies and gentlemen, please.
ParlaMint-ES_2020-02-04-CD200204.u91	...and the funds reserved to try to hide it. [[Applauds]] That's how you understand the public, ladies and gentlemen.
ParlaMint-ES_2020-02-04-CD200204.u92	Mr. Sicilia, you have to finish please.
ParlaMint-ES_2020-02-04-CD200204.u93	I'm done, Madam President. Let me finish as I began my intervention, reminding public officials and with a small memory also for José Luis Cuerda. In one of his memorable films, José Luis Cuerda said: Mayor, we are all contingents, but you are necessary. [[Laughter]] Gentlemen of the Public Service, we are all contingents here today, but to maintain our public welfare system, you are necessary. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u94	Thank you very much, Mr Sicily. - REAL DECRETO-LEY 18/2019, OF 27 DECEMBER, BY WHICH DETERMINED MEASURES IN THE FIELD OF TRIBUTARY, CATASTRAL AND SOCIAL SECURITY ARE ADOPTED. [[File number 130/000001]]
ParlaMint-ES_2020-02-04-CD200204.u95	Validation or repeal of Royal Decree-Law 18/2019 of 27 December, adopting certain measures in the field of taxation, cadastral and social security. To present the royal decree-law, the Minister of Finance has the floor on behalf of the Government.
ParlaMint-ES_2020-02-04-CD200204.u96	Good afternoon, Madam President, ladies and gentlemen. I appear before this House to request the validation of the Royal Decree-Law 18/2019, approved by the Council of Ministers held on 27 December, which contains, as its title indicates, various measures in the field of taxation, cadastral and social security. You know that we presented this royal decree-law when the government was in office and therefore it was not possible to deal with it by its ordinary parliamentary channel. However, as they will have seen after their reading, these are measures of absolute urgency, of necessity, which aim to guarantee rights and avoid significant harm to a large group of citizens by extending situations that, if not, would have ended by the end of 2019. In other words, if this royal decree-law had not been processed, some of these measures would have ceased to be in force by the end of the year and, instead, others would have been operational automatically, which could have resulted in some collectives, who had also been particularly punished by the crisis - pensioners, self-employed, farmers or self-employed or workers in general - having been adversely affected by their situation. Ladies and gentlemen, having said that, the reality is that this government has already since the first days of its mandate exceeded some of the measures contained and adopted in this rule, whose validation today concerns, for example, the upgrading of pensions or the agreement to raise the SMI through social dialogue. You know the priorities of this Government, priorities that remain clear and transparent: the defence of workers, the guarantee of pensioners and support for self-employed people, and all this from the conviction that it is necessary to work from the institutions for a decent job and a decent wage through the social dialogue between the Government, employers and trade unions, promoting fiscal justice, which can only be the basis of social justice. Having said that, ladies and gentlemen, I shall begin to explain in detail the scope of the decree-law which I submit to you today. As you know, the rule divides the measures into two parts: tax and catastrophic measures and social security measures. First of all, I would like to refer to the cadastral and tax systems. This concerns, in relation to the income tax on natural persons, the extension for the tax period 2020 of the quantitative limits for invoicing per module. I'll explain myself. It is well known that the current legislation has to date reduced the thresholds from which a self-employed person would not be able to tax by the module or objective estimation system by 2020. With this royal decree what we do is to keep unchanged the exclusion limits currently in force, that is, that the tax situation of this collective remains as in 2019 or 2018. It will therefore mean that self-employed workers will be able to continue to rely on the method of objective estimation when - as established by law - all activities do not exceed EUR 250 000 or when invoicing to other professionals or employers does not exceed EUR 125 000. If this royal decree-law were not validated today, the limits would automatically increase to EUR 150 000 instead of EUR 250 000 and to EUR 75 000 instead of EUR 125 000. Therefore, ladies and gentlemen, it is a reasonable, logical measure that demonstrates the sensitivity that the Government has with this group of self-employed professionals, especially those with lower incomes, to whom we make it easier to maintain their activities in a simple way. In addition, self-employed persons purchasing goods and services up to EUR 250 000 may also be retained in the module system compared to the previous forecast, which set the limit of EUR 150 000. As regards value added tax, this rule also extends the limits for the application of the simplified regime and the special regime for agriculture, livestock and fisheries for the 2020 tax period. Finally, and not least important, the extension of the capital tax by 2020 is envisaged, the yield of which is fully transferred to the autonomous communities. As you know, this tribute was abolished in 2008, but it was temporarily recovered in 2011 and since then systematically, repeatedly, its validity has been extended annually. With today's action, we renew its validity. The extension in particular is of particular importance to this Government, since it is a priority to improve the progressive nature of the tax system, of our tax model, in line with constitutional requirements. The Government considers that this tax is one of the best ones to reflect the progressive nature of the tax system because it requires a greater contribution to those with greater economic capacity and with the adoption of the rule we comply with the principle of legal certainty which requires taxpayers of that tax to know at the beginning of the year that their tax will be maintained throughout the year, despite the fact that their return does not take effect until 31 December 2020. In addition to fiscal measures, the Royal Decree-Law also has special features of particular importance to citizens. On the one hand, it sets out the list of priority sponsorship activities for this year, and on this point I would like to point out that the percentages and limits of deductions set out in the Non-Profit Tax Act and tax incentives to sponsorship are raised by 5 percentage points. On the other hand, this Royal Decree-Law also includes the approval of the coefficients for updating the catastrophic values of urban real estate by 2020, as set out in Article 32.2 of the consolidated text of the Real Estate Disaster Act. If you are not aware of this, I would like to make it clear that the budgetary extension situation has made it necessary for us to update the coefficients before 31 December 2019, as was the case in the previous three years. In this sense, in the ministry we have already approved the order with the relation of municipalities in which the update coefficients will apply, either upwards or downwards. Ladies and gentlemen, I would also like to point out that this measure only concerns urban buildings and is adopted in the terms laid down in the Law on Real Estate Disaster, which requires that there be a prior municipal request; otherwise, the update is made on the municipalities that have previously declared to the Ministry of Finance their willingness to update the cadastral values. In total it has been 1092 municipalities that have wanted to benefit from this update, whose implementation will take effect since 1 January with global average increases and decreases that together reach 3%, respectively, distributed in each of the municipalities with different scales that you can consult in the order itself. Ladies and gentlemen, by making a comprehensive reading of this issue, since the adoption of this measure results in better municipal funding and contributes to fiscal consolidation and fiscal stability, local authorities also use this instrument as a tool to be able to fundamentally update certain catastrophic values that have been in place for a decade. Another of the measures we include in the Royal Decree-Law concerns compliance with Directive 2014/40/EU of 3 April 2014 of the European Parliament and of the European Council for the implementation in the Member States of a system allowing the monitoring and tracing of tobacco products in the European Union. What we are pursuing is to facilitate the control of the entire supply chain, from manufacture and import to sale to the consumer, imposing obligations on operators and also on all Member States. As I said at the beginning of my speech, the transposition of the directives relating to all matters of the Ministry of Finance is being done in this Decree-Law. In addition, a directive was proposed this morning to avoid the sanctions that would force our country to pay the European Union large amounts for non-transposition. As I said at the beginning of my speech, the rule also includes measures in the field of social security, which I will then transfer to you. The first of these provides for the suspension of article 58 of the consolidated text of the General Social Security Act, i.e. the article limiting the revaluation of pensions to 0.25 %. If we had not suspended this article, the pensioners would have been confused about the planned increase, because there would have been a duplication of treatment which we believe we should be able to avoid at the time. I have already moved on several occasions that the Government had planned to implement as soon as possible, as soon as it was on full return, with retroactive effects from the beginning of the year, an increase in pensions in our country of 0.9 per cent, which is the average estimate made of inflation. Therefore, ladies and gentlemen, in parallel with the processing of this Decree-Law, which renders the revaluation of 0.25 % ineffective, this government, as it committed to the citizens, has updated pensions by 0.9 % so that pensioners do not lose any level or quality of life, as we had planned. On 14 January the first Council of Ministers, once this commitment has been implemented, continued the processing of the Decree-Law establishing such pension revaluation for the financial year 2020, including the ceiling for the collection of public pensions. Ladies and gentlemen, I would like to tell you that this pension update measure benefits more than 10 million pensioners and we believe in the government that it was fair to bring this Decree-Law, which will be validated by your ladies and gentlemen today, if they consider it appropriate, to suspend the 0,25 % rate and be able to address 0,9 %, as the government has done in the Royal Decree-Law that I have just mentioned to you. It was also established as a first step in this same rule that if inflation exceeds this expected increase of 0,9 %, pensioners will receive in a single payment before April 2021 the difference between that rise in the CPI that could arise and the 0,9 % that begins to be paid immediately. So, ladies and gentlemen, we have kept our word, we have complied with the agreements that inspired this government of progress and, therefore, we want to continue to move our commitment to older people, to pensioners and, to the extent that this government has the legislative momentum, we will continue to update pensions according to the CPI. Having regard to the part relating to the tax figures and the part relating to the revaluation of pensions, I should like to say to you, ladies and gentlemen, that we have also had to extend other measures in the field of social security bases and types of contributions to ensure that they are implemented as from 1 January this year. For example, I am referring to the maintenance of the maximum ceiling and the maximum contribution base in the social security system, the contribution of the special schemes of domestic and agricultural workers on behalf of others or self-employed persons, or the bases and types of contributions of self-employed persons, among others. In addition, this Royal Decree-Law maintains the extension of the period of cancellation of loans granted by the State to the Social Security Administration, as well as the moratorium on various health institutions recognized in previous budgetary rules. Another aspect relating to social security is the need to maintain the pre-Law 27/2011 legislation during this exercise for certain groups that were extinguished by April 1, 2013. It is a question of not harming workers who have been expelled from the labour market at an older age, who have not been able to reintegrate into that working environment and who wish to have access to early retirement even if they have signed a special agreement with Social Security from that date onwards. It was therefore necessary that this article could also take shape in the validation of the decree-law. Finally, ladies and gentlemen, I conclude my speech by transferring that the rule also includes the extension of the period of validity of Royal Decree 1462/2018, which set the minimum inter-professional wage for 2019. Since it ceased to have effect on 31 December 2019, there were reasons of extraordinary necessity which made it inexcusable to maintain its validity as from 1 January this year; all this, ladies and gentlemen, to equip us, with a Government already in full capacity, with sufficient time to arbitrate the social dialogue and to try, as has been achieved, to reach an agreement within it that would allow the amount of the interprofessional minimum wage to be fixed for this year. An agreement which, as you will know, was reached in the previous days, which today in the Council of Ministers has also been approved by its formal channel and which ensures that this salary is set at EUR 950 per month, 5.5% more than it was enjoyed in the previous year, and which will benefit more than 2 million people. And I would like to highlight in particular the impact on the women's collective and the youth collective, which are widely involved in pay based on the quota of the interprofessional minimum wage. This increase has therefore been overtaken by the subsequent processing by the Government after its entry into force and in full operation, with the capacity to adopt such measures. Therefore, ladies and gentlemen, it is clear that the Government, to the extent it can, will continue to drive the path of social dialogue that will enable the generation of jobs and quality wages and progressively recover the positions that were lost during the crisis, all of which will boost consumption and thus boost the economy, something that I assure you will happen. I conclude by reiterating the need to understand that this decree-law was adopted at a time when the Government was in office, i.e. with limitations on the scope of its powers, and that it was also bound by the budgetary extension situation in which we find ourselves. I have moved with my intervention the importance it has for many groups, especially those who are most vulnerable, and I appeal to their responsibility to support their validation. In the coming months, moreover, ladies and gentlemen, we will address the debate and the processing of public accounts for the year 2020 and today, from the rostrum and as Minister of Finance, I give you my hand to discuss and improve the draft General State Budgets that I hope to present in this House as soon as possible. I do so because I believe that, above and beyond the legitimate ideological differences between the Government and the opposition, we are all equally concerned with the tireless pursuit of the well-being of the citizens we represent, and finding that common good in dialogue, agreement and consensus will undoubtedly be the best way to do so. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u97	Thank you very much, Minister. The Joint Parliamentary Group, Mr Martínez Oblanca, is taking part in the position-setting exercise.
ParlaMint-ES_2020-02-04-CD200204.u98	Thank you very much, Madam President. Good afternoon, Minister of Finance. This validation puts an end to a period of very severe legislative drought that began with the arrival of Mr Sánchez's presidency following the motion of censure in late May 2018. The Constitution authorizes the royal decree-law for matters of extraordinary and urgent necessity, but in the last year and a half it has been used and abused of this mechanism, by which measures have been collated that, from the point of view of Forum and looking at all Spain, but especially at Asturias, have been harmful to important sectors of our economy, case of industry or to the mining basins, to which it has dragged to impoverishment and ruin by the collage of the decree promoted by ecological radicalism. Today, the deserter Teresa Ribera, elevated to the rank of vice president, recognizes that it will not be possible to recover the job that is being lost by her irresponsible express decarbonization, which camouflaged via royal decree-law. Expert in disguised as green to make unemployment and unable to get colored by its pathological futility to create employment. Ladies and gentlemen, the third royal decree-law that we see this afternoon is the last of those in the 2019 series, a year that will pass into democratic history because of its legislative insolvency, on the sole account of the inability of the government of Pedro Sánchez to pass bills through ordinary channels. Here measures are mixed in tax, cadastral and social security matters, as the Minister has explained, so that in the revolt everything can be validated, even if it may differ from some of the paragraphs. It is the case of tax measures, which are justified as urgent and indefatigable, and also to provide legal certainty to taxpayers, when what is urgent and indefatigable in Spain is a tax reform that stops suffocating the Spaniards and puts an end to the inequity in tax treatment as a consequence of the place where citizens live. In any case, I trust that throughout this XIV newly begun Legislature we will recover the ordinary processing of new bills and legal reforms, the main mission of Congress and also of the Senate. Thank you very much, Madam President.
ParlaMint-ES_2020-02-04-CD200204.u99	Thank you very much, Mr Martínez. I have the floor for the same parliamentary group, Mrs Vehí Cantenys.
ParlaMint-ES_2020-02-04-CD200204.u100	Thank you, Madam President. I start with a preview; Mrs. Giménez, the truth is that talking about salaries to the CUP... I do not know if you know that we have a fairly restrictive policy of wages and transparency. In any case, if you want to talk about salaries and work, we could also talk about one of the first steps you took when you arrived at the Andalusian Council, together with the People's Party, which is to raise salaries in your posts from 20% to 90%. If you want to talk about transparency and work, we will be delighted, but I think that getting involved with the salaries of the CUP and the transparency of the CUP is not going to work out very well; there you are. I now turn to the decree-law presented to us by the Government today. The minister said it was an update and an implementation. Well, it's obvious, we're talking about IRPF, Heritage, VAT, but we're doing nothing but updating. We hope that there will be a future law where we can talk about recapture, heritage and, above all, that we can put forward a premise that is fundamental to us, that is that we pay more who has more, but that we pay much more, not only that we pay a little. For us it lacks courage or, what is the same, the situation of inequality is incredible. I will give some data, in the Valencià Country the annual average of a family is 25 000 euros, and 28% of families are on the threshold of poverty, while in the Spanish state we have great fortunes known all over the world. Today we can talk about one of the usual suspects, Mr. Amancio Ortega, or of Inditex, who is his company. This man, according to Forbes, has more than 70 billion dollars of fortune and in 2019 more than 18 billion euros of profit; benefits that, according to the economic press, will surely invest in a real estate company based in Spain, England, the United States and Asia. I would like to remind you that housing is one of the elements that most impoverishes families because it is the most they have to devote to. And since we talk about housing and big fortunes, as families cannot afford their homes, today what the popular movement does is defend them with their body. Today, the Platform d'Afectats for the Mortgage and the Vallès Anticapitalista has arrived a fine per law of 20 000 euros for defending a family so that it does not denunciate it. Let us also hope that political courage will reach the end of the law. But we were talking about inequality and Mr. Amancio Ortega. The Corporate Responsibility Observatory in 2017 published a report on tax havens and Mr.Amancio Ortega attributed a tax evasion of more than €600 million. You see, either the survival of the families in the south of our country or the great fortunes. And it's just that Inditex is not the only IBEX company that uses tax havens. The same study indicates that there are more than 1200 offshore subsidiaries of various IBEX companies. More common suspects: Santander, Repsol, among others. And it's just that we said it in the investiture, the Finance Technician's Union already said at the time, not long ago, that a family pays three times as much taxes as any IBEX company. Therefore, we repeat, either the survival of the families of the popular classes or the accumulation of the companies of IBEX 35. That is why we will do what we have said before, a abstention, which we call a watchful abstention; watch out because, in some way, it expects and will be waiting for what measures are most being taken in terms of redistribution of wealth. Be brave and you will have us with your hand: either the IBEX Stock Exchange or the life of the families of the popular classes, and pay more who has more, but pay much, much, much more. Thank you.
ParlaMint-ES_2020-02-04-CD200204.u101	Thank you, Mrs. Vehi. Mrs Sagastizabal Unzetabarrenetxea has the floor for the Basque Parliamentary Group. [[EAJ-PNV]]
ParlaMint-ES_2020-02-04-CD200204.u102	Thank you, President. Today the government brings us a real decree of 27 December, as it did in 2018 - and also, note, on the same date - setting out a set of measures resulting from the lack of law of the General Budgets of the State for the current year 2020. So, I hope it can be dealt with as soon as possible, especially to establish those public policies that facilitate the transition to sustainable growth and discuss all these issues there too. With regard to this royal decree on tax and social measures, I would just like to say that our group will in principle vote in favour of it basically for the measures taken on pensions and on the inter-professional minimum wage. As you know, we in fiscal measures usually abstain because in Euskadi we have own estates and therefore competition in tax matters, above all in direct taxation. The decree sets out measures to update the cadastral values that affect real estate and also sets the limits for the application of the method of objective estimation of IRPF and in which our group has little to say, because for us they are concerted taxes of autonomous regulation and therefore exclusive competence. However, with regard to the VAT measure, which sets the limits for the application of the simplified scheme and the special arrangements for agriculture, fisheries and livestock, it is a concerted levy of common rules and, therefore, this same measure and in these same terms is already reflected in the relevant external rules of each historical territory. Specifically, in Vizcaya it was published in the newsletter on 13 January. As for the property tax, I want to say that we are again witnessing an extension of the tax by 2020, a measure that has been approved by all governments since 2012, and that we must not forget that in 2008 this tax was abolished by President Zapatero and then temporarily recovered it since 2012 due to the economic crisis. As regards social security measures for the revaluation of pensions, public benefits and contribution bases, of course we can only agree, since all this comes as a result of the increase in pensions to the CPI, according to the decree-law that is now subject to validation, and we must also not forget that this group, the Basque Nationalist Party, was the one who negotiated the rise of pensions to the CPI in 2018, as well as the improvement of widowhood and the delay of the sustainability factor. With regard to the maintenance of the inter-professional minimum wage, we fully agree, especially when it has been agreed that the minimum wage should be increased between trade unions and employers, although at this point we would like to give a little thought because education and work are two elements that are very present in society and are also closely linked. Thus, equal opportunities for access to education facilitate the effective exercise of the right to work, and in this exercise of work we must bring back the European Social Charter, which states in its Article 4 that all workers are entitled to a sufficient remuneration to provide them and their families with a decent standard of living, and states that the minimum wage must reach at least 60% of the minimum wage of each State; a task which is certainly not easy, because it is normally a figure which is fixed and does not usually take into account the reality of the autonomous communities, where both the cost of living and labour costs can be very different from one another. Therefore, although the interprofessional minimum wage figure could be close to 60% in some autonomous communities, in others it could be very far away. On the other hand, and noting also the positive data of economic growth, it would be important for this growth to reach people through a recovery of wages, because it is true that the adjustment of wages during the crisis was mainly in the lower wages. For all that, this group will vote in favour of the validation of this royal decree. Thank you.
ParlaMint-ES_2020-02-04-CD200204.u103	Thank you, Mrs. Sagastizabal. For the Citizens' Parliamentary Group, Mrs Muñoz Vidal has the floor.
