ParlaMint-IS_2015-12-18-58.u1	There will be time for a conference between the clocks. 13 and 14 today, due to committees.
ParlaMint-IS_2015-12-18-58.u83	V.E.G. President. It is with great pleasure that I will vote for this proposal. This leads to an agreement made with the National Church and other documented religions by events in the collapse. Here is a step back to maintain the agreement made at the time of the State Church. So here it is to raise the cost to the Congregations and recordd religions, 898 k. every month for every person 16 years of age and older, and that's why I say yes and celebrate. I believe we have the next budget to take the step to the full and maintain this agreement. Of course, we Christian Democrats say yes. [[Up front.]] [[Laughter at the Hall of Congress.]]
ParlaMint-IS_2015-12-18-58.u84	Mr. President. You don't have to say a lot about performance at the highest. Industrial and commercial minister development in tourist areas, parks and non-slighted regions. In effect, shame causes the head to feel that this is still being held up for 2016 a reduction in the marketed income laid and made in an effort to build up tourist areas in the country. 13 million of the market income fund of tourist attraction is to be pinched at the cost of a bedsider's check. In turn, the government in each year's budget has had to try to save a corner with significant funds. It would be minimal for the article to become unstealed this market - market income stock laid just to build up many tourist areas, parks, and peaceful areas. I'm against it, and I find it a little close to skimming over there 13 billion. K.
ParlaMint-IS_2015-12-18-58.u85	A respectable president. In the bright future, this too is against us. Even if this is not large, it is quite surprising, but it describes a rounding process in the important work funded by the construction of infrastructure for tourism. I just want to remind the senators of the future that they put it on the tip of 2012, we were only fewer then, that there would be an investment project. They received good counsel, and many members of the Parliament shared their emphasis. At that time, it was agreed to go to a targeted structure on the tourism infrastructure and put a coin into it from income that was clearly available at that time. It was a violation of the money that results from government property in financial institutions. The first thing the government did was blow this thing off and, in fact, it blew off a lot of good and then has somehow been circling this project, pulling it into the sheepfolds, and so on down the streets, and now cut off from the market, even though there is a market fee to be paid for a tourist position. [[The president calls.]] It's a little weird.
ParlaMint-IS_2015-12-18-58.u86	A respectable president. The government's trumpeting on travel services is not the only team. This is a destabilizing legal contributions to the tourism fund. The opportunity to make this growing industry contribute to the structure that is inevitable for it to succeed has been screwed up. Tourists need to be built, roads built, and the council has been determined to meet these views, making sure that the tourists can pay their own expenses for these costs. No, what does the government do? It generates a new skirt - fold job and funded by government funds at tourist attractions, projects that should be financed by the article itself. A tax system that could flow to the Land Hospital will do this instead of allowing the article itself to grow rapidly, preferably in a hurry to say, and just have to be able to do it on its own, to do it. [[The president calls.]] What an incomprehensible attitude! However, it is in line with another thing in this government that does not seem to understand that a successful commercial life is the possession of sustainable sectores that make financial gains.
ParlaMint-IS_2015-12-18-58.u87	A respectable president. This is a technical entry that will not affect this team and what we agreed on here at 2. budget, which is the connection to the host's fee that flows into the project fund. There we find 27 million in the experience of the host price. Regarding the tourist position fund, it is amazing to listen to the language. Since 2011, when the European Commission's budget was set up, it has been distributed 2,3 billion, of which 1,700 billion have been distributed. K. In addition to the hosting fee from the start of this government. We are now going to do even better. Next year, there will be nearly 700 million available from the European Commission Fund of tourist attractions. It is quite amazing to listen to this from a former government that set nearly 300 million into this group of subjects at the time. [[The president calls.]] Rather, should we not unite in the process of travel to improve the work done so that the funds that come in here will truly be used for building up our tourism service? That's what we're going to do here. [[The Claus of the Assembly Hall.]]
ParlaMint-IS_2015-12-18-58.u88	A respectable president. There's reason to rejoice at the changes we're about to complete votes about allowing employees to keep more of their income. There are many ways in which people in the country are being improved. It has been amazing to listen to a lot of things in the discussion here, where it is claimed that by improving the terms of the people, by accepting agreements, the state is giving up something they own, and by doing so they cannot use funds for other needs. This is particularly challenging in view of the fact that the present political opposition made an experiment with its economic theories during the last term, during which any taxes were raised in a series of storms, all kinds of fees between the heavens and the earth. What was the result? [[Up front.]] Did there be more money to put in the Land Hospital? Did there be more money to improve the status of poorer and older citizens? [[Up front.]] [[The president calls.]] [[Up front.]] No, a respectable president, you see, it didn't work out. [[Up front.]] This meant that the last government could not put as much money as this one in the Land Hospital, and it could not improve the interests of older citizens and disability as much as this one. You forget that there has to be a motivation. Illustrating the value of this government, it enables us to add in every aspect of our lives. [[The president calls.]] [[The Claus of the Assembly Hall.]]
ParlaMint-IS_2015-12-18-58.u89	V.E.G. President. It's been a while that I'm ready to vote with the extension of a permit squad to the lottery like I've been ready to do so. This is because I would have liked to see major changes made in the environment of this nation's tens of millions of industry. I make the difference between lotteries and slot machines and casinos on the other hand. The public lottery takes little of many, machines take a lot of few, and all of some do. They don't free anyone, they take many freedoms. I make the difference between the two. We're here primarily talking about the lottery. I drew attention to the fact that during the last term, I made suggestions in this council hall. I wanted to set up a lottery room. It was supposed to cost 50 million. K. every year. Half of them were to go to the fore, and they were to cure people who had become addicted to gambling. [[The president calls.]] [[The president calls.]] Those were 50 million that were supposed to spread like this. Earlier this week, more of the council adopted an independent party proposal of about 65 million. K. in the management center of tourism, a new agency. [[The president calls.]] [[The president calls.]] Have people heard of double - skined people? [["Yes, hear, hear.]]
ParlaMint-IS_2015-12-18-58.u90	The chairman of the budget board is expected to give his speech and after, and if they do, answer them, they will be suspended at this assembly until the end of the week. 14.15 for committees.
ParlaMint-IS_2015-12-18-58.u91	A respectable president. Here we will discuss a bill for budget money by 2015. Actually, I asked for the matter to come into question myself. The budget is between discussions. The subject was addressed there. There is no adjustment made by a greater proportion of budgetary committees. Hence, after a vote on 2nd districts, the Senate will be changed to the council. and it is suggested that the bill be approved as it stands at this time.
ParlaMint-IS_2015-12-18-58.u92	Mr. President. In the final speech, why not? paritaprevir Vigdís Hauksdóttir, chairman of the budget board, on 2nd. Funds went by. A senator himself stated that the budget would be called in between discussions, specifically referring to the changes made in the memory of the rest of the retrospective payment for the elderly and the desperate. I must admit that I had hoped that the more part was going to consider the matter between serious discussions, thinking that there was some movement on the subject, that people were ready to do something or something else. I'm sorry, it wasn't. Hv. paritaprevir Vigdís Hauksdóttir is in the forward category, which has often had some social nerves in it and had no income tax loss in its policy, but on the contrary, a large increase. I remember. A senator himself mentioned 13 billion new projects and the improved status of the Land Hospital. I want to ask you why. A senator whether she feels that this social nerve of the advance team is shaking and shoving when we are lowering income taxes, for example, on us senators? We can spade 6 up. K. more than a month in terms of tax reductions approved earlier than older ones and microplies are being maintained in 2015 on a worse basis as the country is seen and undisputed. Got it. This is in harmony with the social emphasis of the forwarding party?
ParlaMint-IS_2015-12-18-58.u93	A respectable president. I've never wanted to mix myself with a speech I think, so I'm going to leave out any downs or increases in the Senate market, because as everyone knows, we're going to take our salary out of the board, so it's said once and for all. But, hey. paritaprevir Oddný Harðardóttir, I know as well as I am that I was the chairman of the budgetary committee to welcome the guests to whom the money committee asked for. They were representatives of older citizens and desperate people who were meeting open media for the first time, at least under my control, and I believe that this is a single example in the history of the council. It was a very good meeting. It was widely covered for a period of two hours in open - air media, so everyone had access to what was interested in observing the discussion at that meeting. Now it is, if I may say so, that the 69th par. Social security law is the advice of men who accept compensation because it is a clear law in which these improvements should rise. On account of the 2016 budget, this increase was 9.4%. When a new economic forecast came out, it was clear that there was more space than anticipated, and these groups were owed to the way they stood when the budget was published. Therefore, they experienced an increase of 0.3% and now of 9.7%. A respectable president. I'd also like to say that there's an increase taken into account in those groups, so it's 9.7% that these groups get, and it's shown that it's precisely calculated.
ParlaMint-IS_2015-12-18-58.u94	Mr. President. The open meeting was held as a requirement for the smaller section and referred to the council in this respect. [[Up front.]] [[Up front.]] Hv. One senator claimed that it was a remarkable step forward on the part of the greater part. But let's call it a day. I just want to remind you that social security laws are designed to protect the minimum rates of the elderly and the desperate. An example is that of doing better, which was done in the middle of a year after the 2011 collective agreements. There is nothing to say that you can't do better, the law is only to keep minimum interest. I've never claimed that most of the parts were miscalculated, I'm just saying, it's too low. It is not possible to say that the terms of older people and disability in 2015 and those with the lowest salary in 2015 are comparable because the difference between the two annual incomes in 2015 is 260 you. K. In 2016, after a 9.7% rise has been reached. A senator went over earlier, the difference will be 216 you. K. in the annual pay period because the lowest salary will increase from May 1, 2016. This process is to ensure that those with no other income, those pensioners with no other income, are kept under the minimum income in the country. Aged and micropunchers who cannot earn a living in a job market are held as the poorest group in the community. It's not exactly a social security law. That's the message we've been trying to make, and that's the account we need to make a success of here at the Senate Hall. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u95	A respectable president. It was all right. Harðardóttir Oddný was only a matter of minimum wage and compensation. I've always felt that it's unusual that the lowest salary and compensation are the same dollar number, very unusual. It costs to be at work, it costs to have children in preschool, so I describe some responsibility for the labor movement of the country because I have not fought better for the interests of those with the lowest wage. Of course, it may sting someone, and no one wants to be an invalid, and it is not the life that everyone wants. But the budget has been discussing these matters this winter and has been considering that there is an abnormally high rate of disability in this country compared to the neighboring countries. In Iceland alone, about 10% of workers are registered as dictators. I think it's very unnatural, and we've been studying what's causing it. The figures of the U.S. National Institute of Insurance tell us that there are in the range of 9◯10 billion in fraud in the reform systems. Government taxpayer has overlooked 80 billion tax frauds per year. We're talking about over 100 billion people who don't turn into the system. There's over a whole U.S. Hospital a year lying out there in the community. Rather, I think that the government and the government should join us in the greater effort to appeal to the conscience of people to turn this money over to the State, so that those who really need these benefits can have it better. [[Up front.]] It's a ◯win win-off to everyone.
ParlaMint-IS_2015-12-18-58.u96	Madam President. I recommend my share of the legal committee. The majority of the Generals rejected the adjustment made to the lower portion submitted at 2nd. budgets to ensure that elderly and desperate persons receive comparable pay increases from May 1. and it was negotiated in the general market. Following the return of the bill to the budget committee, the Committee has brought in visitors from Iceland's Scaring Association, the National Association of the Older Citizens, the Ministry of Health and the Ministry of Economics and the Ministry of Economics, and has taken them over the basis of the bill related to the reformal classes of these parties. The lesser part expresses frustration by setting priorities for the more part, which clearly does not consider it a priority to secure the position of those who are to be remembered. The financial and economic systems have been found to take into account the 3% increase in pay resulting at the beginning of 2015 but are not linked to the collective labour agreements made on the market in May. Hence, they need to be raised into groups of older ones and disabilityrs. It has also been found that in the calculations, the financial and economic agencies release the pay scale that has become and thereby reduce the cost of older citizens and disability. The government's cut the 2nd. The proposal of a smaller section of the budget for pensions to rise from May 1, 2015, as previously said. The proposal was based on contracts made by the VR and the Flea Community to their negotiaters. The lowest pay will rise according to these contracts in four steps to 2018 in about 300 of yours. K. month. On May 1, 2015, the lowest wage increased to about 255 levels. K. This month and May 1st, 2016, will be about 270 of yours. K. per month. The older citizens' union aims to make other contracts in its calculation, stating that the increase from May 1 is to be back on 14.5% instead of 10.9% as suggested by the smaller portion. Even so, this low wages is much higher than those offered by the government's older ones and microplies, which, according to it, will be a pension for the people living alone in 247 of yours. K. in 2016. The daughters of a person who lives with others become about 213 you know. K. per month. The representatives of my section and the members of the committee offer a new proposal, including 6.7 billion. a donation to improve the elderly and micro-piercing of any impairment to their health. Part of that amount goes back to the state fund in the form of tax pay. Under this opinion, write along with the one listed here. The members of Bjarkey Olsen Gunnarsdóttir and Brynhildur Pétursdóttir and Áda Guðrún Helgadóttir, an officer of the Committee, agree. Madam President. I'd like to add a few words. The right government now in Iceland doesn't want to raise the pensions of older citizens and invalidate at the lowest wage rate. They believe that social security benefits should only be raised annually from January 1 and not in the middle of a year, although there were agreements in the intertime period. So says a recent memo from the Ministry of Financial and Economic Affairs to Fundament Committee. They seem to feel that under law one community group is to be left and held on to something worse than those at the lowest level of the paid. Notebooks to the budget board try to make the most of the rise in GDP from next New Year's. But whatever they do with their percentages, they talk about collections of percentages and collections from year to year, and then they try to confuse everything with the growth of older citizens, this is done to confuse people. The result will always be the same: both in 2015 and in 2016, the numbers of elderly people who have no pay elsewhere will be worse than others. Social Security Acts were set to protect the interests of older citizens and disability. They were put in place for people to maintain their dignity and to live a decent life. The laws were not made to make sure that the elderly and those unable to work because of disability were the poorest people in the community. An example is from collective agreements in 2011, but the lowest salary was also increased above others. Older civilians and poor people enjoyed their numbers and received them over the middle of the year, just like the rest of them. It was just, and it was in the spirit of a law on social security. Of course, we should be on the same path now, but the right government does not seem to understand any sign of compassion or compassion. She seems to understand only the illustrated text and carries it despite the fact that there is another example. Madam President. This is the right course I had hoped the forwarding party couldn't sign. The media had at their great meeting agreed that the group would protect the interest of the elderly and the poor, but they submitted to the will of the company on the case, did not have the courage to stand by their hair, and self quote the Law text, and was apparently the head of the legal committee, which appears to be on the right side of the Independence Party. You see, if you take the numbers that are displayed in memos from the Ministry of Health for Hoministers' status between 2015 and 2016 and compared with the same rate in 2015 and 2016, there's a big difference. The annual pay of senior citizens and sensibilities or pensioners who receive home remuneration alone, which is therefore at the best position of those who do not receive any other salary, is in 2015 2,700,000 k. However, the annual wages for those on the lowest of the two species at the Reykjavík and the Continental Society of Versailles are in 2015 of 2,960,000. That's 260 you're gonna be there. K. over the year. How on earth does the government figure out that this is comparable? So, what happens at New Year's? If we look at 2016 as a result of the increases in the Ministry of Health for a person who lives alone and is doing domestic work, his annual pay will be in 2016 after an increase of 1 January, which works out all year, of 2,964,000. However, those at the lowest point at the Reykjavík and the Flea Community Society will have 3,180,000K. There is also a difference that is not in the interests of the elderly. The difference in 2016 will then be 216 you. K. That's why I'm so surprised at the discussion here. Even the highest. The social and housing minister is standing here in a pit, saying that the elderly and the desperate will be equal to the lowest wage since January 1, 2016. That's what I said. Minister. It did not indicate that May 1, 2016, the lowest wage will be 5.9%. Half the truth is being told to deceive us. It's annoying. Not only are we being deceived by senators but people are also being deceived. I'll let me say here as an old math teacher that if people recall the math they learned in 12 years of grade, they'll see that they're keeping the elderly and micro-piercing under the minimum. It's not that they're going to call someone 5,000. Seeing a year's wage makes so much difference to hundreds of thousands. When I'm at the highest. The secretary of the budget is talking about improving social security from this chair, he says, Madam President, it is necessary to keep this group under the minimum due to the need for them to go out to work. V.E.G. Economic and economic ministers are talking about the elderly and the desperate. There are certainly different positions within that group, but what we are discussing here and what the discussion has been about in financial contributions and funds is the group that has no pay elsewhere. That's the group we're talking about. Still trying to confuse the discussion by involving other groups. And what is it like, Madam President, what kind of motivation is that for an old man who has come from a labour market? What is involved in keeping his interests under the minimum wage in the land? What is that force? What is the motivation for the disability that is unable to keep it on the minimum wage? I don't understand, but I already do. The financial and economic minister was talking about the need for motivation, he drew out a group of invalids and said that they were young men who had escaped from high school and could not get up. There would have to be some incentive for them to go out to work and shake off their energy. I don't really know what he meant. It may be that some group are in such a state that, although I don't know such people, it's a success to starve them into the workplace. But the highest. The financial and economic secretary seems to do so, and he believes that it is effective to keep people below the hunger limit in progress. Almost would be opening high school for this group. But does the right government do that? No. She puts mass restrictions in high school on those who have reached 25 years of age. It'll hit each other's corners. Hv. paritaprevir In answer to this earlier day, Hauksdóttir Hauksdotttir said that it would probably be a matter of keeping microchip and elderly under the minimum wage, since living in that group would be far less expensive. For example, the elderly do not have children, and that would be a high cost. [[For example, consider: But an invalid?]] They may have children, but for some reason the chairman of a legal committee may feel that living in this group is inexpensive. [[Up front.]] I encourage all members of the council who are listening to this, and those who are watching the Cathedral, to listen to this reply by the chairman of the budget committee, and to listen to them into these Polish candidates, whom she must be introducing in her words. She is their spokesman to a financial committee, and they support and stand behind it there and cannot deny it. I'm sorry that the advance party is moving toward that course as fast as possible. paritaprevir Vigdís Hauksdóttir does when it comes to the care of elderly and desperate people in the community. I'm not going to keep this any further than we have a change of suggestions, as I said before, in the smaller part of which we assume that the elderly and the poor get an increase of 10.9% from May 1 through the year. Just as the budget suggests that the elderly and the poor increase from May 1, 2016. It's a matter of justice, and I know that outside the community there's a lot of support in this. It is almost every Icelandic person who sees the injustice in looking at cold lyrics and not on the spirit of the law and what happened in collective agreements this year when the lowest wage was raised. I don't feel that it's impossible to stop this fight now and to let the right course be in control of this case, but I'm sure I'll have to accept it. But the fight is not over, for there will be a day after this day, and we in the smaller part will continue to fight for better terms and will try to beat back the extreme right course that is presented in the suggestion of the highest power. Governments, plan to keep this group of the poorest in Iceland.
ParlaMint-IS_2015-12-18-58.u97	Madam President. First thing I want to do is thank you. Harðardóttir For her talk and the detailed information about the situation that she covered in her talk, a Oddný G.. You see, I think it's extremely important that we control that intelligence. Although it may not look quite right in this struggle right now, this is the case because there are so many people who are listening to it, there are many people who take it to themselves. This is a matter of community talk. Of course, we want the public to see how unfair a policy is being run. I have to admit, I was shocked by the answer. paritaprevir Vigdís Hauksdóttir at what? paritaprevir It's a Oddný G. Harðardóttir daughter standing up for a break. paritaprevir Vigdís Hauksdóttir said that it was unnatural for her to think that benefits and lowest wages were the same number and then went on and talked about reformation in the system. I'd like to ask you what. Because more members of Congress now have the greater part and the highest. The minister of finance put it this way: Might it be. Councilmen are snooping the water and making pensioners suspicious of themselves and thus trying to justify the lack of dressbacks to this group, thus trying to get the public to buy that it is okay?
ParlaMint-IS_2015-12-18-58.u98	Madam President. You're right. It's against what's wrong. paritaprevir In fact, Vigdís, the daughter of Hauksdóttir, who was quite different, spoke of fraud and was so wonderful in the case of older people and micropunchers that an entire hospital could be built in a year because they were betraying so much of the money. I don't know what I heard. paritaprevir Vigdís Hauksdóttir speaks of tax fraud and picks up what could be done to build a number of international hospitals for tax fraud. But she just thought it was clearly justified, or she didn't say it was justified, she just felt it was, she thought that this group should be on lower terms and maybe it could be better if he didn't cheat so much and wouldn't be cheating so much. To tell you the truth, you don't have a word about this attitude, that's just the way it is, especially when we're talking about the group that doesn't make money anywhere else. It's the discussion here. It's about those who don't make any money from anywhere else. How, on the other hand, are they going to cheat and cheat? How? That'd be nice to hear. As I told you before, it's a variety of groups, pensioners are in varying degrees, but what we've been discussing here is a group with no income from anywhere else. How important it is when we consider this discussion of which group we are speaking!
ParlaMint-IS_2015-12-18-58.u99	V.E.G. President. Thank you. A senator's answer is that it is always very important for us to discuss the interest of a pensioner or just a matter of pensioner over a head to remember that these are, of course, people, and they are people who are different. We have to remember that we are talking about changes that are primarily taking place in those who are paying off the social security system only. I'd like to agree with that as a dog. A senator said that there would be nothing going on to starve people into the workforce. Of course, this is especially true for sensibilities, but there are also groups of disability that are not capable of working, and unfortunately, the system is still an option for those who can still pursue a job is difficult for them to work with income connections in the system. There's something else I'd like to ask you. A senator because we sometimes tend to talk only about one law at a time or one change at a time, as if there was no other community in which someone like us is in. What I want to ask you is why. A member of the Parliament deals with the United Nations on the rights of disabled people. I know they're not all disabled people when they're a pensioner, but they're a big group, and they say in pars. This contract: ▪ The Member States recognize the right of disabled people and their families to a satisfying way of life for them, including those with whom they live. adequate food, clothing, and adequate housing, and for the continuous improvement in life conditions, take appropriate precautions to ensure and contribute to the reality of this right without discrimination. That's what I'm talking about. A senator will agree with me that now that we're working on the induction of this contract, perhaps this is just a matter of memory?
ParlaMint-IS_2015-12-18-58.u100	Madam President. I think it's reliable that we're going to be forgotten. But what I think is a lot of concern over all this discussion is that when the management team says it's a very good thing they're doing and it's under law and all of this, it's hard to refute this fact with the law. In the 69th. Social security legislation says that improvements in social security should be increased either according to pay development or by the index. They then calculate their pay development this way and say that it has always been done so that the pay card is taken away, but the pay slip is reduced to that number. Of course, this means that when contracts are made that are especially about minimum wage, the elderly and the desperate do not receive pay in a labour market, it does not improve their terms, nor do they enjoy the special increases in low wages. That's right. Justice is applied to the Law code set in its own time by those who wanted to protect the elderly and the poor. Their spirit is that they should protect the ideal group. Their spirit does not work out to ensure that, in times of years, this group is the worst in the community. It actually goes against the spirit of the law, and it goes against the approval of the forward party. But it is the advance group that makes this suggestion and justifies it because it is so necessary to keep this group in worse terms because he uses every opportunity to cheat and to get more money out of the reform system. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u101	Madam President. Of course, the most concerned issues here have been older ones, desperate individuals, and suggestions we have offered in the government's opposition to their backward benefits. Today, it has been observed repeatedly in the wake. The members of the management team, many of whom have cried out here with sympathy for this group in the public chair, that, unfortunately, there is no money in the state's budget. Who is to believe that when the rulers themselves speak of this as the greatest kind of people ever to be told? I have a question for you. Senator. The suggestion as a man. A senator spoke for retrospective improvements to the elderly and disability at 6.5 billion. The 6.5 billion do not exist, many members of the board, as soon as they say they would like to support such a suggestion. But isn't it? A senator, that the board of directors has been accepting a proposal to change income taxes, leading to the increase of the income of 700 farts. K. The men and the others, the longest, do I not understand, that the change that was approved here today also costs about 6.5 billion each year? In other words, the change that was to reach two years is somewhere near 11How12 billion or almost the same amount that would have been needed for the elderly and the cripple this year and the next. I'd like a guess. It's for a senator.
ParlaMint-IS_2015-12-18-58.u102	Madam President. That is just right, and it is a good illustration and a good assessment. What the right one puts first is to lower taxes. The statistics during 2016 and 2017 cost exactly 11 billion, just like that. A senator talked about it. The paying of older ones and microorganisms so that their advantage is the same as that of those with the lowest wage in two years, from 2015 and 2016, about 11 billion. The right control stresss that those with 700 points. K. is administered in 2017 12 yous. K. in your pocket, six up. K. in 2015. Those with less get less. Stefánsson's Kálve has more than 700 you've got. He's got more than 850 yous. K. He's being handed 3 o'clock. Call a month as if he remembers. He's asked to pay more taxes. But this is policy. To take out the equality of the tax system, to pay more than anyone who doesn't remember. If you can rebuild the middle class for 12 of you. Call a month, I'll just say she wasn't in a lot of trouble. So it's not for that. We are not supposed to reduce income taxes on people who can well pay them while the welfare system is in trouble, we have land hospital problems, we don't think we can afford to run government radios, and we are going to keep the elderly and microplills of the whole country poor. If we can't afford this, we can't afford to reduce taxes to people who are in good standing.
ParlaMint-IS_2015-12-18-58.u103	Madam President. I find this to be an unveiling statement of the highest nature. Governments. It has been repeated here and again in this discourse that there seems to be a clear and good desire for very many members of the management team to respond to the humble wishes of the elderly and the desperate that they will receive, as did all the rest of the rest of the community, repetitive improvements. These members of the council have been led to believe this at the highest rate. Secretary of the budget and the highest. Prime Minister that there is no money in the situation. So, what do we see? On the same day, as clearly no one wants to do so. The members of the board are coming to support the government's proposal to provide 6.5 billion for the elderly and incubating them are accepting the change in tax law, on income taxes, in which they are being brought to the most important income. It costs exactly the same thing, i.e. every year, it takes about 6How7 billion to bring them a higher income than there are at the same time no money to improve the interests of the elderly and the poor. That's almost the same amount. No other conclusion can be drawn at this point than that older ones and microorganisms are being kept down so that with the other hand, those who have no need of anything are as heavy as those who are elderly and desperate. Isn't that what the D.A. line is all about? This is the main difference in politics today. Should they continue to give more money to those who have the best interests of gambling, in the form of tax doctors, or to use it to improve the interests of the elderly and the poor? The dispute at the Council has turned over for three weeks.
ParlaMint-IS_2015-12-18-58.u104	Madam President. I thought why. A senator puts it well and exactly draws out these sharp lines. Something else I have found remarkable in this discussion is the position of the advance party. At his large meeting, the media agreed that they were going to protect the interest of the elderly and the poor. It was a campaign attempt to take special care of the Land Hospital. They didn't have their campaign records to lower the income tax or to take out the step tax. It wasn't their priority. So in this case, the candidates have become completely submerged, not enough, but, rather, a harderer policy, as shown in the case of the chairman of a financial committee and speak in a sharper way that this group should be kept under the minimum salutation. I'm surprised that I asked the chairman of a budget board today where the social network was in progress, whether it was just broken or on it, so that it could not be heard from a positive tone. The chairman of the budget board certainly made a clear and clear answer that it was her opinion, that the forwardee's spokesman for the budgetary committee, should be less than the lowest salary. Perhaps that position could be fixed if they were to stop the frauds. This is the way the candidates speak to the group.
ParlaMint-IS_2015-12-18-58.u105	Madam President. This year's budget bill will set up 860 million in the construction of tourist facilities, i.e. ... forthefinishedfinance of tourist status. In the past few years, I have made comments to this team that grow considerably from year to year. If I recall correctly, he was about 300 million in 2013, in 2014 something about 500, and now he is 860 million. Of course, there is a very serious problem in their speeches and responsible legal committees who maintain it here and set up a very responsible look that no institutions must be left out of budgets and that the other and these important bodies of society must do so well to leave the budget they are able to do for their business and work; but at the same time, the state has an assbook on the construction of tourist stations and sludges every year of the Commission funds for travellers. It's a project that seems to have become the present administrative point completely out of control. Thus, it is with such a project that there is often a tendency among politicians and institutions to go longer than is necessary to achieve their goals. That's why the directors now have the highest authority. Governments set out in a very large number of expeditions in an effort to cover this particular project, including with the laws of nature passes that took a long time to prepare, so long that it has been severely criticized in this hall, and at last when a great law column from the highest. The industrial and commercial minister came across these subjects at that time, there was no political support for the legislation, either in more parts or in smaller parts. That song and all that work with ideas of nature prices, and I don't know what came into the sand. It was tragic to observe, especially as a result of the amount of waste involved. Then another occurred at the time that began to work on that matter. There was a revolution, so great a fiscal rise in the arrival of tourists into Iceland, that people could immediately see that they would be able to collect by traditional tax routes and pay sufficient money to survive the development of tourist facilities around the country. While there is considerable danger in this vast stream, it is a source of joy that new major sectors have developed, but they need to respond to the caution signals in the environment. Hence, it is most disappointing to see that once again the government has proved beyond the reach of this problem. The major expedition started on this issue was the Environment Minister's topic on construction for tourism, a major 12-year plan, similar to the transport program of short implementation and long-term, high project management and a highly undefined interaction with existing institutions. This plan was designed to receive the funds that were to be collected from the natural pass and to share them with projects throughout the country. The bill on infrastructure is still in the environment and transport committee and does not provide the end of that work. I have nothing against the fact that things are enjoyed in this way, i.e. Try to settle matters and create long - term schedules, but what we now see is the need to respond quickly. I mentioned that sometimes it was a tendency for institutions and politicians to go a long way toward their goals, but I thought it was possible to go a shorter route. That is why I wrote a small matter of Congress, which includes a change in rural government law and proposed to a council in the fall. Actually, I haven't got to recommend that case yet, unfortunately. It would have been that my mind would have solved these two big cases. This includes rural administration, which is most likely to be in place to assess the need for a certain structure of tourist status, to be entrusted with power, or granted the authority to determine to collect a specific fee for building a particular tourist position and to provide a stream of structure, and to collect the fee during the building. This implies that the price would be given to those who make money for tourism. Those selling trips at certain tourist locations would pay a specific price, i.e. A third party, not the owner of a country, not the tourists or the people themselves, but only those who sell the places. They would be the source of this price because they are stakeholders. I think this is a very simple and brief way to meet a problem that needs solving. I wanted to come up here and explain the case I've made. I can picture this as some kind of temporary arrangement to cope with the challenge and to prevent damage, for we must be careful to associate with the sensitive, self - destructive places that are in a sustainable manner, not to be damaged, they are safe as well as those who are making money at the facilities that supply their structure. Of course, that would eventually be the way the tourist himself would pay that price. This is one implementation of what has been called the New Zealand way of collecting tourist bills, i.e. that those who make money have some sort of contract, and they have a lot of work to do because they benefit from what everyone has. Some have said, " What about those who travel in rental cars? ' The answer is to be answered so that they already pay their contribution to society by paying through their valuable tax system. So there is no need to dwell on that. The large number of people are picking up the plans and the tourism companies and the natural process. However, it is not normal in my opinion that such remuneration will do anything but make sure that the facilities are built up, held in place, and that they include some means of working and working that follow the budget. Unfortunately, the structure that is taking place today, with a budget and a greater proportion of the council pumping out in hundreds of millions of dollars for tourism, that there is no plan for maintenance and follow-up. It's just building platforms, some of which are very ugly platforms and fences where no lobsters are going, but there are no plans for how the positions should be maintained and how to ensure continued funding and so forth. I've come up with this team a few times. To me, this is the kind of thing to come up and talk about this team in the budget is to become a Christmas tradition. After I give this talk, Christmas can happen to me. [[Laughter at the Hall of Congress.]] I would also like to assume that I have written another matter related to this same seminar. It is designed to ensure that we are responsible for the company of tourists. This matter has not yet been given to me to move to the council, which is a testimony to the arrangement, unfortunately, regarding the affairs of Congress, where people simply do not get anywhere with their affairs. This means that there will be some kind of suitable environment for guides, especially those who tell people about Iceland's highlands, national parks, nationalisations and reservations, i.e. the areas of our country that are most precious to us. You see, it is not possible on the basis of the EEA Convention to distinguish between guides and other people who move within the region according to nationality. That's fine. I'm very good with that. However, you feel that there is some way to ensure that the minimal knowledge of the nature of Iceland's special status so that foreign guides here, who come along and take them either on foot, on cars or on buses through national parks, nationalities, and peace countries, will have completed some study on, for example, the effects of leaving organic waste in Icelandic nature, have the consequences of all other than the forests of southern or even northern Europe. In this country it takes a lot longer to break down, etc. Walking at certain locations in specific forms of nature in Iceland can have a far greater and greater long - term effect than taking it on other locations, e.g. correspondent in Europe Extremity also has far more serious consequences for Iceland's nature than elsewhere because nature here takes a very long time to recover. The moss that we've got here will grow for a very long time. His damage is long-lasting. I regret that I do not have an opportunity to recommend this matter and, more importantly, that the system, the council, and the government, do not handle such urgent tasks either because they get involved with it or because they are trying to solve it with some legal group when it is possible to do a much less difficult and simpler way to handle an extremely urgent task. Madam President. It's time for Christmas to happen to me.
