ParlaMint-IS_2015-05-27-113.u1	The program suggested at a meeting yesterday from Jón Þór Ólafsson, etc. is called again.
ParlaMint-IS_2015-05-27-113.u45	Mr. President. I think this is an excellent reason for considering just a few things from the history of these cases. But because of him. A senator mentioned a deal about the Norwegian-Sislands population that it is worth recalling that the fine man who is still to be buried, Ásgrímsson Ásgrimsson, obtained fine contracts in his time. I'll think about it before then. A senator thought it only better when he was in those contracts how I was and what I was doing. A senator, mostly me and him, hung out a day and in that he didn't get better at contracts because he said: "It helps me in Norway. The rest I must say, his successor in the same category, Gunnar Bragi Sveinsson, the highest. Secretary of State, did not have the same knees as the noble political cow when it came to the mackerel. You're right to remember it all up. Someone's gonna think of you like a dog. paritaprevir Steingrímur J. Sigfússon that Iceland's embassy in Edinburgh didn't know about this? Of course she knew. These were Iceland's most floating and best diplomats in foreign service, and the man in the water department on the side which I thought best was down and was delighted at the moment. A senator appointed him to lead the Contract Committee. Of course, they knew about this, and of course they came to their husbands, there is no need to be misled. The matter was simply this: The Icelandic senators became this very early impression. This was specifically discussed at a meeting, an extra meeting at the State Department, which was held, if I recall correctly, in the late days when people discussed this. And the highest. Of course, the minister of foreign affairs did not come to the meeting, for he was busy that week, as I will later be. But his agents at that meeting got it totally clear, at least from the one here, that, under these circumstances, should be the highest. Secretary of State to throw everything away and go to the Faeroe Islands and talk to his colleagues. In the past, Icelandic rulers have been able to do so even if something was becoming hollow under the cooperation of these two nations. It would all be drawing to the point where it was happening, and it would be what the Norwegians had been working on, to isolate the Icelanders completely. What just happened this week? V.E.G. A minister of the State who preconceived this case probably had one of the greatest failures the government has had during this time of election and, however, is of a lot to take, was in another mission. This was the most nervous week. The minister of foreign affairs broke down when he saw and read the report that he himself had ordered for our participation in the European Union. These were the days when he was calling out the motion for a cut - off discussion. So busy with other things, he was so preoccupied with political pursuits that he slept on guard and failed to care for the interests of Icelanders. I'm not saying that he could have managed to save the cases, but if at that time he had gone to the Faeroe Islands and talked to some good-eyed counsellors, to the council, and appealed to the old cooperation we've always had with the movers in this field, he would have at least created for them to sting beneath their roof, but they didn't even feel guilty, they never saw them. So I told them in my talk here to the highest. The minister of state would have slept on guard and screwed up the mackerel case. I still believe that he could have done much, much more. This is what I want to say for this discussion, and history will later reveal in what way it is highest. A minister of foreign affairs was made aware of what was before them, probably on the second day.
ParlaMint-IS_2015-05-27-113.u46	V.E.G. President. I recommend to the State Department's Committee's Committee on a proposal for a resolution of a contract between Greenland and Iceland on the management of shrimping in Dohrn Bank. The committee has discussed the matter and has been contacted by Birgir Búason Hrafn and Kristján Andri Stefánsson from the Ministry of State. The proposal requires a review of the Allied warrant for a contract between Iceland and Greenland on the management of shrimping at Dohrn Bank signed in Reykjavík, March 29, 2014. As indicated in comments to the proposal, the annual contract between Iceland and Greenland in the field of fishing was signed in Reykjavík, March 29, 2014. On that occasion the national agreement on the management of shrimping at Dohrn Bank was signed, a common strain in the region of the north and west of the West. The percentages of this strain between the nations were not reached, but the latest scientific advice published by the Northwestern Atlantic Fishing Agency (NAFO) predicted a total of 2,000 tons in 2014. Until such an agreement is established, the nations will have mutual access to jurisdiction for a limited number of fish. For the first time, the contract assumes that Greenland can provide 375 tons of shrimp on the Iceland border on jurisdictional level, as well as the Icelanders on the 375 Greenland side. The hunter of the Greenlandite is going to submit to the Koreans'rules, while commercial law is in accordance with local regulations. The contract is non-timely and first returns to value 30 days after both parties have confirmed it, but it already has Greenlandns. The contract can be canceled in six months' notice. The committee proposes that the proposal be accepted unchanged. Under the words of Birgir the son of Ármannsson, Silja the Dögg of Gunnarsdóttir, Daðason the son of Dadar, Vilhjálmur Bjarnason, Elín Hirst, Sigurjónsson the son of Sigrion, daughter of Katrín Jakobsdóttir, Ottir Proppé, and Össur the son of Skarphéðinsson.
ParlaMint-IS_2015-05-27-113.u47	Mr. President. I truly hold this contract with a clear heart. It's a huge deal. He's untimely, and he shows us what our cooperation is in Greenland and Iceland is in relaxed, relaxed areas. This is a stock that does not reach an agreement between the nations, but it allows each other to catch up to a considerable percentage of what is fishable, according to the NAFFO in its jurisdiction. That's what I'd call a house of friends. I have to say it. This agreement further confirms the increased communication between Iceland and Greenland in recent years. In one of my talks earlier this morning, I and a number of members of all classes made a pact proposal very early in the fall of how the government of Iceland should deal with Greenland in order to promote and deepen them. Strangely, though it was one of the first events proposed in the fall, it has not yet been accomplished. So I feel that it is the right thing to go for this reason over the part of the synonym that involved just fishing. One of the 15 points, actually two, suggested that the Icelandic government push its way in order to deepen this cooperation toward sea fishing. It is remarkable that in the Greenland independence struggle, the way they manage to play their resources and the way they manage to obtain valuables from their resources is very important. Me and the Icelanders have heard all kinds of spray vision of great fortunes in the earth, a great ease below the bottom of the ocean in the form of oil, but I have always felt that the Greenlands have not viewed their resources sufficiently at sea. That's why I'm saying this because there's now two great seafarings. paritaprevir Ásmundur Friðriksson and Páll Jóhann Pálsson, who are sure to address this point below, that in a thousand yards from the World Assembly Hall, the Icelandic sea icicle that has undergone the leadership of Þór Sigfússon has done quite an amazing achievement, I think to investigate and explore possibilities. One thing that the Icelandic sea icicle did was consider what the product of their marine products would be greatly increased if they received it for just every kilogram from the sea as well as for the Icelanders. Then it turns out that if the cooperation between Iceland and Greenland on the seabed would lead to the exact way in which they could take hold of the catch, to get it out and sell it, the difference between what they're getting now and what they remember is almost equal to what they're getting called, by permission of the President, would be the basis of what they're getting into their economy. This is amazing. In other words, there are two things the Greenland has to do in order to stand on their own feet; first of all, they need to make money that balances Dana's contribution every year to their government funds; second, they need income in order to develop a welfare community. It is a nation that is getting older, and there are many social problems. It turns out that the fishing route as it is today could, in effect, solve one of these problems. When you look at the fact that the sea is warming up for its good effects and it is likely to become much more fishy around Greenland than before, you see that they have the potential for achieving independence and building its economic foundation on the ocean road. In Western Germany, for example, men have been catching ten of them. a ton of cod. We know, Iceland, that in the warm years, when the population has been very large in Iceland, it has gone to Greenland and has sometimes returned to Iceland. It's the great Greenlandic parade when the cod literally becomes so widespread in Greenland that he can't find food there and then walk back into Iceland's jurisdiction for exactly the same reasons that the mackerel is doing there right now. It is foretold that this 10 you have. tons that are on the southern tip of Greenland west may reach 50 of you. a ton over 20 years. I think there'll be a lot more, and it'll probably be within 20 years, maybe 75 of you. a ton quota. So that's what's about a whole lot of greenish fishing roads. However, they lack the skills and skills of the Icelanders in their time. to steer ships. We always brag because we have been born seamen and as if we have built all of this up ourselves. It wasn't so as if I traced my speech earlier. We brought in the skills and management skills for the Faeroe Fleet from the Faeroe Islands. What we're missing from the Greenlandians right now is the same technical knowledge that we moved in. Together they can get her from Iceland. And they also need, I believe, that the technology we have in the sea streets will be introduced in some way in Greenland. For me as an observer from outside, who has sympathy for independence and understanding it, it seems to me that the best way for them to pursue their own markets is to develop a way of dealing with Icelanders. We have Icelanders to do all we can to help this neighboring nation of ours. I'm sorry about the subject, Mrs. President, but I could do it for a reason. Here we are discussing a fishing contract with Greenland, and then I thought it was ideal for me on this beautiful morning, since the Presidential District had never seen a reason to put my controversies on a related subject, to take the distinct part of her that would show off the way of the sea. There are great possibilities, both for the Icelanders and for the Greenlandites, especially for the Greenlands, if they intend to continue on their own course of independence. In fact, I find it hard to find myself in the Icelandic sea mall's data what might really be the best key the Greenlandns can use to open up the door of independence in the future.
ParlaMint-IS_2015-05-27-113.u48	Madam President. I think that's what. Even if we take a few moments to discuss these agreements on the seabed with our good neighbors, a senator does not have to apologize. They happen to be on the agenda one by one, the first annual contract with the Faeroe Islands, and then the little product that comes from improved relations between Iceland and Greenland in this area, i.e. A contract for mutual shrimping rights on Dohrn Bank, which is truly an extraordinary contract, is absolutely correct. It is more likely that countries that have not yet been able to communicate with one another in order to catch up with the same group will still remain to provide specific access to each other. In fact, this has been discussed for a period of two years, rather than three years. It was close in 2012 when the contract reached through the gray window, but then you did not completely worry about finishing this case, but it was made a bookup in connection with the contract signed in Narssuaq at the beginning of 2012 that people would continue and the next goal would be to cover the shrimping fishing at Dohrn Bank, which for several reasons can be beneficial for both parties, to have this way, and not least out of the ice that goes on and goes over the middle and may mean that you have to retreat. Green ships come east across the line to Iceland and vice versa. So it is a pleasure and a sign that this relationship has been improving. It is the annual collaborative agreement on the general cooperation of fish industry that has now been signed for several years and on its basis has since been made available to significant sources of Greenland for use in Iceland or countries from sea fishing here. Of course, that's such a thing as ◯ For it's again fishing without contracts, it's actually doing it for at least Some cases of both Iceland and Greenland. But we have thought that on the basis of this two - sided cooperation agreement, we would be accountable to such cooperation. Of course, to a certain extent we make it easier for the Refecters to get hunting experience in these species, which will then meet us again at the table of the agreement and share in the stock market. But I think we're pretty close to the same way that we've probably considered it a good deal to be fair in our dealings with the Faeroeses, so that's just as true with Greenland. There can lie, and already lie vastly ahead of time. Even now, Icelandic fishing projects are in cooperation with greenish fishing projects. Some of the larger fishing industry in Iceland already work with partners or partners who have the fishing warrants on the Greenland side, and some ships from the Icelandic Navy have been sold there in recent years. The future's going luck. The senator, the biologist Aphess, the Össur of Skarphéðinsson, after the cod, will be after much craftiness. Of course, after those warm years of experience, a man has waited a long time for the situation to stretch toward what it was during the decades of the 20th century following the warming of the 1920's. At that time, the cod population began growing at Greenland and was already given from it a monthly supply of similar or even greater quantities than we Icelanders have recently caught. From the Faeroe Islands and from the Faeroe Islands and the Savours, however, they often tell stories about the great flame they experienced in the Greenland Islands and were not quite accustomed to home. Icelandic ships attended a great deal at the Greenland Center. It's an old story and new that profitable fishing won't be easily practiced, except for on the vastly powerful ships of East Germany, different from places in Iceland. So much may be involved in adding energy to our fine neighbors in the west. That's what we've done and should have mentioned and welcomed in the means of an open Icelandic office in Nuuk, which I believe was a significant step in this relationship and that those who were thus honored should be respected. However, it is there and there is evidence of increased emphasis that Iceland and I put forth on it. So perhaps it is a little further beyond the material, Mrs. President, to consider the potential of our friends Greenland to trust more fully under its independence and to get into position not to be dependent on others, especially Dina in the way they are today. When nearly half of the Korean budget comes in the form of a single check from Copenhagen every year, there is a great lack of money. Sadly, the trend over the past few years has not been as positive as it was for a time when the Greenlandites were determined to do this contribution, take on increased assignments, and finance them themselves. Today, for several years, because of difficult circumstances, income from mines or oil crops has now gone uninhabited, and so have other factors. Back to the fish. Of course, it would be extremely positive to see it happen in the years that in such a case, the distant ears would be able to increase their value from their seafruits, moving ahead in that matter. They are very large, especially when it comes to shrimp and gray window, but their entry into the open - sea fishing is very significant, and they come to the point of dividing the green-lenish economy very important if they start to hunt here tens of thousands of tons of Norwegian-islenk ring and perhaps up to 100,000 tons of macro, now less so, as we Iceland know from our books. If the codfish were to be added in an ever - increasing way during the years to come, this would look quite flowery. Of course, it is also a great deal of cooperation to pick up anything other than direct fishing grounds. These include equipment and services from Iceland. Despite all the strong and well - equipped resources, we have been becoming an international actor in the field of selling technology and even whole factories. The largest and most successful of the world have been built by Icelanders in two places, such as the Faeroe Islands, and who knows that Greenland is about to move in an effort to land its sea fishing and to work in factories on land. Probably they would have to be somewhere near the southern tip of Greenland, but the obvious thing is that it would strengthen their position in the fight for hunting rights and increase their chances of making a huge increase of their worth and not dependent on others as they are today to be able to use these institutions. There are exciting times ahead and much to discuss in that regard, but there is reason to express joy in this contract, which is definitely a step in the right direction.
ParlaMint-IS_2015-05-27-113.u49	Madam President. I'd like to get a second opinion. On one particular point, a senator giving a great speech. Now the mackerel is pushing through the heat lines, and it is far north, far north, and far north. Apparently with the will of most people, the Greenlanders have got a special greeting, if I remember correctly, about 100 of you. tons. In any case, according to the ocean fishing laws, we cannot allow ships who sail under a green flag to produce their products in Iceland because the trunk is not agreed. Am I right? There was such an incident last year, and then I think about this: It's not the basis that everyone wants to negotiate with him and be willing to sign a deal on the figures available except the Norwegians. The Norwegians prevented this deal from being politically motivated, everybody knows what they're doing, they're naturally waiting for the mackerel to go back and believe he's going back and not wanting to negotiate with him, that's why, the capital, even though there's another cause. Then the question is, Is it reasonable, according to the circumstances I have described, to interpret the law in this way, as it is done that ships who hunt mackerel under the Brazilian flag do not get the product in Iceland when it is realized that both Greenland and Iceland wanted to make a deal on that basis? Should we, then, make ourselves charge that some nation in the world is overindulging in our dealings with us? Is that not something we should consider about changing the law? Is it not an Icelandic law that is used against Icelandic interests, and are we moved by a nation like the Norwegians?
ParlaMint-IS_2015-05-27-113.u50	Madam President. Hv. A senator throws into the air a very hot potato, to be honest. As such, coastal countries must take steps to facilitate the application of non-contracted stocks to provide sustainable support. That's a principle. Then, of course, variations from her are possible. The government has certain opportunities to determine how they use that device, e.g. by threatening it, but perhaps by not making it real, trying to make deals. It's probably not a top secret that we've been trying to use this tool for the Russians and their hunting at the Ruthian ridges, trying to pressure them to come back into contracts on the grounds that they are not necessarily assigned to a service in Icelandic ports, etc. As for the Greenland Fishing of Macroil, I think they were primarily taking him only one-sided, sharing a one-sided amount, not on the basis of agreements. They've called it research and experimental fishing, and Iceland has been allowed here for two consecutive years to demonstrate a flexibility in the interpretation of these policies of the Sea Treaty in the sense that it has been permitted to be made here, as it were in research and experimental fishing. True, they are moving on to call this traditional fishing on a commercial foundation. Then another situation that needs to be assessed comes up, how far we are to walk. What helps these things, and I mentioned earlier, is a collaborative agreement between Iceland and Greenland, i.e. That he can be referred, if any. A senator hears, what helps is a collaborative agreement between Iceland and Greenland on the sea streets. We can refer to him as there, and we have specific obligations toward this neighbor and to the agreement, perhaps in his hiding place, more than we would have done about the regulations of the marine covenant. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u51	Mr. President. Hv. A senator is far superior to me in my skills and experience in these matters. I think I'm here for a kind of a course by a dog. Senator. I'm glad he handles this matter, and sometimes he's been very Catholic in it, but I feel that he's moving toward the Lutherans of liberality. Last year like what? A senator came here a ship under a Brazilian flag, sailing to home base. A senator who didn't get to land, and what did the boat do then? It went to the Faeroe Islands and land there. It seemed very strange to me. In other words, the Icelanders were stripped and at home. The senator, however, takes away the benefits that would have resulted from communicating with this particular green - eyed ship, but then it went only to one other nation, which is also part of the Šmal convention and should apply to all the international commitments that we believe we are listening to. I don't know. I think it's a bit unusual. In any case, if this was no longer a research program, it would have a share, which I believe, in fact, they have a silent agreement with all sides of the case, it is in fact, in fact, very much enough to mean communication to the Icelanders on a business basis for such a ship. It is clear that Icelanders and Greenlanders want to negotiate on the basis of what, for example, is the case. The European Union has proposed and men are working on it, but some other goddamn nation that uses bullies and thus has a very clever purpose to motivate us to do so. I feel that it is starting to read the Bible with the merits of a particular ruler of the underworld with horns and claws. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u52	Madam President. It is the ancient saying that it will not be so easily released and held. Let us bear in mind that on one side Iceland is very interested in its reputation as a country that fights for sustainable fishing and has been at the tip of action against illegal fishing and sea fishing and so forth. Now I'm, to prevent all misunderstandings, not to talk about it at the same time as this fish of Greenland and our dealings with them or the Faeroes. Iceland has been in this present business over and over in recent years. For a time, we did not allow any countries to collect from strains that were not negotiated with the Eastern Pacific. Then there was a seafaring minister, who suddenly allowed the landing, in fact, mainly in his hometown, and of course, this led to a huge increase in success in the fishing process, e.g. in the grays of East Greece, which again led to a higher share now in Greenland than they would have done otherwise. So we have not always been completely consistent in this. However, it can be reminded of both modern resources that when this ship from Greenland arrived here - which was well - meaning to mark a ship's processing and may have been relevant to the materials, it was not a catch, it was a job, but a successful catch - and when an intelligent ship sought a port and wanted a service that had been translated into Iceland's efforts to deny it. There were many who survived, and our friends were long - suffering. Of course, this is because Iceland has been trying to take advantage of this, but we may have been rather alone in our territory. It's been a lot more freeer in the Faeroe Islands, but, frankly, I don't think they've been doing anything about it because of where men came from to raise for land, and in Greenland, it hasn't been tested at all from their side, i.e. I don't know that a foreign fishing vessel has come up with much access to land. So it's not easy. You can't just say that it's either here or in this regard. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u53	V.E.G. President. I explain to the National Committee's Committee's Committee on a proposal to conspire with the confirmation of the decision made by the Joint EEA on the Change of XIII. Annex to the EEA Convention on Transportation. The Committee's opinion is first given on the case and prehistory and not a reason to comment on this, but it is appropriate to be able to interpret the committee's opinion that the actions require common rules on conditions that must be met in order to serve as road transport and access to markets for international population and freight transport. The project aims to promote efficient road transport and to provide reasonable competitive conditions without discrimination. Then, according to our opinion, the types we need are referred to. It is further stated that the range of values of the species was, in fact, restricted to international goods or passenger transport, i.e. such cross-border transport, and therefore they will have limited impact in this country. In Regulation (EC) No 37/2010: Of the worldwide road transport transport, 1073/2009 estimates that the so-called 12 day rule on driver's driving and rest period, which was generally submitted for six days by the Regulation (EC) No. 561/2006, will be restarted, but only in the international driving of a team and plan car. The Commission reviewed that there were discussions between the European Commission and the European Commission on the basis of ideas that the 12 - day rule would apply in general in Iceland, where the limitation based on cross-border cross-country would not be appropriate here because of the country's population. An agreement was made with the Foreign Affairs Committee and the tourism stakeship in the process, but the conclusion was that discussions about adaptation were considered to be a fact of experience. Then there was an assessment of interest that it was possible to adapt to these conditions in this country. The introduction calls for a local legal adjustment and has already been recommended as a bill for the transport of passengers in the country for employment and for a bill for transport by land, which will replace the law of the no. 73/2001, about the transport and cargo of land. The Commission's review showed that key changes will include increasing conditions for the publication of the transport solvents, including The requirement for a person to have a permanent residence in the EEA area, to be trusted, and to have a financial status. Those who have already had a permit for ten years may be excluded from these new conditions. In spite of increased version requirements, however, the rules leading to the need for transport license will not be reached for transport vehicles such as now but only for freight vehicles more than 3.5 tons. The Commission also stated that the transfer of your own products or equipment related to other occupations will not be permissible, but will only be involved when it is the basis for the transfer and charge for the service. The Foreign Affairs Commission proposes that the proposal be accepted. In addition to such articles, under the heading "Apprehensible Writings. " The servants of Vilhjálmur the son of Bjarnason, Elín Hirst, Sigurjónsson the son of Sigrion, Katrín the daughter of Jakobsdóttir, Fearar Proppé, Silja the Gunnarsdóttir of Gunnir, and Össur the son of Skarphéðinsson. Ásmundur Einar Daðason was absent from the case.
ParlaMint-IS_2015-05-27-113.u54	A respectable president. Thank you. President of the State Department for the Commission's Prehistory for the Commission and the information that has been sought for an exception to Iceland, i.e. This doesn't apply to Iceland. I wanted to ask the senator if this was the only option for freight transport, but I did not turn to passenger transport, nor did it affect any such automobiles that come to form with Norwegian into the country or cross with it into other countries of the European Economic Area.
ParlaMint-IS_2015-05-27-113.u55	V.E.G. President. This 12-day rule, which will now be a six-day rule, will have an effect particularly on passenger transport and will translate into that of passenger transport, which is considered to be cross-border, including when group vehicles come with Norwegian, where the maximum time for drivers is 12 days, 12 days from day to day, but if driving within my own sense, then there will be a six-day rule, i.e. Cross-border only takes effect for 12 days. I don't think that rule has anything to do with this country. As a result, we supported it on the Foreign Affairs Committee and suggested that when the case came to us in the early stages of searching for ways to obtain an exception for us. Our main concern is passenger transport, which may be impossible to replace drivers in the middle of a trip, etc. However, according to our information, the government's efforts to obtain an exception did not result in success. At the same time, it was reported in tourism that they felt that their activities should be managed in a way that this would not be a cause, at least not a factor. In my mind, this is an example of unnecessary rules on the basis of EU rules, but it is a matter of magnitude that there is no reason to allow this to cause a problem in the global context of the European Economic Area. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u56	A respectable president. I thank the Chairman for the answers and a number of things that are not reason to make trouble with the overall interest we have of the European Economic Area Convention. But it's a pleasure that this does not have a negative impact for the companies here active in the tourism service. I'd like to ask, though, would there not be any benefit in these requirements regarding automobiles that come to the country, e.g. with Norway, by the hands of foreign companies, with the demands for drivers, household accounts, this maximum time and other factors, whether there is no benefit in the company's efforts to meet the same demands for those who come here with trucks.
ParlaMint-IS_2015-05-27-113.u57	V.E.G. President. I have a feeling that this will not have a major impact on the foreign drivers coming here. If we view the changes involved, i.e. I think that if they come here with Norwegian, they will be considered to be cross-border transfers, and there are simply more rules for the foreign drivers in the foreign cars than there are domestic. However, the requirements for information and other information there are, and registration and the like may be of any relevance, but I think that it was the opinion of those whose opinions were on the subject that there would be no significant change except for the number of days I changed in my case earlier.
ParlaMint-IS_2015-05-27-113.u58	V.E.G. President. I would like to recommend a proposal to be agreed on by the State Department's Committee on Council Reconfirmation of the Co-ordination of the European Commission No. 29/2015 on the change in XVII. Annex to the EEA Convention on Idea rights. The committee has discussed the matter and has brought in specialists from the State Department and Education and Culture Ministry. As stated in the opinion of this committee, at the recommendation of the Council of the Council, the Commission's authority was sought to confirm the decision of the joint EEA Commission on the conversion of the Agency's Commission on the Agency's Commission's affairs, including the Convention Directive of the European Parliament and the Council on the particular legal use of orphaned works so called. Six months' delay in the EEA Convention to ease the administrative notice was provided on August 25 to 2015. According to the Committee, the presentation of the proposal is in accordance with the requirements for the political treatment of the EEA. The directive requires the use of a particular permit for tasks that are authorly used when their author is unknown or unknown where he thinks he is and therefore cannot be consulted for the use of the tasks. Its aim is to enable European cultural institutions to produce digital copies of orphans to ensure that Europe's cultures do not have a digital gap. The directive contains a definition of what is considered an orphan's work and how it should be handled with a more thorough search for right heads before the work of orphans can be determined. Then there is the basis for mutual recognition between states of such a decision and how courts can end that definition. The directive includes public libraries, institutions of education, museums, archives, movie preservation agencies, and audio recordings, as well as public - service radio stations. Use of the given jobs will only be allowed if they are due to the objectives of the institution involved in its role in the public service. Implementation of the Directive calls for a change in Authorship, No. 73/1972, and as a minister of education and culture, has already provided such a modification bill as 701. The Commission reviewed general pleasure with the proposal, as such sources would be needed to use authors in the public service. The committee suggests that the matter will be agreed with. Under the heading of this magazine, as well as the text below. Councilmen of Vilhjálmur Bjarnason, Ásmundur Einar Daðason, Elín Hirst, Frosti Sigurjónsson, Katrín of Jakobsdóttir, and Ottir Proppé. Silja Dögg Djög Gunnarsdóttir and Össur Skarphéðinsson were absent at the hearing.
ParlaMint-IS_2015-05-27-113.u59	A respectable president. Thank you. Chairman of the State Department for the Prehistory for the Commission's opinion on this matter. I don't know now if I like the use of words in a way that ignores the use of dead things, such as authors. Of course, it may be important to have a new authorship, as well as a number of examples of the fact that people are not in the house that has the right to do something. First of all, I wanted to ask who. The senator, whether or not the issue has been reviewed with the primary answers that have been made by the Minister of Education, now the three members of the Council, probably long after the committee was treated, and whether they have any connection or influence on one another, this design, and then the three prime Blacks that the Ministry of Education put here a few weeks ago, and I know that they are still unsupuled in the committee with which they are treating them. I just wanted to make sure that my right hand knows what the left hand is doing.
ParlaMint-IS_2015-05-27-113.u60	V.E.G. President. As indicated in the committee opinion, this resolution proposal includes the removal of governmental warnings for the planned adjustment of the law. The committee's opinion specifically refers to the law bill at its highest level. Minister of Education has submitted and is case No. 701 at this council and shall be implemented in Icelandic legislation in accordance with the requirements of this Regulation. On the State Department, we do not specifically consider the legal standards, but we do have an assignment. General and Education Committee. However, we have no reason to believe but that the bill submitted by the Minister is fully designed to implement the requirements necessary on the basis of the recording of this procedure into the EEA Convention.
ParlaMint-IS_2015-05-27-113.u61	A respectable president. Thank you. A senator for clear answers. However, in my second answer I would like to step aside from the content of the matter and into the question. A senator by other limitations that might be at the induction site. Then, in particular, I might be looking at the terms of the Constitution of the European Commission on the privacy of the private rights of the Court, which, of course, are more preeminent than the general legal rights of the administration, whether they can be considered here if there is any particular restrictions on the rights of the writers of the authors, or in general, from the need to agree to the owners of the State for using the authors, whether they think that there is something special to be considered in the Icelandic private rights to treat the legal matters.
ParlaMint-IS_2015-05-27-113.u62	V.E.G. President. I don't think there is any reason to worry about that subject, on the administrative aspects of this case, is totally clear that if there is rights covered by private rights, then the rights always go beyond the rights discussed in this matter.
ParlaMint-IS_2015-05-27-113.u63	A respectable president. I just wanted to draw the attention of the United States of America to the fact that the next issues here on the agenda are mostly made by the European Union. It is a good reminder that our position in connection with the international community is to consider it at all times, before we vote on these matters, that it would be natural for us as a nation to be involved in making a legal code here. We don't. We're stamping it here.
ParlaMint-IS_2015-05-27-113.u64	V.E.G. President. I'd like to call to the attention of the United States Congress that we vote here on a so-called EEA case that'll attract health services across the border. Because we are not in the European Union but are involved in the EEA, we have more free hands in this matter than the EU, and therefore we were able to set similar warnings rather than stiffer than the Norwegians had in this kind of relationship. So it is not quite true that standing outside the EU has taken place. In this case, that is less so.
ParlaMint-IS_2015-05-27-113.u65	A respectable president. This was an interesting comment, but although some wish to walk in the European Union and even hope that it's the land of dreams, it's over a long time, but some years you don't know. For interested persons, I wanted to bring it here, to a respectable president, that about the first 20 years of the EEA contract, Iceland has only recorded about 7% of the types adopted by the European Union, so that is now no more than that.
ParlaMint-IS_2015-05-27-113.u66	A respectable president. I just wanted to get the attention of the United States of America that every time we talk about the European Union, there's always voices that we're talking about this in which we have no business, it's just to complicate our lives here, it's so much better that we're an independent island nation here in the middle of the Atlantic. I'm simply calling attention to the fact that it doesn't quite agree with what we're doing here. It is important for us, and it is also very important for me as the Europeans, to be able to come up here and face in the front of a world that holds very strong reasons to increase this cooperation but at the same time to stamp legislation that is not produced by the Icelandic Parliaments. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2015-05-27-113.u67	A respectable president. Because here's a lot of talk about the European Union, I just want to ask people to think about who's leading the European Union. Now, in every member of the country, it is public and national representative that they run nothing, extremely small. In fact, this is not the case with members of that country who are in charge that the problem and the main reason for the Democracy is because it is a government that is hard to see who is in charge. V.E.G. The minister of foreign affairs in particular considered that, fortunately, there is very little that we need to cross the council in comparison with those countries in the position of being trapped in this customs alliance. I think it's true, more dignified president, because some people are always talking in other ways here, that the voice may be heard. I encourage you to introduce yourself to a discussion about the European Union in countries in the European Union.
ParlaMint-IS_2015-05-27-113.u68	Hail, Vice President.
ParlaMint-IS_2015-05-27-113.u69	A respectable president, I guess. I'd like to come back here for a second. A senator mentioned the European Union. Of course, the European Union is a symbol and is really just a writer's decision, complete. During the 20 years of the EEA Convention, over 117,000 types have been approved in the European Union, of which some 8,500 have been introduced in Iceland. So it would have remembered us if we were in there and had to bring this whole thing together and fight it. If I recall correctly, more than half, likely about 70%, of all EU enterprises are very unhappy with the rule they're living there. It has gone so far that there are special communicators in the European Union who are going to try to unwind all of this confusion that has been approved. So I just thank God that this process has come to an end.
