ParlaMint-HR_2016-11-30-0.u17819	Here's my colleague Branimir Bunjac.
ParlaMint-HR_2016-11-30-0.u19835	Thank you. The next replica is the esteemed representative of Branko Grcic. Here you go.
ParlaMint-HR_2016-11-30-0.u19836	Thank you, Mr. Vice President. Dear colleagues and colleagues. Comrade Lalovac, you mentioned here possible effects on both the budget and everything we saw in the guidelines, I would just add that with this proposal, the government actually narrowed down the maneuvering space to itself in some way. At least two things here fall into the eyes, which are directly linked to these tax changes. So after the spending plan has been increased by nearly five billion kuna, I'm asking a rhetorical but real question, how do you explain to tourists now that you're taking this tax reform from a billion kuna and increasing the expenditure by five billion kuna? That's a very serious question. And the other thing that's being set up, I wouldn't honestly be in your skin now that you're getting into conversations with teachers, teachers or trade unions in higher education and middle and primary. Why? Because your position is now very weakened. You won't be able to talk to these people in a way to prove to them that a billion and eight hundred kunas at this point can't be found to raise wages. You simply can't say that, because you found five billion kunas to increase the total expenditure on other items and that's an objective problem. So this isn't saying politicizing again, this is a real situation. This is from the perspective here is me and Boris who did this job a few years ago. So I'm really saying to myself you've brought yourself now into a very awkward situation. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19837	Thank you. The answer of the esteemed representative Boris Lalovec.
ParlaMint-HR_2016-11-30-0.u19838	Thank you very much, Mr. Vice President. Dear colleague. Well, I know you were telling me actually the Minister you were telling, the minister would negotiate. I don't negotiate with unions, and this part is because we're no longer part of the government. I agree absolutely especially when the expenditure side of the budget is growing five billion kunas how to explain to teachers and teachers in high schools where this part of the salary increase of 6% would mean a lot more to them than this tax reform means to them. Is their impact on their home budgets much more important to them because of this model of tax reform, much more means their budgets and their standard of living than this tax reform that will not be touched at all. And now explain to everyone... we have five billion kunas for everyone in society, for you we don't have, and you have a contract, you have the right to that, it was signed ten years ago, etc. And for you now there is no, but you are on hold again for a better time. And finally what you said in the hospitality when we know how much hospitality has a multiplicative effect on the economy, we know it draws the economy, we know that you have employment etc. that only in this segment in this part of the VAT segment is to be left alone. And we see how much VAT is growing, all the time I've been trying to say from 44 billion to 50 billion kunas growing VAT over the period, and now explain that there's no possibility of actually being made in that part of it. And I believe that in this part, the government's position in negotiations with each other must be difficult. Thank you.
ParlaMint-HR_2016-11-30-0.u19839	Thank you. The next replica is the esteemed representative of Mare Kristic. Here you go.
ParlaMint-HR_2016-11-30-0.u19840	Thank you, dear Vice President. My colleague Lalovac, in fact, you gave an answer to my question, Mr. Grcic asked you something similar in your presentation that was very professional and to which I am extremely aware you failed to talk about the catering sector that was certainly affected by this increase in rate. My question is, in fact, how much do you think it will leave far-reaching consequences for the catering sector when we know that tourism is unfortunately in Croatia, we do not have some other so strong branches of the main economy, and I personally think that perhaps within a short time, it will not cause such great consequences, but in the long term safe to do so. And do you think that, in due course, some other compensatory elements should be considered as soon as possible, mainly by increasing the control rate and even by these measures specifically proposed by Mr Alexic to increase the rates on alcohol and to leave other categories of drinks at that level? Thank you.
ParlaMint-HR_2016-11-30-0.u19841	Thank you. The answer of the esteemed representative Boris Lalovec.
ParlaMint-HR_2016-11-30-0.u19842	Thank you very much, Mr. Vice President. Your Honor. So when we were dropping a certain VAT rate from 25 to 10, then from 10 to 13 what actually happened? It has happened that the state has made more revenue in the budget and these are facts. So not only are these indicators and tax administrations... it also means the introduction of fiscalization. So in the catering facilities suddenly there was traffic not only by introducing fiscalization, but people said ok. This part of the tax burden we can bear, we're going to report everything and start introducing order, people are starting to perform neatly and see according to the tax administration's reports 30 to 40 percent of the incomes in the catering and people no longer wanted to, so what I'm going to say about a coffee here, there, I'm not going to issue an account, etc. They didn't want to run into the gray economy. Unfortunately, what is a fact and what I fear will reopen the area of the gray economy will be opened because it is a high tax burden for them. Why? Because they're doing a very short period of time the same thing that our tourism does, if we had tourism for 12 months, if we had total incomes like Austria, France and others wouldn't be a problem. We are unfortunately seasonally oriented tourism, simply all the investments you invest cannot be returned in such short time because we only work 200 days etc. And when you have such a high tax burden, you simply have to run into a gray economy to stay out of the market. Therefore, the specificities of Croatian tourism are different from French, German, Austrian and other which have one mass all year round. And that's why I think their remarks should be adopted. And why you also have accommodation facilities, because these are very high fixed investments, you can't return them and unless you have loans from 3 to 5% to 17 years, no hotel can operate. You know what banks used to do when they gave credits up to 5, 6, 7 years with interest rates 10%. All the hotels in Croatia were bankrupt, everyone was bankrupt. And now that our HBOR policy is where it could be invested, now they're going to start working. Thank you.
ParlaMint-HR_2016-11-30-0.u19843	Thank you. And the last replica is the esteemed representative of Branko Hrg. Here you go.
ParlaMint-HR_2016-11-30-0.u19844	Thank you very much, Mr. Vice President. My colleague Lalovac, I support your debate in most parts, has been very correct, but it has given me a bit of a boost to the replica of your surprise that this happened and why it happens that food is imported at such low prices and that the prices of such products are so low that ultimately result in these affairs as well. I'll say yes, shall I keep talking or stop? I don't mind the light, it's not a problem, I don't care about the TV.
ParlaMint-HR_2016-11-30-0.u19845	I hope the Parliament paid for the electricity after all.
ParlaMint-HR_2016-11-30-0.u19846	I'm going to remind you a little bit of a time when your colleague was a Minister of Agriculture and say that exactly because of not passing adequate laws during that period or because of the wrong laws being passed in that period, this is exactly what is happening right now. You also commended Minister Tolusic and I will say the same thing to the citizens, especially those whose portfolio represents that in a very short time he has made more courageous and quality decisions than the ministers have made in the mandates and we need to give support. But my colleague, Lalovac, I'm asking a question, so why didn't Minister Jakovina, your colleague at the time, propose laws to reduce VAT rates to food production or maybe reduce VAT to food or stuff like that? It probably wouldn't be what it is now, and probably if it had gone with stronger controls if it hadn't even been for the development of the inspectorate and everything else that was stately, perhaps some of the things could have been prevented.
ParlaMint-HR_2016-11-30-0.u19847	Thank you. They will respond to the distinguished representative Boris Lalovac.
ParlaMint-HR_2016-11-30-0.u19848	Thank you very much, Mr. Vice President. Your Honor, we were seriously considering reducing the VAT rate, but then in a simple opportunity when you have a deficit and a drop in economic activity from 10 to 12% simply were not possible. It simply wasn't possible, regardless of all the good will you can do, you simply can't function when you have a 5 to 10% drop in economic activity, when you have a deficit of 15 to 20 billion or when you have deficits or when you're in a primary surplus and you have an economy of about 3%. And that's why it's just not about the same opportunities you're doing, you don't actually have the same economic opportunities in which you act, and you just can't make those decisions. But I'd come back for this part I don't think this is even a question of left, right, MOST, etc. The transfer price, I'll come back here one more time. This is the most serious issue that we must deal with not only the tax administration but the whole society and legally define in what way. Not that he had anything against foreign trade chains, etc. etc. but in what way to define myself, because for a long time I followed which domestic sales chains paid profit tax and really paid profit tax and which foreign trade chains did not pay profit tax in Croatia for 5, 6, 7. And now the question arises and I tell you the cheap products here sell and in their countries they pay a profit tax. Well, it's very simple, at all possible instances and at the Council of Ministers of Finance... trying to tell people what it's all about. It can't be that you're positive there, that you're there... and in Croatia you're just downs, profit tax 0 and you're selling us very bad goods. So I think this is a question, I say, because I think it's a national issue, and it won't be easy for us, believe me, it won't be easy for the Germans to tell you to throw the products out of your products, etc. etc. Or we want our products in Germany, agricultural products to see. So the greater effect would be to release their products in Croatia and let ours go outside, because your biggest market there, they have a market of 4 million and we have 500 million. And that would raise the Croatian economy. You know how many would be in their products? 0.0 something percent. And I think in that context, here's not that hep even tells us. Okay, thank you.
ParlaMint-HR_2016-11-30-0.u19849	And now we're moving on with the clubs. And the next club is the HDZ club on behalf of which the distinguished representative Branko Bačić will speak. Here you go.
ParlaMint-HR_2016-11-30-0.u19850	Thank you, Mr. Vice President. Dear Mr. Minister and Associates, dear colleagues and colleagues, and here we are during the debate and certainly even more during the debate when we discussed the tax reform in the first reading, we also expressed the views of clubs, we expressed our agreement with what we hold in this reform, tax reform well and what we think should change. In his presentation this morning, the minister quoted what he had said from the first reading, from the debate in the first reading, which are proposals and remarks adopted by the government. I would say a few more words to say that we welcome that already when the first government budget is set up, we have the opportunity to discuss tax reform, full tax reform as it is mentioned, the comprehensive one and which is primarily going towards reducing tax burden both Croatian entrepreneurs and Croatian citizens. And rightly so, the government has rightly decided to go to tax reform first. Because in Croatia, we need tax reforms, necessary reforms not only tax reforms, but also public administration reform and pension systems and health insurance, and health care systems. But the first reform is tax reform. Why? Because, because it is quick to find its reflection in the state budget and, if we have seen it through the guidelines that the Government adopted the day before yesterday, which discussed the budget guidelines for 2017, the effect of these laws and the effect of this reform has already been revised to the 2017 budget. Because if we know that this tax reform relieves Croatian entrepreneurs for around 2 billion kunas, slightly more than two billion kunas, then it clearly provided an opportunity to feel through 0.6% of GDP through an increase in GDP growth rate, which then clearly means increasing the state budget and the revenue side of the state budget. What Lalovac was talking about earlier, which is the fact that we are talking about the tax discharge of citizens on the one hand, and on the other hand, our income from VAT is increasing as the most important, high-end tax in the Republic of Croatia. So it goes up from year to year, so here it is in the last ten years of rising VAT revenues somewhere around 8 billion kuna, even though at that time, during that time, when we were collecting and subtracting GDP growth or decline, he couldn't have so much increased the revenues of the state budget based on VAT. However, the fact is that in the meantime, we have increased the VAT rate, the general VAT rate twice from 22 to 23, and then from 23 to 25 have resulted in the fact that despite the crisis times, the crisis in the Republic of Croatia has increased our income from VAT and that it is clear that this is the situation. And the fact that we are now talking about reducing the tax burden on Croatian citizens that we will still testify that the next year's VAT increase is about 2 billion, that by 2020 it would have reached around 50 billion. However, without such VAT revenue, it is difficult to compensate for all the problems we have in our portfolios and public administrations and health care and pension systems. And therefore, for a long time until we have really made real structural reforms in these systems, we will be very dependent on filling the state budget with the basis of VAT. That is why it is in the government's programme of speech, and I hope by then, until 2020, we will be able to go into structural reforms to then implement that pre-election promise that we will reduce the overall VAT rate from 25% to 24%. That's what I wanted to say in the introduction for a reason to point out on behalf of the Croatian Democratic Community club that it was absolutely right to go into tax reform first. However, if it stands on it, everything we have outlined and what the government programme has covered will not be resolved. So, the first is tax reform is good, but then put the whole tax system down. It would not be good if after we adopt such a tax reform, after a few months we went back to change, to repeat the error of the former government which, not the former but those of the Government of the SDP, which was from 2012 to the end of 2015 where we changed the four basic laws, the Law on Profit Tax, the Law on Value Added Tax, the Law on Income Tax and the Law on Contribution 44 times. This is therefore the best way to dissipate investors who intend to lie in the Republic of Croatia on the one hand, and on the other hand is dramatically burdening them, making it difficult for the business of existing and successful, but also those less successful entrepreneurs. When we talk about these two taxes it's a value added tax and profit tax we're already saying about it. What I think should be particularly isolated when we talk about the Tax on Profits Act, it's a reduction in the overall profit tax rate from 20% to 18%. In the calculations we had at the first reading, I think there were some 375 million kunas of discharging Croatian entrepreneurs. It is my view, looking at the first real measure that has been directed over the past few years to Croatian entrepreneurs, that I am not saying that, and that this measure will be felt by entrepreneurs who do not cross the total annual income of three million kunas because it is a reduction in the tax rate of about 40%. Therefore, 40% of the tax on profits to an entrepreneur who has revenues of less than 3 million kuna is an extremely, extremely large measure, so that it is a high measure, so that it is primarily directed towards them but will, in absolute terms, be able to reduce the revenues of the state budget with the basis of the profit tax where and where more it contributes, i.e. to reduce the revenues of the state budget. This measure talks about reducing the overall rate from 20 to 18 for all other entrepreneurs in the Republic of Croatia. We also welcome the decision to make it possible for credit institutions to write down bad credits for paid-outs to be recognised as tax-recognition expenditure, but on the other hand to clear the balance sheet and their debtors, and that is what the minister said about it. These days it was in the media, and even more so was the river debate in the first reading there were words about the need for clear measures to ensure that there was no abuse of this institute that not only would reduce the revenues of the state budget but on the other hand would make clear the cleaning of the balance sheet both banks and credit institutions, but what I particularly welcome is that their debtors are entrepreneurs who can then go to a new investment cycle, a new credit line and it is certainly to welcome it. As far as value added tax is concerned, as far as VAT is concerned, there was a lot of talk about this measure that caused concern, dissatisfaction among the caterers. And what the minister was already saying and what we were saying during the first reading, which is that we are aware that this will in a certain way reduce competitiveness in Croatian caterers, but when we do and analyze parallel data with our competition in the Mediterranean, Croatia is still in this sense extremely competitive, and we do not think that this will drastically undermine the competitiveness of our entrepreneurs involved in catering, but on the other hand, with other measures that touch profit tax and value added tax reduces the business costs of all entrepreneurs and thus entrepreneurs in catering. And when we talk about hospitality, we think that through the measures of reducing VAT on agricultural impasses, there can be a reduction in the price of food, and thus certainly can be done to a certain extent, not to the end, but to some extent compensate for this increase in VAT rates from 13% to 25%. Not to mention that the price reduction or reduction of VAT rates to electricity, the reduction of VAT rates to municipal services, will also contribute, and I do not think that this is a small item for entrepreneurs or for trade union baskets of Croatian citizens. Therefore, with all these measures we hold that there will be a significant discharge of both Croatian entrepreneurs and Croatian citizens, which clearly indicates in itself that through the implementation of this tax reform there is a reduction of funds in the state budget by more than two billion kuna. Therefore, the two billion kunas remain for Croatian citizens, remain for Croatian entrepreneurs, and that is certainly to be welcomed. What is important is what I was saying on behalf of the club and in the first reading, that through this tax reform, especially through amendments to the Law on Profit Tax and in particular through amendments to the Income Tax Act to go in a certain way to the eastern part of Croatia, Slavonia is therefore less developed part of Croatia because these measures are, when projected on an economy in Croatia, the highest priority towards agriculture and agriculture. Thus, through this tax reform, the government has shown indeed that it intends to encourage the Slavonia project as one of the ways of helping and adopting positive economic measures towards the east of Croatia. In that sense, our club will certainly support both laws and laws on amendments to the Law on value added tax and profit tax. Thank you.
ParlaMint-HR_2016-11-30-0.u19851	Thank you very much. We have a few replicas. The first is the distinguished representative Branimir Bunjc. Here you go.
ParlaMint-HR_2016-11-30-0.u19852	Thank you, Chairman. I'd like to answer to my colleague Bacic. Namely, he continues to force the thesis that this tax reform is aimed at the well-being of citizens, but it is not. And I say that from the position of the citizens themselves who do not recognize this tax reform as something that would benefit them. Namely, every average citizen looks at the amount of income he has received, as well as when he sees that after the tax reform, his salary has increased by zero or fifty kuna, and that the parliamentary representative has increased by seven hundred kuna, minister and prime minister by two thousand kuna, members of the administration by five thousand kuna and more, so it is clear to him that this tax reform does not go in favour of the vast majority of citizens. So from this tax reform, people who work for a minimumer or who work for a salary that is less than the average salary in the Republic of Croatia have no benefit. The only thing they can see from this tax reform is that they will find coffee more expensive in the café, and that was the only entertainment left for them so that they will not be able to afford it. If you really wanted to take some moves that would benefit the citizens, you could, for example, To solve the problem of poverty, the problem of minimum wage, the problem of homelessness, the problem of blockages, the problem of execution, the problem of free textbooks, the transport for students, that any of these measures have been implemented in the last two months since you headed the government, I guarantee you that you will be heroes today, and your coalition rating would have increased by at least 5%. However, you have decided to give money to those mouths that have enough and too much, and in fact to give citizens nothing and on the first salary they will see that the effects of this tax reform do not go to their advantage. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19853	Thank you. The esteemed representative Branko Bačić will respond.
ParlaMint-HR_2016-11-30-0.u19854	Thank you, Mr. Vice President. Comrade Bunjac, after this replica of yours, the only thing you deserve was a warning from the President of the Parliament because you spoke beyond the subject that it is. You are well aware that today, or during the morning, we are discussing amendments to the Law on Value Added Tax and profit tax. You've all replicated it as if we're talking about amendments to the Income Tax Act. That's what we'll talk about when we discuss it. Now I'm talking about profit tax and value added tax. And speaking of income tax, then I'll tell you that the amendment to the Income Tax Act is further released from the absolute payment of this type of tax of the new 560 thousand Croatian citizens. And if you think these 560 grand are just the parliamentarians and the state officials, then you're wrong. These 560 thousand include the largest part of the medium layer in the Republic of Croatia according to which these measures should be directed. But again, I'm saying that with the basis of the income tax law that we're going to discuss tomorrow morning. I was just talking about the value added tax and the profit tax and I was talking about the dispensation of Croatian entrepreneurs by the fact that their overall profit tax rate is reduced now from 20 to 18 and those who are less than 3 million kuna are reduced from 20% to 12%. Therefore, I talked about this and I talked about a reduction when you haven't replicated me, about reducing VAT on municipal services, about reducing VAT on electricity consumption, I talked about reducing VAT on agricultural inputs, which can then indirectly lead to a reduction in the price of food, so if you want to tell the entry costs to Croatian hosts that I agree with, it increases VAT from 13% to 25%, but again, say that it will pay the final customer, the end-user will pay that VAT increase from 13% to 25%.
ParlaMint-HR_2016-11-30-0.u19855	Thank you. The next replica is the distinguished representative Sabine Vosovac. Here you go.
ParlaMint-HR_2016-11-30-0.u19856	Thank you very much, Mr. Vice President of the Croatian Parliament. Comrade Bačić, you said that this tax reform, that is, by proposing these two laws, allows for the disbursement of entrepreneurs through 2 billion kunas and when I listen to you like that, then we would get the impression that actually entrepreneurs and the economy are the biggest winners of this tax reform. That's not true. The biggest winners of these two laws that are key laws in tax reform are actually banks. Banks are allowed in a very elegant way to no longer show those non-payment loans as profits, thus reducing the taxable base and will be largely incomed from a good part of the funds or will be facilitated by banks, and will be made more difficult by the Croatian budget. The question that I'm asking is why do entrepreneurs, why didn't the craftsmen meet in a way that you don't admit to them as a profit that's uncharging claims. There is simply a state to say that I completely ignore the fact that a large number of our craftsmen and entrepreneurs face the problem of having to pay the state absolutely everything they have to pay, and on the other hand, the state doesn't ask them if they can make them call it their debts. So what I think, you're going to tell me again that, to cut the tax rate to profit from 20 to 18 of those who earn less than 3 million kunas, that it's even reduced to 12% ok, but that's a compensatory measure of actually abolishing the tax on reinvested profits. But if we look at actually the overall picture then we'll see that the biggest winners here are the banks and that the entrepreneurs are actually able to profit through the same sum and have a much greater effect that they've forgiven, that they don't display as profits what they can't charge, that's not taken into account and they haven't tried to make it easier in that way.
ParlaMint-HR_2016-11-30-0.u19857	Thank you. The esteemed representative Branko Bačić will respond.
ParlaMint-HR_2016-11-30-0.u19858	Thank you, Mr. Vice President. Dear colleagues of the Voice, you have not listened to me carefully or have not read the laws we are discussing very carefully. I did not say that 2 billion kuna is the discharge of Croatian entrepreneurs as you put it in my mouth. It is that this tax reform reduces the burden on Croatian citizens and Croatian entrepreneurs by more than 2 billion. And it primarily reduces Croatian citizens. Because if you had read then you would have seen that in this reform you were talking about the compensation fund and units of local self-government with the basis of reduced income tax revenues, which means that most of this reform will feel in reducing the tax press of Croatian citizens. When you talk about it, it would be good if one of the measures that had to be directed towards entrepreneurs was why they were not exempt from paying the profit tax for non-payment claims exactly the opposite. But I was also saying in my first reading that what you did, your government did with pre-determined deals that it was just a crime against these small entrepreneurs, a crime against small entrepreneurs because they were denied claims against... debtors who wrote off regardless of what they properly submitted the invoice for the day service, which they paid the state of VAT and paid taxes on the state's profits for that one service that you described to them by your law according to the agreement of the greatest creditors. Therefore, the greatest crime against these small entrepreneurs has been committed precisely through this reform that you mentioned earlier, and that is through the Law of Pre-determination.
ParlaMint-HR_2016-11-30-0.u19859	Thank you. The next replica is the esteemed representative of Ivan Klarin. Here you go.
ParlaMint-HR_2016-11-30-0.u19860	Thank you, Mr. Vice President. I wish there was an institute to correct the incorrect allegations since you Mr. Bacic said that Croatia is still extremely competitive with this rate of VAT in tourism. Very interesting. You are, in fact, deluding the Croatian public or you have not read at all what VAT rates are in catering and tourism in other Mediterranean countries that are engaged in tourism and of which, of course, our tourism sector depends. Do you know that Italy, Spain and Portugal have 11% of the VAT rate in tourism? That only Greece has 25%. And then you're the one with no problem, no remorse at all, saying that we're still going to be the most competitive country with this VAT rate in hospitality. I don't know what the purpose of the deception of the Croatian public is. You're coming from the island of Korčula. At the beginning of your debate you boasted, boasted justifiably that the budget, will receive considerable funds from this VAT, and then as a representative of the HDZ even worse, the president of the HDZ Club in the Croatian Parliament is nonchalant without any remorse you state-wide increase in VAT rates in catering from 13% to 25%. You who come from the island of Korčula where 90% of the budget of your units of local self-government is just filled with hospitality and tourism. Really fellow Bacic, good for you.
ParlaMint-HR_2016-11-30-0.u19861	The esteemed representative Branko Bačić will respond.
ParlaMint-HR_2016-11-30-0.u19862	Thank you, Mr. Vice President. My colleague Klarin, before I go to the pay phone either this one or on behalf of the club or I read this one here so I don't speak out of my head, especially if I don't make it up. You unfortunately haven't been and you've been long... During the first reading, when the minister of finance for the speaker presented information on Croatia's competitiveness in the Mediterranean, he compared it with Spain, Portugal, France, Italy and Greece. [[The speaker doesn't understand.]] And when he found out that at the prices of our guests we were almost the cheapest country in the touristic sense of the environment. But you well know that tourism is not only a hospitality and that the priority price of tourism defines nights, accommodations, half boards and boards. And that's why I think you know if you've read it doesn't increase the VAT rate, so it stays the same. It is therefore in this sense that our hotelers who offer their services on the international market, and even on the Mediterranean market, remain in the same position they were before we started this reform. And believe that when a guest comes to Italy or Croatia does not ask how much VAT is in that country, what is the value added tax, but what is the price of the total service. At the price of the total service in tourism, Croatia is one of the most competitive and cheapest countries in the Mediterranean. That's what I'm talking about, and that's what I'm behind. And I said one more thing in the end that for hospitality, the VAT increase is not going, does not make Croatian hosts more competitive than they have been until now, but this cost will still fall to the final customer.
ParlaMint-HR_2016-11-30-0.u19863	Thank you very much. With this we exhausted the replicas and move on to the next club, which is the Club of Representatives of the Living Wall in the name of which the distinguished representative Branimir Bunjac will speak. Here you go.
ParlaMint-HR_2016-11-30-0.u19864	Thank you very much, Vice President of the Parliament, dear colleagues and colleagues. We would like to take another brief look at the proposed amendments to the law concerning tax reform in this case of the Law on Value Added Tax and Profit Tax. I would like to repeat briefly in the introduction, therefore, the claim that this tax reform does not go in favour of citizens, and we specifically believe that before the budget is emptied, therefore the increase in the expenditure side should be increased. For this, there are very high conditions, so the mining rent could have been increased, it could have taken place with measures against the grey economy. It is estimated that Croatia loses from 10% to 30% of budgets due to the grey economy. All of this would have far better effects on the budget and business in 2017 than these measures, which in fact represent one political agreement with banks in order to compensate them for the losses incurred by the conversion, alleged losses incurred by the conversion of loans in Swiss francs. In particular, as regards these two laws, the Living Wall does not support, so the reduction in VAT rates to hospitality and in this sense we will also submit an amendment, because we believe that the hospitality has already experienced several pressures over the past few years. We specifically think about increasing VAT rates for catering 10 to 13% and also of the fiscalisation that is therefore sensitive, thus reducing the income of the caterer. The caterers therefore have already made their contribution to the budget and in this way they are being denied, where they will therefore not be able to do business in the same way as they have done so far. Moreover, they will do business with losses and will likely lose jobs in the branch. Another amendment that we are thinking of submitting is the amendment to reduce VAT on food products obtained by organic and biodynamic agriculture for the reasons of products that have a pronounced export potential, which goes up to 10% annually, at least according to those analyses concerning other European countries. At the same time, they have a very beneficial effect on human health, on the environment as well as on, in general, job creation. Since organic agriculture practically does not exist in the budget, that is, 70 million kuna was foreseen in 2015, and in 2016 only 350,000 kunas believe that such a move would constitute a compensatory measure for ecological and biodynamic farmers. In doing so, I would like to stress that biodynamic agriculture does not actually exist in the RS budget at all, and it exists in most European countries' budgets, and this is very embarrassing for the reason that the founder of the biodynamic agriculture, Rudolph Steiner, was born in Croatia. So he was born in Croatia, specifically in the Lower Royal in Međimurje County and there is now and already one Biodynamic Agriculture Centre, but we are still doing nothing to notice at all the efforts that enthusiasts are doing on this issue. I also warn that from the teaching of Rudolph Steiner and his philosophy grew not only biodynamic agriculture, but also Waldorf pedagogy, and that the days in the world have a thousand hundred Waldorf schools, and we are still not familiar with that there is biodynamic agriculture, is as far as we can see in the budget it is not mentioned at all. Biodynamic agriculture is otherwise already recognised in Europe as the best agriculture and, consequently, biodynamic producers are given the Demeter certificate considered to be the highest possible recognition for farmers. Therefore, we consider it particularly since biodynamic agriculture is only in the conundrums and this expenditure would not be too large for the budget to reduce VAT and on organic and biodynamic agricultural products. As well as in our first reading, we would like to insist on amending Article 76(8) of the Treaty on the Functioning of the European Union. The VAT law in which imports of foreign... machinery and equipment are encouraged. So what is the need to encourage the import of foreign machines? Why not write just the purchase of machines and equipment, but we have to write the import of machines and equipment, so this reduces VAT. So we simply do not think that importers should be favored in relation to domestic producers because we still have some kind of Gredelj, Končar in Croatia and some other manufacturers of machinery and equipment and there is no need for importers to be placed in some privileged position. In particular, one single word should therefore be replaced by a word of supply and would all be in an even position. We also warn of Article 27 of the amendment and addition of the VAT Act, which, if I understand it correctly, points out that VAT payments will be released to all those who, during the period until 31 December 2017, purchase of entertainment vessels, aircraft, personal cars and other means of transport. So if it's really so planned that it's possible to release VAT, then it's certainly a very, very wrong article that should either change or better, delete. Also in the proposal for profit tax in transitional and final provisions, it should be added to the items that all those to whom banks write off debts for their names to be made public, so that citizens know who their debts are written off to so that they have a clear insight into who they are dealing with in future business. According to current laws, all pre-departure debtors are listed on the pages of the Trade Court. All taxpayers are listed on the Tax Administration pages. The question is very simple, where will you be able to see who the banks have written off their debts to? It would therefore be necessary and reasonable to make public this list of former debtors to be in an equal position after the write-off. Finally, it is also important to point out what a colleague of Lalovac was already talking about, which is transfer prices, transfer prices which are one of the main tax evasion generators in the Republic of Croatia, where it is possible that some parent company sells or resells products at reduced or even increased prices, and then to manipulate both by paying taxes and, say, state subsidies. Practically speaking, it is possible that, for example, Agrokor sells in Bosnia to some company the same products by fake invoice and then pays a lower profit tax in Bosnia than is a profit tax in Croatia. These transfer prices are now highlighted here, but it is quite unclear what the taxpayer must do about these transfer prices. And one more thing is unclear, which is how these transfer prices will be charged or supervised, because it is unclear who is in charge or it seems that too few people will do it. As far as I'm aware, about five at the national level in the Republic of Croatia. It is also very important to mention the coupons that are also mentioned in this bill. I don't want to be bad, but first, you all get to think of the coupons you've probably seen, and now the question is whether this issue of coupons ended accidentally in this bill or deliberately and then ended up in such a way as to actually be suspicious that it was intentional to please someone. In fact, the bill states that a coupon must be accepted as a means of payment. So what's the value coupon supposed to be accepted for as a means of payment? You should write can be accepted but you don't have to accept. So the obligation is what is still very interesting at the end of the issue of coupons is being resolved by this law only by the application of the new law as of 1 January 2019. So now I'm particularly interested in why in 2016 we have to discuss the application of the law that applies in 2 years or more? So again in some way, he's starting to suspect that there's some kind of intention behind it. Also, the question that is not answered about the coupons is whether VAT has been charged in the securities coupons or VAT is not charged in the coupons? So I would ask if it is possible for the minister to answer this question in his closing statement as well as whether those buying vessels and aircraft in 2017 must pay VAT or not. There's so much of the Living Wall. We are, in any case, very skeptical of these amendments to the law. Therefore, they do not solve those key problems that are plagued by Croatian society and remains doubtful that they will only actually benefit from banks, people who have a lot of money, a particular clientele and what is the worst of all banks that still owe money for illegal interest. There are also strong judgments about this, they don't pay it, it's our opinion that not only do they have to pay it, but they need to be further taxed and only then go to an increase in expenditure. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19865	Thank you very much. We have several replicas, the first of which is the distinguished representative of Ivica Misic. Here you go.
ParlaMint-HR_2016-11-30-0.u19866	Thank you, Vice President. My colleague Bunjac, we debated a little bit, you brought up the hospitality and I am glad to say it, but I would ask one question if we were looking at the hosts in Dalmatia, the guests in Slavonia, the guests in Zagreb, that's a big difference, a very, very big difference. Restaurants in Slavonia pay 25%, hosts true hotels will pay 12%, the rest 25%. I think everyone should pay 25% or all 12%. But why do you keep going to Dalmatia? We are all expensive and Slavonia, and all in Croatia are paying the tourist community that contributes most to Dalmatia, which is the best standard today and Slavonia is far in the worst standard, in the worst and the same Slavonac will pay 25%, nor the cafe that makes 500 kuna traffic today. I agree, we brought the state today at this time as it is. Let's all have 25% so after two years we'll try to see where we are. Then you mentioned eco-production, that eco-production, we practically have in Croatia eco producers because our country is not as polluted as Germany, France and everyone else. They don't even have wild animals in their fields anymore where they tried to let them grow and come, it's just so poisoned. We with very little wisdom can have a complete state in eco-production, but I'm asking again, when we make an eco-production, how are we going to place it in that west, and how are we going to sell it? Is there a strategy here? There's Mr. Maric here to see it. You mentioned cars, so you see that one entrepreneur, one craftsman would go somewhere on the road he must take the car. It keeps moving, so I think it's normal. Then the OPGs who are in Slavonia, who have small economies and who have small restaurants, I would release them, give them a flat tax. That's the kind of thing we need to do.
ParlaMint-HR_2016-11-30-0.u19867	Thank you. The honourable representative Branimir Bunjac will respond.
