ParlaMint-HR_2016-03-11-0.u292	On behalf of the Club of Representatives of the Most, I'm looking for a five-minute break.
ParlaMint-HR_2016-03-11-0.u4702	The Honorable Chairman, our rapporteurs. The club of the Independent Lists will support this report and I will discuss only this topic a little bit. So let's do it again. In 1987, the UN General Assembly officially declared its June 26th resolution on the International Day against Drug Abuse and illicit drug trafficking, all with the aim of strengthening co-operation between all actors involved in addressing this major global problem. It also seeks to draw public attention daily to the consequences of drug abuse and drug trafficking on the individual and society as a whole. This year's UN motto and campaign is, "Let's build our lives, our communities, our drug-free personalities." According to the UN Office of Drugs and Crime, about 200 million people consume illegal drugs such as cocaine, marijuana, hallucinogenic drugs, opiates and sedated hypnotics. In addition, dependence on psychoactive drugs is closely linked to other social problems such as poverty, unemployment, prostitution, delinquency, crime, homelessness and health risks of primarily AIDS-type infectious diseases, hepatitis C, hepatitis B, sexually transmitted diseases and ultimately high mortality. National drug policy depends on many factors such as political and economic stability, the availability of various professional and scientific achievements in this area, the spread of drug abuse, social awareness of this phenomenon, and the legal system and geographical position of a particular country. The national strategy is a fundamental strategic document in the area of drugs and constitutes a framework for the action of all state institutions and civil society organisations to combat drug abuse, prevention of addiction and to provide and assist drug addicts and occasional drug consumption, as well as to assist individuals, families and society as a whole in overcoming drug abuse difficulties. The first National Strategy to repeat drug surveillance, the prevention of drug abuse and the assistance of drug addicts in the Republic of Croatia was brought by this Croatian Assembly back in 1996 and, on the basis of that National Strategy 2001, the Law on the prevention of drug abuse was adopted. I would be here to suggest that today the greatest mortality is thought to be due to the fact that whoever brings in his overdosed friend is actually getting a criminal application at the moment he's brought in and saved his life. So I have examples, these days they mentioned to me that a colleague, that one of the addicts got on two occasions two years in prison because he brought a friend to whom he saved his life, he said the third time it won't happen to me. So the problem of addiction actually means that they simply because we can solve this overdose as doctors simply don't lead them to a medical institution in time but leave it because they know they're going to get a criminal application. The problem of drug addiction is not a local problem but a global problem of modern society that requires access to and from global, regional and national levels with a fundamental goal of stopping the growing emergence of drug addiction, drug abuse and crime related to drug abuse, and thus protecting the fundamental value of the social community. In view of the fact that the time period from developing addiction to seeking help is the most often of the full 10 years during which the family from which the individual comes and his health is definitely damaged. A special emphasis should be placed on parents and timely recognition of problems within the family itself. So despite the positive results and the stable trend, further efforts need to be made to address the problem in all EU member states, as well as our countries show that this poses an increasing threat. Croatia's rate of drug addicts on opiates per 100,000 inhabitants aged 15-64 is 216. But even in 7 counties, it means for Croatia 216 addicts to 100 thousand but in several counties it is above average, so in Zadar 486 to 100 thousand, Istria 474, above are Sibenik-Kninska, Primorje-goranska, City of Zagreb, Dubrovnik-Neretvanska and Split-Dalmatia while the other counties are below Croatian average. The development of technology also creates new compounds, many harmful substances are allowed by law and are free to sell because legislation cannot react quickly enough. According to available data in the last 5 years in Croatia, more than 80 new drugs have been identified and the results of the Eurobarometer survey for 2014 show that the life shift in the consumption of new drugs from 15 to 24 years in Croatia is 7%. So in the course of life 7% of Croatian citizens will take drugs as low as possible, slightly lower than the European average of 8%. In 2013 alone, 83 new drugs that mimic the effects of classical drugs were discovered in Europe and in 2014 as much as 200 new compounds were detected, which we need to distinguish from the very meaning, from the very one that says classical drugs, which is a compound, and currently follows more than 450 new psychoactive substances detected in the last few years through the European Monitoring Centre for Drugs and Drug Addiction. So the market is waiting and they're ready to bring new and new psychoactive substances. Special attention should be given to the problem of smart shops that in recent years hastily niche in the world, as well as in Croatia where some new scented substances and air fresheners contain artificial cannabinoids similar to those in marijuana that are rarely more dangerous. Although experts systematically analyse and list drugs, manufacturers are quick to manage and organise and place new substances on the market that are sometimes different from those known only in some minor change in the monocular structure itself. We all know that smart shops specialize in the sale of psychoactive substances and accompanying tools and literature and on this plan, so we must also work to curb such trade. Drug abuse is caused by curiosity, poor information about their harmful effects, the need to resolve subjective and objective difficulties through psychoactive substances. This also contributes greatly to the circumstances of the environment, individuals, family conflicts, at school, with peers, the inability to establish normal communication and solve the problems created in an appropriate and socially acceptable way. Drug dealers offer him drugs and then blackmail them and impose their behavior. So the young and the girls become their victims and reach the world of the underworld even though they do not belong to or do it. Prevention is I consider the most important form of drug addiction control. The comparison of the data from this report with the 2005 report clearly shows that the proportion of treated addicts in age groups below 25 and the proportion of older ones is increasing. What does that mean? This is due to the reduced inflow of new addicts and their long-term retention in treatment, indicating the chronic character of this disease and the need for long-term treatment. Centres for prevention and non-patient treatment of addictions since 2005 have been integrated as a network of centres within the county public health services under the co-ordination of the Croatian Institute of Public Health and since 2010 have expanded their activities to protect mental health of children and young people. As such, they are a key element in the Strategy for the Prevention of Risky Behaviors of Young People and the Prevention of Drug Abuse. Centres for prevention and non-patient treatment of addiction other than direct participation in treatment conduct have other specific tasks. They organise and conduct specific individual and group counselling for young people and families, provide assistance to educationally educated institutions in implementing part of the activities envisaged by preventive programmes in the system of education and education, and in particular specific education of professionals in the education system, support the implementation of activities for early detection of risk behaviours and mental disorders, together with professional services at the school medical and social care centres, and coordinate the implementation of all preventive activities in order to reduce the risk of spread HIV infection and hepatitis. What I'm saying is that in our population, the incidence of HIV infection and hepatitis is lower than those we meet in Europe. Now, I'd like to commend two programs. How do we think that prevention should go, and then I'll start with the programs that are being implemented in my county. So they're an example of how we should start from young days. One is still on the move in 2005, and this is given the growing problem of abuse of funds of addiction, the School of Public Health of the Primorje-Gorski County is a systematic and comprehensive program of universal prevention for students of all six and seven classes based on life... The program, a program that has experienced some changes, has been constantly working today as a program to promote mental health and skills training. [[The speaker doesn't understand.]] It's been going on for more than 10 years. Nearly 10,000 students participate in 50 schools in Rijeka and Primorje-Gorski County. The second programme, conducted by the teaching institution, has also been launched by our Primorje-Gorski County since 2010 as a comprehensive programme of screening mental health students of the seventh grade of all primary schools. So, this is recognized as an age group in which one program is to be conducted by psychologists with the cooperation of school doctor and professional services and the basis of screening results and team synthesis of school doctor, school associate and other co-workers working on the promotion of mental health of ten percent of children and their parents are recommended to add after this screening to the psychologist or school doctor. There they are directed to the possibility of involvement in individual and family counselling, psychotherapy, psychiatric treatment of the parents and adolescents group. It's the 10% that are supposed to be children who are going to go one way that might end up getting into this risky behavior and addiction. So far experience in the implementation of this programme shows that most of the children appear at the counseling site due to behavioral problems, learning difficulties and meeting school obligations, buliling or anxiety disorders and conditions. This kind of public-health screening program is an organisational model of breakthrough and breakthrough in the population and need, so after that for intervention, early intervention at that level at that age means 13 to 14 years of children and is originally locally developed our program that we consider to be very good. It's final. Young ones need to be brought up to be reasonable, responsible, and conscious. To make them immune to getting in touch with drugs in a difficult situation within the family avoid the temptation to try it, experiment with it, and become consumers and addicts. They should be objectively informed about drugs and their effects on health long before they come to an opportunity to make a choice and decide whether to taste it or not. If reason makes a man feel guided by it. The most important is education and prevention, and it is the primary one whose purpose is not to abuse drugs, because it is much better, more effective and cheaper to prevent it than to treat it. Unfortunately, it still invests more in treatment than in prevention. The treatment is delicate, very complex, it takes a long time, it's expensive, the prognosis sometimes poor, the prognosis of healing uncertain, and half of the treated addicts need to know they're reciting. The problem of drugs is recognised as the need for continued coordinated professional knowledge and quality access to its resolution. Therefore, as stated in the Office for control of drug abuse in Croatia, we spend 700 million kuna annually. I think, once again, I advocate a more comprehensive, more effective, professional and systematic prevention of addiction, the strict punishment of drug mafia, drug dealers and drug dealers, which should absolutely be our priority as well. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4703	Thank you. We have two replicas. The first is Honorable Representative Blaženko Boban.
ParlaMint-HR_2016-03-11-0.u4704	Thank you, Your Honor. Dear Representative Ines, you have indeed detected the problem well, and above all, well-detectable prevention by illustrating it through an example in your area of living in the Primorje-Gorski County. Perhaps just add that, with this prevention, it is necessary to think in decisions and laws that are made at both local and county level and also national level. How to interpret that mainly in summer, during the season due to profits decisions are made at local level on the work of cafes, disco clubs and not only on weekends until 4 or 5 a.m. How to interpret opening and further incentives from local communities, counties, as well as from national level of opening of beach areas that work continuously for 48 or 72 hours. How to interpret that young people who organize themselves have already come out of their own abstinence and open retro centres, centres to help citizens in their local community, and then the local community doesn't recognize them. So, in addition to this, everything you've done here really well and quality-detecting should be encouraged and the problem of the wider community starting with decisions at local level, county, national law and decision-making levels not directly related to this issue. But he, these decisions implicate this problem, deepening it, and it would be very interesting to see statistics on registered drug users during the summer period and the rest of the year, mainly in the coastal area along the Adriatic coast. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4705	Thank you. The distinguished representative Ines Strenja-Linić will respond.
ParlaMint-HR_2016-03-11-0.u4706	Well, fellow thanks for this comment, you're right. So we have right, I haven't prepared the data, exactly how many tourists are practically most of them under the influence of psychoactive substances were brought in and punished in violation only during these parties and festivals that actually happen along our coast, so ULTRA and in some way, I'm not saying I absolutely support these activities, concerts. Young people have to have fun. But for example, what happens on Zrća and everything, the part that is brought in is usually those who are either in an alcoholic state or under the influence of drugs. Each environment has its specifics. So you have somewhere more successful to deal with dealers and then you have there like that. in Rijeka one of the most expensive shots of heroin in Croatia, so good is done there because drugs are much harder to reach end-users. Of course, you can come anywhere. Local environments, yes, we must not think that we have tourism and tourism is what we live from but also certain controls of what happens especially during the summer months when thousands and thousands of foreigners come, a part of them and as dealers supplying these festivals. It's something we should sanction, monitor, and somehow prevent it from being distributed to those who just come there to have fun. Because if it is available, of course, that many of them go and maybe even try drugs for the first time, and then it goes on. Thank you.
ParlaMint-HR_2016-03-11-0.u4707	Thank you very much. The next replica is the esteemed representative of Mira Bulj.
ParlaMint-HR_2016-03-11-0.u4708	Thank you very much, Mr. President. My colleagues Strenja-Linić, what you are now talking about is prevention and action plans to curb drug addiction, I agree entirely, mainly with activities in your regional area and local self-government. This should apply to the whole of Croatia such an example. It is very important that you have noted and this is a drug mafia which is obviously in the grip because it cannot happen that Croatian citizens pay means their taxes and obligations and that we still have a number of drug dealers. Well, like I just said at school. So, so far, all governments obviously and services mean the secret service of Croatia obviously there is one problem here, which is the policy and some of these services that should be working to fight the drug mafia. That's what we need to work on. Because I can't believe that that much money is being invested, and we have this much system and that money is basically not doing anything but still in front of the school, and in front of all the places, we have people who make money. If one of them gets caught, it's either sanctioned or sanctioned by some kind of dealer, it's a lower rank. Where's the drug mob? And is the force of politics and law enforcement at such a level that nothing can be done? Simply national security is at risk if an emergency action plan on national security is not dealt with on this issue. Thank you.
ParlaMint-HR_2016-03-11-0.u4709	Thank you very much. The distinguished representative Ines Strenja-Linić will respond.
ParlaMint-HR_2016-03-11-0.u4710	I agree with my colleague Bulj but I think this repressive apparatus should only continue to apply strictly the laws at his disposal and that we can find solutions there. I think there's just one more thing that I haven't mentioned, which is that our society doesn't need to stegmatize addicts who are willing to go to treatment and come out somehow cured. It is a matter of their relapse and our society must be willing to accept such people, positively discriminate them against the possibility of employment because in this way we will prevent their relapse, enable them to reintegration into our society so that they can because one part of them really becomes and actively knowing what the drugs did to them as an individual and to their families can be actively and themselves involved in further drug prevention. So I absolutely appeal that we have to work very hard on those who come out, get rid of drugs and give them support as a society in general. Thank you.
ParlaMint-HR_2016-03-11-0.u4711	Thank you very much. Let's move on, on behalf of the Club of Representatives of HSS-HDS, the word will now be taken by the distinguished representative Goran Dodig, please.
ParlaMint-HR_2016-03-11-0.u4712	Dear Mr. President of the Parliament, respected rapporteurs, colleagues and colleagues. We are today discussing the Report on the prevention of drug abuse in the Republic of Croatia, and as far as the report is concerned, I say in advance the Croatian Peasant Party Club and the Croatian Democratic Party supports this report but far from supporting the strategy against this monster. And I don't know when I see how interested we are, how many of us are here who are interested in this subject obviously not of interest to this House. And God forbid any of you happen to have such a person in your own family or in your own family or someone you care about in any way. This is not the problem of the last government, to be clear, this is not the problem of the previous government, this is a problem that lasts for ten years. We keep saying that we have successful programs, and not just that the number of addicts is growing by which the report doesn't quite see it, but the question is who was delivering the data, the data you presented here, is very good, not I would say complete data. I'm sure they're not all data. And I'm telling you this as a man working with addicts, working with addicts, working with their families and trying to help them as much as possible. And the way it helps these people today is almost negligible. We have well-developed theoretical programs that have not been checked in practice. On the other hand, which proved to be ineffective in practice. What we're saying is that she's been treated so many and so many addicts, it doesn't mean anything yet. Has anyone asked how many have been cured? Has anyone asked how many are resocialized, how many have these people been employed? Of course it's not because nobody cares. But the most tragic fact is that it doesn't even interest the profession. The profession has been quite involved in this chaotic approach to this problem. And that's why I don't think it's possible to talk about strategy here, so you need a more serious conversation, and I'm offering myself as an associate to hear me as a devil's lawyer, so yes, because that's a common problem. We're chasing concepts here. We're talking about abuse and addiction, it's two different things, it's not the same thing. We're talking about prevention, and there's a question of what prevention is. I'm sorry there aren't any of these kids up here, you know, I'd give myself the right, I'd ask the cameras not to shoot them, so I'd ask them what their attitude to marijuana is. You know what their attitude is? Everyone thinks it's a good thing. Medical students think it's good. The street thinks it's good. And I'm sorry I didn't bring one slide to show you what the brain of a person who consumes marijuana and a person who hasn't consumed marijuana in five, six years. If we were being honest, if we were being honest here, so if I asked you if anyone had tried marijuana, I'm sure there would be people here who would say they did. Government presidents in the Republic of Croatia publicly said they tried to take marijuana. There's something called an I.D. model. And this isn't just a child problem, they're just the worst victims in the problem. This is a person's problem. Don't think if we tell the kids it's not good and we do it that we did something. We actually told them and you do it. When you look at television programs where movies are made as families take drugs, very respectable families, medical families, then don't expect children of 12, 16 years old, I assure you that it starts at 10, 12 years old, it looks amazing but it's a fact. Has anyone examined the attitudes of teachers, teachers, teachers, teachers toward the problem? It's not. The street has imposed criteria on us. When psychiatry is the closest thing to this problem, but it's not a psychiatric problem, but psychiatry is the closest thing to this problem in medicine. Then I can tell you that this profession has also fallen under the influence of the street and the layman's public in which very exposed people say, I've spoken to this woman and I've seen nothing sick about that woman. And he puts pressure on a profession that gives in and lets a woman like that out of the hospital. No one asks after 7.8 months what happened to that woman who was released from the hospital. I'll tell you, she killed herself, she killed herself. There's no responsibility for that. We live in fear of a public who doesn't answer, who isn't responsible for producing that fear. That's why this drug problem, addiction, consumption, cocaine weekend addiction is a terrible problem. When you put it in the context of health in general. And I assure you that health today, not to assure you, there are articles about how the United States is beginning to think about this problem from a security and military aspect rather than from this aspect that we're talking about, medical, human, health, but from a security military aspect. They won't have anyone to join the army and America needs an army. When I ask these 12, 15-year-olds why they, you know, look at me in wonder, what's wrong with me, why I ask them, well, that's good, everybody tries it. Someone thinks I won't because I won't, they have other interests, but most of them have that interest. Who said, Miro Bulj to wait in front of schools, is offered in front of schools. The police we often say don't do their jobs, do their jobs, but not allow them, those people who want to do something, are not allowed to do them, and the legal provisions are such that he's in more trouble than an addict, but a drug dealer. I often come into the situation as a court expert that I have to assess the number of this addict and lie to save him, to save him from prison, to save him from the Stigma. But don't think that just because he's registered as an addict he'll get a job somewhere. In this kind of relationship with a man, an addict has no chance of surviving. Unfortunately, it becomes a ballast of society, which is too scary. The programs we have aren't worth anything, gentlemen aren't worth anything. Do you know what methadone is? I'm talking about methadone addiction. Well it's a program that in the 1930s in the U.S. only started to be used for 3 indications. Addictional behaviour, long-term and failed several treatments one category. The second is a category of criminal behavior. And the third category of women who are in a different state in an abstinence crisis. You know what an abstinence crisis looks like? You don't know. A life-threatening person, that's a life-threatening person. Methadone today, so we want to start telling the truth isn't a cure. But no one tells their parents it's not treatment. It's a new addiction that's even the same as heroin only makes it worse. There's no such feeling of pleasure as heroin. Well, then they honor themselves and take heroin, but they're still addicts. And you know how to get methadone? You come to the Department of Public Health and you say I'm an addict. Here, you'll get 20 methadone tablets a day. He might take seven, eight, and he's selling the other one on the street. There's no control. But no one tells their parents it's not makeup, it's a substitute for addiction. One case of subtext to be given. In Montenegro, it costs 40 euros each. This is where you get it bad. You come in there and you tell me I need a suboxon or a Saturday and you get it, and then we have a story about how stable the story is when it comes to addiction. If you became one addict, it would be enough for us all to worry. But I assure you that the number of addictions is growing more than it shows, growing more because it's not being reported. I often don't make that diagnosis because I know what it means. So you know what I write? Adolescent crisis, and it's essentially about non-dependence yet but abuse of intoxicating drugs. Marijuana has become our symbol of freedom. It's a dangerous substance, a dangerous substance. I agree with a colleague who talked about both alcohol and beer and advertising. But marijuana can be the trigger for the most severe mental illness and then you lose a person permanently. That's why my dear parliamentary deputies, the respected lady from the ministry, let's try to think about this in one way or another. In Switzerland, which is our role model for a lot of addicts because they live there in a value system where money is actually the most important thing. In the U.S. an awful lot of addicts, they started to think of it as a normal phenomenon. No matter how small we are, we can view it as human, as the difficult and tragic fates of children and families to whom it happens, and they do not have to be our role models. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4713	Thank you very much. We have two replicas. She is the first to be the respected representative of Ivan Lovrinovic. Here you go.
ParlaMint-HR_2016-03-11-0.u4714	Thank you, Mr. President. Well, I'm glad I heard this exhibit and the man who specializes in psychiatry who obviously has experience. And I didn't know that methadone is not treated for addiction, it's obviously a huge delusion. Well, I'd ask you, two things fell into my eyes like this. You said, yes, that there was no research on how successfully treated addiction is why to try to answer that. And the second question is when you look at a man in the last year, two about how healing marijuana is, which is a flood of media writing in all the media, you get the impression that it's a medicine that treats toothache to cancer and that it's simply something to be taken as a supplement to food. You could say that, food supplement. So please, as an expert, do you think it's a media abuse, what do you think of that? Thank you.
ParlaMint-HR_2016-03-11-0.u4715	The honourable representative Goran Dodig will respond.
ParlaMint-HR_2016-03-11-0.u4716	Thank you very much. So there's no real results on how many were cured, because it's tearing down this concept of treatment, so if those data were to come out then it would be normal to ask the question, wait why we spent the money, why time, we didn't do anything. It should be revised, at least try to revise the concept of treatment. So, that's, that's my reason. As for marijuana, there is no substance to be administered as a medicine or a similar medicine in an organism that does not have a good one. I remind you that out of ordinary aspirin you can die, you can bleed. That doesn't mean that now, you won't be taking aspirin when you need it. Marijuana is definitely a substance that, in total, has much more damage than good. That in some strictly indicated medical indications it can be given controlled medically, I agree. You know when you have a man who suffers from multiple sclerosis and is helped by marijuana, but not to cure it, but to be a substitute for another pharmacist. You see, there are 7 billion people in the world, you can find the same knees, the same liver, the same corneas, and so you can transplant. But two of the same brains you can't find. Well, that helps some people. Well, people like that who have a serious illness, if it can help them, I would let them go, but strictly medically. But objectively taking this story of marijuana as the perfect drug that helps everything is absolute lie and farce.
ParlaMint-HR_2016-03-11-0.u4717	Thank you very much. The next replica is the esteemed representative Ivan Šipic. Here you go.
ParlaMint-HR_2016-03-11-0.u4718	Thank you very much, Mr. President. Here's Dr. Dodig, you're quite familiar with all the consequences of the use, distribution and all the possible abuse of intoxicating drugs. And what are all the consequences and what evil does to all our families throughout our beautiful. Your approach and your performance is an inside view, a view of the waist. By listening to you, a man simply wonders how in this honorable House we should really wonder where our society goes and where our country goes in everything it means. Because if children, young people and family are not the future, and if our concern and all our activities and actions are not in that direction, then it is indeed a huge problem. Even with ourselves. Of course, the difficult social and economic situation suggests that you yourself have said that they are resorting and seeking a way out knowingly or unconsciously in hell, a hell called drugs. And listening to this previous reply to the replica, you gave me the same question in one way that I wanted to ask here. But here I am going to connect and also direct from your angle, from your experience knowing what you're doing is the way to suppress or prevent, the right path, because it's either rooted or it's declarative as we do today most often and we do. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4719	Thank you. The honourable representative Goran Dodig will respond.
ParlaMint-HR_2016-03-11-0.u4720	One word to root. So we need to change the concept of understanding this problem and not take it as the starting basis for relieving the consequences. That's the point. When you give methadone and this is how you approach, you're actually trying to reduce crime and nothing else. The fact that you've created new addicts is going to get into statistics. What you've done to a man who won't be able to get a job anywhere. It'll eventually get into the statistics. What you've done to a person who doesn't want to have tomorrow and can't have children. This problem is also about the most intelligent policy, this problem is about the working ability of us. They're all young people. After that comes treatment, prevention, it's big and I don't have time to explain all that. That's why I said in another place with another composition that it's interested in we can talk about. Treatment at the hospital doesn't make sense to treat an addict unless he's in an abstinence crisis, it doesn't make sense. But we need to know what the therapeutic community is offering, what the concept of the therapeutic community we have so much and so much. Is that a change of worldview, what is it, what is it? The problem is that we are satisfied with the fact that we have good statistics, so we compare them with Swiss, American, German, etc. The problem is that we think that ULTRA is more important to us in Split. Are we going to get 200 thousand kunas or one million kunas anyway, or are we going to have a new drug flood behind it? We can't do as many drugs as new drugs appear on the market.
ParlaMint-HR_2016-03-11-0.u4721	Thank you very much. And the next is the replica of the esteemed representative Steve Cule.
ParlaMint-HR_2016-03-11-0.u4722	Dear President, colleagues and colleagues, alcohol, drugs, prostitution in small quantities, some would also tolerate it, of course, but as soon as it gets out of hand, it's inadmissible for society. And I will turn to the press for exposure. Why the media? The media had a very harmful effect in the past or in other times on many generations that grew at a certain time by some authorities. So we had opportunities on public television to see one of my Vinkovchan, Barrett, known for many beautiful songs, and also for his past, and we gave his daily appearance in the media and in the society of some highly positioned members of our country. I don't know what to call them. But that's one motive for our youth as it should be, the path. And we are also witnessing that in our Croatian family, faith, country is not modern, it is spit, it is not worth it, it is not and and the thesis is imposed. Well we've also witnessed that we haven't seen our famous patriot and singer Mark Perkovic Thompson for four years on TV, I know it's funny to you, and I think it's funny, except in a negative context. That same man who is a believer, who is a family man and who sings only beautiful songs about his country. ... Tax is another bad situation because we're talking about drugs, alcohol and something else. [[The intruder doesn't understand.]] Well, then, let it be one guide. So family, country and religion, I know that many of these are foreign but there are still people in Croatia who live in that religion. ... Thank you very much, I don't want any more. [[You can't hear the intruder.]]
ParlaMint-HR_2016-03-11-0.u4723	Thank you very much. The honourable representative Goran Dodig will respond.
ParlaMint-HR_2016-03-11-0.u4724	I'll just say it would be good to sing "Are you pretty" and nothing else.
ParlaMint-HR_2016-03-11-0.u4725	Thank you. With these small deviations from the main topic, we will probably go back to the main topic now, and this is the continuation of the discussion of the club representatives. On behalf of the Club of Representatives HSLS, Buz, will speak the distinguished representative Dario Hrebak.
ParlaMint-HR_2016-03-11-0.u4726	Thank you very much, dear President, distinguished colleagues and fellow MPs. This report in general is very detailed, systematically analysed and we have absolutely no objections to it. We personally believe in our club that the existing system is satisfactory, that it is at a sufficient level. However, our attitude is also that all that is good can always be better. So I'm going to try what Mrs. Strenja-Linić is today, and I've carefully followed your exposure, which is extremely important, and we're a little off-road today that's namely prevention, how to make certain unwanted phenomena not come at all and not to discuss essentially what our resources are in terms of treating the consequences. What is very important is that it is important to note that the Office for the Prevention of Drug Abuse is a coordinating body for both horizontal and vertical cooperation, which is extremely significant on the ground. And I'm going to be more concerned with this part today that I think can be improved and that's just vertical cooperation. The report shows that activities are being carried out in the territory of the entire Republic of Croatia. One of the basic principles on which the application of the drug control policy at local level rests is the principle of decentralisation. I'm going to talk about it a little bit more precisely because we all know and we said we should get into that part of the reform. We all know what the relationship is about decentralisation of the role of local self-government, the relationship in the financial capacities of local self-government, the famous relationship of 92:8. Why am I saying that? I am speaking precisely because decentralisation ensures equal availability of different programmes on the territory of the entire Republic of Croatia in line with the need for certain counties where the key role in the coordination and implementation of the National Strategy at local level is played by the County Commission to combat drug abuse. And strategic priorities in the area of a particular county are implemented through county action plans to combat drug abuse. And now we're coming up with a problem that I want to point to. Depending on the financial and human resources of certain counties and also on the spread of the problem of drug abuse in counties, the counties have created institutional networks and programmes to address this problem, their implementation points to certain problems which are reflected in the insufficient impact of county committees to combat drug abuse as co-ordination bodies. Of course, there are a lot of specialised staff who would be exclusively involved in the implementation of drug abuse activities and in insufficient involvement of local communities, cities and municipalities in the creation and implementation of but also in the financing of preventive programmes. And now we're going back to the beginning of this story of my how essentially our units of local self-government so cities, municipalities and counties are actually able to participate in the implementation of certain ideas from this National Strategy, what their financial capacities are, some counties can certainly be better there, some are certainly worse. And there is, of course, the issue of prevention of whether some counties are essentially with greater and stronger financial opportunities essentially in this way and more privileged. So that's one approach that we need to talk about, we need to see how and in what way right here on this vertical, at the lowest level, how to do this extra effort to essentially be done on this part, so in the municipalities and cities, we need to improve prevention. During the implementation of the resociation project, which we think is well imagined, it was observed in smaller areas that addicts reluctantly agree to participate in it, of course due to the problem of Stigmatisation. Of course, these are especially the smallest municipalities, cities, where there are also certain forms of drug abuse. It is a very good urge to work primarily to prevent addiction to any possible negative pores that are linked to addiction. In fact, when young people come to the stage of experimenting with certain means of addiction that is not yet considered an addiction, they are late in our opinion half a step, especially from the current bad experiences that we have already talked about today, so they are so-called. new drugs or legal highs, means of addiction that has an active substance that calls for effect and is not on the list of prohibited funds. The most common is synthetic cannabionids that are consumed in the form of various air fresheners, bath salts and the like. Of course, such resources pose an extremely great danger to the health and life of a potential consumer because it can be compared to playing Russian roulette because of the lack of knowledge of funds. Therefore, great attention should continue to be directed to the so - called so - called. smart shops where such funds are supplied. Although the big problem is Internet sales, which, unfortunately, are very difficult to influence. This phenomenon should not be mixed with the consumption of legal means of addiction that are not legal for minors and concerns the consumption of alcohol and smoking of tobacco products, which is already during the debate and have been mentioned and which rarely serve as tickets to this drug world that we are talking about today. It is definitely necessary to strengthen and improve the control of the sale and service of minors through such means of addiction, the consumption of alcoholic beverages on public areas in the Republic of Croatia is not prohibited by special law, so local self-government units must regulate such behaviour through the Law on Public Order and Peace. A special story I would also like to highlight is not to implement the provisions of family law that make the most of parents themselves and let go, so their children who are under the age of 16 are unsupervised after 23 hours. These may be some small things, some things that may not be causing at the moment some major opposition. But it's really important that we take this whole segment and this whole story in order to contain drug abuse as seriously as possible. The system of outpatient treatment of addictions set up at the County Public Health Institutes where it found its place, and in our opinion it should not be transferred to the county health homes as it intended the previous health administration to do. Public health services contain other related services such as epidemiology, which is significant because of the very low frequency of HIV infection of our addicts, which is partly due to the facts mentioned. After all, the register of addicts is located in the Croatian Institute of Public Health, a roof professional institution and a network of county institutions. And finally, I repeat. We think that the system is stable, it needs to be improved on existing foundations, it needs all of these shortcomings that we have during today's debate, but I believe that even in the future it will try to improve it even better. The situation may not be as alarming as it intends to be presented. However, this is a problem indeed which is very serious and which needs to be approached in a systematic, rational way and to see how, in which way we can invest additional funds in this severe economic crisis exactly what I was most talking about and this is a system of prevention. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4727	Thank you very much. We have two replicas. He's the first of his distinguished MPs, Mira Bulj.
ParlaMint-HR_2016-03-11-0.u4728	A fellow Hrebak, of course, is a matter of prevention. And the predecessors emphasized as you do now is a matter of prevention. But what a prevention of the example while at local level we have various activities of various associations and local self-government, "Sports against alcohol and drugs" and similar activities carried out through some of the actions and activities primarily for our youngest. In the evening, however, there is a football game played by the entire families, children of five years of age and major ads are alcohol on our televisions, as well as on public television, Croatian TV. So, certain lobbies have succeeded in essentially undoing these actions, lobbys. It means either alcoholic or I don't know which manufacturer. So everything is given in favor of the manufacturer. And on public television cancel all these activities of the local community and the regional and state, because when he sees the whole game, the main motive is beer, wine or I don't know what. What are we talking about? So all of our activities, our public television cancels in one sporting event that the triba would propagate anti-alcoholal propaganda and consumption and drugs. So it's one of the key problems for manufacturers and large multi-national companies to have a major impact on the law because they poison our children. Thank you.
ParlaMint-HR_2016-03-11-0.u4729	Thank you. The distinguished representative Dario Hrebak will respond.
ParlaMint-HR_2016-03-11-0.u4730	Thank you very much, fellow Bull. I agree with you. I also stressed that the existing system is stable, that it is good. But also that it can always be better and I also stressed during the debate that there are certain other segments that may not be directly related to the National Drug Abuse Strategy that might be an integral part, including what you yourself have said. There are a number of other areas that should be regulated and a little bit better in terms of legal procedure. Because all these little segments that might seem small in the eye, but basically they have when all these sums have a big impact to the whole system. So here I am, and I appeal to the gentlemen who presented this report today to take all these remarks that Parliamentarians have been making today. I think that today was a very constructive debate and that we can also learn some additional lessons about how, how to further strengthen this protection system and how to make the system even better. Thank you.
ParlaMint-HR_2016-03-11-0.u4731	Thank you very much. The next replica is the esteemed representative of Blaženko Boban. Here you go.
