ParlaMint-FR_2017-11-16-O1058.u1	I'm going to suspend the meeting for a few moments.
ParlaMint-FR_2017-11-16-O1058.u34	So there's hope!
ParlaMint-FR_2017-11-16-O1058.u35	Mrs Danièle Obono, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-11-16-O1058.u36	Madam President, Mr Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, at a time when Paradise papers have revealed the importance of putting the most affluent companies, multinationals and individuals under closer control, the Government decides to carry out a drastic break in the economic, customs and tax services of the State. Is it cynicism or inconsequence? We are still asking ourselves the question. In the face of the inseverity of the budget presented and of the accounting game that the Government lends itself, which, by cancelling appropriations in various missions, carries out an unprecedented carry-over of expenses, we will not be able to vote for the appropriations for this mission. In fact, the appropriations have decreased by EUR 120 million. Of course, because of the accounting game I mentioned, the Mission's budget seems to be increasing by about 600,000 euros. But in reality, cancellations of appropriations amount to EUR 18.6 million on the Civil Service programme, EUR 76.5 million on the Fiscal and Financial Management of the State and the Local Public Sector programme and EUR 25 million on the Facilitation and Securer Trade programme. In total, at the mission level, 70 million euros of staff costs are cut. The various administrations have already been bleeded: they have lost more than 22 per cent of their staff, from 187,500 to 145,000 staff at the end of 2015. Public finance services alone lost 35,000 posts in 2016. In 2018, this decline continues, with a decrease of 1600 full-time equivalents. What we will retain from this budget is that the Government does not provide itself with the means to put an end to tax evasion and that it does not commit itself firmly to the pursuit of financial offenders. Mr Minister, when I asked you this question in an enlarged committee, you said that financial officers were not by nature fraudulent and that they should be trusted. Although we are affected by this form of candour, we are surprised that a week later, while the Paradise papers revealed the magnitude of the phenomenon of tax evasion, you were stubborn in dismantling entire services. Despite the statements of intent in recent years, particularly in this House, on these issues, the actions are not up to the stakes. You also explained to us, minister, that public services had to adapt to needs, that these needs did not correspond to financial needs, and that we could, through a reorganization of services, lead to effective administration. In the face of this answer, we struggle to hide our surprise, if not our anger. By nature, a reorganization of services costs a lot of money. Similarly, the establishment of dematerialised processes to combat tax fraud and tax evasion costs a fortune; It obviously requires trained staff, many, able to adapt to the changes you are advocating, moreover, without giving us sufficiently precise details. So you refuse to set up a proactive policy. If you reduce the public service of tax, you only favour the most wealthy taxpayers and the large multinational companies that can afford the advice of tax lawyers and understand the operation of a particularly cryptic and difficult to access tax law. We are amazed, Minister: by refusing to provide these services with additional resources, you indicate that tax justice and equality before taxes are not your priorities. You tell fraudsters and fraudsters that they can, with impunity, continue to escape tax. Thus, the Government agrees not to defend the French State, its public services, its hospitals, its schools, which are asked to make constant efforts when they are literally bleededed because you are refusing to go for the money of the tax offenders. [[Applause on the benches of the FI group]] Minister, this budget is absolutely indicative of the program you are implementing: profiters and profiters everywhere, social and tax justice nowhere. That is why the Group of the European People's Party will vote against this budget.
ParlaMint-FR_2017-11-16-O1058.u37	Mr Jean-Paul Dufrègne has the floor for the Group of the Democratic and Republican Left.
ParlaMint-FR_2017-11-16-O1058.u38	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, whether it is called a "general review of public policies" or a "modernisation of public action", these are the same principles that have been applied to the mission "Management of public finances and human resources" since 2007: a constant deterioration of the working conditions of officers in connection with frequent budget cuts and massive abolitions of posts, either in the DGFIP or in the customs administration. Since 2002, almost 40,000 posts have been abolished at FIPB. Approximately 1200 cash pools have been closed, of which more than 600 have been closed since 2009, moving the taxpayer away from the public service and ignoring the territorial network needed by the population. The logic is the same for customs: in ten years, more than 3000 posts have been abolished and many services have disappeared. By cutting off the appropriations for this mission, the State withdraws from its legitimate missions within the Ministry of Economy and Finance. As the OXFAM report points out, according to the latest calculations made by researchers at the UN University, France is the country of the euro area which loses most because of the tax evasion of large companies. It is thus at least 20 billion euros that escape each year from the French state because of the tax optimisation of large companies, that is more than two thirds of the tax revenue from corporate tax in 2016. Tax evasion and evasion cost the State between 60 and 80 billion euros a year. Legal tools are weak to combat tax evasion by large companies. In a context where more than the majority of trade is now taking place between the subsidiaries of the same company, our tax system no longer seems to be suitable for the current economy. The big companies are then the big winners of this tax pass trick. The same applies to State services, whose training should be strengthened to enable them to deal with those who have the means to afford armadas of lawyers and tax practitioners to escape tax on our territory. The news of Paradise Papers and other similar cases highlight the need to strengthen the State's capacity. Of course, the Government will tell us that, by 2018, there will be a slight increase in the number of staff: 240 posts will be created, 200 of which will prepare for the re-establishment of a customs border with the United Kingdom in the run-up to its withdrawal from the European Union. Of course, but the creations announced are, precisely, linked mainly to Brexit and it is already known that they will be insufficient in the short term, especially since, almost everywhere in the territory, services are already in a chronic understaffing situation. In fact, the abolitions will continue in the services responsible for commercial operations and surveillance throughout the territory, while the stakes are major in combating terrorism, implementing Brexit, verifying goods in a context of globalisation, securing citizens in all territories, including ultra-marine ones, guaranteeing the State's tax revenues, supporting businesses and combating fraud and trafficking. That, Minister, is the inconsistency and contradiction between the good intentions shown by the Government and the budget you present for this mission. They are found in the human resources management of now merged services from the Consolidated Revenue Fund and taxes. How to imagine the strengthening of the dematerialised relations between the user and the public finance services and the implementation of the levy at source, or how to aim to make the State's real estate policy more efficient by continuing to abolish services or by closing, as announced, 800 new cash in the next three years. The State fails even more to fulfil its obligations when it reduces the hours of reception of the public or, as it does for example in the constituency of which I am elected, in Lurcy-Lévis, opens the perception only a few hours a week, with untrained agents who come especially from the central site take their tour of duty, so that the State continues to make us believe that it maintains a local service. The means of this mission "Public finance and human resources management" are not only worrying, they are unfounded in the current context. This government leaves even more of our fellow citizens on the side, and not just the most fragile of them. It undermines the territories and their social cohesion. [[Applause on the benches of the GDR group]] For these reasons, Members of the GDR Group will not vote for this mission.
ParlaMint-FR_2017-11-16-O1058.u39	The next speaker is Mr Eric Poulliat, on behalf of the Group of the European People's Party.
ParlaMint-FR_2017-11-16-O1058.u40	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, the mission "Management of public finances and human resources" is fully part of the multi-year public action transformation project, which aims to reduce public spending while improving the quality of services for the benefit of users. The funds allocated to this mission directly contribute to the success of this approach by providing the State with piloting tools and means of training and innovation in the field of human resources. The amount of appropriations allocated to programme 148, "Public service", amounts to €239.1 million, which is almost stable compared to the 2017 Finance Act. Among the various actions in this programme, I particularly welcome the continuation of the appropriations for apprenticeship in Action 03, which will finally achieve the target of 10,000 apprentices in the public service of the State, set in 2015. I also welcome the €5 million in new funding to implement a real state human resources policy led by the Directorate-General for Administration and the Civil Service, notably through the creation of two funds: the new €1.8 million HR Information Systems Fund, which will allow for the modernisation of human resources management methods, and an inter-ministerial working conditions improvement fund of €1 million. According to the annual public performance project, "these appropriations will be a lever for improving working conditions by providing additional funding to projects identified by local actors in the framework of the management dialogue with staff but whose funding would not be completed". However, we need to be empowered to continue these efforts to modernize human resources management. Thus, staff mobility mechanisms, which are tools of recognition and motivation, are still too little used in the public service. To date, less than 4% of mobility has occurred between the three public offices. This can be "vertical" mobility when employees take on more responsibilities during their career, or "horizontal" mobility when expressed in terms of geographic mobility and job change. For this mobility to take place, staff must be able to train throughout their careers to acquire new skills or adapt to new working environments. However, it must be noted that the rate of access to continuing training for staff in the category A is still more important than that of category B and C agents, whereas the latter are the ones who need it most. The situation is even more complicated for staff in categories B and C employed by smaller structures and communities who do not have sufficient resources to support a true training policy. In order to promote the mobility chosen rather than the mobility suffered, we are now proposing several innovations. The creation of a single digital portal for public employment in France, accessible to all public officials on all three sides, seems to me appropriate, in accordance with the proposal of my colleague rapporteur Émilie Chalas. Many officers are likely to work in the same trades with another public employer as their original public service, but it is often very difficult for them to have a clear view of the vacancies in their own administration, and even more so to be aware of the opportunities offered in other public administrations or other sides of the public service. In this way, Mr. Minister, we could consider studying the conditions for the creation of a platform bringing together all the vacant jobs in the three public functions and, possibly, devoting a share of the fund dedicated to the transformation of the administration, which accompanies the Public Action 2022 process. In the same vein, representatives of the Directors-General of local authorities and some local elected representatives propose the creation of territorial public employment pools, within which territorial training plans would be drawn up, with vacancies in the three public offices being shared at regional level. This would make it possible to optimize inter-functional human resources management. Minister, I know that these are all construction sites that will be opened as part of Public Action 2022. You will not fail to drive them and thus recognize the contribution of public officials to our national wealth and their involvement in it. [[Applause on the benches of the REM group]] Ladies and gentlemen, I call on you to vote in favour of the appropriations for this programme and, more broadly, those for this mission, because they will contribute to the success of this great transformation programme.
ParlaMint-FR_2017-11-16-O1058.u41	We come to a question from the Republic Group on the move. Let me remind you that the time limit for questions and answers is two minutes. Mrs Nicole Dubré-Chirat has the floor.
ParlaMint-FR_2017-11-16-O1058.u42	Minister, my question will be about human resources management, of which we know it is both a problem and an issue: a problem, because public officials very broadly express their dissatisfaction, and an issue, because it is a powerful motivator for these same agents. I therefore welcome the dynamism that the Government wishes to bring to the management of human resources, which has come all the better as it is accompanied by two qualities: the stability of the decision, with a multi-year plan on which you are committed, and a medium-term visibility that allows everyone to see the path that will be followed. That is the whole meaning of the Public Action 2022 process. In this perspective, the mobility of public officials becomes an issue – if not one of the keys – of its success. In general, the issue of mobility and career prospects for public officials, all public functions, is crucial to the success of adapting our country's communities to the challenges of the 21st century. In addition, I would like to highlight the specific training difficulties faced by staff in the least populated and financially resourced communities. How can a training plan be organized, taking into account the obligation of continuity of public service when the community operates with very few agents? Could the territorial pool of public employment not be the beginning of a solution? If so, Minister, do you intend to implement the proposal for a territorial pool of public employment? Could this at least be the subject of an experiment?
ParlaMint-FR_2017-11-16-O1058.u43	The Minister has the floor.
ParlaMint-FR_2017-11-16-O1058.u44	I will probably have the opportunity, during the consideration of the amendments, to respond to the speakers by highlighting the work of each of them, in particular that of the special rapporteurs. Madam Member, you are absolutely right and you are referring to a subject which has already been discussed in committee. We are facing a major training challenge – that is true in general and, in particular, in the public service. It is clear that the Public Service Branch – PSB –, transformed into a state HRD, is only in its infancy, because it must accompany not only training, but also appointments, which is not the case today, where the PSB, which is very focused on careers and statutes, intervenes relatively little in management because, even if its director and agents are trying to do this and there, it is not intrinsically included in its missions. What is certain is that the mobility of agents, which normally allows movements in the territories – whether it is to change employers or pay to obtain a promotion or for personal organization reasons – is not at the public service's rendezvous. Only 4% of public officials, on average, change employers and 0.4% change employers. So there is no – at least we can say – very great mobility, for many reasons. We have removed some obstacles – the Government has made an order allowing the time savings account to be portable between public offices in the event of a change of employer and, above all, at the expense of the employer – but many problems need to be mentioned, including training. I am, by nature, entirely in favour of experiments – it is, as you know, the government's DNA. The answer to your question, Mrs Dubré-Chirat, is therefore "yes" and I have also heard the arguments of the Special Rapporteur. This formation may also have to be accompanied by the renewal of those who form. The National Centre of the Territorial Civil Service – CNFPT – does important work in the territorial civil service, but it must also modernize and accompany the law on the new territorial organization of the Republic – NOTRE – and the merger of local authorities, and perhaps also make room for other types of training. This vocational training is not only intended to enable staff to train and move from one job to another; It must also focus on digitizing and changing public service habits. This is a vast project, which we will have the opportunity to set up for the next five years.
ParlaMint-FR_2017-11-16-O1058.u45	We're done with the questions.
ParlaMint-FR_2017-11-16-O1058.u46	I call the appropriations of the Mission "Public Finance and Human Resources Management", listed in Statement B. I have before me two amendments, Nos 1335 and 1336, which can be presented together. Mr Olivier Dussopt has the floor to support them.
ParlaMint-FR_2017-11-16-O1058.u47	Amendments Nos 1335 and 1336 pursue the same objective. I recalled earlier that the department's services were going to lose 1,648 full-time equivalents. Amendment No 1335 therefore seeks to add EUR 11 million to Title 2 of Action 01, "Business taxation", and Amendment No 1336 to add EUR 10 million to Title 2 of Action 03, "Personal taxation and local direct taxation", in order to preserve these posts and guarantee the resources of the Ministry's departments to better combat tax fraud and optimisation. I would remind you that these, as we have seen in recent news, result in almost EUR 30 billion in loss of profits for our country. In this way, we want to allow the minister to re-establish the numbers that should be cut in his services.
ParlaMint-FR_2017-11-16-O1058.u48	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u49	As the committee has not considered these amendments, I will speak in my personal capacity. I obviously share your wish, Mr President, to devote resources to the fight against tax fraud and aggressive tax optimisation. On the other hand, I do not agree with the amendment of the appropriations which is the subject of these amendments, which I am opposed to for several reasons. The first reason is that the Government makes the fight against tax fraud and aggressive optimisation a priority, contrary to what you say, since the number of people responsible for combating tax fraud in large companies is increasing. The 2012 ceiling jobs were below current levels, as they were 1217 posts and the 2018 budget proposal aims to increase these numbers from 1312 to 1320. The second reason is that you are proposing to increase the appropriations for Action 01 by 11 million "Taxation of large companies", but you are removing them from the 218 programme "Management and control of economic and financial policies". The latter is also used to combat tax fraud by financing services such as Tracfin. To use a classical expression in this House, you undress Peter to dress Paul by transferring credits that are already useful to the struggle you call your vows. Third reason, a little deeper and macro-economic – I'm sure you'll share it – is that France alone can't fight fraud effectively, let alone tax optimisation. Work at least bilaterally with other countries, and even multilaterally, must be undertaken, starting with European countries. So, personally, I am against these amendments.
ParlaMint-FR_2017-11-16-O1058.u50	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u51	Unfavorable opinion; That will not surprise Mr. Dussopt. I would like to take this opportunity to respond to his inquiry, since the Rules of Procedure of this House prevent us from responding to the speakers – I will not reopen this morning's debate, but it is a bit surprising in the context of Parliament's power of control over the Government. Mr President, like Mrs Obono and others before you, you are referring to the inconsistency between the abolition of public employment and the priority given to fiscal control. First of all, the DGFIP is a very large administration: it is not just fiscal control. We have indicated in committee that the means for tax control will of course be maintained and that those of the STDR – the processing service for amending declarations – after its closure on 31 December, will be redeployed for this control. In addition, your amendment should not result in an increase in staff who would control Mr. X or Mrs. Michu, but who, for lack of technical and international means, would not control the characterized fraudsters – those whom you rightly aim for – who do things that are totally contrary to the law and leave our country to escape tax. It is the tax intelligence, the use of data, the information technology, the international conventions you have rightly signed by the previous government, which you have supported, that will allow us to work better and more in this area, and not simply to increase the number of agents in these services. As for the compensation for the increase in CSG for the public service officers you asked me about during your intervention, the decrees will be submitted to the National Standards Assessment Council on November 30 and will then be published. A perfect compensation will be provided on January 1st for all public servants.
ParlaMint-FR_2017-11-16-O1058.u52	Mr Olivier Dussopt has the floor.
ParlaMint-FR_2017-11-16-O1058.u53	Thank you, Minister, for your answer. As far as the nature of those who could have been controlled by these additional posts was concerned, I was actually counting on the instructions you will give to the services. Mr Special Rapporteur, you are well aware of this, but I would remind you that the organisation of our debates obliges us to remain within the framework of the mission: we must therefore find a budget line in order to be able to make a proposal and thus call on the Government to re-establish a certain number of appropriations. As for your third argument, of course, France alone cannot do everything, but we must do everything possible to equip ourselves with the means necessary to combat tax fraud.
ParlaMint-FR_2017-11-16-O1058.u54	I have before me a number of amendments to the supplementary article after Rule 55. I call Mrs Cendra Motin, Special Rapporteur, to support Amendment No. 662.
ParlaMint-FR_2017-11-16-O1058.u55	With this request for a report, I will please both my friends in La France insoumise and those of the Republicans. I request that the Government provide Parliament, within six months, with a report to assess the cost of amending the residency allowance for civil servants. This somewhat dated device is based on a zoning that no longer necessarily corresponds to the tense or relaxed areas we know. However, the map of these tense and relaxed areas should be recast within the framework of the housing law that we will be studying. So I'd like to know if updating the residency allowance on the basis of this new card could be relevant, what cost it could have and what savings it could generate – why not? – in order to have information closer to reality. Another point which I think is important is that this allowance should be granted on the basis not of the place of work, but rather of the place of residence of the staff. In fact, it is logically supposed to solve the problems of the difference in the cost of living that agents can encounter to stay in, especially in the Paris region. It would seem fairer to me that Mr Darmanin's secretary, who does not live in Lille, could have an allowance corresponding to his place of residence.
ParlaMint-FR_2017-11-16-O1058.u56	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u57	First of all, I encourage the president and all public officials to visit Tourcoing: you will see that life is extremely friendly, even if it is a bit difficult to get to Paris by means of transport – except to consider that growth will solve this problem. You are referring to an extremely important issue, Madam Special Rapporteur. The previous government and successive majorities have made up for the cost of living, particularly in Savoie and Île-de-France. This is also the interest of the President of the Republic's project, as described in his open letter to public officials on 12 April. The aim was to consider that there should be no widespread increase in remuneration, with increases to be based on both merit and cost of living. This is an extremely important point. You are asking for a report, Madam Special Rapporteur: I cannot deny it, but inter-ministerial work could be done within the framework of the Public Action Committee 2022. If you agreed to withdraw your amendment – failing which the Government would issue a wisdom opinion – we could indeed envisage that this work be carried out not only by the Ministry of Public Action and Public Accounts, but by the whole of the ministries for all sides of the public service. This very important point will have to be put into practice next year, in the budget which we will not fail to negotiate together.
ParlaMint-FR_2017-11-16-O1058.u58	Madam Special Rapporteur, do you withdraw the amendment?
ParlaMint-FR_2017-11-16-O1058.u59	I withdraw it to allow a broader study, involving more actors, in order to better meet the needs of the agents.
ParlaMint-FR_2017-11-16-O1058.u60	What a shame!
ParlaMint-FR_2017-11-16-O1058.u61	I have before me an amendment No 664 which is the subject of two sub-amendments, Nos 1881 and 1882. Mr Laurent Saint-Martin, Special Rapporteur, has the floor to support Amendment No. 664.
ParlaMint-FR_2017-11-16-O1058.u62	Mrs Obono, perhaps I will give you a second chance, hoping that we ourselves will not suffer from "acute reporting"!
ParlaMint-FR_2017-11-16-O1058.u63	Yes! It's done!
ParlaMint-FR_2017-11-16-O1058.u64	No, two reports, it's still going on, Mrs. Dalloz!
ParlaMint-FR_2017-11-16-O1058.u65	It's contagious!
ParlaMint-FR_2017-11-16-O1058.u66	This is an extremely important subject, which follows on from what had been adopted in committee, subject to a sub-amendment. France had rightly proposed that the Government should submit to Parliament a report on the resources and staffing of customs, following developments in the Schengen area. I then proposed to extend this problem to Brexit. In fact, in my report, I indicated that customs personnel were being strengthened in terms of the full-time equivalent, which was working, by the need to prepare not only for Brexit, but also for all other related customs clearance, control and taxation issues. This request for a report relates to the Schengen area and to Brexit, Minister.
ParlaMint-FR_2017-11-16-O1058.u67	The Minister has the floor to support sub-amendments Nos. 1881 and 1882 and to give the Government's opinion on Amendment No. 664.
ParlaMint-FR_2017-11-16-O1058.u68	The Government supports the amendment subject to the adoption of both sub-amendments. Indeed, the question of Brexit is not just a customs question; It concerns all administrations.
ParlaMint-FR_2017-11-16-O1058.u69	What is the committee's opinion on these two sub-amendments?
ParlaMint-FR_2017-11-16-O1058.u70	Favourable.
ParlaMint-FR_2017-11-16-O1058.u71	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2017-11-16-O1058.u72	Finally, a report initiated by La France insoumée is likely to be voted in this Chamber! It's even the second, if I count well. It is a good thing: I hope that this augurs well for the following reports. If I agree with the amendment proposed by Subamendment No 1881, I do not see the point of deleting paragraph 3 of the amendment, as you are proposing, Minister, in Subamendment No 1882. This paragraph seems appropriate to me inasmuch as it provides that the report shall assess the adequacy of the human and financial resources available to customs officers in order to be able to carry out their tasks in good conditions. If we want a full report, not a half report, I propose that we retain the original version of this report, plus the rapporteur's proposal.
ParlaMint-FR_2017-11-16-O1058.u73	Mrs Danièle Obono has the floor to support Amendment No. 714.
ParlaMint-FR_2017-11-16-O1058.u74	We withdraw this amendment because, despite the adoption of Subamendment No 1882, which we do not think is necessary, we are pleased that our proposal has been taken up and that the submission of this information report has been accepted.
ParlaMint-FR_2017-11-16-O1058.u75	Mrs Danièle Obono has the floor to support Amendment No. 710.
ParlaMint-FR_2017-11-16-O1058.u76	Equality before the tax law is now called into question, whether by multinational companies such as Google, Amazon or Apple, which avoid paying their taxes in France by legal and accounting concessions or by large taxpayers who use the armies of tax lawyers to get the entire sections of their wealth out of their valuable assets. It is not only bags of tickets but almost entire territories that are now exempt from tax. How can one reasonably argue that there is equality before the law when M. and Mme. Tout-le-monde read daily in newspapers, see on television that the ultra-rich twist the right to pass gold or platinum ingots for contemporary works of art? The information report that we are asking for will allow us to take stock of a working hypothesis: if everyone actually paid the taxes that he had to pay without twisting the law, what would be the gain for public finances? Another expected effect of genuine equality between citizens: tax would become legitimate again and conduct contrary to republican virtue would disappear. That is the meaning of our amendment and we hope, therefore, that you will vote on it.
ParlaMint-FR_2017-11-16-O1058.u77	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u78	As I said earlier in response to Olivier Dussopt, of course we share your concerns and are just as aware as you of the seriousness of tax evasion and aggressive optimisation. That said, it is certainly not a report that will solve anything about it or learn something from FIPB or national representation. The causes of the situation are now, in the vast majority, well known. Moreover, DGFIP is doing a remarkable job in this area and, as I said to Mr Dussopt, although France can make progress in this area, the problem must be tackled at global level and, to begin with, at European level. The committee is therefore opposed to this request for a report which would not solve much.
ParlaMint-FR_2017-11-16-O1058.u79	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u80	What you are asking for already exists, Member: you will find in Volume I of the Ways and Means Assessment, attached each year to the Finance Bill, the difference between net tax revenues and amounts of refunds and rebates. It can be called a "report" if you wish, but it already exists.
ParlaMint-FR_2017-11-16-O1058.u81	Is the issue of inequality between territories also addressed?
ParlaMint-FR_2017-11-16-O1058.u82	I therefore believe that your amendment should be withdrawn or the opinion will be unfavourable.
ParlaMint-FR_2017-11-16-O1058.u83	Mrs Danièle Obono has the floor.
ParlaMint-FR_2017-11-16-O1058.u84	We know the documents to which you refer, Minister – we have done our work very conscientiously before proposing the drafting of these reports – but we do not believe that the precise data we are looking for are now included in the literature on the subject. The few requests for information reports that have been accepted by this House have clearly shown that the problem is not the number of new reports but the axis according to which they are considered. You mentioned the European level. The fight against tax evasion and optimisation must indeed be carried out also at European level, but you have rejected the proposals we made this morning in this direction. So the problem is not that we are limited to the national level: I confirm that our vision is global. Of course, reports are not acts, but declarations of intent are not. The reports we are requesting would enable the Government to demonstrate an effective will and no longer be content with the speeches and declarations of intent that we have been served for years, with this result: Paradise Papers.
ParlaMint-FR_2017-11-16-O1058.u85	All right!
ParlaMint-FR_2017-11-16-O1058.u86	Mrs Mathilde Panot has the floor to support Amendment No. 711.
ParlaMint-FR_2017-11-16-O1058.u87	Mr Minister, Mr Special Rapporteur, you keep saying that the solution to this problem is at European or even international level. It seems to me, however, that France must first be exemplary in this area. Through this amendment, I raise the question of the human but also the technological means of administration. For years, many scandals of tax evasion and fraud have been headlines: there have been the Luxleaks – I recall that in this case, only the whistleblowers have been convicted – the Panama Papers and the SwissLeaks. According to Le Monde diplomatique, of the approximately 50000 checks carried out by the tax authorities each year, 16000 are subject to financial penalties; 4000 are concluded by a transfer to the departmental level and only 1000 to the central administration. According to Oxfam, three-quarters of these 1,000 prosecutions against tax fraudsters result in a suspended sentence and barely 150 in prison. The account isn't there at all. [[Applause on the benches of the FI group]] It seems extremely important to us to know what the flaws of our legal system are, what are our technological delays, especially since there is a fairly substantial loss of human resources, since since 2002 the number of staff has fallen by 22 per cent.
ParlaMint-FR_2017-11-16-O1058.u88	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u89	If we share many of your findings, we absolutely do not agree on the means to be implemented.
ParlaMint-FR_2017-11-16-O1058.u90	It's very simple: we need sanctions!
ParlaMint-FR_2017-11-16-O1058.u91	What would a report bring?
ParlaMint-FR_2017-11-16-O1058.u92	That would give you arguments!
ParlaMint-FR_2017-11-16-O1058.u93	Everything you have said, we know – and more importantly DGFIP. What you are asking for is completely irrelevant to what the administration needs to effectively combat fraud and aggressive tax optimization. The opinion is therefore unfavourable, for exactly the same reasons as I have just explained to Mrs Obono. You will read in my special report that the exchange of information between administrations, departments and taxpayers is a priority to improve the effectiveness of the fight against fraud.
ParlaMint-FR_2017-11-16-O1058.u94	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u95	Unfavorable.
ParlaMint-FR_2017-11-16-O1058.u96	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2017-11-16-O1058.u97	What we are asking for is not just a report, Mr Special Rapporteur: we want actions to follow. [[Applause on the benches of the FI group]] When tax unionists say that they lack the means to do their job properly, it must be heard and solutions must be found. Can you give me a document that specifically explains what, in the tax legislation, allows for tax evasion and fraud. What is interesting in Paradise papers is that almost all the practices revealed there are legal. At one point, then, we still have to ask ourselves about our legislation.
ParlaMint-FR_2017-11-16-O1058.u98	Mr Michel Castellani has the floor.
ParlaMint-FR_2017-11-16-O1058.u99	Of the amount of tax evasion in France, there are extremely different figures, ranging from 20 billion to 120 billion. I understand that any quantification in this area is difficult, but it says a lot about the opacity that prevails. We welcome the measures taken by the Government, not to mention the Ecofin Council and the Organisation for Economic Co-operation and Development – the OECD – but it is difficult to distinguish what is involved in fraud from what is legal. The so-called "tax avoidance" may be morally reprehensible, but legal in that some feel that the tax is excessive or even abusive. If there are legal acts but one can judge immoral, it is because the law does not set precise limits as it should. There is certainly work to be done in this regard, both at the national and international levels.
ParlaMint-FR_2017-11-16-O1058.u100	I call Mr Corbière to support Amendment No. 712.
ParlaMint-FR_2017-11-16-O1058.u101	We should not reduce our demands for a return to vain folklore. It is true that, under the Fifth Republic, the role of opposition deputies is sometimes reduced to little. You reject all our amendments, all our proposals.
ParlaMint-FR_2017-11-16-O1058.u102	We have just adopted a request for a report!
ParlaMint-FR_2017-11-16-O1058.u103	We have to win the election!
ParlaMint-FR_2017-11-16-O1058.u104	Yes, it is. Sometimes you've lost some. Even better: you did not even run for election, you simply followed the winning candidate after supporting another candidate. That's funny methods! Apparently, you don't remember who you supported in the presidential election anymore. Well, we remember that.
ParlaMint-FR_2017-11-16-O1058.u105	At least I live at home!
ParlaMint-FR_2017-11-16-O1058.u106	Let me speak, Minister.
ParlaMint-FR_2017-11-16-O1058.u107	You're calling me!
ParlaMint-FR_2017-11-16-O1058.u108	Return to your amendment, Mr Corbière!
ParlaMint-FR_2017-11-16-O1058.u109	You are wisdom, Madam President. If we ask for these reports, it is that the Government has the means to provide answers to the questions that concern us, including the competitiveness and employment tax credit, which is something important. We have found that since 2002 Bercy's services have lost almost 22% of their staff, public finance services have been amputated by 35,000 posts since 2016, which means fewer agents to verify the conditions of application of the CICE and to uncover possible frauds. [[Applause on the benches of the FI group]] On matters as important as the CICE, it would seem appropriate to have a report which will enable us to assess whether the law is respected or, on the contrary, any negligence caused by the lack of resources suffered by the State services.
ParlaMint-FR_2017-11-16-O1058.u110	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u111	Mr Corbière, you have the merit of being consistent, if not somewhat redundant, since you have already defended this amendment in the context of the review of the "Economy" mission. He then received an unfavorable opinion. I have no doubt that you will defend him again in the examination of unattached items.
ParlaMint-FR_2017-11-16-O1058.u112	Exactly! Pedagogy is repetition!
ParlaMint-FR_2017-11-16-O1058.u113	At the risk of repeating what was said this morning, France Strategy is already publishing such a report. In addition, the CICE will be removed and replaced by a reduction in long-term and direct costs, which companies need to regain margins.
ParlaMint-FR_2017-11-16-O1058.u114	I call Mr Bernalicis to support Amendment No. 713.
ParlaMint-FR_2017-11-16-O1058.u115	Here we ask you for an information report on the effectiveness of the control carried out by the tax administration, assessing in particular the ratio between the controls carried out and the mass of taxpayers to be checked. It is about how many times you are controlled in your life, whether you are a company or an individual, and how many businesses have been controlled. These elements seem important to us to work on an assumption that these controls will be strengthened and that more tax revenues will be projected and that the law will be enforced, since that is what this is all about.
ParlaMint-FR_2017-11-16-O1058.u116	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u117	Unfavorable. One of the principles that our majority has tried to implement is the right to error, to move from the administration of punishment to the administration of trust. We hope that this can partly meet your expectations. On the other hand, a report will bring nothing. You will find on the DGFIP website, which is very well done, all the statistical data you need.
ParlaMint-FR_2017-11-16-O1058.u118	Obviously, there are still things that don't work!
ParlaMint-FR_2017-11-16-O1058.u119	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u120	Unfavorable.
ParlaMint-FR_2017-11-16-O1058.u121	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2017-11-16-O1058.u122	I heard what you said about second chance and right to error. The central question is how to enforce the law and not how to get a second chance. We may be wrong, and there is a great deal of consultation, but we still have to get to grips with the law: it is the only subject that is worth it. You have refused a number of requests for reports, but I will come back through another door. In the spring of 2018, the Evaluation and Monitoring Commission will conduct an information mission on the state's means of combating tax fraud and tax evasion. On this occasion, I will ask for this information again. We proposed that you work upstream. If you can start right now, without even approving this amendment, it will save us all time.
