ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u156	[["Good start! » on the benches of the LR group]] Minister of National Education, three days ago, we were on 9 December, it was the anniversary date of the 1905 law and the day of secularism. In the foundation of our Republic's values, secularism protects. It protects each and every one of us in his or her beliefs. Secularism is neither an opinion nor a religion, but the freedom to have it or not. It allows everyone the practice of worship, or not, if public order is respected, if it is not sought to impose it on others, if the freedom of others is respected. Secularity, in the end, is the culture of mutual respect. However, it is also in school that this respect and living together are built. It is at school that this knowledge is built that ignores the fear of the other and the aggression it sometimes involves. At school we all live together, and we build ourselves there. It is up to us, adults, to build the citizens of tomorrow today. Teacher and school principal, I am very touched by secularism. Five-year-olds, on December 9, 2016, told me quite simply: "Secularity is a bit like Santa Claus, you can believe it or not. We do what we want at home, but not at school. Children understand everything, sometimes better than us! I believe in pedagogy, I believe in words that say and explain. "I continue to believe that in the beginning was the Logos, the power of the Word." This sentence is by Isaac Bashevis Singer, Nobel Prize laureate of literature in 1978. [[Applause on the benches of the REM group]] Minister, can you present to the national representation the actions that the Government intends to put in place so that this value of tolerance and respect that is secularism is not just a day in the year? What can be done to ensure that secularism is better taught and better understood in our schools, colleges, high schools and celebrated at its noble height?
ParlaMint-FR_2017-12-12-O1094.u157	The Minister for National Education has the floor.
ParlaMint-FR_2017-12-12-O1094.u158	Madam Member, you have recalled the main principles of secularism. Indeed, they were current on the 9th of December, the anniversary of the 1905 law. This Saturday, December 9, I was in a high school, where I saw a class enjoying an excellent course on secularism. I was able to measure the extent to which the great principles of the 1905 law went very well with these students – those of a great high school in Val-de-Marne – and to what extent, when secularism is explained in a sober, serene and effective manner, it is something that, as you said, goes without saying, because it is the support of the social contract. France can therefore be proud of its secularism. She can be proud of this principle, which is not outdated or defensive, which is not offensive, but which allows everyone to live together. As we all know, secularism has limitations and difficulties in some places. This is the case in some schools and schools. To face these realities and face them, we have decided to take several steps. The first of these is obviously to be logical with what we have decided for primary school. When we say, "read, write, count, respect others," this "respect others" contains the spirit of secularism. Second, there comes the creation of a council of the wise men of secularism. Within national education, it will be the council that will reflect on secularism and, above all, its practical applications in all cases of the daily life of our institutions. I have asked an eminent person, Dominique Schnapper, a former member of the Constitutional Council, to chair him. She accepted, which I am very happy about. In the coming days, I will indicate the full composition of this council. [[Applause on the benches of the REM and MODEM groups, as well as on a few benches of the UAI group]] Finally, in all the rectorates there will be secular units, which will intervene in the establishments, whenever they will need advice and accompaniment to ensure respect for secularism.
ParlaMint-FR_2017-12-12-O1094.u159	All right!
ParlaMint-FR_2017-12-12-O1094.u160	Mr Julien Aubert, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-12-12-O1094.u161	[["Ah! » on some benches of the REM group]] [[Same movements]] Prime Minister, I would like to talk to you about the public service, and more precisely about the crisis that has plagued France Télévisions for several weeks now. As you know – I see that my colleagues are sensitive to public service, I am pleased to hear – a motion of distrust is now being passed with regard to the management of France Télévisions, a motion put forward by more than 700 journalists in the group. The reason is simple: you have decided on a savings plan of about 50 million euros. The management of France Télévisions has therefore set it up, but – astonishment! – we realized that these savings would mainly focus on investigative journalism.
ParlaMint-FR_2017-12-12-O1094.u162	That's right!
ParlaMint-FR_2017-12-12-O1094.u163	Originally, the management of France Télévisions proposed 80 per cent deletion of full-time equivalents in formats such as Supplement d'investigation or Envoye spéciale. Since then, there has been a decline, but journalists have struggled to understand why, while France Télévisions is being asked to save 2% of the workforce, we remain out of 15% to 25% of the abolition in these investigative formats, knowing that these measures will concern the CSDs, which obviously poses a problem of corporate social policy. According to rumours – but you will answer us –, Evening 3, extremely important for the quality of information, is also threatened. This contrasts with the Court of Auditors' reports, which explain that there are 149 editors and deputy editors in the group. [[Applause on the benches of the LR group]] Prime Minister, what is your place in investigative journalism? What did the President of the Republic mean when he spoke of "the shame of the Republic" about public broadcasting? I mean, what will you do if, tonight, Mrs. Ernotte is disavowed?
ParlaMint-FR_2017-12-12-O1094.u164	The Secretary of State responsible for relations with Parliament has the floor.
ParlaMint-FR_2017-12-12-O1094.u165	The Republic on the move speaks to the Republic on the move!
ParlaMint-FR_2017-12-12-O1094.u166	Mr President, allow me to apologise to Françoise Nyssen, who is currently before the Economic, Social and Environmental Council, and who therefore cannot answer you. What are we talking about? From the public service of the audiovisual sector, France Télévisions and a request for budget savings of €50 million from a budget of more than €3.5 billion. Yes, it was on a budget of the audiovisual sector and France Télévisions that the Ministry of Culture was able to ask for this budget effort of 50 million. [[Applause on several benches in the REM group]] As a result, you learn that the Government should become involved in the management and even the programming of the public audiovisual service. What wouldn't you say if that were the case and we had?
ParlaMint-FR_2017-12-12-O1094.u167	You're still doing it!
ParlaMint-FR_2017-12-12-O1094.u168	It is essential for us to recall the broad objectives of public service.
ParlaMint-FR_2017-12-12-O1094.u169	Protecting power?
ParlaMint-FR_2017-12-12-O1094.u170	First, give to understand the world. Next, create a link and represent French society in its diversity. Bringing French culture and creation to light, addressing everyone, especially young people, who are turning away massively from television. Finally, realize the digital transformation here and now. This is the specifications, this contract which binds the State, the Government with the public service of audiovisual and with France Télévisions. It is this only subject that must mobilize us. It is not a question of trying to interfere with any decision taken by the Presidency of the public audiovisual industry, but of ensuring that we can achieve these objectives. In the Republic, we must know precisely how to respect the rules and not seek to replace ourselves, to interfere and to manage on behalf of others, because you would be the first to denounce it. What matters today is that the objectives I have just mentioned are not being met.
ParlaMint-FR_2017-12-12-O1094.u171	You're ashamed!
ParlaMint-FR_2017-12-12-O1094.u172	[[Applause on the benches of the REM group]] They do not correspond to the legitimate expectations of national representation. That is why the Minister is currently receiving all the players in the audiovisual sector and will be making proposals at the beginning of the year to transform our public audiovisual sector in depth so that it can achieve these objectives.
ParlaMint-FR_2017-12-12-O1094.u173	We have completed the questions to the Government.
ParlaMint-FR_2017-12-12-O1094.u174	The meeting was suspended.
ParlaMint-FR_2017-12-12-O1094.u175	The meeting was resumed.
ParlaMint-FR_2017-12-12-O1094.u176	The next item is the explanations of vote on behalf of the groups and the vote by public vote on the entire 2017 amending finance bill (No. 384, 432).
ParlaMint-FR_2017-12-12-O1094.u177	In explanation of vote, the floor is for Mr Jean-Paul Mattei, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-12-12-O1094.u178	Mr President, the Minister for Action and Public Accounts, ladies and gentlemen, this latest budget text for 2017 contains many technical provisions and is an indispensable complement to the finance bill – PLF – and to the Social Security Financing Bill – PLFSS – for 2018. It provides for four types of measures. First of all, it reinforces the tools for combating fraud: in a period marked by Paradise Papers and the publication of a black list of tax havens at European level, it is essential to strengthen our right, in particular by means of anti-abuse clauses. However, given the amounts involved and the fraud schemes implemented, it is a response at least European, if not global, level that needs to be put in place. The text before us also brings our law into line with court decisions. As we were reminded by the first amending finance bill – PLFR – for 2017, replacing the 3% dividend tax with two corporate tax surtaxes – IS –, compliance with our tax law is a matter of justice and public finances. In addition, this text creates, clarifies or renews several devices. Our group therefore welcomes the extension of the tax incentive for forest investment – or DEFI-forest – and the adoption of our amendment to encourage the consolidation of small structures. We recall here our commitment to the implementation of a real ambitious policy for our forests and forests during the parliamentary term. I also welcome the constructive attitude of the Government, which, in a consolidated amendment, proposed to resume a coherent provision to support the effort to create housing through the extension of the mechanism to encourage housing elevations, particularly in the tense area, until 2020. Finally, the text simplifies administrative action, in line with the forthcoming consideration of the draft law for a State in the service of a trust society, and consolidates ongoing reforms, such as the levy at source. [[Exclaims on the benches of the LR group]] The majority of our group supports the implementation of the latter measure, which is in line with the simplification and economic coherence between the collection of income and the payment of taxes. While most of us support the source levy, some of our members have, however, been able to question it, mainly because of the specific features of income tax, which make this type of levy counterproductive. However, the whole of our group wishes to emphasize the method used by the Government, which, in the face of the fears expressed by many actors, took the necessary time by delaying the one-year reform, in order to conduct an audit that would have allowed for several adaptations. While the method used for source sampling is to be welcomed, our group deeply regrets, however, the method used for this second PLFR. Indeed, while the deadlines for the review of budget texts are already constrained, the inclusion by the Government of more than 30 amendments creating additional articles in a bill that initially had only 36 articles is not sufficient to enable our assembly to carry out serious work. Such complex arrangements, whose effects amount to tens – or even hundreds – of millions of euros, should not be presented in this way: they should be examined by the Council of State, assessed beforehand and examined in committee. We are well aware that it is a tradition of this house to add many amendments to these sweeping texts, namely the end-of-year budget collectives. However, we believe it is necessary to put an end to this practice, because it is not a serious method of work for our Parliament. A working group of the Committee on Finance is currently working on reforming the examination of budget texts in our House. In order for this reform to be effective, it must be followed by comparable developments in government methods.
ParlaMint-FR_2017-12-12-O1094.u179	All right!
ParlaMint-FR_2017-12-12-O1094.u180	Our group proposes, in agreement with several other groups, to monitor and control the budget throughout the year. We also want Parliament to be able to carry out a further examination of the stability programme transmitted to the European Commission every spring. This budget document, which commits us at European level, is a balanced step forward: it must be sent about six months after the examination of the last initial finance bill and almost six months before the examination of the next initial finance bill. We are at the disposal of the Chairman of the Finance Committee and the Government to make proposals on this issue. [[Applause on the benches of the MODEM and REM groups]] In any event, and notwithstanding these various remarks, the MODEM Group will of course support this second amending finance bill for 2017.
ParlaMint-FR_2017-12-12-O1094.u181	The next speaker is Mr Charles de Courson, for the IDU Group, Action and Independents.
ParlaMint-FR_2017-12-12-O1094.u182	Mr President, Mr Minister, ladies and gentlemen, during the general discussion on this second amending finance bill for 2017, the IUD Group, Action and Independents had adopted a rather kind attitude of expectation towards the Government. After consideration of this text, however, we have chosen a position of abstention. There are two main reasons for this choice: one of form and the other of substance. On the form, minister, we can't go on like this! Certain methods may be justified by their exceptional nature and accepted by all; But when they are renewed without interruption, this reflects a disregard for Parliament's rights and hinders its proper functioning. Consider two amending finance bills for 2017 so closely – only 24 hours between the end of the review of the first and the beginning of the review of the second in committee! – is not sustainable, nor is it respectful of Parliament's rights. More seriously, the Government has tabled nearly forty amendments for consideration at the meeting and even during consideration at the meeting,...
ParlaMint-FR_2017-12-12-O1094.u183	It's shameful!
ParlaMint-FR_2017-12-12-O1094.u184	...some of the purpose of inserting additional clauses into the bill is that we do not have a prior assessment of the proposed arrangements and have not considered them in committee: it is not in this way that we can carry out serious and thorough work. This situation led a Secretary of State, Ms Delphine Gény-Stephann, who had just arrived on the bench of the Government, to withdraw the Government's amendment No. 562, known as the "CIGEO amendment", which could not answer precisely the questions asked by all the groups in the representation about the evaluation of this mechanism. This second example shows that you did not learn from the mistakes of your predecessors – notably the 3% dividend tax. This type of method is part of the "old world", to which the Government is flattered not to belong. Yet, so far, your actions are not consistent with your speech. In substance, this text is a patchwork – this is often the case with amending finance laws. It has good things, less good things, and bad things! Regarding the sincerity of the budget, I recognize that you are taking into account the €3 billion under-budgeting – inherited from your predecessors – of the recapitalisation of Areva. However, you are not going to the end of the process of sincerity. Two examples show this. First, the cost of the OPEX – external operations of the armies – for 2017 will reach €1.5 billion, according to the government's statements in session, which represents an additional cost of almost €850 million compared to the initial finance law for 2017. For 2018, you will improve the appropriations for these OPEXs by €200 million; But if we refer to the final cost of the OPEXs for 2017, there will always be a sub-budgeting of between 700 and 800 million euros – which, moreover, you do not dispute. Secondly, you know our group's position on the appropriations provided to offset the cancellation of the 3% dividend tax: you have only entered in the budget €5 billion in repayments, while at the end of October 2017 claims already reached €7.2 billion. I would warn you, Minister, about the position not only of the National Institute of Statistics and Economic Studies, but also of Eurostat, which could link the final cost of this cancellation, i.e. almost EUR 11 billion, to the 2017 financial year. I would also like to refer, on behalf of the UAI Group, to the first judicial convention in the public interest – of which we have come to know thanks to an amendment by the Government – passed under the Act of 9 December 2016 on transparency, the fight against corruption and the modernisation of economic life known as the Sapin 2 law. This agreement was concluded with a subsidiary of HSBC Bank for organizing the tax evasion of its customers to the tune of approximately €1.6 billion. This subsidiary will pay only EUR 300 million in fines and will not be prosecuted for criminal offences, while its customers are likely to be! [[Smile]] I know, minister, that you have nothing to do with it, since it's not a bamboo shot, it's a Sapin shot.
ParlaMint-FR_2017-12-12-O1094.u185	That's right!
ParlaMint-FR_2017-12-12-O1094.u186	Bravo!
ParlaMint-FR_2017-12-12-O1094.u187	This must lead us to think: should we maintain the formula of the judicial convention in the public interest, which thus leads to a real ethical scandal?
ParlaMint-FR_2017-12-12-O1094.u188	You're asking too many questions, Mr. de Courson!
ParlaMint-FR_2017-12-12-O1094.u189	On the other hand, our group is not hostile to the collection at source, but we believe that it should continue to be developed on certain technical points. In addition, we understand that the Government wishes to support, through the tax provisions on the urban basins to be revitalized, a very difficult coal basin.
ParlaMint-FR_2017-12-12-O1094.u190	He forgets Lorraine!
ParlaMint-FR_2017-12-12-O1094.u191	But we recall that it is the sixth such arrangement that covers part of the national territory. We therefore appeal once again to the Government for a comprehensive policy of land-use planning, not a fragmented policy,...
ParlaMint-FR_2017-12-12-O1094.u192	It's not a small song: 1 million people!
ParlaMint-FR_2017-12-12-O1094.u193	... that's like applying plasters on a wooden leg! I repeat: we need a real overall policy, not territorial DIY, as your predecessors have done.
ParlaMint-FR_2017-12-12-O1094.u194	Thank you for closing, Mr. de Courson.
ParlaMint-FR_2017-12-12-O1094.u195	We were surprised by the lack of consistency in your environmental policy. Sections 21 and 22 of the bill, in particular, create tiny taxes; One of them, which deals with geothermal research, will only earn 40000 euros. And there was a majority to vote for it: it's wonderful! Finally, ladies and gentlemen, we are ridiculing ourselves by voting for a tax of such a low yield.
ParlaMint-FR_2017-12-12-O1094.u196	That's right!
ParlaMint-FR_2017-12-12-O1094.u197	[[Applause on the benches of the UAI group]] For all these reasons, the IDU, Action and Independent Group will abstain. It is a forbearance from waiting and appeal, in particular to review working methods and to redouble our efforts with regard to budgetary savings. Otherwise, the recovery of public finances will not be achieved!
ParlaMint-FR_2017-12-12-O1094.u198	I invite you, ladies and gentlemen, to respect the time limit of five minutes per group. Mrs Valérie Rabault has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u199	Mr President, Mr Minister, Mr Chairman of the Committee on Finance, ladies and gentlemen, we are now voting on the second amending finance bill for 2017 – I should rather talk about the second amending finance bills in the plural, because you have declined the concept of the Avignon theatre festival: there is the "in" amending finance bill and the "off" amending finance bill!
ParlaMint-FR_2017-12-12-O1094.u200	Knowing that the "off" is often more interesting than the "in"!
ParlaMint-FR_2017-12-12-O1094.u201	The draft "in", these are the thirty-seven articles originally contained in the text, and the "off", these are the forty-two governmental amendments presented in catini at the sitting, including thirty-one additional articles.
ParlaMint-FR_2017-12-12-O1094.u202	That's right!
ParlaMint-FR_2017-12-12-O1094.u203	Because of the reluctance of your majority, three of these amendments were withdrawn by the Government: if they had been put to the vote, they might very well not have been adopted. I come to two points on the substance. Firstly, regarding the budgetary balance for 2017, as the rapporteur-general points out on page 56 of his report on this text, you are benefiting from a precautionary reserve of EUR 10.5 billion in payment appropriations for this year. I'm not saying it, it's the rapporteur-general! You decided to give up this reserve in 2018, because you prefer readability to security. We will meet in a year to review the budget collective at the end of 2018, and we will then assess the relevance of this choice to the security of the 2018 budget. Beyond this precautionary reserve, the openings and closures that you operate by this text reach an unprecedented level. Of the 30 missions in the state budget, eighteen will have finally had, for 2017, a budget lower than the one we voted in the original finance law; four would have had an equivalent budget; Eight would have had a higher budget. With more than 1 billion euros down, the "Work" and "Housing" missions are the biggest losers of the revised 2017 budget.
ParlaMint-FR_2017-12-12-O1094.u204	Exactly!
ParlaMint-FR_2017-12-12-O1094.u205	This has been said on several occasions: normally, an amending finance bill is intended to adjust the budget in the course of the year, but of course, as all previous governments did before you, you take advantage of it to pass a whole set of tax provisions on various subjects. You first added provisions providing for a guarantee for the Olympic Games. We understand that the state decides to cover the risk of non-organisation of the Olympics because of it, but we are stunned that your majority accepts a guarantee on possible operating losses borne by the organizers. What is more, this guarantee comes in addition to the tax exemptions already voted by the previous majority, to which I objected – as I recalled during the debates. Your majority has adopted another tax exemption scheme for the Nord-Pas-de-Calais mining basin, amounting to 130 million euros on the quinquennium – thus forgetting the Lorrain basin.
ParlaMint-FR_2017-12-12-O1094.u206	No, no, no, no, no, no, no, We had this debate: if you had followed the discussions you would know!
ParlaMint-FR_2017-12-12-O1094.u207	In this regard, I hope that you will present us with new proposals. You also invented an anti-ecological tax – I dare not say: anti-Nicolas Hulot – on renewable energy. It will apply to the exploitation of geothermal gites leading to renewable energy. There are other provisions in this bill that we agree with, and we have the intellectual honesty to recognize. The first is the creation of an exceptional fund for the departments, which is also included in the counter-budget published by the New Left Group on 4 October. You have divided the amount by two in relation to our original proposal, but we welcome you for creating this fund. It is then the reduction in the rate of interest on moratoria: we had tabled an amendment to that effect in the context of the consideration of the first amending finance bill, which you had committed yourself to transcribing into this bill. Finally, it is a question of extending to family transmissions the benefits of the provisions which exist in the context of rural regeneration zones. [[Applause on the benches of the NG group]] But as positive as they are, these advances cannot compensate for the budget cuts that you make, through this bill, in the appropriations provided for in the original Finance Act for 2017. These cuts are too large in terms of housing and work. That is why the New Left Group will not vote on this amending finance bill for 2017.
ParlaMint-FR_2017-12-12-O1094.u208	Oh! You could have chosen to abstain!
ParlaMint-FR_2017-12-12-O1094.u209	The next speaker is Mr Eric Coquerel, for the Group of the European People's Party.
ParlaMint-FR_2017-12-12-O1094.u210	Mr President, Mr Minister, ladies and gentlemen, this second amending finance bill is another missed opportunity for the majority, which this time no longer has the benefit of doubt! Again, Minister, your majority has been intractable with the many proposals put forward by the opposition members – no matter what benches they sit on. In fact, we did not hope that this amending finance bill would be an opportunity for the Government to correct – at least in part – its totally unbalanced policy in favour of the great capital and the richest. We only hoped he wouldn't make it worse: it's missed! You have aggravated this imbalance by making it easier for companies to have access to the derogation from the merger regime. To this end, you have adapted French law to European directives by removing ministerial approval prior to the exemption from corporate tax in the event of a merger: this opens even more doors to tax optimisation. After the Paradise Papers and your strong statements on this subject, we hoped that this amending finance bill would strengthen the fight against fraud and tax evasion. Of course, it wasn't: you didn't do anything to withdraw their license from banks connected to tax havens, and nothing to introduce an inciting offence of tax fraud, as we have proposed. On the contrary, you have weakened the spirit of the presumption of tax evasion for taxpayers who place their assets in front companies. This amending finance bill could have been used to strengthen the control of the budget allocated to the organisation of the Olympic Games, but, again, despite serious arguments from all the opposition, it was not. You have decided to maintain the €1.5 billion guarantee fund that can be requested in case of total or partial cancellation – without defining what this means – regardless of who is responsible for it, whether it be the organizing country, the sports movement or its sponsors. This amending finance bill could have been an opportunity to improve taxation in the service of the ecological transition, but here too, you have failed. Since the stated objective of the hydrocarbon law was to get out of the carbonised energies by 2040, it was necessary to act accordingly and tax these farms much more strongly than you did. Finally – and this is certainly the most serious – you bear the responsibility of having structural reform voted through this amending finance bill. I am talking about the taxation of income at source, against which, again, all your oppositions have brought serious arguments that you have absolutely not answered. You didn't hear anything when we praised the effectiveness of our tax system – 99.4% recovery at N +1. You didn't hear anything when we pointed out the danger of lifting the secrecy of employees' tax data. You did not hear anything when, based on the German experience, we alerted you to the cost, admitted by all, of this taxation at source, for companies as well as for society as a whole; nothing about the burdens that will be placed on SMEs and associations. "It's modern": this is your only argument in favor of source sampling. It is so modern that it has been going on for more than a century in countries that, when they put it in place, could not rely on the quality of a tax administration like the one that our country now has! In your opinion, this would be more convenient for employees who often change jobs, while the system of monthly automatic debiting has greatly improved. If you had listened to tax officials and their unions on a subject that is at least within their competence, you would know that they are now able to ensure in a very short time the contemporaneity of the tax without going through the levy at source. But you prefer to have a measure that will only benefit private agencies and ultimately weaken the tax administration. Undoubtedly, you will soon be arguing about this reform to propose job cuts, thus weakening an administration that is the pride of the French state. You will have understood, ladies and gentlemen, the Group of the European People's Party [[Applause on the benches of the FI group]] will vote against this PLFR for 2017, as he has voted against the original finance bill. One day, perhaps, the majority will listen more seriously to the other parliamentary groups.
ParlaMint-FR_2017-12-12-O1094.u211	On the bill as a whole, the vote is announced in the National Assembly. Mr Fabien Roussel, for the Group of the Democratic and Republican Left, has the floor.
ParlaMint-FR_2017-12-12-O1094.u212	Mr President, Mr Minister, Mr President of the Committee on Finance, ladies and gentlemen, with its 36 articles, this amending budget comes into play in many areas, sometimes brings some improvements, but remains broadly in line with the logic you have set: to support the world of finance and business instead of reducing the glaring inequalities that persist in our country. The discussions we have had on tax evasion during the examination of several articles are therefore enlightening. I am thinking in particular of this so-called "agreement" between the national financial prosecutor's office and the fraud bank HSBC guilty of hiding 1.6 billion euros from the tax authorities. You have asked us, Minister, to vote a fine of EUR 300 million against a bank that has hijacked EUR 1.6 billion! That is the real scandal, a real invitation to continue this kind of practice! What a fuss and disrespect towards these white-collar offenders, these thugs of the Republic, these "gangsters of finance", to use the words of the authors of the edifying report dedicated to HSBC, which will be broadcast tonight on Arte. What a indulgence to people who deserve prison and a ban on exercising! The same is true with Airbnb, the digital giant who manages to hide from the tax authorities the income from rental of apartments or even prostitution! I know that, as a result of your intervention, Airbnb has committed itself to no longer using the famous Payoneer credit card: hope that it will keep its word. Thank you once again to the journalists who reveal and denounce these cases. Minister, you have been questioned several times this afternoon about tax evasion. Last Monday, at the beginning of the consideration of this bill, the Communist MPs and others, both on the right and on the left, asked you about this issue. The following day, the European Union published the famous list of tax havens that had to change the situation in Europe: months, years of work for it, while in just a few clicks you have access to all the names of tax havens that allow you to escape tax – I demonstrated it to this rostrum last week. It is understood, to read such a list, that fraudsters have a head start, as in the case of doping in sport. At this rate, Lance Armstrong would always be yellow jersey! What is your goal? What is the purpose of Mr. Trump, Mr. Junker, Mrs. Merkel, Mr. Macron? Free capital and multinationals from all taxes? Pull it all down? Is that how we will live in a civilized world? France would honour itself to take the lead in this area and to go further than Europe. Blow up Bercy's lock, minister; Extend the French list of tax havens – the Government did not answer this question at this afternoon's Question Session –; withdraw the bank license from institutions convicted of fraud; demand full transparency on the financial flows of multinationals and their subsidiaries. Finally, appoint a secretary of state, or even a minister, to deal with these issues, and give him the means to fight effectively against these white-collar offenders! These are, in a few words, the measures France would honor to take and which would bring it tens of billions of euros. Beyond this chapter, this draft amending budget introduces in its Article 13 a measure in favour of the creation of enterprises in the mining basin of Nord-Pas-de-Calais.
ParlaMint-FR_2017-12-12-O1094.u213	All right!
ParlaMint-FR_2017-12-12-O1094.u214	This measure, expected, is in the right direction, but we will be very attentive to the choice you will make regarding the rehabilitation of mining housing and the opening of credits as early as 2018 under the 100 million over ten years plan. Finally, this PLFR endorses the implementation of the tax levy at source as of 1 January 2019, while this reform still raises too many questions. For Communist Members of Parliament, it is likely that the work of our tax administration will disappear. Moreover, the safeguards for employees with regard to confidentiality are still very inadequate. Finally, let us recall once again that it is not for the employer, SMEs or TPEs to collect the tax. [[Applause on the benches of the GDR group]] That is why, Minister, the members of the GDR Group will vote against this amending finance bill.
ParlaMint-FR_2017-12-12-O1094.u215	The next speaker is Mrs Amélie de Montchalin, for the La République group on the move.
ParlaMint-FR_2017-12-12-O1094.u216	Mr President, Mr Minister, Mr President of the Committee on Finance, ladies and gentlemen, the examination of the 2017 amending finance bill confirms this: we have indeed taken over a budgetary situation which called for courageous, difficult decisions, if we were to absorb 13 billion additional expenditure compared to the initial 2017 finance law, to return to the 3% deficit level and thus exit the excessive deficit procedure.
ParlaMint-FR_2017-12-12-O1094.u217	What does Mr. Valls think?
ParlaMint-FR_2017-12-12-O1094.u218	Last week we devoted 576 amendments to this PLFR. In this regard, I would like to share two points with you. [[Applause on several benches in the REM group]] The first is method. Considering many government amendments is an imposed figure in the review of PLFRs, and this exercise did not derogate from the rule. Please be aware, Mr President, Minister, that the Group of the Republic on the move will be very attentive to all the proposals aimed at ensuring better conditions for parliamentary work for monitoring, understanding and evaluation.
ParlaMint-FR_2017-12-12-O1094.u219	Why didn't you see it last week? That's so stupid!
ParlaMint-FR_2017-12-12-O1094.u220	My second point relates to the content. While some amendments were quickly discussed, others were discussed at considerable length. I would like to recall the outline of the 145 amendments that we voted for. Some of them were designed to enable the State to keep its word fully: to repay Ecomuv' at once, to clear the financial situation of the National Centre for Sport Development – CNDS – or to define the means devoted to large transport infrastructures. A second package of amendments concerns the levy at source, which we consider to be a real step forward in social, economic, budgetary and fiscal terms.
ParlaMint-FR_2017-12-12-O1094.u221	Not us!
ParlaMint-FR_2017-12-12-O1094.u222	We have worked to ensure that short contracts are fully taken into account, that financial sanctions are balanced and that the transition phase is managed in the most balanced way possible for historical monuments and retirement savings. A third package of amendments sought to ensure the effectiveness of our public policies by proposing to assess the cost and impact of tax exemptions from zoned territorial schemes; allowing the supply shock we want in the area of housing to take its full place by releasing land for construction in tense areas and deciding on increases in land tax on unbuilt properties throughout the territory; extending the residence tax to all types of stay and accommodation and defining the modalities for the collection of this tax by the platforms. Thus, we are working to improve the efficiency of public spending. The last block of amendments is essential in making the link to the "right to error" bill. We have sought simplification, for example by allowing the exchange of data between the Ministry of Housing and the Directorate-General for Public Finance; simplifying the conditions for the payment of the remaining sums on the life insurance contracts of the deceased; expanding access to land and real estate data; facilitating the implementation of the GEMAPI tax – water management and flood prevention – if public inter-municipal cooperation institutions have deliberated within extended deadlines; by dividing by two the moratorium interest rate owed by the State to a taxpayer and by a taxpayer to the State, and by setting an appointment clause by the end of 2020 to adjust it as necessary; securing fiscal control; by removing the stage of the recovery letter for professional debtors; finally extending online tax returns by 2020. [[Applause on the benches of the REM group]] I wanted to stress the quality of the work done and the exchanges that we had during the debates, and to affirm the full support of the Republic Group on its way to this 2017 PLFR.
ParlaMint-FR_2017-12-12-O1094.u223	Mrs Véronique Louwagie has the floor for the Republican Group.
ParlaMint-FR_2017-12-12-O1094.u224	Mr President, Mr Minister, Mr President of the Committee on Finance, ladies and gentlemen, I too would like to deplore unacceptable working conditions before dealing with the substance.
ParlaMint-FR_2017-12-12-O1094.u225	That's right!
ParlaMint-FR_2017-12-12-O1094.u226	These are 39 amendments that the Government presented to us at the last minute, of which thirty were additional articles, but we were not able to discuss them in committee.
ParlaMint-FR_2017-12-12-O1094.u227	Like every year: it's not new!
ParlaMint-FR_2017-12-12-O1094.u228	Scandalous!
ParlaMint-FR_2017-12-12-O1094.u229	Such practices are not respectful of Parliament's work and undermine the quality of our debates. [[Applause on the benches of the LR group and on several benches of the NG group]] The need to improve the budgetary procedure is regularly invoked, but in fact these unfortunate working conditions persist. However, the manner in which the review of this amending finance bill took place is never before seen, including these 39 amendments, rightly described by the Chairman of the Finance Committee as "third amending finance bill". [["Ah! »on the benches of the REM group]] I would now like to turn to the substance. The way we work is at least as important as the substance, ladies and gentlemen. Ladies and gentlemen, let us not make this aberration to set up the sampling at source.
ParlaMint-FR_2017-12-12-O1094.u230	She's right!
ParlaMint-FR_2017-12-12-O1094.u231	Let us not embark on an unnecessary, dangerous and endless reform whose perverse effects are currently delayed, but whose taxpayers will inevitably pay the price one day or the other. Unfortunately, it is not the very marginal adjustments that you propose that will solve the core of the problem. First of all, it is a useless reform. While our country so much needs structural and courageous reforms to accompany the recovery of our economy, this superfluous reform reflects a totally biased sense of priority. It could be justified if we had difficulties recovering the tax, but this is not the case: our income tax is collected at 98.5% and the monthly levy is already supported by almost three-quarters of French taxpayers. The Republicans and Eric Woerth group have offered you the contemporaneity of paying the tax without going to the levy at source. That would have been fairer and simpler, but you rejected our proposal.
ParlaMint-FR_2017-12-12-O1094.u232	[[Protests on the benches of the REM group]] They don't know what's right!
