ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u91	All right!
ParlaMint-FR_2017-11-14-O1054.u92	Public finances are indeed a delicate matter, at the crossroads of several disciplines, and we must in this matter walk on both our legs, mixing the figures – financial science – and the law – financial legislation.
ParlaMint-FR_2017-11-14-O1054.u93	Technocracy!
ParlaMint-FR_2017-11-14-O1054.u94	[[Applause on the benches of the REM group and on some benches of the MODEM group]] Ladies and gentlemen, we can continue to deplore the effects of the cancellation of this tax, but we must no longer cherish its causes. This unfortunate episode must lead us to learn about the manufacture of the law to "secure our taxation" and "protect the French taxpayer", which refers to both the natural person and the company. The amending finance bill we are discussing is only the first step, which is indispensable.
ParlaMint-FR_2017-11-14-O1054.u95	It promises!
ParlaMint-FR_2017-11-14-O1054.u96	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2017-11-14-O1054.u97	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, this Tuesday evening we meet for the final reading of a draft amending finance law which we discussed yesterday in a new reading and only eight days ago at first reading. I will not go back to the reasons for what the Minister of Economy and Finance, Bruno Le Maire, called "a 10 billion euro scandal." Of course, we thought we could find answers in the report by Ms Marie-Christine Lepetit, Inspector General of Finance, particularly on the nature of the responsibilities in what Mr Bruno Le Maire described as "tax amateurism". Finally, this report only presents in a very factual way the flaws and chronology of events. However, I want to respond to one point in this report. On the fourth page of the summary of the findings of the fact-finding mission, it is pointed out: "The too rapid construction, in the self, unstable of this standard has led to a waste for companies and a massive budgetary stalemate [...]. But, ladies and gentlemen, are we not here to reproduce the same story? In a few days, in great haste, a draft law on amending finance uses large companies to generate €10 billion in revenue and to find €5 billion in emergency. Is this an emergency or a flash speed? I would simply say "top time in ten days": in ten days, three meetings were held in the National Assembly to deal in record time with an arrangement worth 10 billion euros. Top time: two free days to amend the text at first reading. Top time: 30 minutes to amend the Senate text, in new reading. Top time: five minutes for the Joint Joint Committee. And all, ladies and gentlemen, for a "state scandal" of 10 billion euros. In fact, this 2017 amending finance bill could bear the title "10 billion top chrono". Although the 3% dividend tax is being pointed out for being designed too quickly, we are continuing at such a rapid or even more rapid pace to legislate on its consequences. I will then refer to the procedure adopted, in particular the legislative vector of the amending finance bill. The latter, as its name indicates, is intended to correct the current financial law. But as a matter of rectification, in this bill, there is only one! Correcting implies taking into account all available parameters, including the revision of macroeconomic forecasts. After saying on 2 November that the latest growth figures are good, Bruno Le Maire added that the cumulative growth rate is already 1.7%. Thus, a 1.8% growth hypothesis is likely. However, no updates have been made. However, it would have made it possible to count an additional EUR 1.4 billion, representing a share of the EUR 10 billion to be found. Mr. Le Maire said yesterday that the Government was refraining from revising growth assumptions, on the basis of caution. But what about caution? Why has this major topic not been dealt with in line with the issues it involves in the discussion of the public finance programming bill for the years 2018 to 2022? How can we explain that the Government incorporated this risk in mid-October and only to the tune of €5.7 billion, including €800 million in 2018? Prudent, the Government has not been able to do so by drafting the public finance programming bill for the years 2018 to 2022, as it changes the assessment of this burden from 5.7 billion euros to 10 billion euros just one month after its review! In the end, it is not a PLFR but a simple adjustment. As for prudence, the Government's approach is of varying geometry!
ParlaMint-FR_2017-11-14-O1054.u98	Exactly!
ParlaMint-FR_2017-11-14-O1054.u99	In essence, the Government imposes an exceptional tax on the 320 largest French companies to bring in 5.4 billion euros, including 4.8 billion euros for the deposit claimed at the end of December this year. This mechanism gives rise to two feelings. A feeling of injustice, first. Indeed, this contribution will create strong injustices between companies. For example, some companies that did not distribute dividends between 2012 and 2016 will have to pay an exceptional contribution for 2017 to address the budget gaps inherited from 2012 to 2016. It's a real injustice!
ParlaMint-FR_2017-11-14-O1054.u100	Of course!
ParlaMint-FR_2017-11-14-O1054.u101	Companies that did not distribute dividends used their profits to finance investments as well as development or research projects. Yet they will lose. [[Applause on the benches of the LR group and on several benches of the LC group]] Moreover, this surcharge is a bad signal. I met with representatives of an industrial sector this morning. "Every year," they told me, "between September and December, it is a difficult journey over time in view of the concerns about taxation that will be applied to us; Now, between September and December, it will be adventure, an expensive adventure for businesses! " The Government's message is indeed contrary to the stability needed by companies!
ParlaMint-FR_2017-11-14-O1054.u102	All right!
ParlaMint-FR_2017-11-14-O1054.u103	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2017-11-14-O1054.u104	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, this first PLFR has been the subject of intense debate for ten days. The report of the fact-finding mission entrusted to the IGF on the additional contribution to corporate tax of 3% on distributed income, prepared under the direction of Marie-Christine Lepetit and presented on November 13, 2017, is particularly enlightening and instructive. It shows that doing a posteriori lesson is a much easier exercise than identifying the legal problems that then arose.
ParlaMint-FR_2017-11-14-O1054.u105	That's right!
ParlaMint-FR_2017-11-14-O1054.u106	It certainly invites modesty but also provides particularly interesting avenues for reflection for our future work. However, at the end of its reading, real legal debates remain, in particular with regard to the Constitutional Council's decision on the legal qualification of companies as tax-integrated groups. We are touching on the bottom of the subject. We will therefore stress here the exceptional nature of the situation as well as the proposed surcharges. The Government's response seems to us most likely, one and a half months from the end of the year, to put every chance on our side of meeting our commitment to reducing the deficit below 3 per cent of GDP for 2017. We will briefly recall a number of fundamental points that have been developed in our previous debates: the reform of the budgetary procedure aimed at enabling parliamentarians to deal with these matters well before the examination of the texts, the importance of control by our Assembly, or even a profound simplification of our taxation, including the removal of low-yield taxes and the rationalisation of tax niches. [[Applause on the MODEM benches and on several REM benches]] The members of the Group of the Democratic and Related Movement recall the speed of the Government's response and the commitment of all our colleagues to discuss it at the heart of the review of budgetary missions. We will therefore vote for the adoption of the text, in accordance with our commitments.
ParlaMint-FR_2017-11-14-O1054.u107	On the bill as a whole, I am seized by the Constructive Group: Republicans, IDU, independent of a request for a public vote. The vote is announced in the National Assembly.
ParlaMint-FR_2017-11-14-O1054.u108	Bravo!
ParlaMint-FR_2017-11-14-O1054.u109	Nice initiative!
ParlaMint-FR_2017-11-14-O1054.u110	Mr Philippe Vigier has the floor.
ParlaMint-FR_2017-11-14-O1054.u111	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, we shall vote against this amending finance bill, which will not surprise you, Mr Secretary of State. The first reason for this choice is not trivial. Of course, we understand the emergency situation, but you have been a parliamentarian and you are one of those who do not think that Parliament is a registration chamber. Again this morning, you were planning to change the organisation of parliamentary work. We should discuss the budget of the mission "Relationship with local and regional authorities" and not this amending finance bill. But it is – and we are all aware of it – 10 billion euros. Such a sum, it seems to me, requires a little more than a debate that could be thought to have been done. I will not go back to the unacceptable conditions in which we had to work, but I felt a bit of agitation in Joël Giraud's mouth just now!
ParlaMint-FR_2017-11-14-O1054.u112	That's right!
ParlaMint-FR_2017-11-14-O1054.u113	In fact, we will begin tomorrow's committee review of the second amending finance bill for 2017. We could have waited, it seems to me, for the submission of the IGF report to study these amending finance bills; But perhaps this report was going to reveal unsuspectable things! We now know its content: it has nothing or almost anything that we could not imagine. As for the way of amendment – a method of action par excellence for parliamentarians – it has unfortunately been swept away, which is a bit of a pity. The heart of the subject presents real difficulties that you know, Secretary of State. The first is the so-called government deficit rule of less than 3% of GDP. You know all the finance bills, ladies and gentlemen: fortunately that the social security agencies have surpluses, because they alone allow us to have a deficit of less than 3% of GDP for 2018 and thus to get out of the excessive deficit procedure! Weary! This is the Government facing the urgent need to obtain the famous €5 billion aimed at showing in Brussels that our public deficit is less than 3% of GDP! However, a careful examination of the budget shows that we are already on the steeprope. We are facing a second difficulty. Since approximately €4.4 billion will have to be repaid in 2018, this will result in an increase in the public deficit that must already be recorded in addition to the amounts we discussed together, Secretary of State. As for the problems of constitutional law, in particular the breach of the principle of equality, let us not sweep them away! Such a company that has not paid dividends will have to pay the surtax, such other company that has paid it will not pay it. In particular, you will all hear about it in your constituencies, the famous mutual banks, which by definition do not pay dividends – do you, Mr Mattei? – will nevertheless be obliged to pay EUR 1.2 billion. I wish you happiness in the general meetings of mutual banks, ladies and gentlemen, because we will not fail to tell you that!
ParlaMint-FR_2017-11-14-O1054.u114	Bravo!
ParlaMint-FR_2017-11-14-O1054.u115	There is another difficulty in European law. Indeed, the question of the incompatibility of the two taxes with the principle of free movement of capital and non-discrimination between undertakings is clearly raised. Furthermore, as our colleague Véronique Louwagie pointed out earlier, what is the coherence of a policy which, while aiming at improving the competitiveness of companies, imposes a surcharge on them? This is not a good signal even though all European countries are reducing corporate taxes, which means, in plain terms, that our competitiveness will be affected by a negative factor. As far as the IGF report is concerned, I shall briefly dwell on it. I cannot resist the temptation to read you a few lines, ladies and gentlemen. Certainly, the financial inspection writing with the financial inspection at the financial inspection is the absolute self, the incarnation of the old world! Let the former Director of Tax Legislation of the Ministry of Economy and Finance tell us what to do after making proposals to the Government, that is extraordinary!
ParlaMint-FR_2017-11-14-O1054.u116	Of course!
ParlaMint-FR_2017-11-14-O1054.u117	We read: "The construction of this standard too fast, in the self, unstable has led to a waste for companies and a massive budgetary stalemate and has made it difficult to meet the political commitments made to the French and to our European partners". I invite you to exegesis this wonderful sentence, with a total questioning of Parliament. The fact that we have had three consecutive debates shows at least that this is not a false debate, as the rapporteur-general of the Senate's budget pointed out yesterday, but rather at the heart of the budgetary decision-making procedure. Something bad happened there. I will briefly enlighten you on the other possible solution, Mr. Secretary of State. It was enough to issue state bonds by crystallizing debt and interest on arrears. Therefore, we would have spread the repayment of the sums due over a decade. This solution was secure and respected the principle of equality. [[Applause on the benches of the LC group and on several benches of the LR group]] We will therefore appeal to the Constitutional Council, in which we will involve other parliamentarians in order to secure the one you have retained. It is very simple: if the Constitutional Council validates the surtax, it will be secured, the Government will be able to lift it and we will purge this problem; If, on the contrary, he believes that the Government is taking a wrong path, Charles de Courson, Lise Magnier and I are ready for an alternative proposal!
ParlaMint-FR_2017-11-14-O1054.u118	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2017-11-14-O1054.u119	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, as several of us have indicated in the first two readings of the text, the Government is giving us a rather expeditious procedure, Mr Secretary of State! I hope, at least, that shipping doesn't mean approximate! As we begin the final reading, many questions remain unanswered. But, as you know, in taxation, the devil is in the details. With the new system, a few companies will be very – I say very – losers. They will pay a high corporate tax surtax and will not receive a refund. These include mutual banking groups, which will not be reimbursed from the 3% tax and will pay at high rates the corporate tax surtax.
ParlaMint-FR_2017-11-14-O1054.u120	Exactly!
ParlaMint-FR_2017-11-14-O1054.u121	Unbelievable!
ParlaMint-FR_2017-11-14-O1054.u122	The members will pay!
ParlaMint-FR_2017-11-14-O1054.u123	I understand, Mr Secretary of State, that you are defending the legal security of the solution chosen, and you are probably right. However, it is priced as an economic nonsense, as companies that have never distributed dividends and maintained the sums in their balance sheet will pay the surtax.
ParlaMint-FR_2017-11-14-O1054.u124	That's right!
ParlaMint-FR_2017-11-14-O1054.u125	In other words, economically speaking, the companies whose management was most oriented towards their future are the most penalized.
ParlaMint-FR_2017-11-14-O1054.u126	Of course!
ParlaMint-FR_2017-11-14-O1054.u127	Bravo!
ParlaMint-FR_2017-11-14-O1054.u128	This final reading provides us with the opportunity to refer to the report of the General Inspectorate of Finance delivered yesterday to the Government. It states that "the combination of European rules and constitutional rules seems to reduce fiscal sovereignty. Legal certainty is weakened. "
ParlaMint-FR_2017-11-14-O1054.u129	That's right!
ParlaMint-FR_2017-11-14-O1054.u130	I fully agree with that. As legislators, many of us in this House have had to ask ourselves about the compatibility of our national law with European law. As such, the three recommendations made by the IGF seem extremely relevant to me and, to date, none of them have been implemented by your Government – you will tell me, no more than the previous one! First recommendation: we must make a tax inventory of all existing case law within the Court of Justice of the European Union and check whether or not it is a source of risk for the current legislation but also for the financial laws that you will propose to us during the quinquennium. So, Mr Secretary of State, I would like to make a proposal to you: I wonder whether, in the context of the report on the application of the tax law – the RALF – which usually comes out in July, it would not be possible to add a section to clarify the risks that exist in our present law in the light of the case law of the Court of Justice of the European Union. The second recommendation deals with the "extensive nature of the free movement of capital". The IGF suggests questioning our European partners, especially in the context of the fight against tax havens, as this principle severely limits the power to impose financial flows. This question, Minister, is more than crucial to us: whenever we propose provisions to combat tax havens, we are opposed to the free movement of capital. This second recommendation seems to me to be full of political common sense. It seems to me that it is in political power alone to establish the hierarchy of rights. Today, we see that the right linked to the free movement of capital prevails, in fact, over all the others. Thus, nothing should prevent capital from moving freely, even if the purpose of this movement is fraud, tax evasion, which is still a great deal, you will admit. I sincerely thank the IGF for highlighting this point and I hope, Mr Secretary of State, that you will take it into account for the next financial laws. Finally, the third recommendation aims to secure our legal system – I quote again – "by developing the European Commission's question about draft texts whose compatibility with European law it is not sure. I will supplement this third recommendation, Secretary of State, by suggesting that the outcome of these consultations be communicated to us on the occasion of the financial laws. Last point, linked to the previous point: the IGF proposes to draw inspiration from what is happening in many democracies and which consists of organising a phase of consultations well upstream, i.e. as early as July. Mr Secretary of State, I have only one question: do you commit yourself, does the Government commit itself to the implementation of these three recommendations for the initial finance law that you will propose next year? [[Applause on the benches of the NG group]] I confirm our first reading vote. We will not vote on this amending finance bill, which includes the validation of the July 2017 advance order, which we cannot vote on.
ParlaMint-FR_2017-11-14-O1054.u131	The general discussion is closed. All the groups spoke.
ParlaMint-FR_2017-11-14-O1054.u132	I now call, in accordance with Rule 114(3) of the Rules of Procedure, the bill in the text voted by the National Assembly on further reading.
ParlaMint-FR_2017-11-14-O1054.u133	I put to the vote the whole of the amending finance bill.
ParlaMint-FR_2017-11-14-O1054.u134	The next item is the continuation of the discussion on the second part of the finance bill for 2018 (No.235, 273).
ParlaMint-FR_2017-11-14-O1054.u135	We are dealing with the examination of the appropriations of the mission "Relationship with local and regional authorities" (No 273, Annex 36; No 278, Volume VII) and of the special account "Advances to local and regional authorities". The next speaker is the Minister of State, Minister for the Interior.
ParlaMint-FR_2017-11-14-O1054.u136	Mr President, the rapporteur-general, the special rapporteurs, the draftsman of the opinion, ladies and gentlemen, the state's financial assistance to local and regional authorities represents EUR 48 billion in the draft finance law for 2018: 3.8 billion budget appropriations and more than 44 billion revenue levies. In accordance with the commitments of the President of the Republic, the draft finance law for 2018 is in breach of the precedents in terms of financial transfers from the State to local and regional authorities. Indeed, it does not include a unilateral reduction in state assistance to communities. For the first time in four years, the overall operating allocation will thus be stabilized. This budget is therefore characterised by a clear orientation: the choice of trust. The finance bill reflects a real effort on the part of the state...
ParlaMint-FR_2017-11-14-O1054.u137	Don't exaggerate!
ParlaMint-FR_2017-11-14-O1054.u138	... in favour of local and regional authorities in order to create favourable conditions for the conclusion of a "contract of mandate" within the framework of the national conference of territories. This does not, of course, preclude communities, like all other public actors, from taking part in efforts to reduce the public deficit and control expenditure. By 2022, therefore, they will have to contribute 13 billion to the recovery of public accounts, but the method of achieving this will be left to the discretion of each of them: it is the philosophy of the pact of trust that we intend to build between the state and the communities.
ParlaMint-FR_2017-11-14-O1054.u139	To swindle them!
ParlaMint-FR_2017-11-14-O1054.u140	The government's financial assistance to communities reflects clear political priorities in this finance bill. First priority: support for local investment. The exceptional level achieved in 2017 by the investment grants to local authorities of the mission "Relationship with local authorities" is, as you have seen, consolidated. Funding for the provision of equipment in rural areas – DETR – and the allocation of support for local investment – DSIL – will reach $1.8 billion in 2018, an increase of 77% compared to 2015.
ParlaMint-FR_2017-11-14-O1054.u141	That's not true!
ParlaMint-FR_2017-11-14-O1054.u142	It's a hat!
ParlaMint-FR_2017-11-14-O1054.u143	The Government has chosen to persevere in a mechanism built to be temporary and which, as you know, has in the past been accompanied by a decline in endowments. Second priority: the choice to strengthen solidarity mechanisms within the State's financial assistance. The Government wished to continue to advance equalization for the most vulnerable communities. This is a clear choice in favour of solidarity in order to reduce territorial divides.
ParlaMint-FR_2017-11-14-O1054.u144	By organizing the shortage!
ParlaMint-FR_2017-11-14-O1054.u145	Third priority: to support the modernisation of communities through financial assistance provided by the State. To support their acquisition of skills in the area of economic development, the PLF for 2018 transforms the overall operating allocation – DGF – of the regions into a dynamic resource: a share of VAT revenues. This new resource, which is estimated to grow at around EUR 100 million in 2018, will be guaranteed to the regions. This is expected to generate an additional revenue of 700 million by the end of the quinquennium. To support the town halls in the reform of the issuance of national identity cards, the allocation for secure securities will be doubled and increased to 40 million euros. The financial incentive scheme for mergers of municipalities is renewed until 2019. We shall see it during the debate, and the Government is prepared to improve it further. Finally, after several months of consultation with associations representing local and regional authorities, the PLF for 2018 will introduce a structural reform of the Value Added Tax Compensation Fund – FCVAT – to automate the eligibility of investment expenditure to this fund. That, ladies and gentlemen, is the main thrust that makes this finance bill really the foundation...
ParlaMint-FR_2017-11-14-O1054.u146	The scam!
ParlaMint-FR_2017-11-14-O1054.u147	[[Applause on the benches of the REM and MODEM groups]] ...of the pact of trust that we intend to build between the state and the communities.
ParlaMint-FR_2017-11-14-O1054.u148	No, no, no, no, no, no, no,
ParlaMint-FR_2017-11-14-O1054.u149	Mr Jean-René Cazeneuve, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-14-O1054.u150	Minister to the Minister of State, Minister of the Interior, Minister of State, Mr.President, ladies and gentlemen, the budget mission discussed today allows us to reaffirm two clear directions of the Government that you have just outlined: First, the allocations to the communities will not fall in 2018, unlike previous years; Secondly, there will be a new approach to relations between the State and local and regional authorities based on dialogue and contract-making, aimed at preparing for a comprehensive reform of the finances of local and regional authorities. The appropriations for the mission "Relationship with local and regional authorities" will amount to €3.8 billion in commitment authorisations and €3.7 billion in payment appropriations. Compared to the initial finance law for 2017, commitment authorisations decrease by 12% due to the shift in the general allocation of decentralization of Corsica – DGD Corsica – in the base of the VAT portion of the regions and the termination of the exceptional support fund for the regions and dedicated to economic development.
ParlaMint-FR_2017-11-14-O1054.u151	That is, you're taking 450 million!
ParlaMint-FR_2017-11-14-O1054.u152	Payment appropriations increase by 1%, taking into account the remainder of the exceptional fund to the regions in Program 119 and the significant increase in the payment appropriations of the DETR, DSIL and DPV – the city's political allocation, which had been partially cancelled in July 2017. I would now like to detail the articles related to the mission. Article 58 responds to an old demand from elected associations and takes note of the automation of the FCTV, which will grow by 2 % next year. I would also like to point out that the VATCF will come out of the envelope, which means that, for the first time, the growth of the VATCF will no longer be financed by the communities through their allocations but directly by the general state budget. Article 59 aims to strengthen state support for public investment in the communal bloc, which has fallen sharply in the last three years as a result of the reduction of the DGF by 11 billion.
ParlaMint-FR_2017-11-14-O1054.u153	He's not going back up!
ParlaMint-FR_2017-11-14-O1054.u154	Thus, the DETR will be maintained at its highest level of EUR 1 billion and the DPV at EUR 150 million. The DSIL will be sustained and its threshold effects removed in order to make it accessible to small municipalities. Following the trans-party work on the former parliamentary reserve, we proposed and had adopted with the rapporteur-general an amendment transferring EUR 50 million to the DETR, which is a strong support for rural communities.
ParlaMint-FR_2017-11-14-O1054.u155	What about the rest?
ParlaMint-FR_2017-11-14-O1054.u156	Article 60 reflects the commitment of the President of the Republic not to make a further reduction of the DGF and to ensure a reasonable progression of vertical equalization. We welcome the adoption by the Committee on Finance, at the end of the enlarged committee, of an amendment to make it easier for communities of communes to be eligible for the enhanced DGF. Article 61 proposes to set the amount of the resources of the National Fund for Equalisation of Intercommunal and Communal Resources – FPIC – at the 2017 level, i.e. EUR 1 billion, and to increase the harmonisation of exit guarantee schemes. An amendment adjusting slightly the ceiling for levies under the FPIC and the FSRIF – Solidarity Fund of the Communes of the Île-de-France region, so as not to penalise the least wealthy municipalities was also adopted by the committee. Finally, since horizontal equalization is a sensitive and essential issue for many of us, an amendment has been tabled to the effect that the Government should submit a report. Article 62, for its part, proposes to provide financial support to municipalities which have a strengthened security system for identity cards. We welcome the adoption at the end of the enlarged committee of amendments aimed at strengthening the attractiveness of new municipalities or gradually shifting the agglomeration communities of new agglomeration unions into common law, without jeopardizing their finances, that is, over five years. No great reform therefore,...
ParlaMint-FR_2017-11-14-O1054.u157	We'll find out!
ParlaMint-FR_2017-11-14-O1054.u158	...but the desire to stabilize the endowments before continuing the dialogue and making the necessary adjustments within the framework of the national conference of the territories. [[Applause on the benches of the REM group]] So, Minister of State, Minister, can we imagine a fiscal transition for the communal bloc along the same lines as that adopted at the regional level? Could you specify how rural contracts were financed in 2018, as well as the amount of commitment authorisations and related payment appropriations? On the basis of all these elements, I give a favourable opinion on the Mission's appropriations.
ParlaMint-FR_2017-11-14-O1054.u159	What a surprise!
ParlaMint-FR_2017-11-14-O1054.u160	Mr Paul Molac, draftsman of the opinion of the Committee on Constitutional Laws, Legislation and General Administration of the Republic, has the floor.
ParlaMint-FR_2017-11-14-O1054.u161	Mr President, the Minister of State, the Minister, the rapporteur-general, the special rapporteurs, ladies and gentlemen, the appropriations for the mission "Relationship with local and regional authorities" represent just under 4% of the state's financial transfers to local and regional authorities. They are, however, very much expected, and not only by local elected officials. They are part of a context of stabilising allocations to local and regional authorities, including the overall operating allocation – the one that has declined over the last five years. The financial pact proposed to local authorities leaves a great deal of responsibility to local actors who know the needs of their territories and their room for manoeuvre. However, we will only be able to judge this mechanism in the light of the application of its contractual arrangements, including the monitoring of compliance with the commitments made, which will be decided by the national conference of the territories.
ParlaMint-FR_2017-11-14-O1054.u162	I mean, caution!
ParlaMint-FR_2017-11-14-O1054.u163	In order for all the actors concerned to be calm, we must be precise as to the possible mechanisms of correction in the event of a deviation from the trend. Be careful not to limit the autonomy of local authorities more than just reason!
ParlaMint-FR_2017-11-14-O1054.u164	Bravo!
ParlaMint-FR_2017-11-14-O1054.u165	However, let us all acknowledge that, in principle, the proposed contract is more respectful of the efforts already made by local and regional authorities.
ParlaMint-FR_2017-11-14-O1054.u166	But less respectful of their autonomy!
ParlaMint-FR_2017-11-14-O1054.u167	This year, I decided to illustrate the effects of the reforms undertaken under the previous legislature and the expectations of our territories by taking the example of the regions: they face many challenges related to their size, their administrative organisation, the heterogeneity of the territories they group together and the need to implement a new form of territorial cooperation. This work led me to the following observations. Past reforms, in particular that of the regional map, have been based on two assumptions, which have been widely questioned today: the first was that the creation of large groupings would enable the fragmentation of governance to be addressed and public action to be more effective; the second is that the distribution of competences would be simplified by the allocation of large blocks at each step.
ParlaMint-FR_2017-11-14-O1054.u168	Missed!
ParlaMint-FR_2017-11-14-O1054.u169	It was counting without the resistance opposed by the territorial realities themselves and the incomprehension, in some cases, of the elected representatives and the population.
ParlaMint-FR_2017-11-14-O1054.u170	Like in Alsace!
ParlaMint-FR_2017-11-14-O1054.u171	[[Laurent Furst applauds]] Therefore, if the territorial map has been remodelled, everything remains to be built. As much as the size or number of inhabitants, it is skills, adaptability, including regulatory capacity, and the willingness to work in synergy that matter.
ParlaMint-FR_2017-11-14-O1054.u172	Absolutely!
ParlaMint-FR_2017-11-14-O1054.u173	The priority of these major regions will now be to give meaning to their actions throughout their territory through greater territorial cooperation as well as local initiatives designed to adapt the rules of common law to regional challenges. These pragmatic approaches will be encouraged, I hope, whenever they will strengthen regionalisation, which raises many expectations in terms of economic development and land-use planning. The allocation of a fraction of the VAT product to replace the DGF is therefore in the right direction, since it will strengthen the fiscal autonomy of the regions, which is now falling to less than 10%! [[Applause on several benches in the LR group]] In addition, I call on the Government to give careful consideration to all requests for adaptation of regulations to the local context. These possibilities of adaptation were opened for the regions by the law on the new territorial organization of the Republic, known as the NOTRE law, on the example of what exists for Corsica, which, unfortunately, until now has seen a very large majority of its requests for adaptation remain unanswered by the State – twenty-four out of twenty-six, for two refusals. We must trust the territories and wager their collective intelligence, their ability to carry out major projects. There is a need to restore meaning to the free administration of the territories. These are the commitments made by our majority, recalled by the President of the Republic at the first national conference of the Territories. It is possible to maintain a constant Constitution, as recalled by the former keeper of the seals and former president of the commission of laws, Jean-Jacques Urvoas. The examples of New Caledonia, Wallis-et-Futuna – which has three kings –, Corsica but also Île-de-France and Lyon prove this: France is a federal state, or at least devolved, which is unknown and sometimes does not recognize itself. Mr Minister of State, that was also the meaning of your remarks last week, in an enlarged committee, when you rightly pointed out that France was diverse and that it was necessary to "adapt to the socio-economic reality, different from one territory to another". This is how you refer to the possibilities of merging between departments with an expansion of their competences, particularly for Alsace.
ParlaMint-FR_2017-11-14-O1054.u174	Bravo!
ParlaMint-FR_2017-11-14-O1054.u175	There are Alsatian MPs in the Chamber tonight!
ParlaMint-FR_2017-11-14-O1054.u176	However, we will have to ensure that the financial consequences of the merger between departmental and regional authorities are assessed in law, which was not foreseen, particularly for the single community of Corsica. I hope that the creation of a single community by merging departmental and regional councils will soon be proposed in other territories – we obviously expect the initiative to come from them. For example, there are projects in Brittany, which calls for its scope to be revised to better integrate regional dynamics.
ParlaMint-FR_2017-11-14-O1054.u177	We must conclude, dear colleague.
ParlaMint-FR_2017-11-14-O1054.u178	[[Applause on many benches in the LR group and some benches in the REM group]] That will be my final word: the elected representatives and the citizens, who are first and foremost appropriating what makes sense, it will be appropriate during the mandate to listen carefully to all their requests for differentiation.
ParlaMint-FR_2017-11-14-O1054.u179	We will now hear the spokespersons of the groups. Mrs Bénédicte Taurine, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-11-14-O1054.u180	Mr. President, Madam and Mr. Members of the Government, ladies and gentlemen, in betraying the promise made to the communities in July, President Macron is pursuing the disastrous directions of his predecessor through this budget. The Government defends the world of competition when it should have chosen solidarity. The budget for 2018 is full of tax gifts for the richest – as of January 1st, securities will no longer be subject to the ISF – but at the same time it is planing the financing of local authorities, even though they have already suffered heavily during the previous quinquennium: imposed territorial reforms, arbitrary abolition of 11.5 billion endowments and unduly transferred charges. Take the example of the railway. In 2000, regional services were entrusted to the regions. In 2002, the State allocated its overall balance subsidy to all regions according to their lines, but the amount was calculated on the basis of 2000 and remained fixed once and for all, regardless of inflation. The regions must balance the accounts and investment choices are unevenly decided in the territory, with consequences for equipment, infrastructure, in particular railway stations, which are increasingly dehumanised when they are not transformed into a point of stop without staff before closing completely. When a jurisdiction is transferred, an amount is allocated in return, but in subsequent years, communities must manage on their own. The State is decommiting itself twice, first by transferring competences and then by lowering the endowments. That is why the elected representatives are rightly concerned that the municipalities no longer receive the so-called "compensated" housing tax. Your Government is forcing communities to cut their spending by €13 billion over the next five years. In two years, community investment has already declined by 25%, resulting in fewer community-based public services, fewer nurseries, fewer new roads, less maintenance of existing roads, less construction of social housing, fewer economic interventions and therefore fewer jobs. Beyond any accounting balance sheet, the role played by our local authorities is an essential pillar of the French social contract: the national contribution is redistributed throughout the country to ensure the well-being of all. Local authorities are also the last social shield in the face of growing poverty and poverty. By attacking communities, your budget challenges solidarity. By strangling the communes and departments, you cynically agree to see the closure of many services for children, the elderly, the population in difficulty. By tackling communities, your budget only strengthens inequalities between territories. The most isolated and precarious will be the first to be affected by your budget cuts. In short, you are imposing a French social contract backwards: the majority must tighten the belt for a tiny minority of privileged people – and this is the case when community spending is increasing while the state's endowments are falling. This pushes communities to make increasingly harmful choices for our fellow citizens: to increase their revenues by making even more use of households that are already suffering a lot, to reduce subsidies to associations while assisted jobs are being cut, and to close community services. You are talking about decentralization, when in reality your ideological project leads to an authoritarian recentralisation of power that keeps citizens away from their elected officials, their institutions and public decision-making.
ParlaMint-FR_2017-11-14-O1054.u181	That's right.
ParlaMint-FR_2017-11-14-O1054.u182	[[Applause on the benches of the FI and GDR groups]] The Republic was built on a triptych inherited from 1789: commune, department, nation. Today you are making your counter-revolution by imposing another triptych, technocratic and liberal: European Commission, big region, metropolis. By this way, you confirm that you are the government of the rich and the technocratic elites. We can only vote against this budget, which calls into question the principle that the Republic is one and indivisible and tramples on the principle of the free administration of local and regional authorities.
ParlaMint-FR_2017-11-14-O1054.u183	The Republic is also diverse!
ParlaMint-FR_2017-11-14-O1054.u184	Mr Sebastien Jumel, for the Group of the Democratic and Republican Left, has the floor.
