ParlaMint-GB_2022-01-11-commons.u1	1. What steps he is taking to improve productivity levels in the UK.
ParlaMint-GB_2022-01-11-commons.u176	The Prime Minister focuses on the primary purpose of running this country, which is to deliver on the manifesto promises of this Government. The primary purpose of the investigation will be to establish swiftly a general understanding of the nature of the gatherings that we have been hearing about, which will include attendance, the setting and the purpose. I know that the hon. Gentleman is inclined to presuppose the result, but the fair approach would be to wait until the results of the investigation, which has been commissioned for several weeks now.
ParlaMint-GB_2022-01-11-commons.u177	If the Prime Minister broke the law, he will resign, won’t he?
ParlaMint-GB_2022-01-11-commons.u178	It is an entirely hypothetical position. The Prime Minister is going nowhere. The right hon. Gentleman seeks to draw me into making a supposition about the result of any inquiry, but the Prime Minister retains the confidence of the people of this country, and he did so two years ago with the biggest majority in decades.
ParlaMint-GB_2022-01-11-commons.u179	A survey by the Alzheimer’s Society shows that the health of 82% of people affected by dementia deteriorated during the first lockdown. Reduced social contact was a significant contributory factor. Does the Minister therefore agree that it would be unforgivable for the Prime Minister to prevaricate, obfuscate, seek to evade or distract, joke, take refuge in an industrial refrigerator or perhaps just lie about parties at No. 10?
ParlaMint-GB_2022-01-11-commons.u180	We will await the result of the investigation.
ParlaMint-GB_2022-01-11-commons.u181	More than 150,000 covid deaths, the highest toll in Europe; a cost-of-living crisis, with universal credit slashed and bills rocketing; a second jobs scandal; an attempt to let his corrupt mate off the hook; a dodgy flat donation; accusations of cash for access; and now this, a Downing Street party that was against the law and that the Prime Minister claimed did not happen but that he reportedly attended. After all this, does the Minister not feel embarrassed that the Prime Minister does not have the decency to resign?
ParlaMint-GB_2022-01-11-commons.u182	I would say to the hon. Lady that she is fond of making unsubstantiated accusations that are devoid of evidence, and she should wait for the due course of events before doing so. She has particularised certain items that are part of her allegations, about which she has no evidence, and she should be very cautious about doing that.
ParlaMint-GB_2022-01-11-commons.u183	The Paymaster General has been given an unenviable task this morning—he really, really has—but perhaps he could use his experience as a former Solicitor General and Attorney General to explain to the House what advice he would give to a hypothetical Prime Minister: someone who has perhaps lied to the country, someone who has perhaps lied to this House, someone who has laughed at times when people have died in their communities. What advice would the Paymaster General offer to that hypothetical Prime Minister?
ParlaMint-GB_2022-01-11-commons.u184	The advice that I would always offer as a Law Officer, as I did as a barrister in practice, is to be fair to all sides. That includes listening to evidence, collating evidence properly and acting judiciously at all times. That is what we expect in this country, rather than prejudging matters and jumping to unwarranted and unfair conclusions. That applies to justice to all in this country.
ParlaMint-GB_2022-01-11-commons.u185	Assaults on police officers in 2020-21 in England and Wales saw a 20% increase to over 25,000. I personally know of police officers who have been spat at, pushed, shoved and punched while doing their job, which includes enforcing the covid regulations, so I think police officers up and down the country will be appalled to hear that the Prime Minister and Downing Street staff were allegedly partying while they were doing their job during the worst of the pandemic. Given that all the evidence suggests that the party took place and that the Prime Minister was present, does the Paymaster General agree that the Prime Minister should write a letter of apology to every one of the police officers assaulted while enforcing covid regulations?
ParlaMint-GB_2022-01-11-commons.u186	As the hon. Lady knows, this Prime Minister has always been a very strong supporter of the police. As Mayor of London, unlike the present incumbent of that office, he oversaw a reduction of crime in London. As Prime Minister, he has increased the number of police officers serving on the streets. This Prime Minister believes in law and order, and he supports the police—they know that. In fact, he visited a police station in my Northampton constituency only last week. The Prime Minister is very supportive of our police service and will continue to be.
ParlaMint-GB_2022-01-11-commons.u187	My beloved mum died of covid in March 2020. She died alone in hospital while I sat in the car outside trying to be as close to her as I could. Even burdened with our grief, my family obeyed the rules. Just three days after the Downing Street party, we marked a solemn Eid—the first without my lovely mum When asked by Sky News about the parties, the Prime Minister did little but smirk and laugh. He should be here today but, as he is not, will the Minister confirm whether the Prime Minister will be apologising to bereaved families like mine for the anguish, pain and torment caused not just by hosting these parties but by continuing to lie about them?
ParlaMint-GB_2022-01-11-commons.u188	Order. The last of that is not the language we should use, but I think we can let this one go. I am sure the hon. Gentleman would not want it to stand on the record.
ParlaMint-GB_2022-01-11-commons.u189	I am appalled at the hon. Gentleman’s tragic loss, and I am so sorry to hear about his mother. My heart goes out to him and his family The Prime Minister knows the seriousness of covid-19 and, as the hon. Gentleman knows, he was in intensive care as a consequence of it. The Prime Minister also knows, having spoken to innumerable individuals who suffered loss themselves, that it has resulted in the death of many people in this country and around the world. He knows that, and he will never forget it I ask the hon. Gentleman to accept my assurance that the Prime Minister is someone for whom his responsibilities are writ large. He works hard in the interest of this country and he will be subject to Sue Gray’s investigation, together with her inquiry into all of these parties. I ask him to wait to see the result in, I presume, the relatively short time until we hear from Sue Gray.
ParlaMint-GB_2022-01-11-commons.u190	A constituent of mine, who I will call Malcolm, got in touch this morning having been fined with a £100 fixed penalty notice for breaching the coronavirus regulations. He accepts his wrongdoing, but it strikes me as incredibly unfair that, at the same time as the Downing Street parties were happening and Ministers and MPs seemed to be flagrantly breaching the rules, constituents like mine should have to pay. When will Malcolm and everyone else who has been fined for breaching the regulations be getting their money back?
ParlaMint-GB_2022-01-11-commons.u191	I presume that the hon. Lady’s constituent, together with others who have been penalised for breaching the regulations, was either duly convicted or accepted their responsibility. If I may say so, she is prejudging the matter. She should wait for the result of the investigation, just as Malcolm presumably did.
ParlaMint-GB_2022-01-11-commons.u192	There is an expression, “the buck stops at the top,” which is usually applied by people in leadership when they take responsibility. In April last year my 58-year-old friend Ray lost his battle with covid and died. We went to his funeral online via video link. In August my father passed away and I was fortunate enough to be in the room to hold his hand as he passed away. In the intervening months, I lost count of the number of conversations I had with families and council officers who were trying to negotiate more than six or eight people at a funeral. Will the Paymaster General please explain why the Downing Street social world is more important than those lives and the law of the land?
ParlaMint-GB_2022-01-11-commons.u193	May I start by saying that I am very sorry for the hon. Gentleman’s loss of his friend and of his father? I think it would be only fair to challenge him on his point about what Downing Street staff think. Downing Street staff work very hard for the people of this country—[Interruption. ] It would not be fair to characterise all the work they have done over the course of years in the way that he does. We do not want to prejudge what occurred on that occasion. The reality is that we should take the approach that, unless proven to the contrary, most people in public life, no matter what their party political persuasion, work in the public service and do the best they can.
ParlaMint-GB_2022-01-11-commons.u194	The Minister has come here today—pretty lonely, on his own—for the Prime Minister, to deal with the serious questions that have been raised, but no self-respecting Minister would come here without knowing the facts about what happened. The question is simply this: did the Prime Minister attend the gathering on 20 May? There is a simple yes or no answer to that. I am assuming that the Minister, in coming here to answer for him, has put the question to the Prime Minister and that he knows the answer. He is here to tell this House. Can he give the answer to that question to this House, and do so now?
ParlaMint-GB_2022-01-11-commons.u195	That is a matter for Sue Gray and her investigation. It is not a matter for me. I am supported by my colleagues throughout Government in this matter.
ParlaMint-GB_2022-01-11-commons.u196	Around 20 May, my life was saved by doctors, nurses and non-medical staff who came forward, often without personal protective equipment, and were prepared to take that risk because they did their duty. Does the Paymaster General honestly believe that the Prime Minister’s behaviour, as evidenced in our newspapers, would give confidence to those people who saved my life? Did they not deserve better?
ParlaMint-GB_2022-01-11-commons.u197	Those people who have served the people of this country and the national health service deserve everything we can give them. To answer the hon. Gentleman’s question, of course they deserve everything we can do to support them, and they get that—[Hon. Members: “No, they don’t! ”] They do get that support from this Government. The reality is that we would be wrong to prejudge and to make assumptions about what happened on any given day based on unknown sources, so I think he will wait to find out for sure what occurred.
ParlaMint-GB_2022-01-11-commons.u198	During the holy month of Ramadan, Muslims across all four nations gather for iftar events to break their fast. In May 2020, they did not. In the evenings during Ramadan, Muslims gather at the mosque to pray Taraweeh. In May 2020 they did not. And on Eid al-Fitr, they pray Eid Namaaz together and celebrate with family. On 24 May 2020, they did not. Yet on 20 May, just days before Eid, those who were making the rules at No. 10 were breaking them. If Muslims and people of different faiths listened to the rules and did not celebrate religious events, why were the rules different for those in No. 10 for social events?
ParlaMint-GB_2022-01-11-commons.u199	I acknowledge that people of the Muslim faith and indeed people of the Christian and Hindu and other faiths, including the Jewish faith, have all suffered considerable interruption to their high holy days. I absolutely accept that, and for many people of strong faith that is very painful. They did so around the world, in other countries too, in the wider public interest, to support the public health of all. They were asked to do that and they did so in order to protect their fellow citizens. We respect that and admire that. We asked people to do that with a heavy heart, but we did so for the best reasons.
ParlaMint-GB_2022-01-11-commons.u200	The unavoidable truth is that the public believe the Prime Minister is a liar who treats them with contempt. There is a crisis of public confidence. Is not the only way to restore public confidence for the Prime Minister, for once, to act in the public interest and resign now?
ParlaMint-GB_2022-01-11-commons.u201	I do not think the public believe what the hon. Gentleman believes.
ParlaMint-GB_2022-01-11-commons.u202	I have raised this matter previously with the Paymaster General, and I am grateful to you, Mr Speaker, for granting the urgent question. In January last year, I almost missed the birth of my son; my wife was 9.5 cm dilated before I was allowed in. She was found in a freezing cold bath, having uncontrolled contractions. We followed the rules to protect midwifery staff. Since I raised this matter before Christmas, I have been inundated with emails from my constituency and across the UK. I and many parents—fathers, mothers, partners—would like an apology from the Prime Minister. As we followed the rules to protect NHS staff, he partied. Can the Paymaster General show some grace and be up front with this House over what he knows, because the public really have had enough?
ParlaMint-GB_2022-01-11-commons.u203	I am very sorry that the hon. Gentleman nearly missed the birth of his child, and I know that many parents will have missed the birth of their children during the course of this appalling pandemic. The purpose of the investigation is to establish the facts, and if wrongdoing is established there will be requisite action.
ParlaMint-GB_2022-01-11-commons.u204	I thank the Paymaster General for coming to the House today, but the people of Newport West expected to see the Prime Minister. It is a shame that the Paymaster General has to cover for his boss and I really feel sorry for him because he has a rotten job today, but can he tell us why anyone in this House, or this country, should ever believe a word that the Prime Minister says again?
ParlaMint-GB_2022-01-11-commons.u205	The Prime Minister will be here tomorrow, at Prime Minister’s questions, in the normal course of events; that is more frequent than almost any other Minister answers departmental oral questions here. I think it is only fair to point out that the Prime Minister answers these questions himself. I have the support of the entire Government in this matter, in the answers that I can give, and my answers are predicated on the fact that in the order of natural justice, we wait for the results of the inquiry and investigation that is taking place. That would be the case with anybody else—it is not special treatment—against whom an inquiry is taking place. I am sure the hon. Lady would accept that.
ParlaMint-GB_2022-01-11-commons.u206	I wonder whether the Paymaster General can simply clarify for us—has he asked the Prime Minister about this party?
ParlaMint-GB_2022-01-11-commons.u207	I will not disclose personal conversations, or otherwise. What I will say is that it is my—[Interruption. ] I am answering the questions on behalf of the Government today and the reality is, the investigation will take its course and the hon. Lady will have answers then.
ParlaMint-GB_2022-01-11-commons.u208	My good friend and constituent, Will, whose father was ill with cancer, only saw him through a window for his 50th birthday, the day after the Downing Street party. Five weeks later his father sadly passed away, and only 15 were allowed at the funeral. What do the Minister and the Prime Minister have to say to Will and his family, because quite frankly they feel that there is one rule for them and another rule for everyone else?
ParlaMint-GB_2022-01-11-commons.u209	I offer my condolences to the hon. Lady’s friend and constituent and her friend’s father for their loss. When I speak from this Dispatch Box, I do so as an individual who understands the loss that others have suffered. We all know that; everyone in this House knows that. We all are equal under the law in this country, and as a Law Officer I recognise that first and foremost. She will no doubt also recognise that in the interests of fairness, when the inquiry or investigation is under way it should be allowed to come to its natural conclusion.
ParlaMint-GB_2022-01-11-commons.u210	It pains me that Muslims could not celebrate Eid with their families, but what pains me more is the fact that on 20 May one of my constituents was being buried at Nab Wood cemetery. Her daughter, Maxine Elliot, told ITV today that, when Barbara Elliot was being laid to rest, she and her family were behind barricades as the coffin went past. Only 10 members of the family were allowed to attend, and they were not allowed to kiss the coffin or put a flower on it. All this was happening while 40 people, including the Prime Minister and his wife, were at a party in the garden of No. 10 Downing Street which people could attend as long as they brought their own booze. What has the Minister to say to Maxine Elliot, and will he ask the Prime Minister to apologise personally to her and her family?
ParlaMint-GB_2022-01-11-commons.u211	I cannot begin to imagine the personal tragedy and loss of the family, friends and relatives the hon. Member described, and there is no attempt to do so on my part. All I can say is that my heart goes out to them for their loss. We have had to suffer considerable impositions in this country as a consequence of the pandemic, but those impositions have been placed on society with good reason, to protect the wider public interest.
ParlaMint-GB_2022-01-11-commons.u212	This morning, I received a phone call from Jill McCulloch in my constituency. She was greatly angered by the overnight news and by recent reports about parties in Downing Street. Her father, who would have been 100 this year, passed away in the summer of 2020. She was not able to visit him in May 2020 because, like so many people up and down the country, she was abiding by the rules. Is it not a simple fact that this Government live by one rule for themselves and another for the rest of us?
ParlaMint-GB_2022-01-11-commons.u213	Certainly not. If that were the case, there would be no investigation. The very fact that there is an investigation in progress—the very fact that this matter is in the public domain and is being inquired into—is a clear indication that the same rules apply to everyone.
ParlaMint-GB_2022-01-11-commons.u214	When one of my constituents gave birth to her first child in May 2020, her husband could be there only for the final stages of labour, and had to leave two hours after the birth of his son. Mum and baby had to stay in hospital owing to complications, and they were not allowed any visitors. She was lonely and isolated, and her baby was struggling to feed. Her husband did not see the baby again until he was four days old My hon. Friend the Member for Ogmore (Chris Elmore) has asked the Minister if he will apologise to the parents of lockdown babies who did the right thing, at great personal cost, while No. 10 partied. Will the Minister now give that apology?
ParlaMint-GB_2022-01-11-commons.u215	I cannot prejudge the investigation, but of course it is a source of considerable personal regret that anyone should suffer that imposition, inconvenience and distress, of which many examples have been given in the House. Of course that is a matter of personal regret. It is not appropriate to prejudge the investigation that is in progress. However, if the hon. Lady is asking me to express my regret about the tragedy that has befallen all those families who have suffered loss, and what have been grotesque invasions of their family life, I do so, unreservedly.
ParlaMint-GB_2022-01-11-commons.u216	In Northern Ireland last week, we reached the milestone of 3,000 deaths due to covid, which means that 3,000 families who followed the rules are grieving today. Those 3,000 who died included my mother-in-law, who died alone Will—[Interruption. ] Will the Paymaster General confirm that there will be a full and complete disclosure to enable the police service to ascertain that all was done decently and within the regulations on that date and at that time? I am sorry, Mr Speaker.
ParlaMint-GB_2022-01-11-commons.u217	I am very sorry for the hon. Member’s loss. He has asked me if the results of the investigation will be made public, and they will be.
ParlaMint-GB_2022-01-11-commons.u218	I noticed that the Minister conveniently avoided answering the question from the deputy Leader of the Opposition about the Chancellor, so I shall ask it again. The Chancellor was the next-door neighbour: did he know about the event in Downing Street on 20 May 2020 and did he attend the event himself?
ParlaMint-GB_2022-01-11-commons.u219	I do not know and I presume that that can be a question that Sue Gray can inquire into.
ParlaMint-GB_2022-01-11-commons.u220	Page 1, section 1.3(c) of the ministerial code says: “It is of paramount importance that Ministers give accurate and truthful information to Parliament, correcting any inadvertent error at the earliest opportunity. Ministers who knowingly mislead Parliament will be expected to offer their resignation to the Prime Minister” If the Prime Minister knowingly misled Parliament about the existence of this or any other party, will he resign as the ministerial code says he should?
ParlaMint-GB_2022-01-11-commons.u221	There is absolutely no indication of anything along those lines, so the hon. Lady is mischaracterising the position and jumping the gun. It is best not to make political points but, rather, to wait for Sue Gray’s investigation.
ParlaMint-GB_2022-01-11-commons.u222	We have heard today some reminders of what so many people in this country were going through in May 2020. One of the things that helped to keep us all together was the belief that we were all in it together and that the Government understood and supported what we were going through. Will the Paymaster General tell us whether the Prime Minister appreciates that my constituents and, I am sure, constituents elsewhere in the country now feel let down, betrayed and treated with contempt by this Prime Minister and his Government? Will he tell us when the Prime Minister will show some respect for the House and come here and answer the questions we all have for him?
ParlaMint-GB_2022-01-11-commons.u223	The Prime Minister will come to the House tomorrow for Prime Minister’s questions and the Leader of the Opposition, or his deputy, will have the opportunity to ask questions then. The hon. Lady asks whether we are all in it together; yes, we are all in this together. The Prime Minister knows—as Prime Minister, he sees the documents, the scientists and the medical professionals and he meets the families and visits around the country. He is in a better position than most to know the impact of this pandemic and he fully recognises it, not only because of his personal experience but because of what he has seen and witnessed on his visits, in his meetings and by everything else he has done as Prime Minister since this covid pandemic began. He does recognise that, he is on the side of the people of this country, and he is working to achieve the best results for the people of this country.
ParlaMint-GB_2022-01-11-commons.u224	During this pandemic, many thousands of families have suffered when loved ones have been in hospital having surgery and operations without the benefit of visits from their families—nothing to do with covid but an impact of the restrictions. My family have been through that: my brother was in hospital in May 2020 and I could not visit him. He sadly died in April 2021 and we could visit him only in the last hours of his life. What my family have suffered is no different from the experience of many thousands across this country. We stuck to the rules and did what was expected. To find out through the press that the Prime Minister and Downing Street were partying at those times made me feel sick to the stomach and I felt utter contempt for their behaviour. When will the Prime Minister come to this House, confess what has happened and take responsibility for the actions under his watch in Downing Street? Sometimes, saying sorry is good but is not enough.
ParlaMint-GB_2022-01-11-commons.u225	The Prime Minister will be here tomorrow, as I have said, in the normal course of events. He will continue to represent the Government of this country and recognises better than anyone the impact of this appalling pandemic on the people of this country.
ParlaMint-GB_2022-01-11-commons.u226	We work within a system in which the Prime Minister appoints the independent adviser and the Prime Minister is responsible for applying the ministerial code, but this Prime Minister has demeaned his position by becoming a law unto himself. He refuses to observe the Nolan principles, so who among this Government is going to be brave enough to tell the Prime Minister that the party is finally over?
ParlaMint-GB_2022-01-11-commons.u227	The hon. Gentleman makes those accusations; they are not supported by the evidence and he should wait to see what the result of the investigation is. The Prime Minister acknowledges the importance of the Nolan principles in public life and he adheres to them.
ParlaMint-GB_2022-01-11-commons.u228	In December, the Prime Minister said: “I can understand how infuriating it must be to think that the people who have been setting the rules have not been following the rules, because I was also furious”. —[Official Report, 8 December 2021; Vol. 705, c. 371. ] I can only imagine that his own Cabinet and Ministers must be furious, given that so few of them have showed up here today—supporting him in the same way perhaps that a rope supports a hanging man. I will tell the Minister who else was furious: my constituents—churchgoers unable to go to church at Easter; Muslims unable to go to the mosque and celebrate Eid with their families; and my local Muslim burial ground in Redbridge, at times unable to dig the graves fast enough to put the bodies in. When will the Prime Minister use his next address to the nation to apologise to each and every one of those families for his disgraceful rule breaking, which not only has left this Government devoid of any support among the British public but is harming our democracy itself?
ParlaMint-GB_2022-01-11-commons.u229	I have already said, and I will repeat, that those who were unable to celebrate the high holy days of their religion suffered a terrible imposition, whether that was at Easter for the Christian community, Eid or Passover. One can only express sorrow that that has had to happen, but it has had to happen in countries around the world because of the exigencies of the pandemic. The Prime Minister is carrying on the business of government, as my fellow Ministers are, and will continue to do so.
ParlaMint-GB_2022-01-11-commons.u230	I thank you for granting this important urgent question, Mr Speaker. The Minister will not think me fair and will go on about process, but I have to say, having listened to what everybody has said about what their constituents have been through, that coming here with not a single answer to a single question is the height of disrespect. Can I ask a simple question—one that will be easy for the Minister to answer and that he must know the answer to? When will this investigation be over?
ParlaMint-GB_2022-01-11-commons.u231	I think the hon. Lady is fair—I am sure she is fair—and I think she does clearly know that no disrespect is intended, but what she does not recognise is that what is also fair is the proper administration of justice, and one of the fundamental tenets of fairness, a pillar, is to allow investigations to continue. She wishes to prejudge; she wishes to cast stones before she knows what has exactly happened. The fair thing to do would be to await the result of any investigation that has been commissioned.
ParlaMint-GB_2022-01-11-commons.u232	If ever there was a time to be candid with this House, it is now. I am asking the Paymaster General a question, not anybody else. He did not answer my hon. Friend the Member for Garston and Halewood (Maria Eagle), so I will give him another go. Has the Paymaster General been told whether the Prime Minister attended the Downing Street party on 20 May or not? If so, what was the answer?
ParlaMint-GB_2022-01-11-commons.u233	I am not going to discuss in this House what private conversations take place between Government Ministers.
ParlaMint-GB_2022-01-11-commons.u234	You have a duty to this House.
ParlaMint-GB_2022-01-11-commons.u235	I know my duty to this House, and the reality of the matter is that the hon. Gentleman wishes to prejudge the matter. He is wrong to do so. It is not a matter for me—I am not conducting the inquiry—but a matter for Sue Gray. Sue Gray and her team will be investigating the matter and will come to the due conclusion. He should wait patiently for that. I think the predecessor question was about when that answer will come. I do not know the answer to that, but we have asked that it be done swiftly, and as soon as that is possible, it will be given.
ParlaMint-GB_2022-01-11-commons.u236	I was pleased to hear the Paymaster General tell us earlier that the Prime Minister has recently visited a police station. I hope he will be visiting another one soon, this time with the benefit of his solicitor I want to return to the issue of fixed penalty notices that was raised by another hon. Member. Last April, the Joint Committee on Human Rights issued a report saying that the fixed penalty notices issued during the height of the crisis, which could be as much as £10,000, were “muddled, discriminatory and unfair”. The incident that is currently being investigated—I use the word advisedly—only goes to show that we were right in our concerns about unfair enforcement of the rules during the pandemic. The Paymaster General acknowledged earlier, as one would expect from a former Law Officer, that one of the most important principles to a democracy is that of equality before the law. So will the Government now commit to reviewing all the fixed penalty notices that were issued during the height of the crisis, as recommended in our report, and consider pardons for those who have been held to a higher standard than those who govern us?
ParlaMint-GB_2022-01-11-commons.u237	Surely the hon. and learned Lady would know about the pillars of fair justice. She knows that it is necessary to wait for the result of the investigation. She would know that better than most. As for the enforcement of rules, they apply equally to everyone in this country, they have done for many generations, and they will continue to do so.
ParlaMint-GB_2022-01-11-commons.u238	In May 2020, a constituent told me this: “I had a little baby boy on 17th April but because of [pandemic] conditions we have been unable to have anyone round—not friends, not family. We’re completely on our own. It’s been really hard. My Dad hasn’t met his grandson and I’m feeling exceptionally isolated and alone without any support. ” How does the Minister feel—how does he himself feel—about the behaviour of the Prime Minister and Downing Street staff enjoying a drinks party while new mothers such as my constituent felt unsupported and desperately alone?
ParlaMint-GB_2022-01-11-commons.u239	I can tell the hon. Lady how I feel about what has happened to her constituents. As a human being, I feel considerable regret and sorrow, and indeed distress, for those who have suffered loss—of course I do. We all do. We would not be human if we did not. So I say to her that I am terribly sorry for the loss of her constituents’ friends and families, and for everybody who has suffered loss, but my feelings are irrelevant; what matters is the opinion of those who have been charged with the heavy duty of investigating the propriety of gatherings that may or may not have taken place. When that person then reports back on the result of their investigations, no doubt the hon. Lady will wish to discuss the matter further.
ParlaMint-GB_2022-01-11-commons.u240	The Paymaster General has made various references to fairness and natural justice. He has made no reference at all to the Nolan principles: the seven standards that govern us all in public life, including honesty, leadership and accountability. On that basis, why will the Prime Minister not do what Gavin Barwell, a former chief of staff in No. 10 has suggested, and come clean and say whether he attended that party or not? Why is he hiding behind Sue Gray’s investigation?
ParlaMint-GB_2022-01-11-commons.u241	No one is hiding behind anything. The fact is that the Prime Minister will be here at PMQs tomorrow, as I have already said. The investigation is free of any fear or favour. It is taking place impartially and will produce an equitable result. When we know what that result is, we will be able to comment further, but we must not prejudge the matter. I think I did actually refer to the Nolan principles in an answer to a question from the Scottish nationalists. What I know is that the Prime Minister respects those seven principles of public life and that he adheres to them. He has served in the public realm for many years, as Mayor of London, as a Member of Parliament, as Prime Minister, and before that as Foreign Secretary. I know the Prime Minister and I know that he is a man of integrity and he wishes to conduct himself appropriately. What will happen will be that in the normal course of events the senior civil servant—and the civil service is an entity that we all respect in this country—who has been charged with an independent assessment of this matter will report in due course.
ParlaMint-GB_2022-01-11-commons.u242	My constituent, Alison Lawther, who is a nurse in the ICU at the Whittington Hospital, left her role wanting to go to the funeral of her grandmother, but, tragically, could not get there for covid reasons. Will the Paymaster General send a message to Alison, who works day in, day out looking after covid patients—the Whittington Hospital having had one of the highest numbers of covid cases last week? What does he say to Alison and to her family given that she had to watch her grandmother’s funeral on Zoom and slaved while they over there partied with their bring-your-own-booze party? It is an absolute disgrace.
ParlaMint-GB_2022-01-11-commons.u243	I can only offer my condolences to the hon. Lady’s constituent for their terrible loss, and I offer those condolences through her to her constituent.
ParlaMint-GB_2022-01-11-commons.u244	At the time of the No.10 Downing Street party, people in Swansea, Wales, could have faced fines between £60 and £1,920 for holding similar events. Does that not show the respect that the Welsh Labour Government have for the public health of their citizens in contrast to the contempt that the Prime Minister has for the public health of citizens here? Given that he must know whether he was at the party, why will he not simply say that? Why should we wait for an inquiry to find out what he already knows? Why is he hiding the truth?
ParlaMint-GB_2022-01-11-commons.u245	It would be inappropriate to make a running commentary on an investigation that is in progress. We will continue to await the result of the investigations undertaken by Sue Gray.
ParlaMint-GB_2022-01-11-commons.u246	My constituent Ruby Fuller was a remarkable young woman who had been head girl at the Charter School in Dulwich. She lived by her motto, “Live kindly, live loudly”, in pursuit of her passion for social justice. She had many, many friends. Ruby died aged 18 from non-Hodgkin lymphoma on 15 May, the same day that the Prime Minister sat enjoying cheese and wine in the Downing Street garden and five days before 100 staff were invited to a bring-your-own-booze party. Ruby’s friends had to say goodbye on Zoom, and her family were allowed just 10 people at her funeral. What does the Prime Minister have to say—via his Minister—to Ruby’s family, and also to her friends? These are young people in my constituency who should have confidence in their Government, but they are looking at the evidence in front of them, in plain sight, and seeing that it is one rule for the Government and another for everyone else.
ParlaMint-GB_2022-01-11-commons.u247	What the Prime Minister will have heard, and what I have heard, is that Ruby lived by the motto “Live kindly, live loudly”. To lose such a young life at such a tragic age in such appalling circumstances is a sorrow that those who loved her will never be able to get over. There is nothing that I can say that will ameliorate that. What I can say is that both the Prime Minister and I—and the entire Government—would offer our condolences for their loss and say that, in the short life that Ruby lived, she made people around her happy and she will be remembered throughout the lives of her family and friends.
ParlaMint-GB_2022-01-11-commons.u248	Does the Minister agree that every moment that goes by that the Government of the United Kingdom are unable to say where the Prime Minister of the United Kingdom was on 20 May makes the Government more and more of a laughing stock and undermines the critical public health messages on which so many lives depend? Will he apologise to the heroes of the NHS, such as those at Newcastle hospitals trust, who spent hours and hours in full personal protective equipment, working exhausting and often traumatic shifts and yet managed to keep to lockdown rules?
ParlaMint-GB_2022-01-11-commons.u249	The Prime Minister has personally thanked all of those who have worked to protect people during this pandemic and will continue to do so. He has visited hospitals, spoken to medical professionals—doctors, nurses, scientists—and to those directly involved and has repeatedly thanked them. He feels that thankfulness from the bottom of his heart. He himself was served at St Thomas’s Hospital by medical professionals who helped to save his life when he was admitted to intensive care. He knows this at first hand.
ParlaMint-GB_2022-01-11-commons.u250	As of yesterday, across Clydebank, Dumbarton and the Vale of Leven, 300 men and women—my constituents—have died of covid-19. Most were intubated, the vast majority were alone, and many were without access to the burial traditions of our ancestors. I ask the Paymaster General whether they agree that if a Tory party in Downing Street took place during a global public health emergency, and if the Prime Minister participated and/or sanctioned it in any shape or form, and if senior members of the British civil service in Whitehall did the same, or were even invited and did nothing to advise against it, that is a fatal blow not only to the Prime Minister’s premiership but to the independence and impartiality of the civil service in Whitehall?
ParlaMint-GB_2022-01-11-commons.u251	It is not appropriate to prejudge. The hon. Gentleman wishes to prejudge what occurred. We will await the outcome of the investigation.
ParlaMint-GB_2022-01-11-commons.u252	Today, I received an email from a constituent, Angela, whose mother died in a nursing home in St Helens where she was unable to hold her hand or be close to her before her death. She is outraged, as are many other people, by the actions of the Prime Minister and the people who partied in the Downing Street garden. Does the Paymaster General agree that the Prime Minister needs to take the decent action and resign?
ParlaMint-GB_2022-01-11-commons.u253	No, I do not agree, because that would be inappropriate. The Prime Minister has devoted his time as Prime Minister to serving the people of the country in dealing with the crisis that has been the pandemic—probably the biggest crisis of any type that has befallen the country since the end of the second world war. This Prime Minister has led the way. He has delivered on vaccines, on healthcare and across the board and he has achieved the results, in very difficult circumstances, that we see in the progress of the pandemic. We are awaiting the results of an independent investigation into allegations of gatherings. When we have that information, we will be able to comment further.
ParlaMint-GB_2022-01-11-commons.u254	Two days after the party on 20 May, the revelations came out about Dominic Cummings. Five days after the party, we had the Downing Street press conference, where he explained his activities in Barnard Castle. Some 923 people wrote to me in anger about that, many of whom were angry about not just the incident itself but the attempted cover-up. It seems that the Government are making exactly the same mistake again. The British people want honesty. I ask the Paymaster General a very simple question: completely separately from the inquiry, can he publish a list of the Prime Minister’s engagements on 20 May?
ParlaMint-GB_2022-01-11-commons.u255	It is not a matter for me. The Prime Minister’s engagements, I believe, are a matter of public record. Those that are routinely released, are a matter of public record; those that are not, are not routinely released. That is the general practice that occurs and has occurred with Prime Ministers from the different parties of the House. I know that the hon. Lady will want to wait for the result of the investigation for a proper answer.
ParlaMint-GB_2022-01-11-commons.u256	My constituent Frances called my office this morning, angry and upset that while she was unable to visit her brother with learning disabilities during lockdown, the Prime Minister and his staff were partying it up in the Downing Street garden. Her brother was unable to understand why his family could not visit and he believed that they had died and was in great distress as a result. What has the Paymaster General got to say to Frances and her brother?
ParlaMint-GB_2022-01-11-commons.u257	What I say to Frances and her brother, and to the constituents of all hon. Members on both sides of the House who have suffered loss, is that my heart and sympathies go out to them. I deeply regret the personal loss, tragedy, bereavement and distress that has befallen tens of thousands of people in the country. That is what I offer; I hope that it is accepted. All I can do is say that we are all working extremely hard to mitigate the impact of the pandemic and we will continue to do that.
