ParlaMint-GB_2022-05-16-commons.u1	1. What steps he is taking to support local leaders in regenerating high streets and town centres.
ParlaMint-GB_2022-05-16-commons.u160	Is my hon. Friend aware that 19 Israelis, not including foreign nationals, have also been killed by terrorism since 21 March, and that Jewish lives, and Israeli lives, matter as much as the life of the journalist who tragically lost her life? Is she also aware that a Hamas leader recently incited the Palestinians to act in ways of terrorism with the use of the knife and the gun? What is she doing to help the Israelis to combat terrorism and these awful murders of Israeli citizens?
ParlaMint-GB_2022-05-16-commons.u161	This is an important point. Israel does have a legitimate right to self-defence and the right to defend its citizens from attack, but it is absolutely vital that all actions are proportionate and in line with international humanitarian law, and they must make every effort to avoid civilian casualties.
ParlaMint-GB_2022-05-16-commons.u162	I send my condolences to Shireen’s family, friends and colleagues at Al Jazeera. She was unlawfully killed while doing the job she loved and was greatly respected for, while clearly identified as a journalist, in what can only be described as a targeted attack for reporting actions of Israeli forces in the occupied territory of Jenin. Does the Minister agree that an international criminal court should undertake a full independent, not just impartial, investigation, and that swift action should be taken to bring those responsible to justice?
ParlaMint-GB_2022-05-16-commons.u163	I thank the hon. Member for reminding us that there are family and friends involved. I add my condolences and those of the Government to the family and friends of Shireen. In losing such a talented person in such an awful situation, my thoughts are with them. We have called for an immediate investigation that does need to be fair and impartial, because it needs to have the trust of all those in the area. That is why it is so important that it happens soon.
ParlaMint-GB_2022-05-16-commons.u164	I draw the attention of the House to my declaration in the register as a founder director of the International Centre of Justice for Palestinians. In that respect, I have since then avoided engagement on Palestinian issues in this House. However, this Opposition urgent question about the killing of journalist Shireen Abu Aqla, almost certainly by a targeted shot coming from the forces who are in illegal occupation of a Palestinian territory, allows me to ask how long we must wait for the United Kingdom to actually do anything to enforce accountability on the state of Israel for its gross and worsening breach, over 55 years, of the fourth Geneva convention, while noting the shaming contrast with our own brave and principled policy towards Ukraine.
ParlaMint-GB_2022-05-16-commons.u165	My hon. Friend is right to be concerned. The UK Government are very concerned about the very fragile security situation in Jerusalem. We continue to call on all parties to de-escalate tensions. The British ambassador to Israel and the British consulate general in Jerusalem have been engaging with Israeli and Palestinian leaderships to support them in restoring calm. We have made it clear that there is a need to protect holy sites. This sort of horrific violence against civilians is truly contemptible. We absolutely call on all sides to de-escalate the situation and come to the dialogue tables to work towards peace.
ParlaMint-GB_2022-05-16-commons.u166	I acknowledge my role as chair of Labour Friends of Israel. The killing and the events at the funeral are shocking by any standards. I absolutely condemn what happened at the funeral, but as I understand it Shireen Abu Aqla was killed during a gun battle; the facts have not yet been established, and the Palestinians have rejected an offer of a joint investigation with the Israelis. Surely in this place it helps no one to state as fact what people want or feel inclined to believe. Will the Minister do everything to offer British resources and assistance to ensure that an independent, impartial investigation is established, and that we participate in it, if that would be helpful?
ParlaMint-GB_2022-05-16-commons.u167	We are not only calling for that investigation but working with other members of the UN Security Council on that joint statement from countries around the world strongly condemning the killing and stressing the importance of the investigation.
ParlaMint-GB_2022-05-16-commons.u168	Shireen Abu Aqla has been referred to as the voice of events in Palestine as part of a much-needed open and free press, but there are fears that her killing will spark refreshed conflict in the west bank. Can my hon. Friend assure the House that if anything can come from this tragedy, it is that it is the Government’s priority to secure peace in the region?
ParlaMint-GB_2022-05-16-commons.u169	Our priority in the region has always been to work towards peace; that is why it is vital that tensions are de-escalated now. That is what we are urging the authorities to do on the ground: de-escalate, come back to dialogue and work towards peace.
ParlaMint-GB_2022-05-16-commons.u170	I acknowledge my role as chair of Labour Friends of Palestine and the Middle East and of the Britain-Palestine all-party parliamentary group. Will the Minister state exactly how the Government intend to support an impartial investigation, which needs to be independent? Under this Government this country has a poor track record on impartial investigations, including on the issue of the jurisdiction of the International Criminal Court, which the Prime Minister opposed, as well as the UN commission of inquiry report on Gaza, from which the UK abstained.
ParlaMint-GB_2022-05-16-commons.u171	The immediate actions that we have taken have been, first, to condemn the situation and then to work with the UN Security Council on that joint statement of condemnation which also calls for the investigation. We are obviously using our own diplomatic links both in Israel and in Jerusalem, engaging with the leaderships; and, of course, we will always look at what further measures should be taken.
ParlaMint-GB_2022-05-16-commons.u172	The Minister is right to condemn the recent terror attacks on innocent Israelis, which are increasingly being directed from the west bank by Hamas and Palestinian Islamic Jihad. She is also right to condemn this killing and to express her belief, which we all share, that journalists should be allowed to report anywhere safely. However, too many people, for whatever reason—sinister or otherwise—have already determined what the facts are, and did so as soon as the story broke. I urge my hon. Friend once again to ensure that the UK Government’s position continues to be in support of an independent inquiry, and emphasise that any inquiry, if it is to be worth anything at all, will require the buy-in of both the Israeli Government and the Palestinian Authority, or else it will simply become a political dividing line.
ParlaMint-GB_2022-05-16-commons.u173	That is precisely why it is so important that the UN Security Council has described in such detail the need for the investigation to be immediate, thorough, transparent and fair, as well as impartial.
ParlaMint-GB_2022-05-16-commons.u174	Shireen Abu Aqla was a Christian Palestinian like my family, and her death feels like we have lost a sister. The scenes from the funeral were deeply upsetting, but the Minister may be aware that the Israeli police were trying to segregate the Christians from the Muslims in their mourning. Indeed, the day before they had stormed Shireen’s house. They went in, disturbed the wake and took a Palestinian flag from the room. It is disgraceful, and it is a clear provocation. I ask the Minister simply this: has she summoned the Israeli ambassador to make it clear how unhelpful to the peace process this is?
ParlaMint-GB_2022-05-16-commons.u175	We have made very clear the need to restore calm, we have made it very clear that we condemn this action and we will always look at what further steps should be taken.
ParlaMint-GB_2022-05-16-commons.u176	Shireen Abu Aqla was a respected journalist, and I thank the Minister for her statement. I am pleased at the role the UK played, as a permanent member of the UN Security Council, in securing unanimity in its condemnation. Does the Minister share my concerns about what this means to the relationship between the Palestinian and Israeli communities over the long term, and does she agree that the best action in memory of Shireen Abu Aqla would be an open and transparent investigation participated in by all parties?
ParlaMint-GB_2022-05-16-commons.u177	My right hon. Friend is absolutely right. As I said in my opening statement, both those who mourn her and she herself should be treated with respect and dignity. Again, that is another reason why this investigation needs to be so thorough. It needs to be deep, it needs to fair, it needs to be impartial and it needs to happen soon. We are very concerned about the escalating tensions we have seen over recent weeks and months with increased violence, and it is really important to fight for calm rather than see more violence.
ParlaMint-GB_2022-05-16-commons.u178	The reality remains that every time a Palestinian child is born there is one certainty—that in life they will face persecution, oppression and humiliation at the hands of an occupying Israeli military. However, the soul-shattering scenes we saw last week, with the funeral procession of Shireen Abu Aqla brutally attacked by the Israeli security forces, now mean that they will be stripped of their dignity in death as well. Yet again, all the international community and this Government do is offer empty words, so I ask the Minister: just what are this Government waiting for, and why will they not immediately recognise the state of Palestine? What message are this Government sending to Palestinians, who have now been stripped of their dignity in life and death?
ParlaMint-GB_2022-05-16-commons.u179	We consistently call for an immediate end to all actions of violence, and we immediately call out—and continue to do so—against all actions that undermine the viability of a two-state solution. We are also a key development actor in the region, especially working to lift the overall standards of living for Palestinians and to meet humanitarian needs. The hon. Member asks about recognising a Palestinian state. We will recognise a Palestinian state at the time when it best serves the objective of peace, because achieving peace is our primary objective.
ParlaMint-GB_2022-05-16-commons.u180	I draw the House’s attention to my entry in the Register of Members’ Financial Interests in relation to a recent delegation to Israel and the Palestinian Authority As has already been stated, the Palestinian Authority have so far refused to participate in a joint investigation into the tragic death of Shireen Abu Aqla. An initial autopsy has found that it is not possible to tell whether she was killed by Israeli or Palestinian gunfire. Facts matter, so does my hon. Friend agree that those who, for whatever reason, are jumping to blame Israel will only deepen division and make peace harder to achieve?
ParlaMint-GB_2022-05-16-commons.u181	It is really important that there is a proper investigation—a thorough, fair and impartial investigation—but I repeat that we are concerned by the number of Palestinians who have been killed by Israeli security forces in recent weeks, and we urge thorough and transparent investigations into the deaths of civilians as well. It is really important that there is restraint in the use of force, and we will continue to say that again and again.
ParlaMint-GB_2022-05-16-commons.u182	A constituent of mine who went to school with Shireen Abu Aqla has been in touch to share her sense of helplessness at what seems to be yet another state-sanctioned killing in the occupied territories. She said to me at the weekend that it seems to her that it is always incumbent on the Palestinians to prove their innocence and fight for basic human sympathy for the events that befall them. I fully accept that the killing has to be investigated independently, but having regard to what followed—the raiding of the home, the appalling behaviour of the Israeli authorities at the funeral—can the Minister please answer the question she was asked earlier: will she summon the Israeli ambassador? Clearly, the Minister feels outrage at what has happened—she has been very honest about that—so will she summon the Israeli ambassador to communicate her outrage?
ParlaMint-GB_2022-05-16-commons.u183	We have been very clear that we have condemned this killing. We absolutely share the hon. and learned Member’s concern for the distressing and disturbing scenes at the funeral. We have called for a thorough investigation, we have called for respect and dignity, and we call for all parties to reduce the tensions and to come and work together towards peace. Delivering peace is what Shireen would have wanted and is what we all want.
ParlaMint-GB_2022-05-16-commons.u184	As the hon. Member for Birmingham, Selly Oak (Steve McCabe), the chairman of Labour Friends of Israel, said earlier, this was in the middle of a gun battle between Israeli forces and Palestinian forces. The Labour Friends of Israel chairman is right, and my hon. Friend the Member for Buckingham (Greg Smith) is also right in saying that the initial autopsy—which was conducted by the Palestinian authorities, not the Israeli authorities—said that it was impossible because the bullet removed was a 5.56x45 mm NATO round used both by the Israelis and the Palestinians. Therefore, may I ask my hon. Friend the Minister to ensure and put pressure to ensure that this is an independent inquiry, because justice must not only be done, but be seen to be done?
ParlaMint-GB_2022-05-16-commons.u185	My hon. Friend is right about justice: justice is really important. We absolutely condemn this killing and will continue to stress the need for the investigation to be fair, impartial, thorough and prompt.
ParlaMint-GB_2022-05-16-commons.u186	I am secretary of the National Union of Journalists parliamentary group and we have raised these issues before, but, with regard to this killing, let us put it in the context of the systematic abuse of Palestinian journalists. The International Federation of Journalists already a month ago referred these incidents to the International Criminal Court. May I therefore, in that context, and in view of the happenings subsequent to the killing, which were disgraceful, repeat the question for the third time? The minimal action any Government can take is to call the ambassador in to express the concerns of the Government about the Israeli state’s behaviour, so can we ask for the third time: have the Government invited, or do they intend to invite, the Israeli ambassador to the Foreign, Commonwealth and Development Office for that discussion?
ParlaMint-GB_2022-05-16-commons.u187	I have been very clear about the actions the Government have taken to date. We continue to condemn this, we have called for an investigation, we have, through our ambassadors and the British consul in Israel and in Jerusalem, made very clear our position supporting the leaders to restore calm, the need to protect holy sites and the need for dialogue to move towards peace, and of course we always take any future measures into consideration.
ParlaMint-GB_2022-05-16-commons.u188	The Minister will have heard Members across the House calling for not just an impartial investigation, but an independent investigation. I will tell her why it matters: because in this modern world, independent fact checkers have been able to put together compelling, open-source evidence that points clearly to the responsibility of the Israeli forces for the murder of Shireen Abu Aqla. Given that, will the Minister confirm that the UK’s official position is that there should be an independent inquiry, not just an impartial one, so that the Israelis and the Palestinians can both have confidence in the outcomes? Will she clarify that: yes or no?
ParlaMint-GB_2022-05-16-commons.u189	I think that it is really important that we work with partners across the world through the UN Security Council. It is the UN Security Council’s wording, agreed among all those countries, that calls for an impartial investigation. That is the wording that has been agreed by the UN Security Council.
ParlaMint-GB_2022-05-16-commons.u190	I find it heartbreaking that, after decades of violence, illegal occupation, demolition of Palestinian homes and complete disregard for human rights, the UK has failed in its obligation and duty to recognise the state of Palestine. It took the Foreign Secretary more than 24 hours to put out a statement after the murder of al-Jazeera’s esteemed journalist Shireen Abu Aqla. What message does that send to those responsible for Shireen’s tragic murder? In the light of the history, why are the Government not pushing for a full independent inquiry? Given the close relationship between the UK and Israel, now, for the fourth time of asking, will the Minister summon the Israeli ambassador to demonstrate the outrage at the behaviour of security forces during Shireen’s funeral?
ParlaMint-GB_2022-05-16-commons.u191	Shireen’s death was a true tragedy and we have condemned it. On 11 May, the Foreign Secretary condemned it. We have also worked very rapidly with our colleagues at the UN Security Council to deliver the joint statement of condemnation and to call for the investigation that I have mentioned. We continue to press for peace. We saw those very distressing images at the funeral and will always look at what further steps should be taken.
ParlaMint-GB_2022-05-16-commons.u192	I refer to my entry in the Register of Members’ Financial Interests, including my role as co-chair of the cross-party National Union of Journalists group and on various Palestinian groups. I want the Minister and Members to imagine for a moment attending the funeral of a family member or friend. In what circumstances would what we witnessed on our TV screens happening to the pallbearers carrying the coffin be reasonable or proportionate? How can it be acceptable for the police or security services of any nation to attack pallbearers to the extent that the coffin falls on the ground? Not only do we call for the Minister’s condemnation, but, for a fifth time, I call on her to summon the Israeli ambassador here to account for her actions.
ParlaMint-GB_2022-05-16-commons.u193	I have attended many funerals in my life, from early childhood, and that is one that will always stay with me. Mourners should always be treated with respect and dignity. Shireen and her family should have been treated with respect and dignity. We totally condemn her death and the manner in which she died. We believe that this really urgent investigation is needed to help to rebuild peace. That must be our priority.
ParlaMint-GB_2022-05-16-commons.u194	I call Liz Saville Roberts.
ParlaMint-GB_2022-05-16-commons.u195	Diolch yn fawr, Mr Llefarydd. The International Federation of Journalists’ complaint to the ICC about the treatment of Palestinian journalists is about not only protecting the human rights of journalists, but safeguarding the work that they do as a profession to protect collective human rights. The Secretary of State has spoken many times about the need for an independent and impartial investigation. To ensure that independence and impartiality, will she support the IFJ’s complaint to the International Criminal Court to ensure those very virtues?
ParlaMint-GB_2022-05-16-commons.u196	As I said, we have been working with our friends and other members of the UN Security Council on the joint statement about the investigation. I do not have any further details that I can share with the right hon. Member at present.
ParlaMint-GB_2022-05-16-commons.u197	As if the ongoing dispossession and discrimination faced by the Palestinian people was not enough cruelty, Israel continuously targets Palestinian journalists. There is not only the murder by Israeli snipers of Shireen Abu Aqla, who for decades bravely reported the crimes inflicted on her people. Since 2000, Israel has killed an estimated 51 Palestinian journalists and an independent UN commission of inquiry found that, during the 2018 march of return, Israeli snipers intentionally shot Palestinian journalists who were clearly marked as such, killing Yasser Murtaja and Ahmed Abu Hussein. What will it take for the Government to stop equivocating over these horrific crimes and hold Israel to account for its routine violations of international humanitarian law? And for the seventh time, will the Minister summon the Israeli ambassador?
ParlaMint-GB_2022-05-16-commons.u198	We stand by journalists all across the world and it is a tragedy that so many journalists have been killed in recent years, and particularly this year. That is why we continue to raise issues of media freedom on the global stage. In February in Estonia, we announced support for the secretariat for the Media Freedom Coalition, which we founded and which now has 52 members. We will absolutely stand for media freedom and for journalists all across the world.
ParlaMint-GB_2022-05-16-commons.u199	It is important that the Minister has condemned this killing this afternoon and I thank her for doing so several times. Many of us are puzzled by her reluctance to summon the Israeli ambassador; that seems like the first step that should have been taken. Will the Government now commit to supporting the International Criminal Court investigations into not only this incident, but the wider behaviour of the Israeli Defence Forces in the occupied territories?
ParlaMint-GB_2022-05-16-commons.u200	Not only have we worked with other members of the UN Security Council in strongly condemning this incident and needing to have this investigation, as I have mentioned, but we have been very clear that we are very concerned about other incidents of Palestinian civilians being killed by Israeli security forces in recent weeks. We continue to urge further transparent investigations of those killings as well.
ParlaMint-GB_2022-05-16-commons.u201	Another journalist is murdered in occupied Palestine. Next, the occupying power raids her family home, and then its forces brutally attack pallbearers and mourners at Shireen’s funeral. In the light of that, the Government’s response has been pathetic and inadequate. The Minister will not even call for an independent investigation—that is, independent of the Israeli forces, who have whitewashed previous deaths in this way. Will she do that? Will she say what single step the Government have taken—not said, but taken—to oppose the occupation of Palestine, which is at the root of this violence? Will they recognise Palestine? Will they ban trade with illegal settlements? Will they sign up to the ICC inquiry? If not, her words are completely empty.
ParlaMint-GB_2022-05-16-commons.u202	As I have said really clearly, we have led work at the UN to make sure that there is a joint statement not just from us, but from the entire security—
ParlaMint-GB_2022-05-16-commons.u203	Answer the question!
ParlaMint-GB_2022-05-16-commons.u204	I am answering the question—please do not heckle me This is a tragic death—a really tragic death. We have led the work at the United Nations to put the pressure on to make sure, to the best extent that we can, that this investigation happens, that it is fair and transparent, and therefore, to use the word that the UN has used—I will repeat this, because it is the word from the statement—that it is “impartial”. The hon. Gentleman asked about the settlements. We are very clear that settlements are illegal under international law. They call into question Israel’s commitment to the two-state solution. We urge Israel to halt its settlement expansion—that threatens the viability of a Palestinian state—and we will continue, always, to press for peace.
ParlaMint-GB_2022-05-16-commons.u205	Does the Minister appreciate that everyone in this House regrets the killing of men and women in Israel, whether they are Israeli or Palestinian? It is quite wrong to imply anything else. There has been talk of the necessity of establishing the facts. Does she appreciate that the facts of the terrible scenes at Shireen’s funeral are beyond doubt? Millions of people around the world have seen those images. Finally, does she understand that it is no use telling us that Shireen’s death is a tragedy? We know that. We will take her words seriously only when she commits this afternoon, in this House, to calling the Israeli ambassador to the Foreign Office. Otherwise, her words are just words.
ParlaMint-GB_2022-05-16-commons.u206	The right hon. Lady is absolutely right that all deaths in this situation are a total tragedy. What happened at Shireen’s funeral should not have happened. I cannot give further comment at this point; I have told her what we are doing, and that Ministers always consider what further steps can be taken. Our fundamental priority must be to continue urging a de-escalation of tensions, an end to violence and a pathway to peace.
ParlaMint-GB_2022-05-16-commons.u207	The murder of Shireen Abu Aqla and the attacks on mourners at her funeral have shocked the world. It is not enough to condemn those actions; we must take action. When will the UK Government stop authorising arms sales to Israel, as we know they are killing innocent Palestinians?
ParlaMint-GB_2022-05-16-commons.u208	We take the export of arms extremely seriously. As has been said many times in this House, the United Kingdom has one of the most robust arms export control regimes anywhere in the world. I hope all hon. and right hon. Members would agree that the important thing now is to call on all parties to de-escalate the tensions and to work towards peace.
ParlaMint-GB_2022-05-16-commons.u209	In the Minister’s statement and subsequent answers, she mentioned her attempts to get a statement at the United Nations. The problem is that Israel has consistently ignored any critical statements coming out of the UN, and has even sought to undermine the legitimacy of the UN and other international institutions. Why does she think this time will be any different?
ParlaMint-GB_2022-05-16-commons.u210	It is important that voices from across the world have condemned this awful deed.
ParlaMint-GB_2022-05-16-commons.u211	This is not the first time this has happened; nor will it be the last. Under occupation, Palestinians’ human rights are abused, and as we have seen, they cannot even bury their dead with dignity. Does the Minister understand that until we have a lasting peace, we will not tackle the situation at its root? Does she understand that although the UK has committed to a two-state solution, we cannot have two states if only one is recognised? Perhaps she would like to reconsider her answer to my hon. Friend the Member for Bradford East (Imran Hussain) and tell us when exactly she will recognise the Palestinian state.
ParlaMint-GB_2022-05-16-commons.u212	It is clear that unilateral recognition, by itself, will not end the occupation. We need the parties to come to talks and to work towards peace.
ParlaMint-GB_2022-05-16-commons.u213	The killing of Shireen Abu Aqla by the Israeli military and the subsequent attack on her funeral in Jerusalem demonstrate the reality of the occupation of the west bank. Amnesty International has said that it constitutes apartheid, which is a crime against humanity as defined in the Rome statute and the apartheid convention. Will the Minister not only condemn this act of inhumanity but commit now to summoning the Israeli ambassador? Will she take steps to ensure that the UK ceases all arms trade with Israel, and to ensure that Britain is not complicit in the illegal occupation of Palestine?
ParlaMint-GB_2022-05-16-commons.u214	I have already stated many times the actions that we are taking. Of course Ministers consider, at all times, what further steps might be taken.
ParlaMint-GB_2022-05-16-commons.u215	I have had a great many letters from my constituents since the brutal murder of Shireen Abu Aqla, as have, I am sure, many other Members from across the House. They are saddened. They are sickened by the scenes at her funeral. They are also deeply angry about the lack of reaction. The Minister said the word “impartial”, but can she not press the Government to push for an independent investigation into this death? Will she please place on record for the House the dates and agendas of the meetings she has had with the Israeli ambassador? We need some sort of resolution, and to establish a two-state solution in that land.
ParlaMint-GB_2022-05-16-commons.u216	The most important thing about the investigation is that it be accountable and ensures that those who carried out this act be held to account. That is why we worked towards wording that says it should be immediate, thorough, transparent, fair and impartial; and the most important thing is accountability. I cannot, from the Dispatch Box, tell the hon. Gentleman what meetings I have had, as I am not the Minister with responsibility for the middle east, but I am sure that we can follow up in writing.
ParlaMint-GB_2022-05-16-commons.u217	Surely the appalling desecration of the funeral of Shireen Abu Aqla is evidence, if any more were needed, of the crime of apartheid that is being inflicted on the Palestinian people and has been rigorously documented by Human Rights Watch, Amnesty International and the Israeli human rights organisation B’Tselem. Instead of passing laws to ban local authorities and civil society from taking action against this brutal occupation, is it not time to accept the legal analysis of those human rights organisations, and do the right and moral thing and impose sanctions in response to this appalling criminality?
ParlaMint-GB_2022-05-16-commons.u218	I am afraid I need to disagree with the hon. Gentleman, because we do not believe that boycotts, divestment or sanctions would help to create an atmosphere conducive to peace. I note that he used the word apartheid. We do not use that terminology, and we do not agree with its use, because it is a legal term, and a judgment on whether it can be used under international law needs to come through a judicial decision; that is really important. One thing I agree with him on, however, is that civil society always plays an important part in a democracy.
ParlaMint-GB_2022-05-16-commons.u219	The sad reality is that the horrific murder of Shireen is just another tragedy in 74 years of unaddressed ethnic cleansing of the Palestinian people, yet rather than sanction Israel for that behaviour, 55 years after occupation began, the UK Government are busy strengthening relations with it through new trade deals. I ask the Minister, for the first time: why will she not summon the ambassador of Israel to the Foreign Office?
ParlaMint-GB_2022-05-16-commons.u220	The most important thing we need to do is try to work towards peace. That is why we condemn this incident and are working for it to be condemned internationally, and why we called for the investigation. We want people to be held to account. That is why we are working with our ambassadors and the British Council in Jerusalem in Israel to try to de-escalate tensions.
ParlaMint-GB_2022-05-16-commons.u221	We know that Shireen was wearing a press vest and helmet, yet in addressing the circumstances of her murder, an Israeli military spokesperson said: “They’re armed with cameras, if you’ll permit me to say so. ” Will the Minister be unequivocal in her support for journalists and transparency in Palestine, condemn any sense that to carry a camera is to be armed, and reaffirm that respect for a free press should be fundamental in any state calling itself a democracy?
ParlaMint-GB_2022-05-16-commons.u222	The United Kingdom stands on the side of journalists all around the world, wherever they are. Media freedom is a vital part of our democracy and our freedom as individuals, and we stand for journalists.
ParlaMint-GB_2022-05-16-commons.u223	May I first declare an interest as a member of a Friends of Israel group? May I also thank the Minister for her response to the urgent question? I have seen innocent bystanders killed on numerous occasions in Northern Ireland. As the Minister will know, similarities are being drawn with Lyra KcKee, a journalist reporting on the unrest in 2019 who was killed by the new IRA. Does the Minister not agree that the loss of life is truly tragic, and that all possible steps must be taken to ensure the safety of those who seek to report the news from an unbiased position? What steps does she feel her Department can take to send that message internationally?
ParlaMint-GB_2022-05-16-commons.u224	We absolutely continue to call out attacks against journalists and media internationally. The hon. Gentleman is right to point out that attacks against journalists have happened in the United Kingdom in our history, and I remember that particular tragedy well. We are one of the leading countries in the world standing for media freedom. We founded the Media Freedom Coalition; it now has 52 members, and we should like to see more.
ParlaMint-GB_2022-05-16-commons.u225	I send my condolences to the family and colleagues of Shireen Abu Aqla. Can the Minister confirm that, contrary to the statement of the Israeli military spokesperson, the fact that a journalist is armed with a camera does not make that journalist a target?
ParlaMint-GB_2022-05-16-commons.u226	Journalists should never be targets.
ParlaMint-GB_2022-05-16-commons.u227	On a point of order, Mr Speaker. On 27 April, I raised the issue of the Prime Minister’s comments about increased employment since the pandemic. After that, I wrote to the UK Statistics Authority about the issue. In its reply on 11 May, the authority’s interim chair said that the Prime Minister needed to be clearer about employment statistics, and that he was running the risk of “a misleading impression of trends in the labour market” being given. The UK Statistics Authority has also contacted the 10 Downing Street briefing team about this matter on numerous occasions in the past few months, but the Prime Minister has continued to reiterate the claim. May I ask your advice, Mr Speaker, on what a Minister should do if they use statistics in a way that they then find could inadvertently mislead the House, and what action is open to the House to ensure that that advice is followed?
ParlaMint-GB_2022-05-16-commons.u228	I thank the hon. Lady for giving me notice of her point of order, which will have been heard by those on the Government Front Bench. As Madam Deputy Speaker said on 27 April, “it is important for information given to the House to be accurate…if necessary, the matter will be addressed appropriately and action taken to correct the record”. —[Official Report, 27 April 2022; Vol. 712, c. 800. ] If the hon. Lady continues to be dissatisfied, the Table Office can advise her on ways in which to take the matter further.
ParlaMint-GB_2022-05-16-commons.u229	On a point of order, Mr Speaker. I seek your guidance. Today the Foreign, Commonwealth and Development Office released its long-awaited international development strategy. This is the most significant change in policy on UK Government development since the announcement of the aid cut in November 2020. Indeed, the strategy is apparently “'the Government’s vision for the future of UK…development” and “the heart of the UK’s foreign policy” Those are the Government’s words, not mine I was very disappointed that the strategy was released as a written statement, rather than the Foreign Secretary’s coming to the House and answering questions from Members. We spend a significant sum on official development assistance every year. Given that the strategy is highly evasive, in what I consider to be a very concerning way, about when the 0.7% of gross national income target for ODA will be restored, it deserves proper debate. Can you advise me, Mr Speaker, on how we can get the Foreign Secretary to come to the House and answer questions?
ParlaMint-GB_2022-05-16-commons.u230	I thank the hon. Member for giving me notice of that point of order. I have received no notice from Ministers that they intend to make a statement on this matter, although, as the hon. Member said, the international development strategy has been laid before the House today. The House knows that I have no power to compel a Minister to make a statement. Those on the Government Front Bench will, however, have heard the hon. Member’s point of order. She is, of course, free to pursue the matter through other means, and I am sure that she knows which routes to take.
ParlaMint-GB_2022-05-16-commons.u231	On a point of order, Mr Speaker. This morning, the Prime Minister visited Northern Ireland to ascertain from all the parties the position in relation to the Northern Ireland protocol. Have you been notified that he is to come to this House to make a statement on those talks and discussions, so that we can make sure that the Northern Ireland protocol is ditched—that is No. 1—and know exactly what the Government’s intentions are on this matter?
ParlaMint-GB_2022-05-16-commons.u232	I can honestly say that nobody has been to me to say that they wish to come to this House, neither the Prime Minister nor anybody representing the Government. I am sure that through your good offices, you will not leave it at that. I am sure that you will pursue it, and your colleagues from Northern Ireland will do the same.
ParlaMint-GB_2022-05-16-commons.u233	It is a great honour for me to open this debate on the Loyal Address. In Her Majesty’s jubilee year, I want to thank her for her dedication and service to our country, the Commonwealth and all its people. That includes young immigrants arriving on these shores, who feel her warmth and generosity; of course, some of them end up as her Ministers. I also thank Prince Charles and Prince William, the Duke of Cambridge, for opening Parliament on her behalf During Her Majesty’s 70-year reign, this country has been the best place in the world to grow up and grow old, yet during these seven decades the British people have overcome major challenges, time and time again. We have just lived through what I am sure you will agree has been an incredibly difficult period, Madam Deputy Speaker. After years of sacrifice by people up and down the country, this Queen’s Speech focuses our attention exactly where it should be—on the future The future, full of promise, will not be without its challenges, both at home and overseas. Our country needed a Queen’s Speech that rises to the scale of the challenge we face, and we have delivered it. Our communities needed a Queen’s Speech that keeps them safe, secure and prosperous, and we will deliver it. Our constituents needed a Queen’s Speech that shows them that the door of opportunity is always open to them, and we will deliver it. Our relentless focus is on delivery, delivery, delivery Before I outline how our legislative programme will make sure that this country remains the best place to grow up and grow old, I reaffirm this Government’s solidarity with the people of Ukraine. I am pleased to say that all Ukrainian children and young people arriving in the United Kingdom have the right to access state education while in the UK. With memories of my own childhood, leaving Saddam Hussein’s Iraq and building a new life here, I know how important education is to helping young people integrate into their new communities.
ParlaMint-GB_2022-05-16-commons.u234	The Secretary of State is absolutely right to say that there is no better place in the world to live than this great United Kingdom of Great Britain and Northern Ireland—always better together. Can he confirm that through the Government’s policies and this Queen’s Speech, every step will be taken to ensure that every child in this United Kingdom of Great Britain and Northern Ireland achieves academic success; to improve the health system for every person who is on the waiting list; and to help every elderly person who depends on a better income for energy, food and heat?
