ParlaMint-GB_2022-02-04-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163)
ParlaMint-GB_2022-02-04-commons.u67	The right hon. Member is making such a powerful point. He and many other Members have had numerous letters questioning the narrowness of the Bill. Will he reassure us that this is only the beginning and most definitely not the end of the process?
ParlaMint-GB_2022-02-04-commons.u68	Indeed. I would not even say it is the end of the beginning. It is on the way to being the end of the beginning, but this will be a perpetual battle. So long as medical science is able to make advances in genetics and immunology, this process will continue into the future and we will need to look at it. It is worth pointing out, to answer the hon. Lady’s question more directly, that we considered this in Committee. The Minister for Care and Mental Health, my hon. Friend the Member for Chichester (Gillian Keegan), made it clear that in the guidance that will be issued, which I will come to in a moment, it is entirely possible to deal with the effects of other conditions that may have the same effects as those emanating from Down syndrome. In a way, yes, we are starting the process, and the way in which we change the Bill is absolutely key to that On Second Reading, I think it is fair to say, because we can be a little self-critical, that this was a well-meaning Bill that went as far as we could. However, I made it clear that one big issue was missing—the enforcement of rights. It is all very well to make available new provisions and rights in law, but if an individual or parent does not have the ability to enforce those rights, if there are no mechanisms or levels to pull to enable them to get the full benefit of what the legislation supposedly gives them, ultimately we are failing to achieve what we want. We discussed two major issues. I purposely left them out of the Bill on Second Reading because we were not ready. There is nothing worse than poorly-thought-out legislation that we have to come back and amend. It is far better to think the process through, get agreement on both sides of the House and with the Government, and then proceed on the basis of unanimity, as happened in Committee The changes were essentially twofold. The first was getting agreement from Ministers that they would issue guidance to local health and education bodies and planning authorities to ensure that healthcare, education and long-term care issues would be properly taken into account. That was a major step forward. Again, it answers the question of how we can broaden the effects of the Bill, even with measures that are not in the Bill. That means looking at other conditions that will face the same problems as created by Down’s syndrome. However, that agreement created its own parliamentary problem for us, because as those who listen to debates in the other place will know, guidance issued by Ministers that is not laid before Parliament creates a potential democratic deficit. That is why I think it was the first major step forward for the Bill in Committee when the Government agreed not simply that the Minister would issue guidance, or that that guidance could apply directly to the various bodies concerned—another important step in itself—but that that guidance would be laid before Parliament Up to that point, I had considered whether we needed to put a sunset clause in the Bill, to have it completely reviewed to see whether it worked in practice. The fact that the guidance will be laid before Parliament enables us to look in real time at what is happening, including parliamentary Committees looking at how the guidance actually works. That is a huge step forward. I think it is actually precedent-setting and turns this from a nice Bill into a cutting-edge and meaningful Bill. That is a huge achievement and one thing for which the Bill will be most remembered.
ParlaMint-GB_2022-02-04-commons.u69	I pay huge tribute to my right hon. Friend for bringing forward the Bill and the manner in which he has done so. On the territorial extent of the guidance, as a Welsh Member of Parliament I pay tribute to him, but he will know far better than I, given his length of service in this place, that the Bill’s territorial extent is England only. The Minister has alluded to working with devolved counterparts, but may I ask him to use his passion and experience to urge the devolved Administrations to follow suit?
ParlaMint-GB_2022-02-04-commons.u70	I thank my hon. Friend for that question. It will not surprise him to hear that, as a committed Unionist, I will come back to that. We need to consider the quality of life of all citizens in the United Kingdom, not just those for whom we are directly legislating today I turn to the second element of precedent-setting changes that we made to the Bill in Committee. As we move to the new integrated care structure in the health service, we will have a named individual on the integrated care boards responsible for the application of this legislation, should it receive Royal Assent. That really matters, because those who have Down syndrome, their parents, their families and communities will know who in the new structure is responsible for ensuring that the guidance issued by Ministers is given effect on the ground. I think that even the direct application of ministerial guidance—as it would have had—and parliamentary scrutiny would not have been not quite enough to guarantee the effect of the Bill’s provisions where it really matters That is precedent-setting. I doubt very much whether this will be the only occasion on which my hon. Friend the Minister has to consider representations for named individuals to take responsibility, but I take great pride in the Bill being the first, because I think it is a major step change from what we have had. It will give the new integrated care plans the idea of responsibility for their application to named individuals, which gives us a point of pressure in the system that did not otherwise exist Finally, I turn to the Bill’s application to one part of the United Kingdom. At the beginning of the legislative process, we had a choice. We could have set out a United Kingdom Bill and challenged the Governments in Scotland, Wales and Northern Ireland for legislative consent orders. We could have said, “We dare you not to have the same provisions. ” However, that would have become a debate about devolution, not Down syndrome, and I passionately wanted the Bill to focus on the needs of those with the condition and not become an argument about Government process or our constitutional relationships Having said that, I completely take the view that a person with Down syndrome should not have fewer rights in one part of this United Kingdom than in any other. The Bill is making speedy progress through the House. I hope that it will make speedy progress through the other place and that, hopefully, it can get to Royal Assent before World Down Syndrome Day on 21 March, at which point we would be the only country to have legislated for it. That is important for our concept of global Britain, which cannot be just about trade, defence or economies; it must also be about our values, and I can think of no clearer signal to send than to legislate on this point I say to those in charge of the legislative programmes in Wales, Scotland and Northern Ireland that it is unthinkable that people with Down syndrome living in those parts of the United Kingdom should have fewer rights, or rights applied at a later date, than those in England, for whom we are legislating today. When it comes to health, it is the duty of all those who run those devolved parts of the United Kingdom to ensure that everybody in the UK, irrespective of where they live, gets the same access at the same time to the changes to which we are giving effect today This Bill began with great intentions, and ends now as a landmark Bill. It recognises that, in the provision of services, whether in health, education or long-term care in this country, Parliament will give not only rights, but applicability and enforceability of those rights in our systems. That is a change in the whole way in which we think about such legislation in this House I am very proud to have been the mover of this Bill; as the mover of the Bill, I am also very moved by the support that has come from every party in the House of Commons and from the Government. I thank all my colleagues and, with your indulgence, Madam Deputy Speaker, I may be able to thank some others who have been instrumental in the progress of the Bill a little later.
ParlaMint-GB_2022-02-04-commons.u71	It is a real pleasure to follow my right hon. Friend the Member for North Somerset (Dr Fox), who, in a more modest way than I normally remember, has established an important part of what has made this Bill possible: his energy, enthusiasm and drive to get it to this stage in this shape and at such speed Many of us in this House will have different personal and professional reasons for supporting this Bill. For me, I must go all the way back to the early 1980s: believe it or not, I was alive and about seven or eight years of age. My parents had started fostering a few years before, and ended up doing so for about 30 years. During that period from the early ’80s to the mid-’80s, we as a family looked after Down syndrome babies, who came to live with us for weeks and sometimes months. We also offered respite care once a month for a long weekend for a Down syndrome boy in his early teens, to give his parents a much-needed break from an incessant and stressful time. Despite the love they had for their son, they needed a pressure valve in order to maintain their ability to look after him and keep their energy levels up We were as happy as could be to provide that respite care. I recall it vividly, because it captured some of the most enjoyable images of our time in fostering. I recall many occasions with that young teenager, who had a couple of obsessions that infiltrated our household. The first was with the recording artist Shakin’ Stevens, who I am sure is also a favourite of all those present. That young boy was a fanatic follower of Shakin’ Stevens, and whenever he came to join us for a weekend, the first thing he would do was to put on our Shakin’ Stevens tape, and we would all dance together in the kitchen with real abandon. I remember it as an extremely happy time That teenager was also fixated on the wrestling on “World of Sport” with Dickie Davies on a Saturday morning. He used to sit very close to the screen, because he did not have great eyesight, but he was transfixed by the bouts that were shown. Often, an hour or so would go by and he would not have moved There was one scarier moment when we took him to a local swimming pool, where he was very keen to put on a mask and snorkel, go underwater and have a go at swimming. Unfortunately, it became apparent very quickly that he could not swim, so someone who was on duty had to jump in, fully clothed, and rescue him. However, the fact that he wanted to do those things and that he was given the opportunity was important, because, as my right hon. Friend said, we must ensure that the rights people with Down syndrome have are the same as for everybody else. That includes all those opportunities that we come across in our lives That experience has led me to want to speak to the Bill—unfortunately, I was not on the Committee—as I am extremely supportive of what it seeks to achieve. There is clearly a lot of crossover between the reforms to the special educational needs and disabilities system, which I brought forward as children’s Minister, and this private Member’s Bill. As a learning disability, the estimated 47,000 people who have Down syndrome will potentially benefit from that system The diagnosis will come extremely early in people’s lives, so there is no reason why an education, health and care plan cannot be put in place as early as possible. A focus on outcomes, whether educational, social or employment-related, can be built into those plans, which can go up to the age of 25. As we know, the life expectancy of those with Down syndrome has increased dramatically from the days when we were looking after Down syndrome children, so there is every reason to ensure that those outcomes are brought to fruition In publishing the guidance that the Bill brings in, there is an opportunity to ensure that the reforms to the special educational needs and disabilities system, particularly to the code of practice and the local offer that must be published in every local area to explain the services available for those with special educational needs and how to access them, marry up with what is already out there. That will ensure that there is a clear pathway for parents and carers to know what is available and how they can access it The level of support that those with Down syndrome need throughout their lives will vary considerably. It is important to remember that they are people with different individual needs, although there are certain services that they are more likely to need than others, such as speech and language therapy, physiotherapy or optician or hearing specialists. Therefore, the Bill is an opportunity to pull together the different routes to accessing key services It is vital, however, that those children, young people and adults with Down syndrome have a sense of agency and that they feel that those things are being done not to them but with them, so that they have a stake in their future. For example, with the increased life expectancy of those with Down syndrome and some outliving their parents, they are having to be cared for by other means. There are recent instances of people ending up in an elderly care setting that is not necessarily as appropriate for them as it could be, which may have stymied the possibility of them reaching out to a more individual lifestyle and having support in the community The Bill presents an opportunity to ensure that the guidance reflects the fact that those with Down syndrome need to be very much part of what they need for their future, so that the services that are built around them reflect that and ensure that the outcomes that they know they are capable of are reached. Although we have the Equality Act 2010 and the reasonable adjustments that go with it, they need more focus and definition through this Bill, for all the reasons that the Down’s Syndrome Association has illustrated so well in the case studies that it set out and that show the difference that will make I accept the point about other conditions, but doing all that will provide a blueprint for how each individual person, irrespective of their condition, can be provided with guidance, support and wraparound services. We need to use the Bill as a way to demonstrate our commitment not just to those with Down syndrome, but to all those living with a learning disability for whom we know we can do better by bringing together the services that already exist more effectively. With medicine and our understanding of conditions improving, we can ensure that the way that we build services reflects the needs of all those who require them I am hugely supportive of this Bill, for the personal and professional reasons I set out, and I very much hope and expect it will make a significant difference to many lives. It truly is the landmark that my right hon. Friend the Member for North Somerset suggests.
ParlaMint-GB_2022-02-04-commons.u72	I congratulate my right hon. Friend the Member for North Somerset (Dr Fox) on introducing this Bill It is always a pleasure to speak on a Friday, when, the hon. Member for Newport West (Ruth Jones) is right, we have an opportunity to get things done. We come together as one. As her fallen colleague, Jo Cox, said in her maiden speech, we have “far more in common than that which divides us. ” —[Official Report, 3 June 2015; Vol. 596, c. 675. ] Today, many colleagues have referenced our fallen colleague, Sir David Amess, which is so timely the morning after the election of his successor for the city of Southend; we all look forward to welcoming her to the House next week. We hoped it would usher in an era of kinder politics and I just hope that will be mentioned to the people who wrote the emails in my inbox today It is a great delight to have the opportunity to hear my right hon. Friend the Member for North Somerset speak with such compassion on such an important issue, and to have the opportunity to speak today. I share a friend with him in Annabel Tall, the mother of George, Freddie and Samuel. Freddie has Down syndrome. I believe Samuel is waving at us from the Public Gallery and is here to see the Bill go through, and I think Annabel is watching on television This is a big moment. As my right hon. Friend said, “this Bill is not about a condition, but about people—people who have a particular condition, their families, and the people who care for them. ” ––[Official Report, Down Syndrome Public Bill Committee, 26 January 2022; c. 10. ] Annabel wrote to me earlier this week to explain why the Bill is so important to her family. She finds it “disheartening to see new parents and carers having to fight exactly the same battles we were 20 years ago. ” She describes it as a “spectrum of different difficulties and abilities with common themes. I have lost count of the number of times I have had to explain Down syndrome to professionals who should know, let alone friends and family who still largely base their Down syndrome stereotype on the last person with Down syndrome they met. ” I was very fortunate as a teenager. Despite not having the same family experiences, I helped at a Down syndrome support group with a large number of Down syndrome infants, from tiny weans and right the way through. They had marvellous day trips. I was not even a woman at the time and, as a young girl, it impressed on my mind how important this is I very much hope the Bill is the start of a journey for people with other conditions as we move into the integrated care system, so that we are able to do exactly what my right hon. Friend intends. The Bill aims to improve services and life outcomes for people with Down syndrome, but hopefully we will be able to help and assist people with so many more conditions I will keep my remarks brief, as I know many colleagues wish to speak. I thank my right hon. Friend for all his work in this area. It is a privilege to speak today.
ParlaMint-GB_2022-02-04-commons.u73	I begin, as others have, by congratulating my right hon. Friend the Member for North Somerset (Dr Fox) on this truly groundbreaking Bill. I will add a few reflections of my own, the first of which dovetails with his remarks on Second Reading. Our understanding of and respect for people with Down syndrome and equivalent conditions have evolved so much in my lifetime. Forty years ago, people with Down syndrome or something similar were viewed as problems to be managed, rather than people with potential to be realised. Employment, if it existed at all, was seen as an act of charity, rather than an opportunity for a person to be productive or to be in a role in which they could develop and thrive. The idea of someone with Down syndrome having a personal intimate relationship was taboo. It is amazing to think how far we have come. We have a far greater understanding not only of developmental conditions but of how they can exist on a spectrum. There are far more opportunities for education, employment and training. So many excellent employers in Newbury employ somebody who has a learning disability, but I want to give a particular mention to a young lady with Down syndrome called Karen who is doing a fantastic job and loving life at Nando’s in Newbury. The Bill recognises the specific challenges, particularly with health and care, but squarely places them alongside recognition of the dignity of people with Down syndrome and the idea that their families should not be scrubbing around for care and that that should be dependent on the provision of their local authority While I was preparing my speech, I thought about how far we have come in Parliament in what we say about disability. The Disability Discrimination Act 1995 and the Equality Act 2010, particularly the latter, contained important provisions about disability, such as the duty to make reasonable adjustments, which was mentioned by my hon. Friend the Member for Eddisbury (Edward Timpson). It is notable that the focus in the interpretation of both Acts was on physical disability, long-term health conditions such as cancer, or mental conditions such as schizophrenia or depression I know that I am right, because I refreshed my memory of the statutory guidance published to go with the Equality Act to see what it said about disability. It is an extensive body of work on just the subject of disability, running to 60 pages and giving example after example of how society should respond, and there is not a single reference to Down syndrome and scant reference to any form of learning disability. I mention that not to minimise the significance or value of the Equality Act, but to point out that we as a society have been reluctant to confer on public authorities, employers or anyone else much in the way of positive duties on learning disabilities. If we are honest with ourselves, we know that we would be nervous to say very much about learning disabilities at all. I applaud my right hon. Friend the Member for North Somerset for taking the bull by the horns and presenting the Bill I want to conclude with remarks on two points that have been made by other Members but are important. The Bill will receive Royal Assent, but it is right that we should not ignore all the other people with learning disabilities, particularly when there is an intersection with health concerns and a need for ongoing adult social care. I have a niece who falls into that category, and she was in special needs education throughout her younger years. The majority of her co-pupils had Down syndrome, so it is fair to say that she was considered by the authority to have something similar. She is now a young adult who has had significant challenges with her health and some of her communication abilities, but she has a job and a very busy social life and she is living a really productive life. A lot of the issues the Bill seeks to address apply equally to her and to thousands of others. The difficulty is in the definition, and finding statutory language that would correctly encompass all those conditions is technical and challenging—I do not resile from that. Of course I respect the ambit that my right hon. Friend chose for his Bill, but I must put on record my ambition that it will go wider and that we will see soon progress from the Department.
ParlaMint-GB_2022-02-04-commons.u74	I commend my right hon. Friend the Member for North Somerset (Dr Fox) on the Bill and on his long-standing championing of people with Down syndrome. I know it stems from his time as a GP, his personal life and his time in this place The Bill is making an important simple but necessary change to improve the lives of people with Down syndrome. The issue matters to many people in Rushcliffe. I have heard from many constituents and organisations such as the National Down Syndrome Policy Group in praise of my right hon. Friend’s action and willing me on to support it. I am proud that the Government are supporting the Bill and to speak on the issue today I understand that people living with Down syndrome, their carers and families can find themselves disadvantaged by the inequality of access and the provision of basic services. My hon. Friend the Member for North Devon (Selaine Saxby) has set out some really personal examples of how that is affecting her constituents today Starting at a young age, people with Down syndrome face greater challenges in school and in life than their peers. I know that many parents of children with Down syndrome worry about sending them into mainstream education, where support may vary wildly. Other parents are left facing the cost of specialist support where help is not available locally. As a Conservative, I want everyone to have opportunity and choice. For some, specialist education might be the right path; for others it might be support in a mainstream school. The point is that people need to have choice. They need to be able to choose their own destiny and, at the moment, there are too many people with Down syndrome who are not able to do that. I am so pleased that the Bill will start to address that inequality Shockingly, although people with Down syndrome are likely to be hospitalised more often and for longer periods of time than people without the condition, there is little guidance for NHS commissioning boards or trusts on how best to care for their specific needs. Adults with Down syndrome are likely to require social care and council support much earlier in life than the national average, yet local authorities do not have a standard playbook or guidance on meeting those needs. Because of that, young adults with Down syndrome often end up living in facilities with people several decades older than they are, with no specialist care available Local authorities already have a duty to provide support and carry out assessments of need to help them to meet that obligation, and the Bill will provide much-needed guidance on best practices to local authorities who are delivering healthcare, social care, housing and education-related services, helping them to understand and deliver on their duties. That work will make public amenities more accessible and inclusive for the Down syndrome community, and help them to lead active, healthy and more independent lives. It will also raise awareness among the wider public, giving them insight into the facts of living with Down syndrome Multiple organisations have welcomed the steps the Government are taking. The chief executive of disability charity Mencap described this as “a positive step towards ensuring that the needs of people with Down syndrome are met. ” I know the Government are consulting on how the proposed guidance will look so that we can learn from families, communities and organisations that know best. As my hon. Friend the Member for Eddisbury (Edward Timpson) said, this is something that people need to feel is being done by them, not to them. It is so important that they feel that this is something that they are consulted on and included in, and that is driven by them. I look forward to seeing the outcome of the consultation I hope that what we do here in the Bill can serve as a model for future work and discussion on helping those with other neurodevelopmental conditions, making society more accessible and fairer for everyone. I want to reference the comments made by my hon. Friend the Member for Newbury (Laura Farris), who described that very well. I come from the cyber-security sector, where we have lots of people with neurodiverse conditions excelling in jobs. There is no reason why that cannot happen in many more sectors of the economy. I really hope that we can use the Bill as a launchpad for expanding the number of conditions that have guidance that public authorities need to take into account People with Down syndrome deserve the same access and choice to education, public institutions and services as anyone else. They deserve the same opportunities to lead a healthy, fulfilled and prosperous life, and I am pleased to support the Bill, which will help to make that possible. I very much hope that we will see it enacted for World Down Syndrome Day on 21 March.
ParlaMint-GB_2022-02-04-commons.u75	Like others, I start by congratulating my right hon. Friend the Member for North Somerset (Dr Fox) on his important work in bringing the Bill to the House and on reaching Third Reading. Like my hon. Friends the Members for Eddisbury (Edward Timpson) and for North Devon (Selaine Saxby), we all know individuals with Down syndrome. My experience is similar to that of my hon. Friend the Member for Eddisbury: when I was growing up, living in the house next door was a young lad by the name of Mark, who was the great love of his parents, Tony and Carol. It just so happened that he had this condition, Down syndrome, but that was not a barrier to the fulfilment of his life chances. Unfortunately both Tony and Carol have since passed away, but I am aware that Mark is leading a very full life. He is in work, and I believe he has his own individual accommodation, although he may require support and has a large network around him Our role, as legislators, is to ensure that people are able to achieve their full potential, and also to strive to give them the confidence to be ambitious. We who have been brought up in this country are very fortunate, in that the barriers to success are very limited. As a second-generation immigrant, I still pinch myself to make sure that I really am sitting on the green Benches in the House of Commons My previous experience as chairman of the board of governors of a further education college, and also as a governor on the board of a school for young people with autism, has shown me directly that when we do things right, we do them really right. That means being able to say to people, whatever their status or condition, “Be good, be great, and be a real world leader. ”
ParlaMint-GB_2022-02-04-commons.u76	My hon. Friend is advancing an excellent argument. Can he outline some of his experience of best practice on the board of governors, and of what works and is successful?
ParlaMint-GB_2022-02-04-commons.u77	That returns me to my hon. Friend’s own earlier comment. The skills required in certain industries may not necessarily be academic. I suffer from dyslexia and have always regarded that as a superpower, although I am sure that if I had been diagnosed at an earlier age, others might have regarded it as a disability. The ability to think differently, to be a disruptor and to question the status quo, which conditions of this type may typically entail, benefits us as a society, and—here I allude to the previous role of my right hon. Friend the Member for North Somerset in defence—it makes our country even more secure than it might otherwise have been My right hon. Friend is an astute and successful legislator, and I am personally reassured that his Bill will have a lasting impact, but as others have said, this is the start of a process and not the end. Today we are focusing on Down syndrome, but I think it would be easy to replicate this model for the purpose of other conditions. I believe that these measures should be adopted as soon as possible, and I look forward to the fulfilment of the ambition of my right hon. Friend to complete the Bill’s passage before World Down Syndrome Day in March. I hope that the Government can provide us with some confidence that that will be the case The role of politicians at whatever level, whether in local or in national government, frequently involves signposting. The provision of a named individual in the integrated care system will be a game changer for the families and loved ones who may not understand the bureaucracy of whatever public service they are having to deal with. The ability of a Member of Parliament to direct a constituent to a named individual with an email or other correspondence address can only help the system and make it smoother. Our role as politicians is to reduce the barrier, to make life as easy as possible for our constituents. The Government have a proud history in this regard, given the work we have done to date. We spent £2.6 billion over the 2021 spending review period on new school places for children with special educational needs and disabilities in England, and will more than triple the current capital funding levels to over £900 million by 2024-25 I was not going to mention this, but I will, because I think it important. I read an article in the media today about a lady called Beth Matthews. She is a young lady of 22 who has achieved in her life: her story is important because she is now a model and she also happens to have Down syndrome. For me, that is an irrelevance, but people feel the need to show her as a leading light. Similarly, there is Tommy Jessop, an actor in “Line of Duty”. It is good that we normalise people with a condition, whether hidden or obvious. I look forward to the day when they are getting named not for their disabilities but for their ability and the fact that they are a master of their art.
ParlaMint-GB_2022-02-04-commons.u78	Does my hon. Friend agree that it is important to have role models from neurodiverse conditions in all areas of life, and that that will encourage others to believe they can also fulfil their ambitions and dreams?
ParlaMint-GB_2022-02-04-commons.u79	Absolutely; my hon. Friend is on a roll with her interventions and I look forward to more of them When I was growing up—I am sure others will have had a similar experience—I always looked at the TV screen, the media or the newspapers and asked where the people of my ilk had got to and what they had achieved. It can only be a good thing for people to be able to see others who look or sound the same as them being world leaders or industry leaders or social activists—people who change others’ lives Locally to me, I want to give a shout out to DS Achieve and its teamwork across Hertfordshire. I did a bit of research—unfortunately for my right hon. Friend the Member for North Somerset I was unable to be involved in previous iterations of this Bill—and reading its website and understanding what it is doing is reassuring: it is about people achieving their potential and not being regarded as just having a disability. There is lots of work going on—my right hon. Friend commented earlier about the expected lifespan now associated with this condition, which is to be applauded—but we need to make sure that we consider not just living but quality of life. This Bill goes hand in glove with that aim, ensuring a safety net of local councils and communities so that additional support is in place if individuals feel they need it. Others have spoken about the fact that people’s needs are different: different individuals will need support at different times in their life, and not all the time, and being able to dip in and out knowing there is a named person they can go to as a one-stop shop for support is a smart idea, so I applaud my right hon. Friend for his foresight.
ParlaMint-GB_2022-02-04-commons.u80	I am enjoying my hon. Friend’s speech and agree with his comments. Does he agree that in the past too often the default position for those with Down syndrome as they grew up was to envelop them in cotton wool and not give them a chance to grow and develop and demonstrate what they are capable of with the right support in place? The societal attitudinal change coupled with this Bill presents an opportunity for them to demonstrate, as we have seen on our TV screens and elsewhere in the media, that they can have a successful career and loving and meaningful relationships as long as we ensure, as we would for anybody else with a condition or difficulties in their lives, that they have the support and networks in place to be able to progress. In the past, those with Down syndrome have potentially been seen as simply to be managed, as my right hon. Friend the Member for North Somerset (Dr Fox) said in his opening speech.
ParlaMint-GB_2022-02-04-commons.u81	My hon. Friend speaks from a position of significant knowledge and is absolutely right: the culture change both in the community and in the public bodies involved in this sector has moved on in leaps and bounds within the space of a generation, and rightly so. The message now is, “Be great at what you’re doing. ” That does not necessarily mean being an excellent employee. It could mean being brilliant in a charity, brilliant at community work, or brilliant in a sport. There are so many different aspects. Success should be what a person thinks it is internally, and not what society thinks When I was growing up, I was very much steered towards certain careers. Admittedly, politics was not actually one of them, so in some eyes I may have failed in my life. I assure Members that I really enjoy being in this place; having spoken to colleagues across the House, I know that we all feel truly honoured to be here. I look forward to the day when, whatever disability our colleagues may have, no one bats an eyelid. There is nothing stopping that from happening. I look at some of our colleagues in this place. For example, my right hon. Friend the Member for Harlow (Robert Halfon), who is a very good friend, has not been held back by his disability Our role as parliamentarians is to say loudly and clearly that people’s perceived disability is not really a disability. We face so many challenges in life. Hopefully, when statesmen or community leaders say enough times, “Actually, you have very few barriers,” people will begin to believe it. I look forward to providing support in whatever small way I can I will wrap up now, because I know others wish to contribute to debate on this Bill. In conclusion, this Bill not only helps people with Down syndrome, but, as my right hon. Friend the Member for North Somerset has already said, sets out a framework for how we can provide services in the future for those with a range of disabilities and special needs. This is the first in what I hope will be a series of legislative measures that we can all get behind.
ParlaMint-GB_2022-02-04-commons.u82	It is a pleasure to speak in this debate. I congratulate my right hon. Friend the Member for North Somerset (Dr Fox) on all of the work that he has done. I see that team Freddie and a number of friends are in the Public Gallery providing their support This Bill means a lot to thousands and thousands of campaigners. There are 47,000 people with Down syndrome and their families around the country. I give particular credit to the families from Stroud and Gloucestershire who have reached out to me to express their delight that this Bill has been introduced and also to explain their experiences and why it is so important. This is actually a spectacular use of a private Member’s Bill. I am also thrilled that the Minister for Care and Mental Health, my hon. Friend the Member for Chichester (Gillian Keegan), is at the Dispatch Box. We have discussed Down syndrome for many, many years, because we are both blessed with nephews with Down syndrome. Those boys give us great joy, particularly as a distraction from this mad job The Bill proposes, for the first time, a duty on the Secretary of State to give guidance on housing, education, youth offending and national health authorities. It also imposes a similar duty on the relevant authorities, which is very important. The guidance will set out the steps required to meet the needs of people with Down syndrome, and I sincerely believe that it will be the start—and it is the start—of many other areas of policy and work to undo some of the problems that people with Down syndrome face in their daily lives My nephew, Rhys, is now 19 years old. He is the light of every room he enters. He works for the Thames Valley Cleaning company at the Select Car Leasing Stadium for the Reading Royals. He is right royally unimpressed with me—I am not cool, particularly when I am in a suit on the telly, so I hope he is not watching now. Let me relate part of Rhys’s story—[Interruption. ] I am sorry if I get upset. It is not just because I am pregnant; I once tried to talk about Rhys in Camden Council many years ago and cried then as well—
ParlaMint-GB_2022-02-04-commons.u83	Let me give my colleague a brief respite. I know that she is a massive fan of the Bill of my right hon. Friend the Member for North Somerset (Dr Fox) and I look to hearing further words from her.
ParlaMint-GB_2022-02-04-commons.u84	I am blessed by having great colleagues in this Chamber Alice fell pregnant aged 15. As she was so young—we had no Down syndrome in our family and there is a common belief that only older, geriatric mothers as they are often referred to in maternity terms have Down syndrome children—Alice was not offered any advice. She did not have any discussions about Down syndrome. She was 15 and scared. Her family was not around her, we did not know about the pregnancy in the early stages, and I doubt that she asked any questions. It was 20 years ago, too, so there were few smartphones and limited ability to google When Rhys was born, Alice was immediately in love with her baby son, but a few days later, my nurse mum spotted signs of Down syndrome. Notwithstanding the absolute love that she felt for her child, it is fair to say that my sister was pretty shocked by what was happening. Remembering that she was still a child herself and all the hopes and dreams that go into a pregnancy, I have since spoken to other parents of Down syndrome children and parents of other children with disabilities—
ParlaMint-GB_2022-02-04-commons.u85	On that point, does my hon. Friend agree that we need a real focus not just on the person with Down syndrome but on the bubble around them—carers, friends and family—because they are involved in the potential ups and downs of the journey as much as the person with Down syndrome themselves?
ParlaMint-GB_2022-02-04-commons.u86	I completely agree. I have spoken to other parents who have discovered upon their child’s birth that they have a child with a disability about their fear, and about the loss of their hopes and dreams; their belief that they would take the child to university, or to get married, is dashed. With Down syndrome in particular, people believed that the child would die aged about 30. There is such a lack of education. That was particularly the case when Rhys was born, but I think it is still true now. Thinking about the bubble—the whole family—is incredibly important, and that is hopefully what the Bill will do. So much of what we think we know when it comes to disabilities is often not true.
ParlaMint-GB_2022-02-04-commons.u87	My hon. Friend is giving an incredibly powerful account of her personal experience. I know that she works with many parents and people with Down syndrome. Does she think that support for new parents to come to terms with and understand the condition of their child has improved at all since her sister gave birth, or does she believe that we are still quite far off the mark?
ParlaMint-GB_2022-02-04-commons.u88	That is a really important question. I think there have been improvements—my right hon. Friend the Member for North Somerset will attest to that—but there is still a lack of understanding and education. We have a real issue with people feeling that they need to have a termination when they are told about Down syndrome. There is a big campaign on not screening out children with Down syndrome, because they live very fulfilled lives and bring great joy to so many people. Education for all is really important.
ParlaMint-GB_2022-02-04-commons.u89	Let me quickly add my support for the Bill introduced by my right hon. Friend the Member for North Somerset (Dr Fox). On the point that my hon. Friend the Member for Stroud (Siobhan Baillie) made about education, we need education not just for expectant parents or young people but for employers too. One of the things that shocks me most is that there are plenty of people who have Down syndrome who could, if they wanted, be in our workforce playing a fulfilling role. We know that the benefits of work include increased life expectancy, as well as better physical and mental health. Warwickshire County Council had a great scheme supporting employers to understand how to support not just people with Down syndrome but those with other learning disabilities, and how to make them an important part of their workforce. That encouraged a lot more people to enter the world of work. Does my hon. Friend agree that those are the sorts of things that we need to see happening, so that employers understand the full potential of everyone across our United Kingdom?
ParlaMint-GB_2022-02-04-commons.u90	I completely agree. Rhys earns £9 an hour—he is far richer than me, because he has no outgoings—but he enjoys his job and he feels fulfilled by it. Schools such as The Shrubberies in my patch do an awful lot of work to make sure that people go on to be work-ready, as do our colleges, such as SGS Stroud. Again, that is why the focus that the Bill will bring for the Government, local authorities, schools—everybody—is so important. We are thinking slightly differently, and I really welcome that I should be honest and say that I did not handle my sister’s being pregnant very well. I was still a teenager myself. I genuinely thought that, as a teenage mum, her life was completely over and she would not get to enjoy a lot of the things that I had enjoyed, but I could not have been more wrong. She definitely had a very different life from me in many respects, but I deeply regret my lack of understanding and some of the anger I felt on her behalf. It was unjustified and it was wrong, because Rhys was the best thing that happened to all of us in our family for so many reasons. But, boy, our learning curve has been so steep. I have seen my little sister battle for the understanding of people with Down syndrome.
