ParlaMint-GB_2022-03-24-commons.u1	1. What recent progress her Department has made on the rollout of gigabit broadband.
ParlaMint-GB_2022-03-24-commons.u193	The Leader of the House has been waxing lyrical about the spring statement, so I refer him to page 31 of the book on it, which shows that the Government intend to spend 3.5 times less on chasing tax avoidance and evasion than they intend to spend on so-called social security fraud and error, and that they are projected to bring in less income through tackling tax avoidance and evasion than through tackling so-called social security fraud and error. Can we have a statement from the Treasury and/or a debate on the tax gap, which is estimated at £78 billion, or is this just another case of the Government punishing the poor at the expense of the super-rich?
ParlaMint-GB_2022-03-24-commons.u194	The hon. Gentleman will have an opportunity to debate taxation today as we discuss the Bill that will deliver a tax cut to 70% of workers in the UK. What the Chancellor announced yesterday was a system of taxation that allows those people with the broadest shoulders to bear the burden, which means that work will pay. That is the best way to tackle poverty and the best way to enable people to work their way and keep their wages so that they can aspire to a great career. That is the approach that we will continue to take.
ParlaMint-GB_2022-03-24-commons.u195	Thank you, Mr Speaker —[Interruption. ] Oh—I think I felt a kick there The damage to children from sustained parental conflict can be devastating. Last night I spoke at an event for the Family Solutions Group alongside the president of the family division and leading lights in the family law world. We all know that we in this place need to do more on family breakdown. The Ministry of Justice is working really hard on this and we need other Government Departments to row in behind it. Will my right hon. Friend grant time for a debate about separating families and the Divorce, Dissolution and Separation Act 2020, which comes into force in April?
ParlaMint-GB_2022-03-24-commons.u196	My hon. Friend is probably not the first person to get a kicking in this place, but probably the first to get one internally. She brings an enormous amount of expertise to this place from her former career. I know that a lot of MPs have cases in which divorce is causing challenges for their constituents, and she is right to draw attention to that. The Ministry of Justice is bringing forward legislation, but 280,000 children are caught in the middle of family breakdowns and I commend her for her work on this matter. I am sure that she will continue to draw it to the House’s attention.
ParlaMint-GB_2022-03-24-commons.u197	Could the Leader of the House arrange for a debate in Government time on ensuring that there are sufficient staff to cover the UK Visas and Immigration MPs’ hotline? Earlier this week, my team spent at least three hours trying to contact a member of staff on an urgent passport issue, and that was not a one-off occurrence. I know there is high demand, but I am keen to hear what additional support the Home Office is providing to ensure that Members can raise urgent queries on behalf of their constituents in a timely manner. If this is the service that MPs are receiving, I dread to think what individual constituents are facing.
ParlaMint-GB_2022-03-24-commons.u198	If the hon. Gentleman wants to supply me with details of the specific case he is talking about, I will of course take it up with the Immigration Minister on his behalf and ensure that he gets a rapid response to assist his constituents.
ParlaMint-GB_2022-03-24-commons.u199	Gedling borough residents are opening their council tax bills to find enclosed a letter signed by the council’s leader and deputy leader criticising the Government, including a statement that the borough had not received levelling-up funding. However, at a meeting I had with officials in the Department for Levelling Up, Housing and Communities this week, I learned that Gedling’s levelling-up fund bid had been described by them as disparate and insufficiently compelling. The council would have had that feedback when it prepared that letter. Can my right hon. Friend advise me on how best to raise this issue in the House, and does he agree that Gedling Borough Council’s leaders’ time would be better spent working on better bids than on churning out taxpayer-funded propaganda?
ParlaMint-GB_2022-03-24-commons.u200	I share my hon. Friend’s pain, because Gedling Borough Council covers part of my constituency, too. He is right to draw the House’s attention to this. The good news is that the second round opens to bids soon and will close on, I think, 6 July. I know he will continue to press Gedling Borough Council to improve its bid so that his constituents can feel the benefit of Government support.
ParlaMint-GB_2022-03-24-commons.u201	Will the Government make time to debate the national planning policy framework, focusing especially on decisions that directly contravene our binding net zero targets such as the decisions on the expansion of Bristol airport or new fossil fuel extraction at Horse Hill and in Cumbria?
ParlaMint-GB_2022-03-24-commons.u202	I hope the hon. Lady recognises that we need a balanced approach to our energy sources. The Government are committed to moving in the direction of renewable energy, and this important matter is worthy of debate in the House. We have to go at the speed our constituents and taxpayers can afford, and we need a balanced approach to our energy sources.
ParlaMint-GB_2022-03-24-commons.u203	Energy-intensive industries such as steel and ceramics are struggling with the soaring cost of energy, and we cannot afford to lose critical producers such as Stocksbridge Speciality Steel or Naylor Industries in my constituency. I was delighted that, yesterday, my right hon. Friend the Prime Minister recommitted to bringing forward a British energy security strategy to provide relief to these industries. Will the Leader of the House commit to a debate or a statement in Government time when this strategy is announced so that hon. Members can scrutinise it on behalf of the industries we represent?
ParlaMint-GB_2022-03-24-commons.u204	My hon. Friend will have an opportunity to raise this again at Business, Energy and Industrial Strategy questions next week. We will shortly set out the British energy security strategy to bolster our energy security. Ministers have been making every effort to keep the House updated on the Government’s response to the war in Ukraine, and I am sure the House will be kept updated on this important issue, too.
ParlaMint-GB_2022-03-24-commons.u205	The House is united in its condemnation of P&O’s actions in sacking 800 British workers, but this is only the latest in a long line of such incidents, and it will not be the last unless the Government introduce legislation to ban fire and rehire. What are the Government’s plans to introduce legislation to make sure this is the last scandal and to give British workers the support they deserve?
ParlaMint-GB_2022-03-24-commons.u206	The House will recognise the irony of a Labour Member talking about banning fire and rehire, a practice that the Labour party used as recently as last year. Fire and rehire should be an absolutely last-case scenario when a company is in difficulty and wants to secure as many jobs as possible in order to survive. What P&O did last week was, frankly, a complete abhorrence. Its actions cannot be defended by anyone and should be condemned. We have employment laws to protect people, and we will make sure P&O follows the law.
ParlaMint-GB_2022-03-24-commons.u207	Will my right hon. Friend commend the work of my constituent Chris Truett to clear sand from the seawall path and to plant thousands of flowers at his own expense? And will my right hon. Friend therefore condemn Labour-controlled Sefton Council, which reportedly dumped the sand back on to the seawall and mowed down all of Chris’s flowers? Volunteers in our communities should be celebrated, so can we have a debate in Government time to do so?
ParlaMint-GB_2022-03-24-commons.u208	I pay tribute to Chris and the work of volunteers in my hon. Friend’s constituency. Sefton Council should be supporting their valuable work. Volunteers and community groups work incredibly hard to improve parks and green spaces, including the botanic gardens, Lord Street, Bedford park and Ainsdale village. Volunteers deserve to be celebrated for their work in the community, so I encourage my hon. Friend to apply for an Adjournment debate or a Backbench Business debate.
ParlaMint-GB_2022-03-24-commons.u209	I think that the Leader of the House meant to say to my hon. Friend the Member for South Shields (Mrs Lewell-Buck) that we now have the highest tax burden in modern history, even after the Chancellor’s plan yesterday. People are really struggling. They are engulfed in a cost of living crisis, yet the Chancellor has written off £4.3 billion of covid loans to fraudsters and wasted £8.7 billion on duff personal protective equipment that was so useless it had to be burnt. So may we have a debate on fraud and waste in the public finances?
ParlaMint-GB_2022-03-24-commons.u210	As I recall it, when the Government were securing PPE the Labour party was screaming like mad for the Government to take PPE from anywhere and anybody. It is all well and good to sit in judgment in hindsight and to criticise those decisions, but the Government were trying to secure PPE to protect frontline workers in the middle of a global pandemic. I am fairly confident that I was right in what I said in answering the hon. Member for South Shields (Mrs Lewell-Buck), as opposed to how the hon. Gentleman framed it. What the Chancellor set out yesterday with his tax plan delivers the biggest net cut in personal taxes in more than a quarter of a century.
ParlaMint-GB_2022-03-24-commons.u211	A newspaper report today suggests that 45 streets and statues in London could be cancelled. In Peterborough, the Labour opposition has already toyed with renaming streets, including the iconic Gladstone Street in the heart of my city—not for anything that great Liberal Prime Minister did, but for the sins of his father decades earlier. Now these student union historians want to take control of the city council. May we have an appropriate Gladstonian statement from the Government opposing taxpayers’ money being spent on this woke nonsense and letting my constituents know what they can do?
ParlaMint-GB_2022-03-24-commons.u212	I thank my hon. Friend for raising this matter, although it is unsurprising to hear that the Labour party in Peterborough is focusing on revising history rather than supporting residents. I know from my own experience that most residents are concerned about the provision of high-quality services and good value for their council tax, and I have no doubt that his constituents understand that they will get that only from a Conservative administration and will reject Labour’s student politics at the elections in May.
ParlaMint-GB_2022-03-24-commons.u213	I am proud to support the five steps put forward by the all-party group on nuclear energy to supercharge nuclear delivery in the UK. It is fantastic to see the Wylfa site in my constituency getting the recognition it deserves; the Prime Minister recently visited and there is continued interest from multiple developers. Now is the time to turn plans into action, guarantee our energy security and meet our climate change commitments. Will the Leader of the House agree to set aside Government time to debate the all-party group’s five-point plan?
ParlaMint-GB_2022-03-24-commons.u214	My hon. Friend will be aware that Department for Business, Energy and Industrial Strategy questions will take place next week, but we will shortly be setting out our British energy security strategy and the Prime Minister has been clear that nuclear is crucial to boosting UK energy security and independence. That is why we have been revising 30 years of inaction on nuclear energy. We will invest £210 million to develop small modular reactors, and we are investing £100 million on the progress and development of Sizewell C, and bringing forward a nuclear Bill to unlock the financial obstacles. My hon. Friend displays considerable knowledge and determination in her campaign for the nuclear plant at Wylfa. I am sure that nuclear has a significant role to play in the future of our energy security and I commend her for her work.
ParlaMint-GB_2022-03-24-commons.u215	Organisations across my constituency, such as St NicNac’s in Dunston, Feeding Families, the Gateshead food bank at Birtley and Blaydon, the Blaydon Community Larder, the Pickle Palace, the Winlaton Centre and the Birtley Hub, are all doing an incredible job supporting so many in our communities in an increasingly difficult financial, cost of living crisis. Yesterday’s statement from the Chancellor barely scratched the surface of tackling those inequalities and the unfairness. May we have a debate in Government time on how we can take these families out of poverty?
ParlaMint-GB_2022-03-24-commons.u216	I join the hon. Lady in paying tribute to those volunteers and charities that are assisting in that way. She will not be the only Member who has such charities in their constituency doing great work to support people. The Government recognise the challenge, which is why we have put £500 million into the household support fund, which is doubling to £1 billion in April and benefits 4 million low-income households. We have expanded free school meals for five to seven-year-olds, boosted the value of Healthy Start vouchers by more than a third and introduced and retained the £200 million holiday activities and food programme.
ParlaMint-GB_2022-03-24-commons.u217	This weekend, Bolsover Drama Group will host a celebration and performance to celebrate its 40th anniversary. The group gives a huge amount to the community and in particular provides opportunities for young people. In congratulating Mick Whitehouse, Chris Peck and all the members of the group on their landmark celebration, may I ask the Leader of the House for a debate in Government time on the important role that the arts play in local communities? Will he also apologise to my husband, because I am here on our wedding anniversary?
ParlaMint-GB_2022-03-24-commons.u218	I call the Leader of the House—you’re in trouble!
ParlaMint-GB_2022-03-24-commons.u219	I congratulate Bolsover Drama Group on its 40th anniversary. It really is a fantastic landmark to have reached, and I am sure it would not have been possible without the hard work of so many people, including Mick Whitehouse and Chris Peck. The arts play a vital role in bring local communities together, especially since the pandemic. I encourage my hon. Friend to apply for a Westminster Hall debate, and hope that today’s business concludes early enough for him to get home to Bolsover to be with his husband.
ParlaMint-GB_2022-03-24-commons.u220	I heard yesterday from the Bank of Scotland that it plans shortly to close its Clarkston branch, among a number of others. It will be the last bank branch in town—a situation faced by so many other East Renfrewshire communities. Our communities, and particularly those who are elderly or more vulnerable, need bank branches. May we have a debate in Government time about what the Government can do to support that need, support our local high streets and make sure that banking and access to cash are at the heart of our communities?
ParlaMint-GB_2022-03-24-commons.u221	The Government recognise the importance of our high streets, which is why we have the levelling-up fund for colleagues to bid into. I recognise the challenge that people in rural communities face if their local banks disappear, and I encourage the hon. Lady to apply for either a Backbench Business debate or an Adjournment debate to continue to highlight that challenge.
ParlaMint-GB_2022-03-24-commons.u222	The Government published their response to the Building Better, Building Beautiful Commission 14 months ago—a year after the commission reported. Although the House united against those proposals, nothing else has come forward. My constituency is now experiencing a housing crisis that is completely off the scale and we are in a desperate situation. May we have an urgent debate about the state of housing poverty in our country and how the Government are going to address it?
ParlaMint-GB_2022-03-24-commons.u223	The hon. Lady is of course right to highlight the challenges that face some communities. It is a Government priority to increase the housing supply. Since 2010, more than 2 million additional homes have been delivered. We have put an extra £10 billion of investment into housing supply and will unlock more than 1 million homes. Our £12 billion of investment in affordable housing will deliver up to 180,000 homes. The Government continue to be committed to supporting people to get on to the housing ladder and to aspire to own their own home.
ParlaMint-GB_2022-03-24-commons.u224	The Leader of the House will be aware that England is a frontrunner to host the Euros, with Ireland, in 2028. I was horrified yesterday to find out that the Russian Football Union has put in a bid—which has been accepted and is currently being looked at—to compete with us to host Euro 2028. I find that completely appalling. Also, it is shocking that there is still a Russian representative on the UEFA committee. Will the Leader of the House find Government time for the House to debate how we can continue to ensure that, for as long as Putin reigns in Russia, it is a pariah in everything to do with sport?
ParlaMint-GB_2022-03-24-commons.u225	My hon. Friend is right to highlight this matter. Frankly, it is almost laughable that Russia even thinks it would have the remotest chance of hosting an event of that nature while it is committing such actions in Ukraine. I know that FA representatives will be making the strongest representations to UEFA to make sure that that does not happen, but I am sure that my hon. Friend will find other opportunities to continue to raise the matter in the House.
ParlaMint-GB_2022-03-24-commons.u226	Can we have an urgent debate or statement on the future of the aid budget? Yesterday, the Chancellor could not confirm whether humanitarian aid for Ukraine would be counted towards the official development assistance total, which would squeeze spending plans elsewhere in the Foreign, Commonwealth and Development Office. Our responsibility to people in need should not be an either/or choice. The resources desperately needed in Ukraine should not be at the expense of existing FCDO aid plans. Can an FCDO Minister come to the House as a matter of urgency and explain exactly what is happening to the international aid budget?
ParlaMint-GB_2022-03-24-commons.u227	The Government remain committed to 0.7% of GNI for foreign aid, but we continue to do a lot more than that. We are sending humanitarian aid to Ukraine, and the UK also contributed £548 million to the COVAX vaccination programme. The Government are delivering on overseas development aid. We are one of the world leaders in this area.
ParlaMint-GB_2022-03-24-commons.u228	I have been working with Nottinghamshire County Council and other agencies to address causes of flooding in Rushcliffe. In some cases, we have been met by a lack of action and a complex web of responsibilities. For example, in the village of Cropwell Butler, in a flood event, water flows from the A46 into the village and into people’s homes, but National Highways says that its only responsibility is to get the water off the road. Will my right hon. Friend allow us a debate in Government time on how we can improve responses to flooding and how the powers of lead flood authorities can be strengthened to properly hold other agencies to account on behalf of our residents?
ParlaMint-GB_2022-03-24-commons.u229	I understand the devastation that flood damage can cause. The Flood and Water Management Act 2010 gave local flood authorities lead responsibility to manage surface water run-off, groundwater and flooding from ordinary watercourses, and provided them with additional funding to undertake those duties. At local level, lead local flood authorities work in partnership with other relevant organisations, such as highways authorities and water companies, to effectively manage and, where possible, mitigate the impacts of local flooding through the development of a local flood risk management strategy. We have Department for Environment, Food and Rural Affairs questions on 28 April. I encourage my hon. Friend to be present and to make sure that the Secretary of State hears her concerns for the people of Cropwell Bishop.
ParlaMint-GB_2022-03-24-commons.u230	For the third time in the last nine months, the trams operated by West Midlands Metro have been suspended, this time indefinitely. Tens of thousands of people across the region depend on those trams, including my constituents who commute to Birmingham and beyond. It seems there have been issues with the quality of the trams purchased, and there is also a colossal cost. Can we have a debate about the situation, including the role of the West Midlands Combined Authority?
ParlaMint-GB_2022-03-24-commons.u231	I am aware of the challenges that the tram system in the west midlands has faced. I will draw the issue to the attention of the Secretary of State for Transport on the hon. Gentleman’s behalf and will make sure he gets an answer in due course.
ParlaMint-GB_2022-03-24-commons.u232	It was great to welcome my right hon. Friend to West Bromwich a few weeks ago, in his first outing in his new role. In a written ministerial statement on Tuesday it was announced that, after years of campaigning by residents and community groups, commissioners would be sent in to Labour-led Sandwell council to root out the corruption that has been at the heart of that local authority for some 50 years. Can I ask my right hon. Friend to use his good office to ensure that we have a debate on the Floor of this House about that corruption and its impact on residents? Will he also reaffirm the commitment made by his predecessor that, if the Labour administration frustrates the process in any way, it will be held to account?
ParlaMint-GB_2022-03-24-commons.u233	I thank my hon. Friend for his question and also for his hospitality in Sandwell when I visited. He is a huge advocate and champion for his area. I know he will continue to hold the people on Sandwell council to account in this House. He is a very effective advocate for his constituents, and I know they are better off for having his representation in this place.
ParlaMint-GB_2022-03-24-commons.u234	The UK Government shamefully withdrew from Scotland the publicly announced Barnett consequentials of £290 million, in order to fund the £150 council tax rebate for property bands A to D, after the funds had been incorporated into the Scottish Parliament’s fixed budget. The Scottish Government now have to find that £290 million from elsewhere. Will the Leader of the House make a statement on why the funding was withdrawn from Scotland and why his Government are playing daft political games and selling Scotland short?
ParlaMint-GB_2022-03-24-commons.u235	The hon. Lady will be aware that there is a system of Barnett consequentials, which will be delivered upon, but I also encourage her to speak to her colleagues in the SNP Government to make sure that they use taxpayers’ money efficiently. There are a number of areas that they need to get right. The challenge of CalMac ferries is a very good example of where the SNP Government have wasted taxpayers’ money and not delivered for their constituents. I think she needs to look closer to home. Of course, the Scottish Government also have tax responsibilities. They could raise taxes if they wanted to, but they choose not to use those powers that are available to them.
ParlaMint-GB_2022-03-24-commons.u236	My right hon. Friend the Leader of the House will be aware that my Marriage and Civil Partnership (Minimum Age) Bill will have its Second Reading in the other place next Friday, 1 April. As I said on Third Reading in this House last month, one of the crucial times for children at risk of child marriage is the summer holidays, when they are taken abroad and married. Please may we have a debate about informing children of their rights before the summer holidays and raising awareness of the dangers of child marriage?
ParlaMint-GB_2022-03-24-commons.u237	I congratulate my hon. Friend on her tireless campaigning. It is vital that the Bill becomes law very soon. As so often with hidden crimes, raising awareness will be a key part of the implementation activities for her Bill. I encourage her to apply for a Westminster Hall or Backbench Business debate to highlight that.
ParlaMint-GB_2022-03-24-commons.u238	May I thank the Leader of the House for all the help he gives right hon. and hon. Members to secure helpful debates and statements Last month church leaders in Sudan were detained and their church building closed and locked by Islamic extremists. Will the Leader of the House provide a statement of solidarity with Christian churches in Sudan and oppose the land grabs and arbitrary arrests enacted against the Christian community? I believe that they need help, and this House can do that.
ParlaMint-GB_2022-03-24-commons.u239	I am more than happy to pledge from this Dispatch Box my solidarity with those people who are fighting the closure of their churches. The hon. Gentleman is a huge champion in this House of religious freedom around the world, and I know that he will continue to be. He should be commended for the work he does not only in this place but around the world on the promotion of religious freedom.
ParlaMint-GB_2022-03-24-commons.u240	Does my right hon. Friend agree that it may be helpful to provide specific guidance for the good people of Don Valley and the UK who want to house Ukrainian refugees in dealing with and supporting people who have fled a war zone, may struggle with the English language and are adjusting to a new way of life separated from loved ones?
ParlaMint-GB_2022-03-24-commons.u241	My hon. Friend is right to highlight the fact that the UK is welcoming many refugees from Ukraine who will, of course, come with their own challenges. There will be support from the Government on how to respond to that, but I will make sure that my noble Friend Lord Harrington is aware of his concerns and give him some guidance.
ParlaMint-GB_2022-03-24-commons.u242	Will my right hon. Friend find time for a statement, debate or more guidance on the Homes for Ukraine scheme? I have a constituent in Southend West who has already brought back Ukrainian family members from the terrible conflict in Ukraine and is housing them in his own home. He has applied under the Homes for Ukraine scheme for the £350 support, but he and we have been told that he is not eligible because he has already brought the family members back. It is an excellent scheme, but surely people who have acted swiftly and already brought family back should not be treated any differently from those applying to the scheme now.
ParlaMint-GB_2022-03-24-commons.u243	I thank my hon. Friend for her question, but also her constituents for their support. Home Office and Department for Levelling Up, Housing and Communities officials are providing a service for Members and their caseworkers on these very matters at the Portcullis House customer service hub. I encourage my hon. Friend to take this matter up with them.
ParlaMint-GB_2022-03-24-commons.u244	Darlington is the birthplace of the modern railway, and I am of the view that Darlington is the best place for the new headquarters of Great British Railways. It just makes sense—it is where it all began. Given that there is huge interest across the House, from 42 locations across the United Kingdom, to be the home of Great British Railways, and given that many MPs representing those constituencies have already held Adjournment debates and Westminster Hall debates, may I ask my right hon. Friend to find Government time for a debate on all those amazing locations, so that we can extol the virtues of our respective bids?
ParlaMint-GB_2022-03-24-commons.u245	I have been told that it is going to Preston.
ParlaMint-GB_2022-03-24-commons.u246	I thank my hon. Friend for his question. He is a strong champion for Darlington and I commend him for his campaigning, which is building up quite a head of steam. [Hon. Members: “Groan! ”] Oh, there is more to come! Indeed, I have been told that he has mentioned Darlington’s bid for the HQ to be sited in his constituency more than any other Member has referenced theirs. I am sure that his efforts are going a long way to keeping the bid on track, and that such a debate would be heavily subscribed by Members from across the House.
ParlaMint-GB_2022-03-24-commons.u247	We did not get stuck on the points, so I call James Daly.
ParlaMint-GB_2022-03-24-commons.u248	Many hon. Members have constituents who have travelled to the Polish-Ukraine border as part of the humanitarian efforts to support refugees fleeing Putin’s brutal illegal war. Those with whom I have had the opportunity to speak identified real concerns regarding the safeguarding processes in place to protect vulnerable refugees. I have been told of reports of women in particular being brutalised and attacked by criminals and, horrifyingly, being the victims of sex trafficking. Will my right hon. Friend make time for a debate to allow Members the opportunity to discuss how the international community can work together to find solutions to this horrifying problem?
ParlaMint-GB_2022-03-24-commons.u249	I had not heard those reports myself, but what my hon. Friend has raised is extremely disturbing. I thank him for his question and I will bring this to the attention of the Home Secretary and raise it with her on his behalf.
ParlaMint-GB_2022-03-24-commons.u250	That brings us to the end of business questions.
ParlaMint-GB_2022-03-24-commons.u251	On a point of order, Mr Speaker. I wonder whether you can advise me. Tomorrow marks six months since the Secretary of State for Levelling Up, Housing and Communities made a commitment to me in this Chamber that he would meet me to discuss the very difficult issues that we are facing with planning and housing in York. The crisis has only grown since then, and, despite exhaustive efforts from my office, we have yet even to receive a date for such a meeting. Can you, Mr Speaker, please advise on how I can secure the commitments made in this House?
ParlaMint-GB_2022-03-24-commons.u252	I thank the hon. Member for her point of order and for giving me advance notice of it. It is disappointing that the Secretary of State has not confirmed his promised meeting with her. I am sure that he will want to correct that as he is a right hon. Gentleman. The hon. Member has put her frustration about this on record and I hope that Members on the Treasury Bench will have noted her comments and that a meeting can now be arranged promptly.
ParlaMint-GB_2022-03-24-commons.u253	On a point of order, Mr Speaker. I am sure that you will have seen overnight the analysis that, thanks to the Chancellor’s cuts to universal credit, his real-terms cuts to disability benefits, and his real-terms cuts to the state pension and other measures, an extra 1.3 million people, including pensioners and 500,000 children, will be pushed into absolute poverty. Can you advise me, Mr Speaker, whether the Secretary of State for Work and Pensions has given you any indication that she will come to this House and provide an analysis of constituency data for Members, of the increased number of pensioners and children who will go into poverty, or should we assume that rising child and pensioner poverty for this Government is considered a price worth paying?
ParlaMint-GB_2022-03-24-commons.u254	I can assure the right hon. Gentleman that I have not been notified of a statement coming forward, but I notice that the Leader of the House is in his place and he could well be the messenger to convey the hon. Member’s point to Government Royal Assent
ParlaMint-GB_2022-03-24-commons.u255	I have to notify the House, in accordance with the Royal Assent Act 1967, that the Queen has signified her Royal Assent to the following Acts: Dissolution and Calling of Parliament Act 2022 Commercial Rent (Coronavirus) Act 2022 Highgate Cemetery Act 2022 Bill Presented National Insurance Contributions (Increase of Thresholds) Bill Presentation and First Reading (Standing Order No. 57) The Chancellor of the Exchequer, supported by the Prime Minister, Mr Simon Clarke, Lucy Frazer, John Glen and Helen Whately presented a Bill to make provision for and in connection with increasing the thresholds at which primary Class 1 contributions, Class 2 contributions and Class 4 contributions become payable Bill read the First time; to be read a Second time today, and to be printed (Bill 292). Ordered, that the Explanatory Notes relating to the Bill be printed (Bill 292—EN) National Insurance Contributions (Increase of Thresholds) Bill: Business of the House Ordered, That the following provisions shall apply to the proceedings on the National Insurance Contributions (Increase of Thresholds) Bill: Timetable (1) (a) Proceedings on Second Reading and in Committee of the whole House, any proceedings on Consideration and proceedings on Third Reading shall be taken at today’s sitting in accordance with this Order (b) Notices of Amendments, new Clauses or new Schedules to be moved in Committee of the whole House may be accepted by the Clerks at the Table before the Bill has been read a second time (c) Proceedings on Second Reading shall (so far as not previously concluded) be brought to a conclusion three hours after the commencement of proceedings on the Motion for this Order (d) Proceedings in Committee of the whole House, any proceedings on Consideration and proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion five hours after the commencement of proceedings on the Motion for this Order Timing of proceedings and Questions to be put (2) As soon as the proceedings on the Motion for this Order have been concluded, the Order for the Second Reading of the Bill shall be read (3) When the Bill has been read a second time: (a) it shall, despite Standing Order No. 63 (Committal of bills not subject to a programme order), stand committed to a Committee of the whole House without any Question being put; (b) proceedings on the Bill shall stand postponed while the Question is put, in accordance with Standing Order No. 52(1) (Money resolutions and ways and means resolutions in connection with bills), on any financial resolution relating to the Bill; (c) on the conclusion of proceedings on any financial resolution relating to the Bill, proceedings on the Bill shall be resumed and the Speaker shall leave the chair whether or not notice of an Instruction has been given (4) (a) On the conclusion of proceedings in Committee of the whole House, the Chair shall report the Bill to the House without putting any Question (b) If the Bill is reported with amendments, the House shall proceed to consider the Bill as amended without any Question being put (5) For the purpose of bringing any proceedings to a conclusion in accordance with paragraph (1), the Chair or Speaker shall forthwith put the following Questions in the same order as they would fall to be put if this Order did not apply: (a) any Question already proposed from the chair; (b) any Question necessary to bring to a decision a Question so proposed; (c) the Question on any amendment, new Clause or new Schedule selected by the Chair or Speaker for separate decision; (d) the Question on any amendment moved or Motion made by a Minister of the Crown; (e) any other Question necessary for the disposal of the business to be concluded; and shall not put any other questions, other than the question on any motion described in paragraph (16)(a) of this Order (6) On a Motion so made for a new Clause or a new Schedule, the Chair or Speaker shall put only the Question that the Clause or Schedule be added to the Bill (7) If two or more Questions would fall to be put under paragraph (5)(d) on successive amendments moved or Motions made by a Minister of the Crown, the Chair or Speaker shall instead put a single Question in relation to those amendments or Motions (8) If two or more Questions would fall to be put under paragraph (5)(e) in relation to successive provisions of the Bill, the Chair shall instead put a single Question in relation to those provisions, except that the Question shall be put separately on any Clause of or Schedule to the Bill which a Minister of the Crown has signified an intention to leave out Consideration of Lords Amendments (9) (a) Any Lords Amendments to the Bill may be considered forthwith without any Question being put; and any proceedings interrupted for that purpose shall be suspended accordingly (b) Proceedings on consideration of Lords Amendments shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement; and any proceedings suspended under sub-paragraph (a) shall thereupon be resumed (10) Paragraphs (2) to (7) of Standing Order No. 83F (Programme orders: conclusion of proceedings on consideration of Lords amendments) apply for the purposes of bringing any proceedings to a conclusion in accordance with paragraph (9) of this Order Subsequent stages (11) (a) Any further Message from the Lords on the Bill may be considered forthwith without any Question being put; and any proceedings interrupted for that purpose shall be suspended accordingly (b) Proceedings on any further Message from the Lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement; and any proceedings suspended under sub-paragraph (a) shall thereupon be resumed (12) Paragraphs (2) to (5) of Standing Order No. 83G (Programme orders: conclusion of proceedings on further messages from the Lords) apply for the purposes of bringing any proceedings to a conclusion in accordance with paragraph (11) of this Order Reasons Committee (13) Paragraphs (2) to (6) of Standing Order No. 83H (Programme orders: reasons committee) apply in relation to any committee to be appointed to draw up reasons after proceedings have been brought to a conclusion in accordance with this Order Miscellaneous (14) Standing Order No. 15(1) (Exempted business) shall apply to proceedings on the Bill (15) Standing Order No. 82 (Business Committee) shall not apply in relation to any proceedings to which this Order applies (16) (a) No Motion shall be made, except by a Minister of the Crown, to alter the order in which any proceedings on the Bill are taken, to recommit the Bill or to vary or supplement the provisions of this Order (b) No notice shall be required of such a Motion (c) Such a Motion may be considered forthwith without any Question being put; and any proceedings interrupted for that purpose shall be suspended accordingly (d) The Question on such a Motion shall be put forthwith; and any proceedings suspended under sub-paragraph (c) shall thereupon be resumed (e) Standing Order No. 15(1) (Exempted business) shall apply to proceedings on such a Motion. (17) (a) No dilatory Motion shall be made in relation to proceedings to which this Order applies except by a Minister of the Crown (b) The Question on any such Motion shall be put forthwith (18) (a) The start of any debate under Standing Order No. 24 (Emergency debates) to be held on a day on which the Bill has been set down to be taken as an Order of the Day shall be postponed until the conclusion of any proceedings on that day to which this Order applies (b) Standing Order No. 15(1) (Exempted business) shall apply in respect of any such debate (19) Proceedings to which this Order applies shall not be interrupted under any Standing Order relating to the sittings of the House (20) (a) Any private business which has been set down for consideration at a time falling after the commencement of proceedings on this Order or on the Bill on a day on which the Bill has been set down to be taken as an Order of the Day shall, instead of being considered as provided by Standing Orders or by any Order of the House, be considered at the conclusion of the proceedings on the Bill on that day (b) Standing Order No. 15(1) (Exempted business) shall apply to the private business so far as necessary for the purpose of securing that the business may be considered for a period of three hours. —(Michael Tomlinson. )
ParlaMint-GB_2022-03-24-commons.u256	Amendments and new clauses for Committee of the whole House may now be tabled by Members at the Opposition side of the Table of the House. In order to be considered by the Chairman of Ways and Means for selection they should be tabled within the next 15 minutes. An amendment paper for Committee of the whole House will be circulated as soon as possible.
