ParlaMint-GB_2022-07-05-commons.u1	1. What recent assessment he has made of the adequacy of staffing levels in the probation service.
ParlaMint-GB_2022-07-05-commons.u177	Over the past few days, Downing Street and the Prime Minister’s official spokesman have said different things at different times: first, that the Prime Minister was not aware of any allegations against the former Government Deputy Chief Whip; then that they were not aware of any specific allegations; then that they were not aware of any serious specific allegations; and then that they were not aware of any allegations that were substantiated. Yet the letter from Lord McDonald to the Parliamentary Commissioner for Standards, published today, shows that all those briefings appear to be untrue. So can the Minister tell the House whether the Cabinet Secretary is investigating these serial breaches of the special advisers’ code of conduct?
ParlaMint-GB_2022-07-05-commons.u178	I do not accept the hon. Lady’s characterisation. What she obviously does not wish to recognise is that, as days pass during a heated episode, investigation and media inquiries, pictures become more crystallised. As I said in my opening remarks, when fresh allegations arose, the Prime Minister did not immediately recall the matter that had been raised with him in late 2019. As soon as he was reminded, the No.10 press office corrected the public line. So it is not a matter of anything other than recollection and due process.
ParlaMint-GB_2022-07-05-commons.u179	Just two months ago, the Prime Minister stood at the Dispatch Box at Prime Minister’s questions and told me: “of course sexual harassment is grounds for dismissal. ” —[Official Report, 27 April 2022; Vol. 712, c. 759. ] Yet in 2019 he kept the right hon. Member for Tamworth as Minister, and this year he gave him powers over MPs’ welfare as Deputy Chief Whip, despite knowing that a formal complaint had been upheld against him. Let us be very clear: Lord McDonald’s letter says in black and white: “Mr Johnson was briefed in person about the…outcome of the investigation. ” This is not about rumour, innuendo or gossip. Does that not show that the mechanisms for upholding standards in public life are only as good as the independence and integrity of the person charged with enforcing them—and does that not show not just that we need radical systems reform, but that the Prime Minister himself just has to go?
ParlaMint-GB_2022-07-05-commons.u180	What the hon. Lady wishes to do is to draw politics into this matter. I would respectfully suggest to her that her drive to remove the Prime Minister will fail. The reason is that she focuses on personalities rather than on politics and policies. If she wishes to change the Prime Minister, she needs to win a general election in order to do so. This mechanism is not suitable for the party politics that she wishes to play.
ParlaMint-GB_2022-07-05-commons.u181	I wonder if the Minister has seen his own Government’s “Enough” campaign about abuse and harassment, which literally has an image of a drunk in a pub groping someone. The line is that, “This is enough” and that people should step in and do what they can. It does not say, “Wait until a completely independent inquiry has gone on, while you’re in a pub with a gropey man— until you can try and do anything about it. ” The Minister has stood in here today and sought to use the standards bodies in this House, which he was not in the meetings for—I was— and which were set up to protect people and to look after victims. Whether it is the Sue Gray report or the ICGS, there is always something that is meant to be for the standards for the public, but a Minister stands there and leans on that to try to get out of basically telling untruths to the public, allowing sycophancy rather than morality to be the reason why people are given their jobs. My question to the Minister is: if it had been me giving out those jobs, does he think the MP for Tamworth would have been able to get one?
ParlaMint-GB_2022-07-05-commons.u182	I would expect of the hon. Lady perhaps more than she would expect of me. By that, I mean that I would expect her to act fairly. I hope that answers her question. If she was in that position of responsibility for making decisions about appointments, I would expect her to act fairly, full stop.
ParlaMint-GB_2022-07-05-commons.u183	It seems that the problem we have is many processes, all of which lead back to the personal discretion of the Prime Minister. Is it not the case that we need a single, unified process, without the engagement of the Prime Minister or internal party documentation or machinations, where light is shone on this, and which protects the victims and the accusers rather than the abusers? Is it not the case that we need that now, away from the Prime Minister and independent of this place and himself?
ParlaMint-GB_2022-07-05-commons.u184	I have already adumbrated that there was an exercise within the Foreign Office at the time. The reality of the matter is that there was a process that was undertaken.
ParlaMint-GB_2022-07-05-commons.u185	In response to Sue Gray’s interim report, the Prime Minister announced that he would set up an office of the Prime Minister to address what she had identified as “fragmented and complicated” leadership structures that, in turn, “led to the blurring of lines of accountability. ” Given the variety of conflicting accounts that we have heard in the past few days, how does the Minister think that has worked out?
ParlaMint-GB_2022-07-05-commons.u186	If the right hon. Gentleman is asking me about machinery-of-Government processes and changes, that is not within my area of responsibility, but he knows what has been said about that. There is work going on all the time to look at machinery of Government and no doubt that will continue.
ParlaMint-GB_2022-07-05-commons.u187	We now seem to be in a position where No. 10 have just admitted that the Prime Minister was told about the upheld complaint, but he forgot. Has the Minister ever found himself in a position where he did not immediately recall being told of an upheld complaint of sexual harassment against a fellow Minister?
ParlaMint-GB_2022-07-05-commons.u188	I would ask the hon. Lady to understand that a Prime Minister has myriad urgent and pressing responsibilities. He may be told literally hundreds of things in any one day. The reality of the matter is that I cannot speak exactly to somebody else’s mind, whoever that person may be. But if she says to the House that she has never forgotten anything, or asks whether I have ever forgotten or misremembered something, I do not accept that.
ParlaMint-GB_2022-07-05-commons.u189	There is real concern among staff and Members of Parliament about a culture within Westminster that protects abusers and does not encourage victims to come forward. We see here potentially the start of an unlocking of a type of abuse that has been common in Westminster for far too long, of men abusing other men, particularly young men. That is a scandal that will run for miles and miles, because it has been overlooked and deliberately hidden and those behind it have, in some cases, had the very highest people protecting them, through forgetting that things have happened. Will the Minister give us assurance now that he will treat a sexual abuse attack on a man in the same way as he would an attack on a woman, and make clear that there should not be a single Member of Parliament in this place, in any party, who is guilty of that?
ParlaMint-GB_2022-07-05-commons.u190	The hon. Gentleman is completely wrong. There is no such culture either in this legislature or in the Executive. I have already said from this Dispatch Box that any victim should come forward about any incident at any time, and make themselves known and make their complaints. All are treated equally and will be treated equally. I have prosecuted personally cases in court. He asks me about that; there are a few barristers in this House who have been in criminal practice, and I am one of those who has prosecuted individuals for sexual assault and other criminal offences. So I am very alive to the issues generally, and I ask him to accept that we all come to this House in good faith to do the best we can, for our constituents and to look after those who work for us. Where there are failings, it is incumbent upon us to do the best we can to remedy and rectify those failings. That does not mean that we expect perfection in all cases, but it means that we should act fairly and reasonably at all times and do the very best we can.
ParlaMint-GB_2022-07-05-commons.u191	My constituents are facing a cost of living crisis made worse by underfunded, slashed public services. Does the Minister agree that, in the interests of the most efficient use of public funds and public service time, it would be best to open one commission to identify and investigate the occasions on which the Prime Minister has actually told the truth?
ParlaMint-GB_2022-07-05-commons.u192	The hon. Lady mentions her constituents and mine and the focus on cost of living, but I am afraid that the Labour party has requested and been granted numerous hours in this House, which I have had the honour of responding to from this Dispatch Box, not to ask about or debate cost of living, but to debate personalities. I ask her to bear in mind, if she is asking about the time of this House, what her party has been focusing on—and it is not the global cost of living crisis.
ParlaMint-GB_2022-07-05-commons.u193	The events of the past week show that the Prime Minister is sadly lacking ethics. Will the Minister confirm that it is still the Prime Minister’s intention not to appoint an independent ethics adviser?
ParlaMint-GB_2022-07-05-commons.u194	I have no idea what the hon. Gentleman is referring to. I do not recall at any point anyone’s saying that that would be the case. I cannot confirm something that I do not know to be the case. In fact, on the contrary, the Prime Minister is focused on ensuring that proper mechanisms are in place to uphold all standards in public life.
ParlaMint-GB_2022-07-05-commons.u195	I give the Minister another opportunity: will there be another ethics lead appointed by this Government?
ParlaMint-GB_2022-07-05-commons.u196	I think we have said that arrangements will be put in place. [Hon. Members: “When? ”] In due course.
ParlaMint-GB_2022-07-05-commons.u197	Quite frankly, this stinks. The Minister does us all a disservice today, because standards in public life do matter, despite what anyone on the Government Benches might say. People need to be sure that the people who make decisions and work in organisations that work on their behalf can be trusted, and we no longer have an independent ethics adviser since he resigned. Does the Minister not believe that it is urgent that a new ethics adviser is found and put in place, because otherwise how can anyone trust this Government to uphold standards and investigate breaches effectively?
ParlaMint-GB_2022-07-05-commons.u198	I have already said that the matter is being given the closest attention by the Prime Minister and by Downing Street. We do focus on standards in public life, as we do, as I have adumbrated before, in the list of matters that are available to those who seek to make complaints and wish to make complaints. In the interim period, people can make complaints to their permanent secretary, or the permanent secretary of the relevant Department, and that appears to be what happened in this case in 2019.
ParlaMint-GB_2022-07-05-commons.u199	The Minister has stated that the Prime Minister’s current defence in this matter is, “I was told but I forgot. ” The Minister mentioned his time in practice. If a client had produced that defence, what advice would he have given him, and would he have put him in the witness box?
ParlaMint-GB_2022-07-05-commons.u200	If anyone should go into the witness box, it is those on the Labour Front Bench. The hon. Gentleman seeks to challenge this party, but it is this party that delivers what the people of this country want. It is this party that secured the largest majority since the 1980s at the last general election, and it is this Prime Minister who will go on to fight the next general election. It is about policies, not personalities, and the hon. Gentleman wishes to make political points out of a serious allegation.
ParlaMint-GB_2022-07-05-commons.u201	Around one in three women and one in seven men are survivors of sexual violence. Many of them will work on the parliamentary estate, and whether we know it or not, they may be sitting in this very Chamber right now. What assurances can the Paymaster General give those survivors here and across the country that Parliament is a safe place to work and this Government are fit to govern, given the gaslighting that we have been subjected to today from the Dispatch Box, and the fact that Cabinet Ministers, including the Justice Secretary, are happy to go on national television and obfuscate and minimise the severity of allegations of this nature for as long as the alleged perpetrators are sufficiently loyal to the Prime Minister?
ParlaMint-GB_2022-07-05-commons.u202	Obviously no one has, from this Dispatch Box or anywhere else, done what the hon. Lady alleges. The fact of the matter is that not everyone who disagrees with the hon. Lady is being dishonest. She needs to recognise that there is a version of events that every individual has. She wishes to make political points and claim that there is dishonesty involved. There is a difference of recollections in some cases—a difference of circumstances. That does not mean that the party that disagrees with her is dishonest.
ParlaMint-GB_2022-07-05-commons.u203	Over the past week, we have heard the Prime Minister talk about no allegations, no specific allegations and no serious specific allegations. The response is changing on an almost daily basis and we now know that none of those responses was true, and were ever-changing smoke and mirrors. Why do this PM and Government have such a problem with truth and honesty?
ParlaMint-GB_2022-07-05-commons.u204	This Government do not have the problem that the hon. Gentleman particularises. In fact, it is the Labour party that needs to look to its own soul when it takes the sanctimonious position that it has done. I am sorry to say that there are examples in the Labour party and it takes a high moral tone that I do not think is fitting.
ParlaMint-GB_2022-07-05-commons.u205	The Minister may enjoy being pedantic in defending the Prime Minister, but the cover-up he is defending has resulted in reports of sexual assault. Today we are witnessing the Minister obfuscating and misusing his power. Is it not time that withholding information about misconduct, including sexual assault, results in immediate suspension of those individuals and that this misuse of power and safeguarding is brought into sharp focus and immediately handed over for independent investigation?
ParlaMint-GB_2022-07-05-commons.u206	Disagreeing with the hon. Lady is not dishonest. The fact of the matter is that she simply seeks to make political points, and the reality of the matter is that they will not work and they should not work, because this matter is too important for that.
ParlaMint-GB_2022-07-05-commons.u207	On a point of order, Mr Speaker. The Minister has said repeatedly that there is an investigation ongoing. He has absolutely no means of knowing that, because the ICGS process is entirely confidential, and indeed it is important that it is kept confidential. Even the fact that there is an investigation is confidential. I hope that you can confirm that, Mr Speaker, because it is so important to the victims, in particular.
ParlaMint-GB_2022-07-05-commons.u208	I can concur that that is correct. It is on the record and it is there for others to note when we have further debates so that they take it into account.
ParlaMint-GB_2022-07-05-commons.u209	On a point of order, Mr Speaker. Once again, it returns to the question of not getting answers. I would be very grateful for your guidance on how we as Members can secure satisfactory answers. On two occasions now, I have tabled written questions relating to the Department of Health’s links with the Beijing Genomics Institute, following its failure to answer properly a question tabled by my predecessor as shadow Asia Minister, my hon. Friend the Member for Aberavon (Stephen Kinnock). My first question, tabled on 13 January, was ignored until the House rose for Prorogation on 28 April. I subsequently tabled a follow-up on 18 May, and to date I have only received a holding response. These are vitally important questions relating to our national security and this is not good enough. Will you please advise, Mr Speaker, on how the Government should answer these questions?
ParlaMint-GB_2022-07-05-commons.u210	I thank the hon. Member for giving me notice of the point of order. Of course, I am hoping that Ministers will have heard it. It is certainly on the record. The hon. Member might also consider raising it with the Procedure Committee, which monitors the performance of Government in answering questions. I say quite clearly to the Government that they have a duty to answer all Members of Parliament, whichever side of the House they come from. They should be diligent in making sure that questions are answered as promptly as possible.
ParlaMint-GB_2022-07-05-commons.u211	On a point of order, Mr Speaker. I am concerned that the House may have been misled inadvertently, at least by omission. The Paymaster General asserted that the Prime Minister did not recall that he had been advised by a civil servant about the previous issues regarding the right hon. Member for Tamworth (Christopher Pincher) because he forgot, but my understanding is that meetings with civil servants are a matter of record, and his private office would have investigated that. So how do we get redress, because surely it was investigated? What was in that record and who told who about it?
ParlaMint-GB_2022-07-05-commons.u212	I am not going to continue the debate; we have got through it. The hon. Member has certainly put his point on the record, and, knowing him, I do not think he will leave it at that; I am sure he will tickle out further answers we go on.
ParlaMint-GB_2022-07-05-commons.u213	On a point of order, Mr Speaker. Could you give guidance to the House? The Opposition are apparently very cross with the Government at the moment. Is there any reason why the Opposition cannot move a vote of no confidence in the Government?
ParlaMint-GB_2022-07-05-commons.u214	You know the answer; that is why you asked the question. I do not think it was just about one side. You were there, and you put up a good defence, but I think you are a lone batter today.
ParlaMint-GB_2022-07-05-commons.u215	I beg to move, That leave be given to bring in a Bill to provide for a statutory definition of kinship care; to make provision about allowances and parental leave for kinship carers who take on responsibility for children whose parents are unable to care for them; to make provision about education in relation to children who are looked after by a kinship carer; and for connected purposes April—not her real name—is a constituent of mine. When her sister, who had bladder cancer, died, she left behind five children, all boys. The youngest was aged just five. His birth father was estranged and his stepfather had left the family when his mum got the terminal cancer diagnosis, leaving April’s nephew traumatised and with developmental delays. Shortly before April’s sister passed away, she asked April and her partner if they would look after her youngest son. Of course, they said yes. They would do anything to protect him. Before social services got involved, she and her partner welcomed in a new member of their family, but this decision came at a huge financial and personal cost April was already contending with illness and disability in her family. She needed financial and practical support for her nephew, so she asked the council to pay for his therapy. The council officer said, “You did the right thing in taking in the child before you were asked to. This is the best place for your nephew to be, and you’ve saved us a lot of time and money. But this is a private family arrangement, so we have no legal duty to help you. There’s nothing we can do. ” Had April not stepped up to look after her nephew, he would have ended up in local authority care. She has saved the taxpayer tens of thousands of pounds a year and likely ensured a more positive outlook for him. Yet because she did the right thing, she gets nothing in return for his living costs or to manage his mental ill health April is not the only one. Every year, thousands of grandparents, aunts, uncles, siblings and family friends step up to support a child whose parents are not able to care for them. Several kinship carers are watching in the Gallery today. They turn their lives upside down to provide children with a loving, stable home. For most of them, welcoming in a child is not a choice they make, but an instinctive reaction out of love to a dramatic, often overnight change in circumstances: a death in the family, domestic abuse or a similar situation. As the hon. Member for Denton and Reddish (Andrew Gwynne)—a kinship carer himself—described it to the all-party parliamentary group on kinship care, which he chairs, it is the “social services stork” that turns up unannounced at the door one night asking someone to take a child in Kinship carers do this even though their own financial situation may be unstable. Around half of kinship carers are grandparents, relying on their hard-earned pension savings. One in three kinship carers is non-white. Yet the benefits to children of living with friends and relatives they already know are immense. Compared with care leavers, they are more likely to have better mental health, to have better exam results and to hold down a job. It is why in Australia kinship care is the preferred option when a child cannot be looked after at home by their birth parents. Kinship care is the Cinderella service of our children’s social care system—too often ignored. The Government have created a system full of unfairness and uncertainty, leaving some of the most vulnerable families without help. For carers such as Kim, another constituent of mine, who has a special guardianship order, the council has a duty to assess her financial needs. However, unlike for foster carers, any financial support is means-tested, discretionary and reviewed regularly. She told me: “At the last review, we were told that we didn’t qualify for an allowance, even though our costs had increased and my income had reduced due to the pandemic. I challenged this and we now receive about half of what we used to get. It is a help, but it does not cover all the extra costs we need to find. ” However, others, such as April, are not legally entitled to anything. A survey published last week by the charity Kinship found that just 6% of kinship carers with an informal arrangement receive help. Those carers who do receive allowances are paid on average £40 a week less than the national minimum allowance for foster carers. That is bad enough, but the Government’s failure to tackle the cost of living crisis is only making the situation harder. Kinship’s survey this year found that 44% of kinship carers could not pay all their household bills. More than a quarter could not afford food for their families April’s partner, who was training to be a police officer, was told by the council that he should give up work. Studies show that between 30% and 40% of carers leave employment completely after taking on a child. Kinship carers do not get the same rights to employment leave as adoptive parents do. They must rely on the goodwill of their employers The unfairness is also reflected in our education system. If a child in kinship care was previously looked after by the council, their school receives pupil premium plus funding, but if a relative takes in a child to prevent them from becoming looked after in the first place, the school loses out. The relative’s generosity in stepping up at the earliest opportunity is punished by the state I fervently believe that every child should get the best start in life. The Bill I am introducing today includes four proposals to ensure that kinship carers get the financial and practical support their children need. First, all kinship carers should receive weekly payments equal to the national minimum weekly allowance that foster carers receive. Secondly, kinship carers should be entitled to paid employment leave when a child starts living with them, just as happens when a family adopts a child. Thirdly, children in kinship care should have the same support as looked-after children in our education system, such as pupil premium plus, virtual school heads and priority in the admissions process. Finally, those things should be underpinned by a statutory definition of kinship care that will act as a gateway for carers to access the rights I have just mentioned. I am grateful to the Family Rights Group and to Kinship for their help with this Bill and their long-standing campaigns on these proposals. Voices from all sides of this House have recognised that the current situation is unsustainable. The Government’s own “Independent review of children’s social care” has called for change. We on the Liberal Democrat Benches will stand up for all carers in this country of all kinds. My right hon. Friend the Member for Kingston and Surbiton (Ed Davey) has spoken movingly in the past of his “amazing nana and granddad” who took him in after his mother passed away. We speak from the heart when we say that we want to be the voice of carers in this place I am glad to see the Under-Secretary of State for Education, the hon. Member for Colchester (Will Quince), in his place. When I raised the issue of kinship carer allowances with him in the Chamber in May, he told me that “it can be advantageous…to invest in that family member to avoid the child going into care”. —[Official Report, 23 May 2022; Vol. 715, c. 42. ] I completely agree with him, but I know that his colleagues in the Treasury will be concerned about costs or providing a sufficiently watertight definition of who is a kinship carer. However, neither of these problems is insurmountable. On average, it costs about £72,500 a year to put a child in local authority care. If we provided every child in kinship care with a social worker and a weekly allowance, it would cost the taxpayer just over half that. We know that there are systems already in place in the Department for Work and Pensions to recognise kinship carers for the purposes of the two-child benefit cap For most kinship carers, welcoming in a child is an unexpected, life-changing decision, but one they would make again in a heartbeat. Ian, a constituent of my hon. Friend the Member for Oxford West and Abingdon (Layla Moran), said: “Having my granddaughter in the house gave us a new lease of life. It’s great, we love it. ” However, he also recognised how much harder it would be for those in much more difficult circumstances. Surely we owe it to these children who have been through so much, and these carers who have sacrificed so much and have saved the taxpayer so much, to give them the financial and practical support they deserve and need to flourish. Let us step up for kinship carers and support every child to get a better start in life, no matter their background Question put and agreed to. Ordered, That Munira Wilson, Ed Davey, Robert Halfon, Stella Creasy, Tim Loughton, Sarah Olney, Layla Moran, Mrs Emma Lewell-Buck, Helen Morgan and Richard Foord present the Bill Munira Wilson accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 17 March 2023, and to be printed (Bill 134).
ParlaMint-GB_2022-07-05-commons.u216	I am grateful that we have been granted this debate to discuss the spending of the Department for Work and Pensions. We are all familiar with the facts of the cost of living crisis: price rises are accelerating and inflation in May was the highest since 1982—the highest for 40 years—at 9.1%. In France, inflation was 5.8% and in the eurozone, it was 8.1% on average, so we have a particularly acute problem in the UK. The Bank of England Monetary Policy Committee said last month that it expects inflation to rise to slightly above 11% in October In the light of those rapidly increasing costs, the Chancellor announced measures to support households in February, March and May. I warmly welcome that support, which is valued at £37 billion. Two of the support measures that he announced are funded by the DWP and are therefore a focus of this debate: first, the £650 payment for households receiving means-tested benefits, and secondly, the £150 payment for people receiving disability benefits I understand that the DWP will pay the first £326 instalment of the £650 payment in the second half of this month. The qualifying day for that—the day on which someone had to have been claiming means-tested benefits—was 25 May. The qualifying day for the second instalment has not yet been announced, but I gather that it will be no later than 31 October. Those payments will be tax free and will not affect other benefit awards. I particularly welcome the fact that, as the Secretary of State confirmed to me in the debate on the recent legislation to enable the payments, they will not be constrained by the benefit cap The other measures that the Chancellor announced in May, which are not legislated for by the Social Security (Additional Payments) Act 2022, include two extensions of existing programmes for which DWP is responsible. First, pensioner households will receive a one-off £300 pensioner cost of living payment as a top-up to their winter fuel payment, which will cost in total £2.5 billion. Secondly, there will be an additional £500 million for the household support fund for local authorities to make discretionary payments to people in need—some £421 million for England and £79 million for the devolved Administrations through the Barnett formula. That will cover the period from October this year to March next year The household support fund was originally announced in September 2021 with £500 million for local authorities for the six months from October 2021 to March 2022. It was extended with another £500 million for the following six months from April to September this year. I will say more about that later as a relatively new feature of the estimates It is worth pausing to reflect on the fact that, although the Chancellor’s announcements are welcome, there are still some concerns. The Resolution Foundation estimates that the “measures announced this year to support households will in effect offset 82 per cent of the rise in households’ energy costs in 2022-23, rising to over 90 per cent for poorer households. ” It is a substantial response to a substantial problem. The Treasury says that households with incomes among the lowest 10% of all households in England will gain just under £1,200 a year on average as a result of the package, while those among the top 10% will gain around £700 a year on average—significantly less. That strikes me as a broadly appropriate distributional impact There are some caveats—for example, the payments are per household. As Save the Children and others have pointed out, larger families will not get any more support than smaller ones, even though children in larger families are at much greater risk of being in poverty. Nearly half—47%—of all UK children in a family with three or more children were in poverty in 2020, so that has a big impact The Joseph Rowntree Foundation made the point that: “One key group who has lost out are unpaid carers” We have just debated kinship carers. Only 59% of the 1 million people who claim carer’s allowance also claim means-tested benefits, so the other 41% will not get any additional support through the package. I applaud the Welsh Government’s initiative to provide an additional £500 payment for carers in Wales, and I think consideration should be given to comparable additional support elsewhere in the UK People waiting to be assessed for a personal independence payment cannot access the £150 payment. People wait on average five months to be assessed and receive a decision, and some 300,000 people are waiting at the moment. We might think that they ought to be getting some help, but they will not. People waiting for a work capability assessment will not get the payment either. The backlog for work capability assessments for universal credit is not published, so we do not know the size of it, but we know that there is one In April, as we all know, inflation-linked benefits were increased by 3.1% in line with the increase in the consumer prices index last September. When the uprating took effect, however, inflation was already over 7% and, as we have been reminded, it is now expected to rise to 11% this year. The Secretary of State previously told the Work and Pensions Committee that she does not favour one-off payments of the kind that the Chancellor announced in May. She is right: welcome though the Chancellor’s announcements are, I agree that it would be far better to have an uprating system that works properly, rather than having to resort to these stopgap measures to deal with the emergency Universal credit can be updated quickly, as we saw when lockdown hit, but the legacy benefits cannot be. The permanent secretary told the Select Committee last week that the problem is that uprating programs can only be run at weekends, when the computer systems are not doing other jobs, and that is apparently why it takes such a long time to implement the uprating of the legacy benefits. We have already called for those older systems to be improved urgently, and for the gap between assessing inflation and uprating benefits to be reduced. The need for that to happen is now even clearer, given the problems that we have run into this year The crisis is also exposing a much bigger and longer-term problem, which is the continued failure to keep the level of benefits in line with inflation. That is a consequence of successive policy decisions over the last 12 years. The chief executive of the Resolution Foundation said yesterday that the headline rate of benefit for someone who is unemployed is now 13% of average earnings, and that that is the lowest level it has ever been. That is lower, I think, than when Lloyd George introduced unemployment benefit for the first time in 1911 Nobody should be surprised that so many are having such a hard time; there is no resilience in the support that is being provided, because the level is now so low. We have asked Ministers to explain the reason or thinking behind setting the benefits so low, and all we have been told is, “Well, we uprated it that year, we did not uprate it that year, and this is where we’ve ended up. ” There is no rationale for the situation that we have found ourselves in where, in real terms, the level of benefits is at its lowest for more than 30 years Citizens Advice North Lancashire, one of the organisations that contacted the Select Committee, told us that “one-off payments are not a solution to inadequate benefit levels. ” It is right about that. It went on: “Our detailed research…on Universal Credit from across Lancashire…shows that Universal Credit is not enough to live on in Lancashire. Benefit payments urgently need uprating so that people who cannot work can afford to live off them. ” The Select Committee has agreed to look at the longer-term issue of benefit levels in an inquiry in the coming months, and we will be considering these issues carefully I want to comment today on two specific features of these estimates. The first is the household support fund. As I have said, the Chancellor’s package included an additional £500 million for the household support fund, bringing the total amount in that fund to £1.5 billion since October 2021. It is administered by local councils in England, and each council sets its own eligibility criteria The grant conditions set by the Government are, frankly, pretty vague. They specify that assistance can be issued by the authority itself or through a third party. One third of the grant is to support households that include a child, another third is to support households that include somebody of state pension age and the balance is for everybody else. It is for support with food, energy and other essential living needs. In a so-called exceptional circumstance, the household support fund can be used to support housing costs Local authorities have to submit a statement of grant usage to the Department with plans of how they are going to spend the money, and they are supposed to maintain an adequate audit trail for how they do in fact spend it. We asked the Secretary of State about that at the Select Committee last week, and she told us that local authorities have to make two returns a year to the Department about what happens to that money. I think that information is supposed to be published, but as far as I can see, no information has been published about how the household support fund has been used. The truth is that we know very little about what has happened to that £1.5 billion One thing that money could be used for is supporting families with no recourse to public funds, some of whom have been in a desperate situation in the last two years. When asked if the household support fund can he used for that, given that it is a public fund, Ministers—absurdly—say that local authorities should take their own legal advice to find out. At the very least, there must surely be clarity about what councils are allowed to do with this funding It may well be that the household support fund is playing a valuable role—I imagine it very likely is—but we just do not know, and we should. If there is to be continued use of discretionary funds such as this, instead of uprating benefits properly, the Department must at least work with councils and develop a clear reporting framework for the household support fund to provide assurance that it is being used effectively and that the support is getting to where it is most needed, because at the moment we just do not know. It would be far better to have an effective and reliable system for uprating the level of social security benefits, so that we do not have to resort to these stopgap measures in situations such as the one we are in at the moment The second point I want to pick out is about the benefit cap. The cap has not been changed since 2016, and in 2016 it was lowered. It continues to limit overall annual benefit support for a family to £23,000 in London and £20,000 across the rest of the UK, with comparable figures for a single person of £15,410 and £13,410 respectively. The new cost of living payments will not be constrained by the benefit cap, and I warmly welcome that. I think this sets an important and welcome precedent. It recognises that families up against the cap—and there are over 100,000 of them at the moment—are seeing their costs rising like everybody else Given the uprating expected next April, based on the rate of inflation expected in September, the Child Poverty Action Group has estimated that “an additional 35,000 households will become capped overnight, resulting in a total of around 150,000 households capped in April 2023” The North East Child Poverty Commission also contacted the Select Committee, and it told us: “The benefit cap impacts a relatively small number of households in the North East (fewer than 5,000)…almost all…are families with children…but they are being prevented by the cap from receiving all the support they have been assessed as needing. We urge the Government to lift the benefit cap. ” The Government have a statutory duty to review the level of the benefit cap every five years. Until March this year, the obligation was to review it in every Parliament. The last published review of the benefit cap was in 2014, which was eight years ago. The cap was lowered in 2016. The Secretary of State, when we asked her about this last week, could not tell us when it was last reviewed. If it has been reviewed within the last five years, the review certainly has not been published, despite promises to the Select Committee that it would be—and of course it should be. The Government should be open about their thinking in this area When the benefit cap was introduced in 2013—my hon. Friend the Member for Westminster North (Ms Buck), who is on the Front Bench, and I were in the Committee that debated this before it took effect—the income threshold was set at median full-time earnings, which at that time was £26,000 a year. Since then, it has been reduced, and of course median full-time earnings are very different now from what they were in 2013 anyway. The level of the cap now bears no relation at all to any particular earnings level I warmly welcome that the cap will not apply to the additional payments announced by the Chancellor. That is an important precedent, recognising that families at the benefit cap will be hard hit too. However, with inflation at over 10%, it is imperative that the cap is reviewed ahead of next April’s uprating. It needs at least to reflect average household incomes, as it initially did—it needs to bear some relation to them, surely—and take account of increasing rent, energy and food costs. I urge the Minister to be open with the public and to publish the outcome of that review. The Chancellor’s package means relief from the benefit cap for tens of thousands of families this year, but next year the cap will be back and presumably there will not be any further additional payments from the Chancellor. The level of the cap must be raised before next April because if it is not, the consequences will be dire I am very grateful for this opportunity to debate the very important estimates that the Government have provided for us. They make such a big impact on millions of our fellow citizens, and it is vital that such decisions about them are the right ones.
ParlaMint-GB_2022-07-05-commons.u217	It is a pleasure to follow my good friend, the Chair of the Work and Pensions Committee, the right hon. Member for East Ham (Sir Stephen Timms), and it is a pleasure to be a member of that Committee in holding the Government to account. I of course refer to my entry in the Register of Members’ Financial Interests, particularly my role as chair of the PCS parliamentary group, as I will have some things to say about the office closures issue I want to start with the Secretary of State’s appearance at the Work and Pensions Committee last week, when she said that, on Thursday, she was going to meet her officials to discuss a second remedial order on bereavement support benefits for cohabiting couples. This is a very important issue, and we have had many great campaigners, including my Glasgow South West constituent Ailsa MacKenzie, who has been in the vanguard of pushing this issue. I hope the Minister will update the House on that issue, because it affects many thousands of people. The quicker we get the remedial order laid down, the quicker people can start receiving those bereavement support payments, which will no doubt help them deal with the cost of living crisis Let me touch on what I think lies at the heart of the problems in the Department for Work and Pensions: the start of the claim, the five-week wait and the deductions that come with that. The Minister responded to a written question from me, and the figures are becoming increasingly alarming. Ever since, I have periodically tabled such questions, and the number of deductions and the amount deducted have increased over the past 18 months. A total of £11 million a month is now being taken off claimants as a result of deductions. In my view, that has become a poverty tax For example, figures show that in February this year, 189,000 households in Scotland—an increase of 9,000 in just three months—had an average of £60 deducted from their social security payments. That is mainly to pay back the loans issued by the Department to cover the five-week wait at the beginning of a new claim, but some of it is due to overpayments, which include the Department’s errors. I hope the Department will look at that issue, because there is already case law when it comes to pay. By law, if there has been a mistake and someone has been overpaid, the employer cannot take that back. I suggest that if the Department has made a genuine error, it should not be deducting payments from future claims. I hope the Government will look at that, because a number of organisations have said that a deduction should not be made if the Department for Work and Pensions is to blame.
