ParlaMint-GB_2022-03-17-commons.u1	1. What steps his Department is taking to encourage the use of electric vehicles.
ParlaMint-GB_2022-03-17-commons.u214	The shadow Leader of the House raised the important issue of energy resilience and security. On that theme, we need to look at water resilience and security. The east and south-east of England is running out of water, which is a serious and urgent issue that needs to be addressed. We need to build more reservoirs and build our resilience. Can we have an urgent debate in this place to talk about getting more water into the east and south-east?
ParlaMint-GB_2022-03-17-commons.u215	My hon. Friend is a long-standing campaigner on these issues and I know he will continue to hold the Government to account about them. He is right to draw attention to the fact that resilience within our infrastructure and utilities is vital to our future. For a long time, we have taken our access to good, clean water for granted, but that happens only with investment in our infrastructure. He is right to continue to draw attention to that.
ParlaMint-GB_2022-03-17-commons.u216	The Prime Minister was in Saudi Arabia this week, days after 81 people were executed by the same regime that has been waging the devasting attacks on Yemen since 2015. The long-established community in Liverpool, Riverside has called on the UK Government to halt arms sales to the Saudis in order to end the humanitarian crisis. Can the Leader of the House make some time for a debate on that humanitarian crisis?
ParlaMint-GB_2022-03-17-commons.u217	I know the hon. Lady took the opportunity to engage in the urgent question earlier in the week. I emphasise again that the way to influence regimes around the world is to go and engage with them, to sit opposite them, to hold them to account and to challenge them face to face. The purpose of the Prime Minister’s visit was to engage with our colleagues around the world, to try to influence them and to lead them in a direction that is better for human rights.
ParlaMint-GB_2022-03-17-commons.u218	I was horrified to read some extremely unwelcome news reports this week that the commitment made by the Government in their manifesto and in the Queen’s Speech to ban trophy hunting imports may be scrapped. Every day that we delay, more magnificent and endangered animals—lions, elephants, rhinos and even pangolins, to name just a few—are killed for sport and their corpses brought back into this country. Will the Leader of the House confirm when the animals abroad Bill will be brought forward and reaffirm the Government’s commitment to ending trophy hunting imports?
ParlaMint-GB_2022-03-17-commons.u219	My hon. Friend has a long-standing record of campaigning on this topic. We have committed to a ban on importing hunting trophies from nearly 7,000 species. That is one of the toughest bans in the world and will go well beyond our manifesto commitments. She will understand that parliamentary time is finite and there has been huge pressure on it, not least because of emergency legislation brought forward in response to covid and to Ukraine, but we will bring forward legislation as soon as parliamentary time allows and business will be announced in the usual way.
ParlaMint-GB_2022-03-17-commons.u220	May I ask for a debate on those who are not pulling their weight in delivering sanctions on Russia over Ukraine? Lots of shops in the UK have now withdrawn products from their shelves, but anyone who wants to buy a £150 bottle of Beluga vodka can go to Selfridges, where it is on the shelves, or Harrods, where they have to ask for it and it is literally underneath the counter. There are also British companies that are still doing business in Russia, like Subway, Pirelli and Baker Tilly, who provide advice on how to hide money. Is it not time that everybody pulled their weight, because that is the only way we can make Putin fail?
ParlaMint-GB_2022-03-17-commons.u221	The hon. Gentleman is right to draw the House’s attention to these matters. In asking his question, he has delivered some of the publicity that is required. The only way to send the strongest message to that regime in Russia is to stick together and to hold firm. He is right to ask for that debate and I am sure there will be methods, either through an Adjournment debate or Backbench Business debate, for the House to continue to draw attention to those who are not condemning or issuing those sanctions as they should be.
ParlaMint-GB_2022-03-17-commons.u222	Some of my constituents live in houses in multiple occupation. By their very nature, those are large houses that can come with council tax bills in bands E to H. Some of those constituents are on low incomes but are not benefiting from the discount for bands A to D—they are being charged the same tax as householders who may be able to afford the bills. May we have a statement on what the Government might do to assist my constituents who find themselves in such a situation?
ParlaMint-GB_2022-03-17-commons.u223	The Government have announced a package of support worth £9.1 billion for 2022-23 to help households with rising energy bills. Council tax bands provide a targeted means of delivering support quickly to those most in need. The Government recognise that other households that do not automatically qualify for the rebate may require support. That is why every council has been provided with a share of the £144 million fund to provide discretionary support targeted to any household in financial need—including, if they choose, those in higher council tax bands I hope that my hon. Friend was able to raise the issue at Treasury questions this week; if not, my right hon. Friend the Chancellor of the Exchequer will be delivering his spring statement next Wednesday, and my hon. Friend will have the opportunity to raise it then.
ParlaMint-GB_2022-03-17-commons.u224	Order. Some Members have come in rather late and should not really want to catch my eye; I am sure that you will not embarrass me or yourselves.
ParlaMint-GB_2022-03-17-commons.u225	I am glad it wasn’t me you were referring to, Mr Speaker—I am sure I was here On Wednesday at 5 pm, Thames Water began releasing sewage into Colwell brook at Witney, and that release is still ongoing. At 9.15 pm yesterday, Thames Water began releasing sewage into the Thames at Oxford. The Oxfordshire community says that enough is enough, which is why I and local campaigners have been fighting tirelessly to secure bathing water status for the Thames on Port Meadow. We are delighted to hear that a decision is expected in April. However, Surfers Against Sewage are calling on the Government to designate 200 official river bathing waters by 2030. Will the Leader of the House make time for a debate on how the Government can support communities to apply for bathing water status?
ParlaMint-GB_2022-03-17-commons.u226	I know that the hon. Lady has secured debates on this issue in the past and that she is passionate about it. She is absolutely right to draw the House’s attention to it. There were strong measures in the Environment Bill to clamp down on the illegal release of sewage into our water courses. There are exemptions for water companies to make releases in extreme weather, but I think some of them, frankly, are abusing some of those loopholes. The hon. Lady is right to draw attention to that. That is why the Government are introducing stronger measures in the Environment Bill and will continue to hold water companies to account.
ParlaMint-GB_2022-03-17-commons.u227	Being asked by a smart Stroud child constituent what MPs do all day, what I am doing to protect owls and orangutangs, and how we can help Ukrainian children is far worse than being grilled on the tellybox I give credit to the Parliament team who gave virtual tours of the House during the pandemic and brought me in to speak to local schools such as St Joseph’s, Rodborough, Upton St Leonards and Cashes Green. Given that restrictions have now been lifted here, will my right hon. Friend join me in encouraging more Stroud schools and others around the country to engage with the Parliament education teams and come to visit us here in Westminster?
ParlaMint-GB_2022-03-17-commons.u228	I, too, have been grilled quite recently—by year 6 at Blidworth Oaks Primary School in my constituency. It is absolutely vital that we encourage children to engage in our democratic process and understand how politics works. The parliamentary support mechanisms that engage with schoolchildren are fantastic. I encourage colleagues up and down the country to engage with their primary schools and ask students to come and learn more about Parliament and how it operates.
ParlaMint-GB_2022-03-17-commons.u229	Many on both sides of the House have in the past asked for a debate or statement on the terrible situation in Nigeria, which has now just about met the United Nations criteria for genocide. Most of the attacks—not all—are against the Christian community, on a widespread scale. I have asked Foreign, Commonwealth and Development Office Ministers questions about this in the past, but the answers have been a bit less than satisfactory. The last time, the relevant Minister said that some of the attacks might be connected to religious bigotry—the FCDO had clearly been sweating blood on that analysis. May we have a statement or a debate?
ParlaMint-GB_2022-03-17-commons.u230	The hon. Gentleman is right to draw the House’s attention to the situation in Nigeria. I know that many Members on both sides of the House are concerned about religious persecution, and call it out on a regular basis. I think that it is worthy of debate, and that such a debate would be popular in the House. The hon. Gentleman will have another opportunity to ask about the issue during Foreign, Commonwealth and Development Office questions on 26 April, but I think that applying for a debate in the meantime is the right thing to do.
ParlaMint-GB_2022-03-17-commons.u231	I thank you for what you said earlier, Sir, about talking to the Ukrainian Speaker, and for all the efforts you have made to allow the House to engage with the terrible crisis in Europe. I also thank the Leader of the House for what he has done to provide statements to the House. I think there have also been at least three debates on Ukraine in the Chamber and Westminster Hall this week. May I make a suggestion for next week’s business and for that of future weeks? I suggest that there should be a statement on Ukraine each week after business questions to update the House. Members would know about the statement, and could make the time to come to it. Will the Leader of the House consider that?
ParlaMint-GB_2022-03-17-commons.u232	As my hon. Friend has said, both you, Mr Speaker, and the Government have provided many opportunities for colleagues to ask about what is happening in Ukraine, and for the House to debate the subject. I see no reason why that should not continue. Indeed, we could probably do better than a regular statement on Thursdays, and update the House on a regular basis when the situation changes.
ParlaMint-GB_2022-03-17-commons.u233	Let me begin by wishing everyone in my constituency a happy St Patrick’s day I know from my experience that this House does not promote equality. In fact, I would say that it is actually exclusionary. The Leader of the House has been helpful and open to discussion, but given that we are currently moving from crisis to crisis, can we, as a matter of urgency, introduce measures enabling all Members to vote and represent their constituents?
ParlaMint-GB_2022-03-17-commons.u234	May I say what a pleasure it is to see the hon. Lady back in her place? I know that Members on both sides of the House will also be pleased to see her here. I, and others, understand the challenges that she is fighting and overcoming, and I pay tribute to her efforts. She will be aware that the Procedure Committee is about to report on ways in which we can assist Members through proxy voting, or other methods of enabling them to engage in the democratic process. I await the publication of the Committee’s report, but in the meantime my door is open to her, and I suggest that the second we receive the report, she and I meet to work out a plan for how we can help her to continue to exercise her democratic rights.
ParlaMint-GB_2022-03-17-commons.u235	My constituents have been disgusted to find out about the treatment of child Q by the police, but they are also desperately concerned about the fact that this is not an isolated incident. In Brent North we saw the vile treatment of the dead bodies of two black sisters, Bibaa Henry and Nicole Smallman, by the very police officers who were supposed to be safeguarding the crime scene, and I am currently dealing with two other disturbing cases of police racism on behalf of my constituents Colleagues on both sides of the House are also desperately concerned about this issue. I am second to none in my admiration for the thousands of police officers who keep us safe on our streets, but something must be done about racism in the Metropolitan police, and I ask the Leader of the House for an urgent debate on the issue in Government time.
ParlaMint-GB_2022-03-17-commons.u236	The hon. Gentleman will understand that I do not want to comment on the individual case that he raised at the beginning of his question. I would say, in general terms, that the use of strip-search powers is an operational matter for the police, but we are clear about the fact that those powers should be used in accordance with the law, and with full regard for the dignity of the individual concerned. I do not think that anyone could be other than concerned about the matter that the hon. Gentleman has raised. It should be fully investigated. There are clearly some challenges within the Met police force, of which both the Mayor of London and the Government are aware, and they need to be addressed. The hon. Gentleman was right to draw this matter to the attention of the House; it is worthy of further debate, and the situation does need significant improvement.
ParlaMint-GB_2022-03-17-commons.u237	Can I ask my right hon. Friend what business he has in mind to help the House ensure that the process of the restoration and renewal of Parliament is undertaken for the benefit not just of Members of Parliament but of the thousands of staff and visitors who are here every day?
ParlaMint-GB_2022-03-17-commons.u238	This is a very important issue. I do not know whether my hon. Friend is aware, but the Commissions of both Houses will be meeting this afternoon to discuss progress and to update this House later on any changes to the regime. The current plan that the House voted on certainly seems to have migrated in terms of its length and its cost, which has raised some concern within the Commission. I can assure my hon. Friend that this House will be kept up to speed with any changes, and will have the opportunity to vote on any changes that are brought forward.
ParlaMint-GB_2022-03-17-commons.u239	Mr Speaker, I hope that you and the Leader of the House will join me in the great celebration of Nazanin. Who would have thought, when a group of us took bouquets of flowers to the Iranian embassy for Nazanin on Valentine’s day, that we would get this result? So, well done everyone; it is brilliant that she is out. I am going to have a little party next week to celebrate, and you are both invited In my constituency, I have a man called Richard Dass. When the war broke out in Ukraine he jumped into his camper van, filled it up with stuff and drove out there. He is still there helping people. He has the languages and the contacts, so he knows what the local hospitals want and what supplies are needed, but I am having great difficulty in sourcing those supplies for him. Could the Leader of the House use his influence with Ministers to get me the relevant information for Richard Dass? He is a brave young man doing a great job.
ParlaMint-GB_2022-03-17-commons.u240	I thank the hon. Gentleman for his comments about Nazanin, and I join him in celebrating her safe return. I also join him in congratulating and paying tribute to his constituent who is assisting with the humanitarian support in Ukraine. I will pass on those comments to the Foreign Office and see if we can assist him in getting the information he requires.
ParlaMint-GB_2022-03-17-commons.u241	The freezes on fuel duty by Conservative Governments since 2010 have been the right thing to do and have saved motorists and businesses thousands of pounds. However, the cost of petrol and diesel remains disproportionately high compared with other countries because of fuel duty. The Government cannot buck the market, given global events effecting the price, but they can change the level of taxation. Will my right hon. Friend allow for an urgent debate ahead of the spring statement so that Members on both sides of the House can highlight how the high cost of petrol and diesel is affecting motorists and businesses?
ParlaMint-GB_2022-03-17-commons.u242	We recognise that the global price of crude oil has been increasing in the past year, leading to a rise in petrol prices around the world. That is why we are supporting people by freezing fuel duty for the 12th year in a row. This is the longest sustained freeze in British history, saving drivers money every time they fill up their tank compared with pre-2010 prices. The 2022-23 fuel duty freeze will save consumers almost £8 billion over the next five years. However, the overall impact of energy price spikes on the public finances needs to be considered in the round, and the Office for Budget Responsibility will be setting out the overall fiscal position next week, when the Chancellor will be giving his spring statement.
ParlaMint-GB_2022-03-17-commons.u243	I have a constituent who had to flee an abusive relationship. That was clearly traumatic enough, but she has now discovered that her ex-partner took out an advance universal credit payment, or loan, of nearly £1,000, which went directly into his bank account. The Department for Work and Pensions is saying she is jointly liable for this money, which she did not see a penny of, and it wants her to pay it back. We know that coercive and financial control can be a problem in domestic abuse, so will the Leader of the House please ask the Secretary of State for Work and Pensions to intervene and show compassion for my constituent?
ParlaMint-GB_2022-03-17-commons.u244	I am very sorry to hear about the situation in which the hon. Gentleman’s constituent finds herself. People in coercive and controlling relationships should reach out for support to try to escape that situation. I will make sure that the Department for Work and Pensions is aware of his question to see whether anyone can assist his constituent.
ParlaMint-GB_2022-03-17-commons.u245	Not only is today St Patrick’s day and Purim, but tonight is the start of the Hindu festival of Holi. There are two versions of why Holi exists. The first is that Holika, the evil witch, took the king’s son Prahlad into a burning fire, but she was consumed by fire and he was delivered unharmed. The other is about Lord Krishna, whose face turns blue after being poisoned, and therefore he throws colours around to encourage people not to see that he is blue. Will my right hon. Friend join me in wishing Hindus across the world “Holi hai! ” ?
ParlaMint-GB_2022-03-17-commons.u246	I would like to join my hon. Friend in wishing the Hindu community across the UK a happy Holi, including those in his constituency. It is a joyful occasion. I have not participated in it myself, but splashing colours around looks like great fun, if nothing else. I think it is something I would quite enjoy.
ParlaMint-GB_2022-03-17-commons.u247	Residents of Lantern Court and Compass Point in my constituency are stuck in limbo with unaffordable insurance premiums and eyewatering repair bills while they are unable to sell their apartments. Can the Leader of the House confirm when the Building Safety Bill will come before us?
ParlaMint-GB_2022-03-17-commons.u248	Business will be announced in the usual way, and the Government are very keen to get on with the Building Safety Bill. I hope the hon. Gentleman will recognise that the Bill will help to support his constituents. It is heading our way very soon, but he will have to be patient and wait for business to be announced in the usual way from the Dispatch Box.
ParlaMint-GB_2022-03-17-commons.u249	On 28 July 2021, every Labour councillor in Bury voted to destroy large areas of green belt in my constituency. By supporting Andy Burnham’s “Places for Everyone” plan, local Labour politicians ignored the views of thousands of my constituents who wish to preserve areas of countryside at Walshaw, Tottington and Elton reservoir. Will my right hon. Friend make time for a debate on Places for Everyone and the devastating impact it will have on green-belt land in my area?
ParlaMint-GB_2022-03-17-commons.u250	My hon. Friend is a tenacious campaigner on behalf of his constituents. This is not the first time he has drawn attention to the shortcomings of Mayor Burnham, and I know he will continue to do so by campaigning tirelessly for his constituents. He demonstrates once again today what a great representative he is for his constituents.
ParlaMint-GB_2022-03-17-commons.u251	I am sure the Leader of the House will be tempted to consider an electric tractor or a hydrogen combine harvester, if he has not done do so already. Consumers across the UK have been switching to electric vehicles. Impressively, plug-ins were 26% of the February car market, and that proportion is growing. However, the charging infrastructure sector and the automotive manufacturers are frustrated by the lack of an integrated strategy. Can we have a debate in Government time on how the Government will ensure these two industries do not stall?
ParlaMint-GB_2022-03-17-commons.u252	I have been lucky enough to buy an electric car, which has been a revelation. It is a very good product. The hon. Gentleman is right to draw attention to the fact that not only cars will have to migrate to a new fuel source in the long term. The good news is that in his part of the world, which is the heart of the car industry, great companies such as JCB are doing a lot of research into hydrogen fuel cells and gigafactories, into which the Government are pouring huge amounts of investment to make sure the United Kingdom is at the heart of the new revolution in energy supply. That is the right thing to do, and the Government are very committed to doing it.
ParlaMint-GB_2022-03-17-commons.u253	Can we have both an urgent statement and a debate on the draft terms of reference for the covid inquiry? Astonishingly, although there is a small sentence on school restrictions, they do not mention children or the impact on children’s mental health, lost educational attainment and life chances. Children must not be forgotten in this inquiry.
ParlaMint-GB_2022-03-17-commons.u254	I thank my right hon. Friend for his question. Obviously, that inquiry is about to get started and it will be wide-ranging, and to restrict it to any particular area would be a mistake. He is right to draw attention to the impact that the pandemic had on children, and I am sure that the inquiry will go into all areas of covid and be a wide-ranging inquiry that we will respond to in due course.
ParlaMint-GB_2022-03-17-commons.u255	This week has been an important one for those infected in and affected by the contaminated blood scandal. Sir Robert Francis has given his review of compensation frameworks to the Cabinet Office, ahead of what we hope will be the conclusion of the infected blood public inquiry later this year, so that the Government are ready to respond to whatever recommendations Sir Brian Langstaff makes. I know that the Paymaster General has already indicated that he will publish Sir Robert’s review, alongside the Government’s response. When that happens, will the Leader of the House ensure that a statement is made to the House, as Members of Parliament have not had an opportunity to question the Government over the past few years about this issue, with the inquiry ongoing, and it would be a really opportune moment for us to be able to ask questions about the Government’s plans?
ParlaMint-GB_2022-03-17-commons.u256	I pay tribute to the right hon. Lady, because I know she has campaigned on this issue for a very long time. I also pay tribute to Sir Robert Francis QC, who has conducted the inquiry—an enormous amount of work has gone into it. As she said, the Paymaster General said from the Dispatch Box that he would publish that inquiry. I hear her plea for a statement at that time, and I will pass it on to the Department of Health and Social Care, which I am sure will look upon it favourably.
ParlaMint-GB_2022-03-17-commons.u257	In 1222—I know the Leader of the House was not there at the time, but his predecessor might have been—our late King Alexander II designated the already ancient Dumbarton a royal burgh. It is actually first mentioned by Ptolemy, on his great historic map of the then Roman empire, where it was known as Alauna, before becoming Alcluith, which even the Speaker of the other place has taken as our designation. Does the Leader of the House agree that it is now time to debate in this House the value and worth of our ancient and historic places, and the wonderful opportunities they speak to in terms of our heritage and history and the communities who have made them their home for centuries?
ParlaMint-GB_2022-03-17-commons.u258	The hon. Gentleman is a true champion for Dumbarton, and I enjoyed his history lesson. It is a demonstration that lots of places up and down our great British Isles are worthy of visiting and have a great tourism industry. We should celebrate that in this House and continue to draw attention to it, and he has contributed in that way this morning.
ParlaMint-GB_2022-03-17-commons.u259	There are massive concerns across South Reddish at the proposal to merge GP services in South Reddish with the surgery in Heaton Norris, closing the site at South Reddish in the process. That will massively reduce accessibility. I am opposed to the changes, and a survey conducted by local campaigner Holly McCormack showed massive public opposition too. May we have a debate on GP service cuts and accessibility to GP services, so that these issues can be properly addressed on the Floor of the House?
ParlaMint-GB_2022-03-17-commons.u260	The hon. Gentleman is right to draw attention to the fact that accessing GP services is a very important challenge that faces many of our constituents. He will be aware that lots of those policies in that part of the world are under the control of the Mayor of Manchester, who has some responsibility, too. The issue is worthy of debate and it would give the Government an opportunity to celebrate their record and acknowledge the investment that we are putting into the NHS.
ParlaMint-GB_2022-03-17-commons.u261	The stories we are currently hearing of security being hired to remove P&O crew from vessels is deeply concerning. As I understand it, all P&O sailing staff are to be made redundant with immediate effect and to be replaced with agency staff—but it is okay, apparently, because those staff will be able to apply to the agency for employment. All sides have had an issue with the Government’s inaction on fire and rehire, but today’s events go further still. I heard what the Leader of the House said earlier in response to the shadow Leader of the House, the hon. Member for Bristol West (Thangam Debbonaire), but will he make recommendations to the Secretary of State for Transport such that he comes back to the House today to make an urgent statement?
ParlaMint-GB_2022-03-17-commons.u262	I will make sure that the Department for Transport is aware of the hon. Gentleman’s comments. He will understand that the DFT is currently working feverishly behind the scenes to try to assist with the situation. I am sure that, in due course, the DFT will update the House on the progress made, but at the moment we need to leave it to get on with its job in trying to assist those who are in a challenging situation.
ParlaMint-GB_2022-03-17-commons.u263	After eight years as leader of Hounslow Council, Councillor Steve Curran recently announced that he was standing down as a councillor to focus on his health and medical treatment. Steve and I occasionally disagree on things, but on the big things we do not. Under his leadership, Hounslow has achieved more than 2,000 social rents and council homes and London’s best roads and fewest potholes; it is on track to deliver on net zero; and it was named the 2021 Local Government Chronicle council of the year, particularly—although not exclusively—for its work supporting businesses and vulnerable residents during the covid crisis. Will the Leader of the House join me in sending our best wishes to Councillor Curran? Will he find time for a debate in Government time on the important work of local councils such as Hounslow?
ParlaMint-GB_2022-03-17-commons.u264	I suspect that Councillor Curran and I would probably disagree politically on a few issues, but I am sure that in his eight years as leader of Hounslow Council he has worked tirelessly on behalf of the hon. Lady’s constituents and many others. She is right to draw attention to the fact that councillors and council leaders of all political persuasions up and down the country put in an enormous amount of effort to try to improve people’s lives. That is worthy of debate and I encourage the hon. Lady to talk to the Backbench Business Committee or apply for an Adjournment debate.
ParlaMint-GB_2022-03-17-commons.u265	Can we have a statement on covid? In York, the case rate is now 625 cases per 100,000 and shooting up. In York Hospital, the bed occupancy rate for patients with covid is now greater than it has been at any previous point in the pandemic, including during the spike because of the delta variant. We were promised guidance on care home visits and for care home staff and NHS staff, but it has not been brought forward. We urgently need to know how the Government are to manage the rise in the number of covid cases, so may we have a statement?
ParlaMint-GB_2022-03-17-commons.u266	There will be an opportunity for the hon. Lady to question the Secretary of State for Health and Social Care directly at Health questions on 19 April. A debate on covid is worthy of an application and she could apply to the Backbench Business Committee or for an Adjournment debate. That would provide an opportunity for the Government to set out our fantastic record on covid—how we were the first to deploy the vaccines and the first to get out there with a booster programme, and how we offered tremendous support for those who found themselves laid off.
ParlaMint-GB_2022-03-17-commons.u267	Will the Leader of the House make a statement setting out his support for my Bill on paid bereavement leave for all, which will have its Second Reading tomorrow and has support throughout the House Will the Leader of the House and you, Mr Speaker, join me in urging Members from all parties to observe a minute’s silence at midday on 23 March, to commemorate the lives lost during the pandemic and show our support for all those who have been bereaved, as part of a day of national reflection?
ParlaMint-GB_2022-03-17-commons.u268	The hon. Lady is right to draw attention to that minute’s silence; it is important that we reflect upon the lives of those who have not been as fortunate as we have been to make it through the covid pandemic I wish the hon. Lady well with her private Member’s Bill tomorrow. I am sure she will convince the House to support it. The democratic process will take place and I wish her well in it.
ParlaMint-GB_2022-03-17-commons.u269	May I also say happy Holi, happy Purim, and happy St Patrick’s Day On Wednesday, the UN General Assembly proclaimed 15 March the International Day to Combat Islamophobia. I hope the Leader of the House will join me in commending the international community for taking important steps to promote a culture of tolerance based on respect for human rights and for freedom of religion or belief. Given the rampant Islamophobia in the UK, which has devastating consequences on our British Muslim community, will the Leader of the House consider a Backbench Business debate in Government time on Islamophobia?
ParlaMint-GB_2022-03-17-commons.u270	I thank the hon. Gentleman for his question and for his good wishes. He is right, again, to draw attention to the fact that all forms of racism, which are often overlooked, should be called out. We have a responsibility as Members of Parliament and also as members of society to call out any form of racism, and 15 March gives us the opportunity to remind people once again that racism is unacceptable in all forms and should be called out by anybody who sees it.
ParlaMint-GB_2022-03-17-commons.u271	Will the Leader of the House join me in congratulating Rutherglen Bankhead Tenants and Residents Association on its 30th anniversary this month, making it one of the longest standing associations in south Lanarkshire? Will he schedule a debate in Government time on the contributions of tenants and residents associations across the UK?
ParlaMint-GB_2022-03-17-commons.u272	I thank the hon. Lady for her question. She is right to draw attention to the thousands of tenants and residents associations up and down the country. There are many very active groups in my own constituency that contribute a great deal not only to the place in which they live, but to the community with which they engage. I join her in congratulating her constituents on their 30th anniversary, and I wish them all the best for the future.
ParlaMint-GB_2022-03-17-commons.u273	May I wish you, Mr Speaker, and everyone in the House—right hon. and hon. Members—a very happy St Patrick’s Day? It is said that if, on St Patrick’s Day, St Patrick turns the stone over, it means that the sun will shine for 30 days. I am sure that we are all looking forward to 30 days of good weather—certainly, that is my hope Just this morning, ISIS-DRC claimed the killing of more than 50 Christians in a raid on villages in Ituri province, in the north-east of Democratic Republic of Congo. This is just the latest in an increase in attacks by ISIS affiliates on religious minorities. The Leader of the House is always very responsive, so will he ensure that there is a statement from the relevant Minister of Her Majesty’s Government on the re-emergence of ISIS and the potential threat to religious minority communities in DRC?
ParlaMint-GB_2022-03-17-commons.u274	I thank the hon. Gentleman for his question. He always brings a little sunshine into this Chamber whenever he contributes. That is why Mr Speaker saves him up to the end to bring that enthusiasm. The hon. Gentleman will be aware that there is a Westminster Hall debate this afternoon on some of these challenges, which he has called. I am sure that he will be there to lead it. He is right to draw attention to this matter. He is a tenacious campaigner on religious rights around the world, and I pay tribute to him for the work that he is doing in highlighting this terrible crime.
ParlaMint-GB_2022-03-17-commons.u275	On a point of order, Mr Speaker.
ParlaMint-GB_2022-03-17-commons.u276	Points of order should come after statements. Is it about this?
ParlaMint-GB_2022-03-17-commons.u277	It is about previous business, Mr Speaker.
ParlaMint-GB_2022-03-17-commons.u278	It is definitely previous business, is it? I have already been hoodwinked once today. I do not want it to happen twice.
ParlaMint-GB_2022-03-17-commons.u279	It is regarding the urgent question this morning.
ParlaMint-GB_2022-03-17-commons.u280	That was earlier. Your point of order can come after this statement.
ParlaMint-GB_2022-03-17-commons.u281	Before I call the Secretary of State for Justice to make a statement, let me say that I understand that the content of it has been extensively trailed this morning, including through tweets from the Secretary of State’s Department and from the right hon. Member himself. I have made it clear previously that important policy announcements need to be made first to this Chamber, not to the media. I repeat that again today. It is a discourtesy to the House and to the Members, and I expect Ministers to make sure that this does not happen again.
