ParlaMint-ES-CT_2017-10-27-4402.1.0	The session begins. Mr. Carrizosa, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.34.0	Thank you, President. Today in this Parliament, representing the sovereignty of the Catalan people, we are prepared to make a historic passage. Since the legitimacy of the self-determination referendum of '1 October, in which most votes were in favour of Catalonia becoming an independent state in the form of a republic. And this Parliament, according to its Law of Referendum, can only proclaim it. This is the democratic mandate of our people expressed in the ballot box, and so close to assuming it. We have already enabled all possible democratic tools to refer to this decision: consultation, elections and referral. If others could not be enabled, it was due to the lack of political will of the State to provide it with one of its judicial orders. Therefore, the claim not to execute the popular mandate because it has not been legitimized by the legality of the State would mean assuming the democratic cares of the Spanish State as an insurmountable condition of our freedom. Today, assuming our full legal and political self-care, we are politically subject to self-determination and sovereign exercise, calling on the international right gathered in declarations, conventions and treaties in which the United Nations recognize and endorse the right of all peoples to self-determination. We note that the legal, political, statutory and constitutional framework are today a problem, as they do not offer democratic solutions to the political conflict between the Catalan countries and the Spanish State, and, in turn, we propose and affirm the new framework of the republic as a context for the expansion of civil, social and political rights that does not offer a democratic solution in the international concert. What we do today goes from the moon, from a long history of struggle and resistance. From the war of the Segadors of 1640 and from the siege of La Canadenca of 1919 to the Republic of 31st and its defense before the coup d'état francquista, and from the struggle for democracy that followed it until the referendum of 1st October and the general siege of 3rd October, that have led us to the step that today we are poised to do, passing through many and many struggles, in order to smooth social, civil and political rights in front of a state that is always despotic, and also of some Catalan oligarchies that have always opted for the status quo, to all, against the good people. Today we determine ourselves before the Spanish State and before the Catalan elites who preferred the Spanish tyranny before freedom and democracy in Catalonia. The Government of the Generality predicted a scene that did not occur, and that was based on the dialogue and negotiation with a more democratic Spanish state and with a less democratic and conservative European Union. This scene was even shared for the broad democratic framework that represented the National Referendum Pact. The tools that man had planned to manage the new republic in this frustrated context have remained outdated. Now we need to build a popular and institutional counterpower and build the republic in a context of democratic and non-violent struggle and resistance, and, tanmateix, with radical determination. The time of the people has arrived, without even structures of state, building republic from below, with the process constitute and with the social struggle of the joints, from the self-organisation, from the Catalan people's counterpower in front of the authoritarian power of the Spanish State. And for all this we ask, today, that the Parliament of Catalonia, assuming the results of the self-determination referendum of '1 October and in compliment of the Law of Referendum, voting on these motions for resolutions we propose, declare that Catalonia is an independent state in the form of a republic. And we urge the Government of the Generality, as well as the assemblies of our country, to carry out this mandate at all the effects established in the Law of National and Foundational Transition of the Republic. Since the CUP - Creed Constituent we believe that independence and that this true democratic revolution are today the best way to advance in the objectives of social and political transformation of the working class and of the popular classes in the way of the construction of a free society, feminist and socialist in the conjunction of the Catalan Countries. It is also the best way to honour the dignity and memory of those who preceded us in the struggle for the republic and against the fascism of the Catalan Countries, Spain and the world. It is the best way to build a new country for everyone, for everyone, without exclusions; a republic of crowded, of democratic and social refuges, with a vast and will hold for everyone who expects and desires a better world. For everyone, whatever your identity is and your origins are. And this step you know that the female deplete, with her head high [[applause]] Not on the knees, not on the subjects, but on the free people, not by. Or shared with tenderness and solidarity, which must be determination and courage. Today we begin the dismissal of the 78th Regime and the Bourbon monarchy in Catalonia, and we proclaim the Catalan Republic. Today's a happy day. Dirty the earth! [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.35.0	Thank you very much, Mr. Riera. Then there's the word Mr. Germà Gordó.
ParlaMint-ES-CT_2017-10-27-4402.36.0	Thank you, President. President, Vice President, Members and Members, Councillors and Councillors... as you know, I do not have the power to formulate resolutions or statements to them, which I would have done if I had been able to do. I don't know if they had prospered, I think they didn't, they saw what happened with the papers I made on the Law of Referendum. Therefore, as long as I only have two minutes, briefly: to reiterate the shortcomings of the procedure initiated with the laws of reference and transitory; legal doubts, technical and legal fever and narrow parliamentary. It's something to consider at the time of the vote, and we'll consider it. But let us also cast the vote taking into account the vote cast for most of the three-million people who mobilized on October 1st; taking into account our seas, our Germans and our daughters, who were hit alone by the fact that they wanted to vote; taking into account the attack on freedom and Catalan institutions, which means the application of Article 155 of the Spanish Constitution, and taking into account the situation of two clearly peaceful social leaders in our country as they are in Jordi Sánchez and Jordi Cuixart. Today's vote is not a point and apart, it's a point and followed – we all know that. Nothing ended here, and, above all, it didn't end – it can't end – the dialog to get the best project and the widest possible for our country. We do not want to lose sight of it, we will not lose sight of it, and this is true for Catalonia as well as for the Spanish State, that the best indicator of the democratic quality of a country is the deal it gives to its minorities. Thank you. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.37.0	Thank you very much, Mr. Gordó. The words "Mrs. Marta Rovira", in representation of the Parliamentary Group Junts per el Si, continue to appear.
ParlaMint-ES-CT_2017-10-27-4402.38.0	Thank you, President. MPs, MPs, well, in this debate, which began yesterday and which culminates now, many things have been talked about; it has been talked about how the dialogue is going. We, the dialog..., and I don't think anyone can deny that Catalonia has always offered lives of dialog; in fact, it practiced it, the dialog. But he always wanted to practice an open dialogue, a sincere dialogue, an honest dialogue, a dialogue that did not mean resignations of the vast majority of citizens of this country. And this dialog has given fruit many times: many political pacts, many, until today; it has given fruit even to a statutory process. An honest dialogue, a sincere dialogue, an open dialogue, a dialogue in terms of equality, a dialogue that respected democracy. He donated fruit. It has always given positive fruit, but it has lasted very little. It's been a long time because too often, too often, this dialog has culminated in agreements; these agreements have never been completed, never have they been completed. These agreements come from the dialog too often have been minor and mocked. Many times this dialog, which culminated in references, has been even squandered and settled by judicial institutions. This is the dialog that comes back to offer today: a dialog that is not addicted; a dialog that needs a democratic majority in our country; a dialog that forces a subtitling: "Come to the Congress of Deputies; a dialog that is not the same, that is not yours, that does not respect the democratic majority obtained at the polls. And this dialog every time is more addicted, now, when precisely at this point there is a democratic and legal majority in favor of independence. The dialog is so vicious that it doesn't exist, because above this dialog there is the unit of Spain – it's always above this dialog. It's a dialog that forces resignations, it's a dialog that implies subtly. In fact, the unit of Spain today is a political option that is excused for everything: to deny democracy, to intervene in Parliament, to cease government. On the other hand, we independents have a very different attitude. We do not want to impose independence on anyone; we have always supported it at the polls and democracy; we have presented ourselves to legal and democratic elections, and we have obtained a mandate. [[Greetings.]] The independenceists we have endorsed our political option at the polls – 27 September – and we won. [[Widow's remorse.]] And we have a majority political agreement, majority in the chamber...
ParlaMint-ES-CT_2017-10-27-4402.39.0	Quiet, and please.
ParlaMint-ES-CT_2017-10-27-4402.40.0	...to be implemented. And we put her back in the polls on October 1st. This is our dialect, this is our concept of democracy: democracy must always be exercised by the citizens. Our political option never has to be over the same democracy or the same dialect, as it happens at these times with the unit of the Spanish State, that is, the proposals that come from the Unionists. Miri, they said yesterday: "In this legislature nothing has been said more than about the monotheme. No, many things have been discussed and many projects approved that are absolutely necessary and essential for our country. And these projects have always been blocked politically by a majority that is not in this chamber, but is in the Government, the Congress of Deputies and the Senate; a political majority that blocks us and suspects the social progress that is taking place in this chamber. Every social progress is blocked politically by a majority that does not represent the citizens of this country, all of them. [[Greetings.]] Look, nobody talked about what the experts are alerting about yesterday; the experts are alerting them to push another time the light bill and to lie down in the winter. And it's an alert that we're supposed to be debating here. [[remorse of the voice]] , that you should plant. Because this Parliament has approved to fight the poor energy; this Parliament has worked to pay a fair light bill, because the business people are competitive, because it is not a good thing that in the last six years the business people in this country have seen the light bill increased by 40_per_cent. This – this – because it is not a gift..., do you know how we have to do it to get out of this political blockade? So, we're forced to build our own country, our own state, that takes refuge from this oligopolistic state that forces citizens and entrepreneurs to pay one of the world's most dearest bills of the light. That's why we're here – that's why we're here. [[Voice remorse and applause.]]
ParlaMint-ES-CT_2017-10-27-4402.41.0	Quiet, and please.
ParlaMint-ES-CT_2017-10-27-4402.42.0	That's why. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.43.0	Quiet!
ParlaMint-ES-CT_2017-10-27-4402.44.0	And do you know what happened to these instruments that allow us to work against the energy poverty that we approved with a progressive political majority in this Parliament? That you blocked it in the Spanish Congress, blocked it in the State, as you always do – as you always do. And today they pass..., today they do another thing: they move from the subsequent political blockade using the Constitutional Court, the prosecution and the courts, from this political blockade that they have exercised, to the clearly direct intervention, to an aberration – absolutely – democratic, to the intervention of this Parliament and to the cessation of democratically elected institutions. Now the political blockade does not serve them, now they say: "Surely, the one we want to erase is all part of the chamber, and we will decide for all the citizens. I don't need them to vagrate the Spanish Congress to block this political majority. I don't think I'm going to vagrate the Constitutional Court any more. You today are directly involved in the democratic institutions of our country. And if this is approved, we're not forty years old. And we have to keep it very present. That's why women today don't do it. Mirin, we – we – only wanted to vote. And we wanted everyone voted, absolutely everyone. Mrs. Granados, because you vote all over the country. And that calls for 80 percent of our country. We have put the ballot boxes for everyone – for everyone – and everyone has had the opportunity to express what he thought to the ballot boxes. Until yesterday you... you should be ashamed to come here to talk about 155, because they use..., they have acted as they always do; they have acted as they always do to see that in Madrid their parties and their companies..., they have seen that in Madrid their parties and their companies have nothing to do with Catalonia. You come here, make some very kind speeches, but while Ciutadans is there, the PSOE and the PP are approving what they approve. And, as it makes them so ashamed, you did not speak of it yesterday, of this Article 155, did not speak of it; as always: you here give a face and then politically block the adventures that this Parliament approves. You can talk about Llavaneres, Mrs. Arrimadas. I've made a call to Llavaneres, and I've told them there are other ways to prove political discrepancy, certainly, yes. The same way I made this call, I'd ask you to do so too. [[Widow's remorse.]] Miri, two years ago...
ParlaMint-ES-CT_2017-10-27-4402.45.0	Please; be quiet, and please.
ParlaMint-ES-CT_2017-10-27-4402.46.0	...for two years now, some Members of Parliament who hold the majority of this Parliament are also trying to democratically pull out the initiatives we represent, which have given us and asked us the citizens of this country, but we cannot; we cannot by a constant blockade of the opposition, that when the typical instruments of parliamentary blockade that they make, two months ago, it is an indignity: thousands of people investigated, seven hundred mayors investigated, the Bureau and the Government sought and required, more than a thousand wounds for the Spanish police on October 1, high offices and public servants detained and imputed, escorts to private homes, enterprises and professional depatches without guarantees, citations of the Polish Government's ban on civil affairs, declarations of a political assembly, declarations of a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a political party, a Please, Mrs. Arrimadas – Mrs. Arrimadas –, ask the country police not to follow us any further. We don't want them to follow us; we want to – we want to, we want to – exercise our rights. [[Greetings.]] I don't want them taking pictures of me when I leave home to accompany my daughter to school. I don't want them to follow me down the street. I want to be able to exercise my rights according to what I think. [[Voice remorse and loud applause.]]
ParlaMint-ES-CT_2017-10-27-4402.47.0	Quiet, and please.
ParlaMint-ES-CT_2017-10-27-4402.48.0	I... [[Widow's remorse.]]
ParlaMint-ES-CT_2017-10-27-4402.49.0	Quiet, and please. Quiet.
ParlaMint-ES-CT_2017-10-27-4402.50.0	...I asked all the governors and the mayors of the Republican Left...
ParlaMint-ES-CT_2017-10-27-4402.51.0	Mr. De Paramo... Mrs. Rovira, please. Mr. De Paramo, please. [[Widow's remorse.]] Mr De Paramo, you have already spoken, you have already exercised your parliamentary right; now another group is exercising it. Please, respect him. Mrs. Rovira, I can continue.
ParlaMint-ES-CT_2017-10-27-4402.52.0	I'm talking about political persecution for what I think it is. And he asks you to do what I did: ask the mayors and governors of the Republican Left, and share it with the rest of the democratic political parties, that we don't have to declare people not grateful. I'm done. Always remember – always –: before all this, today we are here to fulfill the mandate of '1 October. On October 1, we did not only win a self-determination referendum, we also protected the rights of expression, assembly, information and the right to political pluralism; that is, the basic rights of democracy. And we won the right that the institutions of our country are at the height of this dignity, of so much dignity. Sovereignty is already of the people, as it should always have been. And it is our job, from the legitimate representatives gathered here, to embody this sovereignty to the institutions, strong and flexible at once, that protect the rights and deepen in all and every freedom of everyone. The rights that were made real on October 1 now have to be made law, they have to be made right, they have to be converted into a democratic conversation, they have to be converted into consensus and guarantees. The citizens of Catalonia have guaranteed us the country, and now it is our job to guarantee them this state, this society, this plural and peaceful coexistence, because Catalonia can no longer be ruled without the permission of its citizens and today we start a new path that can only be made from this backward fortress. The thousands of prospects that form our country, which are many and very plural, must fall into this determination to build a better country than we are, and every step that comes is from this shared determination that we must be able to move forward. Tough times come, not to be fooled, tense moments come, but we have no choice, we don't have it. The inability of the State to adapt to the social demands of Catalonia, to the willingness to have an adult, civilized conversation, is also the inability to adapt to the time we live, which is and must be a time of poverty and democracy. It will not be easy, it will not be free, and we know it; it will not be one day for another. We have the talent of the whole country, we have all the peaceful culture that we have made alive these years, all of it. But we know we have talent, we know we have determination, we know we have civil society and civil society in this society, we know we have a network of complicity, solidarity and cooperation. We'll be warmed up by this. And we also need to speak clearly and learn the responsibilities that being a state also entails. And we know that there are a lot of people in Catalonia who don't want independence, you know, or you don't see this strategy clearly, you know that, too. And it is essential that your eyes are escorted, that they are incorporated into the country's main stronghold, in the process they constitute. Pluralism is not only an undeniable fact, it is also an essential and necessary part of progress, of all progress. That is why we need a much more robust democratic culture, we need a much more mature, more demanding democratic culture, and we need to create conditions for conversation and debate, the debate of the process is, if not limited, without subordination, if possible. Today, unfortunately, this debate is not. Today's opinions, preferences, ambitions are alibied, threatened by the state. It's imperative for us to build this society, a society where this doesn't happen, where we don't...
ParlaMint-ES-CT_2017-10-27-4402.53.0	Mrs. Rovira...
ParlaMint-ES-CT_2017-10-27-4402.54.0	... – I'm finished, Madam President – not now, but never passes what is happening. Building a state, as we propose to do, means that the power of the state can never be over the power of the people, as is happening, neither from consensus, nor from disagreements, nor from coexistence. It is urgent for us to create a free area of repression and therefore to take the decisions we want to take on the future of our country, and that is said and can only be said to constitute a process for the Catalan Republic. I'm done. Remember – Remember... [[Widow's remorse.]] Yeah, but I've been interrupted a few times, too. Remember: we have witnessed the first row of a unique spectacle, a cultural revolution. We've lost it. A man, a woman who only has a child in the hands of power, but a woman or a man who knows the risks and is responsible...
ParlaMint-ES-CT_2017-10-27-4402.55.0	Mrs. Rovira, you've run out of time.
ParlaMint-ES-CT_2017-10-27-4402.56.0	...is a free man. Today we are founding a new country on these principles and on this dignity. Do it. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.57.0	Mrs. Arrimadas, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.58.0	Thank you, Madam President, for a point of order.
ParlaMint-ES-CT_2017-10-27-4402.59.0	Say, Madam President. [[Don't worry about it. Don't worry ……]]
ParlaMint-ES-CT_2017-10-27-4402.60.0	Because of the gravity of what's going to happen...
ParlaMint-ES-CT_2017-10-27-4402.61.0	Mrs. Rimadas.
ParlaMint-ES-CT_2017-10-27-4402.62.0	President, thank you. Not at the moment, but [[applause]] everything will come – everything will come. All right, all right. Because of the gravity of what is going to happen in this chamber and because the President of the Generalitat, today has again not given his face and not wanting to dialogue with the presidents of the opposition groups, as leader of the opposition, as representative of 740,000 Catalans, I ask you please..., as it has been flexible – and I understand – with the times of the interveners, I ask you for a short period of time to be able to position us, at least, the presidents of the parliamentary groups. Since the president of the Generalitat did not want to face the face, he did not want to dialogue and did not want to open the turn. [[Some applause. Widow's remorse. Pause.]]
ParlaMint-ES-CT_2017-10-27-4402.63.0	Mrs. Upstairs, the debate is filed and it's two minutes per group and I've been..., I haven't looked at time with any group; with your neither – with your neither. [[Don't worry about it. Don't worry ……]] Now, if you want, I can give you three minutes for allusions, because... because you've heard it. That's what I can give him.
ParlaMint-ES-CT_2017-10-27-4402.64.0	Jo... – let us continue on the point of order – allow me, really, to object to you not being able to give a speech to the presidents of the parliamentary groups at a time when you are going to declare independence! Please...
ParlaMint-ES-CT_2017-10-27-4402.65.0	Mrs. Arrimadas, it's in the Rules, it's taxed. [[Strong remorse of the eyes. Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.66.0	[[Don't worry about it. Don't worry ……]] Wait. Madam President...
ParlaMint-ES-CT_2017-10-27-4402.67.0	Mr. Castle, quiet's, huh? , tranquil·litzi's, who do not want me to give you any color attack.
ParlaMint-ES-CT_2017-10-27-4402.68.0	Madam President, at a time when you are going to boost Catalonia's autonomy statute, the Spanish Constitution and the founding principles of the European Union, as is the rule of law [[remorse of the voice]] allow me to doubt your interpretation of the Rules of Procedure, Madam President. [[Some applause.]] I'm so sorry.
ParlaMint-ES-CT_2017-10-27-4402.69.0	It seems to me... I can doubt what you want, Mrs. Arrimadas, but I repeat it, if you want to have three minutes for allusions, because you've been greeted. And more than that, because it doesn't allow, the debate is closed.
ParlaMint-ES-CT_2017-10-27-4402.70.0	Can I do my surgery from the rostrum?
ParlaMint-ES-CT_2017-10-27-4402.71.0	Three minutes, Mrs. Rimadas.
ParlaMint-ES-CT_2017-10-27-4402.72.0	Thank you, Madam President. [[Voice remorse and applause.]] "Exaggerated, anti-Catalans, fachas, agrarians, that's what many people who are sitting here today have called us, for years, for saying that what is happening today was going to happen in Catalonia, for a long time. [[Greetings.]] Nationalism can only reach a place, which is "the worst, the best, which is the clash between Catalans, because Mrs Rovira – the Mrs Rovira who referred to me in her speech – has referred to situations that we are unfortunately suffering in Catalonia because of the social shock that you have caused. With your policy of shock, not only institutional, not only political, but social, which is what you have brought to Catalonia. They've had plenty of opportunities to stop it and avoid it, but they didn't want to. And I tell you one thing, Mrs. Rovira, I don't know if you understand very well what separation of powers is, what is an opposition leader or the chief of police or judges. But are you comparing me to making a call to your councillors of Llavaneres with whom I call the investigating judge of the court number 13 of Catalonia? Or the chief of police? But do you know what democracy is all about? With your intervention, you have just shown us that you have no respect, not to say knowledge, for what the functioning of a democracy is. That I have to call the police or the judges to get someone out of jail? But did you really just ask me that, as leader of the opposition in Catalonia? [[Greetings.]] But do you understand what you are saying? What you are producing is an unprecedented shock, an insult to the blood, sweat and tears of many of our grandparents and parents who fought for democracy, who fought to reconcile citizens. By the way, it is an insult to the reprisals of Francoism, whose maximum exponents have said, in recent days, that it is a veritable aberration to compare Spanish democracy with the Franco regime; it is an aberration. And I tell you more, do you know who doesn't consider the prisoners, Mr. Cuixart and Mr. Jordi Sànchez, to be political prisoners? His own lawyers in the pleading that they submitted to the judge who, in thirty-six pages, did not say they were political prisoners; they did not say they were political prisoners. This situation is regrettable and we are doing a lot of damage between us, a lot. But of course, there are parties here that are trying to stop what and that are trying to bring together society and you want to separate us between us. You're not going to get this to happen, I want you to understand, I don't know if anyone has any hope that Catalonia is really going to be an independent state, I know not, because you're still in fiction. But what they have just committed is the biggest mistake of Catalonia's democracy. It is an attack, not only on our institutions or our Statute, on Spanish democracy. It is an attack on the European Union, on the founding values of the European Union. That is why you do not have any support, Mr Puigdemont, that is why you do not have one, and you will see, after this session, the support that comes from Europe. And finally and finally, Madam President, we are going to get out of this and I want to address the Catalans who are seeing with absolute amazement what you are doing. Go out and vote en masse in the upcoming elections to regain our coexistence, our institutions, common sense and the future of our children. Thank you very much. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.73.0	[[Don't worry about it. Don't worry ……]] The debate is closed, in accordance with Rule 152 of the Rules of Procedure. The sequence is known, I have given it three minutes, according to Article 85, for allusions, because you have heard it, but the debate is taxed and everyone knows it, I knew it all before I did it. So, I guess I can't say... I'm sorry, huh? Mr. Iceta, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.74.0	President, you are right, there is a sequence of the debate agreed at the Board of Spokesmen and, therefore, I do not intend to discuss its authority, but I believe that the day when independence is declared in the Parliament of Catalonia, it might be worth it if the parliamentary groups, the group presidents, for a very short time, could take the word, but I leave it to their discretion. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.75.0	Mr. Iceta, the groups have done it, they've all talked to each other in time... I've been... no, I haven't watched the time, everyone has spoken the time they wanted, everyone. Mr. García Albiol, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.76.0	Yes, thank you, Madam President. I will not insist on the arguments to which you refer, because it is true, but I would also ask that, as on other occasions, and normally to favor this part of the plenary room. [[the orator assigns the left sector of the hemicicle]] , the Rules, has been able to interpret it, so that today we find ourselves in front of a plethora of the transcendence of which is being raised here, but we believe that it would be a remarkable fact that the presidents of the groups can express..., as at the last message to the conjunct of the Cambra and the Catalan people. Make one thing clear – that in the end I don't know whether you will give us the word or not, Mrs Forcadell –, if here is the vote... [[Widow's remorse.]] I conclude: if there is a vote on the resolutions of Juntes for the Yes and the CUP, the People's Party Group will leave this Chamber, so that we will not participate in the democratic state, which puts at risk the democracy and coexistence of Catalonia. Thank you very much.
ParlaMint-ES-CT_2017-10-27-4402.77.0	Listen, sir... to see, we will proceed to the vote, because you know perfectly well that today are voting motions for resolutions; you could have asked the Board of Spokesmen to do so in another way, you could have agreed. It didn't happen. Therefore, we shall now proceed to the vote. [[Don't worry about it. Don't worry ……]] There are no precedents, so, then... [[Widow's remorse.]] After the debate, we shall proceed to the vote on the motions for resolutions submitted by the different parliamentary groups according to the order of entry into the General Register of Parliament, in accordance with Rule 152.2. We shall begin, first of all, with the motions for resolutions tabled for the Ciutadans Parliamentary Group. As there is no separate motion for a vote, we shall jointly vote on the three motions for resolutions. We vote on the three proposals jointly by the Ciutadans Parliamentary Group. The vote begins. The motions for resolutions tabled for the Ciutadans Parliamentary Group were rejected by 52 votes to 83 with no abstentions. We will continue to vote on the motions for resolutions tabled by the Socialist Parliamentary Group. As the separate vote on motion for resolution No 3 has been called for, we shall vote first on motions for resolution Nos 1 and 2, together, and then vote on resolution No 3. The vote begins, 1 and 2. [[Widow's remorse.]] I have a technical problem. [[Pause.]] The motions for resolutions 1 and 2 tabled for the Socialist Parliamentary Group were rejected by 16 votes to 119 with no abstentions. We can't continue voting because the screen is left blank. [[Strong remorse of the eyes. Pause.]] Many thanks, all controlled – all controlled. We shall now proceed to vote on the Socialist Parliamentary Group's motion for a resolution No 3, and the vote will begin. Motion for a resolution No 3 was rejected by 52 votes to 83, with no abstentions. Next..., we will now vote on the motions for resolutions tabled for the Parliamentary Group of the People's Party of Catalonia. We will also vote on the three proposals jointly. The vote begins. The motions for resolutions tabled for the Parliamentary Group of the People's Party of Catalonia have been rejected by 52 votes to 83 with no abstentions. We will now vote on the motions for resolutions tabled for the Grup Parlamentari de Catalunya Yes, it is Pot. As the separate vote on motion for a resolution No 3 has also been called for, we shall vote on proposals 1 and 2 together in the first place. The vote begins. Proposals 1 and 2 were rejected by 11 votes in favour, 123 against and 1 abstention. We will continue to vote on Proposal No. 3. The vote begins. Proposal No 3 was rejected by 27 votes to 107, with 1 abstention. One moment. [[Don't worry about it. Don't worry ……]] I would like to inform you that, as you know, the approval of this motion for a resolution, which will be voted on further, according to the warning given to us by the Secretary General and the Major, may be affected by the interlocutors of the Constitutional Court. I'll give you that warning before we proceed to the vote. [[Roger Torrent and Ramio ask to speak.]] Tell me, Mr. Torrent. [[The Members of the Ciutadans Parliamentary Group and the Socialist Parliamentary Group leave the Sessions Hall. Removed from voice and shouts: "Visca Catalunya! Visca Espanya!]] Mr. Torrent, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.78.0	Yes, Madam President, for a point of order and to try to return to the normality of this Ple. [[Pause.]] Admit to Rule 97 of the Rules of Procedure, which regulates special votes, our group would like to ask for the transcendence of the motions for resolutions which will be voted all the time, which, especially the first, the first presented for Junts for the Yes and the UPC, can be voted by vote and in the ballot box. And, to the extent that this was possible, we propose that it be possible to debate in the plenary, in the measure that this was possible – I said –, that it is possible to switch the order of votes, to make it easier. And, therefore, the first motion for a resolution by Junts for the Yes and the UPC can be voted on later and first vote on the second with normality. That is to say, this proposal made..., by vote by vote and in the ballot box, refers to the motion for resolution No. 1 of Junts for the Yes and the UPC, which, in any case, should be voted on later. Thank you.
ParlaMint-ES-CT_2017-10-27-4402.79.0	We'll have to vote on this proposal you made, Mr. Torrent. [[Don't worry about it. Don't worry ……]] Yes, yes..., Mr. Rodriguez..., yes, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.80.0	To expose our position in relation to the petition, brave petition, that has just formulated the spokesman of the group of Junts for the Yes. In the sense that the voting act is the only one and the vote on the motions for resolutions has begun, and what cannot be done is to change the voting system from the motions for resolutions to the vote. [[Some applause.]] And, therefore, it is absolutely wrong– it is absolutely wrong– to put a change in the voting system at these heights. If they were for the responsibilities they could assume with the exercise of the vote, they should have predicted it beforehand. [[Someone said, "Bravo! Some applause.]]
ParlaMint-ES-CT_2017-10-27-4402.81.0	Mr. Coscubala, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.82.0	To fix the position with regard to this petition.
ParlaMint-ES-CT_2017-10-27-4402.83.0	To fix the position, do you see the Faristol, Mr. Coscubiela?
ParlaMint-ES-CT_2017-10-27-4402.84.0	Yes, yes...
ParlaMint-ES-CT_2017-10-27-4402.85.0	Say it.
ParlaMint-ES-CT_2017-10-27-4402.86.0	Before, a while ago, Mrs. Inés Arrimadas had this treatment; but, moreover, the Rules say so.
ParlaMint-ES-CT_2017-10-27-4402.87.0	You haven't heard from him, Mr. Coscubala.
ParlaMint-ES-CT_2017-10-27-4402.88.0	But it's a matter of order.
ParlaMint-ES-CT_2017-10-27-4402.89.0	You can't... – can't –, can't use Article 85. You do... - you do, you do.
ParlaMint-ES-CT_2017-10-27-4402.90.0	Thank you. I believe, Mrs Rovira, that the Madam President has sufficient powers as to why you do not go around constantly indicating what you have to do. Thank you, Madam President. Miri, the secret vote is provided for in this Rules, in a Rules that you dynamated on September 6th and 7th. But today, in a situation that some of you consider epic and others consider catastrophic, because of the consequences that, in terms of loss of self-government, infancy of the country and risks to social cohesion can cause, today – today – it is not possible for people not to assume their responsibility. I don't think anyone has the right to take responsibility for their secret vote. The decision that he is about to take and adopt will have some consequences that forces everyone to give their face before their fellow citizens. It's not a waste... [[Funnel veils]] It's not a waste that a decision like this, which is based on a supposed reference that it wasn't done, because what it was done was a mobilization, a reference that doesn't have a mandate, that it's neither legal nor legitimate; a mandate that you expand, plus, here...
ParlaMint-ES-CT_2017-10-27-4402.91.0	Mr. Coscubiela, it seems like he's already..., huh? That's enough.
ParlaMint-ES-CT_2017-10-27-4402.92.0	I'm done... I'm done, Madam President.
ParlaMint-ES-CT_2017-10-27-4402.93.0	Okay.
ParlaMint-ES-CT_2017-10-27-4402.94.0	I haven't exhausted the three minutes the Rules say I have.
ParlaMint-ES-CT_2017-10-27-4402.95.0	Yes, but you haven't been told; to Mrs. Arrimadas, yes.
ParlaMint-ES-CT_2017-10-27-4402.96.0	I'm fixing the position, Madam President. Please, for a moment, we are discussing the issue of Catalonia's independence. If you can't have the flexibility to let me finish, maybe we'll all finish, you first, excuse me. Can I continue?
ParlaMint-ES-CT_2017-10-27-4402.97.0	Thirty seconds.
ParlaMint-ES-CT_2017-10-27-4402.98.0	Thank you, Madam President. I know he doesn't like what he's listening to, but I have the responsibility to say it. Today it is not a waste that, before this situation, you intend to hide behind the secret vote. You must give your face before the citizens of Catalonia, because the decision that you will take today will have consequences on millions of citizens, and I believe that the citizens of Catalonia have right to know exactly what each vote is. For the last time, you apologize, huh? , it's not a waste – it's not a waste – friend Albert Botran, who yesterday denounced the dark of dispatches and today posts for the dark of the secret vote. It is not strange, until we are used to feeling Zaratrusta in this Parliament: "good Catalans and bad Catalans, good democrats and bad democrats. Today we have heard that there are dark pains and dark good. I'm sorry, but that's how we don't build a country, that's how you get it. Thank you.
ParlaMint-ES-CT_2017-10-27-4402.99.0	Thank you, Mr. Coscubiala. Okay. For the petition you made to me, Mr. Torrent, it is necessary to make it two groups or a five-part of the deputies. It is voted because the House will rise, and therefore we will vote for it. [[Don't worry about it. Don't worry ……]] Yes... yes, yes, yes. [[Anna Gabriel and Sabaté ask to speak.]] Mrs. Gabriel... [[See for yourself and a few applause.]] Em diuen: « Article 97 for the most part... [[Don't worry about it. Don't worry ……]] Yes, Rule 71 of the Rules says, that the House will rise. [[Strong remorse of the eyes.]] Mrs. Gabriel, why...? [[Widow's remorse.]] It's... Article 71 says that the Plea will be raised and, according to Article 77, if it decides... [[Widow's remorse.]] Mrs. Gabriel, why ask me the word?
