ParlaMint-BE_2018-01-10-54-commissie-ic793x.u1	Debates of the European Parliament Mr Crusnière's 22543 was converted into a written question.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u34	Minister, first of all, my best wishes. Mr President, Minister, the Belgian Muslim Executive has 68 mosques in Brussels, while only 14 of them are officially recognised. In May 2016, you promised to recognize 10 new mosques in Brussels. In February 2016, the federal government announced its willingness to release €3.3 million to finance the salaries of 80 new ministers of worship dedicated to this particular cult. In December 2016, you issued a positive opinion for the recognition of 30 new mosques in Belgium out of the total of 80 by 2019. Brussels should therefore see 20 new places of worship recognised in four years. The committee of inquiry Attentats stated: "The commission of inquiry finds that the procedure of official recognition appears problematic, in particular with regard to the number of mosques awaiting recognition or refusal of recognition after having made a request to that effect." The CEP (the Parliamentary Committee of Inquiry) therefore issued the following recommendation, adopted unanimously: "The Committee of Inquiry recommends that the objective of maximum recognition of mosques active on Belgian territory be set as a priority for action, due to its effect of integration and transparency/control." So, Minister, what is the status of the recognition of the seven Brussels mosques that are still waiting? What justifies the delays in the recognition of these mosques? What commitments can you make for 2018, following this recommendation unanimously adopted by the CEP?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u35	Mr Laaouej, allow me first of all to express my best wishes for the new year. The Regions and the German-speaking Community are competent for the recognition of local religious communities. Following the cooperation agreement of 3 July 2008, the federal government is required to give an opinion on the matter of state security and public order through the Minister of Justice. I can inform you that my services have anticipated the recommendation of the Parliamentary Committee of Inquiry on the recognition of mosques by coordinating this federal relay of the procedure through a joint circular dated 20 July 2017, which I prepared jointly with my colleagues Ministers and Ministers of Security and Interior, Finance, Defence and the Secretary of State for Asylum and Migration. On July 19, 2017, the Brussels government recognized three mosques for which I had issued a positive opinion in December 2016. Two other mosques which have also obtained a positive opinion will soon be recognised by the Brussels government. This was communicated to my office at the last consultation meeting on 1 December between Justice and the Regions on matters of worship. Meanwhile, on 27 December 2017, the Sûreté de l'Etat sent me new notes concerning Brussels mosques seeking recognition. I shall therefore shortly forward these notes and my opinion on the matter to the Brussels Government.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u36	Minister, if I understand you correctly, the procedure is still under way. You have received an opinion from the Sûreté de l'Etat, and then you will decide, I imagine, in the near future. This is ultimately Parliament's wish, since it was unanimously that the recommendations of the Committee of Inquiry were adopted. I can only encourage you, Minister, to go in that direction, that is to say, to speed up the pace.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u37	Mr President, I wish you and the Minister and Mr Laaouej all the best for 2018. Recently, I was questioned by people working in prison on the issue of health care. Indeed, while some prisons such as the prisons of Saint-Gilles, Bruges or Lantin have important infrastructure, this is not the case in most penitentiaries. In these, the doctor is present daily for a specific period which does not exceed a few hours. Outside the prison, only nurses in most prisons are allowed to distribute medicines to prisoners. Once they have left the establishment, sometimes at the end of the afternoon, no drugs can be delivered. In the event of an emergency, a doctor must be recalled or the detainee transferred to the hospital or other prison provided with a medical centre, as the case may be, with the costs involved. Minister, how do you stand up to this problem? Can no special measures be taken to allow the permanent presence of at least one person authorized to deliver medicines to prisoners?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u38	Mr President, Mr Flahaux; every day medical consultations are held in each prison. In addition to this consultation, the detainee may appeal 24 hours a day to the prison doctor and/or to the local general medical guard station. Newly incarcerated prisoners are seen by a nurse as soon as possible and by a prison doctor within 24 hours of their incarceration. With regard to the availability of medicines, all medicines prescribed by a doctor are placed by a local pharmacist in a pill box on behalf of the detainee for 24 hours. They are prepared and delivered daily to detained patients. In addition, each medical service has an emergency cabinet consisting of a stock of medicines regularly prescribed by prison doctors. Both during and outside the day-to-day consultation, the physician may, if he or she so wishes, initiate a newly prescribed medication treatment without delay. The delay before the next delivery of medicines can therefore be covered. If an absolutely necessary medicine is not available in this emergency cabinet, it can be obtained at the nearest pharmacy. Finally, detainees can obtain a very limited number of non-prescription drugs 24 hours a day from the prison pharmacy. Any medication can therefore start or be prosecuted in any prison within a very reasonable time.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u39	Minister, thank you for your answer. So, in order to complete my question, don't you have to be a nurse at the prison pharmacy to deliver the drug in question? [[No]]
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u40	Minister, until the age of three, children may, under certain conditions and with the aim of not weakening their development, accompany their mothers behind bars. I recently asked you a written question about this in order to obtain precise figures for the last few years. Today, I would like you to indicate the infrastructure available to accommodate these children. If, at present, it seems that nothing is really planned for them, this could change thanks to the construction of the Haren prison. Can you confirm this information and take stock of the current and future situation?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u41	Mr Flahaux, there are indeed infrastructures for children. For the moment, the prisons in Lantin, Berkendael and Bruges offer the most suitable configuration and supervision. These facilities are equipped with appropriate cells and spaces where children can play freely, as well as specialized paediatric staff. With regard to the future Haren prison, it is planned to set up a specific mother-child unit there, so that the mother can further build a privileged relationship with the child. In concrete terms, these are five mother-child rooms installed in the closed section and five others located in the open section of the prison. A mother-child room consists of two connecting individual rooms that can both be closed from the outside. It is intended that each of them be equipped with amenities, such as a sitting shower, so that they can be used as a bathtub for the child. A playroom inside as well as urban furniture for children are also provided in the closed section. In the open section, the outer space of the mother-child unit should also be equipped with games.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u42	Minister, I am fully satisfied with your answer. Thank you.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u43	First of all, Minister, I would like to offer you my best wishes for the new year: good health, a lot of work, good results and little concern. I start immediately with something that concerns few people: the darknet. Minister, police and security forces from more than 60 countries have joined forces under the leadership of Europol and Frontex with Operation Dragon to target organised criminal gangs and their infrastructure in the European Union through various actions in hundreds of places. Eurojust and Interpol were involved. After three previous similar actions, Ciconia Alba, Blue Amber and Archimedes, it was the fourth operation in which international cooperation was carried out on such a scale to achieve that goal. Operation Dragon ran from 5 June 2017 to 20 October 2017 focusing on trafficking in human beings, illegal migration, cocaine trafficking, heroin and synthetic drugs, cybercrime and arms trafficking. At the end of March 2017, I myself attended a multi-day international parliamentary conference on national security and cybersecurity. I met Neil Walsh, the director of Cyber and Emerging Crime of the United Nations Office on Drugs & Crime, among others. During a break he showed me the functioning of those marketplaces by visiting the darknet live. Those marketplaces bring together sellers and buyers of prohibited goods anonymously. These are points mentioned above and also disorder, stolen credit card records, child abuse and even murder on order. On 28 November 2017, the European Monitoring Center for Drugs and Drug Addiction and Europol presented their report "Drugs and the Darknet' in Lisbon. This shows that illegal drug trafficking on the darkweb is growing rapidly, despite the closure of several darknet marketplaces, such as AlphaBay and Hansa. In 2013, the FBI closed down the market place Silk Road. One month later, Silk Road 2.0 was already launched and later a version 3.0. Operation Onymous shut down several other marketplaces. Now it turns out that a darknet marketplace would only be active for an average of eight months. In June and July 2017, AlphaBay and Hansa, the two largest marketplaces on the darknet and providing a range of around 350 000 products, were closed by actions of the FBI and Europol. In November 2017, 14 darknet marketplaces would remain operational, according to EMCDDA. The report says that two thirds of the transactions on the darknet are related to drugs. That is why I want to talk about this in particular. Between 2011 and 2015, drugs were sold through the darknet. Worldwide, it is about a market value of 170 million euros, of which 80 million in Europe. The biggest marketplaces would be Germany, Great Britain and the Netherlands, but Belgium will come in fourth place. In relation to the population, the Belgian market is apparently even larger than that of Germany and Great Britain. The Netherlands in particular appears to be very innovative in combating the illegal drug trafficking of the darknet. For example, the Dutch police took over a darknet marketplace in 2016 to track down the names of sellers and buyers. The report makes clear the recommendations that each Member State should provide sufficient capacity and experts and increase investment in them in order to allow specialised research. That was a very long introduction to ask my questions. Suppliers on the darknet are becoming more and more complicated and professional compared to previous years. This means that the detection of criminal activities is becoming increasingly difficult. First of all, what human, material and procedural means does Belgium use against this? Is that sufficient in view of recent developments and events in other countries? What will you do in 2018 and 2019? Secondly, how did Belgium participate in Operation Dragon? What were the results in Belgium? Thirdly, did Belgium participate in other international actions against drug trafficking on the darknet in 2016 and 2017? I also have two questions relating to figures that you may not be able to answer, but hopefully you will. There are probably few figures, because I have learned from previous questions that little is happening around them. How many suspects were arrested in Belgium in 2015, 2016 and 2017 for selling drugs via marketplaces on the darknet? Did it always affect people with Belgian nationality? How many of them have been convicted by now? How many suspects have been arrested for buying drugs? Do they have Belgian nationality and were they convicted? Minister, I hope you will give me a good answer.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u44	Mr Vermeulen, at least it was a good question. Happy New Year to you, too. I confirm that the fight against international drug trafficking and the fight against crime committed or facilitated via the Internet and ICT such as the sale of illegal goods on the so-called darknet are important policy themes for the criminal policy of the integrated police and the police. They therefore figured, respectively, as a security phenomenon and as a transversal security theme in the Integrated Security Paper and in the National Security Plan of the Integrated Police. With the law of 25 December 2016 on the special detection methods, the police were allowed to infiltrate and make findings with the permission of the prosecution under a fictitious identity on the internet, including the darknet. The Dragon operation is a joint action under the coordination of Europol, which not only identifies drug offences but also the other criminal offences. Specifically with regard to drug crime, the Belgian customs authorities have carried out control actions in the port of Antwerp and at the airports of Zaventem and Bierset in consultation with the federal judicial police. In addition, an internet patrol conducted investigations into various criminal phenomena, allowing more than 250 interesting targets to be identified. Some of them are involved in drug crime. The data is now being examined further by our police forces, in cooperation with Europol. Furthermore, in 2016, Belgium participated in Operation Ciconia Alba, which was also coordinated at Europol level and focused on various criminal phenomena, including illicit drug trafficking. With regard to the figures you requested, I regret to inform you that they are not currently registered in the General Database with the listed variables, marketplaces on the Internet and the darknet. Nor can the public prosecutor's databases produce the requested figures on the basis of the contextual data.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u45	Thank you, Minister, for your reply.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u46	Mr President, Minister, this is a subject that I have often raised and on which I am tenacious, because I believe that there is a profound injustice with regard to the centres of care specializing in sexual violence. The fight against sexual violence involves two essential aspects: the social protection of victims and the treatment of sexual offenders. As you read your last policy statement, you seem to agree with this approach. Three sexual abuse centres have been set up as pilot projects, as well as highlighting the importance of support centres for the guidance and treatment of sexual offenders to continue the monitoring and guidance of perpetrators of sexual violence upon their return to society after their sentence has been served. The viability of these centres, however, depends on a budget commensurate with their respective missions. It is clear, however, that, with the support centres responsible for the therapeutic follow-up of sex offenders - another subject on which I have spoken on many occasions - despite the great need to combat recidivism and therefore to protect society, their functioning is undermined by under-investment, particularly in the budget, which is your government's choice. Moreover, this under-investment is only growing because, after imposing a 20% reduction on the Brussels Support Centre - a reduction that seriously threatens the fulfilment of the Centre's tasks and, consequently, its existence - it is clear that, in your budget projection, if, in 2018, the subsidies granted to the bodies responsible for the therapeutic support of perpetrators of sexual assault remain at 907,000 euros, they will fall to 889 000 euros in 2019. I fear that this reduction will once again oblige the federated entities to grant exceptional supplementary grants. This is not an acceptable solution, since the matter is not a matter of Community competence. Therefore, Minister, can you tell me whether the current distribution key between the country's three support centres will be maintained (40% for the Flemish institution, 40% for the Walloon institution and 20% for the CAB)? What is the status of your discussions with the Ministers of the Communities with a view to updating the cooperation agreements on the guidance and treatment of perpetrators of sexual offences? What budget will be allocated to the three new specialized care centres? Will this budget be allocated according to the number of victims to be accommodated by these centres? This seems to me to be the most objective criterion. What is your budget prospect if the activities of these centres are successful? It is likely that there are more situations to be taken into account and that there is therefore an extension of the missions of these centres. Will you retain this distribution key, which is clearly inspired by the one imposed on the support centres, that is, the other side of the policy for the prevention of sexual violence?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u47	Mr Maingain, I confirm that the current repair key will be maintained in 2018, i.e. 40% of subsidies for UFC, 40% for UPPL, 20% for CAB. The overall funding budget for 2018 has remained unchanged since 2014. Indeed, it still amounts to 907,000 euros. I have no intention of ending the operation of the support centres after 2017. On the contrary, I have always respected my commitments to these centres, even in a precarious budgetary climate. I expect the Communities to attend the dialogue with my departments on the division of competences of each of them, following the various reforms of the State on this subject. In the first few months of this year, the dossier will be put on the agenda of the working group "Houses of Justice" of the Interdepartmental Conference, with a view to a discussion on the substance and, in the longer term, an update of the various cooperation agreements. The budget for the new specialized care centres for victims of sexual abuse is allocated by the Secretary of State for Equal Opportunities. It's not my job.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u48	Mr Minister, thank you and I will therefore refer some of my questions to the Secretary of State.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u49	Minister, your policy note for 2018 announced that a social status for magistrates is under consideration. This issue could not be addressed in the budgetary debates. However, it is crucial for the future of our justice and the attractiveness of the profession of magistrate. This social status has long been claimed by the organisations representing both the judiciary and the public prosecutor's office. It seems to me that the first requests were made some ten years ago. It is paradoxical that the judiciary is the only service that cannot enjoy social status. At present, the granting of parental leave, palliative leave and other arrangements for the organization of working time is generally left to the discretion of the head of the body. It is not requested that this statute consist of a working regulation as extensive as that governing other public services. Nevertheless, it must take sufficient account of the specificity and independence of the judiciary. The possibility of part-time work at the end of a career is a necessary orientation in that it will help to alleviate the shock of retirement. Therefore, Minister, can you tell me whether the agenda for the development of this statute is finally known? What actors are involved in this reflection, and how are they involved? Could it not be proposed to the Judicial Advisory Council to prepare and publish a compendium of the ethical obligations of judges and to list the possibilities of working time arrangements that would not increase the backlog of cases?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u50	Mr Maingain, as announced in my general policy note, I would like to take, again during this term of office, a legislative initiative aimed at granting judges contemporary social status, including a balance between rights and duties, as well as attention to an effective assessment of those concerned. Currently, my administration is working on a preliminary draft which, after the necessary administrative preparation, will be submitted to the government for approval for tabling in Parliament. In order to establish this social status, regular consultations were held with representatives of the Judicial Advisory Council. On 26 June 2015, the Council delivered an opinion containing proposals to improve social status. Next week, this issue will also be addressed in my regular consultations with the College of Public Prosecutions. With regard to ethics, I would like to point out that the Advisory Council and the Supreme Council of Justice jointly published, in 2012, the Judicial Guide, which incorporates the principles, values and qualities of the Guide.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u51	Minister, thank you for your answer.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u52	Mr President, I wish you and the Minister and all my colleagues all the best for happiness and good health. Minister, since 2010, a compensation fund has been in place for medical errors. It allows victims to be compensated without having to prove the physician's guilt. However, this fund is only available to victims of abnormal and serious damage from 2 April 2010. Damage is considered to be sufficiently serious when it fulfils one of the criteria of gravity referred to in Article 5 of the Law on Compensation for Damage Resulting from Health Care: a permanent disability of 25% or more; a temporary incapacity to work for at least 6 consecutive months or 6 non-consecutive months over a period of 12 months; particularly serious disorders, including economic disorders, under the conditions of the patient's existence and, of course, the patient's death. As a result, victims of medical errors prior to April 2, 2010, sometimes still struggle today to see their damage recognized. The press recently reported the case of parents who were victims of their baby's involuntary homicide because of the lack of foresight of hospital medical staff, a homicide that occurred in 2009. After significant blood loss, the mother went to the hospital. He was asked to go home, without taking care of it. The next day, we finally agreed to hospitalize him but always without calling a doctor. The harm was done: the baby died because of premature detachment of the placenta which was not taken care of in time. This case has been under investigation since 2009. He has since passed into the hands of four different investigating judges, from Tournai to Charleroi, with considerable procedural delays. Each time, the references in the file have been changed. Although the expertise carried out by the doctors appointed by the courts has established the responsibility of the hospital, no compensation has yet been paid. According to the ASBL Medical Errors, this case is indicative of a blatant slowness in both civil and criminal proceedings, due to the congestion of the courts and the appointment of experts. The ASBL therefore often suggests mediation to victims of medical errors. While this solution may be satisfactory in some cases, it is not in the event that the hospital denies any responsibility. Therefore, can the Minister let me know if the expert report requested by the court binds him to the establishment of the hospital's responsibility? In case of doubt on the expert report, does the judge not have the duty to order a counter-expertise? How can victims of medical errors and delays in justice avoid a prescription on their case? What are the causes of suspension of the prescription in such cases? Shouldn't compensation be automatic for expertise? Are you planning a review of the compensation limits for moral damage resulting from the death of a child?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u53	Mr President, Mrs Caprasse, I can refer you to the answer I have already given on this subject to a question put by Mrs Jadin. In the event of a medical error, two types of recourse are available to victims: a legal remedy and an appeal to the Medical Accidents Fund. The appeal to the Medical Accidents Fund is governed by the Act of 31 March 2010 on compensation for damage resulting from health care. The operation of the Fund, which is a special service of the National Institute of Sickness and Disability Insurance, falls within the competence of my colleague the Minister of Social Affairs and Public Health. The appeal may be brought before the civil courts, if the error constitutes fault, or before the criminal courts, if the error constitutes an offence. In both cases, compensation for injury is subject to the application of the ordinary law of civil liability. The victim must demonstrate that a fault or, as the case may be, that an offence has been committed and that there is a causal link between that fault or offence and the damage for which compensation is sought. As regards the slow processing of this type of legal file, reference should also be made to the conclusions of the Fund's report, drawn up in 2015. In particular, he mentioned the slow completion of external medical expertise, the weight and scope of the cases in question, which required long-term analysis and expertise, and the fact that many investigations had to be extended because several providers had to be involved or could assume responsibility. For further information, I would also refer you to my colleague the Minister of Social Affairs and Public Health.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u54	Minister, I still have a problem with the responsibility of the hospital in this case. You give me very general answers, but for the specific case to which I am referring, I have not received a satisfactory answer. What does this couple have to do? He's in total despair. He's already ruined himself in court fees. And he can't grieve until there's a solution. Will this file be prescribed? Or is there still hope that it will be saved and that there will be a response to the request? I am not satisfied with your answer. I may see with other ministers what needs to be done, but it seemed to me that this question should be addressed to the Minister of Justice.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u55	Mr President, Minister, we know how much I admire the current French President and, in this context, I was pleased to hear his intention to implement a law to combat the problem of fake news on the Internet. This follows the resurgence of this phenomenon and its impact on citizens. Mr Minister, unfortunately, France is not the only country affected by this phenomenon. We also know this problem in many areas. Our government is, itself, frequently the victim of fake news. Be careful, I'm not talking about the opposition in particular. In your view, should the fight against this phenomenon go through politics and, therefore, through specific legislation? What vision do you have for the existing project in our French neighbours?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u56	Mr President, Mr Flahaux, I do not yet have any knowledge of the specific details of the law announced in France with a view to combating fake news during an election period. The French President has only expressed his intention to take a legislative initiative in this area in order to protect liberal democracies. At first glance, I doubt that a legal ban is the best way to combat this phenomenon. Indeed, a ban may lead to many problems related to interpretation and evidence. In my view, it seems to me that it is primarily up to the managers of communication channels and media to thoroughly verify the veracity of their messages and, if necessary, to initiate the necessary steps to prohibit them. This is not only their own reliability or legitimacy, but also their responsibility in judicial proceedings, when the dissemination of false news causes serious damage. In addition, there is a risk of rapid contact with the areas of freedom of expression and freedom of the press, which may threaten public debate. Moreover, the dissemination of false news may already be covered by certain criminal provisions such as slander and defamation. The problem will often be to identify the origin of this news. It was my understanding that the French President wanted above all to extend the possibilities of the judicial authorities in order to be able, through an accelerated procedure, to have the content of certain websites deleted, to close accounts or to block access to certain websites. As part of the data entry procedure, we have already increased these possibilities, but some improvements or enlargements can still be made. Of course, we will closely monitor developments in legislation and procedure in our French neighbours.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u57	Minister, thank you for your answer. It is very clear that this is a new area, particularly sensitive and, in itself, immobilism could also be an accelerator of fake news. It should be ensured that it is essentially justice and not policy that can act in this area, because the limit between freedom of expression and prohibition is sometimes a little weak. As a convinced European, I think it would be ideal for the countries of the European Union to act together and not separately. Indeed, by the force of things, the Internet transcends borders. It would not be far-reaching to be content with national legislation. We will certainly come back to this matter, whether through questions, resolutions, proposals or bills.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u58	Joined Questions No 22721 and No 22807 by Mrs Gerkens shall be converted into written questions.
