ParlaMint-BE_2018-05-15-54-commissie-ic892x.u1	Mr Janssen is present and can ask his question. The questions of the other Members will lapse.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u41	Mrs. Lijnen, from my arrival it was my goal to meet all the actors. That's how I wanted to listen to their questions and focus points. I will continue the dialogue with them. I believe that the European Commission should implement the recommendations of the Agricultural Markets Task Force, but also integrate them into the next CAP. Moreover, I remain in consultation with the Minister for Economic Affairs, Kris Peeters, and at the disposal of the chain talks. At the moment, however, I have not received a single formal question. You will then mention the role of the Belgian Prize Observatory. This is indeed an independent instrument which carries out the necessary analyses of price margins and the functioning of the market. For example, in January, the Price Observatory presented a report on the beef market. This information will then be used by the sectors to negotiate prices. The price of beet will depend on several factors in the medium term. I am thinking in particular of the price of sugar, the use of first generation biofuels and also of the future sectoral agreements between the representatives of the beet growers and the two sugar refineries of our country. I have a meeting in Ghent tomorrow with the representatives of the beet growers.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u42	Mr President, Minister, thank you for your reply.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u43	Mr President, Minister, the growth of SMEs is being confirmed and even strengthened. Indeed, it has been observed by the SPF Economy a trend towards a steady increase in the number of SMEs since 2015. Thus, with an increase of 4.18% compared to 2016, we reach the figure of 899 223 SMEs in 2017. This is the strongest growth since 2009. In all areas (liberal professions, industrialists, businesses, automobiles), this growth is unequivocal. It has, of course, been reflected both in employment, with an increase of 0.72%, especially in micro-enterprises, and in bankruptcies. About 9,000 SMEs have closed their doors. For the third year in a row, these bankruptcies are substantially decreasing. However, three problems remain. Firstly, a still large number of bankruptcies among SMEs despite this decrease. Secondly, because of their low level of export, about 4% of SMEs export. Thirdly, women's entrepreneurship could be further strengthened. Mr Minister, it is clear that, thanks to the measures taken by the government - the tax shift, the reduction of employer social contributions... - SMEs are now much more robust and job-creating. The current record is more than satisfactory. However, how do you explain the still large number of SME bankruptcies? What do you think are the main causes/reasons? Which sectors are most affected? How much do you want to reduce the number of bankruptcies by the end of the legislature? What is your goal? What about exports? What are the reasons for the low export rate of our SMEs? How do you expect to improve the attractiveness of our SMEs to increase this rate? Finally, with regard to the representativeness of women in entrepreneurship, how can women turn more to this sector and to the creation of SMEs? What can you tell them to encourage them?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u44	Mr President, Mrs Galant, I will reply by quoting a number of figures, as your question asks. This makes it possible to make a precise point on the situation. Since 2008, the year of the banking and financial crisis, the number of bankrupt SMEs has increased steadily until 2013, when 11,680 SMEs went bankrupt. Since then, the number of bankruptcies has been steadily decreasing. For example, 9,134 bankrupt SMEs were recorded in 2016, according to the latest official figures, compared to 9,728 in 2015, a decrease of 6.11%. I would like to point out that, while the number of bankruptcies is decreasing, the number of businesses created is increasing. In 2016 we reached an absolute record in terms of business start-ups: more than 91,000. In 2017, according to Graydon, this last record was again beaten, with the creation of more than 95,000 companies. Despite this, bankruptcies are declining. Of course, we can analyse this decrease in the number of bankruptcies and this increase in the number of business start-ups. The main reasons for this downward trend - it must be said - are, of course, linked to a resumption of economic growth. It's obvious. There is also an improvement in the business climate, seen through various confidence surveys among Belgian entrepreneurs. We have therefore given confidence to businesses and this is obviously fundamental in terms of economic dynamics. Measures have also been taken, as you know, to facilitate investment. I am thinking of the measure that provides for 2018 and 2019 to exempt, for investment expenditure, no longer 8% but 20%. These are, of course, signals to businesses, and it is clear - and this is clearly our view - that the battery of federal measures, particularly tax shift measures, have led to the reduction of bankruptcies and the creation of so many businesses. But we must not rely on these results. It is necessary to continue, because while the useful policies have been implemented, as we know, Belgium has also suffered, some sectors more than others, from the attacks of 22 March. This is still being felt today. It is not surprising that accommodation and catering are among the sectors most affected by bankruptcies, as are trade, motor vehicle and motorcycle repair and construction - although the latest figures are more favourable to this activity - which are the top three. Again with regard to bankruptcies, we will have to analyse the data in a differentiated way. The law that came into force last summer allowed several professional categories to benefit from legal protection in the event of bankruptcy. Similarly, the liberal professions will soon be able to make use of it. You are also asking me about exports, an activity that is essential for businesses. According to 2014 data provided by the National Bank to the SME Observatory, 43,660 SMEs - 30,226 micro-enterprises, employing fewer than 9 employees; 10,759 small enterprises, employing between 10 and 49 employees; 2,675 medium-sized enterprises, employing between 50 and 249 employees - are active in the export of goods. Goods exported by Belgian SMEs are mainly destined for the countries of the European Union. With this kind of statistics, we realize how important the European Union is in our economic dynamics. In 2014, around 95% of SMEs reported intra-Community deliveries and 27% of SMEs shipped their goods outside the European Union. The value of all goods exported by our SMEs amounted to more than 108 billion euros in 2014. The internationalisation of our companies requires a development logic that must be based on relatively large financial resources. We will return to this in the context of a question asked by Mr Janssen: in 2018 we will organise a roadshow at national level for all our companies, with various stakeholders concerned with the problem of financing SMEs. You are also asking me, and you are right, about female entrepreneurship. This can be seen with statistics on self-employed and SMEs: there are more and more women entrepreneurs. As you know, the plan for the promotion of female entrepreneurship, which was launched in March 2016, includes a number of innovative measures to encourage these women, who are creating wealth and jobs, to take the step towards entrepreneurship and the creation of SMEs. One of the flagship measures is to strengthen the social status of independent women by enabling them to make their entrepreneurial lives more compatible with family life. An example of this is the measures we have put in place regarding maternity leave. This maternity leave is flexible. It was essential for independents to be able to choose when to activate their leave. This maternity leave is supplemented by the possibility of using 105 service vouchers. This is a measure that I was able to present to you at the end of last year. Finally, on 20 October 2017, following a public call, four projects led by women's networks were selected to receive €70,000 in support for the next three years. There is a whole series of activities. All this is very rich. If you wish, I will transmit to you the agendas of the activities carried out by these women entrepreneurs so that you can meet them if you wish, and that you can get to know the details of the projects they defend in the context of the promotion of female entrepreneurship.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u45	Thank you for your answers, Minister.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u46	Questions Nos 22359, 23642, 25091, 25201 and 25309 by Mr Smaers have been converted into written questions.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u47	Mr President, Minister, the Union des Classes Moyennes (UCM) has recently called for a fairer treatment of the self-employed with regard to their family life. For a majority of self-employed workers, it is difficult to reconcile work and family life. As is well known, the obligations for self-employed workers are such that even if they have maternity leave, for example, they must nevertheless work during maternity leave. Although in many respects the status of self-employed and the status of employee is increasingly harmonized, especially as a result of the measures taken by this government, they still diverge on other points. For example, for self-employed persons, paternity leave does not exist and maternity leave is less than that of employees (12 weeks instead of 15 weeks). For this reason, the UCM recommends that, in order to improve the lives of self-employed persons, maternity leave should be extended, flexible and paid parental leave should be introduced, and the month of deficiency should be abolished. On these points, you have already undertaken many just and necessary reforms in favour of the self-employed. They have greatly facilitated family life and their working lives. I am thinking in particular of the much more flexible maternity leave, the family allowances that have been equalised, the status of close caregiver and the reduced INAMI waiting period. I know that you always have in mind the concern to facilitate the lives of the self-employed, and I welcome that. However, what do you think of the recommendations made by the Union of Middle Classes? More specifically, do you think that the harmonization of maternity leave between employees and self-employed persons is necessary and feasible? You have already introduced many flexibilities in this area. Does it seem to you to be essential to introduce flexible and paid paternity leave for the latter category of workers?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u48	Mr President, Mrs Galant, I confirm that improving the reconciliation between the private and professional lives of self-employed workers is one of our priorities. It's very important. As we observed during this legislature, the maternity leave of self-employed workers was extended to 12 weeks and the possibility of taking the optional period of part-time maternity leave was granted to them. We have had the concern and desire for flexibility in order to find a better compromise between organizational needs related to the continuity of independent activity and family-related needs and aspirations. In addition to the now semi-automatic grant of maternity assistance, a dispensation of payment of social contributions for the quarter following the quarter of childbirth has recently been introduced. We have also reduced the waiting month to 14 days and thanks to family allowances and close caregivers, we have supported a dynamic whose aim is to enable, through the social status of the self-employed person, to promote his or her privacy. In 2015, a single assistance benefit for the self-employed was introduced when he was obliged to discontinue his activity in order to stay with his spouse, child, cohabitant or a relative or allied up to the second degree seriously ill or with his disabled child under 25 years of age. This is the "close helper" measure essential to these situations in which the family faces major difficulties. This human measure helps the self-employed in a number of situations. It is, of course, always possible to improve things and we are working on them. These areas of improvement are mainly reflected in an ongoing communication on all these existing measures. Social insurance funds are on the front line, in contact with workers and self-employed workers, to pass on all the information on this subject. As part of the 50-year campaign on the social status of the self-employed, an interactive platform called "improver" was precisely set up to communicate even better and collect a number of ideas from the self-employed in order to feed the experiences of the field beyond the ideas of politics (parliaments, ministers, communal elected officials). It is a question of seeing on the basis of daily life, experience and experience, how to further improve things. You are right, I want to correct a number of inequalities experienced by the self-employed. I'm thinking about paternity leave. I am working on a measure to put such a leave in place. There is no reason why self-employed persons are not entitled to what other occupational categories are entitled to. By the end of the legislature, I hope to put into practice this measure that I am currently preparing.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u49	Thank you, Minister. Be aware that we will support you to this extent.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u50	This is a rather old question, which I had tabled in July, which had to be postponed once, and which concerns the individual rights of workers, particularly self-employed workers. It is a rather technical question but has very practical consequences. Article 37 of the Royal Decree of 19 December 1967, which organizes the social status of self-employed workers, provides for three cases in which persons can contribute as supplementary self-employed persons, but with the consequences that this entails: this category of contributors does not enjoy any right to social benefits. All this is not very right when we see that the former are precisely persons who have derived rights, that is, most often, in reality, married persons whose spouse is employed or self-employed. We are facing double discrimination here. On the one hand, by married persons, women must be understood in this case. It is often they who choose this option and who suffer it because, when they separate, they no longer have any rights and even if they return to work, they do not have a pension entitlement for the years concerned. Thus, some are very surprised at the age of pension to see a 10, 20 or even 30-year-old hole in their careers because as long as they do not give up this option, this Article 37 continues to apply. On the other hand, derivative rights are required to benefit from this status. But only married people benefit from it. Minister, I would like to have the figures that would allow us to claim equal treatment, whether we are men, women, single, married, single or cohabiting. So, in order to get an overview of the situation, could you provide us with the updated figures since 2012 of the people who have benefited from this status and their evolution since 2012?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u51	Mrs Gerkens, your question was so old that, when the President asked us to wait for you, I could not resist for a second the desire to answer you, in order to avoid getting him to become older again. From the outset, I must recognize its technicality. I want to play the game, but it seems to me that, for this reason, it should have been the subject of a written question. I'll give you the picture I brought earlier.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u52	Minister, for the record, this was initially a written question. Maybe that's the explanation for his strange journey.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u53	You want to turn it into a written question? No, it was only a blunder: I am naturally sensitive to your question, despite its technicality. Given its importance, your approach to putting it orally in committee is therefore entirely justified, especially since it concerns people with very modest incomes. The benefit of Article 37 § 1 of the Royal Decree of 1967 may still be claimed by certain categories of citizens, such as married persons, widows and widowers. Until December 31, 2016, the scheme also targeted students under the age of 25. As you know, however, they have, since January 1, 2017, the status of student entrepreneur. In concrete terms, this provision allows a spouse of a person with full social status to pay reduced or no contributions, while benefiting from the majority of social security benefits. This provision shall be applied only upon request, because of the very low income of the person concerned, and after the latter has been duly informed by his social insurance fund of the consequences of benefits, in particular the absence of rights in respect of incapacity for work. The spouse then benefits from the derived rights arising from the status of his or her partner. For example, entitlement to benefits under a compulsory sickness and disability pension and insurance scheme in the health care sector, at least equal to the social status of self-employed workers. However, there is no entitlement to benefits on the basis of a right of its own. Thus, the beneficiaries of Article 37 are entitled to a pension at the household rate, which is why this scheme is only available to married persons, widows, widows and not to cohabitants. This difference in treatment is based on an objective element, namely the possibility of establishing a pension. With regard to the statistics requested, as I have indicated to you, I will give you a table which gives an overview of the evolution over the period 2012-2016 of the number of persons benefiting from Article 37, § 1, broken down by civil status and sex. As at 31 December 2016, of the 20,445 beneficiaries of article 37, 18,394 were married persons, 16,410 women and 1,984 men. Total number of beneficiaries has decreased by almost 3,000 since 2013. These statistics cover all the situations referred to in Article 37(1). Students entrepreneurs who enjoy their own status are obviously no longer included – as I mentioned earlier – since 1 January 2017. The figures for 2017 are partial and provisional at this stage and therefore do not allow a breakdown by marital status. So, Mrs. Gerkens, these are the things I can give you. I'm going to ask for the chart to be transmitted to you shortly.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u54	Thank you, Minister, for providing me with these figures. But you do not intend to amend the provisions so that these people can benefit from or grant themselves pension rights? Indeed, there are co-inhabitants. But if the couple separate, once they reach the pension, the former cohabitant obviously loses the benefit of those years, which have been years of benefits and career. I am of course interested in having figures, but I also wanted to show the extent of the phenomenon and to point out that we are witnessing serious discrimination. Essentially against women, but not just because there are still applications from 1,600 to 2,000 men. So, I was hoping somewhere that you would correct the situation so that no one would be penalized when they took their pension after a separation. This was the subject of the arrangements we had made for assisting spouses, etc. We are gradually improving the situation. I would then like to encourage you to identify how to improve the device in question. Thank you.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u55	Minister, the findings of the study conducted by the Union des Classes Moyennes (UCM) show that 40% of self-employed workers, with some economic confidence, would like to employ at least three more people in the next three years. In other words, self-employed people assume they want to expand their economic activities. This automatically translates into a much stronger intention to hire staff, creating jobs and growth for our country. However, self-employed people are still too often hesitant to opt for a first job, despite the reductions in contributions. The second crucial lesson of this survey is that although start-ups and other innovative and flexible activities should be encouraged, a significant part of the jobs to be created lie in the traditional sectors. The spirit of entrepreneurship is crucial to the success of small and medium-sized enterprises, but there is also a need to consolidate existing jobs. Minister, the results are encouraging and reflect the government's concrete action in favour of the self-employed, who are the basis of our economic fabric. Is the study conducted by the UCM consistent with the numbers of your administration? Has the level of self-confidence in their activities increased since the beginning of the legislature? How do you see that? With regard to hiring intentions, we know that the government is already promoting first hires through a reduction in social contributions. How could the government, in the same way, increase the incentive for our self-employed people to hire? Our country's economic strength is to combine the modernization of our sectors and the strengthening of traditional sectors. Do you think this concept is the most relevant in the long term?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u56	Ms Galant, in her study, the UCM indicated that almost 4 out of 10 independents – based on a sample of 250 of its affiliates – are ready to hire. The findings made here by the UCM are obviously not representative of the Belgian situation since the study covers only the Walloon and Brussels capital regions. The signal given is nevertheless extremely interesting. We can link up with another of your questions about SMEs. The National Bank's April 2018 monthly survey indicates an increase in the confidence of business leaders and independents in April, confirming an overall upward trend in recent years. That said, too many self-employed people who could develop their activities may still hesitate to hire a first worker. However, at Belgian level, if 28,266 jobs have already been created by the zero contribution measure, this represents only two thirds of the first commitments. This result is encouraging, but we still need to do better. We want to see the first employers better accompanied in the face of this provision. It is therefore to reach all new employers that a "first commitment" communication campaign will be launched in the coming weeks. This campaign will, on the one hand, make it possible to inform small businesses again about the advantages they can enjoy when hiring their first employee and, on the other hand, it will insist – and this is essential – on the simplicity of the procedure. We wanted to simplify procedures and make life easier for those who want to engage. To carry out this campaign, no less than 50,000 euros have been released. This will include promotional spots, a general information leaflet, posters for potential partners and social media announcements. Mrs Galant, this is the important information on this subject. We will ensure that information is disseminated to those who want to engage in taking action that the government has put at their disposal. A new campaign is about to be launched to that end.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u57	Minister, thank you. Indeed, the simplification of the procedure seems important to me as well as the measures taken to encourage the engagement of the first person. It's a good thing to remind him.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u58	I am also counting on representative organisations such as the UCM. Everyone must take their part in order to disseminate the information that serves their members.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u59	Mr.President, Mr.Minister, since June 1, 2016, it is possible to obtain the craft label from the SPF Économie. This title may be awarded only on the basis of certain criteria and conditions which, in particular, may be registered with the Banque-Carrefour des Entreprises, have a structure of less than twenty workers and, above all, exercise its activity in an authentic, manual and traditional manner. This label is crucial for some artisans because, through it, it is the credibility of their work that is highlighted. Thus, this measure has helped to promote our crafts, our gastronomic traditions, our manufactures, etc. Those who benefit from it ensure that it is a security for their employment. However, they would like the effort to continue with measures at the fiscal level or to reduce social laws. Mr. Minister, you said that it was too early to consider such measures and that the time was especially ripe for an assessment of the Artisan Act. Can you, as a first step, remind us of the official figures of persons enjoying this status since its entry into force in 2016? How has it evolved since then? When this law was introduced, was there a numerical goal of the government? Do you think the three conditions for granting it are too restrictive? Do you intend to expand these conditions or maintain them as they stand? How does your administration plan to evaluate this legislation? What criteria will you consider useful in analysing the situation of artisans? Could you provide an update on this evaluation?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u60	Thank you, Mrs Galant, for your question. You're asking me to go back to the numbers. Since 1 June 2016, 1,422 artisans have applied for approval. The Artisan Commission took 870 positive decisions and 441 applications were refused. This status of the craftsman has been set up to protect the craftsman. When there is a refusal, artisans obviously have the opportunity to appeal the negative decision of the Craftsmen's Commission to the Craftsmen's Council. Twenty-nine applicants filed such an appeal and 13 applicants received a positive decision. In this way, I consider the appeal procedure to be a balanced procedure, since applicants are satisfied. As of December 2017, the total number of accreditations was 889. Meanwhile, at its last meeting on 16 April, the Artisan Commission recognized the thousandth craftsman. There are now more than 1,000 recognized artisans in our country. On the occasion of this thousandth craftsman, I had the opportunity to get in touch with many of them. Their reactions to this status and its content were very positive. The government has not set a specific target for the number of artisans to be approved. When the Act came into force on 1 June 2016, some 260,000 companies were registered with the Banque-Carrefour des Entreprises as artisanal or non-commercial commercial companies under private law. Not all of these enterprises fulfil the conditions necessary for the official recognition of artisans. It is up to the Craftsmen's Commission or, possibly, the Craftsmen's Council to examine whether the firms concerned meet the conditions laid down by law. If we rely on the processing of the files by these two bodies, we can consider that the criteria for registration in the Banque Carrefour des Entreprises and the number of employees are reasonable and objective. The number of refusals, on this basis, is limited. Our will is to protect the true artisans. At this stage, I am not considering a statutory amendment. The vast majority of the refusals are directed against undertakings engaged in craft activities combined with others which are not. These are retail trade, large-scale production and wholesale trade, which are therefore outside the legal scope. The Commission and the Crafts Council consider, as I do, that approval is impossible in such cases, since this would obviously ruin the credibility of the approval with the customers in search of genuine craftsmanship. An evaluation of the law is under way. I will naturally take into account the opinion of the High Council of Independents and SMEs, delivered last November. I suppose you'll understand that I'm not going to anticipate the conclusions. In the meantime, the SPF Economy will continue to recall the possibility of recognition as a craftsman and the benefits that flow from it. In addition to the radio spots broadcast on the occasion of Artisan's Day, a promotional film has been filmed to support a campaign to be conducted on social networks this year, both for artisans and the general public. The aim is the same: we would like to draw their attention to the existence of this label and the register of craftsmen published on the SPF Économie website. There is therefore added value linked to this label. In due course, I will communicate to you, if you wish, the elements of the evaluation as soon as it is completed.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u61	Mr. Minister, I would be interested to know these results. Thank you.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u62	We shall return for a moment to items 11 and 13 of our agenda, which relate to Ms Jadin's questions. Dear colleague, I note that you wish to turn your question No 22149 into a written question.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u63	Mr President, Deputy Prime Minister, entrepreneurship in Belgium is doing well and an increase of 8% (7,206 units) has been observed. However, if our businesses are growing in number, they are not particularly large. Since my question was tabled six months ago, things may have changed significantly; you will tell me. At present, eight out of ten SMEs do not have staff, which does not really favour the economy and employment. To foster the emergence of large Belgian companies that have a role to play on the world stage, the Beyond initiative was launched by the Pulse Foundation. In collaboration with Agoria, EY, lmec, Sirris, We Connect Date and Universem, Beyond is looking for the best Belgian technology scale-up to become global players. Mr President, I should like to make it clear that I had previously addressed this question to Minister Peeters, but that it was finally redirected to you. Minister, have you ever seen any results from the Beyond initiative? Are accompanying measures implemented to enable Belgian companies to rise to the international stage? If so, what are they?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u64	Mr President, Mrs Jadin, let me first make a correction. Indeed, I am not Deputy Prime Minister.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u65	Not yet!
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u66	Mr. Chair, Minister, my error is due to the fact that my question was addressed to Deputy Prime Minister Peeters, but it was redirected.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u67	Ma'am, I'm glad to answer your question. As you said, entrepreneurial dynamics are positive in terms of business creation. It should also be recalled that we are in the process of surpassing all the records in this field. We had already reached a record in 2016 with more than 91,000 companies created. In 2017, more than 95,000 companies were established. This is the result of the context we have created for investment and economic deployment that is revealed in the figures. But, as you rightly raise it, we must be attentive to the development of these enterprises. Creating them is one thing; developing them and ensuring their survival is another. We must indeed welcome the Beyond initiative of Pulse Foundation, which focuses in particular on the development of our start-ups. This development requires internationalization, which is why the development of SMEs abroad is one of the federal government's priorities and one of the six areas of work of the SME Plan. In order to take action in this area, it is necessary to develop the identification of Belgian export performance, with a view to integrating key indicators into the barometer of SMEs and independents. It is this famous barometer that allows us today to take much easier the measurement and even the pulse of our companies and our independents. I intend to integrate these various aspects into the next editions of the SME Scoreboard, in order to have an essential factor for our companies, namely the export aspects. This will enable us to strengthen this tool and make information even more decisive. At this stage, it is not yet possible to analyse in detail the current phenomena and the impact of the initiatives taken in this area, both at the level of our policies and at the level of remarkable private initiatives, such as the Beyond initiative. In a very concrete way, the federal government offers companies wishing to deploy internationally a range of initiatives grouped with the public export credit insurer, Credendo, Finexpo and the Agency for Foreign Trade. Credendo offers credit insurance, guarantee and financial guarantees to companies wishing to obtain a new line of credit as part of their international development. Finexpo, for its part, is intended to propose a panel of financial aid to eligible exporting companies (stabilisation of interest rates, interest subsidies, mixed credit, etc.).). The External Trade Agency also publishes "country studies" available free of charge online. That's interesting. This allows companies to study the markets in which they plan to work. I would like to draw your attention to other dimensions of the Federal Plan for SMEs, which you know and which was implemented by the government in this Parliament. They should support the development of SMEs, particularly as regards international development. I am thinking in particular of the initiatives taken to support investment and financing of growth projects. The measures we are talking about, taken with regard to growing companies, are extremely important. The investment deduction measure, taken for 2018 and 2019, exempting investments from 8% but 20% is a major measure for a developing company. The same applies to the tax shelter for scale-up, which allows, as was developed for start-ups, to accompany and facilitate the financing of growing companies. We have a large number of small businesses in Belgium that are extraordinary, but we see that, in order to enable them to grow, obstacles remain. We believe that this new measure will help them. There are also alternative financing measures such as those we have taken in terms of crowdfunding. We must call on companies to use all these measures that we make available to them. Mrs Jadin, these are the elements of content that I wanted to provide in answer to your question. Thank you.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u68	Minister, thank you for this excellent, very comprehensive answer.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u69	Colleagues, the flexibility of the President also applies to the timing of responses. We are timed, but I remain flexible with regard to the answers given to parliamentarians.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u70	Mr President, I wish to turn my questions Nos 23382 and 25178 into written questions.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u71	I take note of this and we thank you for it.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u72	Mr President, I wish to turn my question No 23379 into a written question. In addition, I would like to see my question No 24401 in item 48 of the agenda now dealt with.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u73	Colleagues, can you grant this request? [[Sentiment]]
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u74	Mr President, Minister, in the context of an ever-increasing digital revolution, many companies are inserting a digital strategy into their operations. For example, physical stores are increasingly developing their hangers online: an online shop where customers can place their orders directly by a simple click. However, it must be noted that, for various reasons, some do not yet integrate all the potential offered by the development of the digital economy. Today, it is essential to include, in all aspects of a project, a real digital strategy, with points dedicated to digital and e-commerce: e-advertising, e-commerce, social networks, e-invoicing, websites, innovation, application, etc. The government intends to combat the digital divide and to maximize the use of ICT in everyday life. For our companies, it seems necessary that they master the arcanes of digital disruption in order to maintain a high level of competitiveness and attractiveness. Minister, can you give an estimate of the independents and SMEs who have implemented a digital strategy in their project? What support can be provided to the self-employed and SMEs in the development of such a strategy? Is there a demand for this from the self-employed and SMEs? What are you proposing to help them best integrate digital into their business?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u75	Mr Friart, this is a very important question that you are asking here because there are real challenges in this area. If we want our companies to emerge from the perspective of the future, they need to rely more on digital to grow. SMEs must succeed in their digital transformation. It's a necessity. Those who do not do so risk, for a certain category of them, simply disappearing. Making it possible for SMEs to seize the opportunity to benefit from the multiplier effect of the platform economy in order to develop their business is essential, as is filling the skills gap in digital technology. Improving SMEs' access to finance through the development of FinTech is essential. We are therefore taking steps in this direction in terms of exemption for digital investments. We need to see them take advantage of the digital leverage to boost their internationalisation, but also to be fully accessible to customers in the Belgian market. Watching only by the magnifying glass of the internationalization of markets would be a mistake. Customer habits change. In this respect, the OECD indicators for Belgium are simply worrying. While the penetration rate of digital in enterprises is one of the best in OECD countries, it is on a rather low international average for SMEs alone, which means clearly a competitive imbalance of SMEs compared to large foreign firms or competitors. You know that in digital matters, there are no more borders. There are no borders. The awareness of traditional actors is therefore an urgent matter. The need is immense. We believe that it is possible to have significant leverage effects through targeted actions without having to deploy pharaonic budgetary resources. We have some examples. The main players in the new economy offer tools at the disposal of SMEs to enable them at least to have an online presence and, at best, to ensure their adaptation to the digital age. These giants have Belgian antennas which, we are convinced, would be ready to support accompanying actions. The FinTech revolution must be put at the service of SMEs. It affects the payments, credit or other financial services sector and allows SMEs to design their relationships with the bank in the form of a service. Let us also consider the phenomenon of lending platforms that allow borrowers and lenders to meet with flexibility that a traditional lender cannot always offer. The need for SME security in the face of cyber threats is obviously another issue we are working on. But it is not yet sufficiently taken into account by a number of SMEs. Some SMEs in the digital age are still not adequately protected. We need to see our SMEs innovate in this area. It's obvious. That is why I have instructed my administration to make proposals and I have already set aside a budget to develop actions in this area. I hope, by the end of the legislature, that I will be able to take further steps in this regard.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u76	Minister, thank you. I note that the OECD indicators are very worrying about our country. For our companies, these are essential development axes. I understand that you are going to take exemption measures with respect to digital investments. That seems essential to me. Finally, I note that you are going to draw up budgets in order to carry out actions in this area, which – I am sure – will only be in favour of our SMEs.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u77	Mr.President, Minister, since January 1, 2017, students have been eligible for independent status on more favourable terms. This status allows young people between the ages of 18 and 25 to continue their studies and to pursue self-employment in parallel. The exercise of this activity is not subject to social contributions below a certain income threshold. In addition, independent students will be liable for a reduced contribution on the portion of income that exceeds this threshold. The tax system for this advantageous status is based on that enjoyed by job students, both schemes being placed on an equal footing. This system allows more flexibility, unlike a paid student job. In addition, it offers the opportunity to carry out an activity that corresponds to the student entrepreneur, an activity which he or she can adjust according to the work he or she has to provide in the course of his or her studies. Minister, do you have any figures on the total number of independent students in Belgium? What are your observations about their evolution? What are your plans to encourage more students to engage in independent activity alongside their studies? What channels of communication would be preferred? Do you think it would be appropriate to survey students on how they perceive this status and what would encourage them to benefit from it?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u78	Mr President, Minister, at the beginning of last year a more favourable status for student self-employed people was introduced in our country. This further stimulates the entrepreneurial spirit of students. They can benefit from a favourable rate on social contributions and the status also offers advantages in the tax field. Now that the more advantageous statute is in force for one year, I have the following questions. How many student self-employed do we have in our country right now? How does this number relate to each region? How do you evaluate the statute one year after its introduction? Do you or do you not foresee adjustments to existing legislation?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u79	Mr President, ladies and gentlemen, as of 31 December 2017, there were a total of 5,008 independent students: 2,947 men and 2,061 women. This is remarkable, and it is beyond any prediction in this area. This status has exceeded all expectations of its attractiveness. It continues to be successful: compared to the previous quarter in which there were 4,495 independent students, there was still a sharp increase of 11.41 per cent (513 units). Young people are embarking without restraint and with great enthusiasm on this new status. At present, the distribution of the number of student entrepreneurs by region is not yet available. The social insurance funds are certainly the first source of information, both for their members and for students who would be interested in the new statute. They use their own channels, their own website, their newsletters and social media. The website of the FPS Social Security and the Social Security Portal also contain a number of detailed FAQs on the subject of student-entrepreneurship. Moreover, my services have been in regular contact with the higher education institutions since the entry into force of the measure, so that the deployment of this new statute can take place as smoothly and uniformly as possible. As you know, this status was introduced on 1 January 2017. It is, in my view, still too early to draw conclusions other than that of its success. It will obviously be necessary, as with any new measure, to provide for an evaluation. At the end of the first academic year, in September 2018, we should be able to benefit from fully representative figures and thus draw the first conclusions. The assessment of the status, as well as the returns of both students and actors in the field via social insurance funds and educational institutions, will have to be taken into account in this evaluation, which will obviously have to be carried out.
