ParlaMint-BE_2018-03-28-54-commissie-ic861x.u1	Question No 24104 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u37	Minister, an article from the New York Times on Thursday, March 15 tells us that the Trump administration has reported that Russian hackers have infiltrated and attacked nuclear power plants in the USA, but also in Europe. He informs us that Russian spies had compromised the business networks of several American energy-producing plants, particularly nuclear ones, by mapping their corporate structures and computer networks, including that of the Wolf Creek nuclear power plant near Burlington. Internal security officials have included a screenshot taken by Russian agents, proving that they can now access critical controls of their targets. In Symantec, researchers discovered that Russian hackers had begun to take screenshots of machines used in nuclear power plants and to steal detailed inscriptions in their operation, suggesting that they were performing reconnaissance for a future attack. Minister, do you confirm this disturbing information disclosed by the U.S. administration? How can these attempts best be described? Have you contacted some of your counterparts about this? If so, which ones? Was Belgium affected by these attacks and/or attempted attacks? The article states that the offensives have accelerated since the end of 2015. Do you confirm that? Eric Chien, director of security technologies at Symantec - a digital security company - said: "We now have evidence that they are sitting on machines connected to the industrial control infrastructure, which enable them to turn off or sabotage". How do you analyze such comments? Are the computer systems of our nuclear power plants sufficiently secure to withstand such attacks by foreign secret services? What additional measures will you take?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u38	Mr Nollet, the article in the New York Times on Thursday, March 15, to which you refer, refers to risks in many sectors and not just in the nuclear sector. I will limit my answer to this area because you are asking me about it. This problem is not entirely new. You've already asked me about some of the facts that you're reporting today. I refer you to the answer I gave you to your question No 19856 of 12 July 2017. At the time, you mentioned that companies responsible for the operation of nuclear power plants in the United States and elsewhere had been subjected to computer attacks in May and June 2017, leading to the activation of a high level of alert. These cyber attacks were recorded in a report by the United States Department of Homeland Security dated 28 June. The origin of the attacks had remained unknown, but it seemed to you that these hackers were already supported by a government. In particular, I replied that AFCN was in contact with its American counterpart on cybersecurity aspects and that there was no evidence that Belgian reactors were being affected. Compared to the July issue, we have more details. In particular, USNRC's spokesperson, the nuclear regulator, said on March 16th that several nuclear facilities in the United States had been subjected to multiple cyber attacks in mid-2017 and that the networks of companies responsible for these facilities – that is, corporate networks – had been affected. However, he adds that none of the safety, security or emergency preparedness functions of these facilities had had any negative impact. I can confirm what I said in my July 2017 reply, namely that at present there is no evidence to suggest that Belgian reactors are affected by this problem. As you know, security equipment control systems use analogue technology and are not connected to external networks. However, we take this issue of cybersecurity very seriously. First, the Federal Nuclear Control Agency (AFCN), assisted by its technical subsidiary Bel V, urges operators to continue to increase their vigilance in any aspect of cybersecurity. Moreover, as the threat is rapidly evolving in this area, it goes without saying that the cooperation of all national and foreign authorities, the intelligence services and the Belgian Cybersecurity Centre (CBC) to the nuclear regulator or its technical arm is essential. It is crucial that information is adequately shared to minimize residual risk. In fact, AFCN is in contact with its American counterpart, particularly on these aspects of cybersecurity. For example, information had been exchanged between the two organizations in response to the facts mentioned in your July 2017 question. At the regulatory level, I can inform you that the Belgian Government is in the process of drafting bills to supplement and expand the protection of nuclear installations and critical infrastructure in the field of cybersecurity. The first is to transpose the European Network and Information Security (NIS) Directive and the second is to expand and specify the cybersecurity measures that are imposed in the nuclear and radiological sector. These projects should be completed fairly quickly. Finally, if security measures are put in place against different types of intrusion, it is necessary that the devices be gradually improved, with any new information leading to new measures. This continuous improvement, an explicit value of the AFCN, is the key word.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u39	Minister, it seems that a new incident occurred on Thursday, March 8, 2018 at Tihange 1 plant, fortunately without any impact on the environment or workers. An irregularity was found in the heaters of the reactor pressurizer; not all heaters would have responded adequately to a test. Do you confirm these elements? What is the reason for this irregularity? Can you tell me how long this irregularity was present? Can you tell me how many tests had been carried out previously without noting this problem when they should have seen it? Isn't this in itself a serious problem? Has a similar anomaly ever been found in Tihange or Doel in the past?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u40	Mr Nollet, all the information requested can be found on the AFCN website. I can tell you that on Thursday, March 8, 2018, an irregularity was found in the heaters of the Tihange 1 reactor pressurizer. This incident was classified at level 1 of the INES scale. It has had no impact on the safety of staff and the public, nor on the environment. The pressurizer is a reservoir that regulates, among other things, the pressure of the reactor's primary circuit by means of heaters. In a regulatory test to verify the proper functioning of the signals sent by the water level detectors in the pressurizer, all the pressurizer heaters did not respond adequately. The analyses performed showed that the electrical cell for the transmission of the secondary shut-off signal of the heaters was not connected to the circuit. It had been disconnected during the shutdown in 2016 in order to perform the maintenance of the electrical panel and had not been reconnected since. The cell was then immediately reconnected. For the rest, the test was carried out again and it was conclusive. The impact on safety is extremely low. In fact, on the principle of redundancy, all safety systems are double in nuclear power stations and therefore all heaters would have been properly shut down in the event of a real event. However, in view of the fact that this regulatory test has been carried out seven times since the 2016 judgment without this irregularity being identified and that a similar anomaly has already been found in 2012, the level of this event has been raised from one level on the INES scale. No events similar to those mentioned in INES 1 were found in Doel or Tihange. Therefore, after analysis, this event was classified at level 1 of the INES scale. As already mentioned, this anomaly has had no impact on staff safety, the population or the environment.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u41	Minister, I hear your answer very well. I myself said that fortunately there had been no impact on the environment or on workers. Nevertheless, we are once again facing an incident that repeats itself, that is to say, an incident that has already been encountered in the past and which is happening again. This multiplication of incidents must challenge us more than, indeed, the immediate impact on the environment and workers on the same day.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u42	Mr President, Minister, Doel 4 is equipped with a sprinkler circuit whose function is to reduce heat inside the reactor building in the event of an accident. On March 14, 2018, a check revealed that a train from the sprinkler circuit was unavailable. How long did this train remain unavailable? What is the cause of this incident? Were other trains also unavailable at the same time? Was this incident classified on the INES scale? Are you concerned about the proliferation of such incidents? Have similar incidents been reported on other Belgian reactors?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u43	Mr President, Mr Nollet, like any nuclear reactor, the Doel 4 reactor is equipped with an enclosure spray circuit. The function of this safety system is to contribute to the mitigation of a serious accident if it occurs, i.e. to limit its consequences within the reactor. By spraying water within the enclosure, this system reduces pressure and heat inside the reactor building. This sprinkler circuit consists of three independent trains to ensure sufficient redundancy. The reactor operation specifications require that at any time at least two of these three trains be available to ensure the safety function. A check carried out on March 14, 2018 revealed that a train from this Doel 4 sprinkler circuit was unavailable. This in itself is therefore not problematic and this situation has been rectified immediately. However, the analysis of this occurrence then showed that the train had remained unavailable for one week. Short maintenance work on other plant systems has rendered one of the other two trains temporarily unavailable during this period of time. This situation therefore did not meet the requirement of uninterrupted availability of at least two of the three trains. Electrabel informed AFCN and its technical subsidiary Bel V, in accordance with the procedures in force. The analysis shows that this sprinkling train was unavailable due to a human error related to a misunderstanding about the performance of a job. After analysis, this incident was classified at level 1 of the INES scale on the basis of the in-depth defence criterion. Contrary to your comments, the AFCN does not see a multiplication of such incidents over the past 12 months. Although events are not always comparable and statistics on such incidents are not relevant, the figures show a decrease in these events in recent months. Nevertheless, this new human error event reinforces AFCN's willingness to keep the focus on the implementation of the CORE action plan to strengthen the safety culture in nuclear power plants.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u44	Minister, I must confess that I did not understand your last sentence. Nevertheless, I understand the meaning of that. On the other hand, I note that the incident is once again level 1 which is, in spite of everything, a repeated signal in the direction of the international that should be avoided. Unfortunately, at the turn of all the questions I have been able to ask in this committee, we have seen the number of incidents classified as Level 1 multiply in a very small amount of time.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u45	Mr Vanden Burre and Mrs Lambrecht would come later. Questions Nos 24548, 24549 and 24550 by Mr Kir are converted into written questions. Mr Flahaux will come later. Debates of the European Parliament Mrs Galant's 24581 is hereby withdrawn. The same applies to Question No 5, by Mr De Gucht, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the I shall now turn to my question No. 24689 later. Questions Nos 24695 and 24710 by Mr Calomne and Mrs Ben Hamou respectively were postponed. Questions Nos 24708 and 24713 by Mrs Ben Hamou and Mr Thiébaut are converted into written questions.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u46	Minister, technology continues to evolve and allows police officers to elucidate very complex criminal cases. For example, this is the case in the case of Maëlys, the little girl who disappeared in France in August. The police used a 3D scanner to freeze the crime scene and collect important elements. This relatively new system is little known in Belgium. However, the federal police have a single device of this type, used to analyze crime scenes, especially in homicide cases. This device makes it possible to calculate the exact distances of everything on its way. He also makes a large number of photos to reconstruct the scene very precisely using software. A working group would have been set up to assess the possibility of acquiring further 3D scanners in the future. Technological advances are constantly evolving and new and advanced equipment is entering the security market. These advances are making the task of criminals increasingly difficult. Other innovations could happen in Europe and Belgium, including virtual reality helmets that would allow you to visualize the crime scene and move around without jeopardizing the place. What do you think of these new devices? How many times and in what cases has the 3D scanner been used? Do you intend to acquire more in the future? What is the price of a scanner? As far as virtual reality helmets are concerned, do you intend to acquire them in the future? In what cases would they be used? What other technological innovations could be used by our police forces in the future?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u47	Mrs Ben Hamou, it is important to know that the acquisition of a 3D scanner within the Federal Judicial Police is motivated by the need to reconstitute scenes of crimes of terrorist attacks, such as the sites of the terrorist attacks in Zaventem and Maelbeek, central station, rue du Dries, etc. This type of device allows for the reconstitution and measurement of the premises while providing elements as to the course and consequences of the events. The 3D scan acquired and present in the Federal Judicial Police has been used several times since 15 March 2016, including in eight cases of terrorist attacks. The use of this 3D scan is reserved primarily for the files of terrorist attacks, but the scan is also made available for cases requiring the reconstitution, fixation, management and operation of a large-scale crime scene. As part of a current and comprehensive reflection within the Federal Judicial Police on the use of new technologies, the acquisition of other 3D scans is also under consideration. The price of a 3D scan varies according to the models between 35 000 and 60 000 euros, plus the costs of training and maintenance. The Federal Judicial Police is, of course, following the evolution of the new technologies, which are being studied in an ad hoc working group to assess the adequacy and need to acquire them in relation to the operational needs faced by the police services. In this context, an analysis of the theme of virtual reality helmets will also be discussed.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u48	Minister, thank you for your answers. It is true that society is changing and new technologies are also changing. If these new devices allow police officers in the field to do better work and allow, for example, not to compromise a crime scene, then it is important and necessary to ensure that our police are equipped with such tools in order to function properly.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u49	Minister, every year more and more Belgians are being controlled positive for narcotics driving. For example, the number of positively controlled persons has risen from 6,000 cases in three years. One of the reasons for this increase is the increase in controls, which are themselves reinforced by salivary analysis. However, it appears that the system of analysis is not yet fully developed, as police officers are not yet autonomous in the use of this technique. Indeed, while salivary tests are simpler to perform than urinary tests, police officers are still dependent on doctors. Their full empowerment could increase the number of controls and verbalizations of drivers under influence. The increase in the number of controls would also help to increase public awareness of the risks and serious dangers of driving under the influence of drugs and thus try to reduce the number of incidents and accidents. In fact, although driving under the influence of drugs is less important than driving under the influence of alcohol, the phenomenon is, however, not to be minimized. These dangerous behaviors must be combated and cannot enjoy any impunity. Moreover, unlike alcohol, drug use is not concentrated on weekends, but spread over the week. Minister, are drug testing widespread in the federal police and in all police areas? Are they available in sufficient quantity? Would it be possible to consider a test where police officers would be totally autonomous and not dependent on doctors? If so, would it allow for an increase in the number of tests? Could we consider a BOB-type campaign but "drug use" version? The aim would be to make citizens aware of the dangers of driving under the influence of drugs, as would drunk driving.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u50	The acquisition and distribution of drug testing devices is the responsibility of the Department of Justice. Based on a police study, the number of salivary tests doubled. The number of aircraft increased from 18,000 to 36,000. This should cover the needs. Until now, the police had to have a blood sample carried out, when the salivary test gave a positive result. The acquisition and distribution of salivary testing equipment that will replace the blood sample is, as mentioned above, within the competence of the Department of Justice. Every effort will be made to distribute the salivary test apparatus again this year, so that blood samples become an exception. Currently, the police services are already aware, during BOB campaigns and other controls on blood alcohol levels, to pay extra attention to driving under the influence of narcotics.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u51	Minister, thank you and I will put another question for the Minister of Justice.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u52	Debates of the European Parliament Mrs Lambrecht's 24502 has been postponed.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u53	Minister, I had the pleasure of seeing you on television earlier. We recently learned that a large national security survey was being carried out among 500,000 randomly selected citizens. The aim is to respond anonymously to a form that has arrived at their home in order to indicate their level of satisfaction with police action. This investigation is the result of a partnership between the Federal Police, the Police Areas, the Internal FPS and local authorities. Mr Minister, first of all, I would like to welcome this initiative, which is in keeping with an old tradition that had ceased over the last ten years. I would also like to take this opportunity to obtain some information about this investigation. First of all, what is the total budget allocated to it? Then, can you explain to us the complete process, including the deadlines, from the sending of questionnaires to the first steps that will be taken on the ground? Finally, what minimum participation must be achieved in order to have sufficiently reliable results? Has a probable rate been estimated?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u54	Mr Flahaux, the total budget allocated to the Security Monitor's investigation is EUR 465 736. It is divided between the Federal Police, the Police Areas, the Communes and the Prevention and Security Services of the Ministry of the Interior. This cost includes copies of the questionnaire, shipments (timbers), return envelopes and the results scan. The final budget will obviously depend on the actual response rate, as the costs of postage of the return envelopes as well as the scan will vary depending on the response rate. This amounts to about one euro per survey. This wide-ranging survey includes several stages: - from 19 March to early April 2018: progressive sending of questionnaires to the population; - citizens randomly selected from the sample will be able to participate, either on paper or online, until the end of April; - from May to June 2018, the paper questionnaires will be scanned by the Ministry of Finance for standard issues and will be encoded by the police areas for specific issues; - from July to December 2018: statistical data processing and tabular reporting; - early 2019: publication of the results, followed by training of the people who will analyse the results within the police zones and communes for the drafting of the new zonal security plans and strategic safety and prevention plans. Each authority should take the results of the survey into account as additional information to other data sources. This is the case, for example, with crime statistics. This will provide a complete picture of the situation. This also gives us the opportunity to get an idea of the "black" numbers. Crime statistics capture all the facts that are recorded, but there is also what the population tells. The comparison between these two sources of information can give an idea of the "black" figures. For the results to be sufficiently reliable, the minimum participation rate to be achieved is 25% of the sample. The number of shipments – about 500,000 randomly selected citizens – has been calculated to reach this minimum response rate. For the calculation of this rate, we relied on the experience of the local security investigation conducted in the same manner in 2011-12. In this survey, response rates ranged from 25% to 60% depending on the location.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u55	Mr President, I would like to thank the Minister for his answer. On the financial side, as you said yourself, one euro per citizen on average does not seem excessive, especially since this is a survey that is not carried out every year. Here I am completely reassured. Secondly, what is interesting in this investigation is that it creates an additional link between the citizen and his police. It will force police areas where contacts are not going very well to be proactive, which seems to me quite positive. I will just say a slight flat: you have quoted figures of 25% to make it representative. I expected you to give me a percentage in the order of 10%. In general, when you do a whole series of surveys in other areas, getting a voluntary response rate of 10% is already a success. You set the bar above, especially depending on the previous questionnaire. You cited a response rate of 25 to 60%: hat! I hope we reach the representative rate of 25%. The more responses, the more credible the results of the investigation and the actions that will result. In any case, I fully support you for this initiative.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u56	It's not a flat, it's a facese.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u57	Mr President, Minister, being a native of Épernay in Champagne, a region well known by all Belgians, it is normal for me to draw inspiration from this country. An application is currently being tested in France, in Nice, specifically, to improve the effectiveness of rescue services. The principle is simple: when an emergency situation arises, the user starts the application that filmes the action and transmits images and sound to the emergency services live. The witness can also give details of what is happening. Thanks to this information and the fact that the user is immediately geo-located, rescue services are able to get to the site quickly and knowingly. Everything can be reported, both accidents and incivilities. In fact, this makes many people react who believe that this is a violation of privacy and fear the appearance of "witch hunts", feeling that I do not share if there is nothing to blame. Minister, are you aware of this application? What do you think about this one? Could you imagine in the future putting in place such an application in our country, after having discussed it with your colleague from the Ministry of the Interior in France?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u58	Mr President, Mr Flahaux, my services are examining the possibility of integrating the reception of photos and videos via APA 112 into the dispatch software of emergency power plants 112 and power plants 101. However, this integration is accompanied by several conditions, the first of which is that the operator must lead the process, i.e. that only the operator of the emergency call centre can request it in order to clarify the situation. Indeed, we must prevent emergency call centres 112 and power stations 101 from becoming a YouTube channel on which all begin to post photos and videos, which may hinder the proper functioning of these centres. The uploading of photos and videos represents only one aspect of the technical developments that may concern or will affect our plants in the future. Similarly, the possibility of directing and capturing cameras should be explored in order to better assess a situation and properly dispatch back-up services on site. On the other hand, the Video chat could also offer added value in certain circumstances, but always with respect for the privacy of individuals.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u59	Minister, thank you for your answer. That's how I assumed it. The opportunities offered by new technologies must always be seized, but the constant parameter must remain that of privacy protection. It's still quite difficult to get, but a whole series of organizations are looking after it. In my opinion, when an application is interesting, there is no reason why it should stop at the border of Outre-Quievrain.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u60	Mr President, Minister, it is with concern that we have learned of the decision of the Turkish State to place the Belgian citizen Bahar Kimyongür (and many people) on the list of the most wanted terrorists with a reward of 214,000 euros promised for any information leading to his capture. This is a serious and even more serious matter, on the one hand, when we know that in a decree the Turkish State grants immunity to civilians, whatever the nature of their actions, when they act in the name of anti-terrorism or to prevent an attempt to overthrow the government and, on the other hand, when we know that many opponents of the Turkish State have been killed or attacked in recent years, including in Europe. Let us recall that Bahar Kimyongür was acquitted for these alleged acts of terrorism (the so-called DHKP-C case) and that, despite the pressure of Turkey and the assistance given to it by several European States, including Belgium, his arrest and extradition have always been refused by the courts of the various countries where this has been attempted. Justice has clearly established that the information work carried out by Mr. Kimyongür is a matter of freedom of opinion and cannot be equated with acts of terror. So it is a truth that is also a judicial truth. On 24 August 2014, Interpol officially removed the red notice for this Belgian national. Today, however, the Turkish State is returning to the offensive, and we can only worry about this measure in terms of democratic rights. It was in this context that I asked the Minister of Justice, and then the Minister of Foreign Affairs about the same case, who both sent me back to you, Mr. Minister of the Interior, about the protective measures that would be provided for this national. Mr Minister, in view of the worrying context, have you considered taking special protective measures in favour of this Belgian national? Can you tell us more about the threat assessments that were requested in this framework?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u61	Mr Van Hees, the Kimyongür file is indeed a case of a person threatened and has arrived at our service, the Crisis Centre. Threat assessments were requested from the Belgian intelligence service as part of this file. Without giving them precise information, we can confirm that measures have been taken with regard to Mr Kimyongür on the basis of the assessment made by the Belgian intelligence service. I therefore confirm that this person has benefited from specific protection measures without being able to say more.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u62	Minister, I understand, of course, that if you provide more details or too much about the protective measures, they may no longer be effective. I am pleased to note that you take this matter and these threats seriously, that a threat assessment has been requested and that you are putting in place protective measures. Thank you for your answer.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u63	Minister, on Thursday, March 19, 26 migrants attempting to travel to the United Kingdom were discovered in the vicinity of Zeebrugge. In total, the West Flanders police arrested 172 migrants in transit during the past week. Most are from Eritrea and Algeria. Many police services organized surveillance activities on 5 and 6 March in order to map the number of illegals taken to West Flanders by smugglers. According to the prosecutor of the King of West Flanders, Frank Demeester, pressure remains high in the province, both in Zeebrugge and in highway parking. He also complained that migrants in transit behaved aggressively. It reports acts of violence against security personnel and thefts of surveillance officers' radios. Minister, can you take stock of the actions of March 5 and 6? During these operations, were the police able to apprehend smugglers caught in flagrante delicto? Are other actions planned in the near future? Are French law enforcement agencies involved in these actions?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u64	Mr Flahaux, during the national days of action on 5 and 6 March 2018, police forces intercepted 131 migrants in transit. On 5 March, 75 migrants in transit were intercepted, 72 of them in West Flanders. On 6 March, the police intercepted 56 migrants in transit. During the national action, the Mons judicial police arrested a suspect of human trafficking, a smuggler. For more information, I would refer you to my colleague from Justice, Mr Geens. Since 1 February 2018, daily operations have been carried out throughout Belgium by the Federal Police. In addition, private supervision is provided daily by a private security company in several car parks. French law enforcement agencies are informed of all actions through the CCPD (Centre for Police and Customs Cooperation). If a major control operation takes place in the border area, the French security forces are informed individually.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u65	Minister, thank you for your answers. This situation will one day have to be brought to an end. We have to run after these migrants! At the risk of shocking, I would say that when Britain leaves Europe, it may be necessary to rent boats to send them there. At the core, these migrants should no longer arrive in Europe, as they are mostly economic migrants. For example, I mentioned Algeria in my question. It is not a complete democracy, far from it, but it is a country that does not seem to have war or other problems at the moment.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u66	Mr Flahaux spoke just now about the Flemish seaport of Zeebrugge. I will take this opportunity to ask a few more questions about the use of drones in the Flemish seaports. Because of the lack of other seaports, they are only Flemish. (...): (...)
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u67	Does Brussels have a seaport? Then I apologize to the Brussels people. Mr Minister, since May 2016, it has been announced that the UAVs, i.e. the unmanned aircraft of the Belgian army, together with the shipping police, are helping to guard the 13 000 hectares of the port of Antwerp. However, criminals also use drones. The report "Gebiedsscan District Zeehavenpolice" reports on crime in the port area of Rotterdam in the years 2015 and 2016. It states that criminals use drones to control security services and facilities in the port area. According to the report, there were 13 incidents involving drones flying refineries and container terminals in order to obtain information illegally. Measurements by a private security company now show that drone flights are also taking place in the middle of the night above the Flemish seaports. It is suspected that this is done by human smugglers, to help illegal transit migrants in less guarded places or moments over or by fences. I read that in January 2018, Mr Marc Adriansens, the president of APZI, who represents the interests of the companies in the Zeebrugse port, reported that he would like to use drones to secure the ports. However, the airspace above Zeebrugge is prohibited and therefore a special approval from Minister Bellot must be obtained. Mr Minister, can you tell me how many incidents involving unauthorised drones occurred in the ports of Antwerp, Zeebrugge, Ghent and Ostend over the last three years? So I am not asking for figures for Brussels' seaport. Second of all, were drones intercepted? Thirdly, has one been able to identify who used drones in the port zone and for what purpose? Fourthly, is it true that drones are being deployed at night by human smugglers or other criminals? Fifth, are the UAVs of the military still deployed above the port of Antwerp? How do you evaluate the results of this surveillance? Sixth, how do you evaluate the results of the drone surveillance by private security companies in the port of Antwerp? Seventh, are there any private security companies or service providers carrying out drone surveillance in other ports? In the meantime, can APZI use drones in the port of Zeebrugge? Finally, as in the Netherlands, is there also an annual report which gives an overview of all security incidents and of the police and security equipment deployed in the Flemish seaports, or Belgian seaports?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u68	Mr Vermeulen, over the last three years there have been no incidents in the ports of Ghent, Ostend and Zeebrugge with unauthorised drones. In the port of Antwerp there was one incident in 2017 and four incidents in 2018. In 2015, one drone was intercepted in Antwerp. Only in Antwerp could this be traced back in 2015. It was a hobby photographer at the time. There is no information known to the port of Ghent. Unconfirmed information is available for the ports of Ostend, Zeebrugge and Antwerp, but no interceptions have been carried out yet. I come to your fifth question. There was a sporadic deployment of Defense unmanned aircraft during the actions against illegal migration at Zeebrugge, with limited added value, given the limited mobility. They are no longer used for Antwerp. UAV Defence was deployed in the port of Antwerp for one month in 2016. That was definitely useful back then. As far as your sixth question is concerned, there is still no use of drones by private surveillance companies in the seaports. There is no use of drones by private security companies in the ports of Ghent, Ostend and Zeebrugge. Drones may be deployed in all seaports by private security agents, in accordance with Article 142 of the Private Security Act, and provided that they are licensed by the competent port authorities. Finally, security incidents are reported in all seaports via the form as approved by the National Maritime Security Authority. These are followed daily by the shipping police. An annual report containing an overview of incidents and means deployed can be prepared without problems, but has not been drawn up so far.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u69	Thank you, Minister, for your reply. I note that the figures are quite limited and clearly lower than for the Netherlands. That is a good thing. After all, we should not hope for higher figures because this would signal that there would be more criminal activity than before. I heard from a number of private security companies that they are willing to help with port security, including drones, but if that is not useful at the moment, then we will not let them incur those costs. Thank you for your answer and I will certainly come back to this subject later.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u70	Mr Minister, indeed, the procedures for the emergency closure of the Brussels metro have given rise to much debate and have been the subject of numerous hearings in the Attentats committee of inquiry. Subsequently, several recommendations were issued by the Committee of Inquiry, approved in plenary session, aimed at simplifying procedures, lines of command, communication and clarifying the role of the Crisis Centre as a true operational command centre. As the spokesman for the Crisis Centre points out in a press article on 16 March, the new procedure is now being conducted in two stages in accordance with the recommendations of the Commission. I quote: "In case of imminent threat of attack, the general manager of the Crisis Centre is mandated to put in place the first reflex measures, among which, the order to close the metro within half an hour". This is therefore a decision which can only be taken in consultation with the OCAM and the Minister of the Interior. After this first phase of reflex-measures, everyone is brought together within the crisis management unit: the federal ministers, the Region, the various departments. It is this expanded decision-making body that will then take the lead and which will be responsible for establishing and communicating the other security measures. However, according to the same article, the procedure seems less clear in the eyes of STIB, an operator of the Brussels metro, which adopted in May 2017 a specific contingency plan in case of terrorism. In fact, questioned by the journalist of the article of 16 March last, STIB does not seem to be aware of the new competences of the Director General of the Crisis Centre since the spokesman of STIB explains that the decision must come, I quote, "from the Minister-President of the Region if the crisis centre set up is regional or from the Minister of the Interior if the crisis centre is federal. It is planned that the authority responsible for the emergency phase will prevent STIB", explains STIB's spokesperson. According to this understanding of STIB, the Minister of the Interior and the Minister-President of the Brussels Region could therefore give the order. There is apparently a lack of clarity according to this press article. Could you clarify the procedure and confirm that it is the director of the Crisis Centre who has the operational command in the event of an emergency phase and therefore the responsibility to transmit the metro closure reflex measure to STIB? Secondly, is it planned to re-communicate or re-specify all the new procedures to all stakeholders? How will collaboration, complementarity between the Federal Crisis Centre and the Brussels Regional Crisis Centre be articulated?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u71	Mr Vanden Burre, the procedure for closing the metro is, as you said, part of a set of measures that can be taken in the event of a threat. This is an essential point to distinguish between the responsibilities of each of the actors and the triggering or not of the federal emergency phase following a terrorist threat or attack. During the first moments of the reflex phase, when the federal phase is not triggered or not yet triggered, the first steps can be taken by the directors of the Crisis Centre in consultation between myself and the OCAM. The Brussels-Capital Region is then directly informed of the decisions taken via the Brussels Regional Crisis Centre. Subsequently, a coordination meeting is convened by the Director General of the Crisis Centre. In the early stages, the composition of this coordination meeting will be embryonic. Representatives of my office, the Prime Minister, Justice, the OCAM and the Federal Public Prosecutor's Office will be present. The tasks assigned to this coordination meeting will be: taking urgent action and other administrative police measures. At the strategic communication level, the present Minister or the Director General of the Crisis Centre will notify federal and/or regional authorities. At the operational communication level, the Director General of the Crisis Centre will notify the Federal Police for the execution of the decision. The measure will be requested by the DAO Federal Police Crisis Centre, which will notify the relevant police services. This concerns the railway police or local police areas. They will contact mobility operators directly. After the start of the federal phase, the decision will be taken within the management unit at the Crisis Centre. It will be transmitted to the operational unit as mentioned in the Royal Decree of 1 May 2016 laying down the national contingency plan for the approach of a terrorist hostage-taking or terrorist attack and in parallel to the sectoral unit of the Mobility and Transport FPS as provided for in the Royal Decree of 31 January 2003 laying down the contingency plan for events and crisis situations requiring coordination and management at national level. This procedure has been operational since August 2017. In addition, the Mobility and Transport FPS provides the Crisis Centre and the Police with an updated list of mobility contacts. Procedures are communicated through their respective authorities to the various partners.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u72	Minister, I will read your answer in detail, but it seems to me quite clear that these decisions are systematically made through the Federal Crisis Centre. STIB seems to have misunderstood it. Indeed, they say that the decision could come directly from the regional side. You confirm here that this is systematically an operation of the Federal Crisis Centre, in the event of a federal crisis phase. Could we consider a single regional phase of crisis? In this case, it would only come from the regional minister. But terrorism will never be in the regional phase. This would depend on the severity of the incident and what type of emergency plan is federal or regional.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u73	Yes, that's what makes the difference. Here I give the example of the alleged terrorist that we arrested at the central station in Brussels. In the circumstances, at that time, it was not useful to have a federal phase at first instance. It was therefore a provincial phase, or in the case of Brussels, a regional phase. But if we're dealing with something a little more serious, we'll have to start the federal phase.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u74	That's clear. Thank you.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u75	Debates of the European Parliament Mr Maingain's 24721 was withdrawn. Mr Maingain is not here and has not informed us, and I am therefore applying Rule 127.10 of the Rules of Procedure.
