ParlaMint-BE_2018-07-10-54-commissie-ic948x.u1	Mr Laaouej asked whether he could ask his question No 26531 at the beginning of the meeting.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u46	Mr President, Minister, my first question concerns start-up measures. This government has already taken several measures to support start-ups. It concerns the tax shelter, the exemption from the transfer of company tax and so on. The definition of starter means that it is a company up to four years after its creation or a single-man business up to four years after its registration in the FBO. From the practical point of view, the question of possibilities of interpretation and what the concept of "starter" means. In a normal situation one starts up and is a starter. These are, in particular, situations where there is a start-up of a company or an independent activity which is subsequently discontinued, taken over or declared bankrupt, and where a new activity or a continuation of the previous activity takes place thereafter. For many start-ups, this is an important question, because it concerns the legal certainty that they have about whether or not they can benefit from the support measures in question. In addition, it appears that when it is completed by the administration, it may depend on regional management to regional management, and even from the controller to the controller, how that continuation is completed. Again, legal certainty is important here. It is important that we know exactly what will be covered by the legislation. Mr Minister, I have the following questions. First, how can the notion of "start-up company" be filled in in situations where an undertaking or self-employed activity is discontinued within four years of its creation or registration and after which another undertaking or self-employed activity is operated at the same location? What criteria do you think should be used to determine whether that other undertaking or self-employed activity is new or whether it is a continuation of the previous undertaking or self-employed activity? Secondly, can you confirm that when an undertaking or an independent activity is terminated, whether or not by bankruptcy, within four years of its creation or registration, and subsequently operated at the same location, another undertaking or an independent activity is new, if that undertaking or an activity is not established with the previous undertaking or activity and focuses on another market and clientele? Is your answer different if the other company or activity is related to the previous company or activity and thus focuses on the same market and the same clientele, which means that there is a continuation? Thirdly, can you clarify the consequences of that distinction between these two situations for the preservation, withdrawal or re-application of the given support? These are some technical questions, but I think they are important to different companies.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u47	Mr Van Peteghem, on the exemption from withholding tax for interest on loans concluded through a crowdfunding platform, it is stipulated that the borrowing company has been registered for a maximum period of 48 months in the Crossroads Bank of Enterprises or in a similar register in a Member State of the European Economic Area. There is no change in activity, although the legislator has stipulated in the parliamentary documents that some situations are excluded from the measure, but in that case the general anti-abuse clause is of course applicable. With regard to the tax reduction for the acquisition of new shares of start-ups and the exemption from the transfer of company advance tax, the notion of continuation of an activity may play a role in assessing the 48-month period. The criteria for calculating that time limit differ for both measures. In addition, the tax shelter for start-up companies must be investment in a company, while the exemption from the transfer of a company advance charge is intended to cover employers' natural persons or companies. In order to determine whether or not there is a continuation of an activity, a thorough examination of all factual circumstances specific to each case is required and therefore it is difficult to make general statements on this at the moment.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u48	Minister, there is a need to clarify this. Take the following example of a company in bankruptcy that is being taken over. These two starters have nothing to do with each other, but the new starter naturally wonders whether he is still entitled to support measures. It is necessary that the answer to that question is not dependent on the controller, but on the situation in which one finds himself. There should therefore be more legal certainty than is the case today. Perhaps we can work on that in the future.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u49	Mr President, Minister, who started as a self-employed person is, of course, confronted with VAT obligations and will therefore have to include VAT on the goods and services he or she sells, with a deduction of input tax for the VAT paid for the own purchase of goods and services. The deduction of input tax is of course not insignificant for the cash flow of the starting company or activity. In this context, it is often argued from the point of view of practice that the refund of the VAT paid must be delayed too long. The waiting period may sometimes be up to six months or more, with the start-up company, which often has a low financial level, having to cover that period, which is not always easy. Invoices sometimes amount to tens of thousands of euros, which puts a mortgage on their survival. Therefore, the government could further support start-ups by speeding up the reimbursement of the VAT already paid so that entrepreneurs can better control their cash flow. That is why I have the following questions. Mr Minister, are you prepared to instruct the administration to refund the VAT paid to start-ups more quickly so that we can better support them? If not, why not? Is it true that, in some cases, repayment should be postponed to more than six months? Can anything be done about that?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u50	Mr President, Mr Van Peteghem, I immediately acknowledge the problem. It is true that the current payment periods of VAT credits, in particular for start-ups, can frequently raise a problem with the cash flow available. In other words, there may, of course, be unintentional cash flow problems in those entities. I therefore have a measure in preparation, which is that for both monthly and quarterly operators you know that in certain circumstances both may be provided for an accelerated VAT refund in the period of 24 months after the start of the VAT activity. In concrete terms, according to the new provision, monthly providers will also receive their VAT balance back monthly. For quarterly contractors, this will be bimonthly. I hope that we will be able to implement the measure as soon as possible, which is really the intention.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u51	Minister, that is a very good proposal, which I fully support.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u52	Minister, many frontier workers have concluded supplementary health and life insurance insurance in Germany. Recently, they found that their invoice was increased by around 9%, with the reason given for the imposition of this type of insurance in Belgium. The German insurance companies refer to judgment C-243/11 of the Court of Justice of the European Union for the reason of this tariff increase. They pass on the tax they owe to the Belgian tax authorities to their Belgian policyholders. Mr Minister, can you confirm that the taxation provided for by the Belgian State concerns both health and life insurance? Moreover, it appears that German citizens residing in Belgium and working in Germany would not be affected by this tax. Can you tell me if this information is correct and, if so, why would it be so?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u53	Mr de Lamotte, Article 173 of the Code of Miscellaneous Duties and Taxes provides that life and non-life insurance contracts are subject to an annual tax where the risk of the insurance operation is deemed to be in Belgium. At the end of that provision, the risk of the insurance operation shall be deemed to be situated in Belgium, in particular where the lessee has his habitual residence there or where the lessee is a legal person, where the establishment of the latter to which the contract relates is situated in Belgian territory. The Court of Justice of the European Union ruled in its judgment of 21 February 2013 for a dynamic interpretation of the concept of residence and concluded that "Article 50 of Directive 2002/83/EC of the European Parliament and of the Council of 5 November 2002 on direct life insurance must be interpreted as meaning that it does not preclude a Member State from levying an indirect tax on life insurance premiums paid by natural persons who are habitually resident in that Member State, where the insurance contracts concerned were entered into in another Member State in which those policyholders had, on the date of subscription, their habitual residence". Since Belgian legislation takes the policyholder's residence as a place of risk, both for life and non-life insurance contracts, the dynamic interpretation accepted by the Court of Justice of the European Union also applies to sickness insurance. This judgment of the Court of Justice, which ruled on the fate reserved for the annual tax on insurance operations in the event of the transfer of residence of the policyholder in the course of the life insurance contract, and which followed a preliminary question referred by the Court of First Instance in Brussels, therefore also applies to German citizens residing in Belgium.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u54	Mr Minister, are German citizens residing in Belgium and working in Germany subject to this tax?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u55	[[...]]
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u56	You confirm! Thank you.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u57	Questions Nos 26488, 26489 and 26491 by Mr Roel Deseyn have been converted into written questions.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u58	Minister, the social contributions of a national resident subject to personal income tax are calculated on the basis of his or her professional income. A national resident who is covered by the self-employed status and who obtains income taxed exclusively in Belgium may deduct his social contributions in full from his occupational income. However, if the selfemployed person acquires, in addition to his Belgian professional income, foreign exempt occupational income, the tax administration may apply a proportional allocation of social contributions as actual professional costs by law under Article 7 (4). The article states that "actual professional costs common to different professional activities or which at the same time have a bearing on income obtained in different countries shall be redistributed in a responsible manner." In some cases, for the taxpayer, social contributions paid in Belgium have to be allocated proportionally to the exempt occupational income. This is a disadvantage for the taxpayer because the deduction applied to exempt income no longer confers a tax advantage. This contrasts with the total deduction a selfemployed person receives if he acquires only professional income taxed in Belgium. Can such an application of Article 7 (4), where proportional allocation is also made to exempt occupational income, also be regarded as "a responsible way'? Can the application of Article 7 (4) on social security contributions be maintained following the recent judgment of the European Court of Justice in Bechtel-Finanzamt Offenburg of 22 June 2017?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u59	That judgment is clearly of great importance to the problem you have outlined in detail and correctly. The administration's running the arrest all the way now. A circular will then be drawn up immediately to make clear the implications of that judgment. However, we are not ready for that today. I hope that it can be done quite quickly, because it must be clarified.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u60	Thank you, Minister, for your reply. I hope I get the documents as soon as they're ready, without having to ask again.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u61	Mr President, Minister, with the reform of corporate tax through the Law of 25 December 2017, the capital reduction scheme was amended in Article 18, second paragraph of the WIB 92. Thus, the rules for the charging changed. From 2018 onwards, a company will no longer be able to choose how the capital reduction is charged. You will remember our brief speeches on this subject. After all, we were not happy with this measure. The reduction is now automatically charged pro rata on the paid-up capital and on the company's reserves. As a result, part of the reimbursement on the reserves becomes a distribution of dividends and thus taxable. In the past, in the event of a capital reduction, the company was free to choose on which item the capital reduction was charged. However, the nature of the capital subsidies is unclear. With a view to the correct application of Article 18, can you clarify the nature of capital subsidies in the context of the pro rata calculation of the capital reduction?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u62	Mr President, Mr Van Biesen, if the accounting provisions are complied with, the amount of capital subsidies included in the account is regarded as an exempt reserve and is, in principle, not eligible for the application of the said charge. On the other hand, the part taxed is a taxed reserve which is, in principle, eligible.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u63	So capital subsidies are excluded?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u64	Yeah, that's right.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u65	Mr Minister, I apologise in advance for my rather technical question. Following a very extensive discussion in Parliament in 2008, a new law was introduced which provided a new tax regime for sportsmen and women's professional income and, of course, a new code in the tax return, namely code 1273. The declaration form shall indicate the ordinary remuneration of the sportspersons obtained under an employment contract for the performance of their sporting activity, irrespective of whether the debtor of the income belongs to the public sector or the private sector. Minister, is that article being used? Who's using that? What is the average amount declared? I realize that it is a question of statistics, but I asked them orally to know the result quickly. Of course, I am also happy with the answer to paper.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u66	Mr Van Biesen, I have here a table of figures for you. In 2010, there were 5 000 declarations for 125 million euros of income, an average amount of 25 00 euros. This increased in 2016 to nearly 16 000 declarations for an amount of 190 million euros. This means that the average amount falls, more or less evenly, from EUR 25 000 to EUR 12 000.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u67	Thank you, Minister, for the answer.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u68	Minister, a press article published in Le Vif on 8 March reported the disappearance of more than 10 billion euros from Libyan funds, controlled by relatives of Gaddafi, of accounts opened at Euroclear Bank Belgium between 2013 and 2017. This disappearance is as worrying as it is incomprehensible since, following a decision by the United Nations, these funds – which come from a total of 16.1 billion euros in accounts – have been frozen since 2011 and Belgium has never authorized the thawing, according to the SPF Finances. This disappearance was discovered following the seizure of an investigating judge who would not have found all the amounts frozen, but only part – 5 billion. As is well known, a judicial investigation is under way and a delegation of the United Nations Security Council has reportedly come to Brussels to investigate as well. Minister, without asking you to comment on an ongoing judicial investigation, do you confirm that members of the UN have come to Brussels to investigate this disappearance? Did you meet them? Are there any new elements that we might be aware of?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u69	Mr Minister, on the basis of the same article and following the questions I have already asked you on this subject, it does indeed appear that a United Nations delegation, composed of three experts, was sent to Brussels in mid-May to investigate this issue. According to Le Vif, the three delegates visited Alexandre De Geest, deputy head of the Treasury (SPF Finance). Minister, can you tell me if you confirm that a UN delegation has visited Belgium to investigate the Libyan funds file? Do you confirm that this delegation met with the deputy head of the Treasury? What was the purpose of this meeting? Following this meeting, should the deputy head of the Treasury provide additional information to the UN? Which ones? Did the same delegation meet with other members of the FPS Finance or members of your firm? Which ones and why? Are you aware of the reasons behind this UN investigation in Belgium? Can you give us the results of this investigation? Do you confirm that this UN delegation must return to Belgium to continue this investigation? Does it need to meet with FPS Finance members in this context? Which ones and with what object?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u70	Ladies and gentlemen, I can assure you that no frozen Libyan assets have disappeared since 2011. I am formal on this point. With regard to the visit of the United Nations panel of experts, it took place, like any other visit of the other committees, in accordance with the resolutions and not within a specific framework. That is how I also received the visit of the United Nations Special Rapporteur on Human Rights. Mr. De Geest, deputy head of the Treasury, was also present at this meeting. Visits of committee experts are coordinated by the FPS Foreign Affairs. Members of my administration are invited to participate. I confirm that this was the case for Mr. From Geest. With regard to the issues relating to the dispute, I can confirm that a judicial procedure is under way.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u71	Mr Minister, on foreign affairs, I think that questions should also be put to Mr Reynders. Nevertheless, according to Le Vif, the Belgian authorities have stopped an asbl founded by Prince Laurent from recovering millions of euros of damages from the Libyan State. These accusations are very serious. I hope that this is not the sole basis for the Prince's downsizing. The question is asked. If some have become specialists in cropping, you may have to ask the number one of cropping not to be the wrong target.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u72	Minister, I regret that in this case you consistently gave only half-answers and very difficult statements to verify. I asked you specific questions about the funds, about the interests of the funds. You never answered me. Nevertheless, there are real questions. The same applies to the Minister of Foreign Affairs. He's playing hide-and-seek. I had put a question to him. He was supposed to be here this afternoon to answer questions, but he is obviously in St Petersburg, as part of a more media project than providing answers to questions within the framework of democratic control by Parliament. I'm sorry. You confirm that a court case is under way. It certainly requires some discretion. Because you don't say anything specific about this case, you let the suspicion go. I believe that Parliament has the right to obtain more precise answers than you give. I will therefore continue to ask you questions based on the elements that the press is gradually updating.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u73	Minister, as on several occasions, I will try to take stock with you of the federal government's plan to introduce a share of Belfius' capital on a stock exchange, even though this subject has already been addressed in part by my colleague Meyrem Almaci's questions about the Belfius art collection. I have already expressed to you all our scepticism about this hypothesis and our conviction regarding the 100% public nature of Belfius as an opportunity for the development of a different banking model. At the time of the presentation of the quarterly results at the end of 2017, the CEO of Belfius had specified the envisaged scenario, i.e. the disposal of 30% of the capital in "May-June 2018", which is now exceeded. In view of the importance of this dossier for the Belgian economy and the federal government's finances, I would like to obtain some clarification on the state of play of this ongoing process and on the possibility of putting it in the fridge. Minister, is the Belfius OPI still in place or has the government changed its option? If so, what is the new timetable? Confirm that this entry on the stock exchange is politically linked to a solution in the Arco file, in the form of compensation from the co-operators or an authorization to visit the Belfius collection on the fourth Saturday of the month, as proposed by Mr. Van Peteghem? What is the status of this compensation for Arco's co-operators? Has the European Commission been asked to agree on this operation under the competition rules? What is his opinion on this? Among the business banks commissioned to prepare this file, which global coordinator was appointed? Which business banks are involved? Under what procedure have these designations been made? What has been done so far and what will be the cost of these benefits? What is the result of the market test performed? What preliminary studies have been or will be commissioned, including the impact on its operation, risk-taking and long-term vision of a bank's presence on the stock exchange?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u74	Mr Gilikinet, I confirm that Belfius' partial IPO is still on the agenda. The choice of this privatisation method was based on a study by the consortium Bank of America Merrill Lynch/Eubelius/KMG. The explicit mandate to the consortium was to propose a privatisation technique that would not only be financially optimal, but would also safeguard the social role of Belfius in employment and the Belgian economy. This resulted in the Summer Agreement of 2017 until the choice of a partial IPO, the recommendation of the consortium and also of the management of Belfius itself. In the meantime, the technical preparations have been launched. Nomura and Clairfield were appointed as financial advisors. Freshfields has been appointed as legal counsel to the authorities. As required by this type of transaction, a trade union of business banks has also been designated. It consists of international banks such as Citibank and Belgian players such as KBC, Belfius and Fortis, who have a good knowledge of the local market. The criteria used in their selection were based, among other things, on quality, experience with stock exchange introductions, knowledge of Belfius and valuation. So far, the costs for consultants have been around 2 million euros. The total cost of the stock exchange introduction should be around EUR 10 million, if that introduction is still taking place in 2018. Since confidentiality in such a process is essential, I cannot go into other financial aspects at the moment and certainly not timing. It is a fact that bank shares have fallen in value since April, which of course does not facilitate any IPO. As for the questions relating to the Arco case, I refer you to the Prime Minister, who, as you know, has the lead on this specific issue.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u75	Minister, thank you for making the point. I will make three comments in reply. This project is not lost for everyone. You mentioned the fees that have been paid, or will have to be paid, to some operators, which are one of the Big Four, a well-known law firm (Eubelius), different business banks. Here's my second remark. My confidence in these operators is, I confess, limited. Not that they do not have skills, but they sometimes use them poorly. I would like to repeat my third point. The government took a bad start by choosing Belfius's stock market rather than developing a development bank from Belfius, as it exists in Germany and other countries. Starting from 100% public capital, it could finance the real economy, local communities, and the transition from the economy to a low carbon model. The fact that a state has a lever like this is not an anachronism. It is rather a form of modernism to which you turn your back, and I regret it. My only hope is that this IPO will not succeed, perhaps for the reasons you mentioned, or because of the decrease in Belfius' capital value compared to the beginning of the year. I hope we can one day beat the cards with another majority.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u76	Is that a wish?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u77	It's hope.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u78	Mr President, Mr Minister, I have been asked very recently by two interlocutors - an SME and a Namibian BSA - who have told me how they are dealt with by VAT services and the rules applicable to fines which are sometimes a little quick vis-à-vis good-faith interlocutors who are useful to the economy or to the social link. In the meantime, you have announced a relaxation of the rules. That's why I'm asking you about this. With regard to VAT, the legislator has provided for several possibilities for sanctions, namely fiscal fines and criminal sanctions. The penalties for VAT are set out in articles 70 et seq. of the Code. First of all, in the event of non-payment of VAT, article 70 of the Code provides that, for any breach of the obligation to pay the tax, a fine shall be incurred equal to twice the tax evaded or paid late. On the other hand, the Code does not differentiate between taxpayers who have properly submitted their VAT returns and have not honoured them for various reasons, sometimes legitimate and understandable, and those who simply did not submit their VAT returns. Sometimes the delay in payment of VAT is simply due to a cash flow problem, delays in payment of customers (including when it comes to public authorities) or an exponential development of a company's activities. Sometimes it is a simple distraction error, for example if a taxpayer has transmitted VAT data from a previous year rather than the current year, whereas it is easily corrected by a simple reminder. This is the case of the ASBL that I was seized of. In this context, tax fines are particularly difficult to accept, or even, given their rate, can be a brake or a stop in the development of activity. That is the case with the inquiry that I received. It may be questioned whether differential treatment between the delay of pure payment and the absence of VAT declarations and better criteria for differentiation between taxpayers of good will in temporary difficulty and those who are negligent, or even fraudulent, in the context of VAT carousels should not be applied. Minister, in L'Écho of this Friday, June 29, 2018, you refer to your intention to relax the rules on VAT fines for defaulting taxpayers. This can be an interesting perspective depending on the criteria used. Could you give me a quick explanation of the current rules on late payment of VAT? Is a distinction made between the taxpayer who has not filed a return and the taxpayer who is late for payment? Is a distinction made between a taxpayer who has not filed a return and a taxpayer who has made a material error, for example, by submitting a return for a bad period of time? Is the fine automatic or does the taxpayer have recourse capacity, in particular if he/she is temporarily a victim of cash flow difficulties due to objectivable payment delays or if it is a mere distraction? What exactly are the easing measures you have given for the VAT administration to apply? Will they take the form of an internal directive or an amendment to the law? In general, and although it may be difficult to formalize, should we not afford ourselves the means to make a greater distinction between taxpayers in good faith and those who try to defraud? Is there a structured dialogue between the FPS Finances and taxpayers' representatives, such as the UCM and Unizo? Would it not be useful to organize it? I recently met with UCM officials who told me that they found it a pity not to have the ability to dialogue with the FPS Finance, not on specific cases, but on general issues such as the comprehensible nature of the forms used by the FPS Finance. Sometimes dialogue can make things easier.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u79	Mr President, my colleague, legally, the deposit and payment of the periodic declaration must always be made, not later than the 20th working day of the month following the period concerned. A distinction should be made between late payment of a periodic declaration to VAT, late filing or non-deposit of that declaration. A taxable person who has failed to comply with this payment period shall not receive a fine, but shall be liable for a delay interest of 0,8 % per month. However, if special account is to be taken for failure to pay or for regular delay in payment, the taxable person shall be fined, in addition to the above interest, an amount equivalent to 10% of the VAT due resulting from the declaration. Please also know that my administration is working on a reform of the interest on late payment on the basis of the principle of good faith of the taxable person. A taxable person who late files his periodic declaration is liable to a fine of EUR 100 per month of delay, with a maximum of EUR 1 000. Failure to declare is punishable by a fine of EUR 1 000. The administration has always shown tolerance, especially during holiday periods, but not only, towards taxable persons who are only a few days late for the filing and payment of their periodic declaration. With regard to tax fines, the VAT Code provides for fines both for non-filing of periodic returns and for material errors relating to filing. However, the scale of fines for material error is significantly lower than that for non-filing. With regard to VAT, fines and interest are automatically due, with the exception of purely fortuitous infringements. These are irregularities due to ignorance of errors or omission and for which there can be no doubt about the offender's good faith. For all other infringements, the taxable person may always, as the case may be, submit a reasoned request for remission of a fine on the basis of the Regent's order of 18 March 1831, to the General Tax Administration, or for remission of interest on the basis of Article 84a of the VAT Code. Measures emanating from the principle of good faith of the taxable person in the processing of applications for remission or reduction of fines for a first infringement have been explained to the competent departments through an internal investigation. On the other hand, there is of course no easing of any cases of fraud or anyone acting in bad faith. Various clear guidelines have been given, both on the one hand for those who are confronted with a case of force majeure and on the other hand for cases of fraud. My administration has communicated the entry into force of these measures to the representatives concerned and to the Federal Ombudsman. More generally, it has been some time since discussions with the sector were under way on the issue of VAT fines.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u80	Minister, thank you for that clarification. My constant impression in this matter is that there is a great difference between theory and practice and a tendency to hound on some interlocutors - I would say easy preys. I am not the one who will challenge the usefulness of good tax collection and the fight against fraud. I would like to ask you regularly about the matter. Clearly, taxpayers in good faith and useful to our economy feel that they are victims of a little bit of speed on the part of VAT services. I hope that the new instructions you have given will make it possible to make a better distinction. I can only encourage a dialogue, by regional management, with local economic interlocutors to try to remove elements of misunderstanding, or even to change practices or the law where possible.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u81	Mr President, Minister, excuse me for returning to a case on which I have already questioned you on 22 May. These are the fiscal difficulties encountered by various Belgian teachers who have been active in Belgian private schools in Kinshasa and Lubumbashi. They acted in all good faith and served as teachers under sometimes difficult conditions, for a salary equivalent to that which they could have received in Belgium. However, they are being claimed significant tax supplements. As a follow-up to your answer, which I communicated to the people concerned, I was questioned by other teachers. I have documented myself on the matter. It appears that the problem arose only for the 2012-2013 school year's income and that not all the teachers concerned were treated in the same way, some of whom were taxed, while others were not. I am not arguing that everyone should be subject to a tax supplement. Of course, it's the other way around. In this case, the workers concerned seem to me to be victims of a situation which they did not want and for which they are not responsible. On the one hand, their employer did not pay the occupational discount for them. On the other hand, the existing tax treaties between our country and the Democratic Republic of the Congo were not valid for that period, but came into force shortly thereafter. At the very least, this is an uncomfortable situation for people who are ill-rewarded for their commitment to a form of development cooperation, in the service of education, under ungrateful wage, social and security conditions and who are victims of poor information or even because their employer has not taken responsibility. Minister, if you have been able to collect additional information, do you confirm that the problem is only for the 2012-2013 school year? How many teachers are involved? Do you confirm that the treatment of these revenues by the tax administration has been different according to the regional directorates? What justifies such a difference in treatment? What about the responsibility of the employer of these teachers with respect to the payment of the professional discount for this period? Has the FPS Finance, if any, undertaken a collection initiative against this employer? Given the unfortunate and exceptional nature of this case, to what extent, in your capacity as minister, can you act for conciliation in order to treat these remunerations in the same way as previous and subsequent years for the teachers concerned?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u82	Mr Gilkinet, the problem concerns the period 2012-2014. However, it does not affect all teachers in the same way. A total of 28 of them were checked. Fair and identical treatment for each case was imposed on all services, taking into account the specificities of each case. The persons concerned have actually been subject to tax in our country on the basis of these particularities. Only in circumstances specific to certain teachers implies that the professional discount will be due. The employer is obliged to detain him only if he has been informed. As a result, the FPS Finance has not taken any initiatives in this area.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u83	Minister, let us simply try to put ourselves in the place of those interested, sometimes young, who have accepted a position in another country for a salary equivalent to that which they received at home. They believed in good faith that their wages were prepaid or that they benefited from a tax treaty such as their net was equivalent to what they received here. Then, when they return, they get taxed on their net, as if it were the crude. They worked for a year for a salary of 1,000 euros a month, which is not the remuneration of a teacher, even if it is not high enough in our country. When they find that according to criteria established by the tax administration, their colleague in the neighbouring class was not subjected in the same way, they obviously cannot understand it. You tell me that there are 28 cases and that three years are involved. The amounts recovered by the Federal State are therefore minimal in view of the extent of tax evasion. Moreover, it is not this phenomenon that is referred to in this case. I do not understand that your administrator does not adopt a finer and more understanding approach to the issue and that it does not encourage employers - in this case, NSOs - to take their responsibilities in terms of discount. This situation is absolutely unjust. I regret that they cannot be the subject of any form of conciliation or exceptional intervention on your part or by any other means. Clearly, those involved are in good faith.
