ParlaMint-BE_2018-02-21-54-commissie-ic825x.u1	Mr Vanvelthoven has been excused, but Mr Deseyn maintains his question.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u34	Mr Scourneau, the new provision which provides for a minimum remuneration of a manager increased to 45 000 euros has not changed the way in which this minimum remuneration is to be assessed in relation to the result of the taxable period. The result of the taxable period is, as specified in parliamentary documents, the amount on which corporate tax is calculated after the various deductions have been applied. In other words, the tax base of the company to which the executive remuneration of the company is to be compared already takes into account the taking over of the latter. In other words, it is important in practice to use the corporation's taxable income before deducting the executive's remuneration to be able to verify the minimum remuneration required. In concrete terms, two situations can arise. The first possibility, that is, the taxable profit of the company before deduction of the remuneration, amounts to 90 000 euros or more and in this case the minimum remuneration must be 45 000 euros. Second option: the company's taxable income before deducting remuneration amounts to less than EUR 90 000. The minimum remuneration to be paid must be at least 50% of the taxable income before deduction of the remuneration. The remuneration granted is thus equal to the taxable income after deduction of the remuneration. Applied to the three examples you cite, this gives the following. First, the company's taxable income amounts to EUR 75 000, on the understanding that it has not yet paid any remuneration. What remuneration does it have to pay in order to qualify for the reduced rate? The remuneration must be at least EUR 37,500. After deduction of this remuneration, the taxable income of the company amounts to the same amount: EUR 37,500. The condition is, in this case, fulfilled. Secondly, if the company's taxable income amounts to EUR 75 000 after deduction of a remuneration of EUR 37 500, the company is excluded from the reduced rate. The taxable income of the company before deduction of the remuneration is then equal to 112,500 euros. The minimum remuneration required is always 45,000 euros, which is the maximum in general, regardless of the level of profit above 90,000 euros. Third, a company with a taxable income of 26 000 euros, after deduction of a remuneration of 20 000 euros, is also excluded from the reduced rate. Why? Because the taxable income before this deduction amounts to 46 000 euros. The minimum remuneration required is then equal to 50 per cent of this amount, i.e. 23 000 euros. After deduction of this remuneration, the taxable income will also amount to 23 000 euros. In other words, in the case you quote, the company should have paid 300,000 euros, no, 3,000 euros in additional remuneration to benefit from the reduced rate.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u35	Mr Minister, I thank you for being so precise – even if, in the end, 300,000 euros of taxation would have been rather difficult to bear. But it was only a small translation problem! I hope, in any case, that your answer will render all misinterpretations meaningless and that the rule will be clearly understood.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u36	[[...]]
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u37	No, but it's perfect; especially when you're wrong down!
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u38	I did everything I could to explain this reform in Wallonia.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u39	But it's perfect!
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u40	Of course, when one understands the reasoning in its entirety, it becomes clear. A lot of people, however, have doubts – what I understand.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u41	Yes, of course, and that's very legitimate. Thank you very much, Minister.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u42	Mr President, Minister, the Brexit will change life in our country and in Europe. Especially if there is a hard Brexit, the customs union will also be abandoned, which will result in additional tariff trade barriers being created again if a trade agreement with the United Kingdom is not reached. This is important for the British and Belgian companies, but also for a number of multinationals that controlled their imports into the EU through the United Kingdom. At least they'll have to look for a new gateway. That could possibly be Belgium. As a reliable partner for logistics activities, we can benefit from this. In your policy paper, you have therefore rightly made a commitment for 2018. The re-exportation of goods to and from the United Kingdom and thus the introduction of customs formalities will, of course, have a major impact on our SMEs, who often only do business within the EU, including the United Kingdom. In your policy paper, you have committed yourself to having customs information sessions organised in order to inform companies in good time about what the Brexit will mean to them. In addition, you stated in your policy paper that the new external border also implies additional monitoring and control. The current infrastructure does not provide for this everywhere, which means that we will have to prepare ourselves for additional checks after the Brexit. It is mainly about the North Sea, the North Sea coast, the stations of Brussels-South and Antwerp-Central and the airport of Deurne, where you think investments are necessary. You also calculated that the workforce would have to increase by three to four hundred full-time equivalents in order to maintain the same level of control. In this respect, your policy paper states that administrative support will seek to cope with the additional workload by increasing productivity and further automation. On the other hand, the additional resources and staffing units resulting from the Brexit require an additional budgetary effort. In that context, I would like to ask you the following questions. Firstly, what is the status of the information sessions to be organised by the General Administration of Customs and Excise in the context of the Brexit? Secondly, have you planned additional investments to strengthen the infrastructure of the crucial entrances and exits of Belgium? If so, what exactly and on what amount are these budgeted? Thirdly, what would you say will be the budgetary cost of recruiting three to four hundred new full-time equivalents? Can you also give an update on the roll-out of the necessary vacancies and the internal organisation?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u43	Mr President, Mr Van Peteghem, the General Administration of Customs and Excise has started information sessions a long time ago. An information page on the Brexit has also been published on her site. In addition, many other initiatives have already been launched. For example, since the beginning of this year there has been an e-mailing to the SMEs who regularly trade with the United Kingdom, you know that we have done so many things in Flanders but have not done any customs activity so far, in order to make them aware of the impact of the Brexit on their business. The administration also cooperates with information sessions organised by, for example, Flanders Investment & Trade, Kluwer and the Chambers of Commerce. There are also frequent consultations with the Zeebrugge Port Authority and a number of key players to find possible solutions within the existing European customs legislation to facilitate trade once the Brexit becomes effective. This consultation is organised with Zeebrugge, due to the special impact of the Brexit on this port, but it goes without saying that any measures resulting from it will be applicable throughout the country. An impact analysis has been carried out on the impact of the Brexit on the organisation of the customs administration and the associated investments, where different scenarios still have to be used in view of the state of the Brexit. The list of possible purchases now includes luggage scanners, dogs for detection of drugs and cash, hand scans, drones and a ground station for surveillance of the North Sea and the North Sea coast, vehicles, PCs, workshops, uniforms and armament. A first estimate of the number of full-time units to be recruited was made. The determination of the correct number of recruitments obviously depends on the outcome of the ongoing negotiations between the European Union and the United Kingdom, and thus on the final type of Brexit.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u44	Minister, I believe that there are still many scenarios possible. It is good that we are preparing to do so as best we can. One of the scenarios concerns the recruitment of three to four hundred full-time equivalents. Is there any other numbers? I understand this depends on the kind of Brexit. Is it a hard Brexit about three to four hundred full-time equivalents?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u45	(...)
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u46	Thanks for that.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u47	Mr President-in-Office, transparency in our current decision-making affects many, and this is being done. The necessary measures have also been taken at European level. A transparency register has been set up both in the European Parliament and in the European Commission to provide citizens with transparency about the contacts between Parliament and the Commission with civil society and business. However, a letter from ECB President Draghi shows that the ECB and its advisory bodies should not comply with the same transparency rules as the European Commission and the European Parliament. Given the current political climate and the recent history of the financial world, it is important to respond to citizens' demands for transparency. In this way, we guarantee citizens' confidence in that institution, and we can also safeguard the independence of the ECB's mandate. Mr Minister, do you follow, first of all, the view that the ECB and its advisory councils need a detailed framework in order to provide the necessary transparency in the development of its decisions and in its contacts with external parties? Secondly, do you think that the current framework to provide the necessary transparency is sufficient, or do you think that this should be deepened further? Thirdly, is there any possibility, in your view, of applying the transparency rules to the European Commission, also to the ECB?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u48	Mr van Peteghem, I do indeed believe that there should be sufficient transparency about the ECB's contacts with external parties and certainly about the exchange of information in that context. This is recognised by the institution itself, as is clear from the letter from the ECB President of 23 January 2018, to which you yourself referred. Transparency should be established within a framework that takes into account the tasks and objectives of the ECB, its independence and its professional secrecy. In recent years, the ECB has taken several initiatives on transparency, including its contacts with external parties. I refer, for example, to the publication of the meetings of the Executive Board members of the ECB on the institution's website, including meetings with external parties. I also attach great importance to the necessary transparency regarding the ECB's contact groups and their interactions with private market players. I would like to point out that the contacts are not intended to seek input or advice in the context of the ECB's regulatory powers and its policy decisions. Moreover, the activities of those groups are limited to the ECB's mandate as a central bank and are therefore independent of the ECB's mandate as a banking supervisory authority, in accordance with the principle of separation of functions. The ECB has already made the necessary efforts to ensure transparency over the contact groups and to develop a framework. For example, the necessary information on membership, meetings, agendas and summaries of the discussions will be published on the website. In this light, I believe that the current framework provides sufficient guarantees of transparency. However, this does not mean, of course, that the aspect must continue to be closely monitored. Finally, the transparency rules adopted by the European Commission are specific rules aimed at the powers and tasks of that institution, in particular throughout the legislative process. Those rules cannot therefore be applied to the ECB, given the specific tasks and objectives of the institution, its independence and its professional secrecy.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u49	Minister, it is important that we pay attention to a sufficiently strong framework, because the demand for transparency is high. I am pleased to hear that you consider that the current instruments are sufficient, even if we should consider whether they should be explored for the future.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u50	Mr President, Minister, in December 2017, the Prime Minister at the One Planet Summit announced that our country would issue green bonds in 2018. You yourself stated at the beginning of February 2018 that the issue of green linear bonds with a maturity of between fifteen and twenty years would take place in the near future. The bond issue would be supervised by the banks Barclays, BNP Paribas Fortis, Crédit Agricole, ING and JP Morgan. BNP Paribas Fortis and Crédit Agricole would have already explained the green bonds to their investors on Thursday 8 February 2018. According to your website, it is expected that between three and five billion euros will initially be collected. As with an ordinary OLO, issues would still follow in the coming years. The first issue would finance ongoing federal expenditure, with the capacity to reach an additional EUR 10 billion in the coming years. Mr Minister, my questions are as follows. Firstly, when will the issue take place effectively? What investments will be included? Secondly, what are the strict criteria, according to Prime Minister Michel, that will be used to check whether a project is contributing 'to the transition to a sustainable economy'? Thirdly, what current federal expenditure will finance the first issue? Fourth, can the Committee have the information that investors received from BNP Paribas Fortis and Crédit Agricole on 8 February 2018? Finally, are the bonds intended only for institutional investors? Is there any possibility of extending it to private individuals in the future?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u51	Mr President, Mrs Temmerman, your first question concerns the moment of issue. The road show in which the product is presented to potential investors is currently running and will last until Friday 23 February. That means that we can do the issue from 26 February. The exact date will, of course, depend on market conditions and will be chosen under the expert leadership of the Debt Agency at a certain time. I don't have the slightest doubt about the good judgment of doing that placement. I'll take your second and third questions together. The Inter-Ministerial Working Group has drawn up a list of possible projects and expenditures, which can be found in the presentation for investors, available on the website of the Belgian Debt Agency. The projects focus on energy efficiency, renewable energy, environmentally friendly transport, sustainable consumption and production and biodiversity. The working group will make the selection annually under the control of Sustainalytics, which has already given a first positive second opinion. On the information that investors received on 8 February through BNP Paribas and Crédit Agricole, I can say that this information was also made public on 8 February through the website of the Belgian Debt Agency. On that website there is a specific section Green OLO provided. I come to your fourth question. The OLOs are offered to institutional investors who can deliver orders of sufficient size on the day of their issue. The private investor can then buy that OLO on the secondary market through a banking institution. This will also be the case for the green OLO.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u52	Thank you, Minister, for the answer.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u53	Mr Minister, it happens that as a physical person, entrepreneurs acquire only the bare property of a property, while the company buys usufruct for a period of, for example, 20 or 30 years. It is important to determine and update the economic or real value of this usufruct. In practice, different methods are apparently used to appreciate rental income. One of the methods that has been widely used in the past is the Ruysseveldt method. However, this method is now under attack because, according to critics, it can lead to overvalues of usufruct. This would also have been the reason why in 2016 the ruling committee used a stricter formula in some cases to appreciate usufruct. The methodology put forward by the ruling committee in certain individual cases would be better in line with the rental value that the company would otherwise have had to pay. However, practice shows that this method could lead to an over-evaluation of usufruct. According to recent reports in the media, the tax authorities would now use the ruling committee's formula to re-examine split purchases that have been checked and accepted in the past and possibly to make an added value assessment. I have a few questions about this. Minister, how many structures with split purchases of usufruct and bare property are we talking about? Can you give a figure of this for the past few years? Is the new valuation method an autonomous position of the administration? If that were the case, would it not be logical to spread a clear circular on this issue? In your opinion, should the actual value not be taken into account in the valuation of usufruct and should an update not be carried out, taking into account the fluctuating debt interest rate? How many checks have there been since 2016 in relation to split purchases? Will the tax authorities go far back in the past with those checks on previous split purchases? I am referring to the split purchases that have already been checked and accepted by the administration. Will they be checked again? It is also true that registration fees were due and paid. As far as the regions are concerned, therefore, there are certain valuation methods. If there are other federal practices now, then of course there is uncertainty on the ground. How many rulings have been issued since 2016 using the new valuation method?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u54	Unfortunately, Mrs Van Cauter, as far as your first question is concerned, there is no statistical data available. Secondly, the central services of the General Administration of Taxation (AAFisc) have been informed in advance by the Department of Prior Decisions in Tax Matters (DVB) of the method used by him. They did not object at that time either. It is therefore not an autonomous position of that administration. Thirdly, as you may have seen, I have responded through social media channels and clearly indicated that there can be no retroactivity. The new method can only be used for checks after it has been published. A taxable person cannot be expected to apply rules which are not yet known at the time of the transaction. I believe that this is a fairly basic principle. Fourthly, since 2016, the AAFisc has no longer organised a control action specifically related to this subject. However, optional tax audits of usufruct structures are planned in the framework of control actions organised by this administration in 2018 on the costs of companies or the abuse of corporate structures. Fifth, the optional audit assignments referred to in point 4 focus on the situation at the start or end of usufruct in 2015 or 2016. As I have just said, there can be no retroactivity under any circumstances. I repeat that the new method can only be used after it has been published. Sixthly, my administration has informed me that no consultation has yet taken place with the Regions on registration rights to usufruct. As for your seventh and final question, a total of 13 decisions have been made by the DVB since 2016 based on the new valuation method. In addition, three decisions were also made on the basis of another valuation submitted by the applicant, after they were tested against the above-mentioned new valuation method.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u55	Thank you, Minister, for the answer. I think it serves the legal certainty of all those involved. There can be no retroactivity. That makes sense. I will read your answer on the substance. I will also look at how the valuation method works. I understand that it relates mainly to the updating of the real rental value, but I do not think that the stocking is yet finished, Minister. There is also the appreciation of usufruct, for which entrepreneurs and private individuals often rely on sworn treasurers. There's no established method. In Flanders, however, there is a system whereby treasurers on a list can make an estimate that is binding on all parties. Maybe we should consider that at federal level as well. I do not know if that would be a good thing, but it would at least serve legal certainty, because any discussion can be avoided afterwards. I'll take another look at the update. In any case, low interest rates should also have a real impact on the update of the rental value. It is not possible for a low interest rate to necessarily be adjusted in favour of the government. I don't think that's right. If that is in line with reality, I have no problem with that, but if it is not, I will question you further.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u56	Mr Minister, the original Summer Agreement provided for a measure whereby the rental of a property used by a VAT-paying tenant could optionally be subject to the VAT system. The landlord would then be able to rent office spaces with VAT, in order to recover VAT on construction and renovation costs. For budgetary reasons, this measure appears to have been lost, leaving the rental of professional real estate exempt from VAT. What does change is the 10 % rule regarding the VAT rental of storage spaces with associated offices. From 2018, such an associated office may amount to up to 50% of the total surface area. That would be dealt with in circular, but as far as I know, there isn't one yet. In the meantime, a lot of companies are above the old 10 % rule, while they are under the 50 % rule. For them, the situation remains unclear. Mr. Secretary, is there going to be a circular? If so, when will it be published? What are the consequences for companies falling between 10 % and 50 %? Should they apply for a VAT number?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u57	Mrs Wouters, the introduction of the possibility of taxing the rental of immovable property between VAT taxable persons is still the subject of government consultation. Therefore, pending its outcome, it is premature to introduce new rules on the provision of storage space for the storage of goods. In the meantime, the existing rules remain fully applicable.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u58	Thank you, Minister, for your reply, which shows that the old regime will continue to apply for the time being. We look forward to the new arrangement.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u59	Mr President, Minister, on 12 December 2016, following the violent repression of peaceful demonstrations and numerous other human rights violations in the Democratic Republic of the Congo (DRC), the Council of the European Union imposed a series of targeted sanctions against seven leaders of the Kabila regime's security apparatus - visa ban for the European Union and assets freeze. On 29 May 2017, the European Union added nine names to the list. A total of 16 Congolese officials are subject to sanctions by the European Union. This includes the freezing of their assets. Like your British counterpart who gave this information in response to a question from my colleague Mr Helen Goodman, can you tell me how much the total value of the funds frozen by your services is estimated as part of Belgium's implementation of these European sanctions?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u60	Mr President, ladies and gentlemen, with regard to restrictive measures against the Democratic Republic of the Congo (DRC), Regulation No 1183/2005 of 18 July 2005, as last amended on 9 February 2018, imposing certain specific measures against persons acting in violation of the arms embargo imposed on the Democratic Republic of the Congo, imposes a freezing of funds on 35 persons and nine entities targeted by the UN and on 12 persons targeted by the European Union. Article 7 of that Regulation specifies that any information provided or received under the freeze shall be used solely for the purposes for which it was provided or received. Three accounts on behalf of two persons were frozen in two financial institutions, for a total amount of €27,004.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u61	Minister, thank you. For my understanding, these are three accounts on behalf of two people and this concerns Belgium. No other Congolese national has been punished under these European provisions. These amounts are significantly less than the amounts frozen in Great Britain, i.e. a total of 580,000 pounds. In this case, this is a more modest amount.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u62	[[Mr. Minister, section 207, paragraph 7 of the Income Tax Code (IRC) states that any of these deductions or offsets with the loss of the taxable period may not be made on the part of the result that derives from abnormal or voluntary benefits referred to in section 79, or on the financial or any kind of benefits received referred to in section 53, 24°, or on the basis of the special separate contribution established on expenses or benefits of any kind not justified, in accordance with section 219, or on the part of the profits that are allocated to the expenses referred to in section 198, § 1, 9°, 9° bis and 12°, or on the part of the profits derived from the non-compliance with section 194, § 2, paragraph 4 and the application of section 194quater, § 4, or on the dividends referred to in section 219ter, or on the part of the result that is the subject of a correction of the declaration referred to in section 346 or of an ex officio taxation referred to in section 194quater, § 4, or on the dividends referred to in section 219ter, or on the part of the result that is subject to a correction of the declaration referred to in section 346 or of an ex officio taxation referred to the amount of the income referred to in the last section 351 for an increase in accordance to a percentage of the percentage of the percentage of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the amount of the tax referred to the tax referred to]] Article 219 of the CIR, for its part, states that a separate contribution shall be established in respect of the expenditure referred to in Article 57 and the benefits of any kind referred to in the second paragraph of Article 31(2) and the second paragraph of Article 32(2), which are not justified by the production of individual sheets and a summary statement, as well as by reason of the hidden profits which are not included in the assets of the company and the financial benefits or of any kind referred to in Article 53, 24°. Article 219, paragraph 1, states that a separate assessment may be made: (a) in respect of the expenditure referred to in Article 57 of the CIR which has not been justified by the production of sheets 281 and 325; (b) because of the advantages of any kind referred to in Article 57 of the CIR which have not been justified by the production of sheets 281 and 325; (c) because of the hidden profits which are not found among the elements of the heritage. Article 207(7) at the level of the words "on the basis of the special separate contribution established on expenditure or benefits of any unwarranted nature, in accordance with Article 219" applies only to the first two cases mentioned above. On the other hand, hidden profits which are the subject of a separate assessment are not mentioned in Article 207(7). Should it be inferred that, on the separate assessment of hidden profits, a deduction of both losses incurred during the taxable period and prior losses is possible? Mr President and Mr Minister, thank you for allowing me to ask you this technical question. We are at the heart of the tax system of secret commissions. From the point of view of the fight against tax fraud, beyond its technicality, this question seems essential to me.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u63	Mr Laaouej, as his name indicates, this assessment is separate from ordinary corporate tax and its taxable basis is in principle governed only by the provisions of Article 219 CIR 92. However, I have instructed my administration to verify the scope of the provisions of Article 207 of the same Code and, if necessary, to make a proposal for the adaptation of this legal text.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u64	Mr. Chair, I understand the minister's response that he agrees with us that there is an ambiguity that is most certainly due to the wording of section 207 in its current configuration and that it intends to provide an answer or a solution in the near future. [[(...): (...)]]
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u65	Of which act, Mr. President. We will come back to see where that is.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u66	Mr President, I had tabled two other questions, but apparently they were not on the agenda. One of them concerned the Belgian Investment Company (SBI) and tended to see the status of the situation after the tax investigation. We had a debate on this, and I therefore think that we could ask for follow-up. The other question concerned the figures relating to the files opened by the Special Tax Inspectorate in the Panama and Paradise Papers. Strangely enough, these issues have not been included despite the respect of deadlines and forms. I tabled them this week, within the required time frame. Didn't you get anything? However, they were sent to the services.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u67	We'll check it out. If a question is introduced on Monday, it is still noted.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u68	All right. Mr President, Minister, I shall now turn to my question on the agenda. The statement of reasons for the law of 25 December 2017 reforming corporate tax provides that, in order to avoid the early establishment of provisions, i.e. prior to the reduction of the corporate tax tariff, with a view to subject subsequent resumptions to a lower nominal tax rate, the resumption of provisions is subject to a rate of 33.99% or 29.58% depending on whether the provisions were made either at the latest for a taxable period that relates to the 2018 tax year or at the latest for a taxable period that relates to the 2019 and 2020 tax years. The Standard Chart of Accounts provides for three accounts relating to provisions for exceptional risks and expenses, namely, accounts 6620 for endowments, 6621 for uses and 762 for recoveries of these provisions. For other provisions (accounts 635 Provisions for pensions and similar obligations, 636 Provisions for major repairs and 637 Provisions for other risks and expenses), the Standard Chart of Accounts provides for two sub-accounts for each of these accounts: a sub-account "dotations" and a sub-account "use and recovery". Minister, could you confirm to me that the amounts eligible for new section 217/1 are those that will be credited to accounts 762, 6351 (excluding the amount in respect of use), 7361 (excluding the amount in respect of use) and 6371 (excluding the amount in respect of use)? Could you also explain how the new Article 217/1 should be applied, assuming that the provision constituted - for example, in the 2020 tax year - is subject to a recovery of, for example, EUR 20 000 in a subsequent tax year and that the taxable basis for that tax year after the 14 transactions is: (a) a positive amount of EUR 4 000; (b) a negative amount of EUR 9 000; (c) a negative amount of EUR 48 000? These are technical issues, but it is a matter of being precise about one of the compensatory measures to ensure the budgetary neutrality of the corporate tax reform and an "anti-abuse" measure, if I may say so. Indeed, people should not anticipate changes in the tax system of provisions and make provisions before the rate decline comes into effect. The temptation to deduct at a high rate of 33.99% before reform should be avoided, followed by a resumption of provision at the lower new rate, thus allowing a gain on both sides!
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u69	Mr President, Mr Laaouej, this is a long question. My answer will be quite condensed. The company which has carried out the accounting or tax recovery and whose tax base is declared to be EUR 4 000 should pay a tax calculated on it at the rate of 29.58 %. It will not be liable to any tax if the tax base declared is zero or negative.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u70	Minister, this means that there is no tax in assumptions b and c. We will verify that. I also asked you to confirm or overrule the information that the amounts eligible for new Article 2017/1 are those credited to Accounts 762, 63-51, 73-61 and 73-71. You didn't answer me. If you do not have the answer, I suggest that you repeat a question on this subject. Of which act, Mr. President.
