ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u1	Question No 27460 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u41	Ladies and gentlemen, I regret and share the observation of the recurrence of the events, the extent of the damage caused and the overload of work for the personnel called for the rehabilitation of the damaged facilities and, lastly, the numerous delays that passengers have suffered as a result of this increase in the number of metal flights, cables at the operating sites of the railway network since this summer. In the face of this reality, I have acted within the scope of my powers, so that an appropriate response can be made with the help of my colleagues in charge of the Interior and Justice. In this context, I have personally called for the immediate establishment of a task force under the direction of the competent authorities with regard to the investigation and the measures emerging from the coordination of administrative police missions. A multidisciplinary approach to the phenomenon, involving justice, integrated police, SNCB, Infrabel and the Mobility FPS, has been developed and initiated in order to put an end to the actions of these offenders. The recent arrest of an organised gang, the result of the work of the Federal Judicial Police in Liège and the multidisciplinary approach implemented, has definitely hit the phenomenon. The plan of action against cable theft is also still under way: replacement of copper with aluminium where possible, embossed marking on the driver, change in the colour of the earth cables, awareness campaign... After a lull of several years, as a result of the implementation in 2013 of a task force and a national action plan, the number of cable flights has been rising since the summer of 2018. As a result, since June of this year, no fewer than 225 thefts have been committed. For the whole of 2017, the number of flights was 63. The consequences of the resurgence of the phenomenon are important in terms of safety, costs and punctuality, as well as for the image of the railway. I'll give you the chart showing the statistics, and you'll see that, as I mentioned earlier in my response to Ms.Matz, the number of minutes of delay that these flights generated was multiplied tenfold between 2017 and 2018, knowing that all flights were concentrated from June to October.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u42	Thank you, Minister, for this information. If I sum up your answer correctly, you call for a task force to be set up.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u43	No, I called the Task Force meeting at the end of June, it only met at the end of July. The federal police took responsibility, implemented various means and arrested the band that was operating on October 15, 2018, after a month and a half of investigation. Since then, the phenomenon has almost ended and the figures are in line with the averages of previous years. In three months of time, 261 flights were committed, which corresponds - if we extrapolate over a full year - to sixteen times the 2017 average.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u44	Minister, thank you for these additional answers. The work done by the police in the context of this multidisciplinary approach has borne fruit. The 2018 statistics will demonstrate this. I suggest that you go back to the issue with the figures in hand to see if new measures are needed or if we are going back to a situation that can be described as normal.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u45	Minister, recruitment would be one of the broad objectives of SNCB in the years to come. Indeed, the railway undertaking must recruit no less than 290 train attendants in 2019, while it has just recruited 185 of them in 2018. According to its spokesman, in order to fill the gaps in this sector, the railway company is therefore thinking of reminding recently retired or about to be accompanied. Minister, can you confirm this information? Can you provide me with an update on the commitments made by SNCB, by year and since 2014? Can you estimate the overtime worked by current attendants, by year and since 2014? What are, by year and since 2014, the targets set in terms of the number of full-time equivalents to be achieved in order to meet the necessary framework of train attendants at SNCB? What is the number of full-time equivalents of attendants actually on duty, by year, between 2014 and 2019? How many retirees do you think you're going back to work? In advance, I thank you for your answers, which I imagine will also be communicated to me by paper.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u46	Dear colleague, the SNCB informs me that it is actually thinking of reminding recently retired train attendants. The number of officers will depend on the number of candidates. I do not have a negative a priori on this subject, since, as in 2015, the rules for joint consultation are respected and this is done on a voluntary basis. I will send the requested figures to you in the annex.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u47	Thank you, Minister. I'll see about it and come back to you if necessary.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u48	Mr Minister, for the first time on Tuesday 4 September, an autonomous shuttle bus interacting with other users travelled on the public road with passengers. This first was organized in Han-sur-Lesse by the Vias Institute and yourself, in the presence of the Prime Minister. Since then, a minibus has travelled about 500 metres without a driver on board. Starting on 4 October last, a similar shuttle to Braine-l-l-Alleud travels 2.4 kilometres, almost five times as far. It will run from the hillside of the Lion to the Hougoumont farm, an emblematic place of the Battle of Waterloo. This second test is even more ambitious and technically more difficult than the first because of the presence of bends, a rather large slope on part of the course and the narrowness of the roads taken. They are also regularly frequented by cyclists and pedestrians, as well as farmers travelling by tractor to the fields. The shuttle detects all these users and adapts its movements accordingly. It will slow down or stop if there is a risk of a collision. This is still a pretty impressive first. Minister, what is your assessment of these tests? What are the other steps planned? Have you ever drawn up a timetable? What is the cost of such a measure? How do you intend to overcome the legal and psychological problems - which we have already mentioned here - inherent in this type of technology? What will be the impact of the generalisation of autonomous bus shuttles on road safety, mobility and transport costs for users? Finally, how will GPS work in tunnels, buildings or if no satellite connection is possible? Thank you for the answers you will not fail to give me.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u49	Dear colleague, the tests resulted in zero accidents, with 2,500 people being transported. Technology has reached a very good level of maturity. Some tests remain to be done, especially during degraded weather conditions: snow, heavy rains, large frost, etc. Currently, an attendant is in the shuttle to regain control of the vehicle in case of a problem. In the long run, the goal is that the attendant is no longer in the shuttle, but in a room from which he will be able to control more shuttles. The project is financed by the agreement between the SPF Mobility and Transport and Vias. The budget for the whole project is 170,000 euros and includes the rental of the two shuttles, the configuration of the shuttles, the operator with permit D present in the shuttles and the cost of managing the project. At the legal level, it is difficult to answer at present because many issues need to be resolved at European level. The SPF will participate in the discussions on this subject. At the psychological level, the technology was well perceived by the people who tested the vehicle. The presence of an attendant also tends to reassure people. No conflicts were observed with other users. Thanks to good preparation, information to the citizens and good signage, we can say that the project has been well accepted. Vias is in the process of stripping the evaluation questionnaires and the results will be available at the beginning of 2019. In the future, people should get used to this type of vehicle thanks to the generalization of these vehicles. In terms of road safety, we can estimate that the impact will be positive. Perception technologies allow the shuttle to detect dangerous situations and its reaction time is really very short. In terms of mobility, these shuttles are primarily a complement to existing services and are intended primarily for a local service, the last mine. They will, for example, link a hospital to a station, which will increase the accessibility of public spaces to people with reduced mobility. The cost of transport has not been addressed. However the tests were done with the public transport service manager Keolis, which demonstrates the industry's interest in this solution and the existence of a business model. The vehicle uses the Global Navigation Satellite System (GNSS), the GPS plus Galileo, the Glonass and the LiDARS-lasers to position itself. The first category consists of external signals, the LiDARs. Detection is done from the vehicle to its environment. By merging these two types of data, we have a precise positioning of the vehicle. Without GNSS, when the shuttle passes through a tunnel, for example, the vehicle will then use its LiDARs. Thus, in Braine-l'Alleud, the location is made thanks to the LiDARs on part of the course because the GNSS coverage is degraded due to the trees. The board card is a 3D map of the environment and its accuracy is paramount.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u50	Minister, thank you for your comprehensive answers, which I will have the opportunity to analyse. I will not fail to return to you.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u51	According to the press, the proportion of accidents involving the offence of escape would increase. More than 4,200 accidents with killed or injured occurred last year with the aggravating circumstance that an offence of escape was committed, i.e. almost one case every two hours, according to the statistical analysis of the Vias Institute. Accidents of this type are down slightly from 10 years ago (- 5%), but the number of accidents in general has fallen much more sharply over the same period (- 22%). Today, therefore, there are proportionally more accidents with an offence of leakage than 10 years ago (11% instead of 9%). The phenomenon is of particular concern in Brussels, where the percentage exceeds 15%, compared with 11% in Flanders and 9% in Wallonia. Minister, have you drawn any conclusions by Region from this analysis of the Vias Institute? What urgent steps have you taken to address this problem? Is there any further amendment to the legislation? Thank you.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u52	Dear colleague, in the press release that gave rise to the press article, the Vias Institute is based on the most recent figures available, which date back to 2017. At the initiative of my colleague Koen Geens, the Minister of Justice, and myself, the Road Safety Improvement Bill was introduced in the House and came into force on February 15, 2018. This law has significantly increased the penalties for escape offences, especially for accidents with bodily injuries. The Regions were obviously consulted, in accordance with the association procedure, in the framework of a bill. Given that the Vias study cited could not take into account the latest legislative changes, the conclusions to be drawn are limited and we will have to wait until the figures for 2018 and 2019 are evaluated before considering new measures.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u53	Thank you, Minister.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u54	Minister, I still have a question about road safety. This is the signposting of zones 30 on the roads. This is a matter of great concern to our fellow citizens. Among the priorities of our people are cleanliness and security. In safety, road safety is often referred to. According to a new survey by the Vias Institute, published recently, more than one in four Belgians now live in an area of 30 and 85% of them are satisfied, mainly for reasons related to road safety and the limitation of noise pollution. In fact, six out of ten Belgians are also in favour of placing all the city centres in zone 30, provided they leave the main axes at 50 or 70 km/h. Nearly six out of ten Belgians believe, however, that zones 30 are generally poorly reported. This survey was carried out on the occasion of the 30th anniversary of the introduction of the concept of zone 30 into the Highway Code. The first 30 zones were established in Uccle and Oupeye (Liège). On the basis of this information, what is your analysis of these figures? Will these results lead to concrete actions, projects or political initiatives? I know that jurisdiction is regional and also communal. However, do you intend to take measures or initiatives at the federal level to promote better road signs for zones 30?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u55	Mr Kir, zones 30 have been included in the Road Traffic Code for 30 years and are still an effective means of developing roads where the cohabitation of vulnerable users and motorized users is a less accidental source than on roads where the authorized speed is higher. However, in terms of speed limitation on non-autorotational tracks, the Regions are responsible exclusively for the installation of zones 30 and the signalling. I therefore invite you to contact them for their analysis of the file.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u56	Minister, in cooperation with the Regions, are these subjects attracting the attention of the various parties? Did you discuss it with them?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u57	No, we're based on the Road Traffic Code. Secondly, the Regions have full autonomy in this area. In any case, they did not provide us with an analysis of this.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u58	Minister, thank you very much.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u59	Last year, 10 road accidents were recorded every day in which a child under the age of 15 was injured or killed. Accidents involving children occur mainly at the beginning and end of school hours and in almost half of cases they are young pedestrians or cyclists. The largest number of victims is between 11 and 14 years of age. These figures are the result of a new report on children in traffic published by the Vias Institute on the occasion of the return to school. Minister, you have certainly read these figures. What conclusions do you draw? What measures do you intend to take to protect our children and minimize the danger?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u60	Dear colleague, I have read the statistics and conclusions of Vias' thematic report on children with great interest. It is clear from this that the risk of being involved in an accident is much higher for the category of users between the ages of 6 and 14, particularly as a pedestrian but especially as a cyclist. This is due to several reasons. At this age cognitive and physical development is more limited than for adults. Let us mention their shorter concentration periods, an even less developed perception of risks, a difficulty in dealing with a greater amount of information, a sense of limited perspective, their small stature which also makes them more sensitive. The study clearly shows that young cyclists from 11 years of age are a very high risk group. The recommendations of the study on improving child safety relate mainly to road education, awareness-raising and road infrastructure. It is the Regions, which are responsible for these matters, which are mainly concerned. Recently, during the campaign "I go out, I shine" of the SPF Economy relative to the visibility of cyclists and users of travel vehicles and conducted in collaboration with the SPF Mobility and Transport, the rules and advice on lighting and visibility were recalled. The federal government does not intend to adopt binding rules, but in particular encourages the importance of seasonal awareness campaigns conducted by the Regions on this subject. I actively support the development of the various vehicle technologies that will lead to greater protection for children and weak users in general, such as ISA (Intelligence Speed Adaptation), radar detection systems or automatic braking systems. With regard to the development of new vehicle-related technologies, my administration participates in the working group dealing with the regulation and details of the application of these new technologies at both the UNECE and European level.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u61	Minister, thank you for this very comprehensive explanation.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u62	Minister, according to the Vias Institute, the proportion of people wearing their seat belts in our country has never been higher: 95% in the front and 86% in the rear. On the other hand, the belt is much less successful with commercial vehicle drivers, with only 85% of them fastening. Over the past three years, the increase in the wearing of the belt has prevented more than 40 people from being killed or seriously injured on our roads. Thus, on the occasion of the World Day of Remembrance of Road Victims, established in 2005 by the United Nations, the third Sunday of November in many countries on all continents, it is important to remember that users can also be actors of their own safety. Minister, this is good news. This is in the right direction and I am delighted about it. What is your analysis of these results? What do you think? Is the number of road accidents involving drivers of commercial vehicles increasing or decreasing since 2014? What factors explain these developments? Could you provide us with the number of reports to drivers and passengers for the non-belting?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u63	Ladies and gentlemen, the rate of seat belt wear is increasing, which is a good development. It is clear that the 95% front seat belt, 86% rear seat belt and 81% commercial vehicles still leave room for improvement. As I have already mentioned in the answers to other questions on the same subject, I am relying on additional controls as well as on prevention campaigns to raise awareness of the wearing of seat belts. Road safety awareness campaigns are the responsibility of the Regions. However, in the future, we will communicate more clearly on the subject through messages attached to the minutes. At the back of the minutes you will receive will include recommendations that relate to the purpose of the offence you have committed. The number of accidents involving commercial vehicles is not taken into account separately. However, I can provide you with the number of accidents involving vans, which make up the majority of commercial vehicles. Following the latest road safety barometer Vias, the number of personal accidents involving at least one van in the territory of the kingdom decreased slightly: 1,800 accidents in the first half of 2014 compared to 1,763 accidents in the first half of 2018. It is very difficult to provide you with a unique explanation for such a limited evolution. In 2017, the number of offences reported by the police for the non-wearing of the belt and the non-use of child seats amounted to 59,978.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u64	Minister, thank you for that very specific answer.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u65	Minister, in July, the Vias Institute told us that last year, 16 accidents with killed or injured involved a phantom driver on the highway. This is more than in 2016, where there were 11 accidents, and it is even the highest number since 2009. Accidents involving a phantom driver account for only 0.35% of all highway accidents, but account for 3.5% of motorway deaths. These accidents are therefore really very dangerous, they are ten times more serious than all motor vehicle accidents. Over the past ten years, we have deplored 265 victims in total in 123 accidents involving a ghost driver, 41 of them killed and 224 injured. According to Vias, there is an average of one death every three accidents with a phantom driver. This one loses his life in one in five accidents. Therefore, Minister, I would like to ask you whether you intend to take further action on this issue. What are the penalties for the perpetrators? Do you think they have a sufficiently binding effect? Thank you, Minister, for your answers.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u66	Colleagues, as I mentioned in a previous question on the same subject, Question No 17379 of 20 March 2017, the general measures aimed at preventing drivers from taking counter-way motorways and the solutions to combat phantom drivers are mainly infrastructural: design and construction of exits, lighting, special signalling, marking on the ground. These are regional competences. Moreover, the immediate dissemination of information is of great importance. It can take place either by radio control, by interrupting other broadcasts from national or local channels, or by GPS or other systems, such as Coyote, which also show a message on the display in the vehicle. Both infrastructure equipment and road information centres, in collaboration with the police, are regional. Driving counter-sense on a highway is severely punished. This is a fourth-degree offence. To date, a fine of 40 to 500 euros, to be multiplied by 8 for the additional decimes, i.e. a fine of 320 to 4,000 euros, may be imposed by the judge, who may also impose a disqualification of the right to drive a motor vehicle for a period of not less than eight days to five years. In the event of recidivism, fines are doubled. These penalties obviously have a binding effect. For radio-guides, it should be noted that only in Wallonia do automatic signaling occur when information is given by a telephone operator or otherwise. The Perex Center, in collaboration with the police, reports it. Fifteen days ago, over a weekend, two ghost vehicles were immediately isolated and hunted by the police. Accidents have been avoided. But in Flanders, this type of agreement does not exist. There was an accident. There was a phantom vehicle, but it was impossible to report it.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u67	Is this also the case in Brussels?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u68	I don't know if an agreement exists. These are regional agreements.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u69	Debates of the European Parliament Mr Geerts has converted 27816 into a written question.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u70	Mr Minister, the weather is mild at the moment, but last year the snowfall on 11 December created an absolute traffic record. According to Touring Mobilis, there were 1 280 kilometers of traffic traffic. What has remained with me from then on is the debate on whether or not winter tyres are mandatory. There were different views about that. Professor Johan De Mol of the Institute for Sustainable Mobility of Ghent University then worked in a radio program for a requirement of winter tyres for professional vehicles, trucks, vans and buses. Your reaction to this was that you would look at it and that you were actually in favour of it. However, a further study would be carried out on its implementation. Other mobility organisations, such as Touring and VAB, were not in favour of an obligation, but rather for voluntary engagement and campaigns in this area. A study by the BIVV concluded in 2013 that winter tyres are useful in extreme weather, but have only a limited impact on the number of injuries or injuries. Moreover, accidents on snowy surfaces cannot only be attributed to the tyres, the conclusion was in 2013. After the file record of 11 December last year, you communicated about another study on making winter tyres compulsory for professional vehicles. Is this study already there, by whom was it carried out and what were the conclusions?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u71	Mr Geerts, no studies have yet been carried out on winter tyres on professional vehicles. First of all, it is extremely important that car drivers adapt their driving behaviour to the weather conditions by reducing the speed of driving and respecting the required safety distance. Vias' study mentioned in your question showed that the installation of winter tyres has only a limited impact on the number of injuries, as most injuries occur on dry surfaces. Moreover, accidents on snowy surfaces are not only due to tyres. An inappropriate speed, non-respect of safety distance and driving under the influence of alcohol can also cause an accident. In the case of freezing rain, no band is efficient. Winter tyres are therefore not mandatory, all the more so because their impact on injury accidents is limited. Also, accidents on snowy surfaces cannot be attributed solely to tyres.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u72	Thank you, Minister, for the answer. I only asked the question because it was unclear to me whether there was an investigation or not.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u73	We come to Question No 27823 by Mr Benoit Hellings. He's not here. We shall therefore turn to the next item on the agenda.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u74	Mr President, Minister, I already asked you a question in 2016 about the faulty escalator of the Ghent-Dampoort station. I refer to Question No 14445. It was also the only escalator in the station. Not everyone is equally mobile and we clearly cannot ask everyone to take the elevator to and from the platform. You replied that, according to the maintenance contract with the firm, maintenance must take place at least six times a year, that the firm cannot quickly get to the necessary parts - the stairs are 40 years old - and that a purchase file had been started for the purchase of a new escalator. At the Ghent-Dampoort station, 5 000 commuters take the train every day. That's not nothing. Ghent-Dampoort is Ghent's second station and Ghent-Dampoort also gets a good score in the ranking in Flanders. This answer dates from two years ago. Meanwhile, the stairs haven't worked in months. I often take the train from Ghent-Dampoort. This morning I got on the train again and I saw that there is a gate in front of the escalator, with the message 'Temporarily out of service'. I think the term temporary means permanent. The rest of the service is also inadequate. Ghent-Dampoort is however an important station. You know that travellers have never been so dissatisfied with the service provided by SNCB. I do not think this staggering situation will benefit the satisfaction of the train passengers in Ghent. Mr Minister, I have the following questions. First of all, how many controls and maintenances at the escalator in Gent-Dampoort were carried out by the company in 2015, 2016, 2017 and 2018 until today? Secondly, what is the state of play with regard to the purchase file of a new escalator? When will it finally be installed? What's the cost? Which firm is buying it from? Can you also explain the tender and the planned maintenance contract? Thirdly and here I come to the fundamental question, Minister. What is your position on the service that should be provided in Ghent-Dampoort on weekdays and on weekends?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u75	Ladies and gentlemen, SNCB informs me that there is a maintenance contract with the company KONE NV, in order to fully respect our legal obligations. The contract provides for four statutory audits per year and six preventive maintenances per year. The replacement of the escalator in Gent-Dampoort is provided for in the framework agreement as a matter of priority. The government contract is ongoing. In the current timing, the replacement of the escalator will take place in the first half of 2020. The cutlery is in format. The tender request is scheduled for spring 2019, the order in autumn 2019 and the placing in service in autumn 2020. There's a 20-year maintenance contract attached to it. Meanwhile, a repair of the broken stair steps, which are 40 years old and need to be custom made, is planned in early January 2019. In addition to the renovation of the escalator, an adjustment of the lighting and the improvement of the quality of the bicycle storage are also planned. SNCB adds that the performance of the substation chiefs at Gent-Dampoort remains unchanged on weekdays between 6 a.m. and 22 a.m. During the weekends these performances are no longer established and the supervision of the Ghent-Dampoort station is regulated from the Ghent-Sint-Pieters station. First of all, during each performance on Saturdays and Sundays, the permanence of Ghent-Sint-Pieters and a Securail team carry out check rounds at regular intervals. In addition, the Gent-Dampoort station has an extensive camera network that is constantly monitored. The number and guidance of persons with reduced mobility is coordinated from Ghent-Sint-Pieters, both on weekdays and Saturdays, Sundays and public holidays and is done by the B For You team of Gent-Sint-Pieters.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u76	Thank you, Minister, for your answer and for the figures. In general, I would like to make the following point. If SNCB wants to encourage people to use public transport, in this case the train, SNCB must continue to invest in stations. Ghent-Dampoort is no exception. The problems have already been raised several times here and are known to SNCB. For me, it is impossible for SNCB to allow such a simple escalator to function. I am pleased that you are now proposing a replacement for 2020-2021. I am pleased that in the short term, in January, the current escalator will be operational again after a maintenance operation. I really do think it is a bad signal, Minister, that this has been kept going for a long time and that this has left the travellers who need the escalator in the cold. I haven't talked about the very missed waiting room, you really should check it out. In winter, people can't even warm up there. My final remark. This station is an important station and deserves all the attention of SNCB and of you. The signals we have received from you so far sounded as if Ghent-Dampoort had come to an end. That's not true. I hope you will pass that message on to SNCB, because this is really not acceptable. This is not a service to passengers and commuters.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u77	I would like to thank my colleague Emir Kir for replacing me.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u78	Madam President, Minister, today the newspapers are full of a different theme. Last week, there was a lot of news in the newspapers about SNCB, particularly the satisfaction survey. It is good to consider this in this house too, because, as the previous speaker said, the satisfaction survey showed that only 61 percent of customers are satisfied. There is dissatisfaction about the punctuality and prices of the tickets. What may also be mentioned is that the train crew, the train escorts and the window staff scored well. We have always said that there is something very wrong with mobility policy when, as in our country, a subsidy of 4 billion is granted for commercial vehicles and a saving of 3 billion or 2.1 billion or 1.2 billion is made, I am not going to reopen that debate with public companies such as SNCB and Infrabel. That's why I have the following questions. SNCB recognizes the historically low punctuality and hits mea culpa. What will be done? In an interview with the press, the railway operator said that the saving policy is detrimental to the service. Do you and the government recognize that, too? When drawing up the management contract, will you take into account the new figures of the satisfaction survey and draw particular attention to the affordability of tickets and punctuality? Last week, in your policy paper, you spoke of an ambitious modal shift of passenger transport by rail from 8% to 15%. How do you propose to put that into practice in the current context? What fundamental changes do you think are needed to achieve this? This is an objective which I fully support.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u79	Mr. Minister, you have certainly seen the satisfaction survey of 4,400 SNCB travellers. The result is frightening but is consistent with the reality of the figures. Of the thirteen parameters measured, all showed a decreasing score. Punctuality is of course denounced by travellers, whose level of satisfaction drops by 20% compared to 2016. Satisfaction is not the only indicator in decline, information to travellers is also pinned. However, just like punctuality, your predecessor, yourself and your government as a whole had made this indicator a top priority at the beginning of the legislature. This study has at least had the advantage of showing the attachment of travellers to the attendants. Indeed, despite the difficulties of the trade, their work remains widely appreciated and I hope that this element will put an end to the ambitions of those who want to see this profession abolished. This study is therefore a major disavowal of your government's rail policy. It is the clear result of the savings achieved by the abolition of posts imposed on SNCB. For the small story, you may have noticed that the only company that improves its satisfaction results with its users, namely STIB, is the one that precisely increases its investments. So, Minister, how do you explain these bad results? What is your assessment of the policy that you are currently pursuing? Do you believe that the savings imposed on rail have had an effect on passenger satisfaction? How do you think the SNCB could straighten the bar when no additional means are given to it?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u80	Dear colleague, I refer you to the question in plenary on 29 November. I would like to recall two points. Firstly, I would like Mr Geerts and Mrs Grovonius to leave the budget and accounts of SNCB and Infrabel to prove that the current government has achieved 3 billion savings. This government has saved $1.2 billion. The previous government had achieved 1 billion. While it achieved 1.2 billion savings, it also made one billion investments, bringing the investment budget from 4.3 billion to 5.3 billion. All right? I ask you, for the sake of accuracy, to provide me with proof that there have been savings of $3 billion compared to the formal decisions taken by the previous government. On January 23, you will receive the two CEOs and representatives of the companies to come and explain the punctuality. I confirmed it in plenary. I am not at all satisfied with the evolution of the quality criteria at SNCB. As I indicated in a response, I called the two boards of directors to tell them that the only priority that I have is to focus all actions around quality and service to clients and that all actions must be focused on the search for it. For a line that I know well and about which others have already asked me, it is important to know that punctuality is deteriorating for various reasons, we talked about it earlier. One of these in the Liège region was the theft of copper cables. It must be recognized that in many places there are slowdowns and other difficulties associated with massive investments that are in the process of being realized. This is particularly the case on lines 162, 96, 124 (and others). Infrabel made the choice of night work, which significantly increases costs. Night work is the one that least disturbs rail traffic. By day, however, there are disturbances on the single-track lines or on the tracks that are under work at night. Punctuality is degraded and there are lengthenings of travel times. I have asked the two companies to work together and, even if there are longer journey times, to respect the timetables that were announced prior to the work. I want them to present me, together, with a common vision of how things will unfold. I also observe that, on many issues, major investments have been reinvigorated. It is such investments that will make rail work tomorrow. In the meantime, I understand the lassitude of travellers because of the lengthening of travel times and the lack of punctuality. Travellers' dissatisfaction often stems from several related criteria. Thus, due to unsatisfactory punctuality, customers feel that the price is too high for the ticket they pay and the service that is rendered. I leave it to the two delegated administrators to outline the actions that companies will take internally at this level.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u81	Mr President, I think we have a fundamental difference of opinion on the figures. I take as my starting point the Galant strategic plan in which the various savings were repeated and linearly put forward. You are assuming a fixed contribution to the railway undertakings of about EUR 2 990 000. I note, however, that this is a linear figure from the beginning of the legislature, which was not adjusted to inflation, while expenditure, wages, equipment and so on were adjusted to inflation. Therefore, the savings are greater than the delta you bring forward. I also see a 3 % passenger growth. That is good, but the transport plan provided for a 5% increase in the offer. Operating costs are increasing and need to be indexed, but that has not happened. Any failure to adjust the rate to inflation rates is de facto a reduction in available resources. What I see now in connection with punctuality and customer satisfaction reminds me of the period when then Minister Herman De Croo was responsible for the railways. Then the punctuality was absolutely not good either. I can only conclude that the subsequent governments, of whatever colour, have had to make an additional effort in investments and operating grants. That is my fundamental criticism. I agree with you that tomorrow's growth must be seen today and that the necessary measures must be taken. What I blame this government for is that the necessary choices are not made, although one knows well, also on the basis of the figures of the Federal Planning Office, which investments are needed.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u82	Minister, thank you for these points of answer. We have already had the opportunity to hear from the CEOs on several occasions, as well as from other management and staff members of SNCB and Infrabel in our Infrastructure Committee. Since the beginning of the legislature, what I have heard, even if it is sometimes half-worded, is that we cannot ask companies to do better and more if we do not give them the means. However, the fact is that we do not give them these means. I find that it is a form of political cowardice to impute everything that is wrong with CEOs or companies, while from the beginning they sound the alarm saying that they will not be able to achieve the objectives you set for us and that there will be no efficient rail without the ad hoc means. I am a little appalled by this form of political cowardice. I don't think the CEOs will tell us anything else in a few weeks. We'll see. We can't bleed stones. It is impossible to ask companies to do a good job if we do not give them the human and financial means.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u83	Minister, we are not going to have a debate. The last word is for Parliament. There was a discussion on the budget. Members do not have to agree with you. The real debate will take place in January.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u84	Madam President, I will be very brief. Mr Minister, the concept of fume event was absolutely unknown to me. When changing the engine oil, contaminated or toxic air from the engines may enter the aeroplane cabin. This causes nausea, headache and confusion, an aerotoxic syndrome, which can have a long-term effect on health. I'm asking you the following questions as an absolute seemed. Has that happened more than once? Is this what all the airlines have to do with this? Is there a mandatory notification for this purpose, so that the data is collected? Apparently, a meeting of the Well-being Committee at Brussels Airlines would also be devoted to such events. Is there any more clarity about the causes? How can pilots best be protected? What measures are planned? Are there best practices among other airlines? Are aircraft manufacturers being called on the mat for this? I have also noted that in the United Kingdom the Department of Transport has carried out a study to investigate long-term health problems through fume events. Will you take a similar initiative with Minister De Block?
