ParlaMint-BE_2018-07-10-54-commissie-ic947x.u1	Question No 25121 by Mr Emir Kir is transformed into a written question.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u36	Minister, following our June 20 exchange on the INES 1 incident on June 7 at the Tihange 2 nuclear power plant, you told us that "you were really tired of it" that there was again a lack of a safety culture. In the meantime, you announced that ENGIE-Electrabel's management would be convened again. I come back to you to find out how this meeting took place, what was exchanged there, the commitments that were made and the conclusions that you draw from it. How does ENGIE justify what happened and this new lack of a safety culture? What have they decided to put in place so that this will not happen again? What do you get from all this?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u37	Mr. Nollet, on July 4, I received Electrabel's CEO and the NOC (Chief Nuclear Officer) from my office and asked them about the various incidents of the past few weeks related to the safety culture. I also asked them how the action plan for the safety culture was moving forward. Indeed, they had spoken of an action plan before. They told me that the action plan was coming to an end, but that the effect of the actions was of course not instantaneous. Changing a safety culture does not occur from day to day. However, they acknowledged that there was still work to be done after the action plan. Major changes have taken place in management. They have organized thousands of hours of training. The procedures have been adjusted. They said that they had noticed that a reversal of the situation had begun, but that not everyone is where they would like to be. I indicated that it was also important for me that the safety culture should reach the highest level expected. We agreed that in the fall I would visit Tihange to encourage employees responsible for our safety day after day. Apart from our different political views on nuclear energy, I think you agree with me that these people are doing a very important job. I hope to contribute to awareness; that is my commitment. After all, professional pride and precision go hand in hand. I think Electrabel's management is serious about this, but things take time. Influencing everyone's behavior in the chain is a challenge. I offered to participate in this myself and we will proceed immediately, for example in September.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u38	Fortunately, management is aware of the problem and the issue. The opposite would have been disturbing. I appreciate your way of presenting things and getting involved. We've been to Tihange before, remember? This time, you'll go with a message for all staff. Each of its members is doing a very important job. My understanding of the country's energy future is nothing in relation to this issue. This is another debate. But as long as nuclear power works, it must be as secure as possible. From this point of view, the deviations encountered in recent times are worrying. I find it difficult to accept the excuse for the time it takes. Because they knew it when they put their plan in place. To say, when this action plan is over, that it takes longer than expected means that the evaluation of what was to be put in place was not good either. There, responsibility is not individual, but collective. We used to say, "It's gonna pass, it's gonna be better." No, I don't! So yes, we need the minister, including to deliver the right messages on site and motivate the teams. We need to be careful about these things. We don't just have to punish. But if it's the minister's job, it's mostly that of the hierarchy. From this point of view, the gap between what was expected and what has been achieved means that you will have to keep paying attention because we are still far from being in a situation without incidents related to what we have already experienced in terms of a safety culture.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u39	Mr Nollet, after the completion of an action plan, comes the time for its implementation on the ground. These are two distinct phases. The results come later. I give an example: when one gives a course every month, one starts an action on a school year and the result is collected later.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u40	Minister, I agree. The fact is that we cannot afford to wait ten years until the actions are actually implemented. In ten years, these plants will be closed.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u41	Minister, we know that the concrete (and concrete reinforcement) of the ultimate rescue buildings of the Doel 3 and Tihange 3 reactors is failing. Tests are planned to see what's going on with Tihange 2 and Doel 4. But what about the concrete of buildings that accommodate spent fuel pools? Has a concrete quality test already been performed? If so, what are the results of these tests for each of the pools concerned? If not, when are these tests planned?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u42	Mr Nollet, the condition of the concrete structures in the buildings hosting the fuel pools is regularly monitored by the operator. This control is part of the normal maintenance and inspection programme for buildings performing a safety function as prescribed by the nuclear facilities regulations. As I have already explained to you in the answers to previous questions, the problems found at Doel 3 and Tihange 3, in the premises where the exhaust valve outlet nozzles are located, are due to the particular ambient conditions of these premises, namely the heat and the presence of wet vapours. As these environmental conditions cannot occur in buildings hosting fuel pools, no additional specific tests were imposed or planned for these buildings following the discovery of problems on Doel 3 and Tihange 3 units. Indeed, the circumstances are quite different.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u43	Minister, I take note of your answer and therefore of the fact that, according to you and, above all, according to AFCN, there is no risk in this matter.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u44	Minister, this is my last question for today and for this legislative year. It concerns the serious sabotage suffered by Doel 4 in August 2014. In a few days we will "feel" the four years of this serious incident. As I do every year, I want to take stock with you, which I also do with the Minister of Justice. Minister, what is the status of the investigation? Are the author(s) finally known? Have the measures in place been evaluated? If so, what did this evaluation give? If not, is it not appropriate now to take some time to evaluate these measures? Have the measures put in place been adjusted in the past year? If so, what adjustment? Finally, how do you analyze this delicate situation of a functioning power plant, when the authors are still unknown and at large?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u45	Mr Nollet, as regards the progress of the investigation, I refer you to the Minister of Justice, who is responsible for the matter. As I have already told you, the operators have taken additional steps to prevent such an event from happening again. These measures were then evaluated and will also be evaluated in the future through an inspection program. The measures are assessed and adjusted according to the situation on the ground, but also according to the evolution of the threats and problems identified. However, I cannot provide you with additional information for obvious reasons of confidentiality. In this case, as part of its mission to protect the population, the environment and workers from the dangers of ionizing radiation, the role of the AFCN is to prevent such an event from occurring. Nothing new at this level.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u46	Minister, they usually say, "No news, good news." In this case, unfortunately, I do not believe that this is the case, since four years later, the perpetrator(s) and the motive for this sabotage are still unknown. It's a matter of concern. This took place at a nuclear power plant. I will, as you suggest, also question your colleague the Minister of Justice. Nevertheless, admit with me that four years later, still not knowing anything, it is not the most reassuring! Thank you.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u47	Debates of the European Parliament Mr Van der Maelen has converted 26559 into a written question.
