ParlaMint-BE_2018-02-07-54-commissie-ic816x.u1	Debates of the European Parliament 21000 by Mrs Caprasse will be converted into a written question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u60	Madam President, Mr Terwingen, the contracts between the projects of the Insurance Committee and the Insurance Committee of the RIZIV run until 31 August 2018. On 15 January 2018, the Insurance Committee was able to take note of the final report of the scientific team and the recommendations proposed by this team. In the meantime, I have also taken note of the study that reports on the impact of interventions in vulnerable elderly people, namely case management, ergotherapy and psychological support. The investigation was conducted at aggregated level and does not make individual statements per project. The scientific evaluation is therefore carried out at an aggregated transversal level. The evaluations of the RIZIV you are reviewing are another matter. This concerns the individual administrative follow-up of the convention by the competent department of the RIZIV. It is simply a question of whether or not the agreement has been properly respected and whether or not there is reason to stop. You confuse the evaluation with the evaluation of the added value at the scientific level of the quality of care. I felt that there were insufficient elements to answer the essential question as to which project produces the most health benefits at the best cost-efficiency. After all, there were quite a few differences between the projects. I have therefore instructed my services to provide these additional elements by the end of March 2018 at the latest, in order to determine the conditions under which certain projects can be continued. My intention is to clarify the projects by then. After all, it is important for people to know if they can continue this work after October 2018. It is also important for the people who call on it, because there are people who, for example, can stay in their homes for longer thanks to these projects. It is also important to provide the opportunity to ensure the continuity of what seems to be valuable interventions in relation to patients who are using them today. If the patient can only stay in his home thanks to the fact that someone from such a project still comes by at night or at night to give certain concerns, then there would be a lot of consequences, should that project suddenly disappear. Patients would no longer be able to stay in their homes, but would not be able to go elsewhere immediately if they wanted to. So we have to be careful about this. On the other hand, some projects give a good picture of how much longer people can continue to work independently thanks to this aid. In other projects, much less attention was paid to this. That is why we will look further at the additional elements that we have requested.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u61	Madam Secretary, measuring is knowing. This must be looked at rationally, and I fully agree with it, perhaps even as a lawyer rather than as a member of this committee. On the other hand, you yourself stress the importance of these different projects. If this is the way to help senior citizens and avoid other initiatives such as residential residences, then this must be used. It is to your credit, Madam Secretary, that you will request further information on this matter and then re-evaluate it. I suppose we will hear more about this in March or April 2018. I will then possibly ask a follow-up question about the state of play and to know what information you will have to decide which projects are valuable and can count on your further support.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u62	Madam Secretary, to my most recent question on the combination of hospital and home care, Question No 16646, you replied that there would be a register of healthcare professionals in the course of 2017. That land register would be linked to the activity data of the RIZIV and the RSZ, in order to get a current dynamic picture of, among other things, the number of nurses working in this country. This would give us a better view of our needs and would allow us to better adapt the supply to them. Today we have really guessed about that, because there are no reliable figures available. There are now projects started at the doctors and dentists. What about the continuation of this? When can we expect the dynamic register of nurses?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u63	Mrs Van Camp, within the Public Health Office, a data link is indeed being prepared to map the activity of the recognised healthcare professionals. Since 2011, several occupational groups have been analysed in this way. The final reports of these PlanCad data links can be consulted on the Planning Committee's website. A renewed procedure was agreed with the representatives of the Datawarehouse Labour Market and Social Protection in the course of 2017. Such a procedure should allow the simultaneous application of data to data providers for multiple professions, thus reducing the administrative workload. The dossier in question was submitted to the Sectoral Committee of Social Security and Health at the beginning of July 2017 and was examined by that Committee at its meeting of 7 November 2017. At present we are at the stage of drawing up the research contract, at the Crossroads Bank of Social Security. The reception of the first data is expected for this semester, so before the summer. In the course of 2018, the analyses will be carried out and the report for nursing will be prepared.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u64	Thank you for your answer.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u65	Madam President, Minister, last year I tabled a legislative proposal on behalf of my group to automatically extend and grant the GMD grant. The subsequent hearings highlighted the importance of monitoring cost-effectiveness and efficiency. The committee has already received estimates of the costs of the GMD, but it is also important that we should be able to take into account what we get in place, what are the benefits. We understand that the cabinet would draw up a cost-benefit study to see what the return on investment of GMDs is. For example, whether GMD holders reduce costs in terms of double studies, second line costs, follow-up and so on. A study on the cost of the GMD is already available, but as far as I know there is no real effectiveness or cost-benefit study yet. My question is therefore what is the position and when we can expect the results of this.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u66	Madam President, Mrs Van Camp, the completion of a cost-efficiency study of the GMD is only possible if patients' diagnoses are available. The picture that exists in the hospital environment, with invoicing data linked to medical data, is essential in this information to compare the diagnosis................................................................................................................................................................................................................................................. These data are not available at the RIZIV as they are not reported to the RIZIV. In September 2017, a discussion took place in the Sectoral Committee of Social Security and Health, where for the first time the link between invoicing data of the mutualities and the medical data of the INTEGO database was allowed. The INTEGO database, in which coded personal data relating to health have been registered since 1995, will become the Disease Database. This link offers new perspectives whose validity has yet to be assessed. However, a study, carried out by the Medical Evaluation and Control Service of the RIZIV, presented to the National Commission on Doctors-Sickness Funds on 30 June 2017, showed that the aim of centralising the patient's relevant information is only partially realised. The efforts to monitor the completeness of the GMD and the mandatory registration of certain parameters for the patient's follow-up are certainly worthwhile. For this reason, the National Agreement on Doctors-Sickness Funds for 2018 and 2019 included the GMD in one of the seven principles. The actions were included under point 4.1.1. The information contained in a GMD file is not always adequate.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u67	I am always surprised how little data we actually have, for example on diagnostics, is very important to follow up on issues such as consumer trends. I think that we are lagging behind the Scandinavian countries, for example. We just got back from a work visit in Sweden, where they do have those databases. The speaker after the speaker confirmed the added value of this. It is a pity that we do not have it and that we are investing in a GMD without being able to follow it up.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u68	The encryption has been a tricky point for a long time. That's what I've been hearing here for years. The GMD will be shut down, but the encryption will not be done enough. The data contained in the GMD are not accurate enough. That is what we are trying to impose now, for example with the telematics premium, to charge the SUMEHR so that they are in the GMD. We have come a long way, but it is not the case that there is no attention to this, because that is what is in all the agreements. This is also linked to the provision of these telematics premiums. It's not enough that the patient has a GMD, it has to be a full GMD. If the patient will be able to see his GMD through the Patient Health Viewer, he will also notice if his doctor has charged enough information. The patient will be able to see if a SUMEHR is charged. That will also be a great step forward. People will get a message after a doctor's visit if anything changes the file. They will then be able to check what changes have been made. That is probably the diagnosis of their last consultation or the incoming results of investigations that took place at that time. It is very important that we involve the patient in this story, because ultimately the added value lies in the health of the patient. People who care about their health will want to go to a doctor who stores the data well so that they can be used elsewhere, for example in a hospitalization.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u69	If I understand correctly, if the data are recorded better, we will only have diagnostic data from patients with a GMD, so it is not yet possible to distinguish or, for example, to conduct a cost-effectiveness study to compare patients who have a GMD and patients who do not have a GMD. That's what I'm worried about. At the committee meeting on big data, I heard that a pilot project had been announced on this subject in order to better collect the data. This, combined with the measures to improve the collection of data on the GMD, may produce the necessary results.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u70	These pilot projects are being carried out within the framework of the eHealth platform and we are already very advanced. However, you were one of the few present at the beginning of the parliamentary term. There were a lot of Indian stories about this in the committee itself. Maybe we'll have to invite a Swede to come and explain.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u71	That had happened, that was also one of our speakers.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u72	This is the whole difficulty: a system built from the start with all the actors or a system built sometimes without them. In my opinion, it is sometimes the problem of joining the project.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u73	Madam Secretary, I hear more and more from healthcare professionals, not only doctors but also paramedics, that patients make an appointment, but do not show up without warning. The medical sector talks about one in twenty and a loss of income from one hundred to two hundred and fifty euros a week. A doctor may ask for compensation if a patient fails to comply with his appointment without warning, but only 7% of doctors do. Four out of ten doctors never charge compensation, for example because they do not consider it customer-friendly and there is also a natural market effect in the sector. Firstly, do you recognise the problem? Secondly, in addition to compensation, do you see a possible solution, for example through agreements with the sector to better regulate this?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u74	Mrs Van Camp, the current medical deontological code makes it perfectly possible for the doctor to ask the patient for reasonable compensation if he fails to comply with an appointment without warning. This is not only the case with doctors, but also with dentists and physicists. Whether or not compensation is sought must be decided by the doctor himself. Maybe he or she doesn't think it's advisable to do that because of his relationship with the patient, or rather. Since the possibility exists, the government does not have to impose a regulation. I've been there, too. If that happens once, one can decide that the patient may not get there. If patients systematically do not show up for appointments, it can be said that it must be the last time; if not, they will indeed pay for them. The danger is that people will never see these patients again, which may be a good thing. The doctor can decide for himself, it remains a liberal profession. I'm assuming one of them has more trouble than the other. The same applies to physicists and dentists; they decide for themselves whether and what they do about it. It is important that they have the possibility to request compensation for this, as well as the possibility of not giving an appointment next time. This is important: if the consultation is not urgent, a patient can be refused on the basis of these facts.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u75	Madam Minister, this is my written question No. 1175, which was submitted in October 2016. Since the deadline for reply has been well exceeded and I have not yet received an answer after a year, I exercise my right to put them here as an oral question. It deals with the vision for the reform of hospital funding, which you have just explained to us in Parliament. At that time, you stated that centralisation was rightly an important issue for you. This also applies to the laboratory practices of hospitals. I ask my question to gain a better understanding of the matter. How many hospitals in this country and how many of them have their own lab? I would like to get the total figures, broken down by country area, Flanders, Brussels and Wallonia. Can you, broken down by hospital with lab and hospital without your own lab, indicate what type of tests are being carried out and how many such tests are being carried out annually? Can I get an overview of the total cost of the labs, both of the operating costs and of the costs for the labs themselves? Is there a difference in cost for the same tests that take place in the hospital labs versus the tests that are outsourced, just focusing on the labs themselves? For which studies there may be a difference? Finally, do you have plans to centralize the laboratory functions of the hospitals more? What plans do you have in this regard? In what way do you intend to achieve them?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u76	Mrs Van Camp, the written questions will be forwarded directly to my services. However, both the FPS Public Health and the RIZIV cannot follow the pace of the questions. As you know, we are making a linear reduction in the number of employees in the administration. The number of staff who can be used for parliamentary questions is therefore limited. This is a very technical question. I'm defending my services. They really do their best, but they are simply over-questioned, given the number of incoming questions. Nevertheless, we have received an answer to your question. The services are always trying to provide good answers in terms of content and to give the figures you have asked for. The number of hospitals with their own labs, broken down by part of the country, is shown in the attached table. It concerns 62 hospitals in Flanders with 49 own labs; 14 hospitals in Brussels, of which 10 have their own labs and 39 hospitals in Wallonia, of which 32 have their own labs. I have here an Excel file with the expenses and the number of performances for clinical biology. These are broken down by group and sub-group of the nomenclature. It is also indicated whether or not the hospital has its own lab. The selected performance includes clinical biology, the N08, N47 and N60 of the nomenclature. So it's not about anatomopathology or genetic performance. It is also just the hospitalized patients, not the outpatient ones, in general hospitals. As regards the second point of your second question, the demand for an overview of the costs of the overall lab, both operating costs and laboratory tests, the RIZIV says that it does not have access to data on the costs of the labs. As for the third point of your second question, whether a laboratory analysis is carried out in a hospital lab or outsourced to another laboratory: the fee is the same, both for the RIZIV and for the patient. The clinical biologist is honored for the analysis or is paid a flat fee. If a lab subcontracts the tests, they must agree between themselves on the fee, but the total price of the test should not be higher. Neither the patient nor the health insurance has to pay more because a lab subcontracts the treatment of a test to another lab. As far as your third question is concerned, for molecular biology, laboratories must obtain ISO accreditation. There is only a limited number of labs that have obtained this accreditation and therefore carry out these tests. As far as next-generation sequencing panels are concerned, they are also genetic testing and testing of molecular biology. So here too, only a limited number of laboratories will be eligible to carry out these tests. For routine lab tests such as clotting and so on, there are no plans for centralization because they should actually be possible in any hospital. I'll get you the documents on this question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u77	Madam Minister, this question was my written question No. 1213 submitted in October 2016. She's almost a year and a half now and I haven't received an answer yet. This question is about hepatitis C. First of all, I would like to welcome the initiatives you have taken to treat hepatitis C. It is our continued commitment to freeing resources for new needs. This commitment has enabled these new needs to be met. Hepatitis C is a good example of this. The treatment plan is ambitious and yet realistic. As far as targeted screening is concerned, I do not think that we are putting the funds into full use today where they are needed. It seems to me to be more targeted, for example, to screen with a certain generation, for example, the baby boomers, while the current generalised screening of pregnant women is likely to pass its target, as they are not baby boomers. I actually have a hunch earlier and in order to gain more insight, I wanted to collect some figures on that. Is it true that pregnant women are systematically screened for hepatitis C? What other target groups are being systematically screened? Are men who have sex with men and drug users screened? Can you indicate how many people in this country are being screened for hepatitis C every year? I would like to get the numbers of the last five years, the total and broken down by state and by target group; the latter is, for example, about the number of pregnant women being screened. Can you indicate in how many cases the screening results in a confirmed positive result, both for the total and for the breakdown by target groups? This is in order to be able to assess the statement I made, namely that a lower number of positive results can be found in pregnant women today. How is it screened, with a blood sample or a saliva test? Can you give me numbers on that? Do you have any idea of the cost of the current screening, as is happening today? Do you have any plans to modify that screening? In your plan to treat hepatitis C, screening is an important puzzle piece. Will you bear the costs at the federal level? Or will you contact your state colleagues for this? How will the population understand that they can be screened to cure hepatitis C, even though many know that they are not infected, because that is actually in the measures?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u78	I get a lot of questions about prevention and also vaccination, while everyone knows that prevention is a matter for the Länder. Some people have missed a few state reforms here. We ourselves have no figures on how many early detections are organised. According to the information available to us, nothing is known about a population survey to organise early detection. For hepatitis C, we have indeed made the reimbursement possible, for stages 4, 3 and 2. It is also intended to do so before stages 1 and 0. Blood samples are taken in risk groups. There are also coincidental finds. Some people have not yet failed liver function but have been infected with hepatitis C. We are also trying to point out with the organisations on the ground, such as Sensoa, the importance of early testing, either by means of a self-test and referral, or by means of a thorough screening of risk behaviour, such as in men who have sex with men or drug users. This standard is tested in pregnant women and women with a child's wish. We do have information on this, although I am told that this is difficult to get out. These cases can be found in the Länder. We are also trying to make agreements with them on screening. Sometimes part of the costs, e.g. cervical screening, are also borne by the federal government. If something is being transferred, I would like it to be taken into account. I have always been a cool lover of the fact that only the preventive is transferred and not the curative, but it is necessary for it to happen. We will work with the resources we have for the transfer, but then everyone will have to take responsibility. I'm counting on my colleagues to do that.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u79	Madam Secretary, I agree. We'll have it questioned there.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u80	We now come to the question No. 21790 by Mrs Van Camp on the prescription on dust names.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u81	Madam President, I had already informed the secretariat that I had already received an answer, but that question was still on the agenda.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u82	The answer was sent to the Chamber on 20 December.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u83	For question No. 21792 about Rilatine is the same. I have also received that reply.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u84	Madam President, I do not know what needs to be done with Question No 5, by Mr von der Vring and others. Question No 22217, by Mrs Fonck: 23184 and 23190 by Mr Blanchart, who had been merged with them.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u85	I'll recap it. This was initially a written question, to which you did not get an answer. You then turned him into an oral question. But in the meantime, you have received an answer. This question therefore becomes moot.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u86	Madam President, there are still four questions on the agenda from me, originally written questions, which are already pending from about October 2016. That includes the question of back operations. Madam Minister, I have heard on the ground that the number of back operations is increasing enormously. With my question I wanted to ask you about figures in this respect. Can you provide figures on the number of back operations carried out annually over the past five years in total and broken down by Land? What kind of intervention is being carried out exactly? Do we know the indications for which the back operations are being carried out? Which is the age of the patients? Do we have an overview of the guidelines from the government? Are they monitored or monitored? Do we know anything about the success of these interventions? For example, how many people need multiple interventions? How many people have been permanently relieved of their back pain after surgery? Finally, what budget is spent annually on back operations, in total and broken down by Land?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u87	Madam President, Mrs Van Camp, this question too is very technical, but I will give you the many figures. The figures are from the year 2012. The number of back operations per year was 31 333. In 2016 there were 31 352. So there is no huge increase, not even in the Länder. In Flanders, the number of back operations has even decreased slightly, i.e. 500 less in 2016, but the numbers are about the same. The interventions can be found in Article 14 (k) of the Nomenclature and will be followed up in the periodic audit of the RIZIV and in the quarterly analysis of the expenditure and cases. It's about back surgery and the distinction between surgery with or without vertebral fusion per year. I also have a table of figures. In 2012 the total was 31 333 and in 2016 the total was 31 352, i.e. no increase, quod non. In the number of operations without vertebral fusion there is a slight increase and in the number with vertebral fusion a slight decrease over those six years. Now I come to the number of back operations per age group in the last five years. In total, there are some 31 000 operations in 2012 and some 31 000 in 2016. There are hardly any fluctuations. You can read the figures in the table I'm handing you. The first age group is 0 to 4 years and the last is 95+. In May 2017, the Knowledge Centre updated the clinical guideline on low back pain and radicular pain, based on the latest scientific evidence. Afterwards, the Knowledge Centre published the so-called Care Path for Low Back Pain, in collaboration with the various healthcare disciplines and patients. An interactive tool was also developed. This care path determines on a case-by-case basis and per patient how the complaints are best dealt with. It proposes which studies to perform, and when and what is the best treatment. The nomenclature of back operations is still in the process of being revised. The operating technique used will be the starting point for the delivery. A link is also made with the registration of the indication leading to back surgery. An analysis in preparation of the new nomenclature, carried out on the data for the period 2007-2010, found that for the operations with vertebral fusion there were redodophysics in 18,78 % of the cases and for those without fusion in 18,96 %. The registry of patient-reported outcome measures, which will soon start as a pilot, will provide a better answer in the future. It measures how the patient's quality of life has changed before and after back surgery. I then come to the annual amount, refunded for back operations per state. For Brussels, EUR 1.2 million, EUR 13 million for Flanders and EUR 6 million for Wallonia. There is also a group of 'Missing', which cannot be brought home and which amounts to EUR 108 000. You will find these figures in the table I will give you.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u88	Madam Secretary, thank you for the answer. I'll take a look at this.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u89	The annexes will be communicated to the secretariat of the Commission.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u90	This is a more detailed answer, by age category.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u91	So there is an annex and figures for this question and also for the ziekenhuislabo's. The secretariat will make this additional information available to all on the Committee's extranet.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u92	Madam Minister, again this is a written question from October 2016, in this case about cholesterol lowering. There is still very often the use of medicines in the event of cholesterol problems rather than addressing the causes. What are the exact conditions for the refund of a cholesterol reduction? For the past five years, for the total and split by state, can you give an overview of the use of cholesterol inhibitors? What are the most prescribed and refunded types? Can you indicate the total number of DDDs and packages sold? What are the most prescribed species and brands? What are the total expenditure on cholesterol reductions? What is your opinion on the evolution of the use of cholesterol lowering agents? Are there any policy adjustments on the table in this respect?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u93	Mrs Van Camp, I have a lot of figures and tables for this too, and I will hand them over to you. The split-up by state does not make it easier to extract all that data. That could also explain why the administration needs so much time to get hold of all that data. The recent European directives on the consumption of statins take into account not only cholesterol values, but also the overall overall risk of a cardiovascular incident, taking into account the main risk factors simultaneously. The so-called classic risk factors are the incidence of diabetes, hypercholesterolaemia, hypertension, smoking behaviour and age. There would also be a slightly higher predestination in the male sex. I take it Unia can't do much about that. The association of Belgian specialists involved fully supports the European directives. The statins will be refunded without prior authorization from the counseling physician, as stated in Chapter 1. Only for the indication of familial hypercholesterolaemia a small part of our population is truly genetically predisposed to so-called hypercholesterolaemia A.. is a prior authorisation of the counseling physician required. For those people, only certain medications can be used. The new cholesterol lowering agents, evolocumab and alirocumab, are human monoclonal antibodies for the treatment of hypercholesterolaemia. Those medicines should be administered by subcutaneous injection once a month or every two weeks. One can train the patient so that he or she can do the injection himself. The target group receiving reimbursement consists of patients with family hypercholesterolaemia who also have a significantly increased cardiovascular risk and who, despite treatment with the classic cholesterol lowering agents, need additional cholesterol reductions. The cost of these medicines is very high, about 5 500 euros per patient per year. They are reimbursed under an agreement between the company and the RIZIV due to the very high cost of the treatments and the uncertainties in clinical efficacy and the number of patients that will be able to be treated. I have the tables you asked for. They provide an overview of the use of hypolipemics for the period 2012-2016, the top five of cholesterol reductions by region, according to RIZIV spending and according to the number of defined daily doses for 2016. As far as statins are concerned, there is currently an evaluation by the Commission of medicinal products to harmonise the methods of reimbursement. That should allow expenditure related to the use of those medicines to be reduced. I also have a table for you concerning public official services excluding rest homes and the use in rest homes. In the two tables the data are broken down by cholesterol reduction and by region. There is also a table showing the top five cholesterol reductions per region, according to RIZIV expenditure and according to the number of defined daily doses for 2016.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u94	On this issue too, we will make the annex available to all.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u95	Madam Minister, this question also dates back to October 2016. Which painkillers will be refunded under what conditions? For the past few years, for the total and split by state, can you give an overview of the use of painkillers? Are there data on the prescribed number, with a breakdown by species? Are there any data on the number of DDDs of the different types of painkillers provided on prescription? Can you also give us an overview of expenditure?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u96	Mrs Van Camp, the following classes of painkillers are reimbursed: opioids and medicinal products containing paracetamol as an active substance. I do not consider the medicines for migraines. The reimbursement of analgesics in the context of chronic pain is determined according to three different regulations. First, the Royal Decree of 3 June 2007 implementing Article 37, Paragraph 16a, paragraph 3, and paragraph 4 of the Law on compulsory medical care and benefits, was coordinated on 14 July 1994, as regards analgesics. These are analgesics based on paracetamol or the combination of paracetamol and codeine, which appear on the list annexed to the Decision. They are indicated for the treatment of persistent chronic pain, i.e. pain that persists after optimal curative treatment for at least three months or that persists after curative treatment of a disease of malignant chronic pain. These include pain caused by cancers, or some cases of chronic arthritis or osteoarthritis, neurogenic or neuropathic pain of central or peripheral origin, such as multiple sclerosis, peripheral vascular pain, ischaemic pain, post-surgical pain, including phantom pain, and fibromyalgia. The treating doctor or doctor who manages the overall medical record of the patient provides a notification of the chronic pain to the counseling doctor of the patient's health insurance fund. The compulsory insurance allowance consists of 20% of the price of the analgesic included in the list and may be granted on the basis of an authorization from the medical adviser. A second regulatory basis is the Royal Decree of 12 October 2004 laying down the conditions under which compulsory medical care and benefits cover the costs of the majestic preparations and similar products. The following raw materials shall be reimbursed if they are incorporated into the preparation used in the treatment of one or more chronic pains: acetylsalicylic acid, codeine and codeine phosphate, hemihydrate, caffeine anhydrous, paracetamol, but only in suppository, or paracetamol crystal. The treating physician shall draw up a reasoned report confirming the diagnosis. That report shall also be sent to the medical adviser of the patient's sickness fund. The allowance for compulsory medical care and benefits is granted on the basis of the authorization of the medical adviser. The allowance shall be the difference between the total cost of the majestic preparation and the personal share of the non-hospital holder. Finally, a third regulatory basis is the Royal Decree of 21 December 2001 laying down the procedures, time limits and conditions for the reimbursement of compulsory medical care insurance and benefits in respect of the costs of proprietary medicinal products. This concerns the analgesics based on paracetamol or also the combination of paracetamol/codeine, which appear on the list of recoverable specialities. They are indicated for the treatment of persistent chronic pain, i.e. pain that persists after optimal curative treatment for at least six months or that persists after curative treatment of a disease of malignant chronic pain caused by a chronic condition such as cancer pain, chronic arthritis, osteoarthritis, neurogenic or neuropathic pain of central or peripheral origin, peripheral vascular pain, post-surgical pain and fibromyalgia. The treating doctor or the doctor managing the global medical record shall also submit an application for reimbursement to the patient's medical adviser. The allowance is granted on the basis of the authorization of the medical adviser according to category B. I also have a table that provides an overview of RIZIV expenditure, in particular the number of daily doses and the number of packs for painkillers for the period 2012-2016, the most recent year for which complete data are available in the Farmanet database. The data are also broken down by region and type of painkiller, as you requested. The rest houses ROBs and RVTs were switched to the unit pricing system in 2015. Therefore, for 2015 and 2016, the number of packages delivered in the open official and the number of units delivered in the rest houses, are listed separately. That is where we work on a unit basis anyway.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u97	Madam Minister, I had also tabled this question as a written question in October 2016, but since I have not received an answer one year after the date, I am now putting it orally. Home care often involves a slightly older population, while younger children often rely on it. With regard to that group, I have a few questions. Exactly how many active home nurses focus on children? How many hours of home care are performed per year by these home nurses? Do you know how many hours of home care were provided to children? Do you know anything about the age groups where most home care is used for children, about the indication and the care for which children are most in need of home care? What is the youngest age for patients using home care? What are the other age groups to whom home nurses spend the most care? Which concerns are most frequently given? What budget goes to home care in general and specifically to home care for children? Do you know whether certain services specifically focus on home care for children and whether within certain home care services certain nurses were specifically qualified or in-school care for children's care?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u98	Miss Van Camp, I'll get you the numbers and the tables. The first table refers to the number of nurses carrying out an activity included in the sickness insurance scheme. This is about the number of nurses with a practice. There we see an increase of 5 000 people between 2010 and 2015, mainly in the Flemish Region. The number of hours worked is not known by the RIZIV. The age category for which nursing care is most often performed in children is the age category between 15 and 19 years. That doesn't mean it doesn't happen under that age, but that's the biggest group. The indications are also not known in RIZIV. With regard to the performances that are most performed in children at six years of age, I also have a table. This is mainly about the administration of medicines and the first basic provision of the day of care, complex and simple wound care. There too we see an increase. Nursing care can be performed from the age of 1 year. For the years 2010-2015 the highest number of nursing care is therefore carried out for the 80 to 84 age group. The five performances most frequently performed over a five-year period for all age groups are: initial basic day care, hygienic care and administration of medicinal products, via intramuscular, subcutaneous or hypodermal access. Another large group is the flat-rate fee, called flat-rate payment A, which is awarded once per day of care for the whole of the nurse's care. In 2015, expenditure amounted to 1.3 billion euros for nursing care, of which 1% was for children. I'll give you the tables.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u99	Thank you, Madam Secretary.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u100	Madam Secretary, women who develop gestational diabetes during pregnancy also have a higher chance of remaining diabetic afterwards. My question is whether there is a record of how many pregnant women develop gestational diabetes, how many are annual percentages, whether there is standard monitoring for gestational diabetes, what standard follow-up is provided for women with gestational diabetes and how long it lasts.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u101	The presence or absence of diabetes during pregnancy, either pre-existing or gestational diabetes, is a parameter recorded in the birth certificate. This birth certificate is mandatory. Therefore, the number of mothers residing in Belgium in the period 2010-2014 indicating diabetes at childbirth increases slightly more, from more than five thousand in 2010 to over seven thousand in 2014. This figure corresponds to 4 % of births in 2010 and 5.8 % in 2014. Several factors are mentioned, which can explain this increase. On the one hand, there is the improved screening. On the other hand, there is an increase in risk factors in the population, the main of which is that there are more pregnancies at later age, i.e. older mothers, and an increase in the incidence of obesity. The most recent data have been published at Community and regional level by the Centre d'Epidémiologie Périnatal and the Study Centre for Perinatal Epidemiology. In 2015, 8,9% of mothers had diabetes in the Brussels-Capital Region, 7.5% in the Walloon Region and 3,7% in Flanders. The big difference for Flanders can be explained by the fact that the new screening recommendations have not yet been implemented in 2015. There is a directive on good medical practice. There was pregnancy counseling of Domus Medica validated by CEBAM in May 2015. A survey of risk factors for gestational diabetes is recommended at the start of pregnancy. In women with risk factors, blood sampling should be carried out, but a general screening of pregnant women is also recommended. At 24 weeks there is a new screening for gestational diabetes due to blood sampling, recommended in any woman, regardless of whether she had diabetes or not. According to the directive, women are immediately referred to the endocrinologist for follow-up during pregnancy diabetes. They may also be temporarily included in a diabetes agreement, followed up by a multidisciplinary team of a diabetes convention centre. For screening after pregnancy diabetes, the Sweet Pregnant project of the Diabetes Liga runs in collaboration with Domus Medica and the Flemish Association for Obstetrie and Gynaecology, funded by the Flemish government. Women with gestational diabetes are invited to register voluntarily shortly after the diagnosis of pregnancy diabetes. After childbirth, these women receive an annual letter and an e-mail, to visit the general practitioner again for a blood sample and therefore to check whether they are not in the process of installing normal diabetes. Mrs Van Camp, I will also deliver the annex to you.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u102	Mrs. Fonck is apologised for medical reasons.
