ParlaMint-BE_2018-04-25-54-commissie-ic879x.u1	Questions Nos 22993 and 22995 by Mrs Galant are converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u33	Mr Minister, an employee has the right to suspend the performance of his or her work or to reduce his or her work in order to devote himself to the palliative care of a person suffering from an incurable illness. This person doesn't have to be a relative, it could be a neighbor or a friend. Each worker may suspend the employment benefits in full for a maximum period of one month per patient. If you work full-time, you can reduce your work performance by one fifth or half for a maximum period of one month per patient. If you work part-time and have a minimum of three-quarters of your employment, you may reduce your benefits to half of your full-time employment during a maximum period of one month per patient. This maximum period of one month may be extended twice by one month each. That's a recent decision. A worker wishing to exercise his right to palliative leave must submit a certificate from the treating physician of the person requiring palliative care to his employer. This certificate must show that the worker has declared his willingness to take on this palliative care without indicating the identity of the patient. If the worker wishes to make use of the possibility of extending his leave by one month, such a certificate shall be submitted again. That's pretty cumbersome. In addition, an employee has the right to suspend the performance of his contract of employment in full or to reduce his employment with a view to assisting or caring for a severely ill family member. Each worker may suspend the employment benefits in full for a maximum period of 12 months per patient. Any full-time worker may reduce the work performance by one fifth or half for a period of twenty-four months per patient. Any part-time worker whose normal average working hours per week are at least three quarters of the average full-time working hours of a full-time worker may reduce the employment benefits to half of a full-time employment during a maximum period of twenty-four months. These interruptions must be made with periods of at least one month and a maximum of three months. A worker wishing to exercise his right to leave for medical assistance must submit an application to his employer together with a certificate from the treating physician of the person for whom medical assistance leave is sought. As long as the maximum duration per severely ill patient is not reached, a new period of medical leave may be requested. To that end, each application for renewal shall be submitted in the same way as the first application. Mr Minister, both for the extension of palliative leave and for the extension of medical leave, the whole procedure should therefore be re-examined and further certificates should be requested from the treating physician, leading to additional administrative burdens, both for the employer and for the employee. I have the following questions. Do you see any possibility of simplifying the procedures for renewal? Can regulatory adjustments be made so that palliative leave and medical leave can be applied for immediately for a longer period, especially if, for example, the doctor already knows that a patient needs at least two or three months' leave for medical assistance or palliative leave? If it is more than one month and the doctor can explain that longer period, can this be done without exceeding the maximum time limits? For the sake of clarity, I am not asking for the deadlines to be extended or for more leave to be granted. I am simply asking for administrative simplification within the law. Can one, for example, allow the time limit to be set by the treating physician, without affecting the minimum and, of course, maximum periods laid down? Do you share our view that the adjustment can also benefit employers, as they will be better able to estimate, where appropriate, whether an employee will be absent for a longer period of time? It is amazing that an employer assumes, for example, that the absence will last only one month, after which the period will be extended three times in a row. In this case, the employer is better off if he can immediately look for someone for three months. After all, looking for someone for one month is much more difficult than looking for someone for a period of three months or for a period of six months. Are you prepared to take initiatives in this area?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u34	Mr President, ladies and gentlemen, Mrs Lanjri, palliative leave and medical leave are rights that an employee can exercise without the employer being able to refuse that right. However, as you know, the employee must meet a number of conditions. These conditions are rather limited, because of the nature of the leave concerned and its underlying purpose. It is important that they aim at achieving a certain balance between, on the one hand, the interests of the worker wishing to provide for a sick person and, on the other hand, the interests of the employer concerned with the proper functioning of his undertaking. The mandatory inclusion in separate blocks of one month's periods of palliative leave and periods of at least one month and a maximum of three months in the case of medical assistance, with the obligation to apply to the employer at the first admission and at each renewal, together with a new medical certificate from the treating physician, should also be included in that view. The medical certificate shall prove to the employer that the worker concerned has declared himself willing to provide care to a terminally ill person in the case of palliative leave or, in the case of medical leave, to provide assistance and care to a seriously ill family member. Well, in many cases, the treating physician will only be able to make a snapshot of the needs of the sick person concerned when drawing up such a certificate. It is clear that these needs are evolutionary. It will also be possible that at some point persons other than the worker will also be responsible for the care of the person concerned. These are elements that the treating doctor can take into account in his assessment of whether or not to deliver such a medical certificate. The question arises as to how the proposed simplification of the procedure can provide the same balance and guarantees. In this connection, we also note that the social partners in the National Labour Council have recently, even in the context of their collective agreement No. 103 on time-credit, in relation to the medical certificate required in the context of a reasoned time-credit for medical assistance. In addition to stating that the employee has declared himself willing to provide assistance or care to a seriously ill person, the treating physician should also indicate since 1 April 2017 that the carer actually needs a full-time, half-time or a fifth-time break or career reduction, in addition to any professional support that the family member can count on. Moreover, at the request of the social partners, the same stringency was also applied in the framework of the Royal Decree of 10 August 1998 on leave for medical assistance. This stringing shall apply to applications submitted from 1 June 2017. This answer may not be as positive as the previous one. However, I have tried to formulate an answer with text and explanation.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u35	Thank you, Minister, for the answer. I must honestly say that, of course, I have no problem with any entanglements that are intended to remove any abuses. That has to be clear. I believe that everyone has the same concern and who am I to contradict the social partners. These were examples I heard on the radio. If, for example, one cares for a terminally ill child who is known to have six months to live, then it is really absurd that one has to repeat these requests over and over again. This also applies if one takes care of one's terminally ill mother, who is known to have six months to live, for example. If we share this concern with sisters and brothers, and if we suddenly want to apply for leave for two months, why should we not? That's important to that group. I believe that any abuses should be dealt with. In fact, I read that it is not even necessary to mention which patient is being cared for. Therefore, improvements can certainly be made to the system, but on both sides, including administrative simplification for those who do not abuse the system. I would ask you to look at this aspect again, possibly with the social partners, very clearly directed at the group for which there is no doubt, with a doctor's certificate. If the doctor recommends two months instead of one month, do it all of a sudden for two months.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u36	I want to do everything, especially for that emotional period, but I also think very few doctors say to anyone that he or she has six months to live, and that they certify that. There, too, there may be the problem that when doctors set a time limit, that time limit is sometimes exceeded or not met, thank God. That is a very delicate matter, including for the physician in question. At least I'll take it with me.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u37	This should only be done in cases where the doctor is sure. If the doctor himself is in doubt, he shouldn't. I'm not asking the doctor to go against his vision. Suppose it's just about repairing and not palliative patients, and that repair lasts at least X number of months, shouldn't it be possible? For example, medical leave may include severely ill children who have to recover for at least six months. If necessary, the doctor can certify that.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u38	Minister, I asked a question about the au pairs a while ago. In any case, we know that the au pair system has actually been set up to give young people the chance to know the language and culture of a particular country and that it is certainly not intended to involve au pairs as nannys, babysitters or even cleaning staff or servicemen. Au pairs are allowed to do light domestic work. It is laid down by law that this may be a maximum of four hours a day, i.e. a maximum of twenty hours a week. In addition, the host family must agree to grant supervisory officials access to the home in order to carry out an inspection. Figures from the Flemish Labour Inspectorate show that 72% of host families are working on the rules. It is clear from the testimonials that the employment aspect often takes precedence over cultural education and exchange and that the au pair status is used as a channel for legal labour migration, which was never the intention. Sometimes there is no language or cultural aspect at all. Sometimes one has exceeded age and one thinks that one can stay in the country as an au pair. We have included in the federal government agreement that the government, in consultation with the Regions, is taking the initiative to combat abuses within the au pair statute. In this context, I would like to ask you the following questions. What measures have already been taken against the abuse of au pairs? Have you already consulted the Secretary of State responsible for Asylum and Migration and your fellow ministers in the regions? I know they're working on it in Flanders, among other things. Are there any changes to the statute in the short term? It remains problematic that au pair agencies do not need recognition to be allowed to act as mediator or intermediary between the candidate au pair and the candidate host family. Will measures be taken in the short term to ensure that au pair agencies are recognised? Of course, you should also talk to your colleagues from the regions about this. What adjustments should be made to the Statute in order to avoid the employment aspect becoming the main objective of residence? Are there measures in place to ensure that cultural exchanges remain the most important aspect in addition to education? If so, which one? One has to keep the two apart. The au pair status is not intended as a channel for labour migration. Is it desirable, in your view, to abolish the programme and replace it with a system of cultural exchange, where young people are not dependent on a host family, and so they should not work for it? On the positive side of the au pair statute, in order to qualify as a host family, it is necessary to allow the supervisory officials to enter the home so that the living and working conditions of au pairs can be checked. However, the Social Inspectorate does not have access to housing to control the working conditions of domestic workers, another category. On 22 June 2016, I asked you whether it was possible to apply the regulations for the au pairs to domestic staff. This too has to do with a lot of problems, but they often do not come out because the inspection does not have access to the house. You replied to my question that there was consultation with the High Council for Prevention and Protection at Work (HRPBW) on how to apply welfare legislation to domestic workers in accordance with Convention 189 of the International Labour Organisation. Have those talks been concluded? What recommendations has the HRPBW made on this issue? Which will be implemented? What period will the legislation be amended if it proves necessary?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u39	Mr Lanjri, before the sixth state reform, the federal government was legally competent for foreign workers, but the Regions were already in charge of executive powers. That's how they delivered the work cards. As part of the Sixth State Reform, the legislative power for foreign workers has largely shifted to the Regions. However, the federal government has remained competent for foreign workers in a specific residence situation. In general terms, the regions have become legally competent for economic migration. The Federal Government remains competent to determine whether foreigners residing in Belgium are allowed to work for other reasons. These are mainly asylum seekers, persons with a long-term right of residence, family members and students. However, the power to determine whether a foreign national may work as an au pair is distinct from the power to regulate au pairing. European Directive 2016/801 defines the au pair as "a third-country national admitted to the territory of a Member State in order to be temporarily included in a family, with the aim of improving the language skills and knowledge of the Member State in question in exchange for light domestic work and care of children'. On the basis of that definition, it seems to me that the au pairing of cultural matters for which the Communities are competent is to be carried out. However, it is up to the Communities themselves to decide whether they have competence in a specific matter and whether they intend to act in it. I therefore wrote to the Ministers-Presidents of the Communities for the first time in October 2017. Since I have still not received a position, I will shortly address a new letter to the Prime Ministers. You can see I write a lot of letters. That's good for bpost. When I write a letter, I hope that something will come back, both from the social partners and from the prime ministers. However, I will write a new letter, because it is only after the Communities have taken a position that we can see what the federal government can do to improve existing legislation. So I would like to do that, but first I need to know which domain the Communities are taking for themselves. Once again, I assume that, unfortunately, it is not a top priority for the Communities and that this is one of the reasons why they have not replied to it since October 2017, that is, with caution, a while ago. In the meantime, the current scheme for au pairs remains in force. Au pairs who come from a country outside the European Union must have a work permit which they can only obtain if certain rules are complied with. Not only the regional, but also the federal inspection services are competent to check the work cards. That aspect is positive, because they have already been together on this issue. In view of the important competence of the regional inspection services to ensure compliance with the conditions of work permits for au pairs, checks are carried out mainly by the regional inspection services. If the audit reveals that the conditions of the au pairship are not being complied with and that it is in reality a contract of employment, the contract may be requalified as an employment contract, which means that the minimum wage is due and social contributions must be paid to the RSZ. In this case, the findings can be passed on to the federal inspection services for further effect. As far as the amendments to the legislation are concerned, the Welfare Act has already been adapted to the obligations of domestic workers in accordance with the ILO Convention, but consultations between the social partners on the further development are still ongoing within the High Council for Prevention and Protection at Work. There too, steps have been taken. To sum up, it's a non-important issue. We hope that we will receive a response from the Communities as soon as possible, so that we can continue to work at federal level. We are prepared to act on this as soon as possible. Fortunately, the inspection services have already agreed on who's doing what. As far as welfare work is concerned, the proposal has been formulated in accordance with the ILO and hopefully the High Council for Prevention and Protection at Work will give its opinion on it during the next period.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u40	Minister, sometimes one has to have patience in politics. I may be too impatient a politician. We recorded this point in the coalition agreement a few years ago and I notice that things are going very slowly on the ground. The regions have been given more powers, but do not yet fully deal with them. It is still the responsibility of the federal government for so long, but in the meantime there have been abuses and people are being exploited. For example, they are used for matters not covered by the au pair statute. You wrote a letter. You're going to write a second one now. But I also think it is time for the prime ministers to wake up and get to work. You have told me that the inspection is already under control and that the minimum wage is due when they find that the employment aspect prevails. I hope that's not the end of it. I hope it also means that it is illegal. One cannot just send a third-country national to our country to do domestic work here. You can't just do that. Of course, these people need to be compensated. This means the end of the residence permit but also a fine. I hope that the host family that commits abuse will also be fined. Is there any provision for that? Otherwise, of course, it is the easiest way. One brings someone here as an au pair, one puts him or her to work with some pocket money as a poor fee, and one only risks having to pay a proper fee, namely the minimum wage, if one is indeed caught. That would still be wrong. Shouldn't there be a fine on that, too?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u41	(...)
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u42	Those are people who are not illegal here, they have a residence permit as au pair. However, an au pair must not be employed. They're violating the law, aren't they? It's not enough to say that they just have to pay their wages, is it? After all, that is what some want, they want a housemaid or domestic staff. However, this is not foreseen.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u43	When it comes to Europeans, it is somewhat different than when it comes to people from outside Europe.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u44	(...)
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u45	It seems clear to me that there are additional sanctions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u46	Questions Nos 23665 and 23666 by Mrs Kitir are converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u47	Mr President, Minister, the Council of Ministers of 28 September 2017 discussed, among other things, the status of the income guarantee. In application of the programme law of 22 December 1989, the employer is obliged to offer, as a matter of priority, additional hours available for the same job to part-time workers who benefit from an income guarantee and who are already employed. From 1 January 2018, a response fee of 25 euros per month was introduced to cover the employer per part-time employee receiving an IGU if the employer has not offered these additional hours available within a period of one year. This response contribution is only due for part-time employees with an IGU recruited after 1 January 2018 insofar as the volume of working hours for the same job within the company has increased. At the same time, it was agreed to carry out a systematic review of compliance with the obligation for part-time workers benefiting from an IGU from 1 January 2018 to accept an offer to increase their working time. Part-time employees with an IGU who refuse such an offer will no longer be able to enjoy the IGU. Employers must also comply with the obligation to offer additional hours available for the same job as a priority to part-time workers with IGU. Consultations will be held with the regions on the organisation of control. I would have liked the Minister to answer the following questions. Firstly, what results have been achieved in the framework of the consultation with the Regions on the organisation of IGU control? Secondly, have controls already been carried out? Were part-time workers checked with the IGU benefit who refused to accept an offer to increase their working time? Were there any employers who did not offer additional hours for the same job as a priority to part-time employees with IGU?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u48	Mr President, ladies and gentlemen, for several years the Regions have been empowered to check the passive availability of part-time workers receiving the income guarantee and who have been registered as full-time job seekers by offering them full-time work or part-time work to supplement their part-time schedule. As a result of the sixth state reform, the Regions can now take decisions on exclusion or sanctioning when they find that a part-time employee with an IGU is not available for the full-time labour market. The sixth state reform has also resulted in the Region's being able to monitor active availability in future as well as actively seeking employment for part-time workers. The Royal Decree of 14 December 2015 establishes the normative federal framework and the modalities of this control. For part-time workers with an income guarantee benefit, that Decision entered into force on 1 September 2016. After the Regions have developed the IT tools necessary to implement this control, they have carried out this control since 2017. The results of the checks on the availability of the year 2017 will soon be available. I assume you are already preparing to ask a question on this matter. I will then make the necessary contacts to start consultations with my colleagues from the Regions. With regard to employers' obligation to offer additional hours, you correctly point out that a response contribution of EUR 25 per month is now foreseen. This contribution shall be payable in two cases: firstly, in the case of non-writing, priority must be given to additional hours available to the part-time worker receiving unemployment benefits and who has applied for a full-time employment or another part-time employment, whether or not additional, and secondly, in the case of non-delivery as a priority of the additional hours available to the part-time worker receiving unemployment benefits, if he has applied for them. This amendment was included in the Programme Act of 25 December 2017. Our services work together with the RSZ on the implementing decision laying down the detailed rules and modalities. It is too early to assess the impact of this measure. Since it is only one year after the introduction of the response contribution that it can be verified whether more hours were available within a company and whether these were offered primarily to employees with an income guarantee benefit, this response contribution can be imposed at the earliest in 2019 where necessary.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u49	Thank you for that answer. This shows that you are following the dossier, and we will do so with you. I understand we should wait until 2019.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u50	Mr Minister, this is a rather short question. On 28 September 2017, the Council of Ministers discussed, among other things, the activation policy for 50-plussers. It was then agreed to seek an opinion from the National Labour Council by December 2017 on the activation policy for 50-plussers and to develop, in consultation with the Regions, measures to promote activation policies for 50-plussers. These measures would be submitted to the Consultation Committee. Minister, what advice did the NAR deliver on activation policy for 50-plussers? What measures were or are being developed in consultation with the Regions to promote this important activation policy for 50-plussers?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u51	Mr Van der Donkt, I can inform you that after consultation on this dossier with the Prime Minister's cabinet on 4 April 2018, an opinion was requested from the NAR. They asked what measures they were proposing to encourage 50-plussers to stay on the job. In addition, proposals were asked to allow the job seeker or inactive 50-plussers to take up the job and to encourage employers to retain or hire them. As you know, the supervision of older jobseekers has been the responsibility of the regions since 1988. Since 1 January 2016, it is the VDAB, Forem, ADG and Actiris and no longer the RVA that control and sanction the availability of the unemployed in their field of office. Sometimes people forget to mention that they are also competent for the latter. That control shall be carried out in compliance with the normative framework that remains federal. This normative framework distinguishes three target groups according to the control procedure applicable to them. It concerns the total unemployed under 60, the total unemployed aged 60 and over and the unemployed who receive a farm allowance and, finally, the part-time workers who retain rights. Until the age of 60, the older unemployed must be actively available. This means, on the one hand, that the older unemployed under 60 years of age participates actively and positively and participates in the measures of guidance, training, professional experience or involvement proposed to him by the regional employment services. On the other hand, the older unemployed under 60 years of age must actively look for work by regularly taking varied actions. It's about active and passive availability. From 60 years onwards, the unemployed person must be available adapted. He should no longer actively look for work, but he should be registered as a job seeker and continue to participate in personalised guidance tailored to his individual abilities, his physical and mental abilities and to the professional experience he already has and which correspond to the needs of the market. Except in the case of exemption, the adjusted availability system shall also apply to the unemployed person receiving a single payment, the SWT. Personalised guidance is proposed to the unemployed person, in accordance with the federal framework, no later than the ninth month following the beginning of this unemployment or from the age of 60, if he was already unemployed for at least nine months at the time. At the latest one year after the start of personalised guidance, an overall assessment of the adapted availability will be made to determine whether the unemployed person has contributed positively to the actions proposed to him. The RVA, together with the competent regional institutions, has submitted a report on the application of the delegated powers for the entire year 2017. This report also contains the necessary statistical information. If you don't have it yet, it's also on the website of the RVA. It's very interesting. With regard to the older unemployed under 60 years of age, which must therefore be actively available, the report shows that all regional institutions are making efforts for this group to reintegrate them into the labour market and that they are also evaluating the efforts made. For example, in the 50 to 59 age group in 2017 41 546 unemployed were evaluated by the VDAB, 14 368 by Forem, 14 856 by Actiris and 266 by the Arbeitsamt, which is responsible for the German-speaking community. The situation is different for the age group over 60, which needs to be adapted to be available. Because of the high youth unemployment in their regions, Forem and Actiris gave priority to the supervision and control of young people. In December 2017, Forem started to follow up on this customized availability and sent out information letters to 335 unemployed people in that month. Actiris announced that it would not start until July 2018 to monitor its custom availability. The Arbeitsamt also has to start following up the adjusted available older unemployed. In Flanders, 8 183 unemployed persons aged at least 60 years were accompanied in 2017 by the VDAB. From 4 533 of them, efforts were already evaluated in 2017. For all, this led to a positive evaluation.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u52	Thank you, Minister, for your reply.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u53	Minister, the government agreement provides for the introduction of a career account that enables employees to accumulate time and/or pay. On 24 October 2017, you replied to my question in committee: "In relation to career savings, the legal framework provides for a subsidiary scheme, which would enter into force on 1 August 2017 if no collective agreement on career savings had been concluded at that time in the National Labour Council. However, the date of 1 August could be extended by a Royal Decree for six months. The latter took place through the Royal Decree of 25 June 2017. In concrete terms, this means that the National Labour Council will have until 1 February 2018 to draw up its own rules on career savings. This approach and timing was requested by the social partners and was motivated by a number of concerns and concerns about the legal framework on career savings. The relevant discussions in the National Labour Council are still under way. Of course, it remains to be seen whether the time available to the social partners will be sufficient to reach an agreement. To date, no sector has developed any initiative regarding the conventional grant of leave." So much for the quote. Minister, I would like to take stock of this part of the coalition agreement. What implementation has it already been given? Was there a collective agreement on career savings in the NAR? If so, what is the content? If not, has the subsidiary scheme actually entered into force? How does it proceed in concrete terms? Has sectoral or sub-sectoral progress been made on conventional leave? If so, what is the outcome? If not, what is the further procedure?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u54	Mr Van der Donkt, the law on workable and manoeuvrable work provides for private sector workers and employers with a legal framework for career savings, which would enter into force on 1 February 2018 and can be activated by the sectors from that date. However, the legal framework will lapse if the social partners, represented in the National Labour Council, themselves develop a scheme on career savings before 1 February 2018. In the meantime, it appears that the social partners have not reached agreement in the National Labour Council and that they have therefore not developed their own rules on career savings, which is very regrettable. As a result, the legal framework entered into force on 1 February 2018. In concrete terms, this means that the sectors will be able to activate the measures of career savings from 1 February 2018 through the conclusion of a collective agreement setting out a sectoral framework. Sectors will have six months to conclude a collective agreement from the time of referral. The referral may be made by an organisation represented on the Joint Committee or by an individual undertaking. In the absence of sectoral activation within the six-month period, undertakings in the sector concerned shall be allowed to activate the measure of career savings themselves through the conclusion of a collective agreement. So that's the cascade system. It is only after the activation and impact of the measure at sectoral and/or enterprise level that the workers concerned will be able to benefit from the measure. According to the information available to me at the moment, no referrals have yet been made to the sectors, either for career savings or for the conventional grant of leave.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u55	Thank you, Minister. We will return to the item in six months' time.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u56	Mr President, Minister, in February, Secretary of State De Backer launched the proposal to permanently screen dock workers in the context of tackling drug criminality in the port of Antwerp. These permanent screenings were not included in the Power Plan proposed and approved by the government. Minister, what measures are in place today in the port of Antwerp to tackle the problem of drug punishment? Do you think that a permanent screening of dock workers can provide relief to deal with drug criminality? What is your opinion on that? What is the government's view, given that permanent screening of dock workers is not part of the Power Plan? You are in contact with your Dutch colleagues about how to deal with drug punishment in Rotterdam. What measures are in force in the port of Rotterdam? Can we possibly be inspired by this? You indicated that you would also consult with employers and employees. Has that meeting taken place yet? I assume so, because two months have passed since the oral question was tabled. What is the outcome of this consultation? What slopes are the employers and employees pushing forward to dive into drug punishment?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u57	Mr President, Minister, the Stroomplan stipulates that the local police, the federal police, the public prosecutor and the public prosecutor, the social and fiscal inspection services and the Social Security Service of the city of Antwerp will join forces to take action against drug punishment in the port. Companies are given the opportunity to have people who want to take up a corruption-sensitive position or who are already in positions screened through national security authorities. These functions are, of course, spread across several joint committees. I therefore have the following questions. Is there social dialogue with all these actors? What is the state of play with regard to consultation on this very difficult issue?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u58	Mr President, ladies and gentlemen, Mr Klaps, it is good to see you. I hope you're fully recovered from the heavy Ten Miles of Sunday. I've read a lot about that, but you're looking good, so that's going in the right direction. It was tough. I understand that you are announcing a sharp time next year that will surprise everyone. I'm also trying to prepare for next year. I come to the subject of your question. For the police and judicial approach to drug punishment in Antwerp, and more specifically for the state of play of the Stroomplan, my colleagues in the Justice and Home Affairs Department have a lot of powers. I understand that you are asking me questions in the context of the involvement of the social partners. I will try to focus on this, so that I do not fall out of my role, which might not be appreciated. Allow me to emphasise that in port much more workers and self-employed people are employed than only the authorized port workers. Speaking about screening only this group is not only stigmatizing, but also inefficient. If a screening is to be carried out, it seems to me that it should be based on a risk analysis and not all port workers come into contact with sensitive tramps. A lot of others will get in touch with it. So one has to deal with this with nuanced and careful. If we look at port workers, there are many opportunities that already allow us today to tackle risks. A first filter on this issue is found in the Royal Decree of 5 July 2004, which lays down the conditions for the approval of port workers. This decision stipulates that candidate port workers must be of good conduct and morals in order to be recognised. They should therefore submit a recent extract from the criminal record. In addition, the social partners are also making efforts to combat all drug trafficking and drug abuse. If it is established in fact that a port worker is involved in drug trafficking, the Administrative Commission composed of representatives of the employers and workers from the port considers this to be a serious deficiency which breaks the necessary relationship of trust with the port community. Consequently, the recognition of this worker is withdrawn. This is comparable to the Article 35 of the Employment Contract Act of 3 July 1978. It is also sometimes the case that in the event of conditional release, the investigating judge imposes a port ban on the worker concerned. Then, of course, his recognition will be suspended and he will not be able to work in port for the time being, for the duration of the ban. An employee involved in such facts is asked to deliver a possible conviction or acquittal to the Administrative Commission so that he can assess the case. Of course, the administrative committee must be aware of the facts. This information comes in through various channels, sometimes anonymously, sometimes via the courthouse, sometimes because an employee does not come in for remand. Moreover, the scope of Cepa's existing digital hotline to anonymously report suspicious acts has been extended to the entire port community very recently. Alfaport Voka, the umbrella of the port employers, has now put his shoulders under the initiative and fully supports it. There is even a website for, www.ourhavendrugsfree.be. The information that arrives on this website will be transmitted directly and in such a way as to ensure that the informant will be transmitted completely anonymously to the specialised police services for further prosecution. The social partners as such are not involved in the discussions on the Streamplan. The port employers are involved. In regular social consultations they informed the unions of port workers that once the implementation of the Streamplan would result in measures affecting port workers or requiring an adaptation of legislation or collective agreements, this would be formally discussed in the social dialogue. At present, however, this is not the case.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u59	Thank you, Minister, for that answer.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u60	Thank you, Minister, for your reply. Our Antwerp harbor runs record after record. New quarterly figures were published, again with a very sharp increase in container traffic. It's just there that the problem of drugs usually occurs. In practice, of course, we often remain stuck with a post factum policy. If there's a conviction of someone who works there, it'll be reported somehow. Sometimes there is little structure in that system and we need to think about how we can streamline it, so that we no longer get word that someone is able to stay at work in sensitive places for a long time, even though he has already received convictions. We must all ensure that this does not happen again. I am waiting to see how this will take shape, but I am glad that you are convinced of the urgency of this important dossier.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u61	Questions Nos 23999 by Mrs Willaert and 24420 by Mr Hedebouw lapsed. Questions Nos 24176 and 24205 by Mrs Galant have been converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u62	Mr Minister, at the moment, the current legislation applicable to the private sector only allows a worker to take leave in the event of illness during the holiday if he or she becomes disabled before the holiday begins. In other words, if an employee becomes ill before the holiday, the holidays that coincide with the days of incapacity for work can be transferred. However, if the worker becomes ill during the holiday, the performance of his employment contract has already been suspended because of his annual leave. The worker is then considered to be on holiday and not as unfit for work. He may not take up the holidays corresponding to the days of incapacity for work later. However, as early as 2012, the Court of Justice ruled that the objective of the annual holiday is to enable the employee to rest and have a period of relaxation and leisure. In this way, this objective differs from the objective of the right to sick leave which enables the worker to recover from a disease leading to incapacity for work. As a result: the worker who becomes unfit for work during his annual leave has the right to take this holiday at a later date for the duration of his illness and regardless of the time when the incapacity for work took effect. In other words, the legislation of that country has been in contradiction with European case law in this area for six years. In fact, you have recently asked the social partners to draw up a new regulation. In doing so, workers who become ill during their holidays could take up these holidays at a later date if they submit a certificate. A critical point here is who will have to bear these additional costs. Normally, the employer pays the guaranteed wage during the first month of illness. However, employers' organisations would insist that the government pay a benefit in this situation. Minister, I have a number of questions about this. Why does it take six years after the Court of Justice's ruling to take action to bring the legislation into line with European case law? How much time do the social partners have to reach an agreement? In the absence of an agreement, will you come forward with your own proposal within the deadline? How will a control mechanism be developed to prevent any abuses? I look forward to your answer.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u63	This morning there was a meeting on this question. The social partners have already met several times on this issue in the NAR's individual employment and social security committees in recent years. Given the tradition of social dialogue in our country and the specificity and complexity of the Belgian holiday scheme, the search for a satisfactory solution takes time. If you ever have the ambition to become the Minister of Work, then you must exercise a great deal of patience in advance. Otherwise, you won't last. Since 2016, contacts between my cabinet and the European Commission have been intensified to ensure, on the one hand, that Belgian legislation is correctly interpreted and perceived by the European authorities and, on the other hand, to assess whether or not our current legislation complies with the European directive. In the meantime, two meetings have already taken place between the Policy Cell and the Directorate of the Employment, Social Affairs and Inclusion Department of the European Commission. In addition, the numerous written contacts provided a clear overview of the work of the policy cell and the state of play of the results of the social partners' negotiations. At the NAR session on 23 March 2018, both banks decided that a letter should be sent to the European Commission to see a number of outstanding questions answered by the European Commission itself. I received the letter on 5 April 2018, so even more recently, and immediately forwarded it to the competent management. A further meeting is planned to discuss jointly the European Commission's reply to the letter. We hope to get an answer soon. Today, the European Commission's response was also discussed in the National Labour Council. I hope, together with you, that the social partners will be strongly encouraged to do even better in the coming weeks: in the coming days, but it will be possible to reach a solution in the coming weeks, so that Belgian legislation is adapted and will comply with European legislation and case law. If no agreement is reached between the two sides of industry, I shall instruct my administration to draw up a proposal which will comply with European legislation and case law. This will allow workers who become ill during their holidays to take leave at a later date. The monitoring of the correct application of the regulations is carried out by the Monitoring of the Social Laws of the Federal Public Service Employment, Labour and Social Consultation, which is responsible for compliance with Belgian holiday legislation. The control of the application of new rules and the control of possible abuses will therefore be ensured by that service. In the case of sickness during the holiday period, further refinement and improvement will be needed, even since the National Institute for Sickness and Invalidity Insurance, the RIZIV, has not yet concluded agreements with some countries on this subject. In addition, the social partners will have to consult further on the precise modalities of these controls. Hopefully, the next few weeks will be able to land. If we do not land, I will now announce that we are taking an initiative ourselves and that we are addressing the government on this matter.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u64	Thank you, Minister, for the very clear answer. We'll follow up on the file with you.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u65	I have a brief question, to which a very comprehensive answer could follow. Do you have a long answer, Minister? Otherwise, I will turn my question into a written question.
