ParlaMint-BE_2018-01-09-54-commissie-ic792x.u1	Debates of the European Parliament Mr Blanchart's 17020 will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u32	Mrs Willaert, you quoted the answer in your question that it is not necessary for these people to go back to work. If these people are no longer able to work in their own company, then they can be helped by the other circuit, which is my competence. It's all about another job. Nor was it said that it would all be a matter of burn-out; that is your interpretation. That's where I'm gonna have to dot the i's. Reintegration is a new factor, both for employers and the workers concerned, but also for prevention doctors and control doctors. I think both circuits should lead to more people getting back to work. The reintegration of an employee is not always an easy matter. It's a time-consuming fact. Moreover, if one or the other lacks the will to reintegrate, long-term opportunities will only decrease. We ask that employers give disabled workers opportunities to return to work. The workers concerned must want to go back to work. Sometimes an employee can no longer carry out the work he used to do for some reason. For example, if the employee wants to carry out another job, there are opportunities to take a training course to get into another job. Those possibilities have been outlined. The relatively high number of studies leading to the determination of permanent medical disability is a focus of attention. I asked the National Labour Council to evaluate the current provisions. I have asked the competent services to collect this information in a centralised manner. At present, there is no stable basis for statistics on the numbers of people who have returned to work successfully after an initiative for reintegration after a period of disability. Some external protection and prevention services at work also mentioned a high proportion of people whose final medical disability is determined by the old employer. They argued that the number was too high. The figures have not yet been confirmed by data from my services, but they are not, in themselves, illogical. The persons in question are in a period of incapacity, which means that they will no longer be able to take up their current position. That is the first part of the journey, especially the retention. We only initiate a possible transition to a new job afterwards. First, we always try to return to work. Only then will new opportunities be explored, either in terms of training or in terms of new jobs. That's what I wanted to point out. The process does not end with the termination of the contract. On the contrary, the investigation to help the patient or person in question in his or her search for a better fitting job with his or her physical or psychological condition is just beginning. My proposal on the adaptability of workers is proportionate to previous findings. I would like to remind Members that the only effect that exists at present if a beneficiary does not show up for a clinical examination by the doctor or the sickness fund is the permanent termination of the recognition and benefit. The following three points describe the only situations which may give rise to a reduction in the benefit: firstly, where there are problems in completing the medical questionnaire surveying the socio-professional situation and the medical constraints affecting the work; secondly, where a person concerned does not appear on a medical-social examination allowing the consultant to assess the residual capacities; and thirdly, where a person concerned refuses to participate in the consultation organised by the consulting doctor to discuss the offer of a reintegration plan with the beneficiary. Mrs Willaert, for the sake of completeness, I would like to say that the Management Committee of the RIZIV Benefits Office may, in respect of appropriate cases, waive all or part of the reduction in the daily amount. People are therefore given the opportunity to explain why they did not show up and why they did not cooperate. These can be social or family reasons. For the rest, the rules in question are applied. As I have said from the outset, I now hear in the field of people who are working again, that it must be a positive story. There's no more to be given. Eventually, those people got fired. People sometimes forget this, but if an employee is ill for six months, they can be dismissed. That's what happened in reality. We are now trying to avoid this by looking within the company for another Jobin filling or by starting a reintegration process. If we can't do this, we'll take them to another job. In the field, we hear that this can be a positive story for those who want and can. In this way, fewer people become dependent on a benefit.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u33	Madam Minister, I agree with you that this can indeed be a positive story, but I still find it worrying that a large majority of people in such a process cannot get involved in their own business. I would also like to stress that there seems to be a great deal of goodwill among people who are ill to return. After all, I read that in six out of ten cases the employee himself applies to start a reintegration course. In the case of employers, this figure is only a quarter. It seems to me to be positive that a majority of the applications are made by the workers themselves. I was a little disappointed by your quote about burn-out. We have held hearings in the Committee on Social Affairs in which almost every expert stressed that burn-out involves individual personality traits with context factors manifesting themselves in the workplace. I believe that there is a great deal on the workers. In this respect, however, I think it is very important to include employers in this story. They may be getting away with it a little too easily. I therefore believe that a great deal of progress can be made in this area. A very interesting piece of opinion by Mrs Peggy De Prins, a teacher of labour sociology and HRM at the Antwerp Management School has been published in the two sides of industry. She says Burn-out is the new strike. It believes that the individual can rarely solve, fight or digest the complexity of his organization and the various sickening problems on his own. Therefore, it is not uncommon for employees to decide to leave the company after a burn-out and seek their happiness elsewhere. However, the old workplace remains intact and as sickening as it used to be, according to Mrs De Prins. She also says that we should no longer banish the conversation about the causes of burn-out to the kitchen table at home or to the doctor's cabinet. It must be conducted urgently in the workplace itself, between colleagues, with management and within the social dialogue. I understand, therefore, that not everyone can return to the same employer, but I think that a figure of 70% of cases in which this cannot be done is more than just a point of attention. It's something we definitely need to deal with. We need to get that figure down so that workfloors that make people sick can be de facto adapted and improved. So I look forward with great interest to the evaluation you requested from the National Labour Council. You refer to this as a point of interest, but I would venture to mention it a little more strongly. If we cannot improve or resolve this, then that is a failure of the whole philosophy behind the reintegration process. Not only must workers be able to move to another workplace, but also those workplaces themselves must be adapted so that fewer people end up in the long term, including burn-out.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u34	Mrs Willaert, since your reply goes much further than your question, I would advise you to look in the policy paper for all the initiatives that we will take with Federis to make this issue more open to discussion in the workplace. There are also initiatives on secondary prevention, for which we do have competence. A whole section of the policy paper is about that, but I assume you overlooked that at the time.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u35	Mr President, Madam Minister, my question concerns the "zero assessment" measure implemented by the government. The data are probably out of date because this issue dates from last June but perhaps you can update the figures. In 2016, there were 16,393 first-time employers who benefited from the new zero contribution measure, an increase of 54% over the previous year. As a reminder, the measure pays contributions on the first worker to the self-employed who hire for the first time. In order to determine whether they can benefit from the measure, first-time employers are invited to contact their social secretariat. This measure has apparently met with some success. But there are still areas of shadow that deserve to be clarified: firstly, as regards the profile of the people who can benefit from it; secondly, as regards the way in which this preferential system can be accessed; and finally, as regards the risks of unfair competition which the latter may create, particularly in the sensitive sectors of horeca and building. Minister, what are the specific beneficiaries of the zero contribution measure? What sectors, what types of jobs, with what types of contracts? My written question was about 2016 but do you have more recent figures since we are already in 2018. Have there been any refusals? If so, on what basis? Have complaints of unfair competition been filed? At the time of the government's presentation of the measure, some sectors had drawn attention to the fact that, depending on the period of commitment, discrimination could be raised as one employer could commit with social security contributions and another under the "zero contribution" measure. So have any complaints been filed to that effect?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u36	Mr Vanden Burre, new employers who hire a first worker between 1 January 2016 and 31 December 2020 and who fall under the application of the Act of 27 June 1969 on the social security of workers, can benefit from the "zero contribution" measure according to which a first recruitment free of employer contributions. Since January 1, 2016, most of the demand has been for this reduction, with new employers in the business sector (20 per cent), in construction (15 per cent) and in Horeca (15 per cent). The worker must not meet any specific criteria before being hired. It must of course fulfil the general conditions for granting the target group reductions. In principle, it must be at least a part-time employment contract. These are mainly intellectual workers for whom new employers benefit from the zero contribution measure. In some cases, the target group reduction is refused. In order to give rise to the right to reduction, the new employer cannot replace workers in the same operating technical unit. This must therefore be an additional job creation. Recruitment implies the creation of an additional job only if the number of persons engaged in a technical operating unit on the date of recruitment exceeds the maximum number of persons working in the same unit on a one-day basis within the previous 12 months. In the event that it is found that the undertaking belongs to the same technical operating unit composed of one or more undertakings and that the undertaking in question does not create any additional employment, the reduction shall be abolished ex post. This condition can only be verified ex post by the National Social Security Office. So far, we are not aware of complaints about unfair competition.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u37	Madam Minister, thank you for all these things that I have noted. I will look at the answer in detail and we will certainly come back in the coming year to have an evaluation of the measure.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u38	Mr President, Minister, it was agreed in the Summer Agreement that those who work part-time will be able to include family care for 48 months in the building-up of pension rights. The modalities and entry into force have not yet been defined. This is an important measure in the further recognition process of the carers. The law of 12 May 2014 on the recognition of the caregiver assisting a person with a high need for care took a first step towards that recognition, but in the absence of the necessary implementing decisions, no further rights were granted to the caregiver. We did put that in the law at the time, but we didn't carry it out any further. It has recently been pointed out that this is becoming problematic. Moreover, as long as this law is not amended and royal decisions are not taken to implement it, the measure of the Summer Agreement which grants pension rights to carers cannot enter into force. Madam Secretary, I have the following questions. What is the state of play with regard to the amendment of the law and the adoption of the necessary royal decrees? In addition to the granting of pension rights, what will be regulated by royal decrees on the granting of rights to carers? What is the planned timing for the amendment of the law and the adoption of the necessary royal decrees?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u39	Mr President, Minister, my colleague has already outlined the issue very clearly. The Summer Agreement contained the proposal of Minister Kris Peeters to include the care path of those who provide a sick family member in the building up of his entitlement to a minimum pension. We have still not been clear on how this will be further developed. More importantly, as the colleague said, the carers have been waiting three years for the implementing decisions of the law of 12 May 2014 on the recognition of carers. I have the following questions. Can you state what is happening with regard to the establishment of the necessary royal decrees concerning the conditions for recognition as a caregiver? What is the timing of this, both for the previous law and for what is now envisaged for new legislation?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u40	Mr Vercamer, Mrs Temmerman, thank you for your question. During the discussions on the Summer Agreement, the government indeed discussed the measures to be taken in favour of the caregiver. After all, the demand for care continues to rise and it is important that the ageing population, which may be faced with reduced autonomy, can be surrounded by carers to stay in the familiar environment for as long as possible. I have already given an answer on the same subject to oral question No. 20192. In order not to repeat me, I refer to that. The aim is to create recognition to support people who provide informal care. Ensuring a better balance between work and private life for parents and carers is a priority in the field of social policy, which is also reflected in the draft Directive of the European Parliament and of the Council of 26 April 2017. This proposal seeks to improve, from a broader perspective, the problem of the unbalanced division of labour between women and men. The Commission came to this initiative when the previous attempt to achieve the objective pursued showed that merely imposing an adjusted minimum leave for mothers was an insufficient guarantee. A broader approach is therefore needed to make care tasks more possible. It is true that these care tasks also include family care. This proposal was a worthwhile attempt. At present, Member States are giving feedback on the proposal in order to start negotiations with the European Parliament. It is also important that we have indeed made progress on the Summer Agreement. The implementation procedures of the Royal Decree on Family Care have long been at the disposal of this Government. Since the Summer Agreement, we have cut a number of buttons. Here too, we have provided for the possibility of granting pension rights in the context of certain tasks of family care. Further work can be carried out on this common basis. It is still Mr Bacquelaine who deals with pension rights. The recognition and adjustments to be made as soon as possible require further consultations in the field and with Minister Peeters.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u41	Madam Secretary, thank you for your reply. The existing law needs to be amended before it can continue to build up rights. The question is when an initiative will be taken in this area. Then there are the implementing decisions. A nice intention was declared, but this still needs to be converted into KBJVs. What's the timing of this? When will the law be amended? It was possible to change the Summer Agreement very quickly for a number of things. I'm not asking for impossible things. I just want to know what the timing is for the implementation of the things that have been agreed so that we can move forward.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u42	Madam Secretary, I have the same question. I asked Mr Bacquelaine this question, but I was referred to you. I can also ask Minister Peeters the question, but I think he will also refer you to him. It is time to link a timing to this. Perhaps you should discuss with your fellow Members how this is going to be done. There is no point in referring to your fellow Members. When we put the question to your fellow Members, they point to you. I think this action is necessary, Madam Minister.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u43	Two things have to be done. Firstly, the granting and development of the status of the caregiver. Secondly, the rights attached to it. There are, after all, different degrees of care, depending on the need for care of those who are cared for. So there were different views on this for the Summer Agreement. Some saw it very broad and wanted to grant rights to everyone. I believe that we should work step by step and that there is a difference between caring for people who are no longer able to take care of themselves and others, and that this first category of caregivers should be given more rights. That was indeed a point of discussion. With the Summer Agreement, a number of points have been made on this issue and we can now make real rapid progress. I do not allow myself to be pinned down on strict timing, but I think it is very important to provide support to the professionals for the needs on the ground, with an ageing population and more caring people. The carers must be able to build rights on this basis. So that is very clear. I do not move the hot potato, but it is clear that there has not been the same vision of this in the past few months, which is the case now. I have already said it twice: the Summer Agreement has set the noses in the same direction and we will proceed with this as soon as possible.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u44	Mr President, Minister, I do not come to this committee very often, but there are also occasional aspects of mobility. I refer, for example, to the mobility allowances and the draft law that will be discussed here next week with regard to the principle of cash-for-car. However, this question relates specifically to the RSZ contributions to the company bicycles. This morning news came out that the number of company cars reached a record level again in 2017. I would prefer the number of commercial bicycles to reach a record height, but there is still an obstacle there. Companies can today make company bicycles available to their employees. The advantage of such a company bike is calculated pro rata and globalised with the total wage and must therefore be indicated. If the bicycle is only used for professional and residential work trips, then the use of the company bike is not subject to RSZ contributions. However, if the bicycle may also be used for private trips by the employee, then the subjection is pro rata. The strange thing is that this applies to the company bike, but not to the company car. This RSZ obligation therefore inhibits the growth of the use of commercial bicycles. This is not just about the financial aspect, because in the end it is about relatively low amounts. The lack of clarity and the administrative burden associated with this alone slows down many companies to import commercial bicycles. We therefore believe that simplification and, preferably, even the abolition of the RSZ obligation to introduce the company bike could give a huge boost. For example, the company bike could be a full alternative to other forms of commuting. Madam Minister, what is your view on abolishing the RSZ contribution to the private use of commercial bicycles? I'd like to get some explanation on this. Have you been in contact with other ministers on this matter? After all, we must look at this in the global mobility problem with other forms of commuting. The tax treatment of such cases must, of course, also be involved. Following an earlier question, you referred to the discussions that would take place in connection with the mobility budget. These discussions are still ongoing. To what extent is the problem mentioned here addressed? What results has that produced?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u45	Mr President, Mr Van den Bergh, at the Council of Ministers on 15 December, a draft decision was adopted which provides for an update of the social security treatment of the company bicycle. It's about pedelecs and other new bikes. The design of the Royal Decree aims to adapt the regulations to the changing vision of mobility in the area of commuting. The proposed amendments aim to encourage the use of this environmentally friendly means of transport for movements between the place of residence and the place of employment, thereby contributing to environmental objectives, in particular improving air quality and public health. For example, on 18 May the Council of Ministers also adopted a bill from the Minister of Finance which extends to users of an electrically powered motorized bicycle and an electrically powered speed pedal, the exemption from the income tax of the mileage allowance granted by the employer for commuting by bicycle and the benefit resulting from the provision of a bicycle and accessories, including the maintenance and storage costs for commuting. As a result, the draft Royal Decree adopted by the Council of Ministers on 15 December provides for two adjustments for the treatment of social security. First, the notion of bicycle as referred to in Article 19 (2) of the Royal Decree of 28 November 1969 receives the same broader interpretation as it did in the tax legislation. The new types of bicycles are therefore included. Secondly, the same Article 19 (2) is supplemented by point 23, which provides for a new exclusion from the wage subject to social security contributions for the benefit resulting from the provision of a bicycle and accessories, including maintenance and storage costs, for commuting. That entered into force on 1 January. Let us now hope that we do not have too many accidents and that we do not have too many accidents, otherwise the public health benefits will not be so good. There are quite a few accidents reported due to too fast cycling.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u46	Madam Secretary, thank you for your positive reply. It was already clear to me that the bicycle fee is also exempt from social contributions for users of a speed pedal. However, it was not clear to me that company bicycles in general, including for private use, are also exempted from social contributions. That is, of course, good news. Your concern for mutual respect for slow and fast cyclists is, of course, very justified. This point certainly deserves vigilance.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u47	Madam Minister, Article 37 of the Act of Accidents at Work provides that "Where the person concerned is to receive benefits under a social security or social security scheme which are granted only on condition that the statutory limits of permitted work for pensioners are not exceeded, the basic wage shall be fixed only in accordance with the remuneration due as a result of the performance of the authorised work." Moreover, the basic rule resulting from Articles 34 and 36 is not applied to them in that, in the case of permanent incapacity for work, the income from partial benefits is supplemented to full-time employment, after which the limitation to the amount of the work admitted could be applied. As a result, for small services, the fee is not calculated on the basis of the limit allowed. In addition, Article 5 of the Royal Decree of 10 December 1987 provides that, in the cases referred to in Article 37 of the Law, the amount of the supplementary allowance shall be reduced by half. In the meantime, for many pensioners, the limit for permitted work has been abolished. In the case of Fedris, it appears that it is not possible to determine whether, in the event of an accident at work, all the provisions referred to above and any restrictions arising therefrom are still applicable to their employment. As a result, some victims have for years been dependent on extremely low compensation and remain uncertain whether it will be revised or not. Madam Minister, are you aware that many pensioners who have been victims of an accident at work after retirement for months, and in some cases even years, have been unaware of the exact amount of compensation they will receive and that they will receive a very low remuneration pending Fedris' final position? Do you recognize that there is an anomaly for some pensioners, on the one hand, by the abolition of the limit on permitted work and, on the other hand, by the provisions I have mentioned? In what sense will the legislation on accidents at work be adapted to the new pension legislation?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u48	Mrs Kitir, when legislation changes in one domain, the law must be able to change in another. Your question is therefore justified. While the ordinary rules on basic wage calculation aim at a basic wage corresponding to the earnings of a full year preceding the accident at work and in accordance with a full-time working regime, the exception initially states that the basic wage of the victim retired at the time of the accident at work should be limited to the limits of the permitted work applicable to him as a pensioner. If his earnings as a pensioner are higher than those limits, the basic wage will be limited to those limits. Therefore, it is also clear from the settled case-law, which over the years has formed around the application of the law in question, what should be done with the basic wage of a retired victim who earns less than his limit of permitted work. In that case the earnings will not be supplemented, not until a full reference period has been reached, but also not up to the limits of permitted work. In other words, the dominant and settled caselaw states that the basic wage of the retired victim must reflect his limited performance as a pensioner. Since 1 January 2016, pensioners who still want to earn additional income are no longer bound by the limits of permitted employment under certain conditions. On the question of whether Article 37 of the legislation on incapacity for work is still applicable in such cases, the Fedris Management Committee replied in the affirmative at the meeting of 17 July 2017 and after consultation of the Working Group. It also approved a proposal by the services to rewrite Article 37, inter alia, to resolve known application problems. The amendment was approved by the Management Committee at the July 2017 meeting and officially confirmed at the October 2017 meeting. We are likely to include these amendments in a subsequent programme law containing various provisions. In concrete terms, it means that the basic wage of the second-earning retired victim will always be in line with the number of benefits provided and his working regime as a pensioner, even if he or she meets the conditions for unlimited income at that time. The only difference with the pensioner who does have to meet the limit of permitted employment is that the latter's earnings may, where appropriate, be capped up to the limit of permitted work applicable to him. A pensioner who is entitled to unlimited additional earnings will therefore also have a basic wage corresponding to his or her performance. This means a full basic wage if he continues to work full-time, and a proportional basic wage when it comes to a less than full-time supplement. The reason behind the interpretation is that the basic wage, as a basis for the calculation of the fees, is supposed to reflect the competitiveness of the victim in the labour market. If a retired victim voluntarily restricts his benefits, according to established case law, there is no reason to supplement the earnings to the full benefits, even if the limits of permitted work for pensioners who apply to him would leave room for this. On the other hand, victims of an accident at work resulting in permanent invalidity are subject to Article 42a of the Act on incapacity for work as from their retirement. This means limiting the annual compensation or interest to the flat-rate minimum amount of the additional benefit, and that applies ipso facto also to victims who earn as pensioners at the time of the accident at work. In other words, if the basic wage was calculated pursuant to Article 37, the flat-rate amount is even halved. The halving will also continue to apply to pensioners who are entitled to unlimited additional earnings at the time of the accident at work. The Management Committee instructed a working group to examine the possibilities of adapting this measure. The next meeting is scheduled for 18 January 2018. Fedris' services unblocked the files for ratification in August 2017, shortly after the decision of the July Management Committee. As regards the calculation of the basic wage, there are no further pending dossiers. The uncertainty relates to the aspect of the half-life of the additional benefit. In the current state of legislation, that measure remains fully applicable. It is intended that the working party should draw up a proposal for a solution as soon as possible and submit it to the management committee. In order to have an idea of the number of persons involved, some 60 cases of accidents at work with permanent invalidity of victims who were retired at the time of their accident at work are being processed each year. However, we expect that this number will increase over the next few years. It is therefore essential that the matter be properly dealt with.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u49	Madam Secretary, thank you for your comprehensive answer. It is nice to hear that the necessary steps have already been taken to adapt this. Hopefully we will be able to vote quickly on the law in our committee, so that this change will come about quickly, because that will be an improvement for those involved.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u50	Debates of the European Parliament Mrs Jadin's 19766 question was converted into a written question. Merged Questions No. 19910 and No. Mr Daerden's 20044 was deleted.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u51	Mr President, Minister, this is a question of clarity from the field of work. A non-profit association is now free to enter into an omnibus insurance scheme for the transfer of volunteers and to cover its contributions. It is also not a problem that, under such an insurance scheme, the association reimburses the franchise borne by the volunteer to the latter. That is settled, and there is clarity about that. However, this does not fully clarify the situation that arises if the association itself has not taken out omnium insurance for the movements made by the volunteers in the context of their voluntary service. In that case, too, it is conceivable that a volunteer may have an accident during his or her transfer and that the voluntary association will reimburse him or her the costs that the volunteer will have to bear. It seems logical to us, by analogy with the charge of the franchise if there was an omnibus insurance, that this poses neither social nor fiscal problems. If the personal volunteer has concluded an omnium and the association repays the franchise to the volunteer for an accident during his or her transfer as a volunteer, can the reimbursement be covered by the voluntary allowance as laid down in the law on the rights of volunteers? Is this also the case when it comes to ordinary civil liability insurance, which does not cover the volunteer's own damage, and the association repays the damage?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u52	Mr President, Article 10 of the Law of 3 July 2005 on the rights of volunteers provides for two ways of reimbursement of the costs of volunteers. Firstly, that is the reimbursement of the real costs or the payment of a flat-rate fee. In 2013, that was 33.36 euros per day and 1334 euros per year. The following situations may arise. Firstly, the organisation itself takes out an omnium insurance scheme for its volunteers who volunteer with their car and then takes over the franchise to the insurer in the event of possible damage. Even if the organisation does not recover this franchise from the volunteer, it is not taken into account for the calculation of the volunteer's expenses. In this situation, therefore, the ordinary flat-rate allowance can still be paid for his or her voluntary service. We assume that this will not be a livelihood either, because then there will be the necessary difficulties. A second possibility is that the volunteer has taken out an omnium insurance scheme for his car and that the organisation decides to repay him or her the franchise in the event of possible damage during the performance of his or her volunteering. In this situation, it concerns the reimbursement of the real costs that the volunteer has incurred in the context of volunteering. The reimbursement of these costs is therefore possible, but not in combination with the flat-rate reimbursement. Article 10 (4) of the said Act expressly states that the flat-rate and real cost allowances for the volunteer must not be combined. The same applies to your question about non-refundable civil liability damages.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u53	Madam Secretary, thank you for your clear answer.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u54	Debates of the European Parliament Mr Senesael's 20250 expires.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u55	Madam Minister, this question dates back to September, following reports in August. A doctoral study by the department of Sociology at VUB revealed that cleaners die more often from diseases than servants and executives, especially lung diseases. Male cleaners die 45% more often from lung disease than servants and executives. In the case of cleaning women, the risk of death is increased by 16%. The effects of smoking were filtered from these results. The exact causes have not been investigated, but international research has already shown that there is an effect of chemical polishes and biological substances such as dust and fungi on the lungs. After smoking, there is now also a clear link between cleaning and mortality. That is appalling, especially the high figures. It is striking that the effects are greatest among household helpers, perhaps because they work several times a week or a day with strong products. This post appeared only once somewhere in the newspaper, after which little more was heard about it. I thought that was a little weird, because this is topical after all. That is why I would like to ask you, Madam Secretary, whether you have taken note of this study? Are you considering measures? Is there any further investigation into this? Did you know about that?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u56	Minister, an investigation conducted by the VUB has shown that cleaning staff are twice as likely to die from lung disease as managers and employees. In her study, Laura Van Den Borre reviewed the labour force from 1991 to 2011 (workers aged 30 to 60) and investigated the causes of death. It shows that of the 202,000 deaths among men and 58,000 among women, there is a 45 per cent higher mortality among male cleaning workers than among employees and managers. For women, the risk of death is increased by 16 per cent. The leading cause of death in this category of workers is clearly lung disease. The study did not investigate the precise cause of this overmortality, but it indicates that the international literature has already shown that there is a negative effect on the lungs of chemical varnishes and biological substances such as fungi and dust. For the first time, a clear link is established between cleaning activities and overmortality. The study believes that more research should be done on these respiratory problems in the cleaning industry and calls for further prevention and training. Minister, are you going to commission additional research on hazards to cleaning staff, including the cause of lung disease? The study recommends further prevention and training on the hazards of chemical cleaning products for cleaning staff. Will you go in this direction and, for example, will you organise a consultation with the social partners? Are you planning further action? Are you working on a list of cleaning products containing substances whose harmful impact on the lungs has been proven? Are you prepared to make recommendations to the cleaning sector, such as banning the use of certain products if it has been proven that they have a negative impact on health?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u57	Mr President, Mrs Jiroflée, Mr Van Hees, I have indeed taken note of this study. The results are striking. The maintenance sector is certainly a risk sector for employees. This sector has a lot of jobs outside office hours, where the work rhythm and movements performed also pose a risk for tendon disorders, tendinopathies, allergic skin disease or even allergic asthma. However, Fedris, the Federal Agency for Occupational Risks, has no knowledge of a significant increase in the risk of lung cancer among this group of workers. On the other hand, caution must be exercised in drawing lessons from such a study, which compares workers of different status. Other causes could be taken into account to explain this higher mortality rate. The clear correlation between life expectancy and the socio-economic level of a population is well known. It would therefore be interesting to examine whether staff in the cleaning sector were experiencing increased morbidity and life expectancy which was worsened compared to a population of the same socio-economic level which was performing another job. As far as prevention measures are concerned, of course they are the responsibility of Mr Kris Peeters, the Minister for Labour, who is responsible for monitoring the health of workers.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u58	Madam Secretary, thank you for your answer. I am well aware that they have not looked any further because this was a doctoral study within the Sociology department. That is why I mentioned it. I am also well aware that we must be careful about the information because socio-economic aspects are also involved. Yet it was a striking comparison. However, I believe that the figures are, to this extent, striking or even alarming that they justify further research. We could therefore possibly entrust the KCE or other bodies with a further investigation. In any case, I will also ask Minister Peeters, but I think these figures are alarming enough to be cautious on the one hand, as you say, and, on the other hand, to be careful on the other hand and to look at that more closely.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u59	Minister, I think you're "sweeping" this study a little bit easily. You tell us that the federation does not know the cleaning sector and that other causes can play. That's the next question! It's quite challenging. I agree with you that we must be critical of the conclusions drawn in any scientific study. Other causes, such as the correlation between socio-economic level and mortality rate, can play a role. However, there is something out of this study. It points to the level of lung disease. It can be seen that there is an overmortality in general but an even greater overmortality, of the order of double, in the matter of lung diseases. Even if all this has to be verified, it can be assumed that there is a link with the products to which these workers are exposed. Such a study cannot be easily swept away. This study calls for and deserves further study.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u60	Mr President, I would like to say that everything here is starting to live its own life. Mr Van Hees, it was a doctoral thesis and not a study. There's a difference. It's a thesis, not a study. And I say that a study really needs to be done to determine whether there is a link between lung disease and work or whether this link is more about the socio-economic situation, and this type of link is also recognized. So I'm not just gonna turn to the order of the day. However, there is no study yet, no evidence has yet been provided. There is a thesis, a doctoral thesis. The cases must be appointed as they are. I think it is important enough to work on this, but there must first be further research in a scientifically sound way. Until further notice, a thesis is not a study. I've been trained in science myself. A thesis is a piste that is developed and with which one brings something up to date, but no real study has yet happened.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u61	Minister, I don't know if we agree or disagree. You say we have to do a study. That's exactly what I'm asking you! We have to do a study. There is this thesis that is quite challenging and I find it necessary to have an initiative on your part to do a study, indeed. If that's what you meant when you said you had to do a study, we agree. If that's not it, then I think there's a disagreement.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u62	Madam Minister, I would like to return to the social status of contracted doctors over sixty-five years of age. We discussed this in 2017 at the time of the bill on various public health provisions. You made a commitment to maintain certain statutory benefits for active pensioners. However, I was able to see that this was not always the case. In addition, in the section of the INAMI website on the social status of the doctor, I found this indication: "In this case, we cannot temporarily pay you annual contributions. Concertation is under way to determine what social benefit will be provided instead. As you are in this situation, we ask you provisionally not to apply." My question goes back several months, but I would like to know in the end what it is going on for contracted doctors who continue their activity beyond sixty-five years. Do they have a social status corresponding to the commitments you made? Are there other benefits? If so, what are they? What about the expectation of an agreement advocated by INAMI?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u63	Ms Fonck, Article 17 of the Act of 18 December 2015 to ensure the sustainability and social character of supplementary pensions and to strengthen their complementarity with retirement pensions states that the pension agreement remains in force until retirement. On the basis of the idea that a supplementary pension is a supplement to the statutory pension, the Act on Supplementary Pensions for Self-Employed Persons is thus amended to clarify that the payment of supplementary pension benefits takes place on the occasion of the actual taking of the retirement pension. Accordingly, for providers of care whose legal pension has taken effect or will take effect after 1 January 2016, the social benefits which would be granted to them under the traditional system provided for in Article 54 of the Law on Compulsory Insurance Health Care and Allowances (ASSI), coordinated on 14 July 1994, may no longer consist of a participation of INAMI in premiums or contributions for social-type pension agreements within the meaning of the regulations. Articles 44, § 6 and 54 of this Law will no longer make it possible to compensate financially for the accession to agreements and agreements for providers of care who, from 1 January 2016, take or have taken their actual retirement with the benefit of their legal pension. The amendment to the ASSI Act, co-ordinated on 14 July, which you have just mentioned addresses the exclusion of caregivers who are in the situation described in the preceding paragraph. This exclusion, if continued, threatens the rate of adherence to conventions and agreements on the part of health-care providers and would not only undermine the existence of medical- and dental-mutualist agreements and, more generally, the availability of quality services for patients. This legislation, which was already applied only to physicians, provides benefits that are not deemed to be social to caregivers who meet certain conditions. This would be the granting of a premium for accession at the end of the agreements and conventions. It is envisaged that a royal decree will execute the legal terms of this new article 54, § 3. Work on this implementing text is under way with the collaboration of INAMI.
