ParlaMint-BE_2018-03-07-54-commissie-ic836x.u1	Mrs. Willaert is sorry. Mr Van Hees, you have the floor.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u35	Mr President, there is also a certain reluctance to investigate nuclear exports. What is the subject of the dossier, which is very relevant and has a fairly long history? In 2010, Parliamentary questions revealed an export of depleted uranium gamma-graphy devices to Iran, an infringement of the law of 9 February 1981 on the conditions for exports of nuclear materials and nuclear equipment as well as of technological data. On a regular basis, I question the Minister for Energy on the subject and the latest reply showed that the judicial investigation is still ongoing. The Energy Minister referred to you for a state of affairs. Now that the investigation has taken so long, can you give me an update on the investigation into exports of gamma-graphy devices to Iran? In the meantime, a new legal investigation would also have been opened, according to the reply of the Minister for Energy. There could be further infringements of the law of 9 February 1981. Can you give us more information on the state of the investigation, where and how it is conducted?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u36	Mr Calvo, the information requested concerns judicial files again, which are protected by the secrecy of the investigation. Nevertheless, I can communicate the following information provided by the prosecution. The first file on which you request information is currently being examined by the investigating judge in Charleroi. This is a Canadian company that sold its Belgian site with nuclear equipment for medical purposes to another foreign company, setting up a financial commission so that the buyer could process the nuclear waste. The research has three components: one on the avoidance of funds, one on the abandonment of nuclear waste and one on the export of nuclear material to Iran. It shall be stated that the material exported was not dangerous. This examination takes some time by the international requests for legal aid, which must be carried out in this context. The second case concerns an investigation conducted by the Prosecutor of the King of Charleroi concerning the non-compliance with Belgian nuclear legislation. They are violations of the law of 9 February 1981, in particular the use of obsolete material on the nuclear site contained in the cited file. It should be noted that there is no risk to the public and that the Public Prosecutor's Office cooperates closely with the Federal Nuclear Safety Agency, which conducts very regular on-the-spot checks.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u37	Mr Van Hees and Mr Maingain are not present, as are Mrs Jiroflée.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u38	Mr President, Minister, according to the newspaper Le Soir of this 2 March, several transgender people who requested a change of civil status received a summons from the police and were then subjected to very thorough interrogations, this in the judicial districts of Liège, Hainaut and Luxembourg. Since the adoption of the law of 25 June 2017, which we have all worked hard on in this commission, which came into force on 1 January, the King's Prosecutor can deliver an opinion within three months of the filing of the application. If the opinion is favourable, the applicant returns to the services of the population of the municipality and thus quickly obtains his new identity. In response to a letter sent to you by an interested party concerning the existence of abusive controls, you said: "The Public Prosecutor's Office will therefore not intervene systematically". In any case, it would seem that in Liège, these police convocations, and the resulting in-depth investigations, are automatic, in the name of the risks of identity theft and the fight against terrorism – which seems particularly strange. Minister, beyond putting the issue on the agenda at the College of Attorneys General, what steps are you going to take to put an end to these disproportionate, unnecessary, vexatious interrogations and to the systematic nature of the audit of the Public Prosecutor's Office in these procedures that were thought to be soothing and therefore swift by the legislator? What message from the government was delivered at the meeting of the college in question last Friday? Could you explain to me how the entry in the national register of transgender persons is organised? Is every effort made to ensure that the possible former national registry number is somehow linked to the possible new number, in order to keep track of this development, if a judicial investigation is required later? Could you reassure us that a change of sex or gender obviously does not cancel a possible criminal record?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u39	Minister, recently, several associations have complained of abusive controls in the context of gender change procedures. Thus, while - as you said recently - the Public Prosecutor's Office does not have to intervene systematically, it seems that this is the case in several Walloon judicial districts. Those who wish to change their sex and who have started the procedure with the civil registry, are therefore systematically summoned to answer questions that are often of the order of the intimate. These summonses seem to be motivated by fears about identity theft. However, foreign examples show that no one has ever used this procedure as a means of fraud. The associations believe that in doing so, the King's prosecutors go beyond their prerogatives and that they "must be trained in these questions because they have no idea what a transgender person is." Minister, you have repeated it many times, the law is clear. Do you confirm that such systematic controls are taking place in certain boroughs? What is your opinion on this? It came back to me that the subject had recently been brought to the agenda of the College of Attorneys General. Has that been the case? If so, what has emerged?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u40	The aim announced by the legislator was, in fact, the relaxation of the existing gender change procedure. The legislator has thus provided that the Public Prosecutor's Office may deliver an opinion within three months. Beyond this deadline, the absence of an opinion will be regarded as a favourable opinion. As in any matter affecting the state of the person, it is for the Public Prosecutor's Office to intervene when public order so requires, as provided for in Article 138bis, §1 of the Judicial Code. Article 62 of the Civil Code merely transposes this principle into the procedure for amending the registration of sex. The travaux préparatoires to the circular of 15 December 2017 on this law give indications as to the extent of the supervisory powers of the Public Prosecutor's Office in this area. As stated in this circular, simply having a criminal record is not enough to give a negative opinion. This opinion must be based on other elements. Therefore, a police hearing at the request of the King's prosecutor can only take place when there are indications of annoyance with public order and therefore cannot be systematic. If there is an audition, it must be done with respect for the transgender person. Although the right to privacy may be limited by public policy considerations, this infringement must remain proportionate, as the European Court of Human Rights has stated on numerous occasions. I further clarified this issue during the consultation with the College of Attorneys General last Friday. Like you, I have been informed of practices in the provinces of Liège and Hainaut by transgender organisations and by a few citizens. My administration does not have figures on the number of people who would have been affected by such practices. With regard to the measures, I would like to point out that the College of Attorneys General is competent to issue directives on matters on which the advice was given, not the Minister of Justice or the Secretary of State for Equal Opportunities. It concerns, inter alia, the actions brought under the Law of 10 May 2007 on combating certain forms of discrimination and on adapting the registration of the sex of a person in its instrument of birth, paragraphs 12 and 17 respectively of the Law of 10 May 2007. Those guidelines shall be binding on all members of the Public Prosecutor's Office. The Attorney General at the courts of appeal is responsible for the implementation of the directives within their jurisdiction. The network of expertise in civil matters of the College of Attorneys General has been mandated by the College to review the implementation of this new legislation. The College will decide, on the basis of this review, whether a circular should be sent in order to supervise the practices of the various prosecutors' offices and the police services in this field. In any event, the prosecutors of the King of Liège and Mons have already informed me that they will amend their own directives in this area. I have no knowledge of the practices of other jurisdictions. According to the information provided to me by the Internal FPS, the change in sex registration results in the assignment of a new national registry number. The previous national registry number shall be cancelled. The entries TI 002 and TI 250 in the national register of the person do, however, make the link between the cancelled file and the new file, which will allow the authorities to keep track of the previous file. For further information on this point, I invite you to address my colleague from the Interior, who is in charge of the national register. Finally, a change of sex does not result in the removal of a possible criminal record. If a person with a criminal record changes gender, the identity data are automatically updated and the gender change is recorded directly in the central criminal record. In fact, the CJCS-CG application of the central criminal record receives daily transfers, i.e. changes to the national register of natural persons. These transfers include changes in surname, first name and gender. Changes in national numbers are also taken into account. The old identities remain stored in the central criminal record records. It is therefore always possible to find an identity in the latter, even if it was subsequently changed. There are currently 242 persons in the central criminal record for whom a gender change has been recorded.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u41	Minister, thank you for your clarification. Therefore, there is no danger at all, nor is there any practical, safe or political reason to conduct these extremely intrusive investigations since the data are retained when you switch from one national number to another and the criminal record is not cancelled. It is therefore up to the public prosecutor to be much more flexible. The Public Prosecutor's Office has clearly exceeded its rights, in any case in Liège. I am therefore pleased to learn that he has been "recognised" by the prosecutors. So maybe you won't have to take any further steps. In any case, you were clear in your answer: the law was intended to simplify and facilitate an approach that is not obvious. Let us hope that the judicial districts concerned are informed of the exchange we have just had.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u42	Minister, I am also very pleased with your answer, which sets things straight. I am pleased that the meeting took place with the College of Attorneys General and went in the direction that seems most logical to us, and that is also yours. Personally, I would like to have a circular to clarify things, especially since this is a new subject for many people involved in these changes. You mentioned the number of 242 changes to the central file. Since when? Since January?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u43	I'll send you an e-mail if you don't mind.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u44	All right. That's very nice of you. Thank you for your clarification.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u45	This concludes our first part of the afternoon. We will resume our work when the majority is in number, which is not the case at the moment.
