ParlaMint-BE_2018-04-18-54-commissie-ic870x.u1	Mr. Van Peteghem has just left the committee meeting.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u24	Deputy Prime Minister, on 9 April this year began a week of negotiations at the United Nations Human Rights Council on the drafting of a declaration on the rights of peasant women. In the event of adoption, the text will then be submitted for formal approval to the UN Member States at the next General Assembly, scheduled for September 2018. Let us remember that 70% of the food produced on our planet comes from peasant agriculture. However, 80 per cent of the world's hungry are rural farmers. Industrial production, monocultures, the development of agrofuels, speculation on land or biopiracy lead to the grabbing of the land and natural resources of rural workers, fishermen, shepherds, forest dwellers, and thus to the disappearance of their means of subsistence. That is why I asked the Minister for Development Cooperation yesterday, who also encouraged me to address it to you, which I had already planned to do. It is in this context that the idea of an official UN declaration has emerged in peasant trade unions and other associations, including environmental ones, and has now been discussed in the United Nations cenacles. It speaks of rights to land, seeds, decent income and food sovereignty. The draft text under discussion innovates by highlighting the concept of the common good: forests, grasslands, rivers, fishing areas, on which rural communities depend for their cultural identity, but also and above all their food survival. For the first time, international law would therefore protect the "common" as a collective institution of self-management. While the States of Africa, Asia and Latin America support the project, Western countries are not very enthusiastic. The United States and Great Britain have totally rejected this initiative. And the countries of the European Union – apart from Portugal last year – abstained at previous preparatory meetings. Belgium's role is crucial since our country is still sitting on the Human Rights Council this year. Minister, what position did Belgium stand during the discussions held in Geneva in April 2018? What is your view on the idea of sacralizing, in a universal text, the rights of peasants and, in particular, the concept of "common", new in international law? Is the promotion of equality between women and men, promoted by this draft text, in rural areas not a reflection of many initiatives carried out by you, but also by the Minister responsible for Women's Cooperation on other international issues?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u25	Mr Hellings, it is a bit of a shame that we are just two more to listen to the minister's answer.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u26	Mr President, I am pleased to speak and welcome the arrival of Mr Hellings. In concrete terms, I believe that the best is always the enemy of good and I will explain it to you in order to give you the position of Belgium and the European Union. In accordance with the resolution adopted at the 36th session of the Human Rights Council, a draft Declaration on the Rights of Peasants and Other Persons Working in Rural Areas will be submitted to the 38th session of the Human Rights Council. A draft declaration had just been negotiated at the fifth session of the intergovernmental working group on the rights of peasants and other persons working in rural areas. This text is currently under discussion within the European Union. The Belgian delegation's position in the negotiations in this context is in line with the European Union's statements. Moreover, the Member States of the Union abstained, you recalled, in a previous vote in the Human Rights Council on the resolution establishing the mandate for these negotiations. The concern of the European Union, which our country shares, concerns the proliferation of formal human rights instruments. It was a priority that the universal nature of human rights should be upheld and that those rights should be implemented on the ground. This mainstreaming of human rights in our foreign policy is a priority for our country. It is therefore important that we defend and strengthen existing human rights instruments within the United Nations. Like the vast majority of the Member States of the European Union, Belgium is concerned that this initiative of the Declaration on the Rights of Peasants and Peasants does not contribute to the fragmentation of human rights, which would have the direct effect of weakening its universality, since any new rights included in the Declaration would apply only to peasant women and peasants. Rather than defining new rights, our analysis is that it would be more useful to focus on the important issue of access to land, seeds, etc. The Member States of the European Union have therefore worked in the course of the negotiations on this declaration to be part of the existing instruments and to focus on how they apply to people in rural areas. I would like to stress that Belgium attaches great importance to respect for gender equality, and embassies do not fail to follow up on cases of abuse and violations of these rights, often in coordination with the European Union. Concrete actions for the protection and realization of the rights of peasant women are also carried out through our development cooperation programmes. Still recently, Belgium has been actively working on strong conclusions at the last session of the Commission on the Status of Women, whose priority theme was precisely the problems to be addressed and the opportunities to be exploited to achieve gender equality and the empowerment of women and girls in rural areas. So it is in this logic that we fit in. As I have said on several occasions, as far as our representation in international forums is concerned, I see no problem in having hearings of our representatives on the spot. Indeed, we must be aware that we really favour the universal nature of human rights. And we are very concerned, as is the case with the members of the European Union, whenever we come with the desire to identify a particular situation, as if it could not benefit from existing instruments for the protection of human rights or as if there was a particular specificity to take into account. As I have just pointed out, it is clear that we are very active in moving also towards the use of existing instruments in promoting, for example, the empowerment of women and girls in rural areas, but within the framework of the universality of human rights. These are the reasons why the European Union – not just Belgium – has a number of observations and remarks against or about initiatives like this one. This is not the substance of the problem. This is the way to approach the latter and the instruments to be used. One cannot constantly claim the universality of human rights and imagine that one can compartmentalize situations alongside one another. The instruments exist within the United Nations. We can strengthen them. We are, moreover, fully prepared to do so.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u27	Mr President, Mr Minister, the question of gender, in any case in the agricultural field, is very much linked to the question of ruralism. Indeed, we are talking about farmers, but, in fact, we are talking mainly about women farmers. I hear your argument about the European Union and the idea of not fragmenting human rights. In that case, it would be an official declaration and not a treaty. The scope of an official declaration aimed at recognizing the concept of "commons" for rivers, meadows, forests and other fishing areas is intended to introduce into the international legal corpus a new concept, that of "commons", by a general declaration and then, if necessary, to amend other treaties. The stakes are as follows: today we are witnessing a proliferation of trade agreements aimed at protecting the rights of investors all over the world – you know something as you follow them very thoroughly – and the European Union is playing an important role in this area. The aim is to protect the rights of investors in relation to other rights. The challenge of the multilateral discussion within the United Nations is to increase the safety of people who have been using and living for tens of generations on forests, meadows and rivers by a principle of "common law" that they could oppose, where appropriate, potential investors who, in a profit-making sense, cannot be condemned, take over these lands, rivers and woods. The challenge is to recognize that the human right to live in the place where all previous generations have lived is paramount in relation to that of a potential investor. In my opinion, there is still work to be done. The European Union is carrying out this work. I hear that Portugal has a dissonant voice in relation to the 27 other countries of the European Union, since it did not abstain but voted in favour. I think we could think about moving in that direction. This subject is extremely interesting and will allow us to go further in a later debate. We won't miss it.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u28	Mr President, on 30 March last, a "Great Return March" was organised in the Gaza Strip. This protest movement, which will last six weeks, provides for rallies along the security fence to demand the "right of return" of Palestinian refugees and denounce the strict blockade imposed by the Hebrew State on Gaza. The Israeli army opened fire on Palestinians who had approached a few hundred metres from the barriers. On Monday evening, the Palestinian side suffered 22 deaths and more than 2,470 injuries, including 1,000 by live fire, according to the Ministry of Health in Gaza. There was no injury on the Israeli side. The Israeli army claims to have used live bullets only against demonstrators throwing stones or explosive devices in its direction trying to sabotage the ultra-secure barrier along the border. The Palestinians accuse Israeli soldiers of having fired at demonstrators who did not represent any immediate danger. The Secretary-General of the United Nations, Antonio Guterres, as well as the High Representative of the European Union, Ms. Mogherini, called for an independent investigation into the use of live bullets by Israel, demands immediately rejected by the Hebrew State. Minister, can you take stock of the situation? What is Belgium's position on this? Will it also support this request for an independent investigation? Will this be addressed in our bilateral diplomatic relations?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u29	Mrs Grovonius, like all those who are committed to peace in the Middle East and to a two-State solution – the only dignified, just and lasting solution to the Israeli-Palestinian conflict – I absolutely deplore the thirty deaths and the many Palestinian wounded who have fallen since 30 March. We believe that these tragic incidents are dangerously moving us away from a resumption of the necessary dialogue between the parties and merely consolidating the extremist forces on both sides. For the time being, the priority is to avoid the reproduction of such incidents. That is why Belgium and, together with it, the European Union have called on the Israeli authorities to exercise maximum restraint in order to prevent any disproportionate response from their security forces in the days and weeks to come. All parties concerned must also work to stop the escalation of violence and contribute to a return to calm. This also concerns Hamas and the factions that control Gaza. Belgium fully supports, as I have recalled, the request made by the High Representative of the European Union Federica Mogherini and by the Secretary-General of the United Nations Antonio Guterres for an independent and impartial investigation into these incidents. The use of lethal fire against unarmed demonstrators who do not pose an immediate threat to the security of Israel's borders and the lives of its citizens could, if established, constitute a violation of Israel's humanitarian law and international obligations. I also note that there are voices in Israel itself against the policy of absolute firmness that is currently being advocated by the Israeli government against Palestinian protest movements. Through our representation on the ground, as in the case of the European Union, in the various contacts that we will pursue at the diplomatic level, we will return to this situation. The priority is to prevent this dramatic situation that we have been experiencing since 30 March from continuing or renewing and, of course – as in other issues we have mentioned today – from returning to a negotiating situation with a view to a two-State solution. Unfortunately, the latter is losing more and more ground. We have talked about other aspects of this issue, but this is particularly so in view of the dramatic context we have been experiencing in recent weeks.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u30	Minister, thank you. The two-State solution is the one we call for. One way of achieving this would also be for the Belgian Government to recognize the Palestinian State.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u31	Question No 24829 by Mr Peter De Roover and questions No 24839 by Mr Dirk Van der Maelen, No 25006 by Mr Benoit Hellings, No 24920 by Mr Stéphane Crusnière, No 25007 and No 25014 by Mrs Kattrin Jadin. Questions Nos 24863 and 24935 by Mrs Fatma Pehlivan are transformed into written questions, as are questions Nos 24937 by Mr Dirk Van der Maelen and 24979 and 24980 by Mrs Kattrin Jadin.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u32	Minister, "there is no doubt that Jerusalem is the capital of Israel. It's clear: point to the line! There is no discussion on this. But today we are in a political context, and Europe sees Jerusalem as part of the negotiations for a two-state solution." It was in these terms that Secretary of State Philippe De Backer spoke in an interview about Jerusalem. However, a few weeks earlier, in plenary session, or in other debates and discussions that we had in the Committee on External Relations, the Prime Minister made it clear that, according to the government, President Trump's statement on the transfer of the American embassy to Jerusalem was not in conformity with international law and threatened the peace process. He told me that he condemned this unacceptable statement by the American president, who was just throwing oil on the fire. It must be noted that the statements of your colleague Secretary of State raise questions. Therefore, Minister, I would like to know whether the position of the government and our diplomacy on the status of Jerusalem and the two-state solution are called into question by these statements.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u33	Mrs Grovonius, I can be very brief: the answer is no. The position of the Belgian Government on the question of the future status of Jerusalem and on Belgium's support for a two-State solution, as a dignified, just and lasting outcome to the Israeli-Palestinian conflict, has not changed. This is not the scope of the Secretary of State's statements. We continue to believe that Jerusalem is intended, as I have already said before this Committee, to become the common capital of both the State of Israel and the future State of Palestine, once negotiations between the parties have reached a balanced agreement, providing a satisfactory solution to all the crucial issues of this complex equation. There is no change in the government's position on this issue.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u34	Minister, I am reassured, although I am still waiting for the government to recognize the State of Palestine. Nevertheless, I find it troubling, if not unacceptable, that a member of this government can afford such statements.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u35	Madam President, Minister, on 20 March the European Union created a broad international donor coalition to provide drinking water to two million people in the Gaza Strip, creating the largest infrastructure project ever implemented in these occupied territories. Thus, this desalination plant will provide no less than 55 million cubic metres of drinking water per year, thus meeting the enormous health needs of the local population. Today, two million Palestinians in Gaza depend on the coastal aquifer as a source of water. The capacity of this table is insufficient to meet local needs, especially since its quality is far below WHO standards, which is a risk to the growing population of Gaza. In addition to the installation of desalination, this project also includes power supply facilities to meet energy needs – even 15 per cent renewable – as well as the construction of an aqueduct to allow the distribution of drinking water throughout the Gaza Strip. Minister, what is the total amount raised at this conference organised by the European Union in Brussels? Apart from the countries of the European Union, what are the other donor countries? There was already a water treatment plant in the occupied territories. Is it still functional? In the past, some members of the European Union had also participated in the construction of Yasser Arafat International Airport. Barely inaugurated in 1998, it was demolished by Israeli aviation three years later. Who can guarantee that this new water treatment plant will not suffer the same fate?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u36	Mr Flahaux, at the conference organised by the European Commission on 20 March in Brussels, the total amount of pledges was EUR 456 million, which corresponds to more or less 81% of the total estimated cost of this project aimed at the construction of a central seawater desalination plant for the Gaza Strip, as well as the construction of an underground water distribution line connecting the two ends of the enclave in a north-south axis. This important project, which has been under development for several years and is designed to provide a sustainable response to the water needs of Gaza's two million inhabitants, is led by the Palestinian Aquifer Authority, the European Investment Bank (EIB), the World Bank, the Quartet Office and the Union for the Mediterranean. I can give you details of the promises of support that have been made by the various actors, multilateral and bilateral. Given the scale of the pledges, the European Commission considered this conference a success and paved the way for the implementation of the first phase of the construction of the facilities under the aegis of the EIB, which is to launch a first round of tenders around 15 April 2018. We must not hide that concerns remain, on the one hand, about the actual liquidation, over time, of the promised funds – some promises are conditioned – and, on the other hand, about the implementation of the project on the ground, which remains a risky undertaking given the circumstances of the blockade of the Gaza Strip. The 42 delegations present at the conference, including those from Israel, Egypt, Jordan and the Palestinian Authority, expressed their support for the construction of this infrastructure, the largest ever envisaged in the Gaza Strip. The future will tell us how each of the parties will fulfil its commitments. The most important thing is that the international community has been able to mobilize for this humanitarian cause, and this, on the initiative of the European Union – I welcome it. It remains the largest provider of humanitarian aid and assistance to Palestine, if the efforts of the Union and those of the Member States are combined. The issue of access to water that meets WHO standards for Gazans is a crucial issue for the long-term sustainability of the enclave. For this reason, Belgium had already contributed to the rehabilitation of the North Gaza desalination unit amounting to €6 million out of a total budget of €59 million. This unit was inaugurated in the presence of Palestinian Prime Minister Rami Hamdallah and a representative of our consulate in Jerusalem on 13 March.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u37	Thank you, Minister. I hope that, since Israel was also present at this conference, it will not come to his mind to demolish this desalination plant, as was the case at the airport. Human beings have the right to use water. I hope that will be so.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u38	Madam President, Minister, on Thursday, February 22, the NGO Transparency International unveiled its ranking on the state of corruption in the world. The results show that two thirds of countries have a score below 50 - a low level of flattering - and that efforts to combat this practice are generally declining. Corruption is probably one of the worst scourges a State can experience. The direct result of poor governance is precarious economic situations, persecution, environmental destruction, non-respect for press freedom, etc. It should be noted that our country is in the sixteenth place in this ranking, which is honourable but which must still encourage us to make progress in this area. Minister, what actions can we take on the international scene to encourage states particularly affected by corruption to continue and strengthen their fight against this practice?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u39	Madam President, Mr Flahaux, corrupt practices disrupt the functioning of a society because they undermine the people's indispensable confidence in the legitimacy of institutions and authorities. The social contract cannot therefore be established and the general interest may remain in the background. The FPS Foreign Affairs, Foreign Trade and Development Cooperation therefore welcomes the contributions of NGOs, such as Transparency International, in their fight against corruption. Corruption and, more generally, the importance of strong institutions and the proper functioning of the rule of law are points of attention of Belgium's international policy. In order to combat corruption on a large scale, Belgium must enter into partnerships at the international level. These not only provide a sound international legal framework for good governance, but also monitor the effective implementation of anti-corruption measures. A number of international organizations therefore provide important added value in the fight against corruption. I am thinking of the OECD, FATF, UNODC and GRECO. The Belgian contribution to these supervisory bodies has recently concentrated, with the Netherlands, on the establishment of synergies between these organisations with regard to the management of international anti-corruption conventions operating under a peer review mechanism. Closer cooperation between the secretariats concerned would allow for the exchange of good practices in order to develop a common strategy, in the event that a participating country does not implement or insufficiently implement anti-corruption conventions and, ultimately, strengthen the multilateral framework for the fight against corruption. Belgium remains convinced that a multilateral approach is the best guarantee for a sustainable outcome. We also contribute on the ground, in a practical way, to the operational capacities of the most affected countries. Our country participates, among other things, in various capacity-building missions within the framework of its missions. Participating countries shall, inter alia, ensure the strengthening of key national anti-corruption institutions, such as centres for the seizure of goods of criminal origin. The strengthening of judicial and police actors in the countries concerned is crucial to overcoming corruption. The complexity of the fight against corruption requires a multidimensional approach to this issue. Intense coordination between the various anti-corruption instruments — diplomacy, development cooperation, justice and economic interests — ensures that political initiatives are harmonized and mutually reinforcing. In this context, mention should also be made of the Cotonou Agreement between the European Union and the ACP States. The fight against corruption is also part of the overall partnership with these countries. I shall conclude, Madam President, by thanking Mr Flahaux for wanting to fight this scourge with us.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u40	I thank the minister for his legendary humour. I also note that, in general, the higher the standard of living a state has, the more so its anti-corruption standards. The Scandinavian countries are a good example; some countries in Africa and Latin America or Asia are bad. The level of development there is low and corruption has been one of the morals for thousands of years. Your sensitivity shows that Belgium wants to be a good example as well.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u41	Minister, I recently asked your colleagues Marghem and Van Overtveldt about the ivory trade. This is, in fact, a problem that I am particularly interested in. I am addressing you today following a new element in this dossier. In mid-March, at a summit in Botswana devoted to the protection of elephants and the fight against their poaching, some 30 African countries once again called on the European Union to close its ivory market. The petition signed by these states believes that the European Union is "the world's largest exporter of legal ivory", with "1,258 defences exported in 2014 and 2015, more than in the previous eight years". As a result, in ten years, nearly 20% of elephants have disappeared. As you can see, the situation is particularly challenging. The European Union has advised its members to limit themselves to the ivory trade already worked and not to trade in raw ivory, which we have been doing since July, but that cannot be enough. Minister, can you take stock of this situation at European level? Is there a global position on this issue? How do you explain that the European Union does not go further in banning the trade in ivory, as is the case in most other countries? Is it possible, in your view, that more than 30 African countries have launched this call to move this issue forward?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u42	I was wondering if you adopted an elephant?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u43	They're making a huge mistake!
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u44	Madam President, Mr Flahaux, in recent years elephant poaching has reached very high levels. The European Commission estimates that between 20 000 and 30 000 African elephants have been killed every year since 2011. The Commission also considers that, in parallel with this increase in poaching, the illegal trade in ivory has intensified as a result of increasing demand for ivory, mainly in Asian markets. This situation is particularly challenging and is increasingly worrying to the public. In response to this problem, the EU has already put in place a strong legal framework. For more information, in particular on its application, I would refer you to my colleagues Mrs Marghem and Mr. Van Overtveldt, competent in this field. I also note that several civil society organisations, as well as third countries, continue to call on the European Union to step up its efforts. They called for an end to the domestic trade in ivory, an end to all exports of ivory and support for efforts towards a total ban on the trade in ivory. The petition you are referring to, launched by the online movement Avaaz, has already been signed by more than a million people. At the Giants Club Summit held in Botswana from 15 to 17 March, the presidents of Botswana, Uganda and Gabon also signed the petition. A total of 32 African countries have already subscribed to it. Such signals are not negligible and the European Union must pay the necessary attention to them. The key argument of this demand, that re-exporting ivory from the European Union can increase the demand for illegal ivory in Asia, requires further reflection. I would also refer you to my two colleagues for more information on concrete measures that could be taken. With regard to the European level, I am pleased that the European Commission has taken up this issue and launched a public survey on ivory trade in the European Union between September and December 2017. The results of this survey are being analysed. It seems to me logical that these results should feed into the rest of the debate. I believe that we will have the opportunity, at European level as well as here, to go back to the additional measures to be taken to try to further strengthen the fight against these ivory traffickings, but of course, beyond that, the fight against the ongoing extermination of African elephants.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u45	I thank the Minister for his answer. Indeed, if this continues, soon, the only elephants we will see will be those of Pairi Daiza and other animal parks. This is obviously not acceptable.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u46	Minister, in April 2015, former French President François Hollande undertook to open the archives of the Presidency of the Republic covering the period 1990-1995, in which information on the role played by France during the Rwandan genocide can be found. Nearly three years later, the reality shows that access to the entire archive is still difficult, as the senior official in charge has deemed the contents too sensitive. Our country, too, is concerned with this tragic episode – and I would remind you that Prime Minister Verhofstadt took a very clear position – and I would like to ask you the following questions, Minister. Are you considering an easy opening and/or access to our public archives covering the Rwandan genocide, and under what conditions? Do you think that such a proof of transparency would encourage a strengthening of our relations with Rwanda? Would such an initiative contribute to the memory work of all the victims of this tragedy?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u47	Mr Flahaux, concerning access to the archives relating to the genocide of the Tutsis in Rwanda in 1994, I am of course in favour of the greatest possible transparency. It is quite normal for genocide survivors and Rwandans in general to ask to know the whole truth about this tragedy that is not so far away. Moreover, Belgium has very quickly chosen the option of transparency. I refer you, for example, to the work of the Parliamentary Committee of Inquiry on Rwanda in 1997. It is of course possible for Rwandan researchers to access the Belgian archives on genocide. However, in order to do so, documents should be declassified in accordance with the legal framework. In terms of access to archives, the FPS Archives Department Foreign Affairs is based on the Archives Acts of 1955 and 2009, which provide access to archives over 30 years old. For the most recent, as would be the case here, the Act on Publicity of the Administration of 11 April 1994 makes it possible to derogate from the thirty-year period. It was then the Diplomatic Commission, composed of diplomats and retired officials from the FPS Foreign Affairs, which took the decision to declassify the files after analysing them. I have no doubt that we will soon receive requests for access, as I have seen the interest of several Rwandans in our archives. This work of memory is indispensable, and I wish to contribute to it. We already have an excellent bilateral dialogue with our Rwandan partners. This issue of archives is regularly on the agenda of our discussions. You will have understood that, if requests were to be made, I would like the orientation to be as wide-ranging as possible. There would, of course, need to be specific reasons for refusing declassification. In any case, in such a case, the basic principle would be to make the best possible use of transparency.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u48	Minister, thank you for your answer, which fully satisfies me.
