ParlaMint-BG_2019-02-20.u1	We have a quorum. I'm opening the meeting.
ParlaMint-BG_2019-02-20.u32	Honourable Members, ♪ I can't believe to the Committee on Internal Security and Public Order on Decree No 20 of the President of the Republic of Bulgaria, received on 5 February 2019 for a new discussion of the Law amending and supplementing the Law on the protection of personal data adopted by the National Assembly on 24 January 2019 and the reasons to the Decree. At its meeting held on 13 February 2019, the Internal Security and Public Order Committee discussed Decree No. 20 of the President of the Republic of Bulgaria, received on 5 February 2019, for a return for a new discussion of the Law amending and supplementing the Personal Data Protection Act adopted by the National Assembly on 24 January 2019 and the reasons to the Decree. The meeting was attended by: from the Administration of the President of the Republic of Bulgaria Prof. Emilia Drumeva, Secretary for Legal Affairs, and Mr. Blagoy Deshev, Chief Expert in Legal Affairs; from the Ministry of Interior: Mr. Krasimir Tsipov Deputy Minister; from the Personal Data Protection Commission Mr. Ventsislav Karadjov Chairman, and Mrs. Desislava Toshkova, Secretary General. The meeting was also attended: by the Association of Bulgarian Radio and Television Operators Anna Tanova Executive Director, Eva Petrova Executive Director of ABRO, Mr. Yovchev Director of Legal and Business Relations (BTV) Media Group (BTV) EAD, Gergana Dimitrova (BTV), Petya Dimova Senior Fellow at the New Broadcasting Group (BTV) AD, and Mila Dimitrova (Mila Dimitrova) Data Protection Officer at the New Broadcasting Group (AD); by the Association of Professional Photographers Lilia Yotova President, and lawyer Emil Georgiev; by the Association of European Journalists (Bulgaria) Irina Nedeva, Ivan Radev and Simona Zdravcheva Veleva. Prof. Emilia Drumeva acquainted the members of the Commission with the statement of the President of the Republic of Bulgaria and the reasons for it. On the basis of art. 101, para. 1 of the Constitution of the Republic of Bulgaria the President returns to the National Assembly the provisions of § 26 concerning Art. 25z, para. This Decision shall enter into force on the day following that of its publication in the Official Journal of the European Union. The President shall state in his reasons that Regulation (EU) 2016/679 of the European Parliament and of the Council of 27 April 2016. (The Regulation) in part of its provisions has the characteristics of a directive and each of the Member States is obliged to take action to implement the objectives set out in those provisions. This is how it is. 85 (1) of the Regulation provides for Member States to reconcile with law the right to the protection of personal data with the right to freedom of expression and information, including processing for journalistic purposes and for the purposes of academic, artistic or literary expression. The President indicates that the main position in art. 85 (1) of the Regulation on the desired reconciliation of the two rights is reproduced in art. 25z, para. 1 of the Law amending and supplementing the Law on the Protection of Personal Data, but in para. 2 of art. The 25th legislator has applied a specific approach by providing for 10 criteria on which a journalist, a researcher and a writer in his work should assess and possibly demonstrate whether and to what extent the balance between freedom of expression and information is reached, on the one hand, and the protection of personal data, on the other. The President disagrees with the criteria set out in the adopted law. According to him, the balance sought was not achieved by the legislator, as the desire to give a ready abstract formula for balanced judgement does not reconcile, but generates additional tensions between the protection of personal data and the freedom of expression and information. The President also argues that the legislative approach adopted by enumerating the criteria under art. 25z, para. 2 of which t. 10 Depreciates the indication of the previous ones, does not achieve the prescribed coordination between the two competing fundamental rights by disproportionately limiting the exercise of freedom of expression and information. According to him, the requirement to meet the criteria written in the 10 points even separately constitutes a restriction which affects the essential core of freedom of expression and information as a fundamental right recognised in the age of Enlightenment in Europe, emptys it of content and its exercise loses meaning. The President of the Commission for the Protection of Personal Data (CSLD) Ventsislav Karadzhov expressed his opinion that the right to protection of personal data and the right to freedom of expression and information are fundamental rights, but are not absolute. In order to avoid the collision between them and to ensure a balance between the two, criteria are proposed on the basis of which an objective assessment is to be made for each particular case. The indication of the criteria by which the balance is achieved as a non- comprehensive list is the right and the only way to ensure maximum transparency, uniform interpretation and application and sustainability, which are the main guarantee against subjectivism in carrying out the assessment of the balance. Mr. Karadjov added that when assessing the proposed balance, the overall context and the regime of application of one right to the other should be assessed, not to separate and interpret only one part of the norm without taking into account the whole. The contested norm is part of a comprehensive proposal for the processing of personal data by the media, not an individual norm. He also noted that the personal data processing regime proposed in the Law for the purpose of exercising freedom of expression and information, including when processing for journalistic purposes, exempts media, photographers and artists from the obligation to collect, analyse and subsequently process personal data from the need to seek legal basis under the Regulation. Any information that constitutes personal data will be able to be collected and analysed seamlessly and unlimitedly. The measures provided for in this Regulation are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed, They may also correct or delete the personal data collected or published at their own discretion, and there is no legal mechanism to keep them from doing so, as well as to collect even personal data for children without seeking the consent of the parent, guardian or guardian. Ventsislav Karadjov also added that the reasons for the veto imposed indicate that the application of the two rights should be balanced. That's true, but someone has to make an assessment of this balance. The assessment shall be made in 3 separate stages by different entities. The first stage is before the publication of the information representing personal data. At this stage, the only possible subject is the media or the relevant journalist as an administrator. No one else knows what information the media has and what part of it is personal data. The second stage shall be when examining an alert or complaint to the Commission for the protection of personal data and the third stage shall be when contesting the Commission's decision on the protection of personal data before the court. The objective assessment of the application of one of the two rights must be based on objective criteria at each of these stages, on the same criteria and on all subjects concerned, namely journalists, media, supervisory authority, court. Mr. Karadzhov stressed that the last criterion set out in point 1. 10 was introduced to ensure freedom of expression taking into account the specifics of the particular case in view of the diversity of hypotheses of journalistic activity and the dynamics of public interest. In conclusion, Mr. Karadjov pointed out that the criteria constitute a well-established practice of the Strasbourg Court in the protection of human rights and the constant practice of dealing with complaints before the Commission for the Protection of Personal Data and these criteria apply insofar as they are applicable to the specific case. They are not a control sheet, but principled rules and objective guidelines by which the balance between rights is assessed in each case. Mr. Krasimir Tzipov noted that the Ministry of Interior considers that the legislator has provided the necessary legal environment to achieve a balance between these fundamental rights. For this reason, the Ministry supports the provision so adopted. The discussion was attended by the MPs Manoil Manev, Valentin Radev, Diana Savateva and Tsvetan Tsvetanov. People's representative Valentin Radev expressed his opinion in support of the adopted provision. People's representative Manoil Manev noted that the 10 criteria laid down in the Law on Amendment and Supplement to the Personal Data Protection Act are in defence of the journalist's work. This applies in particular to the addressees of the norm working on the ground. If there is no adopted norm, journalists will be affected by many other criteria. This opinion was shared by Mrs Diana Savateva and said that in her practice as a journalist she has repeatedly been in a position to seek this balance without any regulation and any norm. She added that this is a balance that should seek out every journalist who treats his profession as a calling. With regard to the President's arguments, Mr. Tsvetanov pointed out that the protection of personal data is a value of democratic societies, as well as freedom of expression and freedom of speech. The protection of both categories is linked to the rights of free people. In the Declaration of Human Rights and the citizen, freedom is defined as an opportunity for a person to do what does not harm or damage another person. This is the balance of the right to freedom and the right to the protection of personal data, which the legislator is obliged to uphold and protect. Mr. Tsvetanov pointed out that according to Decision No 4 of 2012 of the Constitutional Court, these two fundamental rights, as they are not absolute, may be limited in accordance with the principle of proportionality. He noted that the veto's motives determine that the balance has been violated without arguing with an example of an imbalance present. Only the text of art. 25z, para. 2 and the criteria listed therein. This one-sided interpretation deforms the idea of a balance between the two lines. The order of Art. 25h of the Law on the Amendment and Supplement to the Law on the Protection of Personal Data constitutes a comprehensive system for the settlement of public relations relating to the coordination of the right to the protection of personal data with the right to freedom of expression and information. The removal of any element of it creates conditions for imbalance and absoluteisation of one right at the expense of the other in violation of the Constitution of the Republic of Bulgaria, the Charter of Fundamental Rights of the European Union and Regulation (EU) 2016/679. It is no accident that the Regulation sets high requirements for the protection of personal data, drawing experience from the practices of personal data breach, of new forms of harmful behaviour. Mr. Tsvetanov also noted that free speech and expression and protection of personal data are not absolute rights. This means that democratic societies must seek a balance that limits the damage of unlawful conduct, and that is also the purpose of art. 25h, i.e. creating a balance, not breaking it. A lack of balance would create subjective and dangerous precedents. In conclusion, he noted that the Law amending and supplementing the Law on the Protection of Personal Data through Legislative Equipment provided criteria for this balance not to be violated. The criteria are not national innovation but are formulated on the basis of the permanent case-law of the European Court of Human Rights, the Court of Justice of the European Union and the Constitutional Court of the Republic of Bulgaria. As a result of the discussion, the Committee on Internal Security and Public Order with 13 votes for..... 3 votes against...............................................................................................................................................................................................................................................
ParlaMint-BG_2019-02-20.u33	Thank you, dear Mr. Tsvetanov. Dear Members of Parliament, we are moving on to the debate. I'm opening the debate. I remind you that the time of the parliamentary groups is in accordance with the rules of art. 58 of the Rules we have adopted. [[The National Representative Plamen Nunev wants the floor for speech.]] Before I gave the floor, I saw the statement. [[turns to MP Plamen Nunev]] A statement was requested from the parliamentary group "VOLIA" "Bulgarian Rhodolovtsi." You have the floor, Mr. Hristov.
ParlaMint-BG_2019-02-20.u34	Dear Mr. President, ladies and gentlemen of the House, I take the floor on behalf of the parliamentary group of the Bulgarian Rhodolists. First, to disprove a false news that, unfortunately, was produced yesterday by a colleague of ours - the public representative from GERB Georgi Markov. At a briefing Monday, he said GERB is the only party to support the will of 2.5 million Bulgarians who in a referendum pronounced for a majority electoral system. Moreover, he said all the other parties in parliament were against it. As soon as we enter the policy Veselin Mareshki and we of the Vole are flooded with false news, so we always react sharply when there is a distortion of the facts. It is a pity that in this case this comes from a colleague whom we have respected and felt that he is striving to be correct in his speeches. For this reason, we demand a public apology and rebuttal from him. It is necessary to recall that in June 2017, Volya submitted its bill for a majority electoral system, which has been on files somewhere in the offices for two years and has not been allocated for consideration in the committees. I will also recall that we are talking about a majority vote long before we enter parliament. The fact is that Mr. Veselin Mareshki made three times the score in the majority elections. We have always been about people having the opportunity to choose proven individuals who have already done something for the people and have eyes to ask for their support. Finally, I would like to refresh everyone's memory when voting on the amendments to the Election Code in June 2017 relating to the introduction of a majority electoral system, the Volya voted for the majority vote and the majority vote were BSP, DPS and the United Patriots. On Monday, we released a printout of this vote to the media. The second occasion for our Declaration is much more disturbing about the scandals and revelations about the kitchen and the IMRO. When we launched the idea of a majority electoral system two years ago, IMRO leader Mr. Karakachanov said it was cheap populism. The other day we understood why he was against change. In an interview for the surrender of the Bulgarian National Radio, the MP from NFSB Yordan Apostolov explained the behind-the-scenes schemes which the IMRO makes when drawing up its lists. I will take the liberty of quoting it precisely: The references are party-ordered lists and placed people who can pay for the service, so to speak, to be placed in a place no matter where on the list, and to be activated economically and in any other way to earn a place. This is how the lists of our IMRO partners are arranged, this is their accommodating mode of action and the end of the quote. If that is the case, then we ask: how much did Angel Dzhambazki pay, how much did Alexander Siddy pay, or Iskren Veselinov, or Sultanka? What's up, guys? That the great voivods turned out to be, in fact, ambulant merchants, selling everything. For the first time officially on national air, someone admits that a seat on the parliamentary list is paid. Is this another IMRO behind-the-scenes business? Moreover, notice, the revelation comes not from just anyone, but from their coalition partner. We call on the competent institutions to self-serving because such a scheme is unacceptable. It must be revealed to the end and its architects must bear their responsibility. Thank you. [[Applause from the Bulgarian Rhodolists.]]
ParlaMint-BG_2019-02-20.u35	Thank you, dear Mr. Hristov. You have the floor to speak, dear Mr. Nunev.
ParlaMint-BG_2019-02-20.u36	Thank you, Mr. Chairman. My fellow Members, I would like to draw your attention to a few key points that are related to the balance between the right to protection of personal data and the right to freedom of expression and information. First of all, the General Data Protection Regulation obliges Member States to reconcile with law the right to freedom of expression and information, including the processing for journalistic purposes and for the purposes of academic, artistic or literary expression with the right to the protection of personal data. The order of Art. 25h meets this obligation of the Republic of Bulgaria. Secondly, the right to the protection of personal data and the right to freedom of expression and information are fundamental rights, but are not absolute. In order to avoid the collision between them and to ensure a balance between the two, criteria are proposed on the basis of which an objective assessment is to be made for each particular case. Thirdly, the criteria are not one national introduction but are formulated on the basis of the lasting caselaw of the two highest courts in Europe and the Constitutional Court in the Republic of Bulgaria. Next, the indication of the criteria by which the balance is achieved as a non- comprehensive list is the only way to ensure maximum transparency, uniform interpretation and application and sustainability, which are the main guarantee against subjectivism in carrying out the assessment of what the balance must be. Finally, the provision of art. 25h constitutes a comprehensive system for the settlement of public relations relating to the coordination of the right to the protection of personal data with the right to freedom of expression and information. Ejecting any element of it creates conditions for imbalance and absoluteization of one right at the expense of the other. These are the main accents I wanted to share. It is inexplicable to me that during the vote on the Law in the Chamber there was full support from all parliamentary represented forces to impose this veto. So I cannot vote and support the veto of the President, but, on the contrary, support the Law on Amendment and Supplement to the Personal Data Protection Act. Thank you.
ParlaMint-BG_2019-02-20.u37	Thank you, dear Mr. Nunev. - What's the line? I won't. You have the floor, Mr. Manev.
ParlaMint-BG_2019-02-20.u38	Dear Mr. Chairman, colleagues! Obviously, the word in today's debate on the veto imposed by the President of the Republic of Bulgaria will be "balance." And in order not to be naked in our words, although I am convinced that every one of us in this House knows these texts, I will quote to you the texts of art. Art. 32, Art. 41 of the Constitution: The personal life of citizens is inviolable. Everyone has the right to defend against unlawful interference in his personal and family life and against invading his honor, dignity and good name. No one can be monitored, photographed, filmed, recorded or subjected to other similar actions without his knowledge or despite his explicit disagreement except in the cases envisaged by law. This is art. 32 of the Constitution of the Republic of Bulgaria. Article 41 provides: Everyone has the right to search, obtain and distribute information. The implementation of this right cannot be directed against the rights and good names of other citizens, as well as against national security, public order, public health and morals. Citizens shall have the right to information from a public authority or an office on matters which constitute a legitimate interest to them if the information is not a public or other secret protected by law or does not affect foreign rights. Dear colleagues, the Law we are discussing because of its veto was the Law of Balance. And when I say that this word today in this House will sound meaningful and repeated, it will confirm that we have been working on this law just to find the balance between the two rights to be informed, but also your personal civil rights to be protected. And that balance wasn't just achieved by looking in the sky and looking down. He was the product of four months' work on this bill. Four months, which ended with a working group led by the President of the Committee on Internal Security and Public Order Mr. Tsvetanov and with the participation of most of the members of this committee, a committee and a working environment in which citizens, civil organisations, professional organisations of journalists participated, and all of them there, in this working environment, of this working group, did not work on text, they created the texts of this law together, searching for this balance. And we finally found him. We found it so that, from the Commission to the House of the National Assembly, we all voted this law without a single vote against. And now, colleagues, I will have to pronounce, verbalize some words that I never believed I would say in this National Assembly. I am extremely sad and uncomfortable that BSP colleagues are not in this room. I never thought I'd say this, but I mean it honestly and honestly. Because, colleagues, the search for this balance, the discussion of this veto, the discussion of this law raises one question that I will have to ask my colleagues in absentia: BSP colleagues, did you give up your president? Why are you not in the Chamber to defend his veto or because you have no arguments, or because you are ashamed of this conjunctural, populist and without any argument veto? Because even in the Commission, when the people of the Presidency had to look for arguments, it was very complicated and very difficult for them. And on top of that, the Administration of the President of the Republic of Bulgaria, realizing its error in putting this veto, erupted in social media: "Why does no one support us after we have vetoed it? " - Well, because it is unprincipled and illogical. Because, if we have to be specific, in the Bulgarian legislation, just to preserve this balance, just so there is no reproach for freedom of speech, there is no media law. And this lack of media law, combined with the whole meaning and text of the Bill, which we are again discussing today, and the derogations that we have given in this law, that is, we have released journalists from all administrative obligations of collection, storage and so on, and so on.... of information, we had to find the balance. And it is in these notorious criteria, which I continue to claim are actually a form of protection of the work of journalists. Why? Because every citizen has the right to seek responsibility and decision on topics that affect his personal data, information about him. If there were not these criteria embedded in the Law, then Bulgarian journalists, all those who deal with journalistic purposes with this information, had to meet any real and unrealistic claims against them. And now we have clear criteria. We have criteria that can say: No, fellow journalists or journalists have been right, the law has given them this right. Finally, I would like to draw your attention to my speech, fellow Members. The search for balance in this environment between rights and between the right to be informed is that light, if we must quote, which enables the citizen, without suffering, to receive his information. And to veto a Law passed without a single vote against it in this particular realm means that either the light interferes with you, or you are looking for the conjuncture of the moment, you are looking for the option to be liked. [[Applause from GERB.]] This isn't state-of-the-art. I therefore call on you to support the Law and reject this veto. Thank you. [[Private applause GERB.]]
ParlaMint-BG_2019-02-20.u39	Thank you, dear Mr. Manev. - What's the line? I won't. Come in for a speech, dear Mrs. Atanasova.
ParlaMint-BG_2019-02-20.u40	Thank you, Mr. Chairman. Ladies and gentlemen of the House, honored guests! I take occasion from the words of Mr. Manev, who talks about balance, about legality, European and Bulgarian legislation, about respect for norms and morality. My words will be for keeping promises and lies. I'm going to turn to those who are not present in this room. Dear non-existent Mrs. Nino, I assume you've been following the debate, although you've probably already settled into a spa, as well as the last time you went to the people. But you can also answer everything you will hear in this debate about the veto imposed by President Radev. Today we are looking at the veto of the Personal Data Protection Act. I expected that, at least on this day, you would be present in plenary, not only because of the first item on our plenary agenda and the ratification of the Treaty with the Republic of Northern Macedonia. I expected you to enter the Chamber and support what you said a while ago, not only to the Bulgarian public, what you said to the President and to the Bulgarian journalists. Today, however, once again, you have proven that you have a nickname for a reason. After all, Mrs. Ninova, together with the spokesperson of BSP, by the way also journalist Mrs. Yoncheva, told the Association of European Journalists on 11 February 2019 that BSP will support the signal of the Association of European Journalists and will support the veto of the President. Did you lie, absent Mrs. Nino, and you, not present Mrs. Yoncheva?! Did you lie to the President by telling your party and your support for this bill? This is not new, of course, because only a week before that your parliamentary group and the MPs of the National Assembly, Georgi Svilenski, Dimitar Stoyanov, Elena Yoncheva, Ivan Ivanov, Krasimir Yankov, Christian Vigenin, Nikolay Tishev, Petar Vitanov, Stanislav Vladimirov and Tasco Ermenkov from your parliamentary group voted for the draft [[Partial applause from GERB]] which we are looking at today once again, which you supported in plenary at its second reading. I'm asking: is this common hypocrisy or something? My second address will be to the non-existent Mr. President and his non-existent team of legal advisors. Dear Mr. President, it is a pity that neither you nor your representatives are involved in today's debate. In fact, I now understand your interest in this law. However, I do not understand how you are such a fierce advocate of both freedom of speech and democracy and the personal data of citizens, and members of your Legal Council were convicted yesterday by the Supreme Administrative Court because they have abused the personal data of citizens and journalists. [[Applause]] "The Journalists Maria Tsanzarova, journalist Kanna Racheva and 12 others joined this complaint and won from yesterday's decision of the Supreme Administrative Court, which condemns your legal advisor Mr. Tsekov, and your nomination in the Commission for Protection against Discrimination.............................................................................................. lv. I don't know if the BSP will join again and as they reacted to Mrs. Yoncheva's non-violence measure and guaranteed that she would be bailed out by up to 20,000. BGN, if they're not going to collect 10 thousand now. lv. for Tsekov and Kichashki [[Applause from GERB]] because they were candidates for the National Assembly.
ParlaMint-BG_2019-02-20.u41	BSP!
ParlaMint-BG_2019-02-20.u42	From BSP, of course. Dear Mr. President, it is now time to prove that you are a man of principle and to release your representative to the Commission for protection against discrimination.. Mr. Kichashki, because he has already been sentenced to the last instance, to release your legal advisor Mr. Tsekov, because he has already been sentenced to the last instance for abuse of personal data. I hope you will! I believe you're a man of principle. Otherwise, it will look like another senior pilot in hypocrisy. Thank you. [[Applause from GERB, single applause from OP.]]
ParlaMint-BG_2019-02-20.u43	Thank you, dear Mrs. Atanasova. - What's the line? I can't see. Any other speeches? I won't. Mr. Karadjov, come in.
ParlaMint-BG_2019-02-20.u44	Dear Mr. Chairman, honourable Members! I will not repeat what has been said before me, I will try to present within a few minutes the vision of the Commission for the Protection of Personal Data on the amendments to the Law, which is the veto imposed by the President of the Republic of Bulgaria. Firstly, what I want to share is that today the right to protection of personal data and privacy is indeed a very vulnerable right, not only because of the new technologies and the digitalization of our lives. The examples of this are many and most of all the abuse of personal data from Facebook, Google, the scandal with "Kambridge Analytics" for the study of political attitudes and preferences of millions of Americans and European citizens. Separately, false news in social and electronic media is a major problem for processing the personal data of individuals, which, by the way, is trying to counter the European Commission itself. The public on a global scale is very sensitive to this issue of processing personal data and it is no accident that the European legislator has registered these developments with the General Data Protection Regulation adopted in 2016. He has sought to establish a comprehensive legislative framework for the processing of personal data and has indicated the possible facilitations and applications of the rules. The Bulgarian legislator, by the way, has benefited from all possible reliefs and derogations, when we talk about processing personal data for journalistic purposes. The president's veto also concerns the processing of personal data for journalistic purposes and before I comment on this veto and the reasons for overregulation and censorship, I would like to clarify what rights the media had in Bulgaria in the case of processing personal data by 2018, so that a clear assessment can be made whether there is overregulation or censorship. Dear Members of Parliament, the Personal Data Protection Act was adopted in 2002. The media with this law had the same obligations as any other of the four hundred thousand controllers processing personal data in Bulgaria, i.e. they did not have any relief from the rules for processing personal data. By the way, this law has been applied in Bulgaria for 17 years. During this period, the Personal Data Protection Commission has examined more than 15 thousand complaints from individuals about the processing of personal data. How many complaints against the media? Ninety. Only eight of them were respected. [[Applause from GERB.]] Of these eight, only two are subject to sanctions on media for unlawful processing of personal data. What is the situation after the introduction of the new rules with changes in 2018? It has been presented in part, I will confirm what the Commission for the Protection of Personal Data understands about these new amendments. With the new amendments, two thirds of the obligations of other controllers processing personal data do not apply to the media when they process personal data for journalistic purposes. In order for there to be over-regulation, honourable Members should, in my opinion, introduce an impossible administrative burden for a legal entity, i.e. the media should have incurred additional obligations preventing them from doing their job. At least that's how I know it. There aren't any. On the contrary, they are relieved by the administrative burden. For example, they should not assess whether they have a legal basis at all to collect and further process personal data. Each administrator must do so, including the authorities of the investigation and the prosecution. In addition, they should not seek consent from parents, guardians and guardians of children in order to process their personal data, including photos, and to collect information about the child's illness from which they suffer. These are reliefs for the media so that they can clarify the specific case they want to publish. The media can, notice, also deny citizens information about what personal data they collected for them, if they reveal them to anyone and to whom. They may refuse their correction or deletion if the data is used for journalistic purposes, regardless of whether the data exported is correct. The media also do not keep records of the personal data collected by them, that is to say, they are exempt from the new rules. That is, if we look at it this way, it has no accountability for who they have collected and in what volumes.Something that the other administrators we talked about, and these are 400,000 administrators in Bulgaria, should make additional efforts and accordingly keep records, and when the Commission for the Protection of Personal Data comes, they should be able to show how they have legally collected and for what purposes they have processed personal data. Against the background of these reliefs the media have one single obligation according to these criteria, which are laid down in the Law. In fact, the criteria are principles for processing personal data. And this obligation is actually to check the extent to which the data they collect are relevant to the case, nothing more. This is because personal data is always processed for a specific purpose, they cannot be processed for other purposes that are not compatible. This is a basic principle of the Regulation and of the Bulgarian Personal Data Protection Act adopted since 2002. What is new in this case is that the Personal Data Protection Act has given rules for carrying out this assessment. Until now, however, it has been carried out by individual rules adopted by each media. I am convinced that the media have such internal rules. The question is: is it not better for each media to apply the same rules, the same rules that the court applies, the same as the Commission for the Protection of Personal Data? Would this, if it happened, lead to greater clarity, transparency and work in the media? I think it's gonna happen. The truth is that the Regulation itself requires Member States to assess the benefits of the application of both rights.. freedom of information and expression and freedom of privacy and privacy. We have heard here how the Constitution guarantees both rights. But both rights are not absolute, they are applied according to the principle that one cannot be at the expense of the other. Yes, they are fundamental rights of the citizens of the Republic of Bulgaria, of the citizens of the European Union, but neither can dominate over the other. The Commission's proposal for the protection of personal data provides criteria for achieving precisely this necessary balance in a reasonable, transparent and objective way. I ask you to take this into account in your vote in plenary today. With this, I would like to say that the rules are not censorship, they are a guarantee of objectivity, transparency and sustainability of legislation. In order to emphasise, for example, the decision of the Italian legislator, in this case, I took the liberty of downloading it from the website, which says so: the Italian Supervisory Authority, given that there is a media law in Italy, by the way, encourages the adoption by the National Council of Journalists of rules on the processing of data, which provide measures to ensure the interests of individuals whose data is processed especially in relation to their healthy life or sexual orientation rights. The rules also have and may include special forms for the exercise of the rights of data subjects, namely to know what personal data are processed, by whom they are processed and to whom they are disclosed. The rules, notice or the amendments and additions thereto, if they have not been adopted by the Council of Journalists within six months of the entry into force of the law in Italy, shall be adopted by the supervisory authority itself, i.e. by their Personal Data Protection Commission and shall replace those rules which have not been adopted. I would say that what I have just presented to you is a much more serious regulation than the Bulgarian Personal Data Protection Act provided for. I therefore thank you for your attention and for the opportunity to present the Commission's position. [[Applause from GERB.]]
ParlaMint-BG_2019-02-20.u45	Thank you, dear Mr. Karadjov. We continue with the speeches. Dear Mrs. Savateva, you have made a statement.
ParlaMint-BG_2019-02-20.u46	Dear Mr. Chairman, honourable Members! The subject of freedom of expression is very sensitive and it is quite natural for it to have hot debates. As it is already clear, today the debate is somewhat halved because half the room is empty, but ultimately they lose the absent because the point of this debate is to hear many different opinions. I'll try to be a little more specific. The fact is that there is more emotional talk on this topic than rational, more abstract than concrete, and I would say with responsibility. Look around, open up, any newspaper today, enter any site, and you will see that publications are abounding with personal data. And at the moment, although the regulation Mr. Karadjov and his previous colleagues are talking about has entered into force since May last year, the Bulgarian media is currently full of personal data. This does not mean that these publications are not achieved and are not made in balance and in compliance with respect for the freedom of privacy. I'll give you an example I saw on the websites a few days ago. I read that a representative from BSP has undergone medical intervention at the MMA. It's about Mr. Slavcho Velkov. I wish him a quick recovery. In this publication there were two personal data.. the name of the people's representative and the diagnosis, the diagnosis, I speak in the sense of a specific disease. In this case... [[Noise and lines.]]
ParlaMint-BG_2019-02-20.u47	Colleagues, please be quiet!
ParlaMint-BG_2019-02-20.u48	...the publication was achieved in balance with the requirements for respect for privacy because Mr. Velkov himself had published these data in his Facebook profile. As someone who's used to checking information, I asked myself if this Facebook profile was real. I did the appropriate check, it turns out that this information has indeed been published, it is visible to a more limited range of people, i.e. to Mr. Velkov's friends, but he has decided to share these personal data anyway. If I have to be specific, I'll tell you which points in the famous art. 25z, para. 2 in this case, journalists have observed to publish with a clear conscience that they do not violate the Law................................................................................................. specific personal data for this MP and public representative. The criterion set out in point 3: the circumstances in which personal data have become known to the data controller (s) it is clear that these personal data have become known through a public publication on Facebook. Point 7 of these same reproaching criteria, reproached in quotes, of course, if we follow the presidential veto, states: "Reflecting whether the data subject by his actions has contributed to disclosure of his personal data or information about his personal life, that is, we are constantly seeing such information. I will also give an example of something that happened very soon, for example, the incident that happened in Kyustendil. As you can see, in the early hours there was information about the incident in Kyustendil, in which a man was killed. But the victim's name came up a few hours later. We're talking about personal data again, but these personal data are already in line, if you will, with the fact that this person's loved ones have been informed that there is no collapse entering the privacy of a family and disclosure of information. I am sure that all the media that have written about the incident in Kyustendil have hardly complied with, hardly have they thought of these criteria that we are currently commenting on, but journalistic responsibility, journalistic conscience and professionalism, of course, require that a person be responsible for the data he publishes. When the media decided, they collected accurate information about the victim's identity, they felt that this information, i.e. getting identity data is more important than preserving the privacy of the family, they reported Valeri Dubov's name if I wasn't mistaken in the case. The right to information and freedom of expression must be defended and this is one of the main tasks of non-governmental organisations, but bringing empty fears is just as dangerous as the violation of these rights, and I am convinced of that. Because there is maliciousness in my opinion and unfair attitude to the profession that regulation is presented as a ban, and that is not correct. The regulation gives media and journalists the opportunity to navigate, as Mr Karadjov said during the Commission, this is not about a control sheet on which we must blindly comply, it is about orientations that will give us greater protection. Because all that we are talking about is happening every day in dozens of Bulgarian editorials. I will only add that if someone should be concerned by these texts, these are colleagues or rather colleagues in quotes who are seeking expression in the yellow register and who are tempted to disclose personal data or personal information because of the personal information itself. It is clear that personal information can be disclosed when there is a judgment that public interest prevails. In public speaking about the Bill two very important accents are missed. Firstly, that the Commission for the Protection of Personal Data is working on complaints. Mr. Karadjov mentioned a very telling statistic of 15 thousand complaints are against the media, 10% of them are respected. [[Noise and lines.]]
ParlaMint-BG_2019-02-20.u49	Colleagues, please be quiet!
ParlaMint-BG_2019-02-20.u50	There are only two fines imposed. In this case, it must also be noted that the Commission's decisions are not in the interest of the Court of Justice, and they are appealed to two courts. There are sufficient arguments for the media and journalists concerned to defend their right to disclose specific personal data. The fact that the texts of the Law were opposed by organizations that did not attend the working groups is quite unprestigable for themselves. I can't imagine you being part of the professional community of journalists and not following the legislation that concerns you, because anyway we have to work on certain rights if we want to be protected. The representatives of the Association of European Journalists themselves admitted that they had not attended the working groups. They only attended the meeting that was held last week, and frankly, I did not hear any serious arguments in defence of the thesis that there was a pre-regulation of the right to express. I will give one last example with regard to NGOs. I am not, of course, against them, I believe that their existence and their work is very important, but it is also related to responsibilities. Last week, I read that in another report by Reporters Without Borders, Victoria's murder was considered suspicious. After so much information being released, after so much evidence being collected, if these non-governmental organizations base their rankings on such data, I seriously doubt that the 111th place spoken of in this ranking is motivated and justified. It is not right to abuse information, but to seek as much objective and so balanced compliance with our right of expression with the protection of personal data. Thank you. [[Applause from GERB.]]
ParlaMint-BG_2019-02-20.u51	Thank you, dear Mrs. Sawateva. - What's the line? I don't see any lines. Any other speeches? Mr. Tsvetanov, come in. Perhaps you'd like to extend the group's time? Extend group time!
