ParlaMint-BG_2019-04-04.u1	There's a quorum. I'm opening the meeting. Procedure, Mr. Nunev, come in.
ParlaMint-BG_2019-04-04.u23	Dear Mr. Chairman, honourable Members! I present to your attention. ♪ I can't believe of the Energy Commission on a Draft Law amending and supplementing the Energy Act No 954-01-16, submitted by Delyan Dobrev and Valentin Nikolov on 22 March 2019. At its regular meeting held on 27 March 2019, the Energy Commission discussed and voted on a bill amending and supplementing the Energy Act, No 954-01-16, submitted by the MPs Delyan Dobrev and Valentin Nikolov on 22 March 2019. The meeting was attended by: Mr. Zhecho Stankov from the Ministry of Energy; Deputy Minister from the Energy and Water Regulatory Commission Mr. Ivanov from the Bulgarian Energy Holding Mr. Petyo Ivanov from Executive Director. On the part of the importers, the reasons for the bill were presented by the National Representative Valentin Nikolov. He pointed out that after the successful integration of some of the electricity producers receiving preferential prices on the free electricity market in 2018, it is necessary to extend the electricity market liberalisation process. Higher competition will lead to the supply of a large number of and more diverse stock products. With the proposed changes, power generators with installed power between one megawatt hour and four megawatt hours from 1 July 2019 will switch from preferential prices to a market price and premium compensation contract, and there is no provision for a transitional period for the public supplier to buy at a preferential price from these producers and sell it on the electricity market for which to be compensated by the Fund. The changes will affect 12 high-efficiency cogeneration plants with a total installed power of 27,6 megawatt hours and 360 plants with renewable energy sources with a total installed capacity of 723 megawatts. Annually, these 372 power plants produce about 1 million. Five hundred thousand. Megawatt hours of electricity. The units covered by the changes should sign a premium compensation contract with the Fund by 30 June 2019. The premium will represent the expected difference between the preferential price and the estimated market price set by the regulator. For RES producers, the premium will be granted until the end of the relevant long-term purchase contract and the amount of electricity to be compensated by a premium is determined net specific production. Other changes to the legislation provide for the introduction of the competitive start for the provision of a preferential price or premium for newly joined power generators through high-efficiency cogeneration. These contests are in line with European Union legislation regarding the granting of State aid. The order for parallel procedures to be carried out in order to confirm the new and amended prices in force shall be laid down. The provision aims to specify the power of the KEWRC to validate the prices of heat and electricity, the prices for transmission and distribution of electricity, the price or the component price under art. 30, para. 1, t. 17 of the Energy Act and to determine premiums under art. 33a of the Energy Act, and amend them in case of necessity. The administrative burden in the operation of electricity producers under art. 30, para. 2 of the Renewable Energy Act with the Energy Security Fund and the Sustainable Energy Development Agency. A line is proposed in which small plants will declare information once a year and will contribute corresponding contributions for the previous year to the Power System Security Fund. It also removes the current ambiguity regarding persons who owe access and transport prices to/through the relevant network and ensures that the exported electricity originating in Bulgaria will not be treated differently from that realised on the internal market in accordance with European legislation. The possibility of placing smart measurement systems with free access to data in real time is provided, which would help for better energy management by end customers and electricity traders. The benefit would be to achieve lower balancing costs. This change attempts to integrate the market and customers with such means of commercial measurement. The costs of installing the system will be borne by the final customer and the commercial measuring instrument itself remains owned by the operator concerned. A change in the power of the energy regulator is proposed to determine monthly availability from the new price period. The allocation of the quantities by month will allow for more accurate planning of the required amount of electricity for the needs of the regulated market, and therefore producers will have a clearer idea of the free quantities to be offered on the free market. A new market mechanism is being established to encourage investments in green projects and the construction of new renewable capacities. The mechanism does not provide for a commitment by the State to provide a contract for compulsory buying-in of energy, a preferential price, a contract for difference, a corporate guarantee and/or other non-market mechanisms for guaranteeing investment, or a priority dispatch. The proposed provision provides that final customers are to be exempted from the payment of a public obligation fee for supplied electricity from a RES power plant through direct power lines. On behalf of KEWRC, Mr. Ivan Ivanov supported the proposed bill. In his opinion, he expressed a position on the need for its adoption as a next step in the process of liberalization of the electricity market in the Republic of Bulgaria. On the part of the Ministry of Energy Mr. Zhecho Stankov expressed principle support on the proposed bill, and the Ministry will submit in writing proposals for editorial changes in separate texts between the first and second votes. Mr. Diane Cherven Condev, Chairman of the Fund, said that the Fund was fully prepared by 30 June 2019 to process the relevant documentation and to sign compensation contracts with a premium of the producers provided for the integration of the free electricity market. On the part of the guests, comments were said: Mr. Vasil Velev from the Association of Industrial Capital in Bulgaria and Mr. Konstantin Stamenov. The position of employers' organisations has always been for greater competition and stability in the electricity market, wishing this to happen as soon as possible. Ms. Meglena Rusinova Chairman of the Bulgarian Photovoltaic Association. The Bulgarian Photovoltaic Association supports the Bill and believes that there are no problems for signing premium contracts and the relevant legal procedures for changing the coordinators of balancing groups by producers to come out of a regulated free market and to take place by 30 June 2019. Ms. Gabriela Todorova Administrative Director of the Bulgarian Wind Energy Association supported the Bill in principle, but expressed the need to introduce a transitional period during which producers have sufficient time to sign a premium compensation contract and the relevant legal procedures for exiting a regulated free market. Following the end of the discussion and on the basis of the vote, the Energy Committee with 12 votes for the Energy Committee, without the opposition and the abstention, proposed that the National Assembly adopt, at first reading, a bill amending and supplementing the Energy Act, No 954-01-16, submitted by Delyan Dobrev and Valentin Nikolov on 22 March 2019.
ParlaMint-BG_2019-04-04.u24	Thank you, dear Mrs. Todorova. Mr. Nikolov, please come in.
ParlaMint-BG_2019-04-04.u25	Thank you, Mr. Chairman. My fellow Members, I think that we continue with this law the good tradition and the obligation to liberalise the market. Last year, we made such big steps - producers with more than four megawatt hours - obliged them to go to the Bulgarian independent electricity market, gave them a grace period by the end of the year to sign compensation contracts with the Energy Security Fund, giving the Energy and Water Regulatory Commission the opportunity to provide forecast prices for the market to be made. Thus, we have given more entities and more liquidity to this exchange, created an opportunity for the exchange to work and generate competitive prices. At present, all producers who are in this range will be equal or larger than one megawatt hour and up to four megawatt hours respectively, will walk exactly the same path, will go, will sign these compensation contracts, will come out on the Bulgarian market, will be able to compete with the other electricity producers and sell and increase these competitive entities accordingly. We are talking about 12 high-efficiency combined producers and 360 RES power plants respectively, their total power is 750 megawatts or annually that makes about 1 million. Five hundred thousand. megawatt hour. At present, they are participating in the regulated market through the National Electricity Company. Now this regulated market will deprive itself of this energy and the Energy and Water Regulatory Commission will have the opportunity to bring other actors into it. This enables us to give sufficient liquidity because you know that there were times during the winter months when the price was rising unwarrantedly very upward. Employers rightly asked to have more entities and more energy on this auction so that they really have confidence in it so that the price that is achieved can have a balance between demand and supply and find the equilibrium point. So I think this step is good for liberalising this market. Subsequently, due to the release of entities from the compensation contracts they have with the Electricity System Security Fund, an opportunity to be compensated with new highly efficient combined productions that can be invested and created in Bulgaria. This will create an opportunity for a competition start and apply for preferential prices from this fund. In this way, we will be able to provide an opportunity for really good investments with good efficiency, to be able to apply for compensation and to participate in the market without having certainty from this particular price that the law will allow. We also allow them, by reducing the administrative burden of small plants that are on rooftops, to be built, to reduce their administrative burden and not to be obliged to submit data to the Agency for Sustainable Energy Development every month and to contribute to the Fund, and thus to pay accounts, to pay to another administration, provided that their revenues are quite small and do not have that possibility. We give them the opportunity to make this contribution and submit the necessary documents to the Sustainable Energy Development Agency once a year. As a country, we have an obligation to remove the fees of those entities that export energy to neighbouring countries. So far they have paid a fee to the electricity system operator and thus there was a difference, differentiation between consumers in Bulgaria's internal and external markets. We are now leveling this out because we already have a European market and we are actually removing this fee. This has also been done in this law and we have fulfilled this obligation towards our European partners. We allow the Energy and Water Regulatory Commission to make monthly forecasts in relation to the regulated market. So far they have been annual and, in fact, there was no forecast of what energy would be needed by the National Electricity Company in order to be able to fulfil its obligation as an electricity supplier for consumers on a regulated market. Thus, we create a forecast of the market and of the relevant producers involved in the regulated market so that it does not create imbalances in the electricity offered on both the market and the security of the National Electricity Company. This will, of course, be assessed in both directions of positive and negative. Positive from the point of view that everyone will be able to make appropriate calculations, but negative in relation to the fact that some of the producers wanted to meet some of their quotas in this part of the day when they didn't have enough buyers of electricity and tried to provide everything to the National Electricity Company. The new package, which will be adopted in the European Union in connection with the promotion of renewable sources, should reach around 33% of final consumption by 2030. Either way, we'll go in the direction of encouraging them. Part of this promotion we do in this law by providing the opportunity for industrialists and companies that have production and need electricity, to build their own or to invite such investors to make renewables that, with direct cable to be connected to these enterprises, not to pay the corresponding obligations to the society, the transfer fee and delivery fee. In this way they will have a sufficiently competitive price compared to the market. On the other hand, we will encourage the development of this sector, we will increase, of course, and efficiency, and we will increase our commitments, respectively, which we will have by 2030. To increase renewables in Bulgaria. Of course, there are more things, but I think we can answer them in the discussion. Thank you.
ParlaMint-BG_2019-04-04.u26	Thank you, dear Mr. Nikolov. My fellow Members, I am opening the debate. You have the floor to speak. You have the floor, dear Mr. Atalay. I see you're preparing for a speech. Here you go.
ParlaMint-BG_2019-04-04.u27	Thank you, Mr. Chairman. Dear colleagues! Firstly, I would like to point out that we are considering an amendment to the Energy Act and the main importer is not in the Chamber. In fact, I was going to suggest that we postpone the review of this bill, but Mr. Nikolov is here. I believe that during the review of the Bill at first reading, we noted some important things. Of course, there are positive things in this bill, but there are many paragraphs and articles that should mainly undergo a change between first and second readings. The main motive for liberalising the market sounds very good because whoever hears today about energy and liberalization of the market, then lights up immediately to reduce the price of the end consumer and everyone agrees, as we do, of course. The liberalisation of the market should happen. This time our experience with the removal of renewable energy sources over one megawatt on the market will give clarity when a year goes by, since we have made market liberalisation with renewable energy sources with more than four megawatts. Then we will also have the analysis from the Fund, of course, and from the Exchange how, in what way and whether the modification of the payment of preferential prices with the estimated price has not led to payment of more funds to electricity producers than if we have paid only the preferential price because such views are being concealed. However, the liberalisation of the market at the moment with RES alone with power over one megawatt will not reflect the lack of energy that took place during the winter periods, colleagues. That's why I wanted Mr. Dobrev to be here. The lack of energy happened just when there was no sun. Now we say we're going to deliver more energy to the stock exchange, and then we're going to increase liquidity, knowing that the sun isn't the energy that will contribute to more quantities on the stock exchange. Mr. Nikolov, I believe you agree with this? On this basis, however, some proposals and amendments are already being made, which make a very serious impression that there is interference with the Bill and it is not prepared by the Ministry of Energy. Obviously, the energy in Bulgaria is managed from some other places as well. I stand by my words, colleagues, because neither the State and the nuclear power plant in the opinion that they submitted in writing to the Ministry of Energy and Mr. Dobrev agree with any amendment and proposal that has been made in this law. However, the merchants are satisfied, and the industrialists are satisfied. Suddenly the question arises: have we found that balance needed for energy? For me, to put it a little softer, the changes to the smart measurement systems that need to be made between first and second readings must be very serious if we are going to please traders and make 10 kilos up to put smart meters. Before putting these smart meters, to make those internet and cable systems to any meter that will enter each apartment and subsequently reporting and giving data back from the user to the distributor, all of this, colleagues, if you consider costs, will enter into the price of the electricity that the end user will pay so you have recorded it. We give traders some way to navigate, to see who is the best customer they can sell electricity to, and at the same time we make each client take out of his pocket and pay for those costs that should be incurred. Colleagues, a very serious problem! I believe that those who have offered you this text should think not only about their own income. The other question, fellow Members, is about the condition in which you will leave the electrosystem operator. Of course, by means of the directives, we cannot fail to remove the relevant export charges, but at the same time we remain for imports, which is within about 5% to preserve the total energy from internal consumption, internal production to be used, but 84 million is the shortage of the electricity system operator. Where's that money coming from? How can the electricity system operator find the means to develop its network? Suddenly we come to the conclusion that the proposed text is again: producers and end users will have to find out how and how to participate in the repayment of the 84 million deficit. That's why I told you that I had doubts that there was serious interference, and not from the Ministry of Energy. Next problem. I will stress only these problems, which are obvious, and there are many others. The next problem, colleagues, is in relation to the co-generations. "Toplofication Sofia" provides half, or at least two thirds, of the heat output of Sofia and one part of the power output. I think Mrs. Fandakova should have paid very serious attention to Sofia's investment programme for co-generations that are currently looking for investors within about 300 megawatts. I believe that after we adopt this bill, "Toplofication Sofia" will remain with the old rusty pipes, "Toplofication Sofia" will remain with its old cogeneration power, which is not so highly efficient, which we are talking about, and we want the heat efficiencys to install the highly efficient ones. I understand that the competition beginning is in connection with the European Commission Directive, but there they say: the competition beginning is over one megawatt to one megawatt is not necessary. You have found an opportunity that there is almost a pile of money in Bulgaria. This money for other cogenerations, except for those built at the moment, is used as a cold reserve and will be included, as Mr. Nikolov said, with the direct cable to connect to their own productions, and the remaining power sells it as a cold reserve. They are the main opponents to further develop our cogeneration power. We gotta find the balance, guys! I am not about raising the price of electricity by giving preferential prices to any, but when it is a new power, with greater efficiency, which is useful for society. Such laws should be made. Otherwise, I can tell you that from this bill, when we looked at it at first reading, the industrialists were most pleased because with the changes that are being made here, they will receive electricity at a lower price. I welcome them for their attempt to do so. These changes pleased traders to see with what voice, but they were not satisfied producers were neither TPP-2 nor NPP. During the speech they drank a cold water. I'm done, guys. There are also positive things, of course, access with the direct cable, connection without passing through the electricity system operator, to drop certain charges to these manufacturers, I understand, but everything else to refine, colleagues, to find the balance, so that we have safe and stable energy. Thank you.
ParlaMint-BG_2019-04-04.u28	Thank you, dear Mr. Atalay. - What's the line? You have the floor, Mr. Nikolov.
ParlaMint-BG_2019-04-04.u29	Thank you, Mr. Chairman. Dear Mr. Atalay, thank you for the constructive criticism you've made. Of course, you, as an experienced politician, are manipulating some essential things from time to time from the Law, but I still have to say some things about the so-called, as you said, smart meters, i.e. measuring instruments. They will in no way burden consumers, because this also confirmed the Commission for Energy and Water Regulatory. Realistically, we have the following paradox - a discotheque, for example, that we know works logically at night, its profile being daily. Usually, eight to ten days of electricity distribution companies delay schedules to traders, regardless of what they are. This gives them the opportunity to make their schedules pretty much close to their desires, not to the real realities. When you are a consumer of electricity and you believe that your schedule, which has been submitted to you, is not real, in this case you can invest in such a measuring device. The owner will be the electricity distribution company, but you will invest, knowing then that by detecting online you can, first of all, monitor and achieve the necessary efficiency. That is to manipulate, in the good sense of the word, your production in such a way as to achieve a level of electricity consumption in the desired time range and therefore reduce your electricity price. And you will pay for what you used, not what you were written as a schedule. I think this is a good change that does not affect electricity producers in any way. It may affect electricity distribution companies, it may affect traders, but not consumers of electricity, they will not pay for this thing. As for producers, you are referring to TPP-2, Kozloduy Nuclear Power Plant. It is no secret to anyone that Kozloduy is the main backbone of our electricity generation. In fact, he pays all the mistakes, he pays all the problems. [[The President signals that time has expired.]] These changes will also affect the nuclear power plant "Kozloduy" and will affect TPP-2, but will affect all producers as well. The alternative to what you said about the hole that happens at the Electrosystem Operator is that users pay. I don't think your constituents would want that either. Thank you.
ParlaMint-BG_2019-04-04.u30	Thank you, dear Mr. Nikolov. Second line? I can't see. You have the floor for the doppelganger, dear Mr. Atalay.
ParlaMint-BG_2019-04-04.u31	Thank you, Mr. Chairman. Mr. Nikolov, we can draw from all my speeches so far, since you are in this National Assembly, and show me a place where I have manipulated and that what I have told you has not happened in connection with energy. Don't take me for Vanga, I don't see it, but in energy, the things that are recorded remain. You remember from the first days when you reduced the number of KEWRC, what I told you, and I keep telling you. But you give me one argument. I don't know what discotheque is, I don't go to discotheques. Obviously, GERB attends this disco very much. Tell me, is this disco 10 kilos of electricity? And each apartment starts at 10 kilos. Colleagues, if it's just this discotheque that you're having a problem with?! The problem in your Law I told you, let's do it from 100 kilos. Once and for all, let's do the trial period, no one's against it. You know, 2020 is the time limit where smart systems should start to be installed under the European directives, but you want within a month to happen up to 10 kilos that is the problem. Otherwise, I'm going to this disco. First reading was this disco, and now this disco. As for the nuclear power plant. Who took the money from the nuclear power plant to pay the low price you set with the KEWRC to the power plant? Three hundred and sixty million this year alone. Next year, you said you'd get another 460 million from the nuclear power plant. You're decapitalizing both the nuclear power plant and the power plant. Colleagues, you're putting the energy back in that state where, in the previous term here, we sat down, made some laws, and had zeroed energy losses. You know that. Now, in your quest to remain in power, you have brought energy into collapse. I'm telling you again, it's not just the Ministry's fault. The interference in this system outside, in this debalanced system, in order to benefit only one part of society, does not lead to good, colleagues. That's what my appeal is for. Otherwise you are in power as you wish, so do you. In a month, in two months we'll talk about how many smarts or smart meters you've installed in the apartments. Who paid for the part where inside his house he would put in and watch every day how much electricity he spent, whether to turn off his washing machine, whether to turn on his stove, where and how to watch him iron. If the costs he's going to make for all this, he can't pay them, not to say how much he pays. That's my question, guys. Thank you.
ParlaMint-BG_2019-04-04.u32	Thank you, dear Mr. Atalay. Any other speeches? Here you are, dear Mr. Nikolov.
ParlaMint-BG_2019-04-04.u33	Thank you, Mr. Chairman. Because I couldn't finish the line, so I'll use it as a speech. Not to be impressed by our colleagues and viewers who are interested in it being an obligation. No, it's optional. Anyone who wants can invest in these measuring instruments. It is not necessary and it does not have to happen in every single home. Even I would not advise anyone with low consumption to invest in such measuring instruments, because there will be no return. This will make it undertakings eventually, will make it large producers who do not have them. So much for these measuring instruments. I think we're going in the right direction with liberalisation, step by step. At some point Bulgaria, thank God, will find itself in an absolute competitive market. Any household with a computer click will be able to buy electricity from anyone who wants, at a price offered to it by various traders. So it will come, and it is not very far away, and this issue will not have a regulated market, but will only have a free market. There will be enough producers due to the fact that the European Union is going to encourage producers from renewable sources, it will encourage the storage of electricity through batteries, whether through other means of storing electricity. We will have as electricity-producing entities enough that will accordingly offer this electricity on the free market, so that's where we are going. This step was mandatory, I would even say that we are late with market liberalisation. As for other changes in relation to the deficit caused by the electricity system operator, yes, it is, but it is our obligation. We have slowed it down long enough, so there is no way we will have the opportunity to extend the deadline for the elimination of charges in relation to the export of electricity. After all, the market is no longer just Bulgarian. The market is a common, European market, and for this reason we must take into account precisely this common European market. This brings in some times negatives for certain producers, but as a general consumer they benefit from this common European market. Of course, between first and second readings, it is good to iron out the texts. There are two readings in this Parliament for a reason, but as a philosophy I think the Law is good. There was not a single representative of an association, not a single representative of the Bulgarian Energy Holding, who said he did not agree with this law. There were criticisms, of course, but on specific texts. We'll sit down and look at them together. We have to be precise because we can do harm. But rest assured that this law will not be a reason to create an imbalance in energy. This law will not be a reason that at some point a problem may arise, especially in NPP-2, because it does not normally concern it directly and directly. If there is such a thing, it will be generated by the carbon market, on which the price will either way increase and create great pressure and problem in the production of electricity from coal. This is clear to everyone, so measures and strategy must be identified. By next year we have to adopt Bulgaria's energy strategy by 2030. In the short term, and until 2050, A longer period. It is there together that we must identify measures in energy if we do not really want to get a big problem that we already see. We see the deficits that are created in some companies, and the others, unfortunately, are saving them. Together we need to think about this issue, but this is not the subject of this law. Thank you for your attention.
ParlaMint-BG_2019-04-04.u34	Thank you, dear Mr. Nikolov. - What's the line? Here you are, Mr. Atalay.
ParlaMint-BG_2019-04-04.u35	Mr. Nikolov, I see your inconvenience, even in your entire parliamentary group, to support this bill. The very sentence that it is desirable to do, for example, you said about measuring instruments, how will you write it in the text in the Law? A law is written precisely and clearly. You have said that within a month, or up to three months thereafter, up to 10 kilos, this is what the Law says. Otherwise, colleagues, I say again: support at first reading if you want. I won't support it. But between first and second readings, if the lobbying texts are not removed, if the balance is not found, this bill will contribute to very large whites in energy. That's what my concern is for. Thank you.
ParlaMint-BG_2019-04-04.u36	Thank you, dear Mr. Atalay. Is there another line? I won't. Dear Mr. Nikolov.
ParlaMint-BG_2019-04-04.u37	Thank you, Mr. Chairman. Mr. Atalay, so that it doesn't come up on the front page that we're obliged to have the honorable users change their devices, I'll read it just in case: In § 15, Article 15 of the Law on the Law on the A client with a 10 kW power supply and more than 10 kW may request a request from the transmission or distribution system operator to replace a measuring instrument with an intelligent measurement system under art. In the case of aid granted under Article 107 (3) (c) of the Treaty, the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. 4 of the Energy Efficiency Act. The replacement shall be carried out within 30 days and after he has stated, and not that all must change their measuring instruments and so on................................................................................................................................................................................................................................................. That is to say, anyone can ask for and, in order not to prove endless, the period within which they will replace the measuring instrument, gives the relevant network operator a time limit to replace the measuring instrument. That's absolutely wishful thinking, as I said. Just clean it up as a problem. Thank you.
ParlaMint-BG_2019-04-04.u38	Thank you, dear Mr. Nikolov. We continue with the speeches. I don't see anyone else. I'm closing the debate and moving on to the vote. I ask the Quaestors to invite the MPs to the plenary. I put to the vote a bill amending and supplementing the Energy Act, No 954-01-16, tabled by the MPs Delyan Dobrev and Valentin Nikolov. They voted 105 MPs: 97, none, abstention 8. The motion is accepted. We continue with parliamentary control announcements on 5 April 2019: 1. The Minister of Agriculture, Food and Forestry Rumen Porozhanov will answer three questions from the MPs Krastina Taskova two questions; Krasen Krastev. 2. Minister of Regional Development and Public Works Petya Avramova will answer three questions from the MPs Dimitar Boychev; Alexander Matsurev; Sergey Kichikov. 3. Interior Minister Mladen Marinov will answer four questions from the MPs Boriana Georgieva; Dimitar Boychev and Diana Savateva; Tanya Petrova and Emilia Staneva-Milkova; Alexander Sabanov. 4. Minister of Labour and Social Policy Biser Petkov will answer four questions from the MPs Galya Zhelyazkova; Alexander Matsurev. 5. Culture Minister Boel Banov will answer three questions from the MPs Emilia Staneva-Milkova "two questions; Radoslava Chekanska. 6. The Minister of Environment and Water Neno Dimov will answer six questions from the MPs Atanas Stoyanov, Daniela Dimitrova, two questions, Nikolay Alexandrov; Evgenia Alexieva; Hristo Grudev. 7. Minister of Economy Emil Karanikolov will answer a question from the National Representative Krastina Taskova. 8. The Minister of Tourism Nikolina Angelkova will answer two questions from the MPs Alexander Matsurev; Daniela Saveklieva. On the basis of art. 96, para. Art. 3 and Art. OJ L 268, 18.10.2003, p. 29. 2 of the Rules of Organization and Activity of the National Assembly adjourned responses by seven days have requested: - Minister of Energy Temenuzhka Petkova to a question from the National Representative Elena Axieva; - Minister of Education and Science Krasimir Valchev to two questions from the MPs Dimitar Boychev; Stanislav Stanilov; and to one question with a written answer from the MPs Milena Damyanova, Galya Zaharieva, Svetlana Angelova and Venka Stoyanova. Due to the absence of the MPs for respectable reasons, the answer to a question from the National Representative Krasimir Sabev to the Minister of Regional Development and Public Works Petya Avramova is postponed. In the absence of the country in the parliamentary control meeting, the Deputy Prime Minister for Justice Reform and Foreign Affairs Minister Ekaterina Zaharieva will not participate. The next regular meeting of 9:00 p.m., 5 April 2019, according to the adopted work programme. We're adjourned. [[PHONE RINGING]]
