ParlaMint-NO_2020-10-09.ana.ud305e37	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e381	Now this council doesn't use glasses, but lenses – and that's a good thing. Come on, come on, come on, come on, come Of course, we are following developments in financial markets very closely. The system has been important, and I think it is still important. And it's always the way that a finance minister follows up what the majority of Storting wants, and that means that we will naturally also follow the development of the bond market and also see if there is a need for adjustments. And then it's the People's Security Fund that might make recommendations about it.
ParlaMint-NO_2020-10-09.ana.ud305e388	I came to Lofoten on 10 August and met a destination company and several companies. They described that it was like turning off a switch. There were no more orders, and the guests had traveled. The Nordics' holiday was over, and they had traveled home to prepare for school. New travel councils came from the government on August 12, when they knew that there were no guests from Europe. In this situation, 38 pst. NHO members received a zero in compensation from the government. 34 pst. by all travel establishments in Norway, they reply that they are afraid of bankruptcy. When did the Minister of Finance realize that travel life would be without revenues during the autumn and winter 2020/2021, and why is there no clarity in who can get help from the government with fixed expenditure after August?
ParlaMint-NO_2020-10-09.ana.ud305e395	Both me and the government, and also the opposition in Stortinget, have seen, of course, that travel life is one of the industries that has been hit hardest and that continue to be affected by travel restrictions and severe infection protection measures. That's why we've had a series of different tools that have been targeted at the travel industry, but also at other industries. The compensation scheme, which we quickly put in place, has helped 34,000 companies. We reduced the employer’s fee by four percentage points for two months, which has also benefited many companies. Conversion packages and government-guaranteed loans have also been important. Now we have a good dialogue with the social partners about the device of the travel system. It takes shape and comes to Stortinget in less than too long.
ParlaMint-NO_2020-10-09.ana.ud305e400	The council said in its statement a little about the compensation to travel life. The special feature of the situation now is that the government has announced a compensation scheme within a framework of 1 billion. kr, but no details of device or delimitation are given. There are conversations with the parties, but it's urgent. We know that it's not just the traditional travel life that's in a mess. Trade fair organisers, the event industry and a number of actors also now need to be helped to cope with this crisis. The government has notified a compensation scheme within a framework of 1 billion. kr. When can the Storting expect us to have a decision-making basis? For the purpose of determining the size, both the device and the level of this compensation scheme are.
ParlaMint-NO_2020-10-09.ana.ud305e405	It's true that we've suggested a frame of 1 billion. NOK for the scheme, but we will take a final decision on that sum when we see the whole of the scheme. We are concerned that travel businesses that will be able to cope with the crisis and that will eventually, hopefully, get a market, also get help. At the same time, we need to facilitate activity within the frameworks that exist, and also contribute to change. For this pandemic is going to change our habits permanently. This means that we also need to facilitate the conversion of businesses so that they can develop new services and find new markets, but we need to set up travel businesses. I have good faith in the arrangement we are now working on, and I hope we can put it ahead for Stortinget as soon as possible. But it's the Minister of Business who's in the driver's seat for it, so she almost has to clarify when we can wait it to the Stortinget.
ParlaMint-NO_2020-10-09.ana.ud305e410	The position says something that the majority, that is, the Right Party, the Christian People's Party and the Left, have written – that travel life is a particularly hard hit nourishment with the background of the coronary eruption and what happened on 12 March. Therefore, the majority chooses to extend a VAT rate of 6 pst. out of the year – a VAT rate that the majority of the population, with the Centrette in the head, managed to push in place in the negotiations in spring. I had a meeting yesterday with the Røros hotels, which was very worried about the situation. They talked about all the workplaces in their region that are related to travel life. We know that travel life nationally has approx. 170,000 annual works if you count on the ringing effects, so it's a huge industry, and they're in the middle of a crisis. Why will not the government, and the Right, the Advance Party, the Christian People's Party and the Left, continue a VAT rate of 6 pst. with effect from 1 January, but do the charging investment double in the middle of a crisis that is now taking place?
ParlaMint-NO_2020-10-09.ana.ud305e417	There has been a discussion between the Centre Party and the bulk of the population on VAT for several years. The centre party wants that VAT to be lower than that desired by the majority. Then we've had a temporary reduction. I believe it has been right to have a temporary reduction, but not a permanent reduction. It is also a question of which instruments work best. The government is very clear that we are going to set up the travel industry, so that's not what this is about. The question is whether the low rate of VAT is the right instrument. Low rate of VAT is an instrument that applies to very many industries, not only to travel and those that are particularly hard hit now. We have more faith that we should have targeted schemes aimed at, among other things. Travel life, and I have great faith in the arrangement that will eventually come into place.
ParlaMint-NO_2020-10-09.ana.ud305e422	It is true, as Minister of Finance Jan Tore Sanner says, that the Central Party has over time been critical of increased VAT rates, i.e. first from eight to ten and then from ten to twelve. We've been the only party that has been against it, and that's because we believe that travel life has so little margins. It is a very vulnerable industry and an industry that has major ring-effects all over Norway. Of course, in addition to tourism, transport and cultural activities are also affected. All three industries are in the midst of a crisis right now, and profitability is very, very poor. When you talk to the actors, this is a very unbureaucratic and simple system. When I was in a hotel last night at Røros, the margins for that hotel driver were NOK 60 more because it was lower VAT. So it goes straight on the bottom line right away and secures jobs. Usually, the Right has argued that tax can be an effective instrument. Why is it not to have a lower rate of VAT for travel life an effective and unbureaucratic instrument from the Right's point of view, when all those in the industry themselves are so clear that it is the most accurate and the best instrument they can want?
ParlaMint-NO_2020-10-09.ana.ud305e429	I am pleased that the Central Party also confirms that their view of the low rate of VAT is a general view and not necessarily just in this crisis. That is my point, that when we are in a crisis, we need to discuss which instruments will be the best. Low VAT rates for a period have been correct, but now we want more targeted schemes. Then it is that we have actively used both tax and tax policies in this crisis, both by giving companies the opportunity to defer the payment of taxes and taxes – it has been very important for businesses to be able to have liquidity, and that is perhaps some of the explanation that we have had fewer bankruptcies than would otherwise have been expected – and by reducing the employer’s tax by four percentage points for two months, which has meant far too many businesses across the country.
ParlaMint-NO_2020-10-09.ana.ud305e436	Through the various crisis packages that have been dealt with in the Storting and also referred to by the Minister of Finance, the government has shown a great deal of reluctance to impose demands on business, on the companies receiving state support schemes, in particular when it comes to limiting executive remuneration, limiting the payment of bonuses and dividends and limiting the disappearance of money to other countries, to tax havens through corporate organisation. This crisis package also contains several proposals in these areas. It is particularly relevant when we talk about both the different organisers and the sub-contractors of the cultural industry, but also the tourism industry, to which the government is currently working on a crisis package. My question to the Minister of Finance is: why is the reluctance to demand what the money is actually being spent on, to make sure that they do not just disappear into increased bonuses, or into tax havens in other countries?
ParlaMint-NO_2020-10-09.ana.ud305e443	Yes, now the main picture is so far that we have seen no major abuse of the arrangements that have been put in place. Something has been, and it's also turned on. There are good control mechanisms in the tax base of the compensation scheme, and there will also be back checks. I fully agree that it is important both to stop abuse and to have measures to prevent the abuse of schemes. At the same time, we have to recognise that there is a balance between how much control and how many demands we are going to make, measured against how important it was to get money out quickly. For companies that lost all income overnight and had expenditure at the same time, it was important to get the schemes in place quickly and get the money out. On a general basis, of course, I agree that it is important to make demands, but there is also a balance between the liquidity of the companies and how finely masked the arrangements should be.
ParlaMint-NO_2020-10-09.ana.ud305e451	This is about people's confidence in the fact that these support schemes, which involve quite large transfers from the community to the business community, are actually going to secure jobs and not just eventually end up enriching a few people. We see from the numbers that, among other things, significant dividends have also been paid in the banking sector this year. In the EU, the EU Commission has recommended that countries do not grant State aid to companies linked to tax havens, such as: are tax resident in countries listed on the EU blacklists, which are controlled directly or indirectly by shareholders ashore on blacklists or who share ownership with enterprises ashore on blacklists. What is the European Commission's understanding that they are encouraging this kind of requirement, which the government believes is unnecessary, and that we do not need to make demands?
ParlaMint-NO_2020-10-09.ana.ud305e460	What we've done in our arrangements is to have full transparency -- full transparency about who's applying, who's the owner of the company, and how much you get. Our assessment is that that transparency has contributed to the fact that someone has not applied. It helps to make both media searchlights and people's attention related to the arrangements, who gets, and who they are, bigger. On a general basis, I agree with the representative that it is important that we ensure the protection of the Norwegian tax base. Therefore, proposals have been made in the budget for next year to introduce withholding taxes on interest, royalties and some physical resources, precisely to ensure that we avoid that kind of profit shift to low tax countries and aggressive tax planning.
ParlaMint-NO_2020-10-09.ana.ud305e467	Targeted compensation schemes sound very good, but can also contribute to the streamlining of business. The companies that have received most of the compensation scheme so far are almost all companies in travel, which the Stortingen now seems to agree to support further. That's very good, because there's a lot of jobs here. But now, when you remove the broad compensation system, it's all the others, i.e., the tail of small and large companies in other sectors, or maybe so original that they're going between chairs, which no longer have a offer of compensation and are on a barbed hill. These are those who have actually made up much of the diversity of business and who may have benefited from this compensation scheme. My question is what the Council of State has done to prevent all these small, rare, original ones — this diversity of businesses is now standing on the ground.
ParlaMint-NO_2020-10-09.ana.ud305e472	There are many schemes, not least through Innovation Norway, which facilitate both entrepreneurs, start-ups and the diversity of Norwegian employment and business. Then we have to admit that the general compensation scheme was correct in the first few months, when Norway was shut down. At the same time, there is also a more supportive system, the less activity you have. Now we're in a second phase, where infectious disease control measures have been reduced or there are fewer measures to prevent infection. This means that more than in the past, the systems need to facilitate activity within the requirements of the disease protection measures. That is why we are now targeting aid more towards those sectors that are struggling more, and that it is also changing more towards contributing to activity, among others. support through culture, leisure and non-governmental organisations.
ParlaMint-NO_2020-10-09.ana.ud305e479	It worries me a little bit that the Minister of Finance has the presuppose that the measures for the protection of infection should no longer be so stringent. We're right now in a situation where the city we're in, and there, among other things. The mountains have had to have interventional measures to prevent infection, and we want people to follow them. That means that we can't in any way blame ourselves for the situation that we had in ours, which meant that a lot of companies had to shut down, have stopped. My original question was not just about entrepreneurs, although it might sound a bit like that when I said that the original and funny businesses are the ones that now have no compensation arrangements. But I think it's the diversity of retailing you have in big cities, which now no longer has a system. I'm worried, because I'm afraid that the larger sectors that have managed to organize themselves and reach the government apparatus with their concerns are taken care of, while the wide range of small businesses is not.
ParlaMint-NO_2020-10-09.ana.ud305e486	That's a very important point, because there are many who have strong organisations in their back. We have also tried to listen to those who do not have the large organisations, so we have arranged for several schemes, including: through Innovation Norway. But let me just stress that yes, we're going to have, and we're still going to have, strict infection protection measures far into next year, and more stringent where you have major outbreaks. But hopefully we can avoid shutting down all of Norway, as we had to in March, that was my point, and that's why the use of tools has also changed. Neither is it easy to hit absolutely all businesses. What we did before the summer was we took 600 million. kr through the county councils that were to be set up where there had been the greatest challenges, including: linked to the seasonal holdings. And now in this package, there's 200 million. kr to the municipalities where holdings are particularly severely affected by outbreaks of infection.
ParlaMint-NO_2020-10-09.ana.ud305e495	As of November, people who are unemployed start to fall out of the day-to-day pay system. This will affect thousands of people and their families month by month. Figures from the Ministry of Finance show that almost 10,000 can lose the right to a daily allowance during the year, up to 25 000 by June next year. The budget shall read as follows: «Those who were outside the labour market before the Coronapandemic and who are still outside will experience greater competition for fewer job vacancies.» Yes, many now have greater problems getting back to work and are more exposed to long-term leave than before. When the government itself writes that these will be more difficult than before to get back to work, how can the government – together with the Progress Party – defend the removal of the unemployed from the day-to-day arrangements to an increasing extent in the coming months?
ParlaMint-NO_2020-10-09.ana.ud305e505	We already announced before the summer that the temporary arrangements would be phased out during the autumn. Now the situation looks less dark than it did before the summer. That means we stick to the plan that was laid down. It is no surprise that there are different views between the Red Party and the Government Parties regarding welfare schemes and day-to-day arrangements in general. We believe that it was absolutely right and necessary to have specific arrangements in the crisis we were in, and there will still be a need for action in the future. This is why we have also added to next year a number of labour market measures aimed at young people and groups facing specific labour market challenges.
ParlaMint-NO_2020-10-09.ana.ud305e512	The government said here yesterday that everything will be fine. We hope so too, but then we have to pursue a policy that both provides new jobs and ensures the income of those who have lost the job. There are still twice as many unemployed people now as before the crisis. For them, the crisis is in no way over, and as the government itself writes in its draft budget, those who are now available will have greater difficulties than before the pandemic in getting a new job. We know that 500 people on average will lose their daily allowance every week that goes the next six months from November 1. I just want to repeat my question, which was not answered: How can the government defend that these unemployed are thrown out of the day-to-day pay system, when they're trying to get a new job because we're still in a crisis?
ParlaMint-NO_2020-10-09.ana.ud305e519	The arrangements now ending – some in the autumn and some in the New Year – are being phased out in line with what we have announced earlier. I am also concerned about the high unemployment rate. It's still too high. That is the background for today's debate on a new crisis package, which was 6 billion. kr, and where there has been an additional billion during the negotiations with the Progress Party. That is why we put forward a government budget that will contribute to activity, which will contribute to job security, and will help to facilitate the creation of more jobs and include more in the labour market. The crisis is by no means over. That's why we use fiscal policy actively to contribute to activity and more jobs.
ParlaMint-NO_2020-10-09.ana.ud305e526	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-10-09.ana.ud305e534	Nearly 200,000 people are still out of the labour market over half a year after the coronary apathy. For the Workers' Party, it has been essential that the measures in the crisis packages have a social profile, that the costs are not borne by the community while the benefits are in private pockets. It is important to ensure trust and help to ensure that inequalities do not increase even more than they have done under Erna Solberg's governments. ‘Erna sees you’, it stood on the mouthband Prime Minister trolled up in Stortinget on Wednesday. I'm guessing that all those who have divided the It also includes those who got 1.3 billion with the crisis package in June. kr in an extra discount on the property tax because they own shares. Also, the companies that did not pay two weeks' wages for those who were on leave feel quite well. But the workers that Solberg suggested would lose almost 40 pst. of their income overnight, were they seen? Or those who earned less than 150 000 kroner were apprentices or the job as freelancers and self-employed, so the Prime Minister then the government in March decided that the country should be shut down? The Labour Party could not accept that the government closed its eyes to most people, and fortunately, the Storting had a better view of things than the government. So we see the result in this proposition. The temporary income insurance schemes amount to 16.5 billion. kr. There is a lot of money – money that Erna did not see that people needed when they were sent home in March. Since Erna sees you, her government's New Year's greeting becomes the one that's now available, that you remove the temporary arrangements from New Year's. When it's almost 100 pst. more on Nav's unemployment statistics, the government considers it appropriate to increase the number of job vacancies by 11 pst. It's a disturbing development. The unemployment rate is falling, and the number of young people is increasing by over 11,000 this year only. The working party sees community benefits. We believe it is necessary to extend the temporary income schemes even after New Year's because we see that the corona situation is demanding for people. We give priority to job security and security. To that end, we need the welfare state, and therefore we are proposing to extend the period for those who are now able to lose their daily allowance to the end of the year. It'll cost 220 million. kr. We propose better safeguards for those who are self-employed and freelancers. It also costs over 200 million. kr. We spend a lot more money on labour market measures, so that more people can get help to get back to work.
ParlaMint-NO_2020-10-09.ana.ud305e549	We're on our way into the dark age, and it can often be nice, but this year I think it's getting darker than it uses to be. The decline of society will continue into 2021, with a significant impact on businesses and employees. Work has estimated that the travel society alone has a turnover drop of 80 to 90 billion in 2020. kr. The hotels are empty, and there are no foreign tourists to experience the amazing northern lights this year. It goes without saying that we want to see bankruptcies and redundancies if not the community now prepare for travel. Despite this situation, the government terminated the compensation scheme for businesses without having an alternative in place for those still heavily affected by infectious diseases. Now, almost a month and a half after the compensation scheme was over, there is still no clarification. Today, we are dealing with a part of this package that does not respond to the most important questions: who can be supported, how much support can they expect to receive, when will it come, where are the measures to facilitate activity in the tourism industry? When we have asked the government about the travel part of the package, they say: The proposition does not include proposals for a specific arrangement or decision to grant the payment, and the government has not suggested that the compensation scheme be dealt with until after we have a more detailed proposal, and then we come to the Stortinget. It was the emperor's new clothes we were presented for on the opera act September 21st. The tailor is not yet finished, and serious business owners and employees can only hope that soon it will be clear what they can say to the bank about its economy this autumn. Why has the government not started work on this crisis package in the past? It was already clear on 12 August, when new travel councils arrived, that this fall was going to be difficult – and so was the winter. The Minister of Finance is wrong. He is wrong when he says that the market will decide, and that we need to see who has enough equity to survive by himself. For travel life is a future industry, and it is an important export industry. All professionally based scenarios of the future suggest that we Nordics themselves and others in Europe will want to travel in Norway when everyone can travel again – to a clean, scattered, populated country with beautiful nature and a good public health system. Then it's to hope that we haven't lost that competence and the values that are in the travel businesses now. It is not as long as it is possible to make money again, and Norway needs new export revenues.
ParlaMint-NO_2020-10-09.ana.ud305e566	As others have pointed out, this is the seventh crisis package dealt with by Stortinget, following a record-breaking discussion in the Financial Committee. Since March, we have been through a very difficult period for society as a whole – both for individuals and for businesses. Although the recovery has gone faster than we feared, the image is very complex. Some industries have experienced growth, while others have experienced growing difficulties during the autumn. The uncertainty is still great. The crisis is not over. The availability is still too high, although it is greatly reduced. I don't want the freedom to get caught. Therefore, it is important that the measures in force are adjusted as the situation and needs change. We do that in this package of measures. At the same time, it is necessary to proceed with safe measures. Therefore, it is important that the permation scheme be extended to 52 weeks, that the compensation scheme for self-employed and freelancers be continued, and that we get a new round of salary subsidies to return to work. It reduces the uncertainty of many families and persons. Those who have been in a difficult situation for a long time, i.e. over half a year, are now getting more security out of the year. Because this is hard for many; it's not hard to understand. I will also bring forward the compensation scheme for sport, culture and volunteering – and the pot of 120 million. kr for industrial development in the districts. That maintained on the road through the 400 million. kr to potable county road projects were put in place, received very well around the country. Here we solve obvious needs while stimulating activity and making use of free capacity in the economy. The continuation of the low VAT rate is also important for the industries in question, the tourism sector, which is still struggling. Most things are uncertain. The likelihood of us facing lasting changes in the economy and high migration needs is high. Creating new jobs is therefore job number one in the future. Having control of the infection is crucial, and we hope and trust that the international vaccine work, where Norway is heavily involved, will succeed and get a breakthrough if not for too long. In the meantime, we have to hold on, we have to keep distance, and we have to stick together. Together, we're going to take our everyday life back.
ParlaMint-NO_2020-10-09.ana.ud305e579	I believe that both those who have lost the job, the companies and the municipalities should be very happy that it is not the government's crisis packages that have been adopted, but that it is Storting's additions that have made it no worse than it has done. But I hear the Council of State now repeat that in our time he had it too busy to ensure that the companies that get financial help were not to quit people. At the same time, he has had a very good time now to put in place the tools to help the cultural and event industries and the travel industry, where the crisis is great, so that people do not lose their jobs. But then it didn't rush so badly. Some of what is the security of everyday life when the crisis strikes are the municipalities. That's where people get help, that's what makes communities go around, but also where the government has failed. It's the Storting that has added to the large sums of the municipal sector. But neither in this crisis package has the government realized that the crisis is now acute in many local governments. They now sit and cut into action for people who have paid the price for the corona handling and the preparedness for infection in the municipalities. Because it has cost money, and it has taken personnel, which means that many have not received the help they need. Now the municipalities need money so that they do not contribute to increased unemployment, either in their own businesses or by putting all maintenance, new buildings, etc. pending, for this is an economic crisis which can also quickly enter the construction industry. In Finland, they are now notifying that they will reduce the intake of apprentices to the next year because the order books are almost empty. There are serious ring-effects that come if one does not ensure that what can be sustained in a crisis, namely the municipal sector and the public sector, is a pillar, ensure that there is security and well-being in everyday life, and that there are ring-fences in the private sector. The government has failed at that. They have also failed some of the municipalities that have been hit hardest, and they need conversion packages now, much faster and much bigger than the government contributes, so that they get more financial support. In addition, the government has proposed a strange, nutrient-oriented system with which the municipalities will operate, i.e. increased bureaucracy in the municipalities, where there should be a difference between municipalities and municipalities in how much help businesses get. This is a violation of the principle that the municipality should be responsible for the protection of infectious diseases, while the country should be responsible for the economic consequences. That principle violates the government, and it does not contribute to non-discrimination or to security.
ParlaMint-NO_2020-10-09.ana.ud305e598	Important parts of the Norwegian economy and working life are now facing a double crisis, due to both oil price falls and an ongoing pandemic. Export-oriented oil and gas, maritime and aviation industries have lost important parts of the market almost overnight. As a representative from Buskerud, it is natural to refer to the business situation in Kongsberg, but there are several places. The industry's feedback is that national crisis packages do not hit the major industrial players well enough, while these industrial locomotives are absolutely necessary to ensure that Norway is at the forefront of the green shift. The Norwegian model, tripartite cooperation, gave us the welfare state by taking us through past crises and challenges, and the tripartite cooperation must now do it again. In this context, it is now very important to support the initiative for the Kongsberg environment for an industrial pilot in order to ensure the necessary transition from Industry 3.0 to Industry 4.0 and to prevent important industrial enterprises and industrial workplaces from disappearing from the country. Such an industrial pilot will not only help to secure current and future jobs in Kongsberg, but also nationally. It is therefore important that the government follow the initiative of Kongsberg’s industrial environment quickly, so that valuable time is not lost. With such a pilot, employees can be employed instead of being permitted or terminated, they can build skills for the future and prevent jobs from being moved out of the country. The Kongsberg environment has all the prerequisites for success. The pilot is pottery. There is already close cooperation between employers and trade unions, municipalities, educational institutions and Nav, but the state must join the team. The importance of the Kongsberg pilot is not least underlined by the fact that the Joint Confederation and Norwegian Industry in the Riksmeklingsmanns protocol of the tariff settlement for 2020 have a joint opinion in which the parties support the Kongsberg initiative and require the Solberg government to respond. The government's answer so far is 10 million. kr on the Ministry of Knowledge’s budget. It's better than nothing, but it has to be followed by more. To the tens of millions, the Kongsberg community has asked in writing all the parties for a joint remark on the importance of the industry itself controlling the use, so that the money hits where they're going. Unfortunately, only the Work party has chosen to include this comment in the setting. I hope it's just a glitch, and that the Council of State can assure that the ten million will be used in this way, and the parties at Kongsberg themselves find it best.
ParlaMint-NO_2020-10-09.ana.ud305e609	Norway has financial problems. Differences between people are increasing. Last year our country went with a deficit of 277,000 million. kr in trade with the rest of the world when we correct for oil and gas activities. In some municipalities there are 40 pst. of the pre-employment population. This was the normal situation. Then the Korona has come to the top. The warning lights are now shining to us who want us to continue to be a welfare state with confidence in the future for people everywhere in our country. In one of our largest tourist-life municipalities in Norway, Trysil, stands 35 pst. of the working-age population to the normal outside of working life. Now the massive unemployment has come to the top. In this situation, we are told by the Minister of Industry and the Right-wing Government that this is the new normal situation, and that we should start with the transition. I wonder what the government thinks the Trysil business is going to change. It'll probably be a transition to even more free time and outside. The options, in the longer term, are, of course, in getting more forest further processing and more use of the land in Trysil. But there we see in the draft state budget that it is fundamentally failing. It is 50 ears that go to forest-based further processing industry in Norway. Moreover, in a municipality with one of the largest concentrations of wolf in Norway, it is not easy to imagine that large amounts of land-based grazing should be established in the short term. We have to take the situation, in which many people and municipalities now stand, seriously, because it's pretty tough. It is cut down for both municipalities and county councils, which have now over seven years experienced the cuts and division of the right-wing government. You don't really have to realize that this is demanding. We can refer to one of the main characters in Flåklypa, Reodor Felgen. He simply says, ‘It’s a good idea to build a car when it’s the owner’s needle in the wall.’ That's the way it is with the so-called conversion. If people are to have work, we must both support the travel businesses so that they have a future, and in addition, we have to go on with large-scale investments in using the forest as raw materials, for new industrial workplaces in Norway.
ParlaMint-NO_2020-10-09.ana.ud305e622	There are different reasons why businesses are affected by the coronary crisis. Some are affected because demand has disappeared. Others are affected because international economic cycles are destroying demand. Some are affected simply because of the rules that we have put in place by the community and the government. One of these industries is cultural life. It is quite right, as both the government and the majority of the population have stressed in their crisis packages, that there is no objective of saving businesses that in any case do not have the right to life. We are probably seeing in the Korona crisis that some of the changes that had in any case happened – perhaps over a period of five to ten years – are now much faster. In cultural life, it's not like that. People are ready to do a job. The audience wants to be an audience, and there are also no international economic cycles that affect them. On the contrary, everything suggests that in the future we will spend more of our time and our money looking for the products and services that cultural life gives us. Now cultural life is in crisis. The government has been back from day one. The arrangements have been put in place too late, and they have also been incorrectly arranged. It seems that the government and the Ministry of Culture have simply had difficulty understanding how companies in cultural life are organized. In August Raja announced that he would phase out today's compensation scheme and instead come up with an incentive scheme, but the framework for it is not yet in place. When the compensation system comes down, a lot of those in need of our help are hit. For example, when you have: requires events to have been planned before 12 March, cultural life is very poorly known. Not many people have signed contracts on it like this. happens during large Christmas tours, at such an early time. For months, cultural life has been training the government — how it is a great industry that employs many people — exists throughout the country and contributes to value creation and active communities — but has not been listened to. In March, we said in the Workers' Party that we need a broad compensation scheme that helps the entire cultural life. The government then voted against the compensation scheme also covering subcontractors. It's changed, but the help isn't yet good enough. Trondheim Sound, for example, which is a key company in our cultural life, has been operating for 35 years. Now they're just in danger of going over the edge. What is the problem is that the environments of competence, these businesses, can not only re-occur when the crisis is over, even if there is demand for them, and even if it is a future industry. Here, the government has to set up a completely different way to ensure that businesses have the right to life in the future.
ParlaMint-NO_2020-10-09.ana.ud305e637	When the crisis struck the country, it was said that it was an objective that business should get the most unharmed through the crisis. I want to raise two areas in particular where I think we're at risk of not happening. First of all, aviation. It's important for all business in Norway. That people get to and fro is very important in a long country, but aviation is also an industry that, by itself, employs thousands of people both in the air and on the ground. Now we see that there are things that are about to happen, and I mean what is happening, is not good news. First of all, an actor with heavy state aid would like to enter this market. It can only register, but also the airline Wizz Air has now thrown its eyes on the Norwegian market. This is, of course, a cheap company in Europe that has a lot of open aircraft, no trade unions, which need a market at the time they are in, and which sees its average now when Norwegian aviation is down, to enter one of the few partially functioning aviation markets in Europe. There I think the government has been too passive. I note that Erna Solberg’s comment on the day all this happened was to focus on increasing competition on the Norwegian airline network. I think it's a completely wrong approach. Wizz Air will never fly Kristiansund-Oslo. They will never fly Kristiansand–Oslo either. We will not have a proper post-crisis flight offer if we no allow all kinds of ticket companies to enter Norway, fundamentally contrary to what is the Norwegian labour and labour model, that people have the right to organise themselves, and that work in Norway is to be done to the greatest extent possible with Norwegian labour force and with Norwegian pay and working conditions. The government's meeting with aviation is a wall of charges. One can refer to an air passenger charge, an increase in CO 2 tax and a cancellation of the travel tax. That's the government's answer. Another industry that is at risk of lasting damage is the travel operators. Here the Stortinget has taken a decision to cover 80 pst. of its losses over a given period of time, in the form of advances. Now the government comes back and takes the money back, uses it for other purposes, and says that 40 pst. is allowed to hold. This is about who will organise a future trip to Norway. Do we want to have a shortage of businesses all over the country, or do we want to leave that market to major international players? They're ready, and we need a policy so they don't win, so we get through this crisis with the most potential corporations intact.
ParlaMint-NO_2020-10-09.ana.ud305e657	It is very rare that I do Erna Solberg's words to mine, but today, as an explanation of vote, I have a need to say, 'I wouldn't use exactly those words.' Most of the proposals have very good intentions, and some are very similar to the proposals we ourselves have had, and are also proposals we ourselves have had. But when it turns out that the Stortinget is asking the government to allow, and then there is a lack of funding, we unfortunately have the guts to vote against some of the proposals. The working party will vote for proposal No. 1 and, of course, for all the own proposals, further on for the proposal No. 11-19 and proposal No. 21, by the Centre Party, on the proposal No. 24, 25, 27-29, 32, 33, 35 and 36, from SV, and for the proposal No. 46, 48, 52, 55, 59 and 60, from Red. The loose proposals No. 63, 64, 65 and 66, from the Center Party, are also supported. A small explanation when it comes to proposal No. 20: The working party has previously proposed these improvements for the seasonal companies, among others. in the revised national budget, but voiced by the majority. The majority would not be able to keep the season companies in the old system in a good enough way. Once we have done what we can in negotiations and proposals, and when we are now negotiating a new package for travel, the fight for seasonal businesses must now take place in the next order, as we also underlined in our remarks. In the case of proposal No: 23, on students and income losses: the Labour Party shares the intention to secure the students in the fall as well, and we have earlier suggested it. We believe that our intention did not work after the intention, and therefore believe that our proposal was less detailed, but more precise about finding arrangements for problems the students experienced. Proposal No. Let's say 27 is equal to 27. The working party proposed to extend the provisional daily allowances until 31 March in the perennial debate. We're concerned that this must be careful and do not depend on vague formulations with large interpretation rooms, so we support this on the basis of the intention of extending the rate, but still think that the question has to be re-evaluated for the spring. Proposal No. 31 and 34 we vote against because we want to extend the time period for those with redundancy funds that need it, and it is those who need to be clarified as jobseekers in such a demanding labour market as we now have. Therefore, we propose to extend for these out of the year. For other groups, it's now natural to return to normal. Of course, if the disease situation changes to make health care or interventions difficult to participate in, the question needs to be re-examined. Then I will ask for the floor again to come up and continue the explanation of vote.
ParlaMint-NO_2020-10-09.ana.ud305e674	«The dream shall live; it shall be a blue day». It could have been the slogan to the Right, but it's the song of our all-loving Viking – right, state councillor – the ruling Norwegian football champion, who was among many clubs that this week got a decisive support to stay on the track. Stavanger's swimming club, which I visited the other day, can also breathe more with my stomach. They fell out earlier, but in the new sports package they came along. This shows that the government and the Storting are listening and adjusting measures to make them more effective. That also shows the crisis package we are now dealing with. After one of our demanding ones, more is going in the right direction now. From June to August, the number of people permitting decreased by 120,000, and this has to continue. Therefore, compensation of employees is now extended this year, so that more enterprises are given the help to help them get more involved in the job. But even though things are better for many and society is slightly more open up, there are many industries that are still struggling, which are limited by strict but necessary measures to prevent infection. The crisis is not over. Travel life is one of the industries that have the greatest challenges. Wenche and GuideThe company in Stavanger Centre usually has 140 guides in turn. They've converted and planned to keep people in work, but without tourists, it's not that easy. For Wenche and others in travel, it is therefore good that the government extends the lower VAT and the conversion system, but it is especially important that we make a targeted scheme for travel life. The organizers who gather the largest crowds, such as fairs and food festivals, are particularly hard hit. There are events that create major ring-effects for society. In the fall, despite MDG’s intrusive resistance, we saved the world’s second largest offshore energy trade fair in the energy capital. That's good, because they're now building up to be one of the largest in the world on renewable energy at sea. Now other open audience events are getting drag help. For this reason, I would recommend all the representatives to visit Gladmat, the largest food festival in the Nordic region. ‘Everything will be fine.’
